GENE_ID	locusLine	bin_1_21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02.bam
2_MACS_peak_4472_lociStitched	chr1(.):155005356-155007841	0.8564
1_MACS_peak_4474_lociStitched	chr1(.):155044305-155045047	0.8193
1_MACS_peak_4475_lociStitched	chr1(.):155050657-155057320	4.5077
1_MACS_peak_4476_lociStitched	chr1(.):155063450-155064868	1.0076
1_MACS_peak_4477_lociStitched	chr1(.):155067319-155067820	0.8119
3_MACS_peak_4478_lociStitched	chr1(.):155074414-155078959	1.0306
1_MACS_peak_4481_lociStitched	chr1(.):155084168-155084854	0.8694
2_MACS_peak_4482_lociStitched	chr1(.):155088578-155104316	2.3816
2_MACS_peak_4484_lociStitched	chr1(.):155113414-155118855	1.3644
1_MACS_peak_4486_lociStitched	chr1(.):155120297-155121037	0.8926
1_MACS_peak_4487_lociStitched	chr1(.):155123068-155123979	0.8919
2_MACS_peak_4488_lociStitched	chr1(.):155131611-155133591	0.7492
2_MACS_peak_4490_lociStitched	chr1(.):155138437-155139985	0.8947
3_MACS_peak_4492_lociStitched	chr1(.):155146062-155152619	1.33
4_MACS_peak_4495_lociStitched	chr1(.):155153877-155173547	1.6622
1_MACS_peak_4499_lociStitched	chr1(.):155262895-155263428	0.9677
3_MACS_peak_4500_lociStitched	chr1(.):156044872-156055534	1.1892
1_MACS_peak_4503_lociStitched	chr1(.):156215557-156216056	0.8314
3_MACS_peak_4504_lociStitched	chr1(.):156323480-156326462	0.844
1_MACS_peak_4507_lociStitched	chr1(.):156327772-156328365	0.7703
1_MACS_peak_4508_lociStitched	chr1(.):156334198-156334876	0.8609
1_MACS_peak_4509_lociStitched	chr1(.):156336477-156338536	1.1551
3_MACS_peak_4510_lociStitched	chr1(.):156339697-156345132	0.959
2_MACS_peak_4513_lociStitched	chr1(.):156346771-156349070	1.0276
3_MACS_peak_4515_lociStitched	chr1(.):156354300-156367657	1.7502
2_MACS_peak_4518_lociStitched	chr1(.):156368686-156383513	1.3893
1_MACS_peak_4520_lociStitched	chr1(.):156385374-156386309	0.8323
4_MACS_peak_4521_lociStitched	chr1(.):156389299-156414812	2.1535
4_MACS_peak_4525_lociStitched	chr1(.):156580241-156596922	1.7334
4_MACS_peak_4529_lociStitched	chr1(.):156600391-156604460	0.9977
4_MACS_peak_4533_lociStitched	chr1(.):156639145-156679032	2.0485
1_MACS_peak_4537_lociStitched	chr1(.):156783798-156785212	0.883
4_MACS_peak_4538_lociStitched	chr1(.):156804380-156819303	1.5157
1_MACS_peak_4542_lociStitched	chr1(.):156821229-156824913	1.3291
5_MACS_peak_4543_lociStitched	chr1(.):156825963-156858744	1.7347
2_MACS_peak_4548_lociStitched	chr1(.):156860686-156885141	2.2082
4_MACS_peak_4550_lociStitched	chr1(.):156887404-156900729	2.0695
1_MACS_peak_4554_lociStitched	chr1(.):157078845-157079259	0.8003
1_MACS_peak_4555_lociStitched	chr1(.):157081489-157083616	1.0745
1_MACS_peak_4556_lociStitched	chr1(.):157555505-157555872	0.866
1_MACS_peak_4557_lociStitched	chr1(.):157557973-157559634	1.2523
1_MACS_peak_4558_lociStitched	chr1(.):157562699-157563240	1.0625
1_MACS_peak_4559_lociStitched	chr1(.):157565748-157568144	1.2047
1_MACS_peak_4560_lociStitched	chr1(.):157569237-157569939	0.9934
2_MACS_peak_4561_lociStitched	chr1(.):157614659-157616066	0.8442
2_MACS_peak_4563_lociStitched	chr1(.):157619514-157624101	1.1617
1_MACS_peak_4565_lociStitched	chr1(.):157628375-157629011	0.9315
1_MACS_peak_4566_lociStitched	chr1(.):157630314-157630846	0.9588
2_MACS_peak_4567_lociStitched	chr1(.):157961688-157964526	1.113
3_MACS_peak_4569_lociStitched	chr1(.):158057279-158065828	1.407
2_MACS_peak_4572_lociStitched	chr1(.):158082638-158085987	1.0103
3_MACS_peak_4574_lociStitched	chr1(.):158087438-158091253	0.8104
1_MACS_peak_4577_lociStitched	chr1(.):158097053-158098500	1.3935
1_MACS_peak_4578_lociStitched	chr1(.):158116624-158117376	0.9638
1_MACS_peak_4579_lociStitched	chr1(.):158118634-158120284	1.1818
7_MACS_peak_4580_lociStitched	chr1(.):158121861-158139215	1.1321
2_MACS_peak_4587_lociStitched	chr1(.):158145398-158154018	1.7504
1_MACS_peak_4589_lociStitched	chr1(.):158219117-158219829	0.8602
1_MACS_peak_4590_lociStitched	chr1(.):159140116-159143298	1.31
1_MACS_peak_4591_lociStitched	chr1(.):159898830-159899355	0.7548
1_MACS_peak_4592_lociStitched	chr1(.):159900550-159901156	0.8026
2_MACS_peak_4593_lociStitched	chr1(.):159903849-159905383	0.9187
2_MACS_peak_4595_lociStitched	chr1(.):159912725-159916122	1.1871
2_MACS_peak_4597_lociStitched	chr1(.):160051002-160054763	1.1986
3_MACS_peak_4599_lociStitched	chr1(.):160386683-160389443	0.8828
1_MACS_peak_4602_lociStitched	chr1(.):161228351-161229066	0.9875
1_MACS_peak_4603_lociStitched	chr1(.):161411291-161417438	1.7046
1_MACS_peak_4604_lociStitched	chr1(.):161418472-161424881	1.66
1_MACS_peak_4605_lociStitched	chr1(.):161426332-161432279	1.4476
3_MACS_peak_4606_lociStitched	chr1(.):161433316-161443096	1.3445
2_MACS_peak_4609_lociStitched	chr1(.):161448343-161451393	0.9246
1_MACS_peak_4611_lociStitched	chr1(.):161695564-161696186	0.996
1_MACS_peak_4612_lociStitched	chr1(.):164510279-164510487	6.3653
2_MACS_peak_4613_lociStitched	chr1(.):165321913-165324535	1.0143
1_MACS_peak_4615_lociStitched	chr1(.):165345485-165346167	0.9097
2_MACS_peak_4616_lociStitched	chr1(.):165363069-165364771	0.9363
1_MACS_peak_4618_lociStitched	chr1(.):166134476-166135408	0.9969
1_MACS_peak_4619_lociStitched	chr1(.):168104541-168105207	1.2008
1_MACS_peak_4620_lociStitched	chr1(.):168686934-168687785	0.7264
1_MACS_peak_4621_lociStitched	chr1(.):168689733-168690997	1.182
1_MACS_peak_4622_lociStitched	chr1(.):168693391-168694247	0.8873
1_MACS_peak_4623_lociStitched	chr1(.):169074373-169075153	1.0509
1_MACS_peak_4624_lociStitched	chr1(.):170633593-170633911	0.9845
2_MACS_peak_4625_lociStitched	chr1(.):172361213-172362595	0.9321
3_MACS_peak_4627_lociStitched	chr1(.):172711812-172715121	0.9681
2_MACS_peak_4630_lociStitched	chr1(.):172716182-172719247	1.3258
1_MACS_peak_4632_lociStitched	chr1(.):172751764-172752337	0.73
3_MACS_peak_4633_lociStitched	chr1(.):172850953-172855736	1.2573
1_MACS_peak_4636_lociStitched	chr1(.):172857480-172858063	0.9397
1_MACS_peak_4637_lociStitched	chr1(.):177524799-177525543	0.7888
3_MACS_peak_4638_lociStitched	chr1(.):177528414-177532440	0.884
1_MACS_peak_4641_lociStitched	chr1(.):178063361-178064991	1.1069
1_MACS_peak_4642_lociStitched	chr1(.):179780601-179781377	0.671
4_MACS_peak_4643_lociStitched	chr1(.):180197552-180206680	1.9692
1_MACS_peak_4647_lociStitched	chr1(.):180228133-180228646	0.773
1_MACS_peak_4648_lociStitched	chr1(.):180881022-180883039	1.2704
1_MACS_peak_4649_lociStitched	chr1(.):180885534-180886048	0.9383
1_MACS_peak_4650_lociStitched	chr1(.):180887935-180888289	0.6718
1_MACS_peak_4651_lociStitched	chr1(.):181074660-181076605	1.5349
1_MACS_peak_4652_lociStitched	chr1(.):181287244-181287579	0.5588
1_MACS_peak_4653_lociStitched	chr1(.):182573685-182574518	0.957
1_MACS_peak_4654_lociStitched	chr1(.):182758060-182758842	1.0741
1_MACS_peak_4655_lociStitched	chr1(.):182796873-182798092	1.2658
1_MACS_peak_4656_lociStitched	chr1(.):184943333-184944303	1.0275
2_MACS_peak_4657_lociStitched	chr1(.):197879368-197889259	1.6155
1_MACS_peak_4659_lociStitched	chr1(.):199909239-199910291	0.8395
3_MACS_peak_4660_lociStitched	chr1(.):199912170-199914668	0.8834
3_MACS_peak_4663_lociStitched	chr1(.):200004284-200012313	1.5071
1_MACS_peak_4666_lociStitched	chr1(.):201159687-201160267	0.8617
2_MACS_peak_4667_lociStitched	chr1(.):201174379-201176777	1.0598
5_MACS_peak_4669_lociStitched	chr1(.):201181352-201186876	1.1374
2_MACS_peak_4674_lociStitched	chr1(.):201194847-201196485	0.8692
1_MACS_peak_4676_lociStitched	chr1(.):201224078-201225154	0.9479
1_MACS_peak_4677_lociStitched	chr1(.):201228375-201229545	0.9877
1_MACS_peak_4678_lociStitched	chr1(.):201230842-201232064	0.9095
2_MACS_peak_4679_lociStitched	chr1(.):201245029-201246405	0.9218
6_MACS_peak_4681_lociStitched	chr1(.):201252039-201259326	1.083
2_MACS_peak_4687_lociStitched	chr1(.):201269544-201272293	0.6908
9_MACS_peak_4689_lociStitched	chr1(.):201273953-201296882	1.2079
1_MACS_peak_4698_lociStitched	chr1(.):201317395-201320662	1.1487
4_MACS_peak_4699_lociStitched	chr1(.):201322332-201348024	1.5767
3_MACS_peak_4703_lociStitched	chr1(.):201349409-201358494	1.4216
4_MACS_peak_4706_lociStitched	chr1(.):201361247-201374494	1.3959
2_MACS_peak_4710_lociStitched	chr1(.):201377439-201382527	1.2764
2_MACS_peak_4712_lociStitched	chr1(.):201388176-201391524	0.8766
4_MACS_peak_4714_lociStitched	chr1(.):201437117-201441783	1.0104
2_MACS_peak_4718_lociStitched	chr1(.):201449925-201451378	1.0082
1_MACS_peak_4720_lociStitched	chr1(.):201506835-201509868	1.7225
1_MACS_peak_4721_lociStitched	chr1(.):201564722-201565178	0.7992
2_MACS_peak_4722_lociStitched	chr1(.):201618195-201620495	1.1514
1_MACS_peak_4724_lociStitched	chr1(.):201636106-201636630	0.7498
2_MACS_peak_4725_lociStitched	chr1(.):201854503-201858915	1.1626
1_MACS_peak_4727_lociStitched	chr1(.):201914498-201917138	1.5412
3_MACS_peak_4728_lociStitched	chr1(.):202090512-202096139	0.9366
1_MACS_peak_4731_lociStitched	chr1(.):202146823-202147575	0.8858
2_MACS_peak_4732_lociStitched	chr1(.):202150952-202152592	0.7055
6_MACS_peak_4734_lociStitched	chr1(.):202153807-202173419	1.7522
4_MACS_peak_4740_lociStitched	chr1(.):202176453-202191451	1.3106
2_MACS_peak_4744_lociStitched	chr1(.):202193037-202196238	0.9608
1_MACS_peak_4746_lociStitched	chr1(.):202198224-202198731	0.7429
1_MACS_peak_4747_lociStitched	chr1(.):202205803-202206996	1.0148
3_MACS_peak_4748_lociStitched	chr1(.):202212475-202215078	0.8816
1_MACS_peak_4751_lociStitched	chr1(.):202216872-202218389	0.8725
1_MACS_peak_4752_lociStitched	chr1(.):202234497-202235041	0.7362
3_MACS_peak_4753_lociStitched	chr1(.):202238310-202241325	0.8254
2_MACS_peak_4756_lociStitched	chr1(.):202250317-202251978	0.8312
1_MACS_peak_4758_lociStitched	chr1(.):202270949-202273815	1.114
1_MACS_peak_4759_lociStitched	chr1(.):202599256-202600003	0.8657
1_MACS_peak_4760_lociStitched	chr1(.):202609775-202616584	2.0092
2_MACS_peak_4761_lociStitched	chr1(.):202619718-202621757	0.7644
1_MACS_peak_4763_lociStitched	chr1(.):202626212-202626940	0.8097
1_MACS_peak_4764_lociStitched	chr1(.):202628044-202628951	0.8936
1_MACS_peak_4765_lociStitched	chr1(.):202631054-202631758	0.7645
1_MACS_peak_4766_lociStitched	chr1(.):202650891-202651300	0.8423
3_MACS_peak_4767_lociStitched	chr1(.):202655388-202661349	1.2814
4_MACS_peak_4770_lociStitched	chr1(.):202662613-202666139	0.8195
1_MACS_peak_4774_lociStitched	chr1(.):202672483-202674828	1.1653
1_MACS_peak_4775_lociStitched	chr1(.):202675864-202681549	1.8883
1_MACS_peak_4776_lociStitched	chr1(.):202777988-202778716	1.2831
1_MACS_peak_4777_lociStitched	chr1(.):202780283-202782276	1.0938
2_MACS_peak_4778_lociStitched	chr1(.):202830836-202832079	1.0761
1_MACS_peak_4780_lociStitched	chr1(.):203044744-203045478	0.9545
2_MACS_peak_4781_lociStitched	chr1(.):203091228-203099314	1.3131
1_MACS_peak_4783_lociStitched	chr1(.):203138852-203139375	0.8581
1_MACS_peak_4784_lociStitched	chr1(.):203144087-203144658	0.7583
1_MACS_peak_4785_lociStitched	chr1(.):203309253-203310719	1.1653
1_MACS_peak_4786_lociStitched	chr1(.):204043540-204044475	1.0815
1_MACS_peak_4787_lociStitched	chr1(.):204098833-204100103	0.8292
1_MACS_peak_4788_lociStitched	chr1(.):204114977-204116067	0.8923
1_MACS_peak_4789_lociStitched	chr1(.):204117249-204117880	0.8048
3_MACS_peak_4790_lociStitched	chr1(.):204119269-204125743	1.0808
1_MACS_peak_4793_lociStitched	chr1(.):204130205-204130802	1.0181
3_MACS_peak_4794_lociStitched	chr1(.):204158112-204160996	0.9437
1_MACS_peak_4797_lociStitched	chr1(.):204164906-204168413	1.3037
3_MACS_peak_4798_lociStitched	chr1(.):204326787-204329646	0.7986
1_MACS_peak_4801_lociStitched	chr1(.):204330797-204332681	1.2242
1_MACS_peak_4802_lociStitched	chr1(.):204335891-204336489	0.9177
1_MACS_peak_4803_lociStitched	chr1(.):204346720-204347888	1.1011
2_MACS_peak_4804_lociStitched	chr1(.):204653913-204655227	1.0206
1_MACS_peak_4806_lociStitched	chr1(.):204921393-204921762	0.8881
1_MACS_peak_4807_lociStitched	chr1(.):204936873-204937410	0.7529
1_MACS_peak_4808_lociStitched	chr1(.):204939719-204940412	0.7765
1_MACS_peak_4809_lociStitched	chr1(.):204942195-204944838	1.5319
2_MACS_peak_4810_lociStitched	chr1(.):204946068-204947668	0.7722
1_MACS_peak_4812_lociStitched	chr1(.):204949284-204950028	0.9487
5_MACS_peak_4813_lociStitched	chr1(.):204951258-204963684	1.2597
2_MACS_peak_4818_lociStitched	chr1(.):204965514-204967555	1.0116
2_MACS_peak_4820_lociStitched	chr1(.):204970239-204971647	0.7844
3_MACS_peak_4822_lociStitched	chr1(.):204975694-204991714	1.3684
2_MACS_peak_4825_lociStitched	chr1(.):204998162-205002435	1.1221
2_MACS_peak_4827_lociStitched	chr1(.):205009631-205018936	1.6739
5_MACS_peak_4829_lociStitched	chr1(.):205020403-205029161	1.1794
2_MACS_peak_4834_lociStitched	chr1(.):205033522-205035679	0.8264
1_MACS_peak_4836_lociStitched	chr1(.):205196114-205196750	0.7305
1_MACS_peak_4837_lociStitched	chr1(.):205312557-205313883	1.0351
4_MACS_peak_4838_lociStitched	chr1(.):205420276-205433118	1.5286
2_MACS_peak_4842_lociStitched	chr1(.):205441689-205442997	0.7452
5_MACS_peak_4844_lociStitched	chr1(.):205449328-205456518	0.9147
3_MACS_peak_4849_lociStitched	chr1(.):205458363-205462576	1.075
1_MACS_peak_4852_lociStitched	chr1(.):205487663-205488950	0.8734
4_MACS_peak_4853_lociStitched	chr1(.):205490665-205503622	1.5492
2_MACS_peak_4857_lociStitched	chr1(.):205505358-205506778	1.0041
3_MACS_peak_4859_lociStitched	chr1(.):205510025-205513841	0.873
3_MACS_peak_4862_lociStitched	chr1(.):205536193-205541273	1.1871
1_MACS_peak_4865_lociStitched	chr1(.):205545738-205552519	1.4619
5_MACS_peak_4866_lociStitched	chr1(.):205626052-205643677	1.4606
2_MACS_peak_4871_lociStitched	chr1(.):205645388-205646847	0.7363
3_MACS_peak_4873_lociStitched	chr1(.):205648068-205652260	0.932
1_MACS_peak_4876_lociStitched	chr1(.):205743205-205743801	0.8529
2_MACS_peak_4877_lociStitched	chr1(.):205910827-205914620	0.9871
1_MACS_peak_4879_lociStitched	chr1(.):206681066-206682852	1.4647
1_MACS_peak_4880_lociStitched	chr1(.):206808731-206809803	0.9442
1_MACS_peak_4881_lociStitched	chr1(.):206836424-206837587	0.898
1_MACS_peak_4882_lociStitched	chr1(.):206856140-206857803	0.9923
1_MACS_peak_4883_lociStitched	chr1(.):207669395-207670466	1.3058
2_MACS_peak_4884_lociStitched	chr1(.):208083492-208085602	0.8753
1_MACS_peak_4886_lociStitched	chr1(.):210406406-210406897	0.9317
2_MACS_peak_4887_lociStitched	chr1(.):211909492-211912992	1.1112
1_MACS_peak_4889_lociStitched	chr1(.):212005205-212006443	0.9861
1_MACS_peak_4890_lociStitched	chr1(.):212687699-212688297	0.8527
1_MACS_peak_4891_lociStitched	chr1(.):212738741-212740385	1.1296
1_MACS_peak_4892_lociStitched	chr1(.):212779115-212780057	1.0688
1_MACS_peak_4893_lociStitched	chr1(.):212872189-212874186	1.3924
1_MACS_peak_4894_lociStitched	chr1(.):214157840-214160769	1.1249
2_MACS_peak_4895_lociStitched	chr1(.):217307979-217309746	0.6846
1_MACS_peak_4897_lociStitched	chr1(.):218519934-218520455	0.8341
1_MACS_peak_4898_lociStitched	chr1(.):221924427-221925387	1.1449
2_MACS_peak_4899_lociStitched	chr1(.):221926405-221930030	1.0608
1_MACS_peak_4901_lociStitched	chr1(.):221952348-221954027	1.1106
2_MACS_peak_4902_lociStitched	chr1(.):223306189-223308861	1.0863
1_MACS_peak_4904_lociStitched	chr1(.):223536383-223537001	1.0014
1_MACS_peak_4905_lociStitched	chr1(.):223538045-223538766	0.9222
1_MACS_peak_4906_lociStitched	chr1(.):223726310-223726647	0.6235
1_MACS_peak_4907_lociStitched	chr1(.):223729245-223729537	0.4504
1_MACS_peak_4908_lociStitched	chr1(.):223734479-223734800	0.507
7_MACS_peak_4909_lociStitched	chr1(.):223736090-223746764	0.8529
1_MACS_peak_4916_lociStitched	chr1(.):223827402-223828346	1.0438
1_MACS_peak_4917_lociStitched	chr1(.):225841131-225841678	0.999
1_MACS_peak_4918_lociStitched	chr1(.):226411482-226412306	0.9498
1_MACS_peak_4919_lociStitched	chr1(.):226735992-226738229	2.0271
1_MACS_peak_4920_lociStitched	chr1(.):227747271-227747846	0.6853
1_MACS_peak_4921_lociStitched	chr1(.):228073955-228074403	0.6473
1_MACS_peak_4922_lociStitched	chr1(.):228079987-228080384	0.7247
2_MACS_peak_4923_lociStitched	chr1(.):228087320-228088944	0.8266
1_MACS_peak_4925_lociStitched	chr1(.):228093383-228093683	0.6055
1_MACS_peak_4926_lociStitched	chr1(.):228098757-228099235	0.6826
3_MACS_peak_4927_lociStitched	chr1(.):228107380-228110529	0.7188
2_MACS_peak_4930_lociStitched	chr1(.):228127205-228131230	0.9734
1_MACS_peak_4932_lociStitched	chr1(.):228136365-228136653	0.6982
1_MACS_peak_4933_lociStitched	chr1(.):228139332-228141763	0.903
1_MACS_peak_4934_lociStitched	chr1(.):228159717-228162220	1.0233
2_MACS_peak_4935_lociStitched	chr1(.):228192157-228203064	1.5479
1_MACS_peak_4937_lociStitched	chr1(.):228205698-228206096	0.7349
1_MACS_peak_4938_lociStitched	chr1(.):228209077-228210161	0.9967
1_MACS_peak_4939_lociStitched	chr1(.):228224372-228224741	0.8376
2_MACS_peak_4940_lociStitched	chr1(.):228232421-228234037	0.8147
4_MACS_peak_4942_lociStitched	chr1(.):228248192-228251562	0.8658
1_MACS_peak_4946_lociStitched	chr1(.):228254573-228255353	1.0261
2_MACS_peak_4947_lociStitched	chr1(.):228347741-228350612	1.0305
3_MACS_peak_4949_lociStitched	chr1(.):228401581-228404744	0.9974
2_MACS_peak_4952_lociStitched	chr1(.):228407121-228408719	0.9679
1_MACS_peak_4954_lociStitched	chr1(.):228459707-228460101	0.6373
1_MACS_peak_4955_lociStitched	chr1(.):228542832-228543361	0.7621
1_MACS_peak_4956_lociStitched	chr1(.):228547573-228548076	0.7309
1_MACS_peak_4957_lociStitched	chr1(.):228549522-228550322	0.8035
8_MACS_peak_4958_lociStitched	chr1(.):228554330-228560810	0.8586
1_MACS_peak_4966_lociStitched	chr1(.):228633739-228634158	0.8467
1_MACS_peak_4967_lociStitched	chr1(.):228645622-228646340	0.9927
1_MACS_peak_4968_lociStitched	chr1(.):228726746-228727161	0.7748
11_MACS_peak_4969_lociStitched	chr1(.):228744067-228784377	1.112
1_MACS_peak_4980_lociStitched	chr1(.):229569157-229570216	0.7764
1_MACS_peak_4981_lociStitched	chr1(.):230560816-230561336	1.0932
1_MACS_peak_4982_lociStitched	chr1(.):231174807-231175285	0.8536
1_MACS_peak_4983_lociStitched	chr1(.):231176477-231176995	0.8367
1_MACS_peak_4984_lociStitched	chr1(.):232764724-232765594	1.4291
1_MACS_peak_4985_lociStitched	chr1(.):234349829-234350778	1.0377
2_MACS_peak_4986_lociStitched	chr1(.):234912044-234921040	2.2371
1_MACS_peak_4988_lociStitched	chr1(.):234928038-234928538	0.7004
1_MACS_peak_4989_lociStitched	chr1(.):234930921-234931575	0.6642
1_MACS_peak_4990_lociStitched	chr1(.):234937836-234938406	0.8429
1_MACS_peak_4991_lociStitched	chr1(.):234939420-234940222	1.0013
9_MACS_peak_4992_lociStitched	chr1(.):234941271-234956146	0.9319
1_MACS_peak_5001_lociStitched	chr1(.):235094906-235095492	0.8099
1_MACS_peak_5002_lociStitched	chr1(.):235096512-235097269	0.9721
1_MACS_peak_5003_lociStitched	chr1(.):235144746-235146489	1.1169
2_MACS_peak_5004_lociStitched	chr1(.):235810754-235812922	0.8694
1_MACS_peak_5006_lociStitched	chr1(.):235814596-235815041	0.7269
3_MACS_peak_5007_lociStitched	chr1(.):236282882-236285273	0.8371
1_MACS_peak_5010_lociStitched	chr1(.):236303864-236304725	0.8028
2_MACS_peak_5011_lociStitched	chr1(.):236306082-236307066	0.7825
2_MACS_peak_5013_lociStitched	chr1(.):236310924-236312608	1.1546
3_MACS_peak_5015_lociStitched	chr1(.):236317632-236320155	0.9231
2_MACS_peak_5018_lociStitched	chr1(.):236326213-236328707	0.7475
1_MACS_peak_5020_lociStitched	chr1(.):236627003-236627500	0.9265
1_MACS_peak_5021_lociStitched	chr1(.):237280781-237281095	9.5749
1_MACS_peak_5022_lociStitched	chr1(.):237663494-237664206	0.867
8_MACS_peak_5023_lociStitched	chr1(.):237665533-237677586	1.2076
1_MACS_peak_5031_lociStitched	chr1(.):245317060-245319858	1.6408
1_MACS_peak_5032_lociStitched	chr10(.):127056-127496	0.6678
1_MACS_peak_5033_lociStitched	chr10(.):782242-782788	0.6893
4_MACS_peak_5034_lociStitched	chr10(.):821757-824385	0.6663
1_MACS_peak_5038_lociStitched	chr10(.):827367-827687	0.6998
2_MACS_peak_5039_lociStitched	chr10(.):830295-831610	0.9126
1_MACS_peak_5041_lociStitched	chr10(.):1000790-1001148	0.5732
1_MACS_peak_5042_lociStitched	chr10(.):1205061-1205497	0.6304
2_MACS_peak_5043_lociStitched	chr10(.):1217975-1219262	0.7055
1_MACS_peak_5045_lociStitched	chr10(.):1224201-1224842	0.7392
1_MACS_peak_5046_lociStitched	chr10(.):1226101-1226439	0.9248
5_MACS_peak_5047_lociStitched	chr10(.):1228148-1237510	0.9836
2_MACS_peak_5052_lociStitched	chr10(.):1247143-1248308	0.8749
1_MACS_peak_5054_lociStitched	chr10(.):1249628-1249967	0.7759
1_MACS_peak_5055_lociStitched	chr10(.):1252037-1252405	0.5638
5_MACS_peak_5056_lociStitched	chr10(.):1281794-1285925	0.7034
1_MACS_peak_5061_lociStitched	chr10(.):1336367-1336718	0.699
1_MACS_peak_5062_lociStitched	chr10(.):1356312-1356643	0.6405
1_MACS_peak_5063_lociStitched	chr10(.):1386742-1387114	0.8873
1_MACS_peak_5064_lociStitched	chr10(.):1391399-1391762	0.798
1_MACS_peak_5065_lociStitched	chr10(.):1402254-1403036	0.7948
1_MACS_peak_5066_lociStitched	chr10(.):1437829-1438186	0.7219
1_MACS_peak_5067_lociStitched	chr10(.):1441212-1441612	0.7398
1_MACS_peak_5068_lociStitched	chr10(.):1443365-1443833	0.8956
1_MACS_peak_5069_lociStitched	chr10(.):1445113-1445826	0.782
1_MACS_peak_5070_lociStitched	chr10(.):1450596-1451425	0.7522
3_MACS_peak_5071_lociStitched	chr10(.):1452472-1455875	0.8648
2_MACS_peak_5074_lociStitched	chr10(.):1508664-1510081	0.7264
3_MACS_peak_5076_lociStitched	chr10(.):1519440-1521334	0.6132
1_MACS_peak_5079_lociStitched	chr10(.):1549712-1550135	0.7203
1_MACS_peak_5080_lociStitched	chr10(.):1558434-1558746	0.6809
2_MACS_peak_5081_lociStitched	chr10(.):1576546-1577397	0.7991
1_MACS_peak_5083_lociStitched	chr10(.):1581320-1581629	0.8209
3_MACS_peak_5084_lociStitched	chr10(.):1594173-1596615	0.8753
1_MACS_peak_5087_lociStitched	chr10(.):1601749-1602245	0.5751
1_MACS_peak_5088_lociStitched	chr10(.):1611293-1611654	0.5673
1_MACS_peak_5089_lociStitched	chr10(.):1713988-1714622	0.8381
1_MACS_peak_5090_lociStitched	chr10(.):1779619-1779937	0.6294
1_MACS_peak_5091_lociStitched	chr10(.):2963869-2964192	0.4503
1_MACS_peak_5092_lociStitched	chr10(.):2965569-2966428	1.0014
2_MACS_peak_5093_lociStitched	chr10(.):2976595-2978353	0.6121
1_MACS_peak_5095_lociStitched	chr10(.):3116088-3116426	0.5778
1_MACS_peak_5096_lociStitched	chr10(.):3118220-3119068	0.9149
2_MACS_peak_5097_lociStitched	chr10(.):3156701-3157841	0.6314
1_MACS_peak_5099_lociStitched	chr10(.):5599651-5600260	0.7397
2_MACS_peak_5100_lociStitched	chr10(.):5605042-5605922	0.6859
1_MACS_peak_5102_lociStitched	chr10(.):5882410-5882825	0.9207
3_MACS_peak_5103_lociStitched	chr10(.):6086583-6092582	1.3395
3_MACS_peak_5106_lociStitched	chr10(.):6094960-6099764	0.9762
1_MACS_peak_5109_lociStitched	chr10(.):6178494-6179418	0.9372
1_MACS_peak_5110_lociStitched	chr10(.):6444719-6445824	0.9938
2_MACS_peak_5111_lociStitched	chr10(.):8088042-8090683	0.9077
2_MACS_peak_5113_lociStitched	chr10(.):11733094-11734887	0.6409
3_MACS_peak_5115_lociStitched	chr10(.):11744791-11760020	1.6719
3_MACS_peak_5118_lociStitched	chr10(.):11761260-11764646	1.1031
3_MACS_peak_5121_lociStitched	chr10(.):11918628-11921793	0.7799
1_MACS_peak_5124_lociStitched	chr10(.):14090744-14090936	0.8
3_MACS_peak_5125_lociStitched	chr10(.):21785942-21789995	0.9471
1_MACS_peak_5128_lociStitched	chr10(.):21804878-21805233	0.6767
1_MACS_peak_5129_lociStitched	chr10(.):22610910-22612133	1.9582
2_MACS_peak_5130_lociStitched	chr10(.):22624224-22627523	1.1273
2_MACS_peak_5132_lociStitched	chr10(.):28032613-28034127	0.8993
1_MACS_peak_5134_lociStitched	chr10(.):28655598-28656025	0.7945
1_MACS_peak_5135_lociStitched	chr10(.):28659033-28659782	0.8874
1_MACS_peak_5136_lociStitched	chr10(.):30646039-30646450	0.8377
1_MACS_peak_5137_lociStitched	chr10(.):33624590-33625039	0.5934
1_MACS_peak_5140_lociStitched	chr10(.):43261758-43261961	10.5538
2_MACS_peak_5141_lociStitched	chr10(.):43597773-43599263	0.6877
1_MACS_peak_5143_lociStitched	chr10(.):43749047-43749445	0.7018
1_MACS_peak_5144_lociStitched	chr10(.):44880842-44881228	0.7059
1_MACS_peak_5145_lociStitched	chr10(.):46822514-46822842	0.3995
4_MACS_peak_5146_lociStitched	chr10(.):46966684-46973861	1.1248
1_MACS_peak_5150_lociStitched	chr10(.):46975469-46975978	0.859
2_MACS_peak_5151_lociStitched	chr10(.):46992064-46993768	0.8689
1_MACS_peak_5153_lociStitched	chr10(.):46998631-47001423	1.1799
1_MACS_peak_5154_lociStitched	chr10(.):47289635-47289980	0.6182
2_MACS_peak_5155_lociStitched	chr10(.):47292704-47293864	0.4936
2_MACS_peak_5157_lociStitched	chr10(.):48125245-48126874	0.6167
1_MACS_peak_5159_lociStitched	chr10(.):48138756-48139532	0.6185
2_MACS_peak_5160_lociStitched	chr10(.):48357093-48359952	0.9331
