REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X23_0F29_0229Kronos_MM1S.KB.1hr.1_H3K27me3_hs.dm_i05.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
7_MACS_peak_29516_lociStitched	chr9	139058235	139096683	7	37502	59371.4016	2929.7376	163	LHX3	C9orf69,QSOX2	LHX3	163	1
6_MACS_peak_1462_lociStitched	chr1	11487498	11525647	6	37399	44542.7724	3433.41	164		PTCHD2	PTCHD2	164	1
3_MACS_peak_9345_lociStitched	chr16	1044617	1082551	3	37241	59632.248	3110.588	165		SOX8,SSTR5,LMF1,LOC146336	SOX8	165	1
6_MACS_peak_20406_lociStitched	chr21	46818216	46856574	6	37168	72730.6038	4027.59	166	COL18A1,NCRNA00175	COL18A1	NCRNA00175	166	1
8_MACS_peak_28890_lociStitched	chr9	135845548	135884306	8	37014	48974.6088	3953.316	167	GFI1B	GTF3C5,TSC1	GFI1B	167	1
10_MACS_peak_412_lociStitched	chr1	3364235	3403429	10	36968	52559.154	2771.0158	168	ARHGEF16		ARHGEF16	168	1
9_MACS_peak_1836_lociStitched	chr1	17939026	17978583	9	36944	43694.6622	3607.5984	169	ARHGEF10L		ARHGEF10L	169	1
9_MACS_peak_4721_lociStitched	chr10	102482438	102521626	9	36722	59667.6488	4110.8212	170	PAX2		PAX2	170	1
4_MACS_peak_28975_lociStitched	chr9	136287095	136324581	4	36553	53646.2146	4269.6554	171	ADAMTS13	C9orf96,C9orf7,SURF4,REXO4,SLC2A6	ADAMTS13	171	1
4_MACS_peak_5318_lociStitched	chr11	1026139	1063117	4	36540	62577.8694	3989.9262	172	MUC6	MUC2	MUC6	172	1
18_MACS_peak_8908_lociStitched	chr15	74460634	74502175	18	36529	42454.902	3900.6999	173	ISLR,STRA6	ISLR2,CCDC33,LOC283731	STRA6	173	1
8_MACS_peak_20267_lociStitched	chr21	45851202	45889496	8	36508	50601.6916	4779.0912	174	TRPM2,LRRC3	C21orf90	LRRC3	174	1
8_MACS_peak_21309_lociStitched	chr22	37884790	37923187	8	36348	46782.9048	4381.0977	175	CARD10	CDC42EP1,MFNG	CARD10	175	1
26_MACS_peak_27175_lociStitched	chr8	7585160	7630157	26	36317	28321.1118	3235.2843	176	FAM90A8,FAM90A18,FAM90A9,FAM90A10	FAM90A19	FAM90A9	176	1
6_MACS_peak_5533_lociStitched	chr11	2305655	2342951	6	36308	49226.9904	3069.4608	177	TSPAN32,C11orf21	ASCL2	TSPAN32	177	1
5_MACS_peak_11708_lociStitched	chr17	26830785	26867994	5	36060	49499.1327	4483.6845	178	FOXN1	SLC13A2,UNC119,PIGS,ALDOC	FOXN1	178	1
4_MACS_peak_26236_lociStitched	chr7	150940800	150977616	4	36006	72093.0912	5879.5152	179	SMARCD3	CHPF2,MIR671,ABCF2	SMARCD3	179	1
7_MACS_peak_19823_lociStitched	chr20	61779543	61816946	7	35961	47599.0578	2850.1086	180	MIR124-3	HAR1A,HAR1B,YTHDF1	MIR124-3	180	1
9_MACS_peak_28326_lociStitched	chr9	127232744	127270023	9	35635	47691.0247	3228.3614	181	GPR144,NR5A1		NR5A1	181	1
14_MACS_peak_12009_lociStitched	chr17	41704536	41745969	14	35628	38557.5498	4309.032	182	MEOX1		MEOX1	182	1
7_MACS_peak_21480_lociStitched	chr22	42795262	42832828	7	35580	48929.715	3384.6966	183	NFAM1		NFAM1	183	1
6_MACS_peak_15998_lociStitched	chr19	36334298	36370579	6	35470	41556.2574	3043.9759	184	KIRREL2,APLP1,NPHS1	HCST,PRODH2,NFKBID,TYROBP	KIRREL2	184	1
7_MACS_peak_25974_lociStitched	chr7	100743364	100781560	7	35460	43929.2196	3815.7804	185	SERPINE1	TRIM56,AP1S1,VGF,C7orf52	SERPINE1	185	1
2_MACS_peak_29526_lociStitched	chr9	139216941	139252809	2	35381	84282.6264	3005.7384	186	GPSM1,LOC26102	DNLZ,CARD9,SNAPC4	GPSM1	186	1
7_MACS_peak_21613_lociStitched	chr22	44214079	44250472	7	35133	42670.7925	3479.1708	187	SULT4A1	EFCAB6,PNPLA5	EFCAB6	187	1
6_MACS_peak_29585_lociStitched	chr9	139917693	139954007	6	35012	63934.4284	3994.54	188	C9orf139,ABCA2,FUT7,NPDC1,ENTPD2	PTGDS,LCNL1,C9orf142,UAP1L1,MAN1B1,CLIC3,C9orf140,LOC100289341	NPDC1	188	1
13_MACS_peak_5548_lociStitched	chr11	2370389	2408648	13	34989	42237.936	3684.3417	189	CD81	TSPAN32,TSSC4,C11orf21,TRPM5	CD81	189	1
8_MACS_peak_9316_lociStitched	chr16	916183	952832	8	34970	44730.1045	2939.2498	190	LMF1		PRR25	190	1
12_MACS_peak_26489_lociStitched	chr7	155595874	155633905	12	34650	45104.766	4472.4456	191	SHH		SHH	191	1
9_MACS_peak_19012_lociStitched	chr20	48880899	48916978	9	34442	40715.1515	3542.9578	192	LOC284751		LOC284751	192	1
3_MACS_peak_13465_lociStitched	chr17	79112537	79147268	3	34414	61018.8939	3521.7234	193	LOC388428,AATK	MIR3065,MIR657,MIR338,MIR1250,AZI1	LOC388428	193	1
6_MACS_peak_28618_lociStitched	chr9	133249145	133284506	6	34339	43363.1943	3030.4377	194		ASS1	ASS1	194	1
7_MACS_peak_18626_lociStitched	chr20	30425123	30461475	7	34253	48580.8128	4616.704	195	TTLL9,FOXS1,DUSP15	MYLK2	FOXS1	195	1
10_MACS_peak_25876_lociStitched	chr7	100213939	100249886	10	34225	40878.9284	3648.6205	196	TFR2,ACTL6B	FBXO24,PCOLCE,MOSPD3,GNB2,SAP25,LRCH4,GIGYF1	TFR2	196	1
7_MACS_peak_9432_lociStitched	chr16	2325016	2361268	7	34162	55447.434	4255.9848	197	ABCA3	DNASE1L2,MIR3677,MIR940,ABCA17P,DCI,RNPS1	MIR940	197	1
14_MACS_peak_19342_lociStitched	chr20	57180530	57216313	14	33986	35020.8221	3485.2642	198	LOC149773	STX16	STX16	198	1
5_MACS_peak_21683_lociStitched	chr22	44732919	44768064	5	33906	39977.4375	3106.818	199		KIAA1644	KIAA1644	199	1
5_MACS_peak_13361_lociStitched	chr17	77898085	77932707	5	33884	53716.033	3046.736	200	TBC1D16		TBC1D16	200	1
4_MACS_peak_20280_lociStitched	chr21	45907975	45942894	4	33842	59030.5695	4556.9295	201	C21orf90,C21orf29	LRRC3,KRTAP10-1,KRTAP10-2,KRTAP10-3	C21orf90	201	1
10_MACS_peak_1109_lociStitched	chr1	7716396	7753220	10	33736	40244.9496	3431.9968	202	CAMTA1		VAMP3	202	1
27_MACS_peak_16401_lociStitched	chr19	42286092	42326604	27	33682	35144.16	4626.4704	203	CEACAM3	CEACAM6,DMRTC2,RPS19,LYPD4	CEACAM3	203	1
2_MACS_peak_18251_lociStitched	chr2	220328886	220363110	2	33656	60377.9808	3726.9936	204	SPEG	DES,GMPPA,ACCN4,TMEM198,CHPF	GMPPA	204	1
11_MACS_peak_23227_lociStitched	chr4	3850560	3886485	11	33628	42017.88	3517.0575	205			LOC348926	205	1
6_MACS_peak_14504_lociStitched	chr19	7629522	7664233	6	33559	43583.1316	4644.3318	206	KIAA1543	ZNF358,MCOLN1,PNPLA6,LOC100131801,STXBP2,XAB2,PCP2	KIAA1543	206	1
4_MACS_peak_14114_lociStitched	chr19	4140391	4174082	4	33533	57871.0307	4976.1607	207	CREB3L3	ANKRD24,MAP2K2,SIRT6	CREB3L3	207	1
19_MACS_peak_1034_lociStitched	chr1	7508572	7545174	19	33434	35877.2804	2737.8296	208	CAMTA1		VAMP3	208	1
2_MACS_peak_14136_lociStitched	chr19	4509576	4543177	2	33384	60374.2768	4909.1061	209	PLIN4,PLIN5,LRG1,SEMA6B	HDGFRP2	PLIN4	209	1
10_MACS_peak_20472_lociStitched	chr21	47389763	47425746	10	33321	63859.0301	4058.8824	210	COL6A1		COL6A1	210	1
8_MACS_peak_21668_lociStitched	chr22	44653777	44689836	8	33281	41002.6889	3018.1383	211	KIAA1644		KIAA1644	211	1
2_MACS_peak_33_lociStitched	chr1	845014	879043	2	33272	86620.8195	3382.4826	212	SAMD11,FLJ39609	KLHL17,PLEKHN1,FAM41C,NOC2L,C1orf170	SAMD11	212	1
11_MACS_peak_13146_lociStitched	chr17	76476646	76512747	11	33228	41971.0226	3768.9444	213	DNAH17		DNAH17	213	1
5_MACS_peak_14150_lociStitched	chr19	4733952	4767769	5	33201	48686.3349	5187.5278	214		C19orf30,MIR7-3,FEM1A,DPP9	C19orf30	214	1
3_MACS_peak_29206_lociStitched	chr9	137683626	137717097	3	33180	44024.4063	2764.7046	215	COL5A1	MIR3689B,MIR3689A	MIR3689B	215	1
6_MACS_peak_29460_lociStitched	chr9	138571848	138605891	6	33035	41787.7825	2590.6723	216	KCNT1,SOHLH1	LCN9,GLT6D1	SOHLH1	216	1
6_MACS_peak_21676_lociStitched	chr22	44692804	44726660	6	32954	39520.1088	3165.536	217	KIAA1644		KIAA1644	217	1
6_MACS_peak_20501_lociStitched	chr21	47528640	47562868	6	32637	53190.312	4199.7756	218	COL6A2,FTCD	C21orf56	COL6A2	218	1
5_MACS_peak_28030_lociStitched	chr8	144938403	144972169	5	32525	52779.6346	3552.1832	219	EPPK1	MIR937,SCRIB,PUF60,NRBP2,PLEC,MIR661	EPPK1	219	1
10_MACS_peak_28135_lociStitched	chr9	34547788	34580752	10	32216	39747.9912	3398.5884	220	LOC415056,CNTFR	ENHO,C9orf23,DCTN3,ARID3C	LOC415056	220	1
3_MACS_peak_13428_lociStitched	chr17	78429565	78461928	3	32163	50327.7013	2750.855	221	NPTX1	FLJ35220,LOC100294362	NPTX1	221	1
7_MACS_peak_12878_lociStitched	chr17	72872946	72906850	7	32050	38575.9712	3688.7552	222	FADS6	OTOP2,OTOP3,GRIN2C,FDXR,USH1G	FADS6	222	1
7_MACS_peak_16769_lociStitched	chr19	47114619	47147454	7	32048	45624.2325	4275.117	223	PTGIR,GNG8	CALM3,DACT3	PTGIR	223	1
8_MACS_peak_39_lociStitched	chr1	913423	947238	8	31984	54536.832	3249.6215	224	C1orf170,HES4	KLHL17,PLEKHN1,ISG15,AGRN,NOC2L	HES4	224	1
13_MACS_peak_7238_lociStitched	chr12	1919575	1955958	13	31851	40054.0447	3474.5765	225	LRTM2,CACNA2D4		LRTM2	225	1
6_MACS_peak_17493_lociStitched	chr19	55630230	55662779	6	31826	40100.368	3235.3706	226	TNNT1	EPS8L1,RDH13,PPP1R12C,TNNI3,C19orf51,SYT5	TNNT1	226	1
7_MACS_peak_2235_lociStitched	chr1	19353562	19386575	7	31746	37634.82	3661.1417	227			IFFO2	227	1
5_MACS_peak_19837_lociStitched	chr20	61937953	61970735	5	31575	46104.6048	3130.681	228	COL20A1	ARFGAP1,MIR4326,CHRNA4	COL20A1	228	1
4_MACS_peak_27823_lociStitched	chr8	143675385	143707696	4	31478	39487.2731	2520.258	229	ARC	PSCA,JRK	ARC	229	1
5_MACS_peak_13423_lociStitched	chr17	78395343	78428381	5	31438	43705.9702	3320.319	230	FLJ35220	LOC100294362,NPTX1	LOC100294362	230	1
8_MACS_peak_13982_lociStitched	chr19	3094592	3127856	8	31396	40375.8432	3931.8048	231	GNA11	GNA15,TLE2,AES	GNA11	231	1
2_MACS_peak_22903_lociStitched	chr3	184275166	184306409	2	31216	54540.9051	4642.7098	232	EPHB3		EPHB3	232	1
10_MACS_peak_17542_lociStitched	chr19	55995845	56028419	10	31088	45004.2384	3491.9328	233	ZNF628,NAT14,SSC5D	SHISA7,ISOC2,SBK2	SSC5D	233	1
16_MACS_peak_21534_lociStitched	chr22	43601956	43638705	16	31070	39424.3272	3520.5542	234	SCUBE1	TTLL12	TTLL12	234	1
6_MACS_peak_14060_lociStitched	chr19	3436498	3467762	6	30851	49093.8592	4498.8896	235	NFIC	FZR1,C19orf77,DOHH	C19orf77	235	1
7_MACS_peak_22274_lociStitched	chr22	50461855	50495744	7	30837	41266.6353	3538.0116	236	TTLL8	MOV10L1,IL17REL,MLC1	TTLL8	236	1
9_MACS_peak_27784_lociStitched	chr8	143528797	143563564	9	30828	38038.5747	2489.3172	237	BAI1	TSNARE1	BAI1	237	1
9_MACS_peak_19797_lociStitched	chr20	61672728	61707107	9	30825	40120.293	3290.0703	238	LOC100144597,LOC63930	HAR1A,BHLHE23,NCRNA00029,HAR1B	LOC100144597	238	1
9_MACS_peak_13331_lociStitched	chr17	77771593	77804955	9	30638	55197.429	3132.6918	239		CBX2,CBX8,CBX4	CBX8	239	1
17_MACS_peak_6401_lociStitched	chr11	69930286	69964073	17	30612	33303.8459	2615.1138	240	ANO1		ANO1	240	1
10_MACS_peak_23286_lociStitched	chr4	6365582	6399524	10	30592	34848.2514	3085.3278	241	PPP2R2C		PPP2R2C	241	1
8_MACS_peak_2577_lociStitched	chr1	22870736	22903081	8	30521	38658.744	2733.1525	242	EPHA8		EPHA8	242	1
15_MACS_peak_23504_lociStitched	chr4	7458638	7495206	15	30461	32669.8512	2461.0264	243	SORCS2,MIR4274	PSAPL1	MIR4274	243	1
16_MACS_peak_14662_lociStitched	chr19	8594031	8629950	16	30417	30480.8634	4076.8065	244	MYO1F	PRAM1,ZNF414,ADAMTS10	MYO1F	244	1
7_MACS_peak_19907_lociStitched	chr20	62448224	62480667	7	30364	39953.5545	2848.4954	245		C20orf135,TPD52L2,DNAJC5,ZBTB46	ZBTB46	245	1
4_MACS_peak_24526_lociStitched	chr5	176265967	176297396	4	30344	48164.9425	2944.8973	246	UNC5A	HK3	UNC5A	246	1
8_MACS_peak_29554_lociStitched	chr9	139627676	139659064	8	30343	57797.8632	2959.8884	247	LOC100128593,LCN10,LCN6,LCN8,LCN15	FAM69B,TMEM141,KIAA1984,C9orf86,AGPAT2,SNORA43,SNORA17,SNHG7,LOC100131193	LCN6	247	1
9_MACS_peak_21968_lociStitched	chr22	45894361	45926042	9	30337	34582.9796	2756.247	248	FBLN1		FBLN1	248	1
4_MACS_peak_6203_lociStitched	chr11	68758490	68790105	4	30323	46183.192	3091.947	249	MRGPRF	TPCN2,MRGPRD	MRGPRF	249	1
7_MACS_peak_19844_lociStitched	chr20	61985627	62017794	7	30316	44560.9451	2158.4057	250	CHRNA4		CHRNA4	250	1
9_MACS_peak_25003_lociStitched	chr6	34082704	34115413	9	30122	40202.6319	2999.4153	251	GRM4		GRM4	251	1
10_MACS_peak_26001_lociStitched	chr7	100915605	100947343	10	30110	34740.4148	3310.2734	252		CLDN15,FIS1,RABL5	RABL5	252	1
9_MACS_peak_21451_lociStitched	chr22	42683841	42716505	9	30097	36926.652	3645.3024	253		LOC388906	LOC388906	253	1
4_MACS_peak_17121_lociStitched	chr19	49915479	49946240	4	29906	42490.1693	3005.3497	254	CCDC155,LOC645971,PTH2,SLC17A7	DKKL1,ALDH16A1,FLT3LG,RPL13AP5,SNORD32A,SNORD33,SNORD34,SNORD35A,TEAD2,PIH1D1	LOC645971	254	1
5_MACS_peak_11842_lociStitched	chr17	36715905	36747097	5	29893	49517.3	3268.9216	255	SRCIN1		SRCIN1	255	1
7_MACS_peak_27816_lociStitched	chr8	143643698	143674307	7	29855	38301.0417	2173.239	256		ARC	ARC	256	1
8_MACS_peak_29800_lociStitched	chrX	152796210	152827719	8	29778	32684.2857	1707.7878	257	ATP2B3	BGN,FAM58A	ATP2B3	257	1
11_MACS_peak_15417_lociStitched	chr19	17633247	17665308	11	29621	34289.2395	3366.405	258	FAM129C	PGLS,GLT25D1	FAM129C	258	1
9_MACS_peak_11556_lociStitched	chr17	18971511	19003065	9	29553	28890.8424	3552.9804	259		GRAPL,GRAP	GRAP	259	1
7_MACS_peak_22445_lociStitched	chr3	13659833	13690685	7	29551	34612.8588	3017.3256	260	FBLN2	LOC285375	LOC285375	260	1
6_MACS_peak_13325_lociStitched	chr17	77735858	77766571	6	29516	43999.4438	3040.587	261	CBX2	ENPP7,CBX8,CBX4	CBX2	261	1
11_MACS_peak_11584_lociStitched	chr17	19097527	19129186	11	29461	29028.1371	3384.3471	262		EPN2	EPN2	262	1
13_MACS_peak_11571_lociStitched	chr17	19055755	19087359	13	29458	28519.4496	3577.5728	263	GRAPL		GRAPL	263	1
6_MACS_peak_5481_lociStitched	chr11	1937338	1968121	6	29374	50477.9634	2647.338	264	TNNT3	LSP1,MRPL23,LOC100133545,MIR675	TNNT3	264	1
8_MACS_peak_13435_lociStitched	chr17	78478095	78509383	8	29374	34363.6104	3225.7928	265		RPTOR,NPTX1	RPTOR	265	1
12_MACS_peak_5938_lociStitched	chr11	64284785	64316299	12	29291	31473.0318	3249.0934	266		SLC22A11,SLC22A12	SLC22A11	266	1
5_MACS_peak_18213_lociStitched	chr2	219845390	219875857	5	29114	51147.9996	3171.6147	267	FEV,CRYBA2,MIR375,CCDC108	CDK5R2,LOC151300,CCDC108,MIR3131,IHH	CRYBA2	267	1
8_MACS_peak_25911_lociStitched	chr7	100381618	100412096	8	28941	32739.4676	3236.7636	268	ZAN,EPHB4	SLC12A9	EPHB4	268	1
6_MACS_peak_1527_lociStitched	chr1	11747614	11777517	6	28913	41418.6453	3328.2039	269	C1orf187,MAD2L2	FBXO44,FBXO6,AGTRAP,FBXO2,MAD2L2	C1orf187	269	1
5_MACS_peak_9464_lociStitched	chr16	2854222	2884086	5	28865	40934.5848	3195.448	270	PRSS41,PRSS21,ZG16B	FLYWCH2,TCEB2,PRSS33,PRSS30P,PRSS22	PRSS21	270	1
5_MACS_peak_17125_lociStitched	chr19	50011417	50041664	5	28794	34787.0747	3469.3309	271	FCGRT,RCN3	FLT3LG,RPL13AP5,SNORD32A,SNORD33,SNORD34,SNORD35A,RPS11,SNORD35B,PRRG2,MIR150,NOSIP	RCN3	271	1
5_MACS_peak_26147_lociStitched	chr7	128467634	128498374	5	28792	47686.962	4644.814	272	FLNC	CCDC136,ATP6V1F,LOC100130705	FLNC	272	1
4_MACS_peak_16808_lociStitched	chr19	47901717	47930937	4	28791	43897.206	3348.612	273	MEIS3	DHX34,SLC8A2	MEIS3	273	1
14_MACS_peak_17220_lociStitched	chr19	50930541	50962343	14	28677	31067.3738	3358.2912	274	SPIB,MYBPC2	POLD1,C19orf63,FAM71E1	MYBPC2	274	1
15_MACS_peak_2681_lociStitched	chr1	23215413	23248475	15	28673	31759.3572	3587.227	275	EPHB2	MIR4253	MIR4253	275	1
8_MACS_peak_5197_lociStitched	chr10	135044974	135075068	8	28607	37873.299	2973.2872	276	UTF1,VENTX,MIR202	ZNF511,ADAM8,TUBGCP2	MIR202	276	1
12_MACS_peak_16946_lociStitched	chr19	48778500	48810453	12	28520	32199.0381	3639.4467	277	ZNF114,CCDC114	EMP3,CARD8	ZNF114	277	1
15_MACS_peak_27920_lociStitched	chr8	144206817	144240468	15	28462	31463.685	3028.59	278	LY6H		LY6H	278	1
10_MACS_peak_2644_lociStitched	chr1	23086939	23118871	10	28452	31210.3368	3132.5292	279	EPHB2		EPHB2	279	1
3_MACS_peak_3923_lociStitched	chr1	201317191	201346432	3	28448	40779.4986	4839.3855	280	TNNT2	LAD1,TNNI1	TNNT2	280	1
3_MACS_peak_29523_lociStitched	chr9	139138342	139167009	3	28418	59409.4908	3124.703	281		LHX3,QSOX2	QSOX2	281	1
3_MACS_peak_826_lociStitched	chr1	6180792	6209377	3	28417	42791.745	2778.462	282	CHD5		CHD5	282	1
4_MACS_peak_13469_lociStitched	chr17	79272741	79301524	4	28378	48674.9313	2722.8718	283	C17orf55,TMEM105	SLC38A10	C17orf55	283	1
6_MACS_peak_1547_lociStitched	chr1	11924868	11954087	6	28314	36418.5616	3272.528	284		PLOD1,NPPA,NPPB,KIAA2013	NPPB	284	1
15_MACS_peak_23445_lociStitched	chr4	7286020	7316915	15	28297	29835.3015	2338.7515	285	SORCS2		SORCS2	285	1
6_MACS_peak_29475_lociStitched	chr9	138660987	138690459	6	28182	46683.648	2343.024	286	KCNT1		KCNT1	286	1
8_MACS_peak_21356_lociStitched	chr22	38835269	38865086	8	28155	34644.3723	3309.687	287	KDELR3,KCNJ4	LOC400927,DDX17	KCNJ4	287	1
8_MACS_peak_6952_lociStitched	chr11	118012301	118044192	8	28001	38036.3957	4365.8779	288	SCN4B,SCN2B	AMICA1	SCN4B	288	1
5_MACS_peak_11035_lociStitched	chr17	1904437	1933484	5	27922	41659.2074	3238.7405	289	DPH1,RTN4RL1	OVCA2,HIC1,MIR132,MIR212	RTN4RL1	289	1
5_MACS_peak_29140_lociStitched	chr9	137423599	137452182	5	27901	33813.689	2057.976	290			COL5A1	290	1
14_MACS_peak_13039_lociStitched	chr17	75773790	75805638	14	27762	31695.1296	3149.7672	291			FLJ45079	291	1
7_MACS_peak_21269_lociStitched	chr22	37518064	37546617	7	27746	33823.8838	3117.9876	292	IL2RB	TMPRSS6,C1QTNF6	IL2RB	292	1
3_MACS_peak_24852_lociStitched	chr6	31957295	31985310	3	27671	63493.196	3765.216	293	C4B,C4A,CYP21A2,STK19,TNXA,TNXB	CFB,SKIV2L,STK19,MIR1236,RDBP,DOM3Z	CYP21A2	293	1
9_MACS_peak_16841_lociStitched	chr19	48210768	48240517	9	27600	31697.5595	2894.5777	294	EHD2	GLTSCR2,SNORD23,SEPW1	EHD2	294	1
7_MACS_peak_19923_lociStitched	chr20	62726692	62756507	7	27591	45694.469	3470.466	295	OPRL1,NPBWR2	TCEA2,MYT1,SOX18,RGS19,C20orf201	NPBWR2	295	1
6_MACS_peak_29086_lociStitched	chr9	137105576	137133939	6	27519	41083.8055	2130.0613	296			RNU6ATAC	296	1
9_MACS_peak_171_lociStitched	chr1	2088058	2117209	9	27509	33896.7828	2556.5427	297	PRKCZ,C1orf86	SKI,LOC100128003,C1orf86	LOC100128003	297	1
17_MACS_peak_16657_lociStitched	chr19	46461372	46493807	17	27396	29875.8785	3681.3725	298	NOVA2	CCDC61,MIR769,NANOS2,PGLYRP1	NOVA2	298	1
4_MACS_peak_2473_lociStitched	chr1	21906423	21934090	4	27282	45755.6846	2631.1317	299	RAP1GAP		RAP1GAP	299	1
9_MACS_peak_22402_lociStitched	chr3	12903950	12933730	9	27245	33439.962	3996.476	300		SNORA7A,RPL32	RPL32	300	1
7_MACS_peak_9302_lociStitched	chr16	858570	886894	7	27211	38653.7628	2747.428	301	PRR25	MSLN,MIR662,CHTF18,MSLNL,RPUSD1,GNG13	PRR25	301	1
10_MACS_peak_22264_lociStitched	chr22	50426081	50458260	10	27210	36555.344	2851.0594	302	IL17REL,TTLL8		IL17REL	302	1
5_MACS_peak_21375_lociStitched	chr22	39221506	39249577	5	27160	36138.6054	2776.2219	303	NPTXR	DNAL4,CBX6	NPTXR	303	1
7_MACS_peak_23277_lociStitched	chr4	6326117	6356734	7	27156	33005.126	2982.0958	304	PPP2R2C		PPP2R2C	304	1
11_MACS_peak_21625_lociStitched	chr22	44275202	44305448	11	27062	31461.8892	3051.8214	305	PNPLA5	PNPLA3,SAMM50,SULT4A1	PNPLA5	305	1
8_MACS_peak_23761_lociStitched	chr4	8262055	8289941	8	27040	30903.2652	2110.9702	306	HTRA3		HTRA3	306	1
6_MACS_peak_8952_lociStitched	chr15	74586934	74614576	6	27036	33891.8562	2946.6372	307	CCDC33	CYP11A1	CCDC33	307	1
3_MACS_peak_4169_lociStitched	chr1	228743923	228771141	3	27016	33342.05	12784.2946	308		DUSP5P	DUSP5P	308	1
3_MACS_peak_28382_lociStitched	chr9	129442100	129469265	3	27004	41896.5795	3159.2895	309	LMX1B		LMX1B	309	1
5_MACS_peak_29193_lociStitched	chr9	137607577	137634960	5	26956	32284.557	1645.7183	310	COL5A1		COL5A1	310	1
10_MACS_peak_1746_lociStitched	chr1	17535090	17563166	10	26887	30105.8948	2633.5288	311	PADI1	PADI3	PADI1	311	1
5_MACS_peak_19860_lociStitched	chr20	62124281	62152097	5	26866	34158.048	2878.956	312	EEF1A2	PPDPF,C20orf195,KCNQ2,PTK6,SRMS,PRIC285	EEF1A2	312	1
10_MACS_peak_21863_lociStitched	chr22	45320004	45348746	10	26808	28963.3134	2667.2576	313	PHF21B		PHF21B	313	1
2_MACS_peak_3764_lociStitched	chr1	156388432	156415155	2	26702	48563.7079	4978.4949	314	C1orf61,MIR9-1	RHBG	C1orf61	314	1
6_MACS_peak_12946_lociStitched	chr17	74514693	74542460	6	26666	37538.2073	2848.8942	315	PRCD,CYGB	SNORD1C,SNORD1B,SNORD1A,RHBDF2,ST6GALNAC2	PRCD	315	1
14_MACS_peak_6259_lociStitched	chr11	69282948	69311888	14	26570	27417.756	2483.052	316			CCND1	316	1
13_MACS_peak_28544_lociStitched	chr9	132521137	132551989	13	26540	30892.1076	3544.8948	317		TOR1B,USP20,PTGES,TOR1A,C9orf78	PTGES	317	1
5_MACS_peak_14515_lociStitched	chr19	7718761	7745652	5	26481	37421.5156	4453.1496	318	RETN,C19orf59	LOC100131801,STXBP2,TRAPPC5,XAB2,PCP2,FCER2	RETN	318	1
4_MACS_peak_10999_lociStitched	chr17	1192966	1220339	4	26476	33802.9177	3574.9138	319	TUSC5	BHLHA9	TUSC5	319	1
5_MACS_peak_14624_lociStitched	chr19	8267075	8294982	5	26432	29648.3968	3842.7939	320	LASS4		LASS4	320	1
6_MACS_peak_20108_lociStitched	chr21	43717368	43744120	6	26377	44392.2688	4416.7552	321	TFF3	TFF2,TFF1	TFF3	321	1
14_MACS_peak_16982_lociStitched	chr19	49043056	49074133	14	26357	31456.1394	3129.4539	322	SULT2B1	SULT2B1,SPACA4,SPHK2,LMTK3,FAM83E,RPL18	SULT2B1	322	1
1_MACS_peak_1680_lociStitched	chr1	17083035	17109337	1	26303	38542.9508	6012.6372	323	MST1P9	ESPNP	MST1P9	323	1
11_MACS_peak_10825_lociStitched	chr17	1184	30086	11	26259	26896.2012	2673.435	324	DOC2B		DOC2B	324	1
3_MACS_peak_18253_lociStitched	chr2	220374236	220401240	3	26200	43044.376	2870.5252	325	ACCN4	SPEG,GMPPA,TMEM198,INHA,CHPF,MIR3132,OBSL1	ACCN4	325	1
7_MACS_peak_20556_lociStitched	chr22	18935195	18963178	7	26197	34469.4594	2725.5442	326	DGCR5	DGCR6,DGCR9,DGCR10,PRODH	DGCR5	326	1
4_MACS_peak_14074_lociStitched	chr19	3581562	3608356	4	26140	37238.3012	3721.6866	327	GIPC3,TBXA2R	C19orf71,HMG20B,C19orf28,C19orf29	GIPC3	327	1
11_MACS_peak_14022_lociStitched	chr19	3255724	3285290	11	26113	33513.061	3678.0104	328	CELF5		CELF5	328	1
3_MACS_peak_29029_lociStitched	chr9	136535388	136561968	3	26110	36289.674	2461.308	329	SARDH	DBH	DBH	329	1
7_MACS_peak_13569_lociStitched	chr17	81061411	81089473	7	25977	33346.0746	2671.5024	330		METRNL	METRNL	330	1
5_MACS_peak_19658_lociStitched	chr20	60371501	60398351	5	25884	30394.2	2043.285	331	CDH4		MIR1257	331	1
10_MACS_peak_29816_lociStitched	chrX	152887275	152915284	10	25874	28824.0619	1442.4635	332	DUSP9	SLC6A8,FAM58A,PNCK	DUSP9	332	1
10_MACS_peak_21149_lociStitched	chr22	36969541	36997396	10	25795	29250.5355	2810.5695	333	CACNG2	EIF3D	EIF3D	333	1
6_MACS_peak_2481_lociStitched	chr1	21943452	21970764	6	25793	30130.5984	2496.3168	334	RAP1GAP		RAP1GAP	334	1
6_MACS_peak_13551_lociStitched	chr17	81010699	81037399	6	25781	36995.52	2581.89	335		METRNL,B3GNTL1	METRNL	335	1
3_MACS_peak_11130_lociStitched	chr17	4478840	4504940	3	25705	40167.9	2372.49	336	SMTNL2	MYBBP1A,GGT6,ALOX15	SMTNL2	336	1
