REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X23_0F29_0229Kronos_MM1S.KB.1hr.1_H3K27me3_hs.dm_i05.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
7_MACS_peak_9432_lociStitched	chr16	2325016	2361268	7	34162	55447.434	4255.9848	160	ABCA3	DNASE1L2,MIR3677,MIR940,ABCA17P,DCI,RNPS1	MIR940	160	1
18_MACS_peak_1845_lociStitched	chr1	17980597	18034667	18	47998	55054.074	4174.204	161	ARHGEF10L	ACTL8	ACTL8	161	1
5_MACS_peak_13361_lociStitched	chr17	77898085	77932707	5	33884	53716.033	3046.736	162	TBC1D16		TBC1D16	162	1
5_MACS_peak_14325_lociStitched	chr19	5991222	6030010	5	37828	56133.9936	5535.0476	163	RFX2	RANBP3	RANBP3	163	1
20_MACS_peak_16745_lociStitched	chr19	46963887	47012778	20	43682	55046.3769	5050.4403	164	PNMAL1,PNMAL2	CCDC8	PNMAL2	164	1
2_MACS_peak_5562_lociStitched	chr11	2426069	2449274	2	22934	52162.5195	2257.8465	165	TRPM5	CD81,TSSC4,KCNQ1	TRPM5	165	1
2_MACS_peak_22903_lociStitched	chr3	184275166	184306409	2	31216	54540.9051	4642.7098	166	EPHB3		EPHB3	166	1
10_MACS_peak_412_lociStitched	chr1	3364235	3403429	10	36968	52559.154	2771.0158	167	ARHGEF16		ARHGEF16	167	1
10_MACS_peak_5345_lociStitched	chr11	1237002	1280472	10	42119	52707.375	3108.105	168	MUC5B		MUC5B	168	1
4_MACS_peak_28975_lociStitched	chr9	136287095	136324581	4	36553	53646.2146	4269.6554	169	ADAMTS13	C9orf96,C9orf7,SURF4,REXO4,SLC2A6	ADAMTS13	169	1
5_MACS_peak_28030_lociStitched	chr8	144938403	144972169	5	32525	52779.6346	3552.1832	170	EPPK1	MIR937,SCRIB,PUF60,NRBP2,PLEC,MIR661	EPPK1	170	1
17_MACS_peak_2664_lociStitched	chr1	23160854	23214199	17	48787	54363.8895	5291.824	171	EPHB2,MIR4253		MIR4253	171	1
6_MACS_peak_20501_lociStitched	chr21	47528640	47562868	6	32637	53190.312	4199.7756	172	COL6A2,FTCD	C21orf56	COL6A2	172	1
14_MACS_peak_14209_lociStitched	chr19	5301208	5349434	14	44155	54707.5744	5844.9912	173	PTPRS		PTPRS	173	1
14_MACS_peak_22647_lociStitched	chr3	50168579	50214714	14	42510	53087.5445	4595.046	174	SEMA3F	RBM5,GNAT1,SLC38A3	SEMA3F	174	1
5_MACS_peak_18213_lociStitched	chr2	219845390	219875857	5	29114	51147.9996	3171.6147	175	FEV,CRYBA2,MIR375,CCDC108	CDK5R2,LOC151300,CCDC108,MIR3131,IHH	CRYBA2	175	1
14_MACS_peak_17500_lociStitched	chr19	55668420	55718499	14	45183	53178.8901	5298.3582	176	TNNI3,C19orf51,SYT5,PTPRH	PPP1R12C,TNNT1,TMEM86B	SYT5	176	1
12_MACS_peak_13382_lociStitched	chr17	77998965	78046966	12	44819	52431.4923	4564.8951	177	CCDC40,TBC1D16	GAA	CCDC40	177	1
6_MACS_peak_5481_lociStitched	chr11	1937338	1968121	6	29374	50477.9634	2647.338	178	TNNT3	LSP1,MRPL23,LOC100133545,MIR675	TNNT3	178	1
13_MACS_peak_12325_lociStitched	chr17	47508990	47554026	13	42405	52295.8032	4566.6504	179		NGFR,PHB	PHB	179	1
3_MACS_peak_13428_lociStitched	chr17	78429565	78461928	3	32163	50327.7013	2750.855	180	NPTX1	FLJ35220,LOC100294362	NPTX1	180	1
5_MACS_peak_11842_lociStitched	chr17	36715905	36747097	5	29893	49517.3	3268.9216	181	SRCIN1		SRCIN1	181	1
6_MACS_peak_5533_lociStitched	chr11	2305655	2342951	6	36308	49226.9904	3069.4608	182	TSPAN32,C11orf21	ASCL2	TSPAN32	182	1
4_MACS_peak_13469_lociStitched	chr17	79272741	79301524	4	28378	48674.9313	2722.8718	183	C17orf55,TMEM105	SLC38A10	C17orf55	183	1
8_MACS_peak_20267_lociStitched	chr21	45851202	45889496	8	36508	50601.6916	4779.0912	184	TRPM2,LRRC3	C21orf90	LRRC3	184	1
9_MACS_peak_10979_lociStitched	chr17	1107188	1148849	9	39707	50126.5152	4403.5677	185		BHLHA9,TUSC5,ABR	ABR	185	1
7_MACS_peak_21480_lociStitched	chr22	42795262	42832828	7	35580	48929.715	3384.6966	186	NFAM1		NFAM1	186	1
4_MACS_peak_24526_lociStitched	chr5	176265967	176297396	4	30344	48164.9425	2944.8973	187	UNC5A	HK3	UNC5A	187	1
10_MACS_peak_19139_lociStitched	chr20	56127968	56171871	10	40726	50040.6394	4908.3554	188	PCK1	CTCFL,ZBP1	PCK1	188	1
8_MACS_peak_28890_lociStitched	chr9	135845548	135884306	8	37014	48974.6088	3953.316	189	GFI1B	GTF3C5,TSC1	GFI1B	189	1
5_MACS_peak_11708_lociStitched	chr17	26830785	26867994	5	36060	49499.1327	4483.6845	190	FOXN1	SLC13A2,UNC119,PIGS,ALDOC	FOXN1	190	1
16_MACS_peak_5491_lociStitched	chr11	2102685	2145710	16	38546	48992.5675	4147.61	191		IGF2AS,MIR483,IGF2,INS,TH	MIR483	191	1
13_MACS_peak_13105_lociStitched	chr17	76294869	76339195	13	39946	49321.5402	4494.6564	192		PGS1,SOCS3	SOCS3	192	1
7_MACS_peak_19823_lociStitched	chr20	61779543	61816946	7	35961	47599.0578	2850.1086	193	MIR124-3	HAR1A,HAR1B,YTHDF1	MIR124-3	193	1
6_MACS_peak_14060_lociStitched	chr19	3436498	3467762	6	30851	49093.8592	4498.8896	194	NFIC	FZR1,C19orf77,DOHH	C19orf77	194	1
9_MACS_peak_28326_lociStitched	chr9	127232744	127270023	9	35635	47691.0247	3228.3614	195	GPR144,NR5A1		NR5A1	195	1
6_MACS_peak_29475_lociStitched	chr9	138660987	138690459	6	28182	46683.648	2343.024	196	KCNT1		KCNT1	196	1
7_MACS_peak_18626_lociStitched	chr20	30425123	30461475	7	34253	48580.8128	4616.704	197	TTLL9,FOXS1,DUSP15	MYLK2	FOXS1	197	1
15_MACS_peak_3224_lociStitched	chr1	32120790	32164711	15	41079	48870.8967	4954.2888	198	COL16A1	HCRTR1,PEF1	COL16A1	198	1
2_MACS_peak_3764_lociStitched	chr1	156388432	156415155	2	26702	48563.7079	4978.4949	199	C1orf61,MIR9-1	RHBG	C1orf61	199	1
5_MACS_peak_14150_lociStitched	chr19	4733952	4767769	5	33201	48686.3349	5187.5278	200		C19orf30,MIR7-3,FEM1A,DPP9	C19orf30	200	1
14_MACS_peak_29015_lociStitched	chr9	136492883	136533476	14	39057	46507.4001	3206.847	201	DBH,SARDH	FAM163B	DBH	201	1
4_MACS_peak_2473_lociStitched	chr1	21906423	21934090	4	27282	45755.6846	2631.1317	202	RAP1GAP		RAP1GAP	202	1
4_MACS_peak_6203_lociStitched	chr11	68758490	68790105	4	30323	46183.192	3091.947	203	MRGPRF	TPCN2,MRGPRD	MRGPRF	203	1
5_MACS_peak_26147_lociStitched	chr7	128467634	128498374	5	28792	47686.962	4644.814	204	FLNC	CCDC136,ATP6V1F,LOC100130705	FLNC	204	1
5_MACS_peak_19837_lociStitched	chr20	61937953	61970735	5	31575	46104.6048	3130.681	205	COL20A1	ARFGAP1,MIR4326,CHRNA4	COL20A1	205	1
19_MACS_peak_23889_lociStitched	chr4	8877684	8922868	19	39451	46937.1392	4025.8944	206		LOC650293,HMX1	HMX1	206	1
6_MACS_peak_14537_lociStitched	chr19	7830644	7871209	6	39038	49306.7575	6421.4395	207	CLEC4M,CLEC4GP1	EVI5L,CLEC4G,CD209	CLEC4GP1	207	1
15_MACS_peak_14282_lociStitched	chr19	5722074	5768359	15	43046	49437.0085	6641.8975	208	TMEM146	HSD11B1L,RPL36,C19orf70,LONP1,PRR22,DUS3L	TMEM146	208	1
12_MACS_peak_17017_lociStitched	chr19	49173447	49214178	12	38077	46714.3839	4097.5386	209	SEC1,FUT2,NTN5	FGF21,DBP,CA11,MAMSTR,RASIP1,IZUMO1,FUT1	FUT2	209	1
7_MACS_peak_19844_lociStitched	chr20	61985627	62017794	7	30316	44560.9451	2158.4057	210	CHRNA4		CHRNA4	210	1
8_MACS_peak_21309_lociStitched	chr22	37884790	37923187	8	36348	46782.9048	4381.0977	211	CARD10	CDC42EP1,MFNG	CARD10	211	1
7_MACS_peak_19923_lociStitched	chr20	62726692	62756507	7	27591	45694.469	3470.466	212	OPRL1,NPBWR2	TCEA2,MYT1,SOX18,RGS19,C20orf201	NPBWR2	212	1
19_MACS_peak_254_lociStitched	chr1	2713876	2758695	19	37968	45437.5022	3397.2802	213			MMEL1	213	1
8_MACS_peak_9316_lociStitched	chr16	916183	952832	8	34970	44730.1045	2939.2498	214	LMF1		PRR25	214	1
12_MACS_peak_13296_lociStitched	chr17	77634092	77674410	12	37567	45095.683	3547.984	215		ENPP7	ENPP7	215	1
10_MACS_peak_17542_lociStitched	chr19	55995845	56028419	10	31088	45004.2384	3491.9328	216	ZNF628,NAT14,SSC5D	SHISA7,ISOC2,SBK2	SSC5D	216	1
15_MACS_peak_5786_lociStitched	chr11	61337488	61381906	15	39910	45732.7728	4366.2894	217	SYT7	RPLP0P2	SYT7	217	1
7_MACS_peak_16769_lociStitched	chr19	47114619	47147454	7	32048	45624.2325	4275.117	218	PTGIR,GNG8	CALM3,DACT3	PTGIR	218	1
3_MACS_peak_29206_lociStitched	chr9	137683626	137717097	3	33180	44024.4063	2764.7046	219	COL5A1	MIR3689B,MIR3689A	MIR3689B	219	1
6_MACS_peak_1462_lociStitched	chr1	11487498	11525647	6	37399	44542.7724	3433.41	220		PTCHD2	PTCHD2	220	1
6_MACS_peak_13325_lociStitched	chr17	77735858	77766571	6	29516	43999.4438	3040.587	221	CBX2	ENPP7,CBX8,CBX4	CBX2	221	1
3_MACS_peak_14899_lociStitched	chr19	13102862	13128809	3	24988	43092.7776	2426.0445	222	NFIX	RAD23A,DAND5,GADD45GIP1	NFIX	222	1
12_MACS_peak_26489_lociStitched	chr7	155595874	155633905	12	34650	45104.766	4472.4456	223	SHH		SHH	223	1
4_MACS_peak_16808_lociStitched	chr19	47901717	47930937	4	28791	43897.206	3348.612	224	MEIS3	DHX34,SLC8A2	MEIS3	224	1
4_MACS_peak_29599_lociStitched	chr9	140047858	140069981	4	20904	42619.9595	2161.4171	225	GRIN1,LRRC26,MIR3621,ANAPC2	SSNA1,NDOR1,C9orf169,DPP7,TPRN,TMEM203,RNF208	MIR3621	225	1
19_MACS_peak_2129_lociStitched	chr1	18946862	18988615	19	38205	43869.8771	3444.6225	226	PAX7		PAX7	226	1
2_MACS_peak_25950_lociStitched	chr7	100633187	100650162	2	16427	43756.4575	3355.9575	227	MUC12	MUC17	MUC17	227	1
5_MACS_peak_13423_lociStitched	chr17	78395343	78428381	5	31438	43705.9702	3320.319	228	FLJ35220	LOC100294362,NPTX1	LOC100294362	228	1
6_MACS_peak_28618_lociStitched	chr9	133249145	133284506	6	34339	43363.1943	3030.4377	229		ASS1	ASS1	229	1
3_MACS_peak_18253_lociStitched	chr2	220374236	220401240	3	26200	43044.376	2870.5252	230	ACCN4	SPEG,GMPPA,TMEM198,INHA,CHPF,MIR3132,OBSL1	ACCN4	230	1
7_MACS_peak_25974_lociStitched	chr7	100743364	100781560	7	35460	43929.2196	3815.7804	231	SERPINE1	TRIM56,AP1S1,VGF,C7orf52	SERPINE1	231	1
9_MACS_peak_1836_lociStitched	chr1	17939026	17978583	9	36944	43694.6622	3607.5984	232	ARHGEF10L		ARHGEF10L	232	1
3_MACS_peak_826_lociStitched	chr1	6180792	6209377	3	28417	42791.745	2778.462	233	CHD5		CHD5	233	1
6_MACS_peak_20108_lociStitched	chr21	43717368	43744120	6	26377	44392.2688	4416.7552	234	TFF3	TFF2,TFF1	TFF3	234	1
3_MACS_peak_25664_lociStitched	chr7	44256761	44281413	3	23341	42154.92	2630.3684	235	CAMK2B	YKT6,GCK	YKT6	235	1
4_MACS_peak_17121_lociStitched	chr19	49915479	49946240	4	29906	42490.1693	3005.3497	236	CCDC155,LOC645971,PTH2,SLC17A7	DKKL1,ALDH16A1,FLT3LG,RPL13AP5,SNORD32A,SNORD33,SNORD34,SNORD35A,TEAD2,PIH1D1	LOC645971	236	1
6_MACS_peak_29460_lociStitched	chr9	138571848	138605891	6	33035	41787.7825	2590.6723	237	KCNT1,SOHLH1	LCN9,GLT6D1	SOHLH1	237	1
7_MACS_peak_21613_lociStitched	chr22	44214079	44250472	7	35133	42670.7925	3479.1708	238	SULT4A1	EFCAB6,PNPLA5	EFCAB6	238	1
6_MACS_peak_29086_lociStitched	chr9	137105576	137133939	6	27519	41083.8055	2130.0613	239			RNU6ATAC	239	1
6_MACS_peak_14504_lociStitched	chr19	7629522	7664233	6	33559	43583.1316	4644.3318	240	KIAA1543	ZNF358,MCOLN1,PNPLA6,LOC100131801,STXBP2,XAB2,PCP2	KIAA1543	240	1
4_MACS_peak_15571_lociStitched	chr19	18705823	18729262	4	22285	41067.4719	2238.4245	241	TMEM59L,CRLF1	C19orf50,UBA52,C19orf60,KLHL26	CRLF1	241	1
3_MACS_peak_28382_lociStitched	chr9	129442100	129469265	3	27004	41896.5795	3159.2895	242	LMX1B		LMX1B	242	1
18_MACS_peak_8908_lociStitched	chr15	74460634	74502175	18	36529	42454.902	3900.6999	243	ISLR,STRA6	ISLR2,CCDC33,LOC283731	STRA6	243	1
13_MACS_peak_5548_lociStitched	chr11	2370389	2408648	13	34989	42237.936	3684.3417	244	CD81	TSPAN32,TSSC4,C11orf21,TRPM5	CD81	244	1
6_MACS_peak_15998_lociStitched	chr19	36334298	36370579	6	35470	41556.2574	3043.9759	245	KIRREL2,APLP1,NPHS1	HCST,PRODH2,NFKBID,TYROBP	KIRREL2	245	1
11_MACS_peak_23227_lociStitched	chr4	3850560	3886485	11	33628	42017.88	3517.0575	246			LOC348926	246	1
5_MACS_peak_11035_lociStitched	chr17	1904437	1933484	5	27922	41659.2074	3238.7405	247	DPH1,RTN4RL1	OVCA2,HIC1,MIR132,MIR212	RTN4RL1	247	1
3_MACS_peak_20250_lociStitched	chr21	45699110	45717743	3	18594	40728.0114	2442.7863	248	AIRE	PFKL,ICOSLG,DNMT3L,C21orf2	AIRE	248	1
21_MACS_peak_17236_lociStitched	chr19	51024196	51069571	21	39339	41953.725	3738.9	249	LRRC4B	C19orf63,SNAR-F,FAM71E1,JOSD2,ASPDH	LRRC4B	249	1
11_MACS_peak_13146_lociStitched	chr17	76476646	76512747	11	33228	41971.0226	3768.9444	250	DNAH17		DNAH17	250	1
6_MACS_peak_1527_lociStitched	chr1	11747614	11777517	6	28913	41418.6453	3328.2039	251	C1orf187,MAD2L2	FBXO44,FBXO6,AGTRAP,FBXO2,MAD2L2	C1orf187	251	1
8_MACS_peak_21668_lociStitched	chr22	44653777	44689836	8	33281	41002.6889	3018.1383	252	KIAA1644		KIAA1644	252	1
4_MACS_peak_71_lociStitched	chr1	1125911	1149987	4	23815	39855.4104	1887.5584	253	TTLL10,TNFRSF18,TNFRSF4	MIR200B,MIR200A,MIR429,TTLL10,B3GALT6,SDF4,FAM132A	TNFRSF18	253	1
3_MACS_peak_11130_lociStitched	chr17	4478840	4504940	3	25705	40167.9	2372.49	254	SMTNL2	MYBBP1A,GGT6,ALOX15	SMTNL2	254	1
5_MACS_peak_9464_lociStitched	chr16	2854222	2884086	5	28865	40934.5848	3195.448	255	PRSS41,PRSS21,ZG16B	FLYWCH2,TCEB2,PRSS33,PRSS30P,PRSS22	PRSS21	255	1
7_MACS_peak_22274_lociStitched	chr22	50461855	50495744	7	30837	41266.6353	3538.0116	256	TTLL8	MOV10L1,IL17REL,MLC1	TTLL8	256	1
10_MACS_peak_25876_lociStitched	chr7	100213939	100249886	10	34225	40878.9284	3648.6205	257	TFR2,ACTL6B	FBXO24,PCOLCE,MOSPD3,GNB2,SAP25,LRCH4,GIGYF1	TFR2	257	1
9_MACS_peak_25003_lociStitched	chr6	34082704	34115413	9	30122	40202.6319	2999.4153	258	GRM4		GRM4	258	1
9_MACS_peak_19012_lociStitched	chr20	48880899	48916978	9	34442	40715.1515	3542.9578	259	LOC284751		LOC284751	259	1
7_MACS_peak_19907_lociStitched	chr20	62448224	62480667	7	30364	39953.5545	2848.4954	260		C20orf135,TPD52L2,DNAJC5,ZBTB46	ZBTB46	260	1
4_MACS_peak_27823_lociStitched	chr8	143675385	143707696	4	31478	39487.2731	2520.258	261	ARC	PSCA,JRK	ARC	261	1
5_MACS_peak_21683_lociStitched	chr22	44732919	44768064	5	33906	39977.4375	3106.818	262		KIAA1644	KIAA1644	262	1
6_MACS_peak_17493_lociStitched	chr19	55630230	55662779	6	31826	40100.368	3235.3706	263	TNNT1	EPS8L1,RDH13,PPP1R12C,TNNI3,C19orf51,SYT5	TNNT1	263	1
9_MACS_peak_19797_lociStitched	chr20	61672728	61707107	9	30825	40120.293	3290.0703	264	LOC100144597,LOC63930	HAR1A,BHLHE23,NCRNA00029,HAR1B	LOC100144597	264	1
10_MACS_peak_1109_lociStitched	chr1	7716396	7753220	10	33736	40244.9496	3431.9968	265	CAMTA1		VAMP3	265	1
3_MACS_peak_13505_lociStitched	chr17	79758993	79777479	3	17382	38548.8558	1807.9308	266	GCGR	FAM195B,DYSFIP1,P4HB	GCGR	266	1
13_MACS_peak_7238_lociStitched	chr12	1919575	1955958	13	31851	40054.0447	3474.5765	267	LRTM2,CACNA2D4		LRTM2	267	1
8_MACS_peak_13982_lociStitched	chr19	3094592	3127856	8	31396	40375.8432	3931.8048	268	GNA11	GNA15,TLE2,AES	GNA11	268	1
6_MACS_peak_21676_lociStitched	chr22	44692804	44726660	6	32954	39520.1088	3165.536	269	KIAA1644		KIAA1644	269	1
10_MACS_peak_28135_lociStitched	chr9	34547788	34580752	10	32216	39747.9912	3398.5884	270	LOC415056,CNTFR	ENHO,C9orf23,DCTN3,ARID3C	LOC415056	270	1
3_MACS_peak_9394_lociStitched	chr16	1567659	1590656	3	22650	38262.4086	1968.5432	271	TMEM204,IFT140	TELO2,CLCN7,PTX4	TMEM204	271	1
3_MACS_peak_59_lociStitched	chr1	1052549	1073269	3	20486	38149.664	1889.664	272		MIR200B,MIR200A,MIR429,TTLL10,C1orf159	C1orf159	272	1
7_MACS_peak_27816_lociStitched	chr8	143643698	143674307	7	29855	38301.0417	2173.239	273		ARC	ARC	273	1
3_MACS_peak_3923_lociStitched	chr1	201317191	201346432	3	28448	40779.4986	4839.3855	274	TNNT2	LAD1,TNNI1	TNNT2	274	1
8_MACS_peak_2577_lociStitched	chr1	22870736	22903081	8	30521	38658.744	2733.1525	275	EPHA8		EPHA8	275	1
7_MACS_peak_9302_lociStitched	chr16	858570	886894	7	27211	38653.7628	2747.428	276	PRR25	MSLN,MIR662,CHTF18,MSLNL,RPUSD1,GNG13	PRR25	276	1
16_MACS_peak_21534_lociStitched	chr22	43601956	43638705	16	31070	39424.3272	3520.5542	277	SCUBE1	TTLL12	TTLL12	277	1
3_MACS_peak_829_lociStitched	chr1	6210642	6234609	3	23886	37968.5214	2123.4762	278	CHD5	RNF207,RPL22	CHD5	278	1
7_MACS_peak_11307_lociStitched	chr17	7308137	7335615	7	25045	38378.5226	2687.3484	279	NLGN2,SPEM1,C17orf74	TMEM95,TNK1,TMEM102,FGF11,CHRNB1,AMAC1L3,PLSCR3,C17orf61,ZBTB4	SPEM1	279	1
3_MACS_peak_25078_lociStitched	chr6	41603057	41628437	3	25043	38311.11	2636.982	280	MDFI		MDFI	280	1
9_MACS_peak_27784_lociStitched	chr8	143528797	143563564	9	30828	38038.5747	2489.3172	281	BAI1	TSNARE1	BAI1	281	1
6_MACS_peak_839_lociStitched	chr1	6298589	6323213	6	24269	37957.896	2459.9376	282	HES3,GPR153	RNF207,RPL22,ICMT	HES3	282	1
1_MACS_peak_9493_lociStitched	chr16	3033705	3052905	1	19201	37332.48	1929.6	283	LOC283875	KREMEN2,PAQR4,CLDN9,TNFRSF12A,THOC6,MMP25,PKMYT1,CLDN6,HCFC1R1,CCDC64B	LOC283875	283	1
2_MACS_peak_9388_lociStitched	chr16	1475615	1494740	2	19020	36836.6625	1434.375	284	C16orf91,CCDC154	TELO2,UNKL,CLCN7,PTX4	C16orf91	284	1
8_MACS_peak_5197_lociStitched	chr10	135044974	135075068	8	28607	37873.299	2973.2872	285	UTF1,VENTX,MIR202	ZNF511,ADAM8,TUBGCP2	MIR202	285	1
7_MACS_peak_12878_lociStitched	chr17	72872946	72906850	7	32050	38575.9712	3688.7552	286	FADS6	OTOP2,OTOP3,GRIN2C,FDXR,USH1G	FADS6	286	1
6_MACS_peak_12946_lociStitched	chr17	74514693	74542460	6	26666	37538.2073	2848.8942	287	PRCD,CYGB	SNORD1C,SNORD1B,SNORD1A,RHBDF2,ST6GALNAC2	PRCD	287	1
6_MACS_peak_13551_lociStitched	chr17	81010699	81037399	6	25781	36995.52	2581.89	288		METRNL,B3GNTL1	METRNL	288	1
14_MACS_peak_12009_lociStitched	chr17	41704536	41745969	14	35628	38557.5498	4309.032	289	MEOX1		MEOX1	289	1
3_MACS_peak_866_lociStitched	chr1	6554366	6572668	3	18160	36270.9036	2071.7864	290	PLEKHG5	TAS1R1,TNFRSF25,PLEKHG5,NOL9	PLEKHG5	290	1
2_MACS_peak_29640_lociStitched	chr9	140317846	140334592	2	16668	35531.6628	1513.8384	291	NOXA1,ENTPD8	EXD3,NELF	NOXA1	291	1
7_MACS_peak_2235_lociStitched	chr1	19353562	19386575	7	31746	37634.82	3661.1417	292			IFFO2	292	1
5_MACS_peak_9284_lociStitched	chr16	741049	763239	5	21186	35748.09	1910.559	293	FBXL16	FAM195A,WDR90,RHOT2,RHBDL1,STUB1,METRN,FAM173A,HAGHL,MSLN,JMJD8,WDR24,CCDC78,NARFL	FBXL16	293	1
3_MACS_peak_29029_lociStitched	chr9	136535388	136561968	3	26110	36289.674	2461.308	294	SARDH	DBH	DBH	294	1
10_MACS_peak_22264_lociStitched	chr22	50426081	50458260	10	27210	36555.344	2851.0594	295	IL17REL,TTLL8		IL17REL	295	1
8_MACS_peak_6952_lociStitched	chr11	118012301	118044192	8	28001	38036.3957	4365.8779	296	SCN4B,SCN2B	AMICA1	SCN4B	296	1
3_MACS_peak_5314_lociStitched	chr11	843040	864832	3	21193	35538.3936	1935.1296	297	TSPAN4	RPLP2,SNORA52,PNPLA2,EFCAB4A,CD151,SLC25A22,LRDD,POLR2L,CHID1	TSPAN4	297	1
3_MACS_peak_19732_lociStitched	chr20	60783673	60804380	3	19706	35437.9598	1859.4886	298	HRH3	GTPBP5,OSBPL2	HRH3	298	1
9_MACS_peak_19774_lociStitched	chr20	61445732	61470719	9	23587	36008.7657	2481.2091	299	COL9A3	C20orf20,OGFR,DPH3P1,TCFL5	COL9A3	299	1
4_MACS_peak_14074_lociStitched	chr19	3581562	3608356	4	26140	37238.3012	3721.6866	300	GIPC3,TBXA2R	C19orf71,HMG20B,C19orf28,C19orf29	GIPC3	300	1
5_MACS_peak_21375_lociStitched	chr22	39221506	39249577	5	27160	36138.6054	2776.2219	301	NPTXR	DNAL4,CBX6	NPTXR	301	1
9_MACS_peak_21451_lociStitched	chr22	42683841	42716505	9	30097	36926.652	3645.3024	302		LOC388906	LOC388906	302	1
4_MACS_peak_27984_lociStitched	chr8	144466478	144490237	4	23156	35374.7751	2121.6787	303		RHPN1,TOP1MT,C8orf51,MAFA	RHPN1	303	1
6_MACS_peak_1547_lociStitched	chr1	11924868	11954087	6	28314	36418.5616	3272.528	304		PLOD1,NPPA,NPPB,KIAA2013	NPPB	304	1
19_MACS_peak_1034_lociStitched	chr1	7508572	7545174	19	33434	35877.2804	2737.8296	305	CAMTA1		VAMP3	305	1
5_MACS_peak_19917_lociStitched	chr20	62668614	62693295	5	23192	35594.9382	2512.5258	306	NCRNA00176,TCEA2,SOX18	TCEA2,OPRL1,RGS19,C20orf201,NPBWR2	SOX18	306	1
5_MACS_peak_14515_lociStitched	chr19	7718761	7745652	5	26481	37421.5156	4453.1496	307	RETN,C19orf59	LOC100131801,STXBP2,TRAPPC5,XAB2,PCP2,FCER2	RETN	307	1
5_MACS_peak_16445_lociStitched	chr19	42422363	42446143	5	22274	35567.746	2836.954	308		CD79A,ARHGEF1,RABAC1	RABAC1	308	1
1_MACS_peak_1680_lociStitched	chr1	17083035	17109337	1	26303	38542.9508	6012.6372	309	MST1P9	ESPNP	MST1P9	309	1
6_MACS_peak_12488_lociStitched	chr17	61552216	61578511	6	25412	34819.839	2424.399	310	ACE	KCNH6,DCAF7,CYB561	ACE	310	1
4_MACS_peak_8759_lociStitched	chr15	42152282	42175417	4	22284	34519.7335	2246.4085	311	SPTBN5,MIR4310	JMJD7-PLA2G4B,PLA2G4B	MIR4310	311	1
3_MACS_peak_5418_lociStitched	chr11	1702173	1724825	3	22177	34505.7916	2258.4044	312	KRTAP5-6,MOB2,FAM99B	FAM99A,LOC402778	KRTAP5-6	312	1
5_MACS_peak_9425_lociStitched	chr16	2232853	2252014	5	18384	34028.0199	1858.617	313	CASKIN1	RAB26,TRAF7,MLST8,E4F1,DNASE1L2,PKD1,MIR3180-5,SNORD60,C16orf79,PGP,DCI	CASKIN1	313	1
1_MACS_peak_20208_lociStitched	chr21	44863775	44885105	1	21331	34853.22	2708.91	314	C21orf125,C21orf84	SIK1	C21orf125	314	1
7_MACS_peak_5377_lociStitched	chr11	1454300	1480070	7	24068	33640.158	1662.165	315	BRSK2	MOB2	MOB2	315	1
7_MACS_peak_8021_lociStitched	chr13	113667432	113693605	7	23809	34574.533	2719.3747	316	MCF2L	LOC100289410	MCF2L	316	1
9_MACS_peak_21968_lociStitched	chr22	45894361	45926042	9	30337	34582.9796	2756.247	317	FBLN1		FBLN1	317	1
10_MACS_peak_23286_lociStitched	chr4	6365582	6399524	10	30592	34848.2514	3085.3278	318	PPP2R2C		PPP2R2C	318	1
5_MACS_peak_29140_lociStitched	chr9	137423599	137452182	5	27901	33813.689	2057.976	319			COL5A1	319	1
7_MACS_peak_20556_lociStitched	chr22	18935195	18963178	7	26197	34469.4594	2725.5442	320	DGCR5	DGCR6,DGCR9,DGCR10,PRODH	DGCR5	320	1
4_MACS_peak_24994_lociStitched	chr6	34012759	34038610	4	25521	34529.1807	2820.3441	321	GRM4	MIR1275	MIR1275	321	1
6_MACS_peak_19791_lociStitched	chr20	61646027	61671461	6	24405	33817.0464	2172.0636	322	LOC63930,LOC100144597,NCRNA00029	BHLHE23	NCRNA00029	322	1
4_MACS_peak_2585_lociStitched	chr1	22906958	22931356	4	23692	33693.638	2056.7514	323	EPHA8	C1QA,C1QC,C1QB	EPHA8	323	1
7_MACS_peak_22445_lociStitched	chr3	13659833	13690685	7	29551	34612.8588	3017.3256	324	FBLN2	LOC285375	LOC285375	324	1
14_MACS_peak_19342_lociStitched	chr20	57180530	57216313	14	33986	35020.8221	3485.2642	325	LOC149773	STX16	STX16	325	1
5_MACS_peak_28675_lociStitched	chr9	133523907	133545199	5	21070	33273.0084	1769.3652	326	PRDM12	EXOSC2,ABL1	PRDM12	326	1
1_MACS_peak_13824_lociStitched	chr19	1445163	1455697	1	10535	33260.0516	1785.513	327	APC2	DAZAP1,RPS15,REEP6,GAMT,C19orf25,PCSK4	APC2	327	1
10_MACS_peak_26001_lociStitched	chr7	100915605	100947343	10	30110	34740.4148	3310.2734	328		CLDN15,FIS1,RABL5	RABL5	328	1
7_MACS_peak_28625_lociStitched	chr9	133288687	133315378	7	25204	34076.3997	2658.4236	329		ASS1	ASS1	329	1
