#15_0EX1_0229Kronos_MM1S-KB-3hr-1_H3K27Ac_hs-dm_i25_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/15_0EX1_0229Kronos_MM1S-KB-3hr-1_H3K27Ac_hs-dm_i25_ROSE/15_0EX1_0229Kronos_MM1S-KB-3hr-1_H3K27Ac_hs-dm_i25_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X15_0EX1_0229Kronos_MM1S.KB.3hr.1_H3K27Ac_hs.dm_i25.bam
#Using cutoff of 26071.572 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X15_0EX1_0229Kronos_MM1S.KB.3hr.1_H3K27Ac_hs.dm_i25.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	isSuperStretch
3_MACS_peak_27071_lociStitched	chr8	145009658	145027904	3	12181	28598.7804	2381.103	276	1
3_MACS_peak_1691_lociStitched	chr1	154942263	154958324	3	10696	48880.0474	4408.7445	277	1
3_MACS_peak_18146_lociStitched	chr3	20080186	20098157	3	11937	32160.9016	2727.9978	278	1
3_MACS_peak_14243_lociStitched	chr2	42323504	42334605	3	9894	52804.1267	2307.8979	281	1
1_MACS_peak_5640_lociStitched	chr12	4377643	4388530	1	10888	43458.7266	1924.8216	282	1
3_MACS_peak_21341_lociStitched	chr5	32530519	32543884	3	11536	35391.8565	2634.2415	283	1
1_MACS_peak_22672_lociStitched	chr6	389030	400918	1	11889	28884.2736	2173.1264	285	1
3_MACS_peak_17248_lociStitched	chr21	45194917	45210674	3	11194	39788.0007	3524.8409	287	1
2_MACS_peak_1835_lociStitched	chr1	161144500	161157460	2	10114	49985.424	3367.008	289	1
4_MACS_peak_12001_lociStitched	chr17	76163821	76183629	4	11802	29282.1664	2731.5232	290	1
2_MACS_peak_16815_lociStitched	chr20	52267734	52279034	2	10608	43707.27	1870.15	291	1
1_MACS_peak_16719_lociStitched	chr20	45978607	45987205	1	8599	58499.0724	1765.1694	292	1
2_MACS_peak_5493_lociStitched	chr11	126056707	126069138	2	7337	65636.9231	2365.6193	293	1
2_MACS_peak_17092_lociStitched	chr21	34600693	34613056	2	10012	49381.5309	2953.5207	294	1
4_MACS_peak_22761_lociStitched	chr6	7134908	7148035	4	11536	31764.7146	2517.7586	296	1
1_MACS_peak_22188_lociStitched	chr5	138720055	138730588	1	10534	43220.0589	2289.8742	298	1
1_MACS_peak_24872_lociStitched	chr7	47512603	47522845	1	10243	43912.575	2306.4984	302	1
4_MACS_peak_13792_lociStitched	chr19	56145546	56167851	4	11222	32471.619	3033.48	305	1
3_MACS_peak_17730_lociStitched	chr22	39459166	39474350	3	11113	33164.8928	2496.2496	306	1
2_MACS_peak_6555_lociStitched	chr12	89738206	89749611	2	10275	42354.7485	2092.8175	308	1
2_MACS_peak_7030_lociStitched	chr12	125397311	125413072	2	10995	33345.5477	1790.4496	309	1
3_MACS_peak_18811_lociStitched	chr3	101495491	101513215	3	11225	31004.5932	2975.8596	310	1
1_MACS_peak_13485_lociStitched	chr19	42051596	42062512	1	10917	34352.652	2134.078	311	1
3_MACS_peak_14783_lociStitched	chr2	89049851	89066819	3	9309	50878.548	2821.7784	312	1
2_MACS_peak_27012_lociStitched	chr8	137189245	137201581	2	10517	39411.0528	2446.2288	313	1
1_MACS_peak_3139_lociStitched	chr10	30989135	30996872	1	7738	59180.313	1433.6661	314	1
3_MACS_peak_5537_lociStitched	chr11	129233640	129249776	3	10860	34074.3912	2626.9408	316	1
2_MACS_peak_3349_lociStitched	chr10	63803250	63814740	2	10318	39998.988	2420.943	317	1
4_MACS_peak_12730_lociStitched	chr19	1258352	1277358	4	10856	34556.7092	4449.3046	320	1
3_MACS_peak_16915_lociStitched	chr20	61273031	61291001	3	10792	33156.447	2415.168	321	1
3_MACS_peak_23046_lociStitched	chr6	27790979	27808062	3	9433	47656.4451	2799.9037	322	1
2_MACS_peak_6179_lociStitched	chr12	51312277	51323276	2	10780	32554.8402	2065.6122	324	1
1_MACS_peak_15871_lociStitched	chr2	217079372	217088940	1	9569	45210.7136	1917.4272	325	1
2_MACS_peak_6189_lociStitched	chr12	51712003	51722025	2	9818	42418.115	1883.1338	327	1
3_MACS_peak_5401_lociStitched	chr11	118963095	118979829	3	10748	31737.7044	2811.312	329	1
2_MACS_peak_10790_lociStitched	chr17	6914929	6926164	2	7324	59080.371	2022.3	330	1
3_MACS_peak_6966_lociStitched	chr12	122227652	122244378	3	9888	39864.7484	1162.457	331	1
2_MACS_peak_12797_lociStitched	chr19	2618290	2628889	2	7796	56572.1625	2581.9164	333	1
1_MACS_peak_1472_lociStitched	chr1	145448912	145458011	1	9100	48392.1216	3152.8035	334	1
2_MACS_peak_6079_lociStitched	chr12	46119309	46132345	2	10151	37388.5516	2007.544	335	1
1_MACS_peak_20825_lociStitched	chr4	144272684	144282202	1	9519	43448.7182	1856.01	336	1
4_MACS_peak_24062_lociStitched	chr6	135322868	135344028	4	10740	30574.084	3032.228	337	1
3_MACS_peak_23336_lociStitched	chr6	42737786	42752443	3	9117	47176.4859	2314.3403	338	1
2_MACS_peak_24639_lociStitched	chr7	26002457	26011701	2	8300	52089.94	1795.1848	342	1
1_MACS_peak_19388_lociStitched	chr3	160116017	160123805	1	7789	55110.2244	1716.4752	343	1
3_MACS_peak_16652_lociStitched	chr20	42569443	42585533	3	10462	32728.669	2669.331	348	1
5_MACS_peak_12752_lociStitched	chr19	1847172	1865563	5	10365	34604.5056	3303.0236	349	1
2_MACS_peak_14316_lociStitched	chr2	47204553	47215054	2	8715	49112.1269	2177.9074	350	1
3_MACS_peak_22524_lociStitched	chr5	171601192	171616179	3	10606	30282.7322	2483.3459	351	1
2_MACS_peak_3833_lociStitched	chr10	104401094	104412951	2	10415	31955.8007	1612.552	352	1
4_MACS_peak_13647_lociStitched	chr19	48824257	48837947	4	10309	33394.017	2461.462	354	1
4_MACS_peak_4907_lociStitched	chr11	67644773	67661710	4	9532	41807.2908	2935.1821	356	1
2_MACS_peak_20087_lociStitched	chr4	38124140	38136238	2	8990	45751.0066	2120.7794	357	1
2_MACS_peak_5454_lociStitched	chr11	122929046	122941957	2	9489	41616.0263	2490.5319	358	1
3_MACS_peak_6756_lociStitched	chr12	106528893	106543932	3	10313	30542.7051	2479.9311	361	1
3_MACS_peak_7328_lociStitched	chr13	46269213	46280842	3	9540	37893.0965	954.7409	362	1
2_MACS_peak_29063_lociStitched	chrX	119434904	119445632	2	10097	31647.6	1113.5664	363	1
3_MACS_peak_20754_lociStitched	chr4	129724194	129741536	3	10104	32446.882	2507.6532	364	1
2_MACS_peak_19525_lociStitched	chr3	177068666	177079666	2	8076	50945.4	3034.9	366	1
4_MACS_peak_21078_lociStitched	chr4	185366839	185381506	4	9993	33189.9543	2622.4596	368	1
1_MACS_peak_6714_lociStitched	chr12	102870767	102879405	1	8639	45365.9122	1625.6716	371	1
3_MACS_peak_8636_lociStitched	chr15	34619307	34635870	3	9856	34818.7386	2688.1749	372	1
3_MACS_peak_22973_lociStitched	chr6	26020335	26034776	3	10003	33117.5453	2878.0913	373	1
4_MACS_peak_23138_lociStitched	chr6	31618835	31634966	4	9925	34128.3567	2966.4909	374	1
1_MACS_peak_2181_lociStitched	chr1	197740075	197748641	1	8567	46560.493	2448.1628	375	1
3_MACS_peak_13119_lociStitched	chr19	16180510	16198103	3	9338	40166.5783	2684.6918	376	1
1_MACS_peak_21924_lociStitched	chr5	109024053	109034295	1	10243	28623.3174	2008.4562	377	1
3_MACS_peak_19439_lociStitched	chr3	169657084	169668412	3	8830	44769.3888	3082.3488	380	1
4_MACS_peak_11997_lociStitched	chr17	76137462	76152393	4	9729	34684.713	2341.1808	383	1
1_MACS_peak_16287_lociStitched	chr20	9489948	9499800	1	9853	31815.0636	1675.8252	384	1
2_MACS_peak_22561_lociStitched	chr5	173696529	173709914	2	9095	40535.134	2353.083	386	1
3_MACS_peak_13698_lociStitched	chr19	50166203	50182954	3	9931	31664.4153	2802.4423	387	1
2_MACS_peak_16868_lociStitched	chr20	56047690	56058206	2	8953	41183.8108	1835.042	388	1
2_MACS_peak_25427_lociStitched	chr7	106504222	106513650	2	8411	45965.2712	2545.56	390	1
3_MACS_peak_17431_lociStitched	chr22	23477906	23488781	3	9366	36896.7	2033.625	391	1
1_MACS_peak_24113_lociStitched	chr6	138186978	138196005	1	9028	39795.5295	1781.0271	394	1
1_MACS_peak_14726_lociStitched	chr2	86220206	86228679	1	8474	44036.7229	1460.7452	396	1
1_MACS_peak_1299_lociStitched	chr1	111172925	111181352	1	8428	43942.5915	1017.9816	397	1
2_MACS_peak_15300_lociStitched	chr2	153914528	153929071	2	9579	34033.5286	2600.2884	401	1
3_MACS_peak_13079_lociStitched	chr19	13943863	13959270	3	9614	33346.9108	2468.2014	402	1
4_MACS_peak_3839_lociStitched	chr10	104531586	104543103	4	9393	35134.9119	2184.7749	404	1
2_MACS_peak_10606_lociStitched	chr16	89033616	89046128	2	9023	37255.7312	1247.4464	405	1
3_MACS_peak_23191_lociStitched	chr6	33279362	33292758	3	9468	32205.3236	2251.8676	408	1
2_MACS_peak_11995_lociStitched	chr17	76116472	76129353	2	9189	34311.1197	1923.1333	412	1
2_MACS_peak_7674_lociStitched	chr13	115039297	115048800	2	8505	40283.217	1490.0704	415	1
2_MACS_peak_23109_lociStitched	chr6	30649018	30659459	2	9120	34391.6099	1972.3049	416	1
3_MACS_peak_12104_lociStitched	chr17	80405765	80424040	3	8809	38838.03	3331.5325	417	1
2_MACS_peak_16344_lociStitched	chr20	17939683	17952796	2	8733	38811.8574	2692.0989	419	1
2_MACS_peak_20380_lociStitched	chr4	78735895	78749457	2	9422	30111.7086	2405.8988	423	1
2_MACS_peak_4663_lociStitched	chr11	60602730	60613334	2	9461	28969.0676	2325.4572	426	1
1_MACS_peak_23786_lociStitched	chr6	106439224	106446838	1	7615	45435.7836	1436.7618	427	1
4_MACS_peak_14946_lociStitched	chr2	109829413	109843011	4	9307	30897.3756	2417.7244	429	1
3_MACS_peak_27888_lociStitched	chr9	112668968	112683147	3	7229	49036.6536	2665.652	430	1
2_MACS_peak_13122_lociStitched	chr19	16221472	16231888	2	9176	31683.3888	1750.9296	431	1
1_MACS_peak_11289_lociStitched	chr17	38016406	38025015	1	8610	37337.233	1631.4055	432	1
2_MACS_peak_19771_lociStitched	chr3	196358027	196371007	2	8315	41259.526	2968.526	433	1
2_MACS_peak_20284_lociStitched	chr4	71542260	71555189	2	8759	35731.8773	2085.4477	440	1
1_MACS_peak_9443_lociStitched	chr15	90637848	90646727	1	8880	33805.9046	1778.4637	442	1
4_MACS_peak_6790_lociStitched	chr12	109161940	109180995	4	9062	32831.765	3041.178	444	1
1_MACS_peak_3926_lociStitched	chr10	112256127	112264995	1	8869	33351.6612	1788.6756	447	1
1_MACS_peak_4500_lociStitched	chr11	35159729	35168782	1	9054	31331.5277	2179.0571	448	1
3_MACS_peak_10796_lociStitched	chr17	7136529	7147433	3	9225	28826.9048	1945.2736	450	1
2_MACS_peak_13339_lociStitched	chr19	35695531	35705979	2	7619	44046.6784	2083.3312	451	1
4_MACS_peak_3458_lociStitched	chr10	74006940	74024315	4	9085	31212.45	2896.4125	452	1
3_MACS_peak_2078_lociStitched	chr1	183438581	183451089	3	8714	36038.0496	3762.4064	454	1
2_MACS_peak_7909_lociStitched	chr14	50465460	50476704	2	7816	41328.4464	1181.7444	456	1
3_MACS_peak_17100_lociStitched	chr21	34695963	34712300	3	8224	40360.5585	3976.4258	464	1
3_MACS_peak_19924_lociStitched	chr4	9599081	9610864	3	8817	31935.4649	2064.3816	468	1
2_MACS_peak_26995_lociStitched	chr8	134576767	134585850	2	8012	39097.7735	1457.8215	470	1
2_MACS_peak_18454_lociStitched	chr3	49054537	49067695	2	8914	30610.7712	2267.1234	471	1
3_MACS_peak_25376_lociStitched	chr7	104576462	104586683	3	7603	42191.2659	1764.1446	472	1
1_MACS_peak_25185_lociStitched	chr7	90337272	90345424	1	8153	37411.1584	1515.4568	473	1
1_MACS_peak_1816_lociStitched	chr1	160676476	160685073	1	8598	34326.1016	2886.0129	475	1
2_MACS_peak_6089_lociStitched	chr12	46776197	46785819	2	8966	29014.1788	1988.8674	476	1
2_MACS_peak_6288_lociStitched	chr12	56726515	56734364	2	7513	41855.5774	1392.4126	482	1
3_MACS_peak_28002_lociStitched	chr9	123630299	123641351	3	8563	32418.8316	1899.8388	489	1
2_MACS_peak_19020_lociStitched	chr3	124501910	124511928	2	8891	28131.5458	1701.0564	491	1
1_MACS_peak_24566_lociStitched	chr7	20254713	20261906	1	7194	43184.6141	1520.6002	496	1
1_MACS_peak_18079_lociStitched	chr3	14160947	14168531	1	7585	40390.8672	1629.8016	499	1
1_MACS_peak_14526_lociStitched	chr2	66659643	66668139	1	8497	31269.528	1242.9648	503	1
2_MACS_peak_11955_lociStitched	chr17	74721262	74735055	2	8401	33288.0262	2257.9141	504	1
2_MACS_peak_19820_lociStitched	chr4	1712244	1725153	2	8131	35179.6068	1927.3137	511	1
2_MACS_peak_27955_lociStitched	chr9	117127664	117136903	2	8367	31507.7617	1760.9534	518	1
2_MACS_peak_22812_lociStitched	chr6	11722147	11733499	2	8625	28214.2608	1819.7256	519	1
2_MACS_peak_21956_lociStitched	chr5	112256150	112266826	2	8102	34052.1696	1881.1112	520	1
2_MACS_peak_1315_lociStitched	chr1	112134546	112147990	2	8596	27615.3204	1447.9188	526	1
1_MACS_peak_13778_lociStitched	chr19	55763949	55772193	1	8245	31656.1356	1579.5504	528	1
2_MACS_peak_2572_lociStitched	chr1	226062565	226071708	2	8416	30551.3345	2408.2662	529	1
3_MACS_peak_1654_lociStitched	chr1	153929194	153941597	3	8305	32845.6246	3476.5609	531	1
2_MACS_peak_26144_lociStitched	chr8	26428246	26437527	2	8012	33499.7695	1814.4355	537	1
2_MACS_peak_21926_lociStitched	chr5	109188932	109202085	2	8196	31924.9616	2404.3684	541	1
2_MACS_peak_11049_lociStitched	chr17	27046045	27056626	2	7943	33991.4625	2145.8268	548	1
2_MACS_peak_28178_lociStitched	chr9	132646078	132657623	2	7816	34862.4365	2106.9625	552	1
2_MACS_peak_1694_lociStitched	chr1	154971093	154979946	2	8285	29760.2448	1894.542	553	1
3_MACS_peak_1832_lociStitched	chr1	161122721	161137525	3	7565	38610.3124	3881.6088	554	1
1_MACS_peak_23111_lociStitched	chr6	30684081	30691997	1	7917	33243.242	1759.7268	555	1
2_MACS_peak_10082_lociStitched	chr16	30661288	30673099	2	7889	33473.5551	2077.5549	563	1
1_MACS_peak_6301_lociStitched	chr12	57076477	57083804	1	7328	36760.2917	1518.8871	572	1
3_MACS_peak_17724_lociStitched	chr22	39409109	39422013	3	8078	30143.744	2352.3992	577	1
2_MACS_peak_8145_lociStitched	chr14	72980376	72989833	2	8132	28057.0276	970.2882	578	1
2_MACS_peak_8520_lociStitched	chr15	23660181	23669632	2	7432	35566.9483	1757.886	579	1
1_MACS_peak_19282_lociStitched	chr3	150315388	150323427	1	8040	28931.5571	1558.7621	581	1
2_MACS_peak_9206_lociStitched	chr15	75353000	75363312	2	8023	28534.3352	1906.6888	592	1
3_MACS_peak_19533_lociStitched	chr3	178230459	178241178	3	7916	30477.3327	2789.0838	595	1
2_MACS_peak_8957_lociStitched	chr15	58583613	58591203	2	7299	35097.678	1487.64	596	1
1_MACS_peak_15633_lociStitched	chr2	192539066	192546467	1	7402	34174.8576	1529.7867	599	1
3_MACS_peak_14552_lociStitched	chr2	68989035	69003578	3	7928	29936.7655	2671.5491	600	1
2_MACS_peak_13409_lociStitched	chr19	39338850	39349000	2	7612	31267.075	1824.97	610	1
3_MACS_peak_9446_lociStitched	chr15	90721456	90736303	3	7594	31928.4735	2452.7244	612	1
1_MACS_peak_1471_lociStitched	chr1	145434129	145441420	1	7292	34271.3455	2144.2831	616	1
2_MACS_peak_6702_lociStitched	chr12	102129309	102140088	2	7297	33770.607	1704.1599	618	1
1_MACS_peak_21886_lociStitched	chr5	100234424	100241654	1	7231	33314.394	1683.144	635	1
1_MACS_peak_979_lociStitched	chr1	66795847	66803385	1	7539	30302.0062	1680.974	636	1
1_MACS_peak_25541_lociStitched	chr7	121944388	121951674	1	7287	32459.8586	1554.1038	640	1
2_MACS_peak_4725_lociStitched	chr11	62597877	62610625	2	7447	31389.4004	2339.258	641	1
1_MACS_peak_13925_lociStitched	chr2	10259703	10266937	1	7235	32327.2992	1456.9276	646	1
3_MACS_peak_4119_lociStitched	chr10	135201264	135215550	3	7334	31426.3428	2097.1848	655	1
2_MACS_peak_17497_lociStitched	chr22	27005149	27014999	2	7331	28528.555	1835.055	690	1
2_MACS_peak_29247_lociStitched	chrX	153189262	153200781	2	7214	28400.0945	1048.229	695	1
2_MACS_peak_4244_lociStitched	chr11	8703120	8711618	2	7241	28414.7626	1777.7816	704	1
1_MACS_peak_16021_lociStitched	chr2	232570577	232577810	1	7234	27146.8956	660.3729	708	1
