REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X15_0EX1_0229Kronos_MM1S.KB.3hr.1_H3K27Ac_hs.dm_i25.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
2_MACS_peak_2601_lociStitched	chr1	226840066	226852630	2	12260	69774.174	3467.664	160	ITPKB		ITPKB	ITPKB	0.7722	160	1
3_MACS_peak_28677_lociStitched	chrX	48790304	48805706	3	12873	61976.1078	1688.0592	162	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	OTUD5	1.7594	162	1
4_MACS_peak_16677_lociStitched	chr20	43583452	43609245	4	14877	41279.1172	4261.0036	164	STK4,TOMM34	PABPC1L	STK4	STK4	0.4073	164	1
3_MACS_peak_3563_lociStitched	chr10	81001250	81020541	3	14467	44814.9221	2895.5791	165	ZMIZ1		PPIF	PPIF	NONE	165	1
3_MACS_peak_24835_lociStitched	chr7	44661679	44680210	3	14595	42869.6154	3291.1056	166	OGDH	DDX56,TMED4	OGDH	TMED4	0.8158	166	1
4_MACS_peak_15901_lociStitched	chr2	219743211	219763279	4	14833	38701.138	3568.0904	167	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	1.5	167	1
5_MACS_peak_15731_lociStitched	chr2	202081199	202101919	5	15091	34140.344	3650.864	168	CASP10,CASP8	CASP8	CASP8	CASP8	1.3231	168	1
2_MACS_peak_15013_lociStitched	chr2	112455692	112465757	2	9630	80946.756	2159.949	169			ANAPC1	ANAPC1	NONE	169	1
2_MACS_peak_15736_lociStitched	chr2	202116123	202129129	2	11522	70091.9352	2715.6528	170	CASP8		CASP8	CASP8	1.3231	170	1
4_MACS_peak_13148_lociStitched	chr19	16693973	16717002	4	13623	53454.9148	4532.1072	171	MED26	CHERP,SLC35E1	SLC35E1	CHERP	0.14599999999999996	171	1
7_MACS_peak_4750_lociStitched	chr11	63992547	64020268	7	14941	34177.2209	4244.0851	172	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	FKBP2	1.4581	172	1
6_MACS_peak_14470_lociStitched	chr2	64430493	64456398	6	14246	44367.4935	4453.0695	173	LOC150992		LOC150992	LOC150992	0.25029999999999997	173	1
5_MACS_peak_22354_lociStitched	chr5	150513115	150537960	5	14755	35406.6095	4154.084	174	ANXA6		ANXA6	ANXA6	0.47339999999999993	174	1
5_MACS_peak_28197_lociStitched	chr9	134127135	134153397	5	14128	43713.099	3915.6642	175	FAM78A	PPAPDC3	FAM78A	FAM78A	1.1975	175	1
4_MACS_peak_3579_lociStitched	chr10	81946459	81966511	4	13879	46185.7716	3382.7724	176	ANXA11		ANXA11	ANXA11	0.6981	176	1
1_MACS_peak_8948_lociStitched	chr15	56656061	56666308	1	10248	74107.3287	1767.6075	177	TEX9		TEX9	TEX9	0.7688999999999999	177	1
3_MACS_peak_19091_lociStitched	chr3	129026616	129048543	3	14216	41281.9629	3547.7886	178	C3orf47,H1FX	C3orf37	H1FX	H1FX	2.7706	178	1
3_MACS_peak_11962_lociStitched	chr17	75078885	75092975	3	13652	46797.117	2834.908	179	C17orf86,SCARNA16	SEC14L1	SCARNA16	SCARNA16	3.0442	179	1
3_MACS_peak_21996_lociStitched	chr5	118657833	118678684	3	13659	46064.0292	3744.8396	180	TNFAIP8	TNFAIP8	TNFAIP8	TNFAIP8	0.37579999999999997	180	1
2_MACS_peak_23144_lociStitched	chr6	31694613	31709273	2	12101	60638.158	2902.68	181	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	CLIC1	3.6122	181	1
1_MACS_peak_4626_lociStitched	chr11	58339916	58348668	1	8753	79582.8112	1841.4208	182	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	LPXN	1.3439999999999999	182	1
5_MACS_peak_29094_lociStitched	chrX	128902444	128921512	5	14266	34284.264	2013.5808	183	XPNPEP2,SASH3		SASH3	SASH3	0.8296	183	1
4_MACS_peak_19348_lociStitched	chr3	156804732	156824293	4	11851	64653.0172	5506.4215	184	LOC100498859,LOC339894		LOC100498859	LOC100498859	2.7689	184	1
4_MACS_peak_4957_lociStitched	chr11	71412101	71426809	4	12275	58436.3548	2885.7096	185			FAM86C	FAM86C	NONE	185	1
1_MACS_peak_11283_lociStitched	chr17	37924856	37938704	1	13849	40671.576	2265.5328	186	IKZF3	GRB7,C17orf37	GRB7	C17orf37	0.2604	186	1
2_MACS_peak_25480_lociStitched	chr7	114561664	114573849	2	10275	72508.061	2885.408	187	MDFIC		MDFIC	MDFIC	2.4217	187	1
4_MACS_peak_6296_lociStitched	chr12	57021839	57040837	4	14482	30961.0406	3571.624	188	BAZ2A,ATP5B,SNORD59B,SNORD59A	PTGES3	BAZ2A	PTGES3	1.0055999999999998	188	1
4_MACS_peak_26169_lociStitched	chr8	27930041	27951651	4	14389	31870.428	3935.181	189	ELP3,C8orf80		C8orf80	C8orf80	0.45659999999999995	189	1
3_MACS_peak_12017_lociStitched	chr17	76763330	76779668	3	13883	38869.7358	2347.7706	190	CYTH1		CYTH1	CYTH1	0.9618999999999999	190	1
1_MACS_peak_394_lociStitched	chr1	27018213	27030988	1	12776	52194.8175	2538.3925	191	ARID1A		ARID1A	ARID1A	0.7173	191	1
3_MACS_peak_6988_lociStitched	chr12	123371225	123387076	3	14355	29845.8479	1830.7905	192	VPS37B		VPS37B	VPS37B	0.9225	192	1
3_MACS_peak_28120_lociStitched	chr9	130828831	130845722	3	14045	35743.0451	2442.4386	193	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	SLC25A25	0.6535	193	1
1_MACS_peak_22815_lociStitched	chr6	11827713	11836703	1	8991	77102.735	1940.042	194		C6orf105	C6orf105	C6orf105	0.3501	194	1
3_MACS_peak_18404_lociStitched	chr3	46578006	46589714	3	9074	76898.144	2170.6632	195	LRRC2	RTP3,TDGF1	LRRC2	LRRC2	1.2579	195	1
3_MACS_peak_20361_lociStitched	chr4	77608754	77624679	3	14301	31203.445	2958.865	196	SHROOM3		ANKRD56	ANKRD56	NONE	196	1
4_MACS_peak_666_lociStitched	chr1	40838968	40858305	4	14046	34866.5447	3385.9087	197	SMAP2	SMAP2	SMAP2	SMAP2	0.51	197	1
1_MACS_peak_17702_lociStitched	chr22	38700781	38715019	1	14239	30274.2594	2437.5456	198	CSNK1E	TMEM184B	CSNK1E	CSNK1E	0.7694	198	1
4_MACS_peak_23024_lociStitched	chr6	27094328	27116139	4	12880	50117.3158	3280.3744	199	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	HIST1H4I	0.9473999999999999	199	1
2_MACS_peak_21345_lociStitched	chr5	32581067	32594473	2	13146	46249.3594	2430.5078	200	SUB1		SUB1	SUB1	1.5549	200	1
2_MACS_peak_21220_lociStitched	chr5	6475582	6486974	2	10321	69144.8832	2154.2272	201	UBE2QL1		UBE2QL1	UBE2QL1	1.3987	201	1
1_MACS_peak_23180_lociStitched	chr6	32934703	32943029	1	8327	78685.6956	2109.8084	203	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	3.343	203	1
2_MACS_peak_18379_lociStitched	chr3	46245706	46257205	2	9373	73928.2209	2717.2137	205	CCR1	CCR3	CCR1	CCR1	3.6179	205	1
2_MACS_peak_8586_lociStitched	chr15	31546717	31560780	2	9759	71499.1046	2673.3763	206			KLF13	KLF13	1.2856999999999998	206	1
3_MACS_peak_27696_lociStitched	chr9	94180874	94195997	3	13495	37576.1181	2530.0779	207	NFIL3		NFIL3	NFIL3	1.1189999999999998	207	1
3_MACS_peak_16993_lociStitched	chr21	19152045	19169216	3	13775	32667.8275	2609.992	208	C21orf91		C21orf91	C21orf91	0.7986	208	1
4_MACS_peak_2912_lociStitched	chr10	7511740	7535605	4	12735	46722.897	3202.683	209			SFMBT2	SFMBT2	NONE	209	1
6_MACS_peak_26896_lociStitched	chr8	126285538	126308139	6	13738	31722.7636	3964.2154	210	NSMCE2		TRIB1	TRIB1	NONE	210	1
5_MACS_peak_12776_lociStitched	chr19	2254564	2274510	5	13464	36967.9164	4428.012	211	OAZ1,JSRP1	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,C19orf35,LINGO3	OAZ1	MIR1227	2.027	211	1
2_MACS_peak_19680_lociStitched	chr3	186779676	186792547	2	9416	72044.1354	3935.9518	212	ST6GAL1		ST6GAL1	ST6GAL1	0.8932	212	1
4_MACS_peak_5098_lociStitched	chr11	82765047	82790118	4	12778	45824.7738	4389.9321	213	RAB30	SNORA70E	RAB30	RAB30	0.6915	213	1
5_MACS_peak_21775_lociStitched	chr5	87954643	87976757	5	11081	60313.7236	3264.0264	214	LOC645323,MIR9-2		MIR9-2	MIR9-2	0.3087	214	1
4_MACS_peak_19293_lociStitched	chr3	151985422	152001990	4	13496	32998.4856	2728.7496	215	MBNL1,LOC401093	MBNL1	LOC401093	LOC401093	1.337	215	1
3_MACS_peak_11850_lociStitched	chr17	70582378	70601721	3	13216	37711.1128	3104.5515	216	LOC100499467,FLJ26484		LOC100499467	LOC100499467	0.1997	216	1
6_MACS_peak_8696_lociStitched	chr15	40329572	40358249	6	13594	32181.3294	4103.6787	217	SRP14	BMF	SRP14	BMF	2.151	217	1
1_MACS_peak_11752_lociStitched	chr17	62196752	62210267	1	13516	31931.8905	2801.6595	218	ERN1	SNORD104,SNORA76	ERN1	ERN1	1.1178	218	1
4_MACS_peak_24286_lociStitched	chr6	157976656	157999868	4	13262	35279.9188	1935.8808	219	ZDHHC14	MIR3692	MIR3692	NONE	NONE	219	1
2_MACS_peak_24896_lociStitched	chr7	50343649	50357806	2	12821	41995.3248	2548.26	220	IKZF1		IKZF1	IKZF1	0.27559999999999996	220	1
2_MACS_peak_22269_lociStitched	chr5	142772528	142785920	2	12511	44899.3584	1963.2672	221	NR3C1		NR3C1	NR3C1	0.2858	221	1
2_MACS_peak_17515_lociStitched	chr22	29206947	29221365	2	11340	56564.6976	2740.8618	223		CCDC117,XBP1	XBP1	XBP1	4.9301	223	1
3_MACS_peak_975_lociStitched	chr1	66736898	66750607	3	11250	56716.8748	2692.4476	224	PDE4B	PDE4B	PDE4B	PDE4B	0.11950000000000001	224	1
6_MACS_peak_14577_lociStitched	chr2	70335018	70360906	6	11987	51214.2304	3911.6768	225	LOC100133985	PCBP1,LOC400960	LOC100133985	PCBP1	7.6251	225	1
3_MACS_peak_20092_lociStitched	chr4	38307283	38322448	3	11779	51667.155	2417.301	226			KLF3	KLF3	NONE	226	1
3_MACS_peak_25816_lociStitched	chr7	150100820	150113906	3	8541	73053.9036	2799.0954	227	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	REPIN1	5.5433	227	1
1_MACS_peak_298_lociStitched	chr1	23849905	23858847	1	8943	69822.7128	2046.8238	228	E2F2	ASAP3,ID3	E2F2	E2F2	1.9703	228	1
1_MACS_peak_15548_lociStitched	chr2	182168439	182179999	1	11561	52035.028	2145.536	229			ITGA4	ITGA4	NONE	229	1
4_MACS_peak_2146_lociStitched	chr1	192498462	192521092	4	11422	55101.787	4625.572	230		RGS1	RGS1	RGS1	1.6713	230	1
2_MACS_peak_3924_lociStitched	chr10	112215979	112226016	2	8499	71186.4188	2078.6627	231		DUSP5	DUSP5	DUSP5	1.4135	231	1
4_MACS_peak_17493_lociStitched	chr22	26974711	26992181	4	12940	34905.06	3018.816	232	TPST2	CRYBA4,MIR548J,TPST2,CRYBB1	TPST2	CRYBB1	1.0823	232	1
3_MACS_peak_1813_lociStitched	chr1	160640993	160656016	3	11242	54996.1984	4060.7169	233	CD48	SLAMF1	SLAMF1	NONE	NONE	233	1
4_MACS_peak_17760_lociStitched	chr22	39910832	39929676	4	12668	37725.688	3103.6068	235	SMCR7L,ATF4,RPS19BP1	MGAT3,CACNA1I	ATF4	ATF4	1.7829000000000002	235	1
2_MACS_peak_16499_lociStitched	chr20	32461941	32473433	2	8073	71841.0888	2035.2332	237			CHMP4B	CHMP4B	2.1534	237	1
4_MACS_peak_15771_lociStitched	chr2	204552813	204574004	4	11852	47480.5546	3708.425	238	CD28		CD28	CD28	1.1551	238	1
2_MACS_peak_5338_lociStitched	chr11	115090469	115102242	2	8586	68740.1924	1831.8788	239	CADM1		CADM1	CADM1	0.2804	239	1
2_MACS_peak_10754_lociStitched	chr17	4842132	4854642	2	11428	49819.824	2469.474	240	RNF167,ENO3,SLC25A11,PFN1	C17orf107,GP1BA,KIF1C,CHRNE,SPAG7,CAMTA2,INCA1	PFN1	PFN1	2.9886999999999997	240	1
4_MACS_peak_21788_lociStitched	chr5	88595856	88617219	4	11002	51694.1874	3471.4875	242			MEF2C	MEF2C	0.7895	242	1
2_MACS_peak_22108_lociStitched	chr5	131822520	131837772	2	12367	35773.566	2955.8376	243	IRF1	IL5	IRF1	IRF1	0.6644000000000001	243	1
4_MACS_peak_13652_lociStitched	chr19	48880363	48902368	4	12248	37327.0815	3071.898	244	GRIN2D,KDELR1	SYNGR4,GRWD1,TMEM143	KDELR1	KDELR1	1.7509000000000001	244	1
4_MACS_peak_4915_lociStitched	chr11	67760524	67778364	4	12243	36434.632	2576.096	246	ALDH3B1,UNC93B1	NDUFS8,TCIRG1	UNC93B1	UNC93B1	1.1051000000000002	246	1
1_MACS_peak_11255_lociStitched	chr17	36856181	36863840	1	7660	69941.988	1495.8027	247	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	MLLT6	2.0324	247	1
5_MACS_peak_5770_lociStitched	chr12	11901698	11920075	5	12307	35555.8196	3164.5194	248	ETV6		ETV6	ETV6	0.253	248	1
1_MACS_peak_20571_lociStitched	chr4	105407336	105417587	1	10252	55260.0657	1836.9792	249	CXXC4		CXXC4	CXXC4	1.8088	249	1
2_MACS_peak_23830_lociStitched	chr6	108986317	108998732	2	12001	37992.383	1862.25	250	FOXO3		NCRNA00222	NCRNA00222	NONE	250	1
2_MACS_peak_23549_lociStitched	chr6	74220311	74234445	2	11837	39910.1758	2682.6332	252	EEF1A1	MTO1	EEF1A1	EEF1A1	2.4301	252	1
1_MACS_peak_16673_lociStitched	chr20	43270375	43282249	1	11875	38959.7814	2360.5512	253	ADA	LOC79015	ADA	ADA	0.8551	253	1
2_MACS_peak_3206_lociStitched	chr10	43890498	43905899	2	11750	40225.8719	2200.8029	254	HNRNPF	FXYD4,ZNF487P	HNRNPF	HNRNPF	0.7928	254	1
3_MACS_peak_23393_lociStitched	chr6	45386705	45402496	3	11390	44227.4328	2177.5789	255	RUNX2	SUPT3H	RUNX2	RUNX2	0.1829	255	1
3_MACS_peak_28103_lociStitched	chr9	130531960	130551754	3	12400	31854.4842	3323.4126	256	CDK9,MIR2861,SH2D3C	FPGS,TOR2A,SH2D3C	SH2D3C	TOR2A	0.6000000000000001	256	1
2_MACS_peak_2382_lociStitched	chr1	209275319	209284233	2	8694	63966.864	2181.2558	257			LOC642587	LOC642587	NONE	257	1
1_MACS_peak_22313_lociStitched	chr5	148204665	148215945	1	11281	44629.32	2416.176	258	ADRB2		ADRB2	ADRB2	2.0411	258	1
2_MACS_peak_1763_lociStitched	chr1	156709212	156722800	2	11523	43014.1728	3460.8636	259	MRPL24,HDGF	C1orf66,PRCC,CRABP2,ISG20L2	MRPL24	MRPL24	1.0511	259	1
3_MACS_peak_28578_lociStitched	chrX	39953247	39969537	3	12382	27261.315	1181.025	262	BCOR		BCOR	BCOR	0.40369999999999995	262	1
1_MACS_peak_12316_lociStitched	chr18	22928945	22941199	1	12255	29673.061	1393.2798	263	ZNF521		ZNF521	ZNF521	0.03920000000000001	263	1
2_MACS_peak_20273_lociStitched	chr4	69431903	69443244	2	9815	55895.2526	2009.6252	264	UGT2B15,UGT2B17		UGT2B17	UGT2B17	0.5356	264	1
1_MACS_peak_15998_lociStitched	chr2	231729248	231739756	1	10509	49247.8436	854.3004	265	ITM2C		ITM2C	ITM2C	1.9995999999999998	265	1
1_MACS_peak_19519_lociStitched	chr3	176911815	176920931	1	9117	61036.178	2701.0708	266	TBL1XR1		TBL1XR1	TBL1XR1	0.41159999999999997	266	1
1_MACS_peak_15316_lociStitched	chr2	158293911	158302544	1	8634	63019.1734	2185.0123	268	CYTIP		CYTIP	CYTIP	1.5493999999999999	268	1
1_MACS_peak_23000_lociStitched	chr6	26358033	26367692	1	9660	56336.1175	1885.4368	269	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	BTN3A2	1.8760999999999999	269	1
3_MACS_peak_21180_lociStitched	chr5	1329090	1346291	3	12037	33333.8179	3290.5513	270	CLPTM1L	TERT	CLPTM1L	CLPTM1L	3.4673999999999996	270	1
4_MACS_peak_20308_lociStitched	chr4	74454088	74475605	4	11512	40583.2137	3371.7139	271	RASSF6		RASSF6	RASSF6	0.6641999999999999	271	1
1_MACS_peak_4984_lociStitched	chr11	72862377	72869871	1	7495	67738.266	1620.9522	272		FCHSD2	FCHSD2	FCHSD2	0.1078	272	1
3_MACS_peak_9494_lociStitched	chr15	93346249	93364541	3	10661	48638.428	2626.7312	273		ASB9P1	ASB9P1	NONE	NONE	273	1
4_MACS_peak_8923_lociStitched	chr15	52959299	52977248	4	12231	29833.0329	3175.1781	274	KIAA1370		KIAA1370	KIAA1370	0.2233	274	1
1_MACS_peak_9301_lociStitched	chr15	81585139	81596126	1	10988	44865.4145	2558.8723	275	IL16	STARD5	IL16	STARD5	0.6526	275	1
3_MACS_peak_27071_lociStitched	chr8	145009658	145027904	3	12181	28598.7804	2381.103	276	PLEC,MIR661	GRINA,PARP10	PLEC	PARP10	0.6161	276	1
3_MACS_peak_1691_lociStitched	chr1	154942263	154958324	3	10696	48880.0474	4408.7445	277	CKS1B,MIR4258,FLAD1,SHC1	LENEP,ZBTB7B,DCST1,PMVK,PBXIP1,PYGO2,DCST2	MIR4258	PBXIP1	4.232	277	1
3_MACS_peak_18146_lociStitched	chr3	20080186	20098157	3	11937	32160.9016	2727.9978	278	KAT2B	C3orf48	KAT2B	KAT2B	0.2056	278	1
3_MACS_peak_14243_lociStitched	chr2	42323504	42334605	3	9894	52804.1267	2307.8979	281		PKDCC	PKDCC	NONE	NONE	281	1
1_MACS_peak_5640_lociStitched	chr12	4377643	4388530	1	10888	43458.7266	1924.8216	282	CCND2	C12orf5	CCND2	CCND2	1.0354	282	1
3_MACS_peak_21341_lociStitched	chr5	32530519	32543884	3	11536	35391.8565	2634.2415	283		SUB1	SUB1	SUB1	1.5549	283	1
1_MACS_peak_22672_lociStitched	chr6	389030	400918	1	11889	28884.2736	2173.1264	285	IRF4		IRF4	IRF4	0.9025000000000001	285	1
3_MACS_peak_17248_lociStitched	chr21	45194917	45210674	3	11194	39788.0007	3524.8409	287	RRP1,CSTB	LOC284837	CSTB	CSTB	0.9762	287	1
2_MACS_peak_1835_lociStitched	chr1	161144500	161157460	2	10114	49985.424	3367.008	289	B4GALT3	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,ADAMTS4,APOA2	B4GALT3	UFC1	1.8744000000000003	289	1
4_MACS_peak_12001_lociStitched	chr17	76163821	76183629	4	11802	29282.1664	2731.5232	290	SYNGR2,AFMID,TK1	TMC8,C17orf99,BIRC5,LOC283999,TMC6,EPR1	SYNGR2	SYNGR2	1.6871	290	1
2_MACS_peak_16815_lociStitched	chr20	52267734	52279034	2	10608	43707.27	1870.15	291			ZNF217	ZNF217	1.3126	291	1
1_MACS_peak_16719_lociStitched	chr20	45978607	45987205	1	8599	58499.0724	1765.1694	292	ZMYND8	LOC100131496	ZMYND8	ZMYND8	0.38139999999999996	292	1
2_MACS_peak_5493_lociStitched	chr11	126056707	126069138	2	7337	65636.9231	2365.6193	293		FAM118B,RPUSD4	RPUSD4	RPUSD4	0.48500000000000004	293	1
2_MACS_peak_17092_lociStitched	chr21	34600693	34613056	2	10012	49381.5309	2953.5207	294	IFNAR2	IL10RB	IFNAR2	IFNAR2	1.3081	294	1
4_MACS_peak_22761_lociStitched	chr6	7134908	7148035	4	11536	31764.7146	2517.7586	296	RREB1		RREB1	RREB1	0.2414	296	1
1_MACS_peak_22188_lociStitched	chr5	138720055	138730588	1	10534	43220.0589	2289.8742	298	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	MZB1	3.331	298	1
1_MACS_peak_24872_lociStitched	chr7	47512603	47522845	1	10243	43912.575	2306.4984	302	TNS3		TNS3	TNS3	0.1931	302	1
4_MACS_peak_13792_lociStitched	chr19	56145546	56167851	4	11222	32471.619	3033.48	305	ZNF580,ZNF581,CCDC106,U2AF2	ZNF524,ZNF865,EPN1,FIZ1,ZNF784	ZNF581	ZNF524	1.3433	305	1
3_MACS_peak_17730_lociStitched	chr22	39459166	39474350	3	11113	33164.8928	2496.2496	306	APOBEC3G	APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3H	APOBEC3G	APOBEC3C	1.718	306	1
2_MACS_peak_6555_lociStitched	chr12	89738206	89749611	2	10275	42354.7485	2092.8175	308	DUSP6		DUSP6	DUSP6	2.774	308	1
2_MACS_peak_7030_lociStitched	chr12	125397311	125413072	2	10995	33345.5477	1790.4496	309	UBC	SCARB1	UBC	UBC	1.9696	309	1
3_MACS_peak_18811_lociStitched	chr3	101495491	101513215	3	11225	31004.5932	2975.8596	310	FAM55C	NFKBIZ	FAM55C	FAM55C	0.5655	310	1
1_MACS_peak_13485_lociStitched	chr19	42051596	42062512	1	10917	34352.652	2134.078	311		CEACAM21	CEACAM21	NONE	NONE	311	1
3_MACS_peak_14783_lociStitched	chr2	89049851	89066819	3	9309	50878.548	2821.7784	312	RPIA,ANKRD36BP2		ANKRD36BP2	ANKRD36BP2	0.008500000000000008	312	1
2_MACS_peak_27012_lociStitched	chr8	137189245	137201581	2	10517	39411.0528	2446.2288	313			KHDRBS3	KHDRBS3	NONE	313	1
1_MACS_peak_3139_lociStitched	chr10	30989135	30996872	1	7738	59180.313	1433.6661	314			LYZL2	LYZL2	NONE	314	1
3_MACS_peak_5537_lociStitched	chr11	129233640	129249776	3	10860	34074.3912	2626.9408	316	BARX2		BARX2	BARX2	0.5162	316	1
2_MACS_peak_3349_lociStitched	chr10	63803250	63814740	2	10318	39998.988	2420.943	317	ARID5B		ARID5B	ARID5B	0.3198	317	1
4_MACS_peak_12730_lociStitched	chr19	1258352	1277358	4	10856	34556.7092	4449.3046	320	MIDN,CIRBP,C19orf24,C19orf23	ATP5D,EFNA2,C19orf26	CIRBP	CIRBP	1.3588	320	1
3_MACS_peak_16915_lociStitched	chr20	61273031	61291001	3	10792	33156.447	2415.168	321	SLCO4A1	NTSR1,LOC100127888	SLCO4A1	SLCO4A1	0.7679	321	1
3_MACS_peak_23046_lociStitched	chr6	27790979	27808062	3	9433	47656.4451	2799.9037	322	HIST1H4J,HIST1H2BN,HIST1H4K,HIST1H2AK	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H2AL,HIST1H2BL,HIST1H2AJ,HIST1H1B,HIST1H3I,HIST1H4L	HIST1H4K	HIST1H3H	2.0705999999999998	322	1
2_MACS_peak_6179_lociStitched	chr12	51312277	51323276	2	10780	32554.8402	2065.6122	324	METTL7A	HIGD1C	METTL7A	METTL7A	1.6356000000000002	324	1
1_MACS_peak_15871_lociStitched	chr2	217079372	217088940	1	9569	45210.7136	1917.4272	325			XRCC5	XRCC5	NONE	325	1
2_MACS_peak_6189_lociStitched	chr12	51712003	51722025	2	9818	42418.115	1883.1338	327	BIN2	SMAGP,CELA1	BIN2	CELA1	0.7673	327	1
3_MACS_peak_5401_lociStitched	chr11	118963095	118979829	3	10748	31737.7044	2811.312	329	HMBS,C2CD2L,H2AFX,DPAGT1	VPS11,HINFP,ABCG4,HYOU1	DPAGT1	DPAGT1	1.6677000000000002	329	1
2_MACS_peak_10790_lociStitched	chr17	6914929	6926164	2	7324	59080.371	2022.3	330	RNASEK,C17orf49,MIR195,MIR497	ALOX12,BCL6B,SLC16A13,SLC16A11	MIR195	MIR195	4.6085	330	1
3_MACS_peak_6966_lociStitched	chr12	122227652	122244378	3	9888	39864.7484	1162.457	331	SETD1B,RHOF,LOC338799		RHOF	RHOF	0.0447	331	1
2_MACS_peak_12797_lociStitched	chr19	2618290	2628889	2	7796	56572.1625	2581.9164	333	GNG7		GNG7	GNG7	0.7723	333	1
1_MACS_peak_1472_lociStitched	chr1	145448912	145458011	1	9100	48392.1216	3152.8035	334	POLR3GL	HFE2,TXNIP,ANKRD34A,LIX1L,RBM8A	TXNIP	TXNIP	2.2652	334	1
2_MACS_peak_6079_lociStitched	chr12	46119309	46132345	2	10151	37388.5516	2007.544	335	ARID2,LOC400027		ARID2	ARID2	0.17	335	1
1_MACS_peak_20825_lociStitched	chr4	144272684	144282202	1	9519	43448.7182	1856.01	336	GAB1		GAB1	GAB1	0.42180000000000006	336	1
4_MACS_peak_24062_lociStitched	chr6	135322868	135344028	4	10740	30574.084	3032.228	337	HBS1L	MIR3662,HBS1L	MIR3662	HBS1L	0.294	337	1
3_MACS_peak_23336_lociStitched	chr6	42737786	42752443	3	9117	47176.4859	2314.3403	338		LOC442211,KIAA0240,PRPH2,TBCC	TBCC	TBCC	0.7982	338	1
2_MACS_peak_24639_lociStitched	chr7	26002457	26011701	2	8300	52089.94	1795.1848	342		MIR148A	MIR148A	MIR148A	2.0752	342	1
1_MACS_peak_19388_lociStitched	chr3	160116017	160123805	1	7789	55110.2244	1716.4752	343	SMC4,MIR15B,MIR16-2,IFT80	IFT80,TRIM59	SMC4	SMC4	1.218	343	1
3_MACS_peak_16652_lociStitched	chr20	42569443	42585533	3	10462	32728.669	2669.331	348	TOX2		TOX2	TOX2	0.5896	348	1
5_MACS_peak_12752_lociStitched	chr19	1847172	1865563	5	10365	34604.5056	3303.0236	349	REXO1,KLF16	LOC100288123,SCAMP4,ADAT3,ATP8B3,MIR1909,FAM108A1	KLF16	KLF16	1.4705	349	1
2_MACS_peak_14316_lociStitched	chr2	47204553	47215054	2	8715	49112.1269	2177.9074	350	TTC7A	MCFD2	MCFD2	MCFD2	0.4195	350	1
3_MACS_peak_22524_lociStitched	chr5	171601192	171616179	3	10606	30282.7322	2483.3459	351	STK10	EFCAB9	STK10	STK10	0.17620000000000002	351	1
2_MACS_peak_3833_lociStitched	chr10	104401094	104412951	2	10415	31955.8007	1612.552	352	TRIM8		TRIM8	TRIM8	1.389	352	1
4_MACS_peak_13647_lociStitched	chr19	48824257	48837947	4	10309	33394.017	2461.462	354	EMP3,TMEM143	ZNF114,SYNGR4,CCDC114	EMP3	EMP3	2.0385	354	1
4_MACS_peak_4907_lociStitched	chr11	67644773	67661710	4	9532	41807.2908	2935.1821	356			LOC645332	LOC645332	NONE	356	1
2_MACS_peak_20087_lociStitched	chr4	38124140	38136238	2	8990	45751.0066	2120.7794	357	TBC1D1		PTTG2	PTTG2	NONE	357	1
2_MACS_peak_5454_lociStitched	chr11	122929046	122941957	2	9489	41616.0263	2490.5319	358	HSPA8	LOC341056	HSPA8	HSPA8	2.4471	358	1
3_MACS_peak_6756_lociStitched	chr12	106528893	106543932	3	10313	30542.7051	2479.9311	361	NUAK1		NUAK1	NUAK1	0.28290000000000004	361	1
3_MACS_peak_7328_lociStitched	chr13	46269213	46280842	3	9540	37893.0965	954.7409	362	SPERT		SPERT	SPERT	1.593	362	1
