GENE_ID	locusLine	bin_1_31_0EX7_0229Kronos_MM1S-No-Treatment-1_IRF4_hs_i45.bam
NM_001013717	chr5(.):131741672-131803059	0.5476
NM_000879	chr5(.):131872135-131884214	0.0921
NM_017665	chr5(.):132327677-132367240	0.1536
NM_002154	chr5(.):132382661-132445709	0.2164
NM_016480	chr5(.):138672518-138710409	0.179
NM_194296	chr5(.):138727455-138744776	0.6265
NM_152686	chr5(.):138740891-138780214	0.2199
NM_152685	chr5(.):138697884-138724039	0.2817
NM_001033112	chr5(.):138673133-138710409	0.1791
NM_001161546	chr5(.):138722634-138735885	1.154
NM_016459	chr5(.):138718256-138730605	1.3443
NM_016463	chr5(.):139023300-139067680	0.4283
NM_000024	chr5(.):148201155-148213197	0.5794
NM_001025071	chr5(.):149818791-149834319	0.3963
NM_001543	chr5(.):149882673-149942773	0.1684
NM_001171183	chr5(.):171616175-171635458	0.1239
NM_004417	chr5(.):172190092-172203203	0.7804
NM_017675	chr5(.):175971342-176027769	0.25
NM_014901	chr5(.):175948699-175969421	0.3513
NM_001171976	chr5(.):175964511-176027769	0.2975
NM_001031677	chr5(.):176723198-176735744	0.6927
NM_006480	chr5(.):176779843-176804599	0.3728
NM_006816	chr5(.):176753562-176783885	0.2521
NM_031300	chr5(.):176729205-176744292	0.6604
NM_001142935	chr5(.):176727500-176744292	0.6845
NM_013237	chr5(.):176725834-176738950	0.8254
NM_002082	chr5(.):176848686-176874850	0.6608
NM_203352	chr5(.):176905394-176929602	0.3682
NM_030567	chr5(.):176868795-176888287	0.6049
NM_000505	chr5(.):176824138-176841577	0.5127
NM_080881	chr5(.):176878613-176904871	0.3922
NM_004395	chr5(.):176878613-176905694	0.3882
NM_001004105	chr5(.):176848686-176873354	0.6466
NM_001174102	chr5(.):176870325-176888283	0.6305
NM_001029886	chr5(.):176822107-176832637	0.5315
NR_027183	chr5(.):180251958-180267726	0.3829
NM_152283	chr5(.):180269610-180293286	0.2322
NM_206880	chr5(.):180576942-180587890	0.2241
NM_006098	chr5(.):180658927-180675906	0.5363
NM_033342	chr5(.):180625119-180637177	0.4265
NR_002591	chr5(.):180665313-180675376	0.7736
NR_002592	chr5(.):180663817-180673889	0.7332
NM_032765	chr5(.):180678385-180693119	0.4048
NM_203297	chr5(.):180615923-180632930	0.4742
NM_203296	chr5(.):180615923-180636340	0.5346
NM_033549	chr5(.):180645305-180667808	0.5288
NR_027908	chr6(.):33548882-33566115	0.3702
NR_028361	chr6(.):33546475-33561803	0.5891
NM_004117	chr6(.):35536361-35661719	0.125
NM_001145776	chr6(.):35536361-35661692	0.125
NM_001145775	chr6(.):35536361-35701360	0.1612
NM_181356	chr6(.):44791469-45350670	0.0721
NM_003599	chr6(.):44792449-45350575	0.0719
NM_012288	chr6(.):52357199-52446862	0.4032
NM_001195286	chr6(.):386738-416443	0.5675
NM_001168344	chr6(.):7102829-7257213	0.2202
NM_001003699	chr6(.):7103085-7257213	0.2204
NM_001718	chr6(.):7722010-7886961	0.1653
NR_037616	chr6(.):7876482-8069647	0.3267
NM_001949	chr6(.):20397136-20498945	0.1586
NM_014641	chr6(.):30662583-30690458	0.3728
NM_172166	chr6(.):31702724-31735455	0.3883
NM_152735	chr6(.):33417355-33430320	0.2828
NM_004348	chr6(.):45384913-45523819	0.1713
NM_001024630	chr6(.):45291053-45523819	0.1378
NM_001123226	chr6(.):74166453-74216179	0.2211
NM_016021	chr6(.):90031343-90067619	0.3454
NM_001455	chr6(.):108877068-109010971	0.3277
NM_201559	chr6(.):108876025-109010971	0.3266
NM_020185	chr6(.):287100-356355	0.6478
NM_016588	chr6(.):5993232-6012633	0.5128
NM_001145549	chr6(.):7876482-7915310	0.7986
NM_030810	chr6(.):7876482-7916047	0.7916
NR_033910	chr6(.):10407550-10421402	0.5554
NM_001032280	chr6(.):10391915-10417607	0.3616
NM_001042425	chr6(.):10391915-10424797	0.3486
NR_027793	chr6(.):10423017-10440055	0.2455
NM_003220	chr6(.):10391915-10420470	0.3758
NM_003107	chr6(.):21588971-21603849	0.4162
NM_005319	chr6(.):26050967-26061699	0.377
NM_003537	chr6(.):26026816-26037288	0.4719
NM_003544	chr6(.):26022123-26032480	0.3906
NM_021062	chr6(.):26038454-26048885	0.4312
NM_003531	chr6(.):26040638-26051097	0.4172
NM_005325	chr6(.):26012259-26023040	0.3142
NM_003538	chr6(.):26016906-26027278	0.4276
NM_003513	chr6(.):26028319-26038796	0.3572
NM_003529	chr6(.):26015717-26026186	0.3323
NM_021065	chr6(.):26194011-26204471	0.6068
NM_003530	chr6(.):26192011-26204464	0.535
NM_138720	chr6(.):26153348-26176576	0.475
NM_003523	chr6(.):26179023-26189458	0.3799
NM_003539	chr6(.):26183937-26194304	0.3926
NM_003545	chr6(.):26199872-26210249	0.3697
NM_005321	chr6(.):26151558-26162343	0.621
NM_003522	chr6(.):26194786-26205216	0.7135
NM_003518	chr6(.):26211427-26221872	0.3985
NM_021052	chr6(.):26212147-26222711	0.4
NM_003532	chr6(.):26220382-26230844	0.193
NM_003524	chr6(.):26246878-26257303	0.4948
NM_003547	chr6(.):26241838-26252205	0.4484
NM_003540	chr6(.):26235653-26246021	0.1816
NM_021018	chr6(.):26245369-26255835	0.477
NM_005320	chr6(.):26229439-26240216	0.3308
NM_001145008	chr6(.):26397464-26420444	0.1674
NM_001197240	chr6(.):26378328-26400100	0.2426
NM_001197247	chr6(.):26360397-26383540	0.3302
NM_001197238	chr6(.):26378323-26400100	0.2425
NM_007047	chr6(.):26360397-26383548	0.3303
NM_001197237	chr6(.):26378438-26400100	0.2435
NM_001197248	chr6(.):26360469-26383540	0.3263
NM_001197246	chr6(.):26363405-26383540	0.1864
NM_021064	chr6(.):27095816-27106314	0.4451
NM_080593	chr6(.):27101071-27119637	0.4242
NM_080596	chr6(.):27109907-27120346	0.4379
NR_036096	chr6(.):27110404-27120467	0.4388
NM_021058	chr6(.):27095094-27105575	0.4472
NM_003495	chr6(.):27102087-27112457	0.2611
NM_021066	chr6(.):27777079-27787518	0.5389
NM_003536	chr6(.):27772841-27783314	0.7398
NM_003509	chr6(.):27770976-27781445	0.5648
NM_003519	chr6(.):27770256-27780709	0.5433
NM_003521	chr6(.):27777821-27788267	0.5139
NM_003520	chr6(.):27801439-27811888	0.4508
NM_003511	chr6(.):27828106-27838576	0.421
NM_003533	chr6(.):27834622-27845099	0.4184
NM_003510	chr6(.):27800657-27811117	0.4553
NM_003541	chr6(.):27793951-27804305	0.3762
NM_005322	chr6(.):27829569-27840359	0.569
NM_021968	chr6(.):27786902-27797258	0.3287
NM_003546	chr6(.):27835925-27846289	0.3495
NM_003587	chr6(.):30615895-30645830	0.2108
NM_001031722	chr6(.):30589662-30619598	0.2562
NR_033823	chr6(.):30589612-30619598	0.2559
NM_001161376	chr6(.):30609815-30625987	0.2928
NM_133471	chr6(.):30639165-30660672	0.6186
NM_001134870	chr6(.):30639165-30660093	0.6301
NM_007243	chr6(.):30650825-30663769	0.5923
NM_005803	chr6(.):30690510-30715453	0.4583
NM_003897	chr6(.):30705975-30717327	0.5841
NM_178014	chr6(.):30683156-30698195	0.6451
NM_007109	chr6(.):31121302-31136992	0.3715
NM_001173531	chr6(.):31127113-31139615	0.294
NR_026791	chr6(.):31160536-31176745	0.5285
NM_019052	chr6(.):31105215-31131015	0.2627
NM_001105563	chr6(.):31105215-31130566	0.2626
NR_026816	chr6(.):31136511-31150676	0.1951
NM_002701	chr6(.):31127113-31143451	0.2674
NM_021246	chr6(.):31678132-31690581	0.1889
NM_138275	chr6(.):31686160-31697851	0.6459
NR_033488	chr6(.):31649725-31675850	0.2973
NM_013974	chr6(.):31689816-31703039	0.7562
NM_025262	chr6(.):31639460-31653150	0.2908
NM_001288	chr6(.):31693357-31709341	1.0738
NM_001003693	chr6(.):31669683-31683372	0.4398
NM_021160	chr6(.):31649725-31676137	0.2962
NR_024541	chr6(.):31674752-31686842	0.2142
NM_025261	chr6(.):31681424-31694510	0.1578
NM_001039651	chr6(.):31725772-31737624	0.2013
NM_025258	chr6(.):31728370-31750108	0.3866
NR_002742	chr6(.):31799852-31809916	0.6939
NM_000434	chr6(.):31821828-31835709	0.4338
NM_021177	chr6(.):31760173-31779743	0.4296
NR_002745	chr6(.):31798039-31808103	0.7521
NM_001178045	chr6(.):31825969-31850448	0.3469
NM_001040438	chr6(.):31797692-31812541	0.6177
NM_005345	chr6(.):31778290-31790719	0.4537
NM_005527	chr6(.):31772395-31787835	0.4326
NM_001178044	chr6(.):31825969-31851823	0.3386
NM_006295	chr6(.):31740296-31768712	0.5046
NM_005346	chr6(.):31790511-31803031	0.8689
NM_022107	chr6(.):32153542-32168300	0.66
NM_138717	chr6(.):32116300-32136452	0.2145
NM_001136	chr6(.):32143745-32157023	0.3114
NM_004557	chr6(.):32157619-32196844	0.3255
NM_032741	chr6(.):32130982-32150888	0.2449
NM_002586	chr6(.):32147509-32162963	0.3786
NM_006913	chr6(.):32141161-32153570	0.3218
NR_003129	chr6(.):32141231-32153567	0.323
NM_030651	chr6(.):32111139-32124720	0.2595
NM_005155	chr6(.):32116621-32136452	0.2143
NM_006411	chr6(.):32130982-32148916	0.2554
NR_037169	chr6(.):32115578-32127142	0.272
NM_030652	chr6(.):32127404-32141062	0.137
NM_002800	chr6(.):32816937-32832628	0.4178
NM_000544	chr6(.):32788186-32811547	0.2148
NM_018833	chr6(.):32784609-32811547	0.2037
NM_002120	chr6(.):32775539-32789825	0.1264
NM_000593	chr6(.):32807985-32826748	0.6113
NR_027771	chr6(.):32839254-32852851	0.0794
NM_004159	chr6(.):32803493-32817712	0.5949
NM_148919	chr6(.):32803493-32816816	0.6267
NR_037178	chr6(.):32856952-32876535	0.1447
NR_037174	chr6(.):32806862-32819277	0.513
NM_006120	chr6(.):32911390-32925899	0.2884
NM_002119	chr6(.):32966959-32982389	0.1399
NM_002118	chr6(.):32897405-32913847	0.2418
NM_005104	chr6(.):32931436-32954282	0.6757
NM_001113182	chr6(.):32933664-32954282	0.7361
NM_001199455	chr6(.):32934371-32954282	0.7553
NM_001199456	chr6(.):32935860-32954282	0.7895
NM_080679	chr6(.):33125468-33165245	0.2152
NM_001164267	chr6(.):33241879-33262304	0.2784
NM_022551	chr6(.):33234851-33249281	0.4774
NM_172209	chr6(.):33262471-33287164	0.6127
NM_004761	chr6(.):33254430-33272176	0.5509
NM_172208	chr6(.):33266409-33287164	0.6337
NM_006979	chr6(.):33163602-33177214	0.6196
NM_002931	chr6(.):33171285-33185499	0.4096
NM_003782	chr6(.):33239916-33251602	0.3073
NR_024517	chr6(.):33281334-33295793	0.6419
NM_014234	chr6(.):33167418-33179607	0.6691
NM_014260	chr6(.):33252377-33263711	0.303
NM_021976	chr6(.):33156364-33173432	0.4353
NM_005453	chr6(.):33277181-33290512	0.6322
NM_001145338	chr6(.):33277181-33290719	0.6438
NM_022553	chr6(.):33213048-33244662	0.3351
NR_029633	chr6(.):33170611-33180721	0.4863
NM_001185181	chr6(.):33252411-33263709	0.3039
NM_006772	chr6(.):33382846-33426466	0.3301
NM_015921	chr6(.):33379318-33391065	0.4323
NR_001444	chr6(.):33327513-33339139	0.1566
NM_002263	chr6(.):33354312-33382699	0.3666
NM_002636	chr6(.):33373772-33389230	0.505
NM_001188	chr6(.):33535322-33553070	0.6273
NM_002224	chr6(.):33584155-33669348	0.2397
NR_027117	chr6(.):35689538-35709724	0.4361
NM_207409	chr6(.):35739391-35752329	0.1427
NM_001010886	chr6(.):35743830-35760841	0.161
NM_145028	chr6(.):35699858-35721685	0.2347
NR_037152	chr6(.):36639236-36660116	0.5502
NM_078467	chr6(.):36639266-36660116	0.551
NR_037150	chr6(.):36639313-36660116	0.5519
NM_000389	chr6(.):36641455-36660116	0.603
NR_037151	chr6(.):36641486-36660116	0.6034
NM_002648	chr6(.):37132921-37148204	0.6205
NM_001171629	chr6(.):43732945-43759223	0.418
NM_001078177	chr6(.):44186362-44206888	0.4766
NM_178148	chr6(.):44216837-44230283	0.4612
NM_001078174	chr6(.):44182241-44206888	0.4353
NM_020745	chr6(.):44261462-44286063	0.2325
NM_182539	chr6(.):44242896-44270458	0.1732
NM_001137560	chr6(.):44233479-44252182	0.2139
NM_001078175	chr6(.):44186295-44206888	0.4765
NM_004556	chr6(.):44220902-44238525	0.6458
NM_007355	chr6(.):44209848-44226614	0.6443
NM_001402	chr6(.):74220472-74235755	0.7585
NM_002043	chr6(.):89962238-90029967	0.2104
NM_030796	chr7(.):55533305-55645200	0.3992
NM_001913	chr7(.):101454291-101932250	0.1848
NM_181500	chr7(.):101454302-101932250	0.1848
NR_033766	chr7(.):113721364-114338827	0.0793
NM_001145354	chr7(.):130789854-131186398	0.172
NM_001164458	chr7(.):149939300-150025758	0.2147
NM_001080495	chr7(.):5341422-5468177	0.2613
NM_003088	chr7(.):5627453-5651286	0.234
NM_002541	chr7(.):44641120-44753669	0.2658
NM_001003941	chr7(.):44641120-44721195	0.3115
NM_022748	chr7(.):47309751-47584199	0.1883
NM_017984	chr7(.):99993494-100031302	0.3717
NM_017621	chr7(.):102091666-102110321	0.434
NM_006989	chr7(.):102215092-102262205	0.7248
NM_001098627	chr7(.):128575771-128595088	0.8208
NM_001098630	chr7(.):128572993-128595088	0.8259
NM_032643	chr7(.):128573270-128595088	0.815
NM_003344	chr7(.):129467994-129597789	0.2369
NR_015431	chr7(.):130623918-130798562	0.2376
NR_024153	chr7(.):130623918-130796789	0.239
NM_173680	chr7(.):150071405-150100719	0.6187
NM_003751	chr7(.):2389473-2425377	0.2753
NM_018641	chr7(.):2438258-2479216	0.3475
NM_024963	chr7(.):5510427-5558399	0.2757
NM_001101	chr7(.):5561778-5575232	0.6004
NR_029597	chr7(.):25984538-25994606	0.6358
NM_019082	chr7(.):44600402-44619137	0.2732
NM_182547	chr7(.):44613761-44626827	0.3906
NM_004603	chr7(.):73108534-73139017	0.2042
NR_036247	chr7(.):73120646-73130727	0.1845
NR_026912	chr7(.):73145426-73158190	0.8348
NR_026910	chr7(.):73145426-73158184	0.8349
NM_001145364	chr7(.):73145424-73158184	0.8348
NR_026690	chr7(.):73144398-73155330	0.6328
NM_001306	chr7(.):73178326-73189600	0.4557
NM_001163636	chr7(.):74067029-74180022	0.1889
NM_152755	chr7(.):99712264-99728128	0.5431
NM_203397	chr7(.):99719319-99731121	0.5773
NM_032924	chr7(.):99662593-99684371	0.3453
NM_005641	chr7(.):99699692-99721995	0.3156
NM_001190415	chr7(.):99699692-99722481	0.3122
NM_182776	chr7(.):99685403-99703380	0.596
NM_006833	chr7(.):99681582-99694822	0.3897
NM_005916	chr7(.):99685403-99704427	0.5679
NM_004722	chr7(.):99694129-99709803	0.4965
NM_139315	chr7(.):99699692-99722021	0.3153
NR_029498	chr7(.):99686182-99696266	0.4232
NR_029510	chr7(.):99686390-99696470	0.3974
NR_029831	chr7(.):99686615-99696697	0.3348
NM_018275	chr7(.):99747042-99761302	0.3619
NR_028039	chr7(.):99793277-99874855	0.3097
NR_028038	chr7(.):99801558-99874855	0.3019
NM_024070	chr7(.):99811870-99824111	0.7415
NM_012447	chr7(.):99770537-99817010	0.2893
NM_152742	chr7(.):99762228-99779990	0.3126
NM_001008395	chr7(.):99741529-99756833	0.4239
NM_024637	chr7(.):99751864-99771373	0.3704
NM_173564	chr7(.):100076549-100097422	0.3144
NM_030935	chr7(.):100059141-100081902	0.3228
NM_145030	chr7(.):100027911-100039094	0.5309
NM_019606	chr7(.):100022253-100036749	0.8371
NM_001194992	chr7(.):100021412-100036749	0.8094
NM_001004323	chr7(.):100049237-100066894	0.1881
NM_020979	chr7(.):101923404-101967178	0.5757
NR_036245	chr7(.):101931368-101941453	0.5869
NM_032831	chr7(.):102068995-102102268	0.5745
NM_024653	chr7(.):102031803-102072129	0.4312
NM_001146210	chr7(.):101981191-102001889	0.2775
NM_006234	chr7(.):102108547-102124381	0.4703
NM_001031618	chr7(.):102186678-102207757	0.3451
NM_001097615	chr7(.):102173365-102218068	0.5451
NM_152892	chr7(.):102100389-102118612	0.4301
NM_001114403	chr7(.):102272471-102288238	0.559
NM_032959	chr7(.):102272471-102317182	0.5097
NM_001031618	chr7(.):102285771-102306847	0.3297
NR_027374	chr7(.):104530074-104572092	0.2267
NM_001024613	chr7(.):121936447-121949565	0.3737
NR_036484	chr7(.):121938711-121955131	0.5149
NM_018396	chr7(.):128111782-128147978	0.3996
NM_199349	chr7(.):128525000-128555773	0.2596
NR_029614	chr7(.):129405222-129415332	0.1907
NR_029615	chr7(.):129409744-129419854	0.3736
NR_029512	chr7(.):129409532-129419609	0.316
NM_013400	chr7(.):150060878-150076133	1.0345
NM_014374	chr7(.):150063257-150076133	1.1639
NM_001142928	chr7(.):150015295-150040245	0.3866
NM_002889	chr7(.):150030406-150043763	0.1852
NM_138434	chr7(.):150021937-150034811	0.2014
NR_027237	chr7(.):150097839-150114558	1.0862
NM_175571	chr7(.):150142961-150181483	0.1615
NR_034033	chr7(.):150125741-150150228	0.6973
NM_033015	chr7(.):150768707-150782951	0.6053
NM_004769	chr7(.):150740604-150754843	0.2831
NM_031434	chr7(.):150773171-150785413	0.9314
NM_004935	chr7(.):150745898-150760052	0.6976
NM_031946	chr7(.):150778825-150846523	0.3343
NM_001136044	chr7(.):150773171-150785620	0.925
NM_003040	chr7(.):150751656-150778614	0.5948
NM_001042535	chr7(.):150778825-150825725	0.3818
NM_001172357	chr8(.):22014183-22026991	0.2824
NM_003844	chr8(.):23043969-23087680	0.2958
NM_001002814	chr8(.):37711464-37762015	0.3995
NM_001024678	chr8(.):145742760-145757416	0.5043
NM_001001795	chr8(.):145746602-145759458	0.4384
NM_001386	chr8(.):26430420-26520693	0.2153
NM_001197293	chr8(.):26366708-26520693	0.1917
NM_024787	chr8(.):33400272-33429643	0.6035
NM_023034	chr8(.):38127560-38244790	0.1794
NM_003033	chr8(.):134462090-134589183	0.3188
NM_001134374	chr8(.):145081581-145107015	0.2026
NM_003970	chr8(.):1988157-2098380	0.3431
NM_025232	chr8(.):21990532-22004448	0.5213
NM_024815	chr8(.):21959382-21971932	0.3453
NM_018411	chr8(.):21966931-21993565	0.2306
NM_022749	chr8(.):21941713-21966891	0.2456
NM_139278	chr8(.):21999342-22019344	0.216
NM_006129	chr8(.):22017652-22074840	0.181
NM_152272	chr8(.):23096149-23124512	0.2087
NR_033928	chr8(.):23077733-23093439	0.503
NM_057158	chr8(.):29188616-29211322	0.5485
NM_001394	chr8(.):29188619-29213185	0.5188
NM_025115	chr8(.):33351235-33375656	0.2935
NM_001102401	chr8(.):33351235-33375703	0.293
NM_024025	chr8(.):33443853-33462439	0.2348
NM_018310	chr8(.):37696397-37712431	0.3618
NM_152413	chr8(.):37786799-37802647	0.1295
NM_144652	chr8(.):38239019-38271061	0.3506
NM_017778	chr8(.):38168934-38244790	0.2219
NR_003129	chr8(.):38452692-38463775	0.1157
NM_025195	chr8(.):126437562-126455644	0.689
NM_002467	chr8(.):128743314-128758680	0.5458
NM_201378	chr8(.):144984320-145052697	0.4531
NM_032789	chr8(.):145046319-145065635	0.7065
NM_000445	chr8(.):144984320-145055913	0.4557
NM_201381	chr8(.):144984320-145023905	0.4942
NM_201382	chr8(.):144984320-145023110	0.4988
NM_201383	chr8(.):144984320-145021692	0.5028
NM_201379	chr8(.):144984320-145033088	0.474
NM_001009184	chr8(.):145059225-145072583	0.5085
NM_201384	chr8(.):144984320-145018758	0.5208
NR_030383	chr8(.):145014358-145024447	0.5707
NM_201380	chr8(.):144984320-145030044	0.4935
NM_001129888	chr8(.):145684199-145696031	0.5889
NM_183057	chr8(.):145643999-145658927	0.3928
NM_032687	chr8(.):145684199-145695849	0.5941
NM_017767	chr8(.):145632797-145646917	0.4903
NM_003923	chr8(.):145694114-145706718	0.626
NM_032902	chr8(.):145717108-145732504	0.2172
NM_138496	chr8(.):145670314-145695418	0.4077
NM_005309	chr8(.):145724464-145737555	0.5677
NM_130849	chr8(.):145632797-145647273	0.4835
NM_145754	chr8(.):145686737-145704499	0.7179
NM_138431	chr8(.):145729551-145741589	0.5856
NM_004260	chr8(.):145731666-145748210	0.6603
NM_013432	chr8(.):145649162-145674812	0.3856
NM_014665	chr8(.):145738362-145755559	0.4911
NM_025251	chr8(.):145749562-145843888	0.1482
NM_138367	chr8(.):145941293-145985970	0.1697
NM_030580	chr8(.):145993500-146017725	0.3681
NM_033301	chr8(.):146010153-146022729	0.6641
NM_001081003	chr8(.):146070550-146083932	0.3742
NM_001081004	chr8(.):146070550-146083451	0.3794
NM_000973	chr8(.):146010153-146022805	0.6602
NM_003416	chr8(.):146047902-146073606	0.2769
NM_213605	chr8(.):146019260-146039529	0.3669
NM_014066	chr8(.):146070550-146083452	0.3794
NM_001206	chr9(.):72994512-73034573	0.304
NM_144488	chr9(.):116202010-116365018	0.2173
NM_005047	chr9(.):123573331-123610206	0.1739
NM_175039	chr9(.):130665164-130684305	0.6207
NM_015033	chr9(.):132644465-132810473	0.2334
NM_001173989	chr9(.):139697373-139733794	0.2145
NM_001170	chr9(.):33379947-33407517	0.2107
NM_139235	chr9(.):33456350-33478941	0.2826
NM_004925	chr9(.):33436159-33452590	0.3764
NM_152850	chr9(.):35083687-35101579	0.305
NM_001040411	chr9(.):35036101-35050988	0.1516
NM_025182	chr9(.):35099117-35120893	0.5507
NM_013442	chr9(.):35094888-35108154	0.649
NM_004629	chr9(.):35068834-35085013	0.4779
NM_001040410	chr9(.):35037222-35050988	0.147
NM_032634	chr9(.):35083687-35101546	0.3055
NM_007126	chr9(.):35051064-35077739	0.324
NM_005893	chr9(.):36164388-36176331	0.2985
NM_022343	chr9(.):36131741-36168903	0.4226
NM_007096	chr9(.):36185852-36217059	0.199
NM_005384	chr9(.):94166326-94191144	0.4105
NM_001083603	chr9(.):98200263-98284247	0.2923
NM_001083606	chr9(.):98200263-98274699	0.2991
NM_001083607	chr9(.):98200263-98274481	0.2984
NM_001083605	chr9(.):98200263-98275322	0.2985
NM_000264	chr9(.):98200263-98275831	0.2966
NM_173200	chr9(.):102584008-102634173	0.1997
NM_006981	chr9(.):102579136-102634173	0.2552
NM_173199	chr9(.):102579136-102601341	0.4443
NM_000031	chr9(.):116143591-116168618	0.2454
NM_017443	chr9(.):116164517-116178029	0.5265
NM_031219	chr9(.):116130697-116143341	0.2886
NR_027261	chr9(.):116164517-116177955	0.5284
NM_152786	chr9(.):116168021-116196879	0.2991
NM_000608	chr9(.):117087068-117100536	0.2132
NM_030767	chr9(.):117091432-117161685	0.402
NM_000607	chr9(.):117080302-117093759	0.1824
NM_004888	chr9(.):117344993-117366152	0.3349
NM_153045	chr9(.):117368705-117413703	0.2979
NM_005658	chr9(.):123659670-123694173	0.3016
NM_015651	chr9(.):123612930-123644606	0.3964
NM_001190947	chr9(.):123659670-123681850	0.2509
NM_001009936	chr9(.):123626852-123644606	0.5881
NR_024408	chr9(.):123600319-123621651	0.2554
NM_001045476	chr9(.):127610754-127625160	0.5027
NM_030978	chr9(.):127626483-127644696	0.5197
NM_007209	chr9(.):127615157-127629240	0.5297
NM_005489	chr9(.):130495595-130538621	0.3251
NM_001142532	chr9(.):130495595-130529697	0.3099
NM_001142533	chr9(.):130495595-130522583	0.3339
NM_001142531	chr9(.):130495595-130529719	0.3101
NM_001142534	chr9(.):130495595-130522561	0.3338
NM_170600	chr9(.):130495595-130546048	0.4136
NM_001085347	chr9(.):130488802-130502604	0.4476
NM_001018078	chr9(.):130560507-130581556	0.2994
NM_000118	chr9(.):130572290-130622047	0.1726
NM_001261	chr9(.):130543304-130558052	0.6295
NM_004957	chr9(.):130560153-130581556	0.2981
NM_013443	chr9(.):130642600-130666871	0.2567
NM_000476	chr9(.):130623758-130645022	0.2641
NR_036055	chr9(.):130543196-130553286	0.7448
NM_001035254	chr9(.):130697860-130747812	0.422
NM_003863	chr9(.):130692373-130705763	0.4832
NM_203305	chr9(.):130697860-130717993	0.3923
NM_001135219	chr9(.):130678807-130698076	0.6741
NM_173492	chr9(.):130678807-130694770	0.7622
NR_024425	chr9(.):130885807-130897913	0.5285
NR_027812	chr9(.):130877971-130895712	0.5122
NM_001006641	chr9(.):130825478-130876524	0.3424
NM_197956	chr9(.):130818511-130834599	0.4327
NM_001006643	chr9(.):130855835-130876524	0.2011
NM_001006642	chr9(.):130849127-130876524	0.1922
NM_052901	chr9(.):130855816-130876524	0.201
NM_025072	chr9(.):130877971-130895474	0.5188
NR_033374	chr9(.):130868449-130886013	0.3037
NM_016520	chr9(.):132584563-132602572	0.3201
NM_006676	chr9(.):132592695-132649107	0.2467
NM_001008563	chr9(.):132592756-132649107	0.2468
NM_032728	chr9(.):134160080-134189649	0.1909
NM_033387	chr9(.):134128464-134156906	0.6025
NM_017617	chr9(.):139383895-139445238	0.286
NM_001039374	chr9(.):139685789-139707193	0.3999
NR_024580	chr9(.):139693378-139708300	0.3594
NM_153200	chr9(.):139752232-139765738	0.2621
NM_021138	chr9(.):139775964-139826067	0.373
NM_206920	chr9(.):139741818-139760251	0.3949
NM_014172	chr9(.):139738255-139750490	0.555
NM_001080482	chr9(.):139733866-139746797	0.6364
NR_036251	chr9(.):139720408-139730475	0.1846
NM_001123384	chrX(.):39905498-40041582	0.1907
NM_144495	chrX(.):48750194-48765420	0.2779
NM_001167990	chrX(.):48750212-48765420	0.2781
NM_001032384	chrX(.):48750538-48765420	0.2825
NM_001167992	chrX(.):48750774-48765420	0.2864
NM_017745	chrX(.):39905498-39961719	0.175
NM_001167947	chrX(.):48745729-48760426	0.329
NM_001042498	chrX(.):48755888-48774235	0.3784
NM_001136158	chrX(.):48774302-48819893	0.3677
NM_001136159	chrX(.):48774302-48820648	0.3654
NM_006875	chrX(.):48765458-48781413	0.5586
NM_004979	chrX(.):48813638-48833251	0.191
NM_005660	chrX(.):48755458-48773917	0.3882
NM_001032289	chrX(.):48755889-48773933	0.3738
NM_003399	chrX(.):128867945-128908525	0.1667
NM_018990	chrX(.):128908891-128934176	0.301
NM_015892	chr10(.):125762181-125856930	0.4002
NM_014863	chr10(.):125774168-125856930	0.4333
NM_001083591	chr10(.):11201992-11383672	0.3363
NM_001025077	chr10(.):11042258-11383672	0.2254
NM_006561	chr10(.):11054892-11383672	0.2305
NM_001198798	chr10(.):73851273-73980751	0.1268
NM_001198799	chr10(.):73851273-73981183	0.1271
NM_020338	chr10(.):80823791-81081285	0.2689
NM_145868	chr10(.):81909879-81970328	0.3142
NR_027653	chr10(.):3813187-3832473	0.5867
NM_022487	chr10(.):14943870-15001094	0.2711
NM_001080836	chr10(.):14996437-15019850	0.3376
NM_001098207	chr10(.):43876064-43897794	0.3583
NM_004966	chr10(.):43876064-43909656	0.5196
NM_173160	chr10(.):43862091-43876783	0.1681
NM_001098204	chr10(.):43876064-43909696	0.5191
NM_001098208	chr10(.):43876064-43897279	0.3632
NM_001098205	chr10(.):43876064-43909332	0.5212
NM_001098206	chr10(.):43876064-43908299	0.5309
NR_026693	chr10(.):43927573-43983007	0.3031
NM_173473	chr10(.):73970805-74000618	0.2004
NM_019058	chr10(.):74028676-74040797	0.4498
NM_017626	chr10(.):74087587-74119907	0.4991
NM_032772	chr10(.):77152602-77166513	0.6602
NR_024421	chr10(.):77156285-77173740	0.6796
NR_024422	chr10(.):77158513-77173740	0.7579
NM_057157	chr10(.):94828231-94842641	0.6842
NM_183374	chr10(.):94816020-94833454	0.3793
NM_000783	chr10(.):94828646-94842641	0.6956
NM_198044	chr10(.):99200929-99222127	0.2421
NM_198046	chr10(.):99200946-99222127	0.2423
NM_016046	chr10(.):99190665-99210768	0.2553
NM_001145114	chr10(.):99111457-99166127	0.2131
NM_002629	chr10(.):99181026-99198198	0.3058
NM_030971	chr10(.):102785995-102805998	0.2766
NM_030929	chr10(.):102815998-102830351	0.5847
