REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	22_0F28_0229Kronos_MM1S-No-Treatment-2_H3K27me3_hs-dm_i04.bam	36_0EXO_0229Kronos_MM1S-No-Treatment-2_Input_hs_i78.bam
8_MACS_peak_30403_lociStitched	chr9	134659678	134673758	8	12219	13395.712	1113.728
11_MACS_peak_31466_lociStitched	chr9	138546063	138560127	11	9619	11469.192000000001	883.2191999999999
9_MACS_peak_19868_lociStitched	chr20	44933271	44947252	9	11374	13453.9163	1042.9826
4_MACS_peak_18902_lociStitched	chr2	26829547	26843527	4	12806	14712.552	1374.234
3_MACS_peak_20675_lociStitched	chr20	61672859	61686807	3	13240	17349.9172	1106.0764
8_MACS_peak_24739_lociStitched	chr4	6365367	6379315	8	12302	13048.354	899.6460000000001
7_MACS_peak_27126_lociStitched	chr7	73007551	73021498	7	11816	14249.6499	1189.6791
6_MACS_peak_20895_lociStitched	chr20	62710685	62724625	6	12580	16868.793999999998	1476.2459999999999
7_MACS_peak_27015_lociStitched	chr7	5629146	5643071	7	11359	16970.3975	1459.3400000000001
4_MACS_peak_14161_lociStitched	chr17	79096710	79110614	4	13331	17925.036799999998	754.9872
11_MACS_peak_3235_lociStitched	chr1	22986636	23000521	11	9415	12224.354	1251.0384999999999
9_MACS_peak_31132_lociStitched	chr9	137681462	137695334	9	11135	12569.4192	1033.464
4_MACS_peak_24123_lociStitched	chr3	50564931	50578791	4	12220	16404.696	1424.808
5_MACS_peak_26419_lociStitched	chr6	34101069	34114924	5	13536	15622.898	1364.7175
11_MACS_peak_11320_lociStitched	chr17	857634	871474	11	10901	12204.112000000001	1108.584
16_MACS_peak_22831_lociStitched	chr22	44323706	44337533	16	8722	10346.7441	1099.2465
3_MACS_peak_12162_lociStitched	chr17	34490681	34504468	3	13250	20887.305	3807.9694
5_MACS_peak_28789_lociStitched	chr8	21978589	21992343	5	11753	19248.722999999998	1240.6108
7_MACS_peak_30690_lociStitched	chr9	136074124	136087857	7	12436	14102.417699999998	741.582
5_MACS_peak_2064_lociStitched	chr1	17192339	17206058	5	12815	23958.8616	3130.6758
5_MACS_peak_12627_lociStitched	chr17	43895080	43908783	5	11558	14388.150000000001	1172.9768
8_MACS_peak_1376_lociStitched	chr1	7690946	7704627	8	11949	13499.0427	889.265
11_MACS_peak_13254_lociStitched	chr17	72516903	72530576	11	12193	13539.0046	1419.2574
5_MACS_peak_15820_lociStitched	chr19	12943787	12957442	5	12871	18401.478	2011.3814999999997
9_MACS_peak_27448_lociStitched	chr7	100833527	100847161	9	11959	14033.476200000001	1325.2248
1_MACS_peak_14238_lociStitched	chr17	79759021	79772641	1	13621	28551.605999999996	1254.402
9_MACS_peak_23484_lociStitched	chr22	49291159	49304767	9	12061	12693.5424	1012.4351999999999
8_MACS_peak_30547_lociStitched	chr9	135413737	135427289	8	11796	12890.662400000001	1271.1776
5_MACS_peak_21069_lociStitched	chr21	43100473	43114019	5	12428	15373.3554	2000.7441999999999
11_MACS_peak_23288_lociStitched	chr22	45931141	45944683	11	11764	12774.1686	1111.7982000000002
8_MACS_peak_25390_lociStitched	chr4	8905741	8919270	8	11725	13511.4123	1011.9692000000001
4_MACS_peak_4569_lociStitched	chr1	202176807	202190334	4	12548	16730.1936	1927.5974999999999
9_MACS_peak_14479_lociStitched	chr19	544750	558273	9	12926	16737.4171	1672.7951
7_MACS_peak_31552_lociStitched	chr9	138884215	138897731	7	11649	14632.4216	873.1336000000001
1_MACS_peak_12227_lociStitched	chr17	36283804	36297317	1	13514	26266.5694	3991.7401999999997
5_MACS_peak_14613_lociStitched	chr19	2715375	2728867	5	12388	16970.2376	1444.9932000000001
5_MACS_peak_27345_lociStitched	chr7	100385190	100398655	5	12517	14531.428	1470.3780000000002
8_MACS_peak_15466_lociStitched	chr19	7873951	7887409	8	10875	12904.876199999999	2048.3076
9_MACS_peak_9570_lociStitched	chr15	78267460	78280913	9	11882	13544.480399999999	1257.8555
7_MACS_peak_20957_lociStitched	chr20	62867958	62881403	7	10725	13803.9815	1215.4279999999999
10_MACS_peak_5325_lociStitched	chr10	102616080	102629507	10	9717	12150.0923	1217.8289
7_MACS_peak_23993_lociStitched	chr3	50169110	50182509	7	11559	12489.207900000001	1445.7521
8_MACS_peak_1966_lociStitched	chr1	16410337	16423723	8	12108	13580.097	1232.8506
9_MACS_peak_17573_lociStitched	chr19	45814800	45828137	9	12168	13755.7818	1292.3553
12_MACS_peak_28514_lociStitched	chr8	1844838	1858138	12	9237	11205.25	1198.33
2_MACS_peak_11746_lociStitched	chr17	7614782	7628055	2	12962	18560.963200000002	1433.484
5_MACS_peak_17601_lociStitched	chr19	46092690	46105950	5	11809	15939.846	1505.01
3_MACS_peak_27275_lociStitched	chr7	100195225	100208484	3	12014	16247.5786	1451.8605
3_MACS_peak_4393_lociStitched	chr1	156887835	156901093	3	12529	24716.8894	2247.231
5_MACS_peak_30413_lociStitched	chr9	134681049	134694302	5	12551	16197.8166	1277.5892
8_MACS_peak_15012_lociStitched	chr19	5171532	5184769	8	10433	12302.4678	1551.3763999999999
4_MACS_peak_21941_lociStitched	chr22	23724345	23737532	4	12580	14181.299799999999	1141.9941999999999
6_MACS_peak_12218_lociStitched	chr17	35286424	35299597	6	12161	17448.9558	1152.6374999999998
12_MACS_peak_7553_lociStitched	chr11	72305952	72319051	12	9739	11191.785600000001	1236.5456
9_MACS_peak_30949_lociStitched	chr9	137140807	137153906	9	10149	11312.296400000001	994.2140999999999
10_MACS_peak_30699_lociStitched	chr9	136094865	136107933	10	10111	12090.5136	973.5659999999999
8_MACS_peak_29928_lociStitched	chr9	129427328	129440388	8	12674	15171.802	1242.006
4_MACS_peak_4807_lociStitched	chr1	237665469	237678507	4	11694	15580.410000000002	2369.0046
6_MACS_peak_7116_lociStitched	chr11	69508642	69521680	6	11790	12459.1128	1095.192
8_MACS_peak_11662_lociStitched	chr17	7057468	7070497	8	10507	11630.9883	1330.2609
10_MACS_peak_2220_lociStitched	chr1	17671043	17684065	10	10596	11820.069399999998	980.5566000000001
5_MACS_peak_14428_lociStitched	chr19	363545	376567	5	10847	13089.7144	1308.711
9_MACS_peak_9814_lociStitched	chr16	977594	990615	9	10950	11343.895199999999	979.1792
6_MACS_peak_3381_lociStitched	chr1	23231642	23244661	6	11614	12857.564400000001	921.7452000000001
8_MACS_peak_22405_lociStitched	chr22	37945595	37958605	8	11820	14182.201000000001	1329.622
2_MACS_peak_14838_lociStitched	chr19	3437936	3450917	2	12881	20403.5358	1584.9801
15_MACS_peak_22713_lociStitched	chr22	43686146	43699095	15	7528	9825.7012	998.3679000000001
4_MACS_peak_20832_lociStitched	chr20	62274700	62287640	4	11492	15388.248	1266.826
6_MACS_peak_21663_lociStitched	chr22	18761042	18773971	6	12692	13073.804800000002	1838.5038
4_MACS_peak_7598_lociStitched	chr11	75141624	75154552	4	11265	13222.758399999999	1194.5472
6_MACS_peak_8707_lociStitched	chr13	113740759	113753673	6	11583	13900.6296	758.0518000000001
6_MACS_peak_4515_lociStitched	chr1	201281607	201294509	6	10586	12939.415799999999	1526.3066000000001
10_MACS_peak_19942_lociStitched	chr20	48918305	48931207	10	10809	11681.4708	1073.4464
4_MACS_peak_13967_lociStitched	chr17	77784615	77797514	4	12105	17387.852000000003	951.9462000000001
6_MACS_peak_19624_lociStitched	chr20	30638480	30651371	6	10177	13436.2893	1298.1236999999999
5_MACS_peak_26900_lociStitched	chr7	2657628	2670510	5	11214	14183.082	1113.0048000000002
8_MACS_peak_20678_lociStitched	chr20	61689604	61702451	8	10648	12532.2485	1099.7032
10_MACS_peak_28688_lociStitched	chr8	7604947	7617781	10	7887	6863.623200000001	840.6270000000001
4_MACS_peak_13612_lociStitched	chr17	76445353	76458173	4	12083	14512.239999999998	965.3460000000001
5_MACS_peak_27350_lociStitched	chr7	100399798	100412610	5	11794	13252.7328	1415.726
8_MACS_peak_26088_lociStitched	chr6	2632637	2645446	8	11573	13722.2817	1934.1589999999999
11_MACS_peak_16648_lociStitched	chr19	33701248	33714049	11	10109	11670.671699999999	1149.5298
4_MACS_peak_2735_lociStitched	chr1	19354416	19367214	4	11712	13665.7044	1023.84
8_MACS_peak_17268_lociStitched	chr19	41695005	41707803	8	10375	11692.2528	1298.997
11_MACS_peak_25293_lociStitched	chr4	8642637	8655430	11	10431	11530.330899999999	932.6097000000001
9_MACS_peak_6865_lociStitched	chr11	66313772	66326543	9	11468	12214.1844	1312.8588
4_MACS_peak_27641_lociStitched	chr7	128468568	128481326	4	11022	16104.4234	1908.5968
5_MACS_peak_21774_lociStitched	chr22	20136762	20149500	5	10758	14169.7512	992.2901999999999
6_MACS_peak_94_lociStitched	chr1	1172289	1185012	6	11278	16249.815599999998	997.4832
15_MACS_peak_6627_lociStitched	chr11	64166856	64179571	15	10130	10809.021499999999	1055.345
7_MACS_peak_12479_lociStitched	chr17	41925067	41937765	7	10615	11938.6596	1278.6886
6_MACS_peak_26907_lociStitched	chr7	2691398	2704095	6	11954	13881.630099999998	637.3894
4_MACS_peak_5393_lociStitched	chr10	104165853	104178540	4	12393	21265.949399999998	1674.684
1_MACS_peak_6552_lociStitched	chr11	61501617	61514277	1	12661	18460.811999999998	1120.4099999999999
5_MACS_peak_9428_lociStitched	chr15	75515270	75527921	5	11642	14266.5327	1666.1367000000002
4_MACS_peak_13973_lociStitched	chr17	77813636	77826265	4	11997	19883.0976	1199.755
4_MACS_peak_17790_lociStitched	chr19	47029326	47041907	4	11547	13749.7749	1602.8194
6_MACS_peak_20842_lociStitched	chr20	62392365	62404927	6	11013	13205.174399999998	1106.7122
8_MACS_peak_25552_lociStitched	chr5	488059	500617	8	10582	11573.4528	911.7108
10_MACS_peak_11674_lociStitched	chr17	7080747	7093262	10	9137	11550.0935	1237.7335
7_MACS_peak_12270_lociStitched	chr17	37373396	37385897	7	10617	13564.8351	1001.3301
6_MACS_peak_29772_lociStitched	chr9	37024431	37036922	6	11304	16664.2431	1465.1943
6_MACS_peak_6163_lociStitched	chr11	2227637	2240125	6	12025	14827.0024	977.8104
8_MACS_peak_4020_lociStitched	chr1	37314793	37327275	8	10414	11231.303600000001	954.8729999999999
10_MACS_peak_22182_lociStitched	chr22	36954411	36966883	10	9436	10674.7848	961.5912000000001
7_MACS_peak_3019_lociStitched	chr1	21950808	21963234	7	11273	12813.6912	1202.8368
10_MACS_peak_21909_lociStitched	chr22	21715715	21728125	10	8435	8484.717	586.993
7_MACS_peak_30840_lociStitched	chr9	136518281	136530690	7	11612	13333.4705	723.4447
3_MACS_peak_11341_lociStitched	chr17	1026823	1039227	3	12218	20419.4648	1142.4084
11_MACS_peak_31907_lociStitched	chrX	152747709	152760104	11	10018	11169.1345	593.7205
1_MACS_peak_12864_lociStitched	chr17	48262894	48275255	1	12362	17168.192900000002	1304.0855
8_MACS_peak_29807_lociStitched	chr9	96710576	96722936	8	10872	12341.460000000001	933.18
9_MACS_peak_15131_lociStitched	chr19	5487259	5499618	9	9720	11288.7106	1483.08
11_MACS_peak_1816_lociStitched	chr1	11585642	11597979	11	9640	11215.5667	1104.1615
6_MACS_peak_23339_lociStitched	chr22	46272895	46285226	6	10320	12869.8647	806.4474
7_MACS_peak_26825_lociStitched	chr7	1621383	1633706	7	11015	12306.9801	990.7692
8_MACS_peak_22123_lociStitched	chr22	30867239	30879561	8	9240	9814.473	1027.6548
11_MACS_peak_228_lociStitched	chr1	2027864	2040173	11	9472	10642.3614	726.231
10_MACS_peak_13513_lociStitched	chr17	75817705	75829985	10	10615	11770.380000000001	1243.964
9_MACS_peak_17507_lociStitched	chr19	45319924	45332196	9	10150	11111.0688	987.8960000000001
6_MACS_peak_12250_lociStitched	chr17	36749792	36762061	6	11075	13457.8661	1485.7759
8_MACS_peak_16845_lociStitched	chr19	36049784	36062050	8	9234	10797.7598	935.8958000000001
3_MACS_peak_19535_lociStitched	chr20	3651332	3663578	3	12092	15292.804799999998	1146.2256
6_MACS_peak_20878_lociStitched	chr20	62467859	62480103	6	11589	14582.604000000001	937.8904
7_MACS_peak_24526_lociStitched	chr4	3625228	3637464	7	10596	11714.7464	1150.184
1_MACS_peak_14491_lociStitched	chr19	591109	603344	1	12236	20409.2035	1369.0965
8_MACS_peak_26661_lociStitched	chr7	964213	976437	8	10854	12642.0608	847.1232
7_MACS_peak_13294_lociStitched	chr17	72605219	72617435	7	10418	12481.0872	1391.4024
6_MACS_peak_31811_lociStitched	chr9	140777149	140789363	6	11357	21282.895	1965.2325999999998
8_MACS_peak_22785_lociStitched	chr22	44230812	44243019	8	10524	11984.8326	797.1170999999999
5_MACS_peak_21553_lociStitched	chr21	47025500	47037696	5	10377	12380.159599999999	1130.5692000000001
5_MACS_peak_24454_lociStitched	chr4	1795722	1807916	5	10969	15227.867199999999	913.3305999999999
10_MACS_peak_17516_lociStitched	chr19	45333759	45345952	10	9096	10327.471	1146.142
4_MACS_peak_124_lociStitched	chr1	1383511	1395701	4	12005	15191.178	1298.235
8_MACS_peak_27826_lociStitched	chr7	154681364	154693551	8	7710	10111.5539	1112.6731
8_MACS_peak_2977_lociStitched	chr1	21829315	21841497	8	9069	10729.9056	1266.9279999999999
6_MACS_peak_25347_lociStitched	chr4	8780124	8792304	6	11395	11388.300000000001	834.33
9_MACS_peak_23638_lociStitched	chr22	50596021	50608136	9	8535	9988.817500000001	984.9495
4_MACS_peak_8417_lociStitched	chr12	54137388	54149485	4	11805	13538.9624	1844.7925
2_MACS_peak_4285_lociStitched	chr1	151680458	151692552	2	11114	16141.8618	2282.1378
4_MACS_peak_4629_lociStitched	chr1	204955207	204967275	4	10631	12696.7428	2070.8688
7_MACS_peak_156_lociStitched	chr1	1867219	1879286	7	10442	12210.5973	1037.762
4_MACS_peak_6835_lociStitched	chr11	66129503	66141569	4	10587	15180.2346	1390.0031999999999
5_MACS_peak_10203_lociStitched	chr16	4363239	4375275	5	10852	14118.228000000001	1148.2344
4_MACS_peak_21255_lociStitched	chr21	44902050	44914068	4	10722	12371.329200000002	1895.2386000000001
4_MACS_peak_12240_lociStitched	chr17	36697317	36709321	4	10946	13003.9332	1080.36
3_MACS_peak_4375_lociStitched	chr1	156807092	156819058	3	10911	15519.902	2056.9554
4_MACS_peak_21621_lociStitched	chr21	47469143	47481104	4	10408	13213.3167	1217.6298
3_MACS_peak_5988_lociStitched	chr11	1558962	1570919	3	11712	18791.6212	1180.1559
9_MACS_peak_22101_lociStitched	chr22	30651781	30663732	9	9023	10385.419	1207.0510000000002
13_MACS_peak_17945_lociStitched	chr19	48367330	48379277	13	7660	9464.4134	1048.9466
7_MACS_peak_11313_lociStitched	chr17	844205	856106	7	9538	9764.7705	1110.3633
5_MACS_peak_21591_lociStitched	chr21	47388762	47400660	5	10157	17026.038	1353.9924
1_MACS_peak_13966_lociStitched	chr17	77771597	77783489	1	11893	24797.1984	996.5495999999999
6_MACS_peak_29541_lociStitched	chr8	144475104	144486989	6	11094	14240.607	1062.519
5_MACS_peak_9753_lociStitched	chr16	859048	870923	5	10919	12825.0	851.4375
6_MACS_peak_18142_lociStitched	chr19	49279131	49290984	6	9672	11578.0104	1367.8362
4_MACS_peak_11729_lociStitched	chr17	7341330	7353178	4	11587	14460.483999999999	1171.7672
10_MACS_peak_11011_lociStitched	chr16	88452995	88464837	10	9387	10007.6742	561.3108
9_MACS_peak_15964_lociStitched	chr19	14269409	14281240	9	9429	10747.2804	819.8883
6_MACS_peak_11156_lociStitched	chr17	43170	55000	6	10000	12802.426000000001	1013.831
3_MACS_peak_336_lociStitched	chr1	2458335	2470160	3	11633	17569.585	999.2125000000001
13_MACS_peak_12025_lociStitched	chr17	20411808	20423598	13	8006	7979.472	967.9590000000001
6_MACS_peak_24633_lociStitched	chr4	3820662	3832438	6	11170	12663.910399999999	738.3552000000001
7_MACS_peak_9485_lociStitched	chr15	77943897	77955658	7	10031	10843.642	1034.9679999999998
4_MACS_peak_14433_lociStitched	chr19	378253	390011	4	10650	12163.651	1463.871
8_MACS_peak_16990_lociStitched	chr19	38878390	38890135	8	9792	12013.9605	1042.9560000000001
6_MACS_peak_17860_lociStitched	chr19	47967083	47978826	6	11166	12386.5164	1117.9336
3_MACS_peak_10588_lociStitched	chr16	66947974	66959707	3	10536	14194.5834	1391.5338
7_MACS_peak_1103_lociStitched	chr1	6535753	6547465	7	11104	12680.5824	912.3648
3_MACS_peak_7738_lociStitched	chr11	118019653	118031362	3	11422	15293.1249	1369.953
3_MACS_peak_19228_lociStitched	chr2	219717620	219729326	3	11613	15579.5154	1156.5528
6_MACS_peak_30148_lociStitched	chr9	132915824	132927524	6	10313	12385.619999999999	909.09
8_MACS_peak_22807_lociStitched	chr22	44283282	44294945	8	8371	10650.6516	692.7822
6_MACS_peak_17812_lociStitched	chr19	47521785	47533442	6	11231	13158.4216	1215.8251
4_MACS_peak_27266_lociStitched	chr7	100080650	100092292	4	10757	13573.407799999999	1130.4382
8_MACS_peak_4534_lociStitched	chr1	201360648	201372285	8	10432	14024.912400000001	1687.3649999999998
11_MACS_peak_10362_lociStitched	chr16	29189333	29200970	11	7614	9210.6855	645.8535
5_MACS_peak_17737_lociStitched	chr19	46923756	46935376	5	10287	12115.011999999999	1237.53
10_MACS_peak_11033_lociStitched	chr16	88491551	88503161	10	9534	10291.104	332.046
6_MACS_peak_20939_lociStitched	chr20	62811115	62822725	6	10726	11987.324999999999	989.172
7_MACS_peak_27902_lociStitched	chr7	155169668	155181277	7	10724	12946.3568	1386.1146
6_MACS_peak_17896_lociStitched	chr19	48230978	48242580	6	9437	10587.9852	995.4516
7_MACS_peak_1016_lociStitched	chr1	5806066	5817660	7	10212	11444.437399999999	780.2762
11_MACS_peak_24552_lociStitched	chr4	3675905	3687498	11	8656	9874.9174	773.2530999999999
6_MACS_peak_222_lociStitched	chr1	2014124	2025692	6	9463	10993.0704	880.3248
6_MACS_peak_5812_lociStitched	chr11	377517	389063	6	10964	14300.8756	849.7855999999999
7_MACS_peak_12110_lociStitched	chr17	26844048	26855581	7	9695	10243.6106	1279.0097
9_MACS_peak_1245_lociStitched	chr1	7287587	7299111	9	9246	10490.2972	855.0808000000001
5_MACS_peak_17526_lociStitched	chr19	45349469	45360982	5	10551	15192.554800000002	1085.6759
6_MACS_peak_16858_lociStitched	chr19	36158917	36170423	6	10680	11558.927599999999	1063.1544
6_MACS_peak_6764_lociStitched	chr11	64457286	64468789	6	11003	12178.2261	1353.9031
11_MACS_peak_8633_lociStitched	chr13	113096284	113107775	11	8644	9257.1496	935.3674
4_MACS_peak_60_lociStitched	chr1	1004718	1016207	4	10228	16940.5305	855.9304999999999
7_MACS_peak_16794_lociStitched	chr19	35822387	35833874	7	9097	10950.5571	970.6515
4_MACS_peak_25362_lociStitched	chr4	8850781	8862238	4	9978	10846.3419	683.9829000000001
8_MACS_peak_2370_lociStitched	chr1	18022812	18034265	8	9644	10674.196	860.1203
5_MACS_peak_6387_lociStitched	chr11	46402347	46413792	5	10704	14578.641	1075.83
4_MACS_peak_22169_lociStitched	chr22	35936738	35948183	4	10420	12555.164999999999	1316.175
9_MACS_peak_7997_lociStitched	chr12	1940946	1952384	9	9012	10758.5828	816.6732000000001
8_MACS_peak_25631_lociStitched	chr5	1399472	1410897	8	8847	9634.702500000001	973.41
7_MACS_peak_6342_lociStitched	chr11	44330870	44342287	7	9477	11097.324	940.7608
6_MACS_peak_31974_lociStitched	chrX	152895590	152906992	6	9804	11171.6796	724.027
8_MACS_peak_1388_lociStitched	chr1	7715768	7727167	8	9201	10774.3348	922.1791
12_MACS_peak_17674_lociStitched	chr19	46479649	46491038	12	8526	9124.8668	986.2873999999999
9_MACS_peak_2604_lociStitched	chr1	18984931	18996304	9	7937	9077.928600000001	896.1923999999999
3_MACS_peak_14171_lociStitched	chr17	79149012	79160361	3	10371	14746.8906	920.4039
3_MACS_peak_26870_lociStitched	chr7	2509454	2520781	3	10421	12046.2645	1022.8281000000001
7_MACS_peak_19877_lociStitched	chr20	44951008	44962326	7	8756	10590.2526	805.8416
6_MACS_peak_12558_lociStitched	chr17	43039359	43050676	6	7844	10224.9095	1215.4458
7_MACS_peak_30683_lociStitched	chr9	136061395	136072705	7	9557	10845.159	1075.5810000000001
5_MACS_peak_12869_lociStitched	chr17	48334159	48345458	5	9608	11519.3305	994.3119999999999
3_MACS_peak_23385_lociStitched	chr22	46391242	46402532	3	10901	11836.436	855.782
5_MACS_peak_21198_lociStitched	chr21	44135295	44146571	5	9143	12536.656799999999	1730.866
9_MACS_peak_27135_lociStitched	chr7	73032273	73043549	9	7480	10211.5456	1043.03
3_MACS_peak_22113_lociStitched	chr22	30833298	30844563	3	11103	12871.389000000001	1417.137
9_MACS_peak_31392_lociStitched	chr9	138304651	138315907	9	7815	9363.866399999999	789.0455999999999
9_MACS_peak_17190_lociStitched	chr19	41064912	41076163	9	9608	10745.8301	983.3374000000001
9_MACS_peak_19831_lociStitched	chr20	44798116	44809353	9	9170	10081.8364	956.2687
4_MACS_peak_21194_lociStitched	chr21	44121782	44133015	4	10140	13298.7487	1518.7015999999999
7_MACS_peak_12418_lociStitched	chr17	41704771	41715997	7	8908	10068.599400000001	1073.2056
3_MACS_peak_12107_lociStitched	chr17	26831568	26842791	3	11129	15234.100199999999	1295.1342
5_MACS_peak_21275_lociStitched	chr21	45595522	45606733	5	9825	12115.7277	1589.7198
10_MACS_peak_19389_lociStitched	chr2	241627974	241639182	10	9084	9087.446399999999	478.58160000000004
3_MACS_peak_11375_lociStitched	chr17	1157545	1168742	3	10728	13468.8713	1083.8696
6_MACS_peak_17500_lociStitched	chr19	45305921	45317097	6	9797	10740.136	891.8448
6_MACS_peak_30534_lociStitched	chr9	135383154	135394312	6	10562	12606.3084	1032.115
7_MACS_peak_341_lociStitched	chr1	2497171	2508325	7	10532	12006.1656	1057.3991999999998
6_MACS_peak_30038_lociStitched	chr9	132198600	132209740	6	8275	11319.354	1102.8600000000001
9_MACS_peak_2635_lociStitched	chr1	19036133	19047268	9	8902	10324.372	709.2995000000001
5_MACS_peak_9999_lociStitched	chr16	2345047	2356176	5	10711	12651.4472	1140.7224999999999
3_MACS_peak_26679_lociStitched	chr7	1016857	1027984	3	10618	14587.497	812.271
6_MACS_peak_15048_lociStitched	chr19	5259521	5270640	6	9473	10965.5578	1120.7952
3_MACS_peak_30088_lociStitched	chr9	132373705	132384820	3	10347	14138.28	1198.1970000000001
8_MACS_peak_8294_lociStitched	chr12	52592079	52603172	8	8887	10756.8821	777.6193
2_MACS_peak_2952_lociStitched	chr1	21005745	21016834	2	10662	15881.665799999999	1254.1659
8_MACS_peak_15487_lociStitched	chr19	8088037	8099121	8	10339	10576.3528	1213.698
8_MACS_peak_27058_lociStitched	chr7	27221694	27232770	8	7012	9330.422400000001	806.3328
2_MACS_peak_5824_lociStitched	chr11	408570	419643	2	10404	14454.694199999998	926.8100999999999
8_MACS_peak_18046_lociStitched	chr19	49031050	49042120	8	9151	9801.377999999999	1125.819
5_MACS_peak_14803_lociStitched	chr19	3311314	3322369	5	10072	12407.0265	1217.1555
4_MACS_peak_31754_lociStitched	chr9	140205886	140216924	4	9798	12843.8168	874.2096
7_MACS_peak_215_lociStitched	chr1	1997657	2008694	7	8638	9033.7845	647.8719
4_MACS_peak_12928_lociStitched	chr17	56317686	56328718	4	9209	12327.156799999999	1439.6760000000002
6_MACS_peak_23379_lociStitched	chr22	46378097	46389125	6	9379	10689.440400000001	866.8008
9_MACS_peak_5459_lociStitched	chr10	126688420	126699436	9	8285	9491.3856	708.3288
2_MACS_peak_12104_lociStitched	chr17	26816232	26827247	2	10640	12400.687	1049.7295
9_MACS_peak_31240_lociStitched	chr9	137994183	138005167	9	8739	9299.0544	600.8248
6_MACS_peak_6588_lociStitched	chr11	62684647	62695617	6	9093	10486.223	879.794
6_MACS_peak_12762_lociStitched	chr17	47298949	47309917	6	9410	10953.741600000001	1625.4576
5_MACS_peak_31524_lociStitched	chr9	138646506	138657465	5	9416	11415.990300000001	669.5949
4_MACS_peak_1522_lociStitched	chr1	9256643	9267591	4	10369	12981.043599999999	1193.332
4_MACS_peak_12459_lociStitched	chr17	41787191	41798135	4	10355	12487.104	1204.9344
8_MACS_peak_3756_lociStitched	chr1	30843877	30854813	8	8514	9734.1336	918.624
5_MACS_peak_29714_lociStitched	chr8	146041230	146052146	5	9347	12795.7352	1153.8212
5_MACS_peak_18612_lociStitched	chr19	55707719	55718628	5	8868	11382.450600000002	1520.7146
5_MACS_peak_25854_lociStitched	chr5	176047881	176058760	5	9591	10625.5193	995.4285
4_MACS_peak_18448_lociStitched	chr19	54753805	54764668	4	10216	12785.751	903.8016
4_MACS_peak_29902_lociStitched	chr9	129280042	129290896	4	10119	12450.6234	1222.1604
6_MACS_peak_5938_lociStitched	chr11	1374425	1385273	6	9140	10927.190400000001	674.7456
3_MACS_peak_4661_lociStitched	chr1	205490903	205501747	3	10113	14048.402000000002	1902.0376
6_MACS_peak_10213_lociStitched	chr16	4643340	4654178	6	9440	11767.9004	1037.1966
10_MACS_peak_30194_lociStitched	chr9	133042963	133053801	10	6860	9427.976200000001	925.5652
7_MACS_peak_760_lociStitched	chr1	3490025	3500862	7	8226	9681.7758	620.9601
11_MACS_peak_25314_lociStitched	chr4	8695297	8706134	11	8793	9318.7363	851.7882000000001
7_MACS_peak_19804_lociStitched	chr20	44652075	44662908	7	9429	10262.1009	895.8891
8_MACS_peak_20915_lociStitched	chr20	62778123	62788952	8	9133	10294.0474	878.2319000000001
7_MACS_peak_17667_lociStitched	chr19	46467811	46478627	7	8474	10456.9088	1040.4992
7_MACS_peak_16376_lociStitched	chr19	17803893	17814689	7	8360	9628.9524	985.6748000000001
5_MACS_peak_5805_lociStitched	chr11	358087	368882	5	9293	11708.257	1178.814
8_MACS_peak_20488_lociStitched	chr20	60451380	60462173	8	8908	10257.6672	658.3729999999999
8_MACS_peak_3908_lociStitched	chr1	32255566	32266355	8	9144	10673.5577	1177.0799
3_MACS_peak_21366_lociStitched	chr21	45968512	45979290	3	10081	12309.5538	1262.1037999999999
3_MACS_peak_26403_lociStitched	chr6	34067922	34078697	3	9791	13070.075	967.595
8_MACS_peak_3156_lociStitched	chr1	22701770	22712538	8	7562	9665.3568	853.9024
4_MACS_peak_14182_lociStitched	chr17	79304651	79315419	4	10297	13889.6432	934.6624
4_MACS_peak_25771_lociStitched	chr5	139172538	139183299	4	9049	11576.6838	1063.1868
7_MACS_peak_18940_lociStitched	chr2	27478318	27489061	7	8182	12776.6499	1103.3061
7_MACS_peak_1044_lociStitched	chr1	5892965	5903705	7	9535	9843.21	547.74
9_MACS_peak_27568_lociStitched	chr7	101171544	101182278	9	9429	10377.6312	855.4997999999999
3_MACS_peak_4733_lociStitched	chr1	228192299	228203030	3	10220	12581.024400000002	909.9888
1_MACS_peak_24259_lociStitched	chr3	183945128	183955855	1	10728	18263.7902	1944.8050999999998
8_MACS_peak_17446_lociStitched	chr19	42649234	42659953	8	9290	10906.5825	994.7231999999999
5_MACS_peak_27434_lociStitched	chr7	100786873	100797586	5	10459	11226.1527	1366.9787999999999
3_MACS_peak_13130_lociStitched	chr17	72188907	72199605	3	9595	12970.2552	1227.0606
5_MACS_peak_8117_lociStitched	chr12	3411913	3422608	5	10183	11580.546	887.6850000000001
5_MACS_peak_9834_lociStitched	chr16	1032038	1042731	5	10079	13303.1613	651.2037
8_MACS_peak_26267_lociStitched	chr6	33723965	33734653	8	7965	9453.536	982.2271999999999
8_MACS_peak_5961_lociStitched	chr11	1417192	1427866	8	8449	9987.6618	752.5169999999999
9_MACS_peak_9772_lociStitched	chr16	896432	907099	9	7809	8705.3387	1079.5004
7_MACS_peak_5748_lociStitched	chr10	135138374	135149040	7	8995	10774.7932	1152.9946
