REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X22_0F28_0229Kronos_MM1S.No.Treatment.2_H3K27me3_hs.dm_i04.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
5_MACS_peak_24288_lociStitched	chr3	184274021	184306225	5	31613	49085.3368	5403.8312	140	EPHB3		EPHB3	EPHB3	1.3880000000000001	140	1
15_MACS_peak_22624_lociStitched	chr22	42795670	42831076	15	31344	39658.2606	3200.7024	141	NFAM1		NFAM1	NFAM1	0.8457	141	1
18_MACS_peak_11937_lociStitched	chr17	18969773	19005201	18	30966	31608.8616	4074.22	142		GRAPL,GRAP	GRAP	GRAPL	0.2884	142	1
17_MACS_peak_21797_lociStitched	chr22	20245220	20281111	17	30853	40212.2764	3097.3933	143	RTN4R	MIR1286,DGCR6L	RTN4R	RTN4R	0.8013	143	1
9_MACS_peak_13433_lociStitched	chr17	74871896	74903948	9	30676	38529.7092	3275.7144	144	MGAT5B		MGAT5B	MGAT5B	0.9466	144	1
6_MACS_peak_1604_lociStitched	chr1	10722288	10753599	6	30675	44583.7329	2752.2369	145	CASZ1		CASZ1	CASZ1	1.1432	145	1
17_MACS_peak_16819_lociStitched	chr19	35988036	36022588	17	30290	38553.1216	3216.7912	146	DMKN,SBSN	FFAR2,GAPDHS,TMEM147,KRTDAP,ATP4A	DMKN	DMKN	1.1038	146	1
14_MACS_peak_12771_lociStitched	chr17	47507656	47540111	14	30035	35872.5115	3625.2235	147		NGFR,PHB	PHB	NGFR	1.0724	147	1
9_MACS_peak_31674_lociStitched	chr9	139627256	139658861	9	29736	46576.2885	2866.5735	148	LOC100128593,LCN10,LCN6,LCN8,LCN15	FAM69B,TMEM141,KIAA1984,C9orf86,AGPAT2,SNORA43,SNORA17,SNHG7,LOC100131193	LCN6	LCN6	1.6043	148	1
8_MACS_peak_17794_lociStitched	chr19	47115007	47145813	8	29695	40013.9134	3875.3948	149	PTGIR,GNG8	CALM3,DACT3	PTGIR	PTGIR	1.2041000000000002	149	1
4_MACS_peak_13758_lociStitched	chr17	77241404	77271445	4	29674	36887.3439	2436.3251	150	RBFOX3		ENGASE	ENGASE	0.7018	150	1
7_MACS_peak_25937_lociStitched	chr5	176267140	176297593	7	29633	39305.6871	2271.7938	151	UNC5A	HK3	HK3	HK3	0.6235	151	1
7_MACS_peak_14111_lociStitched	chr17	78430454	78461508	7	29620	41146.55	2577.482	152	NPTX1	FLJ35220,LOC100294362	NPTX1	NPTX1	1.3586	152	1
5_MACS_peak_14969_lociStitched	chr19	4512326	4542752	5	29610	51708.987	4411.77	153	PLIN4,PLIN5,LRG1,SEMA6B	HDGFRP2	PLIN5	PLIN5	1.6239999999999999	153	1
12_MACS_peak_13581_lociStitched	chr17	76306161	76338973	12	29579	37382.7116	3622.4448	154		PGS1,SOCS3	SOCS3	SOCS3	1.0588	154	1
12_MACS_peak_18587_lociStitched	chr19	55631084	55662575	12	28967	35383.2876	3284.5113	155	TNNT1	EPS8L1,PPP1R12C,TNNI3,C19orf51,SYT5	TNNT1	SYT5	1.0773	155	1
22_MACS_peak_30230_lociStitched	chr9	133249565	133285205	22	28808	34374.78	2640.924	156		ASS1	ASS1	ASS1	0.4336	156	1
10_MACS_peak_18655_lociStitched	chr19	55996554	56028086	10	28757	40401.9516	2828.4204	157	NAT14,SSC5D	ZNF628,SHISA7,ISOC2,SBK2	SSC5D	SSC5D	1.0648	157	1
9_MACS_peak_18240_lociStitched	chr19	49916023	49946104	9	28754	38241.9753	2947.938	158	CCDC155,LOC645971,PTH2,SLC17A7	DKKL1,ALDH16A1,FLT3LG,RPL13AP5,SNORD32A,SNORD33,SNORD34,SNORD35A,PIH1D1	LOC645971	LOC645971	1.2604	158	1
12_MACS_peak_6140_lociStitched	chr11	2149337	2182138	12	28686	36415.6702	2601.1193	159	IGF2AS,IGF2,INS-IGF2,MIR483,INS	TH	IGF2	TH	0.9908000000000001	159	1
17_MACS_peak_13624_lociStitched	chr17	76476547	76511879	17	28665	37540.25	2939.6224	160	DNAH17		DNAH17	DNAH17	0.7581	160	1
9_MACS_peak_17838_lociStitched	chr19	47900910	47930707	9	28642	40535.8388	3164.4414	161	MEIS3	DHX34,SLC8A2	MEIS3	MEIS3	1.2996	161	1
13_MACS_peak_12712_lociStitched	chr17	46799718	46833218	13	28624	41593.6	4003.25	162	NCRNA00253,PRAC,MIR3185,HOXB13	TTLL6	HOXB13	HOXB13	1.0295	162	1
9_MACS_peak_13957_lociStitched	chr17	77735006	77766050	9	28435	42002.532	2800.1688	163	CBX2	ENPP7,CBX8,CBX4	CBX2	CBX2	1.4022	163	1
4_MACS_peak_14929_lociStitched	chr19	3924508	3953187	4	28423	41573.0784	3424.2726	164	ATCAY,ITGB1BP3	MIR637,DAPK3,SNORD37,EEF2	ITGB1BP3	ITGB1BP3	1.3461999999999998	164	1
9_MACS_peak_11423_lociStitched	chr17	1828905	1858205	9	28394	38087.07	2549.1	165	RTN4RL1		RTN4RL1	RTN4RL1	1.1097000000000001	165	1
18_MACS_peak_11966_lociStitched	chr17	19056350	19089283	18	28159	29204.9844	3708.2558	166	GRAPL		GRAPL	GRAPL	0.2884	166	1
9_MACS_peak_30154_lociStitched	chr9	132929301	132959276	9	28074	36011.965	2889.59	167	NCS1	NCS1	NCS1	NCS1	0.9369999999999999	167	1
11_MACS_peak_10080_lociStitched	chr16	3078464	3108451	11	28063	42140.7311	3334.5544	168	MMP25,CCDC64B	LOC283875,CLDN9,TNFRSF12A,THOC6,IL32,PKMYT1,CLDN6,HCFC1R1,ZSCAN10	MMP25	LOC283875	1.5923	168	1
22_MACS_peak_24650_lociStitched	chr4	3854789	3887172	22	27933	31534.5654	3001.9041	169			LOC348926	LOC348926	NONE	169	1
12_MACS_peak_29623_lociStitched	chr8	144938242	144970221	12	27894	39590.002	3156.3273	170	EPPK1	MIR937,SCRIB,PUF60,NRBP2,PLEC,MIR661	EPPK1	EPPK1	0.841	170	1
4_MACS_peak_31626_lociStitched	chr9	139138269	139167026	4	27875	50629.5742	3002.2308	171		LHX3,QSOX2	QSOX2	LHX3	0.9201	171	1
7_MACS_peak_6099_lociStitched	chr11	1938274	1968100	7	27838	39772.971	2436.7842	172	TNNT3	LSP1,MRPL23,LOC100133545,MIR675	TNNT3	LOC100133545	1.8339	172	1
16_MACS_peak_8101_lociStitched	chr12	3378369	3408889	16	27595	32631.984	2490.432	173	TSPAN9		PRMT8	PRMT8	NONE	173	1
10_MACS_peak_15397_lociStitched	chr19	7634251	7664034	10	27486	35319.6597	3856.8985	174	KIAA1543	MCOLN1,PNPLA6,LOC100131801,STXBP2,XAB2,PCP2	KIAA1543	KIAA1543	0.6352000000000001	174	1
13_MACS_peak_14126_lociStitched	chr17	78478326	78509954	13	27471	33822.9832	2618.7984	175		RPTOR,NPTX1	RPTOR	NPTX1	1.3586	175	1
7_MACS_peak_13323_lociStitched	chr17	72873477	72902074	7	27334	32386.1025	2868.2791	176	FADS6	OTOP2,OTOP3,GRIN2C,FDXR,USH1G	FADS6	OTOP2	1.3026	176	1
7_MACS_peak_14175_lociStitched	chr17	79272238	79300880	7	27273	41585.3198	2446.0268	177	C17orf55,TMEM105	SLC38A10	C17orf55	C17orf55	1.4358	177	1
9_MACS_peak_10031_lociStitched	chr16	2855107	2883867	9	27214	35921.24	2924.892	178	PRSS41,PRSS21,ZG16B	FLYWCH2,TCEB2,PRSS33,PRSS30P,PRSS22	PRSS21	PRSS21	1.1505	178	1
2_MACS_peak_26206_lociStitched	chr6	31958057	31985300	2	27153	53665.9857	3367.2348	179	C4B,C4A,CYP21A2,STK19,TNXA,TNXB	CFB,SKIV2L,STK19,MIR1236,RDBP,DOM3Z	CYP21A2	CYP21A2	2.1891	179	1
19_MACS_peak_21325_lociStitched	chr21	45865294	45899454	19	27083	33674.928	3528.728	180	LRRC3	C21orf90	LRRC3	C21orf90	0.9681000000000001	180	1
10_MACS_peak_18073_lociStitched	chr19	49080593	49110686	10	26959	34363.1967	3400.509	181	SULT2B1,SPACA4,FAM83E	SPHK2,SEC1,RPL18,DBP,CA11	SPACA4	SEC1	0.6294000000000001	181	1
16_MACS_peak_3084_lociStitched	chr1	22567834	22598040	16	26908	31118.2212	2322.8414	182			WNT4	WNT4	NONE	182	1
6_MACS_peak_31594_lociStitched	chr9	138970209	138998876	6	26905	39336.8574	2118.4913	183	NACC2	C9orf69	NACC2	NACC2	0.9003	183	1
8_MACS_peak_22476_lociStitched	chr22	39221427	39249793	8	26851	35477.3562	2802.5608	184	NPTXR	DNAL4,CBX6	NPTXR	NPTXR	0.9841	184	1
22_MACS_peak_5910_lociStitched	chr11	1238022	1270902	22	26840	29756.4	2110.896	185	MUC5B		MUC5B	MUC5B	0.685	185	1
16_MACS_peak_2091_lociStitched	chr1	17408788	17440112	16	26829	33053.0848	2559.1708	186	PADI2	SDHB	PADI2	PADI2	0.8822	186	1
2_MACS_peak_4359_lociStitched	chr1	156389241	156415981	2	26740	49161.49	5794.558	187	C1orf61,MIR9-1		C1orf61	C1orf61	1.0777	187	1
15_MACS_peak_15741_lociStitched	chr19	11357024	11390183	15	26704	34269.8265	3193.2117	188	DOCK6	LOC55908,TSPAN16,KANK2	DOCK6	LOC55908	0.7856000000000001	188	1
4_MACS_peak_27729_lociStitched	chr7	150940724	150968442	4	26677	50682.363	4809.073	189	SMARCD3	CHPF2,MIR671,ABCF2	SMARCD3	SMARCD3	1.1782	189	1
11_MACS_peak_6448_lociStitched	chr11	61281959	61311358	11	26571	36960.4228	2734.107	190	SYT7	C11orf66,LRRC10B	LRRC10B	LRRC10B	0.7837999999999999	190	1
9_MACS_peak_11445_lociStitched	chr17	1904761	1933350	9	26385	37983.3454	2833.1699	191	RTN4RL1	DPH1,OVCA2,HIC1,MIR132,MIR212	RTN4RL1	RTN4RL1	1.1097000000000001	191	1
10_MACS_peak_24000_lociStitched	chr3	50183931	50211657	10	26163	32566.9596	2805.8712	192	SEMA3F	GNAT1,SLC38A3	SEMA3F	SLC38A3	1.1817	192	1
7_MACS_peak_21124_lociStitched	chr21	43717445	43744348	7	26139	39003.9694	3930.5283	193	TFF3	TFF2,TFF1	TFF3	TFF3	1.5947	193	1
12_MACS_peak_4753_lociStitched	chr1	228754616	228784411	12	26106	28501.897	12254.6835	194	DUSP5P		DUSP5P	DUSP5P	0.34569999999999995	194	1
6_MACS_peak_8455_lociStitched	chr12	54585768	54613389	6	26072	33797.0556	3949.803	195		SMUG1,CBX5	SMUG1	SMUG1	0.1648	195	1
10_MACS_peak_13398_lociStitched	chr17	74515288	74542278	10	26009	34055.982	3400.74	196	PRCD,CYGB	SNORD1C,SNORD1B,SNORD1A,RHBDF2,ST6GALNAC2	CYGB	CYGB	1.0817999999999999	196	1
10_MACS_peak_12824_lociStitched	chr17	47938130	47965851	10	25955	30778.6263	3121.3846	197		TAC4	TAC4	TAC4	0.0786	197	1
5_MACS_peak_1062_lociStitched	chr1	6180964	6208514	5	25922	35528.48	2333.485	198	CHD5		CHD5	CHD5	0.9155	198	1
16_MACS_peak_20759_lociStitched	chr20	61986192	62016983	16	25876	30941.8759	1936.7539	199	CHRNA4		CHRNA4	CHRNA4	0.8872	199	1
14_MACS_peak_3181_lociStitched	chr1	22872173	22902315	14	25870	30184.1988	2215.437	200	EPHA8		EPHA8	EPHA8	0.8734000000000001	200	1
2_MACS_peak_27703_lociStitched	chr7	149470108	149496144	2	25728	52306.324	3579.95	201	SSPO,ZNF467	ZNF862	SSPO	SSPO	1.5967	201	1
5_MACS_peak_19245_lociStitched	chr2	219845449	219871522	5	25723	42475.5243	2873.2446	202	FEV,CRYBA2,MIR375,CCDC108	CDK5R2,LOC151300,CCDC108	CRYBA2	CRYBA2	1.4205	202	1
12_MACS_peak_23730_lociStitched	chr3	12903804	12933347	12	25674	31368.7574	3524.4799	203		SNORA7A,RPL32	RPL32	NONE	NONE	203	1
16_MACS_peak_730_lociStitched	chr1	3400442	3429635	16	25641	29756.4249	1795.3695	204	MEGF6	ARHGEF16,MIR551A	ARHGEF16	MIR551A	1.0329000000000002	204	1
12_MACS_peak_18249_lociStitched	chr19	50011016	50038368	12	25387	27409.4392	2850.0784	205	FCGRT,RCN3	FLT3LG,RPL13AP5,SNORD32A,SNORD33,SNORD34,SNORD35A,RPS11,SNORD35B,PRRG2,MIR150,NOSIP	RCN3	RCN3	0.791	205	1
14_MACS_peak_30934_lociStitched	chr9	137104548	137134910	14	25376	33185.666	1979.6024	206			RNU6ATAC	RNU6ATAC	NONE	206	1
9_MACS_peak_31529_lociStitched	chr9	138661102	138687308	9	25282	32532.1284	1614.2896	207	KCNT1		KCNT1	KCNT1	0.9068999999999999	207	1
10_MACS_peak_17408_lociStitched	chr19	42414852	42442724	10	25187	41228.2624	3169.0464	208		CD79A,ARHGEF1,RABAC1	RABAC1	ARHGEF1	0.1056	208	1
7_MACS_peak_15415_lociStitched	chr19	7718976	7744905	7	25179	35507.1726	3523.7511	209	RETN,C19orf59	LOC100131801,STXBP2,TRAPPC5,XAB2,PCP2,FCER2	RETN	RETN	1.1497	209	1
11_MACS_peak_13657_lociStitched	chr17	76551480	76579081	11	25040	29221.1787	2699.3778	210	DNAH17		DNAH17	DNAH17	0.7581	210	1
15_MACS_peak_11986_lociStitched	chr17	19100073	19128617	15	25039	25013.1072	3034.2272	211		EPN2	EPN2	NONE	NONE	211	1
5_MACS_peak_29936_lociStitched	chr9	129442569	129469284	5	24974	35912.9745	2922.621	212	LMX1B		LMX1B	LMX1B	1.187	212	1
5_MACS_peak_14020_lociStitched	chr17	77942860	77968421	5	24966	34103.4862	2315.8266	213	TBC1D16	CCDC40	TBC1D16	TBC1D16	1.0408	213	1
10_MACS_peak_18601_lociStitched	chr19	55673118	55700706	10	24965	30887.5248	3161.5848	214	C19orf51,SYT5,PTPRH	PPP1R12C,TNNT1,TNNI3,TMEM86B	SYT5	SYT5	1.0773	214	1
15_MACS_peak_6215_lociStitched	chr11	2378862	2408009	15	24892	29295.6497	2608.6565	215	CD81	TSSC4,TRPM5	CD81	TRPM5	1.3964	215	1
11_MACS_peak_27421_lociStitched	chr7	100745492	100772136	11	24791	29668.094	3005.4432	216	SERPINE1	TRIM56,AP1S1,VGF	SERPINE1	SERPINE1	0.9534000000000001	216	1
4_MACS_peak_3011_lociStitched	chr1	21908346	21933822	4	24693	36438.3228	2402.3868	217	RAP1GAP		RAP1GAP	RAP1GAP	0.8038000000000001	217	1
6_MACS_peak_15835_lociStitched	chr19	13103335	13128918	6	24658	38305.4259	2627.3741	218	NFIX	RAD23A,DAND5,GADD45GIP1	NFIX	NFIX	0.6543	218	1
14_MACS_peak_15554_lociStitched	chr19	8266127	8294224	14	24603	26961.8812	3009.1887	219	LASS4		LASS4	LASS4	0.6386999999999999	219	1
6_MACS_peak_14284_lociStitched	chr17	81011022	81037210	6	24474	31957.2164	2286.2124	220		METRNL,B3GNTL1	METRNL	METRNL	0.7202999999999999	220	1
22_MACS_peak_22910_lociStitched	chr22	44732115	44763088	22	24468	28557.106	2168.11	221		KIAA1644	KIAA1644	KIAA1644	0.6472	221	1
7_MACS_peak_4351_lociStitched	chr1	156355568	156382547	7	24377	33931.4883	3952.4235	222	C1orf61	C1orf182,RHBG,CCT3,MIR9-1	MIR9-1	MIR9-1	0.9299	222	1
11_MACS_peak_20810_lociStitched	chr20	62124908	62151900	11	24265	28830.1552	2475.1664	223	EEF1A2	PPDPF,C20orf195,KCNQ2,PTK6,SRMS,PRIC285	EEF1A2	SRMS	1.2726	223	1
11_MACS_peak_11530_lociStitched	chr17	4478082	4506134	11	24217	35008.896	2586.3944	224	SMTNL2	MYBBP1A,GGT6,ALOX15	SMTNL2	SMTNL2	1.04	224	1
2_MACS_peak_19302_lociStitched	chr2	220374402	220398587	2	24180	36444.3765	2491.055	225	ACCN4	SPEG,GMPPA,TMEM198,INHA,CHPF,MIR3132,OBSL1	ACCN4	SPEG	1.0997	225	1
9_MACS_peak_14025_lociStitched	chr17	77969453	77995673	9	24133	29639.088	2344.068	226	TBC1D16	CCDC40	TBC1D16	TBC1D16	1.0408	226	1
12_MACS_peak_9841_lociStitched	chr16	1055485	1082141	12	24060	31059.5712	1692.656	227		SOX8,SSTR5,LMF1,LOC146336	SOX8	SOX8	1.0969	227	1
21_MACS_peak_17361_lociStitched	chr19	42278848	42309743	21	24039	29291.5495	3481.8665	228	CEACAM3	CEACAM6,DMRTC2,LYPD4	CEACAM3	CEACAM3	0.7161	228	1
12_MACS_peak_8683_lociStitched	chr13	113676879	113704069	12	24023	30319.569	2390.001	229	MCF2L		MCF2L	MCF2L	0.9082	229	1
6_MACS_peak_2049_lociStitched	chr1	17083794	17108955	6	23924	33431.4207	4956.717	230	MST1P9	ESPNP	MST1P9	ESPNP	2.4652	230	1
8_MACS_peak_30358_lociStitched	chr9	133935380	133961305	8	23881	30684.83	2563.9825	231	LAMC3	AIF1L,NUP214	AIF1L	AIF1L	0.7515000000000001	231	1
9_MACS_peak_27312_lociStitched	chr7	100312045	100337804	9	23862	29612.5464	2725.3022	232	EPO,ZAN	GNB2,POP7,GIGYF1	ZAN	ZAN	0.8708	232	1
10_MACS_peak_14812_lociStitched	chr19	3333283	3359402	10	23853	27908.1515	2925.328	233		NFIC	NFIC	NFIC	1.102	233	1
10_MACS_peak_50_lociStitched	chr1	977938	1003658	10	23831	33019.336	1934.144	234	AGRN	ISG15,HES4,C1orf159	AGRN	HES4	1.3624999999999998	234	1
14_MACS_peak_25889_lociStitched	chr5	176148704	176175348	14	23729	27493.9436	1891.724	235			UNC5A	UNC5A	0.9129	235	1
7_MACS_peak_7014_lociStitched	chr11	68758683	68783159	7	23704	32029.2936	1750.034	236	MRGPRF	TPCN2,MRGPRD	MRGPRF	MRGPRF	1.2366	236	1
13_MACS_peak_5788_lociStitched	chr11	314146	340424	13	23630	29725.6736	3000.9476	237	IFITM1,IFITM3	NLRP6,ATHL1,IFITM2,B4GALNT4,IFITM5	IFITM3	IFITM3	1.0326000000000002	237	1
10_MACS_peak_3195_lociStitched	chr1	22906904	22932029	10	23373	28052.0625	1763.775	238	EPHA8	C1QA,C1QC,C1QB	EPHA8	EPHA8	0.8734000000000001	238	1
18_MACS_peak_544_lociStitched	chr1	3035575	3060587	18	23365	25522.2448	1468.2044	239	PRDM16,MIR4251		MIR4251	MIR4251	0.9072	239	1
5_MACS_peak_26484_lociStitched	chr6	41603680	41628450	5	23355	30313.526	2179.76	240	MDFI		MDFI	MDFI	1.0781	240	1
10_MACS_peak_1892_lociStitched	chr1	11925300	11950380	10	23287	29659.608	2402.664	241		PLOD1,NPPA,NPPB,KIAA2013	NPPB	NPPB	0.7314	241	1
5_MACS_peak_4524_lociStitched	chr1	201321619	201346310	5	23265	32436.5667	3632.0461	242	TNNT2	LAD1,TNNI1	TNNT2	TNNT2	1.0653000000000001	242	1
4_MACS_peak_12244_lociStitched	chr17	36716212	36739684	4	23253	38160.7776	2441.088	243	SRCIN1		SRCIN1	SRCIN1	0.9705	243	1
17_MACS_peak_27325_lociStitched	chr7	100350720	100378547	17	23242	27512.5549	2256.7697	244	ZAN	POP7,EPO,EPHB4	ZAN	EPO	0.9864	244	1
14_MACS_peak_16918_lociStitched	chr19	36343823	36370481	14	23168	26769.9636	1999.35	245	KIRREL2,APLP1	HCST,PRODH2,NPHS1,NFKBID,TYROBP	APLP1	APLP1	0.8048000000000001	245	1
5_MACS_peak_31698_lociStitched	chr9	139862204	139887653	5	23080	35816.9226	2438.0142	246	PTGDS,LCNL1,C9orf142	C8G,LCN12,C9orf139,FBXW5,CLIC3,ABCA2,FUT7	LCNL1	FUT7	1.2649	246	1
17_MACS_peak_7274_lociStitched	chr11	69970761	69999188	17	23073	25356.884	1896.0809	247	ANO1		ANO1	ANO1	0.699	247	1
17_MACS_peak_13910_lociStitched	chr17	77644688	77672605	17	23058	27344.7015	2124.4837	248		ENPP7	ENPP7	ENPP7	0.8714999999999999	248	1
8_MACS_peak_15169_lociStitched	chr19	5731762	5757194	8	22915	26751.9208	3056.9264	249	TMEM146	RPL36,LONP1,PRR22,DUS3L	TMEM146	TMEM146	0.7765	249	1
15_MACS_peak_6028_lociStitched	chr11	1725519	1751881	15	22778	27213.4926	2562.3864	250	MOB2	FAM99A,KRTAP5-6,FAM99B,LOC402778,CTSD	KRTAP5-6	FAM99A	1.3823	250	1
19_MACS_peak_26367_lociStitched	chr6	33980957	34009240	19	22773	26464.4031	2452.1361	251	GRM4	MIR1275	MIR1275	MIR1275	0.48050000000000004	251	1
6_MACS_peak_1067_lociStitched	chr1	6210891	6234387	6	22768	28820.1936	2171.0304	252	CHD5	RNF207,RPL22	CHD5	CHD5	0.9155	252	1
6_MACS_peak_14822_lociStitched	chr19	3360447	3383824	6	22720	28676.5659	2531.7291	253	NFIC		NFIC	NFIC	1.102	253	1
16_MACS_peak_27988_lociStitched	chr7	155591997	155619195	16	22711	27100.0872	2523.9744	254	SHH		SHH	SHH	0.9119	254	1
16_MACS_peak_6675_lociStitched	chr11	64285717	64314270	16	22691	27262.4044	2338.4907	255		SLC22A11,SLC22A12	SLC22A11	SLC22A11	0.8425	255	1
8_MACS_peak_29012_lociStitched	chr8	142333097	142356660	8	22635	28131.8657	2092.3944	256	LOC731779	GPR20	LOC731779	GPR20	1.1304	256	1
7_MACS_peak_26386_lociStitched	chr6	34013414	34038055	7	22606	29216.8337	2353.2155	257	GRM4	MIR1275	MIR1275	MIR1275	0.48050000000000004	257	1
9_MACS_peak_15384_lociStitched	chr19	7543195	7568298	9	22599	26194.9805	3609.8114	258	C19orf45,PEX11G	ARHGEF18,ZNF358,MCOLN1,PNPLA6,LOC100128573	PEX11G	PEX11G	0.6962	258	1
21_MACS_peak_2147_lociStitched	chr1	17534873	17562357	21	22569	25518.894	2311.4044	259	PADI1	PADI3	PADI1	PADI1	0.8079	259	1
13_MACS_peak_13943_lociStitched	chr17	77707236	77732448	13	22544	28118.9436	2175.7956	260	ENPP7	CBX2,CBX8	ENPP7	CBX2	1.4022	260	1
10_MACS_peak_11719_lociStitched	chr17	7308238	7333953	10	22528	33149.2065	2180.632	261	NLGN2,SPEM1,C17orf74	TMEM95,TNK1,TMEM102,FGF11,CHRNB1,PLSCR3,C17orf61,ZBTB4	SPEM1	SPEM1	1.2526	261	1
4_MACS_peak_11821_lociStitched	chr17	7958136	7981470	4	22513	31146.2232	3122.0892	262	ALOX12B	ALOX15B,MIR4314,ALOXE3,HES7	ALOX12B	MIR4314	1.4195	262	1
16_MACS_peak_2230_lociStitched	chr1	17685738	17713020	16	22423	25134.9066	2174.3754	263	PADI4,PADI6		PADI6	PADI6	0.6263	263	1
9_MACS_peak_24199_lociStitched	chr3	128169038	128193924	9	22348	28890.1574	2389.056	264	DNAJB8	LOC90246,GATA2	DNAJB8	GATA2	1.4406999999999999	264	1
7_MACS_peak_27079_lociStitched	chr7	44257035	44280792	7	22296	33468.8616	2002.7151	265	CAMK2B	YKT6,GCK	YKT6	GCK	0.09880000000000001	265	1
19_MACS_peak_699_lociStitched	chr1	3336646	3362277	19	22295	25133.7586	1514.7921	266	PRDM16	ARHGEF16	ARHGEF16	ARHGEF16	0.9044	266	1
13_MACS_peak_9783_lociStitched	chr16	917082	942920	13	22176	26088.6286	1767.3192	267	LMF1		PRR25	PRR25	0.7551	267	1
11_MACS_peak_278_lociStitched	chr1	2131576	2156567	11	22142	27120.2332	2311.6675	268	C1orf86	SKI,LOC100128003,C1orf86	C1orf86	C1orf86	0.6004	268	1
10_MACS_peak_26393_lociStitched	chr6	34041419	34064897	10	21978	23276.0892	2028.4992	269	GRM4		GRM4	GRM4	0.8816999999999999	269	1
14_MACS_peak_18059_lociStitched	chr19	49048568	49074490	14	21886	26336.752	2283.7282	270	SULT2B1	SULT2B1,SPACA4,SPHK2,LMTK3,FAM83E,RPL18	SULT2B1	SULT2B1	0.9484000000000001	270	1
11_MACS_peak_30961_lociStitched	chr9	137166133	137191878	11	21825	26141.473	1912.8535	271		RXRA	RXRA	RXRA	0.06490000000000001	271	1
17_MACS_peak_22517_lociStitched	chr22	40036545	40063260	17	21803	25988.352	2161.2435	272	CACNA1I		CACNA1I	CACNA1I	0.7874	272	1
2_MACS_peak_6233_lociStitched	chr11	2426304	2449031	2	21787	41138.1427	1995.4306	273	TRPM5	CD81,TSSC4,KCNQ1	TRPM5	TRPM5	1.3964	273	1
8_MACS_peak_22599_lociStitched	chr22	42740500	42765101	8	21683	26305.8493	2150.1274	274			NFAM1	NFAM1	0.8457	274	1
6_MACS_peak_9942_lociStitched	chr16	1567564	1590671	6	21623	30505.8614	1693.7431	275	TMEM204,IFT140	TELO2,CLCN7,PTX4	TMEM204	PTX4	1.0249000000000001	275	1
4_MACS_peak_14952_lociStitched	chr19	4218778	4241122	4	21521	31185.5208	3369.4752	276	ANKRD24,EBI3	CCDC94,SHD,SIRT6	EBI3	SHD	1.2783	276	1
16_MACS_peak_19926_lociStitched	chr20	48889906	48916488	16	21508	25287.4566	2227.5716	277	LOC284751		LOC284751	LOC284751	0.7374	277	1
13_MACS_peak_23355_lociStitched	chr22	46309670	46334402	13	21481	25439.3352	1506.1788	278	WNT7B		WNT7B	WNT7B	0.9853999999999999	278	1
13_MACS_peak_25280_lociStitched	chr4	8611622	8638882	13	21478	22781.182	1324.836	279	CPZ	GPR78	CPZ	CPZ	0.8976000000000001	279	1
20_MACS_peak_24103_lociStitched	chr3	50536020	50562230	20	21474	25051.518	2621	280	CACNA2D2	HEMK1,C3orf18	CACNA2D2	CACNA2D2	0.7307	280	1
16_MACS_peak_31483_lociStitched	chr9	138572243	138599066	16	21461	24626.1963	1644.2499	281	KCNT1,SOHLH1	LCN9,GLT6D1	SOHLH1	SOHLH1	0.9416	281	1
9_MACS_peak_30464_lociStitched	chr9	135071789	135094991	9	21310	24826.14	2030.175	282	NTNG2		NTNG2	NTNG2	1.0408000000000002	282	1
5_MACS_peak_21246_lociStitched	chr21	44863914	44886296	5	21084	30978.9262	2752.986	283	C21orf125,C21orf84	SIK1	C21orf125	C21orf125	1.4969000000000001	283	1
11_MACS_peak_17532_lociStitched	chr19	45367847	45391014	11	20946	26899.2037	2379.2509	284	PVRL2	TOMM40,APOE,APOC1,APOC1P1	TOMM40	APOE	0.7098000000000001	284	1
10_MACS_peak_131_lociStitched	chr1	1512208	1534737	10	20936	24685.0253	2498.4661	285		MIB2,MMP23B,MMP23A,C1orf70,SSU72	SSU72	MMP23B	0.30720000000000003	285	1
8_MACS_peak_15156_lociStitched	chr19	5544019	5566296	8	20920	23974.5074	2477.2024	286	PLAC2		PLAC2	PLAC2	0.7303	286	1
14_MACS_peak_13498_lociStitched	chr17	75779572	75803555	14	20836	24462.66	2412.6898	287			FLJ45079	FLJ45079	0.8101	287	1
3_MACS_peak_24208_lociStitched	chr3	128195174	128216794	3	20804	34873.06	2058.224	288	GATA2	LOC90246,DNAJB8	GATA2	GATA2	1.4406999999999999	288	1
16_MACS_peak_14717_lociStitched	chr19	3094593	3120503	16	20791	23995.251	2489.951	289	GNA11	GNA15,TLE2,AES	GNA11	GNA11	0.7647999999999999	289	1
9_MACS_peak_22584_lociStitched	chr22	42693603	42716454	9	20734	25837.6257	1940.0499	290		LOC388906	LOC388906	LOC388906	0.018200000000000008	290	1
7_MACS_peak_6021_lociStitched	chr11	1702251	1724240	7	20638	27299.3435	1770.1145	291	KRTAP5-6,MOB2,FAM99B	FAM99A,LOC402778	KRTAP5-6	FAM99A	1.3823	291	1
