REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X05_0EWR_0229Kronos_MM1S.KB.3hr.1_H3K18Ac_hs.dm_i07.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
2_MACS_peak_14593_lociStitched	chr2	42323088	42334846	2	11653	38534.4934	2458.5978	162		PKDCC	PKDCC	PKDCC	0.011499999999999996	162	1
5_MACS_peak_2401_lociStitched	chr1	204474906	204493936	5	12992	40400.69	4531.043	163	MDM4	PIK3C2B	MDM4	MDM4	0.5842999999999999	163	1
4_MACS_peak_22350_lociStitched	chr5	88595642	88617501	4	12143	39381.1744	3541.158	164			MEF2C	MEF2C	0.4028999999999999	164	1
3_MACS_peak_19843_lociStitched	chr3	156804657	156824534	3	14277	41085.759	5581.4616	165	LOC100498859,LOC339894		LOC100498859	LOC100498859	1.6578	165	1
1_MACS_peak_17129_lociStitched	chr20	45978429	45987349	1	8921	37318.604	1824.14	166	ZMYND8	LOC100131496	ZMYND8	ZMYND8	0.21550000000000002	166	1
2_MACS_peak_23749_lociStitched	chr6	31694406	31709345	2	12006	38426.0958	2960.9098	167	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	CLIC1	2.2231	167	1
2_MACS_peak_23602_lociStitched	chr6	26355138	26367919	2	12629	37753.7959	2322.3077	168	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	BTN3A2	1.1639	168	1
2_MACS_peak_1588_lociStitched	chr1	149214034	149225829	2	6214	39019.0395	3867.5805	169			LOC388692	LOC388692	NONE	169	1
2_MACS_peak_25574_lociStitched	chr7	55569105	55585893	2	16715	38115.4752	2993.3004	170	VOPP1		VOPP1	VOPP1	1.2513999999999998	170	1
1_MACS_peak_11527_lociStitched	chr17	37909246	37916380	1	7135	36546.0552	1462.47	171		GRB7,C17orf37	GRB7	C17orf37	0.2525	171	1
1_MACS_peak_20033_lociStitched	chr3	176911699	176920848	1	9150	37811.9021	2731.8914	172	TBL1XR1		TBL1XR1	TBL1XR1	0.2428	172	1
3_MACS_peak_20041_lociStitched	chr3	177062557	177080114	3	10557	39338.2142	4375.2044	173			TBL1XR1	TBL1XR1	0.2428	173	1
3_MACS_peak_15146_lociStitched	chr2	89049124	89066775	3	11547	37789.0259	2898.2942	174	RPIA,ANKRD36BP2		ANKRD36BP2	ANKRD36BP2	0.01720000000000002	174	1
1_MACS_peak_15687_lociStitched	chr2	158295087	158302451	1	7365	36399.5156	1922.004	175	CYTIP		CYTIP	CYTIP	0.8973	175	1
2_MACS_peak_2459_lociStitched	chr1	206727730	206738666	2	10811	37641.712	3243.6176	176	RASSF5	LGTN	RASSF5	RASSF5	0.4407	176	1
4_MACS_peak_17032_lociStitched	chr20	40709725	40727312	4	13374	36948.5283	2571.2194	177	PTPRT		CHD6	CHD6	NONE	177	1
7_MACS_peak_10616_lociStitched	chr16	68269855	68320002	7	24342	42454.4502	8183.9904	178	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	SLC7A6	0.2892	178	1
1_MACS_peak_26446_lociStitched	chr7	142503413	142509334	1	5922	35877.1153	1615.2488	179		PRSS1,TRY6,PRSS2,EPHB6	PRSS2	EPHB6	0.007599999999999996	179	1
2_MACS_peak_12272_lociStitched	chr17	76711249	76733706	2	18565	38731.5879	4556.5253	180	CYTH1		CYTH1	CYTH1	0.5524	180	1
1_MACS_peak_9456_lociStitched	chr15	75334199	75341536	1	7338	35717.9834	1762.3474	181	PPCDC	SCAMP5	PPCDC	PPCDC	1.2249999999999999	181	1
1_MACS_peak_14612_lociStitched	chr2	43444248	43457016	1	12769	36290.4864	2339.0976	182	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	2.3756	182	1
4_MACS_peak_11439_lociStitched	chr17	34408917	34432734	4	19691	38188.1778	4325.1672	183	CCL4,CCL3	CCL18	CCL3	CCL3	1.8934	183	1
6_MACS_peak_14938_lociStitched	chr2	70334941	70360787	6	12202	37680.8834	3900.1614	184	LOC100133985	PCBP1,LOC400960	LOC100133985	PCBP1	4.9216	184	1
3_MACS_peak_1789_lociStitched	chr1	155939566	155954060	3	12789	37649.6144	3929.3234	185	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	ARHGEF2	1.0151999999999999	185	1
2_MACS_peak_2388_lociStitched	chr1	203722160	203736548	2	8486	37007.3748	3359.598	186	LAX1	SNORA77,ZC3H11A,ZBED6	LAX1	LAX1	1.2146	186	1
1_MACS_peak_22344_lociStitched	chr5	88110661	88130586	1	19926	37678.175	4070.6775	187	MEF2C		MEF2C	MEF2C	0.4028999999999999	187	1
4_MACS_peak_5179_lociStitched	chr11	71412145	71427045	4	13729	36510.96	2950.2	188			FAM86C	FAM86C	NONE	188	1
4_MACS_peak_19250_lociStitched	chr3	98472532	98496032	4	16732	37313.3	3788.2	189	ST3GAL6		ST3GAL6	ST3GAL6	0.7861	189	1
2_MACS_peak_20260_lociStitched	chr3	193815446	193823412	2	7531	36014.286	2519.6458	190		HES1	HES1	HES1	1.1222	190	1
3_MACS_peak_23567_lociStitched	chr6	25365924	25390507	3	18721	37727.5301	4274.9837	191	LRRC16A		LRRC16A	LRRC16A	0.3386	191	1
4_MACS_peak_9435_lociStitched	chr15	75063079	75083986	4	18522	37298.088	3936.7881	192	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	CSK	0.9874999999999999	192	1
3_MACS_peak_23233_lociStitched	chr5	180228543	180249684	3	15127	36565.4736	3443.8689	193	MGAT1	LOC729678,ZFP62	MGAT1	LOC729678	1.0565	193	1
1_MACS_peak_17062_lociStitched	chr20	42695444	42700989	1	5546	34148.328	1158.905	194	TOX2		JPH2	JPH2	NONE	194	1
3_MACS_peak_23946_lociStitched	chr6	42737820	42752362	3	8796	35257.079	2293.2734	195		LOC442211,KIAA0240,PRPH2,TBCC	TBCC	TBCC	0.5312	195	1
1_MACS_peak_6899_lociStitched	chr12	94597179	94603658	1	6480	34175.4292	1240.0806	196	PLXNC1		PLXNC1	PLXNC1	0.4694	196	1
2_MACS_peak_22052_lociStitched	chr5	55436289	55453664	2	17094	35858.525	2960.7	197	ANKRD55		ANKRD55	ANKRD55	0.27880000000000005	197	1
3_MACS_peak_1912_lociStitched	chr1	161144899	161163454	3	11659	37238.0295	4378.98	198	B4GALT3,ADAMTS4	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,APOA2,NR1I3	B4GALT3	UFC1	1.0839	198	1
4_MACS_peak_17559_lociStitched	chr21	36236218	36262852	4	13275	38536.7346	5715.6564	199	RUNX1		RUNX1	RUNX1	0.14279999999999998	199	1
2_MACS_peak_14289_lociStitched	chr2	11883357	11896693	2	12935	35359.0704	2556.5112	200	LPIN1		LPIN1	LPIN1	0.347	200	1
1_MACS_peak_8714_lociStitched	chr14	106323793	106329585	1	5793	33285.4656	503.904	201			KIAA0125	KIAA0125	NONE	201	1
3_MACS_peak_2420_lociStitched	chr1	205242280	205258827	3	11852	37192.6919	4452.7977	202	TMCC2	NUAK2	NUAK2	NUAK2	0.31889999999999996	202	1
5_MACS_peak_18458_lociStitched	chr3	5222463	5256329	5	22033	38265.1934	5614.9828	203	ARL8B,EDEM1		EDEM1	EDEM1	0.7119	203	1
1_MACS_peak_10485_lociStitched	chr16	56963243	56975518	1	12276	35126.14	2545.835	204	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	1.5463	204	1
1_MACS_peak_11041_lociStitched	chr17	6062968	6071515	1	8548	34133.2992	1630.7676	205			WSCD1	WSCD1	NONE	205	1
1_MACS_peak_13946_lociStitched	chr19	47613834	47617755	1	3922	33137.1552	998.6787	206	ZC3H4	SAE1	ZC3H4	ZC3H4	0.5074	206	1
1_MACS_peak_1724_lociStitched	chr1	154296608	154302935	1	6328	33999.3999	1948.0833	207	AQP10,ATP8B2		ATP8B2	ATP8B2	1.4274	207	1
1_MACS_peak_3296_lociStitched	chr10	30989334	30997042	1	7709	33229.188	1415.1888	208			LYZL2	LYZL2	NONE	208	1
5_MACS_peak_22337_lociStitched	chr5	87954719	87976678	5	10343	34945.5526	3243.3443	209	LOC645323,MIR9-2		MIR9-2	MIR9-2	0.25029999999999997	209	1
3_MACS_peak_1888_lociStitched	chr1	160633521	160656127	3	12272	37152.961	5466.1308	210	CD48	SLAMF1	SLAMF1	SLAMF1	0.0345	210	1
5_MACS_peak_14822_lociStitched	chr2	64430348	64456514	5	16955	36056.748	4474.386	211	LOC150992		LOC150992	LOC150992	0.33209999999999995	211	1
3_MACS_peak_3733_lociStitched	chr10	81001140	81020584	3	16639	34487.8228	2926.322	212	ZMIZ1		PPIF	PPIF	NONE	212	1
3_MACS_peak_1892_lociStitched	chr1	160694671	160715484	3	12385	36443.563	5111.6728	213	SLAMF7	CD48	SLAMF7	CD48	1.0198	213	1
4_MACS_peak_5332_lociStitched	chr11	82763881	82790315	4	13770	35545.7998	4612.733	214	RAB30	SNORA70E	RAB30	RAB30	0.5089	214	1
3_MACS_peak_4096_lociStitched	chr10	112168372	112186622	3	16632	33844.625	3126.225	215			DUSP5	DUSP5	0.8985000000000001	215	1
2_MACS_peak_15689_lociStitched	chr2	158323779	158337840	2	7717	32981.4816	2452.2384	216		CYTIP	CYTIP	CYTIP	0.8973	216	1
2_MACS_peak_25275_lociStitched	chr7	26002319	26012257	2	9322	32427.694	1901.1394	217		MIR148A	MIR148A	MIR148A	1.5735000000000001	217	1
4_MACS_peak_23416_lociStitched	chr6	11713784	11735971	4	14014	33728.6774	3239.302	218	C6orf105		C6orf105	C6orf105	0.4401	218	1
2_MACS_peak_7008_lociStitched	chr12	104318406	104325718	2	6348	31793.3072	1441.9264	219	HSP90B1,MIR3652,GNN	TDG,C12orf73	GNN	GNN	0.38880000000000003	219	1
2_MACS_peak_10196_lociStitched	chr16	23404691	23419578	2	8753	32816.9028	2474.2194	220	COG7		COG7	COG7	0.45480000000000004	220	1
1_MACS_peak_5883_lociStitched	chr12	4377424	4387646	1	10223	32130.8126	1807.2496	221	CCND2	C12orf5	CCND2	CCND2	0.7084	221	1
1_MACS_peak_20834_lociStitched	chr4	69434569	69443455	1	8887	31906.9602	1695.4488	222		UGT2B15,UGT2B17	UGT2B17	UGT2B17	0.2888	222	1
2_MACS_peak_22750_lociStitched	chr5	138719805	138730466	2	9869	32417.9688	2339.0234	223	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	MZB1	2.4475	223	1
1_MACS_peak_415_lociStitched	chr1	27018306	27030866	1	12561	32580.64	2508.232	224	ARID1A		ARID1A	ARID1A	0.41480000000000006	224	1
1_MACS_peak_19887_lociStitched	chr3	160116017	160123670	1	7654	31654.3386	1685.1906	225	SMC4,MIR15B,MIR16-2,IFT80	IFT80,TRIM59	SMC4	SMC4	0.6578999999999999	225	1
1_MACS_peak_15920_lociStitched	chr2	182168549	182180123	1	11575	32128.2666	2159.7084	226			ITGA4	ITGA4	NONE	226	1
6_MACS_peak_9804_lociStitched	chr15	101661413	101692415	6	17984	34511.4264	4644.0996	227			CHSY1	CHSY1	0.22110000000000002	227	1
4_MACS_peak_26865_lociStitched	chr8	27208654	27239415	4	18915	35492.0418	5647.7196	228	PTK2B	TRIM35	PTK2B	PTK2B	0.34719999999999995	228	1
2_MACS_peak_19941_lociStitched	chr3	169656045	169668515	2	11473	33158.977	3315.773	229	SAMD7,LOC100128164	SEC62	LOC100128164	LOC100128164	1.111	229	1
5_MACS_peak_12174_lociStitched	chr17	73850654	73875852	5	12112	33745.1616	3930.888	230	WBP2,TRIM47	UNC13D,TRIM65,MRPL38	TRIM47	TRIM47	1.3897	230	1
4_MACS_peak_23182_lociStitched	chr5	176717494	176740748	4	13128	33483.4346	3850.8624	231	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	RAB24	RAB24	1.5124	231	1
1_MACS_peak_24306_lociStitched	chr6	90057007	90071434	1	14428	32253.0012	2755.557	232	UBE2J1	GABRR2	UBE2J1	UBE2J1	0.7005	232	1
2_MACS_peak_9557_lociStitched	chr15	81576228	81595949	2	13308	33170.722	3699.6596	233	IL16	STARD5	IL16	STARD5	0.4072	233	1
5_MACS_peak_23137_lociStitched	chr5	173310137	173343972	5	24020	35025.992	5613.2265	234	CPEB4		CPEB4	CPEB4	0.38370000000000004	234	1
1_MACS_peak_21126_lociStitched	chr4	105407384	105417414	1	10031	31194.303	1811.418	235	CXXC4		CXXC4	CXXC4	1.0033	235	1
5_MACS_peak_20869_lociStitched	chr4	74453968	74475132	5	14090	32660.2848	3320.6316	236	RASSF6		RASSF6	RASSF6	0.5415000000000001	236	1
2_MACS_peak_17517_lociStitched	chr21	34600840	34613019	2	9286	32236.5951	2925.3958	237	IFNAR2	IL10RB	IFNAR2	IFNAR2	0.79	237	1
1_MACS_peak_2940_lociStitched	chr1	245132511	245136139	1	3629	30216.8864	935.2984	238	EFCAB2		EFCAB2	EFCAB2	0.1774	238	1
2_MACS_peak_24692_lociStitched	chr6	135190420	135204032	2	7783	31494.0844	2239.174	239			ALDH8A1	ALDH8A1	NONE	239	1
1_MACS_peak_15090_lociStitched	chr2	86219778	86229096	1	9319	30885.4428	1666.9902	240		LOC90784	LOC90784	LOC90784	0.008700000000000013	240	1
2_MACS_peak_9202_lociStitched	chr15	58582590	58595844	2	11136	31430.5356	2213.418	241			LIPC	LIPC	NONE	241	1
3_MACS_peak_28635_lociStitched	chr9	112904151	112925532	3	20165	33236.7645	4032.4566	242	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.3166	242	1
2_MACS_peak_13674_lociStitched	chr19	35695033	35708244	2	11102	31588.8221	2450.6405	243		FXYD5,LSR,FAM187B	FAM187B	LSR	0.5402	243	1
3_MACS_peak_2317_lociStitched	chr1	200850721	200864132	3	8698	32158.2369	3079.1656	244	C1orf106	GPR25	C1orf106	C1orf106	0.7910999999999999	244	1
5_MACS_peak_18842_lociStitched	chr3	46317808	46347316	5	21801	34323.7056	5281.932	245		CCR3,CCR2	CCR3	CCR2	0.5683	245	1
3_MACS_peak_28625_lociStitched	chr9	112668678	112683060	3	9710	31736.7594	2738.3328	246	PALM2,PALM2-AKAP2		PALM2	PALM2	0.1469	246	1
1_MACS_peak_11361_lociStitched	chr17	29635090	29649445	1	14356	31497.741	2530.7865	247	NF1,EVI2B,EVI2A	OMG	EVI2B	EVI2B	1.1005	247	1
4_MACS_peak_3073_lociStitched	chr10	7511539	7535977	4	15047	32135.97	3257.5854	248			SFMBT2	SFMBT2	NONE	248	1
1_MACS_peak_1523_lociStitched	chr1	145448614	145458052	1	9439	32046.729	3241.0092	249	POLR3GL	HFE2,TXNIP,ANKRD34A,LIX1L,RBM8A	TXNIP	TXNIP	1.6061	249	1
5_MACS_peak_2145_lociStitched	chr1	181095442	181129585	5	18357	36116.4654	7398.7881	250		IER5	IER5	IER5	0.5649	250	1
2_MACS_peak_17868_lociStitched	chr22	23189769	23210156	2	16012	31069.788	2432.1691	251		MIR650,IGLL5	IGLL5	IGLL5	5.7659	251	1
1_MACS_peak_24409_lociStitched	chr6	106439102	106446600	1	7499	30049.7346	1423.1204	252			PRDM1	PRDM1	2.9951000000000003	252	1
3_MACS_peak_9457_lociStitched	chr15	75352742	75370977	3	11691	31355.0825	2738.897	253		PPCDC	PPCDC	PPCDC	1.2249999999999999	253	1
3_MACS_peak_26911_lociStitched	chr8	29404203	29416870	3	9791	30570.5378	2147.0565	254			C8orf75	C8orf75	0.3914	254	1
3_MACS_peak_1092_lociStitched	chr1	75595509	75612511	3	15493	30765.119	2516.296	255	LHX8		LHX8	LHX8	0.6512	255	1
2_MACS_peak_14672_lociStitched	chr2	47204551	47215093	2	7926	30429.483	2182.194	256	TTC7A	MCFD2	MCFD2	MCFD2	0.2652	256	1
5_MACS_peak_13056_lociStitched	chr19	1647575	1672863	5	12348	32629.1064	4427.9288	257	TCF3	UQCR11	TCF3	UQCR11	0.5126000000000001	257	1
1_MACS_peak_26144_lociStitched	chr7	113723842	113728513	1	4672	29346.9588	1277.5185	258	FOXP2		FOXP2	NONE	NONE	258	1
1_MACS_peak_25191_lociStitched	chr7	20254689	20262549	1	7861	29642.418	1613.658	259	MACC1		MACC1	MACC1	0.3494	259	1
2_MACS_peak_12064_lociStitched	chr17	66230194	66245347	2	8717	30449.9535	2422.9647	260	AMZ2	LOC440461,ARSG,SLC16A6	AMZ2	AMZ2	0.4948	260	1
1_MACS_peak_2178_lociStitched	chr1	183808937	183815793	1	6857	29895.588	2078.7392	261	RGL1		APOBEC4	APOBEC4	NONE	261	1
2_MACS_peak_22666_lociStitched	chr5	131790462	131804301	2	11940	30923.2455	3170.5149	262	C5orf56	IRF1	IRF1	IRF1	0.40230000000000005	262	1
3_MACS_peak_12256_lociStitched	chr17	76136796	76152843	3	12625	30184.407	2493.7038	263	TMC8,C17orf99	SYNGR2,AFMID,TMC6,TK1	C17orf99	C17orf99	1.1779000000000002	263	1
1_MACS_peak_16389_lociStitched	chr2	231728836	231739873	1	11038	28508.571	868.6119	264	ITM2C		ITM2C	ITM2C	1.1557	264	1
4_MACS_peak_12217_lociStitched	chr17	75078939	75093191	4	13057	30372.4372	2877.4788	265	C17orf86,SCARNA16	SEC14L1	SCARNA16	SCARNA16	1.9144	265	1
1_MACS_peak_15092_lociStitched	chr2	86261884	86266879	1	4996	28505.9655	1093.4055	266	POLR1A	LOC90784	LOC90784	LOC90784	0.008700000000000013	266	1
2_MACS_peak_11017_lociStitched	chr17	4842254	4855057	2	8250	29925.7322	2517.0698	267	RNF167,ENO3,SLC25A11,PFN1	C17orf107,GP1BA,KIF1C,CHRNE,SPAG7,CAMTA2,INCA1	PFN1	PFN1	1.8014000000000001	267	1
3_MACS_peak_19115_lociStitched	chr3	69128259	69145998	3	15557	30574.9404	3207.2112	268	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	ARL6IP5	0.9233000000000001	268	1
6_MACS_peak_10284_lociStitched	chr16	29815641	29837463	6	13117	30413.3214	3295.122	269	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	C16orf53	C16orf53	0.7882	269	1
4_MACS_peak_3751_lociStitched	chr10	81946292	81966445	4	13868	30499.5502	3399.8111	270	ANXA11		ANXA11	ANXA11	0.43479999999999996	270	1
3_MACS_peak_26028_lociStitched	chr7	104576290	104586957	3	10062	28821.1673	1792.056	271		LOC723809	LOC723809	LOC723809	0.2279	271	1
2_MACS_peak_23148_lociStitched	chr5	173696356	173710139	2	9926	29233.743	2378.9458	272			HMP19	HMP19	NONE	272	1
2_MACS_peak_17622_lociStitched	chr21	41295743	41309699	2	9808	29983.0704	3195.924	273	PCP4		PCP4	PCP4	0.1909	273	1
3_MACS_peak_8482_lociStitched	chr14	81930666	81953222	3	15872	28984.46	2275.9004	274	SEL1L		SEL1L	SEL1L	0.41669999999999996	274	1
1_MACS_peak_25198_lociStitched	chr7	20367253	20373475	1	6223	27944.8686	1241.9112	275	ITGB8		ITGB8	ITGB8	0.34659999999999996	275	1
1_MACS_peak_1343_lociStitched	chr1	111172853	111181463	1	8611	27726.783	1039.227	276		KCNA2,KCNA3	KCNA2	KCNA3	0.7554	276	1
2_MACS_peak_20267_lociStitched	chr3	194021558	194034234	2	7399	29588.3192	2925.6208	277	LOC100131551	CPN2	LOC100131551	LOC100131551	1.2271	277	1
2_MACS_peak_27718_lociStitched	chr8	137188950	137201389	2	12419	29124.6746	2491.5317	278			KHDRBS3	KHDRBS3	NONE	278	1
1_MACS_peak_25515_lociStitched	chr7	47513132	47522813	1	9682	28763.2191	2195.6508	279	TNS3		TNS3	TNS3	0.11259999999999999	279	1
3_MACS_peak_17698_lociStitched	chr21	45195021	45210493	3	11014	30007.944	3485.8416	280	RRP1,CSTB	LOC284837	CSTB	CSTB	0.8456000000000001	280	1
2_MACS_peak_24411_lociStitched	chr6	106585312	106596064	2	9488	28707.84	2205.2352	281		PRDM1	PRDM1	PRDM1	2.9951000000000003	281	1
3_MACS_peak_28410_lociStitched	chr9	93671022	93690239	3	11936	29767.133	3278.4202	282			SYK	SYK	NONE	282	1
3_MACS_peak_13475_lociStitched	chr19	16694113	16711412	3	11101	30027.6042	3681.2272	283	MED26	CHERP,SLC35E1	SLC35E1	CHERP	0.047299999999999995	283	1
2_MACS_peak_2106_lociStitched	chr1	178544257	178552406	2	7525	28714.6313	2375.4335	284		C1orf220	C1orf220	C1orf220	0.20129999999999998	284	1
4_MACS_peak_19574_lociStitched	chr3	129026563	129054585	4	14757	30602.8262	4267.7506	285	C3orf47,H1FX	C3orf37	H1FX	H1FX	1.8503999999999998	285	1
4_MACS_peak_23587_lociStitched	chr6	26183645	26207201	4	13380	30542.7096	4218.8796	286	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	HIST1H2BH	1.261	286	1
1_MACS_peak_7760_lociStitched	chr13	78689051	78696443	1	7393	27298.656	1074.0576	287			EDNRB	EDNRB	NONE	287	1
2_MACS_peak_12316_lociStitched	chr17	78873583	78887506	2	8425	28216.3518	2004.912	288	RPTOR		CHMP6	CHMP6	NONE	288	1
5_MACS_peak_6027_lociStitched	chr12	11901632	11920371	5	14272	29350.8957	3219.3602	289	ETV6		ETV6	ETV6	0.2272	289	1
2_MACS_peak_10975_lociStitched	chr17	3459501	3466808	2	4917	27457.5139	1334.9889	290	TRPV3	TRPV1	TRPV3	TRPV3	0.447	290	1
3_MACS_peak_3068_lociStitched	chr10	6953768	6972785	3	9278	29139.7491	3025.6047	291			LOC439949	LOC439949	NONE	291	1
1_MACS_peak_26321_lociStitched	chr7	130790008	130797064	1	7057	28035.6048	1937.5776	292	MKLN1,FLJ43663		FLJ43663	FLJ43663	0.14409999999999998	292	1
3_MACS_peak_5217_lociStitched	chr11	72979558	73001784	3	11259	29525.0184	3465.0334	293	P2RY6	ARHGEF17	P2RY6	P2RY6	0.6273	293	1
2_MACS_peak_2735_lociStitched	chr1	226308563	226317132	2	7891	28560.477	2530.4257	294			ACBD3	ACBD3	NONE	294	1
9_MACS_peak_24751_lociStitched	chr6	138246796	138297452	9	20904	34076.2912	8064.4352	295			TNFAIP3	TNFAIP3	0.8074	295	1
2_MACS_peak_17943_lociStitched	chr22	27004542	27015531	2	10927	27991.1808	2007.6903	296	CRYBB1	CRYBA4,MIAT,TPST2	CRYBB1	CRYBB1	1.0539	296	1
1_MACS_peak_6635_lociStitched	chr12	62995227	62998199	1	2973	26482.6004	565.2744	297	MIRLET7I,C12orf61		C12orf61	C12orf61	2.1945	297	1
4_MACS_peak_2180_lociStitched	chr1	183865314	183885722	4	11296	30089.5552	4277.5168	298	RGL1		GLT25D2	GLT25D2	NONE	298	1
2_MACS_peak_1680_lociStitched	chr1	152006419	152021892	2	9718	29961.9172	4221.0344	299	S100A11	S100A10,TCHHL1	S100A11	S100A11	1.1318	299	1
5_MACS_peak_10176_lociStitched	chr16	22194966	22219233	5	15695	29977.0251	4341.3663	300	EEF2K		EEF2K	EEF2K	0.013800000000000007	300	1
3_MACS_peak_13405_lociStitched	chr19	13949126	13962111	3	9107	27641.1695	2084.0925	301		ZSWIM4,MIR181C,MIR181D,NANOS3,LOC284454,MIR24-2,MIR27A,MIR23A	MIR23A	MIR23A	1.2506	301	1
3_MACS_peak_6694_lociStitched	chr12	68752091	68770604	3	10313	28663.6779	3156.4665	302		MDM1	MDM1	NONE	NONE	302	1
1_MACS_peak_25029_lociStitched	chr7	2393165	2395622	1	2458	25957.2222	457.4934	303	EIF3B	CHST12,SNX8	EIF3B	EIF3B	0.6784	303	1
1_MACS_peak_2937_lociStitched	chr1	244996353	245000316	1	3964	26727.2646	1241.2116	304	FAM36A	NCRNA00201,HNRNPU	FAM36A	FAM36A	1.2604000000000002	304	1
4_MACS_peak_9650_lociStitched	chr15	89163691	89184438	4	13802	29093.5181	3649.3973	305	AEN,ISG20	MIR1179,MIR7-2	ISG20	ISG20	0.5658000000000001	305	1
4_MACS_peak_5910_lociStitched	chr12	6551937	6571985	4	9296	28686.6832	3265.8192	306	CD27,TAPBPL,LOC678655,VAMP1	NCAPD2,SCARNA10,MRPL51	TAPBPL	TAPBPL	1.1235	306	1
1_MACS_peak_2279_lociStitched	chr1	197740067	197748958	1	8892	27855.503	2457.4724	307	DENND1B		DENND1B	DENND1B	0.059	307	1
3_MACS_peak_2480_lociStitched	chr1	207093374	207107015	3	7976	28819.3407	3448.4448	308	FAIM3,PIGR	IL24,FCAMR	FAIM3	FAIM3	0.8372999999999999	308	1
1_MACS_peak_18543_lociStitched	chr3	14160504	14168346	1	7843	26927.0754	1667.2092	309	TMEM43,CHCHD4		CHCHD4	CHCHD4	1.0896000000000001	309	1
1_MACS_peak_22658_lociStitched	chr5	131434677	131441725	1	7049	26843.7176	1585.8	310		IL3,CSF2	CSF2	CSF2	0.05499999999999999	310	1
1_MACS_peak_3014_lociStitched	chr10	3824185	3828982	1	4798	26064.0198	819.3276	311	KLF6		KLF6	KLF6	1.3101	311	1
1_MACS_peak_22382_lociStitched	chr5	90674671	90680949	1	6279	26547.7786	1339.7252	312	LOC100129716,ARRDC3		ARRDC3	ARRDC3	1.0159	312	1
2_MACS_peak_26084_lociStitched	chr7	106503891	106513667	2	8860	27833.2496	2641.4752	313	PIK3CG		PIK3CG	PIK3CG	0.566	313	1
2_MACS_peak_17289_lociStitched	chr20	56047525	56058219	2	9337	27052.6118	1870.3806	314		CTCFL	CTCFL	CTCFL	0.035100000000000006	314	1
1_MACS_peak_16257_lociStitched	chr2	217080032	217088865	1	8834	26895.6017	1756.8837	315			XRCC5	XRCC5	NONE	315	1
2_MACS_peak_17230_lociStitched	chr20	52267923	52279267	2	10624	26963.5536	1854.744	316			ZNF217	ZNF217	0.6798	316	1
1_MACS_peak_27517_lociStitched	chr8	118450356	118457713	1	7358	26438.8509	1336.0312	317			MED30	MED30	NONE	317	1
4_MACS_peak_24913_lociStitched	chr6	157976439	157999841	4	14732	26996.5472	1947.0464	318	ZDHHC14	MIR3692	MIR3692	NONE	NONE	318	1
2_MACS_peak_27699_lociStitched	chr8	134576771	134585888	2	8819	26501.2956	1460.5434	319	ST3GAL1		ST3GAL1	ST3GAL1	0.3443	319	1
1_MACS_peak_6992_lociStitched	chr12	102870387	102879317	1	8931	26649.799	1652.943	320	IGF1		IGF1	IGF1	0.2633	320	1
2_MACS_peak_1902_lociStitched	chr1	161007722	161017718	2	5591	27635.9412	2646.9408	321	TSTD1,USF1,ARHGAP30	F11R,PVRL4	USF1	USF1	1.4805	321	1
3_MACS_peak_25475_lociStitched	chr7	44661749	44680203	3	14157	28247.5378	3277.4304	322	OGDH	DDX56,TMED4	OGDH	TMED4	0.38770000000000004	322	1
4_MACS_peak_5128_lociStitched	chr11	67644685	67661842	4	10948	27886.9878	2952.7197	323			LOC645332	LOC645332	NONE	323	1
2_MACS_peak_10866_lociStitched	chr16	89033361	89046317	2	8974	26102.4532	1280.0528	324	CBFA2T3	CBFA2T3	CBFA2T3	CBFA2T3	0.2239	324	1
2_MACS_peak_7961_lociStitched	chr13	115039731	115048679	2	7809	26177.374	1411.0996	325	UPF3A	CDC16,ZNF828	UPF3A	UPF3A	0.7111999999999999	325	1
