REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X33_0EX9_0229Kronos_MM1S.No.Treatment.1_p300_hs_i49.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
2_MACS_peak_5279_lociStitched	chr2	20406444	20414528	2	4912	6435.6724	1991.8976	173	SDC1		SDC1	SDC1	0.16730000000000003	173	1
1_MACS_peak_9483_lociStitched	chr6	90007072	90009477	1	2406	5245.786	810.485	174	GABRR2		GABRR2	GABRR2	0.0509	174	1
2_MACS_peak_6491_lociStitched	chr20	61277971	61284085	2	3163	5841.927	1407.4428	175	SLCO4A1	LOC100127888	SLCO4A1	SLCO4A1	0.1217	175	1
1_MACS_peak_7515_lociStitched	chr3	156534250	156536345	1	2096	5134.007	735.1355	176		LEKR1,PA2G4P4	PA2G4P4	PA2G4P4	0.025599999999999984	176	1
1_MACS_peak_6851_lociStitched	chr22	39841911	39844436	1	2526	5109.8425	725.685	177		TAB1,MGAT3	MGAT3	TAB1	0.021800000000000014	177	1
2_MACS_peak_8317_lociStitched	chr4	185201396	185210391	2	6211	6696.7775	2314.4135	178			ENPP6	NONE	NONE	178	1
2_MACS_peak_11320_lociStitched	chr9	117210619	117215819	2	3195	5814.12	1436.24	179	DFNB31		DFNB31	DFNB31	0.06790000000000002	179	1
2_MACS_peak_883_lociStitched	chr1	203267605	203276486	2	5456	7195.3862	2828.5985	180	BTG2,LOC730227	FMOD	LOC730227	LOC730227	0.3322	180	1
1_MACS_peak_5353_lociStitched	chr2	37602575	37605167	1	2593	5127.7536	766.4544	181		QPCT	QPCT	QPCT	0.3082	181	1
2_MACS_peak_817_lociStitched	chr1	192507245	192514993	2	3716	6698.9208	2342.9952	182		RGS1	RGS1	RGS1	0.3532	182	1
1_MACS_peak_6682_lociStitched	chr21	44581907	44586511	1	4605	6376.54	2022.0768	183		CRYAA	CRYAA	CRYAA	0.2302	183	1
1_MACS_peak_8681_lociStitched	chr5	88566176	88568767	1	2592	5215.683	885.6038	184			MEF2C	MEF2C	0.06790000000000002	184	1
2_MACS_peak_6909_lociStitched	chr22	49228060	49230907	2	2075	4946.3778	620.646	185			FAM19A5	FAM19A5	NONE	185	1
2_MACS_peak_4138_lociStitched	chr17	6064099	6070628	2	3485	5865.6536	1544.1085	186			WSCD1	WSCD1	NONE	186	1
2_MACS_peak_6525_lociStitched	chr21	19152289	19157810	2	3711	5778.2786	1460.3045	187		C21orf91	C21orf91	C21orf91	0.09739999999999999	187	1
1_MACS_peak_4090_lociStitched	chr16	90060927	90062837	1	1911	4575.787	259.378	188	AFG3L1P	DEF8,GAS8,CENPBD1,DBNDD1,C16orf3	DBNDD1	CENPBD1	0.03270000000000001	188	1
3_MACS_peak_10183_lociStitched	chr7	104596725	104603987	3	3603	6015.8408	1700.0342	189		LOC723809	LOC723809	LOC723809	0.0388	189	1
3_MACS_peak_2020_lociStitched	chr11	71414505	71426498	3	5724	7493.2264	3180.5436	190			FAM86C	FAM86C	NONE	190	1
2_MACS_peak_10277_lociStitched	chr7	122824035	122832263	2	3773	6416.1944	2111.3048	191	SLC13A1		SLC13A1	SLC13A1	0.0592	191	1
2_MACS_peak_9551_lociStitched	chr6	108992076	108995412	2	3079	4987.6536	708.2328	192	FOXO3		NCRNA00222	NCRNA00222	NONE	192	1
1_MACS_peak_1170_lociStitched	chr10	3915492	3918409	1	2918	5093.6654	815.3015	193			KLF6	KLF6	0.11959999999999998	193	1
1_MACS_peak_6699_lociStitched	chr21	45573201	45576348	1	3148	5495.2914	1238.9739	194		PWP2,C21orf33	C21orf33	C21orf33	0.12780000000000002	194	1
1_MACS_peak_6752_lociStitched	chr22	24185755	24190961	1	5207	6030.1098	1774.2048	195		SLC2A11,MIF,DERL3	DERL3	DERL3	0.0764	195	1
2_MACS_peak_4783_lociStitched	chr18	52931188	52936628	2	2896	5448.16	1194.624	196	TCF4		CCDC68	CCDC68	NONE	196	1
3_MACS_peak_1830_lociStitched	chr11	22689380	22697170	3	3673	5664.109	1410.769	197	GAS2	FANCF	GAS2	FANCF	0.06349999999999997	197	1
1_MACS_peak_464_lociStitched	chr1	143742537	143746041	1	3505	5428.0464	1200.12	198	LOC100286793,FLJ39739	PPIAL4G	FLJ39739	FLJ39739	0.03999999999999998	198	1
1_MACS_peak_5571_lociStitched	chr2	86262721	86266382	1	3662	5494.4288	1272.1975	199	POLR1A	LOC90784	LOC90784	NONE	NONE	199	1
2_MACS_peak_5983_lociStitched	chr2	197040342	197043113	2	2647	5096.7003	884.2261	200		STK17B	STK17B	STK17B	0.1459	200	1
1_MACS_peak_3399_lociStitched	chr15	34894863	34896167	1	1305	4446.5096	250.1072	201		GOLGA8B	GOLGA8B	NONE	NONE	201	1
2_MACS_peak_6673_lociStitched	chr21	43647766	43655831	2	4706	6808.473	2627.577	202	ABCG1		ABCG1	ABCG1	0.0464	202	1
1_MACS_peak_2033_lociStitched	chr11	72959721	72961602	1	1882	4702.3119	544.1733	203		P2RY2,P2RY6	P2RY6	P2RY6	0.026400000000000007	203	1
1_MACS_peak_10587_lociStitched	chr8	37738023	37740234	1	2212	4863.0945	705.9723	204	RAB11FIP1	BRF2	RAB11FIP1	RAB11FIP1	0.1868	204	1
2_MACS_peak_5488_lociStitched	chr2	65159033	65167360	2	5290	6520.041	2371.5296	205	LOC400958	SLC1A4	LOC400958	LOC400958	0.10629999999999998	205	1
2_MACS_peak_10659_lociStitched	chr8	60963681	60970132	2	2406	5251.114	1108.9269	206			CA8	CA8	NONE	206	1
2_MACS_peak_11203_lociStitched	chr9	93909815	93914257	2	3019	5026.123	884.8464	207			LOC100129316	NONE	NONE	207	1
3_MACS_peak_7432_lociStitched	chr3	133193611	133199932	3	4696	6065.6316	1943.7075	208	BFSP2		BFSP2	BFSP2	0.08939999999999998	208	1
2_MACS_peak_1676_lociStitched	chr10	125157023	125162947	2	2864	5470.814	1348.8948	209			BUB3	BUB3	NONE	209	1
1_MACS_peak_4736_lociStitched	chr18	42338179	42340510	1	2332	4795.3332	676.9224	210	SETBP1		SETBP1	SETBP1	0.05890000000000001	210	1
1_MACS_peak_11121_lociStitched	chr9	71267513	71268870	1	1358	4486.3777	368.9683	211			PIP5K1B	PIP5K1B	NONE	211	1
2_MACS_peak_5082_lociStitched	chr19	39888171	39895568	2	4502	5770.3997	1666.5441	212	MED29	ZFP36,PLEKHG2,SUPT5H,PAF1,RPS16	ZFP36	ZFP36	0.39209999999999995	212	1
1_MACS_peak_2249_lociStitched	chr11	129286721	129288713	1	1993	4555.5048	452.3832	213	BARX2		BARX2	BARX2	0.0766	213	1
1_MACS_peak_1719_lociStitched	chr11	267477	270317	1	2841	4903.828	806.56	214		PSMD13,NLRP6,ATHL1,IFITM2,IFITM1,SIRT3,IFITM5	NLRP6	IFITM2	0.024800000000000003	214	1
2_MACS_peak_8406_lociStitched	chr5	6480322	6486154	2	4628	5728.7736	1637.6256	215	UBE2QL1		UBE2QL1	UBE2QL1	0.11680000000000001	215	1
3_MACS_peak_4906_lociStitched	chr19	2620229	2632090	3	5436	7620.6925	3534.578	216	GNG7		GNG7	GNG7	0.10019999999999998	216	1
1_MACS_peak_2032_lociStitched	chr11	72863244	72865963	1	2720	4907.5231	824.9446	217		FCHSD2	FCHSD2	NONE	NONE	217	1
1_MACS_peak_10198_lociStitched	chr7	105985610	105988402	1	2793	4979.8112	898.7448	218			NAMPT	NAMPT	NONE	218	1
2_MACS_peak_5014_lociStitched	chr19	16476957	16483499	2	3438	5492.6632	1420.9224	219	EPS15L1	KLF2	KLF2	KLF2	0.22979999999999998	219	1
3_MACS_peak_3575_lociStitched	chr15	70047398	70053959	3	3853	5772.3678	1706.5161	220			C15orf50	C15orf50	NONE	220	1
2_MACS_peak_6461_lociStitched	chr20	55967303	55974157	2	3342	5596.291	1532.5544	221	RBM38	RAE1,MTRNR2L3	RBM38	RBM38	0.18180000000000002	221	1
1_MACS_peak_523_lociStitched	chr1	149222203	149225512	1	3310	6822.1653	2763.015	222			LOC388692	LOC388692	NONE	222	1
1_MACS_peak_2975_lociStitched	chr13	78690293	78692956	1	2664	4806.4487	756.8246	223			EDNRB	EDNRB	NONE	223	1
2_MACS_peak_10117_lociStitched	chr7	92438401	92443636	2	2704	5343.888	1309.797	224	CDK6		CDK6	CDK6	0.05150000000000002	224	1
3_MACS_peak_7676_lociStitched	chr3	186711502	186719230	3	6345	7124.4432	3095.8368	225	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	0.05989999999999998	225	1
2_MACS_peak_10002_lociStitched	chr7	52776002	52780396	2	2579	4956.432	928.4522	226			POM121L12	POM121L12	NONE	226	1
2_MACS_peak_548_lociStitched	chr1	150583351	150586812	2	3057	5129.202	1103.3668	227		MCL1,ENSA	ENSA	MCL1	0.1466	227	1
2_MACS_peak_10990_lociStitched	chr9	9606426	9613152	2	2442	5410.3944	1392.282	228	PTPRD		PTPRD	PTPRD	0.0022000000000000075	228	1
2_MACS_peak_10325_lociStitched	chr7	134677264	134681670	2	3043	5398.2312	1383.9246	229	AGBL3		AGBL3	AGBL3	0.02300000000000002	229	1
2_MACS_peak_1637_lociStitched	chr10	112217543	112221918	2	4250	5184.375	1176.875	230		DUSP5	DUSP5	DUSP5	0.1427	230	1
1_MACS_peak_4411_lociStitched	chr17	56697599	56699478	1	1880	4605.429	604.4743	231	TEX14		TEX14	TEX14	0.0456	231	1
1_MACS_peak_5060_lociStitched	chr19	29122584	29125194	1	2611	4717.053	719.838	232			LOC148145	LOC148145	NONE	232	1
3_MACS_peak_2752_lociStitched	chr12	102872111	102878693	3	5221	5492.0208	1504.6452	233	IGF1		IGF1	IGF1	0.04619999999999999	233	1
3_MACS_peak_7413_lociStitched	chr3	129027298	129033642	3	4252	6033.144	2060.5312	234	H1FX	C3orf37,C3orf47	C3orf47	C3orf37	0.15139999999999998	234	1
3_MACS_peak_2700_lociStitched	chr12	92855351	92865881	3	3876	6137.937	2195.505	235		CLLU1,CLLU1OS	CLLU1OS	CLLU1	9.999999999998899e-05	235	1
2_MACS_peak_582_lociStitched	chr1	154757114	154765501	2	4006	6639.9879	2702.2914	236	KCNN3		KCNN3	KCNN3	0.03160000000000002	236	1
4_MACS_peak_4537_lociStitched	chr17	76713591	76725667	4	5916	6458.2448	2522.6764	237	CYTH1		CYTH1	CYTH1	0.12109999999999999	237	1
2_MACS_peak_10360_lociStitched	chr7	141016487	141020938	2	2447	5310.043	1391.8277	238	LOC100131199		AGK	AGK	0.019700000000000023	238	1
2_MACS_peak_11340_lociStitched	chr9	123654139	123660136	2	2863	5127.435	1211.9937	239		LOC253039,PSMD5,PHF19,TRAF1	PHF19	PHF19	0.040699999999999986	239	1
3_MACS_peak_6872_lociStitched	chr22	42928898	42936047	3	3638	6251.8005	2342.0124	240		SERHL,SERHL2,RRP7A,RRP7B	RRP7A	SERHL2	0.020699999999999996	240	1
2_MACS_peak_10861_lociStitched	chr8	126781137	126784600	2	2019	4561.1173	651.3903	241			TRIB1	TRIB1	0.20370000000000002	241	1
1_MACS_peak_6670_lociStitched	chr21	43480988	43485274	1	4287	6144.8382	2243.721	242	UMODL1	C21orf121,UMODL1,C21orf128	UMODL1	UMODL1	0.06410000000000002	242	1
3_MACS_peak_4899_lociStitched	chr19	2468852	2479766	3	5797	6366.1362	2479.6608	243	GADD45B	TIMM13,LMNB2	GADD45B	GADD45B	0.24689999999999998	243	1
1_MACS_peak_7127_lociStitched	chr3	46579334	46581716	1	2383	4779.0066	908.2566	244	LRRC2	RTP3,TDGF1	LRRC2	LRRC2	0.08530000000000001	244	1
5_MACS_peak_9215_lociStitched	chr6	26020488	26034306	5	6229	6364.5708	2499.6762	245	HIST1H3A,HIST1H4A,HIST1H4B,HIST1H3B,HIST1H2AB	HIST1H3C,HIST1H1A,HIST1H2BB,HIST1H1C	HIST1H4B	HIST1H4B	0.2164	245	1
2_MACS_peak_3684_lociStitched	chr15	89655012	89660374	2	3454	5462.8056	1602.7018	246	ABHD2		ABHD2	ABHD2	0.056999999999999995	246	1
2_MACS_peak_5875_lociStitched	chr2	166004047	166006843	2	2247	4373.5032	532.0788	247	SCN3A		SCN3A	SCN3A	0.03900000000000001	247	1
2_MACS_peak_1447_lociStitched	chr10	72335506	72338948	2	2755	4798.148	958.2528	248		PRF1	PRF1	PRF1	0.0015000000000000013	248	1
1_MACS_peak_3080_lociStitched	chr14	23024419	23025999	1	1581	4086.354	252.642	249		ABHD4,DAD1	DAD1	ABHD4	0.04390000000000001	249	1
2_MACS_peak_2308_lociStitched	chr12	7061939	7069180	2	2908	5448.8525	1618.3635	250	PTPN6	LRRC23,ENO2,ATN1,C12orf57,MIR200C,MIR141,EMG1,SCARNA12,PHB2	PTPN6	PTPN6	0.2746	250	1
2_MACS_peak_822_lociStitched	chr1	192573689	192579140	2	2587	5446.6392	1623.8529	251		RGS1,RGS13	RGS13	RGS1	0.3532	251	1
1_MACS_peak_9546_lociStitched	chr6	108917956	108920441	1	2486	4208.8445	386.9145	252	FOXO3		FOXO3	FOXO3	0.184	252	1
1_MACS_peak_1634_lociStitched	chr10	112155006	112156450	1	1445	4297.344	486.7724	253			SMNDC1	SMNDC1	0.043	253	1
1_MACS_peak_8349_lociStitched	chr4	186508024	186509643	1	1620	4384.7377	574.9069	254	SORBS2		PDLIM3	PDLIM3	NONE	254	1
1_MACS_peak_1980_lociStitched	chr11	65263911	65267008	1	3098	4681.7349	873.354	255	MALAT1	SCYL1	MALAT1	MALAT1	0.4159	255	1
1_MACS_peak_745_lociStitched	chr1	179049606	179053270	1	3665	5058.8848	1252.3552	256	TOR3A		TOR3A	TOR3A	0.16459999999999997	256	1
1_MACS_peak_1087_lociStitched	chr1	234907146	234909480	1	2335	4545.465	739.4112	257			NCRNA00184	NONE	NONE	257	1
1_MACS_peak_4200_lociStitched	chr17	19208259	19210691	1	2433	4436.6976	631.5904	258	EPN2	MIR1180	MIR1180	MIR1180	0.01870000000000001	258	1
3_MACS_peak_6832_lociStitched	chr22	38782656	38791803	3	4341	5531.1909	1730.6124	259	LOC400927	KCNJ4	LOC400927	LOC400927	0.08600000000000002	259	1
1_MACS_peak_3515_lociStitched	chr15	56662672	56664593	1	1922	4207.1821	407.4441	260	TEX9		TEX9	TEX9	0.07070000000000001	260	1
1_MACS_peak_10562_lociStitched	chr8	29630536	29633469	1	2934	4852.0619	1052.6537	261		C8orf75	C8orf75	C8orf75	0.06190000000000001	261	1
1_MACS_peak_2618_lociStitched	chr12	68767350	68769135	1	1786	4387.173	598.8675	262		MDM1	MDM1	NONE	NONE	262	1
1_MACS_peak_7014_lociStitched	chr3	23202988	23205065	1	2078	4472.1964	691.2256	263		UBE2E2	UBE2E2	UBE2E2	0.001899999999999999	263	1
2_MACS_peak_3069_lociStitched	chr13	115024779	115029888	2	3754	4956.7518	1199.5932	264	CDC16	UPF3A	UPF3A	UPF3A	0.08839999999999998	264	1
1_MACS_peak_6127_lociStitched	chr2	228275272	228277164	1	1893	4186.6176	433.268	265		TM4SF20	TM4SF20	NONE	NONE	265	1
1_MACS_peak_8685_lociStitched	chr5	88637575	88640393	1	2819	4544.025	805.948	266			MEF2C	MEF2C	0.06790000000000002	266	1
1_MACS_peak_10187_lociStitched	chr7	104651820	104655724	1	3905	4926.848	1193.4528	267	MLL5,LOC100216545		LOC100216545	LOC100216545	0.34130000000000005	267	1
2_MACS_peak_7729_lociStitched	chr3	197456612	197464682	2	4731	6272.811	2549.313	268	KIAA0226	FYTTD1	KIAA0226	KIAA0226	0.09840000000000002	268	1
3_MACS_peak_3325_lociStitched	chr15	23661011	23668903	3	3519	5299.478	1576.8216	269			MKRN3	MKRN3	NONE	269	1
1_MACS_peak_6841_lociStitched	chr22	39379902	39381868	1	1967	4152.5852	430.554	270	APOBEC3B,APOBEC3A	APOBEC3C,APOBEC3D	APOBEC3B	APOBEC3B	0.20719999999999997	270	1
3_MACS_peak_920_lociStitched	chr1	206729899	206737461	3	5229	6429.9686	2722.32	271	RASSF5	LGTN	RASSF5	RASSF5	0.052800000000000014	271	1
2_MACS_peak_5337_lociStitched	chr2	33718830	33723004	2	2847	4774.2212	1079.8138	272	RASGRP3	RASGRP3	RASGRP3	RASGRP3	0.06790000000000002	272	1
1_MACS_peak_8065_lociStitched	chr4	100767713	100769439	1	1727	4105.6362	419.5906	273	DAPP1	MAPKSP1	DAPP1	DAPP1	0.1439	273	1
3_MACS_peak_8927_lociStitched	chr5	148205375	148214859	3	4963	5909.4804	2233.482	274	ADRB2		ADRB2	ADRB2	0.2307	274	1
1_MACS_peak_10426_lociStitched	chr7	156714967	156716743	1	1777	4137.7248	470.9952	275		NOM1,LMBR1	NOM1	LMBR1	0.004799999999999999	275	1
1_MACS_peak_1529_lociStitched	chr10	90144532	90146765	1	2234	4274.6319	610.2789	276	RNLS		RNLS	RNLS	0.026999999999999996	276	1
1_MACS_peak_5373_lociStitched	chr2	39718614	39720316	1	1703	4121.0526	462.7738	277			MAP4K3	MAP4K3	NONE	277	1
2_MACS_peak_8003_lociStitched	chr4	82412567	82415823	2	2213	4449.324	797.72	278		RASGEF1B	RASGEF1B	RASGEF1B	0.02579999999999999	278	1
2_MACS_peak_7940_lociStitched	chr4	71543173	71548191	2	3305	4623.0834	971.4848	279		ENAM,UTP3,RUFY3,IGJ	UTP3	IGJ	0.09739999999999999	279	1
1_MACS_peak_1111_lociStitched	chr1	240075383	240078985	1	3603	5034.8756	1390.372	280			RPS7P5	RPS7P5	NONE	280	1
2_MACS_peak_88_lociStitched	chr1	21616931	21622193	2	3967	4794.2082	1152.9042	281	ECE1	ECE1	ECE1	ECE1	0.0165	281	1
1_MACS_peak_6237_lociStitched	chr20	12033480	12035142	1	1663	4056.942	424.3086	282			BTBD3	BTBD3	NONE	282	1
1_MACS_peak_1710_lociStitched	chr10	130855299	130857228	1	1930	4298.9694	667.6269	283			MGMT	MGMT	NONE	283	1
1_MACS_peak_6283_lociStitched	chr20	24127857	24129896	1	2040	4186.8826	556.4431	284			GGTLC1	GGTLC1	NONE	284	1
1_MACS_peak_6358_lociStitched	chr20	40711106	40713048	1	1943	4237.8324	607.6518	285	PTPRT		CHD6	CHD6	NONE	285	1
1_MACS_peak_6675_lociStitched	chr21	43880307	43881857	1	1551	4239.56	616.125	286		SLC37A1,RSPH1	RSPH1	SLC37A1	0.033	286	1
2_MACS_peak_10422_lociStitched	chr7	155533158	155539671	2	3364	5226.0312	1617.8292	287	RBM33		SHH	SHH	NONE	287	1
1_MACS_peak_74_lociStitched	chr1	17065568	17068857	1	3290	5483.4208	1880.3213	288		ESPNP,MST1P9	ESPNP	NONE	NONE	288	1
3_MACS_peak_6465_lociStitched	chr20	56048016	56056954	3	4564	5706.0192	2106.6866	289		CTCFL	CTCFL	CTCFL	0.04609999999999999	289	1
2_MACS_peak_3695_lociStitched	chr15	90639453	90645725	2	4623	5540.0576	1942.4384	290	IDH2		IDH2	IDH2	0.16740000000000002	290	1
1_MACS_peak_75_lociStitched	chr1	17221245	17224586	1	3342	5213.6305	1640.0969	291		CROCC	CROCC	NONE	NONE	291	1
3_MACS_peak_3650_lociStitched	chr15	81585806	81595524	3	4420	6166.071	2598.5932	292	IL16	STARD5	IL16	STARD5	0.05159999999999998	292	1
2_MACS_peak_1193_lociStitched	chr10	8173111	8175783	2	2146	4104.4592	546.6912	293			GATA3	GATA3	NONE	293	1
1_MACS_peak_9659_lociStitched	chr6	135907604	135908802	1	1199	3962.8642	405.523	294	NCRNA00271		NCRNA00271	NCRNA00271	0.019599999999999992	294	1
1_MACS_peak_8007_lociStitched	chr4	82482786	82484190	1	1405	3947.9076	394.6644	295			RASGEF1B	RASGEF1B	0.02579999999999999	295	1
2_MACS_peak_1827_lociStitched	chr11	21432469	21435691	2	2569	4316.1912	775.2132	296	NELL1		NELL1	NELL1	0.0014000000000000123	296	1
1_MACS_peak_10469_lociStitched	chr8	10822436	10825151	1	2716	4437.939	901.1085	297	XKR6		MIR598	MIR598	NONE	297	1
2_MACS_peak_6945_lociStitched	chr3	5235984	5241782	2	4790	4971.2052	1435.005	298	EDEM1		EDEM1	EDEM1	0.20679999999999998	298	1
3_MACS_peak_2183_lociStitched	chr11	118738904	118743875	3	3883	4586.7417	1067.7708	299		CXCR5,BCL9L	CXCR5	BCL9L	0.038199999999999984	299	1
4_MACS_peak_4178_lociStitched	chr17	16872538	16883061	4	5019	5741.3488	2225.6145	300	TNFRSF13B		TNFRSF13B	TNFRSF13B	0.11240000000000003	300	1
1_MACS_peak_9677_lociStitched	chr6	138270536	138272829	1	2294	4107.2216	596.8679	301			TNFAIP3	TNFAIP3	NONE	301	1
1_MACS_peak_3279_lociStitched	chr14	106040321	106043019	1	2699	4049.1584	540.1396	302		TMEM121	TMEM121	NONE	NONE	302	1
2_MACS_peak_2712_lociStitched	chr12	94598487	94602939	2	3534	4576.656	1084.5072	303	PLXNC1		PLXNC1	PLXNC1	0.055499999999999994	303	1
1_MACS_peak_2012_lociStitched	chr11	69064112	69066616	1	2505	4076.7624	585.6856	304	MYEOV		MYEOV	MYEOV	0.31999999999999995	304	1
2_MACS_peak_11128_lociStitched	chr9	73028414	73036403	2	4548	5002.7118	1515.5133	305	KLF9		KLF9	KLF9	0.07629999999999999	305	1
1_MACS_peak_4322_lociStitched	chr17	40729622	40731661	1	2040	4114.0903	629.8471	306	PSMC3IP,FAM134C	NAGLU,HSD17B1,COASY,MLX,TUBG1	PSMC3IP	PSMC3IP	0.23099999999999998	306	1
3_MACS_peak_11210_lociStitched	chr9	94181308	94192336	3	4503	5935.2696	2455.9356	307	NFIL3		NFIL3	NFIL3	0.13599999999999998	307	1
1_MACS_peak_6902_lociStitched	chr22	48391774	48393054	1	1281	3831.68	354.176	308			MIR3201	MIR3201	NONE	308	1
2_MACS_peak_11337_lociStitched	chr9	123342129	123347053	2	2322	4658.5964	1182.2524	309	CDK5RAP2		CDK5RAP2	NONE	NONE	309	1
2_MACS_peak_8883_lociStitched	chr5	138723838	138729393	2	3674	4975.6135	1500.961	310	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	MZB1	0.3383	310	1
2_MACS_peak_10869_lociStitched	chr8	129669157	129672496	2	3101	4269.5793	796.3515	311			MIR1208	MIR1208	NONE	311	1
4_MACS_peak_1498_lociStitched	chr10	81003351	81015638	4	4389	5986.2264	2515.1489	312	ZMIZ1		PPIF	PPIF	NONE	312	1
1_MACS_peak_9379_lociStitched	chr6	52399933	52402952	1	3020	4304.4902	836.8668	313	TRAM2		TRAM2	TRAM2	0.15109999999999998	313	1
1_MACS_peak_7656_lociStitched	chr3	183242925	183246695	1	3771	4841.057	1374.165	314	KLHL6		KLHL6	KLHL6	0.1461	314	1
1_MACS_peak_7705_lociStitched	chr3	194023581	194025943	1	2363	4351.7488	886.4586	315	LOC100131551	CPN2	LOC100131551	LOC100131551	0.16880000000000003	315	1
1_MACS_peak_1096_lociStitched	chr1	235242149	235243820	1	1672	4075.569	610.5834	316		SNORA14B,TOMM20	SNORA14B	SNORA14B	0.07140000000000002	316	1
1_MACS_peak_5799_lociStitched	chr2	137138778	137140880	1	2103	4114.665	649.7282	317			CXCR4	CXCR4	NONE	317	1
2_MACS_peak_1299_lociStitched	chr10	30990063	30995438	2	3691	4898.775	1438.8875	318			LYZL2	LYZL2	NONE	318	1
2_MACS_peak_6695_lociStitched	chr21	45199065	45204694	2	3865	5527.1151	2067.5317	319		RRP1,CSTB,LOC284837	CSTB	CSTB	0.17629999999999998	319	1
2_MACS_peak_7274_lociStitched	chr3	98488505	98495130	2	3013	4872.6875	1419.7375	320	ST3GAL6		ST3GAL6	ST3GAL6	0.09590000000000001	320	1
2_MACS_peak_9538_lociStitched	chr6	106610762	106616085	2	4018	5244.7519	1796.5125	321			PRDM1	PRDM1	0.21380000000000002	321	1
2_MACS_peak_7611_lociStitched	chr3	176914536	176920241	2	5683	5155.038	1709.218	322	TBL1XR1		TBL1XR1	TBL1XR1	0.06810000000000002	322	1
1_MACS_peak_3800_lociStitched	chr16	11057674	11060195	1	2522	4370.9098	932.77	323	CLEC16A	DEXI	CLEC16A	CLEC16A	0.0050000000000000044	323	1
2_MACS_peak_10589_lociStitched	chr8	37755964	37761907	2	3074	4654.5576	1216.5321	324	RAB11FIP1	BRF2,GOT1L1	RAB11FIP1	RAB11FIP1	0.1868	324	1
2_MACS_peak_7395_lociStitched	chr3	125554001	125560043	2	3502	5190.078	1752.7842	325		MIR548I1	MIR548I1	NONE	NONE	325	1
2_MACS_peak_9917_lociStitched	chr7	35764506	35770895	2	3615	5291.3698	1858.5601	326		HERPUD2	HERPUD2	HERPUD2	0.017199999999999993	326	1
2_MACS_peak_482_lociStitched	chr1	145153591	145160506	2	3478	6319.6185	2897.385	327		NOTCH2NL	NOTCH2NL	NOTCH2NL	0.03149999999999997	327	1
2_MACS_peak_3285_lociStitched	chr14	106323907	106328993	2	2325	4222.9058	805.1138	328			KIAA0125	KIAA0125	NONE	328	1
2_MACS_peak_7448_lociStitched	chr3	140472645	140476104	2	2304	4434.0921	1025.9394	329			TRIM42	TRIM42	NONE	329	1
2_MACS_peak_8573_lociStitched	chr5	58853285	58859629	2	2214	4704.076	1305.5952	330	PDE4D		PDE4D	PDE4D	0.011399999999999993	330	1
2_MACS_peak_5822_lociStitched	chr2	150986132	150990743	2	1969	4154.0499	769.5759	331			RND3	RND3	NONE	331	1
3_MACS_peak_7854_lociStitched	chr4	38307722	38315418	3	3305	5321.784	1939.392	332			PTTG2	PTTG2	NONE	332	1
2_MACS_peak_11397_lociStitched	chr9	132769454	132773520	2	2365	4190.013	810.7604	333	FNBP1	GPR107	FNBP1	FNBP1	0.0657	333	1
2_MACS_peak_8858_lociStitched	chr5	131856098	131861750	2	2622	4417.038	1043.3592	334		RAD50,IRF1,IL5	IL5	IRF1	0.10349999999999998	334	1
2_MACS_peak_9025_lociStitched	chr5	172191776	172199996	2	3776	5214.768	1841.28	335	DUSP1		DUSP1	DUSP1	0.2669	335	1
1_MACS_peak_7735_lociStitched	chr4	50648	52635	1	1988	4509.2978	1139.9419	336		ZNF595,ZNF718	ZNF595	ZNF595	0.07669999999999999	336	1
1_MACS_peak_9478_lociStitched	chr6	88634662	88636474	1	1813	3857.5668	490.5084	337			SPACA1	SPACA1	NONE	337	1
1_MACS_peak_5336_lociStitched	chr2	33700492	33703898	1	3407	4529.2988	1162.8084	338	RASGRP3	RASGRP3	RASGRP3	RASGRP3	0.06790000000000002	338	1
2_MACS_peak_7411_lociStitched	chr3	128997163	129002354	2	3669	4508.9026	1143.0582	339	C3orf37	COPG,C3orf47,H1FX	C3orf37	H1FX	0.3688	339	1
2_MACS_peak_3669_lociStitched	chr15	85951018	85957296	2	2327	4687.1548	1325.2858	340	AKAP13		AKAP13	AKAP13	0.01870000000000001	340	1
2_MACS_peak_5966_lociStitched	chr2	192540143	192544559	2	4101	4353.7344	1001.1072	341	OBFC2A		OBFC2A	OBFC2A	0.2127	341	1
3_MACS_peak_2507_lociStitched	chr12	46608414	46612459	3	3400	4342.712	990.216	342	SLC38A1		SLC38A1	SLC38A1	0.049500000000000016	342	1
1_MACS_peak_73_lociStitched	chr1	16991559	16994856	1	3298	5107.3827	1755.3228	343		MST1P2,CROCCP2	MST1P2	NONE	NONE	343	1
2_MACS_peak_1977_lociStitched	chr11	65238835	65245595	2	3344	4854.356	1502.748	344		NEAT1,MIR612,MALAT1,SCYL1	MALAT1	NEAT1	0.5257000000000001	344	1
