REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X33_0EX9_0229Kronos_MM1S.No.Treatment.1_p300_hs_i49.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
2_MACS_peak_1639_lociStitched	chr10	112259760	112264268	2	3864	3406.6956	1378.5464	194	DUSP5		DUSP5	194	1
2_MACS_peak_449_lociStitched	chr1	120833135	120838401	2	3863	2395.5034	1437.0914	195		FAM72B	FAM72B	195	1
2_MACS_peak_3283_lociStitched	chr14	106161709	106168051	2	3859	5873.9604	882.8064	196			TMEM121	196	1
1_MACS_peak_4335_lociStitched	chr17	43303236	43307089	1	3854	3931.6012	1090.0137	197	FMNL1	LOC100133991,C17orf46	FMNL1	197	1
3_MACS_peak_3575_lociStitched	chr15	70047398	70053959	3	3853	5772.3678	1706.5161	198			C15orf50	198	1
1_MACS_peak_4143_lociStitched	chr17	6915347	6919196	1	3850	2892.9084	1058.475	199	RNASEK,C17orf49	ALOX12,BCL6B,SLC16A13,MIR195,MIR497,SLC16A11	C17orf49	199	1
1_MACS_peak_2156_lociStitched	chr11	115091959	115095788	1	3830	7614.3494	1200.3915	200	CADM1		CADM1	200	1
2_MACS_peak_8700_lociStitched	chr5	90675089	90679954	2	3829	4007.3005	1192.898	201	LOC100129716,ARRDC3		LOC100129716	201	1
1_MACS_peak_7679_lociStitched	chr3	186781129	186784953	1	3825	4518.056	1570.5168	202	ST6GAL1		ST6GAL1	202	1
2_MACS_peak_5234_lociStitched	chr2	10260226	10265288	2	3801	3271.0644	1361.1718	203	RRM2	C2orf48,CYS1	RRM2	203	1
1_MACS_peak_4659_lociStitched	chr18	13610420	13614217	1	3798	6419.9676	843.6934	204	C18orf1	C18orf1	C18orf1	204	1
3_MACS_peak_1162_lociStitched	chr10	3799273	3807871	3	3794	3661.8882	1600.9476	205		KLF6	KLF6	205	1
2_MACS_peak_589_lociStitched	chr1	154926807	154935023	2	3791	5319.0384	2577.3592	206	PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B,PMVK	PBXIP1	206	1
2_MACS_peak_480_lociStitched	chr1	145138504	145145259	2	3778	4590.698	2520.966	207		SEC22B	SEC22B	207	1
2_MACS_peak_9025_lociStitched	chr5	172191776	172199996	2	3776	5214.768	1841.28	208	DUSP1		DUSP1	208	1
3_MACS_peak_10337_lociStitched	chr7	137665727	137673384	3	3775	5379.8082	2335.385	209	CREB3L2		CREB3L2	209	1
2_MACS_peak_10277_lociStitched	chr7	122824035	122832263	2	3773	6416.1944	2111.3048	210	SLC13A1		SLC13A1	210	1
1_MACS_peak_7656_lociStitched	chr3	183242925	183246695	1	3771	4841.057	1374.165	211	KLHL6		KLHL6	211	1
1_MACS_peak_8323_lociStitched	chr4	185303111	185306880	1	3770	6295.3607	1079.4416	212			IRF2	212	1
2_MACS_peak_820_lociStitched	chr1	192544148	192550318	2	3766	7257.771	2322.388	213	RGS1		RGS1	213	1
3_MACS_peak_1167_lociStitched	chr10	3847073	3854262	3	3766	6200.5125	1446.4268	214		KLF6	KLF6	214	1
1_MACS_peak_7316_lociStitched	chr3	108788678	108792442	1	3765	3164.3948	906.7476	215	MORC1		MORC1	215	1
2_MACS_peak_4256_lociStitched	chr17	34427647	34431941	2	3765	4442.143	1255.995	216	CCL4	CCL18,CCL3	CCL4	216	1
2_MACS_peak_3069_lociStitched	chr13	115024779	115029888	2	3754	4956.7518	1199.5932	217	CDC16	UPF3A	UPF3A	217	1
2_MACS_peak_273_lociStitched	chr1	59247818	59251963	2	3751	2767.6165	1037.4935	218	LOC100131060,JUN		JUN	218	1
1_MACS_peak_4198_lociStitched	chr17	19090645	19094388	1	3744	3094.7124	894.577	219		EPN2	EPN2	219	1
2_MACS_peak_6471_lociStitched	chr20	56253294	56257225	2	3743	3465.5696	1031.1013	220	PMEPA1		PMEPA1	220	1
2_MACS_peak_739_lociStitched	chr1	178547233	178551228	2	3732	4243.8885	1459.773	221		C1orf220	C1orf220	221	1
2_MACS_peak_9536_lociStitched	chr6	106588626	106594177	2	3732	4353.6493	1345.0073	222		PRDM1	PRDM1	222	1
1_MACS_peak_4916_lociStitched	chr19	3984662	3988382	1	3721	3055.608	1380.12	223	EEF2	PIAS4,MIR637,DAPK3,SNORD37	EEF2	223	1
2_MACS_peak_817_lociStitched	chr1	192507245	192514993	2	3716	6698.9208	2342.9952	224		RGS1	RGS1	224	1
2_MACS_peak_6525_lociStitched	chr21	19152289	19157810	2	3711	5778.2786	1460.3045	225		C21orf91	C21orf91	225	1
1_MACS_peak_11207_lociStitched	chr9	93953302	93957001	1	3700	6323.8104	934.3674	226			LOC100129316	226	1
3_MACS_peak_7973_lociStitched	chr4	77608841	77619253	3	3694	4977.9772	2440.5728	227	SHROOM3		ANKRD56	227	1
2_MACS_peak_1299_lociStitched	chr10	30990063	30995438	2	3691	4898.775	1438.8875	228			LYZL2	228	1
1_MACS_peak_6469_lociStitched	chr20	56192912	56196595	1	3684	3674.1608	824.6237	229	ZBP1		ZBP1	229	1
2_MACS_peak_8883_lociStitched	chr5	138723838	138729393	2	3674	4975.6135	1500.961	230	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	230	1
3_MACS_peak_1830_lociStitched	chr11	22689380	22697170	3	3673	5664.109	1410.769	231	GAS2	FANCF	GAS2	231	1
3_MACS_peak_4352_lociStitched	chr17	46528482	46537051	3	3672	5301.6403	2290.4937	232		SKAP1	SKAP1	232	1
2_MACS_peak_7411_lociStitched	chr3	128997163	129002354	2	3669	4508.9026	1143.0582	233	C3orf37	COPG,C3orf47,H1FX	C3orf37	233	1
2_MACS_peak_2574_lociStitched	chr12	57077201	57083426	2	3667	3614.8575	1388.175	234	PTGES3	BAZ2A,SNORD59B,SNORD59A,ATP5B,NACA	PTGES3	234	1
1_MACS_peak_745_lociStitched	chr1	179049606	179053270	1	3665	5058.8848	1252.3552	235	TOR3A		TOR3A	235	1
1_MACS_peak_5571_lociStitched	chr2	86262721	86266382	1	3662	5494.4288	1272.1975	236	POLR1A	LOC90784	LOC90784	236	1
1_MACS_peak_8207_lociStitched	chr4	144277366	144281025	1	3660	5915.5053	939.6312	237	GAB1		GAB1	237	1
2_MACS_peak_1952_lociStitched	chr11	62318825	62324913	2	3660	3992.5104	1535.3936	238		AHNAK,EEF1G,TUT1,MTA2	AHNAK	238	1
2_MACS_peak_576_lociStitched	chr1	154387855	154393329	2	3659	3842.748	1819.5576	239	IL6R		IL6R	239	1
3_MACS_peak_7160_lociStitched	chr3	52739392	52745255	3	3659	4337.4474	1411.8104	240	SPCS1,GLT8D1,NEK4	GNL3,SNORD19,SNORD19B,SNORD69,PBRM1,GLT8D1	GLT8D1	240	1
3_MACS_peak_8563_lociStitched	chr5	56467543	56472659	3	3657	3613.9424	1031.8972	241	GPBP1	GPBP1	GPBP1	241	1
3_MACS_peak_8652_lociStitched	chr5	81146946	81151362	3	3643	4012.8192	882.3168	242			SSBP2	242	1
3_MACS_peak_6872_lociStitched	chr22	42928898	42936047	3	3638	6251.8005	2342.0124	243		SERHL,SERHL2,RRP7A,RRP7B	RRP7A	243	1
2_MACS_peak_8583_lociStitched	chr5	61985615	61990164	2	3637	3395.8285	1054.0033	244			LRRC70	244	1
2_MACS_peak_4512_lociStitched	chr17	75205324	75209263	2	3636	3539.9793	1296.7188	245	SEC14L1		SEC14L1	245	1
1_MACS_peak_7114_lociStitched	chr3	46246702	46250336	1	3635	3110.3406	1121.089	246	CCR1	CCR3	CCR1	246	1
3_MACS_peak_1302_lociStitched	chr10	31606903	31611056	3	3631	2295.7784	553.1796	247	ZEB1,LOC220930		ZEB1	247	1
3_MACS_peak_2258_lociStitched	chr11	130670848	130677452	3	3630	4417.4156	1116.7364	248			SNX19	248	1
2_MACS_peak_940_lociStitched	chr1	209276115	209282091	2	3624	7075.584	1894.392	249			LOC642587	249	1
2_MACS_peak_9917_lociStitched	chr7	35764506	35770895	2	3615	5291.3698	1858.5601	250		HERPUD2	HERPUD2	250	1
1_MACS_peak_1111_lociStitched	chr1	240075383	240078985	1	3603	5034.8756	1390.372	251			RPS7P5	251	1
3_MACS_peak_10183_lociStitched	chr7	104596725	104603987	3	3603	6015.8408	1700.0342	252		LOC723809	LOC723809	252	1
3_MACS_peak_9374_lociStitched	chr6	52254372	52263283	3	3596	6421.2666	1917.6472	253	PAQR8	EFHC1	EFHC1	253	1
3_MACS_peak_8415_lociStitched	chr5	7869124	7873932	3	3593	3307.4232	896.2112	254	MTRR,FASTKD3	C5orf49	MTRR	254	1
2_MACS_peak_8330_lociStitched	chr4	185455433	185460337	2	3593	4461.6592	1238.7504	255			IRF2	255	1
2_MACS_peak_3389_lociStitched	chr15	33297623	33301558	2	3590	3024.441	1125.0165	256	FMN1		FMN1	256	1
3_MACS_peak_6310_lociStitched	chr20	31255266	31261790	3	3583	3637.7824	1228.4692	257		C20orf203	C20orf203	257	1
2_MACS_peak_473_lociStitched	chr1	144518648	144522414	2	3577	3022.215	994.6006	258	LOC728875		C1orf152	258	1
1_MACS_peak_1955_lociStitched	chr11	62606606	62610179	1	3574	3824.5392	1234.4715	259	WDR74	SLC3A2,TMEM223,NXF1,STX5,SNORD22,SNORD31,SNORD30,SNORD29,SNORD28,SNORD27,SNORD26,SNORD25,SNHG1	WDR74	259	1
1_MACS_peak_10421_lociStitched	chr7	155088325	155091896	1	3572	2767.525	1323.4126	260	INSIG1		INSIG1	260	1
2_MACS_peak_6489_lociStitched	chr20	60911936	60915998	2	3569	5675.4264	779.4978	261	LAMA5	ADRM1,RPS21	LAMA5	261	1
3_MACS_peak_3168_lociStitched	chr14	69259537	69263636	3	3565	3137.3746	472.2048	262	ZFP36L1,C14orf181		C14orf181	262	1
1_MACS_peak_9071_lociStitched	chr6	290446	294004	1	3559	3895.2984	1560.8946	263	DUSP22		DUSP22	263	1
2_MACS_peak_6400_lociStitched	chr20	46386923	46391495	2	3559	4459.986	1233.5256	264	SULF2		SULF2	264	1
2_MACS_peak_439_lociStitched	chr1	120623180	120631081	2	3553	5288.9294	2915.469	265		NOTCH2	NOTCH2	265	1
3_MACS_peak_7046_lociStitched	chr3	30696442	30703136	3	3552	4328.3404	1472.68	266	TGFBR2		TGFBR2	266	1
3_MACS_peak_1505_lociStitched	chr10	81946880	81956999	3	3546	5170.809	1944.8718	267	ANXA11		ANXA11	267	1
2_MACS_peak_2712_lociStitched	chr12	94598487	94602939	2	3534	4576.656	1084.5072	268	PLXNC1		PLXNC1	268	1
2_MACS_peak_3277_lociStitched	chr14	106026076	106033925	2	3532	4377.3873	1484.2459	269		TMEM121	TMEM121	269	1
2_MACS_peak_10404_lociStitched	chr7	150129922	150133548	2	3530	4499.866	1194.767	270	LOC285972	LOC728743,GIMAP8	LOC285972	270	1
3_MACS_peak_7702_lociStitched	chr3	193848368	193855752	3	3528	7161.0032	1852.6456	271	HES1		HES1	271	1
2_MACS_peak_678_lociStitched	chr1	164685862	164691213	2	3523	4521.0599	1710.1796	272	PBX1		PBX1	272	1
3_MACS_peak_3325_lociStitched	chr15	23661011	23668903	3	3519	5299.478	1576.8216	273			MKRN3	273	1
1_MACS_peak_2321_lociStitched	chr12	9598044	9601556	1	3513	2615.3864	1182.4904	274	DDX12		DDX12	274	1
2_MACS_peak_1082_lociStitched	chr1	234652482	234659922	2	3511	5702.016	2476.776	275		TARBP1	TARBP1	275	1
1_MACS_peak_464_lociStitched	chr1	143742537	143746041	1	3505	5428.0464	1200.12	276	LOC100286793,FLJ39739	PPIAL4G	FLJ39739	276	1
2_MACS_peak_2293_lociStitched	chr12	4378338	4383574	2	3504	3365.7008	1129.9288	277	CCND2	C12orf5	CCND2	277	1
2_MACS_peak_7395_lociStitched	chr3	125554001	125560043	2	3502	5190.078	1752.7842	278		MIR548I1	MIR548I1	278	1
2_MACS_peak_5375_lociStitched	chr2	42328680	42333864	2	3486	4582.1376	1252.4544	279			PKDCC	279	1
2_MACS_peak_4138_lociStitched	chr17	6064099	6070628	2	3485	5865.6536	1544.1085	280			WSCD1	280	1
2_MACS_peak_6652_lociStitched	chr21	41304039	41308187	2	3479	4991.2884	1640.9488	281			PCP4	281	1
2_MACS_peak_482_lociStitched	chr1	145153591	145160506	2	3478	6319.6185	2897.385	282		NOTCH2NL	NOTCH2NL	282	1
3_MACS_peak_4989_lociStitched	chr19	12991912	13002265	3	3469	3512.7729	1787.9631	283	GCDH,DNASE2,KLF1	MAST1,CALR,RTBDN,SYCE2,FARSA	KLF1	283	1
2_MACS_peak_708_lociStitched	chr1	171220173	171227204	2	3466	5071.4603	1764.781	284	FMO1		FMO1	284	1
2_MACS_peak_3679_lociStitched	chr15	89178128	89183959	2	3459	3858.9558	1581.3672	285	ISG20	MIR1179,MIR7-2,AEN	ISG20	285	1
2_MACS_peak_3684_lociStitched	chr15	89655012	89660374	2	3454	5462.8056	1602.7018	286	ABHD2		ABHD2	286	1
2_MACS_peak_592_lociStitched	chr1	154971266	154974855	2	3449	3288.2418	1247.1775	287		CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2	ZBTB7B	287	1
2_MACS_peak_7959_lociStitched	chr4	76024180	76028535	2	3449	4262.2385	1241.175	288			PARM1	288	1
2_MACS_peak_9951_lociStitched	chr7	44672491	44679409	2	3446	5331.0108	2004.8364	289	OGDH		OGDH	289	1
1_MACS_peak_7304_lociStitched	chr3	105085364	105088807	1	3444	2793.3059	846.6337	290	ALCAM		ALCAM	290	1
2_MACS_peak_833_lociStitched	chr1	193506078	193510548	2	3442	3700.713	1252.941	291			B3GALT2	291	1
2_MACS_peak_5014_lociStitched	chr19	16476957	16483499	2	3438	5492.6632	1420.9224	292	EPS15L1	KLF2	KLF2	292	1
2_MACS_peak_3520_lociStitched	chr15	58584825	58590448	2	3433	4020.445	1414.1845	293			LIPC	293	1
2_MACS_peak_7721_lociStitched	chr3	196365739	196370707	2	3429	4206.9024	1518.7176	294	LRRC33		LRRC33	294	1
2_MACS_peak_9265_lociStitched	chr6	31164761	31172466	2	3423	3978.0915	1698.182	295	HCG27	TCF19,CCHCR1,POU5F1,PSORS1C3	HCG27	295	1
2_MACS_peak_1029_lociStitched	chr1	226309090	226316373	2	3422	4796.5838	2421.5975	296			ACBD3	296	1
3_MACS_peak_4806_lociStitched	chr18	56752159	56756792	3	3418	3926.9308	1147.1308	297		LOC390858	LOC390858	297	1
1_MACS_peak_5336_lociStitched	chr2	33700492	33703898	1	3407	4529.2988	1162.8084	298	RASGRP3	RASGRP3	RASGRP3	298	1
3_MACS_peak_9075_lociStitched	chr6	395390	400420	3	3401	3040.132	1238.386	299	IRF4		IRF4	299	1
3_MACS_peak_2507_lociStitched	chr12	46608414	46612459	3	3400	4342.712	990.216	300	SLC38A1		SLC38A1	300	1
3_MACS_peak_6971_lociStitched	chr3	13455361	13463178	3	3395	4092.1995	1360.9397	301	NUP210		NUP210	301	1
2_MACS_peak_2619_lociStitched	chr12	68874559	68882281	2	3394	4300.3818	1746.7164	302			RAP1B	302	1
3_MACS_peak_7115_lociStitched	chr3	46326262	46336397	3	3387	4369.1985	1996.595	303		CCR3	CCR3	303	1
2_MACS_peak_2000_lociStitched	chr11	67647617	67653399	2	3383	4171.713	1648.4482	304			LOC645332	304	1
2_MACS_peak_3717_lociStitched	chr15	93346736	93353777	2	3379	3570.4911	1464.528	305		ASB9P1	ASB9P1	305	1
1_MACS_peak_5296_lociStitched	chr2	25641388	25644764	1	3377	4216.624	1046.8976	306	DTNB		DNMT3A	306	1
1_MACS_peak_6036_lociStitched	chr2	204569545	204572916	1	3372	5989.5928	733.5296	307	CD28		CD28	307	1
2_MACS_peak_7110_lociStitched	chr3	46133333	46140624	2	3367	4063.2743	1715.5723	308			XCR1	308	1
2_MACS_peak_10422_lociStitched	chr7	155533158	155539671	2	3364	5226.0312	1617.8292	309	RBM33		SHH	309	1
1_MACS_peak_8527_lociStitched	chr5	49961384	49964733	1	3350	3169.4936	551.2454	310	PARP8		PARP8	310	1
1_MACS_peak_4937_lociStitched	chr19	6800218	6803562	1	3345	2862.1296	1396.12	311	VAV1	SH2D3A	VAV1	311	1
1_MACS_peak_4182_lociStitched	chr17	16890600	16893944	1	3345	6278.6944	1271.7232	312		TNFRSF13B	TNFRSF13B	312	1
2_MACS_peak_1977_lociStitched	chr11	65238835	65245595	2	3344	4854.356	1502.748	313		NEAT1,MIR612,MALAT1,SCYL1	MALAT1	313	1
2_MACS_peak_9853_lociStitched	chr7	22484017	22487997	2	3343	3784.184	987.04	314	MGC87042		MGC87042	314	1
2_MACS_peak_2408_lociStitched	chr12	26266430	26271168	2	3343	4237.1934	1154.1768	315		BHLHE41	BHLHE41	315	1
1_MACS_peak_75_lociStitched	chr1	17221245	17224586	1	3342	5213.6305	1640.0969	316		CROCC	CROCC	316	1
2_MACS_peak_8315_lociStitched	chr4	185186363	185190050	2	3342	3522.5598	1063.6995	317		ENPP6	ENPP6	317	1
2_MACS_peak_6461_lociStitched	chr20	55967303	55974157	2	3342	5596.291	1532.5544	318	RBM38	RAE1,MTRNR2L3	RBM38	318	1
1_MACS_peak_10174_lociStitched	chr7	102211730	102215068	1	3339	2377.6574	1432.6696	319	POLR2J3	SPDYE2,RASA4	POLR2J3	319	1
1_MACS_peak_932_lociStitched	chr1	207094523	207097860	1	3338	3510.524	1693.1938	320	FAIM3	IL24,PIGR,FCAMR	FAIM3	320	1
2_MACS_peak_6039_lociStitched	chr2	204663058	204669373	2	3335	3715.1145	1157.5395	321			CTLA4	321	1
1_MACS_peak_2030_lociStitched	chr11	72524011	72527335	1	3325	2373.336	746.238	322	ATG16L2	STARD10	ATG16L2	322	1
2_MACS_peak_7408_lociStitched	chr3	128901644	128908104	2	3323	3098.216	1175.72	323	CNBP	ISY1	CNBP	323	1
1_MACS_peak_511_lociStitched	chr1	147930071	147933390	1	3320	2687.3943	849.0002	324	FLJ39739		NBPF14	324	1
2_MACS_peak_10168_lociStitched	chr7	102064301	102067623	2	3319	4076.094	1209.8724	325	PRKRIP1	ORAI2,LRWD1,ALKBH4	ORAI2	325	1
1_MACS_peak_2710_lociStitched	chr12	94565436	94568753	1	3318	3207.2073	930.7502	326	PLXNC1		PLXNC1	326	1
1_MACS_peak_523_lociStitched	chr1	149222203	149225512	1	3310	6822.1653	2763.015	327			LOC388692	327	1
2_MACS_peak_910_lociStitched	chr1	206097084	206101413	2	3308	3439.3905	1299.5658	328		FAM72A	FAM72A	328	1
2_MACS_peak_7940_lociStitched	chr4	71543173	71548191	2	3305	4623.0834	971.4848	329		ENAM,UTP3,RUFY3,IGJ	UTP3	329	1
3_MACS_peak_7854_lociStitched	chr4	38307722	38315418	3	3305	5321.784	1939.392	330			PTTG2	330	1
1_MACS_peak_1027_lociStitched	chr1	226249821	226253121	1	3301	2035.44	870.87	331	LOC440926,H3F3A		LOC440926	331	1
1_MACS_peak_73_lociStitched	chr1	16991559	16994856	1	3298	5107.3827	1755.3228	332		MST1P2,CROCCP2	MST1P2	332	1
2_MACS_peak_10866_lociStitched	chr8	129279338	129286977	2	3298	4678.8875	1887.5969	333			MIR1208	333	1
3_MACS_peak_3789_lociStitched	chr16	9166301	9173361	3	3294	3380.328	1327.28	334		C16orf72	C16orf72	334	1
3_MACS_peak_6383_lociStitched	chr20	43679874	43684298	3	3293	3187.492	1095.3824	335	STK4	KCNS1	KCNS1	335	1
1_MACS_peak_74_lociStitched	chr1	17065568	17068857	1	3290	5483.4208	1880.3213	336		ESPNP,MST1P9	ESPNP	336	1
2_MACS_peak_10398_lociStitched	chr7	150017547	150021091	2	3281	3139.984	1202.8336	337	LRRC61,ACTR3C	C7orf29,REPIN1,ACTR3C,RARRES2	LRRC61	337	1
1_MACS_peak_4935_lociStitched	chr19	6736241	6739517	1	3277	2438.6544	1457.4924	338	GPR108	TRIP10,VAV1,C3,SH2D3A	GPR108	338	1
1_MACS_peak_968_lociStitched	chr1	212779913	212783186	1	3274	4269.6285	1142.9316	339	ATF3	FAM71A	ATF3	339	1
1_MACS_peak_6611_lociStitched	chr21	36259574	36262846	1	3273	3926.4	1045.404	340	RUNX1		RUNX1	340	1
1_MACS_peak_6500_lociStitched	chr21	9651025	9654295	1	3271	4042.374	1213.17	341			MIR3648	341	1
1_MACS_peak_544_lociStitched	chr1	150335528	150338796	1	3269	2683.028	1248.376	342	RPRD2	PRPF3	RPRD2	342	1
3_MACS_peak_9350_lociStitched	chr6	45388066	45394528	3	3268	3676.878	1166.391	343	RUNX2	SUPT3H	RUNX2	343	1
2_MACS_peak_6379_lociStitched	chr20	43594486	43600712	2	3263	3829.6126	1629.9668	344	STK4	TOMM34	STK4	344	1
2_MACS_peak_2524_lociStitched	chr12	48201598	48208178	2	3261	3997.35	2001.636	345	HDAC7	SLC48A1,RAPGEF3	HDAC7	345	1
1_MACS_peak_6667_lociStitched	chr21	43346122	43349381	1	3260	3142.3278	1035.0584	346	C2CD2	PRDM15	C2CD2	346	1
1_MACS_peak_6363_lociStitched	chr20	42378938	42382197	1	3260	5879.5619	1263.8402	347		GTSF1L	GTSF1L	347	1
2_MACS_peak_2246_lociStitched	chr11	129238887	129245823	2	3258	2937.396	1410.0888	348		BARX2	BARX2	348	1
3_MACS_peak_5378_lociStitched	chr2	42350882	42356949	3	3257	3830.7038	1246.1618	349		EML4	EML4	349	1
2_MACS_peak_1819_lociStitched	chr11	19453670	19457834	2	3254	4130.2716	1221.7176	350	NAV2		NAV2	350	1
2_MACS_peak_4280_lociStitched	chr17	36856830	36861219	2	3253	3313.695	1173.6186	351		MLLT6,CISD3,PSMB3,C17orf96,PCGF2	MLLT6	351	1
1_MACS_peak_76_lociStitched	chr1	17229228	17232470	1	3243	3455.6478	1480.9456	352		CROCC	CROCC	352	1
2_MACS_peak_471_lociStitched	chr1	144338897	144342200	2	3235	2382.7842	660.2697	353	LOC728855,LOC728875		LOC728855	353	1
2_MACS_peak_1034_lociStitched	chr1	226840733	226845195	2	3233	4268.7954	1548.314	354	ITPKB		ITPKB	354	1
3_MACS_peak_3927_lociStitched	chr16	31880275	31889402	3	3231	4202.9835	1517.8201	355	ZNF267		ZNF267	355	1
2_MACS_peak_10804_lociStitched	chr8	118450864	118456278	2	3230	8593.6422	1486.143	356			MED30	356	1
2_MACS_peak_1347_lociStitched	chr10	45914233	45917461	2	3229	3332.2644	885.4404	357	ALOX5		ALOX5	357	1
3_MACS_peak_10766_lociStitched	chr8	101506407	101515254	3	3227	3740.5116	1009.4427	358			ANKRD46	358	1
2_MACS_peak_143_lociStitched	chr1	28969269	28975815	2	3225	3363.3348	1173.6978	359	RNU11,TAF12	GMEB1	RNU11	359	1
3_MACS_peak_2842_lociStitched	chr12	125398922	125406620	3	3225	4142.2938	1240.9176	360	UBC		UBC	360	1
2_MACS_peak_5505_lociStitched	chr2	67690165	67693417	2	3221	8184.9588	798.6912	361			ETAA1	361	1
2_MACS_peak_4461_lociStitched	chr17	66453713	66458221	2	3212	2710.6604	936.7624	362		PRKAR1A,MIR635,WIPI1	WIPI1	362	1
2_MACS_peak_10533_lociStitched	chr8	26429077	26434853	2	3207	4342.9744	1519.088	363	DPYSL2	DPYSL2	DPYSL2	363	1
3_MACS_peak_1568_lociStitched	chr10	97050243	97055734	3	3206	3543.3423	1182.2123	364	PDLIM1		PDLIM1	364	1
2_MACS_peak_5595_lociStitched	chr2	89051042	89055072	2	3199	4052.971	1260.584	365		ANKRD36BP2	ANKRD36BP2	365	1
2_MACS_peak_3510_lociStitched	chr15	55694655	55701161	2	3198	3330.4214	1189.9474	366	FLJ27352,CCPG1	MIR628	CCPG1	366	1
2_MACS_peak_11320_lociStitched	chr9	117210619	117215819	2	3195	5814.12	1436.24	367	DFNB31		DFNB31	367	1
1_MACS_peak_642_lociStitched	chr1	159892848	159896040	1	3193	3318.4032	1031.016	368	TAGLN2	CCDC19,IGSF9,SLAMF9	TAGLN2	368	1
3_MACS_peak_2729_lociStitched	chr12	96894598	96901153	3	3193	3770.436	1151.7135	369			CDK17	369	1
2_MACS_peak_5241_lociStitched	chr2	10585158	10589391	2	3189	3708.9546	891.4698	370	ODC1,SNORA80B		SNORA80B	370	1
2_MACS_peak_8666_lociStitched	chr5	86412569	86418562	2	3189	3665.9181	1242.3489	371		MIR4280	MIR4280	371	1
2_MACS_peak_5239_lociStitched	chr2	10547932	10551130	2	3188	3493.4952	762.4032	372	HPCAL1	SNORA80B,ODC1	SNORA80B	372	1
3_MACS_peak_4094_lociStitched	chr17	1278908	1283933	3	3183	2820.03	1069.8225	373	YWHAE		YWHAE	373	1
3_MACS_peak_2253_lociStitched	chr11	130048082	130052213	3	3178	3131.7111	876.1851	374	ST14		ST14	374	1
2_MACS_peak_5908_lociStitched	chr2	175457917	175463031	2	3178	4143.3628	1416.0666	375	WIPF1		WIPF1	375	1
2_MACS_peak_7521_lociStitched	chr3	156852337	156855766	2	3172	3544.9002	1305.4203	376		LOC100498859,LOC339894,CCNL1	LOC339894	376	1
2_MACS_peak_8238_lociStitched	chr4	153580702	153585747	2	3172	3115.792	1196.674	377	TMEM154		TMEM154	377	1
2_MACS_peak_5525_lociStitched	chr2	69869866	69876118	2	3172	2893.4256	1258.5276	378	AAK1		AAK1	378	1
2_MACS_peak_615_lociStitched	chr1	156195190	156199014	2	3169	4341.0048	1411.4384	379	PMF1	SLC25A44,BGLAP,PAQR6	PMF1	379	1
2_MACS_peak_10013_lociStitched	chr7	55636241	55642368	2	3168	3935.9848	1336.9114	380	VOPP1		VOPP1	380	1
1_MACS_peak_6698_lociStitched	chr21	45562740	45565904	1	3165	3506.0284	1126.7004	381	C21orf33	PWP2	C21orf33	381	1
2_MACS_peak_6491_lociStitched	chr20	61277971	61284085	2	3163	5841.927	1407.4428	382	SLCO4A1	LOC100127888	SLCO4A1	382	1
1_MACS_peak_2356_lociStitched	chr12	12867570	12870729	1	3160	2709.7902	1070.5851	383	CDKN1B	APOLD1,MIR613,GPR19	CDKN1B	383	1
2_MACS_peak_4851_lociStitched	chr18	72162823	72167539	2	3159	2765.4624	1009.6956	384	CNDP2	CNDP1,FAM69C	CNDP2	384	1
1_MACS_peak_100_lociStitched	chr1	24515121	24518277	1	3157	3357.984	1048.4232	385		LOC284632,IL22RA1,IL28RA	IL28RA	385	1
2_MACS_peak_4506_lociStitched	chr17	75102413	75106675	2	3150	2794.5934	904.3964	386		C17orf86,SCARNA16,SEC14L1	SCARNA16	386	1
1_MACS_peak_6699_lociStitched	chr21	45573201	45576348	1	3148	5495.2914	1238.9739	387		PWP2,C21orf33	C21orf33	387	1
2_MACS_peak_528_lociStitched	chr1	149782446	149785622	2	3147	2293.3896	1068.0888	388	HIST2H2BF,HIST2H3D	FCGR1A,HIST2H4B,HIST2H3A,HIST2H2AA4,HIST2H2BC	HIST2H2BF	388	1
3_MACS_peak_3582_lociStitched	chr15	70389372	70394376	3	3145	3131.0028	1027.8216	389	TLE3	MIR629	TLE3	389	1
2_MACS_peak_5486_lociStitched	chr2	65141993	65145584	2	3144	3172.2894	1134.0378	390	LOC400958		LOC400958	390	1
2_MACS_peak_11317_lociStitched	chr9	117128295	117135934	2	3143	3523.1068	1713.4277	391	AKNA	ORM1,ORM2	AKNA	391	1
2_MACS_peak_1187_lociStitched	chr10	6967792	6971241	2	3139	3896.6802	961.9261	392			LOC439949	392	1
2_MACS_peak_10480_lociStitched	chr8	12375612	12381286	2	3136	2926.6492	1331.6878	393			FAM86B2	393	1
