REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X20_0EX6_0229Kronos_MM1S.KB.24hr.2_H3K27Ac_hs.dm_i43.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
2_MACS_peak_19137_lociStitched	chr5	55436738	55453731	2	16290	81024.3233	3697.6768	157	ANKRD55		ANKRD55	ANKRD55	0.5425	157	1
3_MACS_peak_14897_lociStitched	chr20	52345463	52371701	3	16226	122922.4062	4722.84	158			SUMO1P1	SUMO1P1	3.3931999999999998	158	1
2_MACS_peak_15526_lociStitched	chr22	29183359	29199902	2	16212	74327.699	3672.546	159	CCDC117,XBP1	HSCB,CHEK2	XBP1	XBP1	4.3797999999999995	159	1
2_MACS_peak_13912_lociStitched	chr2	201979725	201997782	2	16197	162767.6037	4718.2941	160	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	CFLAR	2.8088	160	1
1_MACS_peak_5127_lociStitched	chr12	15100306	15116440	1	16135	60218.5416	3401.0472	161	ARHGDIB	PDE6H,ERP27	ARHGDIB	ARHGDIB	1.9111	161	1
5_MACS_peak_5815_lociStitched	chr12	92930683	92951264	5	16100	79998.347	4301.429	162			CLLU1OS	CLLU1OS	0.17559999999999998	162	1
5_MACS_peak_25336_lociStitched	chrX	10064861	10091025	5	16024	62220.6084	2872.8072	163	WWC3	CLCN4	CLCN4	NONE	NONE	163	1
1_MACS_peak_5094_lociStitched	chr12	12866061	12881986	1	15926	189631.715	3847.48	164	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	12.3	164	1
4_MACS_peak_19413_lociStitched	chr5	88595654	88617665	4	15860	159843.882	4879.8387	165			MEF2C	MEF2C	1.0072	165	1
2_MACS_peak_15053_lociStitched	chr21	19151831	19169405	2	15850	92045.5824	3878.5818	166	C21orf91		C21orf91	C21orf91	1.7386000000000001	166	1
4_MACS_peak_2861_lociStitched	chr10	45913433	45934564	4	15816	142545.4998	4393.1349	167	ALOX5		ALOX5	ALOX5	1.6776	167	1
3_MACS_peak_10598_lociStitched	chr17	76763018	76779731	3	15812	59169.0339	3401.0955	168	CYTH1		CYTH1	CYTH1	1.2885	168	1
5_MACS_peak_26029_lociStitched	chrX	128902203	128921510	5	15694	52816.2292	2623.8213	169	XPNPEP2,SASH3		SASH3	SASH3	1.2445	169	1
4_MACS_peak_14767_lociStitched	chr20	43583242	43609505	4	15625	55094.5214	4806.129	170	STK4,TOMM34	PABPC1L	STK4	STK4	1.2062	170	1
5_MACS_peak_13955_lociStitched	chr2	204548203	204574511	5	15599	91688.6416	5464.1716	171	CD28		CD28	CD28	2.2667	171	1
1_MACS_peak_4222_lociStitched	chr11	65263306	65278870	1	15565	79441.7688	3866.0976	172	MALAT1	SCYL1,LTBP3	MALAT1	MALAT1	4.0517	172	1
3_MACS_peak_1600_lociStitched	chr1	160633807	160655887	3	15556	143259.456	6937.536	173	CD48	SLAMF1	SLAMF1	SLAMF1	0.0928	173	1
3_MACS_peak_1519_lociStitched	chr1	155900332	155920597	3	15516	39231.0135	5122.992	174	RXFP4,KIAA0907,ARHGEF2	RIT1,SNORA42,SCARNA4	RXFP4	RXFP4	1.9874000000000003	174	1
2_MACS_peak_14893_lociStitched	chr20	52257788	52279739	2	15516	137713.9887	4111.4223	175			ZNF217	ZNF217	1.6509999999999998	175	1
3_MACS_peak_19126_lociStitched	chr5	55272769	55292131	3	15441	34419.8274	4062.1476	176	IL6ST		IL6ST	IL6ST	0.43299999999999994	176	1
1_MACS_peak_15699_lociStitched	chr22	38782011	38797434	1	15424	51725.6574	2939.6238	177	LOC400927	KCNJ4	LOC400927	LOC400927	0.8978999999999999	177	1
3_MACS_peak_8701_lociStitched	chr16	12052168	12072227	3	15404	181206.9883	4330.7381	178	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	13.1084	178	1
3_MACS_peak_17100_lociStitched	chr3	151985231	152002087	3	15402	33983.3816	3490.8776	179	MBNL1,LOC401093	MBNL1	LOC401093	LOC401093	1.2550000000000001	179	1
3_MACS_peak_12815_lociStitched	chr2	65156815	65178727	3	15385	165632.808	5048.5248	180	LOC400958	SLC1A4	LOC400958	LOC400958	2.9544	180	1
4_MACS_peak_20496_lociStitched	chr6	26183533	26207519	4	15377	64937.2978	5360.871	181	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	HIST1H2BH	2.9080000000000004	181	1
3_MACS_peak_20185_lociStitched	chr5	180228259	180249433	3	15293	77556.1272	4086.582	182	MGAT1	LOC729678,ZFP62	MGAT1	MGAT1	1.7254	182	1
3_MACS_peak_10555_lociStitched	chr17	75131257	75147168	3	15285	128662.7104	3648.3923	183	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	3.4515	183	1
5_MACS_peak_8909_lociStitched	chr16	29815239	29833841	5	15265	42077.724	3331.6182	184	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	PRRT2	PRRT2	1.6053000000000002	184	1
3_MACS_peak_2851_lociStitched	chr10	45453884	45475323	3	15184	46344.6863	4092.7051	185	RASSF4,LOC220980,C10orf10	TMEM72,ZNF22,C10orf25	RASSF4	RASSF4	0.9593999999999999	185	1
6_MACS_peak_3578_lociStitched	chr10	126407266	126438610	6	15166	28767.5232	4801.9008	186	FAM53B	METTL10	FAM53B	FAM53B	0.2335	186	1
3_MACS_peak_12660_lociStitched	chr2	47526624	47550781	3	15122	100420.649	4575.3358	187		EPCAM	EPCAM	NONE	NONE	187	1
2_MACS_peak_8259_lociStitched	chr15	81576074	81597277	2	15116	95381.6955	5224.4192	188	IL16	STARD5	IL16	STARD5	1.1582000000000001	188	1
2_MACS_peak_3856_lociStitched	chr11	19449845	19466266	2	15103	160154.013	4092.1132	189	NAV2		NAV2	NAV2	0.16499999999999998	189	1
2_MACS_peak_22192_lociStitched	chr7	44661542	44680240	2	15088	45273.4674	3784.4752	190	OGDH	DDX56,TMED4	OGDH	TMED4	0.8844000000000001	190	1
2_MACS_peak_565_lociStitched	chr1	40839016	40858557	2	15008	64299.6605	4105.5641	191	SMAP2	SMAP2	SMAP2	SMAP2	0.9757	191	1
6_MACS_peak_12785_lociStitched	chr2	64430098	64456452	6	14959	67682.3428	5075.7804	192	LOC150992		LOC150992	LOC150992	0.40270000000000006	192	1
3_MACS_peak_3155_lociStitched	chr10	81001135	81020704	3	14937	47128.0227	3616.3512	193	ZMIZ1		PPIF	PPIF	NONE	193	1
6_MACS_peak_25497_lociStitched	chrX	37634560	37666271	6	14838	49405.738	2562.2488	194	CYBB	DYNLT3	CYBB	CYBB	1.1873	194	1
1_MACS_peak_12325_lociStitched	chr2	11883469	11898287	1	14819	94449.932	3467.412	195	LPIN1		LPIN1	LPIN1	1.0000999999999998	195	1
1_MACS_peak_21256_lociStitched	chr6	109214177	109228918	1	14742	101308.9966	3677.8795	196	ARMC2		ARMC2	ARMC2	0.9958	196	1
3_MACS_peak_18028_lociStitched	chr4	74453869	74475599	3	14710	90027.39	3987.455	197	RASSF6		RASSF6	RASSF6	1.5563	197	1
4_MACS_peak_21941_lociStitched	chr7	18533855	18561392	4	14704	28809.2094	4882.3101	198	HDAC9		HDAC9	NONE	NONE	198	1
1_MACS_peak_22449_lociStitched	chr7	78113716	78128361	1	14646	125832.769	3860.422	199	MAGI2		RPL13AP17	RPL13AP17	NONE	199	1
2_MACS_peak_18077_lociStitched	chr4	77608547	77624721	2	14646	37955.5258	3126.4342	200	SHROOM3		ANKRD56	ANKRD56	NONE	200	1
3_MACS_peak_5544_lociStitched	chr12	57021842	57040989	3	14629	37485.9966	3892.5851	201	BAZ2A,ATP5B,SNORD59B,SNORD59A	PTGES3	BAZ2A	PTGES3	1.2595	201	1
4_MACS_peak_17156_lociStitched	chr3	156804551	156824693	4	14567	81820.8324	5986.2024	202	LOC100498859,LOC339894		LOC100498859	LOC100498859	3.5514	202	1
4_MACS_peak_1884_lociStitched	chr1	192498496	192521273	4	14545	94078.1208	5885.5768	203		RGS1	RGS1	RGS1	2.2209	203	1
5_MACS_peak_10511_lociStitched	chr17	73850286	73875847	5	14537	59033.1295	4301.9163	204	WBP2,TRIM47	UNC13D,TRIM65,MRPL38	WBP2	WBP2	0.6191	204	1
1_MACS_peak_9833_lociStitched	chr17	29635148	29649669	1	14522	102201.7022	3634.6063	205	NF1,EVI2B,EVI2A	OMG	EVI2B	EVI2B	3.5015	205	1
4_MACS_peak_12650_lociStitched	chr2	47193894	47215229	4	14496	55509.403	3848.834	206	TTC7A	MCFD2	MCFD2	MCFD2	0.44709999999999994	206	1
4_MACS_peak_23360_lociStitched	chr8	27930057	27951824	4	14487	48875.6218	5030.3537	207	ELP3,C8orf80		C8orf80	C8orf80	0.7337	207	1
4_MACS_peak_20142_lociStitched	chr5	176717200	176740596	4	14387	35880.1056	4096.6396	208	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	RAB24	RAB24	1.8817000000000002	208	1
2_MACS_peak_5200_lociStitched	chr12	26265795	26280542	2	14382	59507.0944	3285.6316	209	BHLHE41		BHLHE41	BHLHE41	3.0811	209	1
3_MACS_peak_7946_lociStitched	chr15	56644941	56667077	3	14368	124661.0976	4754.8128	210	TEX9		TEX9	TEX9	1.2573	210	1
4_MACS_peak_3169_lociStitched	chr10	81946411	81966361	4	14297	35756.385	4005.96	211	ANXA11		ANXA11	ANXA11	0.5078	211	1
1_MACS_peak_15697_lociStitched	chr22	38700786	38715063	1	14278	38719.224	2756.8887	212	CSNK1E	TMEM184B	CSNK1E	CSNK1E	0.9839000000000001	212	1
5_MACS_peak_10111_lociStitched	chr17	43505034	43531706	5	14277	26263.9184	4291.5248	213	SH3D20,PLEKHM1	ARHGAP27,MIR4315-1	SH3D20	SH3D20	0.6314	213	1
5_MACS_peak_16051_lociStitched	chr3	15834458	15859186	5	14273	67242.8504	4779.9224	214	ANKRD28	ANKRD28	ANKRD28	ANKRD28	0.3216	214	1
5_MACS_peak_24163_lociStitched	chr8	145002085	145027942	5	14246	32962.5036	3379.5099	215	PLEC,MIR661	GRINA,PARP10	PLEC	PARP10	0.6627	215	1
2_MACS_peak_21095_lociStitched	chr6	88625496	88640547	2	14219	78524.0772	3458.7198	216			SPACA1	SPACA1	NONE	216	1
4_MACS_peak_20534_lociStitched	chr6	27094278	27116220	4	14218	52263.6498	4877.7066	217	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	HIST1H4I	0.9761	217	1
4_MACS_peak_1760_lociStitched	chr1	174922860	174942304	4	14172	38135.5172	4874.6108	218	RABGAP1L	CACYBP	CACYBP	CACYBP	1.3003	218	1
4_MACS_peak_8829_lociStitched	chr16	23342709	23365578	4	14162	166561.7877	4489.1847	219	SCNN1B		SCNN1B	SCNN1B	2.3554999999999997	219	1
3_MACS_peak_16930_lociStitched	chr3	129026518	129048477	3	14142	31871.2926	3831.8455	220	C3orf47,H1FX	C3orf37	H1FX	H1FX	2.0081	220	1
2_MACS_peak_10552_lociStitched	chr17	75078975	75093284	2	14132	51885.8649	3133.671	221	C17orf86,SCARNA16	SEC14L1	SCARNA16	SCARNA16	3.4515	221	1
3_MACS_peak_24734_lociStitched	chr9	94180830	94196019	3	14110	66435.1671	3634.7277	222	NFIL3		NFIL3	NFIL3	1.8504999999999998	222	1
2_MACS_peak_19858_lociStitched	chr5	142771294	142786261	2	14109	49835.6199	2975.4396	223	NR3C1		NR3C1	NR3C1	0.3154	223	1
2_MACS_peak_20210_lociStitched	chr6	381294	401886	2	14109	30181.6944	4202.8272	224	IRF4		IRF4	IRF4	0.8834	224	1
4_MACS_peak_21575_lociStitched	chr6	143162658	143180143	4	14078	48389.7375	2161.146	225	HIVEP2		HIVEP2	HIVEP2	0.30810000000000004	225	1
1_MACS_peak_1522_lociStitched	chr1	155938589	155952628	1	14040	90673.6893	4293.1262	226	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	ARHGEF2	2.7028	226	1
4_MACS_peak_15185_lociStitched	chr21	36236043	36262978	4	14027	86388.6255	6884.586	227	RUNX1		RUNX1	RUNX1	0.2796	227	1
4_MACS_peak_11632_lociStitched	chr19	16693729	16716990	4	14026	90317.8108	4484.7208	228	MED26	CHERP,SLC35E1	SLC35E1	CHERP	0.09050000000000001	228	1
1_MACS_peak_9966_lociStitched	chr17	37924873	37938879	1	14007	66239.9764	3264.7986	229	IKZF3	GRB7,C17orf37	GRB7	C17orf37	0.31300000000000006	229	1
4_MACS_peak_5072_lociStitched	chr12	11901451	11920242	4	13961	48512.7247	3547.7408	230	ETV6		ETV6	ETV6	0.31930000000000003	230	1
2_MACS_peak_25626_lociStitched	chrX	48790124	48805835	2	13954	95719.2675	2022.0057	231	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	OTUD5	2.8543000000000003	231	1
3_MACS_peak_10454_lociStitched	chr17	70582100	70601839	3	13945	58960.393	3874.7657	232	LOC100499467,FLJ26484		LOC100499467	LOC100499467	0.36939999999999995	232	1
1_MACS_peak_10368_lociStitched	chr17	62196570	62210488	1	13919	56363.7246	3262.3792	233	ERN1	SNORD104,SNORA76	ERN1	ERN1	2.1054000000000004	233	1
4_MACS_peak_16688_lociStitched	chr3	101487476	101513655	4	13912	47988.7249	4659.862	234	FAM55C	CEP97,NFKBIZ	FAM55C	FAM55C	0.8269	234	1
3_MACS_peak_11888_lociStitched	chr19	40645301	40672008	3	13900	46424.7781	4510.8123	235		MAP3K10,ZNF780A	MAP3K10	ZNF780A	0.133	235	1
4_MACS_peak_3945_lociStitched	chr11	35183558	35205762	4	13894	46621.7388	4101.0788	236	CD44		CD44	CD44	0.7686	236	1
4_MACS_peak_18066_lociStitched	chr4	77117786	77136556	4	13877	46598.402	4211.988	237	SCARB2	FAM47E,NUP54	SCARB2	SCARB2	0.6335999999999999	237	1
1_MACS_peak_13923_lociStitched	chr2	202115831	202129669	1	13839	117892.841	3527.3062	238	CASP8		CASP8	CASP8	2.0779	238	1
4_MACS_peak_11280_lociStitched	chr19	2254707	2274759	4	13822	44497.3932	4367.3256	239	OAZ1,JSRP1,C19orf35	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,LINGO3	OAZ1	MIR1227	1.4180000000000001	239	1
3_MACS_peak_13915_lociStitched	chr2	202040162	202060155	3	13788	29681.6078	3746.6882	240	CASP10	CASP8	CASP10	CASP8	2.0779	240	1
3_MACS_peak_12579_lociStitched	chr2	42343543	42361158	3	13785	92351.922	3877.0615	241		EML4	EML4	EML4	0.058499999999999996	241	1
4_MACS_peak_10539_lociStitched	chr17	74475836	74498394	4	13759	60446.4168	3814.5578	242	RHBDF2	AANAT,PRCD,UBE2O,CYGB	RHBDF2	RHBDF2	1.4001	242	1
6_MACS_peak_12889_lociStitched	chr2	70334964	70361095	6	13736	63806.6758	4964.89	243	LOC100133985	PCBP1,LOC400960	LOC100133985	PCBP1	7.9205	243	1
7_MACS_peak_9144_lociStitched	chr16	67184187	67218790	7	13728	22280.8717	5501.877	244	FBXL8,HSF4,NOL3,B3GNT9,TRADD,KIAA0895L,EXOC3L	C16orf70,E2F4,ELMO3,TMEM208,MIR328,LRRC29	NOL3	NOL3	0.3915	244	1
1_MACS_peak_4657_lociStitched	chr11	111237767	111251486	1	13720	63466.8378	3121.0725	245	POU2AF1		POU2AF1	POU2AF1	1.6396000000000002	245	1
5_MACS_peak_19981_lociStitched	chr5	156339341	156362352	5	13682	49149.1949	3902.6656	246	LOC100286948,TIMD4		LOC100286948	LOC100286948	0.61	246	1
5_MACS_peak_19539_lociStitched	chr5	109251573	109282363	5	13623	49051.549	5163.483	247		LOC100289673	LOC100289673	NONE	NONE	247	1
2_MACS_peak_18987_lociStitched	chr5	32530388	32544112	2	13550	71791.6164	3116.7204	248		SUB1	SUB1	SUB1	2.403	248	1
3_MACS_peak_17457_lociStitched	chr3	186702689	186720197	3	13528	104809.8912	5220.8856	249	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	1.2354	249	1
2_MACS_peak_20638_lociStitched	chr6	31694499	31709456	2	13445	62723.6752	3713.8231	250	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	CLIC1	3.6914000000000002	250	1
4_MACS_peak_5296_lociStitched	chr12	33037679	33060612	4	13426	24194.315	3809.1713	251	PKP2		PKP2	PKP2	0.1346	251	1
4_MACS_peak_4319_lociStitched	chr11	67760634	67781753	4	13415	43566.3851	3799.3081	252	ALDH3B1,UNC93B1	NDUFS8,TCIRG1	UNC93B1	UNC93B1	1.1622	252	1
5_MACS_peak_3038_lociStitched	chr10	72249439	72274250	5	13411	40985.2909	4428.7635	253	KIAA1274	NODAL	KIAA1274	KIAA1274	0.5774999999999999	253	1
3_MACS_peak_14256_lociStitched	chr2	238599653	238613593	3	13397	32413.288	1682.558	254	LRRFIP1		LRRFIP1	LRRFIP1	0.20029999999999998	254	1
2_MACS_peak_14622_lociStitched	chr20	32988701	33005905	2	13379	62183.858	3418.4348	255	ITCH	MIR644	ITCH	ITCH	0.42000000000000004	255	1
2_MACS_peak_22246_lociStitched	chr7	50343662	50357860	2	13364	51419.4768	3343.629	256	IKZF1		IKZF1	IKZF1	0.3276	256	1
4_MACS_peak_7573_lociStitched	chr15	23660177	23682882	4	13359	42283.5215	3412.5615	257			MKRN3	MKRN3	NONE	257	1
5_MACS_peak_13073_lociStitched	chr2	89039382	89066799	5	13340	86920.1151	4323.6609	258	RPIA,ANKRD36BP2		ANKRD36BP2	NONE	NONE	258	1
3_MACS_peak_14743_lociStitched	chr20	42568346	42585768	3	13304	61612.903	3097.6316	259	TOX2		TOX2	TOX2	0.8054	259	1
5_MACS_peak_16524_lociStitched	chr3	66530904	66552300	5	13296	26526.7608	3810.6276	260	LRIG1		LRIG1	LRIG1	0.13779999999999998	260	1
4_MACS_peak_10867_lociStitched	chr18	23746028	23772112	4	13261	102791.8272	4405.5876	261	PSMA8	TAF4B	PSMA8	PSMA8	1.3871	261	1
2_MACS_peak_17829_lociStitched	chr4	38307093	38322417	2	13257	96783.3192	3375.8772	262			KLF3	KLF3	0.4158	262	1
1_MACS_peak_540_lociStitched	chr1	40029727	40042931	1	13205	31285.5576	2799.248	263	PABPC4,SNORA55	PPIEL	SNORA55	SNORA55	1.7328000000000001	263	1
3_MACS_peak_15528_lociStitched	chr22	29207029	29225854	3	13200	79859.415	3631.3425	264		CCDC117,XBP1	XBP1	XBP1	4.3797999999999995	264	1
3_MACS_peak_14703_lociStitched	chr20	37486832	37506453	3	13178	181035.1186	3763.3078	265	PPP1R16B	FAM83D	FAM83D	FAM83D	0.024300000000000016	265	1
2_MACS_peak_2124_lociStitched	chr1	211743215	211756374	2	13160	29827.5053	4150.3486	266	SLC30A1		SLC30A1	SLC30A1	1.8696	266	1
1_MACS_peak_12593_lociStitched	chr2	43443984	43457129	1	13146	116719.713	3383.523	267	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	7.9533000000000005	267	1
5_MACS_peak_4972_lociStitched	chr12	6552096	6580991	5	13105	64011.0935	5192.4315	268	CD27,TAPBPL,LOC678655,VAMP1	NCAPD2,SCARNA10,MRPL51	TAPBPL	TAPBPL	2.5383	268	1
3_MACS_peak_7372_lociStitched	chr14	91781533	91802173	3	13030	27354.192	2045.424	269	CCDC88C		GPR68	GPR68	NONE	269	1
4_MACS_peak_14557_lociStitched	chr20	30147563	30162117	4	13024	19787.6184	2194.7432	270	HM13	PSIMCT-1,ID1,MIR3193	PSIMCT-1	PSIMCT-1	0.15689999999999998	270	1
3_MACS_peak_20430_lociStitched	chr6	20197336	20214254	3	13008	34025.4816	3327.7706	271	MBOAT1		MBOAT1	MBOAT1	0.21590000000000004	271	1
3_MACS_peak_26175_lociStitched	chrX	153232562	153252697	3	12840	37243.7095	1769.8665	272	TMEM187,MIR3202-1,HCFC1,MIR3202-2	ARHGAP4,NAA10,RENBP,IRAK1,MIR718	MIR3202-1	NAA10	2.3679	272	1
2_MACS_peak_2283_lociStitched	chr1	226839369	226852628	2	12827	78480.021	4476.2384	273	ITPKB		ITPKB	ITPKB	0.8266000000000001	273	1
1_MACS_peak_20477_lociStitched	chr6	25402730	25415552	1	12823	175842.1902	3697.8648	274	LRRC16A		LRRC16A	LRRC16A	0.7069	274	1
5_MACS_peak_16428_lociStitched	chr3	52286451	52313548	5	12821	22734.383	4243.3902	275	WDR82,MIRLET7G	PPM1M,GLYCTK,DNAH1,TLR9,TWF2,MIR135A1	MIRLET7G	GLYCTK	0.7505000000000001	275	1
3_MACS_peak_15723_lociStitched	chr22	39459039	39474562	3	12807	41915.2046	2995.939	276	APOBEC3G	APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3H	APOBEC3G	APOBEC3C	2.2437	276	1
4_MACS_peak_8261_lociStitched	chr15	81608590	81624715	4	12799	30158.5875	3260.475	277	STARD5	IL16,TMC3	STARD5	STARD5	1.1582000000000001	277	1
3_MACS_peak_9044_lociStitched	chr16	50713984	50732936	3	12794	36412.4776	3708.9064	278	NOD2,SNX20	CYLD	NOD2	NOD2	0.10890000000000001	278	1
4_MACS_peak_4749_lociStitched	chr11	118954874	118980099	4	12775	30388.5575	4648.9675	279	HMBS,C2CD2L,H2AFX,DPAGT1	VPS11,HINFP,ABCG4,HYOU1	H2AFX	H2AFX	0.5407000000000001	279	1
1_MACS_peak_24111_lociStitched	chr8	137189053	137201766	1	12714	68623.5027	3124.8554	280			KHDRBS3	KHDRBS3	NONE	280	1
3_MACS_peak_9329_lociStitched	chr16	81841429	81857859	3	12699	57845.101	1877.949	281	PLCG2		PLCG2	PLCG2	0.3385	281	1
3_MACS_peak_7924_lociStitched	chr15	52959382	52977361	3	12699	44440.4922	3525.6819	282	KIAA1370		KIAA1370	KIAA1370	0.3264	282	1
2_MACS_peak_15511_lociStitched	chr22	26974554	26992245	2	12667	63974.1942	3439.1304	283	TPST2	CRYBA4,MIR548J,TPST2,CRYBB1	TPST2	CRYBB1	2.3326000000000002	283	1
3_MACS_peak_14940_lociStitched	chr20	55957902	55975513	3	12619	31851.2546	3092.4916	284	RBM38	RAE1,MTRNR2L3	RBM38	RBM38	0.9440999999999999	284	1
3_MACS_peak_25527_lociStitched	chrX	39953252	39969540	3	12593	29002.4128	1145.0464	285	BCOR		BCOR	BCOR	0.4711000000000001	285	1
1_MACS_peak_5809_lociStitched	chr12	92853942	92866486	1	12545	110852.5824	3168.6144	286		CLLU1,CLLU1OS	CLLU1OS	CLLU1	0.2128	286	1
5_MACS_peak_4173_lociStitched	chr11	63992451	64015338	5	12544	23907.7602	3936.564	287	NUDT22,DNAJC4,VEGFB,FKBP2,TRPT1,PPP1R14B	STIP1,FERMT3,PLCB3,GPR137,KCNK4,BAD	VEGFB	BAD	0.9408000000000001	287	1
1_MACS_peak_326_lociStitched	chr1	27018215	27030732	1	12518	40434.9168	2936.4882	288	ARID1A		ARID1A	ARID1A	0.6592	288	1
1_MACS_peak_14763_lociStitched	chr20	43269770	43282284	1	12515	60858.0848	2922.019	289	ADA	LOC79015	ADA	ADA	1.3594	289	1
5_MACS_peak_16305_lociStitched	chr3	46419797	46439069	5	12499	28046.5416	3638.5536	290		CCR2,CCR5,CCRL2	CCR5	CCR2	2.9257	290	1
1_MACS_peak_13748_lociStitched	chr2	182168186	182180670	1	12485	205145.8268	3571.6724	291			ITGA4	ITGA4	NONE	291	1
1_MACS_peak_6796_lociStitched	chr13	114555744	114568225	1	12482	117623.4402	3086.5513	292	GAS6	FLJ44054,GAS6	GAS6	GAS6	2.2004	292	1
3_MACS_peak_4487_lociStitched	chr11	82764695	82784513	3	12479	60851.169	4141.962	293	RAB30	SNORA70E	RAB30	RAB30	0.9511	293	1
5_MACS_peak_19401_lociStitched	chr5	87954222	87976736	5	12457	68789.2756	4419.4982	294	LOC645323,MIR9-2		MIR9-2	MIR9-2	0.4422	294	1
2_MACS_peak_20080_lociStitched	chr5	171601054	171616128	2	12453	50892.8388	3245.4322	295	STK10	EFCAB9	STK10	STK10	0.31	295	1
3_MACS_peak_9573_lociStitched	chr17	7136566	7156668	3	12448	45321.9692	3622.3804	296	C17orf81,DVL2,PHF23,GABARAP,CTDNEP1	ACADVL,SLC2A4,DLG4,MIR324,CLDN7,YBX2	GABARAP	GABARAP	2.0427	296	1
2_MACS_peak_13539_lociStitched	chr2	158292993	158311521	2	12427	88643.5104	4144.7136	297	CYTIP		CYTIP	CYTIP	1.9171	297	1
2_MACS_peak_19502_lociStitched	chr5	100224175	100241768	2	12426	60532.2351	4012.9633	298	ST8SIA4		ST8SIA4	ST8SIA4	0.6427	298	1
4_MACS_peak_7690_lociStitched	chr15	38360849	38380727	4	12409	129986.2176	4114.746	299			TMCO5A	TMCO5A	NONE	299	1
2_MACS_peak_2380_lociStitched	chr1	234733856	234750113	2	12368	86371.8153	4608.8595	300	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	5.2934	300	1
2_MACS_peak_2836_lociStitched	chr10	43890679	43906055	2	12350	34139.3328	2646.2096	301	HNRNPF	FXYD4,ZNF487P	HNRNPF	HNRNPF	0.6021000000000001	301	1
2_MACS_peak_17902_lociStitched	chr4	48191557	48206642	2	12303	62255.795	3050.187	302	TEC		TXK	TXK	NONE	302	1
2_MACS_peak_17859_lociStitched	chr4	40302290	40319877	2	12296	78163.6628	3830.4486	303		CHRNA9	CHRNA9	NONE	NONE	303	1
1_MACS_peak_12578_lociStitched	chr2	42322800	42335006	1	12207	110166.4736	2784.1886	304		PKDCC	PKDCC	NONE	NONE	304	1
1_MACS_peak_10864_lociStitched	chr18	22928910	22941106	1	12197	28102.0232	1815.9844	305	ZNF521		ZNF521	ZNF521	0.022199999999999998	305	1
1_MACS_peak_21243_lociStitched	chr6	108986117	108998310	1	12194	52522.5668	2194.74	306	FOXO3		NCRNA00222	NCRNA00222	NONE	306	1
3_MACS_peak_12443_lociStitched	chr2	27374594	27389993	3	12161	65866.1427	3133.6965	307	TCF23	ABHD1,C2orf28,CGREF1,PREB,C2orf53,SLC5A6	TCF23	TCF23	1.3794	307	1
3_MACS_peak_4995_lociStitched	chr12	7022683	7038426	3	12119	21816.6494	2732.9848	308	LRRC23,ENO2,ATN1	TPI1,RPL13P5,DSTNP2,C12orf57,PTPN6,MIR200C,MIR141,EMG1,SPSB2,SCARNA12,PHB2	ATN1	PTPN6	2.9034	308	1
3_MACS_peak_191_lociStitched	chr1	17221238	17241598	3	12113	79465.08	6075.424	309		CROCC	CROCC	NONE	NONE	309	1
4_MACS_peak_12642_lociStitched	chr2	46788701	46803463	4	12110	32722.9254	3181.211	310	RHOQ	CRIPT,ATP6V1E2,PIGF	RHOQ	RHOQ	0.6301	310	1
5_MACS_peak_11253_lociStitched	chr19	1647638	1672802	5	12063	40707.8028	4562.2332	311	TCF3	UQCR11	TCF3	UQCR11	0.6771	311	1
3_MACS_peak_21330_lociStitched	chr6	117858931	117877459	3	12022	41567.568	3153.4656	312	DCBLD1	GOPC	GOPC	GOPC	0.1559	312	1
4_MACS_peak_18924_lociStitched	chr5	15426963	15449335	4	12013	57299.1664	3550.4364	313			FBXL7	FBXL7	NONE	313	1
