GENE_ID	locusLine	bin_1_26_0F2C_0229Kronos_MM1S-KB-3hr-2_H3K27me3_hs-dm_i13.bam
1_MACS_peak_9483_lociStitched	chr12(.):52299837-52301271	1.0227
1_MACS_peak_9484_lociStitched	chr12(.):52341409-52342008	0.9101
2_MACS_peak_9485_lociStitched	chr12(.):52343797-52345251	0.7591
8_MACS_peak_9487_lociStitched	chr12(.):52397468-52417205	1.3133
1_MACS_peak_9495_lociStitched	chr12(.):52424586-52424991	0.5983
1_MACS_peak_9496_lociStitched	chr12(.):52428276-52428865	0.8902
1_MACS_peak_9497_lociStitched	chr12(.):52430292-52430767	0.7709
1_MACS_peak_9498_lociStitched	chr12(.):52459825-52460353	0.8063
5_MACS_peak_9499_lociStitched	chr12(.):52513217-52520947	1.1407
6_MACS_peak_9504_lociStitched	chr12(.):52524315-52530262	0.8733
1_MACS_peak_9510_lociStitched	chr12(.):52531389-52532098	0.7847
2_MACS_peak_9511_lociStitched	chr12(.):52533964-52537603	0.9573
1_MACS_peak_9513_lociStitched	chr12(.):52539935-52540241	0.9922
1_MACS_peak_9514_lociStitched	chr12(.):52541417-52542403	0.8943
1_MACS_peak_9515_lociStitched	chr12(.):52545000-52545670	1.0169
1_MACS_peak_9516_lociStitched	chr12(.):52556052-52556615	0.7868
2_MACS_peak_9517_lociStitched	chr12(.):52558272-52560281	0.8429
1_MACS_peak_9519_lociStitched	chr12(.):52562162-52562827	0.781
3_MACS_peak_9520_lociStitched	chr12(.):52563896-52570715	1.2912
1_MACS_peak_9523_lociStitched	chr12(.):52572046-52572760	0.9699
17_MACS_peak_9524_lociStitched	chr12(.):52573866-52607496	1.1449
1_MACS_peak_9541_lociStitched	chr12(.):52623208-52623602	0.885
3_MACS_peak_9542_lociStitched	chr12(.):52624738-52629803	1.0567
2_MACS_peak_9545_lociStitched	chr12(.):52641883-52644190	0.9266
6_MACS_peak_9547_lociStitched	chr12(.):52646476-52652405	0.9217
1_MACS_peak_9553_lociStitched	chr12(.):52656267-52656577	0.819
1_MACS_peak_9554_lociStitched	chr12(.):52673387-52673695	0.6079
1_MACS_peak_9555_lociStitched	chr12(.):52680936-52681282	0.7823
1_MACS_peak_9556_lociStitched	chr12(.):52682786-52685063	0.9639
10_MACS_peak_9557_lociStitched	chr12(.):52695473-52717478	1.2218
1_MACS_peak_9567_lociStitched	chr12(.):52718855-52719355	0.8672
3_MACS_peak_9568_lociStitched	chr12(.):52738137-52740846	0.6767
1_MACS_peak_9571_lociStitched	chr12(.):52744904-52745194	0.638
2_MACS_peak_9572_lociStitched	chr12(.):52747582-52751904	1.1244
5_MACS_peak_9574_lociStitched	chr12(.):52754355-52766218	1.2146
2_MACS_peak_9579_lociStitched	chr12(.):52770104-52772282	1.0693
1_MACS_peak_9581_lociStitched	chr12(.):52773491-52773895	0.5521
5_MACS_peak_9582_lociStitched	chr12(.):52778357-52783252	0.8562
6_MACS_peak_9587_lociStitched	chr12(.):52785129-52790962	0.9575
2_MACS_peak_9593_lociStitched	chr12(.):52794449-52796068	0.9072
3_MACS_peak_9595_lociStitched	chr12(.):52797102-52799492	0.8524
1_MACS_peak_9598_lociStitched	chr12(.):52802043-52802552	0.8185
1_MACS_peak_9599_lociStitched	chr12(.):52805297-52805706	0.7424
2_MACS_peak_9600_lociStitched	chr12(.):52817021-52818308	0.8688
3_MACS_peak_9602_lociStitched	chr12(.):52824836-52830247	1.0033
1_MACS_peak_9605_lociStitched	chr12(.):52831775-52832243	0.6484
3_MACS_peak_9606_lociStitched	chr12(.):52884516-52886972	0.7847
4_MACS_peak_9609_lociStitched	chr12(.):52913644-52918679	0.9041
1_MACS_peak_9613_lociStitched	chr12(.):52923699-52924037	0.689
3_MACS_peak_9614_lociStitched	chr12(.):52939914-52947209	1.1527
6_MACS_peak_9617_lociStitched	chr12(.):52948445-52952560	0.8231
5_MACS_peak_9623_lociStitched	chr12(.):52959608-52968159	0.998
2_MACS_peak_9628_lociStitched	chr12(.):52970001-52971894	0.7058
1_MACS_peak_9630_lociStitched	chr12(.):52973397-52973812	0.9126
2_MACS_peak_9631_lociStitched	chr12(.):52975402-52976386	0.8013
1_MACS_peak_9633_lociStitched	chr12(.):52981799-52982106	0.6519
1_MACS_peak_9634_lociStitched	chr12(.):53004336-53005040	0.9041
2_MACS_peak_9635_lociStitched	chr12(.):53007279-53008075	0.7629
3_MACS_peak_9637_lociStitched	chr12(.):53009610-53013062	1.0069
2_MACS_peak_9640_lociStitched	chr12(.):53037484-53039180	0.8253
2_MACS_peak_9642_lociStitched	chr12(.):53049421-53050816	0.6782
1_MACS_peak_9644_lociStitched	chr12(.):53052176-53052476	0.7694
1_MACS_peak_9645_lociStitched	chr12(.):53061434-53061754	0.7615
1_MACS_peak_9646_lociStitched	chr12(.):53068457-53069236	0.7173
3_MACS_peak_9647_lociStitched	chr12(.):53077702-53079971	0.8463
4_MACS_peak_9650_lociStitched	chr12(.):53083786-53089078	0.9529
4_MACS_peak_9654_lociStitched	chr12(.):53090128-53094451	0.8254
1_MACS_peak_9658_lociStitched	chr12(.):53101273-53101667	0.8504
2_MACS_peak_9659_lociStitched	chr12(.):53106414-53110402	1.1016
1_MACS_peak_9661_lociStitched	chr12(.):53118391-53118754	0.7569
7_MACS_peak_9662_lociStitched	chr12(.):53123239-53131114	0.8242
1_MACS_peak_9669_lociStitched	chr12(.):53141530-53142109	0.8016
1_MACS_peak_9670_lociStitched	chr12(.):53165910-53166511	0.7612
1_MACS_peak_9671_lociStitched	chr12(.):53169908-53170243	0.8672
4_MACS_peak_9672_lociStitched	chr12(.):53181904-53186679	0.9464
2_MACS_peak_9676_lociStitched	chr12(.):53187985-53189683	0.7516
2_MACS_peak_9678_lociStitched	chr12(.):53201213-53203224	0.9402
2_MACS_peak_9680_lociStitched	chr12(.):53205620-53206660	0.9072
2_MACS_peak_9682_lociStitched	chr12(.):53207675-53208842	0.9883
2_MACS_peak_9684_lociStitched	chr12(.):53210522-53212507	0.8807
4_MACS_peak_9686_lociStitched	chr12(.):53213998-53218849	0.958
1_MACS_peak_9690_lociStitched	chr12(.):53220484-53220863	0.8703
6_MACS_peak_9691_lociStitched	chr12(.):53225000-53236685	0.9823
8_MACS_peak_9697_lociStitched	chr12(.):53237795-53246353	0.988
1_MACS_peak_9705_lociStitched	chr12(.):53251259-53251574	0.6415
6_MACS_peak_9706_lociStitched	chr12(.):53253216-53257808	0.7505
1_MACS_peak_9712_lociStitched	chr12(.):53274635-53275210	0.9135
1_MACS_peak_9713_lociStitched	chr12(.):53285927-53286406	1.039
1_MACS_peak_9714_lociStitched	chr12(.):53288885-53289214	0.8316
1_MACS_peak_9715_lociStitched	chr12(.):53291053-53291371	0.8486
7_MACS_peak_9716_lociStitched	chr12(.):53292963-53300719	0.7811
1_MACS_peak_9723_lociStitched	chr12(.):53310097-53310491	0.6151
4_MACS_peak_9724_lociStitched	chr12(.):53337271-53343782	0.9014
2_MACS_peak_9728_lociStitched	chr12(.):53358629-53360394	0.8241
2_MACS_peak_9730_lociStitched	chr12(.):53369161-53371446	0.7955
2_MACS_peak_9732_lociStitched	chr12(.):53451323-53455793	1.3317
1_MACS_peak_9734_lociStitched	chr12(.):53490539-53490931	0.6716
1_MACS_peak_9735_lociStitched	chr12(.):53720277-53720736	0.8796
3_MACS_peak_9736_lociStitched	chr12(.):53729589-53732795	0.9375
1_MACS_peak_9739_lociStitched	chr12(.):54071442-54072006	1.0952
1_MACS_peak_9740_lociStitched	chr12(.):54087348-54091973	1.4608
1_MACS_peak_9741_lociStitched	chr12(.):54093365-54093960	0.8378
1_MACS_peak_9742_lociStitched	chr12(.):54096789-54097212	0.7897
2_MACS_peak_9743_lociStitched	chr12(.):54130981-54133502	1.219
5_MACS_peak_9745_lociStitched	chr12(.):54137719-54154556	1.2245
1_MACS_peak_9750_lociStitched	chr12(.):54288157-54288614	0.8169
3_MACS_peak_9751_lociStitched	chr12(.):54320225-54324497	0.8831
4_MACS_peak_9754_lociStitched	chr12(.):54327457-54335946	1.2309
13_MACS_peak_9758_lociStitched	chr12(.):54337720-54411732	1.7686
4_MACS_peak_9771_lociStitched	chr12(.):54413503-54434308	1.5873
5_MACS_peak_9775_lociStitched	chr12(.):54436980-54442725	0.9639
1_MACS_peak_9780_lociStitched	chr12(.):54444667-54444972	0.5655
2_MACS_peak_9781_lociStitched	chr12(.):54446198-54448229	1.0571
5_MACS_peak_9783_lociStitched	chr12(.):54452762-54456156	0.8095
4_MACS_peak_9788_lociStitched	chr12(.):54499731-54502813	0.9012
1_MACS_peak_9792_lociStitched	chr12(.):54519686-54521482	1.2404
12_MACS_peak_9793_lociStitched	chr12(.):54585003-54613186	1.2775
2_MACS_peak_9805_lociStitched	chr12(.):54692923-54695463	1.0558
1_MACS_peak_9807_lociStitched	chr12(.):54755204-54758068	1.1124
8_MACS_peak_9808_lociStitched	chr12(.):54759619-54772664	1.0575
2_MACS_peak_9816_lociStitched	chr12(.):54785696-54787435	0.923
1_MACS_peak_9818_lociStitched	chr12(.):54796812-54797430	0.9005
4_MACS_peak_9819_lociStitched	chr12(.):54810110-54816089	0.9823
3_MACS_peak_9823_lociStitched	chr12(.):56474125-56476518	0.9359
1_MACS_peak_9826_lociStitched	chr12(.):56892094-56892949	0.8437
5_MACS_peak_9827_lociStitched	chr12(.):57522412-57527791	0.8185
1_MACS_peak_9832_lociStitched	chr12(.):57529442-57529824	0.882
1_MACS_peak_9833_lociStitched	chr12(.):57559403-57559859	0.92
1_MACS_peak_9834_lociStitched	chr12(.):57567263-57567939	0.8326
10_MACS_peak_9835_lociStitched	chr12(.):57570178-57619839	1.7321
2_MACS_peak_9845_lociStitched	chr12(.):57630707-57636735	1.5919
1_MACS_peak_9847_lociStitched	chr12(.):57637826-57639219	1.0117
1_MACS_peak_9848_lociStitched	chr12(.):57854243-57855574	1.3225
4_MACS_peak_9849_lociStitched	chr12(.):57857849-57861607	0.8478
1_MACS_peak_9853_lociStitched	chr12(.):57942517-57943620	0.9016
1_MACS_peak_9854_lociStitched	chr12(.):58006699-58007073	0.8349
2_MACS_peak_9855_lociStitched	chr12(.):58012343-58018025	1.5508
1_MACS_peak_9857_lociStitched	chr12(.):58158197-58160891	1.5408
1_MACS_peak_9858_lociStitched	chr12(.):68088618-68089163	0.8477
1_MACS_peak_9859_lociStitched	chr12(.):91399840-91401716	1.1335
1_MACS_peak_9860_lociStitched	chr12(.):91404094-91404994	0.9829
1_MACS_peak_9861_lociStitched	chr12(.):93454773-93456314	1.1084
2_MACS_peak_9862_lociStitched	chr12(.):96183723-96185308	0.6114
2_MACS_peak_9864_lociStitched	chr12(.):101384489-101388273	0.9357
2_MACS_peak_9866_lociStitched	chr12(.):101390108-101394267	1.0164
4_MACS_peak_9868_lociStitched	chr12(.):106975849-106980943	1.1168
4_MACS_peak_9872_lociStitched	chr12(.):107713112-107715357	0.8539
1_MACS_peak_9876_lociStitched	chr12(.):107758049-107758201	0.8604
1_MACS_peak_9877_lociStitched	chr12(.):108523445-108524290	1.0189
2_MACS_peak_9878_lociStitched	chr12(.):109731490-109735404	1.0069
1_MACS_peak_9880_lociStitched	chr12(.):109746724-109747058	0.6241
1_MACS_peak_9881_lociStitched	chr12(.):110052744-110053129	0.58
1_MACS_peak_9882_lociStitched	chr12(.):111470745-111471192	0.5987
2_MACS_peak_9883_lociStitched	chr12(.):111472736-111473915	0.979
1_MACS_peak_9885_lociStitched	chr12(.):111475010-111475318	0.5717
1_MACS_peak_9886_lociStitched	chr12(.):111606898-111607335	0.8006
1_MACS_peak_9887_lociStitched	chr12(.):111639989-111640613	0.8932
1_MACS_peak_9888_lociStitched	chr12(.):111652181-111652439	0.6619
2_MACS_peak_9889_lociStitched	chr12(.):113494545-113496246	0.8227
1_MACS_peak_9891_lociStitched	chr12(.):113835747-113836046	0.3262
14_MACS_peak_9892_lociStitched	chr12(.):113901097-113915828	0.8688
1_MACS_peak_9906_lociStitched	chr12(.):114108994-114109297	0.679
1_MACS_peak_9907_lociStitched	chr12(.):114835722-114836071	0.7801
1_MACS_peak_9908_lociStitched	chr12(.):114839569-114839972	0.7947
3_MACS_peak_9909_lociStitched	chr12(.):114841013-114844716	0.8212
1_MACS_peak_9912_lociStitched	chr12(.):114850935-114851230	0.5066
3_MACS_peak_9913_lociStitched	chr12(.):115103387-115105582	0.807
1_MACS_peak_9916_lociStitched	chr12(.):115134901-115135341	0.8713
1_MACS_peak_9917_lociStitched	chr12(.):115312054-115312479	1.9943
4_MACS_peak_9918_lociStitched	chr12(.):117316314-117319927	0.671
1_MACS_peak_9922_lociStitched	chr12(.):117796222-117796871	0.7827
1_MACS_peak_9923_lociStitched	chr12(.):117797921-117798674	1.1006
1_MACS_peak_9924_lociStitched	chr12(.):118167737-118168070	0.6181
5_MACS_peak_9925_lociStitched	chr12(.):120802788-120806255	0.8189
1_MACS_peak_9930_lociStitched	chr12(.):120807271-120809591	1.0503
1_MACS_peak_9931_lociStitched	chr12(.):121079911-121080269	0.8026
2_MACS_peak_9932_lociStitched	chr12(.):121087314-121088604	0.546
1_MACS_peak_9934_lociStitched	chr12(.):122460684-122461760	0.9121
1_MACS_peak_9935_lociStitched	chr12(.):122468570-122469074	0.9119
1_MACS_peak_9936_lociStitched	chr12(.):124789730-124790039	0.6756
1_MACS_peak_9937_lociStitched	chr12(.):130503257-130503613	0.5829
1_MACS_peak_9938_lociStitched	chr12(.):131508919-131509223	0.8705
1_MACS_peak_9939_lociStitched	chr12(.):131534272-131534562	0.512
1_MACS_peak_9940_lociStitched	chr12(.):131537324-131537649	0.6885
1_MACS_peak_9941_lociStitched	chr12(.):131551305-131551625	0.7207
1_MACS_peak_9942_lociStitched	chr12(.):131615111-131615427	0.7627
1_MACS_peak_9943_lociStitched	chr12(.):131621250-131621585	0.5936
2_MACS_peak_9944_lociStitched	chr12(.):131623154-131624090	0.6417
1_MACS_peak_9946_lociStitched	chr12(.):131701350-131701736	0.5515
1_MACS_peak_9947_lociStitched	chr12(.):131863402-131864007	0.671
1_MACS_peak_9948_lociStitched	chr12(.):131867668-131867900	0.4358
4_MACS_peak_9949_lociStitched	chr12(.):132100544-132103753	0.6605
1_MACS_peak_9953_lociStitched	chr12(.):132177230-132177560	0.7383
1_MACS_peak_9954_lociStitched	chr12(.):132311111-132311449	0.5861
1_MACS_peak_9955_lociStitched	chr12(.):132313239-132316460	1.0352
1_MACS_peak_9956_lociStitched	chr12(.):132317538-132317866	0.7389
1_MACS_peak_9957_lociStitched	chr12(.):132319362-132319668	0.7644
1_MACS_peak_9958_lociStitched	chr12(.):132321996-132322979	0.8071
2_MACS_peak_9959_lociStitched	chr12(.):132329623-132330793	0.8233
3_MACS_peak_9961_lociStitched	chr12(.):132336093-132339624	0.8803
1_MACS_peak_9964_lociStitched	chr12(.):132360298-132360604	0.6685
1_MACS_peak_9965_lociStitched	chr12(.):132366707-132367067	0.4632
4_MACS_peak_9966_lociStitched	chr12(.):132655111-132657886	0.8868
1_MACS_peak_9970_lociStitched	chr12(.):132658916-132659229	0.6245
1_MACS_peak_9971_lociStitched	chr12(.):132660860-132661163	0.7959
2_MACS_peak_9972_lociStitched	chr12(.):132670084-132673679	0.891
1_MACS_peak_9974_lociStitched	chr12(.):132676194-132676525	0.6712
1_MACS_peak_9975_lociStitched	chr12(.):132695402-132695704	0.7557
1_MACS_peak_9976_lociStitched	chr12(.):132699117-132699483	0.9515
1_MACS_peak_9977_lociStitched	chr12(.):132836834-132837137	0.571
1_MACS_peak_9978_lociStitched	chr12(.):132863364-132863818	0.7076
1_MACS_peak_9979_lociStitched	chr12(.):132885400-132885785	0.7244
1_MACS_peak_9980_lociStitched	chr12(.):132893677-132894071	0.7528
1_MACS_peak_9981_lociStitched	chr12(.):132898046-132898335	0.8458
1_MACS_peak_9982_lociStitched	chr12(.):132902387-132902702	0.4758
2_MACS_peak_9983_lociStitched	chr12(.):132915295-132916248	0.6245
1_MACS_peak_9985_lociStitched	chr12(.):132922512-132922877	0.7994
1_MACS_peak_9986_lociStitched	chr12(.):132930205-132930847	0.8135
1_MACS_peak_9987_lociStitched	chr12(.):132932778-132933080	0.8068
2_MACS_peak_9988_lociStitched	chr12(.):132957981-132959609	0.8577
4_MACS_peak_9990_lociStitched	chr12(.):132961082-132965157	0.7876
2_MACS_peak_9994_lociStitched	chr12(.):132973927-132975026	0.5713
1_MACS_peak_9996_lociStitched	chr12(.):132976570-132976883	0.5323
2_MACS_peak_9997_lociStitched	chr12(.):132979801-132981465	0.6122
1_MACS_peak_9999_lociStitched	chr12(.):132982973-132983265	0.6599
3_MACS_peak_10000_lociStitched	chr12(.):133011619-133013447	0.8003
1_MACS_peak_10003_lociStitched	chr12(.):133018292-133018626	0.6776
1_MACS_peak_10004_lociStitched	chr12(.):133029070-133029908	0.759
1_MACS_peak_10005_lociStitched	chr12(.):133048101-133048457	0.5519
2_MACS_peak_10006_lociStitched	chr12(.):133057316-133058891	0.8791
4_MACS_peak_10008_lociStitched	chr12(.):133060682-133063301	0.7679
1_MACS_peak_10012_lociStitched	chr12(.):133165623-133166230	0.8216
1_MACS_peak_10013_lociStitched	chr12(.):133169992-133170411	0.9968
3_MACS_peak_10014_lociStitched	chr12(.):133175290-133177751	0.7432
2_MACS_peak_10017_lociStitched	chr12(.):133179243-133180230	0.607
1_MACS_peak_10019_lociStitched	chr12(.):133181877-133182171	0.468
1_MACS_peak_10020_lociStitched	chr12(.):133425042-133425344	0.5892
1_MACS_peak_10021_lociStitched	chr13(.):28033683-28034230	0.9678
2_MACS_peak_10022_lociStitched	chr13(.):28494998-28496955	0.8089
3_MACS_peak_10024_lociStitched	chr13(.):28541343-28543325	0.8637
1_MACS_peak_10027_lociStitched	chr13(.):29068136-29068642	0.8261
1_MACS_peak_10028_lociStitched	chr13(.):31609832-31610297	0.9547
1_MACS_peak_10029_lociStitched	chr13(.):49151096-49151889	0.8605
1_MACS_peak_10030_lociStitched	chr13(.):98794449-98794820	0.5964
1_MACS_peak_10031_lociStitched	chr13(.):100068054-100071533	1.2944
1_MACS_peak_10032_lociStitched	chr13(.):100073290-100076924	1.6647
3_MACS_peak_10033_lociStitched	chr13(.):100078307-100083884	1.1623
1_MACS_peak_10036_lociStitched	chr13(.):100091248-100091637	0.6844
1_MACS_peak_10037_lociStitched	chr13(.):100631779-100632092	0.8771
1_MACS_peak_10038_lociStitched	chr13(.):107186356-107186671	0.7597
1_MACS_peak_10039_lociStitched	chr13(.):110960642-110961230	0.6839
1_MACS_peak_10040_lociStitched	chr13(.):111133654-111134074	0.6915
1_MACS_peak_10041_lociStitched	chr13(.):112715501-112715761	0.7285
2_MACS_peak_10042_lociStitched	chr13(.):112770467-112771962	0.9411
3_MACS_peak_10044_lociStitched	chr13(.):112785006-112787661	0.7775
1_MACS_peak_10047_lociStitched	chr13(.):112825749-112827696	1.3084
8_MACS_peak_10048_lociStitched	chr13(.):112830026-112838255	0.8735
2_MACS_peak_10056_lociStitched	chr13(.):112855746-112856650	0.8248
1_MACS_peak_10058_lociStitched	chr13(.):112857796-112858345	0.6362
1_MACS_peak_10059_lociStitched	chr13(.):112881282-112881592	0.7047
1_MACS_peak_10060_lociStitched	chr13(.):112888654-112888971	0.8063
1_MACS_peak_10061_lociStitched	chr13(.):112890668-112890909	0.5496
2_MACS_peak_10062_lociStitched	chr13(.):112899370-112900835	0.9925
1_MACS_peak_10064_lociStitched	chr13(.):112902379-112903091	0.7472
3_MACS_peak_10065_lociStitched	chr13(.):112904969-112910776	0.9476
1_MACS_peak_10068_lociStitched	chr13(.):112977963-112978336	0.9484
1_MACS_peak_10069_lociStitched	chr13(.):112986092-112987932	1.0125
1_MACS_peak_10070_lociStitched	chr13(.):113004511-113004785	0.6271
7_MACS_peak_10071_lociStitched	chr13(.):113096091-113108107	1.0538
1_MACS_peak_10078_lociStitched	chr13(.):113290919-113291238	0.6095
3_MACS_peak_10079_lociStitched	chr13(.):113543251-113553233	1.4326
1_MACS_peak_10082_lociStitched	chr13(.):113562649-113563504	0.7727
1_MACS_peak_10083_lociStitched	chr13(.):113566192-113566528	0.647
1_MACS_peak_10084_lociStitched	chr13(.):113568447-113568771	0.7141
1_MACS_peak_10085_lociStitched	chr13(.):113571012-113572303	0.9932
3_MACS_peak_10086_lociStitched	chr13(.):113592564-113595571	0.7416
2_MACS_peak_10089_lociStitched	chr13(.):113597843-113598813	0.832
3_MACS_peak_10091_lociStitched	chr13(.):113599818-113602138	0.7428
5_MACS_peak_10094_lociStitched	chr13(.):113606856-113625940	1.258
7_MACS_peak_10099_lociStitched	chr13(.):113627147-113666355	1.5886
15_MACS_peak_10106_lociStitched	chr13(.):113667832-113710938	1.3955
4_MACS_peak_10121_lociStitched	chr13(.):113713632-113721685	1.441
1_MACS_peak_10125_lociStitched	chr13(.):113724868-113725192	0.7619
14_MACS_peak_10126_lociStitched	chr13(.):113727544-113759283	1.2483
7_MACS_peak_10140_lociStitched	chr13(.):113768136-113781596	1.173
1_MACS_peak_10147_lociStitched	chr13(.):113783334-113783622	0.5911
1_MACS_peak_10148_lociStitched	chr13(.):113795041-113795874	0.8501
3_MACS_peak_10149_lociStitched	chr13(.):113797132-113802205	1.0291
4_MACS_peak_10152_lociStitched	chr13(.):113803625-113808137	0.974
4_MACS_peak_10156_lociStitched	chr13(.):113810259-113818259	1.1922
4_MACS_peak_10160_lociStitched	chr13(.):113945393-113949125	0.9591
5_MACS_peak_10164_lociStitched	chr13(.):113986347-113990535	0.8003
1_MACS_peak_10169_lociStitched	chr13(.):113997962-113998320	0.7118
1_MACS_peak_10170_lociStitched	chr13(.):113999986-114000362	0.6029
2_MACS_peak_10171_lociStitched	chr13(.):114002003-114006054	1.2532
3_MACS_peak_10173_lociStitched	chr13(.):114007243-114009611	0.7764
7_MACS_peak_10176_lociStitched	chr13(.):114012968-114023858	0.9414
1_MACS_peak_10183_lociStitched	chr13(.):114024945-114025470	0.6803
8_MACS_peak_10184_lociStitched	chr13(.):114027266-114038251	1.1376
1_MACS_peak_10192_lociStitched	chr13(.):114046687-114047125	0.7377
9_MACS_peak_10193_lociStitched	chr13(.):114049459-114074492	1.5469
2_MACS_peak_10202_lociStitched	chr13(.):114076006-114078832	1.1586
1_MACS_peak_10204_lociStitched	chr13(.):114079945-114080384	0.8351
2_MACS_peak_10205_lociStitched	chr13(.):114084187-114085326	0.7964
3_MACS_peak_10207_lociStitched	chr13(.):114309857-114312533	0.9097
4_MACS_peak_10210_lociStitched	chr13(.):114322551-114325792	0.8678
2_MACS_peak_10214_lociStitched	chr13(.):114431082-114434240	1.0585
1_MACS_peak_10216_lociStitched	chr13(.):114437852-114438198	0.6443
4_MACS_peak_10217_lociStitched	chr13(.):114453573-114456554	0.6973
2_MACS_peak_10221_lociStitched	chr14(.):21537355-21538152	0.8527
1_MACS_peak_10223_lociStitched	chr14(.):23306488-23307007	1.0162
1_MACS_peak_10224_lociStitched	chr14(.):23450154-23451250	1.021
1_MACS_peak_10225_lociStitched	chr14(.):23819199-23819521	0.8352
2_MACS_peak_10226_lociStitched	chr14(.):23820839-23822001	0.6417
1_MACS_peak_10228_lociStitched	chr14(.):23834824-23835562	0.9484
1_MACS_peak_10229_lociStitched	chr14(.):23846858-23847299	0.7288
1_MACS_peak_10230_lociStitched	chr14(.):23856674-23857232	0.9286
2_MACS_peak_10231_lociStitched	chr14(.):23858518-23859578	0.9423
4_MACS_peak_10233_lociStitched	chr14(.):23872868-23878063	0.8943
1_MACS_peak_10237_lociStitched	chr14(.):23880311-23881404	0.8151
3_MACS_peak_10238_lociStitched	chr14(.):23882804-23885499	1.0265
1_MACS_peak_10241_lociStitched	chr14(.):23888873-23889347	0.7893
1_MACS_peak_10242_lociStitched	chr14(.):24523895-24524423	0.9048
1_MACS_peak_10243_lociStitched	chr14(.):24526077-24526425	0.7961
1_MACS_peak_10244_lociStitched	chr14(.):51560803-51561206	0.6854
1_MACS_peak_10245_lociStitched	chr14(.):65209040-65209387	0.787
1_MACS_peak_10246_lociStitched	chr14(.):73700875-73701189	0.6481
3_MACS_peak_10247_lociStitched	chr14(.):73703755-73706097	0.8518
2_MACS_peak_10250_lociStitched	chr14(.):74706289-74708758	0.9863
3_MACS_peak_10252_lociStitched	chr14(.):74724762-74726443	0.8804
3_MACS_peak_10255_lociStitched	chr14(.):74974649-74980832	1.0713
2_MACS_peak_10258_lociStitched	chr14(.):74983101-74984667	0.7821
1_MACS_peak_10260_lociStitched	chr14(.):74986296-74986709	0.8144
3_MACS_peak_10261_lociStitched	chr14(.):74988338-74990442	0.796
2_MACS_peak_10264_lociStitched	chr14(.):75077860-75079392	0.9364
1_MACS_peak_10266_lociStitched	chr14(.):75415870-75416266	0.6583
2_MACS_peak_10267_lociStitched	chr14(.):75421169-75422356	0.7461
1_MACS_peak_10269_lociStitched	chr14(.):77592063-77592679	0.6474
1_MACS_peak_10270_lociStitched	chr14(.):77605455-77608100	1.103
1_MACS_peak_10271_lociStitched	chr14(.):77736574-77737698	1.0759
1_MACS_peak_10272_lociStitched	chr14(.):88237543-88238019	3.9529
2_MACS_peak_10273_lociStitched	chr14(.):92980345-92981380	0.8445
1_MACS_peak_10275_lociStitched	chr14(.):95235048-95235706	1.1603
1_MACS_peak_10276_lociStitched	chr14(.):99739584-99739962	0.8052
7_MACS_peak_10277_lociStitched	chr14(.):100196928-100207584	0.9841
1_MACS_peak_10284_lociStitched	chr14(.):100217402-100217834	0.7753
4_MACS_peak_10285_lociStitched	chr14(.):100219938-100222561	0.864
7_MACS_peak_10289_lociStitched	chr14(.):100612103-100617485	0.7778
1_MACS_peak_10296_lociStitched	chr14(.):100620022-100620338	0.6231
1_MACS_peak_10297_lociStitched	chr14(.):100630896-100631195	0.6116
1_MACS_peak_10298_lociStitched	chr14(.):100632752-100633133	0.8877
2_MACS_peak_10299_lociStitched	chr14(.):100771996-100773427	0.839
1_MACS_peak_10301_lociStitched	chr14(.):100774640-100775804	0.8199
1_MACS_peak_10302_lociStitched	chr14(.):100780295-100780604	0.7242
1_MACS_peak_10303_lociStitched	chr14(.):100788164-100788752	0.8934
3_MACS_peak_10304_lociStitched	chr14(.):100791882-100794233	0.798
9_MACS_peak_10307_lociStitched	chr14(.):101013330-101022301	0.8523
7_MACS_peak_10316_lociStitched	chr14(.):101023422-101030566	0.9125
10_MACS_peak_10323_lociStitched	chr14(.):101031777-101042853	0.8764
1_MACS_peak_10333_lociStitched	chr14(.):101043981-101044705	0.9052
3_MACS_peak_10334_lociStitched	chr14(.):101047230-101049236	0.8294
1_MACS_peak_10337_lociStitched	chr14(.):101051069-101051381	0.6408
1_MACS_peak_10338_lociStitched	chr14(.):101055223-101055628	0.5944
5_MACS_peak_10339_lociStitched	chr14(.):101057467-101061370	0.8483
1_MACS_peak_10344_lociStitched	chr14(.):101072293-101072720	0.8172
6_MACS_peak_10345_lociStitched	chr14(.):101075322-101079668	0.7439
5_MACS_peak_10351_lociStitched	chr14(.):101084345-101087790	0.7825
1_MACS_peak_10356_lociStitched	chr14(.):101090389-101090696	0.8181
3_MACS_peak_10357_lociStitched	chr14(.):101095453-101097215	0.8275
8_MACS_peak_10360_lociStitched	chr14(.):101099738-101104339	0.8385
2_MACS_peak_10368_lociStitched	chr14(.):101107225-101108906	0.564
1_MACS_peak_10370_lociStitched	chr14(.):101117690-101118002	0.5186
1_MACS_peak_10371_lociStitched	chr14(.):101120038-101120606	0.8316
2_MACS_peak_10372_lociStitched	chr14(.):101121782-101123450	0.7597
1_MACS_peak_10374_lociStitched	chr14(.):101130773-101131105	0.7945
2_MACS_peak_10375_lociStitched	chr14(.):101132688-101134558	0.6524
9_MACS_peak_10377_lociStitched	chr14(.):101138456-101146556	0.8164
