GENE_ID	locusLine	H3k18ac_5_DMSO_compare_signal
MACS_peak_7861_2	chr13(.):43598361-43598614	0.1781
MACS_peak_7862	chr13(.):43617977-43620308	0.7565
MACS_peak_7863	chr13(.):43623548-43624625	0.4675
MACS_peak_7864	chr13(.):43628619-43630264	0.6094
MACS_peak_7865	chr13(.):43661979-43662857	0.5813
MACS_peak_7866	chr13(.):43941842-43942996	0.2734
MACS_peak_7868_1	chr13(.):44452659-44452825	0.1266
MACS_peak_7868_2	chr13(.):44452826-44452967	0.3305
MACS_peak_7868_3	chr13(.):44452968-44454418	2.6917
MACS_peak_7868_4	chr13(.):44454419-44454653	0.1289
MACS_peak_7869	chr13(.):44661985-44664286	0.265
MACS_peak_7870	chr13(.):44715135-44718668	1.055
MACS_peak_7870	chr13(.):44715135-44718668	1.055
MACS_peak_7871	chr13(.):44771152-44773602	0.5972
MACS_peak_7872	chr13(.):44814541-44818928	0.5693
MACS_peak_7873	chr13(.):44847710-44849607	0.5067
MACS_peak_7874_1	chr13(.):45008489-45009978	0.9357
MACS_peak_7874_2	chr13(.):45009979-45011850	0.4857
MACS_peak_7875_1	chr13(.):45149701-45151700	1.4971
MACS_peak_7875_2	chr13(.):45151701-45152896	1.2936
MACS_peak_7876	chr13(.):45491177-45493246	0.8809
MACS_peak_7877_1	chr13(.):45562927-45564407	0.4276
MACS_peak_7878_1	chr13(.):45693449-45693629	0.0103
MACS_peak_7878_2	chr13(.):45693630-45695629	0.6259
MACS_peak_7880	chr13(.):45871455-45873005	0.2835
MACS_peak_7881_1	chr13(.):45914067-45914296	0.1389
MACS_peak_7881_2	chr13(.):45914297-45914478	0.1936
MACS_peak_7881_3	chr13(.):45914479-45916253	1.4051
MACS_peak_7882	chr13(.):45940995-45942961	0.5003
MACS_peak_7883	chr13(.):45965104-45965702	0.504
MACS_peak_7884_1	chr13(.):45990754-45991515	0.6511
MACS_peak_7884_2	chr13(.):45991516-45992923	0.5687
MACS_peak_7885_1	chr13(.):46038343-46040069	0.8883
MACS_peak_7885_2	chr13(.):46040070-46040186	0.0235
MACS_peak_7886	chr13(.):46269237-46271161	0.4396
MACS_peak_7887_1	chr13(.):46271613-46275444	3.1852
MACS_peak_7887_2	chr13(.):46275445-46277444	4.1931
MACS_peak_7887_3	chr13(.):46277445-46278639	0.4728
MACS_peak_7888	chr13(.):46278676-46281451	0.6695
MACS_peak_7889_1	chr13(.):46626148-46627319	0.5769
MACS_peak_7890	chr13(.):46750650-46752282	0.4512
MACS_peak_7891_1	chr13(.):46753830-46755458	0.4187
MACS_peak_7891_2	chr13(.):46755459-46757458	1.692
MACS_peak_7891_3	chr13(.):46757459-46759024	0.5408
MACS_peak_7892	chr13(.):46775746-46777485	0.4061
MACS_peak_7893	chr13(.):46784945-46786718	0.7354
MACS_peak_7894	chr13(.):46951098-46952177	0.2921
MACS_peak_7895_1	chr13(.):47127243-47128294	1.1668
MACS_peak_7895_2	chr13(.):47128295-47129064	0.9825
MACS_peak_7896	chr13(.):47171813-47172869	0.3946
MACS_peak_7897	chr13(.):47240537-47243693	0.9427
MACS_peak_7898	chr13(.):47252840-47254972	0.5388
MACS_peak_7899_1	chr13(.):47370393-47371741	1.1518
MACS_peak_7900	chr13(.):47556082-47559404	0.9586
MACS_peak_7901	chr13(.):47569974-47571152	0.2622
MACS_peak_7904	chr13(.):48278871-48280243	0.2618
MACS_peak_7905_1	chr13(.):48574644-48575830	0.5774
MACS_peak_7906_1	chr13(.):48611339-48612701	1.5721
MACS_peak_7906_2	chr13(.):48612702-48613099	0.3108
MACS_peak_7907_1	chr13(.):48668327-48669637	0.4089
MACS_peak_7908_1	chr13(.):48806947-48808272	1.172
MACS_peak_7908_2	chr13(.):48808273-48808604	0.0942
MACS_peak_7909	chr13(.):48859878-48862074	0.2302
MACS_peak_7910_1	chr13(.):48876803-48876881	0.0303
MACS_peak_7910_2	chr13(.):48876882-48878881	2.1651
MACS_peak_7910_3	chr13(.):48878882-48879338	0.2964
MACS_peak_7911	chr13(.):49065774-49067165	0.516
MACS_peak_7912	chr13(.):49079044-49081132	0.4057
MACS_peak_7913_1	chr13(.):49105542-49106315	0.7482
MACS_peak_7913_2	chr13(.):49106316-49107855	2.3546
MACS_peak_7914	chr13(.):49210286-49211822	0.2825
MACS_peak_7915	chr13(.):49457609-49459544	0.5124
MACS_peak_7916_1	chr13(.):49549181-49551046	2.0312
MACS_peak_7916_2	chr13(.):49551047-49555391	0.6303
MACS_peak_7917_1	chr13(.):49821239-49823037	0.6045
MACS_peak_7919_1	chr13(.):50017066-50017220	0.1437
MACS_peak_7919_2	chr13(.):50017221-50017427	0.486
MACS_peak_7919_3	chr13(.):50017428-50019220	2.3281
MACS_peak_7919_4	chr13(.):50019221-50019427	0.7253
MACS_peak_7919_5	chr13(.):50019428-50019830	0.5639
MACS_peak_7920_1	chr13(.):50068859-50069526	0.8671
MACS_peak_7920_2	chr13(.):50069527-50070799	1.952
MACS_peak_7920_3	chr13(.):50070800-50071289	0.1997
MACS_peak_7921	chr13(.):50113928-50115420	1.3878
MACS_peak_7922_1	chr13(.):50159010-50160524	1.3626
MACS_peak_7923_1	chr13(.):50264981-50266064	0.6174
MACS_peak_7924_1	chr13(.):50365424-50366056	0.4653
MACS_peak_7924_2	chr13(.):50366057-50368056	1.1065
MACS_peak_7924_3	chr13(.):50368057-50368195	0.0191
MACS_peak_7925_1	chr13(.):50509730-50510597	0.641
MACS_peak_7926_1	chr13(.):50570297-50571055	1.1059
MACS_peak_7927_1	chr13(.):50571099-50571636	3.31
MACS_peak_7927_2	chr13(.):50571637-50572044	0.4703
MACS_peak_7928_1	chr13(.):50654155-50655412	1.3035
MACS_peak_7928_2	chr13(.):50655413-50657412	2.6848
MACS_peak_7928_3	chr13(.):50657413-50657542	0.0789
MACS_peak_7930_1	chr13(.):50697442-50698676	2.411
MACS_peak_7930_2	chr13(.):50698677-50700676	3.2797
MACS_peak_7930_3	chr13(.):50700677-50701242	0.2274
MACS_peak_7931	chr13(.):50702301-50706130	0.7618
MACS_peak_7932	chr13(.):50726137-50728107	0.9759
MACS_peak_7933	chr13(.):50938948-50940578	0.5757
MACS_peak_7934	chr13(.):50960783-50962148	0.3967
MACS_peak_7935	chr13(.):51001347-51004121	0.4162
MACS_peak_7936	chr13(.):51085058-51088522	0.8165
MACS_peak_7937	chr13(.):51100458-51102791	0.5586
MACS_peak_7938	chr13(.):51224005-51226002	0.5556
MACS_peak_7939	chr13(.):51329948-51331160	1.0627
MACS_peak_7940	chr13(.):51467125-51469069	0.408
MACS_peak_7941_1	chr13(.):51483418-51484890	3.2431
MACS_peak_7941_2	chr13(.):51484891-51486504	0.909
MACS_peak_7942	chr13(.):51490673-51491784	0.393
MACS_peak_7943	chr13(.):51565123-51567546	0.2367
MACS_peak_7945_1	chr13(.):52025177-52026274	1.2105
MACS_peak_7945_2	chr13(.):52026275-52027352	1.9745
MACS_peak_7946_1	chr13(.):52027403-52028274	3.0144
MACS_peak_7946_2	chr13(.):52028275-52028849	0.4826
MACS_peak_7947_1	chr13(.):52157483-52159482	1.0094
MACS_peak_7948	chr13(.):52337884-52340036	0.8952
MACS_peak_7949_1	chr13(.):52376172-52377233	0.42
MACS_peak_7949_2	chr13(.):52377234-52377292	0.3159
MACS_peak_7949_3	chr13(.):52377293-52379015	1.7645
MACS_peak_7952_1	chr13(.):52732744-52732995	0.2181
MACS_peak_7952_2	chr13(.):52732996-52734067	1.4575
MACS_peak_7953_1	chr13(.):52767798-52769566	0.6554
MACS_peak_7955	chr13(.):52871884-52873549	0.3528
MACS_peak_7956	chr13(.):52897474-52901268	0.7125
MACS_peak_7957_1	chr13(.):53023500-53023762	0.2611
MACS_peak_7957_2	chr13(.):53023763-53025222	1.6077
MACS_peak_7958_1	chr13(.):53026907-53028493	1.1718
MACS_peak_7958_2	chr13(.):53028494-53030493	3.2794
MACS_peak_7958_3	chr13(.):53030494-53030576	0.0118
MACS_peak_7959	chr13(.):53069737-53070817	0.1753
MACS_peak_7960	chr13(.):53071064-53074015	1.0144
MACS_peak_7961	chr13(.):53086849-53089081	0.432
MACS_peak_7962	chr13(.):53138764-53140346	0.4754
MACS_peak_7963	chr13(.):53173456-53174881	1.1315
MACS_peak_7964_1	chr13(.):53190636-53192277	0.8457
MACS_peak_7965_1	chr13(.):53225690-53225829	0.0407
MACS_peak_7965_2	chr13(.):53225830-53227813	1.4822
MACS_peak_7966	chr13(.):53353451-53355712	0.3366
MACS_peak_7968	chr13(.):53424609-53427187	2.22
MACS_peak_7969	chr13(.):53440603-53444542	0.5936
MACS_peak_7970	chr13(.):53476761-53478198	0.2864
MACS_peak_7971	chr13(.):53494412-53496725	0.518
MACS_peak_7972	chr13(.):53724355-53726853	0.3472
MACS_peak_7973	chr13(.):57991741-57993584	0.6714
MACS_peak_7974	chr13(.):60318509-60320274	0.3413
MACS_peak_7975	chr13(.):60328090-60329422	0.5671
MACS_peak_7976_1	chr13(.):60737196-60738929	1.0646
MACS_peak_7977_1	chr13(.):60969858-60970425	0.9997
MACS_peak_7977_2	chr13(.):60970426-60971589	2.5866
MACS_peak_7977_3	chr13(.):60971590-60972425	1.5894
MACS_peak_7977_4	chr13(.):60972426-60972687	0.5494
MACS_peak_7978	chr13(.):61944171-61945676	0.3478
MACS_peak_7979	chr13(.):62781734-62784943	0.623
MACS_peak_7979	chr13(.):62781734-62784943	0.623
MACS_peak_7981	chr13(.):65727402-65729581	1.0
MACS_peak_7982	chr13(.):65756455-65758265	0.4136
MACS_peak_7983	chr13(.):65834552-65836024	0.7341
MACS_peak_7987	chr13(.):67404966-67405936	0.5869
MACS_peak_7988	chr13(.):67568135-67570815	1.2198
MACS_peak_7989_1	chr13(.):67804317-67805467	0.9591
MACS_peak_7989_2	chr13(.):67805468-67805821	0.5308
MACS_peak_7990	chr13(.):69125837-69126909	0.2783
MACS_peak_7991	chr13(.):70573302-70574706	0.4971
MACS_peak_7992	chr13(.):70663723-70664908	0.3459
MACS_peak_7993	chr13(.):70735378-70737304	0.351
MACS_peak_7994	chr13(.):71864681-71866682	0.7096
MACS_peak_7995	chr13(.):72538421-72539249	0.2245
MACS_peak_7997_1	chr13(.):73300878-73300937	0.0046
MACS_peak_7997_2	chr13(.):73300938-73301040	0.0338
MACS_peak_7997_3	chr13(.):73301041-73302707	1.1617
MACS_peak_7998_1	chr13(.):73355245-73355343	0.1582
MACS_peak_7998_2	chr13(.):73355344-73357031	0.7169
MACS_peak_7999_1	chr13(.):73632938-73634075	0.5914
MACS_peak_8000	chr13(.):74275599-74277623	1.3588
MACS_peak_8001	chr13(.):74289205-74290631	1.2212
MACS_peak_8002	chr13(.):74534357-74536548	1.0306
MACS_peak_8003	chr13(.):74541025-74542789	0.5367
MACS_peak_8004	chr13(.):74600386-74602367	1.9351
MACS_peak_8005	chr13(.):74634820-74638781	1.0637
MACS_peak_8006	chr13(.):74643002-74645493	0.6863
MACS_peak_8007_1	chr13(.):74707301-74709065	0.9558
MACS_peak_8007_2	chr13(.):74709066-74711078	2.539
MACS_peak_8008	chr13(.):74861091-74863595	0.5663
MACS_peak_8009_1	chr13(.):76055475-76057199	0.7308
MACS_peak_8010_1	chr13(.):76111293-76112757	1.687
MACS_peak_8011_1	chr13(.):76123245-76124897	1.5731
MACS_peak_8012	chr13(.):76209190-76211351	1.511
MACS_peak_8013	chr13(.):76443728-76445373	0.5912
MACS_peak_8014	chr13(.):76786560-76789105	0.6757
MACS_peak_8016	chr13(.):76905754-76907536	0.3734
MACS_peak_8017	chr13(.):76907537-76908786	0.8145
MACS_peak_8019	chr13(.):77318520-77320227	0.5911
MACS_peak_8020	chr13(.):77389511-77391620	0.6341
MACS_peak_8021	chr13(.):77453034-77454669	0.8461
MACS_peak_8022_1	chr13(.):77458217-77459539	0.6681
MACS_peak_8022_2	chr13(.):77459540-77461478	1.474
MACS_peak_8023_1	chr13(.):77565162-77567057	2.1171
MACS_peak_8023_2	chr13(.):77567058-77567922	0.4679
MACS_peak_8024_1	chr13(.):77600081-77600330	0.0441
MACS_peak_8024_2	chr13(.):77600331-77602143	1.7502
MACS_peak_8025_1	chr13(.):77898954-77900176	1.0287
MACS_peak_8025_2	chr13(.):77900177-77902176	1.9041
MACS_peak_8025_3	chr13(.):77902177-77905351	3.1746
MACS_peak_8026	chr13(.):77911714-77914760	1.3874
MACS_peak_8027	chr13(.):77989264-77990457	0.36
MACS_peak_8028	chr13(.):78002836-78005478	0.7894
MACS_peak_8029	chr13(.):78051785-78053120	1.1517
MACS_peak_8030	chr13(.):78087579-78088956	0.4075
MACS_peak_8031	chr13(.):78118154-78119665	0.3248
MACS_peak_8032_1	chr13(.):78270261-78271250	0.3999
MACS_peak_8032_2	chr13(.):78271251-78271468	1.203
MACS_peak_8032_3	chr13(.):78271469-78273250	2.1719
MACS_peak_8032_4	chr13(.):78273251-78273468	0.773
MACS_peak_8032_5	chr13(.):78273469-78273783	1.0786
MACS_peak_8033	chr13(.):78303427-78304722	0.5429
MACS_peak_8034	chr13(.):78353357-78355484	2.432
MACS_peak_8035	chr13(.):78594684-78598410	1.247
MACS_peak_8037	chr13(.):78619820-78621598	0.3838
MACS_peak_8038	chr13(.):78674708-78677417	1.2645
MACS_peak_8039	chr13(.):78689055-78696851	3.5177
MACS_peak_8040	chr13(.):78704279-78707100	1.4607
MACS_peak_8041	chr13(.):78711146-78712666	0.921
MACS_peak_8042	chr13(.):78733787-78736421	1.0717
MACS_peak_8043	chr13(.):78873800-78875028	0.325
MACS_peak_8045	chr13(.):78972172-78974203	0.5436
MACS_peak_8046	chr13(.):79038276-79040892	0.7603
MACS_peak_8048_1	chr13(.):79232101-79232313	0.2603
MACS_peak_8048_2	chr13(.):79232314-79234157	1.7145
MACS_peak_8049	chr13(.):79643776-79645035	0.4134
MACS_peak_8050	chr13(.):79682689-79684254	0.5322
MACS_peak_8051	chr13(.):79767847-79771222	0.3292
MACS_peak_8052	chr13(.):79819584-79821103	0.625
MACS_peak_8053_1	chr13(.):79978607-79978922	0.4299
MACS_peak_8053_2	chr13(.):79978923-79980922	3.909
MACS_peak_8053_3	chr13(.):79980923-79981539	0.3085
MACS_peak_8054_1	chr13(.):80054914-80056257	1.6595
MACS_peak_8054_2	chr13(.):80056258-80056541	0.038
MACS_peak_8055	chr13(.):80163404-80164715	0.5265
MACS_peak_8056	chr13(.):80194896-80196892	0.5966
MACS_peak_8057	chr13(.):80354287-80355248	0.3014
MACS_peak_8058	chr13(.):80622245-80624508	0.6157
MACS_peak_8059_1	chr13(.):80913962-80914085	0.0303
MACS_peak_8059_2	chr13(.):80914086-80914964	0.363
MACS_peak_8060_1	chr13(.):80914979-80916037	0.5617
MACS_peak_8061	chr13(.):81017778-81019026	0.201
MACS_peak_8062	chr13(.):81027636-81029551	0.2922
MACS_peak_8063	chr13(.):81690344-81691676	0.633
MACS_peak_8065	chr13(.):83734537-83737915	0.7074
MACS_peak_8066	chr13(.):83793291-83797094	2.765
MACS_peak_8067	chr13(.):84306254-84308444	0.6367
MACS_peak_8068	chr13(.):84549253-84550696	0.3538
MACS_peak_8069	chr13(.):84700021-84702306	2.4685
MACS_peak_8070	chr13(.):84710022-84712301	1.0354
MACS_peak_8071	chr13(.):84836297-84839221	2.2098
MACS_peak_8072	chr13(.):85535774-85537018	0.8137
MACS_peak_8073	chr13(.):85546511-85548338	1.0324
MACS_peak_8074	chr13(.):86682666-86684412	0.5166
MACS_peak_8075	chr13(.):88187721-88190664	1.1315
MACS_peak_8076_1	chr13(.):88322990-88323868	1.1039
MACS_peak_8076_2	chr13(.):88323869-88324217	0.4677
MACS_peak_8076_3	chr13(.):88324218-88324331	0.0413
MACS_peak_8077	chr13(.):88329774-88330717	0.4308
MACS_peak_8078	chr13(.):90024436-90025751	0.1876
MACS_peak_8080	chr13(.):91170781-91172316	0.4075
MACS_peak_8081	chr13(.):91274749-91276028	0.5951
MACS_peak_8082	chr13(.):91708429-91710115	1.0737
MACS_peak_8083	chr13(.):91983310-91984210	0.3583
MACS_peak_8084_1	chr13(.):91998862-91999072	0.0565
MACS_peak_8084_2	chr13(.):91999073-92001072	1.1346
MACS_peak_8084_3	chr13(.):92001073-92001857	0.3887
MACS_peak_8084_4	chr13(.):92001858-92002003	0.0414
MACS_peak_8084_5	chr13(.):92002004-92002076	0.0446
MACS_peak_8085	chr13(.):92429877-92431074	0.5323
MACS_peak_8087	chr13(.):93495097-93496972	0.5593
MACS_peak_8088_1	chr13(.):93878921-93880076	1.1505
MACS_peak_8088_2	chr13(.):93880077-93881177	1.2124
MACS_peak_8089	chr13(.):94964431-94965708	0.4659
MACS_peak_8090	chr13(.):95200274-95202459	2.4697
MACS_peak_8091	chr13(.):95203462-95204911	0.5001
MACS_peak_8092_1	chr13(.):95247125-95247510	0.5013
MACS_peak_8092_2	chr13(.):95247511-95249317	1.1475
MACS_peak_8093_1	chr13(.):95253567-95255102	1.2674
MACS_peak_8094	chr13(.):95879051-95880678	0.3835
MACS_peak_8095_1	chr13(.):95952851-95954639	0.6593
MACS_peak_8096	chr13(.):96107575-96112115	1.5669
MACS_peak_8097	chr13(.):96115292-96116368	0.2182
MACS_peak_8098	chr13(.):96119746-96122385	0.3699
MACS_peak_8098	chr13(.):96119746-96122385	0.3699
MACS_peak_8099	chr13(.):96129958-96132013	0.9399
MACS_peak_8100	chr13(.):96259185-96263267	0.8533
MACS_peak_8101_1	chr13(.):96328049-96328391	0.2393
MACS_peak_8101_2	chr13(.):96328392-96330391	2.223
MACS_peak_8101_3	chr13(.):96330392-96330787	0.1833
MACS_peak_8103	chr13(.):96400977-96403704	0.3104
MACS_peak_8105_1	chr13(.):96704616-96704735	0.0
MACS_peak_8105_2	chr13(.):96704736-96706639	1.5519
MACS_peak_8106	chr13(.):96720152-96722405	0.4359
MACS_peak_8108	chr13(.):97423498-97425622	0.3227
MACS_peak_8109	chr13(.):97634662-97637128	0.5521
MACS_peak_8110_1	chr13(.):97645849-97647168	0.6695
MACS_peak_8111_1	chr13(.):97873858-97875572	0.7017
MACS_peak_8111_2	chr13(.):97875573-97880263	1.1218
MACS_peak_8112	chr13(.):97909793-97911294	0.2889
MACS_peak_8113	chr13(.):98020987-98025036	0.8273
MACS_peak_8113	chr13(.):98020987-98025036	0.8273
MACS_peak_8114_1	chr13(.):98083913-98085473	1.1272
MACS_peak_8114_2	chr13(.):98085474-98087473	2.3527
MACS_peak_8114_3	chr13(.):98087474-98087788	0.4578
MACS_peak_8115	chr13(.):98110732-98113754	1.1775
MACS_peak_8116	chr13(.):98199739-98201569	0.7402
MACS_peak_8117	chr13(.):98627472-98630230	2.5032
MACS_peak_8118_1	chr13(.):98794338-98794432	0.1421
MACS_peak_8118_2	chr13(.):98794433-98796432	0.8721
MACS_peak_8118_1	chr13(.):98794338-98794432	0.1421
MACS_peak_8118_2	chr13(.):98794433-98796432	0.8721
MACS_peak_8119	chr13(.):99128300-99130502	0.5285
MACS_peak_8120	chr13(.):99139146-99142960	0.7012
MACS_peak_8121	chr13(.):99222527-99225148	0.3772
MACS_peak_8122_1	chr13(.):99227626-99228395	0.5287
MACS_peak_8122_2	chr13(.):99228396-99230395	1.6894
MACS_peak_8122_3	chr13(.):99230396-99230611	0.0914
MACS_peak_8122_1	chr13(.):99227626-99228395	0.5287
MACS_peak_8122_2	chr13(.):99228396-99230395	1.6894
MACS_peak_8122_3	chr13(.):99230396-99230611	0.0914
MACS_peak_8124	chr13(.):99505167-99507610	1.3014
MACS_peak_8126_1	chr13(.):99738056-99739659	1.5901
MACS_peak_8126_2	chr13(.):99739660-99741054	1.9868
MACS_peak_8127	chr13(.):99780383-99782673	0.6038
MACS_peak_8129_1	chr13(.):99851952-99852008	0.1055
MACS_peak_8129_2	chr13(.):99852011-99852161	0.1516
MACS_peak_8129_3	chr13(.):99852162-99853677	2.3382
MACS_peak_8129_4	chr13(.):99853678-99854008	0.169
MACS_peak_8129_5	chr13(.):99854011-99854161	0.1068
MACS_peak_8129_6	chr13(.):99854162-99854309	0.1152
MACS_peak_8130	chr13(.):99879938-99882239	0.5458
MACS_peak_8131	chr13(.):99933584-99935040	0.2907
MACS_peak_8132	chr13(.):99983578-99985579	0.3333
MACS_peak_8133_1	chr13(.):100007198-100007383	0.0214
MACS_peak_8133_2	chr13(.):100007384-100009383	0.4338
MACS_peak_8133_3	chr13(.):100009384-100010385	0.2592
MACS_peak_8134	chr13(.):100071768-100073666	0.382
MACS_peak_8136	chr13(.):100084123-100086186	0.5154
MACS_peak_8137	chr13(.):100147787-100149492	0.7787
MACS_peak_8138	chr13(.):100150042-100151886	1.1945
MACS_peak_8139_1	chr13(.):100152802-100154726	1.2837
MACS_peak_8139_2	chr13(.):100154727-100154838	0.1427
MACS_peak_8140_1	chr13(.):100257828-100257917	0.2361
MACS_peak_8140_2	chr13(.):100257918-100259857	1.6617
MACS_peak_8141_1	chr13(.):100632683-100633317	0.8123
MACS_peak_8141_2	chr13(.):100633318-100633724	0.5136
MACS_peak_8142_1	chr13(.):100740398-100742267	1.091
MACS_peak_8142_2	chr13(.):100742268-100742360	0.2196
MACS_peak_8143	chr13(.):101044781-101047936	0.8776
MACS_peak_8145	chr13(.):101148848-101150823	0.3875
MACS_peak_8146_1	chr13(.):101240122-101241517	1.5702
MACS_peak_8147_1	chr13(.):101325586-101326102	0.2906
MACS_peak_8147_2	chr13(.):101326103-101328102	1.3233
MACS_peak_8147_3	chr13(.):101328103-101328411	0.1357
MACS_peak_8148	chr13(.):101439433-101444843	0.8354
MACS_peak_8149	chr13(.):101565021-101566551	0.5675
MACS_peak_8151_1	chr13(.):102067586-102067812	0.1518
MACS_peak_8151_2	chr13(.):102067813-102069460	1.3955
MACS_peak_8152_1	chr13(.):102105577-102105964	0.5994
MACS_peak_8152_2	chr13(.):102105965-102106700	0.7243
MACS_peak_8153_1	chr13(.):103045927-103047855	2.5952
MACS_peak_8154	chr13(.):103236606-103237867	0.4757
MACS_peak_8155	chr13(.):103243489-103245925	2.1858
MACS_peak_8156_1	chr13(.):103247447-103248284	0.4464
MACS_peak_8156_2	chr13(.):103248285-103250284	4.6517
MACS_peak_8156_3	chr13(.):103250285-103250675	0.6284
MACS_peak_8157_1	chr13(.):103424757-103425148	0.3838
MACS_peak_8157_2	chr13(.):103425149-103426997	1.9582
MACS_peak_8158	chr13(.):103431032-103433534	0.5897
MACS_peak_8160_1	chr13(.):103450720-103452397	1.1291
MACS_peak_8160_2	chr13(.):103452404-103453511	1.503
MACS_peak_8161_1	chr13(.):103496764-103497172	0.1459
MACS_peak_8161_2	chr13(.):103497173-103499172	3.392
MACS_peak_8161_3	chr13(.):103499173-103500153	0.8131
MACS_peak_8163	chr13(.):104220031-104221854	0.294
MACS_peak_8164	chr13(.):105790965-105793292	2.0001
MACS_peak_8165_1	chr13(.):107218792-107219513	0.6474
MACS_peak_8165_2	chr13(.):107219514-107221268	2.6163
MACS_peak_8166	chr13(.):107569968-107570914	1.1861
MACS_peak_8168	chr13(.):108578236-108579527	2.55
MACS_peak_8169_1	chr13(.):108869762-108871715	1.1675
MACS_peak_8170_1	chr13(.):108921561-108922975	0.795
MACS_peak_8170_2	chr13(.):108922976-108923589	0.1823
MACS_peak_8171	chr13(.):109507498-109509044	0.8271
MACS_peak_8172	chr13(.):109511138-109512891	0.4067
MACS_peak_8173	chr13(.):109566689-109569316	2.7866
MACS_peak_8174	chr13(.):109782567-109785707	0.711
MACS_peak_8175	chr13(.):109811986-109816372	1.2917
MACS_peak_8177	chr13(.):109906535-109908447	0.3187
MACS_peak_8178	chr13(.):109983839-109985921	0.4998
MACS_peak_8179	chr13(.):110199318-110201926	0.5877
MACS_peak_8180	chr13(.):110221800-110223796	0.3811
MACS_peak_8181	chr13(.):110297556-110299719	0.3959
MACS_peak_8182_1	chr13(.):110437658-110437913	0.0151
MACS_peak_8182_2	chr13(.):110437914-110439913	1.8265
MACS_peak_8182_3	chr13(.):110439914-110444166	0.933
MACS_peak_8182_1	chr13(.):110437658-110437913	0.0151
MACS_peak_8182_2	chr13(.):110437914-110439913	1.8265
MACS_peak_8182_3	chr13(.):110439914-110444166	0.933
MACS_peak_8183	chr13(.):110681611-110684385	1.3382
MACS_peak_8184	chr13(.):110688658-110691744	0.9456
MACS_peak_8185	chr13(.):110706632-110708694	0.9358
MACS_peak_8186	chr13(.):110788680-110791957	2.5177
MACS_peak_8187	chr13(.):111176148-111180061	1.0972
MACS_peak_8188	chr13(.):111207500-111209241	0.4442
MACS_peak_8189_1	chr13(.):111213229-111214963	0.401
MACS_peak_8190	chr13(.):111227264-111229314	0.63
MACS_peak_8191_1	chr13(.):111267273-111269006	0.8486
MACS_peak_8191_2	chr13(.):111269007-111269331	0.2048
MACS_peak_8192	chr13(.):111327706-111330073	1.0904
MACS_peak_8194_1	chr13(.):111357480-111359479	1.2071
MACS_peak_8194_2	chr13(.):111359480-111359543	0.0322
MACS_peak_8195_1	chr13(.):111363691-111364081	0.406
MACS_peak_8195_2	chr13(.):111364082-111364608	1.061
MACS_peak_8195_3	chr13(.):111364624-111366081	2.1881
MACS_peak_8195_4	chr13(.):111366082-111366357	0.3458
MACS_peak_8195_5	chr13(.):111366358-111366608	0.6111
MACS_peak_8195_6	chr13(.):111366624-111368357	1.2546
MACS_peak_8195_7	chr13(.):111368358-111369180	1.1244
MACS_peak_8197_1	chr13(.):111521951-111523654	0.4506
MACS_peak_8198	chr13(.):111551804-111554645	0.383
MACS_peak_8199_1	chr13(.):111563713-111566415	1.1122
MACS_peak_8199_2	chr13(.):111566416-111568415	3.9097
MACS_peak_8199_3	chr13(.):111568416-111568819	0.3188
MACS_peak_8201	chr13(.):111698257-111700463	1.6739
MACS_peak_8203_1	chr13(.):111805102-111807059	1.8964
MACS_peak_8203_2	chr13(.):111807060-111807357	0.2554
MACS_peak_8205	chr13(.):112024295-112026754	1.3331
MACS_peak_8206_1	chr13(.):113241065-113241480	0.3687
MACS_peak_8206_2	chr13(.):113241481-113243389	4.2828
MACS_peak_8208_1	chr13(.):113343253-113343641	0.3152
MACS_peak_8208_2	chr13(.):113343642-113345641	1.5752
MACS_peak_8208_3	chr13(.):113345642-113346173	0.4857
MACS_peak_8209	chr13(.):113347547-113348985	0.3751
MACS_peak_8210	chr13(.):113456609-113458376	1.3096
MACS_peak_8211	chr13(.):113584634-113586562	1.2838
MACS_peak_8212	chr13(.):113644587-113646019	0.2261
MACS_peak_8213_1	chr13(.):113861726-113862028	0.1432
MACS_peak_8213_2	chr13(.):113862029-113862084	0.1101
MACS_peak_8213_3	chr13(.):113862085-113862929	1.5057
MACS_peak_8213_4	chr13(.):113862930-113864028	2.1179
MACS_peak_8213_5	chr13(.):113864029-113864084	1.1508
MACS_peak_8213_6	chr13(.):113864085-113864929	0.7414
MACS_peak_8213_7	chr13(.):113864930-113865049	0.059
MACS_peak_8214_1	chr13(.):113950530-113952467	1.2598
MACS_peak_8214_2	chr13(.):113952468-113952737	0.2392
MACS_peak_8215	chr13(.):114080097-114081949	0.6139
MACS_peak_8216_1	chr13(.):114143797-114144022	0.1821
MACS_peak_8216_2	chr13(.):114144023-114144306	0.344
MACS_peak_8216_3	chr13(.):114144307-114146022	2.5611
MACS_peak_8216_4	chr13(.):114146023-114146306	0.5033
MACS_peak_8216_5	chr13(.):114146307-114146450	0.2245
MACS_peak_8217	chr13(.):114147322-114148687	1.1644
MACS_peak_8218_1	chr13(.):114238206-114240001	1.319
MACS_peak_8218_2	chr13(.):114240002-114240054	0.3652
MACS_peak_8218_3	chr13(.):114240055-114240328	0.1943
MACS_peak_8218_1	chr13(.):114238206-114240001	1.319
MACS_peak_8218_2	chr13(.):114240002-114240054	0.3652
MACS_peak_8218_3	chr13(.):114240055-114240328	0.1943
