GENE_ID	locusLine	bin_1_24_0F2A_0229Kronos_MM1S-KB-1hr-2_H3K27me3_hs-dm_i06.bam
1_MACS_peak_6796_lociStitched	chr11(.):1589242-1589582	0.5483
9_MACS_peak_6797_lociStitched	chr11(.):1590723-1609997	1.3326
1_MACS_peak_6806_lociStitched	chr11(.):1610500-1611764	1.1463
4_MACS_peak_6807_lociStitched	chr11(.):1612893-1615145	0.9311
2_MACS_peak_6811_lociStitched	chr11(.):1616392-1620661	1.7292
1_MACS_peak_6813_lociStitched	chr11(.):1621350-1621847	0.8965
1_MACS_peak_6814_lociStitched	chr11(.):1622360-1622835	0.8431
4_MACS_peak_6815_lociStitched	chr11(.):1624132-1632242	1.5809
2_MACS_peak_6819_lociStitched	chr11(.):1633106-1635241	1.049
8_MACS_peak_6821_lociStitched	chr11(.):1636231-1670751	1.6058
4_MACS_peak_6829_lociStitched	chr11(.):1671275-1692922	2.0001
3_MACS_peak_6833_lociStitched	chr11(.):1693457-1696872	1.0005
3_MACS_peak_6836_lociStitched	chr11(.):1698569-1701395	1.0609
8_MACS_peak_6839_lociStitched	chr11(.):1702100-1723168	1.8042
1_MACS_peak_6847_lociStitched	chr11(.):1723887-1724629	0.9192
1_MACS_peak_6848_lociStitched	chr11(.):1726436-1727341	0.9486
1_MACS_peak_6849_lociStitched	chr11(.):1727853-1729096	1.4545
6_MACS_peak_6850_lociStitched	chr11(.):1730018-1737529	1.0717
3_MACS_peak_6856_lociStitched	chr11(.):1738065-1740261	1.0212
1_MACS_peak_6859_lociStitched	chr11(.):1741685-1742857	1.3709
7_MACS_peak_6860_lociStitched	chr11(.):1744145-1752362	1.0929
1_MACS_peak_6867_lociStitched	chr11(.):1753336-1758325	1.4472
1_MACS_peak_6868_lociStitched	chr11(.):1758933-1759536	0.9195
1_MACS_peak_6869_lociStitched	chr11(.):1760386-1761687	1.1228
1_MACS_peak_6870_lociStitched	chr11(.):1762230-1762887	1.1314
1_MACS_peak_6871_lociStitched	chr11(.):1763397-1763732	0.8693
3_MACS_peak_6872_lociStitched	chr11(.):1764776-1766868	1.1589
3_MACS_peak_6875_lociStitched	chr11(.):1768755-1771728	0.9832
3_MACS_peak_6878_lociStitched	chr11(.):1787071-1796489	1.4166
3_MACS_peak_6881_lociStitched	chr11(.):1797509-1808662	2.0965
6_MACS_peak_6884_lociStitched	chr11(.):1809642-1813666	0.8699
1_MACS_peak_6890_lociStitched	chr11(.):1814510-1815411	0.9949
4_MACS_peak_6891_lociStitched	chr11(.):1815914-1820429	1.2972
1_MACS_peak_6895_lociStitched	chr11(.):1821256-1822163	1.2984
9_MACS_peak_6896_lociStitched	chr11(.):1823065-1842672	1.3079
1_MACS_peak_6905_lociStitched	chr11(.):1843477-1858920	2.4975
5_MACS_peak_6906_lociStitched	chr11(.):1861528-1868811	1.1608
4_MACS_peak_6911_lociStitched	chr11(.):1886013-1888581	0.9024
10_MACS_peak_6915_lociStitched	chr11(.):1889311-1897296	0.971
3_MACS_peak_6925_lociStitched	chr11(.):1900605-1902736	1.1265
1_MACS_peak_6928_lociStitched	chr11(.):1910628-1910916	0.7974
3_MACS_peak_6929_lociStitched	chr11(.):1911483-1913723	0.8865
1_MACS_peak_6932_lociStitched	chr11(.):1917081-1917547	0.9018
5_MACS_peak_6933_lociStitched	chr11(.):1918182-1932878	1.2749
1_MACS_peak_6938_lociStitched	chr11(.):1934212-1935555	1.3382
2_MACS_peak_6939_lociStitched	chr11(.):1937502-1954027	2.2681
1_MACS_peak_6941_lociStitched	chr11(.):1954533-1960889	2.6628
3_MACS_peak_6942_lociStitched	chr11(.):1961887-1968236	1.1466
5_MACS_peak_6945_lociStitched	chr11(.):1982251-2063134	2.5881
1_MACS_peak_6950_lociStitched	chr11(.):2089599-2090087	0.9435
5_MACS_peak_6951_lociStitched	chr11(.):2091665-2098163	1.2483
1_MACS_peak_6956_lociStitched	chr11(.):2099256-2099531	0.6127
1_MACS_peak_6957_lociStitched	chr11(.):2104450-2104770	0.6784
8_MACS_peak_6958_lociStitched	chr11(.):2105598-2127473	1.5248
3_MACS_peak_6966_lociStitched	chr11(.):2128334-2132770	1.4387
3_MACS_peak_6969_lociStitched	chr11(.):2134383-2138732	1.2693
1_MACS_peak_6972_lociStitched	chr11(.):2140883-2143883	1.7153
2_MACS_peak_6973_lociStitched	chr11(.):2144749-2145893	0.9191
3_MACS_peak_6975_lociStitched	chr11(.):2149148-2160395	1.6646
2_MACS_peak_6978_lociStitched	chr11(.):2160898-2162857	1.2869
7_MACS_peak_6980_lociStitched	chr11(.):2163413-2208245	1.8198
3_MACS_peak_6987_lociStitched	chr11(.):2209164-2226721	1.6887
2_MACS_peak_6990_lociStitched	chr11(.):2227343-2239443	1.9141
1_MACS_peak_6992_lociStitched	chr11(.):2243899-2244363	0.9566
2_MACS_peak_6993_lociStitched	chr11(.):2255855-2259267	1.1813
1_MACS_peak_6995_lociStitched	chr11(.):2265099-2265368	0.6253
4_MACS_peak_6996_lociStitched	chr11(.):2269060-2273525	1.1223
2_MACS_peak_7000_lociStitched	chr11(.):2277587-2285637	1.9777
1_MACS_peak_7002_lociStitched	chr11(.):2289219-2289498	0.5583
4_MACS_peak_7003_lociStitched	chr11(.):2291874-2298325	1.2012
8_MACS_peak_7007_lociStitched	chr11(.):2305812-2326694	1.5574
7_MACS_peak_7015_lociStitched	chr11(.):2327472-2343137	1.6874
3_MACS_peak_7022_lociStitched	chr11(.):2347162-2352501	1.0548
1_MACS_peak_7025_lociStitched	chr11(.):2353093-2353388	0.623
4_MACS_peak_7026_lociStitched	chr11(.):2356783-2359334	1.1397
2_MACS_peak_7030_lociStitched	chr11(.):2359890-2361098	1.3834
1_MACS_peak_7032_lociStitched	chr11(.):2362351-2362738	0.794
1_MACS_peak_7033_lociStitched	chr11(.):2363687-2364012	0.6253
1_MACS_peak_7034_lociStitched	chr11(.):2367837-2368150	0.8552
3_MACS_peak_7035_lociStitched	chr11(.):2373079-2376189	1.0112
1_MACS_peak_7038_lociStitched	chr11(.):2376814-2377656	1.0273
1_MACS_peak_7039_lociStitched	chr11(.):2378273-2379836	1.0362
3_MACS_peak_7040_lociStitched	chr11(.):2380681-2392379	1.399
1_MACS_peak_7043_lociStitched	chr11(.):2393362-2393757	1.0677
4_MACS_peak_7044_lociStitched	chr11(.):2394926-2405480	1.5982
1_MACS_peak_7048_lociStitched	chr11(.):2406034-2407283	1.3314
1_MACS_peak_7049_lociStitched	chr11(.):2408115-2408571	0.7396
1_MACS_peak_7050_lociStitched	chr11(.):2409835-2410491	0.8555
2_MACS_peak_7051_lociStitched	chr11(.):2411382-2418426	1.681
3_MACS_peak_7053_lociStitched	chr11(.):2426278-2449488	2.7169
1_MACS_peak_7056_lociStitched	chr11(.):2880464-2880758	1.0622
1_MACS_peak_7057_lociStitched	chr11(.):2884228-2884967	1.1797
1_MACS_peak_7058_lociStitched	chr11(.):2891980-2892444	0.7929
1_MACS_peak_7059_lociStitched	chr11(.):2893095-2893394	0.8045
1_MACS_peak_7060_lociStitched	chr11(.):2905625-2906096	1.1041
1_MACS_peak_7061_lociStitched	chr11(.):2907593-2909203	1.3821
4_MACS_peak_7062_lociStitched	chr11(.):2934032-2936833	1.0799
5_MACS_peak_7066_lociStitched	chr11(.):2937409-2951559	1.8709
4_MACS_peak_7071_lociStitched	chr11(.):3186797-3193497	1.3551
1_MACS_peak_7075_lociStitched	chr11(.):3206236-3206718	0.7502
1_MACS_peak_7076_lociStitched	chr11(.):3209495-3210147	0.9736
4_MACS_peak_7077_lociStitched	chr11(.):3210911-3226916	2.0211
1_MACS_peak_7081_lociStitched	chr11(.):3234878-3235418	0.9679
1_MACS_peak_7082_lociStitched	chr11(.):3236201-3237762	1.6034
2_MACS_peak_7083_lociStitched	chr11(.):3239224-3241682	1.4694
3_MACS_peak_7085_lociStitched	chr11(.):3247450-3250308	1.0691
1_MACS_peak_7088_lociStitched	chr11(.):3251847-3252875	1.3663
1_MACS_peak_7089_lociStitched	chr11(.):3311733-3312133	0.7399
1_MACS_peak_7090_lociStitched	chr11(.):3601015-3602403	1.126
1_MACS_peak_7091_lociStitched	chr11(.):3663431-3663789	0.9195
1_MACS_peak_7092_lociStitched	chr11(.):7694840-7695255	0.7801
1_MACS_peak_7093_lociStitched	chr11(.):8040300-8040639	0.6713
1_MACS_peak_7094_lociStitched	chr11(.):8250596-8250932	0.5893
1_MACS_peak_7095_lociStitched	chr11(.):8252562-8253121	0.7941
1_MACS_peak_7096_lociStitched	chr11(.):8283388-8284477	1.2557
1_MACS_peak_7097_lociStitched	chr11(.):8289178-8290612	1.3698
1_MACS_peak_7098_lociStitched	chr11(.):9025194-9025838	0.8115
2_MACS_peak_7099_lociStitched	chr11(.):9112515-9113608	0.8162
3_MACS_peak_7101_lociStitched	chr11(.):9285879-9288178	1.2121
1_MACS_peak_7104_lociStitched	chr11(.):10471788-10473608	1.6355
2_MACS_peak_7105_lociStitched	chr11(.):10952323-10953532	0.8927
1_MACS_peak_7107_lociStitched	chr11(.):16634162-16635029	1.4692
1_MACS_peak_7108_lociStitched	chr11(.):17249835-17250182	1.0754
1_MACS_peak_7109_lociStitched	chr11(.):17251270-17251573	0.7107
1_MACS_peak_7110_lociStitched	chr11(.):17254197-17254729	0.8691
1_MACS_peak_7111_lociStitched	chr11(.):17255300-17255714	1.0555
1_MACS_peak_7112_lociStitched	chr11(.):17256701-17257160	1.2385
2_MACS_peak_7113_lociStitched	chr11(.):17373712-17375368	1.0633
1_MACS_peak_7115_lociStitched	chr11(.):17497398-17498443	1.5464
2_MACS_peak_7116_lociStitched	chr11(.):17550810-17551782	0.8145
1_MACS_peak_7118_lociStitched	chr11(.):17627178-17627675	0.8819
1_MACS_peak_7119_lociStitched	chr11(.):17631701-17632042	0.5168
6_MACS_peak_7120_lociStitched	chr11(.):17758448-17763609	0.9319
1_MACS_peak_7126_lociStitched	chr11(.):17765386-17765674	0.6373
3_MACS_peak_7127_lociStitched	chr11(.):17768150-17770247	0.7577
1_MACS_peak_7130_lociStitched	chr11(.):17775437-17775782	0.7393
1_MACS_peak_7131_lociStitched	chr11(.):17795259-17795756	0.6985
1_MACS_peak_7132_lociStitched	chr11(.):17797115-17797403	0.7923
3_MACS_peak_7133_lociStitched	chr11(.):17798776-17800254	0.7456
1_MACS_peak_7136_lociStitched	chr11(.):18727947-18728645	1.0171
1_MACS_peak_7137_lociStitched	chr11(.):18812215-18814419	1.4644
1_MACS_peak_7138_lociStitched	chr11(.):20178577-20178877	0.9256
1_MACS_peak_7139_lociStitched	chr11(.):20182712-20183463	1.0392
1_MACS_peak_7140_lociStitched	chr11(.):20184461-20185278	0.9593
1_MACS_peak_7141_lociStitched	chr11(.):20622891-20623163	0.4899
1_MACS_peak_7142_lociStitched	chr11(.):23731918-23732120	0.6145
1_MACS_peak_7143_lociStitched	chr11(.):31826709-31827216	0.768
2_MACS_peak_7144_lociStitched	chr11(.):31831269-31833101	1.0494
1_MACS_peak_7146_lociStitched	chr11(.):31833788-31834634	0.9671
1_MACS_peak_7147_lociStitched	chr11(.):31835200-31837236	1.2502
2_MACS_peak_7148_lociStitched	chr11(.):33889867-33892456	1.2021
2_MACS_peak_7150_lociStitched	chr11(.):33913008-33914639	0.905
1_MACS_peak_7152_lociStitched	chr11(.):33915952-33917087	1.0098
1_MACS_peak_7153_lociStitched	chr11(.):33917708-33918188	0.8485
1_MACS_peak_7154_lociStitched	chr11(.):34377581-34379020	1.4248
2_MACS_peak_7155_lociStitched	chr11(.):35439687-35441185	0.9023
1_MACS_peak_7157_lociStitched	chr11(.):35936969-35937380	1.3182
2_MACS_peak_7158_lociStitched	chr11(.):35939741-35941334	1.0983
1_MACS_peak_7160_lociStitched	chr11(.):36397966-36398511	0.9499
4_MACS_peak_7161_lociStitched	chr11(.):43596889-43601512	1.145
2_MACS_peak_7165_lociStitched	chr11(.):43602254-43605495	1.5274
2_MACS_peak_7167_lociStitched	chr11(.):43892518-43895338	1.1955
1_MACS_peak_7169_lociStitched	chr11(.):43899240-43899484	0.8969
1_MACS_peak_7170_lociStitched	chr11(.):43963772-43964153	0.8635
1_MACS_peak_7171_lociStitched	chr11(.):44321861-44322128	0.6114
8_MACS_peak_7172_lociStitched	chr11(.):44323252-44334920	1.3349
2_MACS_peak_7180_lociStitched	chr11(.):44335845-44342057	1.4208
1_MACS_peak_7182_lociStitched	chr11(.):44541369-44542034	1.3052
1_MACS_peak_7183_lociStitched	chr11(.):44674771-44675043	0.6789
1_MACS_peak_7184_lociStitched	chr11(.):44747498-44748449	1.1874
1_MACS_peak_7185_lociStitched	chr11(.):44749697-44750441	1.137
1_MACS_peak_7186_lociStitched	chr11(.):44951339-44951762	0.5763
1_MACS_peak_7187_lociStitched	chr11(.):44952883-44953170	0.5744
1_MACS_peak_7188_lociStitched	chr11(.):44971134-44971476	0.7661
1_MACS_peak_7189_lociStitched	chr11(.):45123112-45123986	0.8003
1_MACS_peak_7190_lociStitched	chr11(.):45406486-45407273	0.9989
1_MACS_peak_7191_lociStitched	chr11(.):45413368-45414034	0.831
1_MACS_peak_7192_lociStitched	chr11(.):45415481-45416102	0.8213
2_MACS_peak_7193_lociStitched	chr11(.):45672392-45673792	0.8972
2_MACS_peak_7195_lociStitched	chr11(.):45674424-45675730	1.0144
1_MACS_peak_7197_lociStitched	chr11(.):45677192-45677658	0.8169
3_MACS_peak_7198_lociStitched	chr11(.):45680873-45689113	1.7978
1_MACS_peak_7201_lociStitched	chr11(.):45689868-45690600	0.9734
3_MACS_peak_7202_lociStitched	chr11(.):45917485-45928708	1.505
2_MACS_peak_7205_lociStitched	chr11(.):45943698-45946935	1.4391
1_MACS_peak_7207_lociStitched	chr11(.):46258931-46260964	1.3005
2_MACS_peak_7208_lociStitched	chr11(.):46298443-46303743	1.6051
1_MACS_peak_7210_lociStitched	chr11(.):46316061-46316347	0.7288
1_MACS_peak_7211_lociStitched	chr11(.):46316891-46318728	1.0137
2_MACS_peak_7212_lociStitched	chr11(.):46348077-46349647	1.1096
3_MACS_peak_7214_lociStitched	chr11(.):46350622-46358138	1.8318
1_MACS_peak_7217_lociStitched	chr11(.):46361119-46361439	0.8098
2_MACS_peak_7218_lociStitched	chr11(.):46363431-46365475	1.1096
2_MACS_peak_7220_lociStitched	chr11(.):46366842-46368781	1.1233
4_MACS_peak_7222_lociStitched	chr11(.):46403316-46414228	1.9122
1_MACS_peak_7226_lociStitched	chr11(.):46745458-46745755	0.5912
1_MACS_peak_7227_lociStitched	chr11(.):46938284-46940007	1.8123
1_MACS_peak_7228_lociStitched	chr11(.):47206129-47207683	1.2104
1_MACS_peak_7229_lociStitched	chr11(.):47209014-47209408	0.6501
1_MACS_peak_7230_lociStitched	chr11(.):47209920-47211163	0.9026
2_MACS_peak_7231_lociStitched	chr11(.):47363610-47370382	1.2362
1_MACS_peak_7233_lociStitched	chr11(.):47616390-47616705	0.878
2_MACS_peak_7234_lociStitched	chr11(.):47914631-47915518	0.688
1_MACS_peak_7236_lociStitched	chr11(.):47918234-47918728	0.8902
2_MACS_peak_7237_lociStitched	chr11(.):47919609-47921228	1.0259
1_MACS_peak_7239_lociStitched	chr11(.):47922680-47923327	0.8501
3_MACS_peak_7240_lociStitched	chr11(.):47924011-47928455	1.226
1_MACS_peak_7247_lociStitched	chr11(.):57115525-57116018	0.7448
1_MACS_peak_7248_lociStitched	chr11(.):57226517-57227593	1.8202
1_MACS_peak_7249_lociStitched	chr11(.):57406880-57407267	0.807
2_MACS_peak_7250_lociStitched	chr11(.):57413826-57416777	1.2513
1_MACS_peak_7252_lociStitched	chr11(.):58940353-58941202	1.0973
1_MACS_peak_7253_lociStitched	chr11(.):60691108-60693753	1.3974
1_MACS_peak_7254_lociStitched	chr11(.):60697950-60698255	0.6179
3_MACS_peak_7255_lociStitched	chr11(.):60701559-60705645	1.1543
2_MACS_peak_7258_lociStitched	chr11(.):60974661-60975598	0.7703
1_MACS_peak_7260_lociStitched	chr11(.):60978593-60978828	0.396
1_MACS_peak_7261_lociStitched	chr11(.):60979827-60980111	0.6093
2_MACS_peak_7262_lociStitched	chr11(.):60989954-60990677	0.6029
1_MACS_peak_7264_lociStitched	chr11(.):60997086-60997648	0.5688
1_MACS_peak_7265_lociStitched	chr11(.):61008653-61008884	0.4272
1_MACS_peak_7266_lociStitched	chr11(.):61012432-61013451	0.8701
2_MACS_peak_7267_lociStitched	chr11(.):61015469-61017134	0.7615
1_MACS_peak_7269_lociStitched	chr11(.):61018243-61018667	0.9061
1_MACS_peak_7270_lociStitched	chr11(.):61060922-61062300	1.1199
1_MACS_peak_7271_lociStitched	chr11(.):61245961-61246561	0.9147
3_MACS_peak_7272_lociStitched	chr11(.):61247514-61255574	1.5055
2_MACS_peak_7275_lociStitched	chr11(.):61256503-61260045	1.1774
2_MACS_peak_7277_lociStitched	chr11(.):61261029-61262817	0.9979
5_MACS_peak_7279_lociStitched	chr11(.):61272596-61281035	1.3482
2_MACS_peak_7284_lociStitched	chr11(.):61281609-61283513	1.1874
7_MACS_peak_7286_lociStitched	chr11(.):61284444-61313671	1.833
3_MACS_peak_7293_lociStitched	chr11(.):61314568-61325452	1.481
5_MACS_peak_7296_lociStitched	chr11(.):61326133-61330634	0.9679
1_MACS_peak_7301_lociStitched	chr11(.):61336927-61337778	0.9362
3_MACS_peak_7302_lociStitched	chr11(.):61338782-61348352	1.581
14_MACS_peak_7305_lociStitched	chr11(.):61349067-61372691	1.2829
6_MACS_peak_7319_lociStitched	chr11(.):61373324-61380016	1.2435
1_MACS_peak_7325_lociStitched	chr11(.):61380579-61381407	0.9206
1_MACS_peak_7326_lociStitched	chr11(.):61382332-61382673	0.8962
2_MACS_peak_7327_lociStitched	chr11(.):61384902-61386740	1.1306
5_MACS_peak_7329_lociStitched	chr11(.):61387848-61392298	1.1744
3_MACS_peak_7334_lociStitched	chr11(.):61393948-61401341	1.3351
1_MACS_peak_7337_lociStitched	chr11(.):61401947-61402457	0.8941
1_MACS_peak_7338_lociStitched	chr11(.):61403284-61403587	0.7928
3_MACS_peak_7339_lociStitched	chr11(.):61405826-61410205	1.0722
2_MACS_peak_7342_lociStitched	chr11(.):61410804-61413330	1.0575
4_MACS_peak_7344_lociStitched	chr11(.):61414097-61416441	0.8572
1_MACS_peak_7348_lociStitched	chr11(.):61419573-61420273	1.095
3_MACS_peak_7349_lociStitched	chr11(.):61420931-61423835	1.125
1_MACS_peak_7352_lociStitched	chr11(.):61424621-61425049	0.7597
4_MACS_peak_7353_lociStitched	chr11(.):61425899-61429874	1.0368
1_MACS_peak_7357_lociStitched	chr11(.):61434321-61436321	1.0783
2_MACS_peak_7358_lociStitched	chr11(.):61437077-61439571	1.0284
12_MACS_peak_7360_lociStitched	chr11(.):61442499-61499334	1.6139
1_MACS_peak_7372_lociStitched	chr11(.):61500079-61500479	0.835
1_MACS_peak_7373_lociStitched	chr11(.):61501406-61514216	2.0729
8_MACS_peak_7374_lociStitched	chr11(.):61515220-61544215	1.5975
2_MACS_peak_7382_lociStitched	chr11(.):61545413-61547061	0.9211
1_MACS_peak_7384_lociStitched	chr11(.):61595166-61597212	1.7889
2_MACS_peak_7385_lociStitched	chr11(.):61633334-61634593	0.9481
1_MACS_peak_7387_lociStitched	chr11(.):61635133-61635391	0.4847
2_MACS_peak_7388_lociStitched	chr11(.):61636015-61647000	1.6762
1_MACS_peak_7390_lociStitched	chr11(.):61659112-61659826	1.0442
1_MACS_peak_7391_lociStitched	chr11(.):61663307-61664151	1.0177
1_MACS_peak_7392_lociStitched	chr11(.):61666913-61669123	1.0895
1_MACS_peak_7393_lociStitched	chr11(.):61669776-61670390	0.8468
2_MACS_peak_7394_lociStitched	chr11(.):61671266-61676126	1.243
5_MACS_peak_7396_lociStitched	chr11(.):61679918-61689081	1.4172
1_MACS_peak_7401_lociStitched	chr11(.):61779849-61780356	0.8877
1_MACS_peak_7402_lociStitched	chr11(.):62674379-62674856	0.7618
1_MACS_peak_7403_lociStitched	chr11(.):62677363-62678814	1.1331
2_MACS_peak_7404_lociStitched	chr11(.):62685535-62691909	1.6693
2_MACS_peak_7406_lociStitched	chr11(.):62692536-62697050	1.2833
2_MACS_peak_7408_lociStitched	chr11(.):62749848-62752347	1.0755
1_MACS_peak_7410_lociStitched	chr11(.):62764002-62764526	0.6824
1_MACS_peak_7411_lociStitched	chr11(.):62782725-62783032	0.6874
1_MACS_peak_7412_lociStitched	chr11(.):62784760-62785074	0.5246
1_MACS_peak_7413_lociStitched	chr11(.):63536350-63537926	1.6252
2_MACS_peak_7414_lociStitched	chr11(.):63682486-63683972	1.0637
1_MACS_peak_7416_lociStitched	chr11(.):63685454-63686156	1.0523
2_MACS_peak_7417_lociStitched	chr11(.):63686859-63688120	1.0225
1_MACS_peak_7419_lociStitched	chr11(.):63688836-63689559	1.1384
1_MACS_peak_7420_lociStitched	chr11(.):63690257-63690645	0.779
2_MACS_peak_7421_lociStitched	chr11(.):63698566-63699557	0.755
1_MACS_peak_7423_lociStitched	chr11(.):63768067-63769356	1.1519
2_MACS_peak_7424_lociStitched	chr11(.):63773146-63777886	1.4441
7_MACS_peak_7426_lociStitched	chr11(.):63782674-63787362	1.0422
2_MACS_peak_7433_lociStitched	chr11(.):63796072-63798120	1.151
3_MACS_peak_7435_lociStitched	chr11(.):63801995-63806131	1.3718
1_MACS_peak_7438_lociStitched	chr11(.):64017192-64017607	0.8404
1_MACS_peak_7439_lociStitched	chr11(.):64038227-64039116	1.3503
2_MACS_peak_7440_lociStitched	chr11(.):64058187-64068748	2.2644
1_MACS_peak_7442_lociStitched	chr11(.):64141795-64142203	0.801
1_MACS_peak_7443_lociStitched	chr11(.):64143378-64143632	0.4614
1_MACS_peak_7444_lociStitched	chr11(.):64145929-64147222	1.1782
4_MACS_peak_7445_lociStitched	chr11(.):64149386-64153955	1.1696
3_MACS_peak_7449_lociStitched	chr11(.):64154531-64156735	0.8894
8_MACS_peak_7452_lociStitched	chr11(.):64158183-64166024	1.0061
1_MACS_peak_7460_lociStitched	chr11(.):64168025-64169540	1.2998
4_MACS_peak_7461_lociStitched	chr11(.):64170290-64174950	0.9575
2_MACS_peak_7465_lociStitched	chr11(.):64177873-64179992	1.0655
2_MACS_peak_7467_lociStitched	chr11(.):64186587-64187315	0.8393
1_MACS_peak_7469_lociStitched	chr11(.):64192130-64192396	0.4447
2_MACS_peak_7470_lociStitched	chr11(.):64197132-64200074	1.1779
4_MACS_peak_7472_lociStitched	chr11(.):64202086-64205213	1.065
2_MACS_peak_7476_lociStitched	chr11(.):64205802-64208117	1.0719
4_MACS_peak_7478_lociStitched	chr11(.):64208669-64211709	0.8981
4_MACS_peak_7482_lociStitched	chr11(.):64216427-64226313	1.5195
3_MACS_peak_7486_lociStitched	chr11(.):64242599-64246322	1.1285
3_MACS_peak_7489_lociStitched	chr11(.):64252209-64254639	1.1162
3_MACS_peak_7492_lociStitched	chr11(.):64255506-64258710	1.0199
1_MACS_peak_7495_lociStitched	chr11(.):64259377-64259764	0.7096
1_MACS_peak_7496_lociStitched	chr11(.):64266804-64267242	1.1207
1_MACS_peak_7497_lociStitched	chr11(.):64268749-64269078	0.7133
3_MACS_peak_7498_lociStitched	chr11(.):64270764-64273870	1.075
4_MACS_peak_7501_lociStitched	chr11(.):64275460-64279971	1.271
1_MACS_peak_7505_lociStitched	chr11(.):64286293-64287610	1.0842
2_MACS_peak_7506_lociStitched	chr11(.):64288825-64290563	1.2414
3_MACS_peak_7508_lociStitched	chr11(.):64291077-64295457	1.4049
7_MACS_peak_7511_lociStitched	chr11(.):64296148-64311102	1.4237
2_MACS_peak_7518_lociStitched	chr11(.):64313451-64315708	1.0997
1_MACS_peak_7520_lociStitched	chr11(.):64318597-64318871	0.6882
5_MACS_peak_7521_lociStitched	chr11(.):64321391-64340048	1.5005
1_MACS_peak_7526_lociStitched	chr11(.):64343593-64345067	1.2269
4_MACS_peak_7527_lociStitched	chr11(.):64345587-64353198	1.3164
1_MACS_peak_7531_lociStitched	chr11(.):64354977-64355372	0.9176
3_MACS_peak_7532_lociStitched	chr11(.):64356705-64362004	1.4553
7_MACS_peak_7535_lociStitched	chr11(.):64364236-64380599	1.443
1_MACS_peak_7542_lociStitched	chr11(.):64381869-64382171	0.9259
1_MACS_peak_7543_lociStitched	chr11(.):64386300-64386647	0.8322
8_MACS_peak_7544_lociStitched	chr11(.):64388440-64397548	1.0675
2_MACS_peak_7552_lociStitched	chr11(.):64398899-64406396	1.5029
4_MACS_peak_7554_lociStitched	chr11(.):64406950-64420163	1.4752
1_MACS_peak_7558_lociStitched	chr11(.):64421408-64423826	1.2907
10_MACS_peak_7559_lociStitched	chr11(.):64425187-64441412	1.3259
3_MACS_peak_7569_lociStitched	chr11(.):64442535-64447619	1.3325
2_MACS_peak_7572_lociStitched	chr11(.):64448741-64455907	1.6502
9_MACS_peak_7574_lociStitched	chr11(.):64457547-64469745	1.3768
4_MACS_peak_7583_lociStitched	chr11(.):64471317-64473534	1.0226
1_MACS_peak_7587_lociStitched	chr11(.):64474209-64474676	0.8954
2_MACS_peak_7588_lociStitched	chr11(.):64475860-64480006	1.1949
2_MACS_peak_7590_lociStitched	chr11(.):64480582-64490404	2.2606
2_MACS_peak_7592_lociStitched	chr11(.):64491270-64498809	1.5828
1_MACS_peak_7594_lociStitched	chr11(.):64500873-64501181	0.7988
4_MACS_peak_7595_lociStitched	chr11(.):64502178-64517333	2.1841
1_MACS_peak_7599_lociStitched	chr11(.):64517963-64518399	0.8848
3_MACS_peak_7600_lociStitched	chr11(.):64649582-64652537	1.0529
1_MACS_peak_7603_lociStitched	chr11(.):64747782-64748076	0.9101
1_MACS_peak_7604_lociStitched	chr11(.):64756281-64757774	1.0676
1_MACS_peak_7605_lociStitched	chr11(.):64760540-64760796	0.5031
1_MACS_peak_7606_lociStitched	chr11(.):64761596-64761979	0.6752
1_MACS_peak_7607_lociStitched	chr11(.):64984508-64984896	0.9627
1_MACS_peak_7608_lociStitched	chr11(.):64986966-64987328	0.505
2_MACS_peak_7609_lociStitched	chr11(.):65003768-65004864	0.8099
1_MACS_peak_7611_lociStitched	chr11(.):65083345-65083940	1.2099
3_MACS_peak_7612_lociStitched	chr11(.):65553139-65556990	1.7396
1_MACS_peak_7615_lociStitched	chr11(.):65560709-65561481	1.2139
2_MACS_peak_7616_lociStitched	chr11(.):65564173-65565409	1.0912
3_MACS_peak_7618_lociStitched	chr11(.):65576043-65578117	1.0297
1_MACS_peak_7621_lociStitched	chr11(.):65596867-65597196	0.775
2_MACS_peak_7622_lociStitched	chr11(.):65599372-65601133	1.1339
1_MACS_peak_7624_lociStitched	chr11(.):65666742-65667665	1.0609
1_MACS_peak_7625_lociStitched	chr11(.):65780672-65781008	0.6426
1_MACS_peak_7626_lociStitched	chr11(.):65789985-65790927	1.0918
1_MACS_peak_7627_lociStitched	chr11(.):66048397-66048653	0.5778
6_MACS_peak_7628_lociStitched	chr11(.):66058130-66068843	1.4293
1_MACS_peak_7634_lociStitched	chr11(.):66070826-66071254	0.876
5_MACS_peak_7635_lociStitched	chr11(.):66072157-66076784	1.0564
1_MACS_peak_7640_lociStitched	chr11(.):66077755-66078289	1.0013
1_MACS_peak_7641_lociStitched	chr11(.):66081005-66086647	1.6618
1_MACS_peak_7642_lociStitched	chr11(.):66087815-66088079	0.5758
4_MACS_peak_7643_lociStitched	chr11(.):66088958-66092181	1.0833
1_MACS_peak_7647_lociStitched	chr11(.):66092707-66093521	0.964
2_MACS_peak_7648_lociStitched	chr11(.):66095935-66104219	1.865
1_MACS_peak_7650_lociStitched	chr11(.):66127734-66128214	0.8815
1_MACS_peak_7651_lociStitched	chr11(.):66129941-66130445	0.8151
