REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	JJN3_jia.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper.1
1_MACS_peak_21965_lociStitched	chr8	10870302	10874666	1	4365	44605.3168	185	1	XKR6	MIR598	MIR598	185	1
1_MACS_peak_19060_lociStitched	chr6	388893	401112	1	12220	44364.7452	186	1	IRF4		IRF4	186	1
1_MACS_peak_17659_lociStitched	chr5	961517	967616	1	6100	44359.2468	187	1		NKD2	NKD2	187	1
2_MACS_peak_4801_lociStitched	chr12	48200773	48215064	2	12639	44326.3947	188	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	188	1
1_MACS_peak_9216_lociStitched	chr17	36856343	36863619	1	7277	44299.926	189	1	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	189	1
1_MACS_peak_10419_lociStitched	chr18	60980984	60988568	1	7585	44078.208	190	1	BCL2	KDSR	BCL2	190	1
2_MACS_peak_948_lociStitched	chr1	92941313	92954485	2	8827	43914.1308	191	1	GFI1		GFI1	191	1
1_MACS_peak_18921_lociStitched	chr5	172750586	172759585	1	9000	43876.4243	192	1	STC2		STC2	192	1
2_MACS_peak_13443_lociStitched	chr2	232570432	232578790	2	7757	43801.7706	193	1	PTMA,MIR1244-1		PTMA	193	1
2_MACS_peak_1459_lociStitched	chr1	156083075	156100602	2	15678	43770.1771	194	1	LMNA	SEMA4A,MEX3A	LMNA	194	1
3_MACS_peak_19360_lociStitched	chr6	27790844	27808479	3	11547	43544.342	195	1	HIST1H4J,HIST1H2BN,HIST1H4K,HIST1H2AK	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H2AL,HIST1H2BL,HIST1H2AJ,HIST1H1B,HIST1H3I,HIST1H4L	HIST1H4K	195	1
1_MACS_peak_22957_lociStitched	chr8	128745893	128753104	1	7212	43276.0954	196	1	MYC		MYC	196	1
1_MACS_peak_20343_lociStitched	chr6	138186088	138196760	1	10673	43272.8256	197	1	TNFAIP3		TNFAIP3	197	1
1_MACS_peak_1604_lociStitched	chr1	167596418	167602435	1	6018	43268.8487	198	1	RCSD1		RCSD1	198	1
4_MACS_peak_13744_lociStitched	chr20	23329629	23347691	4	11098	43191.6606	199	1	NXT1,GZF1		GZF1	199	1
1_MACS_peak_17726_lociStitched	chr5	6478572	6487349	1	8778	43100.3362	200	1	UBE2QL1		UBE2QL1	200	1
1_MACS_peak_20908_lociStitched	chr7	30323292	30329787	1	6496	43050.159	201	1	ZNRF2,MIR550A1,MIR550B1		ZNRF2	201	1
1_MACS_peak_17888_lociStitched	chr5	32171544	32175801	1	4258	42983.3547	202	1	GOLPH3		GOLPH3	202	1
1_MACS_peak_4351_lociStitched	chr11	129870824	129874664	1	3841	42971.904	203	1	NCRNA00167,PRDM10		PRDM10	203	1
2_MACS_peak_21443_lociStitched	chr7	100025463	100034880	2	5531	42861.4755	204	1	MEPCE,ZCWPW1,C7orf47	C7orf51,C7orf61,TSC22D4	MEPCE	204	1
1_MACS_peak_7432_lociStitched	chr15	69108906	69114811	1	5906	42859.671	205	1	ANP32A	MIR548H4,MIR4312,C15orf28	ANP32A	205	1
1_MACS_peak_10293_lociStitched	chr18	48718867	48725348	1	6482	42786.2658	206	1	MEX3C		MEX3C	206	1
1_MACS_peak_593_lociStitched	chr1	44296095	44303718	1	7624	42688.8	207	1	ST3GAL3		ARTN	207	1
3_MACS_peak_20774_lociStitched	chr7	19135610	19157873	3	20618	42684.8499	208	1	TWIST1	FERD3L	TWIST1	208	1
3_MACS_peak_1714_lociStitched	chr1	182580408	182596288	3	13540	42648.916	209	1	LOC284648	RNASEL,RGS16,RGS8	LOC284648	209	1
1_MACS_peak_10394_lociStitched	chr18	60189245	60194977	1	5733	42423.1052	210	1	ZCCHC2		ZCCHC2	210	1
1_MACS_peak_4392_lociStitched	chr12	1637808	1645167	1	7360	42376.0656	211	1		LOC100292680	LOC100292680	211	1
1_MACS_peak_14046_lociStitched	chr20	48806563	48810702	1	4140	42361.8372	212	1	CEBPB	TMEM189-UBE2V1	CEBPB	212	1
3_MACS_peak_19164_lociStitched	chr6	10398194	10415480	3	11025	42347.2428	213	1	LOC100130275,TFAP2A	C6orf218	LOC100130275	213	1
3_MACS_peak_12508_lociStitched	chr2	97190571	97205447	3	10760	42343.0464	214	1	ARID5A	NEURL3	ARID5A	214	1
1_MACS_peak_20791_lociStitched	chr7	20367256	20374207	1	6952	42328.8096	215	1	ITGB8		ITGB8	215	1
2_MACS_peak_17861_lociStitched	chr5	26872781	26891204	2	18318	42323.1579	216	1	CDH9		CDH9	216	1
2_MACS_peak_22768_lociStitched	chr8	103665326	103675621	2	6394	42168.32	217	1	KLF10		KLF10	217	1
1_MACS_peak_20631_lociStitched	chr7	2392992	2396370	1	3379	41878.4172	218	1	EIF3B	CHST12,SNX8	EIF3B	218	1
2_MACS_peak_22685_lociStitched	chr8	97620278	97635954	2	12501	41784.378	219	1	SDC2	PGCP	PGCP	219	1
1_MACS_peak_485_lociStitched	chr1	37939390	37946201	1	6812	41451.746	220	1	ZC3H12A	MEAF6	ZC3H12A	220	1
4_MACS_peak_1598_lociStitched	chr1	167506931	167526575	4	15872	41348.6556	221	1	CREG1	CD247	CREG1	221	1
1_MACS_peak_17949_lociStitched	chr5	39072825	39078261	1	5437	41346.216	222	1	RICTOR		RICTOR	222	1
1_MACS_peak_23149_lociStitched	chr8	145732222	145736098	1	3877	41227.4616	223	1	GPT,MFSD3	KIFC2,PPP1R16A,LRRC14,CYHR1,FOXH1,RECQL4,LRRC24,MGC70857	MFSD3	223	1
4_MACS_peak_20970_lociStitched	chr7	38383845	38408334	4	19391	41183.1513	224	1			TARP	224	1
3_MACS_peak_11843_lociStitched	chr2	11883864	11895203	3	11096	41176.4446	225	1	LPIN1		LPIN1	225	1
1_MACS_peak_4426_lociStitched	chr12	4376917	4387135	1	10219	41164.2348	226	1	CCND2	C12orf5	CCND2	226	1
2_MACS_peak_10627_lociStitched	chr19	3358696	3368832	2	6629	41159.2552	227	1	NFIC		NFIC	227	1
1_MACS_peak_22720_lociStitched	chr8	101317014	101323686	1	6673	40871.3376	228	1	RNF19A	RNF19A	RNF19A	228	1
1_MACS_peak_5285_lociStitched	chr12	106528004	106539998	1	11995	40792.7934	229	1	NUAK1		NUAK1	229	1
3_MACS_peak_4155_lociStitched	chr11	111305497	111322269	3	13269	40752.6056	230	1			POU2AF1	230	1
2_MACS_peak_3659_lociStitched	chr11	61732543	61742164	2	8474	40619.862	231	1	FTH1	BEST1,RAB3IL1	FTH1	231	1
3_MACS_peak_24345_lociStitched	chrX	39953219	39969577	3	13190	40517.1302	232	1	BCOR		BCOR	232	1
1_MACS_peak_1443_lociStitched	chr1	155530104	155534796	1	4693	40476.9456	233	1	LOC645676,ASH1L	MSTO1	ASH1L	233	1
1_MACS_peak_2878_lociStitched	chr10	89619948	89629494	1	9547	40257.3912	234	1	PTEN,KILLIN	CFLP1,ATAD1	PTEN	234	1
1_MACS_peak_10322_lociStitched	chr18	52983174	52992399	1	9226	40188.7125	235	1	TCF4		TCF4	235	1
1_MACS_peak_241_lociStitched	chr1	17763399	17769595	1	6197	40184.7776	236	1	RCC2		RCC2	236	1
3_MACS_peak_7706_lociStitched	chr15	93346691	93364522	3	10991	40139.3641	237	1		ASB9P1	ASB9P1	237	1
2_MACS_peak_21171_lociStitched	chr7	71865303	71878166	2	10049	40118.4107	238	1	CALN1		CALN1	238	1
3_MACS_peak_19427_lociStitched	chr6	30646820	30659303	3	9760	40026.7395	239	1	KIAA1949,NRM	C6orf136,TUBB,DHX16,MDC1	KIAA1949	239	1
3_MACS_peak_14931_lociStitched	chr22	42222477	42232443	3	7411	39852.0408	240	1	SREBF2	CCDC134	SREBF2	240	1
2_MACS_peak_22423_lociStitched	chr8	66741613	66755668	2	11753	39791.1105	241	1	PDE7A	PDE7A	PDE7A	241	1
1_MACS_peak_3460_lociStitched	chr11	22685001	22694608	1	9608	39772.98	242	1	GAS2	GAS2,FANCF	GAS2	242	1
1_MACS_peak_2330_lociStitched	chr10	3822692	3828736	1	6045	39667.9808	243	1	KLF6		KLF6	243	1
1_MACS_peak_9310_lociStitched	chr17	40825775	40835810	1	10036	39649.2885	244	1	CNTNAP1,PLEKHH3,CCR10	TUBG2	PLEKHH3	244	1
3_MACS_peak_13532_lociStitched	chr2	241496313	241509740	3	10579	39562.6555	245	1	DUSP28,RNPEPL1,ANKMY1	CAPN10,GPR35	DUSP28	245	1
5_MACS_peak_16148_lociStitched	chr3	143539049	143571028	5	21806	39561.2209	246	1	SLC9A9		SLC9A9	246	1
2_MACS_peak_5187_lociStitched	chr12	94541079	94553783	2	8528	39539.9296	247	1	PLXNC1		PLXNC1	247	1
1_MACS_peak_17965_lociStitched	chr5	40483132	40493813	1	10682	39531.4491	248	1			PTGER4	248	1
1_MACS_peak_8408_lociStitched	chr16	67594734	67599084	1	4351	39529.755	249	1	CTCF	FAM65A	CTCF	249	1
2_MACS_peak_8021_lociStitched	chr16	12052370	12063102	2	7829	39525.956	250	1	TNFRSF17	RUNDC2A,GSPT1	TNFRSF17	250	1
4_MACS_peak_3734_lociStitched	chr11	64617941	64638019	4	13093	39517.5196	251	1	EHD1	MAP4K2,MEN1,CDC42BPG,MIR192,MIR194-2,ATG2A	CDC42BPG	251	1
1_MACS_peak_12314_lociStitched	chr2	70312051	70316837	1	4787	39343.7916	252	1	PCBP1,LOC400960	LOC100133985	PCBP1	252	1
2_MACS_peak_1408_lociStitched	chr1	154828750	154844295	2	11064	39297.76	253	1	KCNN3		KCNN3	253	1
1_MACS_peak_22747_lociStitched	chr8	102214873	102220355	1	5483	39254.4092	254	1	ZNF706		ZNF706	254	1
3_MACS_peak_23150_lociStitched	chr8	145741981	145755159	3	7092	39225.6348	255	1	LRRC14,RECQL4,LRRC24,MGC70857,ARHGAP39	PPP1R16A,GPT,MFSD3,FOXH1	LRRC24	255	1
1_MACS_peak_3782_lociStitched	chr11	65335976	65345486	1	9511	39143.16	256	1	SSSCA1,FAM89B,EHBP1L1	SCYL1,PCNXL3,LTBP3,KCNK7,MAP3K11	FAM89B	256	1
1_MACS_peak_23679_lociStitched	chr9	100744430	100748404	1	3975	39084.29	257	1	ANP32B	HEMGN	ANP32B	257	1
2_MACS_peak_18975_lociStitched	chr5	176726292	176740610	2	10807	39075.2538	258	1	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	PRELID1	258	1
3_MACS_peak_1383_lociStitched	chr1	153928840	153940925	3	8695	39061.137	259	1	CREB3L4,CRTC2,SLC39A1	RPS27,GATAD2B,DENND4B,JTB,RAB13	CRTC2	259	1
1_MACS_peak_11494_lociStitched	chr19	49375176	49380733	1	5558	39051.2618	260	1	PPP1R15A	NUCB1,HSD17B14,PLEKHA4,TULP2	PPP1R15A	260	1
1_MACS_peak_210_lociStitched	chr1	16159187	16163559	1	4373	38818.5508	261	1	FLJ37453	SPEN,UQCRHL	SPEN	261	1
1_MACS_peak_1887_lociStitched	chr1	203254980	203261396	1	6417	38782.1536	262	1		BTG2,LOC730227	LOC730227	262	1
2_MACS_peak_13094_lociStitched	chr2	191875534	191886920	2	11375	38748.8352	263	1	STAT1		STAT1	263	1
3_MACS_peak_9258_lociStitched	chr17	38462649	38484039	3	14726	38705.205	264	1	RARA	CDC6,RARA,GJD3	RARA	264	1
2_MACS_peak_20491_lociStitched	chr6	157097477	157104037	2	6348	38683.008	265	1	ARID1B		ARID1B	265	1
3_MACS_peak_19528_lociStitched	chr6	33279634	33292391	3	8760	38660.0885	266	1	TAPBP,ZBTB22,DAXX	RPS18,B3GALT4,PFDN6,VPS52,WDR46,RGL2,LYPLA2P1	ZBTB22	266	1
1_MACS_peak_1445_lociStitched	chr1	155656148	155660398	1	4251	38625.7	267	1	DAP3,YY1AP1	YY1AP1	YY1AP1	267	1
1_MACS_peak_1981_lociStitched	chr1	211430627	211435100	1	4474	38507.1624	268	1	RCOR3		RCOR3	268	1
3_MACS_peak_18021_lociStitched	chr5	53813008	53830774	3	17399	38371.0068	269	1	SNX18		SNX18	269	1
3_MACS_peak_10584_lociStitched	chr19	2049352	2062781	3	7406	38334.4234	270	1	MKNK2	IZUMO4,BTBD2,MOBKL2A	MKNK2	270	1
3_MACS_peak_7978_lociStitched	chr16	10962255	10976637	3	11386	38277.693	271	1	CIITA	FAM18A	CIITA	271	1
1_MACS_peak_3697_lociStitched	chr11	62646799	62652042	1	5244	38221.47	272	1	SLC3A2	STX5,WDR74,SNORD22,SNORD31,SNORD30,SNORD29,SNORD28,SNORD27,SNORD26,SNORD25,SNHG1,CHRM1	SLC3A2	272	1
4_MACS_peak_9207_lociStitched	chr17	36570615	36586192	4	10233	38109.1305	273	1	ARHGAP23	ARHGAP23	ARHGAP23	273	1
6_MACS_peak_4339_lociStitched	chr11	128584454	128605280	6	17812	37969.9632	274	1	FLI1		FLI1	274	1
1_MACS_peak_20916_lociStitched	chr7	30633077	30637638	1	4562	37919.2418	275	1	GARS		GARS	275	1
1_MACS_peak_18724_lociStitched	chr5	142774610	142786022	1	11413	37880.9928	276	1	NR3C1		NR3C1	276	1
1_MACS_peak_91_lociStitched	chr1	6658971	6664731	1	5761	37824.192	277	1	KLHL21	TAS1R1,ZBTB48,PHF13,THAP3,NOL9	KLHL21	277	1
2_MACS_peak_12959_lociStitched	chr2	174826686	174831615	2	4926	37742.3388	278	1	SP3		SP3	278	1
2_MACS_peak_16204_lociStitched	chr3	151983997	152000151	2	13937	37690.5128	279	1	MBNL1,LOC401093	MBNL1	LOC401093	279	1
1_MACS_peak_9358_lociStitched	chr17	43224061	43229714	1	5654	37646.7188	280	1	HEXIM1	ACBD4,HEXIM2,PLCD3	HEXIM1	280	1
4_MACS_peak_6926_lociStitched	chr14	103571380	103581683	4	9178	37583.2834	281	1	C14orf73	TNFAIP2,CDC42BPB	C14orf73	281	1
1_MACS_peak_22888_lociStitched	chr8	121820114	121825633	1	5520	37512.0911	282	1	SNTB1		SNTB1	282	1
3_MACS_peak_15029_lociStitched	chr22	50352911	50364844	3	9304	37387.2823	283	1	PIM3	CRELD2,ALG12	PIM3	283	1
3_MACS_peak_24037_lociStitched	chr9	134601531	134615724	3	13420	37343.2023	284	1	RAPGEF1	RAPGEF1	RAPGEF1	284	1
2_MACS_peak_21246_lociStitched	chr7	75986362	75994778	2	4828	37199.5616	285	1	YWHAG	ZP3,SRCRB4D	YWHAG	285	1
1_MACS_peak_9238_lociStitched	chr17	37909166	37915271	1	6106	37186.1655	286	1		GRB7,C17orf37	GRB7	286	1
2_MACS_peak_21844_lociStitched	chr7	150776597	150785750	2	8593	37150.1964	287	1	AGAP3,FASTK,TMUB1	ACCN3,SLC4A2,CDK5	TMUB1	287	1
1_MACS_peak_5311_lociStitched	chr12	109021166	109031464	1	10299	37094.4258	288	1	SELPLG	TMEM119	SELPLG	288	1
1_MACS_peak_15113_lociStitched	chr3	9436747	9442167	1	5421	37038.112	289	1	SETD5,LOC440944	THUMPD3	SETD5	289	1
1_MACS_peak_22736_lociStitched	chr8	101730982	101735825	1	4844	36980.1794	290	1	PABPC1		PABPC1	290	1
1_MACS_peak_1687_lociStitched	chr1	179048829	179053544	1	4716	36967.486	291	1	TOR3A		TOR3A	291	1
4_MACS_peak_19532_lociStitched	chr6	33376948	33396665	4	11995	36835.2994	292	1	KIFC1,PHF1,SYNGAP1,CUTA	ZBTB9,LYPLA2P1	CUTA	292	1
2_MACS_peak_14190_lociStitched	chr20	62358677	62373011	2	10514	36669.2388	293	1	ZGPAT,LIME1,SLC2A4RG	TNFRSF6B,ARFRP1	LIME1	293	1
1_MACS_peak_19862_lociStitched	chr6	74228131	74234281	1	6151	36638.01	294	1	EEF1A1		EEF1A1	294	1
1_MACS_peak_21871_lociStitched	chr7	155087727	155093332	1	5606	36591.682	295	1	INSIG1		INSIG1	295	1
4_MACS_peak_6846_lociStitched	chr14	95969291	95987222	4	13541	36462.6885	296	1		GLRX5,C14orf49,SCARNA13,SNHG10	SCARNA13	296	1
1_MACS_peak_1121_lociStitched	chr1	113160377	113164357	1	3981	36409.836	297	1	CAPZA1,ST7L		CAPZA1	297	1
2_MACS_peak_17724_lociStitched	chr5	6445981	6454734	2	7613	36366.0891	298	1	UBE2QL1		UBE2QL1	298	1
1_MACS_peak_10251_lociStitched	chr18	45455383	45458593	1	3211	36137.217	299	1	SMAD2		SMAD2	299	1
2_MACS_peak_17042_lociStitched	chr4	79686959	79700357	2	9395	36092.8722	300	1	BMP2K		BMP2K	300	1
3_MACS_peak_4235_lociStitched	chr11	118963716	118979608	3	9799	36031.9316	301	1	HMBS,C2CD2L,H2AFX,DPAGT1	VPS11,HINFP,ABCG4,HYOU1	DPAGT1	301	1
2_MACS_peak_19667_lociStitched	chr6	43593673	43604799	2	8006	36031.551	302	1	MAD2L1BP,GTPBP2	POLH,RSPH9,XPO5	MAD2L1BP	302	1
4_MACS_peak_24879_lociStitched	chrX	153595395	153608997	4	10625	36016.7358	303	1	EMD,FLNA	RPL10,SNORA70,TAZ,ATP6AP1,DNASE1L1	FLNA	303	1
1_MACS_peak_1514_lociStitched	chr1	160172170	160176929	1	4760	35998.0278	304	1	PEA15	ATP1A4,CASQ1	PEA15	304	1
1_MACS_peak_21705_lociStitched	chr7	130788642	130795692	1	7051	35914.11	305	1	MKLN1,FLJ43663		FLJ43663	305	1
7_MACS_peak_19824_lociStitched	chr6	69342699	69378667	7	31761	35874.4832	306	1	BAI3		BAI3	306	1
3_MACS_peak_21476_lociStitched	chr7	101928981	101938462	3	8744	35850.5053	307	1	SH2B2,MIR4285		MIR4285	307	1
1_MACS_peak_17591_lociStitched	chr4	185392210	185397319	1	5110	35790.5886	308	1	IRF2		IRF2	308	1
1_MACS_peak_4779_lociStitched	chr12	46118671	46125699	1	7029	35596.1172	309	1	ARID2,LOC400027		LOC400027	309	1
1_MACS_peak_16623_lociStitched	chr4	1239919	1244704	1	4786	35591.787	310	1	C4orf42,CTBP1	MAEA,LOC100130872-SPON2,SPON2	CTBP1	310	1
1_MACS_peak_9344_lociStitched	chr17	42294606	42300355	1	5750	35581.1359	311	1	UBTF	ASB16,TMUB2,C17orf65,ATXN7L3,SLC4A1	UBTF	311	1
2_MACS_peak_3019_lociStitched	chr10	104152962	104159860	2	6799	35572.986	312	1	NFKB2	FBXL15,MIR146B,PSD,CUEDC2	NFKB2	312	1
1_MACS_peak_13001_lociStitched	chr2	178126607	178131838	1	5232	35565.569	313	1	NFE2L2	HNRNPA3,MIR3128	NFE2L2	313	1
2_MACS_peak_3670_lociStitched	chr11	62223509	62233682	2	10045	35545.4793	314	1	AHNAK	SCGB1A1	SCGB1A1	314	1
2_MACS_peak_4275_lociStitched	chr11	122930132	122941399	2	7569	35525.9777	315	1	HSPA8	LOC341056	HSPA8	315	1
3_MACS_peak_4666_lociStitched	chr12	26265779	26280681	3	10208	35407.152	316	1	BHLHE41		BHLHE41	316	1
2_MACS_peak_1693_lociStitched	chr1	179846132	179853564	2	4711	35395.6432	317	1	TOR1AIP1,TOR1AIP2		TOR1AIP1	317	1
1_MACS_peak_17984_lociStitched	chr5	43016566	43021851	1	5286	35388.8885	318	1	LOC648987	LOC153684,C5orf39,LOC100132356	LOC648987	318	1
3_MACS_peak_7484_lociStitched	chr15	75067321	75083408	3	12795	35378.5304	319	1	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	319	1
1_MACS_peak_8614_lociStitched	chr16	85586172	85592521	1	6350	35329.0105	320	1			KIAA0182	320	1
2_MACS_peak_24114_lociStitched	chr9	139775500	139782412	2	5647	35235.9936	321	1	TRAF2	C9orf172,PHPT1,MAMDC4,EDF1	TRAF2	321	1
1_MACS_peak_2847_lociStitched	chr10	81000919	81010737	1	9819	35186.7302	322	1	ZMIZ1		PPIF	322	1
1_MACS_peak_1094_lociStitched	chr1	111211019	111219421	1	8403	35174.1328	323	1	KCNA3		KCNA3	323	1
1_MACS_peak_51_lociStitched	chr1	1708165	1713287	1	5123	35158.4324	324	1	NADK	SLC35E2,NADK	NADK	324	1
2_MACS_peak_1725_lociStitched	chr1	183438822	183448570	2	5900	35128.8676	325	1	SMG7		SMG7	325	1
1_MACS_peak_16092_lociStitched	chr3	135911557	135917266	1	5710	35027.5695	326	1	MSL2		MSL2	326	1
2_MACS_peak_14068_lociStitched	chr20	52267509	52278755	2	10467	35013.2964	327	1			ZNF217	327	1
2_MACS_peak_18967_lociStitched	chr5	175960346	175971557	2	8481	34982.8044	328	1	CDHR2,RNF44	CDHR2	RNF44	328	1
3_MACS_peak_8471_lociStitched	chr16	70461005	70474048	3	10411	34917.4153	329	1	ST3GAL2	FUK	ST3GAL2	329	1
1_MACS_peak_122_lociStitched	chr1	9221365	9226037	1	4673	34832.096	330	1		GPR157,MIR34A	MIR34A	330	1
1_MACS_peak_21851_lociStitched	chr7	151211622	151218039	1	6418	34829.5509	331	1	RHEB		RHEB	331	1
1_MACS_peak_903_lociStitched	chr1	87792961	87803037	1	10077	34769.2532	332	1	LMO4		LMO4	332	1
2_MACS_peak_19575_lociStitched	chr6	35694433	35700950	2	5797	34753.8576	333	1	FKBP5,LOC285847	C6orf81,C6orf126,C6orf127,FKBP5	FKBP5	333	1
14_MACS_peak_2561_lociStitched	chr10	37435179	37478691	14	37303	34657.308	334	1	ANKRD30A		ANKRD30A	334	1
1_MACS_peak_16192_lociStitched	chr3	150314429	150323781	1	9353	34516.3616	335	1	SELT	EIF2A	SELT	335	1
1_MACS_peak_21866_lociStitched	chr7	154793493	154796977	1	3485	34428.1912	336	1	LOC202781,PAXIP1		LOC202781	336	1
2_MACS_peak_15669_lociStitched	chr3	72026232	72038104	2	11345	34337.3856	337	1			PROK2	337	1
1_MACS_peak_11289_lociStitched	chr19	41768229	41772983	1	4755	34320.0768	338	1	HNRNPUL1	AXL,CCDC97	HNRNPUL1	338	1
1_MACS_peak_8326_lociStitched	chr16	56964614	56971781	1	7168	34303.4121	339	1	HERPUD1	CETP	HERPUD1	339	1
3_MACS_peak_1534_lociStitched	chr1	161122805	161137379	3	6861	34247.4426	340	1	UFC1,USP21,PPOX	NIT1,NDUFS2,FCER1G,PFDN2,DEDD,B4GALT3,ADAMTS4	USP21	340	1
1_MACS_peak_17931_lociStitched	chr5	36874465	36881435	1	6971	34212.245	341	1	NIPBL		NIPBL	341	1
1_MACS_peak_1389_lociStitched	chr1	154191555	154195294	1	3740	34201.7547	342	1	UBAP2L,C1orf43	HAX1,TPM3,MIR190B,C1orf189	UBAP2L	342	1
1_MACS_peak_6532_lociStitched	chr14	64968040	64973998	1	5959	34196.5368	343	1	ZBTB1,ZBTB25	AKAP5,HSPA2,C14orf50	ZBTB1	343	1
6_MACS_peak_14460_lociStitched	chr21	45552550	45580344	6	16347	34178.2818	344	1	C21orf33	PWP2	C21orf33	344	1
2_MACS_peak_9802_lociStitched	chr17	76116523	76129242	2	8544	34136.5241	345	1	TMC8,TMC6	C17orf99,SYNGR2	TMC6	345	1
1_MACS_peak_21830_lociStitched	chr7	150016452	150021729	1	5278	34085.7261	346	1	LRRC61,ACTR3C	C7orf29,REPIN1,ACTR3C,RARRES2	LRRC61	346	1
1_MACS_peak_46_lociStitched	chr1	1622333	1625580	1	3248	34037.0022	347	1	CDK11B,SLC35E2B	CDK11A	SLC35E2B	347	1
1_MACS_peak_19784_lociStitched	chr6	55529216	55546273	1	17058	33963.8984	348	1			HMGCLL1	348	1
2_MACS_peak_14398_lociStitched	chr21	38737550	38743221	2	4443	33961.3506	349	1	DYRK1A	DYRK1A	DYRK1A	349	1
3_MACS_peak_7814_lociStitched	chr16	685139	700543	3	8959	33890.3404	350	1	FAM195A,WDR90,C16orf13	RAB40C,WFIKKN1,RHOT2,RHBDL1,STUB1,JMJD8,WDR24	FAM195A	350	1
1_MACS_peak_1218_lociStitched	chr1	143741659	143745728	1	4070	33878.494	351	1	LOC100286793,FLJ39739	PPIAL4G	FLJ39739	351	1
2_MACS_peak_1416_lociStitched	chr1	154945202	154956895	2	7226	33876.9596	352	1	CKS1B,MIR4258,FLAD1,SHC1	LENEP,ZBTB7B,DCST1,PMVK,PBXIP1,PYGO2,SHC1,DCST2	MIR4258	352	1
1_MACS_peak_1314_lociStitched	chr1	150205572	150209985	1	4414	33873.7467	353	1	ANP32E	CA14,C1orf54,C1orf51,APH1A	ANP32E	353	1
1_MACS_peak_19431_lociStitched	chr6	30683479	30690672	1	7194	33850.258	354	1	TUBB,MDC1	DHX16,KIAA1949,NRM,FLOT1,IER3	TUBB	354	1
1_MACS_peak_20883_lociStitched	chr7	28217967	28222909	1	4943	33847.2638	355	1	LOC100128081,JAZF1		JAZF1	355	1
1_MACS_peak_1167_lociStitched	chr1	118147646	118160866	1	13221	33847.166	356	1	FAM46C		FAM46C	356	1
1_MACS_peak_22676_lociStitched	chr8	97504905	97510432	1	5528	33840.1629	357	1	SDC2		SDC2	357	1
1_MACS_peak_9071_lociStitched	chr17	27275191	27280243	1	5053	33837.7908	358	1	PHF12	DHRS13	PHF12	358	1
2_MACS_peak_2794_lociStitched	chr10	74075546	74084178	2	8629	33690.696	359	1		DDIT4,DNAJB12	DNAJB12	359	1
2_MACS_peak_1333_lociStitched	chr1	150944866	150952406	2	5425	33649.512	360	1	LASS2	SETDB1,ANXA9,PRUNE,FAM63A	LASS2	360	1
1_MACS_peak_23108_lociStitched	chr8	144677653	144681642	1	3990	33608.9206	361	1	TIGD5,EEF1D	GSDMD,ZNF623,C8orf73,NAPRT1,PYCRL,TSTA3	EEF1D	361	1
1_MACS_peak_11020_lociStitched	chr19	18389807	18393991	1	4185	33500.8696	362	1	MIR3188,JUND	PDE4C,LOC729966,KIAA1683,LSM4	JUND	362	1
2_MACS_peak_18668_lociStitched	chr5	139486433	139495038	2	6448	33446.7745	363	1	PURA	C5orf53	PURA	363	1
1_MACS_peak_17582_lociStitched	chr4	185267711	185276827	1	9117	33446.604	364	1			IRF2	364	1
2_MACS_peak_22859_lociStitched	chr8	117884438	117893293	2	7864	33445.335	365	1	NCRNA00255,RAD21,MIR3610		RAD21	365	1
2_MACS_peak_23504_lociStitched	chr9	73024832	73036494	2	9097	33437.2864	366	1	KLF9		KLF9	366	1
2_MACS_peak_8741_lociStitched	chr17	1618313	1629062	2	6825	33378.8697	367	1	WDR81,C17orf91	SERPINF2,SERPINF1,PRPF8,TLCD2,MIR22	WDR81	367	1
2_MACS_peak_17680_lociStitched	chr5	1791264	1802592	2	6900	33349.632	368	1	NDUFS6,MRPL36		MRPL36	368	1
2_MACS_peak_23839_lociStitched	chr9	123630269	123641525	2	8887	33302.0016	369	1	PHF19	LOC253039,PSMD5,TRAF1	PHF19	369	1
2_MACS_peak_1247_lociStitched	chr1	145469500	145479425	2	9198	33197.14	370	1	ANKRD34A,LIX1L,POLR3GL	TXNIP,RBM8A,PEX11B,ITGA10,GNRHR2	LIX1L	370	1
1_MACS_peak_3794_lociStitched	chr11	65623837	65630143	1	6307	33191.631	371	1	MUS81,CFL1	SNX32,CTSW,CCDC85B,EFEMP2,FIBP,FOSL1	MUS81	371	1
13_MACS_peak_22825_lociStitched	chr8	114394787	114450559	13	41136	33173.1856	372	1	CSMD3	CSMD3	CSMD3	372	1
4_MACS_peak_18930_lociStitched	chr5	173160654	173178231	4	11783	33144.9489	373	1			BOD1	373	1
2_MACS_peak_13487_lociStitched	chr2	238599477	238614359	2	14360	33137.7494	374	1	LRRFIP1		LRRFIP1	374	1
2_MACS_peak_16256_lociStitched	chr3	156875769	156885053	2	6143	33075.1784	375	1	CCNL1	LOC339894	CCNL1	375	1
