REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X07_0EWT_0229Kronos_MM1S.KB.6hr.1_H3K18Ac_hs.dm_i14.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
6_MACS_peak_24347_lociStitched	chr5	109247808	109282504	6	18229	33623.8936	5155.8256	163		LOC100289673	LOC100289673	NONE	NONE	163	1
2_MACS_peak_21727_lociStitched	chr3	186703047	186720620	2	14462	63224.1394	5048.7229	164	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	0.7342000000000001	164	1
4_MACS_peak_1990_lociStitched	chr1	160633534	160656020	4	14789	61339.5594	5706.9468	165	CD48	SLAMF1	SLAMF1	SLAMF1	0.06519999999999998	165	1
3_MACS_peak_4420_lociStitched	chr10	112167837	112186735	3	17445	37932.0656	3023.68	166			DUSP5	DUSP5	1.0606	166	1
1_MACS_peak_23488_lociStitched	chr5	1311271	1320483	1	9213	78601.39	1679.3476	167	CLPTM1L	TERT	TERT	NONE	NONE	167	1
6_MACS_peak_15873_lociStitched	chr2	64862693	64895960	6	17646	37787.9853	5535.6288	168	SERTAD2	LOC339807	SERTAD2	SERTAD2	0.7589	168	1
3_MACS_peak_18132_lociStitched	chr20	32459243	32473839	3	13107	66007.4908	2523.6484	169			CHMP4B	CHMP4B	1.6478000000000002	169	1
2_MACS_peak_10325_lociStitched	chr15	81575603	81596908	2	16172	49474.471	4050.0805	170	IL16	STARD5	IL16	STARD5	0.5090999999999999	170	1
4_MACS_peak_15246_lociStitched	chr2	13680535	13702700	4	17334	38079.47	3304.8015	171			MIR3125	MIR3125	NONE	171	1
4_MACS_peak_11299_lociStitched	chr16	56961043	56985972	4	16520	44555.6017	4362.575	172	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	1.7385000000000002	172	1
4_MACS_peak_18856_lociStitched	chr21	36235866	36263113	4	14852	57521.1417	5588.3597	173	RUNX1		RUNX1	RUNX1	0.22630000000000003	173	1
1_MACS_peak_27768_lociStitched	chr7	55594724	55605709	1	10986	70968.5925	2460.64	174	VOPP1		VOPP1	VOPP1	1.4334	174	1
3_MACS_peak_24191_lociStitched	chr5	88633977	88652764	3	13701	60065.7964	3020.9496	175			MEF2C	MEF2C	0.4077	175	1
5_MACS_peak_27572_lociStitched	chr7	38383561	38408569	5	17577	29904.5664	4776.528	176			TARP	TARP	NONE	176	1
2_MACS_peak_22220_lociStitched	chr4	38306934	38322710	2	14280	56377.1136	3128.3808	177			KLF3	KLF3	NONE	177	1
3_MACS_peak_24431_lociStitched	chr5	118657728	118678862	3	16174	43024.5972	3751.285	178	TNFAIP8	TNFAIP8	TNFAIP8	TNFAIP8	0.3753	178	1
2_MACS_peak_12197_lociStitched	chr17	29634543	29651190	2	16080	43200.6297	3229.518	179	NF1,EVI2B,EVI2A	OMG	EVI2B	EVI2B	1.542	179	1
5_MACS_peak_1290_lociStitched	chr1	93408708	93428841	5	17623	22583.1861	1962.9675	180	FAM69A		FAM69A	FAM69A	0.22729999999999997	180	1
1_MACS_peak_4424_lociStitched	chr10	112214797	112226406	1	11610	67214.9491	2504.0613	181		DUSP5	DUSP5	DUSP5	1.0606	181	1
4_MACS_peak_20215_lociStitched	chr3	46245532	46263708	4	14305	54896.9728	3329.8432	182	CCR1	CCR3	CCR1	CCR1	2.3911000000000002	182	1
1_MACS_peak_16457_lociStitched	chr2	112455383	112467940	1	12558	62980.8892	2570.4179	183			ANAPC1	ANAPC1	NONE	183	1
3_MACS_peak_18986_lociStitched	chr21	44724548	44747510	3	14823	51992.8566	4128.5676	184			SIK1	SIK1	NONE	184	1
1_MACS_peak_23369_lociStitched	chr4	185300193	185308304	1	8112	76618.1282	1855.7968	185			IRF2	IRF2	1.7958	185	1
3_MACS_peak_2016_lociStitched	chr1	161144392	161163564	3	13606	59910.5828	4898.446	186	B4GALT3,ADAMTS4	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,APOA2,NR1I3	B4GALT3	B4GALT3	1.6206	186	1
2_MACS_peak_18690_lociStitched	chr21	19151601	19169250	2	15569	45426.7611	3123.873	187	C21orf91		C21orf91	C21orf91	0.8824	187	1
4_MACS_peak_13457_lociStitched	chr18	23745536	23772121	4	15832	43633.9605	3626.194	188	PSMA8	TAF4B	PSMA8	PSMA8	0.5649000000000001	188	1
1_MACS_peak_26519_lociStitched	chr6	109213687	109228744	1	15058	47422.0215	2525.0589	189	ARMC2		ARMC2	ARMC2	0.5956	189	1
5_MACS_peak_10968_lociStitched	chr16	22194878	22219191	5	17032	29635.1157	4240.1872	190	EEF2K		EEF2K	EEF2K	0.006600000000000009	190	1
6_MACS_peak_20229_lociStitched	chr3	46419650	46449417	6	17425	22712.221	4348.9587	191	CCRL2	CCR2,CCR5	CCRL2	CCR2	1.3157999999999999	191	1
3_MACS_peak_25071_lociStitched	chr5	173696009	173710351	3	14046	52966.4402	2529.9288	192			HMP19	HMP19	NONE	192	1
1_MACS_peak_25356_lociStitched	chr6	11826730	11838613	1	11884	63616.8288	2439.5799	193		C6orf105	C6orf105	C6orf105	0.46199999999999997	193	1
2_MACS_peak_23528_lociStitched	chr5	6475485	6487778	2	11377	65227.8873	2070.1412	194	UBE2QL1		UBE2QL1	UBE2QL1	1.3127	194	1
2_MACS_peak_31146_lociStitched	chr9	112668363	112684472	2	14050	52534.6708	2783.6352	195	PALM2,PALM2-AKAP2		PALM2	PALM2	0.2653	195	1
5_MACS_peak_25711_lociStitched	chr6	31773733	31805186	5	16537	33764.7955	5057.6424	196	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,LSM2,HSPA1L	C6orf26,C6orf27,VARS,NEU1,SLC44A4	HSPA1B	HSPA1B	1.0622	196	1
1_MACS_peak_22528_lociStitched	chr4	77608517	77625198	1	16682	29792.266	3211.0925	197	SHROOM3		ANKRD56	ANKRD56	NONE	197	1
4_MACS_peak_2560_lociStitched	chr1	204474653	204494431	4	15053	47380.1768	5001.8562	198	MDM4	PIK3C2B	MDM4	MDM4	0.6904999999999999	198	1
4_MACS_peak_31668_lociStitched	chrX	10065008	10091261	4	15908	37232.0046	2268.2592	199	WWC3	CLCN4	CLCN4	NONE	NONE	199	1
3_MACS_peak_25155_lociStitched	chr5	180227888	180249497	3	15568	41100.318	3178.6839	200	MGAT1	LOC729678,ZFP62	MGAT1	LOC729678	0.8680000000000001	200	1
3_MACS_peak_1995_lociStitched	chr1	160694417	160715646	3	14792	49336.196	5326.3561	201	SLAMF7	CD48	SLAMF7	CD48	1.5812	201	1
6_MACS_peak_9169_lociStitched	chr14	77487938	77510079	6	16490	30198.1099	1970.549	202	C14orf4		C14orf4	C14orf4	1.2236	202	1
5_MACS_peak_18297_lociStitched	chr20	42564619	42588426	5	16339	33482.1648	3616.2833	203	TOX2		TOX2	TOX2	0.4595	203	1
1_MACS_peak_18959_lociStitched	chr21	43479645	43487121	1	7477	75570.3984	2318.3076	204	UMODL1	C21orf121,UMODL1,ZNF295,C21orf128	UMODL1	UMODL1	1.0181	204	1
4_MACS_peak_5731_lociStitched	chr11	82764056	82790604	4	15238	44640.462	4850.3196	205	RAB30	SNORA70E	RAB30	RAB30	0.5645	205	1
3_MACS_peak_1118_lociStitched	chr1	75595706	75612596	3	16179	32405.154	2141.652	206	LHX8		LHX8	LHX8	0.6893	206	1
2_MACS_peak_15227_lociStitched	chr2	11883423	11898265	2	14473	46727.0686	2773.9698	207	LPIN1		LPIN1	LPIN1	0.4656	207	1
5_MACS_peak_31467_lociStitched	chr9	134126946	134153428	5	15838	36071.1322	4057.0424	208	FAM78A	PPAPDC3	FAM78A	FAM78A	1.0023	208	1
2_MACS_peak_32004_lociStitched	chrX	48790379	48805143	2	13437	51972.2328	1765.7744	209	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	OTUD5	1.462	209	1
1_MACS_peak_17299_lociStitched	chr2	202115789	202128903	1	13115	54453.2622	2620.1772	210	CASP8		CASP8	CASP8	0.975	210	1
3_MACS_peak_18363_lociStitched	chr20	45172206	45192018	3	16022	32075.628	2948.0256	211	C20orf123,SLC13A3	ZNF334	C20orf123	C20orf123	1.2752999999999999	211	1
1_MACS_peak_11298_lociStitched	chr16	56942971	56954999	1	12029	58237.1704	2169.8512	212	SLC12A3	HERPUD1,CETP	HERPUD1	HERPUD1	1.7385000000000002	212	1
3_MACS_peak_4033_lociStitched	chr10	81001094	81020781	3	15726	33294.6544	3161.7322	213	ZMIZ1		PPIF	PPIF	NONE	213	1
4_MACS_peak_30912_lociStitched	chr9	93670850	93690425	4	14155	46243.98	2789.4375	214			SYK	SYK	NONE	214	1
3_MACS_peak_20513_lociStitched	chr3	69128509	69145922	3	15503	35418.042	3451.2566	215	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	ARL6IP5	1.0733000000000001	215	1
2_MACS_peak_5999_lociStitched	chr11	115089703	115102601	2	11525	59929.2672	2329.3788	216	CADM1		CADM1	CADM1	0.2443	216	1
6_MACS_peak_25576_lociStitched	chr6	27082424	27116115	6	15486	35796.6875	4629.1434	217	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H2BJ	HIST1H2BJ	1.5148	217	1
4_MACS_peak_15589_lociStitched	chr2	42343447	42361121	4	15249	36328.907	2757.144	218		EML4	EML4	NONE	NONE	218	1
2_MACS_peak_21432_lociStitched	chr3	169655846	169668581	2	12342	56123.145	3597.6375	219	SAMD7,LOC100128164	SEC62	LOC100128164	LOC100128164	1.8518000000000001	219	1
2_MACS_peak_19277_lociStitched	chr22	29185726	29199581	2	13664	46610.991	2768.229	220	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	2.7477	220	1
1_MACS_peak_15588_lociStitched	chr2	42322978	42335259	1	12282	53546.3881	2450.0595	222		PKDCC	PKDCC	PKDCC	0.006599999999999995	222	1
3_MACS_peak_28383_lociStitched	chr7	114556841	114574643	3	13017	51328.5066	4439.8188	223	MDFIC		MDFIC	MDFIC	1.7126	223	1
4_MACS_peak_6484_lociStitched	chr12	11901580	11920710	4	15226	32123.096	3435.748	224	ETV6		ETV6	ETV6	0.2627	224	1
4_MACS_peak_25535_lociStitched	chr6	26183383	26207385	4	14604	38619.218	3708.309	225	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	HIST1H3F	1.6607	225	1
4_MACS_peak_27320_lociStitched	chr7	18533772	18561362	4	15432	30078.618	4243.342	226	HDAC9		HDAC9	HDAC9	0.012899999999999995	226	1
5_MACS_peak_17221_lociStitched	chr2	197074700	197106717	5	15603	28043.6903	4719.3058	227	HECW2	STK17B	STK17B	STK17B	0.4514	227	1
3_MACS_peak_12956_lociStitched	chr17	70582369	70602293	3	14629	37273.8192	3215.7336	228	LOC100499467,FLJ26484		LOC100499467	LOC100499467	0.26239999999999997	228	1
3_MACS_peak_26908_lociStitched	chr6	143162785	143180498	3	15005	31791.2924	1634.9099	229	HIVEP2		HIVEP2	HIVEP2	0.2222	229	1
3_MACS_peak_7233_lociStitched	chr12	68751860	68770776	3	12624	51478.0024	3401.0968	230		MDM1	MDM1	MDM1	0.001899999999999999	230	1
3_MACS_peak_24562_lociStitched	chr5	131822830	131842813	3	14770	35859.4935	3584.9502	231	IRF1	RAD50,IL5	IRF1	IRF1	0.6275999999999999	231	1
2_MACS_peak_2914_lociStitched	chr1	226839035	226852559	2	12785	50687.952	3666.3564	232	ITPKB		ITPKB	ITPKB	0.6329	232	1
3_MACS_peak_2578_lociStitched	chr1	205242284	205259068	3	12738	51330.5072	4132.2208	233	TMCC2	NUAK2	NUAK2	NUAK2	0.4163	233	1
3_MACS_peak_30930_lociStitched	chr9	94180329	94196051	3	14861	34112.0234	2962.0248	234	NFIL3		NFIL3	NFIL3	0.9054	234	1
2_MACS_peak_24559_lociStitched	chr5	131789831	131804405	2	13660	43969.758	2770.5174	235	C5orf56	IRF1	IRF1	IRF1	0.6275999999999999	235	1
3_MACS_peak_2201_lociStitched	chr1	174922516	174942385	3	15102	32533.5006	4271.835	236	RABGAP1L	CACYBP	CACYBP	CACYBP	0.6273000000000001	236	1
2_MACS_peak_6639_lociStitched	chr12	26265720	26280610	2	14719	34220.198	2620.64	237	BHLHE41		BHLHE41	BHLHE41	1.6983	237	1
2_MACS_peak_7856_lociStitched	chr12	123371140	123387424	2	15473	24101.9484	1608.8592	238	VPS37B		VPS37B	VPS37B	0.7838	238	1
1_MACS_peak_15608_lociStitched	chr2	43444052	43456919	1	12868	47872.9602	2515.4985	239	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	3.1814999999999998	239	1
7_MACS_peak_11106_lociStitched	chr16	30193701	30227225	7	15341	29232.928	5886.8144	240	CORO1A,LOC606724,SLX1B,SLX1A-SULT1A3,SULT1A3,SULT1A4,BOLA2B,LOC388242	LOC613037	CORO1A	CORO1A	1.0516999999999999	240	1
4_MACS_peak_25973_lociStitched	chr6	45382888	45402664	4	13709	42043.776	2887.296	241	RUNX2	SUPT3H	RUNX2	RUNX2	0.1916	241	1
2_MACS_peak_25553_lociStitched	chr6	26354856	26367778	2	12665	47758.4198	2320.7912	242	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	BTN3A2	1.411	242	1
2_MACS_peak_5952_lociStitched	chr11	111279653	111294506	2	14705	32088.4212	2683.9371	243		POU2AF1	POU2AF1	POU2AF1	1.4162	243	1
5_MACS_peak_15666_lociStitched	chr2	46785372	46804516	5	15351	24456.46	3327.2272	244	RHOQ	CRIPT,ATP6V1E2,PIGF	RHOQ	RHOQ	0.4899	244	1
2_MACS_peak_19471_lociStitched	chr22	38781971	38797130	2	15087	26134.116	2657.3727	245	LOC400927	KCNJ4	LOC400927	LOC400927	0.4326	245	1
2_MACS_peak_3789_lociStitched	chr10	63797955	63814956	2	13652	40506.5826	2793.2643	246	ARID5B		ARID5B	ARID5B	0.3156	246	1
2_MACS_peak_6550_lociStitched	chr12	15100942	15116370	2	15139	25326.6048	3119.5416	247	ARHGDIB	PDE6H,ERP27	ARHGDIB	ARHGDIB	0.7367	247	1
3_MACS_peak_29661_lociStitched	chr8	81046334	81061694	3	15033	26184.192	2709.504	248	TPD52		TPD52	TPD52	0.3417	248	1
3_MACS_peak_6319_lociStitched	chr12	4216085	4230901	3	10528	57179.3888	2761.7024	249			CCND2	CCND2	0.4464	249	1
3_MACS_peak_18052_lociStitched	chr20	25261471	25282814	3	13847	37683.2008	3246.2703	250	PYGB,ABHD12		PYGB	PYGB	0.6094	250	1
6_MACS_peak_17293_lociStitched	chr2	202081169	202102261	6	15092	24300.0932	3975.842	251	CASP10,CASP8	CASP8	CASP8	CASP8	0.975	251	1
3_MACS_peak_10222_lociStitched	chr15	75352717	75371232	3	13832	37726.164	3186.4315	252		PPCDC	PPCDC	PPCDC	1.2470999999999999	252	1
4_MACS_peak_10424_lociStitched	chr15	89163665	89184905	4	14992	24816.816	3355.92	253	AEN,ISG20	MIR1179,MIR7-2	ISG20	ISG20	0.5796	253	1
1_MACS_peak_1038_lociStitched	chr1	66736644	66750677	1	14034	34636.2506	2629.7842	254	PDE4B	PDE4B	PDE4B	PDE4B	0.0858	254	1
3_MACS_peak_3636_lociStitched	chr10	45453921	45475559	3	14882	25483.0726	3278.157	255	RASSF4,LOC220980,C10orf10	TMEM72,ZNF22,C10orf25	RASSF4	RASSF4	0.5166000000000001	255	1
2_MACS_peak_7430_lociStitched	chr12	92853939	92866962	2	12962	42859.9953	2381.9067	256		CLLU1,CLLU1OS	CLLU1OS	CLLU1	0.26680000000000004	256	1
2_MACS_peak_9958_lociStitched	chr15	58581726	58595710	2	12108	48209.84	2543.6896	257			LIPC	LIPC	NONE	257	1
5_MACS_peak_20496_lociStitched	chr3	66530525	66552388	5	15198	19788.2013	3174.5076	258	LRIG1		LRIG1	LRIG1	0.1035	258	1
4_MACS_peak_15675_lociStitched	chr2	47193795	47215128	4	13414	40394.0355	3377.0139	259	TTC7A	MCFD2	MCFD2	MCFD2	0.3105	259	1
4_MACS_peak_11254_lociStitched	chr16	50713906	50732906	4	14397	30707.8	2736	260	NOD2,SNX20	CYLD	NOD2	NOD2	0.1516	260	1
6_MACS_peak_15941_lociStitched	chr2	68936242	68965530	6	14671	28901.3984	4378.556	261	ARHGAP25	ARHGAP25	ARHGAP25	ARHGAP25	0.2581	261	1
3_MACS_peak_20241_lociStitched	chr3	46577650	46592060	3	12428	45597.563	2560.657	262	LRRC2	RTP3,TDGF1	LRRC2	LRRC2	0.7867000000000001	262	1
4_MACS_peak_23280_lociStitched	chr4	173896576	173919991	4	14860	23813.055	3320.247	263	GALNTL6		GALNT7	GALNT7	NONE	263	1
4_MACS_peak_9640_lociStitched	chr15	38360697	38380788	4	12753	44270.5185	3544.0524	264			TMCO5A	TMCO5A	NONE	264	1
5_MACS_peak_15304_lociStitched	chr2	20610830	20631198	5	14395	29553.968	3083.7152	265		RHOB	RHOB	RHOB	0.4676	265	1
3_MACS_peak_12610_lociStitched	chr17	46580014	46596249	3	14754	24233.9845	2490.449	266		HOXB1,HOXB2	HOXB1	HOXB2	0.04899999999999999	266	1
2_MACS_peak_15404_lociStitched	chr2	27374587	27390339	2	13707	35912.9848	2599.08	267	TCF23	ABHD1,C2orf28,CAD,CGREF1,PREB,C2orf53,SLC5A6	TCF23	TCF23	0.8138	267	1
3_MACS_peak_313_lociStitched	chr1	23850116	23867235	3	11828	49242.8035	3136.2008	268	E2F2	ASAP3,ID3	E2F2	E2F2	1.2774	268	1
5_MACS_peak_12542_lociStitched	chr17	43504962	43531675	5	14858	23242.9813	3542.1438	269	SH3D20,PLEKHM1	ARHGAP27,MIR4315-1	SH3D20	SH3D20	0.47069999999999995	269	1
3_MACS_peak_13128_lociStitched	chr17	76763207	76779790	3	14567	26488.0259	2812.4768	270	CYTH1		CYTH1	CYTH1	0.5689	270	1
2_MACS_peak_23660_lociStitched	chr5	32530422	32544426	2	13167	39606.1128	2748.9852	271		SUB1	SUB1	SUB1	1.2607	271	1
2_MACS_peak_18485_lociStitched	chr20	52267708	52279876	2	11978	46371.0312	2274.1992	272			ZNF217	ZNF217	0.7591	272	1
3_MACS_peak_13066_lociStitched	chr17	75078689	75093228	3	13980	31421.6868	2699.8923	273	C17orf86,SCARNA16	SEC14L1	SCARNA16	SCARNA16	1.7896	273	1
3_MACS_peak_19900_lociStitched	chr3	15834971	15852117	3	14412	25844.1658	2683.349	274	ANKRD28	ANKRD28	ANKRD28	ANKRD28	0.0782	274	1
1_MACS_peak_8594_lociStitched	chr13	114556452	114568175	1	11724	47876.732	2971.7805	275	GAS6	FLJ44054,GAS6	GAS6	GAS6	0.8500000000000001	275	1
6_MACS_peak_11084_lociStitched	chr16	29815501	29837643	6	14015	30420.8938	3223.8752	276	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	C16orf53	C16orf53	0.8649999999999999	276	1
2_MACS_peak_22606_lociStitched	chr4	84130812	84144465	2	12455	42804.8856	2551.7457	277			COQ2	COQ2	NONE	277	1
1_MACS_peak_12855_lociStitched	chr17	62196837	62211002	1	14166	26829.9265	2811.7525	279	ERN1	SNORD104,SNORA76	ERN1	ERN1	1.0478	279	1
1_MACS_peak_12375_lociStitched	chr17	37924583	37938258	1	13676	31092.8475	2536.7125	280	IKZF3	GRB7,C17orf37	GRB7	C17orf37	0.24170000000000003	280	1
3_MACS_peak_26516_lociStitched	chr6	109186213	109207505	3	13799	30707.3224	3496.1464	281	ARMC2		ARMC2	ARMC2	0.5956	281	1
5_MACS_peak_6840_lociStitched	chr12	46776053	46798882	5	14016	28184.6834	3538.495	282		SLC38A2	SLC38A2	SLC38A2	0.41179999999999994	282	1
3_MACS_peak_29217_lociStitched	chr8	29404082	29419076	3	12272	42227.6022	2381.0472	283			C8orf75	C8orf75	0.4147	283	1
3_MACS_peak_3033_lociStitched	chr1	234734059	234750236	3	12192	44425.2774	4091.1633	284	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	2.5957999999999997	284	1
2_MACS_peak_6522_lociStitched	chr12	13241884	13256034	2	14094	25846.39	2614.92	285	GSG1	KIAA1467	GSG1	GSG1	0.7568999999999999	285	1
2_MACS_peak_18147_lociStitched	chr20	32988962	33005906	2	13674	30456.84	2636.4864	286	ITCH	MIR644	ITCH	ITCH	0.1859	286	1
1_MACS_peak_16147_lociStitched	chr2	86219293	86229281	1	9989	53078.2296	1924.6876	287		LOC90784	LOC90784	LOC90784	0.06670000000000001	287	1
2_MACS_peak_17957_lociStitched	chr20	17826231	17840397	2	12143	42136.767	2331.7236	289			SNORD17	SNORD17	0.2624	289	1
3_MACS_peak_21041_lociStitched	chr3	129026402	129048418	3	13970	26487.4496	3306.8032	290	C3orf47,H1FX	C3orf37	H1FX	H1FX	1.6768999999999998	290	1
2_MACS_peak_18810_lociStitched	chr21	34599873	34613458	2	11278	47855.8795	3271.268	292	IFNAR2	IL10RB	IFNAR2	IFNAR2	1.2117	292	1
3_MACS_peak_5566_lociStitched	chr11	71413776	71427436	3	12776	37193.448	2734.732	293			FAM86C	FAM86C	NONE	293	1
3_MACS_peak_27651_lociStitched	chr7	44661752	44680287	3	13793	27663.4875	3173.192	294	OGDH	DDX56,TMED4	OGDH	TMED4	0.37759999999999994	294	1
3_MACS_peak_15357_lociStitched	chr2	25623806	25645681	3	11622	45145.625	3633.4375	295	DTNB		DNMT3A	DNMT3A	NONE	295	1
1_MACS_peak_30128_lociStitched	chr8	137188913	137201810	1	12898	34763.8635	2581.9794	296			KHDRBS3	KHDRBS3	NONE	296	1
4_MACS_peak_22491_lociStitched	chr4	76023197	76044177	4	12335	39918.646	3478.484	297			PARM1	PARM1	NONE	297	1
5_MACS_peak_29183_lociStitched	chr8	27930170	27951498	5	13897	24051.5856	3386.8864	298	ELP3,C8orf80		C8orf80	C8orf80	0.3365	298	1
2_MACS_peak_21730_lociStitched	chr3	186779577	186792720	2	9806	53878.4142	3858.7848	299	ST6GAL1		ST6GAL1	ST6GAL1	0.7342000000000001	299	1
3_MACS_peak_29221_lociStitched	chr8	29463168	29478099	3	13241	30321.8748	2294.8947	300			C8orf75	C8orf75	0.4147	300	1
1_MACS_peak_26457_lociStitched	chr6	106609426	106619156	1	9731	52048.689	1991.731	301			PRDM1	PRDM1	2.8815	301	1
6_MACS_peak_15977_lociStitched	chr2	70334954	70360905	6	12679	36891.9416	3895.2451	302	LOC100133985	PCBP1,LOC400960	LOC100133985	PCBP1	4.058	302	1
1_MACS_peak_18555_lociStitched	chr20	56047137	56058651	1	11515	42783.7212	1774.3074	303		CTCFL	CTCFL	CTCFL	0.04869999999999999	303	1
2_MACS_peak_19497_lociStitched	chr22	39458837	39474340	2	13381	28624.7392	2466.5273	304	APOBEC3G	APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3H	APOBEC3G	APOBEC3C	1.2242000000000002	304	1
2_MACS_peak_18320_lociStitched	chr20	43269379	43282408	2	12743	34608.9327	2360.8548	305	ADA	LOC79015	ADA	ADA	0.7421	305	1
4_MACS_peak_14019_lociStitched	chr19	2455389	2480615	4	13181	32296.8478	4550.7704	306	GADD45B,LMNB2	TIMM13	GADD45B	GADD45B	1.4547999999999999	306	1
4_MACS_peak_695_lociStitched	chr1	40839246	40858701	4	13689	25272.045	3766.488	307	SMAP2	SMAP2	SMAP2	SMAP2	0.3363	307	1
1_MACS_peak_409_lociStitched	chr1	27018179	27031125	1	12947	31647.7916	2189.1686	308	ARID1A		ARID1A	ARID1A	0.3972	308	1
2_MACS_peak_24158_lociStitched	chr5	86407991	86420485	2	12328	36792.3312	2371.3612	309	MIR4280		MIR4280	MIR4280	0.8585999999999999	309	1
7_MACS_peak_5354_lociStitched	chr11	63992769	64020027	7	13974	19573.9698	3807.9426	310	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	FKBP2	0.651	310	1
1_MACS_peak_21499_lociStitched	chr3	174863583	174871752	1	8170	56671.6206	2039.7993	312	NAALADL2		NAALADL2	NAALADL2	0.12600000000000003	312	1
2_MACS_peak_5412_lociStitched	chr11	65263616	65279092	2	11331	44182.4324	3406.2676	313	MALAT1	SCYL1,LTBP3	MALAT1	MALAT1	2.1972	313	1
2_MACS_peak_26777_lociStitched	chr6	135190206	135204490	2	9172	53140.7652	2056.896	315			ALDH8A1	ALDH8A1	NONE	315	1
3_MACS_peak_16809_lociStitched	chr2	158323256	158337941	3	10290	48918.672	2662.3905	316		CYTIP	CYTIP	CYTIP	1.0613	316	1
3_MACS_peak_14881_lociStitched	chr19	47728651	47748478	3	12982	30682.2825	2898.7074	317	MIR3190,BBC3,MIR3191	CCDC9,PRR24	BBC3	BBC3	1.0111	317	1
1_MACS_peak_27433_lociStitched	chr7	26002066	26012324	1	10259	48257.7352	2239.3214	318		MIR148A	MIR148A	MIR148A	1.4823	318	1
3_MACS_peak_7420_lociStitched	chr12	92754465	92770626	3	11002	44930.8122	2774.8437	319		CLLU1	CLLU1	CLLU1	0.26680000000000004	319	1
2_MACS_peak_19179_lociStitched	chr22	23088011	23101860	2	12988	29879.2175	2415.2656	320			MIR650	MIR650	1.2632	320	1
3_MACS_peak_18488_lociStitched	chr20	52336841	52358973	3	12343	36632.8864	3452.592	321			SUMO1P1	SUMO1P1	1.2164	321	1
3_MACS_peak_22307_lociStitched	chr4	48191397	48206753	3	12435	35166.7756	2761.0088	322	TEC		TXK	TXK	NONE	322	1
2_MACS_peak_18931_lociStitched	chr21	41295893	41310444	2	10941	45906.9499	3554.8093	323	PCP4		PCP4	PCP4	0.3005	323	1
4_MACS_peak_30193_lociStitched	chr8	145009740	145028023	4	13542	22956.1348	2294.5165	324	PLEC,MIR661	GRINA,PARP10	PLEC	PARP10	0.4489	324	1
7_MACS_peak_14210_lociStitched	chr19	10513389	10543541	7	13801	19336.4776	3576.0272	326	PDE4A,CDC37,MIR1181	PDE4A,TYK2	PDE4A	PDE4A	0.0958	326	1
2_MACS_peak_25706_lociStitched	chr6	31694327	31709390	2	12167	36707.0247	2804.7306	327	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	CLIC1	2.1204	327	1
5_MACS_peak_5523_lociStitched	chr11	67760370	67781834	5	13442	24353.0544	3397.7512	328	ALDH3B1,UNC93B1	NDUFS8,TCIRG1	UNC93B1	NDUFS8	0.6496	328	1
3_MACS_peak_31390_lociStitched	chr9	130828870	130845653	3	13333	25080.5152	2962.1995	329	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	SLC25A25	0.4155	329	1
2_MACS_peak_29234_lociStitched	chr8	29622083	29635670	2	10204	47809.9356	2410.3338	330		C8orf75	C8orf75	C8orf75	0.4147	330	1
3_MACS_peak_14598_lociStitched	chr19	35694932	35708177	3	11237	42279.3645	2507.2785	331		FXYD5,LSR,FAM187B	FAM187B	LSR	0.4732	331	1
1_MACS_peak_28640_lociStitched	chr7	136034857	136047648	1	12792	31028.4078	3123.5622	332			LUZP6	LUZP6	NONE	332	1
