GENE_ID	locusLine	bin_1_08_0EWU_0229Kronos_MM1S-KB-6hr-2_H3K18Ac_hs-dm_i16.bam
NM_003520	chr6(.):27801439-27811888	2.0487
NM_003511	chr6(.):27828106-27838576	0.9088
NM_003533	chr6(.):27834622-27845099	0.4373
NM_003510	chr6(.):27800657-27811117	2.0479
NM_003541	chr6(.):27793951-27804305	0.7295
NM_005322	chr6(.):27829569-27840359	0.9524
NM_033057	chr6(.):27873962-27885174	0.0382
NM_021968	chr6(.):27786902-27797258	0.7169
NM_003514	chr6(.):27855476-27865963	2.2185
NM_003546	chr6(.):27835925-27846289	0.1837
NM_003587	chr6(.):30615895-30645830	0.098
NM_001161376	chr6(.):30609815-30625987	0.3223
NM_133471	chr6(.):30639165-30660672	1.1264
NM_001134870	chr6(.):30639165-30660093	1.1557
NM_007243	chr6(.):30650825-30663769	1.2788
NM_005803	chr6(.):30690510-30715453	0.2997
NM_003897	chr6(.):30705975-30717327	0.4385
NM_178014	chr6(.):30683156-30698195	1.4752
NM_021246	chr6(.):31678132-31690581	0.0816
NM_138275	chr6(.):31686160-31697851	0.5802
NR_033488	chr6(.):31649725-31675850	0.2103
NM_013974	chr6(.):31689816-31703039	0.8503
NM_025262	chr6(.):31639460-31653150	0.1875
NM_001288	chr6(.):31693357-31709341	2.5669
NM_001003693	chr6(.):31669683-31683372	0.3681
NM_021160	chr6(.):31649725-31676137	0.2086
NR_024541	chr6(.):31674752-31686842	0.0644
NM_025261	chr6(.):31681424-31694510	0.0802
NM_001039651	chr6(.):31725772-31737624	0.1051
NM_025258	chr6(.):31728370-31750108	0.3906
NR_002742	chr6(.):31799852-31809916	1.0856
NM_000434	chr6(.):31821828-31835709	0.2945
NM_021177	chr6(.):31760173-31779743	0.6744
NR_002745	chr6(.):31798039-31808103	1.1227
NM_001178045	chr6(.):31825969-31850448	0.1961
NM_001040438	chr6(.):31797692-31812541	0.7941
NM_005345	chr6(.):31778290-31790719	1.0725
NM_005527	chr6(.):31772395-31787835	0.4976
NM_001178044	chr6(.):31825969-31851823	0.1869
NM_006295	chr6(.):31740296-31768712	0.7956
NM_005346	chr6(.):31790511-31803031	1.2701
NM_006120	chr6(.):32911390-32925899	0.3348
NM_002119	chr6(.):32966959-32982389	0.06
NM_002118	chr6(.):32897405-32913847	0.3201
NM_005104	chr6(.):32931436-32954282	2.3139
NM_001113182	chr6(.):32933664-32954282	2.5525
NM_001199455	chr6(.):32934371-32954282	2.639
NM_001199456	chr6(.):32935860-32954282	2.7609
NM_000322	chr6(.):42659332-42695358	0.1366
NM_003192	chr6(.):42707233-42718884	0.5333
NR_037141	chr6(.):42690313-42700932	0.2418
NM_015349	chr6(.):42783793-42841296	0.062
NM_001078177	chr6(.):44186362-44206888	0.509
NM_178148	chr6(.):44216837-44230283	0.3845
NM_001078174	chr6(.):44182241-44206888	0.4565
NM_020745	chr6(.):44261462-44286063	0.1415
NM_182539	chr6(.):44242896-44270458	0.0524
NM_001137560	chr6(.):44233479-44252182	0.0911
NM_001078175	chr6(.):44186295-44206888	0.5115
NM_004556	chr6(.):44220902-44238525	1.1114
NM_007355	chr6(.):44209848-44226614	0.8403
NM_002043	chr6(.):89962238-90029967	0.3162
NM_021244	chr6(.):90069334-90126995	0.5345
NM_182907	chr6(.):106541814-106562811	3.1942
NM_001198	chr6(.):106529194-106562814	3.3415
NM_020399	chr6(.):117876432-117928705	0.2153
NM_001145207	chr6(.):135351994-135381036	0.2122
NM_006620	chr6(.):135276516-135381036	0.3821
NR_037435	chr6(.):135295475-135305570	0.0961
NM_006290	chr6(.):138183580-138209449	1.4597
NR_037463	chr6(.):157945163-157955232	0.0454
NM_145695	chr7(.):14210605-14886075	0.1094
NM_004080	chr7(.):14179673-14886075	0.1063
NM_004289	chr7(.):26186846-26231756	0.5613
NM_001029835	chr7(.):45062232-45121069	0.4538
NM_001167935	chr7(.):45034786-45121069	0.5084
NR_030770	chr7(.):45034344-45121069	0.5325
NM_030796	chr7(.):55533305-55645200	1.6792
NM_012301	chr7(.):77641373-79087890	0.1166
NM_001913	chr7(.):101454291-101932250	0.1194
NM_181500	chr7(.):101454302-101932250	0.1194
NM_032549	chr7(.):110298109-111207347	0.1279
NM_001145354	chr7(.):130789854-131186398	0.24
NM_001164458	chr7(.):149939300-150025758	0.2972
NM_138426	chr7(.):8003422-8133709	0.2391
NM_182762	chr7(.):20169278-20262013	0.6167
NM_002541	chr7(.):44641120-44753669	0.3722
NM_001003941	chr7(.):44641120-44721195	0.5
NM_022748	chr7(.):47309751-47584199	0.2725
NM_006060	chr7(.):50339377-50477798	0.2837
NM_012395	chr7(.):90333711-90844904	0.2148
NM_017621	chr7(.):102091666-102110321	0.4452
NM_001099660	chr7(.):110726061-110770509	0.2369
NM_003117	chr7(.):123560285-123616461	0.4619
NM_022444	chr7(.):122748587-122845025	0.4065
NM_001098627	chr7(.):128575771-128595088	1.5629
NM_001098630	chr7(.):128572993-128595088	1.5724
NM_032643	chr7(.):128573270-128595088	1.5183
NR_015431	chr7(.):130623918-130798562	0.3333
NR_024153	chr7(.):130623918-130796789	0.3343
NM_178563	chr7(.):134666258-134825530	0.2241
NM_173680	chr7(.):150071405-150100719	2.424
NR_029597	chr7(.):25984538-25994606	1.7823
NM_031243	chr7(.):26224555-26245413	0.9425
NM_016587	chr7(.):26236323-26257976	0.8835
NM_007276	chr7(.):26236098-26257976	0.8749
NM_019082	chr7(.):44600402-44619137	0.1475
NM_182547	chr7(.):44613761-44626827	0.5351
NR_003697	chr7(.):45017626-45031259	0.2904
NR_002952	chr7(.):45019976-45030109	0.359
NM_033054	chr7(.):44997259-45023704	0.1379
NM_017439	chr7(.):76935067-77050717	0.3316
NM_020979	chr7(.):101923404-101967178	1.0748
NR_036245	chr7(.):101931368-101941453	0.9427
NM_032831	chr7(.):102068995-102102268	2.2291
NM_024653	chr7(.):102031803-102072129	1.5142
NM_006234	chr7(.):102108547-102124381	0.2295
NM_152892	chr7(.):102100389-102118612	0.2779
NR_027374	chr7(.):104530074-104572092	0.2986
NM_002649	chr7(.):106500923-106552592	0.7878
NM_001166346	chr7(.):114557208-114568720	2.0499
NM_199072	chr7(.):114557208-114664970	0.7779
NM_001024613	chr7(.):121936447-121949565	0.6302
NR_036484	chr7(.):121938711-121955131	1.2008
NM_001174045	chr7(.):123560908-123605100	0.0854
NM_199349	chr7(.):128525000-128555773	0.1503
NM_013400	chr7(.):150060878-150076133	3.7853
NM_014374	chr7(.):150063257-150076133	4.3502
NM_001142928	chr7(.):150015295-150040245	0.7231
NM_002889	chr7(.):150030406-150043763	0.0701
NM_138434	chr7(.):150021937-150034811	0.0967
NR_027237	chr7(.):150097839-150114558	2.8366
NM_175571	chr7(.):150142961-150181483	0.1044
NR_034033	chr7(.):150125741-150150228	1.2907
NM_080838	chr8(.):134198311-134245053	0.7908
NM_003882	chr8(.):134198311-134246571	0.9168
NM_004103	chr8(.):27163998-27321903	0.6109
NM_173176	chr8(.):27178053-27321903	0.6379
NM_173175	chr8(.):27178080-27321903	0.6381
NM_021623	chr8(.):38753752-38836430	0.7003
NM_001386	chr8(.):26430420-26520693	0.2148
NM_001197293	chr8(.):26366708-26520693	0.2065
NM_006228	chr8(.):28169648-28205868	0.6203
NM_001010906	chr8(.):27874480-27946388	0.5129
NM_024787	chr8(.):33400272-33429643	1.0367
NR_027638	chr8(.):38849504-38967779	0.0923
NM_172060	chr8(.):72104667-72273979	0.2149
NM_000503	chr8(.):72104667-72279467	0.2444
NM_005079	chr8(.):80942104-81088836	0.4938
NM_024094	chr8(.):120841180-120873170	0.1995
NM_022783	chr8(.):120880899-121068157	0.7913
NM_173685	chr8(.):126099082-126384367	0.4031
NM_003033	chr8(.):134462090-134589183	0.586
NM_003970	chr8(.):1988157-2098380	1.1121
NM_171982	chr8(.):27137403-27173834	0.1657
NM_018091	chr8(.):27945583-28053669	0.084
NM_018660	chr8(.):28198101-28248977	0.3735
NM_057158	chr8(.):29188616-29211322	0.9867
NM_001394	chr8(.):29188619-29213185	0.9197
NR_026765	chr8(.):29573775-29610625	0.5376
NM_025115	chr8(.):33351235-33375656	0.2849
NM_001102401	chr8(.):33351235-33375703	0.2848
NM_024025	chr8(.):33443853-33462439	0.1318
NM_001024381	chr8(.):38841326-38859041	0.2424
NM_153692	chr8(.):38826667-38851181	0.0681
NM_024410	chr8(.):103558847-103578245	0.0899
NM_148174	chr8(.):103833535-103881397	0.1167
NM_201378	chr8(.):144984320-145052697	0.4505
NM_032789	chr8(.):145046319-145065635	0.5343
NM_000445	chr8(.):144984320-145055913	0.4479
NM_201381	chr8(.):144984320-145023905	0.5564
NM_201382	chr8(.):144984320-145023110	0.5544
NM_201383	chr8(.):144984320-145021692	0.5511
NM_201379	chr8(.):144984320-145033088	0.5245
NM_001009184	chr8(.):145059225-145072583	0.4156
NM_201384	chr8(.):144984320-145018758	0.5897
NR_030383	chr8(.):145014358-145024447	0.9369
NM_201380	chr8(.):144984320-145030044	0.5578
NM_002839	chr9(.):8309245-10617723	0.0746
NM_001206	chr9(.):72994512-73034573	0.3735
NM_053016	chr9(.):112537576-112718756	0.4033
NM_001037293	chr9(.):112398067-112718756	0.2524
NM_007203	chr9(.):112537576-112939791	0.4949
NM_001004065	chr9(.):112805877-112939791	0.7354
NM_005047	chr9(.):123573331-123610206	0.2074
NM_015033	chr9(.):132644465-132810473	0.2847
NM_001170	chr9(.):33379947-33407517	0.085
NM_139235	chr9(.):33456350-33478941	0.2379
NM_004925	chr9(.):33436159-33452590	0.6579
NM_005384	chr9(.):94166326-94191144	1.1537
NM_001012993	chr9(.):112956845-112975413	0.0875
NM_001136562	chr9(.):112882780-112939791	1.1641
NM_000608	chr9(.):117087068-117100536	0.073
NM_030767	chr9(.):117091432-117161685	0.6539
NM_000607	chr9(.):117080302-117093759	0.0707
NM_001244	chr9(.):117660123-117697770	0.681
NM_005658	chr9(.):123659670-123694173	0.7909
NM_015651	chr9(.):123612930-123644606	0.9652
NM_001190945	chr9(.):123659670-123696451	0.8912
NM_001190947	chr9(.):123659670-123681850	0.5095
NM_001009936	chr9(.):123626852-123644606	1.6519
NR_024408	chr9(.):123600319-123621651	0.3131
NR_024425	chr9(.):130885807-130897913	0.4525
NR_027812	chr9(.):130877971-130895712	0.3545
NM_001006641	chr9(.):130825478-130876524	0.5678
NM_197956	chr9(.):130818511-130834599	0.7542
NM_001006643	chr9(.):130855835-130876524	0.0697
NM_001006642	chr9(.):130849127-130876524	0.0708
NM_052901	chr9(.):130855816-130876524	0.0697
NM_025072	chr9(.):130877971-130895474	0.358
NR_033374	chr9(.):130868449-130886013	0.1078
NM_016520	chr9(.):132584563-132602572	0.2178
NM_006676	chr9(.):132592695-132649107	0.2616
NM_001008563	chr9(.):132592756-132649107	0.2616
NM_032728	chr9(.):134160080-134189649	0.072
NM_033387	chr9(.):134128464-134156906	1.1216
NM_015691	chrX(.):9978794-10117518	0.4098
NM_001123384	chrX(.):39905498-40041582	0.3551
NM_144495	chrX(.):48750194-48765420	0.2887
NM_001167990	chrX(.):48750212-48765420	0.289
NM_001032384	chrX(.):48750538-48765420	0.2953
NM_001167992	chrX(.):48750774-48765420	0.3
NM_001104544	chrX(.):119387504-119450391	0.5034
NM_001830	chrX(.):10119984-10210699	0.0412
NM_017745	chrX(.):39905498-39961719	0.2277
NM_001167947	chrX(.):48745729-48760426	0.3913
NM_001042498	chrX(.):48755888-48774235	0.3353
NM_001136158	chrX(.):48774302-48819893	1.6421
NM_001136159	chrX(.):48774302-48820648	1.6157
NM_006875	chrX(.):48765458-48781413	1.2588
NM_004979	chrX(.):48813638-48833251	0.2317
NM_005660	chrX(.):48755458-48773917	0.3356
NM_001032289	chrX(.):48755889-48773933	0.3178
NM_016500	chrX(.):75387770-75403033	0.1725
NM_003399	chrX(.):128867945-128908525	0.3062
NM_018990	chrX(.):128908891-128934176	0.6256
NM_015892	chr10(.):125762181-125856930	1.2933
NM_014863	chr10(.):125774168-125856930	1.4687
NM_018363	chr10(.):90028620-90348082	0.2223
NM_001031709	chr10(.):90038858-90348082	0.1907
NM_001083591	chr10(.):11201992-11383672	1.0198
NM_001025077	chr10(.):11042258-11383672	0.599
NM_006561	chr10(.):11054892-11383672	0.6203
NM_024948	chr10(.):15815174-15907519	0.5697
NM_001002265	chr10(.):45947816-46095354	0.2758
NM_000698	chr10(.):45864628-45946563	0.96
NM_001002266	chr10(.):45947816-46035819	0.3553
NM_032199	chr10(.):63656012-63861707	0.4708
NM_001198798	chr10(.):73851273-73980751	0.1178
NM_001198799	chr10(.):73851273-73981183	0.1177
NM_020338	chr10(.):80823791-81081285	0.2768
NM_145868	chr10(.):81909879-81970328	0.4768
NM_007373	chr10(.):112674300-112778425	0.1154
NR_027653	chr10(.):3813187-3832473	1.6616
NM_001098207	chr10(.):43876064-43897794	0.5002
NM_004966	chr10(.):43876064-43909656	0.6845
NM_173160	chr10(.):43862091-43876783	0.0653
NM_001098204	chr10(.):43876064-43909696	0.6838
NM_001098208	chr10(.):43876064-43897279	0.5115
NM_001098205	chr10(.):43876064-43909332	0.6903
NM_001098206	chr10(.):43876064-43908299	0.7098
NR_026693	chr10(.):43927573-43983007	0.292
NM_173473	chr10(.):73970805-74000618	0.2095
NM_019058	chr10(.):74028676-74040797	0.5099
NM_020992	chr10(.):96992329-97055781	0.5245
NM_030912	chr10(.):104399251-104423076	1.0205
NM_001083913	chr10(.):104498726-104581021	0.4475
NM_017787	chr10(.):104530887-104581021	0.589
NM_005871	chr10(.):112047797-112069707	0.2107
NM_004419	chr10(.):112252624-112276302	1.2914
NM_145341	chr10(.):112626595-112664764	0.4965
NM_001195307	chr10(.):112653487-112684124	0.2758
NM_001195306	chr10(.):112653487-112683694	0.2772
NR_026932	chr10(.):112623647-112635662	3.0051
NM_006157	chr11(.):20686116-21602229	0.0933
NM_001111018	chr11(.):19367270-20148147	0.2078
NM_001098517	chr11(.):115039344-115380241	0.3866
NM_181798	chr11(.):2477683-2875340	0.1754
NM_000218	chr11(.):2461220-2875340	0.1743
NM_030962	chr11(.):9795213-10320754	0.0698
NM_175058	chr11(.):16804206-17040963	0.3148
NM_001143830	chr11(.):22683159-22839547	0.8328
NM_177553	chr11(.):22684653-22839547	0.8359
NM_005256	chr11(.):22691318-22839547	0.4578
NM_004811	chr11(.):58289343-58348390	0.9551
NM_001143995	chr11(.):58289343-58350639	0.9229
NM_001077241	chr11(.):65137662-65155142	0.9444
NR_002819	chr11(.):65260232-65278939	2.5752
NM_014824	chr11(.):72542789-72858143	0.177
NM_014488	chr11(.):82687477-82787884	0.7658
NM_025164	chr11(.):116709117-116973993	0.2107
NM_024556	chr11(.):126076618-126137879	0.073
NM_002017	chr11(.):128558812-128688162	0.8395
NM_001167681	chr11(.):128557388-128688162	0.8306
NM_001124	chr11(.):10321641-10333923	4.2237
NM_022725	chr11(.):22639078-22652387	0.5392
NM_000610	chr11(.):35155416-35258949	0.6115
NM_000614	chr11(.):58385145-58398205	0.1697
NR_024091	chr11(.):58341586-58398205	0.9334
NM_053023	chr11(.):58341586-58394023	0.9979
NR_028272	chr11(.):65185268-65199003	7.9299
NR_030343	chr11(.):65206928-65217028	0.4599
NM_031904	chr11(.):65149040-65185995	1.1898
NM_021070	chr11(.):65301029-65330699	0.335
NM_001048218	chr11(.):65287547-65311182	0.2277
NR_033347	chr11(.):82747505-82757640	0.1323
NM_006235	chr11(.):111217980-111255157	1.6995
NR_026691	chr11(.):117852105-117877199	0.5877
NR_027288	chr11(.):122883273-122895319	0.0734
NM_006597	chr11(.):122923199-122937844	1.6513
NM_032795	chr11(.):126066988-126086587	0.3177
NM_003658	chr11(.):129240880-129327174	0.5551
NM_014325	chr12(.):109033886-109130295	0.5858
NM_152641	chr12(.):46118619-46306819	0.1808
NM_002392	chr12(.):69196970-69244212	0.5976
NM_020375	chr12(.):4425358-4474190	0.0801
NM_018173	chr12(.):6414601-6442672	0.1497
NM_007273	chr12(.):7069516-7084891	0.6092
NR_015382	chr12(.):6543166-6565683	1.151
NM_001144857	chr12(.):6416816-6442672	0.1588
NM_001144856	chr12(.):6415098-6442672	0.1518
NM_001144831	chr12(.):7069514-7084916	0.6091
NM_001987	chr12(.):11797787-12053325	0.4061
NM_031289	chr12(.):13232041-13253709	1.0136
NM_006143	chr12(.):12808994-12854121	0.4147
NM_001080555	chr12(.):13232041-13261619	1.0402
NM_152321	chr12(.):15061975-15096463	0.0631
NM_139241	chr12(.):32650040-32803984	0.264
NM_001843	chr12(.):41081357-41469094	0.1656
NM_001033873	chr12(.):51634132-51668994	0.0769
NM_001031628	chr12(.):51634132-51669202	0.0772
NM_001128914	chr12(.):53840885-53879946	0.6865
NM_000966	chr12(.):53599352-53631036	1.3122
NM_001042728	chr12(.):53599352-53619150	1.8323
NM_013449	chr12(.):56984379-57035163	0.2965
NM_018279	chr12(.):72074877-72102839	0.7193
NM_005761	chr12(.):94537498-94704225	0.865
NM_020244	chr12(.):102086416-102127846	0.2293
NM_014706	chr12(.):108910990-108960165	0.5467
NM_018984	chr12(.):109171465-109256359	0.4606
NM_001082959	chr12(.):125257173-125353519	0.0612
NR_028415	chr12(.):1604656-1618590	0.0578
NM_001759	chr12(.):4377901-4419522	0.5722
NM_002342	chr12(.):6488356-6505732	0.0814
NM_001159576	chr12(.):6451008-6489390	0.6909
NM_001065	chr12(.):6432922-6456283	0.7526
NM_001038	chr12(.):6451008-6489905	0.6822
NM_001159575	chr12(.):6451008-6491523	0.658
NM_014231	chr12(.):6566403-6584843	0.7195
NM_001242	chr12(.):6549050-6565884	1.5198
NM_014865	chr12(.):6598297-6646132	0.558
NM_016497	chr12(.):6596315-6607471	0.7831
NM_018009	chr12(.):6556176-6576488	1.4937
NM_001975	chr12(.):7018613-7037859	0.954
NM_002831	chr12(.):7055433-7075479	2.4168
NR_029779	chr12(.):7067861-7077929	1.9468
NM_080548	chr12(.):7050739-7075479	2.3868
NM_001007026	chr12(.):7028625-7056484	1.0901
NM_006992	chr12(.):7008896-7028406	0.4882
NM_001940	chr12(.):7032479-7056484	1.0352
NR_003010	chr12(.):7071499-7081769	0.4344
NM_138425	chr12(.):7048202-7060165	1.5669
NR_029682	chr12(.):7068259-7078354	1.5408
NM_006331	chr12(.):7074943-7090165	0.2907
NM_004064	chr12(.):12865301-12880305	7.0246
NR_030344	chr12(.):12912582-12922677	0.0609
NM_001130415	chr12(.):12873850-12949399	0.7393
NM_020853	chr12(.):13192314-13241383	0.2292
NM_006205	chr12(.):15120955-15139799	0.1225
NM_001175	chr12(.):15089949-15119562	0.9897
NM_030762	chr12(.):26267958-26283003	1.9956
NM_005086	chr12(.):26343505-26392708	0.0946
NM_001135823	chr12(.):26343268-26392708	0.0948
NR_028408	chr12(.):46114502-46126704	1.4835
NM_018976	chr12(.):46746970-46771645	0.6353
NM_001098532	chr12(.):48123452-48157181	0.3379
NM_017842	chr12(.):48161966-48181536	0.2985
NM_006105	chr12(.):48123452-48157244	0.3374
NM_001098531	chr12(.):48123452-48157889	0.3324
NM_001098416	chr12(.):48171506-48218763	1.3738
NM_014033	chr12(.):51313533-51331300	1.6916
NM_001109619	chr12(.):51342781-51369289	0.0772
NM_001971	chr12(.):51717226-51745463	0.6551
NM_016293	chr12(.):51669821-51722938	0.5769
NM_001004304	chr12(.):53569534-53589654	0.4512
NM_000889	chr12(.):53580106-53606000	3.87
NM_015989	chr12(.):53546446-53579430	0.2303
NM_001170790	chr12(.):53640369-53653190	0.3214
NM_032889	chr12(.):53640875-53653190	0.3333
NM_015665	chr12(.):53696239-53720412	0.5188
NM_152860	chr12(.):53715359-53734537	0.4709
NM_001173467	chr12(.):53715359-53735004	0.4639
NM_001164691	chr12(.):53812638-53830318	0.1029
NM_003109	chr12(.):53769427-53815226	0.3528
NM_138473	chr12(.):53768978-53815226	0.3503
NM_001005354	chr12(.):53830432-53845427	0.2118
NM_134324	chr12(.):53890376-53905215	0.6356
NM_006301	chr12(.):53869275-53898444	0.503
NM_134323	chr12(.):53889704-53905215	0.6105
NM_003717	chr12(.):53895473-53906422	0.1929
NM_001127460	chr12(.):56705006-56732533	0.7513
NM_014255	chr12(.):56699212-56715128	0.4001
NM_005419	chr12(.):56730381-56759037	0.8223
NM_014871	chr12(.):56705006-56732837	0.7989
NM_004077	chr12(.):56660482-56699175	0.1942
NM_016584	chr12(.):56727662-56739194	1.5731
NM_001638	chr12(.):56749354-56761583	0.7669
NR_003046	chr12(.):57032463-57042538	0.6122
NM_001686	chr12(.):57026958-57044852	0.711
NM_005594	chr12(.):57101210-57124066	0.4884
NR_002737	chr12(.):57033810-57043885	0.6122
NM_001113203	chr12(.):57101210-57124326	0.4833
NM_006601	chr12(.):57052124-57087078	0.6312
NM_017440	chr12(.):68683345-68731161	0.1089
NM_031435	chr12(.):72052676-72079428	0.3571
NM_144982	chr12(.):71998378-72062749	0.1767
NM_203394	chr12(.):77410025-77464360	0.4815
NM_001946	chr12(.):89736836-89751296	2.8104
NM_001025233	chr12(.):92812734-92829730	0.513
NR_027933	chr12(.):92810306-92829778	0.4626
NM_001025232	chr12(.):92808869-92826924	0.3551
NM_153694	chr12(.):102117425-102138250	0.8942
NM_024312	chr12(.):102134274-102229645	0.3133
NM_001111283	chr12(.):102784644-102879378	0.6267
NM_001111284	chr12(.):102784644-102877429	0.4946
NM_001111285	chr12(.):102806453-102879378	0.7954
NM_014840	chr12(.):106452124-106538811	0.2665
NM_007076	chr12(.):108904050-108918380	0.2142
NM_213595	chr12(.):108951293-108968160	3.0157
NM_181724	chr12(.):108978621-108996894	0.096
NM_003006	chr12(.):109010679-109032670	5.0561
NM_001161331	chr12(.):109180694-109226327	0.1354
NM_019034	chr12(.):122210659-122236594	0.1159
NR_002809	chr12(.):122228172-122246390	1.3509
NM_015048	chr12(.):122237637-122275562	0.6223
NM_024667	chr12(.):123344874-123385712	0.8887
NM_021009	chr12(.):125391191-125404587	1.717
NM_015057	chr13(.):77613791-77906177	0.1472
NM_032436	chr13(.):115074964-115097803	0.5277
NM_000820	chr13(.):114518521-114572046	1.0177
NM_152719	chr13(.):46271445-46293693	1.5711
NM_001143945	chr13(.):114518521-114544017	0.1321
NM_001143946	chr13(.):114518521-114541714	0.1305
NR_024609	chr13(.):114581609-114631485	0.4921
NM_023011	chr13(.):115042077-115076283	0.7431
NM_003903	chr13(.):114995361-115043150	0.5677
NM_022060	chr14(.):23062146-23086265	0.3586
NM_001012706	chr14(.):50443429-50479238	0.8125
NM_004296	chr14(.):72394785-73038238	0.1261
NM_001080414	chr14(.):91732666-91889133	1.0052
NM_001344	chr14(.):23028806-23063143	0.2954
NM_024496	chr14(.):77485885-77500034	1.3004
NM_005065	chr14(.):81934238-82005205	0.8847
NM_152592	chr14(.):95878830-95947173	0.26
NR_003002	chr14(.):95994691-96004966	0.1861
NR_001459	chr14(.):95994248-96006209	0.1639
NM_016417	chr14(.):95996322-96016055	0.1139
NM_025268	chr14(.):105987952-106001539	0.2701
NM_144508	chr15(.):40881446-40959881	0.1289
NM_001042495	chr15(.):34517196-34635265	0.3235
NM_005135	chr15(.):34517196-34616021	0.0909
NM_001042497	chr15(.):34517196-34634045	0.318
NM_001042494	chr15(.):34517196-34634961	0.3181
NM_002420	chr15(.):31288550-31398924	0.5325
NM_001211	chr15(.):40448209-40518337	0.1594
NM_019600	chr15(.):52868517-52975820	0.277
NM_006537	chr15(.):63791809-63888663	0.1906
NM_001004439	chr15(.):68589041-68729492	0.2149
NM_016166	chr15(.):68341571-68485404	0.3161
NM_172217	chr15(.):81512639-81610104	0.6794
NM_001172128	chr15(.):81484218-81610104	0.5368
NM_007011	chr15(.):89626380-89750591	0.6239
NR_027992	chr15(.):20869796-20966480	0.0567
NR_027053	chr15(.):21927513-21945739	0.2508
NR_024387	chr15(.):22009419-22021878	0.061
NR_029624	chr15(.):31352234-31362344	0.1121
NM_015995	chr15(.):31614082-31675102	1.4431
NM_175741	chr15(.):34633065-34654931	0.1168
NM_181077	chr15(.):34666269-34687001	0.0602
NM_018648	chr15(.):34628916-34640362	1.1112
NM_153613	chr15(.):34646088-34664395	0.484
NR_036050	chr15(.):34669269-34679351	0.0515
NR_036050	chr15(.):34815490-34825572	0.0487
NM_003134	chr15(.):40322890-40336389	0.3293
NM_001003942	chr15(.):40375091-40403287	2.7577
NM_033503	chr15(.):40375091-40403639	2.7272
NM_001003940	chr15(.):40375091-40406075	2.5331
NM_001080791	chr15(.):40840297-40862252	1.4453
NM_152260	chr15(.):40856536-40871661	0.3713
NR_002208	chr15(.):40819082-40829749	0.1084
NM_198524	chr15(.):56652643-56743072	0.739
NM_017882	chr15(.):68494329-68527080	0.6226
NM_033429	chr15(.):68478042-68503448	1.3556
NM_015322	chr15(.):68565140-68588640	1.5688
NM_001127190	chr15(.):75069424-75100539	1.3968
NM_000761	chr15(.):75036183-75053941	0.0482
NM_000499	chr15(.):75006882-75022877	0.1506
NM_021819	chr15(.):75100193-75123099	0.1048
NM_001030005	chr15(.):75113950-75129136	0.0732
NM_021823	chr15(.):75310926-75348067	1.4083
NM_138967	chr15(.):75282875-75318836	1.0764
NM_004513	chr15(.):81584253-81610104	1.8674
NM_181900	chr15(.):81600006-81621524	0.6565
NM_002168	chr15(.):90622211-90650708	0.8863
NM_198925	chr15(.):90739561-90777892	0.1787
NM_001013657	chr15(.):90772486-90790312	0.1542
NM_020210	chr15(.):90723151-90777892	0.5817
NM_006384	chr15(.):90768476-90782279	0.1787
NR_033769	chr15(.):93333713-93345338	0.0969
NR_037600	chr15(.):93421072-93446977	0.7032
NR_037602	chr15(.):93421525-93446977	0.7154
NM_015914	chr16(.):11767942-11841648	2.6534
NM_013302	chr16(.):22212591-22305066	0.1097
NM_000336	chr16(.):23308590-23397620	1.3577
NM_153603	chr16(.):23394813-23469512	0.6561
NM_000078	chr16(.):56990834-57022756	0.1397
NM_012320	chr16(.):68274246-68299961	1.2537
NM_002661	chr16(.):81807929-81996899	0.2246
NM_175931	chr16(.):88936262-89012608	0.0264
NM_005187	chr16(.):88936262-89048504	0.3253
NM_003498	chr16(.):11757288-11778015	1.7835
NM_001130007	chr16(.):11956984-12015519	0.1276
NM_001130006	chr16(.):11956984-12014825	0.1277
NM_001192	chr16(.):12053963-12066925	7.8021
NM_032167	chr16(.):12065601-12152141	0.2184
NR_024370	chr16(.):29870003-29884374	0.3325
NM_002383	chr16(.):29812854-29827504	1.2741
NR_015396	chr16(.):29870154-29884374	0.3353
NM_145239	chr16(.):29818408-29832202	1.1525
NM_007317	chr16(.):29797057-29821706	0.7123
NM_006319	chr16(.):29864677-29879578	0.3265
NM_024516	chr16(.):29822527-29838816	0.9989
NM_152338	chr16(.):29784560-29796840	0.082
NM_005115	chr16(.):29826714-29864360	0.3633
NM_003414	chr16(.):31880078-31933627	0.4203
NM_153337	chr16(.):50695210-50720264	0.9163
NM_182854	chr16(.):50701885-50720264	1.2113
NM_001042412	chr16(.):50771028-50840846	0.1413
NM_001042355	chr16(.):50770960-50840846	0.1414
NM_022162	chr16(.):50726049-50771987	0.2606
NM_001126108	chr16(.):56894118-56954762	1.2678
NM_001010989	chr16(.):56960747-56982793	1.9423
NM_032206	chr16(.):57018409-57122436	0.1802
NM_018110	chr16(.):57500869-57525385	0.0897
NM_153837	chr16(.):57571600-57616100	0.3515
NM_033212	chr16(.):57541089-57575477	0.3706
NM_001172643	chr16(.):66536905-66589194	1.9932
NM_001172644	chr16(.):66536905-66589315	1.9892
NM_052999	chr16(.):66595349-66618038	0.0841
NM_181641	chr16(.):66581471-66604971	0.8617
NM_181271	chr16(.):66595293-66618038	0.0839
NM_001040138	chr16(.):66581465-66605154	0.8563
NM_024939	chr16(.):68257449-68275136	0.3601
