REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X28_0F2E_0229Kronos_MM1S.KB.6hr.2_H3K27me3_hs.dm_i16.bam	X42_0EXU_0229Kronos_MM1S.KB.6hr.2_Input_hs_i86.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
5_MACS_peak_22685_lociStitched	chr21	45781046	45800845	5	18956	23632.0864	2314.5031	146	TRPM2	C21orf2	TRPM2	TRPM2	0.7134	146	1
12_MACS_peak_1830_lociStitched	chr1	10917910	10937931	12	18914	19078.0109	1801.89	147			CASZ1	CASZ1	0.9635999999999999	147	1
9_MACS_peak_32880_lociStitched	chr9	136297126	136317075	9	18864	20304.0922	1986.9204	148	ADAMTS13	C9orf7,REXO4,SLC2A6	C9orf7	C9orf7	0.3564	148	1
8_MACS_peak_31626_lociStitched	chr8	144950206	144970556	8	18802	22938.52	1680.91	149		PUF60,NRBP2,EPPK1,PLEC,MIR661	EPPK1	EPPK1	0.6782	149	1
3_MACS_peak_22812_lociStitched	chr21	46164273	46183611	3	18695	21950.5638	2250.9432	150		KRTAP10-12,C21orf29,UBE2G2	C21orf29	KRTAP10-12	1.0535	150	1
6_MACS_peak_72_lociStitched	chr1	1052509	1072339	6	18673	23397.417	1750.989	151		MIR200B,MIR200A,MIR429,TTLL10,C1orf159	C1orf159	MIR200B	1.3372	151	1
9_MACS_peak_17911_lociStitched	chr19	35985464	36006160	9	18582	21527.9792	1988.8856	152	DMKN	FFAR2,GAPDHS,TMEM147,KRTDAP,SBSN,ATP4A	DMKN	DMKN	0.8704000000000001	152	1
11_MACS_peak_1237_lociStitched	chr1	6181143	6200844	11	18560	19874.3688	1916.9073	153	CHD5		CHD5	CHD5	0.7607999999999999	153	1
11_MACS_peak_32999_lociStitched	chr9	136541802	136561829	11	18534	18647.1397	1494.0142	154	SARDH	DBH	DBH	DBH	0.8094	154	1
9_MACS_peak_17528_lociStitched	chr19	18319616	18339360	9	18465	20048.0576	1968.4768	155	PDE4C	IFI30,MPV17L2,RAB3A,LOC729966,KIAA1683	PDE4C	PDE4C	0.6771	155	1
14_MACS_peak_33671_lociStitched	chr9	138572592	138593122	14	18411	19495.288	1486.372	156	SOHLH1	LCN9,KCNT1,GLT6D1	SOHLH1	SOHLH1	0.8618	156	1
9_MACS_peak_14454_lociStitched	chr17	77408832	77428657	9	18376	20130.305	1504.7175	157	RBFOX3		RBFOX3	RBFOX3	0.8059000000000001	157	1
8_MACS_peak_32132_lociStitched	chr9	132500660	132520096	8	18310	19993.8132	1811.4352	158	PTGES	TOR1B	PTGES	PTGES	0.9344000000000001	158	1
10_MACS_peak_33093_lociStitched	chr9	137109163	137128119	10	18267	19691.4928	1402.744	159			RNU6ATAC	RNU6ATAC	NONE	159	1
14_MACS_peak_32893_lociStitched	chr9	136345984	136366275	14	18248	20453.328	1720.6768	160		C9orf7,ADAMTSL2,SLC2A6,TMEM8C	SLC2A6	TMEM8C	0.8939999999999999	160	1
12_MACS_peak_14818_lociStitched	chr17	78430202	78450247	12	18234	21804.951	1790.0185	161	NPTX1	FLJ35220,LOC100294362	NPTX1	NPTX1	1.0828	161	1
8_MACS_peak_21921_lociStitched	chr20	61651354	61670046	8	18187	18985.4644	1351.4316	162	LOC63930,LOC100144597,NCRNA00029	BHLHE23	NCRNA00029	BHLHE23	0.8542000000000001	162	1
7_MACS_peak_15326_lociStitched	chr19	822680	841891	7	18083	23299.1008	2232.3182	163	AZU1,PRTN3	PTBP1,MIR3187,ELANE,CFD,LPPR3	AZU1	AZU1	1.122	163	1
5_MACS_peak_25858_lociStitched	chr3	128169266	128188351	5	18080	20508.741	1648.944	164	DNAJB8	LOC90246,GATA2	DNAJB8	GATA2	1.2142	164	1
3_MACS_peak_29593_lociStitched	chr7	150886708	150905020	3	18041	23056.6392	2642.4216	165	ABCF2	CHPF2,MIR671,GBX1,ASB10,SMARCD3	ASB10	SMARCD3	0.9223999999999999	165	1
14_MACS_peak_33010_lociStitched	chr9	136564297	136584297	14	18029	19260	1336	166	SARDH		SARDH	SARDH	0.7885	166	1
7_MACS_peak_16360_lociStitched	chr19	7725099	7744281	7	17962	21205.701	2637.525	167	RETN,C19orf59	LOC100131801,STXBP2,TRAPPC5,XAB2,PCP2,FCER2	RETN	RETN	0.8937999999999999	167	1
5_MACS_peak_32374_lociStitched	chr9	133785223	133803560	5	17837	24199.3389	1542.1417	168	FIBCD1	QRFP	FIBCD1	FIBCD1	1.1402999999999999	168	1
14_MACS_peak_32547_lociStitched	chr9	135075558	135095743	14	17794	19159.602	1568.3745	169	NTNG2		NTNG2	NTNG2	0.8582	169	1
6_MACS_peak_6131_lociStitched	chr11	1212777	1231653	6	17725	21588.4812	1562.9328	170		MUC5B	MUC5B	MUC5B	0.6384	170	1
4_MACS_peak_10482_lociStitched	chr16	3034014	3051971	4	17682	22324.1424	1528.1407	171	LOC283875	KREMEN2,PAQR4,CLDN9,TNFRSF12A,THOC6,MMP25,PKMYT1,CLDN6,HCFC1R1,CCDC64B	LOC283875	LOC283875	1.1909999999999998	171	1
8_MACS_peak_6860_lociStitched	chr11	61445396	61463901	8	17642	20436.922	1902.314	172	DAGLA		DAGLA	DAGLA	0.8772000000000001	172	1
4_MACS_peak_13273_lociStitched	chr17	47996788	48014894	4	17637	19914.7894	1763.5244	173		DLX4	DLX4	DLX4	1.1022	173	1
11_MACS_peak_32121_lociStitched	chr9	132480290	132499858	11	17466	19472.1168	1720.0272	174	PRRX2	PTGES	PTGES	PTGES	0.9344000000000001	174	1
4_MACS_peak_14288_lociStitched	chr17	77015761	77033532	4	17454	21940.0766	1988.5749	175	C1QTNF1	ENGASE,LGALS3BP,CANT1	C1QTNF1	C1QTNF1	0.9526999999999999	175	1
6_MACS_peak_6261_lociStitched	chr11	1640614	1658753	6	17418	19020.5554	1946.3147	176	KRTAP5-5,MOB2,KRTAP5-4	LOC338651,FAM99A,DUSP8,KRTAP5-1,KRTAP5-2,KRTAP5-3,FAM99B	KRTAP5-5	FAM99A	1.097	176	1
14_MACS_peak_12349_lociStitched	chr17	18982239	19001349	14	17357	15681.666	1958.775	177		GRAPL,GRAP	GRAPL	GRAPL	0.22619999999999998	177	1
8_MACS_peak_22019_lociStitched	chr20	61938218	61956086	8	17311	18941.8668	1181.0748	178	COL20A1	ARFGAP1,MIR4326,CHRNA4	COL20A1	COL20A1	0.7469	178	1
8_MACS_peak_6359_lociStitched	chr11	1840581	1858975	8	17291	21075.8452	1488.0746	179	SYT8	TNNI2,LSP1,MIR4298	SYT8	SYT8	0.8837	179	1
5_MACS_peak_32425_lociStitched	chr9	133898119	133916491	5	17273	21125.9628	1330.1328	180	LAMC3		LAMC3	LAMC3	0.8268	180	1
9_MACS_peak_794_lociStitched	chr1	3297992	3315980	9	17201	17432.1708	1122.4512	181	PRDM16		ARHGEF16	ARHGEF16	0.7863	181	1
7_MACS_peak_23804_lociStitched	chr22	37469470	37487685	7	17164	18112.996	1868.859	182	TMPRSS6	KCTD17	TMPRSS6	TMPRSS6	0.8989999999999999	182	1
10_MACS_peak_17470_lociStitched	chr19	18070748	18089390	10	17063	17993.2584	1743.027	183	KCNN1	CCDC124,ARRDC2	KCNN1	KCNN1	0.9053	183	1
5_MACS_peak_22084_lociStitched	chr20	62104494	62122114	5	17021	19122.986	1388.456	184	EEF1A2	PPDPF,KCNQ2,PTK6	KCNQ2	KCNQ2	0.9074	184	1
13_MACS_peak_24141_lociStitched	chr22	42720921	42739253	13	16994	16991.9308	1655.3796	185			LOC388906	NONE	NONE	185	1
7_MACS_peak_33927_lociStitched	chr9	139628003	139645975	7	16947	22003.1196	1347.9	186	LOC100128593,LCN10,LCN6	FAM69B,TMEM141,KIAA1984,AGPAT2,SNORA43,SNORA17,SNHG7,LCN8,LCN15	LCN10	AGPAT2	1.2329	186	1
9_MACS_peak_32513_lociStitched	chr9	134999759	135017891	9	16938	18006.8892	1796.8812	187		NTNG2,MED27	NTNG2	NTNG2	0.8582	187	1
11_MACS_peak_3308_lociStitched	chr1	22580842	22599297	11	16842	17249.8885	1592.6665	188			WNT4	WNT4	NONE	188	1
14_MACS_peak_24867_lociStitched	chr22	45908265	45927117	14	16820	17726.5356	1474.2264	189	FBLN1		FBLN1	FBLN1	0.6719	189	1
10_MACS_peak_6891_lociStitched	chr11	61515365	61533751	10	16779	19086.5066	1603.2592	190	C11orf9,DKFZP434K028	FEN1,MIR611,C11orf10,MIR1908	DKFZP434K028	DKFZP434K028	0.923	190	1
10_MACS_peak_23677_lociStitched	chr22	36972822	36991402	10	16686	17428.04	1995.492	191	CACNG2	EIF3D	EIF3D	NONE	NONE	191	1
5_MACS_peak_26113_lociStitched	chr4	1751682	1768908	5	16682	22261.1598	1269.5562	192		TACC3,FGFR3,SLBP,TMEM129	FGFR3	FGFR3	0.7218	192	1
8_MACS_peak_11706_lociStitched	chr17	1110514	1128100	8	16570	17248.3488	2076.9066	193		BHLHA9,ABR	ABR	BHLHA9	0.553	193	1
10_MACS_peak_740_lociStitched	chr1	3197113	3215192	10	16543	17366.6874	1249.2589	194	PRDM16		MIR4251	MIR4251	0.7672	194	1
3_MACS_peak_27956_lociStitched	chr6	30419026	30435870	3	16531	25111.0352	2250.3584	195		HLA-E	HLA-E	HLA-E	0.02489999999999999	195	1
4_MACS_peak_6085_lociStitched	chr11	1044787	1061694	4	16521	22190.4375	1670.4116	196		MUC2,MUC6	MUC6	MUC2	0.7129000000000001	196	1
12_MACS_peak_8429_lociStitched	chr12	3378589	3396557	12	16489	17184.5952	1417.6752	197	TSPAN9		TSPAN9	TSPAN9	0.5443	197	1
4_MACS_peak_22536_lociStitched	chr21	44056481	44073602	4	16463	21599.8536	1867.9011	198		PDE9A	PDE9A	PDE9A	1.1322999999999999	198	1
5_MACS_peak_32095_lociStitched	chr9	132429435	132446559	5	16443	18038.4216	1321.9728	199	PRRX2	METTL11A,C9orf50,ASB6	PRRX2	PRRX2	0.8391000000000001	199	1
8_MACS_peak_33984_lociStitched	chr9	139930559	139948216	8	16397	23109.4816	1695.072	200	C9orf139,NPDC1,ENTPD2	C9orf142,UAP1L1,MAN1B1,CLIC3,ABCA2,FUT7,C9orf140,LOC100289341	NPDC1	NPDC1	1.1437	200	1
5_MACS_peak_23214_lociStitched	chr22	20213009	20229817	5	16364	20551.1416	1341.2784	201	RTN4R	LOC150197,MIR1286	MIR1286	LOC150197	0.6628	201	1
3_MACS_peak_29610_lociStitched	chr7	151077854	151094350	3	16331	20535.8704	2020.76	202	WDR86	NUB1,LOC100131176,MIR3907,CRYGN	LOC100131176	LOC100131176	0.48390000000000005	202	1
4_MACS_peak_15671_lociStitched	chr19	3399141	3415880	4	16325	19087.4817	2065.5926	203	NFIC		NFIC	NFIC	0.9149	203	1
15_MACS_peak_23830_lociStitched	chr22	37528033	37546490	15	16238	16214.4745	1614.9875	204	IL2RB	TMPRSS6,C1QTNF6	IL2RB	TMPRSS6	0.8989999999999999	204	1
9_MACS_peak_5518_lociStitched	chr10	102974649	102992607	9	16219	17720.9544	1521.0426	205	FLJ41350,LBX1		LBX1	LBX1	0.8054	205	1
6_MACS_peak_28696_lociStitched	chr7	2532608	2549621	6	16177	18707.4948	1347.4296	206		LFNG,IQCE,C7orf27	LFNG	LFNG	0.8281	206	1
9_MACS_peak_30685_lociStitched	chr8	22004388	22022146	9	16166	18375.9784	1846.832	207	SFTPC,LGI3	BMP1,NUDT18,HR,REEP4	LGI3	LGI3	0.7485999999999999	207	1
11_MACS_peak_18789_lociStitched	chr19	46981528	46999886	11	16165	19782.5808	1650.3842	208	PNMAL2	PNMAL1	PNMAL2	PNMAL2	0.9810000000000001	208	1
7_MACS_peak_6473_lociStitched	chr11	2190357	2207689	7	16150	18878.0144	1292.9672	209	TH	IGF2AS,MIR483,IGF2,INS	TH	MIR483	0.9089999999999999	209	1
4_MACS_peak_15846_lociStitched	chr19	4525216	4541824	4	16131	23068.512	2384.9088	210	PLIN5,LRG1	PLIN4,SEMA6B	PLIN5	PLIN5	1.2994999999999999	210	1
11_MACS_peak_10320_lociStitched	chr16	1287330	1304735	11	16114	17147.406	1606.4815	211	TPSAB1	TPSD1,TPSG1,TPSB2	TPSAB1	TPSG1	1.1955	211	1
4_MACS_peak_16286_lociStitched	chr19	7036689	7053135	4	16054	18103.7568	3248.085	212	MBD3L2,MBD3L4	MBD3L5,ZNF557,EMR4P,FLJ25758,MBD3L3	MBD3L2	MBD3L2	0.8518	212	1
2_MACS_peak_15726_lociStitched	chr19	3729951	3746199	2	16036	20608.9632	2446.9488	213	TJP3	MRPL54,PIP5K1C,APBA3,RAX2,MATK	TJP3	MATK	0.8067	213	1
3_MACS_peak_14913_lociStitched	chr17	79130385	79146964	3	16021	21050.3563	1155.5563	214	LOC388428,AATK	MIR3065,MIR657,MIR338,MIR1250,AZI1	LOC388428	MIR1250	1.0299999999999998	214	1
8_MACS_peak_10113_lociStitched	chr16	796604	813441	8	16011	17212.4651	1412.6243	215	MSLN	METRN,FAM173A,HAGHL,MIR662,CHTF18,PRR25,FBXL16,CCDC78,NARFL,MSLNL,RPUSD1,GNG13	MSLN	FBXL16	0.8563	215	1
12_MACS_peak_11639_lociStitched	chr17	827494	845163	12	16004	15774.8832	1689.1564	216	NXN		NXN	NXN	0.7298	216	1
5_MACS_peak_22431_lociStitched	chr21	43159182	43175409	5	15880	18844.4151	1947.24	217	RIPK4	NCRNA00112,C21orf129	RIPK4	NCRNA00112	0.8927999999999999	217	1
8_MACS_peak_19743_lociStitched	chr19	55996118	56012793	8	15807	16993.4925	1334	218	NAT14,SSC5D	ZNF628,SHISA7,ISOC2,SBK2	SSC5D	SSC5D	0.7924	218	1
7_MACS_peak_10412_lociStitched	chr16	2325070	2342092	7	15798	19042.5114	1768.5858	219	ABCA3	DNASE1L2,MIR3677,MIR940,ABCA17P,DCI,RNPS1	MIR940	MIR940	0.13520000000000001	219	1
5_MACS_peak_15369_lociStitched	chr19	1491157	1507468	5	15776	22453.7226	1949.1645	220	REEP6,ADAMTSL5	APC2,PLK5P,C19orf25,PCSK4	REEP6	PLK5P	1.3167	220	1
9_MACS_peak_15641_lociStitched	chr19	3338669	3355470	9	15771	17457.9191	1975.7976	221		NFIC	NFIC	NFIC	0.9149	221	1
16_MACS_peak_7027_lociStitched	chr11	64288666	64306450	16	15641	16106.9688	1922.4504	222		SLC22A11	SLC22A11	SLC22A11	0.6706	222	1
7_MACS_peak_16415_lociStitched	chr19	7850956	7867383	7	15631	18670.9282	2092.7998	223	CLEC4GP1	CLEC4M,EVI5L,CD209	CLEC4GP1	CLEC4GP1	0.8004	223	1
4_MACS_peak_22676_lociStitched	chr21	45701112	45717185	4	15606	22343.0773	1695.7015	224	AIRE	PFKL,ICOSLG,DNMT3L,C21orf2	AIRE	AIRE	0.9315	224	1
12_MACS_peak_11588_lociStitched	chr17	744854	762007	12	15575	16729.3209	1382.5318	225	NXN		GLOD4	NONE	NONE	225	1
7_MACS_peak_17480_lociStitched	chr19	18090538	18106827	7	15560	15674.9047	1425.2875	226	KCNN1	CCDC124,ARRDC2	ARRDC2	ARRDC2	0.8244	226	1
3_MACS_peak_15143_lociStitched	chr18	44542032	44557676	3	15544	18832.2472	6930.292	227	KATNAL2,TCEB3CL,TCEB3C	PIAS2,TCEB3B	TCEB3CL	TCEB3CL	0.6589999999999998	227	1
4_MACS_peak_13277_lociStitched	chr17	48015612	48031562	4	15530	18813.025	1773.64	228		DLX4,DLX3	DLX4	DLX4	1.1022	228	1
7_MACS_peak_10279_lociStitched	chr16	1181220	1197192	7	15502	17954.1252	1095.6792	229		CACNA1H,C1QTNF8	CACNA1H	CACNA1H	0.9646	229	1
6_MACS_peak_15413_lociStitched	chr19	2300367	2316393	6	15494	18497.2092	2096.2008	230	LINGO3	MIR4321,OAZ1,SPPL2B,JSRP1,C19orf35,LSM7	LINGO3	LINGO3	0.6155	230	1
5_MACS_peak_22058_lociStitched	chr20	62022738	62038639	5	15481	16010.7169	1093.9888	231	KCNQ2	CHRNA4	CHRNA4	CHRNA4	0.7453	231	1
5_MACS_peak_2059_lociStitched	chr1	11933931	11949726	5	15480	17274.9915	1732.7115	232		PLOD1,NPPA,NPPB,KIAA2013	NPPB	NPPB	0.5176000000000001	232	1
11_MACS_peak_683_lociStitched	chr1	3108624	3125079	11	15456	15359.097	992.2365	233	PRDM16		MIR4251	MIR4251	0.7672	233	1
15_MACS_peak_17884_lociStitched	chr19	35826321	35843908	15	15453	15617.256	1401.6839	234	CD22,FFAR1	MAG,FFAR3	FFAR1	FFAR1	0.5835	234	1
8_MACS_peak_10358_lociStitched	chr16	1572235	1588471	8	15394	19319.2164	1123.5312	235	TMEM204,IFT140	TELO2,CLCN7,PTX4	TMEM204	PTX4	0.7653	235	1
2_MACS_peak_29503_lociStitched	chr7	128482820	128498245	2	15387	18708.9825	2034.5575	236	FLNC	ATP6V1F,LOC100130705	ATP6V1F	LOC100130705	0.024300000000000016	236	1
14_MACS_peak_14899_lociStitched	chr17	79113192	79129725	14	15367	17088.5088	1491.2766	237	AATK	MIR3065,LOC388428,MIR657,MIR338,MIR1250	MIR1250	MIR1250	1.0299999999999998	237	1
4_MACS_peak_34064_lociStitched	chr9	140317977	140333805	4	15336	20180.7	1377.036	238	NOXA1,ENTPD8	EXD3,NELF	NOXA1	NOXA1	0.898	238	1
8_MACS_peak_5150_lociStitched	chr10	71488405	71504359	8	15312	15821.5818	1592.2092	239			COL13A1	COL13A1	NONE	239	1
11_MACS_peak_25435_lociStitched	chr3	13668588	13685531	11	15309	15870.5081	1446.9322	240	FBLN2	LOC285375	LOC285375	LOC285375	0.2646	240	1
12_MACS_peak_777_lociStitched	chr1	3268462	3285317	12	15200	15580.762	1215.2455	241	PRDM16		ARHGEF16	ARHGEF16	0.7863	241	1
4_MACS_peak_22802_lociStitched	chr21	46141160	46156520	4	15188	19732.992	2136.576	242		KRTAP10-12,KRTAP12-1,C21orf29	C21orf29	KRTAP10-12	1.0535	242	1
14_MACS_peak_24448_lociStitched	chr22	44670137	44687409	14	15179	16859.1992	1350.6704	243	KIAA1644		KIAA1644	KIAA1644	0.6299	243	1
5_MACS_peak_32379_lociStitched	chr9	133804112	133820594	5	15088	19094.397	1387.7844	244	FIBCD1	QRFP	FIBCD1	FIBCD1	1.1402999999999999	244	1
9_MACS_peak_5621_lociStitched	chr10	126736732	126752621	9	15037	14800.6035	1668.345	245	CTBP2	CTBP2,MIR4296	MIR4296	CTBP2	0.44510000000000005	245	1
10_MACS_peak_10156_lociStitched	chr16	916963	933239	10	15027	15670.5328	1238.6036	246	LMF1		PRR25	PRR25	0.5843	246	1
4_MACS_peak_16282_lociStitched	chr19	7018567	7033789	4	14973	16365.1722	2802.3702	247	MBD3L5	MBD3L2,ZNF557,EMR4P,FLJ25758,MBD3L4,MBD3L3	MBD3L5	MBD3L2	0.8518	247	1
12_MACS_peak_17514_lociStitched	chr19	18150879	18167773	12	14968	15723.2458	2017.1436	248		ARRDC2,MAST3,IL12RB1	IL12RB1	ARRDC2	0.8244	248	1
4_MACS_peak_12591_lociStitched	chr17	34577370	34592410	4	14908	20206.24	3803.616	249	TBC1D3C	CCL4L1	TBC1D3C	TBC1D3C	0.5211	249	1
8_MACS_peak_19286_lociStitched	chr19	49918383	49933864	8	14811	16626.594	1419.6077	250	CCDC155,LOC645971,PTH2,SLC17A7	ALDH16A1,FLT3LG,PIH1D1	PTH2	PTH2	1.0539	250	1
13_MACS_peak_10245_lociStitched	chr16	1108941	1125757	13	14798	15188.2112	1178.8016	251	SSTR5,LOC146336	SSTR5,C1QTNF8	SSTR5	SSTR5	0.7917000000000001	251	1
4_MACS_peak_2118_lociStitched	chr1	16365168	16380304	4	14766	18824.6432	1277.4784	252	CLCNKB	C1orf64,CLCNKA,HSPB7,FAM131C	CLCNKB	CLCNKB	1.0159	252	1
5_MACS_peak_4536_lociStitched	chr1	155089023	155104271	5	14749	21873.256	2735.4912	253	EFNA1	EFNA3,SLC50A1,TRIM46,DPM3,KRTCAP2	EFNA1	EFNA3	0.9757999999999999	253	1
2_MACS_peak_10348_lociStitched	chr16	1477747	1492426	2	14614	18030.2157	989.3646	254	C16orf91,CCDC154	UNKL,CLCN7,PTX4	C16orf91	PTX4	0.7653	254	1
2_MACS_peak_1302_lociStitched	chr1	6555915	6570696	2	14610	19255.2087	1251.9507	255	PLEKHG5	TAS1R1,TNFRSF25,PLEKHG5,NOL9	PLEKHG5	TNFRSF25	0.9864999999999999	255	1
4_MACS_peak_22275_lociStitched	chr20	62849668	62864324	4	14608	16389.8048	1477.3248	256	MYT1	PCMTD2	PCMTD2	NONE	NONE	256	1
7_MACS_peak_11922_lociStitched	chr17	4481585	4497328	7	14597	16390.0373	1176.0021	257	SMTNL2	MYBBP1A,GGT6,ALOX15	SMTNL2	SMTNL2	0.8282	257	1
4_MACS_peak_15817_lociStitched	chr19	4222545	4237497	4	14564	18021.6456	2114.2128	258	ANKRD24,EBI3	CCDC94,SHD,SIRT6	EBI3	SHD	1.0653000000000001	258	1
6_MACS_peak_30887_lociStitched	chr8	142064408	142079968	6	14548	16650.756	1671.144	259			PTK2	PTK2	0.0646	259	1
2_MACS_peak_3185_lociStitched	chr1	21044453	21058993	2	14533	18608.292	1432.19	260	SH2D5	KIF17	KIF17	KIF17	0.6224000000000001	260	1
10_MACS_peak_32983_lociStitched	chr9	136514722	136531184	10	14525	15368.9232	1112.8312	261	DBH,SARDH		DBH	DBH	0.8094	261	1
4_MACS_peak_235_lociStitched	chr1	1960204	1975306	4	14513	16462.6902	1173.4254	262	GABRD	PRKCZ,KIAA1751	PRKCZ	KIAA1751	0.6865	262	1
4_MACS_peak_14696_lociStitched	chr17	77942636	77957571	4	14492	15182.921	1259.0205	263	TBC1D16		TBC1D16	TBC1D16	0.7856000000000001	263	1
9_MACS_peak_13453_lociStitched	chr17	61557144	61573022	9	14466	16179.682	1386.1494	264	ACE	KCNH6,CYB561	ACE	ACE	0.7374	264	1
6_MACS_peak_24017_lociStitched	chr22	39224050	39239129	6	14445	15027.7314	1458.1393	265	NPTXR	DNAL4,CBX6	NPTXR	NPTXR	0.7313	265	1
7_MACS_peak_24903_lociStitched	chr22	45969566	45984504	7	14421	15964.2406	1215.9532	266	FBLN1		FBLN1	FBLN1	0.6719	266	1
3_MACS_peak_23202_lociStitched	chr22	20177017	20191992	3	14312	17114.9275	1120.13	267		LOC150197,MIR1286	LOC150197	LOC150197	0.6628	267	1
2_MACS_peak_22113_lociStitched	chr20	62170254	62184900	2	14296	17307.1782	1328.3922	268	C20orf195,SRMS	PPDPF,EEF1A2,PTK6,PRIC285	SRMS	SRMS	0.9233	268	1
2_MACS_peak_29252_lociStitched	chr7	100634054	100648266	2	14169	32642.1216	2825.3456	269	MUC12	MUC17	MUC17	MUC17	0.371	269	1
6_MACS_peak_18823_lociStitched	chr19	47128466	47143749	6	14145	15900.4332	1898.1486	270	GNG8	CALM3,PTGIR,DACT3	GNG8	GNG8	0.9604999999999999	270	1
6_MACS_peak_24956_lociStitched	chr22	46296074	46311269	6	14107	16905.957	1163.937	271			WNT7B	WNT7B	0.9547000000000001	271	1
7_MACS_peak_5923_lociStitched	chr10	135054057	135069557	7	14100	15687.55	1331.45	272	VENTX,MIR202	UTF1,ADAM8	MIR202	MIR202	0.9775999999999999	272	1
5_MACS_peak_6068_lociStitched	chr11	843397	858534	5	14093	16502.3574	1356.2752	273	TSPAN4	RPLP2,SNORA52,PNPLA2,EFCAB4A,CD151,SLC25A22,LRDD,POLR2L	TSPAN4	TSPAN4	0.5817	273	1
5_MACS_peak_29314_lociStitched	chr7	100810144	100824776	5	14034	16289.8056	1233.4776	274	C7orf52	SERPINE1,AP1S1,ZNHIT1,VGF,MOGAT3,PLOD3	C7orf52	C7orf52	0.8472999999999999	274	1
6_MACS_peak_36_lociStitched	chr1	928233	942967	6	14032	17499.5718	1172.8264	275	HES4	KLHL17,PLEKHN1,ISG15,AGRN,NOC2L,C1orf170	HES4	HES4	1.1088	275	1
12_MACS_peak_2526_lociStitched	chr1	17938557	17954088	12	13999	13763.5722	1323.2412	276	ARHGEF10L		ARHGEF10L	ARHGEF10L	0.6468	276	1
4_MACS_peak_10122_lociStitched	chr16	819248	833951	4	13967	16352.6766	1251.2253	277	MIR662,MSLNL	FAM173A,HAGHL,MSLN,CHTF18,PRR25,CCDC78,NARFL,RPUSD1,GNG13	MSLNL	MSLNL	0.7615999999999999	277	1
4_MACS_peak_14895_lociStitched	chr17	79096495	79110953	4	13957	15929.8244	942.6616	278	MIR3065,AATK,MIR657,MIR338,MIR1250	LOC388428	MIR1250	MIR1250	1.0299999999999998	278	1
4_MACS_peak_11697_lociStitched	chr17	1083652	1097842	4	13916	16873.329	1766.655	279	ABR	ABR	ABR	ABR	0.32030000000000003	279	1
5_MACS_peak_15394_lociStitched	chr19	1703725	1718021	5	13897	16584.7896	2051.476	280		ONECUT3	ONECUT3	ONECUT3	1.3363	280	1
11_MACS_peak_25582_lociStitched	chr3	48616786	48632261	11	13877	15191.8075	1394.2975	281	COL7A1	PFKFB4,UCN2,MIR711,UQCRC1,TMEM89,SLC26A6	COL7A1	MIR711	0.5710000000000001	281	1
4_MACS_peak_6572_lociStitched	chr11	2426631	2440620	4	13849	20425.3389	1026.7926	282	TRPM5	CD81,TSSC4,KCNQ1	TSSC4	CD81	0.5781	282	1
4_MACS_peak_19217_lociStitched	chr19	49540412	49554573	4	13807	14456.9649	1182.4435	283	CGB5,CGB8	RUVBL2,CGB2,SNAR-G1,SNRNP70,GYS1,LHB,CGB,SNAR-G2,CGB1,CGB7,NTF4,KCNA7	CGB5	NTF4	0.9585000000000001	283	1
7_MACS_peak_23234_lociStitched	chr22	20256330	20270574	7	13770	14746.8132	1227.8328	284		MIR1286,RTN4R,DGCR6L	RTN4R	RTN4R	0.6866	284	1
4_MACS_peak_22989_lociStitched	chr21	47405233	47419733	4	13759	21329.5	1160	285	COL6A1		COL6A1	COL6A1	0.9532999999999999	285	1
13_MACS_peak_6186_lociStitched	chr11	1389306	1405176	13	13756	14333.784	1236.273	286		BRSK2	BRSK2	BRSK2	0.5469999999999999	286	1
8_MACS_peak_30904_lociStitched	chr8	142334040	142348810	8	13754	13846.875	1203.755	287		LOC731779,GPR20	LOC731779	GPR20	0.9564	287	1
9_MACS_peak_12407_lociStitched	chr17	19111726	19126274	9	13728	11743.1456	1590.0964	288		EPN2	EPN2	NONE	NONE	288	1
7_MACS_peak_15876_lociStitched	chr19	4751362	4766720	7	13708	14895.7242	2177.7644	289		C19orf30,MIR7-3,FEM1A,DPP9	C19orf30	C19orf30	0.5681	289	1
7_MACS_peak_30111_lociStitched	chr7	157634618	157649027	7	13680	15508.4067	1703.1438	290	PTPRN2		MIR153-2	MIR153-2	NONE	290	1
4_MACS_peak_32370_lociStitched	chr9	133770452	133784629	4	13669	16275.196	1307.1194	291	FIBCD1	QRFP	QRFP	QRFP	0.3956	291	1
6_MACS_peak_16558_lociStitched	chr19	8394998	8410287	6	13668	15675.8117	1825.5066	292	KANK3	RPS28,ANGPTL4,RAB11B,CD320,NDUFA7	KANK3	KANK3	0.5658000000000001	292	1
10_MACS_peak_23889_lociStitched	chr22	37780998	37795872	10	13570	14653.8648	1276.1892	293	ELFN2		ELFN2	ELFN2	0.8722	293	1
15_MACS_peak_9661_lociStitched	chr15	74471702	74487290	15	13507	13231.0944	1427.8608	294	STRA6	ISLR2,ISLR,CCDC33	ISLR	ISLR2	0.6407	294	1
