REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X24_0F2A_0229Kronos_MM1S.KB.1hr.2_H3K27me3_hs.dm_i06.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
4_MACS_peak_558_lociStitched	chr1	3190732	3217374	4	26283	44966.3676	2349.8244	145	PRDM16		MIR4251	MIR4251	1.4012	145	1
8_MACS_peak_37211_lociStitched	chr9	139629378	139656440	8	26154	61189.8882	2868.572	146	LOC100128593,LCN10,LCN6,LCN8,LCN15	FAM69B,TMEM141,KIAA1984,C9orf86,AGPAT2,SNORA43,SNORA17,SNHG7,LOC100131193	LCN6	AGPAT2	2.5227999999999997	146	1
3_MACS_peak_32814_lociStitched	chr7	149470060	149496097	3	26002	73364.4549	4387.2345	147	SSPO,ZNF467	ZNF862	SSPO	SSPO	2.3247	147	1
13_MACS_peak_432_lociStitched	chr1	2826666	2853755	13	25752	37168.8169	2175.2467	148			ACTRT2	ACTRT2	1.1617	148	1
4_MACS_peak_37102_lociStitched	chr9	138661224	138687009	4	25720	52660.7055	2140.155	149	KCNT1		KCNT1	KCNT1	1.4714	149	1
8_MACS_peak_16774_lociStitched	chr17	77739924	77766040	8	25585	46596.1672	2770.9076	150	CBX2	ENPP7,CBX8,CBX4	CBX2	CBX2	1.7261	150	1
4_MACS_peak_22835_lociStitched	chr2	219845461	219871425	4	25449	50801.1624	3100.1016	151	FEV,CRYBA2,MIR375,CCDC108	CDK5R2,LOC151300,CCDC108	CRYBA2	CRYBA2	1.6603	151	1
10_MACS_peak_17698_lociStitched	chr19	3333069	3359440	10	25293	39313.8868	3454.601	152		NFIC	NFIC	NFIC	1.5298	152	1
3_MACS_peak_28900_lociStitched	chr4	1769674	1794909	3	25133	63332.2795	2546.2115	153		TACC3,FGFR3,TMEM129	FGFR3	FGFR3	1.4047999999999998	153	1
2_MACS_peak_1152_lociStitched	chr1	6475334	6500586	2	25115	56114.9944	2838.3248	154	ESPN,HES2,MIR4252	ACOT7,TNFRSF25,PLEKHG5	MIR4252	MIR4252	2.2328	154	1
6_MACS_peak_13978_lociStitched	chr17	4478953	4504793	6	25081	47548.184	2764.88	155	SMTNL2	MYBBP1A,GGT6,ALOX15	SMTNL2	SMTNL2	1.4336	155	1
6_MACS_peak_22886_lociStitched	chr2	220374344	220400010	6	24984	49224.8214	3372.5124	156	ACCN4	SPEG,GMPPA,TMEM198,INHA,CHPF,MIR3132,OBSL1	ACCN4	ACCN4	1.3591000000000002	156	1
5_MACS_peak_25841_lociStitched	chr22	20256018	20281597	5	24945	48797.0583	2767.6478	157		MIR1286,RTN4R,DGCR6L	RTN4R	RTN4R	1.315	157	1
7_MACS_peak_58_lociStitched	chr1	977598	1004085	7	24917	47189.2392	2500.3728	158	AGRN	ISG15,HES4,C1orf159	AGRN	HES4	1.9835000000000003	158	1
9_MACS_peak_24775_lociStitched	chr20	61789872	61816008	9	24777	39860.0136	2232.0144	159	MIR124-3	YTHDF1	MIR124-3	MIR124-3	1.5947	159	1
7_MACS_peak_16139_lociStitched	chr17	72909616	72934978	7	24694	42506.712	2683.2996	160	OTOP2,OTOP3,USH1G	CDR2L,FDXR,FADS6,C17orf28	OTOP2	OTOP2	1.6347	160	1
4_MACS_peak_16934_lociStitched	chr17	78437339	78462481	4	24662	49884.2422	2647.4526	161	NPTX1	FLJ35220,LOC100294362	NPTX1	NPTX1	1.9324000000000001	161	1
4_MACS_peak_3264_lociStitched	chr1	21909148	21933864	4	24446	50561.5212	2780.55	162	RAP1GAP		RAP1GAP	RAP1GAP	1.091	162	1
9_MACS_peak_35755_lociStitched	chr9	132493594	132519637	9	24416	43684.5282	2906.3988	163	PTGES	TOR1B	PTGES	PTGES	1.5584	163	1
6_MACS_peak_611_lociStitched	chr1	3366164	3391215	6	24373	44508.1117	2096.7687	164	ARHGEF16		ARHGEF16	ARHGEF16	1.5086	164	1
7_MACS_peak_11614_lociStitched	chr16	859639	884469	7	24183	43288.622	2232.217	165	PRR25	MSLN,MIR662,CHTF18,MSLNL,RPUSD1,GNG13	PRR25	MIR662	1.6204999999999998	165	1
6_MACS_peak_31366_lociStitched	chr6	41603390	41628239	6	24058	44216.3106	2686.1769	166	MDFI		MDFI	MDFI	1.5888	166	1
10_MACS_peak_11138_lociStitched	chr15	74588757	74613418	10	24055	35063.0098	2875.4726	167	CCDC33	CYP11A1	CCDC33	CCDC33	1.0041	167	1
1_MACS_peak_31_lociStitched	chr1	845458	869473	1	24016	78312.915	3047.5035	168	SAMD11,FLJ39609	KLHL17,PLEKHN1,FAM41C,NOC2L,C1orf170	FLJ39609	FLJ39609	3.0317000000000003	168	1
19_MACS_peak_14513_lociStitched	chr17	19100060	19127298	19	23998	27978.8736	3088.7892	169		EPN2	EPN2	NONE	NONE	169	1
15_MACS_peak_27392_lociStitched	chr22	45321405	45347494	15	23962	33099.1143	1941.0216	170	PHF21B		PHF21B	PHF21B	0.8765999999999999	170	1
2_MACS_peak_15553_lociStitched	chr17	48676257	48700347	2	23836	46397.34	2987.16	171	CACNA1G	ABCC3	ABCC3	ABCC3	0.23820000000000002	171	1
5_MACS_peak_2182_lociStitched	chr1	17083243	17107202	5	23794	41410.7356	5956.2074	172	MST1P9	ESPNP	MST1P9	ESPNP	3.4502	172	1
8_MACS_peak_7826_lociStitched	chr11	68758735	68783899	8	23737	46822.6548	2521.4328	173	MRGPRF	TPCN2,MRGPRD	MRGPRF	MRGPRF	1.8214000000000001	173	1
16_MACS_peak_2291_lociStitched	chr1	17558497	17583821	16	23672	34587.5192	2752.7188	174	PADI1,PADI3		PADI3	PADI3	0.9759000000000001	174	1
4_MACS_peak_35556_lociStitched	chr9	129443186	129467338	4	23657	44514.5512	3074.5496	175	LMX1B		LMX1B	LMX1B	1.6001999999999998	175	1
7_MACS_peak_26769_lociStitched	chr22	40067990	40091965	7	23645	39633.0725	2618.07	176	CACNA1I		CACNA1I	CACNA1I	1.0978999999999999	176	1
8_MACS_peak_165_lociStitched	chr1	1884509	1909975	8	23585	39691.3076	2470.202	177	KIAA1751	CALML6,GABRD,TMEM52	KIAA1751	GABRD	1.7906	177	1
5_MACS_peak_1124_lociStitched	chr1	6210546	6234439	5	23514	44940.3437	2193.3774	178	CHD5	RNF207,RPL22	CHD5	CHD5	1.399	178	1
4_MACS_peak_34420_lociStitched	chr8	142332585	142356601	4	23509	39717.6608	2658.5712	179	LOC731779	GPR20	LOC731779	GPR20	1.8699	179	1
3_MACS_peak_25189_lociStitched	chr21	43778198	43801726	3	23500	49204.1064	3875.0616	180	TFF1,TMPRSS3	UBASH3A,TFF3,TFF2	TFF1	TFF3	2.0431	180	1
6_MACS_peak_6527_lociStitched	chr10	135045357	135069719	6	23407	40423.8666	2402.0932	181	VENTX,MIR202	UTF1,ADAM8	MIR202	MIR202	1.704	181	1
2_MACS_peak_5028_lociStitched	chr1	201322765	201346294	2	23293	40935.7542	4042.2822	182	TNNT2	LAD1,TNNI1	TNNT2	TNNT2	1.4117	182	1
3_MACS_peak_15651_lociStitched	chr17	61552190	61575606	3	23282	39247.5576	2320.5256	183	ACE	KCNH6,CYB561	ACE	ACE	1.3059	183	1
4_MACS_peak_15549_lociStitched	chr17	48651198	48674747	4	23234	43000.474	2698.7154	184	CACNA1G	EPN3,SPATA20,ABCC3	CACNA1G	CACNA1G	1.5920999999999998	184	1
10_MACS_peak_30645_lociStitched	chr5	176151964	176176543	10	23181	36126.2142	2307.9681	185			UNC5A	UNC5A	1.3902999999999999	185	1
9_MACS_peak_26562_lociStitched	chr22	37522195	37546455	9	23129	38032.402	2603.098	186	IL2RB	TMPRSS6,C1QTNF6	IL2RB	TMPRSS6	1.6073	186	1
5_MACS_peak_29068_lociStitched	chr4	3854632	3878533	5	23117	35765.4564	2433.1218	187			LOC348926	LOC348926	NONE	187	1
5_MACS_peak_1139_lociStitched	chr1	6298775	6322514	5	22981	42946.2249	2423.7519	188	HES3,GPR153	RNF207,RPL22,ICMT	HES3	HES3	1.8004	188	1
9_MACS_peak_11598_lociStitched	chr16	792889	817500	9	22978	38941.9853	2406.9558	189	MSLN	METRN,FAM173A,HAGHL,MIR662,CHTF18,PRR25,FBXL16,CCDC78,NARFL,MSLNL,RPUSD1,GNG13	MSLN	FBXL16	1.6588	189	1
3_MACS_peak_7053_lociStitched	chr11	2426278	2449488	3	22970	63059.249	2404.556	190	TRPM5	CD81,TSSC4,KCNQ1	TRPM5	TRPM5	2.1337	190	1
5_MACS_peak_36003_lociStitched	chr9	133935659	133958865	5	22889	38498.754	2592.1102	191	LAMC3	AIF1L,NUP214	AIF1L	AIF1L	0.9634999999999999	191	1
12_MACS_peak_19028_lociStitched	chr19	14286642	14311213	12	22862	33188.0497	2754.4091	192	LPHN1	ASF1B	LPHN1	LPHN1	0.9386	192	1
5_MACS_peak_36698_lociStitched	chr9	137656488	137679946	5	22749	37591.445	1951.7056	193	COL5A1		MIR3689B	MIR3689B	0.1056	193	1
10_MACS_peak_17977_lociStitched	chr19	5316425	5340112	10	22746	36428.2373	2882.7079	194	PTPRS		PTPRS	PTPRS	1.023	194	1
9_MACS_peak_2445_lociStitched	chr1	17938973	17962299	9	22681	31975.2808	2204.307	195	ARHGEF10L		ARHGEF10L	ARHGEF10L	1.1075	195	1
3_MACS_peak_18866_lociStitched	chr19	13104223	13127362	3	22662	49225.9086	2455.0479	196	NFIX	RAD23A,DAND5,GADD45GIP1	NFIX	NFIX	0.8748	196	1
3_MACS_peak_11762_lociStitched	chr16	1567356	1590577	3	22604	45847.5424	2391.763	197	TMEM204,IFT140	TELO2,CLCN7,PTX4	TMEM204	PTX4	1.3293	197	1
16_MACS_peak_33835_lociStitched	chr8	1891334	1916514	16	22380	33758.826	2618.72	198	ARHGEF10	KBTBD11	KBTBD11	KBTBD11	0.635	198	1
9_MACS_peak_18326_lociStitched	chr19	7640007	7663868	9	22368	35662.6506	3314.2929	199	KIAA1543	PNPLA6,LOC100131801,STXBP2,XAB2,PCP2	KIAA1543	KIAA1543	0.8755000000000001	199	1
6_MACS_peak_14298_lociStitched	chr17	7959207	7983009	6	22360	37045.4328	3479.8524	200	ALOX12B	ALOX15B,MIR4314,ALOXE3,HES7	ALOX12B	MIR4314	1.5815000000000001	200	1
2_MACS_peak_36527_lociStitched	chr9	137105601	137128074	2	22357	40028.9076	1779.8616	201			RNU6ATAC	RNU6ATAC	NONE	201	1
10_MACS_peak_20176_lociStitched	chr19	36338172	36361360	10	22321	31440.6092	1982.574	202	KIRREL2,APLP1,NPHS1	HCST,PRODH2,NFKBID,TYROBP	KIRREL2	KIRREL2	1.2539	202	1
5_MACS_peak_25174_lociStitched	chr21	43721156	43743673	5	22306	44016.2316	3762.5907	203	TFF3	TFF2,TFF1	TFF3	TFF3	2.0431	203	1
5_MACS_peak_37145_lociStitched	chr9	138963859	138986703	5	22260	45169.4412	2019.4096	204	NACC2	C9orf69	NACC2	NACC2	1.3323	204	1
13_MACS_peak_2821_lociStitched	chr1	18954028	18977769	13	22213	33572.1481	1740.2153	205	PAX7		PAX7	PAX7	1.0821	205	1
7_MACS_peak_26848_lociStitched	chr22	42792714	42816041	7	22146	36695.7037	2391.0175	206	NFAM1		NFAM1	NFAM1	1.1761	206	1
6_MACS_peak_24933_lociStitched	chr20	62726708	62750145	6	22140	48713.8045	2498.3842	207	OPRL1,NPBWR2	TCEA2,MYT1,SOX18,RGS19,C20orf201	NPBWR2	NPBWR2	2.2746	207	1
7_MACS_peak_25497_lociStitched	chr21	46439039	46462068	7	22126	45749.4114	3348.4166	208		ADARB1,NCRNA00163,NCRNA00162,C21orf122	NCRNA00162	NCRNA00163	3.6106	208	1
4_MACS_peak_17862_lociStitched	chr19	4602146	4624593	4	22082	44456.2835	3685.7974	209		TNFAIP8L1,SEMA6B,C19orf10	TNFAIP8L1	SEMA6B	1.3367	209	1
4_MACS_peak_10899_lociStitched	chr15	42151824	42174249	4	22080	41064.66	2551.965	210	SPTBN5,MIR4310	JMJD7-PLA2G4B,PLA2G4B	MIR4310	MIR4310	1.8557000000000001	210	1
8_MACS_peak_31744_lociStitched	chr7	1455853	1478837	8	22042	34832.252	1870.8976	211	MICALL2		MICALL2	MICALL2	0.6103000000000001	211	1
11_MACS_peak_26417_lociStitched	chr22	36969723	36992947	11	22013	30945.98	2819.3936	212	CACNG2	EIF3D	EIF3D	NONE	NONE	212	1
6_MACS_peak_3256_lociStitched	chr1	21881524	21904495	6	21963	34426.6377	2519.9187	213	ALPL		ALPL	ALPL	0.9664	213	1
12_MACS_peak_17610_lociStitched	chr19	3103671	3127782	12	21949	31889.2086	3069.3303	214	GNA11	GNA15,AES	GNA15	GNA15	0.9241	214	1
10_MACS_peak_36672_lociStitched	chr9	137580079	137603788	10	21940	32744.4999	2010.5232	215	COL5A1		COL5A1	COL5A1	1.0474	215	1
4_MACS_peak_32850_lociStitched	chr7	150939914	150961800	4	21726	60917.4924	4112.3794	216	SMARCD3	CHPF2,MIR671,ABCF2	SMARCD3	SMARCD3	1.6221999999999999	216	1
8_MACS_peak_1810_lociStitched	chr1	10957130	10979649	8	21593	34366.2459	2211.3658	217			C1orf127	C1orf127	NONE	217	1
14_MACS_peak_7305_lociStitched	chr11	61349067	61372691	14	21493	30307.2296	2697.8608	218		RPLP0P2,SYT7	SYT7	SYT7	1.324	218	1
1_MACS_peak_22885_lociStitched	chr2	220341536	220362941	1	21406	48465.201	2628.534	219	SPEG	SPEG,GMPPA,ACCN4,TMEM198,CHPF	GMPPA	ACCN4	1.3591000000000002	219	1
16_MACS_peak_18301_lociStitched	chr19	7543173	7566544	16	21403	29360.9873	3648.2131	220	C19orf45,PEX11G	ARHGEF18,ZNF358,MCOLN1,PNPLA6,LOC100128573	PEX11G	PEX11G	0.8286	220	1
4_MACS_peak_6829_lociStitched	chr11	1671275	1692922	4	21349	43296.1647	2340.0407	221	FAM99A,MOB2	KRTAP5-5,KRTAP5-6,KRTAP5-3,KRTAP5-4,FAM99B	FAM99A	FAM99A	1.8777	221	1
8_MACS_peak_28452_lociStitched	chr3	50415998	50438339	8	21333	30873.0279	2403.8916	222	CACNA2D2	CYB561D2,RASSF1,ZMYND10,NPRL2,TMEM115	TMEM115	ZMYND10	0.07880000000000001	222	1
8_MACS_peak_20718_lociStitched	chr19	42488487	42510640	8	21287	35949.8884	2204.2235	223	ATP1A3,GRIK5	RABAC1	ATP1A3	ATP1A3	1.455	223	1
10_MACS_peak_2418_lociStitched	chr1	17883032	17905283	10	21267	28979.7024	2058.2175	224	ARHGEF10L	ARHGEF10L	ARHGEF10L	ARHGEF10L	1.1075	224	1
9_MACS_peak_14466_lociStitched	chr17	18977916	18999988	9	21175	24782.4416	2745.7568	225		GRAPL,GRAP	GRAP	GRAPL	0.32899999999999996	225	1
5_MACS_peak_11350_lociStitched	chr15	78180254	78202017	5	21167	36111.3459	2790.0166	226		LOC645752	LOC645752	LOC645752	0.355	226	1
3_MACS_peak_1741_lociStitched	chr1	10699530	10721084	3	21144	41900.976	2008.8328	227	CASZ1		CASZ1	CASZ1	1.6681	227	1
9_MACS_peak_28498_lociStitched	chr3	50534419	50557359	9	21115	33230.884	2505.048	228	CACNA2D2	HEMK1,C3orf18	CACNA2D2	CACNA2D2	1.0610000000000002	228	1
12_MACS_peak_37490_lociStitched	chrX	152790244	152814030	12	21108	28576.5004	1505.6538	229	ATP2B3	BGN	ATP2B3	BGN	0.9333	229	1
10_MACS_peak_18469_lociStitched	chr19	8175790	8198644	10	21101	32340.6954	2982.447	230	FBN3		FBN3	FBN3	0.9530000000000001	230	1
9_MACS_peak_36438_lociStitched	chr9	136511302	136533471	9	21088	32535.2244	1675.9764	231	DBH,SARDH		DBH	DBH	1.3627	231	1
10_MACS_peak_26684_lociStitched	chr22	38835350	38857565	10	21064	30099.1035	2645.8065	232	KCNJ4	KDELR3,LOC400927,DDX17	KCNJ4	KCNJ4	0.6660999999999999	232	1
8_MACS_peak_6958_lociStitched	chr11	2105598	2127473	8	21025	33355	1944.6875	233		IGF2AS,MIR483,IGF2	MIR483	MIR483	1.6439000000000001	233	1
5_MACS_peak_5923_lociStitched	chr10	102493959	102515621	5	20968	50394.4768	2170.5324	234	PAX2		PAX2	PAX2	0.9377999999999999	234	1
6_MACS_peak_11688_lociStitched	chr16	1021233	1043378	6	20934	38208.983	1607.727	235	SOX8,LMF1	LMF1	SOX8	SOX8	1.7844	235	1
4_MACS_peak_36449_lociStitched	chr9	136540658	136561873	4	20931	33793.3735	1775.6955	236	SARDH	DBH	DBH	DBH	1.3627	236	1
8_MACS_peak_27542_lociStitched	chr22	45905183	45926943	8	20833	30555.392	1908.352	237	FBLN1		FBLN1	FBLN1	1.0807	237	1
8_MACS_peak_13791_lociStitched	chr17	1193094	1214917	8	20793	30999.5715	3336.7367	238	TUSC5	BHLHA9	TUSC5	TUSC5	1.3050000000000002	238	1
7_MACS_peak_15453_lociStitched	chr17	47569953	47591772	7	20757	39368.0217	2273.5398	239	NGFR		NGFR	NGFR	1.4419	239	1
6_MACS_peak_20710_lociStitched	chr19	42424348	42445923	6	20727	39255.7125	2450.92	240		CD79A,ARHGEF1,RABAC1	RABAC1	RABAC1	0.1348	240	1
9_MACS_peak_35863_lociStitched	chr9	133249637	133271455	9	20714	31463.7378	1686.5314	241		ASS1	ASS1	ASS1	0.5864	241	1
6_MACS_peak_9651_lociStitched	chr12	54413038	54434351	6	20554	35266.6211	2438.2072	242	HOXC6,HOXC5,HOXC4,MIR615	HOXC11,HOXC10,MIR196A2,HOXC9,HOXC8,HOXC4,FLJ12825,LOC100240735	HOXC6	HOXC9	2.0210999999999997	242	1
12_MACS_peak_2870_lociStitched	chr1	19034303	19057115	12	20523	29826.69	1980.0816	243	PAX7		PAX7	PAX7	1.0821	243	1
8_MACS_peak_35945_lociStitched	chr9	133524178	133545677	8	20508	39786.0494	2229.4463	244	PRDM12	EXOSC2,ABL1	PRDM12	PRDM12	1.2278	244	1
3_MACS_peak_2086_lociStitched	chr1	16339090	16359654	3	20455	44377.112	2360.7472	245	CLCNKA,HSPB7	C1orf64,CLCNKB,ZBTB17,FAM131C	CLCNKA	CLCNKB	1.9773	245	1
6_MACS_peak_27133_lociStitched	chr22	44668411	44689981	6	20421	33608.217	2122.488	246	KIAA1644		KIAA1644	KIAA1644	1.0309	246	1
11_MACS_peak_13643_lociStitched	chr17	743108	764737	11	20415	29633.8929	2123.9678	247	NXN		GLOD4	NONE	NONE	247	1
8_MACS_peak_253_lociStitched	chr1	2094486	2116153	8	20376	32576.3345	1811.3612	248	PRKCZ,C1orf86	SKI,LOC100128003,C1orf86	LOC100128003	C1orf86	0.9017	248	1
5_MACS_peak_4853_lociStitched	chr1	156657630	156678521	5	20332	53301.2974	3860.6568	249	CRABP2	BCAN,C1orf66,NES,ISG20L2,MRPL24,HDGF	CRABP2	CRABP2	1.5806	249	1
17_MACS_peak_32417_lociStitched	chr7	100381843	100405520	17	20331	31147.0935	2287.1982	250	ZAN,EPHB4	SLC12A9	EPHB4	EPHB4	1.2278	250	1
8_MACS_peak_7007_lociStitched	chr11	2305812	2326694	8	20325	32521.6268	2077.759	251	TSPAN32,C11orf21	ASCL2	C11orf21	C11orf21	1.4216	251	1
3_MACS_peak_25469_lociStitched	chr21	46114589	46135196	3	20295	40723.5534	2439.8688	252	KRTAP10-12,C21orf29	KRTAP10-11,KRTAP12-3,KRTAP12-4,KRTAP12-2,KRTAP12-1	C21orf29	C21orf29	1.0753	252	1
6_MACS_peak_27153_lociStitched	chr22	44742056	44763404	6	20281	28418.4576	2207.3832	253		KIAA1644	KIAA1644	KIAA1644	1.0309	253	1
5_MACS_peak_91_lociStitched	chr1	1128942	1150124	5	20232	45551.891	1844.9522	254	TTLL10,TNFRSF18,TNFRSF4	MIR200B,MIR200A,MIR429,TTLL10,B3GALT6,SDF4,FAM132A	TNFRSF18	MIR200B	2.7832999999999997	254	1
7_MACS_peak_16844_lociStitched	chr17	77969352	77990297	7	20223	30257.147	2169.902	255	TBC1D16	CCDC40	TBC1D16	TBC1D16	1.3672	255	1
6_MACS_peak_36383_lociStitched	chr9	136344801	136366159	6	20206	39021.066	1922.22	256		C9orf7,ADAMTSL2,SLC2A6,TMEM8C	SLC2A6	TMEM8C	1.5794000000000001	256	1
9_MACS_peak_37131_lociStitched	chr9	138935379	138955963	9	20201	31283.5632	1628.1944	257	NACC2		NACC2	NACC2	1.3323	257	1
6_MACS_peak_26817_lociStitched	chr22	42696555	42717074	6	20175	33400.8282	1936.9936	258		LOC388906	LOC388906	NONE	NONE	258	1
11_MACS_peak_16686_lociStitched	chr17	77524732	77546264	11	20159	28056.196	1759.1644	259		RBFOX3	RBFOX3	RBFOX3	1.4731	259	1
9_MACS_peak_266_lociStitched	chr1	2136724	2158725	9	20153	34160.9527	2200.1	260	C1orf86	SKI,LOC100128003,C1orf86	C1orf86	C1orf86	0.9017	260	1
3_MACS_peak_24699_lociStitched	chr20	61387416	61407914	3	20110	45886.8228	2211.7342	261	NTSR1	C20orf20,OGFR,COL9A3	C20orf20	COL9A3	1.1876	261	1
9_MACS_peak_2000_lociStitched	chr1	11756052	11777254	9	20091	34639.8276	2366.1432	262	C1orf187	FBXO44,FBXO6,AGTRAP,FBXO2,MAD2L2	C1orf187	C1orf187	1.3208	262	1
3_MACS_peak_1119_lociStitched	chr1	6180717	6201063	3	20042	39170.1192	2050.8768	263	CHD5		CHD5	CHD5	1.399	263	1
4_MACS_peak_2120_lociStitched	chr1	16463232	16483727	4	19969	33923.324	2135.579	264	EPHA2		EPHA2	EPHA2	1.4741	264	1
4_MACS_peak_54_lociStitched	chr1	955481	976325	4	19903	44064.216	2059.3872	265	AGRN	ISG15,C1orf170,HES4	AGRN	HES4	1.9835000000000003	265	1
10_MACS_peak_16653_lociStitched	chr17	77465740	77487051	10	19860	25287.6326	1926.5144	266	RBFOX3		RBFOX3	RBFOX3	1.4731	266	1
17_MACS_peak_19607_lociStitched	chr19	18340300	18362320	17	19825	27133.044	2164.566	267	PDE4C,LOC729966	MPV17L2,MIR3188,RAB3A,PDE4C,KIAA1683,JUND	PDE4C	PDE4C	1.1500000000000001	267	1
4_MACS_peak_25477_lociStitched	chr21	46164422	46184541	4	19784	37831.7676	2830.7433	268		KRTAP10-12,C21orf29,UBE2G2	C21orf29	KRTAP10-12	1.6355	268	1
4_MACS_peak_25631_lociStitched	chr21	47404881	47424985	4	19730	46446.2712	2066.6912	269	COL6A1		COL6A1	COL6A1	1.6751	269	1
7_MACS_peak_36453_lociStitched	chr9	136564422	136585521	7	19727	36102.4989	1799.7447	270	SARDH		SARDH	SARDH	1.351	270	1
5_MACS_peak_69_lociStitched	chr1	1052642	1072650	5	19653	42713.0784	2158.8632	271		MIR200B,MIR200A,MIR429,TTLL10,C1orf159	C1orf159	MIR200B	2.7832999999999997	271	1
5_MACS_peak_2089_lociStitched	chr1	16360548	16380729	5	19641	42676.7607	1886.9235	272	CLCNKB	C1orf64,CLCNKA,HSPB7,FAM131C	CLCNKB	CLCNKB	1.9773	272	1
3_MACS_peak_11744_lociStitched	chr16	1321271	1340909	3	19619	49144.095	2219.094	273		TPSAB1,TPSD1,UBE2I,BAIAP3,TPSG1,TPSB2	TPSD1	TPSG1	2.7114	273	1
8_MACS_peak_41_lociStitched	chr1	925013	945601	8	19613	37538.1004	2025.8592	274	HES4	KLHL17,PLEKHN1,ISG15,AGRN,NOC2L,C1orf170	HES4	HES4	1.9835000000000003	274	1
5_MACS_peak_26823_lociStitched	chr22	42719428	42739469	5	19599	32219.9157	2210.5223	275			LOC388906	NONE	NONE	275	1
10_MACS_peak_18509_lociStitched	chr19	8271805	8293054	10	19575	27139.2228	2430.8856	276	LASS4		LASS4	LASS4	0.8525	276	1
8_MACS_peak_6839_lociStitched	chr11	1702100	1723168	8	19569	38010.8856	2089.9456	277	KRTAP5-6,MOB2,FAM99B	FAM99A,LOC402778	FAM99B	FAM99A	1.8777	277	1
6_MACS_peak_36101_lociStitched	chr9	135096375	135116613	6	19490	36511.3758	2543.9166	278	NTNG2		NTNG2	NTNG2	1.4551999999999998	278	1
7_MACS_peak_20099_lociStitched	chr19	35986826	36006620	7	19411	32810.5344	2252.5572	279	DMKN	FFAR2,GAPDHS,TMEM147,KRTDAP,SBSN,ATP4A	DMKN	DMKN	1.3860999999999999	279	1
4_MACS_peak_13863_lociStitched	chr17	1913592	1933425	4	19384	37734.2658	2286.7449	280	RTN4RL1	DPH1,OVCA2,HIC1,MIR132,MIR212	RTN4RL1	RTN4RL1	1.4627000000000001	280	1
13_MACS_peak_8122_lociStitched	chr11	69942230	69963139	13	19383	26911.9739	1810.7194	281	ANO1		ANO1	ANO1	1.0357	281	1
2_MACS_peak_28604_lociStitched	chr3	128197307	128216749	2	19380	48428.0778	2109.457	282	GATA2	LOC90246,DNAJB8	GATA2	GATA2	2.0671	282	1
6_MACS_peak_14941_lociStitched	chr17	39765930	39786558	6	19336	35073.7884	2559.9348	283	KRT16,KRT17,KRT42P	KRT9,KRT14	KRT17	KRT17	1.5695999999999999	283	1
4_MACS_peak_37271_lociStitched	chr9	140049048	140069164	4	19305	46657.0504	1864.7532	284	GRIN1,LRRC26,MIR3621	SSNA1,NDOR1,DPP7,ANAPC2,TPRN,TMEM203,RNF208	MIR3621	MIR3621	2.8993	284	1
6_MACS_peak_24733_lociStitched	chr20	61651241	61671174	6	19285	33971.8119	2186.6501	285	LOC63930,LOC100144597,NCRNA00029	BHLHE23	NCRNA00029	BHLHE23	1.5784	285	1
2_MACS_peak_20716_lociStitched	chr19	42468133	42487743	2	19280	34344.954	1966.883	286	ATP1A3	RABAC1	RABAC1	RABAC1	0.1348	286	1
9_MACS_peak_32352_lociStitched	chr7	100226460	100247568	9	19278	28698.4368	2256.4452	287	TFR2,ACTL6B	FBXO24,PCOLCE,MOSPD3,GNB2,LRCH4,GIGYF1	TFR2	TFR2	1.2352999999999998	287	1
8_MACS_peak_25121_lociStitched	chr21	43130324	43151469	8	19259	34347.938	3078.712	288	NCRNA00112,C21orf129	NCRNA00111,RIPK4	NCRNA00112	NCRNA00112	1.4472	288	1
5_MACS_peak_35499_lociStitched	chr9	127245806	127265168	5	19236	32623.0338	1942.0086	289	NR5A1	GPR144	NR5A1	NR5A1	1.3107	289	1
7_MACS_peak_384_lociStitched	chr1	2715478	2735231	7	19231	29825.0547	1645.4249	290			MMEL1	MMEL1	1.069	290	1
7_MACS_peak_499_lociStitched	chr1	3005368	3025386	7	19231	29000.0766	1471.323	291	PRDM16	MIR4251,FLJ42875	MIR4251	MIR4251	1.4012	291	1
9_MACS_peak_31239_lociStitched	chr6	33988752	34008840	9	19230	26859.6648	2055.0024	292	GRM4	MIR1275	MIR1275	MIR1275	0.5941000000000001	292	1
8_MACS_peak_9668_lociStitched	chr12	54585550	54605435	8	19145	28564.8025	2700.383	293		SMUG1,CBX5	SMUG1	SMUG1	0.16640000000000002	293	1
1_MACS_peak_24793_lociStitched	chr20	61937699	61956839	1	19141	36905.748	2038.41	294	COL20A1	ARFGAP1,MIR4326,CHRNA4	COL20A1	CHRNA4	1.4431999999999998	294	1
13_MACS_peak_11648_lociStitched	chr16	953464	974358	13	19122	26481.0556	1619.285	295	LMF1		LMF1	LMF1	1.0231	295	1
1_MACS_peak_4879_lociStitched	chr1	156861472	156880555	1	19084	48507.0777	3198.3108	296	PEAR1	NTRK1,C1orf92,INSRR,MIR765	PEAR1	PEAR1	1.788	296	1
5_MACS_peak_16511_lociStitched	chr17	76554616	76573904	5	18988	29574.2904	1953.8744	297	DNAH17		DNAH17	DNAH17	0.9635	297	1
