GENE_ID	locusLine	bin_1_09_0EWV_0229Kronos_MM1S-KB-24hr-1_H3K18Ac_hs-dm_i17.bam
NM_138720	chr6(.):26153348-26176576	1.0543
NM_003523	chr6(.):26179023-26189458	0.6431
NM_003539	chr6(.):26183937-26194304	0.7728
NM_003545	chr6(.):26199872-26210249	1.5869
NM_005321	chr6(.):26151558-26162343	1.495
NM_003522	chr6(.):26194786-26205216	2.4398
NM_003518	chr6(.):26211427-26221872	0.9671
NM_021052	chr6(.):26212147-26222711	0.9513
NM_003532	chr6(.):26220382-26230844	0.6973
NM_003524	chr6(.):26246878-26257303	1.9891
NM_003547	chr6(.):26241838-26252205	1.7861
NM_003540	chr6(.):26235653-26246021	0.2082
NM_021018	chr6(.):26245369-26255835	1.9857
NM_005320	chr6(.):26229439-26240216	0.7343
NM_001145008	chr6(.):26397464-26420444	0.208
NM_001197240	chr6(.):26378328-26400100	0.3013
NM_001197247	chr6(.):26360397-26383540	1.0993
NM_001197238	chr6(.):26378323-26400100	0.3013
NM_007047	chr6(.):26360397-26383548	1.1001
NM_001197237	chr6(.):26378438-26400100	0.3006
NM_001197248	chr6(.):26360469-26383540	1.0839
NM_001197246	chr6(.):26363405-26383540	0.5094
NM_021064	chr6(.):27095816-27106314	1.128
NM_080593	chr6(.):27101071-27119637	1.1434
NM_080596	chr6(.):27109907-27120346	1.0127
NR_036096	chr6(.):27110404-27120467	1.0488
NM_021058	chr6(.):27095094-27105575	1.136
NM_003495	chr6(.):27102087-27112457	0.7849
NM_021066	chr6(.):27777079-27787518	1.2712
NM_003536	chr6(.):27772841-27783314	1.6769
NM_003509	chr6(.):27770976-27781445	1.1885
NM_003519	chr6(.):27770256-27780709	1.1573
NM_003521	chr6(.):27777821-27788267	1.2056
NM_003520	chr6(.):27801439-27811888	1.7735
NM_003511	chr6(.):27828106-27838576	0.6501
NM_003533	chr6(.):27834622-27845099	0.3944
NM_003510	chr6(.):27800657-27811117	1.7832
NM_003541	chr6(.):27793951-27804305	0.662
NM_005322	chr6(.):27829569-27840359	0.7212
NM_021968	chr6(.):27786902-27797258	0.7476
NM_003546	chr6(.):27835925-27846289	0.2184
NM_003587	chr6(.):30615895-30645830	0.1073
NM_001161376	chr6(.):30609815-30625987	0.3263
NM_133471	chr6(.):30639165-30660672	1.2795
NM_001134870	chr6(.):30639165-30660093	1.3102
NM_007243	chr6(.):30650825-30663769	1.5089
NM_178014	chr6(.):30683156-30698195	0.9856
NM_021246	chr6(.):31678132-31690581	0.0657
NM_138275	chr6(.):31686160-31697851	0.7116
NR_033488	chr6(.):31649725-31675850	0.2555
NM_013974	chr6(.):31689816-31703039	1.0037
NM_025262	chr6(.):31639460-31653150	0.1931
NM_001288	chr6(.):31693357-31709341	2.684
NM_001003693	chr6(.):31669683-31683372	0.446
NM_021160	chr6(.):31649725-31676137	0.254
NR_024541	chr6(.):31674752-31686842	0.066
NM_025261	chr6(.):31681424-31694510	0.0726
NM_001039651	chr6(.):31725772-31737624	0.1229
NM_025258	chr6(.):31728370-31750108	0.6224
NR_002742	chr6(.):31799852-31809916	1.1613
NM_000434	chr6(.):31821828-31835709	0.2779
NM_021177	chr6(.):31760173-31779743	0.8277
NR_002745	chr6(.):31798039-31808103	1.2502
NM_001178045	chr6(.):31825969-31850448	0.192
NM_001040438	chr6(.):31797692-31812541	0.8947
NM_005345	chr6(.):31778290-31790719	0.8508
NM_005527	chr6(.):31772395-31787835	0.4693
NM_001178044	chr6(.):31825969-31851823	0.1836
NM_006295	chr6(.):31740296-31768712	1.1428
NM_005346	chr6(.):31790511-31803031	1.366
NM_022107	chr6(.):32153542-32168300	1.7643
NM_138717	chr6(.):32116300-32136452	0.1241
NM_001136	chr6(.):32143745-32157023	0.7533
NM_004557	chr6(.):32157619-32196844	0.6199
NM_032741	chr6(.):32130982-32150888	0.5456
NM_002586	chr6(.):32147509-32162963	1.1157
NM_006913	chr6(.):32141161-32153570	0.8488
NR_003129	chr6(.):32141231-32153567	0.8536
NM_030651	chr6(.):32111139-32124720	0.1582
NM_005155	chr6(.):32116621-32136452	0.1257
NM_006411	chr6(.):32130982-32148916	0.598
NR_037169	chr6(.):32115578-32127142	0.1816
NM_030652	chr6(.):32127404-32141062	0.0511
NM_002800	chr6(.):32816937-32832628	0.7833
NM_000544	chr6(.):32788186-32811547	0.2213
NM_018833	chr6(.):32784609-32811547	0.2232
NM_002120	chr6(.):32775539-32789825	0.2688
NM_000593	chr6(.):32807985-32826748	1.1661
NR_027771	chr6(.):32839254-32852851	0.0555
NM_004159	chr6(.):32803493-32817712	0.8819
NM_148919	chr6(.):32803493-32816816	0.9378
NR_037178	chr6(.):32856952-32876535	0.2094
NR_037174	chr6(.):32806862-32819277	0.8296
NM_001164267	chr6(.):33241879-33262304	0.1613
NM_022551	chr6(.):33234851-33249281	0.483
NM_172209	chr6(.):33262471-33287164	1.1691
NM_004761	chr6(.):33254430-33272176	0.8064
NM_172208	chr6(.):33266409-33287164	1.2684
NM_003782	chr6(.):33239916-33251602	0.2156
NR_024517	chr6(.):33281334-33295793	1.629
NM_014260	chr6(.):33252377-33263711	0.2376
NM_005453	chr6(.):33277181-33290512	1.4167
NM_001145338	chr6(.):33277181-33290719	1.4676
NM_022553	chr6(.):33213048-33244662	0.3456
NM_001185181	chr6(.):33252411-33263709	0.2383
NR_001444	chr6(.):33327513-33339139	0.0456
NM_000322	chr6(.):42659332-42695358	0.0873
NM_003192	chr6(.):42707233-42718884	0.8187
NR_037141	chr6(.):42690313-42700932	0.1446
NM_015349	chr6(.):42783793-42841296	0.0592
NM_018426	chr6(.):44090375-44128256	0.1828
NM_007058	chr6(.):44121547-44157139	0.0601
NM_032111	chr6(.):44076372-44100191	1.2454
NM_002388	chr6(.):52123811-52154582	0.1889
NM_052872	chr6(.):52096483-52114298	0.0774
NM_014051	chr6(.):52530883-52556385	0.7777
NR_024403	chr6(.):52524198-52538951	2.2157
NM_001402	chr6(.):74220472-74235755	1.7522
NM_002043	chr6(.):89962238-90029967	0.335
NM_021244	chr6(.):90069334-90126995	0.4786
NM_182907	chr6(.):106541814-106562811	2.9149
NM_001198	chr6(.):106529194-106562814	3.0891
NM_020399	chr6(.):117876432-117928705	0.2347
NM_006290	chr6(.):138183580-138209449	1.7272
NM_006079	chr6(.):139688396-139700785	2.0674
NM_001168389	chr6(.):139688396-139700350	2.1384
NM_001168388	chr6(.):139688396-139700499	2.115
NR_037463	chr6(.):157945163-157955232	0.031
NM_004289	chr7(.):26186846-26231756	0.654
NR_033664	chr7(.):34381123-34802884	0.1194
NM_030796	chr7(.):55533305-55645200	1.9547
NM_012301	chr7(.):77641373-79087890	0.116
NM_001145354	chr7(.):130789854-131186398	0.3214
NM_001164458	chr7(.):149939300-150025758	0.329
NM_001136020	chr7(.):8148403-8306780	0.5238
NM_138426	chr7(.):8003422-8133709	0.258
NM_022307	chr7(.):8147814-8306682	0.5224
NM_004968	chr7(.):8147814-8307185	0.521
NM_182762	chr7(.):20169278-20262013	0.7789
NR_015356	chr7(.):34753473-34878943	0.2773
NM_207173	chr7(.):34692896-34922944	0.1789
NM_207172	chr7(.):34692896-34894590	0.1972
NM_002541	chr7(.):44641120-44753669	0.4115
NM_001003941	chr7(.):44641120-44721195	0.5534
NM_022748	chr7(.):47309751-47584199	0.3225
NM_006060	chr7(.):50339377-50477798	0.3189
NM_012395	chr7(.):90333711-90844904	0.2642
NM_017621	chr7(.):102091666-102110321	0.4867
NM_182931	chr7(.):104649636-104759532	0.5953
NM_022444	chr7(.):122748587-122845025	0.3574
NM_001098627	chr7(.):128575771-128595088	2.2142
NM_001098630	chr7(.):128572993-128595088	2.2272
NM_032643	chr7(.):128573270-128595088	2.1489
NM_014149	chr7(.):134863589-134901316	0.166
NM_178563	chr7(.):134666258-134825530	0.2937
NM_194071	chr7(.):137554724-137691846	0.27
NM_173680	chr7(.):150071405-150100719	2.1686
NR_029597	chr7(.):25984538-25994606	2.8188
NM_031243	chr7(.):26224555-26245413	0.9442
NM_016587	chr7(.):26236323-26257976	0.871
NM_007276	chr7(.):26236098-26257976	0.8641
NM_022373	chr7(.):35667269-35739772	0.1496
NM_018224	chr7(.):43673858-43774083	0.6008
NM_019082	chr7(.):44600402-44619137	0.1428
NM_182547	chr7(.):44613761-44626827	0.6068
NM_017439	chr7(.):76935067-77050717	0.3429
NM_032831	chr7(.):102068995-102102268	2.378
NM_024653	chr7(.):102031803-102072129	1.6037
NM_006234	chr7(.):102108547-102124381	0.2205
NM_152892	chr7(.):102100389-102118612	0.3018
NR_027374	chr7(.):104530074-104572092	0.2855
NR_024586	chr7(.):104645988-104659588	4.204
NM_002649	chr7(.):106500923-106552592	0.6195
NM_001166346	chr7(.):114557208-114568720	1.982
NM_199072	chr7(.):114557208-114664970	0.9166
NM_199349	chr7(.):128525000-128555773	0.1521
NM_018295	chr7(.):134827765-134855967	1.4994
NR_024185	chr7(.):134845531-134860532	1.9964
NM_005989	chr7(.):137756177-137808050	0.0939
NM_013400	chr7(.):150060878-150076133	5.0403
NM_014374	chr7(.):150063257-150076133	5.5805
NM_001142928	chr7(.):150015295-150040245	0.8272
NM_002889	chr7(.):150030406-150043763	0.0867
NM_138434	chr7(.):150021937-150034811	0.0897
NR_027237	chr7(.):150097839-150114558	2.7212
NM_175571	chr7(.):150142961-150181483	0.1052
NR_034033	chr7(.):150125741-150150228	1.835
NM_080838	chr8(.):134198311-134245053	0.655
NM_003882	chr8(.):134198311-134246571	0.7863
NM_004103	chr8(.):27163998-27321903	0.8671
NM_173176	chr8(.):27178053-27321903	0.9173
NM_173175	chr8(.):27178080-27321903	0.9175
NM_021623	chr8(.):38753752-38836430	1.1252
NM_018371	chr8(.):19256671-19545094	0.3543
NR_024040	chr8(.):19256671-19545261	0.3542
NM_006228	chr8(.):28169648-28205868	0.9143
NM_001010906	chr8(.):27874480-27946388	0.6443
NM_024787	chr8(.):33400272-33429643	1.0387
NR_027638	chr8(.):38849504-38967779	0.0956
NM_005079	chr8(.):80942104-81088836	0.8175
NM_024094	chr8(.):120841180-120873170	0.1603
NM_022783	chr8(.):120880899-121068157	1.227
NM_173685	chr8(.):126099082-126384367	0.3164
NM_003033	chr8(.):134462090-134589183	0.7773
NM_003970	chr8(.):1988157-2098380	1.0018
NM_022071	chr8(.):19166080-19258729	0.458
NM_001174159	chr8(.):19166486-19258729	0.4598
NM_171982	chr8(.):27137403-27173834	0.1628
NM_018091	chr8(.):27945583-28053669	0.0852
NM_018660	chr8(.):28198101-28248977	0.4958
NM_057158	chr8(.):29188616-29211322	1.197
NM_001394	chr8(.):29188619-29213185	1.1118
NR_026765	chr8(.):29573775-29610625	0.8449
NM_025115	chr8(.):33351235-33375656	0.2609
NM_001102401	chr8(.):33351235-33375703	0.2604
NM_024025	chr8(.):33443853-33462439	0.1011
NR_003129	chr8(.):38452692-38463775	0.0511
NM_001024381	chr8(.):38841326-38859041	0.2462
NM_153692	chr8(.):38826667-38851181	0.0577
NR_034003	chr8(.):61873679-61885307	0.0771
NM_024410	chr8(.):103558847-103578245	0.0981
NM_148174	chr8(.):103833535-103881397	0.1156
NM_201378	chr8(.):144984320-145052697	0.6166
NM_032789	chr8(.):145046319-145065635	0.825
NM_000445	chr8(.):144984320-145055913	0.6111
NM_201381	chr8(.):144984320-145023905	0.7543
NM_201382	chr8(.):144984320-145023110	0.7566
NM_201383	chr8(.):144984320-145021692	0.7654
NM_201379	chr8(.):144984320-145033088	0.7127
NM_001009184	chr8(.):145059225-145072583	0.6362
NM_201384	chr8(.):144984320-145018758	0.8229
NR_030383	chr8(.):145014358-145024447	1.4363
NM_201380	chr8(.):144984320-145030044	0.7562
NM_002839	chr9(.):8309245-10617723	0.0852
NM_053016	chr9(.):112537576-112718756	0.5133
NM_001037293	chr9(.):112398067-112718756	0.3087
NM_007203	chr9(.):112537576-112939791	0.5353
NM_001004065	chr9(.):112805877-112939791	0.5926
NM_005047	chr9(.):123573331-123610206	0.2235
NM_015033	chr9(.):132644465-132810473	0.3298
NM_198679	chr9(.):134447156-134590229	0.3339
NM_005312	chr9(.):134447156-134617925	0.4359
NM_005384	chr9(.):94166326-94191144	1.4711
NM_001083603	chr9(.):98200263-98284247	0.6599
NM_001083606	chr9(.):98200263-98274699	0.7256
NM_001083607	chr9(.):98200263-98274481	0.7271
NM_001083605	chr9(.):98200263-98275322	0.7211
NM_000264	chr9(.):98200263-98275831	0.7169
NM_001012993	chr9(.):112956845-112975413	0.0775
NM_001136562	chr9(.):112882780-112939791	0.9126
NM_000608	chr9(.):117087068-117100536	0.0704
NM_030767	chr9(.):117091432-117161685	0.8682
NM_000607	chr9(.):117080302-117093759	0.076
NM_001244	chr9(.):117660123-117697770	0.8211
NM_005658	chr9(.):123659670-123694173	1.196
NM_015651	chr9(.):123612930-123644606	1.1833
NM_001190945	chr9(.):123659670-123696451	1.3257
NM_001190947	chr9(.):123659670-123681850	0.9509
NM_001009936	chr9(.):123626852-123644606	2.0255
NR_024408	chr9(.):123600319-123621651	0.3563
NM_173689	chr9(.):126113447-126146032	0.0745
NM_001145001	chr9(.):127015195-127119719	0.2879
NM_001166168	chr9(.):127015529-127119719	0.2886
NM_001166167	chr9(.):127014884-127119719	0.2873
NM_005489	chr9(.):130495595-130538621	0.3129
NM_001142532	chr9(.):130495595-130529697	0.2532
NM_001142533	chr9(.):130495595-130522583	0.3001
NM_001142531	chr9(.):130495595-130529719	0.253
NM_001142534	chr9(.):130495595-130522561	0.3003
NM_170600	chr9(.):130495595-130546048	0.5695
NM_001085347	chr9(.):130488802-130502604	0.5366
NM_001018078	chr9(.):130560507-130581556	0.2863
NM_001261	chr9(.):130543304-130558052	0.5153
NM_004957	chr9(.):130560153-130581556	0.2863
NR_036055	chr9(.):130543196-130553286	0.6915
NM_001035254	chr9(.):130697860-130747812	0.5911
NM_003863	chr9(.):130692373-130705763	0.2146
NM_203305	chr9(.):130697860-130717993	0.1745
NM_001135219	chr9(.):130678807-130698076	0.6165
NM_173492	chr9(.):130678807-130694770	0.7314
NR_024425	chr9(.):130885807-130897913	0.5825
NR_027812	chr9(.):130877971-130895712	0.4592
NM_001006641	chr9(.):130825478-130876524	0.8076
NM_197956	chr9(.):130818511-130834599	0.9574
NM_001006643	chr9(.):130855835-130876524	0.0846
NM_001006642	chr9(.):130849127-130876524	0.0889
NM_052901	chr9(.):130855816-130876524	0.0847
NM_025072	chr9(.):130877971-130895474	0.4653
NR_033374	chr9(.):130868449-130886013	0.1085
NM_016520	chr9(.):132584563-132602572	0.2501
NM_006676	chr9(.):132592695-132649107	0.3278
NM_001008563	chr9(.):132592756-132649107	0.3281
NM_032728	chr9(.):134160080-134189649	0.0925
NM_033387	chr9(.):134128464-134156906	1.6668
NM_015691	chrX(.):9978794-10117518	0.4675
NM_001123384	chrX(.):39905498-40041582	0.4367
NM_144495	chrX(.):48750194-48765420	0.4116
NM_001167990	chrX(.):48750212-48765420	0.4121
NM_001032384	chrX(.):48750538-48765420	0.4186
NM_001167992	chrX(.):48750774-48765420	0.423
NM_001104544	chrX(.):119387504-119450391	0.5735
NM_005334	chrX(.):153208007-153241819	0.6216
NM_001830	chrX(.):10119984-10210699	0.0364
NM_138636	chrX(.):12919738-12946288	0.051
NM_016562	chrX(.):12880201-12913480	1.7476
NR_030727	chrX(.):12915935-12966419	0.0874
NM_025159	chrX(.):30571940-30601033	0.8316
NM_000397	chrX(.):37634269-37677714	1.1641
NM_006520	chrX(.):37693088-37711889	0.101
NM_017745	chrX(.):39905498-39961719	0.2703
NM_001167947	chrX(.):48745729-48760426	0.5328
NM_001042498	chrX(.):48755888-48774235	0.4407
NM_001136158	chrX(.):48774302-48819893	1.9126
NM_001136159	chrX(.):48774302-48820648	1.8817
NM_006875	chrX(.):48765458-48781413	1.6584
NM_004979	chrX(.):48813638-48833251	0.329
NM_005660	chrX(.):48755458-48773917	0.4458
NM_001032289	chrX(.):48755889-48773933	0.4157
NM_006777	chrX(.):119379606-119397251	0.21
NM_001184742	chrX(.):119379609-119397251	0.21
NM_003399	chrX(.):128867945-128908525	0.6636
NM_018990	chrX(.):128908891-128934176	1.0349
NM_003491	chrX(.):153190376-153205468	1.6568
NM_001666	chrX(.):153167829-153196714	0.8924
NM_002910	chrX(.):153195721-153215232	0.2078
NM_001025243	chrX(.):153270956-153290342	0.6722
NM_003492	chrX(.):153232990-153253646	1.2914
NR_031757	chrX(.):153280370-153290440	0.8057
NR_036175	chrX(.):153241548-153251627	0.7122
NR_036174	chrX(.):153241547-153251628	0.7124
NM_015892	chr10(.):125762181-125856930	1.4359
NM_014863	chr10(.):125774168-125856930	1.6319
NM_031453	chr10(.):14555558-14821896	0.3971
NM_001083591	chr10(.):11201992-11383672	1.3272
NM_001025077	chr10(.):11042258-11383672	0.7732
NM_006561	chr10(.):11054892-11383672	0.8008
NM_024948	chr10(.):15815174-15907519	0.6073
NM_001002265	chr10(.):45947816-46095354	0.4187
NR_033842	chr10(.):45301471-45460137	0.2999
NM_032023	chr10(.):45450218-45495172	0.9307
NM_000698	chr10(.):45864628-45946563	1.4967
NM_001002266	chr10(.):45947816-46035819	0.5893
NM_032199	chr10(.):63656012-63861707	0.4414
NM_001198798	chr10(.):73851273-73980751	0.1376
NM_001198799	chr10(.):73851273-73981183	0.1373
NM_020338	chr10(.):80823791-81081285	0.3551
NM_145868	chr10(.):81909879-81970328	0.461
NM_001134363	chr10(.):112399154-112604227	0.4032
NM_007373	chr10(.):112674300-112778425	0.1395
NR_027653	chr10(.):3813187-3832473	1.8475
NM_001123376	chr10(.):45401763-45435642	0.0989
NM_007021	chr10(.):45466708-45479330	0.7373
NM_001039380	chr10(.):45488145-45501470	0.5181
NM_006963	chr10(.):45491272-45505777	0.457
NM_018055	chr10(.):72186691-72206465	0.0598
NM_014431	chr10(.):72233563-72333206	0.6908
NM_173473	chr10(.):73970805-74000618	0.2898
NM_019058	chr10(.):74028676-74040797	0.8264
NM_057157	chr10(.):94828231-94842641	0.6202
NM_183374	chr10(.):94816020-94833454	0.1763
NM_000783	chr10(.):94828646-94842641	0.6366
NM_020992	chr10(.):96992329-97055781	0.6441
NM_001114094	chr10(.):97946454-98036333	0.4962
NM_001017520	chr10(.):98059084-98103321	0.0644
NM_005871	chr10(.):112047797-112069707	0.238
NM_004419	chr10(.):112252624-112276302	1.7414
NM_145341	chr10(.):112626595-112664764	0.8996
NM_001195307	chr10(.):112653487-112684124	0.3614
NM_001195306	chr10(.):112653487-112683694	0.3626
NR_026932	chr10(.):112623647-112635662	5.3192
NM_001111018	chr11(.):19367270-20148147	0.2529
NM_006819	chr11(.):63948586-63977020	0.5038
NM_001098517	chr11(.):115039344-115380241	0.4399
NM_181798	chr11(.):2477683-2875340	0.2214
NM_000218	chr11(.):2461220-2875340	0.2178
NM_030962	chr11(.):9795213-10320754	0.0729
NM_175058	chr11(.):16804206-17040963	0.3193
NM_001143830	chr11(.):22683159-22839547	0.8527
NM_177553	chr11(.):22684653-22839547	0.8556
NM_005256	chr11(.):22691318-22839547	0.4798
NM_020229	chr11(.):45110563-45251903	0.11
NM_001127457	chr11(.):45863668-45909796	0.1804
NM_021117	chr11(.):45863956-45909799	0.1807
NM_004811	chr11(.):58289343-58348390	0.8273
NM_001143995	chr11(.):58289343-58350639	0.8
NM_206893	chr11(.):60547820-60573778	0.0441
NM_024060	chr11(.):62196015-62319332	0.1721
NM_001077241	chr11(.):65137662-65155142	0.8873
NR_002819	chr11(.):65260232-65278939	2.794
NM_030930	chr11(.):67753574-67776593	1.055
NM_014824	chr11(.):72542789-72858143	0.2079
NR_027479	chr11(.):78142015-78290909	0.3791
NM_080491	chr11(.):77921335-78133868	0.1288
NM_014488	chr11(.):82687477-82787884	0.8135
NM_001166	chr11(.):102212965-102254401	0.2024
NM_024556	chr11(.):126076618-126137879	0.0798
NM_002017	chr11(.):128558812-128688162	1.0276
NM_001167681	chr11(.):128557388-128688162	1.0169
NM_001124	chr11(.):10321641-10333923	5.271
NM_022725	chr11(.):22639078-22652387	0.5506
NM_000610	chr11(.):35155416-35258949	0.824
NM_018389	chr11(.):45821640-45839567	0.6251
NR_027134	chr11(.):45787982-45798909	0.1094
NM_001145266	chr11(.):45820622-45839567	0.5943
NM_000614	chr11(.):58385145-58398205	0.1508
NR_024091	chr11(.):58341586-58398205	0.7891
NM_053023	chr11(.):58341586-58394023	0.8409
NM_004778	chr11(.):60613397-60628444	0.1132
NM_207341	chr11(.):60630014-60648164	0.7579
NM_024098	chr11(.):60604428-60623561	1.7472
NM_022830	chr11(.):62337516-62364109	0.3076
NM_004739	chr11(.):62355674-62374303	0.5302
NM_001404	chr11(.):62322072-62346460	0.7183
NM_001620	chr11(.):62278373-62319332	0.2977
NM_004470	chr11(.):64003412-64016607	1.0454
NM_000932	chr11(.):64013994-64041924	0.4654
NM_005528	chr11(.):63992752-64006753	0.7221
NM_001160390	chr11(.):63986270-63998726	0.636
NM_032344	chr11(.):63988737-64002488	0.6597
NM_004322	chr11(.):64032299-64057176	0.6908
NM_178443	chr11(.):63969151-63996363	0.4662
NM_057092	chr11(.):64004587-64016607	1.136
NM_033310	chr11(.):64053792-64072503	0.446
NM_003377	chr11(.):63997265-64011259	0.8868
NM_020155	chr11(.):64048581-64061972	0.608
NM_001135208	chr11(.):64003603-64016607	1.0598
NM_001039496	chr11(.):64062862-64077239	0.7752
NM_001170726	chr11(.):64046810-64061972	0.5404
NM_001160393	chr11(.):63986270-63998341	0.592
NM_001170881	chr11(.):64047284-64061972	0.5565
NM_001177358	chr11(.):64047282-64061972	0.5564
NM_138689	chr11(.):64006950-64019413	1.1069
NR_028272	chr11(.):65185268-65199003	8.1089
NR_030343	chr11(.):65206928-65217028	0.4408
NM_031904	chr11(.):65149040-65185995	1.2622
NM_021070	chr11(.):65301029-65330699	0.4091
NM_001048218	chr11(.):65287547-65311182	0.2942
NM_001161473	chr11(.):67771047-67801743	1.052
NM_006053	chr11(.):67805446-67823366	0.6804
NM_006019	chr11(.):67801482-67823366	0.577
NM_002496	chr11(.):67793083-67809114	1.0461
NM_000694	chr11(.):67772789-67801743	1.0234
NR_033347	chr11(.):82747505-82757640	0.0966
NM_001165	chr11(.):102183193-102213465	0.8127
NM_006235	chr11(.):111217980-111255157	1.34
NR_026691	chr11(.):117852105-117877199	0.6977
NR_027288	chr11(.):122883273-122895319	0.0809
NM_006597	chr11(.):122923199-122937844	1.9296
NM_032795	chr11(.):126066988-126086587	0.4742
NM_003658	chr11(.):129240880-129327174	0.5742
NM_014325	chr12(.):109033886-109130295	0.8099
NM_173591	chr12(.):80598232-80777870	0.2432
NM_001173982	chr12(.):104845691-105160792	0.1888
NM_014503	chr12(.):101668904-101785397	0.1304
NM_020375	chr12(.):4425358-4474190	0.1099
NM_007273	chr12(.):7069516-7084891	0.4736
NR_015382	chr12(.):6543166-6565683	1.3272
NM_001144831	chr12(.):7069514-7084916	0.4736
NM_016511	chr12(.):10218079-10256605	0.4215
NM_001987	chr12(.):11797787-12053325	0.4183
NM_031289	chr12(.):13232041-13253709	1.0817
NM_006143	chr12(.):12808994-12854121	0.3284
NM_001080555	chr12(.):13232041-13261619	1.324
NM_152321	chr12(.):15061975-15096463	0.0686
NM_139241	chr12(.):32650040-32803984	0.3986
NM_005164	chr12(.):39940021-40018843	0.4219
NM_001031748	chr12(.):40014971-40120720	0.1483
NM_001033873	chr12(.):51634132-51668994	0.0806
NM_001031628	chr12(.):51634132-51669202	0.0807
NM_001128914	chr12(.):53840885-53879946	0.9585
NM_000966	chr12(.):53599352-53631036	1.5354
NM_001042728	chr12(.):53599352-53619150	2.0828
NM_018279	chr12(.):72074877-72102839	0.8384
NM_001731	chr12(.):92529053-92544673	1.8214
NM_005761	chr12(.):94537498-94704225	0.8323
NM_145913	chr12(.):101544993-101609016	0.0672
NM_020244	chr12(.):102086416-102127846	0.1978
NM_003299	chr12(.):104319188-104346703	1.0563
NM_014706	chr12(.):108910990-108960165	0.47
NM_018984	chr12(.):109171465-109256359	0.478
NM_003959	chr12(.):123315038-123352507	0.0795
NM_001082959	chr12(.):125257173-125353519	0.0472
NM_001759	chr12(.):4377901-4419522	0.8975
NM_014231	chr12(.):6566403-6584843	1.1051
NM_001242	chr12(.):6549050-6565884	1.7576
NM_014865	chr12(.):6598297-6646132	0.5201
NM_016497	chr12(.):6596315-6607471	0.5829
NR_004387	chr12(.):6614387-6624717	0.079
NM_018009	chr12(.):6556176-6576488	2.053
NM_001975	chr12(.):7018613-7037859	1.0067
NM_002831	chr12(.):7055433-7075479	2.2852
NR_029779	chr12(.):7067861-7077929	1.2646
NM_080548	chr12(.):7050739-7075479	2.2668
NM_001007026	chr12(.):7028625-7056484	1.1958
NM_006992	chr12(.):7008896-7028406	0.4703
NM_001940	chr12(.):7032479-7056484	1.0965
NR_003010	chr12(.):7071499-7081769	0.413
NM_138425	chr12(.):7048202-7060165	1.5358
NR_029682	chr12(.):7068259-7078354	0.9614
NM_006331	chr12(.):7074943-7090165	0.2805
NM_001099431	chr12(.):10140661-10156899	0.0513
NM_207345	chr12(.):10178275-10223565	0.7864
NM_001129998	chr12(.):10158230-10176399	0.0813
NM_001172633	chr12(.):10305898-10329790	0.0814
NM_197949	chr12(.):10264375-10287868	0.7374
NM_197954	chr12(.):10274921-10287868	1.2716
NM_153022	chr12(.):10326556-10349403	0.0704
NM_004064	chr12(.):12865301-12880305	6.9497
NR_030344	chr12(.):12912582-12922677	0.0583
NM_001130415	chr12(.):12873850-12949399	0.6668
NM_020853	chr12(.):13192314-13241383	0.2166
NM_006205	chr12(.):15120955-15139799	0.15
NM_001175	chr12(.):15089949-15119562	1.2572
NM_030762	chr12(.):26267958-26283003	2.275
NM_018976	chr12(.):46746970-46771645	0.6897
NM_001098532	chr12(.):48123452-48157181	0.3899
NM_017842	chr12(.):48161966-48181536	0.2963
NM_006105	chr12(.):48123452-48157244	0.3892
NM_001098531	chr12(.):48123452-48157889	0.3824
NM_001098416	chr12(.):48171506-48218763	1.9905
NM_014033	chr12(.):51313533-51331300	2.0719
NM_001109619	chr12(.):51342781-51369289	0.0792
NM_001971	chr12(.):51717226-51745463	0.6376
NM_016293	chr12(.):51669821-51722938	0.5054
NM_001004304	chr12(.):53569534-53589654	0.5968
NM_000889	chr12(.):53580106-53606000	3.901
NM_015989	chr12(.):53546446-53579430	0.3013
NM_001170790	chr12(.):53640369-53653190	0.3703
NM_032889	chr12(.):53640875-53653190	0.3786
NM_015665	chr12(.):53696239-53720412	0.4598
NM_152860	chr12(.):53715359-53734537	0.3539
NM_001173467	chr12(.):53715359-53735004	0.346
NM_001164691	chr12(.):53812638-53830318	0.0888
NM_003109	chr12(.):53769427-53815226	0.3829
NM_138473	chr12(.):53768978-53815226	0.3796
NM_001005354	chr12(.):53830432-53845427	0.3313
NM_134324	chr12(.):53890376-53905215	0.8802
NM_006301	chr12(.):53869275-53898444	0.747
NM_134323	chr12(.):53889704-53905215	0.8455
NM_003717	chr12(.):53895473-53906422	0.2189
NM_017440	chr12(.):68683345-68731161	0.105
NM_031435	chr12(.):72052676-72079428	0.3706
NM_144982	chr12(.):71998378-72062749	0.1901
NM_203394	chr12(.):77410025-77464360	0.672
NM_001946	chr12(.):89736836-89751296	3.8828
NM_001025233	chr12(.):92812734-92829730	0.6642
NR_027933	chr12(.):92810306-92829778	0.5965
NM_001025232	chr12(.):92808869-92826924	0.4367
NM_153694	chr12(.):102117425-102138250	1.0909
NM_024312	chr12(.):102134274-102229645	0.3668
NM_001111283	chr12(.):102784644-102879378	0.6725
NM_001111284	chr12(.):102784644-102877429	0.5636
NM_001111285	chr12(.):102806453-102879378	0.8579
NR_027249	chr12(.):104232526-104328989	0.4503
NR_037425	chr12(.):104319202-104329333	2.7385
