GENE	H3k27ac_19_DMSO_compare_TSS_SIGNAL	H3k27ac_19_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
ALG8	2025.987	106.4744	-1919.5126	0.0499302824426271	-4.25004641172465
PCSK7	2619.6332	702.6081	-1917.0251	0.21148617350582	-1.89857270647459
ZNF202	1915.371	0	-1915.371	0	-8
TTC9C	11193.258	9280.2016	-1913.0564	0.453279601069474	-0.270401968468813
GFRA1	2474.4602	565.2312	-1909.229	0.185950192180693	-2.13020082982532
LOC100130890	4895.5469	2986.6691	-1908.8778	0.378912364238686	-0.712932630762624
NAGA	2431.0007	523.1577	-1907.843	0.177091959591605	-2.2162325074622
LEPRE1	3040.7508	1133.2797	-1907.4711	0.271507287740231	-1.42392361678113
RCOR1	2243.5434	336.6344	-1906.909	0.13046945834508	-2.73652457690224
SEC23IP	2974.2384	1068.1286	-1906.1098	0.264233455299828	-1.47743493686671
DCDC1	1906.0944	0	-1906.0944	0	-8
DNAJC24	1906.0944	0	-1906.0944	0	-8
GTF2IRD1	3126	1220.0792	-1905.9208	0.280731009227812	-1.35734297666533
WDFY2	3147.408	1241.8983	-1905.5097	0.282937260496038	-1.34161717300797
RBAK	1990.1709	85.1342	-1905.0367	0.0410224983304864	-4.5470097070782
MAU2	8269.9032	6365.0698	-1904.8334	0.434921868321862	-0.377694107660027
APOO	3674.239	1769.6925	-1904.5465	0.325076188045349	-1.05394677234665
CLSTN3	1904.4546	0	-1904.4546	0	-8
RBP5	1904.4546	0	-1904.4546	0	-8
TNFSF13B	1952.8326	49.4508	-1903.3818	0.024697203203103	-5.3034306134698
DSTN	1911.825	8.5359	-1903.2891	0.0044449457391056	-7.80719148134229
ATG2B	2760.4	857.4339	-1902.9661	0.237002008301155	-1.68677997547522
CXorf58	3666.621	1769.6925	-1896.9285	0.32553172292216	-1.05095244885681
PPP1R7	1896.2902	0	-1896.2902	0	-8
ZNF45	1895.0867	0	-1895.0867	0	-8
RAB14	6556.0734	4662.8281	-1893.2453	0.415622518835735	-0.491626762338528
ZNF10	1908.7923	15.7731	-1893.0192	0.00819566848702569	-6.91905008699587
C1orf104	6610.6001	4717.8109	-1892.7892	0.416458309995992	-0.486663649872213
WWP1	1970.64	78.12	-1892.52	0.038130381303813	-4.65682848692048
BTRC	1898.6238	7.4733	-1891.1505	0.00392073415357486	-7.98899292035724
TPRKB	1889.9104	0	-1889.9104	0	-8
RALGAPB	2377.8279	488.9534	-1888.8745	0.170558319185353	-2.28187542103645
KCTD21	1887.2154	0.1404	-1887.075	7.43897891430964e-05	-8
RBFA	1951.9794	64.9147	-1887.0647	0.0321854776609243	-4.91024880244867
KLHL22	3405.8	1522.105	-1883.695	0.308874663777001	-1.16192583330769
RPUSD3	2544.0317	660.4829	-1883.5488	0.206110123511374	-1.94552353200837
UXS1	2276.927	394.38	-1882.547	0.147635595609191	-2.52942974232719
MTMR6	1995.5494	113.4296	-1882.1198	0.0537841296665353	-4.13691692059609
CDC14B	2933.427	1051.3664	-1882.0606	0.263844644994644	-1.48032155565158
OSTF1	9379.8744	7499.0486	-1880.8258	0.444284780492215	-0.322861031323008
LMLN	2640.2	759.4159	-1880.7841	0.223382853339402	-1.79768511022325
PACRGL	1880.6396	0	-1880.6396	0	-8
AKIRIN1	2916.4523	1035.8465	-1880.6058	0.26208709220062	-1.49340424956332
IMPA1	1911.871	31.6695	-1880.2015	0.0162947466234946	-5.91574728297875
KBTBD4	6184.2146	4304.3022	-1879.9124	0.410382352631594	-0.522811012083978
NDUFS3	6184.2146	4304.3022	-1879.9124	0.410382352631594	-0.522811012083978
MRPL3	1911.3654	32.318	-1879.0474	0.0166271935028102	-5.88612187805114
MLL	5425	3548.0645	-1876.9355	0.395412793477635	-0.612590901034171
SPIN3	1876.0367	0	-1876.0367	0	-8
VAPB	1959.32	83.5371	-1875.7829	0.0408922875711669	-4.55179216937178
DAP	2012.1465	137.4984	-1874.6481	0.063963308544588	-3.87124861252004
CRCP	4118.8684	2244.8836	-1873.9848	0.352761012685598	-0.875607390703447
FAM84B	2040.619	166.7236	-1873.8954	0.0755313651809194	-3.6134766049822
ZNF573	1872.7482	0	-1872.7482	0	-8
RPPH1	2148.8076	276.1352	-1872.6724	0.113872871558043	-2.96008960191287
UBE3A	6223.7445	4351.365	-1872.3795	0.411472335109154	-0.516314797662289
ZNF491	2038.7416	167.8968	-1870.8448	0.0760871377929433	-3.60203229392049
SUZ12	5382.4	3514.4882	-1867.9118	0.39502443112638	-0.614934999667417
C6orf57	1867.7184	0	-1867.7184	0	-8
ACVR2B	1988.8134	121.7979	-1867.0155	0.0577074044851366	-4.02934675787179
UACA	2342.7012	476.6886	-1866.0126	0.169075095611114	-2.29705392838303
GRHPR	3138.334	1272.491	-1865.843	0.288492742287441	-1.3023434480578
CRELD1	3789.4444	1926.2384	-1863.206	0.337009324590231	-0.976200070416356
C4orf27	1870.952	10.3208	-1860.6312	0.00548607304586554	-7.50207393267526
SLC35B3	2444.5584	583.9735	-1860.5849	0.192823955395682	-2.06559906347234
ZNF598	2781.6063	921.0791	-1860.5272	0.248759751503598	-1.59452127787152
EPS8	2118.2408	257.9178	-1860.323	0.108544017221746	-3.03788335495363
CMC1	2707.5384	847.605	-1859.9334	0.238416543197667	-1.67551779591189
HLX	1868.9832	9.4116	-1859.5716	0.00501044828275717	-7.63359787938867
CAB39L	7056.3016	5196.9912	-1859.3104	0.424130173401227	-0.441235609683678
C10orf137	4177.3115	2318.748	-1858.5635	0.356946853704157	-0.849228691189739
FLJ37035	4177.3115	2318.748	-1858.5635	0.356946853704157	-0.849228691189739
C1orf50	2990.9058	1133.2797	-1857.6261	0.274788731011251	-1.40007850220155
NDUFA8	1971.3884	113.792	-1857.5964	0.0545717770989982	-4.11474100250305
XPO4	1887.5108	30.345	-1857.1658	0.0158223574473117	-5.9588822684623
KIFAP3	3068.8634	1213.3492	-1855.5142	0.28334632428105	-1.33870961498689
AKIRIN2	11888.0964	10032.8077	-1855.2887	0.457682203901435	-0.244792316421004
ING5	2032.2	177.1267	-1855.0733	0.0801722533838024	-3.52018878786201
BMPR2	3297.759	1442.8516	-1854.9074	0.304359864528844	-1.19256304701194
C14orf28	1915.5204	61.147	-1854.3734	0.0309343898725704	-4.96931086125442
EIF4EBP1	2321.1375	467.4272	-1853.7103	0.167622863475249	-2.3120183944968
POP7	3572	1722.6752	-1849.3248	0.325359938981715	-1.05208136468917
BATF	2172.5244	324.7428	-1847.7816	0.13003926852521	-2.74200293570726
FAM76A	2410	563.8445	-1846.1555	0.189601204770458	-2.09566389788647
LOC283922	2001.4253	156.0008	-1845.4245	0.0723087571806052	-3.68140243782677
LOC339929	1844.4714	0	-1844.4714	0	-8
LPP	1844.4714	0	-1844.4714	0	-8
MORN5	1957.959	113.792	-1844.167	0.0549255195243058	-4.10487951546871
PDF	3754.8732	1911.4442	-1843.429	0.337334474062466	-0.974101104757532
C5orf24	5321.6064	3481.2406	-1840.3658	0.395467579977251	-0.61226028187615
TMED3	1856.261	16.156	-1840.105	0.00862841984451113	-6.84418571381311
EFTUD2	5889.4186	4049.9996	-1839.419	0.407468477380296	-0.540203453555795
IDH3G	4362.2638	2524.2795	-1837.9843	0.366552476334535	-0.789205355896792
PDGFC	3925.4	2088.3654	-1837.0346	0.347264194908568	-0.910465511307933
LARS2	1834.7502	0	-1834.7502	0	-8
USP35	1832.1992	0.1404	-1832.0588	7.66233508242686e-05	-8
RNF216L	1915.7236	85.1342	-1830.5894	0.0425488507978928	-4.49200680834974
UBA6	2864.3898	1035.056	-1829.3338	0.265436693593741	-1.46851901039691
PRKAB1	1828.6695	0	-1828.6695	0	-8
ELAVL1	2547.5792	719.8852	-1827.694	0.220319217555974	-1.82328823445963
CLEC2B	4126.8224	2300.7264	-1826.096	0.357947714064808	-0.84294192256878
C20orf12	2955.2248	1130.8721	-1824.3527	0.276760959829416	-1.38583210663015
POLR3F	2955.2248	1130.8721	-1824.3527	0.276760959829416	-1.38583210663015
PPDPF	1851.283	28.3536	-1822.9294	0.0150846179522148	-6.02884971933629
CCNT1	8193.6	6370.8143	-1822.7857	0.437423309222946	-0.363019678611182
APTX	4328.1952	2507.5352	-1820.66	0.366827691156456	-0.787495612559512
PM20D2	9276.6	7456.3561	-1820.2439	0.445609015851061	-0.315125373145243
MMAA	7534.4	5715.4619	-1818.9381	0.431360111006138	-0.398622531950467
PRPF39	1819.4715	2.8548	-1816.6167	0.00156656906065615	-8
PCCA	1821.3064	4.959	-1816.3474	0.00271537751303836	-8
PYCARD	4574.1166	2761.1072	-1813.0094	0.376417581151375	-0.728246240679039
POLR2B	4638.9666	2826.4636	-1812.503	0.378606928774178	-0.714805341317865
EXPH5	2561.0925	750.5759	-1810.5166	0.226645850170265	-1.77068948721851
C1orf21	3745.4	1935.2631	-1810.1369	0.340675563034182	-0.952590088557852
UQCRB	1819.1664	9.696	-1809.4704	0.0053016563739295	-7.5516720988654
FAM195A	5560.7132	3752.5804	-1808.1328	0.402927316712103	-0.567386948162455
CCDC103	5857.4826	4049.9996	-1807.483	0.408781920395476	-0.532358997974604
CPPED1	1807.4503	0	-1807.4503	0	-8
LOC550112	2840.6988	1035.056	-1805.6428	0.267059206119025	-1.45653704584765
FBXL20	3274.2502	1468.6776	-1805.5726	0.309656326625929	-1.15664683449201
SLC22A4	3327.7356	1523.7466	-1803.989	0.314078571699181	-1.12691780926351
ABCD3	1803.8064	0	-1803.8064	0	-8
SAMD15	1841.6266	39.026	-1802.6006	0.0207513072855667	-5.5604011662267
ZW10	2470.2751	668.2347	-1802.0404	0.21291464503313	-1.88624490941176
NR1H2	2362.0344	560.0559	-1801.9785	0.191662762783204	-2.07638723891443
EIF3F	1800.9234	0	-1800.9234	0	-8
MUL1	1806.6818	5.8194	-1800.8624	0.00321070132257016	-8
LOC728723	1799.6886	0	-1799.6886	0	-8
ZBED3	1799.6886	0	-1799.6886	0	-8
CBLB	1798.7925	0	-1798.7925	0	-8
LOC150381	19270.9497	17472.3418	-1798.6079	0.475524676388886	-0.141354687316991
CCDC38	3592.8537	1794.276	-1798.5777	0.333067161906275	-1.00172836412783
IGF2BP2	3030.2	1232.3582	-1797.8418	0.289112345727033	-1.29799136398545
SNORD84	12289.885	10492.5925	-1797.2925	0.460555376385206	-0.228100234351225
PDLIM5	1796.3325	0	-1796.3325	0	-8
PLXNA2	6137.6	4342.977	-1794.623	0.414383387479525	-0.498990313034648
SCML1	2250.766	456.6404	-1794.1256	0.168663411595688	-2.30128566658038
ZNF766	1984.1226	190.4835	-1793.6391	0.0875944843528214	-3.38076323379851
ACAP3	3200.1024	1406.941	-1793.1614	0.305389135253208	-1.18555624011628
MRPL45	2205.6147	412.482	-1793.1327	0.157550330360219	-2.41877771864713
FAM3A	2892.9168	1100.3365	-1792.5803	0.275548886417999	-1.39458004230984
EFCAB6	1790.9008	0	-1790.9008	0	-8
NCKIPSD	3771.657	1981.0524	-1790.6046	0.344368585696333	-0.928931440319259
YEATS2	5343.521	3553.293	-1790.228	0.399389376916276	-0.588634032231107
C9orf5	1826.64	37.1706	-1789.4694	0.0199433354440628	-5.61888654477691
KCNN2	1868.8032	80.581	-1788.2222	0.0413366436436696	-4.53553113021113
SSR4	4311.8638	2524.2795	-1787.5843	0.369254913073575	-0.772439946925619
ADAT2	1788.2032	0.728	-1787.4752	0.00040694689656036	-8
NDFIP2	2615.0616	827.9525	-1787.1091	0.240473165648668	-1.6592250236204
CCDC13	1790.3988	5.58	-1784.8188	0.00310694090598397	-8
MAGI3	1803.2	19.0585	-1784.1415	0.0104587247089258	-6.56398103405204
NADSYN1	1804.1796	22.0584	-1782.1212	0.0120786009271519	-6.35387100171204
PEX3	1782.3588	0.728	-1781.6308	0.000408280741016085	-8
FIGNL1	2172.5265	392.0733	-1780.4532	0.152878940410118	-2.47017847133804
GLOD4	1779.4499	0	-1779.4499	0	-8
RNMTL1	1779.4499	0	-1779.4499	0	-8
LOC257396	2914.4444	1136.7608	-1777.6836	0.280598178537093	-1.35829216831653
MOCS2	2914.4444	1136.7608	-1777.6836	0.280598178537093	-1.35829216831653
TALDO1	5645.4	3867.813	-1777.587	0.406572732051726	-0.545557760083396
SUDS3	2125.4059	348.2822	-1777.1237	0.140794710537679	-2.60940973996976
MTFR1	1776.942	0	-1776.942	0	-8
PCNXL2	2671.9	895.3852	-1776.5148	0.250999051043073	-1.57728563676572
MAP3K4	2319.5952	544.2375	-1775.3577	0.190038161097888	-2.09156478576757
SIGMAR1	5161.4	3389.8353	-1771.5647	0.396414691103167	-0.606547261783495
RPGR	1986.138	214.8913	-1771.2467	0.0976321850872226	-3.2082868863673
RPL23AP82	4692.256	2921.4035	-1770.8525	0.383705562351455	-0.683620091169207
GPAM	1824.636	53.9489	-1770.6871	0.0287178396887998	-5.07987133263265
LOC388796	2257.8331	488.9534	-1768.8797	0.17800924826156	-2.2071699654935
TAOK2	2680.8	911.9275	-1768.8725	0.253825958133479	-1.55567255463934
WDSUB1	3223.6797	1456.4388	-1767.2409	0.311196992127443	-1.14626332669339
FRS2	3367.8396	1603.0708	-1764.7688	0.322490383250521	-1.07098528497888
TIMM8A	2601.773	837.6034	-1764.1696	0.243533507992902	-1.6351558914257
ZDHHC7	2406.8003	644.2236	-1762.5767	0.21114996837619	-1.90148302430762
TMEM126B	3625.7726	1863.9186	-1761.854	0.33953068252728	-0.959949588646452
RPS7	2486.0885	725.5518	-1760.5367	0.225913157211285	-1.77672713172971
FAM63B	5704.061	3945.7154	-1758.3456	0.408891899298309	-0.531702510391644
USP45	4739.7609	2986.6691	-1753.0918	0.386552275759956	-0.666276876396004
DNAH14	1751.65	0	-1751.65	0	-8
WHSC1	5770.5258	4019.0855	-1751.4403	0.410545973362599	-0.521835511763871
AMDHD1	3545.626	1794.276	-1751.35	0.336012908102059	-0.982638539521734
ALG10	1750.2941	0	-1750.2941	0	-8
MBIP	1749.8988	0	-1749.8988	0	-8
NCRNA00188	4101.829	2352.1079	-1749.7211	0.364445444144333	-0.802313105444063
PHF6	3555.6597	1807.3872	-1748.2725	0.337007532043026	-0.976211644759944
ACTL6A	3694.9536	1948.0947	-1746.8589	0.345220277487258	-0.923492436761126
CROT	4853.5857	3108.3165	-1745.2692	0.390398729087629	-0.64291755427385
TP53TG1	4853.5857	3108.3165	-1745.2692	0.390398729087629	-0.64291755427385
TMEM192	3841.269	2097.6876	-1743.5814	0.353208103928559	-0.872783158548138
PERP	8327.4	6585.7543	-1741.6457	0.441607064978869	-0.33851743516784
RPS4X	2223.5702	482.5914	-1740.9788	0.178330591935086	-2.20400384110802
TUBGCP4	2929.6642	1189.2053	-1740.4589	0.288721286265564	-1.30073751337287
ZSCAN29	2929.6642	1189.2053	-1740.4589	0.288721286265564	-1.30073751337287
UQCRFS1	2368.3995	628.1814	-1740.2181	0.209632718409171	-1.91465932273037
CLU	1747.7332	7.8142	-1739.919	0.00445114726039297	-7.80517107091975
CCPG1	6614.6055	4875.4016	-1739.2039	0.42431667426907	-0.440134053217825
MCPH1	2804.76	1067.8869	-1736.8731	0.275751166469631	-1.3931184672536
SLC25A5	2326.693	591.2247	-1735.4683	0.202618703056635	-1.97650241580177
ZNF440	1902.6296	167.8968	-1734.7328	0.0810889443380195	-3.50234808920373
GAPVD1	2393.3	660.0946	-1733.2054	0.216183849935413	-1.85825654888689
NDUFB6	3020.9046	1288.3288	-1732.5758	0.29896937121113	-1.22947978763053
FNTA	12743.2	11011.0072	-1732.1928	0.463539242008464	-0.210781163183067
AQP11	1731.8688	0	-1731.8688	0	-8
SNORD49B	4083.2647	2352.1079	-1731.1568	0.365496770148165	-0.795768850618507
SS18L1	2598.834	868.5355	-1730.2985	0.250488302443682	-1.58120776179023
ZNF317	1730.0976	0	-1730.0976	0	-8
PARP2	2006.1956	276.1352	-1730.0604	0.120988245875664	-2.86101556208323
TRIM28	4998.6	3274.166	-1724.434	0.395776454936596	-0.610396615502059
GEMIN4	1723.9599	0	-1723.9599	0	-8
ARHGEF11	3152.2976	1428.951	-1723.3466	0.311913001184873	-1.14144729622426
SMN1	1719.881	0	-1719.881	0	-8
ALDH18A1	1747.8692	28.0488	-1719.8204	0.0157939724694496	-5.96151436610818
PDCD5	1728.4332	9.7544	-1718.6788	0.00561182233724369	-7.46919599809031
C3orf59	4555.38	2837.7264	-1717.6536	0.38383410794683	-0.682835907212345
AGXT2L2	2245.8168	528.3532	-1717.4636	0.190454514323203	-2.08766565870183
DPY19L4	2046.5688	329.466	-1717.1028	0.138662110504442	-2.63500567122372
SETDB2	6914.0719	5196.9912	-1717.0807	0.429111066228364	-0.411858990271746
ZNF420	1716.7878	0	-1716.7878	0	-8
ACTA2	2223.6249	509.518	-1714.1069	0.186422012548264	-2.12570842326896
DIAPH3	1711.2875	0	-1711.2875	0	-8
WDR61	1710.0754	0	-1710.0754	0	-8
DTX3L	2925.23	1215.501	-1709.729	0.293547443676008	-1.26699898264208
PARP9	2925.23	1215.501	-1709.729	0.293547443676008	-1.26699898264208
TMEM64	2418.3728	709.4718	-1708.901	0.22682450400509	-1.76921941137498
PSMD6	2812.8325	1104.0355	-1708.797	0.28186691509645	-1.34923708248304
SLC35D1	7420.908	5713.2488	-1707.6592	0.434991669963922	-0.377284363843306
PKN1	2802.0323	1094.4876	-1707.5447	0.280888492318492	-1.35621797671727
CENPH	3952.8465	2246.8578	-1705.9887	0.362413704150374	-0.814983110824138
PRDM5	12534.8	10828.9812	-1705.8188	0.463494376501009	-0.211041457997448
C10orf88	1737.996	33.2304	-1704.7656	0.0187612379761277	-5.70877729246533
CCDC14	2861.903	1157.9891	-1703.9139	0.288064721936193	-1.30535310137189
C12orf29	1700.0351	0	-1700.0351	0	-8
DICER1	3122.468	1423.5058	-1698.9622	0.313135504652491	-1.13323841545452
CLGN	1754.5008	56.3654	-1698.1354	0.0311262091036875	-4.96010696190429
ZNF623	2428.5932	732.7209	-1695.8723	0.231777316907548	-1.72878517991908
TXNDC16	1916.2133	220.7425	-1695.4708	0.103297644247017	-3.11782183467194
KIAA0664	1866.4	171.227	-1695.173	0.0840325535537171	-3.44627609568351
KIAA0947	4994.4618	3301.9405	-1692.5213	0.397996671400566	-0.597015098957591
C9orf116	1959.7634	267.8345	-1691.9289	0.120234670718625	-2.87126577735167
MRPS2	1959.7634	267.8345	-1691.9289	0.120234670718625	-2.87126577735167
C11orf67	3661.035	1970.0064	-1691.0286	0.349847614332937	-0.89405124947005
STXBP2	1699.6724	15.1013	-1684.5711	0.00880658479891545	-6.81444014378841
C3orf31	1769.9163	86.2056	-1683.7107	0.0464439323731917	-4.35975573487325
ZNF555	1989.204	307.7062	-1681.4978	0.133965272129489	-2.69256581923661
ABCC5	2142.4695	460.9963	-1681.4732	0.177070234608037	-2.21644758980264
ARMCX6	1755.267	75.9088	-1679.3582	0.0414535840851545	-4.5312795456131
FANCI	3934.7784	2256.9327	-1677.8457	0.364508721991244	-0.801918988786737
BMS1P1	1677.83	0	-1677.83	0	-8
YIPF1	1886.6232	211.4612	-1675.162	0.100787747146874	-3.15734143433452
INTS2	3744.0324	2071.7341	-1672.2983	0.356227180028634	-0.853754069806079
NAA16	1683.49	12.224	-1671.266	0.00720876279844361	-7.10559489281142
PRPF3	6309.9499	4641.1278	-1668.8221	0.423805576687672	-0.443153125785953
DTYMK	1844.2981	177.1267	-1667.1714	0.0876246793845608	-3.38021825738054
POLD1	2226.4	560.0559	-1666.3441	0.200992199445898	-1.99107007680656
SPIN4	1666.0952	0	-1666.0952	0	-8
PEX6	4018.008	2353.0462	-1664.9618	0.369333885120613	-0.771950789639252
ZNF823	2466.7776	803.5956	-1663.182	0.245719846285433	-1.61808608096035
RPP21	1797.5265	135.513	-1662.0135	0.070103585570807	-3.72950987612656
L3MBTL1	1689.9867	28.2745	-1661.7122	0.0164552979488799	-5.90136657034276
FASTKD5	3095.8341	1437.9286	-1657.9055	0.317160093094418	-1.10633612132657
UBOX5	3095.8341	1437.9286	-1657.9055	0.317160093094418	-1.10633612132657
PARS2	1661.1244	3.4941	-1657.6303	0.00209903950965341	-8
ACTR8	2942.4312	1285.8191	-1656.6121	0.304101935498	-1.19432099622981
ERO1LB	1772.2575	115.9732	-1656.2843	0.0614189780941492	-3.93372487571985
BRWD3	2537.4	884.1504	-1653.2496	0.258406364553332	-1.52098725835114
PPP4R1L	2155.0422	507.4116	-1647.6306	0.190580433733723	-2.08648771389781
RAB22A	2155.0422	507.4116	-1647.6306	0.190580433733723	-2.08648771389781
RPS6KA3	1977.4	330.1074	-1647.2926	0.143058002760901	-2.58259735249847
LOC389247	5280.9541	3634.597	-1646.3571	0.407669358767962	-0.539003193499473
OCIAD2	1645.905	0	-1645.905	0	-8
FUT9	1651.157	5.8247	-1645.3323	0.00351524703018748	-8
FLJ27352	6520.6995	4875.4016	-1645.2979	0.427813122858308	-0.419505673645091
ACTR6	2559.3207	914.1492	-1645.1715	0.26318040067081	-1.48525938347359
LOC100303728	2235.8491	591.2247	-1644.6244	0.209129560041906	-1.91904437402025
TMED9	1779.6075	135.2985	-1644.309	0.0706554264282424	-3.71734133381445
ZNF260	1643.873	0	-1643.873	0	-8
HNRNPC	7996.4	6355.5392	-1640.8608	0.442834874885758	-0.331336113340709
BET1	1924.4512	285.3285	-1639.1227	0.129120789733022	-2.75375132529123
DBIL5P	1638.9072	0	-1638.9072	0	-8
GTF3C6	7408.45	5772.7919	-1635.6581	0.437955083731526	-0.359902513236266
MTMR1	2030.8736	395.6405	-1635.2331	0.16304891861127	-2.35983842901052
ZNF362	2155.2342	520.7646	-1634.4696	0.194605692648293	-2.0491413623666
CCL5	1913.6	281.5291	-1632.0709	0.128251727882428	-2.76493333665901
TBC1D4	1631.4768	0	-1631.4768	0	-8
NRIP1	1629.28	0	-1629.28	0	-8
SHROOM1	2880.2004	1251.0072	-1629.1932	0.302818769020468	-1.20307910294438
TMEM38B	1840.0648	211.7192	-1628.3456	0.103187859930675	-3.11953256048777
TMEM135	2437.7108	809.6114	-1628.0994	0.249316621553599	-1.59022547106338
BLM	3002.5281	1375.6199	-1626.9082	0.314201324395612	-1.12609585640855
VTA1	1624.3083	0	-1624.3083	0	-8
FXR2	3975.692	2351.6276	-1624.0644	0.371662528316098	-0.757546379130991
FASTKD1	2031.3762	412.0238	-1619.3524	0.16862724073013	-2.30165786351277
C2orf64	6979.7658	5362.3052	-1617.4606	0.434473695703096	-0.380325295034479
MED1	2729.177	1112.7952	-1616.3818	0.289641658521111	-1.29427786122809
TFB1M	2930.4672	1314.3496	-1616.1176	0.309636354624303	-1.15678162476368
CCDC34	2312.205	697	-1615.205	0.231622637872794	-1.73003875158567
ZNF107	1614.522	0	-1614.522	0	-8
KLHL4	1710.8944	97.6614	-1613.233	0.0539996609449374	-4.13081844666934
OSBPL7	2185.4086	573.3314	-1612.0772	0.207823644127392	-1.93046184248147
C9orf80	1770.8115	158.7692	-1612.0423	0.0822817102181837	-3.47940767469769
UNC50	6974.0124	5362.3052	-1611.7072	0.434676325129632	-0.37913559544206
POMP	1611.624	0	-1611.624	0	-8
CASK	1857.4	246.1514	-1611.2486	0.117017059816081	-2.91566668991193
DUS2L	3249.0906	1638.1046	-1610.986	0.33518296956913	-0.988008491201383
RAB10	8304.2	6694.3606	-1609.8394	0.446333536832861	-0.310894924600357
C5orf42	1609.832	0	-1609.832	0	-8
KLHL3	2815.1214	1206.5448	-1608.5766	0.300011174472909	-1.22231565378842
AP3M2	2176.6	570.4822	-1606.1178	0.207668412688925	-1.93182252586818
PIBF1	1605.8744	0	-1605.8744	0	-8
C6orf165	1654.1627	49.061	-1605.1017	0.0288047894119839	-5.07538069140062
FLJ45244	3028.128	1423.5058	-1604.6222	0.319771540956491	-1.08897781854469
ZNF624	2160.0854	555.8209	-1604.2645	0.204653930807554	-1.95839636220001
PIGG	1622.9328	19.323	-1603.6098	0.011766132900855	-6.39214035616413
ARF3	1943.0832	343.6998	-1599.3834	0.150298388609676	-2.49912675903746
DIS3	1598.0544	0	-1598.0544	0	-8
OSGEPL1	6780.41	5183.2076	-1597.2024	0.433247515366924	-0.387527335038945
ZNF746	1671.4487	75.2025	-1596.2462	0.0430552476647885	-4.47417464326078
C1orf103	4828.4	3232.8575	-1595.5425	0.401036376768761	-0.578735281672537
C16orf68	2299.5114	704.392	-1595.1194	0.234492227679492	-1.70687692076778
C14orf142	1593.6066	0	-1593.6066	0	-8
UBR7	1593.6066	0	-1593.6066	0	-8
KCNJ11	2974.4544	1382.102	-1592.3524	0.317246438035325	-1.10576096969974
XPO5	5362.269	3769.9405	-1592.3285	0.412818004229973	-0.508301840420954
RNF2	1673.7912	84.2369	-1589.5543	0.0479155594839468	-4.31252341262328
SNRPF	1587.7155	0	-1587.7155	0	-8
LZTR1	4068.5573	2481.3508	-1587.2065	0.378837498498643	-0.713391599107812
C16orf58	3404.0414	1818.6492	-1585.3922	0.348220742771934	-0.904381295429302
POT1	3766.5058	2184.9495	-1581.5563	0.367128608022982	-0.785626815334294
PDCD7	3054.4514	1472.9928	-1581.4586	0.325347532720558	-1.05216290709868
ERCC8	1696.9584	115.567	-1581.3914	0.0637602099258857	-3.87614979629378
NDUFAF2	1696.9584	115.567	-1581.3914	0.0637602099258857	-3.87614979629378
ZNF721	1599.952	19.323	-1580.629	0.0119331182164858	-6.37156571563527
CSTF2	1580.5072	0	-1580.5072	0	-8
TPBG	1579.964	0	-1579.964	0	-8
ORAOV1	1907.3446	327.544	-1579.8006	0.146559430300016	-2.5418048924771
POLH	5349.3795	3769.9405	-1579.439	0.413401492655154	-0.504829802161886
EIF2S2	9435.2	7857.7018	-1577.4982	0.454388852193679	-0.263945680753591
C10orf84	2091.1084	515.7387	-1575.3697	0.197840026751089	-2.01955563940559
ZNF548	1580.373	9.7152	-1570.6578	0.00610984975550413	-7.34580569260416
SUMF1	1569.0814	0	-1569.0814	0	-8
PTBP2	1708.8426	140.346	-1568.4966	0.0758959902737882	-3.60595966644147
CCDC55	3563.622	1995.6259	-1567.9961	0.358974079929049	-0.836503017203275
MIR423	3563.622	1995.6259	-1567.9961	0.358974079929049	-0.836503017203275
DYNC2H1	1651.6976	84.372	-1567.3256	0.0485994340319075	-4.29104146549343
CHM	1569.1104	2.4219	-1566.6885	0.00154110736381301	-8
KCTD11	3493.8736	1927.3107	-1566.5629	0.355514698144463	-0.858238250004856
MIR3184	3562.027	1995.6259	-1566.4011	0.359077102494112	-0.83585715361144
C6orf52	8202.7749	6636.9925	-1565.7824	0.447243701407342	-0.305582394720857
CNOT7	5331.7171	3766.5347	-1565.1824	0.413984442593686	-0.501362412778912
VPS37A	5331.7171	3766.5347	-1565.1824	0.413984442593686	-0.501362412778912
ZDHHC21	1564.3841	0	-1564.3841	0	-8
ZDHHC23	2770.1568	1206.0192	-1564.1376	0.303311322235233	-1.19971476454294
FAM192A	5483.86	3921.1698	-1562.6902	0.416922634312121	-0.483907623544455
CCDC92	3343.1924	1780.505	-1562.6874	0.347503933389977	-0.908939897060844
BUD13	4641.2	3078.7058	-1562.4942	0.398800954281074	-0.59217385734146
UEVLD	1655.676	93.2192	-1562.4568	0.053301764451066	-4.15064943674212
BRCA1	2483.3663	921.6137	-1561.7526	0.270666406263767	-1.43006300869879
MRPS22	1606.8876	45.836	-1561.0516	0.0277336149855911	-5.13164405842155
ARL13B	1989.5788	429.0972	-1560.4816	0.17740995486787	-2.21308664790988
RBM3	4138.706	2578.445	-1560.261	0.383859913228093	-0.682678495728251
CHRNA1	2226.7336	667.546	-1559.1876	0.230643231566156	-1.73798980839859
ARFGAP3	2094.5977	538.1385	-1556.4592	0.204402742667496	-1.96062374834099
