REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X34_0EXA_0229Kronos_MM1S.No.Treatment.2_p300_hs_i50.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
1_MACS_peak_12824_lociStitched	chr7	130807965	130810157	1	2193	6878.2768	964.0416	167	MKLN1	FLJ43663	MKLN1	FLJ43663	0.0421	167	1
1_MACS_peak_11824_lociStitched	chr6	90993751	90997096	1	3346	6975.9975	1070.7345	168	BACH2		BACH2	BACH2	0.024400000000000005	168	1
4_MACS_peak_3467_lociStitched	chr12	123371463	123386878	4	6491	8142.203	2255.2145	169	VPS37B		VPS37B	VPS37B	0.1986	169	1
3_MACS_peak_4192_lociStitched	chr15	40834907	40843785	3	5506	7977.7708	2131.6078	170		RPUSD2,CASC5,MRPL42P5,C15orf57	MRPL42P5	C15orf57	0.1686	170	1
1_MACS_peak_9514_lociStitched	chr3	193800826	193803735	1	2910	7225.956	1380.3205	171			HES1	HES1	0.5004	171	1
1_MACS_peak_605_lociStitched	chr1	143461935	143468729	1	6795	8926.6366	3088.5524	172			LOC100130000	LOC100130000	NONE	172	1
3_MACS_peak_6046_lociStitched	chr19	2618177	2632167	3	7830	10016.84	4188.606	173	GNG7		GNG7	GNG7	0.12440000000000001	173	1
3_MACS_peak_11810_lociStitched	chr6	90059539	90068848	3	8553	8271.0465	2477.1249	174	UBE2J1	GABRR2	UBE2J1	UBE2J1	0.21230000000000002	174	1
1_MACS_peak_7166_lociStitched	chr2	146168607	146170638	1	2032	6278.0241	487.2369	175			DKFZp686O1327	DKFZp686O1327	NONE	175	1
1_MACS_peak_12838_lociStitched	chr7	133928801	133932009	1	3209	6790.3736	1004.7456	176	LRGUK		SLC35B4	SLC35B4	NONE	176	1
2_MACS_peak_3373_lociStitched	chr12	102871835	102878937	2	6586	7332.815	1551.787	177	IGF1		IGF1	IGF1	0.0658	177	1
2_MACS_peak_1026_lociStitched	chr1	192507027	192515022	2	4868	8230.053	2454.465	178		RGS1	RGS1	RGS1	0.5355	178	1
1_MACS_peak_14356_lociStitched	chrX	48793930	48798441	1	4512	6555.8363	781.7563	179	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	OTUD5	0.18660000000000002	179	1
1_MACS_peak_7903_lociStitched	chr20	42696840	42699694	1	2855	6731.159	993.4774	180	TOX2		JPH2	JPH2	NONE	180	1
2_MACS_peak_11798_lociStitched	chr6	88627851	88636489	2	3348	7632.5368	1910.7256	181			SPACA1	SPACA1	NONE	181	1
1_MACS_peak_4907_lociStitched	chr16	66555591	66559704	1	4114	7073.1261	1364.2821	182	TK2	CKLF,CMTM1	TK2	TK2	0.17129999999999998	182	1
3_MACS_peak_14374_lociStitched	chrX	58150324	58159484	3	5933	6501.768	817.072	183			ZXDA	ZXDA	NONE	183	1
2_MACS_peak_6278_lociStitched	chr19	42039052	42047398	2	4685	7543.9494	1859.4888	184		CEACAM21	CEACAM21	NONE	NONE	184	1
1_MACS_peak_10768_lociStitched	chr5	88565983	88568771	1	2789	6653.562	971.618	185			MEF2C	MEF2C	0.09260000000000002	185	1
1_MACS_peak_6585_lociStitched	chr2	37601707	37606152	1	4446	6985.3175	1312.164	186		QPCT	QPCT	QPCT	0.372	186	1
1_MACS_peak_9357_lociStitched	chr3	169974250	169977457	1	3208	7000.881	1334.4327	187	PRKCI		PRKCI	PRKCI	0.0628	187	1
3_MACS_peak_12402_lociStitched	chr7	44668921	44679480	3	5348	8394.405	2728.4456	188	OGDH	TMED4	OGDH	OGDH	0.061	188	1
3_MACS_peak_12463_lociStitched	chr7	55570419	55585535	3	5929	8650.8868	2988.4332	189	VOPP1		VOPP1	VOPP1	0.2693	189	1
2_MACS_peak_1154_lociStitched	chr1	209275957	209282511	2	4433	8020.7852	2365.994	190			LOC642587	LOC642587	NONE	190	1
3_MACS_peak_12607_lociStitched	chr7	92438249	92445303	3	5461	7345.3302	1704.9518	191	CDK6		CDK6	CDK6	0.06839999999999999	191	1
2_MACS_peak_5733_lociStitched	chr18	13610376	13614480	2	4076	6600.0528	967.7232	192	C18orf1	C18orf1	C18orf1	C18orf1	0.017700000000000007	192	1
2_MACS_peak_627_lociStitched	chr1	145152719	145160925	2	5396	9278.5242	3649.2082	193		NOTCH2NL	NOTCH2NL	NOTCH2NL	0.04849999999999999	193	1
3_MACS_peak_1957_lociStitched	chr10	104531543	104542624	3	6005	8177.778	2570.792	194	C10orf26		C10orf26	C10orf26	0.1056	194	1
3_MACS_peak_13562_lociStitched	chr8	137189601	137200688	3	4965	7898.3788	2297.2264	195			KHDRBS3	KHDRBS3	NONE	195	1
3_MACS_peak_2222_lociStitched	chr11	21432305	21437822	3	4640	6785.3583	1244.0835	196	NELL1		NELL1	NONE	NONE	196	1
3_MACS_peak_6753_lociStitched	chr2	64430741	64442835	3	6203	8203.3602	2666.727	197	LOC150992		LOC150992	LOC150992	0.07830000000000001	197	1
2_MACS_peak_629_lociStitched	chr1	145187821	145197473	2	7364	11328.5524	5797.9564	198		NOTCH2NL	NOTCH2NL	NOTCH2NL	0.04849999999999999	198	1
3_MACS_peak_5891_lociStitched	chr18	52930920	52936726	3	5225	6863.2726	1335.38	199	TCF4		CCDC68	CCDC68	NONE	199	1
1_MACS_peak_667_lociStitched	chr1	149221966	149225744	1	3779	8340.6906	2816.8768	200			LOC388692	LOC388692	NONE	200	1
1_MACS_peak_1226_lociStitched	chr1	221949522	221952521	1	3000	6789.1362	1276.0745	201		DUSP10	DUSP10	NONE	NONE	201	1
1_MACS_peak_1992_lociStitched	chr10	112217360	112222111	1	4752	7025.7788	1512.7184	202		DUSP5	DUSP5	DUSP5	0.1962	202	1
2_MACS_peak_8813_lociStitched	chr3	46579150	46588064	2	3641	7410.2082	1919.1842	203	LRRC2	RTP3,TDGF1	LRRC2	LRRC2	0.1059	203	1
2_MACS_peak_8046_lociStitched	chr20	60912110	60915827	2	3667	6725.9115	1235.9025	204	LAMA5	ADRM1,RPS21	LAMA5	LAMA5	0.08809999999999998	204	1
2_MACS_peak_14119_lociStitched	chr9	128394192	128398971	2	3074	6684.8652	1201.9185	205	MAPKAP1		MAPKAP1	MAPKAP1	0.0363	205	1
4_MACS_peak_9716_lociStitched	chr4	38307638	38322116	4	7238	8995.1814	3526.8408	206			KLF3	KLF3	NONE	206	1
1_MACS_peak_1858_lociStitched	chr10	90144531	90147379	1	2849	6262.4672	817.6608	207	RNLS		RNLS	RNLS	0.033299999999999996	207	1
3_MACS_peak_162_lociStitched	chr1	27018376	27030179	3	5784	7877.3222	2442.0407	208	ARID1A		ARID1A	ARID1A	0.09240000000000001	208	1
1_MACS_peak_13150_lociStitched	chr8	33410904	33413641	1	2738	6402.6641	974.372	209	RNF122	C8orf41,DUSP26	RNF122	RNF122	0.29059999999999997	209	1
1_MACS_peak_13509_lociStitched	chr8	126953526	126955446	1	1921	5918.016	491.712	210			TRIB1	TRIB1	0.2734	210	1
1_MACS_peak_11808_lociStitched	chr6	90006922	90009520	1	2599	6190.5144	780.9588	211	GABRR2		GABRR2	GABRR2	0.0877	211	1
2_MACS_peak_12682_lociStitched	chr7	104596689	104604955	2	4305	7342.6878	1943.3366	212		MLL5,LOC723809,LOC100216545	LOC723809	LOC100216545	0.41640000000000005	212	1
2_MACS_peak_6164_lociStitched	chr19	16476768	16483719	2	4613	6783.4809	1385.3343	213	EPS15L1	KLF2	KLF2	KLF2	0.257	213	1
2_MACS_peak_636_lociStitched	chr1	145449784	145456727	2	5189	8118.4499	2735.542	214	POLR3GL	HFE2,TXNIP,ANKRD34A,LIX1L	TXNIP	TXNIP	0.18980000000000002	214	1
2_MACS_peak_4041_lociStitched	chr14	106161959	106168346	2	3691	6492.3855	1115.1702	215			TMEM121	TMEM121	0.027900000000000008	215	1
1_MACS_peak_13547_lociStitched	chr8	134245967	134248360	1	2394	6437.6486	1062.492	216		WISP1	WISP1	WISP1	0.05729999999999999	216	1
2_MACS_peak_570_lociStitched	chr1	118166009	118177783	2	6945	7246.897	1873.2434	217	FAM46C		FAM46C	FAM46C	0.27190000000000003	217	1
1_MACS_peak_7460_lociStitched	chr2	204891123	204893011	1	1889	5942.2912	574.3296	218			ICOS	ICOS	NONE	218	1
2_MACS_peak_1098_lociStitched	chr1	203267640	203278416	2	8007	9535.6824	4168.1568	219	BTG2,LOC730227	FMOD	LOC730227	LOC730227	0.3515	219	1
2_MACS_peak_3401_lociStitched	chr12	108955896	108963404	2	6213	7752.7608	2393.5504	220	ISCU	FICD,SART3,TMEM119	ISCU	ISCU	0.3925	220	1
2_MACS_peak_11986_lociStitched	chr6	130834226	130839537	2	3558	6763.5585	1408.4772	221			TMEM200A	TMEM200A	NONE	221	1
2_MACS_peak_2655_lociStitched	chr11	117878260	117883358	2	4179	6475.4796	1123.5992	222		IL10RA	IL10RA	IL10RA	0.08450000000000002	222	1
4_MACS_peak_4417_lociStitched	chr15	74832466	74845929	4	6692	8061.6444	2714.1408	223	ARID3B		ARID3B	ARID3B	0.06720000000000001	223	1
2_MACS_peak_8083_lociStitched	chr21	19152285	19157819	2	3719	6696.14	1358.0436	224		C21orf91	C21orf91	C21orf91	0.08959999999999999	224	1
1_MACS_peak_8068_lociStitched	chr21	9962954	9969436	1	6483	8219.176	2896.8058	225	LOC100132288		LOC100132288	LOC100132288	0.11880000000000002	225	1
2_MACS_peak_12455_lociStitched	chr7	52775519	52780608	2	3671	6155.6544	845.2829	226			POM121L12	POM121L12	NONE	226	1
1_MACS_peak_1013_lociStitched	chr1	187153858	187155633	1	1776	6129.2525	823.245	227			PLA2G4A	PLA2G4A	NONE	227	1
2_MACS_peak_1029_lociStitched	chr1	192573523	192579699	2	3552	7062.256	1784.864	228		RGS1,RGS13	RGS13	RGS1	0.5355	228	1
2_MACS_peak_1434_lociStitched	chr10	3846775	3854368	2	4618	6991.6344	1720.5738	229		KLF6	KLF6	KLF6	0.1529	229	1
2_MACS_peak_2965_lociStitched	chr12	27331108	27339671	2	4321	7483.2057	2213.5355	230			STK38L	STK38L	NONE	230	1
2_MACS_peak_10325_lociStitched	chr4	185201627	185210653	2	7347	7966.3476	2708.7026	231			ENPP6	ENPP6	NONE	231	1
2_MACS_peak_1131_lociStitched	chr1	206728390	206737435	2	7895	8675.964	3425.3415	232	RASSF5	LGTN	RASSF5	RASSF5	0.07939999999999997	232	1
2_MACS_peak_2041_lociStitched	chr10	125156947	125163092	2	3061	6679.615	1429.327	233			BUB3	BUB3	NONE	233	1
1_MACS_peak_12856_lociStitched	chr7	137435264	137437210	1	1947	5915.4508	672.343	234	DGKI		DGKI	NONE	NONE	234	1
2_MACS_peak_673_lociStitched	chr1	149802725	149815484	2	7532	8927.4723	3689.9028	235	HIST2H4B,HIST2H3A,HIST2H2AA4	FCGR1A,HIST2H2AC,HIST2H2BF,HIST2H3D,HIST2H2BC,HIST2H2BE,HIST2H2AB	HIST2H3A	HIST2H2AB	0.39490000000000003	235	1
1_MACS_peak_8494_lociStitched	chr22	39841895	39844942	1	3048	6262.8038	1030.4954	236		TAB1,MGAT3	MGAT3	TAB1	0.03390000000000001	236	1
2_MACS_peak_675_lociStitched	chr1	149821514	149834232	2	7824	9126.4368	3912.0568	237	HIST2H2AA4,HIST2H3A,HIST2H2BC,HIST2H4B	HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AB	0.39490000000000003	237	1
2_MACS_peak_2614_lociStitched	chr11	111241196	111250882	2	6649	7673.2492	2461.2126	238	POU2AF1		POU2AF1	POU2AF1	0.17220000000000002	238	1
2_MACS_peak_13104_lociStitched	chr8	26428466	26435996	2	5379	7063.14	1853.133	239	DPYSL2		DPYSL2	DPYSL2	0.029800000000000007	239	1
1_MACS_peak_9289_lociStitched	chr3	156534156	156536531	1	2376	5915.8875	706.8	240		LEKR1,PA2G4P4	PA2G4P4	PA2G4P4	0.06869999999999998	240	1
1_MACS_peak_6564_lociStitched	chr2	33700264	33705057	1	4794	6680.4834	1481.037	241	RASGRP3	RASGRP3	RASGRP3	RASGRP3	0.0862	241	1
2_MACS_peak_10626_lociStitched	chr5	58853103	58860206	2	3242	6445.2622	1249.4177	242	PDE4D		PDE4D	PDE4D	0.009900000000000006	242	1
1_MACS_peak_8180_lociStitched	chr21	36237010	36239159	1	2150	5982.1713	787.1787	243	RUNX1		RUNX1	RUNX1	0.05160000000000001	243	1
2_MACS_peak_6491_lociStitched	chr2	20405921	20414646	2	6763	7571.555	2380.18	244	SDC1		SDC1	SDC1	0.22749999999999998	244	1
3_MACS_peak_14161_lociStitched	chr9	132769076	132779720	3	4496	6820.6752	1629.5964	245	FNBP1	GPR107	FNBP1	FNBP1	0.07930000000000001	245	1
4_MACS_peak_6986_lociStitched	chr2	109823563	109842305	4	6705	8825.6078	3639.6964	246	SH3RF3		MIR4265	MIR4265	NONE	246	1
1_MACS_peak_13140_lociStitched	chr8	29630159	29633634	1	3476	6313.7275	1149.1825	247		C8orf75	C8orf75	C8orf75	0.09660000000000002	247	1
2_MACS_peak_13485_lociStitched	chr8	126163251	126167532	2	2826	6024.6513	866.0463	248	NSMCE2		NSMCE2	NSMCE2	0.09670000000000001	248	1
3_MACS_peak_4081_lociStitched	chr15	23660819	23669233	3	4782	6951.6468	1793.8648	249			MKRN3	MKRN3	NONE	249	1
1_MACS_peak_9987_lociStitched	chr4	100766636	100770077	1	3442	6004.8891	850.2711	250	DAPP1	MAPKSP1	DAPP1	DAPP1	0.17320000000000002	250	1
2_MACS_peak_736_lociStitched	chr1	154756927	154765064	2	4401	7958.7997	2818.6568	251	KCNN3		KCNN3	KCNN3	0.06409999999999999	251	1
3_MACS_peak_824_lociStitched	chr1	161145190	161156730	3	7219	9031.204	3897.058	252	B4GALT3	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,ADAMTS4,APOA2	B4GALT3	B4GALT3	0.19230000000000003	252	1
2_MACS_peak_3364_lociStitched	chr12	102130768	102138769	2	3284	6563.2203	1436.1795	253	SYCP3	CHPT1	SYCP3	SYCP3	0.25060000000000004	253	1
1_MACS_peak_12685_lociStitched	chr7	104651861	104655924	1	4064	6335.0296	1220.5252	254	MLL5,LOC100216545		LOC100216545	LOC100216545	0.41640000000000005	254	1
2_MACS_peak_13644_lociStitched	chr9	9606314	9613142	2	2741	6306.3408	1209.2388	255	PTPRD		PTPRD	NONE	NONE	255	1
3_MACS_peak_2366_lociStitched	chr11	60672817	60683708	3	6621	7672.7095	2581.167	256	TMEM109,PRPF19	ZP1,TMEM132A,GPR44,SLC15A3	TMEM109	TMEM109	0.189	256	1
2_MACS_peak_8610_lociStitched	chr3	8699321	8707990	2	3217	6818.1685	1772.8105	257		C3orf32	C3orf32	NONE	NONE	257	1
4_MACS_peak_8274_lociStitched	chr21	45194749	45210156	4	7722	9458.3573	4434.1346	258	RRP1,CSTB	LOC284837	CSTB	CSTB	0.12200000000000003	258	1
3_MACS_peak_11870_lociStitched	chr6	106545139	106555687	3	5555	7643.0808	2634.8904	259	PRDM1		PRDM1	PRDM1	0.2733	259	1
2_MACS_peak_8477_lociStitched	chr22	39377444	39382059	2	3542	6151.3335	1154.2115	260	APOBEC3A,APOBEC3B	APOBEC3C,APOBEC3D	APOBEC3B	APOBEC3B	0.24930000000000002	260	1
2_MACS_peak_14059_lociStitched	chr9	117210677	117215833	2	3648	6535.7456	1554.534	261	DFNB31		DFNB31	DFNB31	0.0794	261	1
1_MACS_peak_1718_lociStitched	chr10	63804655	63811593	1	6939	6770.1004	1790.004	262	ARID5B		ARID5B	ARID5B	0.06490000000000001	262	1
3_MACS_peak_2467_lociStitched	chr11	71414473	71426506	3	6996	8039.2473	3064.8051	263			FAM86C	FAM86C	NONE	263	1
1_MACS_peak_2476_lociStitched	chr11	72863067	72866212	1	3146	6200.3675	1226.55	264		FCHSD2	FCHSD2	NONE	NONE	264	1
2_MACS_peak_4694_lociStitched	chr16	12056691	12064871	2	7122	7371.816	2411.464	265	TNFRSF17	RUNDC2A,GSPT1	TNFRSF17	TNFRSF17	0.39490000000000003	265	1
2_MACS_peak_14158_lociStitched	chr9	132646600	132657589	2	6523	7242.8499	2302.1955	266	FNBP1	USP20,C9orf78	USP20	C9orf78	0.028200000000000003	266	1
4_MACS_peak_4358_lociStitched	chr15	67366056	67384433	4	5086	8124.4717	3193.9226	267	SMAD3	SMAD3	SMAD3	SMAD3	0.05560000000000001	267	1
3_MACS_peak_6625_lociStitched	chr2	42344762	42357690	3	6556	7818.8544	2893.2864	268		EML4	EML4	EML4	0.005699999999999997	268	1
1_MACS_peak_5438_lociStitched	chr17	56697470	56699377	1	1908	5661.883	760.893	269	TEX14		TEX14	TEX14	0.06330000000000002	269	1
2_MACS_peak_774_lociStitched	chr1	156469819	156476107	2	4226	7063.3104	2167.4736	270	MEF2D		MEF2D	MEF2D	0.171	270	1
3_MACS_peak_279_lociStitched	chr1	40846780	40858198	3	5085	7701.441	2813.3952	271	SMAP2	SMAP2	SMAP2	SMAP2	0.11180000000000001	271	1
2_MACS_peak_13259_lociStitched	chr8	60963519	60970448	2	3170	6095.4413	1228.5117	272			CA8	CA8	NONE	272	1
2_MACS_peak_6623_lociStitched	chr2	42328205	42333934	2	4543	6296.7439	1448.2912	273			PKDCC	PKDCC	NONE	273	1
2_MACS_peak_13023_lociStitched	chr8	11387776	11396152	2	3154	6596.9376	1769.8488	274	BLK		BLK	BLK	0.08100000000000002	274	1
3_MACS_peak_9734_lociStitched	chr4	40302983	40310900	3	5052	6899.6655	2079.7959	275		CHRNA9	CHRNA9	NONE	NONE	275	1
2_MACS_peak_11659_lociStitched	chr6	52254295	52259931	2	3231	6013.612	1197.65	276	PAQR8	EFHC1	EFHC1	EFHC1	0.055800000000000016	276	1
1_MACS_peak_12697_lociStitched	chr7	105985555	105988701	1	3147	6005.714	1196.7384	277			NAMPT	NAMPT	NONE	277	1
1_MACS_peak_2748_lociStitched	chr11	129286886	129288983	1	2098	5365.5939	559.2699	278	BARX2		BARX2	BARX2	0.10830000000000001	278	1
3_MACS_peak_1292_lociStitched	chr1	228725643	228732971	3	3685	6092.4992	1312.4448	279		DUSP5P	DUSP5P	DUSP5P	0.05180000000000001	279	1
1_MACS_peak_1351_lociStitched	chr1	235242097	235243929	1	1833	5507.1752	730.968	280		SNORA14B,TOMM20	SNORA14B	SNORA14B	0.1036	280	1
1_MACS_peak_12823_lociStitched	chr7	130790808	130796680	1	5873	6716.9808	1943.0448	281	MKLN1,FLJ43663		FLJ43663	FLJ43663	0.0421	281	1
2_MACS_peak_13896_lociStitched	chr9	93909650	93914433	2	3268	5845.3043	1071.392	282			LOC100129316	NONE	NONE	282	1
1_MACS_peak_5829_lociStitched	chr18	42338269	42340742	1	2474	5411.1713	642.7327	283	SETBP1		SETBP1	SETBP1	0.067	283	1
2_MACS_peak_1306_lociStitched	chr1	230239240	230246651	2	4472	7164.2137	2398.1996	284	GALNT2		GALNT2	GALNT2	0.0718	284	1
1_MACS_peak_7788_lociStitched	chr20	24822560	24824591	1	2032	5487.9651	727.098	285			CST7	CST7	NONE	285	1
1_MACS_peak_9481_lociStitched	chr3	186713321	186719497	1	6177	7397.6128	2640.24	286	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	0.08080000000000001	286	1
3_MACS_peak_6633_lociStitched	chr2	43444445	43457163	3	6172	7788.5032	3033.243	287	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	0.33270000000000005	287	1
1_MACS_peak_4534_lociStitched	chr15	90638123	90643859	1	5737	6579.7656	1829.784	288	IDH2		IDH2	IDH2	0.21269999999999997	288	1
2_MACS_peak_5098_lociStitched	chr17	6064030	6070605	2	3949	6326.465	1577.3425	289			WSCD1	WSCD1	NONE	289	1
1_MACS_peak_4160_lociStitched	chr15	34894842	34896212	1	1371	5086.262	338.39	290		GOLGA8B	GOLGA8B	GOLGA8B	0.0021000000000000046	290	1
2_MACS_peak_2338_lociStitched	chr11	58340767	58346523	2	5516	6428.3008	1685.9324	291	LPXN	ZFP91-CNTF,CNTF	LPXN	LPXN	0.1104	291	1
2_MACS_peak_8250_lociStitched	chr21	43647506	43655675	2	5171	7477.0857	2735.7981	292	ABCG1		ABCG1	ABCG1	0.04420000000000002	292	1
4_MACS_peak_3237_lociStitched	chr12	77454052	77465011	4	5664	6897.5946	2162.2107	293	E2F7		E2F7	E2F7	0.0743	293	1
3_MACS_peak_11889_lociStitched	chr6	108879321	108889957	3	9153	7088.894	2354.8104	294	FOXO3		FOXO3	FOXO3	0.2313	294	1
1_MACS_peak_608_lociStitched	chr1	143741202	143746085	1	4884	6501.2262	1771.5524	295	LOC100286793,FLJ39739	PPIAL4G	FLJ39739	FLJ39739	0.0806	295	1
2_MACS_peak_4520_lociStitched	chr15	89655082	89660426	2	4662	5995.968	1267.5968	296	ABHD2		ABHD2	ABHD2	0.07200000000000001	296	1
1_MACS_peak_6862_lociStitched	chr2	86262468	86266413	1	3946	5908.821	1181.5275	297	POLR1A	LOC90784	LOC90784	NONE	NONE	297	1
4_MACS_peak_13498_lociStitched	chr8	126441477	126449908	4	7209	6513.7906	1799.1754	298	TRIB1		TRIB1	TRIB1	0.2734	298	1
1_MACS_peak_3199_lociStitched	chr12	68767307	68769762	1	2456	5446.663	735.518	299		MDM1	MDM1	MDM1	0.0032999999999999974	299	1
1_MACS_peak_9482_lociStitched	chr3	186779983	186785612	1	5630	6933.2393	2232.4614	300	ST6GAL1		ST6GAL1	ST6GAL1	0.08080000000000001	300	1
1_MACS_peak_12023_lociStitched	chr6	135907537	135909016	1	1480	5135.9754	446.3622	301	NCRNA00271		NCRNA00271	NCRNA00271	0.03429999999999998	301	1
2_MACS_peak_3749_lociStitched	chr13	114557123	114566621	2	8849	7337.205	2651.8416	302	GAS6	FLJ44054,GAS6	GAS6	GAS6	0.09410000000000002	302	1
2_MACS_peak_9450_lociStitched	chr3	183228830	183235093	2	4572	7103.4946	2423.781	303	KLHL6		KLHL6	KLHL6	0.2156	303	1
2_MACS_peak_11207_lociStitched	chr5	172191647	172200111	2	4428	6289.5984	1619.1632	304	DUSP1		DUSP1	DUSP1	0.37060000000000004	304	1
2_MACS_peak_6580_lociStitched	chr2	37541743	37553320	2	11449	7549.3617	2882.673	305	PRKD3	QPCT	PRKD3	QPCT	0.372	305	1
3_MACS_peak_4381_lociStitched	chr15	70047342	70053912	3	4751	6316.398	1654.326	306			C15orf50	C15orf50	NONE	306	1
1_MACS_peak_4669_lociStitched	chr16	11057642	11060246	1	2605	5367.8856	714.0168	307	CLEC16A	DEXI	CLEC16A	DEXI	0.027900000000000008	307	1
1_MACS_peak_13171_lociStitched	chr8	37737753	37740976	1	3224	5494.5704	848.2936	308	RAB11FIP1	BRF2	RAB11FIP1	RAB11FIP1	0.20740000000000003	308	1
4_MACS_peak_5607_lociStitched	chr17	76763592	76776877	4	7662	7369.1895	2738.0385	309	CYTH1		CYTH1	CYTH1	0.1463	309	1
2_MACS_peak_8364_lociStitched	chr22	24822884	24831518	2	3803	6430.6032	1804.506	310	ADORA2A,C22orf45		ADORA2A	ADORA2A	0.1874	310	1
1_MACS_peak_10953_lociStitched	chr5	129659078	129661539	1	2462	5356.1204	736.5773	311			CHSY3	CHSY3	NONE	311	1
1_MACS_peak_12964_lociStitched	chr7	156714703	156716840	1	2138	5255.0967	636.826	312		NOM1,LMBR1	NOM1	NOM1	0.005900000000000016	312	1
1_MACS_peak_8244_lociStitched	chr21	43481066	43485747	1	4682	6744.8529	2138.7489	313	UMODL1	C21orf121,UMODL1,C21orf128	UMODL1	UMODL1	0.07790000000000002	313	1
2_MACS_peak_12785_lociStitched	chr7	122824029	122831873	2	3471	6852.5184	2248.0904	314	SLC13A1		SLC13A1	SLC13A1	0.042300000000000004	314	1
1_MACS_peak_1436_lociStitched	chr10	3915430	3918528	1	3099	5402.912	804.8604	315			KLF6	KLF6	0.1529	315	1
1_MACS_peak_11044_lociStitched	chr5	141243690	141245330	1	1641	5225.532	632.712	316	PCDH1	LOC729080	PCDH1	PCDH1	0.1685	316	1
1_MACS_peak_2519_lociStitched	chr11	82679387	82681900	1	2514	5437.3781	870.7545	317			C11orf82	C11orf82	NONE	317	1
1_MACS_peak_3644_lociStitched	chr13	78690502	78692667	1	2166	5124.988	565.065	318			EDNRB	EDNRB	NONE	318	1
1_MACS_peak_12048_lociStitched	chr6	138270427	138274211	1	3785	5448.5816	888.8616	319			TNFAIP3	TNFAIP3	NONE	319	1
3_MACS_peak_4239_lociStitched	chr15	46995111	47008072	3	4815	7045.5996	2488.512	320			SEMA6D	SEMA6D	NONE	320	1
1_MACS_peak_7887_lociStitched	chr20	40710949	40713203	1	2255	5130.5548	580.405	321	PTPRT		CHD6	CHD6	NONE	321	1
2_MACS_peak_689_lociStitched	chr1	150583199	150587195	2	3995	6047.5464	1503.2952	322		MCL1,ENSA	ENSA	MCL1	0.1668	322	1
2_MACS_peak_9552_lociStitched	chr3	197456547	197464904	2	6283	7070.022	2532.171	323	KIAA0226	FYTTD1	KIAA0226	KIAA0226	0.11069999999999999	323	1
1_MACS_peak_7568_lociStitched	chr2	228275070	228277424	1	2355	5117.1252	586.8522	324		TM4SF20	TM4SF20	NONE	NONE	324	1
1_MACS_peak_7888_lociStitched	chr20	40721137	40723435	1	2299	5026.4154	497.9766	325	PTPRT		CHD6	CHD6	NONE	325	1
2_MACS_peak_10425_lociStitched	chr5	6480077	6486487	2	5231	6086.295	1565.322	326	UBE2QL1		UBE2QL1	UBE2QL1	0.12329999999999999	326	1
3_MACS_peak_10958_lociStitched	chr5	130709574	130718540	3	6264	6562.2154	2047.8344	327	CDC42SE2		CDC42SE2	CDC42SE2	0.04769999999999999	327	1
1_MACS_peak_9452_lociStitched	chr3	183242805	183246566	1	3762	6152.2438	1643.1809	328	KLHL6		KLHL6	KLHL6	0.2156	328	1
3_MACS_peak_4923_lociStitched	chr16	68285077	68299147	3	5890	7461.321	2977.212	329	PLA2G15,SLC7A6	PRMT7,ESRP2,SLC7A6OS	SLC7A6	ESRP2	0.08080000000000001	329	1
3_MACS_peak_612_lociStitched	chr1	143991938	144001519	3	5630	6845.6245	2363.6327	330	SRGAP2P2		SRGAP2P2	SRGAP2P2	0.044800000000000006	330	1
4_MACS_peak_8599_lociStitched	chr3	5233188	5241655	4	5896	6443.387	1966.0374	331	EDEM1		EDEM1	EDEM1	0.22399999999999998	331	1
2_MACS_peak_3274_lociStitched	chr12	89738476	89749093	2	6711	7193.0175	2716.8903	332	DUSP6		DUSP6	DUSP6	0.31639999999999996	332	1
1_MACS_peak_2086_lociStitched	chr11	267484	270332	1	2849	5404.08	945.536	333		PSMD13,NLRP6,ATHL1,IFITM2,IFITM1,SIRT3,IFITM5	NLRP6	SIRT3	0.027400000000000008	333	1
1_MACS_peak_7149_lociStitched	chr2	137138652	137141257	1	2606	5142.0095	686.9385	334			CXCR4	CXCR4	NONE	334	1
1_MACS_peak_9519_lociStitched	chr3	194023305	194026335	1	3031	5593.986	1146.552	335	LOC100131551	CPN2	LOC100131551	LOC100131551	0.244	335	1
4_MACS_peak_3477_lociStitched	chr12	125398591	125406473	4	6604	5652.1822	1217.769	336	UBC		UBC	UBC	0.2787	336	1
1_MACS_peak_2579_lociStitched	chr11	102186824	102190186	1	3363	5533.852	1106.4342	337	BIRC3	BIRC2	BIRC3	BIRC3	0.16810000000000003	337	1
1_MACS_peak_8261_lociStitched	chr21	44581713	44586304	1	4592	6321.3479	1903.8877	338		CRYAA	CRYAA	CRYAA	0.22390000000000002	338	1
