REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X34_0EXA_0229Kronos_MM1S.No.Treatment.2_p300_hs_i50.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
3_MACS_peak_6753_lociStitched	chr2	64430741	64442835	3	6203	8203.3602	2666.727	159	LOC150992		LOC150992	LOC150992	0.07830000000000001	159	1
1_MACS_peak_9481_lociStitched	chr3	186713321	186719497	1	6177	7397.6128	2640.24	160	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	0.08080000000000001	160	1
3_MACS_peak_6633_lociStitched	chr2	43444445	43457163	3	6172	7788.5032	3033.243	161	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	0.33270000000000005	161	1
2_MACS_peak_9143_lociStitched	chr3	124502505	124511377	2	6170	8175.548	2068.0632	162	ITGB5		UMPS	UMPS	NONE	162	1
2_MACS_peak_741_lociStitched	chr1	154908279	154917684	2	6168	10518.552	3875.8005	163	PMVK,PBXIP1	CKS1B,MIR4258,FLAD1,LENEP,PYGO2,SHC1	PMVK	PYGO2	0.2192	163	1
3_MACS_peak_399_lociStitched	chr1	66736494	66750084	3	6167	9521.154	3166.47	164	PDE4B	PDE4B	PDE4B	PDE4B	0.023599999999999996	164	1
3_MACS_peak_8350_lociStitched	chr22	23478349	23488130	3	6147	5898.9211	2262.3453	165	RAB36,RTDR1	BCR	RTDR1	RTDR1	0.0315	165	1
1_MACS_peak_1118_lociStitched	chr1	205252297	205258426	1	6130	11059.7805	2371.3101	166		NUAK2	NUAK2	NUAK2	0.027900000000000008	166	1
4_MACS_peak_7447_lociStitched	chr2	204548425	204562536	4	6124	6484.0045	3348.5403	167		CD28	CD28	CD28	0.2429	167	1
1_MACS_peak_1476_lociStitched	chr10	11217100	11223200	1	6101	10964.14	2086.81	168	CELF2		CELF2	CELF2	0.1712	168	1
4_MACS_peak_11892_lociStitched	chr6	108902183	108920354	4	6075	11584.0125	3543.345	169	FOXO3		FOXO3	FOXO3	0.2291	169	1
1_MACS_peak_10787_lociStitched	chr5	90675135	90681206	1	6072	5741.3447	1691.9877	170	LOC100129716,ARRDC3		ARRDC3	ARRDC3	0.20029999999999998	170	1
2_MACS_peak_8227_lociStitched	chr21	41325189	41331874	2	6070	5005.0595	2367.1585	171			PCP4	PCP4	NONE	171	1
2_MACS_peak_12668_lociStitched	chr7	102064141	102074156	2	6050	6931.3815	2658.9825	172	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	0.1706	172	1
4_MACS_peak_11231_lociStitched	chr5	175077458	175085348	4	6048	5537.991	1773.672	173	HRH2	HRH2	HRH2	HRH2	0.0772	173	1
3_MACS_peak_3062_lociStitched	chr12	46776428	46785253	3	6010	4920.82	1817.0675	174		SLC38A2	SLC38A2	SLC38A2	0.1038	174	1
2_MACS_peak_9403_lociStitched	chr3	177069170	177078997	2	6006	12911.6953	3333.3184	175			TBL1XR1	TBL1XR1	0.08200000000000002	175	1
3_MACS_peak_1957_lociStitched	chr10	104531543	104542624	3	6005	8177.778	2570.792	176	C10orf26		C10orf26	C10orf26	0.1056	176	1
4_MACS_peak_4335_lociStitched	chr15	63765864	63779911	4	5957	6989.7872	3159.1703	177		USP3	USP3	USP3	0.03680000000000001	177	1
2_MACS_peak_4291_lociStitched	chr15	52969477	52976975	2	5939	4197.3804	1717.042	178	KIAA1370		KIAA1370	KIAA1370	0.049699999999999994	178	1
3_MACS_peak_11492_lociStitched	chr6	27775156	27783474	3	5933	4814.4584	2260.8324	179	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H2BL,HIST1H2AJ	HIST1H4J,HIST1H2BN,HIST1H2AL,HIST1H4K,HIST1H2AK	HIST1H3H	HIST1H3H	0.2645	179	1
3_MACS_peak_14374_lociStitched	chrX	58150324	58159484	3	5933	6501.768	817.072	180			ZXDA	ZXDA	NONE	180	1
3_MACS_peak_12463_lociStitched	chr7	55570419	55585535	3	5929	8650.8868	2988.4332	181	VOPP1		VOPP1	VOPP1	0.2693	181	1
2_MACS_peak_6032_lociStitched	chr19	2255115	2261198	2	5918	5172.9832	1907.0205	182	JSRP1	SF3A2,AMH,MIR4321,OAZ1,MIR1227,PLEKHJ1,C19orf35,LINGO3	JSRP1	JSRP1	0.26280000000000003	182	1
3_MACS_peak_11630_lociStitched	chr6	45387831	45394836	3	5916	4835.5515	1337.955	183	RUNX2	SUPT3H	RUNX2	RUNX2	0.031299999999999994	183	1
4_MACS_peak_8599_lociStitched	chr3	5233188	5241655	4	5896	6443.387	1966.0374	184	EDEM1		EDEM1	EDEM1	0.22399999999999998	184	1
3_MACS_peak_4923_lociStitched	chr16	68285077	68299147	3	5890	7461.321	2977.212	185	PLA2G15,SLC7A6	PRMT7,ESRP2,SLC7A6OS	SLC7A6	ESRP2	0.08080000000000001	185	1
2_MACS_peak_6040_lociStitched	chr19	2474177	2480070	2	5879	5004.9249	1736.6671	186	GADD45B	TIMM13,LMNB2	GADD45B	GADD45B	0.2767	186	1
1_MACS_peak_12823_lociStitched	chr7	130790808	130796680	1	5873	6716.9808	1943.0448	187	MKLN1,FLJ43663		FLJ43663	FLJ43663	0.041800000000000004	187	1
1_MACS_peak_1987_lociStitched	chr10	112113019	112118841	1	5823	13224.673	1970.1648	188		SMNDC1	SMNDC1	SMNDC1	0.02629999999999999	188	1
2_MACS_peak_14138_lociStitched	chr9	130538250	130549484	2	5820	5319.299	2100.758	189	CDK9,MIR2861,SH2D3C	FPGS,TOR2A,SH2D3C	SH2D3C	SH2D3C	0.07170000000000001	189	1
2_MACS_peak_11899_lociStitched	chr6	108989014	108995444	2	5816	7566.824	1332.939	190	FOXO3		NCRNA00222	NCRNA00222	NONE	190	1
3_MACS_peak_11364_lociStitched	chr6	11722202	11733235	3	5815	6516.0898	2359.9587	191	C6orf105		C6orf105	C6orf105	0.05610000000000001	191	1
3_MACS_peak_162_lociStitched	chr1	27018376	27030179	3	5784	7877.3222	2442.0407	192	ARID1A		ARID1A	ARID1A	0.09240000000000001	192	1
1_MACS_peak_10181_lociStitched	chr4	144275772	144281547	1	5776	9744.735	1588.125	193	GAB1		GAB1	GAB1	0.0943	193	1
1_MACS_peak_4534_lociStitched	chr15	90638123	90643859	1	5737	6579.7656	1829.784	194	IDH2		IDH2	IDH2	0.21269999999999997	194	1
3_MACS_peak_11282_lociStitched	chr6	390987	400748	3	5727	5528.6304	2160.1093	195	IRF4		IRF4	IRF4	0.1634	195	1
3_MACS_peak_9825_lociStitched	chr4	71543298	71554767	3	5705	8554.7271	2439.4563	196	UTP3	ENAM,RUFY3,IGJ	UTP3	IGJ	0.1429	196	1
3_MACS_peak_5577_lociStitched	chr17	75315013	75329289	3	5705	5584.7712	2362.678	197	SEPT9	SEPT9	SEPT9	SEPT9	0.01999999999999999	197	1
4_MACS_peak_3237_lociStitched	chr12	77454052	77465011	4	5664	6897.5946	2162.2107	198	E2F7		E2F7	E2F7	0.0743	198	1
1_MACS_peak_9482_lociStitched	chr3	186779983	186785612	1	5630	6933.2393	2232.4614	199	ST6GAL1		ST6GAL1	ST6GAL1	0.08080000000000001	199	1
3_MACS_peak_612_lociStitched	chr1	143991938	144001519	3	5630	6845.6245	2363.6327	200	SRGAP2P2		SRGAP2P2	SRGAP2P2	0.044800000000000006	200	1
2_MACS_peak_11907_lociStitched	chr6	109216475	109227349	2	5628	9239.6378	2508.6318	201	ARMC2		ARMC2	ARMC2	0.10120000000000001	201	1
3_MACS_peak_4429_lociStitched	chr15	75353226	75362696	3	5624	5828.785	2063.513	202		PPCDC	PPCDC	PPCDC	0.18369999999999997	202	1
2_MACS_peak_12303_lociStitched	chr7	26002658	26009339	2	5620	10003.4613	1968.2226	203		MIR148A	MIR148A	MIR148A	0.21070000000000003	203	1
2_MACS_peak_12708_lociStitched	chr7	106504744	106513640	2	5585	6270.7904	3035.3152	204	PIK3CG		PIK3CG	PIK3CG	0.0802	204	1
2_MACS_peak_5142_lociStitched	chr17	16872524	16880118	2	5583	5151.7696	1935.7106	205	TNFRSF13B		TNFRSF13B	TNFRSF13B	0.1482	205	1
3_MACS_peak_11870_lociStitched	chr6	106545139	106555687	3	5555	7643.0808	2634.8904	206	PRDM1		PRDM1	PRDM1	0.2733	206	1
2_MACS_peak_1032_lociStitched	chr1	192774715	192781289	2	5543	6180.2174	2603.9614	207	RGS2		RGS2	RGS2	0.28740000000000004	207	1
2_MACS_peak_2338_lociStitched	chr11	58340767	58346523	2	5516	6428.3008	1685.9324	208	LPXN	ZFP91-CNTF,CNTF	LPXN	LPXN	0.1104	208	1
3_MACS_peak_4192_lociStitched	chr15	40834907	40843785	3	5506	7977.7708	2131.6078	209		RPUSD2,CASC5,MRPL42P5,C15orf57	MRPL42P5	C15orf57	0.1686	209	1
2_MACS_peak_2640_lociStitched	chr11	115367747	115376377	2	5492	4112.195	1635.385	210	CADM1		CADM1	CADM1	0.06740000000000002	210	1
3_MACS_peak_9879_lociStitched	chr4	78736485	78743754	3	5474	4109.1657	1444.3503	211	CNOT6L	MRPL1	CNOT6L	MRPL1	0.03940000000000002	211	1
3_MACS_peak_7032_lociStitched	chr2	112456016	112464705	3	5474	14495.8587	2556.3038	212			ANAPC1	ANAPC1	NONE	212	1
3_MACS_peak_2744_lociStitched	chr11	129238184	129247267	3	5469	4339.8574	1901.0719	213	BARX2		BARX2	BARX2	0.10830000000000001	213	1
3_MACS_peak_12607_lociStitched	chr7	92438249	92445303	3	5461	7345.3302	1704.9518	214	CDK6		CDK6	CDK6	0.06839999999999999	214	1
1_MACS_peak_11550_lociStitched	chr6	32935541	32940992	1	5452	5163.1872	1513.1976	215	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	0.1828	215	1
3_MACS_peak_9170_lociStitched	chr3	128994924	129002357	3	5435	5913.6948	1655.3291	216	COPG,C3orf37	C3orf47,H1FX	C3orf37	H1FX	0.5011000000000001	216	1
3_MACS_peak_1712_lociStitched	chr10	63656502	63665231	3	5404	4939.7411	1938.7109	217	ARID5B		ARID5B	ARID5B	0.06490000000000001	217	1
2_MACS_peak_10615_lociStitched	chr5	56467400	56472845	2	5403	4465.989	1050.3405	218	GPBP1	GPBP1	GPBP1	GPBP1	0.04009999999999998	218	1
2_MACS_peak_591_lociStitched	chr1	120833047	120839425	2	5403	3204.3072	1585.5708	219	FAM72B		FAM72B	FAM72B	0.04279999999999998	219	1
3_MACS_peak_2212_lociStitched	chr11	19451662	19457726	3	5399	5091.3344	1569.9696	220	NAV2		NAV2	NONE	NONE	220	1
1_MACS_peak_8026_lociStitched	chr20	56253147	56258544	1	5398	4613.8953	1513.8585	221	PMEPA1		PMEPA1	PMEPA1	0.042899999999999994	221	1
2_MACS_peak_2634_lociStitched	chr11	115091597	115101548	2	5397	11071.4826	2399.1861	222	CADM1		CADM1	CADM1	0.06740000000000002	222	1
2_MACS_peak_627_lociStitched	chr1	145152719	145160925	2	5396	9278.5242	3649.2082	223		NOTCH2NL	NOTCH2NL	NOTCH2NL	0.04849999999999999	223	1
2_MACS_peak_182_lociStitched	chr1	28570871	28577080	2	5388	4764.7866	1802.4727	224		ATPIF1,SESN2,DNAJC8	ATPIF1	ATPIF1	0.04350000000000001	224	1
2_MACS_peak_12680_lociStitched	chr7	104578882	104586599	2	5384	13650.6013	2098.2523	225		LOC723809	LOC723809	LOC723809	0.064	225	1
2_MACS_peak_13104_lociStitched	chr8	26428466	26435996	2	5379	7063.14	1853.133	226	DPYSL2		DPYSL2	DPYSL2	0.029800000000000007	226	1
1_MACS_peak_1097_lociStitched	chr1	203255492	203260850	1	5359	10805.4786	2339.3028	227		BTG2,LOC730227	LOC730227	LOC730227	0.3515	227	1
3_MACS_peak_5362_lociStitched	chr17	46528275	46535273	3	5354	5456.3406	1697.015	228		SKAP1	SKAP1	NONE	NONE	228	1
3_MACS_peak_12402_lociStitched	chr7	44668921	44679480	3	5348	8394.405	2728.4456	229	OGDH	TMED4	OGDH	OGDH	0.061	229	1
1_MACS_peak_4757_lociStitched	chr16	23344906	23350232	1	5327	10102.3568	1716.0372	230	SCNN1B		SCNN1B	SCNN1B	0.13399999999999998	230	1
4_MACS_peak_2868_lociStitched	chr12	11902447	11912649	4	5327	5487.6558	2161.8038	231	ETV6		ETV6	ETV6	0.04600000000000001	231	1
1_MACS_peak_12466_lociStitched	chr7	55598964	55604286	1	5323	15857.9634	1762.6464	232	VOPP1		VOPP1	VOPP1	0.2693	232	1
1_MACS_peak_633_lociStitched	chr1	145394917	145400225	1	5309	5501.2112	2141.2472	233		HFE2,TXNIP	HFE2	TXNIP	0.18980000000000002	233	1
4_MACS_peak_10025_lociStitched	chr4	105407673	105416978	4	5302	6079.887	1907.525	234	CXXC4		CXXC4	CXXC4	0.1604	234	1
2_MACS_peak_5277_lociStitched	chr17	37909830	37915164	2	5298	7675.626	1536.192	235		GRB7,C17orf37	GRB7	C17orf37	0.05869999999999999	235	1
4_MACS_peak_3931_lociStitched	chr14	77490105	77507415	4	5294	5347.059	1836.591	236	C14orf4		C14orf4	C14orf4	0.18860000000000002	236	1
3_MACS_peak_3764_lociStitched	chr13	115039748	115048340	3	5284	5791.008	1927.1856	237	UPF3A	CDC16,ZNF828	UPF3A	CDC16	0.1503	237	1
1_MACS_peak_3756_lociStitched	chr13	114829323	114834602	1	5280	7705.7563	1444.8623	238	RASA3		RASA3	RASA3	0.07949999999999999	238	1
3_MACS_peak_4688_lociStitched	chr16	11821306	11829252	3	5279	5045.71	1837.9098	239	TXNDC11		TXNDC11	TXNDC11	0.3025	239	1
2_MACS_peak_11873_lociStitched	chr6	106588620	106595254	2	5274	5574.5502	1915.2358	240		PRDM1	PRDM1	PRDM1	0.2733	240	1
3_MACS_peak_7512_lociStitched	chr2	217080898	217088512	3	5272	5830.0398	2019.2328	241			XRCC5	XRCC5	NONE	241	1
2_MACS_peak_8282_lociStitched	chr21	45572740	45580318	2	5267	9575.5608	2272.6422	242		PWP2,C21orf33	C21orf33	C21orf33	0.17309999999999998	242	1
3_MACS_peak_6667_lociStitched	chr2	46795381	46804707	3	5266	4853.2504	2162.6994	243	RHOQ	CRIPT,ATP6V1E2,PIGF	RHOQ	RHOQ	0.09160000000000001	243	1
3_MACS_peak_9577_lociStitched	chr4	3042081	3050161	3	5257	5201.096	1582.872	244	GRK4	HTT	HTT	NONE	NONE	244	1
1_MACS_peak_706_lociStitched	chr1	152006726	152011976	1	5251	5048.4	1864.8	245	S100A11	S100A10,TCHHL1	S100A11	S100A11	0.18689999999999996	245	1
3_MACS_peak_13115_lociStitched	chr8	28195378	28206574	3	5245	5903.6508	2105.9676	246	PNOC,ZNF395		PNOC	PNOC	0.0781	246	1
2_MACS_peak_10425_lociStitched	chr5	6480077	6486487	2	5231	6086.295	1565.322	247	UBE2QL1		UBE2QL1	UBE2QL1	0.12329999999999999	247	1
1_MACS_peak_2809_lociStitched	chr12	4378275	4383501	1	5227	4470.3204	1061.9232	248	CCND2	C12orf5	CCND2	CCND2	0.1487	248	1
3_MACS_peak_5891_lociStitched	chr18	52930920	52936726	3	5225	6863.2726	1335.38	249	TCF4		CCDC68	CCDC68	NONE	249	1
4_MACS_peak_4750_lociStitched	chr16	22206488	22217898	4	5214	5385.52	2504.495	250	EEF2K		EEF2K	EEF2K	0.011799999999999991	250	1
2_MACS_peak_6053_lociStitched	chr19	3984044	3991019	2	5205	5175.45	2428.695	251	EEF2	PIAS4,MIR637,DAPK3,SNORD37	EEF2	SNORD37	0.1699	251	1
3_MACS_peak_8164_lociStitched	chr21	34746257	34756971	3	5204	6768.0338	2927.0648	252		IFNAR1,IFNGR2	IFNGR2	IFNAR1	0.09160000000000001	252	1
3_MACS_peak_5854_lociStitched	chr18	46459784	46469625	3	5200	4769.9327	2101.0535	253	SMAD7		SMAD7	SMAD7	0.18299999999999997	253	1
2_MACS_peak_636_lociStitched	chr1	145449784	145456727	2	5189	8118.4499	2735.542	254	POLR3GL	HFE2,TXNIP,ANKRD34A,LIX1L	TXNIP	TXNIP	0.18980000000000002	254	1
3_MACS_peak_8184_lociStitched	chr21	36420307	36430575	3	5184	6978.1328	2741.556	255	RUNX1	C21orf96	RUNX1	RUNX1	0.05160000000000001	255	1
2_MACS_peak_8250_lociStitched	chr21	43647506	43655675	2	5171	7477.0857	2735.7981	256	ABCG1		ABCG1	ABCG1	0.04420000000000002	256	1
1_MACS_peak_5245_lociStitched	chr17	34426959	34432128	1	5170	5091.465	1872.2118	257	CCL4	CCL18,CCL3	CCL4	CCL3	1.0017	257	1
3_MACS_peak_9497_lociStitched	chr3	191007666	191019593	3	5167	6799.5827	3174.9674	258	UTS2D	CCDC50	CCDC50	CCDC50	0.0345	258	1
2_MACS_peak_2281_lociStitched	chr11	35160121	35168349	2	5164	5738.2072	2364.7272	259	CD44		CD44	CD44	0.07640000000000002	259	1
1_MACS_peak_10401_lociStitched	chr5	1312436	1317594	1	5159	12784.103	1827.9952	260		TERT,CLPTM1L	TERT	CLPTM1L	0.40580000000000005	260	1
2_MACS_peak_11662_lociStitched	chr6	52393193	52403043	2	5153	9193.99	2548.195	261	TRAM2		TRAM2	TRAM2	0.21090000000000003	261	1
1_MACS_peak_8230_lociStitched	chr21	41384675	41389822	1	5148	5950.9614	1868.361	262	DSCAM		PCP4	PCP4	NONE	262	1
3_MACS_peak_5284_lociStitched	chr17	38019272	38024767	3	5144	4240.4915	1474.858	263	ZPBP2,IKZF3	GSDMB	IKZF3	IKZF3	0.11860000000000004	263	1
2_MACS_peak_1594_lociStitched	chr10	30989903	30996274	2	5140	5794.4245	1558.3466	264			LYZL2	LYZL2	NONE	264	1
1_MACS_peak_6044_lociStitched	chr19	2595094	2600191	1	5098	9789.8079	2114.2356	265	GNG7		GNG7	GNG7	0.12440000000000001	265	1
1_MACS_peak_12817_lociStitched	chr7	129588241	129593332	1	5092	5574.645	2054.7276	266	UBE2H		UBE2H	UBE2H	0.013000000000000012	266	1
4_MACS_peak_4358_lociStitched	chr15	67366056	67384433	4	5086	8124.4717	3193.9226	267	SMAD3	SMAD3	SMAD3	SMAD3	0.05560000000000001	267	1
3_MACS_peak_279_lociStitched	chr1	40846780	40858198	3	5085	7701.441	2813.3952	268	SMAP2	SMAP2	SMAP2	SMAP2	0.11180000000000001	268	1
3_MACS_peak_6339_lociStitched	chr19	48880791	48895210	3	5060	7277.2693	2951.5693	269	KDELR1	SYNGR4,GRIN2D,TMEM143	KDELR1	KDELR1	0.2257	269	1
1_MACS_peak_973_lociStitched	chr1	183810277	183815334	1	5058	9260.8841	1807.8775	270	RGL1		APOBEC4	APOBEC4	NONE	270	1
3_MACS_peak_950_lociStitched	chr1	181097745	181105017	3	5053	5946.3144	2059.4304	271		IER5	IER5	IER5	0.062100000000000016	271	1
3_MACS_peak_12985_lociStitched	chr8	2107197	2114698	3	5052	5047.4229	1752.2336	272			MYOM2	MYOM2	0.17079999999999998	272	1
3_MACS_peak_9734_lociStitched	chr4	40302983	40310900	3	5052	6899.6655	2079.7959	273		CHRNA9	CHRNA9	NONE	NONE	273	1
3_MACS_peak_4476_lociStitched	chr15	81585445	81595585	3	5047	7306.884	3060.252	274	IL16	STARD5	IL16	STARD5	0.07949999999999999	274	1
3_MACS_peak_12849_lociStitched	chr7	136037652	136047000	3	5042	10683.8292	2886.6624	275			LUZP6	LUZP6	NONE	275	1
1_MACS_peak_677_lociStitched	chr1	149855944	149860971	1	5028	6296.8202	2237.015	276	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2AC	HIST2H2AC	0.39319999999999994	276	1
2_MACS_peak_8640_lociStitched	chr3	13460037	13470345	2	5024	5150.9076	1651.3416	277	NUP210		NUP210	NUP210	0.0257	277	1
1_MACS_peak_5919_lociStitched	chr18	56806431	56811452	1	5022	3748.6786	1327.5524	278	SEC11C		SEC11C	SEC11C	0.0829	278	1
3_MACS_peak_2760_lociStitched	chr11	130670702	130677655	3	5021	5154.2589	1610.3148	279			SNX19	SNX19	NONE	279	1
1_MACS_peak_7370_lociStitched	chr2	192539652	192544632	1	4981	4992.45	1136.436	280	OBFC2A		OBFC2A	OBFC2A	0.21749999999999997	280	1
2_MACS_peak_5070_lociStitched	chr17	3813876	3820323	2	4968	4490.3355	1723.2831	281	P2RX1	CAMKK1,ATP2A3	P2RX1	P2RX1	0.10230000000000003	281	1
4_MACS_peak_1003_lociStitched	chr1	186583403	186596391	4	4967	6591.41	2871.6468	282			PTGS2	PTGS2	NONE	282	1
3_MACS_peak_13562_lociStitched	chr8	137189601	137200688	3	4965	7898.3788	2297.2264	283			KHDRBS3	KHDRBS3	NONE	283	1
3_MACS_peak_3104_lociStitched	chr12	51714260	51721300	3	4958	4571.776	1737.472	284	BIN2	CELA1	BIN2	CELA1	0.05299999999999999	284	1
2_MACS_peak_10707_lociStitched	chr5	76032284	76038125	2	4953	8180.9046	1502.3052	285		NCRUPAR,F2R	F2R	F2R	0.2559	285	1
1_MACS_peak_6333_lociStitched	chr19	48412282	48417229	1	4948	3021.6276	2685.2316	286	SNAR-C5	SNAR-A12,SNAR-A2,SNAR-A7,SNAR-C2,SNAR-C4,SNAR-A13,SNAR-C3,SNAR-C1,SULT2A1	SNAR-C5	SNAR-C2	0.05499999999999999	286	1
4_MACS_peak_8807_lociStitched	chr3	46424772	46438408	4	4947	6080.2924	2840.3788	287		CCR2,CCR5,CCRL2	CCRL2	CCR2	0.1677	287	1
3_MACS_peak_10983_lociStitched	chr5	131826111	131835365	3	4944	4769.5116	2051.6118	288	IRF1	IL5	IRF1	IRF1	0.11480000000000001	288	1
3_MACS_peak_6104_lociStitched	chr19	10522431	10531118	3	4942	5004.5807	1998.8787	289		PDE4A,TYK2,MIR1181,CDC37	PDE4A	MIR1181	0.0587	289	1
1_MACS_peak_11478_lociStitched	chr6	26358142	26363063	1	4922	11944.7433	1237.6315	290		BTN3A2,BTN2A2,BTN3A1	BTN3A2	BTN3A2	0.3981	290	1
2_MACS_peak_11517_lociStitched	chr6	30684380	30689993	2	4912	3802.8075	1312.3194	291	TUBB,MDC1	DHX16,KIAA1949,NRM,FLOT1,IER3	TUBB	TUBB	0.181	291	1
2_MACS_peak_6441_lociStitched	chr2	10259983	10265154	2	4911	3406.6548	1150.5475	292	RRM2	C2orf48,CYS1	RRM2	RRM2	0.1542	292	1
3_MACS_peak_14147_lociStitched	chr9	130834144	130845167	3	4910	5113.5697	2035.9481	293	SLC25A25	SLC25A25,LOC389791,NAIF1,LOC100289019,PTGES2	SLC25A25	SLC25A25	0.06659999999999999	293	1
1_MACS_peak_5267_lociStitched	chr17	36856543	36861450	1	4908	4617.9777	1346.9715	294		MLLT6,CISD3,PSMB3,C17orf96,PCGF2	MLLT6	MLLT6	0.11530000000000001	294	1
2_MACS_peak_8162_lociStitched	chr21	34696004	34705801	2	4907	6617.8735	3568.0674	295	IFNAR1		IFNAR1	IFNAR1	0.09160000000000001	295	1
2_MACS_peak_11459_lociStitched	chr6	26025892	26034262	2	4905	4846.23	1821.312	296	HIST1H4B,HIST1H3B,HIST1H2AB	HIST1H3A,HIST1H4A,HIST1H3C,HIST1H1A,HIST1H2BB,HIST1H1C	HIST1H3B	HIST1H3B	0.2421	296	1
3_MACS_peak_8375_lociStitched	chr22	27005526	27014464	3	4905	10349.3102	1839.4404	297	CRYBB1	CRYBA4,MIAT,TPST2	CRYBB1	CRYBB1	0.33709999999999996	297	1
1_MACS_peak_608_lociStitched	chr1	143741202	143746085	1	4884	6501.2262	1771.5524	298	LOC100286793,FLJ39739	PPIAL4G	FLJ39739	FLJ39739	0.0806	298	1
1_MACS_peak_631_lociStitched	chr1	145207980	145212857	1	4878	5129.6286	2416.5535	299	NOTCH2NL		NOTCH2NL	NOTCH2NL	0.04849999999999999	299	1
2_MACS_peak_986_lociStitched	chr1	184711772	184717247	2	4875	5039.19	1611.2925	300	EDEM3		EDEM3	EDEM3	0.06810000000000002	300	1
2_MACS_peak_1026_lociStitched	chr1	192507027	192515022	2	4868	8230.053	2454.465	301		RGS1	RGS1	RGS1	0.5355	301	1
2_MACS_peak_11532_lociStitched	chr6	31701736	31708607	2	4864	5450.7643	1783.7116	302	MSH5,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,BAT5,LY6G6E,LY6G6C,DDAH2,C6orf27	CLIC1	CLIC1	0.3355	302	1
3_MACS_peak_953_lociStitched	chr1	181117896	181129804	3	4863	7105.5036	3356.8652	303			IER5	IER5	0.062100000000000016	303	1
2_MACS_peak_11371_lociStitched	chr6	12008278	12013854	2	4856	3607.672	878.7776	304	HIVEP1		HIVEP1	HIVEP1	0.0562	304	1
1_MACS_peak_9454_lociStitched	chr3	183269397	183274247	1	4851	4646.785	1943.395	305	KLHL6		KLHL6	KLHL6	0.2156	305	1
2_MACS_peak_12255_lociStitched	chr7	20256315	20261480	2	4850	9812.9835	1366.1425	306	MACC1		MACC1	MACC1	0.12610000000000002	306	1
1_MACS_peak_9440_lociStitched	chr3	182430903	182435740	1	4838	4367.3273	1833.7067	307			ATP11B	ATP11B	0.023999999999999994	307	1
3_MACS_peak_2665_lociStitched	chr11	118738778	118743986	3	4820	5593.392	1318.1448	308		CXCR5,BCL9L	CXCR5	CXCR5	0.027999999999999997	308	1
2_MACS_peak_13802_lociStitched	chr9	73028359	73036072	2	4820	5028.1047	1467.7839	309	KLF9		KLF9	KLF9	0.07110000000000001	309	1
4_MACS_peak_12865_lociStitched	chr7	139466672	139478887	4	4816	5484.535	2886.4045	310	TBXAS1,HIPK2		HIPK2	NONE	NONE	310	1
3_MACS_peak_6161_lociStitched	chr19	16434860	16441977	3	4815	4568.4023	1456.8499	311	KLF2		KLF2	KLF2	0.257	311	1
3_MACS_peak_4239_lociStitched	chr15	46995111	47008072	3	4815	7045.5996	2488.512	312			SEMA6D	SEMA6D	NONE	312	1
2_MACS_peak_6070_lociStitched	chr19	6765550	6773798	2	4811	5357.9008	2245.1056	313	VAV1,SH2D3A	TRIP10,C3,GPR108	SH2D3A	SH2D3A	0.095	313	1
1_MACS_peak_657_lociStitched	chr1	147928808	147933606	1	4799	4100.3708	1282.9852	314	FLJ39739		NBPF14	NBPF14	NONE	314	1
3_MACS_peak_2894_lociStitched	chr12	13246841	13255251	3	4795	4961.059	1683.682	315	GSG1	KIAA1467	GSG1	GSG1	0.11699999999999999	315	1
1_MACS_peak_6564_lociStitched	chr2	33700264	33705057	1	4794	6680.4834	1481.037	316	RASGRP3	RASGRP3	RASGRP3	RASGRP3	0.0862	316	1
2_MACS_peak_3323_lociStitched	chr12	94598131	94603023	2	4794	5652.706	1412.3204	317	PLXNC1		PLXNC1	PLXNC1	0.08779999999999999	317	1
3_MACS_peak_728_lociStitched	chr1	154387635	154393606	3	4782	5232.3873	1903.5548	318	IL6R		IL6R	IL6R	0.09020000000000003	318	1
3_MACS_peak_4081_lociStitched	chr15	23660819	23669233	3	4782	6951.6468	1793.8648	319			MKRN3	MKRN3	NONE	319	1
1_MACS_peak_11341_lociStitched	chr6	7960131	7964911	1	4781	13055.136	1315.456	320	MUTED-TXNDC5	PIP5K1P1,TXNDC5	PIP5K1P1	TXNDC5	0.3781	320	1
1_MACS_peak_1150_lociStitched	chr1	207995373	208000145	1	4773	5448.6696	1898.3016	321	LOC148696	MIR29C,MIR29B2	LOC148696	LOC148696	0.24920000000000003	321	1
1_MACS_peak_9515_lociStitched	chr3	193818015	193822781	1	4767	12444.026	2229.0582	322		HES1	HES1	HES1	0.5004	322	1
