REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X02_0EWO_0229Kronos_MM1S.No.Treatment.2_H3K18Ac_hs.dm_i04.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
2_MACS_peak_22466_lociStitched	chr5	55436940	55459916	2	18168	37041.9072	4716.9728	163	ANKRD55		ANKRD55	ANKRD55	0.2974	163	1
3_MACS_peak_1625_lociStitched	chr1	150531676	150553454	3	18122	54976.3832	7476.3874	164	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	0.6408	164	1
3_MACS_peak_3770_lociStitched	chr10	81000903	81020587	3	18103	34885.9532	3588.3932	165	ZMIZ1		PPIF	PPIF	NONE	165	1
5_MACS_peak_8555_lociStitched	chr14	77487736	77510887	5	18068	25005.3951	2579.0214	166	C14orf4		C14orf4	C14orf4	0.9702000000000001	166	1
3_MACS_peak_5863_lociStitched	chr11	130631210	130650751	3	18032	20473.1057	2954.5992	167			SNX19	SNX19	NONE	167	1
2_MACS_peak_29424_lociStitched	chr9	123650446	123668498	2	18013	29558.3448	3382.9448	168	TRAF1	LOC253039,PSMD5,PHF19	TRAF1	TRAF1	0.6229	168	1
4_MACS_peak_20254_lociStitched	chr3	169647407	169668407	4	18006	35966.7	5842.2	169	SAMD7,LOC100128164	SEC62	LOC100128164	LOC100128164	0.9936999999999999	169	1
5_MACS_peak_10355_lociStitched	chr16	22194953	22219327	5	17997	33840.8616	5162.4132	170	EEF2K		EEF2K	EEF2K	0.044700000000000004	170	1
4_MACS_peak_5378_lociStitched	chr11	82763101	82790488	4	17956	35405.9136	5521.2192	171	RAB30	SNORA70E	RAB30	RAB30	0.49770000000000003	171	1
5_MACS_peak_29456_lociStitched	chr9	126081992	126107182	5	17892	41863.261	4420.845	172		CRB2	CRB2	NONE	NONE	172	1
4_MACS_peak_9088_lociStitched	chr15	40833488	40862548	4	17845	32166.514	5858.496	173	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	C15orf57	0.6969000000000001	173	1
5_MACS_peak_16853_lociStitched	chr20	5570523	5592583	5	17716	22419.578	4025.95	174	GPCPD1		GPCPD1	GPCPD1	0.213	174	1
3_MACS_peak_1487_lociStitched	chr1	143442079	143469133	3	17702	37177.6068	8603.172	175			LOC100130000	LOC100130000	NONE	175	1
3_MACS_peak_18457_lociStitched	chr22	39822974	39846335	3	17617	42495.9951	4048.4613	176	TAB1	MGAT3	MGAT3	MGAT3	0.2175	176	1
2_MACS_peak_22294_lociStitched	chr5	32570953	32591219	2	17447	34134.0238	3998.4818	177	SUB1		SUB1	SUB1	0.7604	177	1
4_MACS_peak_11907_lociStitched	chr17	46578345	46596352	4	17435	21226.6516	3446.5398	178		HOXB1,HOXB2	HOXB1	HOXB1	0.04820000000000001	178	1
4_MACS_peak_17240_lociStitched	chr20	37498498	37523405	4	17426	55642.238	4719.8765	179	PPP1R16B	FAM83D	FAM83D	NONE	NONE	179	1
4_MACS_peak_8581_lociStitched	chr14	81930754	81955812	4	17426	22158.7894	2583.4798	180	SEL1L		SEL1L	SEL1L	0.3476	180	1
7_MACS_peak_19026_lociStitched	chr3	39296038	39332517	7	17411	23379.3911	5811.1047	181	CX3CR1	CCR8	CX3CR1	CX3CR1	0.3246	181	1
5_MACS_peak_3081_lociStitched	chr10	7510996	7536011	5	17396	23599.151	4372.622	182			SFMBT2	SFMBT2	NONE	182	1
3_MACS_peak_29079_lociStitched	chr9	93907456	93928008	3	17291	37408.7504	3995.3088	183			LOC100129316	LOC100129316	0.0683	183	1
3_MACS_peak_5189_lociStitched	chr11	67760278	67782266	3	17275	33412.9648	4188.714	184	ALDH3B1,UNC93B1	NDUFS8,TCIRG1	UNC93B1	UNC93B1	0.8783000000000001	184	1
6_MACS_peak_15073_lociStitched	chr2	68936314	68965877	6	17268	25678.4218	5829.8236	185	ARHGAP25	ARHGAP25	ARHGAP25	ARHGAP25	0.185	185	1
4_MACS_peak_29638_lociStitched	chr9	134126808	134152964	4	17221	29650.4416	4394.208	186	FAM78A	PPAPDC3	FAM78A	FAM78A	0.7946	186	1
4_MACS_peak_18207_lociStitched	chr22	29206845	29225841	4	17204	34394.1576	3616.8384	187		CCDC117,XBP1	XBP1	XBP1	2.2635	187	1
3_MACS_peak_6952_lociStitched	chr12	92929187	92951101	3	17182	27732.167	4058.4728	188			CLLU1OS	CLLU1OS	NONE	188	1
2_MACS_peak_26126_lociStitched	chr7	55568980	55586205	2	17126	27184.495	3281.3625	189	VOPP1		VOPP1	VOPP1	0.9367000000000001	189	1
4_MACS_peak_6345_lociStitched	chr12	33037839	33060846	4	17115	19392.6003	4336.8195	190	PKP2		PKP2	PKP2	0.07110000000000001	190	1
3_MACS_peak_23835_lociStitched	chr6	7958162	7978831	3	17102	28002.3612	3749.3566	191	MUTED-TXNDC5	PIP5K1P1,TXNDC5	PIP5K1P1	TXNDC5	2.8513	191	1
4_MACS_peak_5268_lociStitched	chr11	72976799	73002050	4	17094	25495.9347	4113.3879	192	P2RY6	P2RY2,ARHGEF17	P2RY6	P2RY6	0.5132	192	1
6_MACS_peak_25061_lociStitched	chr6	119762112	119789384	6	17084	22093.0472	5056.2288	193			MAN1A1	MAN1A1	NONE	193	1
4_MACS_peak_6773_lociStitched	chr12	68752056	68770975	4	17031	33032.574	3829.2056	194		MDM1	MDM1	NONE	NONE	194	1
5_MACS_peak_16358_lociStitched	chr2	204715600	204740866	5	16991	16746.3048	4393.7574	195	CTLA4		CTLA4	CTLA4	0.40280000000000005	195	1
1_MACS_peak_5071_lociStitched	chr11	65183261	65200152	1	16892	79306.6232	5256.4792	196	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	4.7445	196	1
3_MACS_peak_18836_lociStitched	chr3	15834617	15851851	3	16887	22905.7094	3324.4386	197	ANKRD28	ANKRD28	ANKRD28	ANKRD28	0.05739999999999998	197	1
2_MACS_peak_26024_lociStitched	chr7	44661737	44680443	2	16827	40468.5604	4380.9452	198	OGDH	DDX56,TMED4	OGDH	OGDH	0.3688	198	1
5_MACS_peak_691_lociStitched	chr1	42126890	42151007	5	16797	18131.1606	3964.8348	199	HIVEP3		EDN2	EDN2	NONE	199	1
4_MACS_peak_7167_lociStitched	chr12	109161643	109181257	4	16736	28644.2856	3777.6564	200	SSH1	CORO1C,SSH1	CORO1C	SSH1	0.3335	200	1
3_MACS_peak_11701_lociStitched	chr17	38251170	38270773	3	16693	27544.1753	4506.7297	201	NR1D1	THRA,MSL1,CASC3,MED24	NR1D1	NR1D1	1.0101	201	1
3_MACS_peak_20346_lociStitched	chr3	177055431	177080317	3	16674	46509.4454	6669.448	202			TBL1XR1	TBL1XR1	0.2435	202	1
6_MACS_peak_8844_lociStitched	chr15	20968480	20996265	6	16664	22644.775	4048.2745	203		BCL8	BCL8	NONE	NONE	203	1
4_MACS_peak_24512_lociStitched	chr6	52240046	52264922	4	16654	23468.0184	4378.176	204	PAQR8	EFHC1	PAQR8	PAQR8	0.39890000000000003	204	1
3_MACS_peak_9802_lociStitched	chr15	89163695	89185544	3	16608	28397.1453	4190.6382	205	AEN,ISG20	MIR1179,MIR7-2	ISG20	ISG20	0.6543	205	1
4_MACS_peak_5042_lociStitched	chr11	64611324	64634937	4	16591	34052.3073	3858.3642	206	CDC42BPG,EHD1	MAP4K2,MEN1,MIR192,MIR194-2,ATG2A	CDC42BPG	MEN1	0.09060000000000001	206	1
3_MACS_peak_12353_lociStitched	chr17	75128772	75146058	3	16509	43669.6218	4096.782	207	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	1.7948999999999997	207	1
4_MACS_peak_24045_lociStitched	chr6	26183679	26207378	4	16503	36979.9196	4976.79	208	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	HIST1H3D	1.4933	208	1
5_MACS_peak_11946_lociStitched	chr17	48224763	48250177	5	16498	23157.2368	4434.743	209	SGCA,PPP1R9B,HILS1	SAMD14,COL1A1	SGCA	SGCA	0.37629999999999997	209	1
4_MACS_peak_9571_lociStitched	chr15	74674093	74696794	4	16490	36239.8764	4176.984	210		CYP11A1,SEMA7A	CYP11A1	SEMA7A	0.14889999999999998	210	1
3_MACS_peak_341_lociStitched	chr1	24512186	24533973	3	16469	35754.6457	4780.0678	211	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	0.48029999999999995	211	1
3_MACS_peak_2432_lociStitched	chr1	205242161	205259403	3	16466	45644.7466	4927.7636	212	TMCC2	NUAK2	NUAK2	NUAK2	0.4479	212	1
3_MACS_peak_17297_lociStitched	chr20	42693777	42711985	3	16449	41201.0624	3441.312	213	TOX2		JPH2	JPH2	NONE	213	1
4_MACS_peak_23375_lociStitched	chr5	150512910	150538149	4	16442	25095.1377	4628.8326	214	ANXA6		ANXA6	ANXA6	0.2983	214	1
4_MACS_peak_23638_lociStitched	chr5	176717111	176740747	4	16432	29145.5516	4389.2052	215	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	RAB24	RAB24	1.2456	215	1
2_MACS_peak_668_lociStitched	chr1	40838964	40858721	2	16333	39016.1236	4293.1961	216	SMAP2	SMAP2	SMAP2	SMAP2	0.579	216	1
3_MACS_peak_12237_lociStitched	chr17	70581946	70603503	3	16321	30546.269	3981.5779	217	LOC100499467,FLJ26484		LOC100499467	LOC100499467	0.1491	217	1
3_MACS_peak_21432_lociStitched	chr4	100765812	100784117	3	16320	27490.449	3827.5755	218	DAPP1	MAPKSP1	DAPP1	DAPP1	0.607	218	1
2_MACS_peak_4649_lociStitched	chr11	19449920	19466350	2	16274	38339.405	3884.052	219	NAV2		NAV2	NAV2	0.0335	219	1
2_MACS_peak_17353_lociStitched	chr20	45172080	45192020	2	16267	30286.866	3385.812	220	C20orf123,SLC13A3	ZNF334	C20orf123	C20orf123	1.1711	220	1
5_MACS_peak_15315_lociStitched	chr2	89044147	89066751	5	16219	38799.766	4089.0636	221	RPIA,ANKRD36BP2		ANKRD36BP2	ANKRD36BP2	0.012499999999999983	221	1
6_MACS_peak_6452_lociStitched	chr12	48276203	48299234	6	16169	20458.4373	4062.6684	222	VDR		VDR	VDR	0.26270000000000004	222	1
4_MACS_peak_30523_lociStitched	chrX	128901626	128921423	4	16168	25490.6172	2340.0054	223	XPNPEP2,SASH3		SASH3	SASH3	0.5314000000000001	223	1
6_MACS_peak_8683_lociStitched	chr14	94422767	94447815	6	16150	23116.7992	2787.8424	224	ASB2	FAM181A,C14orf48,OTUB2,C14orf86	ASB2	C14orf48	0.3144	224	1
1_MACS_peak_14490_lociStitched	chr2	20615122	20631266	1	16145	23741.3664	3060.9024	225		RHOB	RHOB	RHOB	0.68	225	1
3_MACS_peak_9841_lociStitched	chr15	90573909	90593824	3	16145	27172.026	3702.1985	226	ZNF710		ZNF710	ZNF710	0.5665	226	1
1_MACS_peak_1011_lociStitched	chr1	66735755	66751879	1	16125	34166.756	3635.962	227	PDE4B	PDE4B	PDE4B	PDE4B	0.1014	227	1
2_MACS_peak_5583_lociStitched	chr11	111278132	111294251	2	16104	21995.9874	3333.4092	228		POU2AF1	POU2AF1	POU2AF1	0.9793999999999999	228	1
2_MACS_peak_18359_lociStitched	chr22	37610713	37628994	2	16070	33220.2332	4027.3043	229	RAC2	CYTH4,C1QTNF6,SSTR3	SSTR3	SSTR3	0.3582	229	1
3_MACS_peak_23684_lociStitched	chr5	180228395	180249448	3	16029	31819.5042	3713.7492	230	MGAT1	LOC729678,ZFP62	MGAT1	LOC729678	0.6078	230	1
4_MACS_peak_14533_lociStitched	chr2	25622787	25646052	4	15990	35486.1045	4664.6325	231	DTNB		DNMT3A	DNMT3A	NONE	231	1
4_MACS_peak_23815_lociStitched	chr6	7134893	7157600	4	15989	31453.7364	4484.6325	232	RREB1		RREB1	RREB1	0.2634	232	1
6_MACS_peak_4766_lociStitched	chr11	35126708	35149365	6	15926	17402.8417	3702.1538	233		CD44	CD44	CD44	0.35740000000000005	233	1
4_MACS_peak_10374_lociStitched	chr16	23342676	23366140	4	15912	36097.0176	4552.016	234	SCNN1B		SCNN1B	SCNN1B	0.559	234	1
3_MACS_peak_10658_lociStitched	chr16	56930720	56955244	3	15901	44346.7492	4291.7	235	SLC12A3	MIR138-2,HERPUD1,CETP	HERPUD1	HERPUD1	1.7136	235	1
5_MACS_peak_12304_lociStitched	chr17	73850276	73875850	5	15883	41496.3724	4790.0102	236	WBP2,TRIM47	UNC13D,TRIM65,MRPL38	WBP2	MRPL38	0.4143	236	1
3_MACS_peak_22175_lociStitched	chr5	6475837	6497942	3	15880	41347.4025	3802.06	237	UBE2QL1		UBE2QL1	UBE2QL1	0.7707999999999999	237	1
3_MACS_peak_23099_lociStitched	chr5	131822436	131842247	3	15819	30199.8884	4098.8959	238	IRF1	IL5	IRF1	IRF1	0.4913	238	1
6_MACS_peak_4285_lociStitched	chr10	126406183	126433760	6	15816	22844.7868	4337.8621	239	FAM53B	METTL10	FAM53B	FAM53B	0.2421	239	1
2_MACS_peak_13238_lociStitched	chr19	2081515	2098656	2	15767	73433.7581	6105.6242	240	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	1.8953000000000002	240	1
3_MACS_peak_17181_lociStitched	chr20	34673179	34691175	3	15753	25946.6328	3152.8992	241		EPB41L1,LOC647979	EPB41L1	LOC647979	0.24939999999999998	241	1
2_MACS_peak_6113_lociStitched	chr12	12866045	12881802	2	15723	59104.507	3740.7118	242	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	3.6637	242	1
2_MACS_peak_9706_lociStitched	chr15	81576247	81596781	2	15694	34417.0374	4747.4608	243	IL16	STARD5	IL16	IL16	0.3539	243	1
2_MACS_peak_22771_lociStitched	chr5	88171125	88187028	2	15685	34880.0499	3559.0914	244	MEF2C		MEF2C	MEF2C	0.3417	244	1
3_MACS_peak_4058_lociStitched	chr10	104529586	104547259	3	15644	40336.8552	3564.6441	245	C10orf26		C10orf26	C10orf26	0.6366999999999999	245	1
4_MACS_peak_17941_lociStitched	chr21	44843770	44862433	4	15625	24153.6546	3900.567	246	SIK1	C21orf125,C21orf84	SIK1	SIK1	0.9104000000000001	246	1
3_MACS_peak_5234_lociStitched	chr11	71411859	71427999	3	15610	36744.324	3918.792	247			FAM86C	FAM86C	NONE	247	1
5_MACS_peak_5322_lociStitched	chr11	77146641	77171469	5	15608	20577.4464	4486.4196	248	PAK1		PAK1	PAK1	0.09820000000000001	248	1
5_MACS_peak_5370_lociStitched	chr11	82666238	82690634	5	15590	27360.114	4801.1328	249			C11orf82	C11orf82	NONE	249	1
3_MACS_peak_17269_lociStitched	chr20	40709855	40727589	3	15536	35446.7192	2800.1986	250	PTPRT		CHD6	CHD6	NONE	250	1
1_MACS_peak_14426_lociStitched	chr2	11883193	11898720	1	15528	54125.5693	3650.3977	251	LPIN1		LPIN1	LPIN1	0.5395000000000001	251	1
7_MACS_peak_9167_lociStitched	chr15	44954582	44976692	7	15456	20007.339	4273.863	252	SPG11,PATL2	B2M	PATL2	B2M	0.6251	252	1
4_MACS_peak_6087_lociStitched	chr12	11901302	11920033	4	15432	23228.3131	3626.3216	253	ETV6		ETV6	ETV6	0.1991	253	1
3_MACS_peak_14757_lociStitched	chr2	42343143	42361699	3	15346	24037.4424	3906.038	254		EML4	EML4	NONE	NONE	254	1
4_MACS_peak_24944_lociStitched	chr6	109067023	109090861	4	15336	20057.2932	4367.1216	255	NCRNA00222		NCRNA00222	NCRNA00222	0.5421	255	1
4_MACS_peak_28432_lociStitched	chr8	145002268	145027689	4	15314	25326.9423	3225.9249	256	PLEC,MIR661	GRINA,PARP10	PLEC	PARP10	0.4857	256	1
2_MACS_peak_1785_lociStitched	chr1	155938592	155954584	2	15311	32895.544	4460.1688	257	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	RXFP4	1.5989	257	1
2_MACS_peak_14834_lociStitched	chr2	46788258	46804552	2	15298	21307.6638	3431.5164	258	RHOQ	CRIPT,ATP6V1E2,PIGF	RHOQ	RHOQ	0.4585	258	1
4_MACS_peak_25744_lociStitched	chr7	20471426	20490812	4	15273	19194.0786	3377.0412	259			ITGB8	ITGB8	NONE	259	1
1_MACS_peak_16300_lociStitched	chr2	201979862	201995129	1	15268	56486.3733	3943.4661	260	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	0.9370999999999999	260	1
1_MACS_peak_23605_lociStitched	chr5	173695785	173711048	1	15264	28370.8644	3077.0208	261			HMP19	HMP19	NONE	261	1
2_MACS_peak_27900_lociStitched	chr8	81046032	81061681	2	15254	27393.5745	3333.237	262	TPD52		TPD52	TPD52	0.3611000000000001	262	1
3_MACS_peak_15003_lociStitched	chr2	64486382	64511943	3	15245	21777.972	4485.9555	263			LOC150992	LOC150992	0.3264	263	1
5_MACS_peak_10842_lociStitched	chr16	70826060	70850538	5	15233	25364.1036	4452.5482	264	VAC14,HYDIN	LOC100130894	VAC14	VAC14	0.21739999999999998	264	1
3_MACS_peak_17517_lociStitched	chr20	55956814	55975947	3	15227	29074.5068	3757.7212	265	RBM38	RAE1,MTRNR2L3	RBM38	RBM38	0.8441000000000001	265	1
3_MACS_peak_15545_lociStitched	chr2	112185640	112202713	3	15222	12820.1157	2665.0953	266	LOC541471		LOC541471	LOC541471	0.36979999999999996	266	1
6_MACS_peak_24088_lociStitched	chr6	27094167	27126216	6	15204	26459.6544	5871.3768	267	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	HIST1H4I	0.4573999999999999	267	1
5_MACS_peak_16306_lociStitched	chr2	202081041	202102074	5	15200	18635.238	4288.6287	268	CASP10,CASP8	CASP8	CASP8	CASP8	0.6451	268	1
3_MACS_peak_19106_lociStitched	chr3	45592834	45618062	3	15199	27541.4076	4500.6752	269		LIMD1	LIMD1	LIMD1	0.2249	269	1
4_MACS_peak_3416_lociStitched	chr10	45453978	45475798	4	15163	21193.766	3796.68	270	RASSF4,LOC220980,C10orf10	TMEM72,ZNF22,C10orf25	C10orf10	C10orf10	0.362	270	1
2_MACS_peak_24029_lociStitched	chr6	25402779	25418096	2	15136	57524.5252	3990.0785	271	LRRC16A		LRRC16A	LRRC16A	0.2595	271	1
4_MACS_peak_10760_lociStitched	chr16	67562542	67587787	4	15087	25298.0145	4200.768	272	FAM65A	CTCF,ATP6V0D1,AGRP	FAM65A	FAM65A	0.7056	272	1
2_MACS_peak_6156_lociStitched	chr12	15101073	15116265	2	15084	22701.4056	3538.2168	273	ARHGDIB	PDE6H,ERP27	ARHGDIB	ARHGDIB	0.6309	273	1
4_MACS_peak_11341_lociStitched	chr17	17724916	17745633	4	15069	23097.3833	3470.0975	274	SREBF1	SMCR5,MIR33B	SREBF1	SREBF1	0.5613	274	1
2_MACS_peak_17928_lociStitched	chr21	44579857	44598545	2	15017	40908.032	4918.6816	275	CRYAA		CRYAA	CRYAA	1.7945	275	1
1_MACS_peak_11518_lociStitched	chr17	29636071	29651078	1	15008	24815.5752	3133.4616	276	NF1,EVI2B,EVI2A	OMG	EVI2B	EVI2B	0.6936	276	1
3_MACS_peak_13553_lociStitched	chr19	13943895	13962056	3	14958	36305.6551	3021.9904	277	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	MIR23A	1.0543	277	1
2_MACS_peak_3922_lociStitched	chr10	94868692	94886554	2	14891	20864.6022	3281.2494	278		CYP26C1,CYP26A1	CYP26A1	CYP26A1	0.5623	278	1
1_MACS_peak_26348_lociStitched	chr7	78113704	78128585	1	14882	41744.1812	3662.2141	279	MAGI2		RPL13AP17	RPL13AP17	NONE	279	1
5_MACS_peak_11233_lociStitched	chr17	7736855	7762276	5	14873	26219.2194	4479.1802	280	DNAH2,KDM6B,TMEM88,CYB5D1,LSMD1	CHD3,SCARNA21	KDM6B	KDM6B	0.8386999999999999	280	1
4_MACS_peak_15474_lociStitched	chr2	109220836	109239139	4	14871	18513.4845	3340.2975	281	LIMS1	LIMS1	LIMS1	LIMS1	0.1783	281	1
1_MACS_peak_6229_lociStitched	chr12	26265560	26280389	1	14830	35171.4222	3733.9422	282	BHLHE41		BHLHE41	BHLHE41	1.7414	282	1
3_MACS_peak_29087_lociStitched	chr9	94180968	94196235	3	14826	34337.0097	3096.1476	283	NFIL3		NFIL3	NFIL3	1.0251000000000001	283	1
6_MACS_peak_13517_lociStitched	chr19	12885542	12918210	6	14782	26216.07	5308.55	284	JUNB,RNASEH2A,HOOK2,PRDX2	ASNA1,BEST2,MAST1,C19orf43,RTBDN	JUNB	JUNB	1.2002000000000002	284	1
2_MACS_peak_6983_lociStitched	chr12	94583094	94603740	2	14767	41426.199	4333.5954	285	PLXNC1		PLXNC1	PLXNC1	0.3922	285	1
3_MACS_peak_4980_lociStitched	chr11	62308047	62325931	3	14764	31579.5672	3489.1684	286	AHNAK	EEF1G,TUT1,MTA2	AHNAK	EEF1G	0.7505999999999999	286	1
4_MACS_peak_10609_lociStitched	chr16	50713985	50732848	4	14759	22956.271	3206.71	287	NOD2,SNX20	CYLD	NOD2	NOD2	0.1315	287	1
4_MACS_peak_1735_lociStitched	chr1	154821289	154844638	4	14682	32396.7375	5571.0714	288	KCNN3		KCNN3	KCNN3	0.4248	288	1
3_MACS_peak_1905_lociStitched	chr1	161144152	161163947	3	14672	41446.771	6118.6345	289	B4GALT3,ADAMTS4	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,APOA2,NR1I3	B4GALT3	B4GALT3	1.0988	289	1
3_MACS_peak_16449_lociStitched	chr2	216764343	216785302	3	14668	15293.7823	3931.9084	290			LOC646324	LOC646324	NONE	290	1
1_MACS_peak_2746_lociStitched	chr1	226837910	226852576	1	14667	40211.2388	5030.438	291	ITPKB		ITPKB	ITPKB	0.514	291	1
2_MACS_peak_24756_lociStitched	chr6	88625427	88640472	2	14657	28224.42	3431.7645	292			SPACA1	SPACA1	NONE	292	1
4_MACS_peak_20584_lociStitched	chr3	194864662	194882662	4	14635	18757.8	4194	293	C3orf21		C3orf21	C3orf21	0.0696	293	1
4_MACS_peak_14840_lociStitched	chr2	47193727	47215750	4	14632	31270.4577	4338.531	294	TTC7A	MCFD2	MCFD2	MCFD2	0.19379999999999997	294	1
2_MACS_peak_30145_lociStitched	chrX	48790332	48805600	2	14615	29468.7668	1885.598	295	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	PIM2	1.0552000000000001	295	1
6_MACS_peak_25951_lociStitched	chr7	38383574	38408494	6	14600	16225.412	5425.084	296			TARP	TARP	NONE	296	1
5_MACS_peak_317_lociStitched	chr1	23927844	23954708	5	14593	22939.1696	5171.32	297	MDS2	ID3	MDS2	ID3	0.4519	297	1
3_MACS_peak_24955_lociStitched	chr6	109186395	109207520	3	14591	21194.7125	3861.65	298	ARMC2		ARMC2	ARMC2	0.3991	298	1
1_MACS_peak_12351_lociStitched	chr17	75078540	75093129	1	14590	29278.6641	3340.881	299	C17orf86,SCARNA16	SEC14L1	SCARNA16	SCARNA16	1.7948999999999997	299	1
2_MACS_peak_5946_lociStitched	chr12	4249315	4264004	2	14587	18762.2597	2702.776	300			CCND2	CCND2	0.7683	300	1
4_MACS_peak_2226_lociStitched	chr1	186729014	186749952	4	14575	14271.3408	4953.9308	301		PLA2G4A	PLA2G4A	NONE	NONE	301	1
2_MACS_peak_9603_lociStitched	chr15	75352759	75371019	2	14571	24083.114	3606.35	302		PPCDC	PPCDC	PPCDC	0.9626999999999999	302	1
3_MACS_peak_14085_lociStitched	chr19	47728344	47748741	3	14570	35323.5246	3897.8667	303	MIR3190,BBC3,MIR3191	CCDC9,PRR24	BBC3	BBC3	0.9257	303	1
2_MACS_peak_636_lociStitched	chr1	40029935	40048059	2	14533	19158.8804	3985.4676	304	PABPC4,SNORA55	PPIEL	PABPC4	PABPC4	0.584	304	1
1_MACS_peak_24958_lociStitched	chr6	109214202	109228723	1	14522	24409.801	3043.6016	305	ARMC2		ARMC2	ARMC2	0.3991	305	1
6_MACS_peak_704_lociStitched	chr1	42333115	42364767	6	14508	18962.7132	5073.8156	306	HIVEP3		HIVEP3	HIVEP3	0.21210000000000004	306	1
3_MACS_peak_26967_lociStitched	chr7	137424420	137440896	3	14465	21328.182	3576.9396	307	DGKI		DGKI	DGKI	0.0005000000000000004	307	1
5_MACS_peak_5979_lociStitched	chr12	6551718	6580829	5	14393	36749.7264	5248.7133	308	CD27,TAPBPL,LOC678655,VAMP1	NCAPD2,SCARNA10,MRPL51	TAPBPL	TAPBPL	1.2040000000000002	308	1
2_MACS_peak_20517_lociStitched	chr3	186703182	186720653	2	14387	41306.6853	5679.8221	309	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	0.4758	309	1
3_MACS_peak_1792_lociStitched	chr1	156065090	156086179	3	14386	31169.542	4915.8459	310	LMNA	ROBLD3,RAB25,SEMA4A,UBQLN4,MEX3A	LMNA	SEMA4A	1.7044000000000001	310	1
3_MACS_peak_10942_lociStitched	chr16	81841200	81857831	3	14384	24397.677	1747.9181	311	PLCG2		PLCG2	PLCG2	0.16469999999999999	311	1
3_MACS_peak_19423_lociStitched	chr3	69128512	69145976	3	14289	17977.4416	3405.48	312	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	ARL6IP5	0.49870000000000003	312	1
2_MACS_peak_13814_lociStitched	chr19	35693691	35708319	2	14282	44748.5148	3047.0124	313		FXYD5,LSR,FAM187B	FAM187B	LSR	0.378	313	1
2_MACS_peak_23717_lociStitched	chr6	381263	401518	2	14258	26276.8115	4069.2295	314	IRF4		IRF4	IRF4	0.7163999999999999	314	1
4_MACS_peak_9174_lociStitched	chr15	45001868	45029381	4	14255	29119.7592	5601.6468	315	B2M,TRIM69	SPG11,PATL2	B2M	B2M	0.6251	315	1
2_MACS_peak_15042_lociStitched	chr2	65608850	65624784	2	14244	23137.7614	3068.8884	316	SPRED2	SPRED2	SPRED2	SPRED2	0.2974	316	1
4_MACS_peak_26916_lociStitched	chr7	130902232	130917839	4	14230	20760.4314	3681.6913	317	MKLN1		MKLN1	MKLN1	0.08080000000000001	317	1
2_MACS_peak_17576_lociStitched	chr20	61272751	61291159	2	14214	36009.7296	3007.8672	318	SLCO4A1	NTSR1,LOC100127888	SLCO4A1	SLCO4A1	0.8473999999999999	318	1
2_MACS_peak_8961_lociStitched	chr15	31546266	31563024	2	14213	45194.6502	3737.034	319			KLF13	KLF13	0.8371	319	1
3_MACS_peak_21238_lociStitched	chr4	77117352	77136639	3	14206	30249.7308	4275.9279	320	SCARB2	FAM47E,NUP54	SCARB2	SCARB2	0.38079999999999997	320	1
3_MACS_peak_6126_lociStitched	chr12	13242114	13256373	3	14172	21449.8137	2613.6747	321	GSG1	KIAA1467	GSG1	GSG1	0.5663	321	1
3_MACS_peak_19022_lociStitched	chr3	39247647	39264172	3	14145	25190.71	3376.0575	322		XIRP1	XIRP1	XIRP1	0.2709	322	1
3_MACS_peak_9504_lociStitched	chr15	70042243	70056927	3	14133	19165.5568	2858.9748	323			C15orf50	C15orf50	NONE	323	1
3_MACS_peak_21429_lociStitched	chr4	100729572	100744247	3	14084	17987.1475	3202.085	324	DAPP1		DAPP1	DAPP1	0.607	324	1
