#02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04_ROSE/02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X02_0EWO_0229Kronos_MM1S.No.Treatment.2_H3K18Ac_hs.dm_i04.bam
#Using cutoff of 14943.2417 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X02_0EWO_0229Kronos_MM1S.No.Treatment.2_H3K18Ac_hs.dm_i04.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	isSuper
1_MACS_peak_21229_lociStitched	chr4	76648309	76650936	1	2628	4645.5868	774.4396	6046	0
3_MACS_peak_3061_lociStitched	chr10	6181980	6193998	3	4987	5548.7106	1677.7128	6047	0
2_MACS_peak_27870_lociStitched	chr8	74883076	74889437	2	3913	5134.5992	1264.5668	6048	0
1_MACS_peak_16535_lociStitched	chr2	225905159	225907831	1	2673	4448.3456	578.488	6049	0
1_MACS_peak_825_lociStitched	chr1	49442024	49448078	1	6055	4929.1668	1059.45	6050	0
1_MACS_peak_22144_lociStitched	chr5	1521574	1525188	1	3615	4263.7972	394.2874	6051	0
2_MACS_peak_11005_lociStitched	chr16	88699659	88705764	2	4134	4500.606	631.257	6052	0
1_MACS_peak_30561_lociStitched	chrX	131622165	131625555	1	3391	4231.398	362.052	6053	0
1_MACS_peak_9232_lociStitched	chr15	49314223	49318573	1	4351	4541.4	672.51	6054	0
1_MACS_peak_16766_lociStitched	chr20	1142283	1145644	1	3362	4483.574	615.063	6055	0
2_MACS_peak_12676_lociStitched	chr18	20318132	20323128	2	4507	4705.7324	837.3296	6056	0
1_MACS_peak_10397_lociStitched	chr16	25059105	25061930	1	2826	4543.4475	676.305	6057	0
1_MACS_peak_26085_lociStitched	chr7	49371194	49374645	1	3452	4415.5545	548.709	6058	0
2_MACS_peak_30228_lociStitched	chrX	58150104	58159778	2	6239	4718.0098	851.312	6059	0
1_MACS_peak_21910_lociStitched	chr4	166965062	166968200	1	3139	4446.546	580.2162	6060	0
2_MACS_peak_270_lociStitched	chr1	20404294	20408826	2	4172	4545.596	679.3468	6061	0
2_MACS_peak_13563_lociStitched	chr19	14124980	14130401	2	4207	4690.2492	824.5341	6062	0
1_MACS_peak_18476_lociStitched	chr22	40572409	40575813	1	3405	4519.8312	654.5892	6063	0
1_MACS_peak_22919_lociStitched	chr5	112195963	112198241	1	2279	4414.3084	549.2258	6064	0
1_MACS_peak_9474_lociStitched	chr15	67812444	67814776	1	2333	4264.9948	401.104	6065	0
2_MACS_peak_28100_lociStitched	chr8	105627941	105636266	2	4867	4710.285	846.6525	6066	0
2_MACS_peak_2780_lociStitched	chr1	228939804	228948133	2	4464	5404.6881	1541.6979	6067	0
1_MACS_peak_24466_lociStitched	chr6	45344550	45346659	1	2110	4275.9975	413.364	6068	0
1_MACS_peak_17609_lociStitched	chr20	62609562	62613332	1	3771	4548.505	686.14	6069	0
1_MACS_peak_5444_lociStitched	chr11	93860996	93863588	1	2593	4424.0256	561.6864	6070	0
1_MACS_peak_30445_lociStitched	chrX	109025269	109027781	1	2513	4316.6208	454.4208	6071	0
2_MACS_peak_18987_lociStitched	chr3	34239210	34243559	2	3830	4542.0956	680.1836	6072	0
1_MACS_peak_21342_lociStitched	chr4	84375738	84378051	1	2314	4514.0508	652.9599	6073	0
1_MACS_peak_28453_lociStitched	chr8	145514009	145517048	1	3040	4323.5853	462.8397	6074	0
2_MACS_peak_25249_lociStitched	chr6	138131426	138138239	2	4194	5378.1822	1518.6177	6075	0
1_MACS_peak_15359_lociStitched	chr2	97000394	97002779	1	2386	4406.526	547.119	6076	0
3_MACS_peak_13605_lociStitched	chr19	16285707	16297181	3	4853	5626.8496	1768.1434	6077	0
1_MACS_peak_30419_lociStitched	chrX	102940422	102943354	1	2933	4284.8248	426.3128	6078	0
1_MACS_peak_17743_lociStitched	chr21	33030880	33033444	1	2565	4508.0248	649.7176	6079	0
1_MACS_peak_15598_lociStitched	chr2	113751887	113755186	1	3300	4762.7663	904.9157	6080	0
1_MACS_peak_8528_lociStitched	chr14	75642181	75644086	1	1906	4035.933	178.4985	6081	0
1_MACS_peak_27270_lociStitched	chr8	10696004	10698641	1	2638	4488.7014	631.2978	6082	0
1_MACS_peak_28288_lociStitched	chr8	130949641	130953218	1	3578	4633.2881	776.209	6083	0
2_MACS_peak_3615_lociStitched	chr10	71929084	71934730	2	3800	4947.0252	1090.8072	6084	0
1_MACS_peak_18597_lociStitched	chr22	47132416	47135996	1	3581	4409.486	553.468	6085	0
2_MACS_peak_14943_lociStitched	chr2	60868563	60873221	2	3271	4509.8756	653.9832	6086	0
2_MACS_peak_13049_lociStitched	chr18	60883040	60892385	2	4453	5321.043	1465.296	6087	0
1_MACS_peak_28378_lociStitched	chr8	138486355	138488884	1	2530	4321.3023	465.8418	6088	0
1_MACS_peak_16176_lociStitched	chr2	190647964	190650387	1	2424	4647.7986	792.5633	6089	0
1_MACS_peak_20196_lociStitched	chr3	160166260	160168508	1	2249	4579.6256	724.5304	6090	0
1_MACS_peak_19997_lociStitched	chr3	139107463	139109650	1	2188	4446.6084	592.0209	6091	0
1_MACS_peak_15058_lociStitched	chr2	68347116	68349759	1	2644	4526.6661	672.6435	6092	0
2_MACS_peak_12210_lociStitched	chr17	67322039	67328931	2	3424	4887.1172	1033.1108	6093	0
1_MACS_peak_14958_lociStitched	chr2	61403219	61405919	1	2701	4321.89	468.18	6094	0
1_MACS_peak_18244_lociStitched	chr22	30986681	30988621	1	1941	4334.542	482.866	6095	0
2_MACS_peak_3155_lociStitched	chr10	14643116	14647229	2	4064	4455.6129	604.1997	6096	0
1_MACS_peak_22746_lociStitched	chr5	85913227	85915088	1	1862	4300.771	449.6176	6097	0
1_MACS_peak_19275_lociStitched	chr3	51975021	51977721	1	2701	4619.97	769.23	6098	0
1_MACS_peak_10670_lociStitched	chr16	57218520	57221954	1	3435	4626.9716	776.7708	6099	0
1_MACS_peak_21554_lociStitched	chr4	111984301	111987344	1	3044	4658.5287	809.1337	6100	0
1_MACS_peak_28044_lociStitched	chr8	102215803	102219280	1	3478	4218.9918	369.6051	6101	0
2_MACS_peak_10601_lociStitched	chr16	50185875	50189970	2	4066	4482.7965	633.4965	6102	0
2_MACS_peak_11373_lociStitched	chr17	18945282	18951124	2	3851	4989.068	1139.7742	6103	0
1_MACS_peak_1264_lociStitched	chr1	100502250	100505240	1	2991	4132.778	283.751	6104	0
1_MACS_peak_5568_lociStitched	chr11	110299653	110302654	1	3002	4421.3733	572.5908	6105	0
3_MACS_peak_28047_lociStitched	chr8	102914410	102924774	3	4536	5017.2124	1170.0956	6106	0
1_MACS_peak_3395_lociStitched	chr10	43915337	43917213	1	1877	4290.9748	444.612	6107	0
3_MACS_peak_25930_lociStitched	chr7	36982603	36998566	3	6061	6190.4514	2344.9647	6108	0
1_MACS_peak_4519_lociStitched	chr11	10314467	10317293	1	2827	4375.4958	530.4402	6109	0
2_MACS_peak_15035_lociStitched	chr2	65291660	65300676	2	3949	5491.6456	1647.2232	6110	0
2_MACS_peak_10395_lociStitched	chr16	25024827	25031538	2	4926	5030.5656	1187.1759	6111	0
1_MACS_peak_17667_lociStitched	chr21	19815016	19817307	1	2292	4374.4354	531.2829	6112	0
2_MACS_peak_15438_lociStitched	chr2	105986079	105991449	2	3104	4636.995	794.76	6113	0
2_MACS_peak_17203_lociStitched	chr20	35574688	35580891	2	4618	4902.8512	1060.713	6114	0
2_MACS_peak_15572_lociStitched	chr2	112655042	112665195	2	4906	5622.7314	1780.8362	6115	0
1_MACS_peak_26416_lociStitched	chr7	91873893	91876623	1	2731	4438.98	598.143	6116	0
2_MACS_peak_27105_lociStitched	chr7	149565126	149572229	2	4816	5454.3937	1613.8016	6117	0
1_MACS_peak_15630_lociStitched	chr2	118942919	118944794	1	1876	4200.5625	360	6118	0
1_MACS_peak_16170_lociStitched	chr2	190304746	190307141	1	2396	4574.2105	734.5465	6119	0
1_MACS_peak_4314_lociStitched	chr10	129922933	129925721	1	2789	4350.3952	510.7616	6120	0
1_MACS_peak_23295_lociStitched	chr5	143204192	143209131	1	4940	5006.6643	1167.0857	6121	0
2_MACS_peak_27698_lociStitched	chr8	54566058	54571954	2	4135	4748.6384	909.7528	6122	0
1_MACS_peak_23776_lociStitched	chr6	4939815	4943638	1	3824	4628.8884	790.5964	6123	0
1_MACS_peak_29061_lociStitched	chr9	93535322	93538835	1	3514	4521.9336	684.3324	6124	0
1_MACS_peak_3601_lociStitched	chr10	70803702	70806659	1	2958	4531.3068	693.7122	6125	0
1_MACS_peak_11814_lociStitched	chr17	42275420	42278742	1	3323	4325.9084	488.9984	6126	0
2_MACS_peak_990_lociStitched	chr1	65360229	65365656	2	4951	4705.7517	869.4054	6127	0
1_MACS_peak_28163_lociStitched	chr8	119632563	119635520	1	2958	4507.6508	673.9003	6128	0
1_MACS_peak_4361_lociStitched	chr11	235460	237999	1	2540	4349.8148	516.4326	6129	0
1_MACS_peak_26723_lociStitched	chr7	114618652	114623259	1	4608	5132.6587	1300.0954	6130	0
1_MACS_peak_22677_lociStitched	chr5	76786474	76788769	1	2296	4306.5675	476.6715	6131	0
2_MACS_peak_24004_lociStitched	chr6	24512991	24519115	2	3899	4829.9988	1000.6616	6132	0
2_MACS_peak_19914_lociStitched	chr3	130760663	130767951	2	3447	4933.2472	1104.132	6133	0
1_MACS_peak_1069_lociStitched	chr1	71545598	71547990	1	2393	4379.0344	549.9208	6134	0
2_MACS_peak_19142_lociStitched	chr3	46355458	46364856	2	4835	5643.499	1815.6936	6135	0
2_MACS_peak_8439_lociStitched	chr14	67954399	67960533	2	3918	4639.1442	811.5282	6136	0
2_MACS_peak_4596_lociStitched	chr11	14912086	14917127	2	3430	4695.1874	868.5643	6137	0
2_MACS_peak_21713_lociStitched	chr4	140148432	140155930	2	4898	5202.1124	1375.883	6138	0
1_MACS_peak_19592_lociStitched	chr3	101394361	101397205	1	2845	4515.9876	690.5232	6139	0
1_MACS_peak_13926_lociStitched	chr19	40789814	40792225	1	2412	4368.9731	544.1627	6140	0
1_MACS_peak_1187_lociStitched	chr1	89989316	89991612	1	2297	4316.7096	492.0328	6141	0
1_MACS_peak_4437_lociStitched	chr11	3817662	3820171	1	2510	4481.3249	657.8598	6142	0
2_MACS_peak_29746_lociStitched	chr9	140348313	140355158	2	3886	4825.0405	1002.7925	6143	0
2_MACS_peak_25751_lociStitched	chr7	21391553	21396629	2	4921	4940.9784	1119.258	6144	0
1_MACS_peak_3126_lociStitched	chr10	12406741	12409456	1	2716	4408.3455	586.983	6145	0
1_MACS_peak_3230_lociStitched	chr10	22540293	22542382	1	2090	4178	356.8012	6146	0
1_MACS_peak_17995_lociStitched	chr21	47775455	47778530	1	3076	4641.7125	820.7175	6147	0
2_MACS_peak_19650_lociStitched	chr3	110340633	110345728	2	4953	4439.783	619.552	6148	0
2_MACS_peak_3465_lociStitched	chr10	51564374	51572914	2	3266	5112.898	1292.956	6149	0
1_MACS_peak_24657_lociStitched	chr6	76634810	76637975	1	3166	4520.253	701.0475	6150	0
2_MACS_peak_25254_lociStitched	chr6	138224859	138233830	2	4410	5556.6374	1738.5798	6151	0
4_MACS_peak_1421_lociStitched	chr1	117046190	117060467	4	5880	5188.2618	1372.0197	6152	0
3_MACS_peak_26269_lociStitched	chr7	74341256	74347410	3	3849	4395.8022	579.7068	6153	0
1_MACS_peak_19568_lociStitched	chr3	99535587	99537866	1	2280	4480.9698	665.0122	6154	0
1_MACS_peak_25753_lociStitched	chr7	21465843	21468733	1	2891	4278.067	462.978	6155	0
1_MACS_peak_19720_lociStitched	chr3	115376489	115379042	1	2554	4187.1753	372.2274	6156	0
1_MACS_peak_9635_lociStitched	chr15	77312547	77315791	1	3245	4430.9796	616.36	6157	0
1_MACS_peak_12984_lociStitched	chr18	55288042	55290164	1	2123	4129.412	314.9048	6158	0
2_MACS_peak_14829_lociStitched	chr2	46719389	46727850	2	3876	5143.4419	1329.2231	6159	0
2_MACS_peak_22217_lociStitched	chr5	14142187	14145780	2	3545	4324.1755	510.5653	6160	0
1_MACS_peak_14788_lociStitched	chr2	44221943	44224232	1	2290	4302.6333	489.1593	6161	0
2_MACS_peak_18004_lociStitched	chr22	17091506	17099638	2	4551	4840.9796	1028.698	6162	0
1_MACS_peak_18861_lociStitched	chr3	18464978	18467625	1	2648	4041.1749	228.9655	6163	0
1_MACS_peak_27139_lociStitched	chr7	151328101	151331063	1	2963	4623.682	812.1804	6164	0
1_MACS_peak_7838_lociStitched	chr13	78270087	78274105	1	4019	4443.5062	632.0314	6165	0
2_MACS_peak_23266_lociStitched	chr5	142176548	142181547	2	4307	4750.0498	938.8122	6166	0
2_MACS_peak_16093_lociStitched	chr2	179342527	179346163	2	3454	4485.7332	674.8416	6167	0
1_MACS_peak_22757_lociStitched	chr5	86431469	86436020	1	4552	4721.2074	910.6551	6168	0
2_MACS_peak_23938_lociStitched	chr6	15657960	15663571	2	3635	4857.4427	1047.5737	6169	0
2_MACS_peak_26493_lociStitched	chr7	99148821	99157503	2	3507	4986.0726	1176.411	6170	0
1_MACS_peak_6877_lociStitched	chr12	82751265	82752990	1	1726	4267.4775	457.9875	6171	0
2_MACS_peak_4445_lociStitched	chr11	3967511	3972988	2	4873	4881.1024	1071.8489	6172	0
1_MACS_peak_29685_lociStitched	chr9	136999873	137002528	1	2656	4193.838	385.2405	6173	0
1_MACS_peak_14469_lociStitched	chr2	18740458	18742725	1	2268	4330.8768	523.677	6174	0
2_MACS_peak_19396_lociStitched	chr3	64336214	64346461	2	6916	5734.2212	1927.4607	6175	0
2_MACS_peak_19292_lociStitched	chr3	52344362	52349851	2	4687	4665.65	859.0285	6176	0
1_MACS_peak_8258_lociStitched	chr14	50099782	50102793	1	3012	4246.1122	439.9071	6177	0
1_MACS_peak_6532_lociStitched	chr12	51610621	51613387	1	2767	4320.492	515.0292	6178	0
1_MACS_peak_6485_lociStitched	chr12	49452982	49455385	1	2404	4220.1486	414.7578	6179	0
3_MACS_peak_9117_lociStitched	chr15	41708215	41722402	3	5673	6184.1133	2379.1599	6180	0
2_MACS_peak_8607_lociStitched	chr14	89881966	89885284	2	3180	4058.5776	254.4906	6181	0
1_MACS_peak_26472_lociStitched	chr7	97879441	97882395	1	2955	4732.8988	929.3284	6182	0
1_MACS_peak_3460_lociStitched	chr10	50746056	50748479	1	2424	4214.0816	410.6985	6183	0
3_MACS_peak_7672_lociStitched	chr13	43618413	43630179	3	3817	4752.2874	949.5162	6184	0
1_MACS_peak_18404_lociStitched	chr22	38769214	38772280	1	3067	4517.751	715.2978	6185	0
1_MACS_peak_3564_lociStitched	chr10	65025961	65029730	1	3770	4685.2439	883.0767	6186	0
1_MACS_peak_8469_lociStitched	chr14	70232964	70234959	1	1996	3967.257	165.585	6187	0
1_MACS_peak_14954_lociStitched	chr2	61243429	61245708	1	2280	4331.4674	529.8675	6188	0
1_MACS_peak_14287_lociStitched	chr19	58693576	58695693	1	2118	4130.0553	329.6169	6189	0
1_MACS_peak_19867_lociStitched	chr3	128368277	128370335	1	2059	4069.4892	269.3922	6190	0
1_MACS_peak_11864_lociStitched	chr17	44999765	45001342	1	1578	4276.5086	476.5694	6191	0
1_MACS_peak_11393_lociStitched	chr17	19398081	19400784	1	2704	4256.4141	456.5367	6192	0
1_MACS_peak_15148_lociStitched	chr2	73297300	73299410	1	2111	4175.901	377.479	6193	0
1_MACS_peak_22228_lociStitched	chr5	14809337	14811756	1	2420	4277.5177	479.2039	6194	0
2_MACS_peak_5649_lociStitched	chr11	116642499	116648009	2	3861	4771.66	973.617	6195	0
1_MACS_peak_24140_lociStitched	chr6	29909291	29911706	1	2416	4291.6965	494.592	6196	0
1_MACS_peak_14976_lociStitched	chr2	62422130	62425408	1	3279	4420.0552	623.1478	6197	0
1_MACS_peak_16091_lociStitched	chr2	179277715	179280337	1	2623	4402.338	608.0418	6198	0
1_MACS_peak_2122_lociStitched	chr1	179799139	179802677	1	3539	4843.1682	1049.7246	6199	0
1_MACS_peak_22708_lociStitched	chr5	79285457	79288040	1	2584	4351.5801	558.4446	6200	0
1_MACS_peak_4518_lociStitched	chr11	9778524	9781545	1	3022	4490.1123	697.851	6201	0
1_MACS_peak_20234_lociStitched	chr3	167451475	167454193	1	2719	4966.3296	1174.4478	6202	0
2_MACS_peak_10614_lociStitched	chr16	50774270	50777141	2	2837	4396.0752	604.3455	6203	0
1_MACS_peak_28726_lociStitched	chr9	34860649	34864023	1	3375	4666.242	874.5408	6204	0
1_MACS_peak_28345_lociStitched	chr8	134401655	134407047	1	5393	4698.5888	906.9344	6205	0
1_MACS_peak_9987_lociStitched	chr15	102191221	102193678	1	2458	4265.1063	473.9553	6206	0
2_MACS_peak_4358_lociStitched	chr11	187277	193240	2	5854	5825.2547	2034.5756	6207	0
2_MACS_peak_2473_lociStitched	chr1	206857500	206867335	2	4925	5421.052	1630.643	6208	0
1_MACS_peak_9831_lociStitched	chr15	90292896	90295437	1	2542	4332.6591	543.0117	6209	0
1_MACS_peak_7543_lociStitched	chr13	27998034	28001114	1	3081	4151.532	362.516	6210	0
1_MACS_peak_9133_lociStitched	chr15	42839822	42842248	1	2427	4273.399	484.9574	6211	0
2_MACS_peak_25995_lociStitched	chr7	43149144	43153640	2	4248	4621.888	835.8064	6212	0
1_MACS_peak_30684_lociStitched	chrX	153283243	153286533	1	3291	4096.05	311.234	6213	0
1_MACS_peak_10627_lociStitched	chr16	53489853	53492968	1	3116	4358.1965	573.4715	6214	0
1_MACS_peak_15088_lociStitched	chr2	69663438	69665914	1	2477	4279.766	495.6952	6215	0
1_MACS_peak_14579_lociStitched	chr2	27356031	27358620	1	2590	4387.8372	604.2726	6216	0
3_MACS_peak_13030_lociStitched	chr18	60189233	60194466	3	4327	4594.0507	810.5917	6217	0
1_MACS_peak_16220_lociStitched	chr2	196422781	196426952	1	4172	4835.8574	1054.0117	6218	0
1_MACS_peak_8927_lociStitched	chr15	29560804	29563393	1	2590	4123.5003	342.5247	6219	0
2_MACS_peak_15955_lociStitched	chr2	165842513	165849876	2	3867	5291.7881	1512.3602	6220	0
1_MACS_peak_19593_lociStitched	chr3	101404513	101406586	1	2074	4318.8882	539.6019	6221	0
1_MACS_peak_25078_lociStitched	chr6	122815520	122817970	1	2451	4166.715	387.59	6222	0
2_MACS_peak_19280_lociStitched	chr3	52089173	52092418	2	3171	4358.684	579.8815	6223	0
1_MACS_peak_2625_lociStitched	chr1	215739862	215742078	1	2217	4373.4976	594.7744	6224	0
2_MACS_peak_10995_lociStitched	chr16	87900442	87905382	2	4392	4378.322	599.716	6225	0
2_MACS_peak_21759_lociStitched	chr4	144292915	144300587	2	5539	5111.0864	1332.6264	6226	0
1_MACS_peak_2654_lociStitched	chr1	220472978	220476975	1	3998	4873.5421	1095.178	6227	0
2_MACS_peak_30182_lociStitched	chrX	52948885	52953793	2	3877	4497.2004	721.476	6228	0
1_MACS_peak_21781_lociStitched	chr4	146739712	146742470	1	2759	4393.494	619.171	6229	0
1_MACS_peak_24095_lociStitched	chr6	27217801	27220375	1	2575	4361.1282	586.872	6230	0
1_MACS_peak_18048_lociStitched	chr22	19434141	19436381	1	2241	4160.128	385.952	6231	0
1_MACS_peak_10423_lociStitched	chr16	28151645	28154298	1	2654	4222.5148	449.9488	6232	0
1_MACS_peak_28944_lociStitched	chr9	75746111	75749521	1	3411	4490.97	718.487	6233	0
2_MACS_peak_27123_lociStitched	chr7	150704931	150711886	2	3848	5331.0075	1558.6155	6234	0
1_MACS_peak_28538_lociStitched	chr9	4983780	4986447	1	2668	4380.0141	608.076	6235	0
3_MACS_peak_12571_lociStitched	chr18	5974445	5982705	3	5241	4869.27	1097.754	6236	0
2_MACS_peak_15918_lociStitched	chr2	161559440	161563953	2	4173	4623.5685	852.0544	6237	0
1_MACS_peak_16772_lociStitched	chr20	1479929	1482590	1	2662	4320.3996	549.4965	6238	0
1_MACS_peak_16385_lociStitched	chr2	207109033	207111792	1	2760	4462.9584	692.7849	6239	0
2_MACS_peak_4843_lociStitched	chr11	46137337	46144148	2	5064	4705.0388	935.1503	6240	0
1_MACS_peak_8217_lociStitched	chr14	35590524	35592644	1	2121	4108.136	338.564	6241	0
1_MACS_peak_28602_lociStitched	chr9	12783682	12786117	1	2436	4075.703	307.5405	6242	0
1_MACS_peak_17804_lociStitched	chr21	36216064	36219441	1	3378	4490.3969	723.3534	6243	0
2_MACS_peak_24858_lociStitched	chr6	99962423	99970081	2	3528	5156.1314	1389.1612	6244	0
1_MACS_peak_13486_lociStitched	chr19	11707253	11709258	1	2006	4160.1745	393.381	6245	0
1_MACS_peak_9620_lociStitched	chr15	76014200	76018130	1	3931	4440.114	674.781	6246	0
2_MACS_peak_15627_lociStitched	chr2	118763360	118772656	2	3857	5173.224	1408.344	6247	0
1_MACS_peak_10810_lociStitched	chr16	69372554	69375100	1	2547	4435.8958	672.144	6248	0
1_MACS_peak_25631_lociStitched	chr7	6412407	6415228	1	2822	4199.0585	435.5624	6249	0
1_MACS_peak_5286_lociStitched	chr11	73740494	73743192	1	2699	4436.3214	674.2302	6250	0
1_MACS_peak_1919_lociStitched	chr1	161509042	161511384	1	2343	4660.8142	898.8596	6251	0
1_MACS_peak_28818_lociStitched	chr9	41953585	41955498	1	1914	4382.683	623.4467	6252	0
1_MACS_peak_23635_lociStitched	chr5	176432123	176434645	1	2523	4384.2448	626.4648	6253	0
1_MACS_peak_12410_lociStitched	chr17	76811998	76814847	1	2850	4348.7136	592.3071	6254	0
1_MACS_peak_11106_lociStitched	chr17	2238616	2241687	1	3072	4347.0005	590.8604	6255	0
1_MACS_peak_15053_lociStitched	chr2	67624011	67625820	1	1810	4110.9525	355.1067	6256	0
1_MACS_peak_11871_lociStitched	chr17	45355417	45358732	1	3316	4425.525	669.9615	6257	0
3_MACS_peak_17830_lociStitched	chr21	37521782	37529820	3	5193	5516.4794	1761.1258	6258	0
1_MACS_peak_4928_lociStitched	chr11	59134419	59137391	1	2973	4439.8708	684.7488	6259	0
1_MACS_peak_10836_lociStitched	chr16	70487270	70489242	1	1973	4093.0832	338.0008	6260	0
2_MACS_peak_26591_lociStitched	chr7	102984041	102988894	2	3508	4526.8784	772.1123	6261	0
1_MACS_peak_7970_lociStitched	chr13	107218822	107221361	1	2540	4353.3694	599.9657	6262	0
2_MACS_peak_25311_lociStitched	chr6	141803669	141810176	2	3725	4828.194	1074.9564	6263	0
1_MACS_peak_20853_lociStitched	chr4	15755057	15759639	1	4583	4618.656	865.5398	6264	0
3_MACS_peak_22064_lociStitched	chr4	186651374	186656438	3	4982	4546.4592	793.5288	6265	0
1_MACS_peak_14208_lociStitched	chr19	54703659	54705928	1	2270	4233.7271	481.7087	6266	0
1_MACS_peak_30164_lociStitched	chrX	49124734	49127255	1	2522	4120.3224	368.5702	6267	0
3_MACS_peak_10091_lociStitched	chr16	2953991	2967054	3	5319	6082.1328	2330.4392	6268	0
1_MACS_peak_1857_lociStitched	chr1	159786633	159788760	1	2128	4241.0253	491.1243	6269	0
2_MACS_peak_2204_lociStitched	chr1	184829596	184837790	2	4612	5482.6054	1733.031	6270	0
1_MACS_peak_25656_lociStitched	chr7	7678904	7681516	1	2613	4564.7312	815.7276	6271	0
1_MACS_peak_18069_lociStitched	chr22	20861455	20864113	1	2659	4495.2096	746.3664	6272	0
1_MACS_peak_13246_lociStitched	chr19	2288284	2290960	1	2677	4304.346	555.8052	6273	0
1_MACS_peak_23475_lociStitched	chr5	158882866	158888189	1	5324	4807.7336	1059.277	6274	0
1_MACS_peak_4884_lociStitched	chr11	57091705	57094327	1	2623	4158.7542	411.1296	6275	0
1_MACS_peak_13941_lociStitched	chr19	41282580	41285084	1	2505	4457.3704	709.884	6276	0
1_MACS_peak_3953_lociStitched	chr10	98345437	98348338	1	2902	4389.5031	642.2814	6277	0
1_MACS_peak_12986_lociStitched	chr18	55499821	55502273	1	2453	4220.8728	474.2168	6278	0
3_MACS_peak_7424_lociStitched	chr12	127969875	127980750	3	4178	4506.6	760.1625	6279	0
1_MACS_peak_14389_lociStitched	chr2	9769688	9772087	1	2400	4163.9443	417.9058	6280	0
2_MACS_peak_29536_lociStitched	chr9	130330773	130333833	2	3005	4236.57	491.436	6281	0
1_MACS_peak_12591_lociStitched	chr18	8950337	8953003	1	2667	4264.267	520.1366	6282	0
1_MACS_peak_5603_lociStitched	chr11	111956272	111958490	1	2219	4454.6312	711.3126	6283	0
1_MACS_peak_21157_lociStitched	chr4	70186103	70189149	1	3047	4392.6366	650.6256	6284	0
1_MACS_peak_5347_lociStitched	chr11	78578943	78583736	1	4794	4649.6893	908.2735	6285	0
1_MACS_peak_3181_lociStitched	chr10	15760136	15763141	1	3006	4357.25	616.626	6286	0
1_MACS_peak_5293_lociStitched	chr11	74618590	74622462	1	3873	4634.3968	895.2064	6287	0
1_MACS_peak_6440_lociStitched	chr12	48098949	48101662	1	2714	4251.271	512.757	6288	0
2_MACS_peak_28078_lociStitched	chr8	104310270	104317337	2	4207	4512.9862	774.5432	6289	0
1_MACS_peak_24391_lociStitched	chr6	41862020	41865412	1	3393	4617.5296	880.5632	6290	0
1_MACS_peak_13396_lociStitched	chr19	8360842	8363412	1	2571	4241.271	505.262	6291	0
1_MACS_peak_4959_lociStitched	chr11	61099582	61102088	1	2507	4350.1654	614.7218	6292	0
1_MACS_peak_15517_lociStitched	chr2	111101270	111105396	1	4127	4372.7348	637.467	6293	0
2_MACS_peak_20581_lociStitched	chr3	194405782	194409630	2	3408	4603.3624	868.4936	6294	0
2_MACS_peak_4114_lociStitched	chr10	108690310	108697335	2	5547	4892.21	1157.72	6295	0
1_MACS_peak_2029_lociStitched	chr1	169763063	169766019	1	2957	4552.24	818.2208	6296	0
1_MACS_peak_11506_lociStitched	chr17	29034615	29037741	1	3127	4276.6806	542.6736	6297	0
3_MACS_peak_948_lociStitched	chr1	60035660	60046325	3	5582	5283.441	1549.6245	6298	0
1_MACS_peak_22626_lociStitched	chr5	72682294	72685482	1	3189	4482.0092	748.5424	6299	0
1_MACS_peak_11216_lociStitched	chr17	7231740	7234493	1	2754	4409.7554	676.4121	6300	0
1_MACS_peak_10220_lociStitched	chr16	11796489	11801346	1	4858	4813.7727	1080.6825	6301	0
1_MACS_peak_17409_lociStitched	chr20	48428421	48430772	1	2352	4334.5387	602.0911	6302	0
1_MACS_peak_25428_lociStitched	chr6	157339879	157343596	1	3718	4102.4529	370.2132	6303	0
2_MACS_peak_9377_lociStitched	chr15	60875258	60885556	2	4561	4828.7322	1096.737	6304	0
1_MACS_peak_4859_lociStitched	chr11	47269525	47271480	1	1956	4230.8155	499.307	6305	0
1_MACS_peak_20725_lociStitched	chr4	4542407	4545003	1	2597	4346.2232	614.9924	6306	0
1_MACS_peak_778_lociStitched	chr1	45983874	45988514	1	4641	4668.304	937.28	6307	0
2_MACS_peak_4316_lociStitched	chr10	130705704	130712659	2	4402	4689.7565	959.0945	6308	0
1_MACS_peak_24853_lociStitched	chr6	99539150	99542757	1	3608	4676.8362	947.9196	6309	0
1_MACS_peak_15070_lociStitched	chr2	68692274	68695539	1	3266	4551.7365	823.7595	6310	0
1_MACS_peak_17307_lociStitched	chr20	43149451	43151621	1	2171	4292.477	565.285	6311	0
3_MACS_peak_11698_lociStitched	chr17	38218265	38226351	3	4315	4752.9508	1026.1134	6312	0
