REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X02_0EWO_0229Kronos_MM1S.No.Treatment.2_H3K18Ac_hs.dm_i04.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
2_MACS_peak_22466_lociStitched	chr5	55436940	55459916	2	18168	37041.9072	4716.9728	190	ANKRD55		ANKRD55	190	1
1_MACS_peak_5952_lociStitched	chr12	4377341	4388377	1	11037	34736.9136	2441.1632	191	CCND2	C12orf5	CCND2	191	1
3_MACS_peak_9488_lociStitched	chr15	68568757	68599547	3	25823	38207.311	5982.497	192	FEM1B,ITGA11	CLN6	FEM1B	192	1
2_MACS_peak_22009_lociStitched	chr4	185200570	185210946	2	10296	35056.3536	2979.9872	193			ENPP6	193	1
4_MACS_peak_9571_lociStitched	chr15	74674093	74696794	4	16490	36239.8764	4176.984	194		CYP11A1,SEMA7A	CYP11A1	194	1
4_MACS_peak_24045_lociStitched	chr6	26183679	26207378	4	16503	36979.9196	4976.79	195	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	195	1
5_MACS_peak_2177_lociStitched	chr1	183856392	183885950	5	20624	38862.8584	7283.0912	196	RGL1		GLT25D2	196	1
4_MACS_peak_10374_lociStitched	chr16	23342676	23366140	4	15912	36097.0176	4552.016	197	SCNN1B		SCNN1B	197	1
5_MACS_peak_5979_lociStitched	chr12	6551718	6580829	5	14393	36749.7264	5248.7133	198	CD27,TAPBPL,LOC678655,VAMP1	NCAPD2,SCARNA10,MRPL51	TAPBPL	198	1
1_MACS_peak_11656_lociStitched	chr17	36855992	36863609	1	7618	33200.9796	1732.1058	199	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	199	1
3_MACS_peak_13243_lociStitched	chr19	2254649	2271878	3	12906	35705.3796	4236.6111	200	OAZ1,JSRP1	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,C19orf35,LINGO3	OAZ1	200	1
1_MACS_peak_6229_lociStitched	chr12	26265560	26280389	1	14830	35171.4222	3733.9422	201	BHLHE41		BHLHE41	201	1
3_MACS_peak_14085_lociStitched	chr19	47728344	47748741	3	14570	35323.5246	3897.8667	202	MIR3190,BBC3,MIR3191	CCDC9,PRR24	BBC3	202	1
10_MACS_peak_18441_lociStitched	chr22	39630931	39674589	10	26010	37842.7544	6435.1892	203	PDGFB	SNORD83B,SNORD83A,RNU86,SNORD43,RPL3	PDGFB	203	1
2_MACS_peak_22771_lociStitched	chr5	88171125	88187028	2	15685	34880.0499	3559.0914	204	MEF2C		MEF2C	204	1
3_MACS_peak_3770_lociStitched	chr10	81000903	81020587	3	18103	34885.9532	3588.3932	205	ZMIZ1		PPIF	205	1
2_MACS_peak_15103_lociStitched	chr2	70310190	70323284	2	9100	34193.6716	2917.3432	206	PCBP1,LOC400960	LOC100133985	PCBP1	206	1
3_MACS_peak_29087_lociStitched	chr9	94180968	94196235	3	14826	34337.0097	3096.1476	207	NFIL3		NFIL3	207	1
3_MACS_peak_341_lociStitched	chr1	24512186	24533973	3	16469	35754.6457	4780.0678	208	LOC284632,IL28RA	IL22RA1	LOC284632	208	1
5_MACS_peak_17289_lociStitched	chr20	42564451	42593749	5	21470	35728.911	4787.2932	209	TOX2		TOX2	209	1
4_MACS_peak_14533_lociStitched	chr2	25622787	25646052	4	15990	35486.1045	4664.6325	210	DTNB		DNMT3A	210	1
4_MACS_peak_18207_lociStitched	chr22	29206845	29225841	4	17204	34394.1576	3616.8384	211		CCDC117,XBP1	XBP1	211	1
2_MACS_peak_6571_lociStitched	chr12	53845963	53874826	2	28710	36627.147	6000.6177	212	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	212	1
1_MACS_peak_8029_lociStitched	chr13	114556133	114568181	1	12049	33536.8128	2932.4832	213	GAS6	FLJ44054,GAS6	GAS6	213	1
6_MACS_peak_9510_lociStitched	chr15	70306046	70330799	6	19517	34807.6686	4222.8618	214		MIR629	MIR629	214	1
1_MACS_peak_1011_lociStitched	chr1	66735755	66751879	1	16125	34166.756	3635.962	215	PDE4B	PDE4B	PDE4B	215	1
1_MACS_peak_12603_lociStitched	chr18	9132527	9152655	1	20129	34604.0576	4283.2384	216	NDUFV2,ANKRD12		ANKRD12	216	1
2_MACS_peak_17458_lociStitched	chr20	52194810	52216071	2	20531	33949.5648	3741.936	217	ZNF217		ZNF217	217	1
4_MACS_peak_5042_lociStitched	chr11	64611324	64634937	4	16591	34052.3073	3858.3642	218	CDC42BPG,EHD1	MAP4K2,MEN1,MIR192,MIR194-2,ATG2A	CDC42BPG	218	1
2_MACS_peak_22294_lociStitched	chr5	32570953	32591219	2	17447	34134.0238	3998.4818	219	SUB1		SUB1	219	1
4_MACS_peak_20254_lociStitched	chr3	169647407	169668407	4	18006	35966.7	5842.2	220	SAMD7,LOC100128164	SEC62	LOC100128164	220	1
2_MACS_peak_5790_lociStitched	chr11	126056248	126069289	2	12435	33019.812	2900.3184	221		FAM118B,RPUSD4	RPUSD4	221	1
3_MACS_peak_11187_lociStitched	chr17	6059912	6074585	3	12268	32569.6581	2522.2887	222			WSCD1	222	1
4_MACS_peak_5378_lociStitched	chr11	82763101	82790488	4	17956	35405.9136	5521.2192	223	RAB30	SNORA70E	RAB30	223	1
4_MACS_peak_13199_lociStitched	chr19	1258449	1277628	4	12136	34646.8635	4850.3691	224	MIDN,CIRBP,C19orf24,C19orf23	ATP5D,EFNA2,C19orf26	CIRBP	224	1
2_MACS_peak_15251_lociStitched	chr2	86220042	86231906	2	11841	32513.292	2722.788	225		LOC90784	LOC90784	225	1
2_MACS_peak_311_lociStitched	chr1	23850080	23866808	2	12314	33256.9368	3494.4792	226	E2F2	ASAP3,ID3	E2F2	226	1
2_MACS_peak_9706_lociStitched	chr15	81576247	81596781	2	15694	34417.0374	4747.4608	227	IL16	STARD5	IL16	227	1
1_MACS_peak_22018_lociStitched	chr4	185300537	185308487	1	7951	31892.22	2240.31	228			IRF2	228	1
1_MACS_peak_16118_lociStitched	chr2	182168391	182180058	1	11668	32832.1047	3286.5939	229			ITGA4	229	1
3_MACS_peak_24026_lociStitched	chr6	25365765	25390469	3	20754	34454.6688	4990.208	230	LRRC16A		LRRC16A	230	1
1_MACS_peak_1529_lociStitched	chr1	145448130	145457884	1	9755	33177.2556	3793.3306	231	POLR3GL	HFE2,TXNIP,ANKRD34A,LIX1L,RBM8A	TXNIP	231	1
3_MACS_peak_5189_lociStitched	chr11	67760278	67782266	3	17275	33412.9648	4188.714	232	ALDH3B1,UNC93B1	NDUFS8,TCIRG1	UNC93B1	232	1
4_MACS_peak_6773_lociStitched	chr12	68752056	68770975	4	17031	33032.574	3829.2056	233		MDM1	MDM1	233	1
2_MACS_peak_18359_lociStitched	chr22	37610713	37628994	2	16070	33220.2332	4027.3043	234	RAC2	CYTH4,C1QTNF6,SSTR3	SSTR3	234	1
4_MACS_peak_3428_lociStitched	chr10	45913602	45932248	4	14069	31972.2962	3119.4758	235	ALOX5		ALOX5	235	1
4_MACS_peak_19128_lociStitched	chr3	46126993	46153466	4	20623	34070.751	5225.7702	236			XCR1	236	1
1_MACS_peak_14756_lociStitched	chr2	42323314	42335338	1	12025	31590.6552	2784.7584	237		PKDCC	PKDCC	237	1
2_MACS_peak_27544_lociStitched	chr8	33409840	33425686	2	12696	31959.7974	3154.9386	238	RNF122	C8orf41,DUSP26	RNF122	238	1
2_MACS_peak_18190_lociStitched	chr22	27000022	27015779	2	13874	31799.2017	3015.8898	239	CRYBB1	CRYBA4,MIAT,MIR548J,TPST2	CRYBB1	239	1
1_MACS_peak_11682_lociStitched	chr17	37909146	37916332	1	7187	30569.244	1877.7018	240		GRB7,C17orf37	GRB7	240	1
5_MACS_peak_10355_lociStitched	chr16	22194953	22219327	5	17997	33840.8616	5162.4132	241	EEF2K		EEF2K	241	1
3_MACS_peak_1487_lociStitched	chr1	143442079	143469133	3	17702	37177.6068	8603.172	242			LOC100130000	242	1
2_MACS_peak_1785_lociStitched	chr1	155938592	155954584	2	15311	32895.544	4460.1688	243	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	243	1
2_MACS_peak_27512_lociStitched	chr8	29622007	29635546	2	8787	31112.622	2737.5858	244		C8orf75	C8orf75	244	1
2_MACS_peak_4415_lociStitched	chr11	2791750	2805218	2	12285	31142.0564	2794.61	245	KCNQ1		KCNQ1OT1	245	1
3_MACS_peak_3668_lociStitched	chr10	74077794	74097426	3	12944	31517.2128	3196.0896	246	DNAJB12	DDIT4	DNAJB12	246	1
4_MACS_peak_15489_lociStitched	chr2	109822806	109843492	4	18664	32228.788	4042.0444	247	SH3RF3		MIR4265	247	1
3_MACS_peak_23684_lociStitched	chr5	180228395	180249448	3	16029	31819.5042	3713.7492	248	MGAT1	LOC729678,ZFP62	MGAT1	248	1
7_MACS_peak_9065_lociStitched	chr15	40329766	40358610	7	22244	32945.6168	4842.9076	249	SRP14	BMF	SRP14	249	1
1_MACS_peak_18134_lociStitched	chr22	23477828	23489009	1	11182	30654.9477	2554.8585	250	RAB36,RTDR1	BCR	RTDR1	250	1
3_MACS_peak_4980_lociStitched	chr11	62308047	62325931	3	14764	31579.5672	3489.1684	251	AHNAK	EEF1G,TUT1,MTA2	AHNAK	251	1
5_MACS_peak_15548_lociStitched	chr2	112208728	112242294	5	21390	33827.8148	5743.1426	252	LOC541471		LOC541471	252	1
1_MACS_peak_17312_lociStitched	chr20	43270057	43282299	1	12243	30875.5482	3060.5	253	ADA	LOC79015	ADA	253	1
2_MACS_peak_24062_lociStitched	chr6	26353896	26367964	2	14019	30568.3572	2923.3304	254	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	254	1
2_MACS_peak_30145_lociStitched	chrX	48790332	48805600	2	14615	29468.7668	1885.598	255	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	255	1
1_MACS_peak_20361_lociStitched	chr3	178228049	178241630	1	13582	31543.2306	4026.7665	256		KCNMB2	KCNMB2	256	1
2_MACS_peak_1730_lociStitched	chr1	154753564	154766392	2	12824	31197.696	3818.8956	257	KCNN3		KCNN3	257	1
3_MACS_peak_19557_lociStitched	chr3	98477271	98496845	3	18296	31388.8664	4032.244	258	ST3GAL6		ST3GAL6	258	1
6_MACS_peak_13441_lociStitched	chr19	10513219	10542991	6	20522	32549.7276	5239.872	259	PDE4A,CDC37,MIR1181	PDE4A,TYK2	PDE4A	259	1
1_MACS_peak_26899_lociStitched	chr7	129587813	129593353	1	5541	29473.354	2165.032	260	UBE2H		UBE2H	260	1
1_MACS_peak_2526_lociStitched	chr1	209274464	209286164	1	11701	31081.05	3843.45	261			LOC642587	261	1
2_MACS_peak_5668_lociStitched	chr11	117871513	117885111	2	13216	29503.5806	2440.841	262	IL10RA		IL10RA	262	1
3_MACS_peak_29542_lociStitched	chr9	130531809	130551605	3	12958	30515.534	3458.3612	263	CDK9,MIR2861,SH2D3C	FPGS,TOR2A,SH2D3C	SH2D3C	263	1
2_MACS_peak_10229_lociStitched	chr16	12056260	12072086	2	11354	30730.9268	3677.9624	264	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	264	1
4_MACS_peak_21163_lociStitched	chr4	71526582	71555477	4	20330	32816.0515	5773.221	265	UTP3,IGJ	ENAM,RUFY3	IGJ	265	1
1_MACS_peak_2977_lociStitched	chr1	249110961	249122096	1	11136	30564.4615	3558.746	266	MIR3124,SH3BP5L	ZNF672,ZNF692	SH3BP5L	266	1
4_MACS_peak_23815_lociStitched	chr6	7134893	7157600	4	15989	31453.7364	4484.6325	267	RREB1		RREB1	267	1
5_MACS_peak_26973_lociStitched	chr7	137683896	137727146	5	22049	37047.95	10085.9	268	CREB3L2	AKR1D1	CREB3L2	268	1
1_MACS_peak_20341_lociStitched	chr3	176911088	176921984	1	10897	30402.0192	3442.0464	269	TBL1XR1		TBL1XR1	269	1
4_MACS_peak_14840_lociStitched	chr2	47193727	47215750	4	14632	31270.4577	4338.531	270	TTC7A	MCFD2	MCFD2	270	1
2_MACS_peak_17353_lociStitched	chr20	45172080	45192020	2	16267	30286.866	3385.812	271	C20orf123,SLC13A3	ZNF334	C20orf123	271	1
1_MACS_peak_22806_lociStitched	chr5	90674399	90680958	1	6560	28612.9816	1729.6083	272	LOC100129716,ARRDC3		ARRDC3	272	1
4_MACS_peak_1735_lociStitched	chr1	154821289	154844638	4	14682	32396.7375	5571.0714	273	KCNN3		KCNN3	273	1
1_MACS_peak_406_lociStitched	chr1	27018400	27031922	1	13523	29594.2492	2770.6578	274	ARID1A		ARID1A	274	1
4_MACS_peak_8890_lociStitched	chr15	23657593	23682670	4	18931	30634.0632	3851.8272	275			MKRN3	275	1
3_MACS_peak_2112_lociStitched	chr1	179048902	179061825	3	9491	30279.8813	3645.5783	276	TOR3A		TOR3A	276	1
3_MACS_peak_12237_lociStitched	chr17	70581946	70603503	3	16321	30546.269	3981.5779	277	LOC100499467,FLJ26484		LOC100499467	277	1
5_MACS_peak_10678_lociStitched	chr16	57624629	57658985	5	20440	32136.6024	5668.74	278	GPR56	GPR114,GPR56,GPR97	GPR56	278	1
4_MACS_peak_11201_lociStitched	chr17	6915017	6940200	4	11387	30725.7783	4364.2139	279	RNASEK,C17orf49,BCL6B,SLC16A13,MIR195,MIR497	ALOX12,SLC16A11,CLEC10A	BCL6B	279	1
4_MACS_peak_9088_lociStitched	chr15	40833488	40862548	4	17845	32166.514	5858.496	280	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	280	1
3_MACS_peak_1792_lociStitched	chr1	156065090	156086179	3	14386	31169.542	4915.8459	281	LMNA	ROBLD3,RAB25,SEMA4A,UBQLN4,MEX3A	LMNA	281	1
2_MACS_peak_21330_lociStitched	chr4	84130029	84144369	2	14045	29699.574	3450.204	282			COQ2	282	1
2_MACS_peak_29424_lociStitched	chr9	123650446	123668498	2	18013	29558.3448	3382.9448	283	TRAF1	LOC253039,PSMD5,PHF19	TRAF1	283	1
4_MACS_peak_16616_lociStitched	chr2	232687054	232714942	4	25768	29706.2976	3550.1424	284		COPS7B,PDE6D,MIR1471	COPS7B	284	1
3_MACS_peak_23099_lociStitched	chr5	131822436	131842247	3	15819	30199.8884	4098.8959	285	IRF1	IL5	IRF1	285	1
1_MACS_peak_3546_lociStitched	chr10	63802797	63815126	1	12330	28932.4643	2873.8899	286	ARID5B		ARID5B	286	1
2_MACS_peak_13615_lociStitched	chr19	16544577	16561838	2	13585	29186.6249	3208.8199	287	EPS15L1	C19orf44,CALR3	EPS15L1	287	1
3_MACS_peak_21238_lociStitched	chr4	77117352	77136639	3	14206	30249.7308	4275.9279	288	SCARB2	FAM47E,NUP54	SCARB2	288	1
1_MACS_peak_12351_lociStitched	chr17	75078540	75093129	1	14590	29278.6641	3340.881	289	C17orf86,SCARNA16	SEC14L1	SCARNA16	289	1
3_MACS_peak_19162_lociStitched	chr3	46577515	46592237	3	12649	29011.1732	3090.1478	290	LRRC2	RTP3,TDGF1	LRRC2	290	1
1_MACS_peak_1607_lociStitched	chr1	149855083	149861292	1	6210	28379.4763	2471.182	291	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2BE	291	1
3_MACS_peak_11387_lociStitched	chr17	19204064	19221785	3	12004	29227.2453	3356.3574	292	EPN2	MIR1180,B9D1	MIR1180	292	1
2_MACS_peak_4144_lociStitched	chr10	112251565	112265308	2	11271	28992.2328	3140.2755	293	DUSP5		DUSP5	293	1
2_MACS_peak_12444_lociStitched	chr17	78873242	78887841	2	10862	28830.1052	3001.5544	294	RPTOR		CHMP6	294	1
2_MACS_peak_2488_lociStitched	chr1	207092455	207107206	2	10468	29931.2541	4109.6286	295	FAIM3,PIGR	IL24,FCAMR	FAIM3	295	1
1_MACS_peak_3320_lociStitched	chr10	30989048	30996908	1	7861	27619.254	1822.734	296			LYZL2	296	1
7_MACS_peak_25437_lociStitched	chr6	157976502	158007556	7	20997	28852.2714	3061.9244	297	ZDHHC14	MIR3692	MIR3692	297	1
1_MACS_peak_18405_lociStitched	chr22	38782045	38795849	1	13805	28244.3644	2481.9592	298	LOC400927	KCNJ4	LOC400927	298	1
2_MACS_peak_13373_lociStitched	chr19	7398355	7411384	2	11288	29125.0266	3394.0545	299		ARHGEF18	ARHGEF18	299	1
6_MACS_peak_17478_lociStitched	chr20	52531140	52567124	6	19746	31802.6592	6074.0992	300	BCAS1	SUMO1P1	SUMO1P1	300	1
3_MACS_peak_1518_lociStitched	chr1	145138197	145164497	3	20408	35142.06	9512.71	301		SEC22B,NOTCH2NL	SEC22B	301	1
1_MACS_peak_29933_lociStitched	chrX	19469701	19470901	1	1201	25595.88	138	302	MAP3K15		MAP3K15	302	1
1_MACS_peak_9602_lociStitched	chr15	75334272	75343339	1	9068	27652.5366	2261.3098	303	PPCDC	SCAMP5	PPCDC	303	1
3_MACS_peak_17517_lociStitched	chr20	55956814	55975947	3	15227	29074.5068	3757.7212	304	RBM38	RAE1,MTRNR2L3	RBM38	304	1
1_MACS_peak_23605_lociStitched	chr5	173695785	173711048	1	15264	28370.8644	3077.0208	305			HMP19	305	1
4_MACS_peak_29638_lociStitched	chr9	134126808	134152964	4	17221	29650.4416	4394.208	306	FAM78A	PPAPDC3	FAM78A	306	1
2_MACS_peak_26066_lociStitched	chr7	47513267	47524538	2	10991	28162.8477	2947.3665	307	TNS3		TNS3	307	1
2_MACS_peak_20619_lociStitched	chr3	196357741	196371442	2	11068	29214.6423	4011.6528	308	LRRC33		LRRC33	308	1
7_MACS_peak_8704_lociStitched	chr14	95946149	95986072	7	24614	28880.2982	3688.8852	309		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	309	1
1_MACS_peak_2175_lociStitched	chr1	183806113	183817562	1	11450	28479.3875	3355.7019	310	RGL1		APOBEC4	310	1
1_MACS_peak_4902_lociStitched	chr11	58340046	58347887	1	7842	27188.6675	2081.7855	311	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	311	1
2_MACS_peak_17972_lociStitched	chr21	45659731	45668059	2	7474	27184.2576	2116.1448	312	ICOSLG,DNMT3L	AIRE	ICOSLG	312	1
2_MACS_peak_11134_lociStitched	chr17	3813007	3822836	2	9657	27233.2103	2179.0893	313	P2RX1	CAMKK1,ATP2A3	P2RX1	313	1
4_MACS_peak_5801_lociStitched	chr11	126332061	126355787	4	13204	28770.1476	3753.4532	314	KIRREL3		ST3GAL4	314	1
3_MACS_peak_29315_lociStitched	chr9	112904287	112925481	3	20851	30065.8084	5063.2466	315	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	315	1
5_MACS_peak_22763_lociStitched	chr5	87954779	87976687	5	10757	28760.8224	3768.176	316	LOC645323,MIR9-2		MIR9-2	316	1
2_MACS_peak_2104_lociStitched	chr1	178544192	178553143	2	8927	27911.0082	2960.9908	317		C1orf220	C1orf220	317	1
4_MACS_peak_5074_lociStitched	chr11	65235701	65247322	4	10504	26957.2337	2073.1864	318		NEAT1,MIR612,MALAT1,SCYL1	MALAT1	318	1
4_MACS_peak_7167_lociStitched	chr12	109161643	109181257	4	16736	28644.2856	3777.6564	319	SSH1	CORO1C,SSH1	CORO1C	319	1
2_MACS_peak_2592_lociStitched	chr1	212778903	212789053	2	8030	27866.825	3027.745	320	ATF3	FAM71A	ATF3	320	1
1_MACS_peak_1717_lociStitched	chr1	154296659	154302747	1	6089	26760.4128	1926.2432	321	AQP10,ATP8B2		ATP8B2	321	1
1_MACS_peak_21758_lociStitched	chr4	144272732	144283981	1	11250	27517.3038	2696.3853	322	GAB1		GAB1	322	1
2_MACS_peak_24756_lociStitched	chr6	88625427	88640472	2	14657	28224.42	3431.7645	323			SPACA1	323	1
1_MACS_peak_4362_lociStitched	chr11	267173	271759	1	4587	25954.0084	1192.8186	324		PSMD13,NLRP6,ATHL1,IFITM2,IFITM1,SIRT3,IFITM5,IFITM3	NLRP6	324	1
4_MACS_peak_23638_lociStitched	chr5	176717111	176740747	4	16432	29145.5516	4389.2052	325	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	RAB24	325	1
2_MACS_peak_11142_lociStitched	chr17	4267833	4281759	2	11371	27506.6352	2776.8444	326	UBE2G1		UBE2G1	326	1
2_MACS_peak_22292_lociStitched	chr5	32530089	32544158	2	13782	27767.9853	3089.5524	327		SUB1	SUB1	327	1
1_MACS_peak_2724_lociStitched	chr1	226126677	226134756	1	8080	27277.1277	2607.0933	328	LEFTY2	LEFTY1,PYCR2	LEFTY2	328	1
2_MACS_peak_2402_lociStitched	chr1	203721970	203736279	2	9209	28220.2098	3603.0062	329	LAX1	SNORA77,ZC3H11A,ZBED6	LAX1	329	1
1_MACS_peak_26914_lociStitched	chr7	130789731	130797789	1	8059	27088.5786	2502.8148	330	MKLN1,FLJ43663		FLJ43663	330	1
7_MACS_peak_21295_lociStitched	chr4	82409568	82442019	7	25226	29893.8612	5308.9836	331		RASGEF1B	RASGEF1B	331	1
1_MACS_peak_4951_lociStitched	chr11	60672299	60684340	1	12042	27280.0896	2735.7152	332	TMEM109,PRPF19	ZP1,TMEM132A,GPR44,SLC15A3	TMEM109	332	1
6_MACS_peak_15105_lociStitched	chr2	70334267	70361008	6	13971	29235.9353	4693.0455	333	LOC100133985	PCBP1,LOC400960	LOC100133985	333	1
2_MACS_peak_3393_lociStitched	chr10	43890504	43906070	2	12195	27182.9058	2683.5784	334	HNRNPF	FXYD4,ZNF487P	HNRNPF	334	1
5_MACS_peak_15309_lociStitched	chr2	88898749	88928707	5	18664	30092.811	5662.062	335	EIF2AK3		EIF2AK3	335	1
4_MACS_peak_11845_lociStitched	chr17	43504669	43531654	4	19444	29216.6595	4816.8225	336	SH3D20,PLEKHM1	ARHGAP27,MIR4315-1	SH3D20	336	1
2_MACS_peak_1590_lociStitched	chr1	149214087	149225818	2	6668	28418.3475	4040.1564	337			LOC388692	337	1
2_MACS_peak_26719_lociStitched	chr7	114561547	114574804	2	11618	28253.3184	3896.2323	338	MDFIC		MDFIC	338	1
1_MACS_peak_9319_lociStitched	chr15	56656172	56666292	1	10121	26487.076	2187.944	339	TEX9		TEX9	339	1
3_MACS_peak_18940_lociStitched	chr3	30680985	30703947	3	19968	29111.2236	4833.501	340	TGFBR2		TGFBR2	340	1
4_MACS_peak_13234_lociStitched	chr19	2040527	2063001	4	13328	28858.8634	4584.696	341	MKNK2	IZUMO4,BTBD2,MOBKL2A	MKNK2	341	1
3_MACS_peak_23835_lociStitched	chr6	7958162	7978831	3	17102	28002.3612	3749.3566	342	MUTED-TXNDC5	PIP5K1P1,TXNDC5	PIP5K1P1	342	1
3_MACS_peak_9802_lociStitched	chr15	89163695	89185544	3	16608	28397.1453	4190.6382	343	AEN,ISG20	MIR1179,MIR7-2	ISG20	343	1
1_MACS_peak_7072_lociStitched	chr12	102870403	102879277	1	8875	25983.072	1782.7866	344	IGF1		IGF1	344	1
4_MACS_peak_21215_lociStitched	chr4	76022607	76043689	4	11944	27942.0828	3756.8124	345			PARM1	345	1
2_MACS_peak_24467_lociStitched	chr6	45386700	45399474	2	10738	26491.9986	2363.19	346	RUNX2	SUPT3H	RUNX2	346	1
3_MACS_peak_24105_lociStitched	chr6	27791018	27808132	3	9510	27587.768	3472.4306	347	HIST1H4J,HIST1H2BN,HIST1H4K,HIST1H2AK	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H2AL,HIST1H2BL,HIST1H2AJ,HIST1H1B,HIST1H3I,HIST1H4L	HIST1H4K	347	1
2_MACS_peak_29305_lociStitched	chr9	112668723	112684520	2	14017	27461.5048	3348.964	348	PALM2,PALM2-AKAP2		PALM2	348	1
2_MACS_peak_27900_lociStitched	chr8	81046032	81061681	2	15254	27393.5745	3333.237	349	TPD52		TPD52	349	1
2_MACS_peak_26126_lociStitched	chr7	55568980	55586205	2	17126	27184.495	3281.3625	350	VOPP1		VOPP1	350	1
1_MACS_peak_25129_lociStitched	chr6	130000937	130011133	1	10197	26441.2868	2581.6272	351	ARHGAP18		ARHGAP18	351	1
5_MACS_peak_16235_lociStitched	chr2	197072941	197108092	5	21706	30345.8583	6495.9048	352	HECW2	STK17B	STK17B	352	1
1_MACS_peak_23208_lociStitched	chr5	139046547	139052258	1	5712	25234.0535	1410.0459	353	CXXC5		CXXC5	353	1
3_MACS_peak_6952_lociStitched	chr12	92929187	92951101	3	17182	27732.167	4058.4728	354			CLLU1OS	354	1
1_MACS_peak_28151_lociStitched	chr8	118449494	118457880	1	8387	25620.9072	1947.2292	355			MED30	355	1
3_MACS_peak_21432_lociStitched	chr4	100765812	100784117	3	16320	27490.449	3827.5755	356	DAPP1	MAPKSP1	DAPP1	356	1
1_MACS_peak_4947_lociStitched	chr11	60602364	60613387	1	11024	26122.3054	2517.6532	357	CCDC86	MS4A10,ZP1,GPR44	CCDC86	357	1
4_MACS_peak_23594_lociStitched	chr5	173309999	173343912	4	26277	29938.3964	6341.731	358	CPEB4		CPEB4	358	1
1_MACS_peak_27444_lociStitched	chr8	26428161	26437506	1	9346	25777.248	2210.0925	359	DPYSL2		DPYSL2	359	1
4_MACS_peak_9174_lociStitched	chr15	45001868	45029381	4	14255	29119.7592	5601.6468	360	B2M,TRIM69	SPG11,PATL2	B2M	360	1
5_MACS_peak_14111_lociStitched	chr19	48879935	48902449	5	13334	27329.7446	3818.3744	361	GRIN2D,KDELR1	SYNGR4,GRWD1,TMEM143	KDELR1	361	1
3_MACS_peak_13221_lociStitched	chr19	1846850	1865859	3	12052	27445.1942	3934.863	362	REXO1,KLF16	LOC100288123,SCAMP4,ADAT3,ATP8B3,MIR1909,FAM108A1	KLF16	362	1
1_MACS_peak_9427_lociStitched	chr15	65183109	65190379	1	7271	25527.878	2021.787	363		PLEKHO2,ANKDD1A	ANKDD1A	363	1
3_MACS_peak_9841_lociStitched	chr15	90573909	90593824	3	16145	27172.026	3702.1985	364	ZNF710		ZNF710	364	1
2_MACS_peak_20602_lociStitched	chr3	195631633	195642862	2	7897	26390.3958	2944.2438	365	TNK2	TNK2	TNK2	365	1
2_MACS_peak_2337_lociStitched	chr1	200850172	200865195	2	11984	27371.906	3928.5145	366	C1orf106	GPR25	C1orf106	366	1
2_MACS_peak_18188_lociStitched	chr22	26974948	26993743	2	12890	26997.138	3603.0015	367	TPST2	CRYBA4,MIR548J,TPST2,CRYBB1	TPST2	367	1
2_MACS_peak_1783_lociStitched	chr1	155902828	155919205	2	12230	28098.0189	4746.0546	368	RXFP4,KIAA0907,ARHGEF2	RIT1,SNORA42,SCARNA4	RXFP4	368	1
2_MACS_peak_20575_lociStitched	chr3	194020725	194034260	2	9764	26565.1445	3230.8045	369	LOC100131551	CPN2	LOC100131551	369	1
2_MACS_peak_28349_lociStitched	chr8	134576976	134586478	2	8599	25395.0452	2075.2368	370	ST3GAL1		ST3GAL1	370	1
2_MACS_peak_29621_lociStitched	chr9	132646040	132657811	2	9007	25697.2701	2383.6275	371	FNBP1	USP20,C9orf78	USP20	371	1
2_MACS_peak_16051_lociStitched	chr2	175454744	175465311	2	9836	25585.8771	2314.173	372	WIPF1		WIPF1	372	1
2_MACS_peak_6904_lociStitched	chr12	89737878	89749566	2	10798	26129.6928	2895.1176	373	DUSP6		DUSP6	373	1
