GENE_ID	locusLine	bin_1_33_0EX9_0229Kronos_MM1S-No-Treatment-1_p300_hs_i49.bam
1_MACS_peak_1019_lociStitched	chr1(.):225654282-225656361	1.3227
1_MACS_peak_1020_lociStitched	chr1(.):225964933-225966295	1.0514
1_MACS_peak_1021_lociStitched	chr1(.):226067354-226070179	0.7599
1_MACS_peak_1022_lociStitched	chr1(.):226111083-226112921	0.8674
1_MACS_peak_1023_lociStitched	chr1(.):226129232-226131704	1.3028
1_MACS_peak_1024_lociStitched	chr1(.):226178173-226179455	0.7084
1_MACS_peak_1025_lociStitched	chr1(.):226186359-226188199	0.9223
1_MACS_peak_1026_lociStitched	chr1(.):226216324-226217280	1.0277
1_MACS_peak_1027_lociStitched	chr1(.):226249821-226253121	0.6168
1_MACS_peak_1028_lociStitched	chr1(.):226297759-226300127	0.7235
2_MACS_peak_1029_lociStitched	chr1(.):226309090-226316373	0.6586
1_MACS_peak_1031_lociStitched	chr1(.):226594176-226596586	0.7815
1_MACS_peak_1032_lociStitched	chr1(.):226632455-226633373	1.0507
1_MACS_peak_1033_lociStitched	chr1(.):226822694-226823631	0.9269
2_MACS_peak_1034_lociStitched	chr1(.):226840733-226845195	0.9567
1_MACS_peak_1036_lociStitched	chr1(.):226850140-226851539	1.9046
1_MACS_peak_1037_lociStitched	chr1(.):226890826-226891688	0.8392
1_MACS_peak_1038_lociStitched	chr1(.):226898729-226900744	1.0742
1_MACS_peak_1039_lociStitched	chr1(.):226926771-226927847	0.7029
1_MACS_peak_1040_lociStitched	chr1(.):227057781-227058925	0.7401
1_MACS_peak_1041_lociStitched	chr1(.):227126385-227128790	0.8113
1_MACS_peak_1042_lociStitched	chr1(.):227378938-227380547	1.5293
1_MACS_peak_1043_lociStitched	chr1(.):227750984-227751893	0.9306
1_MACS_peak_1044_lociStitched	chr1(.):228134017-228134580	0.6606
1_MACS_peak_1045_lociStitched	chr1(.):228269688-228270765	0.5842
1_MACS_peak_1046_lociStitched	chr1(.):228278139-228279091	0.9976
1_MACS_peak_1047_lociStitched	chr1(.):228290577-228291634	0.8228
1_MACS_peak_1048_lociStitched	chr1(.):228299348-228300851	0.7289
1_MACS_peak_1049_lociStitched	chr1(.):228327016-228328421	0.8753
1_MACS_peak_1050_lociStitched	chr1(.):228353155-228354811	0.7421
1_MACS_peak_1051_lociStitched	chr1(.):228410125-228410699	0.6441
1_MACS_peak_1052_lociStitched	chr1(.):228666417-228667621	0.9479
1_MACS_peak_1053_lociStitched	chr1(.):228673702-228675238	1.1199
1_MACS_peak_1054_lociStitched	chr1(.):228717695-228719395	1.8285
1_MACS_peak_1055_lociStitched	chr1(.):228731304-228732816	2.1153
2_MACS_peak_1056_lociStitched	chr1(.):228744058-228756393	0.574
1_MACS_peak_1058_lociStitched	chr1(.):229576454-229577357	1.0626
1_MACS_peak_1059_lociStitched	chr1(.):230220024-230220904	1.1369
1_MACS_peak_1060_lociStitched	chr1(.):230244840-230246704	1.9767
1_MACS_peak_1061_lociStitched	chr1(.):230257710-230260816	2.6433
1_MACS_peak_1062_lociStitched	chr1(.):230588653-230589441	0.6225
2_MACS_peak_1063_lociStitched	chr1(.):230628744-230632472	0.7224
1_MACS_peak_1065_lociStitched	chr1(.):230645077-230645973	1.0722
1_MACS_peak_1066_lociStitched	chr1(.):231346883-231347912	0.9768
1_MACS_peak_1067_lociStitched	chr1(.):231376307-231377261	0.5978
1_MACS_peak_1068_lociStitched	chr1(.):231747379-231749075	1.0286
1_MACS_peak_1069_lociStitched	chr1(.):232054213-232055163	0.8057
1_MACS_peak_1070_lociStitched	chr1(.):232668878-232669652	0.844
1_MACS_peak_1071_lociStitched	chr1(.):232714242-232714923	0.737
1_MACS_peak_1072_lociStitched	chr1(.):232732362-232734382	0.9739
1_MACS_peak_1073_lociStitched	chr1(.):232790764-232791946	1.0009
1_MACS_peak_1074_lociStitched	chr1(.):232942609-232943516	0.7089
1_MACS_peak_1075_lociStitched	chr1(.):233012300-233013090	0.7327
1_MACS_peak_1076_lociStitched	chr1(.):233151480-233152338	1.0483
1_MACS_peak_1077_lociStitched	chr1(.):233454899-233455661	0.9984
1_MACS_peak_1078_lociStitched	chr1(.):233750240-233751058	1.1617
1_MACS_peak_1079_lociStitched	chr1(.):233763402-233764053	0.6363
1_MACS_peak_1080_lociStitched	chr1(.):234380020-234380805	0.7383
1_MACS_peak_1081_lociStitched	chr1(.):234508599-234509870	1.3066
2_MACS_peak_1082_lociStitched	chr1(.):234652482-234659922	0.7664
1_MACS_peak_1084_lociStitched	chr1(.):234734614-234736874	1.0327
2_MACS_peak_1085_lociStitched	chr1(.):234741552-234749467	1.0588
1_MACS_peak_1087_lociStitched	chr1(.):234907146-234909480	1.9475
1_MACS_peak_1088_lociStitched	chr1(.):234980374-234981702	1.3721
1_MACS_peak_1089_lociStitched	chr1(.):235062262-235063214	0.7545
1_MACS_peak_1090_lociStitched	chr1(.):235098004-235099665	2.1278
1_MACS_peak_1091_lociStitched	chr1(.):235113788-235115320	2.5796
1_MACS_peak_1092_lociStitched	chr1(.):235140391-235141335	0.8546
2_MACS_peak_1093_lociStitched	chr1(.):235146931-235152083	1.4154
1_MACS_peak_1095_lociStitched	chr1(.):235182995-235184609	1.406
1_MACS_peak_1096_lociStitched	chr1(.):235242149-235243820	2.439
1_MACS_peak_1097_lociStitched	chr1(.):235267344-235269044	1.1679
1_MACS_peak_1098_lociStitched	chr1(.):235291351-235292808	0.9307
1_MACS_peak_1099_lociStitched	chr1(.):235491129-235492773	0.6768
1_MACS_peak_1100_lociStitched	chr1(.):235666471-235668967	0.8057
1_MACS_peak_1101_lociStitched	chr1(.):236019015-236019915	0.8143
1_MACS_peak_1102_lociStitched	chr1(.):236029431-236032070	0.7807
1_MACS_peak_1104_lociStitched	chr1(.):236319753-236320666	0.9386
1_MACS_peak_1105_lociStitched	chr1(.):236331730-236332891	1.3478
1_MACS_peak_1106_lociStitched	chr1(.):236444376-236445760	0.5858
1_MACS_peak_1107_lociStitched	chr1(.):236958062-236959691	0.7578
1_MACS_peak_1108_lociStitched	chr1(.):237670059-237670965	1.1245
1_MACS_peak_1109_lociStitched	chr1(.):238404719-238405510	0.9562
1_MACS_peak_1110_lociStitched	chr1(.):239817963-239818925	1.5029
1_MACS_peak_1111_lociStitched	chr1(.):240075383-240078985	1.3978
1_MACS_peak_1112_lociStitched	chr1(.):240628065-240629252	0.8475
1_MACS_peak_1113_lociStitched	chr1(.):240637144-240638189	0.7995
1_MACS_peak_1114_lociStitched	chr1(.):240666211-240667550	0.8525
1_MACS_peak_1115_lociStitched	chr1(.):240739173-240740347	1.7811
1_MACS_peak_1116_lociStitched	chr1(.):241072751-241073942	1.5103
1_MACS_peak_1117_lociStitched	chr1(.):241681921-241683643	0.8304
1_MACS_peak_1118_lociStitched	chr1(.):241840189-241841161	0.8955
1_MACS_peak_1119_lociStitched	chr1(.):243584908-243585735	1.0514
1_MACS_peak_1120_lociStitched	chr1(.):243634727-243635685	1.1015
1_MACS_peak_1121_lociStitched	chr1(.):243752021-243753269	1.5648
1_MACS_peak_1122_lociStitched	chr1(.):243759393-243760307	1.3424
1_MACS_peak_1123_lociStitched	chr1(.):243890531-243892027	0.9561
1_MACS_peak_1124_lociStitched	chr1(.):244013549-244014993	0.7495
1_MACS_peak_1125_lociStitched	chr1(.):244140289-244140982	0.8264
1_MACS_peak_1126_lociStitched	chr1(.):244613714-244615741	0.7256
1_MACS_peak_1127_lociStitched	chr1(.):244996557-244999172	0.9184
1_MACS_peak_1128_lociStitched	chr1(.):245026101-245028573	0.8624
1_MACS_peak_1129_lociStitched	chr1(.):245084018-245084791	0.7379
1_MACS_peak_1130_lociStitched	chr1(.):245108174-245109154	1.2297
1_MACS_peak_1131_lociStitched	chr1(.):245132580-245135434	0.7382
1_MACS_peak_1132_lociStitched	chr1(.):245675721-245677044	0.8013
1_MACS_peak_1133_lociStitched	chr1(.):246377495-246378881	1.2592
1_MACS_peak_1134_lociStitched	chr1(.):247266893-247267963	0.6706
1_MACS_peak_1135_lociStitched	chr1(.):247289315-247290318	0.5673
1_MACS_peak_1136_lociStitched	chr1(.):247334675-247335722	0.5112
2_MACS_peak_1137_lociStitched	chr1(.):247375022-247377074	0.943
1_MACS_peak_1139_lociStitched	chr1(.):247553295-247554359	1.6034
1_MACS_peak_1140_lociStitched	chr1(.):247572844-247573890	0.7975
1_MACS_peak_1141_lociStitched	chr1(.):248571185-248571911	0.344
2_MACS_peak_1142_lociStitched	chr1(.):249112802-249117502	0.7808
1_MACS_peak_1144_lociStitched	chr1(.):249151877-249153916	0.9558
1_MACS_peak_1145_lociStitched	chr1(.):249166611-249169003	0.935
1_MACS_peak_1146_lociStitched	chr1(.):249218831-249220032	0.9077
1_MACS_peak_1147_lociStitched	chr10(.):561364-562222	1.2046
1_MACS_peak_1148_lociStitched	chr10(.):610897-612602	0.8993
1_MACS_peak_1149_lociStitched	chr10(.):621254-622375	1.2162
1_MACS_peak_1150_lociStitched	chr10(.):634269-635382	1.1884
1_MACS_peak_1151_lociStitched	chr10(.):705518-706894	2.047
1_MACS_peak_1152_lociStitched	chr10(.):897751-898504	0.7442
1_MACS_peak_1153_lociStitched	chr10(.):1033623-1034843	0.5564
2_MACS_peak_1154_lociStitched	chr10(.):1093975-1095755	0.7662
1_MACS_peak_1156_lociStitched	chr10(.):1161182-1162215	1.0536
1_MACS_peak_1157_lociStitched	chr10(.):1531145-1531924	0.9042
2_MACS_peak_1158_lociStitched	chr10(.):1980339-1985160	0.3178
1_MACS_peak_1160_lociStitched	chr10(.):2188134-2188895	0.7336
1_MACS_peak_1161_lociStitched	chr10(.):3668175-3669107	1.0626
3_MACS_peak_1162_lociStitched	chr10(.):3799273-3807871	0.4259
2_MACS_peak_1165_lociStitched	chr10(.):3824583-3828489	0.6634
3_MACS_peak_1167_lociStitched	chr10(.):3847073-3854262	0.8625
1_MACS_peak_1170_lociStitched	chr10(.):3915492-3918409	1.7462
1_MACS_peak_1171_lociStitched	chr10(.):3944292-3945211	1.0276
1_MACS_peak_1172_lociStitched	chr10(.):4143774-4144754	0.8093
1_MACS_peak_1173_lociStitched	chr10(.):4163431-4164392	0.8727
2_MACS_peak_1174_lociStitched	chr10(.):4173420-4178932	0.4878
1_MACS_peak_1176_lociStitched	chr10(.):4292474-4293235	0.5478
1_MACS_peak_1177_lociStitched	chr10(.):4374977-4376210	0.5598
1_MACS_peak_1178_lociStitched	chr10(.):5726043-5726917	0.8481
1_MACS_peak_1179_lociStitched	chr10(.):5855339-5856733	1.0109
1_MACS_peak_1180_lociStitched	chr10(.):5945857-5946806	1.2943
2_MACS_peak_1181_lociStitched	chr10(.):6092531-6095170	0.7251
1_MACS_peak_1183_lociStitched	chr10(.):6205385-6206249	0.5814
1_MACS_peak_1184_lociStitched	chr10(.):6341777-6343245	1.0916
1_MACS_peak_1185_lociStitched	chr10(.):6389457-6390702	0.773
1_MACS_peak_1186_lociStitched	chr10(.):6633796-6634704	1.4072
2_MACS_peak_1187_lociStitched	chr10(.):6967792-6971241	1.1298
1_MACS_peak_1189_lociStitched	chr10(.):7452701-7453255	0.478
1_MACS_peak_1190_lociStitched	chr10(.):7513166-7514655	1.8311
1_MACS_peak_1191_lociStitched	chr10(.):7519623-7521082	0.7148
1_MACS_peak_1192_lociStitched	chr10(.):7533848-7534830	0.8819
2_MACS_peak_1193_lociStitched	chr10(.):8173111-8175783	1.5361
1_MACS_peak_1195_lociStitched	chr10(.):8374023-8374822	1.0445
1_MACS_peak_1196_lociStitched	chr10(.):8446165-8447293	0.8872
1_MACS_peak_1197_lociStitched	chr10(.):8809318-8810038	0.6228
1_MACS_peak_1198_lociStitched	chr10(.):9577734-9578094	0.6924
1_MACS_peak_1199_lociStitched	chr10(.):10254972-10255769	0.6483
1_MACS_peak_1200_lociStitched	chr10(.):10562555-10563526	0.6689
1_MACS_peak_1201_lociStitched	chr10(.):10640028-10640753	0.8054
1_MACS_peak_1202_lociStitched	chr10(.):10726651-10728152	0.6927
2_MACS_peak_1203_lociStitched	chr10(.):11202881-11207669	0.5422
1_MACS_peak_1205_lociStitched	chr10(.):11216338-11223001	1.507
1_MACS_peak_1206_lociStitched	chr10(.):11267753-11268511	1.0388
6_MACS_peak_1207_lociStitched	chr10(.):11279361-11304304	0.5882
1_MACS_peak_1213_lociStitched	chr10(.):11312305-11313060	0.6465
1_MACS_peak_1214_lociStitched	chr10(.):11673979-11674662	0.6394
1_MACS_peak_1215_lociStitched	chr10(.):12084676-12086224	0.7726
1_MACS_peak_1216_lociStitched	chr10(.):12446698-12447519	0.718
1_MACS_peak_1217_lociStitched	chr10(.):12490535-12491260	0.5359
1_MACS_peak_1218_lociStitched	chr10(.):13266346-13267103	0.5921
1_MACS_peak_1219_lociStitched	chr10(.):13278662-13279358	0.7315
1_MACS_peak_1220_lociStitched	chr10(.):13313202-13314720	0.9442
1_MACS_peak_1221_lociStitched	chr10(.):13343558-13344717	0.7025
1_MACS_peak_1222_lociStitched	chr10(.):13788421-13789438	0.6565
1_MACS_peak_1223_lociStitched	chr10(.):13837535-13838288	0.5034
1_MACS_peak_1224_lociStitched	chr10(.):14226547-14227989	0.9037
1_MACS_peak_1225_lociStitched	chr10(.):14451029-14451778	0.8294
1_MACS_peak_1226_lociStitched	chr10(.):14523590-14524497	0.9453
1_MACS_peak_1227_lociStitched	chr10(.):14530047-14530879	0.8072
1_MACS_peak_1228_lociStitched	chr10(.):14548764-14549804	1.2392
2_MACS_peak_1229_lociStitched	chr10(.):14597890-14602063	0.5495
1_MACS_peak_1231_lociStitched	chr10(.):14689446-14691029	1.1539
1_MACS_peak_1232_lociStitched	chr10(.):14700984-14702533	1.5164
1_MACS_peak_1233_lociStitched	chr10(.):14776563-14777373	0.7439
1_MACS_peak_1234_lociStitched	chr10(.):14784430-14785313	0.8469
1_MACS_peak_1235_lociStitched	chr10(.):14920153-14920921	0.6608
1_MACS_peak_1236_lociStitched	chr10(.):14960867-14961540	0.5435
1_MACS_peak_1237_lociStitched	chr10(.):14967912-14969112	0.9199
1_MACS_peak_1238_lociStitched	chr10(.):14983774-14984797	0.7353
1_MACS_peak_1239_lociStitched	chr10(.):14994889-14996808	1.1273
1_MACS_peak_1240_lociStitched	chr10(.):15001392-15002420	0.807
1_MACS_peak_1241_lociStitched	chr10(.):15250236-15251511	0.9652
1_MACS_peak_1242_lociStitched	chr10(.):15296505-15297191	0.4906
1_MACS_peak_1243_lociStitched	chr10(.):15828699-15831252	2.4859
1_MACS_peak_1244_lociStitched	chr10(.):15862869-15863849	0.6093
1_MACS_peak_1245_lociStitched	chr10(.):16869850-16870568	0.4845
1_MACS_peak_1246_lociStitched	chr10(.):17043686-17044779	1.1538
2_MACS_peak_1247_lociStitched	chr10(.):17061242-17066360	0.6078
1_MACS_peak_1249_lociStitched	chr10(.):17242137-17243996	0.8672
1_MACS_peak_1250_lociStitched	chr10(.):17258190-17258825	0.8419
2_MACS_peak_1251_lociStitched	chr10(.):17269402-17273059	0.5381
1_MACS_peak_1253_lociStitched	chr10(.):17798649-17799359	0.4055
1_MACS_peak_1254_lociStitched	chr10(.):18045726-18046408	0.4539
1_MACS_peak_1255_lociStitched	chr10(.):18866760-18867851	0.7902
1_MACS_peak_1256_lociStitched	chr10(.):18940121-18940998	0.8276
1_MACS_peak_1257_lociStitched	chr10(.):18947718-18949300	0.8532
1_MACS_peak_1258_lociStitched	chr10(.):19048334-19049022	0.6605
1_MACS_peak_1259_lociStitched	chr10(.):19807360-19807935	0.6549
1_MACS_peak_1260_lociStitched	chr10(.):20292154-20293449	1.9772
2_MACS_peak_1261_lociStitched	chr10(.):21264074-21266691	0.6586
1_MACS_peak_1263_lociStitched	chr10(.):21814253-21815089	0.6553
1_MACS_peak_1264_lociStitched	chr10(.):21880449-21881262	1.0985
2_MACS_peak_1265_lociStitched	chr10(.):22174487-22178453	0.6991
1_MACS_peak_1267_lociStitched	chr10(.):22261314-22262387	0.8386
1_MACS_peak_1268_lociStitched	chr10(.):22291993-22294017	0.7375
1_MACS_peak_1269_lociStitched	chr10(.):22540538-22541899	0.4733
1_MACS_peak_1270_lociStitched	chr10(.):22632574-22633338	0.7956
1_MACS_peak_1271_lociStitched	chr10(.):22725531-22726581	0.7177
1_MACS_peak_1272_lociStitched	chr10(.):22894905-22895756	0.9419
1_MACS_peak_1273_lociStitched	chr10(.):22970737-22973160	1.3635
1_MACS_peak_1274_lociStitched	chr10(.):23657499-23658271	0.8913
1_MACS_peak_1275_lociStitched	chr10(.):23702265-23703608	1.4148
1_MACS_peak_1276_lociStitched	chr10(.):23737547-23738452	0.7536
1_MACS_peak_1277_lociStitched	chr10(.):24672131-24673457	1.4717
1_MACS_peak_1278_lociStitched	chr10(.):24713946-24714718	0.6883
1_MACS_peak_1279_lociStitched	chr10(.):24748549-24749308	0.7378
1_MACS_peak_1280_lociStitched	chr10(.):24754926-24755756	0.6385
1_MACS_peak_1281_lociStitched	chr10(.):24940931-24942048	1.0854
1_MACS_peak_1282_lociStitched	chr10(.):25189541-25190592	0.6837
1_MACS_peak_1283_lociStitched	chr10(.):26661511-26662579	2.0459
1_MACS_peak_1284_lociStitched	chr10(.):27088100-27089013	1.2061
1_MACS_peak_1285_lociStitched	chr10(.):27129728-27130480	0.5389
1_MACS_peak_1286_lociStitched	chr10(.):27531665-27532660	0.7644
1_MACS_peak_1287_lociStitched	chr10(.):27643471-27644069	0.6508
1_MACS_peak_1288_lociStitched	chr10(.):28031065-28031699	0.4785
1_MACS_peak_1289_lociStitched	chr10(.):28622947-28624641	0.8619
1_MACS_peak_1290_lociStitched	chr10(.):28656968-28657543	0.5577
1_MACS_peak_1291_lociStitched	chr10(.):28820945-28821948	0.723
1_MACS_peak_1292_lociStitched	chr10(.):28913152-28913950	0.8422
1_MACS_peak_1293_lociStitched	chr10(.):29947713-29948758	0.96
1_MACS_peak_1294_lociStitched	chr10(.):30315828-30316784	0.9066
2_MACS_peak_1295_lociStitched	chr10(.):30722597-30726971	0.6809
1_MACS_peak_1297_lociStitched	chr10(.):30799261-30799994	0.6521
1_MACS_peak_1298_lociStitched	chr10(.):30817887-30819445	2.2259
2_MACS_peak_1299_lociStitched	chr10(.):30990063-30995438	0.9114
1_MACS_peak_1301_lociStitched	chr10(.):31217400-31218051	0.6359
3_MACS_peak_1302_lociStitched	chr10(.):31606903-31611056	0.5528
1_MACS_peak_1305_lociStitched	chr10(.):31672873-31674059	1.0985
1_MACS_peak_1306_lociStitched	chr10(.):32635071-32635995	0.7737
1_MACS_peak_1307_lociStitched	chr10(.):32667327-32668664	0.6118
1_MACS_peak_1308_lociStitched	chr10(.):32734610-32735546	0.6192
1_MACS_peak_1309_lociStitched	chr10(.):34254564-34255347	0.6846
1_MACS_peak_1310_lociStitched	chr10(.):34470305-34471188	0.836
1_MACS_peak_1311_lociStitched	chr10(.):34493563-34495620	0.802
1_MACS_peak_1312_lociStitched	chr10(.):34926303-34927098	0.7558
1_MACS_peak_1313_lociStitched	chr10(.):34994268-34995143	0.7293
2_MACS_peak_1314_lociStitched	chr10(.):35005699-35010774	0.4286
1_MACS_peak_1316_lociStitched	chr10(.):35069510-35071312	0.8517
1_MACS_peak_1317_lociStitched	chr10(.):35415395-35416426	0.6494
1_MACS_peak_1318_lociStitched	chr10(.):35437863-35439005	1.0195
1_MACS_peak_1319_lociStitched	chr10(.):35484445-35485193	0.975
1_MACS_peak_1320_lociStitched	chr10(.):37725065-37725841	0.9175
1_MACS_peak_1321_lociStitched	chr10(.):37989712-37990659	0.7136
1_MACS_peak_1322_lociStitched	chr10(.):38264845-38265746	0.7185
1_MACS_peak_1323_lociStitched	chr10(.):38644682-38645958	0.8526
1_MACS_peak_1324_lociStitched	chr10(.):39047687-39048513	0.7576
1_MACS_peak_1327_lociStitched	chr10(.):42712513-42713320	0.6577
1_MACS_peak_1328_lociStitched	chr10(.):43277498-43278528	0.8189
2_MACS_peak_1329_lociStitched	chr10(.):43633172-43637499	0.5637
1_MACS_peak_1331_lociStitched	chr10(.):43892382-43893261	0.5462
2_MACS_peak_1332_lociStitched	chr10(.):43902860-43905580	0.7598
1_MACS_peak_1334_lociStitched	chr10(.):43915396-43916822	0.7611
1_MACS_peak_1335_lociStitched	chr10(.):43931491-43933100	0.7744
2_MACS_peak_1336_lociStitched	chr10(.):43946941-43951626	0.7132
1_MACS_peak_1338_lociStitched	chr10(.):44277197-44277955	0.6313
2_MACS_peak_1339_lociStitched	chr10(.):44503415-44507260	0.7535
1_MACS_peak_1341_lociStitched	chr10(.):45237477-45238344	0.8331
1_MACS_peak_1342_lociStitched	chr10(.):45391983-45393649	1.0751
1_MACS_peak_1343_lociStitched	chr10(.):45458385-45460065	1.0231
1_MACS_peak_1344_lociStitched	chr10(.):45495852-45497117	0.7725
1_MACS_peak_1345_lociStitched	chr10(.):45745639-45746366	0.7982
1_MACS_peak_1346_lociStitched	chr10(.):45787633-45788409	0.7626
2_MACS_peak_1347_lociStitched	chr10(.):45914233-45917461	1.0323
1_MACS_peak_1349_lociStitched	chr10(.):45929085-45930287	0.9145
2_MACS_peak_1350_lociStitched	chr10(.):45955727-45958490	0.7123
1_MACS_peak_1352_lociStitched	chr10(.):46205624-46206171	0.4627
1_MACS_peak_1353_lociStitched	chr10(.):46222101-46223071	0.7206
1_MACS_peak_1354_lociStitched	chr10(.):46814838-46815777	0.8385
1_MACS_peak_1355_lociStitched	chr10(.):46913491-46914450	0.5549
1_MACS_peak_1356_lociStitched	chr10(.):47295639-47296593	0.9192
1_MACS_peak_1357_lociStitched	chr10(.):47395701-47396425	0.672
1_MACS_peak_1358_lociStitched	chr10(.):47917964-47918737	0.4637
1_MACS_peak_1359_lociStitched	chr10(.):48132693-48133651	1.127
1_MACS_peak_1360_lociStitched	chr10(.):48841585-48842535	0.4903
1_MACS_peak_1361_lociStitched	chr10(.):49004614-49005556	0.8209
1_MACS_peak_1362_lociStitched	chr10(.):49362213-49362942	0.5293
1_MACS_peak_1363_lociStitched	chr10(.):49552003-49552669	0.4976
1_MACS_peak_1364_lociStitched	chr10(.):50260942-50261904	0.8709
2_MACS_peak_1365_lociStitched	chr10(.):50284513-50288739	0.6852
1_MACS_peak_1367_lociStitched	chr10(.):50746514-50747952	0.8223
1_MACS_peak_1368_lociStitched	chr10(.):51502835-51503687	0.8201
1_MACS_peak_1369_lociStitched	chr10(.):51564541-51565457	0.6542
1_MACS_peak_1370_lociStitched	chr10(.):51622828-51623709	0.5492
1_MACS_peak_1371_lociStitched	chr10(.):51827161-51828101	0.6627
1_MACS_peak_1372_lociStitched	chr10(.):51861824-51862627	0.6095
1_MACS_peak_1373_lociStitched	chr10(.):52257285-52258088	0.6004
1_MACS_peak_1374_lociStitched	chr10(.):52364975-52365621	0.8163
1_MACS_peak_1375_lociStitched	chr10(.):52383613-52384272	0.5577
1_MACS_peak_1376_lociStitched	chr10(.):53459016-53460313	1.1447
1_MACS_peak_1377_lociStitched	chr10(.):54016432-54017992	1.2269
1_MACS_peak_1378_lociStitched	chr10(.):54196535-54197692	1.035
1_MACS_peak_1379_lociStitched	chr10(.):54236845-54237775	0.8076
1_MACS_peak_1380_lociStitched	chr10(.):54246197-54247095	0.7926
1_MACS_peak_1381_lociStitched	chr10(.):54615303-54616282	0.9813
1_MACS_peak_1382_lociStitched	chr10(.):54660168-54660948	0.7062
1_MACS_peak_1383_lociStitched	chr10(.):54725445-54726310	0.7397
1_MACS_peak_1384_lociStitched	chr10(.):54772847-54773655	0.7015
1_MACS_peak_1385_lociStitched	chr10(.):55897138-55897786	0.8781
1_MACS_peak_1386_lociStitched	chr10(.):56560438-56561384	0.6223
1_MACS_peak_1387_lociStitched	chr10(.):56753660-56754512	0.8182
1_MACS_peak_1388_lociStitched	chr10(.):56779026-56779851	0.7989
1_MACS_peak_1389_lociStitched	chr10(.):57901786-57902526	0.6644
1_MACS_peak_1390_lociStitched	chr10(.):58393611-58394553	0.7891
1_MACS_peak_1391_lociStitched	chr10(.):59634352-59635430	1.2113
1_MACS_peak_1392_lociStitched	chr10(.):60027369-60029384	0.6502
1_MACS_peak_1393_lociStitched	chr10(.):60041022-60041808	0.7902
1_MACS_peak_1394_lociStitched	chr10(.):60143651-60145593	0.8217
1_MACS_peak_1395_lociStitched	chr10(.):60807562-60808173	0.6025
1_MACS_peak_1396_lociStitched	chr10(.):61894517-61895341	0.7747
1_MACS_peak_1397_lociStitched	chr10(.):61996491-61997338	3.007
1_MACS_peak_1398_lociStitched	chr10(.):62281559-62282225	0.693
1_MACS_peak_1399_lociStitched	chr10(.):62332846-62333802	1.2375
1_MACS_peak_1400_lociStitched	chr10(.):63046184-63047094	1.0028
1_MACS_peak_1401_lociStitched	chr10(.):63546269-63547039	0.6739
3_MACS_peak_1402_lociStitched	chr10(.):63659360-63663684	0.6914
1_MACS_peak_1405_lociStitched	chr10(.):63697200-63698163	0.9668
1_MACS_peak_1406_lociStitched	chr10(.):63720758-63721740	0.994
1_MACS_peak_1407_lociStitched	chr10(.):63747023-63748367	0.794
2_MACS_peak_1408_lociStitched	chr10(.):63804672-63811579	0.8858
1_MACS_peak_1410_lociStitched	chr10(.):63942930-63944008	1.0233
2_MACS_peak_1411_lociStitched	chr10(.):64216067-64220741	0.7507
1_MACS_peak_1413_lociStitched	chr10(.):64323743-64324451	0.5022
1_MACS_peak_1414_lociStitched	chr10(.):64396767-64398500	1.0883
2_MACS_peak_1415_lociStitched	chr10(.):64412500-64415689	1.1075
1_MACS_peak_1417_lociStitched	chr10(.):64467368-64468879	0.6667
1_MACS_peak_1418_lociStitched	chr10(.):64492446-64493503	0.7399
1_MACS_peak_1419_lociStitched	chr10(.):64538685-64539805	0.8291
1_MACS_peak_1420_lociStitched	chr10(.):64564011-64565000	0.6032
1_MACS_peak_1421_lociStitched	chr10(.):64575994-64577532	0.7336
1_MACS_peak_1422_lociStitched	chr10(.):64996043-64996659	0.3899
1_MACS_peak_1423_lociStitched	chr10(.):65028454-65029455	0.9726
1_MACS_peak_1424_lociStitched	chr10(.):67260649-67261622	1.3637
1_MACS_peak_1425_lociStitched	chr10(.):67460662-67461474	0.7895
1_MACS_peak_1426_lociStitched	chr10(.):69523136-69524693	0.8164
1_MACS_peak_1427_lociStitched	chr10(.):69532471-69533353	0.98
1_MACS_peak_1428_lociStitched	chr10(.):69643516-69644702	0.5659
1_MACS_peak_1429_lociStitched	chr10(.):70090988-70092807	0.6896
1_MACS_peak_1430_lociStitched	chr10(.):70326658-70327296	0.9012
2_MACS_peak_1431_lociStitched	chr10(.):70385014-70389177	0.5254
1_MACS_peak_1433_lociStitched	chr10(.):70660377-70661498	0.8928
1_MACS_peak_1434_lociStitched	chr10(.):70715255-70717630	0.6604
2_MACS_peak_1435_lociStitched	chr10(.):70847034-70850427	0.9227
1_MACS_peak_1437_lociStitched	chr10(.):70939091-70940258	0.9319
1_MACS_peak_1438_lociStitched	chr10(.):70961871-70962744	1.0011
1_MACS_peak_1439_lociStitched	chr10(.):70981858-70983161	1.6191
1_MACS_peak_1440_lociStitched	chr10(.):71168647-71169332	1.1191
1_MACS_peak_1441_lociStitched	chr10(.):71332934-71333538	0.6629
1_MACS_peak_1442_lociStitched	chr10(.):72030495-72031427	0.9708
2_MACS_peak_1443_lociStitched	chr10(.):72237298-72240994	0.6939
1_MACS_peak_1445_lociStitched	chr10(.):72259260-72260069	0.7104
1_MACS_peak_1446_lociStitched	chr10(.):72268361-72269240	0.719
2_MACS_peak_1447_lociStitched	chr10(.):72335506-72338948	1.394
1_MACS_peak_1449_lociStitched	chr10(.):72615958-72616906	0.7548
1_MACS_peak_1450_lociStitched	chr10(.):72625991-72626847	0.8839
