GENE_ID	locusLine	bin_1_32_0EX8_0229Kronos_MM1S-No-Treatment-2_IRF4_hs_i48.bam
1_MACS_peak_7178_lociStitched	chr15(.):75248460-75249183	0.5017
1_MACS_peak_7179_lociStitched	chr15(.):75300310-75302365	1.1994
1_MACS_peak_7180_lociStitched	chr15(.):75315584-75316894	0.7866
2_MACS_peak_7181_lociStitched	chr15(.):75334832-75340426	1.1457
1_MACS_peak_7183_lociStitched	chr15(.):75353280-75354430	1.0571
1_MACS_peak_7184_lociStitched	chr15(.):75361591-75362452	1.0876
2_MACS_peak_7185_lociStitched	chr15(.):75404867-75407369	0.91
1_MACS_peak_7187_lociStitched	chr15(.):75422425-75424014	1.3029
2_MACS_peak_7188_lociStitched	chr15(.):75492695-75495545	0.62
2_MACS_peak_7190_lociStitched	chr15(.):75625802-75629084	0.4962
1_MACS_peak_7192_lociStitched	chr15(.):75639008-75640405	0.6532
1_MACS_peak_7193_lociStitched	chr15(.):75659921-75661575	0.9567
2_MACS_peak_7194_lociStitched	chr15(.):75743755-75748427	0.6754
1_MACS_peak_7196_lociStitched	chr15(.):75917581-75918859	0.994
1_MACS_peak_7197_lociStitched	chr15(.):75931870-75933812	0.8104
1_MACS_peak_7198_lociStitched	chr15(.):76030804-76031800	0.6268
1_MACS_peak_7199_lociStitched	chr15(.):76109383-76110077	0.7854
1_MACS_peak_7200_lociStitched	chr15(.):76136033-76136952	0.6261
1_MACS_peak_7201_lociStitched	chr15(.):76195466-76196519	1.0379
1_MACS_peak_7202_lociStitched	chr15(.):76348967-76350153	1.0838
1_MACS_peak_7203_lociStitched	chr15(.):76603081-76604464	0.6926
1_MACS_peak_7204_lociStitched	chr15(.):76726060-76726819	0.508
1_MACS_peak_7205_lociStitched	chr15(.):76946304-76947152	0.8556
1_MACS_peak_7206_lociStitched	chr15(.):77351965-77352749	0.6568
1_MACS_peak_7207_lociStitched	chr15(.):77414732-77415520	0.7187
2_MACS_peak_7208_lociStitched	chr15(.):77471647-77474755	0.6456
1_MACS_peak_7210_lociStitched	chr15(.):77479853-77480836	1.0312
1_MACS_peak_7211_lociStitched	chr15(.):77535713-77537041	1.0328
2_MACS_peak_7212_lociStitched	chr15(.):77698258-77702948	0.5166
1_MACS_peak_7214_lociStitched	chr15(.):77712532-77713965	1.0026
1_MACS_peak_7215_lociStitched	chr15(.):77732482-77733465	0.7472
1_MACS_peak_7216_lociStitched	chr15(.):77749372-77750644	1.1385
1_MACS_peak_7217_lociStitched	chr15(.):77830157-77830899	0.4661
1_MACS_peak_7218_lociStitched	chr15(.):78089190-78090489	1.2045
1_MACS_peak_7219_lociStitched	chr15(.):78246009-78246959	1.0288
1_MACS_peak_7220_lociStitched	chr15(.):78326526-78328214	0.7772
1_MACS_peak_7221_lociStitched	chr15(.):78357445-78358390	0.9601
1_MACS_peak_7222_lociStitched	chr15(.):78423653-78424452	0.556
1_MACS_peak_7223_lociStitched	chr15(.):78441129-78442325	0.5953
2_MACS_peak_7224_lociStitched	chr15(.):78459571-78464478	0.4188
1_MACS_peak_7226_lociStitched	chr15(.):78591442-78592626	0.6651
1_MACS_peak_7227_lociStitched	chr15(.):78831836-78834251	0.6604
1_MACS_peak_7228_lociStitched	chr15(.):78843874-78844710	0.516
1_MACS_peak_7229_lociStitched	chr15(.):78995472-78996593	0.8706
1_MACS_peak_7230_lociStitched	chr15(.):79006979-79007825	0.5723
1_MACS_peak_7231_lociStitched	chr15(.):79152806-79153400	0.5831
1_MACS_peak_7232_lociStitched	chr15(.):79165064-79166614	0.8434
1_MACS_peak_7233_lociStitched	chr15(.):79398946-79400128	1.6461
1_MACS_peak_7234_lociStitched	chr15(.):79449657-79450591	0.8467
1_MACS_peak_7235_lociStitched	chr15(.):79484825-79486065	0.6508
1_MACS_peak_7236_lociStitched	chr15(.):79745699-79746407	0.5475
1_MACS_peak_7237_lociStitched	chr15(.):80188545-80189907	0.7599
1_MACS_peak_7238_lociStitched	chr15(.):80215483-80216742	0.638
1_MACS_peak_7239_lociStitched	chr15(.):80263247-80264100	0.5069
1_MACS_peak_7240_lociStitched	chr15(.):80309753-80310969	1.1249
1_MACS_peak_7241_lociStitched	chr15(.):80324865-80326581	0.6209
2_MACS_peak_7242_lociStitched	chr15(.):80349256-80353521	0.3983
1_MACS_peak_7244_lociStitched	chr15(.):80617333-80618159	0.7646
1_MACS_peak_7245_lociStitched	chr15(.):81291751-81294673	0.7463
1_MACS_peak_7246_lociStitched	chr15(.):81315412-81316654	0.8722
1_MACS_peak_7247_lociStitched	chr15(.):81387760-81389311	0.8376
1_MACS_peak_7248_lociStitched	chr15(.):81433687-81434634	0.6398
1_MACS_peak_7249_lociStitched	chr15(.):81557273-81558752	0.7235
3_MACS_peak_7250_lociStitched	chr15(.):81585577-81595531	0.8453
1_MACS_peak_7253_lociStitched	chr15(.):81609067-81610374	1.0422
1_MACS_peak_7254_lociStitched	chr15(.):81615963-81617083	0.6582
1_MACS_peak_7255_lociStitched	chr15(.):81758840-81759690	0.6966
1_MACS_peak_7256_lociStitched	chr15(.):81772840-81773370	0.4695
1_MACS_peak_7257_lociStitched	chr15(.):81865182-81866333	1.1373
1_MACS_peak_7258_lociStitched	chr15(.):81934407-81935447	0.5936
1_MACS_peak_7259_lociStitched	chr15(.):82081444-82082683	0.6177
1_MACS_peak_7260_lociStitched	chr15(.):82135488-82136270	0.5187
1_MACS_peak_7261_lociStitched	chr15(.):82240940-82241844	0.6511
1_MACS_peak_7262_lociStitched	chr15(.):82338441-82340523	0.6411
1_MACS_peak_7263_lociStitched	chr15(.):82554150-82555621	0.5836
1_MACS_peak_7264_lociStitched	chr15(.):82578492-82579374	1.5551
1_MACS_peak_7265_lociStitched	chr15(.):82797949-82798778	0.4977
1_MACS_peak_7266_lociStitched	chr15(.):82824248-82825395	0.7837
1_MACS_peak_7267_lociStitched	chr15(.):83001951-83003020	0.6516
1_MACS_peak_7268_lociStitched	chr15(.):83022976-83024122	0.669
1_MACS_peak_7269_lociStitched	chr15(.):83113965-83114425	0.4413
1_MACS_peak_7270_lociStitched	chr15(.):83208770-83209656	0.5054
1_MACS_peak_7271_lociStitched	chr15(.):83418688-83420077	0.7279
2_MACS_peak_7272_lociStitched	chr15(.):83474525-83480439	0.5561
1_MACS_peak_7274_lociStitched	chr15(.):83619249-83620093	0.8304
1_MACS_peak_7275_lociStitched	chr15(.):83635316-83636103	0.6822
1_MACS_peak_7276_lociStitched	chr15(.):83679412-83681111	0.8839
1_MACS_peak_7277_lociStitched	chr15(.):83735383-83736483	0.6669
2_MACS_peak_7278_lociStitched	chr15(.):83867738-83869583	0.8451
1_MACS_peak_7280_lociStitched	chr15(.):84596887-84597763	0.6955
1_MACS_peak_7281_lociStitched	chr15(.):84624328-84625344	0.7867
2_MACS_peak_7282_lociStitched	chr15(.):84765012-84768596	0.6254
1_MACS_peak_7284_lociStitched	chr15(.):84840825-84842144	0.767
1_MACS_peak_7285_lociStitched	chr15(.):84898461-84899851	0.6784
1_MACS_peak_7286_lociStitched	chr15(.):84976304-84977234	0.6446
1_MACS_peak_7287_lociStitched	chr15(.):85043269-85044691	0.6892
1_MACS_peak_7288_lociStitched	chr15(.):85112843-85114801	0.9177
1_MACS_peak_7289_lociStitched	chr15(.):85143478-85144708	0.8192
1_MACS_peak_7290_lociStitched	chr15(.):85173846-85175144	0.6734
1_MACS_peak_7291_lociStitched	chr15(.):85258997-85260267	1.0626
1_MACS_peak_7292_lociStitched	chr15(.):85267970-85268844	0.8012
1_MACS_peak_7293_lociStitched	chr15(.):85277153-85280434	1.1635
2_MACS_peak_7294_lociStitched	chr15(.):85292096-85294479	0.5055
1_MACS_peak_7296_lociStitched	chr15(.):85523171-85524986	0.7785
1_MACS_peak_7297_lociStitched	chr15(.):85777654-85778617	0.5193
2_MACS_peak_7298_lociStitched	chr15(.):85872495-85874988	1.1423
2_MACS_peak_7300_lociStitched	chr15(.):85951006-85957327	0.5164
1_MACS_peak_7302_lociStitched	chr15(.):85986544-85987419	0.7804
1_MACS_peak_7303_lociStitched	chr15(.):86233861-86236833	0.8928
1_MACS_peak_7304_lociStitched	chr15(.):86250048-86251258	0.8191
1_MACS_peak_7305_lociStitched	chr15(.):86493034-86493965	0.8868
1_MACS_peak_7306_lociStitched	chr15(.):86746537-86747269	0.585
1_MACS_peak_7307_lociStitched	chr15(.):86757855-86759120	0.6856
2_MACS_peak_7308_lociStitched	chr15(.):87946991-87952630	0.4141
1_MACS_peak_7310_lociStitched	chr15(.):88423859-88424946	0.7535
1_MACS_peak_7311_lociStitched	chr15(.):88722374-88723592	1.2535
1_MACS_peak_7312_lociStitched	chr15(.):89009932-89011431	0.892
1_MACS_peak_7313_lociStitched	chr15(.):89089106-89090484	0.754
3_MACS_peak_7314_lociStitched	chr15(.):89164112-89171282	0.4819
2_MACS_peak_7317_lociStitched	chr15(.):89177533-89184158	0.8264
1_MACS_peak_7319_lociStitched	chr15(.):89199489-89201142	1.1313
1_MACS_peak_7320_lociStitched	chr15(.):89226217-89227124	0.7226
1_MACS_peak_7321_lociStitched	chr15(.):89545274-89546435	0.788
1_MACS_peak_7322_lociStitched	chr15(.):89647021-89647856	0.7648
2_MACS_peak_7323_lociStitched	chr15(.):89655261-89660278	0.7538
1_MACS_peak_7325_lociStitched	chr15(.):89672504-89674362	1.0354
1_MACS_peak_7326_lociStitched	chr15(.):89786507-89788179	0.729
1_MACS_peak_7327_lociStitched	chr15(.):89877172-89879046	1.2719
1_MACS_peak_7328_lociStitched	chr15(.):89942285-89943364	0.677
1_MACS_peak_7329_lociStitched	chr15(.):89984263-89985335	0.9367
1_MACS_peak_7330_lociStitched	chr15(.):90293675-90294917	0.6216
1_MACS_peak_7331_lociStitched	chr15(.):90303697-90305345	1.1786
1_MACS_peak_7332_lociStitched	chr15(.):90323899-90325853	0.7227
1_MACS_peak_7333_lociStitched	chr15(.):90436508-90437967	1.3407
1_MACS_peak_7334_lociStitched	chr15(.):90574270-90575316	0.6565
1_MACS_peak_7335_lociStitched	chr15(.):90581249-90582074	0.6998
1_MACS_peak_7336_lociStitched	chr15(.):90589823-90591047	0.756
1_MACS_peak_7337_lociStitched	chr15(.):90601979-90603366	1.0439
1_MACS_peak_7338_lociStitched	chr15(.):90618249-90619998	1.1294
2_MACS_peak_7339_lociStitched	chr15(.):90638353-90646506	0.8764
1_MACS_peak_7341_lociStitched	chr15(.):90691913-90692926	0.7511
1_MACS_peak_7342_lociStitched	chr15(.):90700973-90701740	0.6598
2_MACS_peak_7343_lociStitched	chr15(.):90727049-90735791	0.4915
1_MACS_peak_7345_lociStitched	chr15(.):90776178-90777562	0.6534
1_MACS_peak_7346_lociStitched	chr15(.):90807944-90809295	0.9033
1_MACS_peak_7347_lociStitched	chr15(.):90895080-90895970	0.6587
1_MACS_peak_7348_lociStitched	chr15(.):90931452-90932351	0.4956
1_MACS_peak_7349_lociStitched	chr15(.):90943637-90944593	0.7059
1_MACS_peak_7350_lociStitched	chr15(.):91006348-91007311	0.7998
1_MACS_peak_7351_lociStitched	chr15(.):91067176-91068226	0.6467
2_MACS_peak_7352_lociStitched	chr15(.):91200727-91205271	0.8702
1_MACS_peak_7354_lociStitched	chr15(.):91254406-91255394	0.6943
1_MACS_peak_7355_lociStitched	chr15(.):91395754-91396881	1.611
1_MACS_peak_7356_lociStitched	chr15(.):91439897-91441045	1.0619
3_MACS_peak_7357_lociStitched	chr15(.):91472432-91479110	0.5588
1_MACS_peak_7360_lociStitched	chr15(.):91497802-91499115	0.824
1_MACS_peak_7361_lociStitched	chr15(.):91537453-91538512	0.648
1_MACS_peak_7362_lociStitched	chr15(.):91678535-91679252	0.6194
1_MACS_peak_7363_lociStitched	chr15(.):92015442-92016177	0.5269
1_MACS_peak_7364_lociStitched	chr15(.):92025862-92026497	0.4483
1_MACS_peak_7365_lociStitched	chr15(.):92136668-92137453	0.5206
1_MACS_peak_7366_lociStitched	chr15(.):92249368-92250310	0.8564
2_MACS_peak_7367_lociStitched	chr15(.):92395730-92401659	0.4654
1_MACS_peak_7369_lociStitched	chr15(.):92485990-92486869	0.9881
1_MACS_peak_7370_lociStitched	chr15(.):92495116-92496136	0.9285
1_MACS_peak_7371_lociStitched	chr15(.):92564819-92565755	0.818
2_MACS_peak_7372_lociStitched	chr15(.):93180074-93183061	0.6569
1_MACS_peak_7374_lociStitched	chr15(.):93208080-93209040	0.721
2_MACS_peak_7375_lociStitched	chr15(.):93346646-93354560	0.5351
1_MACS_peak_7377_lociStitched	chr15(.):93362826-93364154	0.5879
1_MACS_peak_7378_lociStitched	chr15(.):93374379-93376467	0.8236
1_MACS_peak_7379_lociStitched	chr15(.):93387949-93388824	0.5857
1_MACS_peak_7380_lociStitched	chr15(.):93424509-93425931	0.7806
2_MACS_peak_7381_lociStitched	chr15(.):93442958-93448551	0.5445
1_MACS_peak_7383_lociStitched	chr15(.):93460804-93461720	0.73
1_MACS_peak_7384_lociStitched	chr15(.):93522374-93523113	0.5996
1_MACS_peak_7385_lociStitched	chr15(.):93684341-93685043	0.5539
1_MACS_peak_7386_lociStitched	chr15(.):94599404-94600055	0.6037
1_MACS_peak_7387_lociStitched	chr15(.):94623365-94624100	0.4591
1_MACS_peak_7388_lociStitched	chr15(.):94772458-94775467	0.827
1_MACS_peak_7389_lociStitched	chr15(.):94930987-94931712	0.5888
1_MACS_peak_7390_lociStitched	chr15(.):94956473-94957109	0.4227
2_MACS_peak_7391_lociStitched	chr15(.):95827691-95830884	0.4297
1_MACS_peak_7393_lociStitched	chr15(.):95989861-95990744	1.2092
1_MACS_peak_7394_lociStitched	chr15(.):96212187-96213366	0.7676
1_MACS_peak_7395_lociStitched	chr15(.):96233484-96234797	1.0379
2_MACS_peak_7396_lociStitched	chr15(.):96406935-96413740	0.4495
1_MACS_peak_7398_lociStitched	chr15(.):96422388-96423323	0.5761
1_MACS_peak_7399_lociStitched	chr15(.):96472319-96473249	0.6002
1_MACS_peak_7400_lociStitched	chr15(.):96585662-96586872	1.3163
1_MACS_peak_7401_lociStitched	chr15(.):96601124-96602398	1.0487
1_MACS_peak_7402_lociStitched	chr15(.):96807431-96808137	0.5761
1_MACS_peak_7403_lociStitched	chr15(.):96869820-96870841	0.4908
1_MACS_peak_7404_lociStitched	chr15(.):96899727-96900683	0.8184
1_MACS_peak_7405_lociStitched	chr15(.):96964086-96964912	0.7289
1_MACS_peak_7406_lociStitched	chr15(.):98104479-98105437	1.0609
1_MACS_peak_7407_lociStitched	chr15(.):98503158-98504188	0.7662
1_MACS_peak_7408_lociStitched	chr15(.):98947906-98948745	1.1154
1_MACS_peak_7409_lociStitched	chr15(.):99189971-99190970	0.7109
1_MACS_peak_7410_lociStitched	chr15(.):99319832-99320498	0.6637
1_MACS_peak_7411_lociStitched	chr15(.):99394934-99396971	0.767
1_MACS_peak_7412_lociStitched	chr15(.):99408656-99409801	0.568
1_MACS_peak_7413_lociStitched	chr15(.):99416657-99417561	0.6271
1_MACS_peak_7414_lociStitched	chr15(.):99495269-99496406	0.9528
1_MACS_peak_7415_lociStitched	chr15(.):99644815-99645577	0.5611
1_MACS_peak_7416_lociStitched	chr15(.):99790791-99791849	0.6723
1_MACS_peak_7417_lociStitched	chr15(.):99864042-99865083	0.8529
2_MACS_peak_7418_lociStitched	chr15(.):100105635-100107895	0.6591
1_MACS_peak_7420_lociStitched	chr15(.):100171168-100172009	1.1119
1_MACS_peak_7421_lociStitched	chr15(.):100217851-100218500	0.6309
2_MACS_peak_7422_lociStitched	chr15(.):100243744-100248222	0.4188
1_MACS_peak_7424_lociStitched	chr15(.):100258807-100259966	1.3129
2_MACS_peak_7425_lociStitched	chr15(.):100345720-100347883	0.5226
1_MACS_peak_7427_lociStitched	chr15(.):100710364-100711108	0.6654
1_MACS_peak_7428_lociStitched	chr15(.):100841970-100842596	0.4698
1_MACS_peak_7429_lociStitched	chr15(.):100881949-100882712	0.4546
1_MACS_peak_7430_lociStitched	chr15(.):100889750-100891251	0.6463
1_MACS_peak_7431_lociStitched	chr15(.):101110837-101111538	0.5424
1_MACS_peak_7432_lociStitched	chr15(.):101141729-101143243	0.8478
1_MACS_peak_7433_lociStitched	chr15(.):101243092-101243788	0.6108
1_MACS_peak_7434_lociStitched	chr15(.):101462268-101463878	0.8754
1_MACS_peak_7435_lociStitched	chr15(.):101575594-101576273	0.642
1_MACS_peak_7436_lociStitched	chr15(.):101665932-101668489	0.878
2_MACS_peak_7437_lociStitched	chr15(.):101675585-101679934	0.5341
1_MACS_peak_7439_lociStitched	chr15(.):101687043-101688840	0.7658
1_MACS_peak_7440_lociStitched	chr15(.):101738490-101740975	1.018
1_MACS_peak_7441_lociStitched	chr15(.):101782559-101783782	0.791
1_MACS_peak_7442_lociStitched	chr15(.):101791972-101793467	0.5071
1_MACS_peak_7443_lociStitched	chr15(.):101804967-101806098	1.1001
1_MACS_peak_7444_lociStitched	chr15(.):101815916-101818235	0.7144
1_MACS_peak_7445_lociStitched	chr15(.):101834608-101836114	0.819
1_MACS_peak_7446_lociStitched	chr15(.):102160576-102161535	0.792
1_MACS_peak_7447_lociStitched	chr15(.):102181232-102182670	0.7723
2_MACS_peak_7448_lociStitched	chr15(.):102191774-102195705	0.4934
1_MACS_peak_7450_lociStitched	chr15(.):102263230-102264753	0.6638
1_MACS_peak_7451_lociStitched	chr15(.):102285344-102287451	0.6529
1_MACS_peak_7452_lociStitched	chr15(.):102501246-102502695	1.3231
1_MACS_peak_7453_lociStitched	chr15(.):102519244-102520183	0.7344
1_MACS_peak_7454_lociStitched	chr16(.):60819-61363	0.7733
1_MACS_peak_7455_lociStitched	chr16(.):88466-89916	0.7661
1_MACS_peak_7456_lociStitched	chr16(.):146686-147475	0.6223
2_MACS_peak_7457_lociStitched	chr16(.):278680-285909	0.4342
2_MACS_peak_7459_lociStitched	chr16(.):446552-452776	0.271
1_MACS_peak_7461_lociStitched	chr16(.):576721-577776	0.605
1_MACS_peak_7462_lociStitched	chr16(.):616619-617566	0.7423
1_MACS_peak_7463_lociStitched	chr16(.):629008-629616	0.5634
2_MACS_peak_7464_lociStitched	chr16(.):685933-692115	0.3094
2_MACS_peak_7466_lociStitched	chr16(.):697950-699644	0.4903
1_MACS_peak_7468_lociStitched	chr16(.):740012-740958	0.8976
1_MACS_peak_7469_lociStitched	chr16(.):770339-771617	0.6624
2_MACS_peak_7470_lociStitched	chr16(.):785727-791596	0.292
1_MACS_peak_7472_lociStitched	chr16(.):857458-858192	0.688
1_MACS_peak_7473_lociStitched	chr16(.):1346504-1347657	0.7783
1_MACS_peak_7474_lociStitched	chr16(.):1358119-1359457	0.8938
1_MACS_peak_7475_lociStitched	chr16(.):1469944-1471527	0.8127
1_MACS_peak_7476_lociStitched	chr16(.):1524854-1525742	0.5909
1_MACS_peak_7477_lociStitched	chr16(.):1660245-1662351	0.5682
1_MACS_peak_7478_lociStitched	chr16(.):1755439-1756616	0.6988
1_MACS_peak_7479_lociStitched	chr16(.):1771892-1772673	0.6114
2_MACS_peak_7480_lociStitched	chr16(.):1821372-1823726	0.7185
1_MACS_peak_7482_lociStitched	chr16(.):1876715-1877869	1.0095
1_MACS_peak_7483_lociStitched	chr16(.):1926122-1927058	0.5693
2_MACS_peak_7484_lociStitched	chr16(.):2009078-2015709	0.4517
1_MACS_peak_7486_lociStitched	chr16(.):2021173-2022660	0.9583
1_MACS_peak_7487_lociStitched	chr16(.):2033643-2034557	0.5022
1_MACS_peak_7488_lociStitched	chr16(.):2204735-2205956	0.773
1_MACS_peak_7489_lociStitched	chr16(.):2254859-2256186	0.6842
1_MACS_peak_7490_lociStitched	chr16(.):2300326-2302064	0.7015
1_MACS_peak_7491_lociStitched	chr16(.):2317351-2318990	0.8661
1_MACS_peak_7492_lociStitched	chr16(.):2390646-2391435	0.4978
1_MACS_peak_7493_lociStitched	chr16(.):2563079-2564391	0.5389
2_MACS_peak_7494_lociStitched	chr16(.):2582453-2587966	0.3639
2_MACS_peak_7496_lociStitched	chr16(.):2652917-2657500	0.5189
2_MACS_peak_7498_lociStitched	chr16(.):2731695-2737806	0.6081
1_MACS_peak_7500_lociStitched	chr16(.):2770704-2771913	0.5948
1_MACS_peak_7501_lociStitched	chr16(.):2801326-2803605	0.7283
1_MACS_peak_7502_lociStitched	chr16(.):2917795-2918996	0.8147
1_MACS_peak_7503_lociStitched	chr16(.):2953843-2954779	0.6002
2_MACS_peak_7504_lociStitched	chr16(.):2965013-2970142	0.3338
1_MACS_peak_7506_lociStitched	chr16(.):3018512-3019510	0.7411
1_MACS_peak_7507_lociStitched	chr16(.):3033580-3034364	0.5399
2_MACS_peak_7508_lociStitched	chr16(.):3151174-3157100	0.219
1_MACS_peak_7510_lociStitched	chr16(.):3173930-3175388	0.671
1_MACS_peak_7511_lociStitched	chr16(.):3184201-3185171	0.8279
3_MACS_peak_7512_lociStitched	chr16(.):3199978-3209509	0.4798
1_MACS_peak_7515_lociStitched	chr16(.):3215540-3216404	0.6667
1_MACS_peak_7516_lociStitched	chr16(.):3223666-3224562	0.6265
1_MACS_peak_7517_lociStitched	chr16(.):3284460-3285524	0.7871
1_MACS_peak_7518_lociStitched	chr16(.):3313419-3315208	0.7333
1_MACS_peak_7519_lociStitched	chr16(.):3332232-3333890	0.7501
1_MACS_peak_7520_lociStitched	chr16(.):3354857-3356304	0.9147
1_MACS_peak_7521_lociStitched	chr16(.):3398064-3399627	1.3234
1_MACS_peak_7522_lociStitched	chr16(.):3414650-3415744	0.5743
1_MACS_peak_7523_lociStitched	chr16(.):3450619-3451887	0.8315
1_MACS_peak_7524_lociStitched	chr16(.):3507320-3508388	0.7417
1_MACS_peak_7525_lociStitched	chr16(.):3553286-3554246	0.7791
1_MACS_peak_7526_lociStitched	chr16(.):3563797-3564611	0.559
2_MACS_peak_7527_lociStitched	chr16(.):3673383-3676782	0.6158
1_MACS_peak_7529_lociStitched	chr16(.):3767300-3768396	0.6759
1_MACS_peak_7530_lociStitched	chr16(.):4232823-4234033	0.5244
1_MACS_peak_7531_lociStitched	chr16(.):4302984-4304511	0.7265
1_MACS_peak_7532_lociStitched	chr16(.):4322657-4323968	0.6683
1_MACS_peak_7533_lociStitched	chr16(.):4357386-4358326	0.5717
2_MACS_peak_7534_lociStitched	chr16(.):4463920-4467182	0.7058
1_MACS_peak_7536_lociStitched	chr16(.):4474806-4476634	0.9029
1_MACS_peak_7537_lociStitched	chr16(.):4525864-4526772	0.7159
1_MACS_peak_7538_lociStitched	chr16(.):4588249-4589396	0.9159
2_MACS_peak_7539_lociStitched	chr16(.):4664664-4667278	0.6543
1_MACS_peak_7541_lociStitched	chr16(.):4673942-4675985	0.9158
1_MACS_peak_7542_lociStitched	chr16(.):4783967-4785374	0.5792
1_MACS_peak_7543_lociStitched	chr16(.):4816339-4817714	0.5899
1_MACS_peak_7544_lociStitched	chr16(.):4887980-4888726	0.6694
1_MACS_peak_7545_lociStitched	chr16(.):5025811-5026546	0.8181
2_MACS_peak_7546_lociStitched	chr16(.):5144976-5148781	0.5438
1_MACS_peak_7548_lociStitched	chr16(.):5808966-5809671	0.4298
1_MACS_peak_7549_lociStitched	chr16(.):5901285-5902503	0.8015
1_MACS_peak_7550_lociStitched	chr16(.):6827237-6828175	0.4634
1_MACS_peak_7551_lociStitched	chr16(.):7102947-7103520	0.459
1_MACS_peak_7552_lociStitched	chr16(.):7473321-7473954	0.4077
1_MACS_peak_7553_lociStitched	chr16(.):8748907-8749534	0.5129
1_MACS_peak_7554_lociStitched	chr16(.):8890798-8892198	0.8042
1_MACS_peak_7555_lociStitched	chr16(.):8962137-8963027	0.5683
1_MACS_peak_7556_lociStitched	chr16(.):9055350-9056929	0.7504
1_MACS_peak_7557_lociStitched	chr16(.):9166201-9167525	0.9238
1_MACS_peak_7558_lociStitched	chr16(.):9184415-9185473	0.5697
1_MACS_peak_7559_lociStitched	chr16(.):9226329-9227261	0.682
1_MACS_peak_7560_lociStitched	chr16(.):10007756-10008864	1.2369
2_MACS_peak_7561_lociStitched	chr16(.):10369129-10374994	0.3333
1_MACS_peak_7563_lociStitched	chr16(.):10390957-10391981	0.816
1_MACS_peak_7564_lociStitched	chr16(.):10423019-10423945	0.6382
1_MACS_peak_7565_lociStitched	chr16(.):10479305-10480477	0.7435
2_MACS_peak_7566_lociStitched	chr16(.):10693259-10695197	0.8314
1_MACS_peak_7568_lociStitched	chr16(.):10821732-10822706	1.0698
3_MACS_peak_7569_lociStitched	chr16(.):10830740-10838231	0.3784
1_MACS_peak_7572_lociStitched	chr16(.):10869862-10870838	1.184
1_MACS_peak_7573_lociStitched	chr16(.):10936684-10937578	0.9615
2_MACS_peak_7574_lociStitched	chr16(.):10970182-10976170	0.7697
1_MACS_peak_7576_lociStitched	chr16(.):11057661-11060039	1.1242
1_MACS_peak_7577_lociStitched	chr16(.):11187815-11189131	0.7976
1_MACS_peak_7578_lociStitched	chr16(.):11198495-11199568	0.8126
1_MACS_peak_7579_lociStitched	chr16(.):11350949-11351845	0.7291
1_MACS_peak_7580_lociStitched	chr16(.):11402555-11405472	1.0585
1_MACS_peak_7581_lociStitched	chr16(.):11422040-11423531	0.8312
1_MACS_peak_7582_lociStitched	chr16(.):11448227-11449149	1.0878
2_MACS_peak_7583_lociStitched	chr16(.):11455300-11457929	1.0344
1_MACS_peak_7585_lociStitched	chr16(.):11551822-11552970	1.2781
2_MACS_peak_7586_lociStitched	chr16(.):11669148-11671784	0.7327
3_MACS_peak_7588_lociStitched	chr16(.):11712833-11719074	0.549
6_MACS_peak_7591_lociStitched	chr16(.):11766185-11785662	0.7465
3_MACS_peak_7597_lociStitched	chr16(.):11797070-11805700	0.5633
7_MACS_peak_7600_lociStitched	chr16(.):11813428-11837508	0.5797
1_MACS_peak_7607_lociStitched	chr16(.):11889773-11890570	0.4868
1_MACS_peak_7608_lociStitched	chr16(.):11903477-11904736	1.1214
1_MACS_peak_7609_lociStitched	chr16(.):11944637-11946235	0.8045
2_MACS_peak_7610_lociStitched	chr16(.):12007465-12010527	0.6442
3_MACS_peak_7612_lociStitched	chr16(.):12056572-12070776	0.6797
1_MACS_peak_7615_lociStitched	chr16(.):12120622-12122322	0.7882
1_MACS_peak_7616_lociStitched	chr16(.):12349192-12350159	0.8208
1_MACS_peak_7617_lociStitched	chr16(.):12378150-12379033	1.2767
1_MACS_peak_7618_lociStitched	chr16(.):12896866-12898186	1.0109
1_MACS_peak_7619_lociStitched	chr16(.):13904024-13904873	0.6346
1_MACS_peak_7620_lociStitched	chr16(.):14050464-14051433	0.5575
1_MACS_peak_7621_lociStitched	chr16(.):14286957-14287994	0.562
1_MACS_peak_7622_lociStitched	chr16(.):14378666-14380740	0.6413
2_MACS_peak_7623_lociStitched	chr16(.):14448314-14451744	1.0181
1_MACS_peak_7625_lociStitched	chr16(.):14492610-14493970	0.9177
1_MACS_peak_7626_lociStitched	chr16(.):14499441-14501260	1.0929
3_MACS_peak_7627_lociStitched	chr16(.):14591272-14597978	0.4787
1_MACS_peak_7630_lociStitched	chr16(.):14701678-14702993	0.62
1_MACS_peak_7631_lociStitched	chr16(.):14726122-14727687	0.7062
1_MACS_peak_7632_lociStitched	chr16(.):14766245-14767146	0.6894
1_MACS_peak_7633_lociStitched	chr16(.):14836013-14836765	0.4723
1_MACS_peak_7634_lociStitched	chr16(.):14927040-14927920	0.48
1_MACS_peak_7635_lociStitched	chr16(.):15067782-15070424	0.9532
1_MACS_peak_7636_lociStitched	chr16(.):15107527-15109277	1.0044
1_MACS_peak_7637_lociStitched	chr16(.):15384055-15384797	0.4974
1_MACS_peak_7638_lociStitched	chr16(.):15684291-15685698	1.0304
1_MACS_peak_7639_lociStitched	chr16(.):15735965-15738083	0.6145
