REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X26_0F2C_0229Kronos_MM1S.KB.3hr.2_H3K27me3_hs.dm_i13.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
9_MACS_peak_26136_lociStitched	chr22	20240293	20281146	9	38678	61969.9157	3076.2309	165	RTN4R	LOC150197,MIR1286,DGCR6L	RTN4R	165	1
13_MACS_peak_37012_lociStitched	chr9	138129207	138175782	13	44880	61940.0925	3702.7125	166			OLFM1	166	1
21_MACS_peak_17821_lociStitched	chr19	5300822	5347005	21	42095	63866.4707	5652.7992	167	PTPRS		PTPRS	167	1
10_MACS_peak_46_lociStitched	chr1	913467	947850	10	32183	61346.1486	3146.0445	168	C1orf170,HES4	KLHL17,PLEKHN1,ISG15,AGRN,NOC2L	HES4	168	1
7_MACS_peak_27327_lociStitched	chr22	42918428	42956847	7	36476	64394.0859	6481.2853	169	SERHL2	SERHL,RRP7A,RRP7B	SERHL2	169	1
10_MACS_peak_15540_lociStitched	chr17	47554873	47593252	10	36946	61828.569	4083.5256	170	NGFR		NGFR	170	1
18_MACS_peak_14285_lociStitched	chr17	7664208	7714410	18	44650	62727.399	5005.1394	171	DNAH2	RPL29P2,KDM6B,TMEM88,CYB5D1,LSMD1	RPL29P2	171	1
6_MACS_peak_17376_lociStitched	chr19	1483971	1512983	6	27346	62123.3956	4418.5276	172	REEP6,PCSK4,ADAMTSL5	RPS15,APC2,PLK5P,C19orf25	REEP6	172	1
7_MACS_peak_37269_lociStitched	chr9	139627977	139659079	7	30051	60325.4392	2740.0862	173	LOC100128593,LCN10,LCN6,LCN8,LCN15	FAM69B,TMEM141,KIAA1984,C9orf86,AGPAT2,SNORA43,SNORA17,SNHG7,LOC100131193	LCN6	173	1
13_MACS_peak_6755_lociStitched	chr11	1237992	1279467	13	39629	60225.8475	3297.2625	174	MUC5B		MUC5B	174	1
4_MACS_peak_29065_lociStitched	chr3	184274888	184305806	4	30012	61226.9154	4374.897	175	EPHB3		EPHB3	175	1
20_MACS_peak_33457_lociStitched	chr7	155596229	155642287	20	40704	61906.5578	5070.9858	176	SHH		SHH	176	1
6_MACS_peak_9317_lociStitched	chr12	3367879	3409337	6	40438	60404.306	3776.8238	177	TSPAN9		TSPAN9	177	1
4_MACS_peak_16908_lociStitched	chr17	78429591	78461777	4	31625	59611.6906	2993.298	178	NPTX1	FLJ35220,LOC100294362	NPTX1	178	1
12_MACS_peak_36218_lociStitched	chr9	133934950	133975056	12	38633	59882.2686	3553.3916	179	LAMC3,AIF1L	NUP214	AIF1L	179	1
15_MACS_peak_10106_lociStitched	chr13	113667832	113710938	15	39774	60154.423	3840.7446	180	MCF2L	F7,LOC100289410	MCF2L	180	1
10_MACS_peak_17976_lociStitched	chr19	5991296	6029846	10	37322	61198.125	5528.07	181	RFX2	RANBP3	RANBP3	181	1
18_MACS_peak_1366_lociStitched	chr1	7505439	7552481	18	41670	59098.8646	3476.4038	182	CAMTA1		VAMP3	182	1
4_MACS_peak_30962_lociStitched	chr5	176265775	176297776	4	31381	58437.0261	3033.6948	183	UNC5A	HK3	UNC5A	183	1
13_MACS_peak_24172_lociStitched	chr20	56126246	56170981	13	42443	59792.801	4536.129	184	PCK1	CTCFL,ZBP1	PCK1	184	1
14_MACS_peak_6975_lociStitched	chr11	2304137	2344283	14	37112	57854.4006	2998.9062	185	TSPAN32,C11orf21	ASCL2	TSPAN32	185	1
17_MACS_peak_2863_lociStitched	chr1	19023674	19070137	17	43127	58761.7561	3912.1846	186	PAX7		PAX7	186	1
10_MACS_peak_4884_lociStitched	chr1	156821094	156858780	10	34371	60610.3938	5867.7102	187	NTRK1,INSRR	PEAR1,C1orf92,SH2D2A,MIR765	NTRK1	187	1
9_MACS_peak_14738_lociStitched	chr17	26830959	26867847	9	35785	58710.9408	4009.7256	188	FOXN1	SLC13A2,UNC119,PIGS,ALDOC	FOXN1	188	1
19_MACS_peak_16569_lociStitched	chr17	76580917	76627663	19	42837	58853.214	4202.4654	189		DNAH17	DNAH17	189	1
14_MACS_peak_1898_lociStitched	chr1	11483557	11526911	14	41177	58272.1114	3763.1272	190		PTCHD2	PTCHD2	190	1
15_MACS_peak_17533_lociStitched	chr19	3079132	3127922	15	44484	60138.554	5645.003	191	GNA11	GNA15,TLE2,AES	GNA11	191	1
10_MACS_peak_11945_lociStitched	chr16	2854504	2892344	10	35679	58057.912	3583.448	192	PRSS41,PRSS21,ZG16B,PRSS30P	FLYWCH2,TCEB2,PRSS33,PRSS22	PRSS21	192	1
10_MACS_peak_11751_lociStitched	chr16	915178	953904	10	35368	57709.4852	3287.8374	193	LMF1		PRR25	193	1
16_MACS_peak_311_lociStitched	chr1	2715382	2760163	16	41266	57749.5776	3345.1407	194			MMEL1	194	1
20_MACS_peak_11299_lociStitched	chr15	74586857	74633023	20	42629	58603.1204	4358.0704	195	CCDC33,CYP11A1		CCDC33	195	1
16_MACS_peak_7290_lociStitched	chr11	61337377	61381268	16	41151	58427.6992	4187.2014	196	SYT7	RPLP0P2	SYT7	196	1
11_MACS_peak_36683_lociStitched	chr9	137095832	137135511	11	35674	56740.97	2741.8189	197			RNU6ATAC	197	1
22_MACS_peak_30258_lociStitched	chr4	8876170	8923957	22	42015	57836.6061	3932.8701	198		LOC650293,HMX1	HMX1	198	1
13_MACS_peak_32200_lociStitched	chr7	2671665	2711939	13	35651	57104.5046	3229.9748	199	TTYH3	AMZ1	TTYH3	199	1
5_MACS_peak_27565_lociStitched	chr22	44732070	44768152	5	35448	56446.6808	2688.109	200		KIAA1644	KIAA1644	200	1
8_MACS_peak_18232_lociStitched	chr19	7829967	7871147	8	39754	59262.138	5695.194	201	CLEC4M,CLEC4GP1	EVI5L,CLEC4G,CD209	CLEC4GP1	201	1
14_MACS_peak_31412_lociStitched	chr6	32034770	32072675	14	35150	57187.2735	3741.2235	202	TNXB	PPT2,ATF6B,FKBPL,PRRT1,LOC100507547	TNXB	202	1
8_MACS_peak_25149_lociStitched	chr20	61779509	61817095	8	35750	55811.4514	2416.7798	203	MIR124-3	HAR1A,HAR1B,YTHDF1	MIR124-3	203	1
10_MACS_peak_35426_lociStitched	chr8	144938490	144972830	10	32470	56901.38	3509.548	204	EPPK1	MIR937,SCRIB,PUF60,NRBP2,PLEC,MIR661	EPPK1	204	1
5_MACS_peak_14907_lociStitched	chr17	36716083	36747020	5	30235	56568.3045	3189.6047	205	SRCIN1		SRCIN1	205	1
9_MACS_peak_23488_lociStitched	chr20	30425280	30462528	9	34330	57320.9472	4101.0048	206	TTLL9,FOXS1,DUSP15	MYLK2	FOXS1	206	1
15_MACS_peak_27458_lociStitched	chr22	44214019	44257342	15	40098	56623.161	3426.8493	207	SULT4A1	EFCAB6,PNPLA5	SULT4A1	207	1
8_MACS_peak_27295_lociStitched	chr22	42791887	42831398	8	37314	56804.9647	3891.8335	208	NFAM1		NFAM1	208	1
27_MACS_peak_34762_lociStitched	chr8	142586028	142635253	27	42301	56397.0825	3514.665	209			FLJ43860	209	1
13_MACS_peak_25535_lociStitched	chr21	43829329	43870188	13	37050	58693.9535	6357.6604	210	UBASH3A	SLC37A1,TFF1,TMPRSS3,RSPH1	UBASH3A	210	1
3_MACS_peak_7018_lociStitched	chr11	2425954	2449418	3	23103	54335.5848	2006.172	211	TRPM5	CD81,TSSC4,KCNQ1	TRPM5	211	1
7_MACS_peak_16591_lociStitched	chr17	77015612	77047863	7	30748	55839.3814	3534.7096	212	C1QTNF1	ENGASE,LGALS3BP,CANT1	C1QTNF1	212	1
5_MACS_peak_11982_lociStitched	chr16	3078332	3108480	5	29708	54848.2564	2607.802	213	MMP25,CCDC64B	LOC283875,CLDN9,TNFRSF12A,THOC6,IL32,PKMYT1,CLDN6,HCFC1R1,ZSCAN10	MMP25	213	1
6_MACS_peak_37173_lociStitched	chr9	138661106	138692043	6	28925	54275.8728	2375.9616	214	KCNT1		KCNT1	214	1
5_MACS_peak_36442_lociStitched	chr9	135848430	135882520	5	33892	54714.45	3177.188	215	GFI1B	GTF3C5,TSC1	GFI1B	215	1
15_MACS_peak_6779_lociStitched	chr11	1388229	1430285	15	38106	54609.716	3204.6672	216	BRSK2		BRSK2	216	1
17_MACS_peak_2000_lociStitched	chr1	11911634	11953816	17	38649	55427.148	4041.0356	217	NPPB	CLCN6,PLOD1,MTHFR,NPPA,KIAA2013	NPPB	217	1
21_MACS_peak_9296_lociStitched	chr12	3319783	3366488	21	42379	55317.402	3965.2545	218	TSPAN9		TSPAN9	218	1
7_MACS_peak_6913_lociStitched	chr11	1937306	1968209	7	28976	53938.0962	2790.5409	219	TNNT3	LSP1,MRPL23,LOC100133545,MIR675	TNNT3	219	1
12_MACS_peak_6929_lociStitched	chr11	2105800	2145491	12	36102	54412.3919	3373.735	220		IGF2AS,MIR483,IGF2,INS,TH	MIR483	220	1
14_MACS_peak_343_lociStitched	chr1	2814790	2854661	14	37755	53522.8304	2491.9375	221			ACTRT2	221	1
8_MACS_peak_5028_lociStitched	chr1	201321980	201357974	8	34211	55610.73	4927.5786	222	TNNT2,LAD1	TNNI1	TNNT2	222	1
6_MACS_peak_22967_lociStitched	chr2	219845415	219873955	6	27717	53509.646	2971.014	223	FEV,CRYBA2,MIR375,CCDC108	CDK5R2,LOC151300,CCDC108,MIR3131	CRYBA2	223	1
12_MACS_peak_27421_lociStitched	chr22	43799696	43839425	12	37572	53383.8573	3023.3769	224	MPPED1		MPPED1	224	1
2_MACS_peak_32785_lociStitched	chr7	100633668	100648985	2	15314	53375.1499	3121.6046	225	MUC12	MUC17	MUC17	225	1
8_MACS_peak_35114_lociStitched	chr8	143636062	143673929	8	35089	52892.6256	2684.7703	226		ARC	ARC	226	1
18_MACS_peak_18574_lociStitched	chr19	11345834	11389881	18	39153	54481.7343	4611.7209	227	LOC55908,DOCK6	TSPAN16,KANK2	DOCK6	227	1
6_MACS_peak_16965_lociStitched	chr17	79272123	79301397	6	28120	52631.7246	2918.6178	228	C17orf55,TMEM105	SLC38A10	C17orf55	228	1
3_MACS_peak_4857_lociStitched	chr1	156389258	156415277	3	25662	53976.4155	4540.3155	229	C1orf61,MIR9-1		C1orf61	229	1
13_MACS_peak_27552_lociStitched	chr22	44691587	44730351	13	35061	52928.3656	3670.9508	230	KIAA1644		KIAA1644	230	1
4_MACS_peak_4894_lociStitched	chr1	156860083	156885173	4	24590	52887.211	3848.806	231	PEAR1	NTRK1,C1orf92,INSRR,MIR765	PEAR1	231	1
10_MACS_peak_17629_lociStitched	chr19	3436526	3467600	10	28894	53173.8288	4151.4864	232	NFIC	FZR1,C19orf77,DOHH	C19orf77	232	1
8_MACS_peak_4222_lociStitched	chr1	32125991	32165419	8	38193	52809.8632	3848.1728	233	COL16A1	HCRTR1,PEF1	COL16A1	233	1
4_MACS_peak_17745_lociStitched	chr19	4734043	4767546	4	32984	53577.9976	4730.6236	234		C19orf30,MIR7-3,FEM1A,DPP9	C19orf30	234	1
10_MACS_peak_7805_lociStitched	chr11	68758290	68790848	10	30193	51285.3616	2878.1272	235	MRGPRF	TPCN2,MRGPRD	MRGPRF	235	1
11_MACS_peak_27077_lociStitched	chr22	37886047	37923839	11	35517	51933.7664	3556.2272	236	CARD10	CDC42EP1,MFNG	CARD10	236	1
14_MACS_peak_16917_lociStitched	chr17	78478643	78517619	14	36701	51662.688	3293.472	237		RPTOR,NPTX1	RPTOR	237	1
9_MACS_peak_16737_lociStitched	chr17	77636133	77674294	9	36557	51830.2702	3468.8349	238		ENPP7	ENPP7	238	1
20_MACS_peak_11251_lociStitched	chr15	74461176	74504139	20	37799	52307.4525	3965.4849	239	ISLR,STRA6	ISLR2,CCDC33,LOC283731	STRA6	239	1
9_MACS_peak_16348_lociStitched	chr17	74872207	74906533	9	31555	51519.8934	3233.5092	240	MGAT5B		MGAT5B	240	1
4_MACS_peak_37168_lociStitched	chr9	138625511	138657822	4	31820	50463.3198	2391.014	241	KCNT1	SOHLH1	KCNT1	241	1
19_MACS_peak_17922_lociStitched	chr19	5722021	5767849	19	39580	53944.1388	5948.4744	242	TMEM146	HSD11B1L,RPL36,C19orf70,LONP1,PRR22,DUS3L	TMEM146	242	1
9_MACS_peak_27160_lociStitched	chr22	39213946	39249747	9	33249	51313.5733	3365.294	243	NPTXR	DNAL4,CBX6	NPTXR	243	1
9_MACS_peak_25291_lociStitched	chr20	62726803	62756517	9	26964	50498.943	2733.688	244	OPRL1,NPBWR2	TCEA2,MYT1,SOX18,RGS19,C20orf201	NPBWR2	244	1
9_MACS_peak_25177_lociStitched	chr20	61988524	62019956	9	30442	50030.3144	2338.5408	245	CHRNA4		CHRNA4	245	1
8_MACS_peak_27795_lociStitched	chr22	45319965	45357440	8	36783	50527.5425	2870.585	246	PHF21B		PHF21B	246	1
5_MACS_peak_21644_lociStitched	chr19	49915894	49946101	5	29124	50056.0197	2425.6221	247	CCDC155,LOC645971,PTH2,SLC17A7	DKKL1,ALDH16A1,FLT3LG,RPL13AP5,SNORD32A,SNORD33,SNORD34,SNORD35A,PIH1D1	LOC645971	247	1
12_MACS_peak_29441_lociStitched	chr4	3850700	3888427	12	33940	50689.9972	3172.8407	248			LOC348926	248	1
5_MACS_peak_3261_lociStitched	chr1	21906283	21933673	5	26802	50085.354	2626.701	249	RAP1GAP		RAP1GAP	249	1
11_MACS_peak_22237_lociStitched	chr19	55995680	56028129	11	30162	50587.991	3261.1245	250	ZNF628,NAT14,SSC5D	SHISA7,ISOC2,SBK2	SSC5D	250	1
7_MACS_peak_1985_lociStitched	chr1	11747186	11777302	7	29592	49896.1888	2761.6372	251	C1orf187,MAD2L2	FBXO44,FBXO6,AGTRAP,FBXO2,MAD2L2	C1orf187	251	1
19_MACS_peak_31481_lociStitched	chr6	33760400	33803070	19	38882	51225.335	4147.524	252	MLN	IP6K3,LEMD2	MLN	252	1
7_MACS_peak_35762_lociStitched	chr9	127232471	127264760	7	30387	49702.4577	3035.166	253	GPR144,NR5A1		NR5A1	253	1
7_MACS_peak_27545_lociStitched	chr22	44657874	44690571	7	31523	49503.258	2860.9875	254	KIAA1644		KIAA1644	254	1
9_MACS_peak_14015_lociStitched	chr17	4478830	4508749	9	27074	49255.6497	2824.3536	255	SMTNL2	MYBBP1A,GGT6,ALOX15	SMTNL2	255	1
13_MACS_peak_36751_lociStitched	chr9	137423089	137460361	13	33358	49042.4976	2702.22	256			COL5A1	256	1
11_MACS_peak_32812_lociStitched	chr7	100743721	100781639	11	34858	50385.4384	4049.6424	257	SERPINE1	TRIM56,AP1S1,VGF,C7orf52	SERPINE1	257	1
7_MACS_peak_20193_lociStitched	chr19	36334893	36370629	7	34657	49505.0808	3255.5496	258	KIRREL2,APLP1,NPHS1	HCST,PRODH2,NFKBID,TYROBP	KIRREL2	258	1
21_MACS_peak_27681_lociStitched	chr22	45093356	45135249	21	36544	49484.0116	3364.0079	259	PRR5,PRR5-ARHGAP8	ARHGAP8	PRR5-ARHGAP8	259	1
4_MACS_peak_21237_lociStitched	chr19	47901922	47930698	4	28507	49063.08	2989.8264	260	MEIS3	DHX34,SLC8A2	MEIS3	260	1
10_MACS_peak_36784_lociStitched	chr9	137508750	137548258	10	35319	48784.4784	2757.6584	261	COL5A1		COL5A1	261	1
13_MACS_peak_27634_lociStitched	chr22	44964930	45005679	13	37759	49074.0207	3149.8977	262	NCRNA00207		NCRNA00207	262	1
9_MACS_peak_334_lociStitched	chr1	2776087	2812354	9	33963	48423.6984	2549.5701	263			ACTRT2	263	1
6_MACS_peak_36546_lociStitched	chr9	136294633	136324432	6	28945	48211.8021	2878.5834	264	ADAMTS13	C9orf7,REXO4,SLC2A6	C9orf7	264	1
3_MACS_peak_37293_lociStitched	chr9	139862432	139886121	3	23019	47368.5244	2068.0497	265	PTGDS,LCNL1	C8G,LCN12,C9orf142,C9orf139,FBXW5,CLIC3,ABCA2,FUT7	PTGDS	265	1
3_MACS_peak_4874_lociStitched	chr1	156657555	156679391	3	21820	48748.87	3570.186	266	CRABP2	BCAN,C1orf66,NES,ISG20L2,MRPL24,HDGF	CRABP2	266	1
6_MACS_peak_17615_lociStitched	chr19	3327549	3359416	6	30505	49336.4894	4193.6972	267		NFIC	NFIC	267	1
11_MACS_peak_19595_lociStitched	chr19	18705572	18733614	11	24587	47615.316	2487.3254	268	TMEM59L,CRLF1	C19orf50,UBA52,C19orf60,KLHL26	CRLF1	268	1
9_MACS_peak_1454_lociStitched	chr1	7715916	7750964	9	33469	47815.9864	2905.4792	269	CAMTA1		VAMP3	269	1
14_MACS_peak_19544_lociStitched	chr19	18343187	18379986	14	33732	48611.479	3834.4558	270	PDE4C,LOC729966,KIAA1683	MPV17L2,MIR3188,RAB3A,PDE4C,JUND	PDE4C	270	1
13_MACS_peak_16895_lociStitched	chr17	78395341	78427787	13	29597	47205.6854	2680.0396	271	FLJ35220	LOC100294362,NPTX1	LOC100294362	271	1
10_MACS_peak_18858_lociStitched	chr19	14269342	14305855	10	34454	47423.0844	3023.2764	272	LPHN1	PRKACA,ASF1B	LPHN1	272	1
13_MACS_peak_16540_lociStitched	chr17	76477157	76511911	13	31011	47463.5378	3110.483	273	DNAH17		DNAH17	273	1
6_MACS_peak_13903_lociStitched	chr17	1905889	1933347	6	26200	46382.0536	2169.182	274	RTN4RL1	DPH1,OVCA2,HIC1,MIR132,MIR212	RTN4RL1	274	1
3_MACS_peak_18672_lociStitched	chr19	13103884	13128744	3	24221	46542.892	2359.214	275	NFIX	RAD23A,DAND5,GADD45GIP1	NFIX	275	1
14_MACS_peak_21497_lociStitched	chr19	49173393	49209560	14	34538	47443.8706	3283.9636	276	SEC1,FUT2,NTN5	FGF21,DBP,CA11,MAMSTR,RASIP1,IZUMO1,FUT1	FUT2	276	1
15_MACS_peak_9201_lociStitched	chr12	1919609	1956076	15	34330	47549.3213	3478.9518	277	LRTM2,CACNA2D4		LRTM2	277	1
15_MACS_peak_2393_lociStitched	chr1	17875549	17914548	15	34829	47516.3816	3474.8109	278	ARHGEF10L		ARHGEF10L	278	1
14_MACS_peak_22166_lociStitched	chr19	55629917	55665938	14	32644	47245.1436	3303.1257	279	TNNT1,TNNI3	EPS8L1,RDH13,PPP1R12C,C19orf51,SYT5	TNNT1	279	1
6_MACS_peak_16769_lociStitched	chr17	77739197	77765983	6	25649	46023.7052	2199.1306	280	CBX2	ENPP7,CBX8,CBX4	CBX2	280	1
10_MACS_peak_35561_lociStitched	chr9	34548467	34581758	10	32230	46993.5756	3202.5942	281	LOC415056,CNTFR	ENHO,C9orf23,DCTN3,ARID3C	LOC415056	281	1
14_MACS_peak_24459_lociStitched	chr20	57178649	57218101	14	36082	47220.0988	3566.4608	282	LOC149773	STX16,NPEPL1	STX16	282	1
24_MACS_peak_24500_lociStitched	chr20	57354126	57394505	24	35109	47013.2697	3492.7835	283	MIR296,MIR298,GNAS-AS	GNAS	MIR296	283	1
1_MACS_peak_37516_lociStitched	chrX	19470139	19470504	1	366	43537.492	34.7115	284	MAP3K15		MAP3K15	284	1
8_MACS_peak_13834_lociStitched	chr17	1108317	1140024	8	29473	46932.7014	3516.3063	285		BHLHA9,TUSC5,ABR	ABR	285	1
6_MACS_peak_21192_lociStitched	chr19	47114961	47144697	6	28258	46905.5664	3496.9536	286	PTGIR,GNG8	CALM3,DACT3	PTGIR	286	1
6_MACS_peak_25508_lociStitched	chr21	43717152	43744327	6	25612	46874.1575	4024.6175	287	ABCG1,TFF3	TFF2,TFF1	TFF3	287	1
20_MACS_peak_32723_lociStitched	chr7	100340827	100378068	20	34104	45910.7048	3124.5199	288	ZAN	POP7,EPO,EPHB4	ZAN	288	1
16_MACS_peak_205_lociStitched	chr1	2080215	2117887	16	33457	45959.84	3281.2312	289	PRKCZ,C1orf86	SKI,LOC100128003,C1orf86	LOC100128003	289	1
14_MACS_peak_27570_lociStitched	chr22	44775606	44810721	14	33367	45526.5975	2858.361	290			KIAA1644	290	1
4_MACS_peak_23016_lociStitched	chr2	220374327	220400224	4	24945	45356.0058	2724.3644	291	ACCN4	SPEG,GMPPA,TMEM198,INHA,CHPF,MIR3132,OBSL1	ACCN4	291	1
7_MACS_peak_489_lociStitched	chr1	3365813	3392404	7	25281	44204.8784	1744.3696	292	ARHGEF16		ARHGEF16	292	1
9_MACS_peak_32692_lociStitched	chr7	100213835	100247733	9	32180	45650.4366	3206.7508	293	TFR2,ACTL6B	FBXO24,PCOLCE,MOSPD3,GNB2,SAP25,LRCH4,GIGYF1	TFR2	293	1
12_MACS_peak_16495_lociStitched	chr17	76295104	76329336	12	31240	46000.9616	3560.128	294		PGS1,SOCS3	SOCS3	294	1
22_MACS_peak_15122_lociStitched	chr17	41703942	41744893	22	36091	45553.8924	3489.0252	295	MEOX1		MEOX1	295	1
4_MACS_peak_37330_lociStitched	chr9	140047926	140069950	4	20924	43697.8184	1750.908	296	GRIN1,LRRC26,MIR3621,ANAPC2	SSNA1,NDOR1,C9orf169,DPP7,TPRN,TMEM203,RNF208	MIR3621	296	1
1_MACS_peak_8104_lociStitched	chr11	70042268	70042771	1	504	41955.733	159.1995	297		FADD	FADD	297	1
23_MACS_peak_2839_lociStitched	chr1	18978949	19020992	23	38279	45292.9239	3619.9023	298	PAX7		PAX7	298	1
9_MACS_peak_35122_lociStitched	chr8	143675407	143708810	9	31503	44238.9332	2618.7952	299	ARC	PSCA,JRK	ARC	299	1
20_MACS_peak_36946_lociStitched	chr9	137991907	138029952	20	32311	43972.411	2834.3525	300	OLFM1	OLFM1	OLFM1	300	1
12_MACS_peak_27263_lociStitched	chr22	42684753	42716925	12	29882	44059.554	2950.1724	301		LOC388906	LOC388906	301	1
6_MACS_peak_18181_lociStitched	chr19	7633482	7664258	6	29946	45117.616	4028.5784	302	KIAA1543	MCOLN1,PNPLA6,LOC100131801,STXBP2,XAB2,PCP2	KIAA1543	302	1
15_MACS_peak_28313_lociStitched	chr22	50492109	50525892	15	29890	43657.7709	2645.2089	303	TTLL8,MLC1	MOV10L1,IL17REL	MLC1	303	1
8_MACS_peak_28529_lociStitched	chr3	13659718	13690616	8	30498	43600.1678	2876.6038	304	FBLN2	LOC285375	LOC285375	304	1
15_MACS_peak_31605_lociStitched	chr6	34067541	34099215	15	27750	43241.3448	2524.4178	305	GRM4		GRM4	305	1
10_MACS_peak_28848_lociStitched	chr3	50527934	50563124	10	32726	43646.157	3191.733	306	CACNA2D2	HEMK1,C3orf18	CACNA2D2	306	1
5_MACS_peak_17070_lociStitched	chr17	81010812	81037382	5	24863	42395.092	2181.397	307		METRNL,B3GNTL1	METRNL	307	1
3_MACS_peak_25676_lociStitched	chr21	45699451	45717448	3	17580	42354.1398	2166.8388	308	AIRE	PFKL,ICOSLG,DNMT3L,C21orf2	AIRE	308	1
15_MACS_peak_27354_lociStitched	chr22	43593346	43627234	15	29594	42668.3808	2490.768	309	SCUBE1	TSPO,TTLL12	TTLL12	309	1
15_MACS_peak_37339_lociStitched	chr9	140186227	140217677	15	25873	42580.155	2421.65	310	NRARP,EXD3	C9orf173,COBRA1,C9orf167,FAM166A	NRARP	310	1
6_MACS_peak_187_lociStitched	chr1	2013277	2043814	6	28994	42299.8524	2281.1139	311	PRKCZ		PRKCZ	311	1
7_MACS_peak_3386_lociStitched	chr1	22871462	22903067	7	30178	42850.059	2939.265	312	EPHA8		EPHA8	312	1
1_MACS_peak_11976_lociStitched	chr16	3033790	3053193	1	19404	41297.3452	1631.7923	313	LOC283875	KREMEN2,PAQR4,CLDN9,TNFRSF12A,THOC6,MMP25,PKMYT1,CLDN6,HCFC1R1,CCDC64B	LOC283875	313	1
11_MACS_peak_16228_lociStitched	chr17	72873487	72906897	11	30704	42667.911	3307.59	314	FADS6	OTOP2,OTOP3,GRIN2C,FDXR,USH1G	FADS6	314	1
50_MACS_peak_34307_lociStitched	chr8	7570006	7630151	50	47160	43701.357	4366.527	315	FAM90A14,FAM90A19,FAM90A8,FAM90A18,FAM90A9,FAM90A10		FAM90A8	315	1
4_MACS_peak_11855_lociStitched	chr16	1567175	1591204	4	23462	41269.8075	2056.8824	316	TMEM204,IFT140	TELO2,CLCN7,PTX4	TMEM204	316	1
6_MACS_peak_90_lociStitched	chr1	1125542	1149815	6	23319	41004.3789	1803.4839	317	TTLL10,TNFRSF18,TNFRSF4	MIR200B,MIR200A,MIR429,TTLL10,B3GALT6,SDF4,FAM132A	TNFRSF18	317	1
12_MACS_peak_21163_lociStitched	chr19	46980229	47009106	12	26336	42073.789	2873.2615	318	PNMAL2	PNMAL1	PNMAL2	318	1
5_MACS_peak_17648_lociStitched	chr19	3581274	3607684	5	24896	42641.586	3464.992	319	GIPC3,TBXA2R	C19orf71,HMG20B,C19orf28,C19orf29	GIPC3	319	1
25_MACS_peak_3413_lociStitched	chr1	22966847	23004810	25	30974	42602.0786	3431.8552	320	C1QC,C1QB	C1QA,EPHB2	C1QB	320	1
8_MACS_peak_18194_lociStitched	chr19	7717974	7744382	8	25427	42635.716	3596.7696	321	RETN,C19orf59	LOC100131801,STXBP2,TRAPPC5,XAB2,PCP2,FCER2	RETN	321	1
11_MACS_peak_36733_lociStitched	chr9	137369117	137398730	11	26597	41413.7805	2475.6468	322			COL5A1	322	1
7_MACS_peak_221_lociStitched	chr1	2129977	2158719	7	26950	41414.3478	2644.264	323	C1orf86	SKI,LOC100128003,C1orf86	C1orf86	323	1
5_MACS_peak_31701_lociStitched	chr6	41602273	41628744	5	25032	41358.2904	2617.9819	324	MDFI		MDFI	324	1
9_MACS_peak_29642_lociStitched	chr4	7144723	7175236	9	28862	41308.4994	2593.605	325		SORCS2,FLJ36777	SORCS2	325	1
11_MACS_peak_36814_lociStitched	chr9	137604624	137635134	11	29234	40852.89	2147.904	326	COL5A1		COL5A1	326	1
14_MACS_peak_19521_lociStitched	chr19	18134182	18168044	14	30210	42388.4516	3721.4338	327		ARRDC2,MAST3,IL12RB1	ARRDC2	327	1
11_MACS_peak_27023_lociStitched	chr22	37515633	37546416	11	28779	41584.7547	3084.4566	328	IL2RB	TMPRSS6,C1QTNF6	IL2RB	328	1
3_MACS_peak_32427_lociStitched	chr7	44257430	44280727	3	22006	40506.4939	2008.2014	329	CAMK2B	YKT6,GCK	YKT6	329	1
17_MACS_peak_2900_lociStitched	chr1	19115501	19151817	17	32241	41534.6092	3050.544	330		TAS1R2	TAS1R2	330	1
4_MACS_peak_2189_lociStitched	chr1	17083796	17109536	4	25484	43822.35	5343.624	331	MST1P9	ESPNP	MST1P9	331	1
9_MACS_peak_18332_lociStitched	chr19	8265597	8299994	9	31709	42803.6268	4406.2557	332	LASS4		LASS4	332	1
22_MACS_peak_27474_lociStitched	chr22	44270639	44305546	22	31571	41671.9766	3284.7487	333	PNPLA5	PNPLA3,SAMM50,SULT4A1	PNPLA5	333	1
11_MACS_peak_4843_lociStitched	chr1	156355182	156382337	11	25893	42046.802	3769.114	334	C1orf61	C1orf182,RHBG,CCT3,MIR9-1	MIR9-1	334	1
4_MACS_peak_29150_lociStitched	chr3	195528531	195554190	4	25155	41590.6731	3325.4064	335	MUC4		MUC4	335	1
3_MACS_peak_25043_lociStitched	chr20	60783862	60804304	3	19009	39502.1208	1363.4814	336	HRH3	GTPBP5,OSBPL2	HRH3	336	1
3_MACS_peak_25770_lociStitched	chr21	46114734	46135349	3	20394	40236.357	2339.8025	337	KRTAP10-12,C21orf29	KRTAP10-11,KRTAP12-3,KRTAP12-4,KRTAP12-2,KRTAP12-1	C21orf29	337	1
9_MACS_peak_7006_lociStitched	chr11	2378483	2407603	9	27110	40345.76	2559.648	338	CD81	TSSC4,TRPM5	CD81	338	1
