REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X26_0F2C_0229Kronos_MM1S.KB.3hr.2_H3K27me3_hs.dm_i13.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
13_MACS_peak_33144_lociStitched	chr7	150940765	150977790	13	34657	77756.2025	5601.8825	144	SMARCD3	CHPF2,MIR671,ABCF2	SMARCD3	SMARCD3	1.4529	144	1
7_MACS_peak_7341_lociStitched	chr11	61501386	61544231	7	40557	65681.385	3877.4725	145	DAGLA,C11orf9,DKFZP434K028	FEN1,MIR611,C11orf10,MIR1908,FADS1	C11orf9	C11orf9	0.8889	145	1
12_MACS_peak_28786_lociStitched	chr3	50216448	50259494	12	39271	68369.9618	4235.7264	146	SEMA3F,GNAT1,SLC38A3	GNAI2,SEMA3B	SLC38A3	SLC38A3	1.5919	146	1
21_MACS_peak_17821_lociStitched	chr19	5300822	5347005	21	42095	63866.4707	5652.7992	147	PTPRS		PTPRS	PTPRS	1.1177000000000001	147	1
5_MACS_peak_32187_lociStitched	chr7	2532576	2573068	5	38798	68168.282	3992.5112	148	LFNG	IQCE,C7orf27	LFNG	LFNG	1.4334	148	1
17_MACS_peak_2863_lociStitched	chr1	19023674	19070137	17	43127	58761.7561	3912.1846	149	PAX7		PAX7	PAX7	1.1289	149	1
6_MACS_peak_37227_lociStitched	chr9	139058950	139096442	6	36782	69956.3228	2871.8872	150	LHX3	C9orf69,QSOX2	LHX3	LHX3	1.4255	150	1
8_MACS_peak_6716_lociStitched	chr11	1025672	1063917	8	37366	69020.7515	3159.037	151	MUC6	MUC2	MUC6	MUC2	1.306	151	1
12_MACS_peak_15528_lociStitched	chr17	47508799	47553525	12	40838	63443.831	4240.0248	152		NGFR,PHB	PHB	NGFR	1.4442000000000002	152	1
19_MACS_peak_16569_lociStitched	chr17	76580917	76627663	19	42837	58853.214	4202.4654	153		DNAH17	DNAH17	DNAH17	0.991	153	1
13_MACS_peak_24172_lociStitched	chr20	56126246	56170981	13	42443	59792.801	4536.129	154	PCK1	CTCFL,ZBP1	PCK1	PCK1	1.3699	154	1
20_MACS_peak_11299_lociStitched	chr15	74586857	74633023	20	42629	58603.1204	4358.0704	155	CCDC33,CYP11A1		CCDC33	CCDC33	1.0774	155	1
13_MACS_peak_31346_lociStitched	chr6	30408737	30450696	13	38922	67285.4524	5765.1666	156		HLA-E	HLA-E	HLA-E	0.052299999999999985	156	1
18_MACS_peak_1366_lociStitched	chr1	7505439	7552481	18	41670	59098.8646	3476.4038	157	CAMTA1		VAMP3	VAMP3	NONE	157	1
9_MACS_peak_37212_lociStitched	chr9	138961930	139000726	9	36980	67586.5116	3076.5228	158	NACC2	C9orf69	NACC2	NACC2	1.3201	158	1
50_MACS_peak_34307_lociStitched	chr8	7570006	7630151	50	47160	43701.357	4366.527	159	FAM90A14,FAM90A19,FAM90A8,FAM90A18,FAM90A9,FAM90A10		FAM90A8	FAM90A8	0.5829	159	1
22_MACS_peak_30258_lociStitched	chr4	8876170	8923957	22	42015	57836.6061	3932.8701	160		LOC650293,HMX1	HMX1	HMX1	0.8571000000000001	160	1
20_MACS_peak_33457_lociStitched	chr7	155596229	155642287	20	40704	61906.5578	5070.9858	161	SHH		SHH	SHH	1.3801	161	1
27_MACS_peak_34762_lociStitched	chr8	142586028	142635253	27	42301	56397.0825	3514.665	162			FLJ43860	FLJ43860	NONE	162	1
6_MACS_peak_9317_lociStitched	chr12	3367879	3409337	6	40438	60404.306	3776.8238	163	TSPAN9		TSPAN9	TSPAN9	0.9059	163	1
9_MACS_peak_16808_lociStitched	chr17	77898563	77940369	9	38719	63812.6784	3921.4028	164	TBC1D16		TBC1D16	TBC1D16	1.3223	164	1
16_MACS_peak_311_lociStitched	chr1	2715382	2760163	16	41266	57749.5776	3345.1407	165			MMEL1	MMEL1	1.0762	165	1
14_MACS_peak_1898_lociStitched	chr1	11483557	11526911	14	41177	58272.1114	3763.1272	166		PTCHD2	PTCHD2	PTCHD2	0.6584	166	1
21_MACS_peak_9296_lociStitched	chr12	3319783	3366488	21	42379	55317.402	3965.2545	167	TSPAN9		TSPAN9	TSPAN9	0.9059	167	1
16_MACS_peak_7290_lociStitched	chr11	61337377	61381268	16	41151	58427.6992	4187.2014	168	SYT7	RPLP0P2	SYT7	SYT7	1.3841	168	1
9_MACS_peak_26136_lociStitched	chr22	20240293	20281146	9	38678	61969.9157	3076.2309	169	RTN4R	LOC150197,MIR1286,DGCR6L	RTN4R	RTN4R	1.2385000000000002	169	1
13_MACS_peak_6755_lociStitched	chr11	1237992	1279467	13	39629	60225.8475	3297.2625	170	MUC5B		MUC5B	MUC5B	1.1604	170	1
15_MACS_peak_10106_lociStitched	chr13	113667832	113710938	15	39774	60154.423	3840.7446	171	MCF2L	F7,LOC100289410	MCF2L	MCF2L	1.2595	171	1
7_MACS_peak_10099_lociStitched	chr13	113627147	113666355	7	38291	62285.8288	3320.9176	172	MCF2L	LOC100289410	MCF2L	MCF2L	1.2595	172	1
12_MACS_peak_5945_lociStitched	chr10	102482600	102521270	12	35820	66829.494	3781.926	173	PAX2		PAX2	PAX2	0.9366000000000001	173	1
5_MACS_peak_36212_lociStitched	chr9	133882410	133918796	5	35352	66917.4926	3271.1014	174	LAMC3		LAMC3	LAMC3	1.4643	174	1
15_MACS_peak_27458_lociStitched	chr22	44214019	44257342	15	40098	56623.161	3426.8493	175	SULT4A1	EFCAB6,PNPLA5	SULT4A1	PNPLA5	1.1606	175	1
12_MACS_peak_36218_lociStitched	chr9	133934950	133975056	12	38633	59882.2686	3553.3916	176	LAMC3,AIF1L	NUP214	AIF1L	AIF1L	0.9675999999999999	176	1
8_MACS_peak_18232_lociStitched	chr19	7829967	7871147	8	39754	59262.138	5695.194	177	CLEC4M,CLEC4GP1	EVI5L,CLEC4G,CD209	CLEC4GP1	CLEC4GP1	1.214	177	1
13_MACS_peak_17654_lociStitched	chr19	3708026	3747017	13	36041	65770.0188	5762.8698	178	TJP3	MRPL54,PIP5K1C,APBA3,RAX2,MATK	TJP3	MATK	1.4037	178	1
4_MACS_peak_17731_lociStitched	chr19	4509902	4543020	4	32962	69544.4882	4759.0566	179	PLIN4,PLIN5,LRG1,SEMA6B	HDGFRP2	PLIN4	PLIN4	1.0477	179	1
5_MACS_peak_85_lociStitched	chr1	1093452	1124345	5	30720	70504.0046	2520.8688	180	MIR200B,MIR200A,MIR429,TTLL10	B3GALT6,C1orf159,TNFRSF18,TNFRSF4,SDF4	TTLL10	TNFRSF18	2.0067	180	1
10_MACS_peak_15540_lociStitched	chr17	47554873	47593252	10	36946	61828.569	4083.5256	181	NGFR		NGFR	NGFR	1.4442000000000002	181	1
7_MACS_peak_27327_lociStitched	chr22	42918428	42956847	7	36476	64394.0859	6481.2853	182	SERHL2	SERHL,RRP7A,RRP7B	SERHL2	SERHL	0.8503	182	1
10_MACS_peak_17976_lociStitched	chr19	5991296	6029846	10	37322	61198.125	5528.07	183	RFX2	RANBP3	RANBP3	NONE	NONE	183	1
14_MACS_peak_6975_lociStitched	chr11	2304137	2344283	14	37112	57854.4006	2998.9062	184	TSPAN32,C11orf21	ASCL2	TSPAN32	TSPAN32	1.4558	184	1
17_MACS_peak_2000_lociStitched	chr1	11911634	11953816	17	38649	55427.148	4041.0356	185	NPPB	CLCN6,PLOD1,MTHFR,NPPA,KIAA2013	NPPB	NPPB	0.9958	185	1
3_MACS_peak_17720_lociStitched	chr19	4275553	4309783	3	34201	64461.936	4538.898	186	SHD,FSD1,TMIGD2	EBI3,CCDC94,MPND,STAP2	TMIGD2	TMIGD2	1.7206	186	1
18_MACS_peak_18574_lociStitched	chr19	11345834	11389881	18	39153	54481.7343	4611.7209	187	LOC55908,DOCK6	TSPAN16,KANK2	DOCK6	DOCK6	0.6842	187	1
3_MACS_peak_17707_lociStitched	chr19	4140423	4173347	3	32070	67816.8552	4642.284	188	CREB3L3	ANKRD24,MAP2K2,SIRT6	CREB3L3	CREB3L3	1.7038000000000002	188	1
19_MACS_peak_17922_lociStitched	chr19	5722021	5767849	19	39580	53944.1388	5948.4744	189	TMEM146	HSD11B1L,RPL36,C19orf70,LONP1,PRR22,DUS3L	TMEM146	TMEM146	1.0013	189	1
15_MACS_peak_6779_lociStitched	chr11	1388229	1430285	15	38106	54609.716	3204.6672	190	BRSK2		BRSK2	BRSK2	0.9627	190	1
8_MACS_peak_27295_lociStitched	chr22	42791887	42831398	8	37314	56804.9647	3891.8335	191	NFAM1		NFAM1	NFAM1	1.1431	191	1
14_MACS_peak_343_lociStitched	chr1	2814790	2854661	14	37755	53522.8304	2491.9375	192			ACTRT2	ACTRT2	1.1087	192	1
13_MACS_peak_25535_lociStitched	chr21	43829329	43870188	13	37050	58693.9535	6357.6604	193	UBASH3A	SLC37A1,TFF1,TMPRSS3,RSPH1	UBASH3A	TFF1	1.9304999999999999	193	1
9_MACS_peak_14738_lociStitched	chr17	26830959	26867847	9	35785	58710.9408	4009.7256	194	FOXN1	SLC13A2,UNC119,PIGS,ALDOC	FOXN1	FOXN1	1.3112	194	1
10_MACS_peak_11945_lociStitched	chr16	2854504	2892344	10	35679	58057.912	3583.448	195	PRSS41,PRSS21,ZG16B,PRSS30P	FLYWCH2,TCEB2,PRSS33,PRSS22	PRSS21	PRSS21	1.5818	195	1
8_MACS_peak_4222_lociStitched	chr1	32125991	32165419	8	38193	52809.8632	3848.1728	196	COL16A1	HCRTR1,PEF1	COL16A1	COL16A1	0.9964	196	1
12_MACS_peak_27421_lociStitched	chr22	43799696	43839425	12	37572	53383.8573	3023.3769	197	MPPED1		MPPED1	MPPED1	0.7923	197	1
19_MACS_peak_31481_lociStitched	chr6	33760400	33803070	19	38882	51225.335	4147.524	198	MLN	IP6K3,LEMD2	MLN	MLN	1.057	198	1
3_MACS_peak_23013_lociStitched	chr2	220328786	220362783	3	32987	62469.4875	3307.9081	199	SPEG	DES,GMPPA,ACCN4,TMEM198,CHPF	GMPPA	ACCN4	1.2616	199	1
11_MACS_peak_36683_lociStitched	chr9	137095832	137135511	11	35674	56740.97	2741.8189	200			RNU6ATAC	RNU6ATAC	NONE	200	1
13_MACS_peak_32200_lociStitched	chr7	2671665	2711939	13	35651	57104.5046	3229.9748	201	TTYH3	AMZ1	TTYH3	TTYH3	1.3526	201	1
4_MACS_peak_31404_lociStitched	chr6	31958211	31985253	4	26936	71131.2768	3642.5574	202	C4B,C4A,CYP21A2,STK19,TNXA,TNXB	CFB,SKIV2L,STK19,MIR1236,RDBP,DOM3Z	CYP21A2	CYP21A2	2.914	202	1
10_MACS_peak_11751_lociStitched	chr16	915178	953904	10	35368	57709.4852	3287.8374	203	LMF1		PRR25	PRR25	1.0969	203	1
8_MACS_peak_25149_lociStitched	chr20	61779509	61817095	8	35750	55811.4514	2416.7798	204	MIR124-3	HAR1A,HAR1B,YTHDF1	MIR124-3	MIR124-3	1.3994	204	1
9_MACS_peak_25978_lociStitched	chr21	47528585	47562545	9	31896	63929.7	3745.788	205	COL6A2,FTCD	C21orf56	COL6A2	COL6A2	1.3258999999999999	205	1
5_MACS_peak_27565_lociStitched	chr22	44732070	44768152	5	35448	56446.6808	2688.109	206		KIAA1644	KIAA1644	KIAA1644	1.1294	206	1
20_MACS_peak_11251_lociStitched	chr15	74461176	74504139	20	37799	52307.4525	3965.4849	207	ISLR,STRA6	ISLR2,CCDC33,LOC283731	STRA6	STRA6	1.1269	207	1
14_MACS_peak_31412_lociStitched	chr6	32034770	32072675	14	35150	57187.2735	3741.2235	208	TNXB	PPT2,ATF6B,FKBPL,PRRT1,LOC100507547	TNXB	TNXB	1.5332999999999999	208	1
10_MACS_peak_4884_lociStitched	chr1	156821094	156858780	10	34371	60610.3938	5867.7102	209	NTRK1,INSRR	PEAR1,C1orf92,SH2D2A,MIR765	NTRK1	PEAR1	1.7068	209	1
12_MACS_peak_6929_lociStitched	chr11	2105800	2145491	12	36102	54412.3919	3373.735	210		IGF2AS,MIR483,IGF2,INS,TH	MIR483	MIR483	1.7543	210	1
10_MACS_peak_46_lociStitched	chr1	913467	947850	10	32183	61346.1486	3146.0445	211	C1orf170,HES4	KLHL17,PLEKHN1,ISG15,AGRN,NOC2L	HES4	HES4	1.8084	211	1
13_MACS_peak_27634_lociStitched	chr22	44964930	45005679	13	37759	49074.0207	3149.8977	212	NCRNA00207		NCRNA00207	NCRNA00207	1.0143	212	1
14_MACS_peak_16917_lociStitched	chr17	78478643	78517619	14	36701	51662.688	3293.472	213		RPTOR,NPTX1	RPTOR	NPTX1	2.0252000000000003	213	1
9_MACS_peak_23488_lociStitched	chr20	30425280	30462528	9	34330	57320.9472	4101.0048	214	TTLL9,FOXS1,DUSP15	MYLK2	FOXS1	FOXS1	1.5037	214	1
9_MACS_peak_16737_lociStitched	chr17	77636133	77674294	9	36557	51830.2702	3468.8349	215		ENPP7	ENPP7	ENPP7	1.2173	215	1
8_MACS_peak_27795_lociStitched	chr22	45319965	45357440	8	36783	50527.5425	2870.585	216	PHF21B		PHF21B	PHF21B	1.0005000000000002	216	1
7_MACS_peak_37308_lociStitched	chr9	139923879	139955200	7	30295	62006.1837	2897.1925	217	C9orf139,FUT7,NPDC1,ENTPD2	LCNL1,C9orf142,UAP1L1,MAN1B1,CLIC3,ABCA2,C9orf140,LOC100289341	NPDC1	NPDC1	2.1004	217	1
8_MACS_peak_35114_lociStitched	chr8	143636062	143673929	8	35089	52892.6256	2684.7703	218		ARC	ARC	ARC	1.2481	218	1
4_MACS_peak_16908_lociStitched	chr17	78429591	78461777	4	31625	59611.6906	2993.298	219	NPTX1	FLJ35220,LOC100294362	NPTX1	NPTX1	2.0252000000000003	219	1
23_MACS_peak_2839_lociStitched	chr1	18978949	19020992	23	38279	45292.9239	3619.9023	220	PAX7		PAX7	PAX7	1.1289	220	1
21_MACS_peak_27681_lociStitched	chr22	45093356	45135249	21	36544	49484.0116	3364.0079	221	PRR5,PRR5-ARHGAP8	ARHGAP8	PRR5-ARHGAP8	PRR5-ARHGAP8	0.8461	221	1
11_MACS_peak_27077_lociStitched	chr22	37886047	37923839	11	35517	51933.7664	3556.2272	222	CARD10	CDC42EP1,MFNG	CARD10	CARD10	1.149	222	1
13_MACS_peak_27552_lociStitched	chr22	44691587	44730351	13	35061	52928.3656	3670.9508	223	KIAA1644		KIAA1644	KIAA1644	1.1294	223	1
5_MACS_peak_36442_lociStitched	chr9	135848430	135882520	5	33892	54714.45	3177.188	224	GFI1B	GTF3C5,TSC1	GFI1B	GFI1B	1.5235	224	1
8_MACS_peak_5028_lociStitched	chr1	201321980	201357974	8	34211	55610.73	4927.5786	225	TNNT2,LAD1	TNNI1	TNNT2	TNNT2	1.4636	225	1
4_MACS_peak_30962_lociStitched	chr5	176265775	176297776	4	31381	58437.0261	3033.6948	226	UNC5A	HK3	UNC5A	UNC5A	1.3564	226	1
7_MACS_peak_37269_lociStitched	chr9	139627977	139659079	7	30051	60325.4392	2740.0862	227	LOC100128593,LCN10,LCN6,LCN8,LCN15	FAM69B,TMEM141,KIAA1984,C9orf86,AGPAT2,SNORA43,SNORA17,SNHG7,LOC100131193	LCN6	AGPAT2	2.2675	227	1
10_MACS_peak_35426_lociStitched	chr8	144938490	144972830	10	32470	56901.38	3509.548	228	EPPK1	MIR937,SCRIB,PUF60,NRBP2,PLEC,MIR661	EPPK1	EPPK1	1.1992	228	1
4_MACS_peak_29065_lociStitched	chr3	184274888	184305806	4	30012	61226.9154	4374.897	229	EPHB3		EPHB3	EPHB3	1.8454000000000002	229	1
10_MACS_peak_36784_lociStitched	chr9	137508750	137548258	10	35319	48784.4784	2757.6584	230	COL5A1		COL5A1	COL5A1	1.0771	230	1
3_MACS_peak_37233_lociStitched	chr9	139138640	139167013	3	27928	61716.9496	2513.8478	231		LHX3,QSOX2	QSOX2	LHX3	1.4255	231	1
14_MACS_peak_24459_lociStitched	chr20	57178649	57218101	14	36082	47220.0988	3566.4608	232	LOC149773	STX16,NPEPL1	STX16	NPEPL1	0.0996	232	1
11_MACS_peak_32812_lociStitched	chr7	100743721	100781639	11	34858	50385.4384	4049.6424	233	SERPINE1	TRIM56,AP1S1,VGF,C7orf52	SERPINE1	C7orf52	1.4602	233	1
7_MACS_peak_20193_lociStitched	chr19	36334893	36370629	7	34657	49505.0808	3255.5496	234	KIRREL2,APLP1,NPHS1	HCST,PRODH2,NFKBID,TYROBP	KIRREL2	KIRREL2	1.2897	234	1
12_MACS_peak_29441_lociStitched	chr4	3850700	3888427	12	33940	50689.9972	3172.8407	235			LOC348926	LOC348926	NONE	235	1
22_MACS_peak_15122_lociStitched	chr17	41703942	41744893	22	36091	45553.8924	3489.0252	236	MEOX1		MEOX1	MEOX1	1.021	236	1
4_MACS_peak_17745_lociStitched	chr19	4734043	4767546	4	32984	53577.9976	4730.6236	237		C19orf30,MIR7-3,FEM1A,DPP9	C19orf30	C19orf30	0.8883	237	1
1_MACS_peak_33107_lociStitched	chr7	149470090	149496012	1	25923	63573.705	3294.6862	238	SSPO,ZNF467	ZNF862	SSPO	SSPO	2.0941	238	1
9_MACS_peak_27160_lociStitched	chr22	39213946	39249747	9	33249	51313.5733	3365.294	239	NPTXR	DNAL4,CBX6	NPTXR	NPTXR	1.2494	239	1
24_MACS_peak_24500_lociStitched	chr20	57354126	57394505	24	35109	47013.2697	3492.7835	240	MIR296,MIR298,GNAS-AS	GNAS	MIR296	MIR296	0.6415	240	1
5_MACS_peak_14907_lociStitched	chr17	36716083	36747020	5	30235	56568.3045	3189.6047	241	SRCIN1		SRCIN1	SRCIN1	1.2154	241	1
15_MACS_peak_2393_lociStitched	chr1	17875549	17914548	15	34829	47516.3816	3474.8109	242	ARHGEF10L		ARHGEF10L	ARHGEF10L	1.1629	242	1
7_MACS_peak_16591_lociStitched	chr17	77015612	77047863	7	30748	55839.3814	3534.7096	243	C1QTNF1	ENGASE,LGALS3BP,CANT1	C1QTNF1	C1QTNF1	1.4214	243	1
9_MACS_peak_334_lociStitched	chr1	2776087	2812354	9	33963	48423.6984	2549.5701	244			ACTRT2	ACTRT2	1.1087	244	1
6_MACS_peak_17376_lociStitched	chr19	1483971	1512983	6	27346	62123.3956	4418.5276	245	REEP6,PCSK4,ADAMTSL5	RPS15,APC2,PLK5P,C19orf25	REEP6	PLK5P	2.1839000000000004	245	1
10_MACS_peak_18858_lociStitched	chr19	14269342	14305855	10	34454	47423.0844	3023.2764	246	LPHN1	PRKACA,ASF1B	LPHN1	LPHN1	0.8916	246	1
14_MACS_peak_21497_lociStitched	chr19	49173393	49209560	14	34538	47443.8706	3283.9636	247	SEC1,FUT2,NTN5	FGF21,DBP,CA11,MAMSTR,RASIP1,IZUMO1,FUT1	FUT2	FUT2	1.1234	247	1
13_MACS_peak_36751_lociStitched	chr9	137423089	137460361	13	33358	49042.4976	2702.22	248			COL5A1	COL5A1	1.0771	248	1
15_MACS_peak_9201_lociStitched	chr12	1919609	1956076	15	34330	47549.3213	3478.9518	249	LRTM2,CACNA2D4		LRTM2	LRTM2	1.2868	249	1
14_MACS_peak_19544_lociStitched	chr19	18343187	18379986	14	33732	48611.479	3834.4558	250	PDE4C,LOC729966,KIAA1683	MPV17L2,MIR3188,RAB3A,PDE4C,JUND	PDE4C	PDE4C	1.1815	250	1
9_MACS_peak_1454_lociStitched	chr1	7715916	7750964	9	33469	47815.9864	2905.4792	251	CAMTA1		VAMP3	VAMP3	NONE	251	1
5_MACS_peak_11982_lociStitched	chr16	3078332	3108480	5	29708	54848.2564	2607.802	252	MMP25,CCDC64B	LOC283875,CLDN9,TNFRSF12A,THOC6,IL32,PKMYT1,CLDN6,HCFC1R1,ZSCAN10	MMP25	LOC283875	2.1485	252	1
4_MACS_peak_37168_lociStitched	chr9	138625511	138657822	4	31820	50463.3198	2391.014	253	KCNT1	SOHLH1	KCNT1	SOHLH1	1.4936	253	1
20_MACS_peak_32723_lociStitched	chr7	100340827	100378068	20	34104	45910.7048	3124.5199	254	ZAN	POP7,EPO,EPHB4	ZAN	EPO	1.4588999999999999	254	1
9_MACS_peak_16348_lociStitched	chr17	74872207	74906533	9	31555	51519.8934	3233.5092	255	MGAT5B		MGAT5B	MGAT5B	1.1988999999999999	255	1
6_MACS_peak_37173_lociStitched	chr9	138661106	138692043	6	28925	54275.8728	2375.9616	256	KCNT1		KCNT1	KCNT1	1.4672	256	1
16_MACS_peak_205_lociStitched	chr1	2080215	2117887	16	33457	45959.84	3281.2312	257	PRKCZ,C1orf86	SKI,LOC100128003,C1orf86	LOC100128003	C1orf86	0.8408	257	1
14_MACS_peak_27570_lociStitched	chr22	44775606	44810721	14	33367	45526.5975	2858.361	258			KIAA1644	KIAA1644	1.1294	258	1
7_MACS_peak_27545_lociStitched	chr22	44657874	44690571	7	31523	49503.258	2860.9875	259	KIAA1644		KIAA1644	KIAA1644	1.1294	259	1
7_MACS_peak_6913_lociStitched	chr11	1937306	1968209	7	28976	53938.0962	2790.5409	260	TNNT3	LSP1,MRPL23,LOC100133545,MIR675	TNNT3	LOC100133545	2.574	260	1
14_MACS_peak_22166_lociStitched	chr19	55629917	55665938	14	32644	47245.1436	3303.1257	261	TNNT1,TNNI3	EPS8L1,RDH13,PPP1R12C,C19orf51,SYT5	TNNT1	SYT5	1.2601	261	1
10_MACS_peak_7805_lociStitched	chr11	68758290	68790848	10	30193	51285.3616	2878.1272	262	MRGPRF	TPCN2,MRGPRD	MRGPRF	MRGPRF	1.7122	262	1
9_MACS_peak_25177_lociStitched	chr20	61988524	62019956	9	30442	50030.3144	2338.5408	263	CHRNA4		CHRNA4	CHRNA4	1.3085	263	1
10_MACS_peak_35561_lociStitched	chr9	34548467	34581758	10	32230	46993.5756	3202.5942	264	LOC415056,CNTFR	ENHO,C9orf23,DCTN3,ARID3C	LOC415056	LOC415056	1.2072	264	1
11_MACS_peak_22237_lociStitched	chr19	55995680	56028129	11	30162	50587.991	3261.1245	265	ZNF628,NAT14,SSC5D	SHISA7,ISOC2,SBK2	SSC5D	SSC5D	1.3417	265	1
7_MACS_peak_35762_lociStitched	chr9	127232471	127264760	7	30387	49702.4577	3035.166	266	GPR144,NR5A1		NR5A1	NR5A1	1.2584	266	1
9_MACS_peak_32692_lociStitched	chr7	100213835	100247733	9	32180	45650.4366	3206.7508	267	TFR2,ACTL6B	FBXO24,PCOLCE,MOSPD3,GNB2,SAP25,LRCH4,GIGYF1	TFR2	TFR2	1.2203000000000002	267	1
10_MACS_peak_17629_lociStitched	chr19	3436526	3467600	10	28894	53173.8288	4151.4864	268	NFIC	FZR1,C19orf77,DOHH	C19orf77	C19orf77	1.3827	268	1
10_MACS_peak_28848_lociStitched	chr3	50527934	50563124	10	32726	43646.157	3191.733	269	CACNA2D2	HEMK1,C3orf18	CACNA2D2	CACNA2D2	1.0688	269	1
6_MACS_peak_22967_lociStitched	chr2	219845415	219873955	6	27717	53509.646	2971.014	270	FEV,CRYBA2,MIR375,CCDC108	CDK5R2,LOC151300,CCDC108,MIR3131	CRYBA2	CRYBA2	1.7254999999999998	270	1
13_MACS_peak_16540_lociStitched	chr17	76477157	76511911	13	31011	47463.5378	3110.483	271	DNAH17		DNAH17	DNAH17	0.991	271	1
7_MACS_peak_1985_lociStitched	chr1	11747186	11777302	7	29592	49896.1888	2761.6372	272	C1orf187,MAD2L2	FBXO44,FBXO6,AGTRAP,FBXO2,MAD2L2	C1orf187	C1orf187	1.3505	272	1
6_MACS_peak_16965_lociStitched	chr17	79272123	79301397	6	28120	52631.7246	2918.6178	273	C17orf55,TMEM105	SLC38A10	C17orf55	C17orf55	1.8237	273	1
6_MACS_peak_17615_lociStitched	chr19	3327549	3359416	6	30505	49336.4894	4193.6972	274		NFIC	NFIC	NFIC	1.5448	274	1
20_MACS_peak_36946_lociStitched	chr9	137991907	138029952	20	32311	43972.411	2834.3525	275	OLFM1	OLFM1	OLFM1	OLFM1	0.9633	275	1
5_MACS_peak_21644_lociStitched	chr19	49915894	49946101	5	29124	50056.0197	2425.6221	276	CCDC155,LOC645971,PTH2,SLC17A7	DKKL1,ALDH16A1,FLT3LG,RPL13AP5,SNORD32A,SNORD33,SNORD34,SNORD35A,PIH1D1	LOC645971	LOC645971	1.7948	276	1
12_MACS_peak_16495_lociStitched	chr17	76295104	76329336	12	31240	46000.9616	3560.128	277		PGS1,SOCS3	SOCS3	SOCS3	1.1883000000000001	277	1
9_MACS_peak_35122_lociStitched	chr8	143675407	143708810	9	31503	44238.9332	2618.7952	278	ARC	PSCA,JRK	ARC	ARC	1.2481	278	1
13_MACS_peak_16895_lociStitched	chr17	78395341	78427787	13	29597	47205.6854	2680.0396	279	FLJ35220	LOC100294362,NPTX1	LOC100294362	NPTX1	2.0252000000000003	279	1
17_MACS_peak_2900_lociStitched	chr1	19115501	19151817	17	32241	41534.6092	3050.544	280		TAS1R2	TAS1R2	TAS1R2	0.9847999999999999	280	1
6_MACS_peak_36546_lociStitched	chr9	136294633	136324432	6	28945	48211.8021	2878.5834	281	ADAMTS13	C9orf7,REXO4,SLC2A6	C9orf7	C9orf7	0.5982	281	1
4_MACS_peak_21237_lociStitched	chr19	47901922	47930698	4	28507	49063.08	2989.8264	282	MEIS3	DHX34,SLC8A2	MEIS3	MEIS3	1.6092	282	1
9_MACS_peak_18332_lociStitched	chr19	8265597	8299994	9	31709	42803.6268	4406.2557	283	LASS4		LASS4	LASS4	0.8895	283	1
8_MACS_peak_13834_lociStitched	chr17	1108317	1140024	8	29473	46932.7014	3516.3063	284		BHLHA9,TUSC5,ABR	ABR	TUSC5	1.2499	284	1
22_MACS_peak_27474_lociStitched	chr22	44270639	44305546	22	31571	41671.9766	3284.7487	285	PNPLA5	PNPLA3,SAMM50,SULT4A1	PNPLA5	PNPLA5	1.1606	285	1
9_MACS_peak_25291_lociStitched	chr20	62726803	62756517	9	26964	50498.943	2733.688	286	OPRL1,NPBWR2	TCEA2,MYT1,SOX18,RGS19,C20orf201	NPBWR2	NPBWR2	2.0228	286	1
8_MACS_peak_28529_lociStitched	chr3	13659718	13690616	8	30498	43600.1678	2876.6038	287	FBLN2	LOC285375	LOC285375	LOC285375	0.399	287	1
25_MACS_peak_3413_lociStitched	chr1	22966847	23004810	25	30974	42602.0786	3431.8552	288	C1QC,C1QB	C1QA,EPHB2	C1QB	EPHB2	1.1014	288	1
3_MACS_peak_4857_lociStitched	chr1	156389258	156415277	3	25662	53976.4155	4540.3155	289	C1orf61,MIR9-1		C1orf61	C1orf61	1.3435	289	1
5_MACS_peak_3261_lociStitched	chr1	21906283	21933673	5	26802	50085.354	2626.701	290	RAP1GAP		RAP1GAP	RAP1GAP	1.0967	290	1
19_MACS_peak_29653_lociStitched	chr4	7195044	7230535	19	32083	38880.3905	2757.6507	291	SORCS2		SORCS2	SORCS2	0.8358	291	1
11_MACS_peak_16228_lociStitched	chr17	72873487	72906897	11	30704	42667.911	3307.59	292	FADS6	OTOP2,OTOP3,GRIN2C,FDXR,USH1G	FADS6	OTOP2	1.6137	292	1
6_MACS_peak_18181_lociStitched	chr19	7633482	7664258	6	29946	45117.616	4028.5784	293	KIAA1543	MCOLN1,PNPLA6,LOC100131801,STXBP2,XAB2,PCP2	KIAA1543	KIAA1543	0.8709	293	1
12_MACS_peak_27263_lociStitched	chr22	42684753	42716925	12	29882	44059.554	2950.1724	294		LOC388906	LOC388906	NONE	NONE	294	1
17_MACS_peak_36150_lociStitched	chr9	133389909	133424221	17	31327	40848.436	3184.1536	295		FUBP3,LOC100272217	LOC100272217	LOC100272217	0.133	295	1
