REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X06_0EWS_0229Kronos_MM1S.KB.3hr.2_H3K18Ac_hs.dm_i13.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
5_MACS_peak_11720_lociStitched	chr17	43505040	43531608	5	16766	26350.1424	4070.2176	188	SH3D20,PLEKHM1	ARHGAP27,MIR4315-1	SH3D20	188	1
3_MACS_peak_25844_lociStitched	chr7	44656567	44680443	3	16006	34190.432	3963.416	189	OGDH	DDX56,TMED4	OGDH	189	1
6_MACS_peak_24037_lociStitched	chr6	31773611	31805046	6	16610	28533.5495	5133.3355	190	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,LSM2,HSPA1L	C6orf26,C6orf27,VARS,NEU1,SLC44A4	HSPA1A	190	1
2_MACS_peak_10612_lociStitched	chr16	66549011	66561321	2	12063	55579.65	2731.589	191	TK2	CKLF,CMTM1	TK2	191	1
2_MACS_peak_5173_lociStitched	chr11	71411811	71426867	2	14720	42040.8688	2744.7088	192			FAM86C	192	1
2_MACS_peak_20810_lociStitched	chr4	38306931	38323017	2	14259	44592.0006	2716.9254	193			KLF3	193	1
2_MACS_peak_24613_lociStitched	chr6	90055612	90071354	2	15724	33591.8538	3104.3224	194	UBE2J1	GABRR2	UBE2J1	194	1
1_MACS_peak_2709_lociStitched	chr1	226838925	226852683	1	13759	48018.1716	4130.1516	195	ITPKB		ITPKB	195	1
4_MACS_peak_23206_lociStitched	chr5	150512532	150538139	4	16457	26649.2049	4025.4204	196	ANXA6		ANXA6	196	1
2_MACS_peak_18966_lociStitched	chr3	46245242	46257718	2	12404	52714.8428	2567.5608	197	CCR1	CCR3	CCR1	197	1
7_MACS_peak_14967_lociStitched	chr2	70331393	70360987	7	15114	39505.0306	4533.8008	198	LOC100133985	PCBP1,LOC400960	LOC100133985	198	1
3_MACS_peak_26529_lociStitched	chr7	114556538	114574782	3	13433	49601.7872	4367.6136	199	MDFIC		MDFIC	199	1
3_MACS_peak_20805_lociStitched	chr4	38121793	38136848	3	14382	42437.034	2684.3065	200	TBC1D1		PTTG2	200	1
2_MACS_peak_14279_lociStitched	chr2	11883300	11898307	2	15005	38704.5537	3182.9847	201	LPIN1		LPIN1	201	1
1_MACS_peak_21083_lociStitched	chr4	77608500	77625064	1	16565	22704.2748	3160.4112	202	SHROOM3		ANKRD56	202	1
4_MACS_peak_22944_lociStitched	chr5	131813216	131842364	4	16242	28547.5512	4984.308	203	IRF1	IL5	IRF1	203	1
4_MACS_peak_3726_lociStitched	chr10	81946260	81966685	4	15858	31119.53	3570.29	204	ANXA11		ANXA11	204	1
4_MACS_peak_14291_lociStitched	chr2	13680324	13702478	4	15625	32821.151	3267.715	205			MIR3125	205	1
4_MACS_peak_2138_lociStitched	chr1	183856419	183885931	4	15382	37046.4136	6076.5208	206	RGL1		GLT25D2	206	1
4_MACS_peak_28858_lociStitched	chr9	93670948	93690443	4	15540	32523.5085	3296.6045	208			SYK	208	1
1_MACS_peak_4079_lociStitched	chr10	112214706	112226236	1	11531	54352.42	2181.476	209		DUSP5	DUSP5	209	1
4_MACS_peak_15180_lociStitched	chr2	89047136	89067046	4	14063	42955.825	3040.257	210	RPIA,ANKRD36BP2		ANKRD36BP2	210	1
4_MACS_peak_5324_lociStitched	chr11	82764384	82790516	4	15087	37256.3924	4541.7416	211	RAB30	SNORA70E	RAB30	211	1
3_MACS_peak_9725_lociStitched	chr15	89163621	89185174	3	15687	31090.2025	3797.6386	212	AEN,ISG20	MIR1179,MIR7-2	ISG20	212	1
2_MACS_peak_5572_lociStitched	chr11	115088882	115102586	2	12337	50884.3224	2583.204	213	CADM1		CADM1	213	1
2_MACS_peak_22106_lociStitched	chr5	32570707	32590140	2	14591	38992.3145	3511.5431	214	SUB1		SUB1	214	1
2_MACS_peak_9261_lociStitched	chr15	56647467	56666251	2	12884	48667.4656	3416.8096	215	TEX9		TEX9	215	1
2_MACS_peak_9636_lociStitched	chr15	81576119	81596103	2	14877	37002.3744	3974.8176	216	IL16	STARD5	IL16	216	1
2_MACS_peak_16194_lociStitched	chr2	202115623	202129211	2	13509	44735.7724	2958.1076	217	CASP8		CASP8	217	1
3_MACS_peak_2821_lociStitched	chr1	234733762	234749926	3	13121	47675.718	4283.46	218	IRF2BP2	NCRNA00184	IRF2BP2	218	1
4_MACS_peak_14858_lociStitched	chr2	64486045	64511823	4	15291	32209.611	3815.144	220			LOC150992	220	1
1_MACS_peak_10542_lociStitched	chr16	56943210	56954632	1	11423	52778.7776	2298.1064	221	SLC12A3	HERPUD1,CETP	HERPUD1	221	1
3_MACS_peak_1847_lociStitched	chr1	160633446	160655998	3	14392	40158.3464	5182.4496	222	CD48	SLAMF1	SLAMF1	222	1
6_MACS_peak_8516_lociStitched	chr14	77487823	77510116	6	15509	27300.0078	1863.6948	223	C14orf4		C14orf4	223	1
5_MACS_peak_1757_lociStitched	chr1	156065190	156100708	5	16169	24326.2782	7554.6786	224	LMNA	ROBLD3,RAB25,SEMA4A,UBQLN4,MEX3A	LMNA	224	1
1_MACS_peak_11382_lociStitched	chr17	29634929	29649526	1	14598	36021.0169	2653.7346	225	NF1,EVI2B,EVI2A	OMG	EVI2B	225	1
5_MACS_peak_16189_lociStitched	chr2	202081047	202102267	5	15933	23751.546	4210.048	228	CASP10,CASP8	CASP8	CASP8	228	1
5_MACS_peak_29385_lociStitched	chr9	134127087	134153439	5	15474	29060.9856	4131.9936	229	FAM78A	PPAPDC3	FAM78A	229	1
2_MACS_peak_9534_lociStitched	chr15	75352675	75371294	2	14519	35644.2136	2835.6737	230		PPCDC	PPCDC	230	1
2_MACS_peak_6090_lociStitched	chr12	15100709	15116372	2	15470	26443.8429	3131.0337	231	ARHGDIB	PDE6H,ERP27	ARHGDIB	231	1
1_MACS_peak_11715_lociStitched	chr17	43297947	43308474	1	10528	54723.5568	2203.3011	232	FMNL1	LOC100133991,C17orf46	FMNL1	232	1
4_MACS_peak_17659_lociStitched	chr21	36235800	36262894	4	14422	38251.3092	5424.2188	233	RUNX1		RUNX1	233	1
3_MACS_peak_9374_lociStitched	chr15	65169117	65189983	3	12401	48306.8766	3449.1498	234		PLEKHO2,ANKDD1A	ANKDD1A	234	1
4_MACS_peak_21758_lociStitched	chr4	173896270	173920285	4	15460	25587.9825	3294.858	235	GALNTL6		GALNT7	235	1
3_MACS_peak_12120_lociStitched	chr17	70582484	70602271	3	14882	31225.8647	3320.2586	236	LOC100499467,FLJ26484		LOC100499467	236	1
2_MACS_peak_17122_lociStitched	chr20	40709726	40727485	2	13620	39908.0248	2514.6744	237	PTPRT		CHD6	237	1
3_MACS_peak_23114_lociStitched	chr5	142772398	142794686	3	14941	29783.4544	3216.1584	238	NR3C1		NR3C1	238	1
3_MACS_peak_1749_lociStitched	chr1	155938500	155954206	3	13990	38572.3654	4309.7264	239	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	239	1
2_MACS_peak_29861_lociStitched	chrX	48790480	48805126	2	12904	42231.741	1546.6176	240	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	240	1
3_MACS_peak_5208_lociStitched	chr11	72977727	73001828	3	14594	32312.2107	3439.2127	241	P2RY6	P2RY2,ARHGEF17	P2RY6	241	1
4_MACS_peak_23466_lociStitched	chr5	176717110	176740733	4	14333	34633.6803	4292.2991	242	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	RAB24	242	1
1_MACS_peak_23892_lociStitched	chr6	26355045	26368081	1	13037	41655.2344	2543.3236	243	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	243	1
2_MACS_peak_15344_lociStitched	chr2	109828807	109844325	2	14997	26812.0004	2759.1004	244	SH3RF3		MIR4265	244	1
3_MACS_peak_17513_lociStitched	chr21	19151491	19169325	3	15135	25106.7052	3511.5146	245	C21orf91		C21orf91	245	1
4_MACS_peak_28197_lociStitched	chr8	145002089	145028017	4	15178	24291.9432	3362.8616	246	PLEC,MIR661	GRINA,PARP10	PLEC	246	1
2_MACS_peak_15753_lociStitched	chr2	158293517	158311386	2	12133	46284.2838	3109.206	247	CYTIP		CYTIP	247	1
1_MACS_peak_2476_lociStitched	chr1	209274216	209285178	1	10963	51035.7834	3124.17	248			LOC642587	248	1
3_MACS_peak_300_lociStitched	chr1	23849828	23866973	3	11687	48100.2975	3243.834	249	E2F2	ASAP3,ID3	E2F2	249	1
5_MACS_peak_10824_lociStitched	chr16	81841614	81871609	5	15020	24178.9695	2678.5535	250	PLCG2		PLCG2	250	1
1_MACS_peak_18258_lociStitched	chr22	38782125	38797268	1	15144	22390.4398	2524.3381	251	LOC400927	KCNJ4	LOC400927	251	1
3_MACS_peak_19715_lociStitched	chr3	129026500	129048706	3	14494	30559.8972	3874.947	252	C3orf47,H1FX	C3orf37	H1FX	252	1
5_MACS_peak_14749_lociStitched	chr2	54776836	54809301	5	15203	23251.433	5012.596	253	SPTBN1	RPL23AP32	SPTBN1	253	1
3_MACS_peak_21029_lociStitched	chr4	74453966	74475679	3	13598	36462.6409	3015.9357	254	RASSF6		RASSF6	254	1
2_MACS_peak_14348_lociStitched	chr2	20615070	20631109	2	14400	27641.6126	2415.4734	255		RHOB	RHOB	255	1
3_MACS_peak_1851_lociStitched	chr1	160694375	160715636	3	13365	38875.7385	5370.5286	256	SLAMF7	CD48	SLAMF7	256	1
5_MACS_peak_5980_lociStitched	chr12	9573401	9602081	5	14722	25006.092	4709.256	258	DDX12		DDX12	258	1
3_MACS_peak_2381_lociStitched	chr1	205242328	205258827	3	12990	38751.2013	4236.9432	259	TMCC2	NUAK2	NUAK2	259	1
4_MACS_peak_12237_lociStitched	chr17	75078953	75093468	4	13636	32606.496	2860.9065	260	C17orf86,SCARNA16	SEC14L1	SCARNA16	260	1
1_MACS_peak_7978_lociStitched	chr13	114556359	114568304	1	11946	42936.3025	2569.3695	261	GAS6	FLJ44054,GAS6	GAS6	261	1
6_MACS_peak_10343_lociStitched	chr16	29815475	29837594	6	14143	28606.5027	3466.0473	262	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	C16orf53	262	1
4_MACS_peak_23875_lociStitched	chr6	26183519	26207198	4	13687	32809.6224	3862.0449	263	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	263	1
1_MACS_peak_14628_lociStitched	chr2	43444097	43457066	1	12970	36645.2064	2552.2992	264	LOC100129726,ZFP36L2		ZFP36L2	264	1
3_MACS_peak_26833_lociStitched	chr7	142490489	142511493	3	11931	44364.6488	4362.5308	265		PRSS1,TRY6,PRSS2,EPHB6	PRSS2	265	1
5_MACS_peak_21862_lociStitched	chr4	186252469	186284933	5	14592	24114.2592	4730.0048	267	SNX25	ANKRD37,LRP2BP	LRP2BP	267	1
1_MACS_peak_10543_lociStitched	chr16	56962936	56975749	1	12814	37308.8934	2768.8893	268	HERPUD1	CETP,NLRC5	HERPUD1	268	1
5_MACS_peak_12192_lociStitched	chr17	73850495	73875869	5	13207	35531.2122	3884.7594	269	WBP2,TRIM47	UNC13D,TRIM65,MRPL38	TRIM47	269	1
3_MACS_peak_27301_lociStitched	chr8	29462941	29478109	3	14296	24443.232	2508.7872	270			C8orf75	270	1
6_MACS_peak_13385_lociStitched	chr19	12885564	12918381	6	14580	22811.0967	4676.4225	272	JUNB,RNASEH2A,HOOK2,PRDX2	ASNA1,BEST2,MAST1,C19orf43,RTBDN	JUNB	272	1
3_MACS_peak_14112_lociStitched	chr19	56328940	56351885	3	12624	38559.0725	3271.957	273	NLRP4,NLRP11		NLRP4	273	1
1_MACS_peak_14611_lociStitched	chr2	42322882	42335303	1	12422	38846.6775	2514.0104	274		PKDCC	PKDCC	274	1
3_MACS_peak_20183_lociStitched	chr3	177062288	177079977	3	12324	40980.1063	4388.6409	275			TBL1XR1	275	1
2_MACS_peak_24032_lociStitched	chr6	31694084	31709439	2	12326	39142.966	3176.9495	277	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	277	1
4_MACS_peak_6966_lociStitched	chr12	96878260	96902073	4	14166	24151.1446	3429.072	278			CDK17	278	1
3_MACS_peak_28875_lociStitched	chr9	94180851	94196060	3	14112	24399.7987	3269.935	279	NFIL3		NFIL3	279	1
1_MACS_peak_28137_lociStitched	chr8	137188710	137201718	1	13009	33252.3504	2415.5856	280			KHDRBS3	280	1
2_MACS_peak_23432_lociStitched	chr5	173696145	173710319	2	12819	34078.5482	2371.3102	282			HMP19	282	1
2_MACS_peak_20079_lociStitched	chr3	169656137	169668571	2	12339	37929.917	3102.283	283	SAMD7,LOC100128164	SEC62	LOC100128164	283	1
3_MACS_peak_6893_lociStitched	chr12	92930783	92950953	3	14215	21009.072	2845.987	284			CLLU1OS	284	1
1_MACS_peak_398_lociStitched	chr1	27018204	27031365	1	13162	31367.9274	2720.3787	285	ARID1A		ARID1A	285	1
1_MACS_peak_2420_lociStitched	chr1	206727716	206739707	1	11992	39724.9839	3510.9648	286	RASSF5	LGTN	RASSF5	286	1
2_MACS_peak_25573_lociStitched	chr7	20476220	20490722	2	13498	27732.1746	2334.822	287			ITGB8	287	1
2_MACS_peak_20346_lociStitched	chr3	186779368	186792588	2	10196	47573.492	3587.908	288	ST6GAL1		ST6GAL1	288	1
2_MACS_peak_22942_lociStitched	chr5	131789887	131804149	2	12763	33267.5412	3121.9518	289	C5orf56	IRF1	IRF1	289	1
1_MACS_peak_11547_lociStitched	chr17	37924928	37938374	1	13447	26516.8566	2546.6724	290	IKZF3	GRB7,C17orf37	GRB7	290	1
4_MACS_peak_21890_lociStitched	chr4	187748019	187775790	4	12995	30945.2253	3457.4895	291			FAT1	291	1
4_MACS_peak_19430_lociStitched	chr3	101487011	101513775	4	13713	24542.588	4110.9504	292	FAM55C	CEP97,NFKBIZ	FAM55C	292	1
1_MACS_peak_12017_lociStitched	chr17	62196616	62210611	1	13996	19450.251	2741.6205	293	ERN1	SNORD104,SNORA76	ERN1	293	1
3_MACS_peak_17172_lociStitched	chr20	43587218	43609443	3	13621	25674.32	4362.7675	295	STK4,TOMM34	PABPC1L	STK4	295	1
4_MACS_peak_662_lociStitched	chr1	40839066	40858577	4	13894	20102.1833	3410.5228	297	SMAP2	SMAP2	SMAP2	297	1
4_MACS_peak_18274_lociStitched	chr22	39362281	39386504	4	13066	28910.1505	3192.5914	298	APOBEC3A,APOBEC3B	APOBEC3C,APOBEC3D	APOBEC3B	298	1
3_MACS_peak_3347_lociStitched	chr10	45453943	45475357	3	13557	24148.5678	3321.3114	299	RASSF4,LOC220980,C10orf10	TMEM72,ZNF22,C10orf25	RASSF4	299	1
3_MACS_peak_27312_lociStitched	chr8	29621963	29635665	3	10323	44175.248	2278.6426	300		C8orf75	C8orf75	300	1
6_MACS_peak_4967_lociStitched	chr11	63992597	64019976	6	13638	23395.3555	4002.8098	302	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	302	1
2_MACS_peak_9273_lociStitched	chr15	58581815	58595806	2	11840	36149.9458	2150.4167	303			LIPC	303	1
5_MACS_peak_29573_lociStitched	chrX	10065248	10091263	5	13692	20603.88	2286.7185	304	WWC3	CLCN4	CLCN4	304	1
2_MACS_peak_25911_lociStitched	chr7	50343243	50357873	2	12982	28418.775	2743.125	306	IKZF1		IKZF1	306	1
3_MACS_peak_3989_lociStitched	chr10	104401107	104422189	3	13363	24931.5732	3204.464	307	TRIM8		TRIM8	307	1
2_MACS_peak_5532_lociStitched	chr11	111279464	111294415	2	13535	22124.4898	2519.2435	308		POU2AF1	POU2AF1	308	1
2_MACS_peak_12276_lociStitched	chr17	76137206	76152870	2	12758	29561.1008	2431.0528	309	TMC8,C17orf99	SYNGR2,AFMID,TMC6,TK1	C17orf99	309	1
4_MACS_peak_11073_lociStitched	chr17	6914816	6940405	4	11273	39911.1633	3357.2768	310	RNASEK,C17orf49,BCL6B,SLC16A13,MIR195,MIR497	ALOX12,SLC16A11,CLEC10A	BCL6B	310	1
4_MACS_peak_27266_lociStitched	chr8	27933752	27951606	4	13694	20510.6752	3449.3928	311	ELP3,C8orf80		C8orf80	311	1
3_MACS_peak_18285_lociStitched	chr22	39458961	39474534	3	12921	27232.5051	2508.8103	314	APOBEC3G	APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3H	APOBEC3G	314	1
5_MACS_peak_5913_lociStitched	chr12	6551970	6581041	5	12494	32983.9566	4814.1576	315	CD27,TAPBPL,LOC678655,VAMP1	NCAPD2,SCARNA10,MRPL51	TAPBPL	315	1
2_MACS_peak_5662_lociStitched	chr11	120367887	120383235	2	13069	24908.2692	1992.1704	318			GRIK4	318	1
1_MACS_peak_4842_lociStitched	chr11	58339951	58348552	1	8602	48493.2981	1656.5526	319	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	319	1
1_MACS_peak_15999_lociStitched	chr2	182168369	182180078	1	11710	35451.3393	2279.7423	320			ITGA4	320	1
2_MACS_peak_13809_lociStitched	chr19	42051268	42070503	2	12903	27025.175	3239.174	321		CEACAM21	CEACAM21	321	1
2_MACS_peak_23542_lociStitched	chr6	381290	400882	2	13523	19766.3688	3130.8016	322	IRF4		IRF4	322	1
5_MACS_peak_22597_lociStitched	chr5	87954442	87976765	5	11976	34006.8582	3426.5805	324	LOC645323,MIR9-2		MIR9-2	324	1
3_MACS_peak_13485_lociStitched	chr19	16694111	16711752	3	12308	30986.4165	3081.8827	326	MED26	CHERP,SLC35E1	SLC35E1	326	1
2_MACS_peak_22104_lociStitched	chr5	32530354	32544242	2	12674	27019.104	2520.672	327		SUB1	SUB1	327	1
2_MACS_peak_17968_lociStitched	chr22	23087927	23101953	2	13170	21597.2348	2300.264	328			MIR650	328	1
1_MACS_peak_3485_lociStitched	chr10	63802696	63815106	1	12411	29231.755	2776.117	329	ARID5B		ARID5B	329	1
1_MACS_peak_18048_lociStitched	chr22	27003532	27015904	1	12373	29136.06	2465.7396	330	CRYBB1	CRYBA4,MIAT,TPST2	CRYBB1	330	1
3_MACS_peak_14612_lociStitched	chr2	42343390	42361146	3	13246	20802.9296	3103.7488	331		EML4	EML4	331	1
4_MACS_peak_13121_lociStitched	chr19	2455300	2480730	4	13129	23990.662	5134.317	332	GADD45B,LMNB2	TIMM13	GADD45B	332	1
4_MACS_peak_12032_lociStitched	chr17	62961133	62986810	4	11782	34389.2061	3941.4195	333	AMZ2P1	LRRC37A3	AMZ2P1	333	1
2_MACS_peak_1870_lociStitched	chr1	161144704	161158161	2	11361	36741.6471	3796.2197	334	B4GALT3	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,ADAMTS4,APOA2,NR1I3	B4GALT3	334	1
2_MACS_peak_22614_lociStitched	chr5	88634814	88652746	2	11699	33726.5056	2913.95	335			MEF2C	335	1
2_MACS_peak_16467_lociStitched	chr2	231725829	231739876	2	12297	27251.18	1300.7522	338	ITM2C		ITM2C	338	1
2_MACS_peak_17724_lociStitched	chr21	41295561	41310681	2	11651	34570.368	3981.096	339	PCP4		PCP4	339	1
2_MACS_peak_9145_lociStitched	chr15	46994247	47008771	2	12904	22340.8168	2460.3656	341			SEMA6D	341	1
4_MACS_peak_15640_lociStitched	chr2	137132607	137153064	4	12275	28809.5931	2970.3564	342			CXCR4	342	1
3_MACS_peak_17793_lociStitched	chr21	45194635	45210483	3	12155	30426.5752	3754.3912	343	RRP1,CSTB	LOC284837	CSTB	343	1
2_MACS_peak_13673_lociStitched	chr19	35694343	35708342	2	11449	34483.7367	2896.3931	344		FXYD5,LSR,FAM187B	FAM187B	344	1
6_MACS_peak_1029_lociStitched	chr1	68201056	68232688	6	13105	21177.624	4175.424	345	GNG12		GADD45A	345	1
2_MACS_peak_3995_lociStitched	chr10	104531182	104544040	2	12351	27032.6592	2246.2926	346	C10orf26		C10orf26	346	1
1_MACS_peak_21309_lociStitched	chr4	105406407	105417778	1	11372	33528.5306	1793.2067	347	CXXC4		CXXC4	347	1
3_MACS_peak_16267_lociStitched	chr2	207995879	208015652	3	12625	24249.6072	2906.631	349	KLF7	MIR2355	KLF7	349	1
1_MACS_peak_17778_lociStitched	chr21	44723884	44734855	1	10972	36071.5509	2693.3805	351			SIK1	351	1
2_MACS_peak_29076_lociStitched	chr9	112668712	112683236	2	10797	36752.982	2702.9164	354	PALM2,PALM2-AKAP2		PALM2	354	1
1_MACS_peak_12604_lociStitched	chr18	22928717	22941556	1	12840	19476.763	1783.3371	356	ZNF521		ZNF521	356	1
2_MACS_peak_18046_lociStitched	chr22	26974716	26992527	2	12427	24664.6728	2969.0937	358	TPST2	CRYBA4,MIR548J,TPST2,CRYBB1	TPST2	358	1
4_MACS_peak_3605_lociStitched	chr10	74006484	74024488	4	12613	22812.8684	3157.9016	359		ANAPC16,DDIT4,ASCC1	DDIT4	359	1
2_MACS_peak_5729_lociStitched	chr11	126056473	126069044	2	8887	44159.4088	2178.5543	361		FAM118B,RPUSD4	RPUSD4	361	1
5_MACS_peak_13082_lociStitched	chr19	1647913	1672864	5	12159	27920.169	4209.2337	362	TCF3	UQCR11	TCF3	362	1
4_MACS_peak_14394_lociStitched	chr2	25623861	25645606	4	12569	23023.606	3653.16	364	DTNB		DNMT3A	364	1
2_MACS_peak_17319_lociStitched	chr20	52267929	52279801	2	11469	30799.5296	2107.28	365			ZNF217	365	1
4_MACS_peak_7101_lociStitched	chr12	109161683	109181131	4	12186	26011.7	3131.128	366	SSH1	CORO1C,SSH1	CORO1C	366	1
6_MACS_peak_10643_lociStitched	chr16	67554669	67587536	6	12712	22027.4634	4926.7633	367	FAM65A	CTCF,ATP6V0D1,AGRP	FAM65A	367	1
4_MACS_peak_29308_lociStitched	chr9	130828650	130845654	4	12631	20982.936	2987.6028	368	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	368	1
2_MACS_peak_20837_lociStitched	chr4	40302433	40320076	2	12344	23650.4415	3147.5112	370		CHRNA9	CHRNA9	370	1
4_MACS_peak_25152_lociStitched	chr6	143162900	143180026	4	12465	20746.4364	1666.3598	371	HIVEP2		HIVEP2	371	1
3_MACS_peak_6707_lociStitched	chr12	68751884	68770745	3	11398	31446.9453	3164.8758	373		MDM1	MDM1	373	1
1_MACS_peak_20175_lociStitched	chr3	176911547	176921184	1	9638	40492.7466	2590.4256	374	TBL1XR1		TBL1XR1	374	1
2_MACS_peak_7623_lociStitched	chr13	46269044	46281218	2	11526	28566.291	1341.5748	375	SPERT		SPERT	375	1
3_MACS_peak_1334_lociStitched	chr1	112134463	112148612	3	12025	24466.4508	1467.2513	377	LOC100129269	RAP1A,ADORA3	LOC100129269	377	1
4_MACS_peak_18721_lociStitched	chr3	20080130	20098379	4	12574	19869.5112	2708.1516	378	KAT2B	C3orf48	KAT2B	378	1
2_MACS_peak_17614_lociStitched	chr21	34600757	34613240	2	10793	34747.6788	3007.1547	379	IFNAR2	IL10RB	IFNAR2	379	1
4_MACS_peak_25029_lociStitched	chr6	135322839	135344037	4	12408	22463.5206	3652.4154	380	HBS1L	MIR3662,HBS1L	MIR3662	380	1
3_MACS_peak_17430_lociStitched	chr20	61272901	61291250	3	12184	23558.2811	2387.2049	381	SLCO4A1	NTSR1,LOC100127888	SLCO4A1	381	1
4_MACS_peak_17626_lociStitched	chr21	34732936	34757756	4	12075	27195.274	5246.948	382		IFNAR1,IFNGR2	IFNGR2	382	1
4_MACS_peak_22269_lociStitched	chr5	55272541	55292219	4	12329	22830.4156	3540.0722	384	IL6ST		IL6ST	384	1
4_MACS_peak_6065_lociStitched	chr12	13241956	13256125	4	12334	21130.2297	2711.9466	389	GSG1	KIAA1467	GSG1	389	1
1_MACS_peak_2095_lociStitched	chr1	181095120	181106586	1	11467	29119.0536	2773.6254	390		IER5	IER5	390	1
2_MACS_peak_17152_lociStitched	chr20	42695558	42710419	2	8831	42740.236	2559.0642	391	TOX2		JPH2	391	1
3_MACS_peak_5122_lociStitched	chr11	67644642	67659860	3	11195	30618.616	2465.316	392			LOC645332	392	1
1_MACS_peak_5886_lociStitched	chr12	4377277	4388413	1	11137	30453.6192	1988.8896	393	CCND2	C12orf5	CCND2	393	1
2_MACS_peak_17167_lociStitched	chr20	43270067	43282286	2	11877	24743.475	2436.4686	394	ADA	LOC79015	ADA	394	1
3_MACS_peak_14874_lociStitched	chr2	64862674	64883604	3	11873	24940.188	3158.337	396	SERTAD2	LOC339807	SERTAD2	396	1
2_MACS_peak_26410_lociStitched	chr7	104576068	104587095	2	10687	32376.3747	1989.2708	397		LOC723809	LOC723809	397	1
2_MACS_peak_23204_lociStitched	chr5	150459359	150475980	2	12111	21806.752	3018.3736	399	TNIP1	ANXA6	TNIP1	399	1
3_MACS_peak_13112_lociStitched	chr19	2254653	2271802	3	11849	25188.4512	3719.6181	400	OAZ1,JSRP1	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,C19orf35,LINGO3	OAZ1	400	1
4_MACS_peak_13965_lociStitched	chr19	48823409	48837996	4	11951	23094.1384	2895.5195	405	EMP3,TMEM143	ZNF114,SYNGR4,CCDC114	EMP3	405	1
2_MACS_peak_24953_lociStitched	chr6	129992787	130011209	2	11809	24464.416	3028.5768	406	ARHGAP18		ARHGAP18	406	1
3_MACS_peak_10254_lociStitched	chr16	23404589	23419410	3	10245	34575.9109	2184.6154	407	COG7		COG7	407	1
3_MACS_peak_9815_lociStitched	chr15	93346012	93364538	3	10941	31053.2812	2873.3826	408		ASB9P1	ASB9P1	408	1
3_MACS_peak_14441_lociStitched	chr2	27374667	27389984	3	12036	21509.6631	2591.6364	409	TCF23	ABHD1,C2orf28,CGREF1,PREB,C2orf53,SLC5A6	TCF23	409	1
1_MACS_peak_17215_lociStitched	chr20	45978083	45987373	1	9291	38837.774	1908.166	410	ZMYND8	LOC100131496	ZMYND8	410	1
3_MACS_peak_17315_lociStitched	chr20	52224963	52244752	3	10829	31201.3163	2406.3424	411		ZNF217	ZNF217	411	1
2_MACS_peak_11039_lociStitched	chr17	4841917	4855123	2	11099	29022.8262	2108.9982	413	RNF167,ENO3,SLC25A11,PFN1	C17orf107,GP1BA,KIF1C,CHRNE,SPAG7,CAMTA2,INCA1	PFN1	413	1
1_MACS_peak_20993_lociStitched	chr4	69434269	69444218	1	9950	35452.2666	1700.2841	414		UGT2B15,UGT2B17	UGT2B17	414	1
4_MACS_peak_21052_lociStitched	chr4	76022941	76044176	4	11300	28620.533	3253.202	415			PARM1	415	1
1_MACS_peak_4881_lociStitched	chr11	60601905	60613367	1	11463	26041.664	2016.1658	416	CCDC86	MS4A10,ZP1,GPR44	CCDC86	416	1
2_MACS_peak_1583_lociStitched	chr1	150120754	150139383	2	11876	24120.8292	3869.2433	417	PLEKHO1		PLEKHO1	417	1
2_MACS_peak_27298_lociStitched	chr8	29404316	29416975	2	10084	35071.7595	2102.6599	418			C8orf75	418	1
2_MACS_peak_15733_lociStitched	chr2	153913730	153928943	2	11530	25253.58	2017.2438	419			ARL6IP6	419	1
