REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X03_0EWP_0229Kronos_MM1S.KB.1hr.1_H3K18Ac_hs.dm_i05.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
4_MACS_peak_11148_lociStitched	chr19	1847245	1865698	4	10239	30654.1236	3391.6614	190	REXO1,KLF16	LOC100288123,SCAMP4,ADAT3,ATP8B3,MIR1909,FAM108A1	KLF16	190	1
6_MACS_peak_6077_lociStitched	chr12	123355306	123387146	6	21655	29814.976	2671.376	191	VPS37B	HIP1R	VPS37B	191	1
4_MACS_peak_18564_lociStitched	chr4	187749124	187776016	4	11234	30729.4884	3598.1496	192			FAT1	192	1
2_MACS_peak_14853_lociStitched	chr20	56047515	56058224	2	9908	29082.4313	1957.6052	193		CTCFL	CTCFL	193	1
2_MACS_peak_7807_lociStitched	chr15	65173728	65189018	2	8969	29537.222	2428.052	194		PLEKHO2,ANKDD1A	ANKDD1A	194	1
3_MACS_peak_21740_lociStitched	chr7	44661885	44680256	3	13651	30383.7969	3494.1642	195	OGDH	DDX56,TMED4	OGDH	195	1
2_MACS_peak_2315_lociStitched	chr1	230256520	230270036	2	7766	29756.8256	2903.2368	196	GALNT2		GALNT2	196	1
2_MACS_peak_10661_lociStitched	chr18	9101875	9122100	2	17634	30458.85	3646.5675	197	NDUFV2	ANKRD12	NDUFV2	197	1
4_MACS_peak_2815_lociStitched	chr10	45913733	45932082	4	11544	29501.5222	2710.1473	198	ALOX5		ALOX5	198	1
6_MACS_peak_3430_lociStitched	chr10	112600008	112633010	6	20509	31685.2202	4953.6002	199	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	199	1
2_MACS_peak_15646_lociStitched	chr22	39095231	39103968	2	7694	28503.5888	1802.4431	200	GTPBP1,JOSD1	CBY1,TOMM22,LOC646851,SUN2	GTPBP1	200	1
6_MACS_peak_8252_lociStitched	chr15	101661258	101692508	6	17863	31640.625	4965.625	201			CHSY1	201	1
2_MACS_peak_1749_lociStitched	chr1	179049101	179059030	2	6287	29416.6483	2868.4881	202	TOR3A		TOR3A	202	1
1_MACS_peak_278_lociStitched	chr1	23850479	23858629	1	8151	28310.655	1854.125	203	E2F2	ASAP3,ID3	E2F2	203	1
4_MACS_peak_13427_lociStitched	chr2	137132573	137152600	4	10590	29255.4416	2917.9339	204			CXCR4	204	1
2_MACS_peak_24675_lociStitched	chr9	132646258	132657704	2	7722	28189.2088	1998.4716	205	FNBP1	USP20,C9orf78	USP20	205	1
3_MACS_peak_7515_lociStitched	chr15	40387154	40409155	3	15327	30403.1819	4232.9924	206	BMF	BUB1B	BMF	206	1
3_MACS_peak_20299_lociStitched	chr6	31694405	31709200	3	11417	29234.92	3065.524	207	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	207	1
1_MACS_peak_12564_lociStitched	chr2	43444364	43456832	1	12469	28611.5664	2526.0168	208	LOC100129726,ZFP36L2		ZFP36L2	208	1
6_MACS_peak_23536_lociStitched	chr8	126285525	126316145	6	18348	30613.876	4599.124	209	NSMCE2		TRIB1	209	1
4_MACS_peak_17356_lociStitched	chr3	186703125	186719886	4	12452	29913.3567	4072.923	210	ST6GAL1	ST6GAL1	ST6GAL1	210	1
1_MACS_peak_22203_lociStitched	chr7	101946592	101951932	1	5341	26821.218	1067.466	211	SH2B2	MIR4285,SPDYE6	MIR4285	211	1
2_MACS_peak_11210_lociStitched	chr19	3499704	3507372	2	4089	27457.5744	1807.3476	212	FZR1,DOHH	FZR1,C19orf71,C19orf77	DOHH	212	1
1_MACS_peak_2370_lociStitched	chr1	235242075	235247913	1	5839	27299.0718	1676.0898	213		SNORA14B,TOMM20	SNORA14B	213	1
2_MACS_peak_9318_lociStitched	chr17	3459489	3466992	2	4912	26960.5299	1405.3119	214	TRPV3	TRPV1	TRPV3	214	1
1_MACS_peak_20534_lociStitched	chr6	45386651	45395738	1	9088	27066.5382	1524.7986	215	RUNX2	SUPT3H	RUNX2	215	1
1_MACS_peak_15470_lociStitched	chr22	29662691	29666248	1	3558	26161.3793	673.6958	216	EWSR1,RHBDD3	GAS2L1,RASL10A	EWSR1	216	1
5_MACS_peak_15920_lociStitched	chr3	5222678	5256260	5	21561	30939.0966	5520.8808	217	EDEM1		EDEM1	217	1
2_MACS_peak_52_lociStitched	chr1	2220858	2234030	2	6218	27010.5032	1618.8388	218	SKI		LOC100129534	218	1
1_MACS_peak_12963_lociStitched	chr2	86220131	86228957	1	8827	26897.235	1721.9526	219		LOC90784	LOC90784	219	1
2_MACS_peak_7725_lociStitched	chr15	56648150	56666278	2	11658	28083.8976	2918.608	220	TEX9		TEX9	220	1
1_MACS_peak_20770_lociStitched	chr6	90059141	90071119	1	11979	27164.9062	2021.8864	221	UBE2J1	GABRR2	UBE2J1	221	1
3_MACS_peak_14848_lociStitched	chr20	55958071	55975703	3	11434	27906.1664	2903.9904	222	RBM38	RAE1,MTRNR2L3	RBM38	222	1
1_MACS_peak_11825_lociStitched	chr19	41767715	41772261	1	4547	26168.5944	1168.7766	223	HNRNPUL1	AXL,CCDC97	HNRNPUL1	223	1
1_MACS_peak_15642_lociStitched	chr22	38900391	38903750	1	3360	25700.3808	704.7182	224	DDX17	KDELR3,KCNJ4,DDX17	DDX17	224	1
4_MACS_peak_5904_lociStitched	chr12	109161913	109181006	4	11210	28511.5769	3740.3187	225	SSH1	CORO1C,SSH1	CORO1C	225	1
1_MACS_peak_5557_lociStitched	chr12	62995335	62998171	1	2837	25309.882	611.4416	226	MIRLET7I,C12orf61		C12orf61	226	1
1_MACS_peak_19358_lociStitched	chr5	131435032	131441916	1	6885	26164.0188	1586.762	227		IL3,CSF2	CSF2	227	1
2_MACS_peak_17501_lociStitched	chr4	1712520	1724653	2	6928	26388.0617	1843.0027	228	TACC3,SLBP,TMEM129	FAM53A	TMEM129	228	1
4_MACS_peak_15598_lociStitched	chr22	37611025	37628618	4	13678	27789.9028	3307.484	229	RAC2	CYTH4,C1QTNF6,SSTR3	SSTR3	229	1
1_MACS_peak_22777_lociStitched	chr8	10820847	10827196	1	6350	25821.383	1367.5746	230	XKR6		MIR598	230	1
4_MACS_peak_13986_lociStitched	chr2	219743249	219763375	4	13984	27912.7494	3483.8106	231	WNT10A	WNT6,PRKAG3	WNT10A	231	1
3_MACS_peak_21832_lociStitched	chr7	55569514	55585806	3	13390	27147.3596	2727.2808	232	VOPP1		VOPP1	232	1
4_MACS_peak_24213_lociStitched	chr9	93670890	93690271	4	14234	27530.7105	3118.4029	233			SYK	233	1
3_MACS_peak_16604_lociStitched	chr3	98479825	98495893	3	14380	27203.124	2819.934	234	ST3GAL6		ST3GAL6	234	1
1_MACS_peak_9497_lociStitched	chr17	17139173	17141764	1	2592	24880.8548	562.7652	235	FLCN	PLD6,COPS3	FLCN	235	1
2_MACS_peak_22930_lociStitched	chr8	26428255	26437465	2	8184	26172.057	1880.682	236	DPYSL2		DPYSL2	236	1
2_MACS_peak_2252_lociStitched	chr1	226308722	226316955	2	5572	26716.9083	2434.4981	237			ACBD3	237	1
4_MACS_peak_3751_lociStitched	chr11	10314536	10341083	4	16624	28784.9121	4512.99	238	ADM,SBF2		ADM	238	1
3_MACS_peak_2789_lociStitched	chr10	43890709	43905812	3	9167	26381.9204	2111.3994	239	HNRNPF	FXYD4,ZNF487P	HNRNPF	239	1
1_MACS_peak_23465_lociStitched	chr8	118450195	118457608	1	7414	25763.8815	1524.1128	240			MED30	240	1
1_MACS_peak_23990_lociStitched	chr9	37527286	37533129	1	5844	25660.7031	1472.436	241	FBXO10	POLR1E	POLR1E	241	1
1_MACS_peak_14233_lociStitched	chr20	2081622	2084703	1	3082	24761.0727	603.2598	242	STK35		STK35	242	1
3_MACS_peak_20172_lociStitched	chr6	26355018	26367880	3	12107	26300.2176	2207.1192	243	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	243	1
2_MACS_peak_15461_lociStitched	chr22	29207139	29221161	2	10826	26671.2462	2636.136	244		CCDC117,XBP1	XBP1	244	1
7_MACS_peak_18505_lociStitched	chr4	185317550	185349889	7	17079	28865.7914	4831.4466	245	IRF2		IRF2	245	1
1_MACS_peak_1283_lociStitched	chr1	145967892	145970682	1	2791	24909.12	946.368	246		PDZK1P1	PDZK1P1	246	1
2_MACS_peak_16245_lociStitched	chr3	46245890	46257129	2	10004	26123.9316	2200.5962	247	CCR1	CCR3	CCR1	247	1
1_MACS_peak_11947_lociStitched	chr19	47103298	47105546	1	2249	24310.0968	417.2288	248	CALM3	PTGIR,GNG8	CALM3	248	1
4_MACS_peak_10418_lociStitched	chr17	75078896	75093128	4	12381	26831.5896	3022.8768	249	C17orf86,SCARNA16	SEC14L1	SCARNA16	249	1
1_MACS_peak_4090_lociStitched	chr11	61558985	61561582	1	2598	24413.0985	725.3421	250	FEN1,C11orf10,MIR611	C11orf9,FADS2,DKFZP434K028,MIR1908,FADS1	FEN1	250	1
1_MACS_peak_19436_lociStitched	chr5	137909987	137912344	1	2358	24180.9344	516.6544	251	HSPA9	ETF1,SNORD63	HSPA9	251	1
4_MACS_peak_3368_lociStitched	chr10	105244606	105268572	4	17484	27565.6932	3961.5798	252	NEURL	CALHM2,CALHM1,CALHM3	NEURL	252	1
1_MACS_peak_1743_lociStitched	chr1	178546266	178552586	1	6321	25375.432	1877.04	253		C1orf220	C1orf220	253	1
1_MACS_peak_13018_lociStitched	chr2	89048937	89057540	1	8604	25148.2896	1703.394	254	RPIA	ANKRD36BP2	ANKRD36BP2	254	1
1_MACS_peak_1298_lociStitched	chr1	147509525	147512292	1	2768	24323.5902	935.5227	255			GPR89C	255	1
2_MACS_peak_5843_lociStitched	chr12	104318523	104325963	2	6079	24741.72	1380.864	256	HSP90B1,MIR3652,GNN	TDG,C12orf73	GNN	256	1
5_MACS_peak_17180_lociStitched	chr3	171802366	171827105	5	16046	29152.4376	5806.2433	257	FNDC3B		FNDC3B	257	1
2_MACS_peak_13848_lociStitched	chr2	202116329	202128230	2	9405	25714.4907	2413.5228	258	CASP8		CASP8	258	1
2_MACS_peak_9355_lociStitched	chr17	4842363	4854493	2	7441	25491.195	2242.837	259	RNF167,ENO3,SLC25A11,PFN1	C17orf107,GP1BA,KIF1C,CHRNE,SPAG7,CAMTA2,INCA1	PFN1	259	1
1_MACS_peak_2623_lociStitched	chr10	15826051	15832678	1	6628	24568.2771	1351.2453	260	FAM188A		ITGA8	260	1
4_MACS_peak_1859_lociStitched	chr1	192497903	192521009	4	16057	28492.0086	5344.4178	261		RGS1	RGS1	261	1
1_MACS_peak_18544_lociStitched	chr4	186345498	186348110	1	2613	23816.9996	690.874	262	UFSP2	ANKRD37,C4orf47,LRP2BP,CCDC110	UFSP2	262	1
6_MACS_peak_15681_lociStitched	chr22	39631671	39664011	6	16473	27456.66	4359.432	263	PDGFB	SNORD83B,SNORD83A,RNU86	PDGFB	263	1
2_MACS_peak_2540_lociStitched	chr10	6961759	6973211	2	7257	24873.744	1778.4956	264			LOC439949	264	1
1_MACS_peak_3018_lociStitched	chr10	74077941	74083554	1	5614	23858.6178	779.0844	265		DDIT4,DNAJB12	DNAJB12	265	1
2_MACS_peak_19448_lociStitched	chr5	138719847	138730374	2	9668	25664.826	2605.4325	266	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	266	1
1_MACS_peak_8154_lociStitched	chr15	90637206	90646597	1	9392	24871.1244	1894.1647	267	IDH2		IDH2	267	1
2_MACS_peak_17438_lociStitched	chr3	195631950	195642590	2	6930	25758.376	2836.624	268	TNK2	TNK2	TNK2	268	1
1_MACS_peak_2436_lociStitched	chr1	245132484	245135717	1	3234	23805.5489	888.1051	269	EFCAB2		EFCAB2	269	1
2_MACS_peak_15117_lociStitched	chr21	37905187	37917072	2	8571	25754.795	2898.7515	270	CLDN14		CLDN14	270	1
1_MACS_peak_18578_lociStitched	chr5	9857	12057	1	2201	27709.44	4970.68	271			PLEKHG4B	271	1
4_MACS_peak_11128_lociStitched	chr19	1258600	1277364	4	10123	26359.6672	3673.9912	272	MIDN,CIRBP,C19orf24,C19orf23	ATP5D,EFNA2,C19orf26	CIRBP	272	1
4_MACS_peak_11181_lociStitched	chr19	2455304	2480531	4	12469	27618.5196	4989.9006	273	GADD45B,LMNB2	TIMM13	GADD45B	273	1
5_MACS_peak_23690_lociStitched	chr8	145001963	145027943	5	14241	25727.994	3179.952	274	PLEC,MIR661	GRINA,PARP10	PLEC	274	1
1_MACS_peak_10712_lociStitched	chr18	13609933	13615179	1	5247	23588.639	1089.5942	275	C18orf1	C18orf1	C18orf1	275	1
2_MACS_peak_15229_lociStitched	chr21	45659653	45668038	2	7147	24365.9715	1966.2825	276	ICOSLG,DNMT3L	AIRE	ICOSLG	276	1
2_MACS_peak_10562_lociStitched	chr17	80249735	80257408	2	4958	23942.8292	1559.1536	277		CSNK1D,CD7,SECTM1	CD7	277	1
2_MACS_peak_10572_lociStitched	chr17	80405744	80417907	2	6983	24248.1568	1905.9421	278	NARF,C17orf62	HEXDC,C17orf101	C17orf62	278	1
1_MACS_peak_21518_lociStitched	chr7	20368303	20372884	1	4582	23172.0723	851.1498	279	ITGB8		ITGB8	279	1
4_MACS_peak_8597_lociStitched	chr16	22195049	22219229	4	12316	26876.07	4555.512	280	EEF2K		EEF2K	280	1
2_MACS_peak_4193_lociStitched	chr11	65238016	65246360	2	5842	23901.388	1583.6912	281		NEAT1,MIR612,MALAT1,SCYL1	MALAT1	281	1
1_MACS_peak_10173_lociStitched	chr17	57695359	57698721	1	3363	22805.4546	540.9458	282	CLTC		CLTC	282	1
1_MACS_peak_12433_lociStitched	chr2	28612420	28617151	1	4732	23250.9726	1032.3042	283	FOSL2		FOSL2	283	1
2_MACS_peak_1440_lociStitched	chr1	154755641	154766029	2	9258	25042.3516	2862.9328	284	KCNN3		KCNN3	284	1
1_MACS_peak_11756_lociStitched	chr19	38537130	38541188	1	4059	23060.3966	895.1948	285	SIPA1L3		SIPA1L3	285	1
2_MACS_peak_9217_lociStitched	chr16	89033504	89046053	2	8507	23119.0227	1025.2533	286	CBFA2T3	CBFA2T3	CBFA2T3	286	1
3_MACS_peak_10455_lociStitched	chr17	76139640	76152461	3	9106	24190.6628	2098.7977	287	C17orf99	TMC8,SYNGR2,AFMID,TMC6,TK1	C17orf99	287	1
1_MACS_peak_20538_lociStitched	chr6	45673950	45683988	1	10039	23704.737	1744.6044	288			RUNX2	288	1
2_MACS_peak_4662_lociStitched	chr11	115125174	115137372	2	10063	23792.199	1900.4484	289	CADM1		CADM1	289	1
5_MACS_peak_19114_lociStitched	chr5	87954731	87976691	5	9923	25034.4	3179.808	290	LOC645323,MIR9-2		MIR9-2	290	1
4_MACS_peak_19818_lociStitched	chr5	176717358	176740561	4	12287	26010.563	4174.2197	291	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	RAB24	291	1
1_MACS_peak_22976_lociStitched	chr8	29409719	29417097	1	7379	23238.4866	1589.2212	292			C8orf75	292	1
3_MACS_peak_10436_lociStitched	chr17	75435095	75447516	3	8319	23242.1752	1659.4456	293	SEPT9	SEPT9,MIR4316	SEPT9	293	1
1_MACS_peak_20914_lociStitched	chr6	109702044	109705159	1	3116	22384.7015	802.1125	294	CD164		CD164	294	1
4_MACS_peak_12828_lociStitched	chr2	70335194	70360814	4	8958	25386.858	3807.132	295	LOC100133985	PCBP1,LOC400960	LOC100133985	295	1
1_MACS_peak_2742_lociStitched	chr10	32634664	32637065	1	2402	22025.0933	450.1875	296	EPC1		EPC1	296	1
2_MACS_peak_1999_lociStitched	chr1	205248270	205258843	2	8779	24435.2603	3002.732	297		NUAK2	NUAK2	297	1
1_MACS_peak_4325_lociStitched	chr11	69060780	69067285	1	6506	22985.4175	1578.113	298	MYEOV		MYEOV	298	1
3_MACS_peak_12375_lociStitched	chr2	25623656	25645465	3	10652	24818.642	3456.7265	299	DTNB		DNMT3A	299	1
3_MACS_peak_25545_lociStitched	chrX	153233745	153252437	3	9407	22899.5692	1538.3516	300	TMEM187,MIR3202-1,HCFC1,MIR3202-2	ARHGAP4,NAA10,RENBP,IRAK1,MIR718	MIR3202-1	300	1
2_MACS_peak_6813_lociStitched	chr14	50465596	50476604	2	7441	22433.2032	1073.28	301	C14orf182		C14orf182	301	1
4_MACS_peak_13877_lociStitched	chr2	204552971	204573792	4	11085	25318.336	4008.0425	302	CD28		CD28	302	1
4_MACS_peak_19861_lociStitched	chr5	180228655	180249385	4	12355	24672.846	3364.479	303	MGAT1	LOC729678,ZFP62	MGAT1	303	1
1_MACS_peak_24220_lociStitched	chr9	93794827	93799759	1	4933	22490.4132	1212.2856	304		LOC100129316	LOC100129316	304	1
3_MACS_peak_11595_lociStitched	chr19	19050291	19062817	3	11235	23273.308	2034.2224	305	HOMER3	DDX49,GDF1,COPE,HOMER3	HOMER3	305	1
3_MACS_peak_5329_lociStitched	chr12	48200519	48219051	3	13860	24271.3604	3107.8164	306	HDAC7	SLC48A1,RAPGEF3	HDAC7	306	1
1_MACS_peak_10989_lociStitched	chr18	56806235	56811871	1	5637	22284.744	1142.4172	307	SEC11C		SEC11C	307	1
1_MACS_peak_23616_lociStitched	chr8	134244497	134248956	1	4460	22217.4134	1091.1173	308		WISP1	WISP1	308	1
4_MACS_peak_8195_lociStitched	chr15	93346246	93364341	4	8698	23997.589	2893.3905	309		ASB9P1	ASB9P1	309	1
3_MACS_peak_17472_lociStitched	chr3	197450217	197464921	3	8332	24442.4592	3346.6304	310	KIAA0226	FYTTD1,MIR922	KIAA0226	310	1
4_MACS_peak_4475_lociStitched	chr11	82764520	82790259	4	12667	25443.0015	4432.2558	311	RAB30	SNORA70E	RAB30	311	1
1_MACS_peak_14652_lociStitched	chr20	42377886	42383067	1	5182	22352.9064	1347.5781	312		GTSF1L	GTSF1L	312	1
3_MACS_peak_321_lociStitched	chr1	25346939	25364367	3	9011	23440.66	2462.5764	313			RUNX3	313	1
2_MACS_peak_9789_lociStitched	chr17	36856187	36863157	2	6964	22211.299	1250.418	314	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	314	1
1_MACS_peak_1479_lociStitched	chr1	155657027	155659779	1	2753	22016.5504	1065.024	315	DAP3,YY1AP1	YY1AP1	YY1AP1	315	1
1_MACS_peak_1689_lociStitched	chr1	169861774	169864312	1	2539	21589.7508	699.9804	316	SCYL3		SCYL3	316	1
2_MACS_peak_362_lociStitched	chr1	27018397	27031257	2	12442	23286.888	2412.536	317	ARID1A		ARID1A	317	1
2_MACS_peak_25105_lociStitched	chrX	48793543	48804748	2	7241	22041.3555	1294.1775	318	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	318	1
3_MACS_peak_1488_lociStitched	chr1	155939671	155954274	3	12004	24645.4831	3909.2231	319	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	319	1
3_MACS_peak_1497_lociStitched	chr1	156065142	156085981	3	11554	24917.1923	4232.4009	320	LMNA	ROBLD3,RAB25,SEMA4A,UBQLN4,MEX3A	LMNA	320	1
2_MACS_peak_20859_lociStitched	chr6	106585320	106595894	2	9171	22812.3476	2128.5462	321		PRDM1	PRDM1	321	1
1_MACS_peak_19432_lociStitched	chr5	137672711	137674860	1	2150	21181.6185	498.3531	322	FAM53C	KDM3B,CDC25C	FAM53C	322	1
1_MACS_peak_5767_lociStitched	chr12	94597585	94603628	1	6044	21922.7954	1250.2967	323	PLXNC1		PLXNC1	323	1
2_MACS_peak_11500_lociStitched	chr19	16180567	16191467	2	6955	22293.77	1624.1	324	TPM4	FLJ25328,RAB8A	TPM4	324	1
1_MACS_peak_19151_lociStitched	chr5	90674598	90681075	1	6478	21903.9186	1272.7305	325	LOC100129716,ARRDC3		ARRDC3	325	1
2_MACS_peak_15445_lociStitched	chr22	27004574	27015135	2	10426	22412.5542	1830.2213	326	CRYBB1	CRYBA4,MIAT,TPST2	CRYBB1	326	1
2_MACS_peak_9539_lociStitched	chr17	18964184	18974494	2	5386	22215.988	1648.569	327		GRAP	GRAP	327	1
3_MACS_peak_4294_lociStitched	chr11	67647079	67659987	3	7868	22494.7716	1956.8528	328			LOC645332	328	1
1_MACS_peak_12503_lociStitched	chr2	37601660	37606367	1	4708	21557.5893	1044.0126	329		QPCT	QPCT	329	1
5_MACS_peak_4825_lociStitched	chr11	128585980	128609699	5	18140	24800.5864	4304.9985	330	FLI1		FLI1	330	1
2_MACS_peak_18549_lociStitched	chr4	186507039	186515089	2	6645	22139.11	1652.665	331	SORBS2		PDLIM3	331	1
3_MACS_peak_20754_lociStitched	chr6	88625606	88640464	3	13677	23239.3978	2757.6448	332			SPACA1	332	1
3_MACS_peak_15986_lociStitched	chr3	13455167	13470835	3	7668	23100.8992	2619.6896	333	NUP210		NUP210	333	1
2_MACS_peak_10371_lociStitched	chr17	73774218	73782439	2	5923	22260.8238	1829.1725	334	UNK,H3F3B	GALK1	UNK	334	1
2_MACS_peak_331_lociStitched	chr1	25869662	25879268	2	8204	22222.5204	1895.2638	335	LDLRAP1		LDLRAP1	335	1
2_MACS_peak_4625_lociStitched	chr11	111237775	111251445	2	12828	22582.84	2265.119	336	POU2AF1		POU2AF1	336	1
1_MACS_peak_22673_lociStitched	chr7	154793416	154796409	1	2994	20900.7176	615.0615	337	LOC202781,PAXIP1		LOC202781	337	1
2_MACS_peak_3848_lociStitched	chr11	19450173	19465317	2	13015	23176.3776	2986.3968	338	NAV2		NAV2	338	1
1_MACS_peak_15374_lociStitched	chr22	23198568	23210581	1	12014	21321.8737	1144.8389	339		MIR650,IGLL5	IGLL5	339	1
1_MACS_peak_12615_lociStitched	chr2	47208500	47214739	1	6240	21690.5074	1530.4267	340	TTC7A	MCFD2	MCFD2	340	1
1_MACS_peak_15994_lociStitched	chr3	14161126	14168242	1	7117	21575.712	1490.0904	341	TMEM43,CHCHD4		CHCHD4	341	1
2_MACS_peak_9305_lociStitched	chr17	2294502	2306110	2	7311	21820.7184	1753.9688	342	MNT	LOC284009	MNT	342	1
1_MACS_peak_1240_lociStitched	chr1	143741964	143746131	1	4168	21553.3908	1491.3693	343	LOC100286793,FLJ39739	PPIAL4G	FLJ39739	343	1
1_MACS_peak_21514_lociStitched	chr7	20254879	20262658	1	7780	21681.6288	1663.1502	344	MACC1		MACC1	344	1
1_MACS_peak_15306_lociStitched	chr22	19465737	19468176	1	2440	20583.9405	592.677	345	CDC45,UFD1L	MRPL40,HIRA,C22orf39,CLDN5	UFD1L	345	1
1_MACS_peak_2433_lociStitched	chr1	244996371	245000090	1	3720	21180.8207	1208.675	346	FAM36A	NCRNA00201,HNRNPU	FAM36A	346	1
3_MACS_peak_11172_lociStitched	chr19	2254585	2271865	3	11245	23860.224	3908.736	347	OAZ1,JSRP1	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,C19orf35,LINGO3	OAZ1	347	1
1_MACS_peak_258_lociStitched	chr1	21615572	21622786	1	7215	21561.9246	1638.2994	348	ECE1	ECE1	ECE1	348	1
4_MACS_peak_18881_lociStitched	chr5	55437246	55453546	4	14069	22795.55	2901.4	349	ANKRD55		ANKRD55	349	1
1_MACS_peak_3517_lociStitched	chr10	125155752	125163738	1	7987	21686.7816	1795.2528	350			BUB3	350	1
2_MACS_peak_11502_lociStitched	chr19	16221287	16231956	2	7423	21894.9218	2020.7086	351	RAB8A	TPM4,HSH2D	RAB8A	351	1
2_MACS_peak_14676_lociStitched	chr20	43270428	43282197	2	10577	22296.3705	2439.7137	352	ADA	LOC79015	ADA	352	1
1_MACS_peak_14650_lociStitched	chr20	42308809	42312262	1	3454	20765.3061	1002.0606	353	MYBL2	GTSF1L	MYBL2	353	1
3_MACS_peak_22936_lociStitched	chr8	27208587	27239163	3	17519	24821.5968	5072.5584	354	PTK2B	TRIM35	PTK2B	354	1
3_MACS_peak_10469_lociStitched	chr17	76711284	76733796	3	16961	23594.8272	3847.3008	355	CYTH1		CYTH1	355	1
6_MACS_peak_8696_lociStitched	chr16	29815811	29837298	6	11530	23087.7815	3347.6746	356	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	C16orf53	356	1
1_MACS_peak_9822_lociStitched	chr17	38016966	38025056	1	8091	21444.163	1707.799	357	ZPBP2,IKZF3	GSDMB	IKZF3	357	1
2_MACS_peak_13159_lociStitched	chr2	109829223	109843651	2	12365	22406.684	2686.4936	358	SH3RF3		MIR4265	358	1
5_MACS_peak_9963_lociStitched	chr17	43505067	43531544	5	15639	23479.8036	3762.3817	359	SH3D20,PLEKHM1	ARHGAP27,MIR4315-1	SH3D20	359	1
1_MACS_peak_1429_lociStitched	chr1	154296819	154302504	1	5686	21485.889	1788.501	360	AQP10,ATP8B2		ATP8B2	360	1
1_MACS_peak_24217_lociStitched	chr9	93702109	93708122	1	6014	20624.59	971.7008	361			SYK	361	1
2_MACS_peak_13691_lociStitched	chr2	182168526	182180019	2	11449	21519.4932	1879.1055	362			ITGA4	362	1
2_MACS_peak_1578_lociStitched	chr1	161007831	161017820	2	5419	22518.2027	2889.8177	363	TSTD1,USF1,ARHGAP30	F11R,PVRL4	USF1	363	1
3_MACS_peak_6623_lociStitched	chr13	114863289	114877625	3	7825	21472.4608	1873.7152	364	RASA3		RASA3	364	1
2_MACS_peak_17749_lociStitched	chr4	38124207	38136348	2	8971	21455.5752	1901.2806	365	TBC1D1		PTTG2	365	1
1_MACS_peak_22475_lociStitched	chr7	130790115	130797046	1	6932	21267.0804	1733.4431	366	MKLN1,FLJ43663		FLJ43663	366	1
1_MACS_peak_15191_lociStitched	chr21	44580456	44587498	1	7043	21230.2216	1725.9942	367		CRYAA	CRYAA	367	1
4_MACS_peak_2544_lociStitched	chr10	7511439	7535565	4	12277	23344.3176	3864.9852	368			SFMBT2	368	1
1_MACS_peak_20261_lociStitched	chr6	30582430	30587011	1	4582	20815.1478	1350.0207	369	MRPS18B,PPP1R10	ABCF1,MIR877,ATAT1,C6orf136	PPP1R10	369	1
2_MACS_peak_17452_lociStitched	chr3	196358099	196371332	2	10172	22489.4835	3051.5298	370	LRRC33		LRRC33	370	1
2_MACS_peak_25176_lociStitched	chrX	58149562	58159731	2	9509	20284.1043	854.196	371			ZXDA	371	1
2_MACS_peak_10363_lociStitched	chr17	73628679	73643880	2	8392	21738.9501	2313.5922	372	LOC643008,LOC100130933,RECQL5	MYO15B,SAP30BP,RECQL5	LOC643008	372	1
5_MACS_peak_25557_lociStitched	chrX	153596715	153627908	5	13879	21863.1737	2442.4119	373	EMD,RPL10,FLNA	SNORA70,TAZ,ATP6AP1,GDI1,FAM50A,DNASE1L1	EMD	373	1
3_MACS_peak_12040_lociStitched	chr19	50369517	50382092	3	6443	21966.01	2553.9825	374	TBC1D17,PNKP,AKT1S1	MED25,PTOV1,ATF5,IL4I1	AKT1S1	374	1
3_MACS_peak_24403_lociStitched	chr9	112669058	112683122	3	9212	21630.432	2264.304	375	PALM2,PALM2-AKAP2		PALM2	375	1
1_MACS_peak_14857_lociStitched	chr20	56192082	56197387	1	5306	20554.2225	1228.1075	376	ZBP1		ZBP1	376	1
2_MACS_peak_6616_lociStitched	chr13	114581508	114594694	2	9050	21427.25	2136.132	377	FLJ44054	GAS6	FLJ44054	377	1
2_MACS_peak_3339_lociStitched	chr10	104153091	104160100	2	5540	20596.6474	1395.4919	378	NFKB2	FBXL15,MIR146B,PSD,CUEDC2	NFKB2	378	1
