REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X03_0EWP_0229Kronos_MM1S.KB.1hr.1_H3K18Ac_hs.dm_i05.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
7_MACS_peak_4147_lociStitched	chr11	63992793	64019785	7	12994	21607.096	4372.704	201	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	201	1
4_MACS_peak_11181_lociStitched	chr19	2455304	2480531	4	12469	27618.5196	4989.9006	202	GADD45B,LMNB2	TIMM13	GADD45B	202	1
1_MACS_peak_15194_lociStitched	chr21	44724896	44734900	1	10005	39610.838	2134.8536	203			SIK1	203	1
3_MACS_peak_24229_lociStitched	chr9	94181081	94195301	3	12869	19509.84	2599.416	205	NFIL3		NFIL3	205	1
1_MACS_peak_20770_lociStitched	chr6	90059141	90071119	1	11979	27164.9062	2021.8864	206	UBE2J1	GABRR2	UBE2J1	206	1
4_MACS_peak_8597_lociStitched	chr16	22195049	22219229	4	12316	26876.07	4555.512	207	EEF2K		EEF2K	207	1
3_MACS_peak_20172_lociStitched	chr6	26355018	26367880	3	12107	26300.2176	2207.1192	208	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	208	1
2_MACS_peak_362_lociStitched	chr1	27018397	27031257	2	12442	23286.888	2412.536	209	ARID1A		ARID1A	209	1
2_MACS_peak_19890_lociStitched	chr6	381516	400905	2	13041	17048.7477	3334.908	210	IRF4		IRF4	210	1
2_MACS_peak_10663_lociStitched	chr18	9134489	9151997	2	12844	19705.254	3335.274	211	ANKRD12	NDUFV2	ANKRD12	211	1
1_MACS_peak_2077_lociStitched	chr1	209274777	209285212	1	10436	36899.2035	2801.7975	212			LOC642587	212	1
4_MACS_peak_19861_lociStitched	chr5	180228655	180249385	4	12355	24672.846	3364.479	213	MGAT1	LOC729678,ZFP62	MGAT1	213	1
4_MACS_peak_19818_lociStitched	chr5	176717358	176740561	4	12287	26010.563	4174.2197	214	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	RAB24	214	1
4_MACS_peak_1982_lociStitched	chr1	204474810	204492096	4	11189	33814.8732	4382.001	215	MDM4	PIK3C2B	MDM4	215	1
2_MACS_peak_4791_lociStitched	chr11	126056599	126068870	2	7652	46213.8131	2202.6445	216		FAM118B,RPUSD4	RPUSD4	216	1
4_MACS_peak_2815_lociStitched	chr10	45913733	45932082	4	11544	29501.5222	2710.1473	217	ALOX5		ALOX5	217	1
2_MACS_peak_15145_lociStitched	chr21	41295701	41310140	2	10593	35892.4662	3475.4673	218	PCP4		PCP4	218	1
2_MACS_peak_13159_lociStitched	chr2	109829223	109843651	2	12365	22406.684	2686.4936	219	SH3RF3		MIR4265	219	1
3_MACS_peak_14658_lociStitched	chr20	42568839	42585652	3	12567	19575.3759	2885.1108	220	TOX2		TOX2	220	1
2_MACS_peak_7725_lociStitched	chr15	56648150	56666278	2	11658	28083.8976	2918.608	221	TEX9		TEX9	221	1
4_MACS_peak_12549_lociStitched	chr2	42343213	42360909	4	12672	17927.8176	2659.7088	222		EML4	EML4	222	1
1_MACS_peak_4938_lociStitched	chr12	4377250	4387434	1	10185	35696.9568	1756.74	223	CCND2	C12orf5	CCND2	223	1
4_MACS_peak_2544_lociStitched	chr10	7511439	7535565	4	12277	23344.3176	3864.9852	224			SFMBT2	224	1
4_MACS_peak_10474_lociStitched	chr17	76763432	76779741	4	12688	16809.6863	2656.7361	225	CYTH1		CYTH1	225	1
4_MACS_peak_2038_lociStitched	chr1	206955598	206978900	4	12596	20200.5038	4860.7972	226	IL19	IL19,IL10	IL19	226	1
3_MACS_peak_20299_lociStitched	chr6	31694405	31709200	3	11417	29234.92	3065.524	227	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	227	1
3_MACS_peak_17753_lociStitched	chr4	38307113	38322490	3	12324	20906.5692	2640.2309	228			KLF3	228	1
4_MACS_peak_18564_lociStitched	chr4	187749124	187776016	4	11234	30729.4884	3598.1496	230			FAT1	230	1
3_MACS_peak_1488_lociStitched	chr1	155939671	155954274	3	12004	24645.4831	3909.2231	231	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	231	1
3_MACS_peak_21522_lociStitched	chr7	20476457	20490753	3	12159	21129.488	2098.6528	232			ITGB8	232	1
1_MACS_peak_15374_lociStitched	chr22	23198568	23210581	1	12014	21321.8737	1144.8389	233		MIR650,IGLL5	IGLL5	233	1
3_MACS_peak_14848_lociStitched	chr20	55958071	55975703	3	11434	27906.1664	2903.9904	234	RBM38	RAE1,MTRNR2L3	RBM38	234	1
3_MACS_peak_21178_lociStitched	chr6	143162967	143179952	3	12338	17783.295	1430.137	235	HIVEP2		HIVEP2	235	1
5_MACS_peak_7054_lociStitched	chr14	77487992	77510095	5	12261	18469.2668	1834.549	236	C14orf4		C14orf4	236	1
4_MACS_peak_7873_lociStitched	chr15	70306297	70330153	4	12314	18765.1296	3671.4384	237		MIR629	MIR629	237	1
1_MACS_peak_1960_lociStitched	chr1	203288196	203297892	1	9697	36877.7664	3088.176	238		BTG2,LOC730227,FMOD	BTG2	238	1
4_MACS_peak_5904_lociStitched	chr12	109161913	109181006	4	11210	28511.5769	3740.3187	239	SSH1	CORO1C,SSH1	CORO1C	239	1
3_MACS_peak_8509_lociStitched	chr16	14486389	14504452	3	10100	34175.196	2651.6484	240			MIR365-1	240	1
3_MACS_peak_17156_lociStitched	chr3	169755029	169776690	3	11951	22436.4638	4371.1898	241	GPR160		GPR160	241	1
4_MACS_peak_20158_lociStitched	chr6	26183805	26207161	4	12216	18392.85	4187.7308	242	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	242	1
5_MACS_peak_7322_lociStitched	chr15	20969432	20995785	5	11915	21087.6706	3639.3493	243		BCL8	BCL8	243	1
4_MACS_peak_15655_lociStitched	chr22	39362539	39386428	4	11853	21899.0463	3805.5177	244	APOBEC3A,APOBEC3B	APOBEC3C,APOBEC3D	APOBEC3B	244	1
3_MACS_peak_11463_lociStitched	chr19	13949143	13962192	3	10010	32977.4328	1762.9199	245		ZSWIM4,MIR181C,MIR181D,NANOS3,LOC284454,MIR24-2,MIR27A,MIR23A	MIR23A	245	1
3_MACS_peak_1588_lociStitched	chr1	161144581	161163281	3	11805	22933.68	4675	247	B4GALT3,ADAMTS4	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,APOA2,NR1I3	B4GALT3	247	1
3_MACS_peak_1497_lociStitched	chr1	156065142	156085981	3	11554	24917.1923	4232.4009	248	LMNA	ROBLD3,RAB25,SEMA4A,UBQLN4,MEX3A	LMNA	248	1
2_MACS_peak_7920_lociStitched	chr15	74665663	74680544	2	8670	39726.3176	2816.9733	249		CYP11A1,SEMA7A	CYP11A1	249	1
6_MACS_peak_8696_lociStitched	chr16	29815811	29837298	6	11530	23087.7815	3347.6746	251	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	C16orf53	251	1
4_MACS_peak_8147_lociStitched	chr15	90574007	90591808	4	11843	18587.8042	2647.0087	252	ZNF710		ZNF710	252	1
4_MACS_peak_13427_lociStitched	chr2	137132573	137152600	4	10590	29255.4416	2917.9339	253			CXCR4	253	1
2_MACS_peak_13691_lociStitched	chr2	182168526	182180019	2	11449	21519.4932	1879.1055	254			ITGA4	254	1
4_MACS_peak_11989_lociStitched	chr19	48879975	48902475	4	10391	30721.5	3372.75	255	GRIN2D,KDELR1	SYNGR4,GRWD1,TMEM143	KDELR1	255	1
3_MACS_peak_11595_lociStitched	chr19	19050291	19062817	3	11235	23273.308	2034.2224	256	HOMER3	DDX49,GDF1,COPE,HOMER3	HOMER3	256	1
3_MACS_peak_25021_lociStitched	chrX	39953231	39969396	3	11733	16680.6635	801.784	257	BCOR		BCOR	257	1
4_MACS_peak_19787_lociStitched	chr5	173696387	173710070	4	11431	21038.9808	2056.5549	258			HMP19	258	1
2_MACS_peak_15461_lociStitched	chr22	29207139	29221161	2	10826	26671.2462	2636.136	259		CCDC117,XBP1	XBP1	259	1
3_MACS_peak_10239_lociStitched	chr17	62970324	62986369	3	8961	36683.6835	2602.499	260	AMZ2P1		AMZ2P1	260	1
3_MACS_peak_11172_lociStitched	chr19	2254585	2271865	3	11245	23860.224	3908.736	261	OAZ1,JSRP1	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,C19orf35,LINGO3	OAZ1	261	1
4_MACS_peak_13877_lociStitched	chr2	204552971	204573792	4	11085	25318.336	4008.0425	262	CD28		CD28	262	1
4_MACS_peak_11148_lociStitched	chr19	1847245	1865698	4	10239	30654.1236	3391.6614	263	REXO1,KLF16	LOC100288123,SCAMP4,ADAT3,ATP8B3,MIR1909,FAM108A1	KLF16	263	1
5_MACS_peak_5052_lociStitched	chr12	11901782	11920321	5	11754	16940.9382	2790.1195	264	ETV6		ETV6	264	1
2_MACS_peak_10277_lociStitched	chr17	66229986	66245255	2	8918	35759.998	2348.3722	267	AMZ2	LOC440461,ARSG,SLC16A6	AMZ2	267	1
3_MACS_peak_19368_lociStitched	chr5	131824203	131842729	3	11667	16953.1426	2945.634	268	IRF1	RAD50,IL5	IRF1	268	1
3_MACS_peak_1907_lociStitched	chr1	200850685	200864864	3	10040	30490.5216	3115.1263	270	C1orf106	GPR25	C1orf106	270	1
4_MACS_peak_12333_lociStitched	chr2	20615215	20631201	4	11565	17045.8718	2450.6538	271		RHOB	RHOB	271	1
3_MACS_peak_15211_lociStitched	chr21	45194974	45210610	3	11182	22253.1552	3444.6108	272	RRP1,CSTB	LOC284837	CSTB	272	1
1_MACS_peak_19122_lociStitched	chr5	88175328	88186640	1	11313	19017.7344	1978.4688	273	MEF2C		MEF2C	273	1
2_MACS_peak_14853_lociStitched	chr20	56047515	56058224	2	9908	29082.4313	1957.6052	274		CTCFL	CTCFL	274	1
4_MACS_peak_15666_lociStitched	chr22	39459116	39474331	4	11276	19011.1425	2721.9635	275	APOBEC3G	APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3H	APOBEC3G	275	1
3_MACS_peak_12375_lociStitched	chr2	25623656	25645465	3	10652	24818.642	3456.7265	276	DTNB		DNMT3A	276	1
2_MACS_peak_18608_lociStitched	chr5	1335259	1346360	2	8485	35597.5767	2053.685	278	CLPTM1L	TERT	CLPTM1L	278	1
2_MACS_peak_18496_lociStitched	chr4	185201172	185210928	2	8684	34590.8736	2007.7848	279			ENPP6	279	1
3_MACS_peak_18748_lociStitched	chr5	32530536	32544143	3	11196	18663.3612	2775.828	280		SUB1	SUB1	280	1
3_MACS_peak_17151_lociStitched	chr3	169655421	169668098	3	11232	17897.3886	2991.772	283	SAMD7,LOC100128164	SEC62	LOC100128164	283	1
2_MACS_peak_2313_lociStitched	chr1	230238427	230249394	2	10939	20446.8748	2692.3985	284	GALNT2		GALNT2	284	1
2_MACS_peak_21580_lociStitched	chr7	26002461	26011620	2	8832	33427.6023	2095.5792	285		MIR148A	MIR148A	285	1
1_MACS_peak_9378_lociStitched	chr17	6063159	6071603	1	8445	34472.63	1489.5216	286			WSCD1	286	1
2_MACS_peak_14676_lociStitched	chr20	43270428	43282197	2	10577	22296.3705	2439.7137	289	ADA	LOC79015	ADA	289	1
3_MACS_peak_20020_lociStitched	chr6	11713967	11733934	3	10858	20006.934	2831.3206	290	C6orf105		C6orf105	290	1
2_MACS_peak_16245_lociStitched	chr3	46245890	46257129	2	10004	26123.9316	2200.5962	291	CCR1	CCR3	CCR1	291	1
2_MACS_peak_15445_lociStitched	chr22	27004574	27015135	2	10426	22412.5542	1830.2213	292	CRYBB1	CRYBA4,MIAT,TPST2	CRYBB1	292	1
4_MACS_peak_11128_lociStitched	chr19	1258600	1277364	4	10123	26359.6672	3673.9912	293	MIDN,CIRBP,C19orf24,C19orf23	ATP5D,EFNA2,C19orf26	CIRBP	293	1
2_MACS_peak_23640_lociStitched	chr8	137189277	137201302	2	10876	18051.93	2227.03	294			KHDRBS3	294	1
4_MACS_peak_3116_lociStitched	chr10	81946483	81966250	4	10776	20085.2487	3225.9744	295	ANXA11		ANXA11	295	1
4_MACS_peak_21085_lociStitched	chr6	135323100	135343842	4	10681	20876.823	3221.2326	296	HBS1L	MIR3662,HBS1L	MIR3662	296	1
2_MACS_peak_6636_lociStitched	chr13	115039525	115048679	2	8461	33356.2606	1766.722	297	UPF3A	CDC16,ZNF828	UPF3A	297	1
1_MACS_peak_4040_lociStitched	chr11	58340138	58347892	1	7755	36117.3566	1783.42	298	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	298	1
2_MACS_peak_19366_lociStitched	chr5	131790522	131804246	2	10691	20310.1476	3060.452	300	C5orf56	IRF1	IRF1	300	1
2_MACS_peak_17229_lociStitched	chr3	178230328	178241121	2	10553	20780.8422	2438.1387	301		KCNMB2	KCNMB2	301	1
3_MACS_peak_22978_lociStitched	chr8	29465171	29482530	3	10869	17376.359	2357.3522	302			C8orf75	302	1
2_MACS_peak_2026_lociStitched	chr1	206727916	206738849	2	10669	20022.6962	2841.4867	303	RASSF5	LGTN	RASSF5	303	1
2_MACS_peak_4662_lociStitched	chr11	115125174	115137372	2	10063	23792.199	1900.4484	306	CADM1		CADM1	306	1
1_MACS_peak_20538_lociStitched	chr6	45673950	45683988	1	10039	23704.737	1744.6044	307			RUNX2	307	1
4_MACS_peak_21951_lociStitched	chr7	74057294	74076811	4	10474	20543.5942	3030.9901	310	GTF2I		GTF2I	310	1
3_MACS_peak_13503_lociStitched	chr2	157188153	157207753	3	8679	31673.6	2399.04	311	NR4A2		NR4A2	311	1
5_MACS_peak_19114_lociStitched	chr5	87954731	87976691	5	9923	25034.4	3179.808	312	LOC645323,MIR9-2		MIR9-2	312	1
4_MACS_peak_9569_lociStitched	chr17	20204689	20221787	4	10530	18648.7886	2062.0188	313	SPECC1	CCDC144C	CCDC144C	313	1
4_MACS_peak_4102_lociStitched	chr11	62308118	62325812	4	10766	16896.0006	3103.5276	314	AHNAK	EEF1G,TUT1,MTA2	AHNAK	314	1
2_MACS_peak_17452_lociStitched	chr3	196358099	196371332	2	10172	22489.4835	3051.5298	316	LRRC33		LRRC33	316	1
3_MACS_peak_22200_lociStitched	chr7	101921934	101935690	3	10304	20508.8204	2232.5988	317	CUX1,SH2B2	MIR4285	SH2B2	317	1
4_MACS_peak_15699_lociStitched	chr22	39910788	39929654	4	10232	22578.8288	3695.8494	318	SMCR7L,ATF4,RPS19BP1	MGAT3,CACNA1I	ATF4	318	1
3_MACS_peak_7953_lociStitched	chr15	75352740	75370880	3	10700	16837.548	2958.634	320		PPCDC	PPCDC	320	1
2_MACS_peak_19448_lociStitched	chr5	138719847	138730374	2	9668	25664.826	2605.4325	321	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	321	1
2_MACS_peak_7807_lociStitched	chr15	65173728	65189018	2	8969	29537.222	2428.052	323		PLEKHO2,ANKDD1A	ANKDD1A	323	1
3_MACS_peak_14376_lociStitched	chr20	17826267	17840411	3	10610	16534.336	2227.68	324			SNORD17	324	1
5_MACS_peak_4961_lociStitched	chr12	6552080	6580895	5	10431	20977.32	4812.105	325	CD27,TAPBPL,LOC678655,VAMP1	NCAPD2,SCARNA10,MRPL51	TAPBPL	325	1
3_MACS_peak_16810_lociStitched	chr3	125548289	125560797	3	10102	21343.6512	2222.6716	326		MIR548I1	MIR548I1	326	1
2_MACS_peak_17361_lociStitched	chr3	186779967	186792389	2	8734	31560.5754	3746.4752	328	ST6GAL1		ST6GAL1	328	1
2_MACS_peak_22323_lociStitched	chr7	114561724	114574079	2	8444	32056.283	3130.757	331	MDFIC		MDFIC	331	1
1_MACS_peak_20534_lociStitched	chr6	45386651	45395738	1	9088	27066.5382	1524.7986	332	RUNX2	SUPT3H	RUNX2	332	1
5_MACS_peak_4164_lociStitched	chr11	64611165	64634362	5	10415	18483.3696	3328.7695	333	CDC42BPG,EHD1	MAP4K2,MEN1,MIR192,MIR194-2	CDC42BPG	333	1
4_MACS_peak_19595_lociStitched	chr5	150459382	150475825	4	10351	18726.9327	3033.7335	335	TNIP1	ANXA6	TNIP1	335	1
2_MACS_peak_13848_lociStitched	chr2	202116329	202128230	2	9405	25714.4907	2413.5228	338	CASP8		CASP8	338	1
3_MACS_peak_20477_lociStitched	chr6	42737757	42752387	3	8372	30856.133	2134.517	341		LOC442211,KIAA0240,PRPH2,TBCC	TBCC	341	1
1_MACS_peak_8154_lociStitched	chr15	90637206	90646597	1	9392	24871.1244	1894.1647	342	IDH2		IDH2	342	1
4_MACS_peak_1804_lociStitched	chr1	183865248	183885945	4	10231	20810.8335	4752.0312	345	RGL1		GLT25D2	345	1
3_MACS_peak_2789_lociStitched	chr10	43890709	43905812	3	9167	26381.9204	2111.3994	347	HNRNPF	FXYD4,ZNF487P	HNRNPF	347	1
3_MACS_peak_5606_lociStitched	chr12	68752083	68770562	3	9967	21023.5583	3043.4913	351		MDM1	MDM1	351	1
4_MACS_peak_9142_lociStitched	chr16	81841884	81857631	4	10155	17529.5604	1365.2649	352	PLCG2		PLCG2	352	1
2_MACS_peak_22720_lociStitched	chr8	1990697	2000192	2	7173	34909.317	1855.323	354	MYOM2		MYOM2	354	1
4_MACS_peak_24871_lociStitched	chrX	10065422	10091062	4	10283	16327.552	2266.576	355	WWC3	CLCN4	CLCN4	355	1
1_MACS_peak_7855_lociStitched	chr15	68568753	68578715	1	9963	19188.8044	1915.6926	357	FEM1B	CLN6	FEM1B	357	1
1_MACS_peak_12963_lociStitched	chr2	86220131	86228957	1	8827	26897.235	1721.9526	359		LOC90784	LOC90784	359	1
2_MACS_peak_15639_lociStitched	chr22	38782558	38795740	2	10160	17037.735	2173.7118	360	LOC400927	KCNJ4	LOC400927	360	1
4_MACS_peak_12752_lociStitched	chr2	64862718	64882843	4	10175	17846.85	3167.675	361	SERTAD2	LOC339807	SERTAD2	361	1
2_MACS_peak_14066_lociStitched	chr2	231729574	231739480	2	9853	18970.9806	1095.6036	362	ITM2C		ITM2C	362	1
3_MACS_peak_25545_lociStitched	chrX	153233745	153252437	3	9407	22899.5692	1538.3516	363	TMEM187,MIR3202-1,HCFC1,MIR3202-2	ARHGAP4,NAA10,RENBP,IRAK1,MIR718	MIR3202-1	363	1
2_MACS_peak_1440_lociStitched	chr1	154755641	154766029	2	9258	25042.3516	2862.9328	365	KCNN3		KCNN3	365	1
1_MACS_peak_18504_lociStitched	chr4	185301131	185307801	1	6671	35321.652	1575.454	367			IRF2	367	1
2_MACS_peak_25176_lociStitched	chrX	58149562	58159731	2	9509	20284.1043	854.196	369			ZXDA	369	1
2_MACS_peak_15384_lociStitched	chr22	23477970	23488808	2	9609	20608.457	2068.9742	371	RAB36,RTDR1	BCR	RTDR1	371	1
1_MACS_peak_20861_lociStitched	chr6	106609473	106617547	1	8075	29739.7716	1843.2942	372			PRDM1	372	1
3_MACS_peak_10455_lociStitched	chr17	76139640	76152461	3	9106	24190.6628	2098.7977	373	C17orf99	TMC8,SYNGR2,AFMID,TMC6,TK1	C17orf99	373	1
5_MACS_peak_9397_lociStitched	chr17	7136543	7156602	5	9754	20255.5782	3472.2129	378	C17orf81,DVL2,PHF23,GABARAP,CTDNEP1	ACADVL,SLC2A4,DLG4,MIR324,CLDN7,YBX2	GABARAP	378	1
3_MACS_peak_19751_lociStitched	chr5	171601103	171616049	3	10020	16539.2436	2640.9582	379	STK10	EFCAB9	STK10	379	1
1_MACS_peak_4072_lociStitched	chr11	60602555	60612477	1	9923	16755.2814	1956.6184	381	CCDC86	MS4A10,ZP1,GPR44	CCDC86	381	1
4_MACS_peak_12736_lociStitched	chr2	64430470	64456389	4	9782	19898.0163	3859.3391	382	LOC150992		LOC150992	382	1
4_MACS_peak_12122_lociStitched	chr19	56145986	56167702	4	9638	20871.2476	3641.7732	384	ZNF580,ZNF581,CCDC106,U2AF2	ZNF524,ZNF865,EPN1,FIZ1,ZNF784	ZNF581	384	1
2_MACS_peak_1398_lociStitched	chr1	152006526	152021751	2	9406	22842.0675	3937.185	385	S100A11	S100A10,TCHHL1	S100A11	385	1
2_MACS_peak_20859_lociStitched	chr6	106585320	106595894	2	9171	22812.3476	2128.5462	386		PRDM1	PRDM1	386	1
2_MACS_peak_10513_lociStitched	chr17	78873546	78887055	2	7893	29506.3578	1712.9412	387	RPTOR		CHMP6	387	1
4_MACS_peak_20357_lociStitched	chr6	33537619	33558808	4	9574	20568.1623	3386.0022	390	GGNBP1,BAK1,C6orf227	ITPR3	BAK1	390	1
1_MACS_peak_278_lociStitched	chr1	23850479	23858629	1	8151	28310.655	1854.125	391	E2F2	ASAP3,ID3	E2F2	391	1
1_MACS_peak_2730_lociStitched	chr10	30989205	30996926	1	7722	29886.4468	1516.4044	392			LYZL2	392	1
4_MACS_peak_12828_lociStitched	chr2	70335194	70360814	4	8958	25386.858	3807.132	393	LOC100133985	PCBP1,LOC400960	LOC100133985	393	1
3_MACS_peak_321_lociStitched	chr1	25346939	25364367	3	9011	23440.66	2462.5764	397			RUNX3	397	1
3_MACS_peak_4301_lociStitched	chr11	67760369	67778614	3	9538	19879.752	3203.822	398	ALDH3B1,UNC93B1	NDUFS8,TCIRG1	UNC93B1	398	1
3_MACS_peak_24403_lociStitched	chr9	112669058	112683122	3	9212	21630.432	2264.304	399	PALM2,PALM2-AKAP2		PALM2	399	1
1_MACS_peak_13018_lociStitched	chr2	89048937	89057540	1	8604	25148.2896	1703.394	400	RPIA	ANKRD36BP2	ANKRD36BP2	400	1
3_MACS_peak_3013_lociStitched	chr10	74006840	74024538	3	9520	19428.8644	2748.4994	403		ANAPC16,DDIT4,ASCC1	DDIT4	403	1
4_MACS_peak_15880_lociStitched	chr22	50962755	50983647	4	9283	21209.5584	2536.2888	404	NCAPH2,SCO2,TYMP,ODF3B	ADM2,MIOX,KLHDC7B,LOC100144603,SBF1,LMF2,C22orf41,CPT1B,CHKB	ODF3B	404	1
2_MACS_peak_22633_lociStitched	chr7	150101089	150113764	2	7547	31755.945	3325.92	407	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	407	1
4_MACS_peak_3632_lociStitched	chr11	789035	811145	4	9609	17621.67	2728.374	410	RPLP2,CEND1,SLC25A22,LRDD	TALDO1,SNORA52,PNPLA2,EFCAB4A,CD151,TSPAN4,PDDC1,POLR2L	SLC25A22	410	1
3_MACS_peak_1819_lociStitched	chr1	184710816	184725593	3	9592	18777.1339	3710.5047	411	EDEM3		EDEM3	411	1
2_MACS_peak_9337_lociStitched	chr17	4268168	4281399	2	9281	19816.0687	1979.3576	412	UBE2G1		UBE2G1	412	1
2_MACS_peak_15117_lociStitched	chr21	37905187	37917072	2	8571	25754.795	2898.7515	413	CLDN14		CLDN14	413	1
2_MACS_peak_1999_lociStitched	chr1	205248270	205258843	2	8779	24435.2603	3002.732	414		NUAK2	NUAK2	414	1
3_MACS_peak_14783_lociStitched	chr20	50015560	50032413	3	9403	18925.919	2578.509	415	NFATC2	MIR3194	MIR3194	415	1
2_MACS_peak_6616_lociStitched	chr13	114581508	114594694	2	9050	21427.25	2136.132	416	FLJ44054	GAS6	FLJ44054	416	1
2_MACS_peak_2315_lociStitched	chr1	230256520	230270036	2	7766	29756.8256	2903.2368	417	GALNT2		GALNT2	417	1
3_MACS_peak_4796_lociStitched	chr11	126173131	126189653	3	9599	17141.575	3002.0474	419	DCPS	FOXRED1,TIRAP,ST3GAL4,SRPR,FLJ39051	DCPS	419	1
2_MACS_peak_17899_lociStitched	chr4	71542032	71555123	2	9348	18750.2393	2190.1243	421	UTP3	ENAM,RUFY3,IGJ	UTP3	421	1
3_MACS_peak_11350_lociStitched	chr19	10329594	10347968	3	9349	19478.2774	2983.9376	422	MIR4322,S1PR2	MRPL4,ICAM1,ICAM4,DNMT1	MIR4322	422	1
2_MACS_peak_17749_lociStitched	chr4	38124207	38136348	2	8971	21455.5752	1901.2806	424	TBC1D1		PTTG2	424	1
2_MACS_peak_22930_lociStitched	chr8	26428255	26437465	2	8184	26172.057	1880.682	428	DPYSL2		DPYSL2	428	1
2_MACS_peak_15646_lociStitched	chr22	39095231	39103968	2	7694	28503.5888	1802.4431	429	GTPBP1,JOSD1	CBY1,TOMM22,LOC646851,SUN2	GTPBP1	429	1
5_MACS_peak_4374_lociStitched	chr11	72950436	72964427	5	8974	20926.3387	1775.4579	430		P2RY2,P2RY6	P2RY6	430	1
4_MACS_peak_8195_lociStitched	chr15	93346246	93364341	4	8698	23997.589	2893.3905	431		ASB9P1	ASB9P1	431	1
2_MACS_peak_9217_lociStitched	chr16	89033504	89046053	2	8507	23119.0227	1025.2533	433	CBFA2T3	CBFA2T3	CBFA2T3	433	1
2_MACS_peak_1521_lociStitched	chr1	156709516	156722766	2	9510	17421.1	3600.025	434	MRPL24,HDGF	C1orf66,PRCC,CRABP2,ISG20L2	MRPL24	434	1
2_MACS_peak_24675_lociStitched	chr9	132646258	132657704	2	7722	28189.2088	1998.4716	435	FNBP1	USP20,C9orf78	USP20	435	1
1_MACS_peak_7952_lociStitched	chr15	75334422	75341714	1	7293	29927.0972	1865.2936	437	PPCDC	SCAMP5	PPCDC	437	1
2_MACS_peak_23655_lociStitched	chr8	142126366	142140685	2	9020	20069.5104	2325.4056	443	DENND3		DENND3	443	1
1_MACS_peak_17215_lociStitched	chr3	176911622	176920839	1	9218	17785.1232	2466.4692	445	TBL1XR1		TBL1XR1	445	1
1_MACS_peak_3934_lociStitched	chr11	35159774	35169052	1	9279	16349.6916	2253.6262	447	CD44		CD44	447	1
4_MACS_peak_11519_lociStitched	chr19	16545092	16561452	4	9159	17901.112	2705.944	448	EPS15L1	C19orf44,CALR3	EPS15L1	448	1
3_MACS_peak_20430_lociStitched	chr6	37121924	37140494	3	8995	19095.531	2453.097	449	PIM1		PIM1	449	1
3_MACS_peak_10436_lociStitched	chr17	75435095	75447516	3	8319	23242.1752	1659.4456	450	SEPT9	SEPT9,MIR4316	SEPT9	450	1
2_MACS_peak_17411_lociStitched	chr3	194022337	194034282	2	6746	31767.7275	2675.68	452	LOC100131551	CPN2	LOC100131551	452	1
2_MACS_peak_9390_lociStitched	chr17	6915028	6926338	2	7136	29487.432	1976.988	453	RNASEK,C17orf49,MIR195,MIR497	ALOX12,BCL6B,SLC16A13,SLC16A11	MIR195	453	1
3_MACS_peak_17472_lociStitched	chr3	197450217	197464921	3	8332	24442.4592	3346.6304	456	KIAA0226	FYTTD1,MIR922	KIAA0226	456	1
4_MACS_peak_11162_lociStitched	chr19	2041034	2062882	4	8930	20644.1752	4006.9232	457	MKNK2	IZUMO4,BTBD2,MOBKL2A	MKNK2	457	1
1_MACS_peak_2914_lociStitched	chr10	63803283	63812313	1	9031	17119.977	1632.624	459	ARID5B		ARID5B	459	1
1_MACS_peak_1863_lociStitched	chr1	192542416	192551558	1	9143	16707.9192	2386.062	460	RGS1		RGS1	460	1
3_MACS_peak_11113_lociStitched	chr19	1015275	1029461	3	9088	16966.456	2926.5718	466	CNN2,C19orf6	WDR18,GRIN3B,ABCA7,HMHA1	C19orf6	466	1
1_MACS_peak_5832_lociStitched	chr12	102870406	102879284	1	8879	17444.3822	1722.332	469	IGF1		IGF1	469	1
