REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MOLP.8.jin.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
4_MACS_peak_8458_lociStitched	chr15	93351191	93356108	4	3914	11068.167	226	1		ASB9P1	ASB9P1	226	1
3_MACS_peak_23384_lociStitched	chr8	1424670	1428860	3	3903	11069.98	227	1		DLGAP2	DLGAP2	227	1
1_MACS_peak_6546_lociStitched	chr13	50697248	50700680	1	3433	17965.8336	228	1	DLEU2	DLEU1,ST13P4	DLEU2	228	1
4_MACS_peak_2750_lociStitched	chr10	5930749	5935208	4	3866	11127.8804	230	1	FBXO18,ANKRD16	FBXO18	FBXO18	230	1
4_MACS_peak_12521_lociStitched	chr19	39339584	39343955	4	3858	11055.1332	231	1	HNRNPL	NFKBIB,LGALS4,ECH1,RINL,SIRT2	HNRNPL	231	1
3_MACS_peak_18235_lociStitched	chr3	197460713	197464581	3	3750	12918.3464	233	1	KIAA0226	FYTTD1	KIAA0226	233	1
3_MACS_peak_131_lociStitched	chr1	6660699	6664637	3	3778	12387.3728	234	1	KLHL21	TAS1R1,ZBTB48,PHF13,THAP3,NOL9	KLHL21	234	1
5_MACS_peak_20724_lociStitched	chr6	26122624	26127099	5	3823	10943.6125	236	1	HIST1H2AC,HIST1H2BC	HFE,HIST1H4C,HIST1H1E,HIST1H2BD,HIST1H1T	HIST1H2AC	236	1
3_MACS_peak_10587_lociStitched	chr17	48585234	48589322	3	3720	12190.8248	239	1	MYCBPAP	RSAD1,EPN3,SPATA20,CACNA1G,CHAD	MYCBPAP	239	1
2_MACS_peak_6250_lociStitched	chr12	133024352	133028367	2	3635	13567.0865	241	1		FBRSL1	FBRSL1	241	1
1_MACS_peak_19147_lociStitched	chr4	185202236	185205834	1	3599	14028.9618	243	1			ENPP6	243	1
2_MACS_peak_2239_lociStitched	chr1	206135288	206139094	2	3450	15956.2744	245	1	FAM72A		FAM72A	245	1
3_MACS_peak_2723_lociStitched	chr10	3824727	3828451	3	3508	15114.5988	246	1	KLF6		KLF6	246	1
1_MACS_peak_1472_lociStitched	chr1	149222291	149225458	1	3168	18894.0053	250	1			LOC388692	250	1
1_MACS_peak_4128_lociStitched	chr11	62321859	62325599	1	3741	11092.092	251	1		AHNAK,EEF1G,TUT1,MTA2	AHNAK	251	1
2_MACS_peak_12518_lociStitched	chr19	39173610	39177524	2	3714	11415.5724	253	1	ACTN4		ACTN4	253	1
3_MACS_peak_16456_lociStitched	chr22	35520065	35524214	3	3731	11034.2655	255	1			ISX	255	1
2_MACS_peak_22023_lociStitched	chr7	2195589	2199275	2	3545	13823.9744	257	1	MAD1L1		MAD1L1	257	1
3_MACS_peak_12605_lociStitched	chr19	41768472	41772359	3	3469	14838.6225	258	1	HNRNPUL1	AXL,CCDC97	HNRNPUL1	258	1
5_MACS_peak_15109_lociStitched	chr20	3824157	3828515	5	3647	11567.0036	263	1	MAVS	CDC25B,C20orf29,PANK2	MAVS	263	1
3_MACS_peak_2928_lociStitched	chr10	22764992	22769154	3	3607	12139.7216	267	1		LOC100499489	LOC100499489	267	1
2_MACS_peak_25168_lociStitched	chr9	117146991	117150823	2	3625	11750.828	270	1	AKNA		AKNA	270	1
3_MACS_peak_1492_lociStitched	chr1	149802056	149805472	3	3381	15436.904	271	1	HIST2H4B	FCGR1A,HIST2H2BF,HIST2H3D,HIST2H3A,HIST2H2AA4,HIST2H2BC	HIST2H4B	271	1
2_MACS_peak_2638_lociStitched	chr1	245132749	245136119	2	3141	18173.736	272	1	EFCAB2		EFCAB2	272	1
2_MACS_peak_1975_lociStitched	chr1	174967749	174971357	2	3179	17736.928	273	1	CACYBP	MRPS14	CACYBP	273	1
1_MACS_peak_21802_lociStitched	chr6	152128014	152131380	1	3367	15441.525	276	1	ESR1		ESR1	276	1
3_MACS_peak_20658_lociStitched	chr6	16759797	16763792	3	3472	13354.8855	284	1	ATXN1		ATXN1	284	1
4_MACS_peak_20126_lociStitched	chr5	142781566	142785574	4	3583	11200.7568	287	1	NR3C1		NR3C1	287	1
3_MACS_peak_6673_lociStitched	chr13	99174761	99178356	3	3542	11927.491	288	1	STK24	STK24	STK24	288	1
2_MACS_peak_11072_lociStitched	chr17	77810088	77813849	2	3543	11694.0773	291	1	CBX4	CBX8	CBX4	291	1
3_MACS_peak_14300_lociStitched	chr2	128585789	128589448	3	3534	11852.9646	292	1		WDR33,POLR2D	WDR33	292	1
3_MACS_peak_4725_lociStitched	chr11	111247264	111251082	3	3540	11685.3708	296	1	POU2AF1		POU2AF1	296	1
3_MACS_peak_23644_lociStitched	chr8	29629993	29633601	3	3527	11872.4848	297	1		C8orf75	C8orf75	297	1
4_MACS_peak_9904_lociStitched	chr17	8149714	8153372	4	3552	11278.7114	300	1	PFAS,C17orf68	RANGRF,AURKB,C17orf44,SLC25A35	C17orf68	300	1
1_MACS_peak_2015_lociStitched	chr1	179799447	179802804	1	3358	14347.818	301	1		TOR1AIP1,TOR1AIP2	TOR1AIP2	301	1
2_MACS_peak_24042_lociStitched	chr8	98655115	98658722	2	3460	12535.7678	305	1	MTDH		MTDH	305	1
2_MACS_peak_1505_lociStitched	chr1	149831306	149834676	2	3241	15584.902	306	1	HIST2H4B	HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H3A,HIST2H2AA4,HIST2H2BC,HIST2H2BE,HIST2H2AB	HIST2H2BC	306	1
2_MACS_peak_19164_lociStitched	chr4	185393382	185397016	2	3350	13990.1732	310	1	IRF2		IRF2	310	1
3_MACS_peak_5162_lociStitched	chr12	12875849	12879436	3	3230	15117.7702	314	1	APOLD1	CDKN1B,MIR613,GPR19	APOLD1	314	1
4_MACS_peak_21330_lociStitched	chr6	86351625	86355553	4	3383	12612.0224	320	1	SYNCRIP	SNX14,SYNCRIP,SNORD50A,SNORD50B,SNHG5	SYNCRIP	320	1
3_MACS_peak_9742_lociStitched	chr17	2302487	2306015	3	3421	11977.56	321	1	MNT	LOC284009	MNT	321	1
3_MACS_peak_2889_lociStitched	chr10	17269133	17272619	3	3294	13511.3874	326	1	VIM	TRDMT1	VIM	326	1
2_MACS_peak_8902_lociStitched	chr16	19124078	19127535	2	3426	11096.97	328	1	ITPRIPL2	COQ7	ITPRIPL2	328	1
2_MACS_peak_9378_lociStitched	chr16	70770341	70773692	2	3231	13875.4857	335	1	VAC14	LOC100130894	LOC100130894	335	1
3_MACS_peak_20827_lociStitched	chr6	27804440	27807782	3	3280	13053.5178	339	1	HIST1H2BN,HIST1H2AK	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H4J,HIST1H2AL,HIST1H2BL,HIST1H2AJ,HIST1H4K,HIST1H1B,HIST1H3I,HIST1H4L	HIST1H2AK	339	1
3_MACS_peak_16280_lociStitched	chr22	24185672	24189047	3	3360	11629.9125	345	1		SLC2A11,MIF,DERL3	DERL3	345	1
3_MACS_peak_1660_lociStitched	chr1	154945398	154948847	3	3218	13659.0747	349	1	CKS1B,MIR4258,SHC1	FLAD1,LENEP,ZBTB7B,PMVK,PBXIP1,PYGO2,SHC1	CKS1B	349	1
3_MACS_peak_12196_lociStitched	chr19	16434374	16438096	3	3363	11199.8702	350	1	KLF2		KLF2	350	1
1_MACS_peak_15831_lociStitched	chr21	11168409	11171540	1	3132	14594.5303	352	1			BAGE	352	1
1_MACS_peak_819_lociStitched	chr1	51442001	51445165	1	3165	14168.7084	353	1		CDKN2C,FAF1	CDKN2C	353	1
2_MACS_peak_19668_lociStitched	chr5	76011060	76014431	2	3340	11354.8764	355	1	F2R	NCRUPAR	F2R	355	1
3_MACS_peak_13318_lociStitched	chr2	10260472	10263948	3	3294	12017.5748	356	1	RRM2	C2orf48,CYS1	RRM2	356	1
2_MACS_peak_21602_lociStitched	chr6	119668784	119672127	2	3316	11543.379	359	1	MAN1A1		MAN1A1	359	1
2_MACS_peak_21277_lociStitched	chr6	73329554	73333343	2	3340	10924.0659	362	1	KCNQ5		KCNQ5	362	1
1_MACS_peak_2490_lociStitched	chr1	229476492	229479702	1	3211	12796.986	363	1	C1orf96	SPHAR	C1orf96	363	1
1_MACS_peak_21704_lociStitched	chr6	139694128	139697420	1	3293	11115.438	372	1	CITED2		CITED2	372	1
1_MACS_peak_7804_lociStitched	chr15	40985443	40988409	1	2967	15337.7792	378	1	RAD51		RAD51	378	1
2_MACS_peak_15456_lociStitched	chr20	42378578	42381966	2	3159	12721.94	386	1		GTSF1L	GTSF1L	386	1
1_MACS_peak_24839_lociStitched	chr9	73033216	73036323	1	3108	13356.6823	387	1		KLF9	KLF9	387	1
3_MACS_peak_21551_lociStitched	chr6	111803028	111806560	3	3224	11544.342	390	1	LOC643749,REV3L		LOC643749	390	1
3_MACS_peak_35_lociStitched	chr1	1446304	1449594	3	3242	11091.577	393	1	ATAD3A	ATAD3B,C1orf70	ATAD3A	393	1
2_MACS_peak_7178_lociStitched	chr14	64969642	64972785	2	3078	13235.173	401	1	ZBTB1,ZBTB25	AKAP5,HSPA2,C14orf50	ZBTB1	401	1
1_MACS_peak_1640_lociStitched	chr1	154579487	154582534	1	3048	13218.4954	410	1	ADAR	CHRNB2,UBE2Q1,ADAR	ADAR	410	1
2_MACS_peak_1902_lociStitched	chr1	167188915	167192024	2	2913	14820.2921	414	1	POU2F1		POU2F1	414	1
2_MACS_peak_21396_lociStitched	chr6	91004346	91007436	2	3076	12660.039	415	1	BACH2		BACH2	415	1
3_MACS_peak_4859_lociStitched	chr11	122932045	122936111	3	3145	11422.6138	418	1	HSPA8	LOC341056	HSPA8	418	1
2_MACS_peak_2636_lociStitched	chr1	245025724	245028690	2	2939	14267.0532	421	1	HNRNPU	FAM36A,NCRNA00201	HNRNPU	421	1
3_MACS_peak_19916_lociStitched	chr5	126111401	126114760	3	3055	12048.0612	433	1	LMNB1		LMNB1	433	1
3_MACS_peak_815_lociStitched	chr1	51433693	51436948	3	3039	12201.693	435	1	CDKN2C	FAF1	CDKN2C	435	1
2_MACS_peak_5284_lociStitched	chr12	31476501	31479740	2	3110	11023.2887	437	1	FLJ13224,FAM60A		FLJ13224	437	1
2_MACS_peak_4257_lociStitched	chr11	65148019	65151047	2	3005	12243.718	448	1	SLC25A45	DPF2,TIGD3,FRMD8,NEAT1	SLC25A45	448	1
2_MACS_peak_24067_lociStitched	chr8	101962898	101965994	2	3040	11695.7592	449	1	YWHAZ	YWHAZ	YWHAZ	449	1
2_MACS_peak_18952_lociStitched	chr4	129731056	129734118	2	3051	11468.721	451	1	PHF17		PHF17	451	1
2_MACS_peak_17765_lociStitched	chr3	135913520	135916544	2	2981	12004.6752	464	1	MSL2	MSL2	MSL2	464	1
2_MACS_peak_25058_lociStitched	chr9	100744873	100747904	2	2981	11896.3719	467	1	ANP32B	HEMGN	ANP32B	467	1
2_MACS_peak_16862_lociStitched	chr3	9437593	9440715	2	2954	11180.5064	493	1	SETD5,LOC440944	THUMPD3	LOC440944	493	1
