GENE_ID	locusLine	bin_1_11_0EWX_0229Kronos_MM1S-No-Treatment-1_H3K27Ac_hs-dm_i20.bam
2_MACS_peak_3853_lociStitched	chr10(.):98046098-98050982	2.9098
1_MACS_peak_3855_lociStitched	chr10(.):98345271-98348350	2.3279
1_MACS_peak_3856_lociStitched	chr10(.):98479530-98481542	1.053
1_MACS_peak_3857_lociStitched	chr10(.):98507264-98508802	1.0741
1_MACS_peak_3858_lociStitched	chr10(.):98517608-98518885	0.7878
1_MACS_peak_3859_lociStitched	chr10(.):98590931-98593361	2.1021
1_MACS_peak_3860_lociStitched	chr10(.):98681187-98681809	0.4831
1_MACS_peak_3861_lociStitched	chr10(.):98916866-98918735	1.4062
1_MACS_peak_3862_lociStitched	chr10(.):98977382-98978878	0.9225
1_MACS_peak_3863_lociStitched	chr10(.):99051337-99052851	2.502
1_MACS_peak_3864_lociStitched	chr10(.):99078221-99080607	3.5235
1_MACS_peak_3865_lociStitched	chr10(.):99093769-99095385	4.1463
5_MACS_peak_3866_lociStitched	chr10(.):99159181-99187653	0.966
1_MACS_peak_3871_lociStitched	chr10(.):99203830-99206621	1.4819
2_MACS_peak_3872_lociStitched	chr10(.):99223167-99229777	1.0026
1_MACS_peak_3874_lociStitched	chr10(.):99257016-99259086	3.9752
1_MACS_peak_3875_lociStitched	chr10(.):99314231-99316103	1.2484
2_MACS_peak_3876_lociStitched	chr10(.):99392458-99401337	0.4053
1_MACS_peak_3878_lociStitched	chr10(.):99446250-99447910	0.7271
1_MACS_peak_3879_lociStitched	chr10(.):99496209-99497982	1.8065
1_MACS_peak_3880_lociStitched	chr10(.):99892184-99895575	3.8554
2_MACS_peak_3881_lociStitched	chr10(.):100013153-100019850	0.5951
1_MACS_peak_3883_lociStitched	chr10(.):100098699-100102195	4.2977
2_MACS_peak_3884_lociStitched	chr10(.):100170662-100175552	0.8743
1_MACS_peak_3886_lociStitched	chr10(.):100205502-100207341	2.3139
1_MACS_peak_3887_lociStitched	chr10(.):100395991-100397843	0.9144
1_MACS_peak_3888_lociStitched	chr10(.):100654090-100655120	0.6435
1_MACS_peak_3889_lociStitched	chr10(.):101189333-101191841	3.3867
1_MACS_peak_3890_lociStitched	chr10(.):101315208-101316628	0.7837
1_MACS_peak_3891_lociStitched	chr10(.):101378320-101382160	4.3321
1_MACS_peak_3892_lociStitched	chr10(.):101418622-101420048	0.9669
1_MACS_peak_3893_lociStitched	chr10(.):101491016-101493277	3.9659
1_MACS_peak_3894_lociStitched	chr10(.):101600125-101600872	0.4983
1_MACS_peak_3895_lociStitched	chr10(.):101773600-101774826	0.704
1_MACS_peak_3896_lociStitched	chr10(.):101944573-101946956	2.0791
1_MACS_peak_3897_lociStitched	chr10(.):101988463-101990013	1.1161
1_MACS_peak_3898_lociStitched	chr10(.):102026523-102028303	1.8556
1_MACS_peak_3899_lociStitched	chr10(.):102045131-102047240	2.5408
1_MACS_peak_3900_lociStitched	chr10(.):102085858-102088318	3.279
2_MACS_peak_3901_lociStitched	chr10(.):102098132-102107908	0.6867
1_MACS_peak_3903_lociStitched	chr10(.):102129323-102134886	3.8402
2_MACS_peak_3904_lociStitched	chr10(.):102287991-102296369	0.9723
1_MACS_peak_3906_lociStitched	chr10(.):102455718-102457123	0.5713
1_MACS_peak_3907_lociStitched	chr10(.):102671816-102673539	2.0721
1_MACS_peak_3908_lociStitched	chr10(.):102746327-102748320	1.5112
1_MACS_peak_3909_lociStitched	chr10(.):102756191-102759377	2.0444
1_MACS_peak_3910_lociStitched	chr10(.):102801947-102803359	0.8016
2_MACS_peak_3911_lociStitched	chr10(.):102819529-102828020	1.9204
1_MACS_peak_3913_lociStitched	chr10(.):103113426-103114910	1.2166
1_MACS_peak_3914_lociStitched	chr10(.):103294812-103296922	1.3044
1_MACS_peak_3915_lociStitched	chr10(.):103346985-103348685	2.3585
1_MACS_peak_3916_lociStitched	chr10(.):103453018-103455695	4.4272
1_MACS_peak_3917_lociStitched	chr10(.):103542135-103543656	1.1848
1_MACS_peak_3918_lociStitched	chr10(.):103574265-103579548	3.7866
1_MACS_peak_3919_lociStitched	chr10(.):103589460-103591377	0.9794
2_MACS_peak_3920_lociStitched	chr10(.):103727749-103734211	1.4111
1_MACS_peak_3922_lociStitched	chr10(.):103745737-103746888	0.6361
1_MACS_peak_3923_lociStitched	chr10(.):103760322-103763337	2.2105
1_MACS_peak_3924_lociStitched	chr10(.):103814935-103816577	2.3563
1_MACS_peak_3925_lociStitched	chr10(.):103824106-103826249	1.2524
2_MACS_peak_3926_lociStitched	chr10(.):103873727-103881213	0.6133
1_MACS_peak_3928_lociStitched	chr10(.):103891972-103894328	2.2742
1_MACS_peak_3929_lociStitched	chr10(.):103910553-103913756	2.7331
1_MACS_peak_3930_lociStitched	chr10(.):103928314-103930046	1.2061
1_MACS_peak_3931_lociStitched	chr10(.):103947785-103950215	3.2118
1_MACS_peak_3932_lociStitched	chr10(.):104004383-104006293	2.6147
2_MACS_peak_3933_lociStitched	chr10(.):104153075-104160017	5.2381
1_MACS_peak_3935_lociStitched	chr10(.):104179759-104183265	3.6506
1_MACS_peak_3936_lociStitched	chr10(.):104191091-104193068	1.7195
1_MACS_peak_3937_lociStitched	chr10(.):104208749-104211334	2.352
1_MACS_peak_3938_lociStitched	chr10(.):104220270-104221800	0.9691
2_MACS_peak_3939_lociStitched	chr10(.):104260922-104272218	0.6147
2_MACS_peak_3941_lociStitched	chr10(.):104401115-104413275	3.1133
1_MACS_peak_3943_lociStitched	chr10(.):104419814-104421872	1.5613
1_MACS_peak_3944_lociStitched	chr10(.):104471050-104475821	4.5955
1_MACS_peak_3945_lociStitched	chr10(.):104502638-104504923	1.4496
2_MACS_peak_3946_lociStitched	chr10(.):104531306-104543346	4.9925
1_MACS_peak_3948_lociStitched	chr10(.):104554226-104558204	6.0449
1_MACS_peak_3949_lociStitched	chr10(.):104613432-104614626	3.6308
1_MACS_peak_3950_lociStitched	chr10(.):104676616-104679078	3.5613
1_MACS_peak_3951_lociStitched	chr10(.):104812944-104815016	1.9936
1_MACS_peak_3952_lociStitched	chr10(.):104870143-104872707	1.1692
2_MACS_peak_3953_lociStitched	chr10(.):104936856-104942205	0.9649
1_MACS_peak_3955_lociStitched	chr10(.):104951647-104953403	2.1392
1_MACS_peak_3956_lociStitched	chr10(.):105095310-105097396	1.0874
1_MACS_peak_3957_lociStitched	chr10(.):105109842-105111572	1.7792
1_MACS_peak_3958_lociStitched	chr10(.):105127122-105129392	2.3199
1_MACS_peak_3959_lociStitched	chr10(.):105155118-105157615	1.6711
2_MACS_peak_3960_lociStitched	chr10(.):105210556-105219306	0.5483
1_MACS_peak_3962_lociStitched	chr10(.):105229983-105233290	8.7617
5_MACS_peak_3963_lociStitched	chr10(.):105249696-105268240	2.2269
1_MACS_peak_3968_lociStitched	chr10(.):105305021-105306077	0.5268
1_MACS_peak_3969_lociStitched	chr10(.):105338025-105339555	1.0876
1_MACS_peak_3970_lociStitched	chr10(.):105419248-105420767	0.8521
1_MACS_peak_3971_lociStitched	chr10(.):105437261-105438712	0.7762
1_MACS_peak_3972_lociStitched	chr10(.):105451444-105452948	0.6128
1_MACS_peak_3973_lociStitched	chr10(.):105517357-105518569	0.6217
1_MACS_peak_3974_lociStitched	chr10(.):105531292-105532966	0.9298
1_MACS_peak_3975_lociStitched	chr10(.):105540736-105542104	0.6783
1_MACS_peak_3976_lociStitched	chr10(.):105559646-105561491	1.4849
1_MACS_peak_3977_lociStitched	chr10(.):105653832-105655726	0.8342
3_MACS_peak_3978_lociStitched	chr10(.):105667333-105679161	0.7766
1_MACS_peak_3981_lociStitched	chr10(.):105725862-105728208	2.1841
1_MACS_peak_3982_lociStitched	chr10(.):105742275-105744242	1.4556
1_MACS_peak_3983_lociStitched	chr10(.):105879842-105882838	6.4238
1_MACS_peak_3984_lociStitched	chr10(.):105991302-105992754	0.7799
1_MACS_peak_3985_lociStitched	chr10(.):106014045-106015875	1.3762
1_MACS_peak_3986_lociStitched	chr10(.):106027334-106029693	2.1286
1_MACS_peak_3987_lociStitched	chr10(.):106059846-106061673	2.218
1_MACS_peak_3988_lociStitched	chr10(.):106096258-106099679	3.466
2_MACS_peak_3989_lociStitched	chr10(.):106108600-106113691	1.5484
1_MACS_peak_3991_lociStitched	chr10(.):106147982-106149105	0.4492
1_MACS_peak_3992_lociStitched	chr10(.):106568461-106570024	1.2746
1_MACS_peak_3993_lociStitched	chr10(.):106802686-106803439	0.4226
1_MACS_peak_3994_lociStitched	chr10(.):107261254-107262298	0.4997
1_MACS_peak_3995_lociStitched	chr10(.):107309694-107310805	0.5976
1_MACS_peak_3996_lociStitched	chr10(.):107849219-107850324	0.4724
1_MACS_peak_3997_lociStitched	chr10(.):108414427-108416677	1.0668
1_MACS_peak_3998_lociStitched	chr10(.):108596009-108597800	1.5569
1_MACS_peak_3999_lociStitched	chr10(.):108623080-108624663	1.2366
2_MACS_peak_4000_lociStitched	chr10(.):108690378-108696765	0.682
2_MACS_peak_4002_lociStitched	chr10(.):110353795-110359612	0.2772
1_MACS_peak_4004_lociStitched	chr10(.):110609492-110610408	0.4645
1_MACS_peak_4005_lociStitched	chr10(.):110821327-110823177	0.7592
3_MACS_peak_4006_lociStitched	chr10(.):111662170-111675524	0.5071
1_MACS_peak_4009_lociStitched	chr10(.):111682344-111683558	0.8975
1_MACS_peak_4010_lociStitched	chr10(.):111767410-111769053	1.0147
2_MACS_peak_4011_lociStitched	chr10(.):111827248-111837689	0.5973
4_MACS_peak_4013_lociStitched	chr10(.):111966926-111986765	2.0113
1_MACS_peak_4017_lociStitched	chr10(.):112000988-112001952	0.4488
1_MACS_peak_4018_lociStitched	chr10(.):112063338-112065873	2.1273
1_MACS_peak_4019_lociStitched	chr10(.):112104067-112105655	0.7313
2_MACS_peak_4020_lociStitched	chr10(.):112112609-112122389	10.2459
2_MACS_peak_4022_lociStitched	chr10(.):112146830-112156895	1.9076
2_MACS_peak_4024_lociStitched	chr10(.):112172429-112185418	2.2535
1_MACS_peak_4026_lociStitched	chr10(.):112201120-112202569	1.0255
2_MACS_peak_4027_lociStitched	chr10(.):112216320-112226016	6.2906
3_MACS_peak_4029_lociStitched	chr10(.):112256046-112273321	3.1936
2_MACS_peak_4032_lociStitched	chr10(.):112286924-112296378	1.0628
1_MACS_peak_4034_lociStitched	chr10(.):112326456-112329252	5.2941
1_MACS_peak_4035_lociStitched	chr10(.):112371231-112372970	1.2334
1_MACS_peak_4036_lociStitched	chr10(.):112431681-112432690	0.6372
1_MACS_peak_4037_lociStitched	chr10(.):112482821-112485319	2.5669
1_MACS_peak_4038_lociStitched	chr10(.):112493003-112494084	0.5059
1_MACS_peak_4039_lociStitched	chr10(.):112562120-112563038	0.7187
1_MACS_peak_4040_lociStitched	chr10(.):112600337-112604510	4.9253
3_MACS_peak_4041_lociStitched	chr10(.):112611866-112633043	2.3295
1_MACS_peak_4044_lociStitched	chr10(.):112677610-112681092	3.7321
1_MACS_peak_4045_lociStitched	chr10(.):112936609-112938217	0.8502
1_MACS_peak_4046_lociStitched	chr10(.):113096344-113100100	4.5017
1_MACS_peak_4047_lociStitched	chr10(.):113274982-113276867	0.7918
1_MACS_peak_4048_lociStitched	chr10(.):113942326-113944328	1.1405
1_MACS_peak_4049_lociStitched	chr10(.):114134783-114136954	2.6799
1_MACS_peak_4050_lociStitched	chr10(.):114205831-114207724	2.8273
1_MACS_peak_4051_lociStitched	chr10(.):114305749-114306635	0.4631
1_MACS_peak_4052_lociStitched	chr10(.):115141417-115142461	0.4903
1_MACS_peak_4053_lociStitched	chr10(.):115438574-115441192	3.4262
1_MACS_peak_4054_lociStitched	chr10(.):115448330-115449970	0.7769
1_MACS_peak_4055_lociStitched	chr10(.):115613187-115615518	3.6094
1_MACS_peak_4056_lociStitched	chr10(.):115719957-115722590	1.6117
1_MACS_peak_4057_lociStitched	chr10(.):115741599-115744144	3.1441
1_MACS_peak_4058_lociStitched	chr10(.):115784485-115785502	0.6043
1_MACS_peak_4059_lociStitched	chr10(.):115855074-115856775	1.0283
1_MACS_peak_4060_lociStitched	chr10(.):115932310-115935120	2.3402
1_MACS_peak_4061_lociStitched	chr10(.):116094959-116095951	0.5765
1_MACS_peak_4062_lociStitched	chr10(.):116277089-116278002	0.4543
1_MACS_peak_4063_lociStitched	chr10(.):116285687-116287371	1.7196
1_MACS_peak_4064_lociStitched	chr10(.):116514977-116516274	0.5237
1_MACS_peak_4065_lociStitched	chr10(.):116560516-116562061	1.0627
1_MACS_peak_4066_lociStitched	chr10(.):116580834-116583305	1.9853
2_MACS_peak_4067_lociStitched	chr10(.):116615701-116620068	0.7727
1_MACS_peak_4069_lociStitched	chr10(.):116697529-116698983	2.0578
1_MACS_peak_4070_lociStitched	chr10(.):116760593-116762534	1.5671
1_MACS_peak_4071_lociStitched	chr10(.):116851891-116854097	2.4975
1_MACS_peak_4072_lociStitched	chr10(.):117638798-117639957	0.6442
1_MACS_peak_4073_lociStitched	chr10(.):117691702-117694541	3.6917
1_MACS_peak_4074_lociStitched	chr10(.):118031675-118034364	0.5928
1_MACS_peak_4075_lociStitched	chr10(.):118075233-118076684	0.958
2_MACS_peak_4076_lociStitched	chr10(.):118231673-118238313	0.5118
1_MACS_peak_4078_lociStitched	chr10(.):118607313-118609949	1.2272
1_MACS_peak_4079_lociStitched	chr10(.):118763817-118765099	0.9406
1_MACS_peak_4080_lociStitched	chr10(.):119133713-119135819	1.189
1_MACS_peak_4081_lociStitched	chr10(.):119262244-119263400	0.4987
1_MACS_peak_4082_lociStitched	chr10(.):119752068-119753774	0.8174
1_MACS_peak_4083_lociStitched	chr10(.):119805253-119807061	2.616
1_MACS_peak_4084_lociStitched	chr10(.):120060362-120062175	0.6224
1_MACS_peak_4085_lociStitched	chr10(.):120091602-120092970	0.5759
1_MACS_peak_4086_lociStitched	chr10(.):120100926-120102482	1.1643
1_MACS_peak_4087_lociStitched	chr10(.):120513199-120515818	1.6437
2_MACS_peak_4088_lociStitched	chr10(.):120742364-120747452	0.307
2_MACS_peak_4090_lociStitched	chr10(.):120789309-120790881	0.6531
1_MACS_peak_4092_lociStitched	chr10(.):120838700-120841708	4.2312
1_MACS_peak_4093_lociStitched	chr10(.):120863258-120864326	0.6198
1_MACS_peak_4094_lociStitched	chr10(.):120878273-120881277	4.6693
1_MACS_peak_4095_lociStitched	chr10(.):120890581-120892034	1.0819
1_MACS_peak_4096_lociStitched	chr10(.):120924177-120926052	2.1162
1_MACS_peak_4097_lociStitched	chr10(.):120937173-120938890	2.8976
2_MACS_peak_4098_lociStitched	chr10(.):120965411-120972236	0.5844
1_MACS_peak_4100_lociStitched	chr10(.):121064169-121067597	7.2052
1_MACS_peak_4101_lociStitched	chr10(.):121112624-121113533	0.6246
1_MACS_peak_4102_lociStitched	chr10(.):121142198-121143657	0.8125
1_MACS_peak_4103_lociStitched	chr10(.):121248832-121249823	0.4919
1_MACS_peak_4104_lociStitched	chr10(.):121275473-121277450	2.2941
1_MACS_peak_4105_lociStitched	chr10(.):121301593-121303364	1.5261
1_MACS_peak_4106_lociStitched	chr10(.):121354869-121357829	2.5296
1_MACS_peak_4107_lociStitched	chr10(.):121409876-121412429	1.792
1_MACS_peak_4108_lociStitched	chr10(.):121422982-121424147	0.6653
1_MACS_peak_4109_lociStitched	chr10(.):121463767-121465684	1.1563
1_MACS_peak_4110_lociStitched	chr10(.):121484600-121486414	1.0547
1_MACS_peak_4111_lociStitched	chr10(.):121543605-121545134	0.8692
1_MACS_peak_4112_lociStitched	chr10(.):121566880-121568484	0.9794
1_MACS_peak_4113_lociStitched	chr10(.):121630831-121633628	1.9928
1_MACS_peak_4114_lociStitched	chr10(.):121650994-121653000	1.4057
1_MACS_peak_4115_lociStitched	chr10(.):122263602-122264500	0.4017
1_MACS_peak_4116_lociStitched	chr10(.):122366512-122368252	0.9529
1_MACS_peak_4117_lociStitched	chr10(.):122584654-122588170	1.409
1_MACS_peak_4118_lociStitched	chr10(.):122610025-122612085	3.5385
1_MACS_peak_4119_lociStitched	chr10(.):122746169-122747899	1.0778
1_MACS_peak_4120_lociStitched	chr10(.):123127596-123128922	0.725
1_MACS_peak_4121_lociStitched	chr10(.):123152093-123153340	0.7961
1_MACS_peak_4122_lociStitched	chr10(.):123273083-123277297	3.1776
1_MACS_peak_4123_lociStitched	chr10(.):123285898-123286831	0.447
1_MACS_peak_4124_lociStitched	chr10(.):123604698-123605752	0.6383
1_MACS_peak_4125_lociStitched	chr10(.):123686186-123688698	2.4844
1_MACS_peak_4126_lociStitched	chr10(.):123733550-123735313	2.5354
1_MACS_peak_4127_lociStitched	chr10(.):123778387-123779518	0.7636
1_MACS_peak_4128_lociStitched	chr10(.):124134121-124135185	0.4568
1_MACS_peak_4129_lociStitched	chr10(.):124638309-124640160	1.8157
1_MACS_peak_4130_lociStitched	chr10(.):124713103-124714455	1.2147
1_MACS_peak_4131_lociStitched	chr10(.):124739287-124740855	3.5618
1_MACS_peak_4132_lociStitched	chr10(.):124767265-124769128	2.1985
1_MACS_peak_4133_lociStitched	chr10(.):124913167-124915336	3.1794
1_MACS_peak_4134_lociStitched	chr10(.):125086674-125087779	0.4772
2_MACS_peak_4135_lociStitched	chr10(.):125155938-125163703	3.8508
1_MACS_peak_4137_lociStitched	chr10(.):125266390-125267673	0.5887
1_MACS_peak_4138_lociStitched	chr10(.):125282155-125282973	0.7309
1_MACS_peak_4139_lociStitched	chr10(.):125295519-125299314	2.4677
1_MACS_peak_4140_lociStitched	chr10(.):125549884-125550522	0.586
1_MACS_peak_4141_lociStitched	chr10(.):125607988-125609357	0.7776
1_MACS_peak_4142_lociStitched	chr10(.):125756500-125757901	0.598
2_MACS_peak_4143_lociStitched	chr10(.):125794694-125803903	0.6543
4_MACS_peak_4145_lociStitched	chr10(.):125822086-125854780	2.6547
1_MACS_peak_4149_lociStitched	chr10(.):125863528-125867661	4.573
2_MACS_peak_4150_lociStitched	chr10(.):125973478-125979839	0.9191
1_MACS_peak_4152_lociStitched	chr10(.):126077815-126078835	0.7066
1_MACS_peak_4153_lociStitched	chr10(.):126106490-126108373	1.4865
1_MACS_peak_4154_lociStitched	chr10(.):126124152-126125866	2.1328
1_MACS_peak_4155_lociStitched	chr10(.):126149754-126150918	1.144
1_MACS_peak_4156_lociStitched	chr10(.):126196313-126198352	2.5858
1_MACS_peak_4157_lociStitched	chr10(.):126314888-126316491	1.0082
1_MACS_peak_4158_lociStitched	chr10(.):126335887-126338404	1.7563
3_MACS_peak_4159_lociStitched	chr10(.):126381662-126391902	1.1627
6_MACS_peak_4162_lociStitched	chr10(.):126407093-126438400	1.0828
1_MACS_peak_4168_lociStitched	chr10(.):126479620-126481607	1.7213
1_MACS_peak_4169_lociStitched	chr10(.):126489608-126491353	1.4974
1_MACS_peak_4170_lociStitched	chr10(.):126604508-126606932	2.2305
1_MACS_peak_4171_lociStitched	chr10(.):126676694-126678393	0.9005
1_MACS_peak_4172_lociStitched	chr10(.):127407257-127410187	1.9507
3_MACS_peak_4173_lociStitched	chr10(.):127472275-127487577	0.5575
2_MACS_peak_4176_lociStitched	chr10(.):127508942-127513181	2.3693
1_MACS_peak_4178_lociStitched	chr10(.):127547431-127548709	0.5351
1_MACS_peak_4179_lociStitched	chr10(.):128351566-128352251	0.3804
1_MACS_peak_4180_lociStitched	chr10(.):129332377-129333146	0.4686
1_MACS_peak_4181_lociStitched	chr10(.):129536740-129537780	0.6005
1_MACS_peak_4182_lociStitched	chr10(.):129572838-129574282	1.081
1_MACS_peak_4183_lociStitched	chr10(.):129651837-129654082	1.105
1_MACS_peak_4184_lociStitched	chr10(.):129823784-129826191	1.616
1_MACS_peak_4185_lociStitched	chr10(.):129845059-129847461	1.5196
2_MACS_peak_4186_lociStitched	chr10(.):129860331-129868669	1.6987
1_MACS_peak_4188_lociStitched	chr10(.):129878152-129882394	1.5367
1_MACS_peak_4189_lociStitched	chr10(.):129922378-129925959	1.929
1_MACS_peak_4190_lociStitched	chr10(.):130171172-130172494	0.5649
1_MACS_peak_4191_lociStitched	chr10(.):130521734-130522667	0.6021
1_MACS_peak_4192_lociStitched	chr10(.):130585102-130586366	0.5688
2_MACS_peak_4193_lociStitched	chr10(.):130705762-130712467	0.4992
3_MACS_peak_4195_lociStitched	chr10(.):130825242-130836045	1.1653
1_MACS_peak_4198_lociStitched	chr10(.):130854834-130857933	7.0636
1_MACS_peak_4199_lociStitched	chr10(.):130871806-130874099	3.4042
1_MACS_peak_4200_lociStitched	chr10(.):131031376-131032670	1.192
1_MACS_peak_4201_lociStitched	chr10(.):131264605-131265574	0.6467
1_MACS_peak_4202_lociStitched	chr10(.):131434201-131434953	0.4154
1_MACS_peak_4203_lociStitched	chr10(.):131907870-131910477	4.7202
1_MACS_peak_4204_lociStitched	chr10(.):131934015-131935804	1.635
1_MACS_peak_4205_lociStitched	chr10(.):132098691-132100605	1.6787
1_MACS_peak_4206_lociStitched	chr10(.):132173616-132175811	0.7897
1_MACS_peak_4207_lociStitched	chr10(.):132263080-132265906	1.6404
2_MACS_peak_4208_lociStitched	chr10(.):132309413-132318981	0.3192
1_MACS_peak_4210_lociStitched	chr10(.):132340815-132343033	1.2122
1_MACS_peak_4211_lociStitched	chr10(.):132382834-132383734	0.4336
1_MACS_peak_4212_lociStitched	chr10(.):134116430-134118846	1.6075
2_MACS_peak_4213_lociStitched	chr10(.):134144390-134151167	1.1542
1_MACS_peak_4215_lociStitched	chr10(.):134210703-134211735	0.4802
1_MACS_peak_4216_lociStitched	chr10(.):134266011-134266896	0.4957
1_MACS_peak_4217_lociStitched	chr10(.):134350206-134351191	0.5535
1_MACS_peak_4218_lociStitched	chr10(.):134384020-134386847	3.7417
1_MACS_peak_4219_lociStitched	chr10(.):135074729-135075586	1.1104
1_MACS_peak_4220_lociStitched	chr10(.):135087726-135093024	3.597
1_MACS_peak_4221_lociStitched	chr10(.):135120900-135123231	4.4158
2_MACS_peak_4222_lociStitched	chr10(.):135186528-135193579	0.6139
3_MACS_peak_4224_lociStitched	chr10(.):135201073-135215684	2.0837
1_MACS_peak_4227_lociStitched	chr10(.):135303166-135304154	0.6107
1_MACS_peak_4228_lociStitched	chr10(.):135460515-135461865	1.559
2_MACS_peak_4229_lociStitched	chr11(.):187368-192554	0.7442
1_MACS_peak_4231_lociStitched	chr11(.):206183-209897	4.9715
1_MACS_peak_4232_lociStitched	chr11(.):235537-238048	3.1271
1_MACS_peak_4233_lociStitched	chr11(.):267156-271073	14.6329
1_MACS_peak_4234_lociStitched	chr11(.):288456-289292	0.4231
2_MACS_peak_4235_lociStitched	chr11(.):447736-451501	1.8191
1_MACS_peak_4237_lociStitched	chr11(.):505643-507863	5.6196
1_MACS_peak_4238_lociStitched	chr11(.):534106-538144	1.1096
1_MACS_peak_4239_lociStitched	chr11(.):560063-561748	0.8313
1_MACS_peak_4240_lociStitched	chr11(.):568332-569441	0.635
1_MACS_peak_4241_lociStitched	chr11(.):576042-577818	5.2388
1_MACS_peak_4242_lociStitched	chr11(.):614856-617073	3.9402
1_MACS_peak_4243_lociStitched	chr11(.):628188-630147	1.5531
2_MACS_peak_4244_lociStitched	chr11(.):643147-646698	0.8884
1_MACS_peak_4246_lociStitched	chr11(.):691952-697343	3.5592
2_MACS_peak_4247_lociStitched	chr11(.):721799-726931	0.2442
1_MACS_peak_4249_lociStitched	chr11(.):746070-749237	2.3732
1_MACS_peak_4250_lociStitched	chr11(.):776064-778379	1.3622
4_MACS_peak_4251_lociStitched	chr11(.):789107-811722	1.1937
3_MACS_peak_4255_lociStitched	chr11(.):818894-833821	0.3899
1_MACS_peak_4258_lociStitched	chr11(.):841570-843155	4.3239
2_MACS_peak_4259_lociStitched	chr11(.):907290-911823	1.0048
1_MACS_peak_4261_lociStitched	chr11(.):925300-929096	0.9883
1_MACS_peak_4262_lociStitched	chr11(.):1283147-1284691	1.0155
1_MACS_peak_4263_lociStitched	chr11(.):1329921-1332551	2.7604
1_MACS_peak_4264_lociStitched	chr11(.):1356762-1357919	0.8889
1_MACS_peak_4265_lociStitched	chr11(.):1784394-1785590	1.1363
1_MACS_peak_4266_lociStitched	chr11(.):1870820-1876112	3.9723
1_MACS_peak_4267_lociStitched	chr11(.):1968182-1970127	1.8447
1_MACS_peak_4268_lociStitched	chr11(.):2420514-2423138	2.1123
1_MACS_peak_4269_lociStitched	chr11(.):2465991-2467224	0.4785
2_MACS_peak_4270_lociStitched	chr11(.):2479507-2489621	2.8518
1_MACS_peak_4272_lociStitched	chr11(.):2503893-2505393	0.8806
2_MACS_peak_4273_lociStitched	chr11(.):2547409-2555405	0.745
1_MACS_peak_4275_lociStitched	chr11(.):2642866-2643988	0.692
1_MACS_peak_4276_lociStitched	chr11(.):2720322-2722348	1.3364
2_MACS_peak_4277_lociStitched	chr11(.):2792907-2801164	4.0074
2_MACS_peak_4279_lociStitched	chr11(.):2919426-2924441	0.8394
2_MACS_peak_4281_lociStitched	chr11(.):2951140-2955936	0.9239
2_MACS_peak_4283_lociStitched	chr11(.):3004575-3014602	1.7256
1_MACS_peak_4285_lociStitched	chr11(.):3057254-3058551	0.6942
2_MACS_peak_4286_lociStitched	chr11(.):3069797-3079470	1.3968
1_MACS_peak_4288_lociStitched	chr11(.):3243678-3245274	2.3747
1_MACS_peak_4289_lociStitched	chr11(.):3317767-3318791	0.4409
1_MACS_peak_4290_lociStitched	chr11(.):3399508-3400808	1.9504
1_MACS_peak_4291_lociStitched	chr11(.):3440279-3444890	1.4981
2_MACS_peak_4292_lociStitched	chr11(.):3528520-3536605	4.2547
1_MACS_peak_4294_lociStitched	chr11(.):3555398-3556408	0.609
1_MACS_peak_4295_lociStitched	chr11(.):3817585-3820131	3.0136
1_MACS_peak_4296_lociStitched	chr11(.):3828861-3830489	0.9289
1_MACS_peak_4297_lociStitched	chr11(.):3861061-3863592	2.9787
4_MACS_peak_4298_lociStitched	chr11(.):3874258-3893290	1.5609
1_MACS_peak_4302_lociStitched	chr11(.):3966858-3971186	1.6769
2_MACS_peak_4303_lociStitched	chr11(.):4112748-4117947	3.3811
1_MACS_peak_4305_lociStitched	chr11(.):4128763-4130707	1.6975
1_MACS_peak_4306_lociStitched	chr11(.):4208134-4209185	0.5921
1_MACS_peak_4307_lociStitched	chr11(.):4413984-4415310	1.5521
1_MACS_peak_4308_lociStitched	chr11(.):4628641-4630301	1.8253
1_MACS_peak_4309_lociStitched	chr11(.):4705295-4707040	1.6547
2_MACS_peak_4310_lociStitched	chr11(.):4720452-4726171	0.4762
2_MACS_peak_4312_lociStitched	chr11(.):5249124-5256381	1.7267
1_MACS_peak_4314_lociStitched	chr11(.):5306556-5307433	0.4261
1_MACS_peak_4315_lociStitched	chr11(.):5387905-5390908	2.4149
1_MACS_peak_4316_lociStitched	chr11(.):5705480-5706784	1.3055
1_MACS_peak_4317_lociStitched	chr11(.):6116275-6118997	3.1966
2_MACS_peak_4318_lociStitched	chr11(.):6254931-6257070	1.0237
1_MACS_peak_4320_lociStitched	chr11(.):6410693-6412820	1.3042
1_MACS_peak_4321_lociStitched	chr11(.):6501737-6503948	3.4337
4_MACS_peak_4322_lociStitched	chr11(.):6623902-6641222	0.9747
1_MACS_peak_4326_lociStitched	chr11(.):6703593-6705569	2.4686
1_MACS_peak_4327_lociStitched	chr11(.):6766399-6769035	2.7684
1_MACS_peak_4328_lociStitched	chr11(.):6792581-6795068	1.9828
2_MACS_peak_4329_lociStitched	chr11(.):6946407-6957876	2.4791
1_MACS_peak_4331_lociStitched	chr11(.):6981432-6986221	3.5463
1_MACS_peak_4332_lociStitched	chr11(.):7052534-7053691	0.9416
1_MACS_peak_4333_lociStitched	chr11(.):7313294-7315249	1.0394
