GENE_ID	locusLine	bin_1_01_0EWN_0229Kronos_MM1S-No-Treatment-1_H3K18Ac_hs-dm_i02.bam
NM_181892	chr4(.):103712132-103753340	0.5026
NM_003340	chr4(.):103712132-103754105	0.4959
NM_181893	chr4(.):103712132-103795003	0.3702
NM_181889	chr4(.):103712132-103754307	0.4941
NM_018409	chr4(.):186280031-186305152	0.2461
NM_181726	chr4(.):186312839-186326390	0.7059
NM_001131005	chr5(.):88009057-88204922	0.4895
NM_002397	chr5(.):88009057-88184283	0.4955
NM_001193349	chr5(.):88009057-88124744	0.386
NM_001131055	chr5(.):175080039-175118245	0.3484
NM_001040446	chr5(.):32222110-32318114	0.3975
NM_024669	chr5(.):55390506-55534186	0.4266
NM_001992	chr5(.):76006867-76036595	0.7785
NM_006633	chr5(.):75694148-76008957	0.2342
NR_015436	chr5(.):87831596-87985620	0.2398
NR_027435	chr5(.):90671163-90721532	0.617
NM_003060	chr5(.):131700400-131736306	0.1814
NM_001020825	chr5(.):142652495-142788254	0.2461
NM_001018076	chr5(.):142652495-142789045	0.245
NM_001018075	chr5(.):142652495-142820077	0.2231
NM_015621	chr5(.):150555612-150608654	0.3389
NM_001037332	chr5(.):156688186-156827606	0.2031
NM_001037333	chr5(.):156688090-156827606	0.203
NM_014376	chr5(.):156691361-156827606	0.2046
NM_005990	chr5(.):171464073-171620346	0.2054
NM_001167579	chr5(.):176806431-176822514	0.1412
NM_022455	chr5(.):176555832-176732214	0.2109
NM_172349	chr5(.):176555079-176732214	0.2105
NM_002406	chr5(.):180212540-180235048	0.7076
NM_001114619	chr5(.):180212540-180235902	0.7103
NM_001114618	chr5(.):180212540-180241817	0.8837
NM_001114617	chr5(.):180212540-180242137	0.8755
NM_001193376	chr5(.):1248286-1300162	0.1285
NM_030782	chr5(.):1312999-1350002	1.8453
NM_001145161	chr5(.):6443735-6501834	0.9225
NM_001171805	chr5(.):6709717-6762161	0.4079
NM_001171806	chr5(.):6741100-6762161	0.0681
NM_006713	chr5(.):32580604-32609185	0.9291
NM_001190469	chr5(.):37807778-37840929	0.4687
NM_199231	chr5(.):37807778-37840593	0.4601
NM_000514	chr5(.):37807778-37844782	0.4422
NM_002184	chr5(.):55225924-55295821	0.3835
NR_028375	chr5(.):76002762-76013686	0.3868
NR_036243	chr5(.):86405695-86415771	0.7045
NR_024384	chr5(.):87955262-87974146	1.4812
NR_024383	chr5(.):87955262-87979262	1.217
NR_030741	chr5(.):87957670-87967757	0.4277
NM_020801	chr5(.):90659540-90684149	1.214
NR_033175	chr5(.):109213882-109226200	0.1286
NM_000588	chr5(.):131391346-131403896	0.243
NM_000758	chr5(.):131404484-131416859	0.4106
NR_037500	chr5(.):131696181-131706291	0.2383
NM_002198	chr5(.):131812300-131831465	0.6974
NM_001013717	chr5(.):131741672-131803059	1.7933
NM_005732	chr5(.):131887615-131985313	0.1946
NM_000879	chr5(.):131872135-131884214	0.0799
NM_016480	chr5(.):138672518-138710409	0.1745
NM_194296	chr5(.):138727455-138744776	1.0354
NM_152686	chr5(.):138740891-138780214	0.6466
NM_152685	chr5(.):138697884-138724039	0.3593
NM_001033112	chr5(.):138673133-138710409	0.1764
NM_001161546	chr5(.):138722634-138735885	2.6599
NM_016459	chr5(.):138718256-138730605	3.0766
NM_016463	chr5(.):139023300-139067680	0.7432
NM_000024	chr5(.):148201155-148213197	1.3469
NM_006058	chr5(.):150404505-150465997	0.2889
NM_001155	chr5(.):150475266-150542443	0.4571
NM_001193544	chr5(.):150475266-150526216	0.3667
NM_000405	chr5(.):150627612-150654953	0.3347
NM_001171183	chr5(.):171616175-171635458	0.0583
NM_004417	chr5(.):172190092-172203203	1.8901
NM_030627	chr5(.):173310330-173392313	0.4665
NM_022304	chr5(.):175103463-175116558	0.0693
NM_001031677	chr5(.):176723198-176735744	1.5326
NM_006480	chr5(.):176779843-176804599	0.4002
NM_006816	chr5(.):176753562-176783885	0.2467
NM_031300	chr5(.):176729205-176744292	1.1815
NM_001142935	chr5(.):176727500-176744292	1.3806
NM_013237	chr5(.):176725834-176738950	1.5213
NM_002082	chr5(.):176848686-176874850	1.1221
NM_030567	chr5(.):176868795-176888287	0.6852
NM_000505	chr5(.):176824138-176841577	0.7627
NM_080881	chr5(.):176878613-176904871	0.3073
NM_004395	chr5(.):176878613-176905694	0.3043
NM_001004105	chr5(.):176848686-176873354	1.055
NM_001174102	chr5(.):176870325-176888283	0.7346
NM_001029886	chr5(.):176822107-176832637	0.4165
NR_027183	chr5(.):180251958-180267726	0.7457
NM_152283	chr5(.):180269610-180293286	0.2335
NR_027908	chr6(.):33548882-33566115	0.3545
NR_028361	chr6(.):33546475-33561803	0.7052
NM_181356	chr6(.):44791469-45350670	0.0957
NM_003599	chr6(.):44792449-45350575	0.0955
NM_012288	chr6(.):52357199-52446862	1.0543
NM_033515	chr6(.):129893239-130036370	0.4239
NM_000876	chr6(.):160385130-160532583	0.1952
NM_001195286	chr6(.):386738-416443	0.9285
NM_001168344	chr6(.):7102829-7257213	0.3829
NM_001003699	chr6(.):7103085-7257213	0.3834
NR_037616	chr6(.):7876482-8069647	1.0688
NM_002114	chr6(.):12007723-12170232	0.3993
NM_001173977	chr6(.):25274655-25625758	0.3843
NM_172166	chr6(.):31702724-31735455	1.0526
NM_145316	chr6(.):37174953-37230413	0.1769
NM_001162900	chr6(.):37180417-37230931	0.1716
NM_183078	chr6(.):37316747-37367514	0.1031
NM_004348	chr6(.):45384913-45523819	0.3428
NM_001024630	chr6(.):45291053-45523819	0.2508
NM_001123226	chr6(.):74166453-74216179	0.225
NM_016021	chr6(.):90031343-90067619	0.9355
NM_001455	chr6(.):108877068-109010971	1.0894
NM_201559	chr6(.):108876025-109010971	1.0831
NM_032131	chr6(.):109164618-109300352	0.5239
NM_006734	chr6(.):143067603-143271338	0.2897
NM_024630	chr6(.):157797556-158099977	0.1684
NM_020185	chr6(.):287100-356355	2.0367
NR_027712	chr6(.):7981334-7995577	0.4034
NM_001145549	chr6(.):7876482-7915310	3.2315
NM_030810	chr6(.):7876482-7916047	3.2254
NM_032744	chr6(.):11708887-11784280	0.5016
NM_005319	chr6(.):26050967-26061699	1.0223
NM_003537	chr6(.):26026816-26037288	1.2203
NM_003544	chr6(.):26022123-26032480	1.1586
NM_021062	chr6(.):26038454-26048885	1.1134
NM_003531	chr6(.):26040638-26051097	1.1015
NM_005325	chr6(.):26012259-26023040	0.6672
NM_003538	chr6(.):26016906-26027278	1.2523
NM_003513	chr6(.):26028319-26038796	0.9048
NM_003529	chr6(.):26015717-26026186	0.8676
NM_021065	chr6(.):26194011-26204471	1.9063
NM_003530	chr6(.):26192011-26204464	1.6368
NM_138720	chr6(.):26153348-26176576	0.8692
NM_003523	chr6(.):26179023-26189458	0.6735
NM_003539	chr6(.):26183937-26194304	0.7707
NM_003545	chr6(.):26199872-26210249	1.236
NM_005321	chr6(.):26151558-26162343	1.2368
NM_003522	chr6(.):26194786-26205216	2.1548
NM_003518	chr6(.):26211427-26221872	0.7388
NM_021052	chr6(.):26212147-26222711	0.7377
NM_003532	chr6(.):26220382-26230844	0.4093
NM_003524	chr6(.):26246878-26257303	1.1081
NM_003547	chr6(.):26241838-26252205	0.9745
NM_003540	chr6(.):26235653-26246021	0.2556
NM_021018	chr6(.):26245369-26255835	1.0985
NM_005320	chr6(.):26229439-26240216	0.5867
NM_001145008	chr6(.):26397464-26420444	0.2616
NM_001197240	chr6(.):26378328-26400100	0.4586
NM_001197247	chr6(.):26360397-26383540	1.0075
NM_001197238	chr6(.):26378323-26400100	0.4586
NM_007047	chr6(.):26360397-26383548	1.0083
NM_001197237	chr6(.):26378438-26400100	0.4575
NM_001197248	chr6(.):26360469-26383540	0.996
NM_001197246	chr6(.):26363405-26383540	0.5754
NM_021064	chr6(.):27095816-27106314	1.0322
NM_080593	chr6(.):27101071-27119637	0.9316
NM_080596	chr6(.):27109907-27120346	0.8767
NR_036096	chr6(.):27110404-27120467	0.8987
NM_021058	chr6(.):27095094-27105575	1.0171
NM_003495	chr6(.):27102087-27112457	0.5545
NM_021066	chr6(.):27777079-27787518	1.1364
NM_003536	chr6(.):27772841-27783314	1.5871
NM_003509	chr6(.):27770976-27781445	1.1405
NM_003519	chr6(.):27770256-27780709	1.1129
NM_003521	chr6(.):27777821-27788267	1.0968
NM_003520	chr6(.):27801439-27811888	1.7793
NM_003511	chr6(.):27828106-27838576	0.7174
NM_003533	chr6(.):27834622-27845099	0.2991
NM_003510	chr6(.):27800657-27811117	1.7802
NM_003541	chr6(.):27793951-27804305	0.5728
NM_005322	chr6(.):27829569-27840359	0.7657
NM_021968	chr6(.):27786902-27797258	0.5555
NM_003546	chr6(.):27835925-27846289	0.1971
NM_007109	chr6(.):31121302-31136992	0.2855
NM_001173531	chr6(.):31127113-31139615	0.1828
NR_026791	chr6(.):31160536-31176745	1.1443
NM_019052	chr6(.):31105215-31131015	0.1684
NM_001105563	chr6(.):31105215-31130566	0.1696
NR_026816	chr6(.):31136511-31150676	0.1132
NM_002701	chr6(.):31127113-31143451	0.1641
NM_004847	chr6(.):31577993-31589798	0.782
NM_001623	chr6(.):31578032-31589798	0.7835
NM_032955	chr6(.):31578788-31589798	0.8314
NM_080702	chr6(.):31601804-31625477	0.4211
NM_001098534	chr6(.):31601804-31625170	0.4257
NM_021246	chr6(.):31678132-31690581	0.1725
NM_138275	chr6(.):31686160-31697851	0.828
NR_033488	chr6(.):31649725-31675850	0.2837
NM_001320	chr6(.):31628656-31642843	0.6071
NM_013974	chr6(.):31689816-31703039	1.0174
NM_025262	chr6(.):31639460-31653150	0.1631
NM_001288	chr6(.):31693357-31709341	2.701
NM_019101	chr6(.):31618670-31630987	0.8977
NM_021184	chr6(.):31621074-31633549	0.6589
NM_001003693	chr6(.):31669683-31683372	0.5213
NM_021221	chr6(.):31633727-31645227	0.1981
NM_021160	chr6(.):31649725-31676137	0.2816
NR_002971	chr6(.):31585855-31595987	0.7751
NR_024541	chr6(.):31674752-31686842	0.1395
NM_080686	chr6(.):31583449-31610554	0.3371
NM_025261	chr6(.):31681424-31694510	0.188
NM_033177	chr6(.):31624005-31638179	0.7052
NM_001199240	chr6(.):31624005-31638407	0.695
NM_001199238	chr6(.):31624005-31638639	0.6845
NM_001199237	chr6(.):31624005-31639060	0.6672
NM_001039651	chr6(.):31725772-31737624	0.1668
NM_025258	chr6(.):31728370-31750108	0.5873
NR_002742	chr6(.):31799852-31809916	0.8661
NM_000434	chr6(.):31821828-31835709	0.4265
NM_021177	chr6(.):31760173-31779743	0.7202
NR_002745	chr6(.):31798039-31808103	0.9035
NM_001178045	chr6(.):31825969-31850448	0.2876
NM_001040438	chr6(.):31797692-31812541	0.6492
NM_005345	chr6(.):31778290-31790719	0.4923
NM_005527	chr6(.):31772395-31787835	0.3538
NM_001178044	chr6(.):31825969-31851823	0.275
NM_006295	chr6(.):31740296-31768712	0.9455
NM_005346	chr6(.):31790511-31803031	0.9624
NM_006120	chr6(.):32911390-32925899	0.4635
NM_002119	chr6(.):32966959-32982389	0.0802
NM_002118	chr6(.):32897405-32913847	0.3956
NM_005104	chr6(.):32931436-32954282	1.6873
NM_001113182	chr6(.):32933664-32954282	1.8555
NM_001199455	chr6(.):32934371-32954282	1.9173
NM_001199456	chr6(.):32935860-32954282	1.9921
NM_001188	chr6(.):33535322-33553070	0.9705
NM_002224	chr6(.):33584155-33669348	0.1714
NM_002648	chr6(.):37132921-37148204	0.9046
NM_017772	chr6(.):37220547-37305746	0.3597
NM_000322	chr6(.):42659332-42695358	0.1358
NM_003192	chr6(.):42707233-42718884	0.6743
NR_037141	chr6(.):42690313-42700932	0.2289
NM_015349	chr6(.):42783793-42841296	0.07
NM_002388	chr6(.):52123811-52154582	0.223
NM_052872	chr6(.):52096483-52114298	0.0919
NM_001402	chr6(.):74220472-74235755	1.5173
NM_002043	chr6(.):89962238-90029967	0.4384
NM_021244	chr6(.):90069334-90126995	0.4158
NM_182907	chr6(.):106541814-106562811	1.4358
NM_001198	chr6(.):106529194-106562814	1.6687
NM_001145207	chr6(.):135351994-135381036	0.2324
NM_006620	chr6(.):135276516-135381036	0.3247
NR_037435	chr6(.):135295475-135305570	0.0777
NM_006290	chr6(.):138183580-138209449	0.8162
NR_037463	chr6(.):157945163-157955232	0.0577
NM_001259	chr7(.):92229234-92468231	0.3692
NM_001145306	chr7(.):92229234-92470941	0.3658
NM_004289	chr7(.):26186846-26231756	0.4841
NM_001029835	chr7(.):45062232-45121069	0.2008
NM_001167935	chr7(.):45034786-45121069	0.313
NR_030770	chr7(.):45034344-45121069	0.3315
NM_030796	chr7(.):55533305-55645200	1.1298
NM_012301	chr7(.):77641373-79087890	0.0874
NR_033766	chr7(.):113721364-114338827	0.1124
NM_001145354	chr7(.):130789854-131186398	0.2568
NM_004717	chr7(.):137069384-137536609	0.1496
NM_001164458	chr7(.):149939300-150025758	0.2821
NM_182762	chr7(.):20169278-20262013	0.4466
NM_002214	chr7(.):20365724-20460382	0.3491
NM_015283	chr7(.):34963492-35082653	0.2274
NM_002541	chr7(.):44641120-44753669	0.4862
NM_001003941	chr7(.):44641120-44721195	0.6539
NM_022748	chr7(.):47309751-47584199	0.2345
NM_006060	chr7(.):50339377-50477798	0.2014
NM_017984	chr7(.):99993494-100031302	0.7002
NM_017621	chr7(.):102091666-102110321	0.3729
NM_182931	chr7(.):104649636-104759532	0.4266
NM_001098627	chr7(.):128575771-128595088	1.0423
NM_001098630	chr7(.):128572993-128595088	1.1229
NM_032643	chr7(.):128573270-128595088	1.0715
NM_003344	chr7(.):129467994-129597789	0.3506
NR_015431	chr7(.):130623918-130798562	0.3365
NR_024153	chr7(.):130623918-130796789	0.3362
NM_014149	chr7(.):134863589-134901316	0.2029
NM_178563	chr7(.):134666258-134825530	0.2471
NM_016019	chr7(.):139039633-139113200	0.2848
NM_173680	chr7(.):150071405-150100719	1.5211
NR_029597	chr7(.):25984538-25994606	2.0124
NM_031243	chr7(.):26224555-26245413	0.7554
NM_016587	chr7(.):26236323-26257976	0.6707
NM_007276	chr7(.):26236098-26257976	0.6645
NM_022373	chr7(.):35667269-35739772	0.1878
NM_019082	chr7(.):44600402-44619137	0.2088
NM_182547	chr7(.):44613761-44626827	0.4689
NR_003697	chr7(.):45017626-45031259	0.3808
NR_002952	chr7(.):45019976-45030109	0.4403
NM_033054	chr7(.):44997259-45023704	0.2552
NM_001123065	chr7(.):47689841-47706246	0.1792
NR_028039	chr7(.):99793277-99874855	0.3975
NR_028038	chr7(.):99801558-99874855	0.3999
NM_024070	chr7(.):99811870-99824111	1.7079
NM_012447	chr7(.):99770537-99817010	0.2693
NM_152742	chr7(.):99762228-99779990	0.1256
NM_024637	chr7(.):99751864-99771373	0.1812
NM_013439	chr7(.):99966067-100002722	0.3892
NM_173564	chr7(.):100076549-100097422	0.1732
NM_030935	chr7(.):100059141-100081902	0.1579
NM_145030	chr7(.):100027911-100039094	0.6381
NM_019606	chr7(.):100022253-100036749	1.5895
NM_001194992	chr7(.):100021412-100036749	1.5116
NM_001004323	chr7(.):100049237-100066894	0.0824
NM_032831	chr7(.):102068995-102102268	1.1298
NM_024653	chr7(.):102031803-102072129	0.8277
NM_006234	chr7(.):102108547-102124381	0.2418
NM_152892	chr7(.):102100389-102118612	0.2662
NR_027374	chr7(.):104530074-104572092	0.545
NR_024586	chr7(.):104645988-104659588	2.7686
NM_001166346	chr7(.):114557208-114568720	1.1174
NM_199072	chr7(.):114557208-114664970	0.4543
NM_018396	chr7(.):128111782-128147978	0.6927
NM_013332	chr7(.):128090883-128103472	0.3925
NM_199349	chr7(.):128525000-128555773	0.1828
NM_018295	chr7(.):134827765-134855967	1.0515
NR_024185	chr7(.):134845531-134860532	1.173
NM_197964	chr7(.):139020896-139035541	1.2352
NM_002769	chr7(.):142452318-142465927	0.235
NM_004445	chr7(.):142547791-142573847	0.1353
NM_002770	chr7(.):142474907-142486378	0.1671
NR_001296	chr7(.):142473756-142487399	0.1594
NM_013400	chr7(.):150060878-150076133	2.793
NM_014374	chr7(.):150063257-150076133	3.1792
NM_001142928	chr7(.):150015295-150040245	0.707
NM_002889	chr7(.):150030406-150043763	0.1132
NM_138434	chr7(.):150021937-150034811	0.1063
NR_027237	chr7(.):150097839-150114558	2.1572
NM_175571	chr7(.):150142961-150181483	0.0939
NR_034033	chr7(.):150125741-150150228	0.8038
NM_080838	chr8(.):134198311-134245053	0.543
NM_004103	chr8(.):27163998-27321903	0.5124
NM_173176	chr8(.):27178053-27321903	0.5328
NM_172366	chr8(.):28280928-28352784	0.3701
NM_173175	chr8(.):27178080-27321903	0.5328
NM_001002814	chr8(.):37711464-37762015	0.8393
NM_173683	chr8(.):10748656-11063875	0.2809
NM_018371	chr8(.):19256671-19545094	0.2382
NR_024040	chr8(.):19256671-19545261	0.2382
NM_001386	chr8(.):26430420-26520693	0.2868
NM_001197293	chr8(.):26366708-26520693	0.2619
NM_006228	chr8(.):28169648-28205868	0.6698
NM_001010906	chr8(.):27874480-27946388	0.5045
NM_024787	chr8(.):33400272-33429643	1.2934
NM_023034	chr8(.):38127560-38244790	0.353
NM_005079	chr8(.):80942104-81088836	0.5112
NM_024094	chr8(.):120841180-120873170	0.1891
NM_022783	chr8(.):120880899-121068157	0.4767
NM_173685	chr8(.):126099082-126384367	0.3978
NM_003033	chr8(.):134462090-134589183	0.5178
NM_003970	chr8(.):1988157-2098380	0.7986
NM_022071	chr8(.):19166080-19258729	0.3807
NM_001174159	chr8(.):19166486-19258729	0.3821
NM_171982	chr8(.):27137403-27173834	0.1518
NM_018091	chr8(.):27945583-28053669	0.104
NM_018660	chr8(.):28198101-28248977	0.341
NM_017412	chr8(.):28346772-28426961	0.2862
NR_036250	chr8(.):28357632-28367699	0.0556
NM_057158	chr8(.):29188616-29211322	0.926
NM_001394	chr8(.):29188619-29213185	0.8659
NR_026765	chr8(.):29573775-29610625	0.5688
NM_025115	chr8(.):33351235-33375656	0.3904
NM_001102401	chr8(.):33351235-33375703	0.3898
NM_024025	chr8(.):33443853-33462439	0.1625
NM_018310	chr8(.):37696397-37712431	0.2994
NM_152413	chr8(.):37786799-37802647	0.0717
NM_144652	chr8(.):38239019-38271061	0.666
NM_017778	chr8(.):38168934-38244790	0.4817
NM_025195	chr8(.):126437562-126455644	1.3383
NM_014957	chr8(.):142133719-142210900	0.2654
NM_201378	chr8(.):144984320-145052697	0.4907
NM_032789	chr8(.):145046319-145065635	0.6226
NM_000445	chr8(.):144984320-145055913	0.4941
NM_201381	chr8(.):144984320-145023905	0.5672
NM_201382	chr8(.):144984320-145023110	0.5671
NM_201383	chr8(.):144984320-145021692	0.5711
NM_201379	chr8(.):144984320-145033088	0.5604
NM_001009184	chr8(.):145059225-145072583	0.4334
NM_201384	chr8(.):144984320-145018758	0.61
NR_030383	chr8(.):145014358-145024447	1.0591
NM_201380	chr8(.):144984320-145030044	0.5936
NM_001135920	chr9(.):5624326-5774454	0.282
NM_020829	chr9(.):5651582-5781556	0.1746
NM_022490	chr9(.):37480944-37508693	0.14
NM_001206	chr9(.):72994512-73034573	0.4562
NM_053016	chr9(.):112537576-112718756	0.2306
NM_001037293	chr9(.):112398067-112718756	0.1556
NM_007203	chr9(.):112537576-112939791	0.2961
NM_001004065	chr9(.):112805877-112939791	0.4304
NM_015404	chr9(.):117159359-117272736	0.5688
NM_001083885	chr9(.):117159359-117270495	0.5756
NM_018249	chr9(.):123146146-123347437	0.1731
NM_005047	chr9(.):123573331-123610206	0.2495
NM_001006618	chr9(.):128278748-128474513	0.2274
NM_001006617	chr9(.):128194672-128474513	0.1924
NM_014636	chr9(.):129672052-129990445	0.3008
NM_001190729	chr9(.):129672052-129984724	0.296
NM_001190728	chr9(.):129719503-129984724	0.3221
NM_001190730	chr9(.):129672052-129945810	0.3174
NM_175039	chr9(.):130665164-130684305	1.2096
NM_015033	chr9(.):132644465-132810473	0.4039
NM_198679	chr9(.):134447156-134590229	0.2311
NM_005312	chr9(.):134447156-134617925	0.3116
NM_012166	chr9(.):37505888-37581250	0.3986
NM_024077	chr9(.):91928411-91979561	0.3271
NR_036108	chr9(.):91922139-91932221	0.9108
NM_001827	chr9(.):91921112-91936618	1.1519
NR_033912	chr9(.):93820575-93842414	0.1681
NM_005384	chr9(.):94166326-94191144	1.2567
NM_033087	chr9(.):101973706-101989246	0.9026
NM_006808	chr9(.):101979569-101997901	0.8913
NM_001012993	chr9(.):112956845-112975413	0.15
NM_001136562	chr9(.):112882780-112939791	0.6053
NM_000608	chr9(.):117087068-117100536	0.1183
NM_030767	chr9(.):117091432-117161685	0.7402
NM_000607	chr9(.):117080302-117093759	0.1348
NM_005658	chr9(.):123659670-123694173	0.7126
NM_015651	chr9(.):123612930-123644606	0.7035
NM_001190945	chr9(.):123659670-123696451	0.7538
NM_001190947	chr9(.):123659670-123681850	0.6106
NM_001009936	chr9(.):123626852-123644606	1.178
NR_024408	chr9(.):123600319-123621651	0.4005
NM_173689	chr9(.):126113447-126146032	0.1143
NM_001045476	chr9(.):127610754-127625160	0.4641
NM_030978	chr9(.):127626483-127644696	0.8172
NM_007209	chr9(.):127615157-127629240	0.4773
NM_005489	chr9(.):130495595-130538621	0.3235
NM_001142532	chr9(.):130495595-130529697	0.3029
NM_001142533	chr9(.):130495595-130522583	0.3591
NM_001142531	chr9(.):130495595-130529719	0.3027
NM_001142534	chr9(.):130495595-130522561	0.3594
NM_170600	chr9(.):130495595-130546048	0.6546
NM_001085347	chr9(.):130488802-130502604	0.6441
NM_001018078	chr9(.):130560507-130581556	0.3021
NM_001261	chr9(.):130543304-130558052	0.7699
NM_004957	chr9(.):130560153-130581556	0.3011
NM_013443	chr9(.):130642600-130666871	0.115
NM_000476	chr9(.):130623758-130645022	0.1107
NR_036055	chr9(.):130543196-130553286	1.0561
NM_003863	chr9(.):130692373-130705763	0.3381
NM_203305	chr9(.):130697860-130717993	0.2168
NM_001135219	chr9(.):130678807-130698076	0.8624
NM_173492	chr9(.):130678807-130694770	1.0262
NR_024425	chr9(.):130885807-130897913	0.6275
NR_027812	chr9(.):130877971-130895712	0.4845
NM_001006641	chr9(.):130825478-130876524	0.4602
NM_197956	chr9(.):130818511-130834599	0.636
NM_001006643	chr9(.):130855835-130876524	0.0894
NM_001006642	chr9(.):130849127-130876524	0.0923
NM_052901	chr9(.):130855816-130876524	0.0894
NM_025072	chr9(.):130877971-130895474	0.49
NR_033374	chr9(.):130868449-130886013	0.1204
NM_016520	chr9(.):132584563-132602572	0.2873
NM_006676	chr9(.):132592695-132649107	0.302
NM_001008563	chr9(.):132592756-132649107	0.3024
NM_001136557	chr9(.):132810984-132907448	0.0986
NM_032728	chr9(.):134160080-134189649	0.1051
NM_033387	chr9(.):134128464-134156906	0.9518
NM_178536	chr9(.):139841767-139854949	0.2282
NM_153200	chr9(.):139752232-139765738	0.1736
NM_000606	chr9(.):139834697-139846426	0.4764
NM_021138	chr9(.):139775964-139826067	0.6308
NM_018998	chr9(.):139829886-139844173	0.2812
NM_206920	chr9(.):139741818-139760251	0.2794
NM_014172	chr9(.):139738255-139750490	0.3738
NM_015691	chrX(.):9978794-10117518	0.2896
NM_001001671	chrX(.):19373175-19538379	0.1889
NM_001123384	chrX(.):39905498-40041582	0.2896
NM_144495	chrX(.):48750194-48765420	0.4319
NM_001167990	chrX(.):48750212-48765420	0.4324
NM_001032384	chrX(.):48750538-48765420	0.4392
NM_001167992	chrX(.):48750774-48765420	0.4457
NM_005334	chrX(.):153208007-153241819	0.4439
NM_001830	chrX(.):10119984-10210699	0.048
NM_017745	chrX(.):39905498-39961719	0.2133
NM_001167947	chrX(.):48745729-48760426	0.5084
NM_001042498	chrX(.):48755888-48774235	0.4693
NM_001136158	chrX(.):48774302-48819893	1.0341
NM_001136159	chrX(.):48774302-48820648	1.0182
NM_006875	chrX(.):48765458-48781413	1.1626
NM_004979	chrX(.):48813638-48833251	0.3078
NM_005660	chrX(.):48755458-48773917	0.4885
NM_001032289	chrX(.):48755889-48773933	0.4474
NM_002764	chrX(.):106866653-106899256	0.102
NM_004089	chrX(.):106951451-106965291	1.3725
NM_198057	chrX(.):106951451-107024017	0.3768
NM_001015881	chrX(.):106951451-106964711	1.4278
NM_003399	chrX(.):128867945-128908525	0.3943
NM_018990	chrX(.):128908891-128934176	0.5741
NM_003491	chrX(.):153190376-153205468	0.8512
NM_001666	chrX(.):153167829-153196714	0.4864
NM_002910	chrX(.):153195721-153215232	0.1393
NM_001025243	chrX(.):153270956-153290342	0.3881
NM_003492	chrX(.):153232990-153253646	0.9452
NR_031757	chrX(.):153280370-153290440	0.4331
NR_036175	chrX(.):153241548-153251627	0.5484
NR_036174	chrX(.):153241547-153251628	0.5485
NM_015892	chr10(.):125762181-125856930	0.593
NM_014863	chr10(.):125774168-125856930	0.6665
NM_018363	chr10(.):90028620-90348082	0.2019
NM_001031709	chr10(.):90038858-90348082	0.1738
NM_001083591	chr10(.):11201992-11383672	0.9262
NM_001025077	chr10(.):11042258-11383672	0.5468
NM_006561	chr10(.):11054892-11383672	0.5656
NM_024948	chr10(.):15815174-15907519	0.3959
NR_033842	chr10(.):45301471-45460137	0.3001
NM_032023	chr10(.):45450218-45495172	0.5375
NM_000698	chr10(.):45864628-45946563	0.5259
NM_032199	chr10(.):63656012-63861707	0.4032
NM_033497	chr10(.):71024755-71166637	0.0706
NM_001198798	chr10(.):73851273-73980751	0.1258
NM_001198799	chr10(.):73851273-73981183	0.1256
NM_020338	chr10(.):80823791-81081285	0.3283
NM_145868	chr10(.):81909879-81970328	0.4429
NM_007373	chr10(.):112674300-112778425	0.1244
NM_014661	chr10(.):126302862-126437930	0.3352
NR_027653	chr10(.):3813187-3832473	1.2844
NM_001098207	chr10(.):43876064-43897794	0.4965
NM_004966	chr10(.):43876064-43909656	0.8803
NM_173160	chr10(.):43862091-43876783	0.062
NM_001098204	chr10(.):43876064-43909696	0.8792
NM_001098208	chr10(.):43876064-43897279	0.5062
NM_001098205	chr10(.):43876064-43909332	0.8888
NM_001098206	chr10(.):43876064-43908299	0.9166
NR_026693	chr10(.):43927573-43983007	0.3864
NM_001123376	chr10(.):45401763-45435642	0.1998
NM_007021	chr10(.):45466708-45479330	0.4667
NM_001039380	chr10(.):45488145-45501470	0.464
NM_006963	chr10(.):45491272-45505777	0.419
NM_003171	chr10(.):70934992-70973849	0.4284
NM_025130	chr10(.):70975058-71032315	0.3562
NM_018055	chr10(.):72186691-72206465	0.0979
NM_014431	chr10(.):72233563-72333206	0.481
NM_173473	chr10(.):73970805-74000618	0.2077
NM_019058	chr10(.):74028676-74040797	0.6968
NM_017626	chr10(.):74087587-74119907	0.5586
NM_057157	chr10(.):94828231-94842641	0.7076
NM_183374	chr10(.):94816020-94833454	0.2793
NM_000783	chr10(.):94828646-94842641	0.7264
NM_198044	chr10(.):99200929-99222127	0.1783
NM_198046	chr10(.):99200946-99222127	0.1784
NM_016046	chr10(.):99190665-99210768	0.1779
NM_001145114	chr10(.):99111457-99166127	0.2077
NM_002629	chr10(.):99181026-99198198	0.2668
NM_024326	chr10(.):104174570-104187893	0.5552
NM_002779	chr10(.):104157375-104183901	0.3872
NM_024040	chr10(.):104178001-104197423	0.5486
NM_002502	chr10(.):104150431-104167281	1.2394
NM_001077494	chr10(.):104149338-104167281	1.1687
NM_001077493	chr10(.):104149228-104167281	1.1631
NR_030169	chr10(.):104191268-104201341	0.3464
NM_030912	chr10(.):104399251-104423076	1.0516
NM_001083913	chr10(.):104498726-104581021	0.8037
NM_017787	chr10(.):104530887-104581021	1.1308
NR_024552	chr10(.):105201542-105217162	0.2746
NM_001129742	chr10(.):105227560-105243997	0.9575
NM_001001412	chr10(.):105208143-105223648	0.4561
NM_004210	chr10(.):105248734-105357309	0.6608
