REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X31_0EX7_0229Kronos_MM1S.No.Treatment.1_IRF4_hs_i45.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
4_MACS_peak_24196_lociStitched	chr6	108878142	108895682	4	10064	14319.656	3492.214	139	FOXO3		FOXO3	FOXO3	0.1611	139	1
5_MACS_peak_2961_lociStitched	chr10	11202886	11223166	5	13546	16232.112	5426.928	140	CELF2		CELF2	CELF2	0.17029999999999998	140	1
3_MACS_peak_8259_lociStitched	chr15	22460615	22473201	3	5443	13503.5194	2704.7314	141		OR4N3P	OR4N3P	NONE	NONE	141	1
1_MACS_peak_1540_lociStitched	chr1	149221975	149225284	1	3310	13460.6811	2695.5114	142			LOC388692	LOC388692	NONE	142	1
4_MACS_peak_10754_lociStitched	chr17	4267004	4281416	4	11532	13786.5192	3058.2264	143	UBE2G1		UBE2G1	UBE2G1	0.053299999999999986	143	1
1_MACS_peak_20210_lociStitched	chr3	177074270	177079448	1	5179	12481.569	1783.3032	144			TBL1XR1	TBL1XR1	0.0194	144	1
4_MACS_peak_12983_lociStitched	chr19	1232794	1250273	4	10853	13860.847	3212.6402	145	ATP5D,MIDN,C19orf26	STK11,CIRBP,C19orf24,EFNA2,C19orf23	ATP5D	CIRBP	0.9974000000000001	145	1
4_MACS_peak_3555_lociStitched	chr10	81001429	81020203	4	12655	14204.4084	3578.3244	146	ZMIZ1		PPIF	PPIF	NONE	146	1
2_MACS_peak_1751_lociStitched	chr1	155939606	155950588	2	8134	13421.1022	2797.1154	147	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	RXFP4	0.8005	147	1
6_MACS_peak_14420_lociStitched	chr19	49989942	50010466	6	13349	14177.9792	3554.7568	148	RPL13AP5,RPL13A,SNORD32A,SNORD33,SNORD35A,SNORD34,RPS11,SNORD35B,MIR150	ALDH16A1,FLT3LG,FCGRT,RCN3,SLC17A7,PIH1D1	RPS11	RPS11	0.5652999999999999	148	1
5_MACS_peak_23629_lociStitched	chr6	33537539	33561535	5	10003	14949.508	4336.0772	149	GGNBP1,BAK1,C6orf227	ITPR3	BAK1	BAK1	0.45619999999999994	149	1
2_MACS_peak_2626_lociStitched	chr1	226840100	226852427	2	9275	14584.0737	4008.7404	150	ITPKB		ITPKB	ITPKB	0.24000000000000002	150	1
3_MACS_peak_20468_lociStitched	chr3	196358358	196371123	3	8560	14201.0625	3638.025	151	LRRC33		LRRC33	LRRC33	0.28200000000000003	151	1
5_MACS_peak_27281_lociStitched	chr8	145688111	145705237	5	11200	12877.0394	2377.0888	152	KIFC2,CYHR1,FOXH1	PPP1R16A,GPT,MFSD3,LRRC14,SLC39A4,VPS28,TONSL,RECQL4,LRRC24,MGC70857	KIFC2	KIFC2	0.5778	152	1
5_MACS_peak_6159_lociStitched	chr12	48200946	48214908	5	11720	13682.76	3183.336	153	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	0.3163	153	1
4_MACS_peak_10777_lociStitched	chr17	4837329	4854537	4	9429	13461.8184	2968.38	154	GP1BA,RNF167,ENO3,SLC25A11,PFN1	C17orf107,KIF1C,CHRNE,SPAG7,CAMTA2,INCA1	RNF167	RNF167	0.6314	154	1
7_MACS_peak_13151_lociStitched	chr19	3698966	3726679	7	10594	14768.2577	4350.941	155	PIP5K1C	TJP3,MRPL54,APBA3,RAX2	PIP5K1C	MRPL54	0.388	155	1
4_MACS_peak_12148_lociStitched	chr17	75129091	75144751	4	10550	13671.18	3265.11	156	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	0.6348	156	1
3_MACS_peak_10815_lociStitched	chr17	6915234	6927900	3	7454	12752.1288	2406.54	157	RNASEK,C17orf49,BCL6B,MIR195,MIR497	ALOX12,SLC16A13,SLC16A11	MIR497	MIR497	0.7652	157	1
3_MACS_peak_9713_lociStitched	chr16	12056373	12071754	3	12131	13530.6657	3234.6243	158	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	0.5358	158	1
4_MACS_peak_5122_lociStitched	chr11	72523516	72543213	4	8102	13506.2329	3220.4595	159	ATG16L2	STARD10	ATG16L2	ATG16L2	0.42679999999999996	159	1
5_MACS_peak_12110_lociStitched	chr17	74257586	74276158	5	12878	13156.4048	2951.0908	160	FAM100B,QRICH2	RNF157	FAM100B	FAM100B	0.5911	160	1
1_MACS_peak_26054_lociStitched	chr7	150129676	150133638	1	3963	11485.0456	1297.1588	161	LOC285972	LOC728743,GIMAP8	LOC285972	LOC728743	0.8312	161	1
7_MACS_peak_12998_lociStitched	chr19	1397610	1420536	7	12170	14067.3936	3883.6644	162	DAZAP1,GAMT	MUM1,NDUFS7,RPS15,APC2	DAZAP1	RPS15	0.7423000000000001	162	1
3_MACS_peak_4718_lociStitched	chr11	60673010	60683792	3	8037	12977.2152	2795.7726	163	TMEM109,PRPF19	ZP1,TMEM132A,GPR44,SLC15A3	TMEM109	TMEM109	0.45640000000000003	163	1
4_MACS_peak_13005_lociStitched	chr19	1433927	1448265	4	12165	12811.003	2629.5892	164	DAZAP1,RPS15	APC2,REEP6,GAMT,C19orf25,PCSK4	RPS15	RPS15	0.7423000000000001	164	1
3_MACS_peak_20490_lociStitched	chr3	197379765	197393095	3	7796	13347.329	3175.206	165		LOC220729,MIR922	MIR922	LOC220729	0.11829999999999999	165	1
1_MACS_peak_1469_lociStitched	chr1	145208183	145210703	1	2521	11491.704	1356.264	166	NOTCH2NL		NOTCH2NL	NOTCH2NL	0.03949999999999998	166	1
4_MACS_peak_13144_lociStitched	chr19	3605849	3628174	4	7795	13964.2875	3839.9	167	TBXA2R,C19orf29	HMG20B,GIPC3,C19orf28	C19orf29	C19orf29	0.40279999999999994	167	1
4_MACS_peak_15440_lociStitched	chr2	74681538	74701098	4	7936	13212.78	3092.436	168	INO80B,WBP1,MOGS,MRPL53,CCDC142	WDR54,TTC31,LOC151534,TLX2,C2orf81,RTKN,LBX2,PCGF1	MOGS	LOC151534	0.39569999999999994	168	1
3_MACS_peak_11108_lociStitched	chr17	27045938	27056830	3	8527	12450.6452	2335.2448	169	RPL23A,SNORD42B,SNORD4A,SNORD42A,SNORD4B,NEK8,TLCD1	TRAF4,PROCA1,RAB34	SNORD4B	SNORD4B	0.8953000000000001	169	1
5_MACS_peak_25597_lociStitched	chr7	101915226	101935611	5	11043	13649.796	3534.759	170	CUX1,SH2B2	MIR4285	SH2B2	SH2B2	0.43220000000000003	170	1
5_MACS_peak_23071_lociStitched	chr6	390354	403699	5	12573	13062.086	2959.921	171	IRF4		IRF4	IRF4	0.3738	171	1
3_MACS_peak_14443_lociStitched	chr19	50368195	50382034	3	8575	12817.6818	2737.3542	172	TBC1D17,PNKP,AKT1S1	MED25,PTOV1,ATF5,IL4I1	PNKP	PNKP	0.4736	172	1
4_MACS_peak_27294_lociStitched	chr8	146010989	146031422	4	8641	13365.2253	3308.1027	173	ZNF517,ZNF34,RPL8	ZNF7,ZNF251,COMMD5	ZNF517	COMMD5	0.25260000000000005	173	1
1_MACS_peak_17692_lociStitched	chr21	11167485	11170963	1	3479	12035.2712	1995.3286	174			BAGE	BAGE	NONE	174	1
2_MACS_peak_17827_lociStitched	chr21	36258073	36264054	2	5960	11697.0417	1672.2876	175	RUNX1		RUNX1	RUNX1	0.0753	175	1
3_MACS_peak_13284_lociStitched	chr19	6765319	6779292	3	9017	13710.3076	3695.8585	176	VAV1,SH2D3A	TRIP10,C3,GPR108	VAV1	GPR108	0.5468000000000001	176	1
3_MACS_peak_23067_lociStitched	chr6	315611	330468	3	14552	16549.2123	6599.4794	177	DUSP22		DUSP22	DUSP22	0.32800000000000007	177	1
3_MACS_peak_3458_lociStitched	chr10	74007195	74024134	3	7916	13237.8285	3292.9416	178		ANAPC16,DDIT4,ASCC1	DDIT4	DDIT4	0.26669999999999994	178	1
1_MACS_peak_13654_lociStitched	chr19	16434272	16443078	1	8807	11754.2488	1870.3944	179	KLF2		KLF2	KLF2	0.8257999999999999	179	1
3_MACS_peak_20532_lociStitched	chr4	1712645	1728669	3	8143	12059.6624	2177.6616	180	TACC3,SLBP,TMEM129	FAM53A	TMEM129	TMEM129	0.6198	180	1
3_MACS_peak_17643_lociStitched	chr20	62358454	62371018	3	8397	12242.3616	2363.2884	181	ZGPAT,LIME1	TNFRSF6B,SLC2A4RG,ARFRP1	LIME1	LIME1	0.4224	181	1
2_MACS_peak_8975_lociStitched	chr15	75334588	75341075	2	5809	11721.3603	1842.9567	182	PPCDC	SCAMP5	PPCDC	PPCDC	0.3954	182	1
2_MACS_peak_5477_lociStitched	chr11	118795107	118801709	2	6245	11430.7028	1595.0432	183		CXCR5,UPK2,FOXR1,BCL9L	BCL9L	BCL9L	0.20409999999999998	183	1
4_MACS_peak_1711_lociStitched	chr1	155042793	155064517	4	11951	14694.1136	4861.8312	184	EFNA3	DCST1,ADAM15,EFNA4,EFNA1,SLC50A1,DCST2,DPM3	EFNA3	DPM3	0.4935999999999999	184	1
3_MACS_peak_27253_lociStitched	chr8	145047538	145064410	3	9528	12687.744	2866.5528	185	GRINA,PLEC,PARP10	SPATC1,PLEC,MIR661	PARP10	PARP10	0.5457000000000001	185	1
2_MACS_peak_25537_lociStitched	chr7	100025084	100035078	2	6217	11422.1426	1621.0268	186	MEPCE,ZCWPW1,C7orf47	C7orf51,C7orf61,TSC22D4	MEPCE	MEPCE	0.6688000000000001	186	1
5_MACS_peak_23519_lociStitched	chr6	30639724	30659119	5	10678	12845.3085	3045.015	187	DHX16,KIAA1949,NRM	ATAT1,C6orf136,TUBB,MDC1	KIAA1949	KIAA1949	0.46680000000000005	187	1
4_MACS_peak_12142_lociStitched	chr17	75078666	75092985	4	11848	13146.2739	3347.7822	188	C17orf86,SCARNA16	SEC14L1	SCARNA16	SCARNA16	0.6348	188	1
3_MACS_peak_13532_lociStitched	chr19	12991147	13003183	3	6807	11981.838	2208.606	189	GCDH,DNASE2,KLF1	MAST1,CALR,RTBDN,SYCE2,FARSA	KLF1	KLF1	0.773	189	1
3_MACS_peak_17322_lociStitched	chr20	43270811	43282144	3	10684	12204.5077	2434.3284	190	ADA	LOC79015	ADA	ADA	0.2832	190	1
2_MACS_peak_1804_lociStitched	chr1	156709288	156722615	2	9161	13426.9525	3660.9269	191	MRPL24,HDGF	C1orf66,PRCC,CRABP2,ISG20L2	MRPL24	C1orf66	0.4222	191	1
5_MACS_peak_11014_lociStitched	chr17	19078339	19106484	5	10805	14052.7985	4297.7415	192		GRAPL,EPN2	EPN2	GRAPL	0.1726	192	1
3_MACS_peak_10849_lociStitched	chr17	7475286	7488534	3	8173	12604.1472	2866.8672	193	SENP3,EIF4A1,SNORA48,SNORD10,SNORA67,CD68,MPDU1	TNFSF12,TNFSF13,SHBG,SOX15,FXR2,SAT2	SNORA67	SNORA67	0.6073	193	1
1_MACS_peak_23606_lociStitched	chr6	32935137	32941515	1	6379	11483.589	1757.7768	194	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	0.49549999999999994	194	1
2_MACS_peak_2612_lociStitched	chr1	226308178	226316833	2	7543	12620.721	2897.694	195			ACBD3	ACBD3	NONE	195	1
4_MACS_peak_13539_lociStitched	chr19	13043559	13057435	4	9033	12044.368	2346.4316	196	CALR,RAD23A,FARSA	GCDH,DAND5,NFIX,KLF1,SYCE2,GADD45GIP1	CALR	KLF1	0.773	196	1
2_MACS_peak_4787_lociStitched	chr11	62598226	62610470	2	7042	12175.4336	2478.1856	197	STX5,WDR74	TMEM179B,SLC3A2,TMEM223,NXF1,SNORD22,SNORD31,SNORD30,SNORD29,SNORD28,SNORD27,SNORD26,SNORD25,SNHG1	WDR74	WDR74	0.6039	197	1
2_MACS_peak_10713_lociStitched	chr17	2294925	2305825	2	7118	11347.99	1664.43	198	MNT	LOC284009	MNT	MNT	0.4306	198	1
3_MACS_peak_11004_lociStitched	chr17	18958333	18974704	3	7973	12464.8794	2786.3442	199		GRAP	GRAP	GRAP	0.1528	199	1
1_MACS_peak_2282_lociStitched	chr1	203255503	203261108	1	5606	12006.4705	2350.737	200		BTG2,LOC730227	LOC730227	BTG2	0.6887000000000001	200	1
5_MACS_peak_12211_lociStitched	chr17	76712613	76733397	5	12116	14016.7296	4364.64	201	CYTH1		CYTH1	CYTH1	0.1916	201	1
1_MACS_peak_27632_lociStitched	chr9	66454553	66459092	1	4540	12447.7536	2797.3857	202		LOC442421	LOC442421	LOC442421	0.25980000000000003	202	1
2_MACS_peak_1668_lociStitched	chr1	153929754	153941419	2	8342	13127.791	3479.6695	203	CREB3L4,CRTC2,SLC39A1	RPS27,GATAD2B,DENND4B,JTB,RAB13	CRTC2	CRTC2	0.544	203	1
3_MACS_peak_4774_lociStitched	chr11	62431595	62448704	3	8212	12378.3615	2747.7054	204	METTL12,SNORA57,C11orf83,C11orf48,UBXN1	GNG3,TTC9C,B3GAT3,GANAB,INTS5,LRRN4CL,BSCL2,HNRNPUL2	C11orf48	C11orf48	0.45410000000000006	204	1
2_MACS_peak_19323_lociStitched	chr3	49054883	49067369	2	7292	12276.2352	2652.0264	205	NDUFAF3,DALRD3,MIR425,MIR191,IMPDH2,QRICH1	P4HTM,WDR6	NDUFAF3	NDUFAF3	0.6603	205	1
5_MACS_peak_13638_lociStitched	chr19	16177190	16198113	5	9753	13298.6588	3676.1711	206	TPM4	FLJ25328,RAB8A,HSH2D	TPM4	HSH2D	0.6393	206	1
2_MACS_peak_11361_lociStitched	chr17	37909405	37915227	2	5169	11120.02	1498.5828	207		GRB7,C17orf37	GRB7	C17orf37	0.25259999999999994	207	1
4_MACS_peak_10973_lociStitched	chr17	17725626	17744313	4	6984	12467.9664	2866.5858	208	SREBF1	SMCR5,MIR33B	SREBF1	SREBF1	0.3872	208	1
3_MACS_peak_9483_lociStitched	chr16	2008625	2022872	3	8199	12077.1819	2497.4991	209	NDUFB10,SNHG9,SNORA78,RNF151,TBL3,RPS2,SNORA10,SNORA64	GFER,SYNGR3,NPW,HS3ST6,SEPX1,RPL3L,NOXO1,ZNF598	SNORA78	SNORA78	0.4292	209	1
3_MACS_peak_12932_lociStitched	chr19	653729	665782	3	8228	11804.7082	2232.2156	210	RNF126	FGF22,FSTL3,PALM,POLRMT,PRSSL1	RNF126	RNF126	0.4793	210	1
4_MACS_peak_20154_lociStitched	chr3	169480600	169491969	4	7006	12530.9118	2963.8983	211	MYNN,TERC,ARPM1	MYNN,LRRIQ4,LRRC34	ARPM1	ARPM1	0.7322	211	1
1_MACS_peak_1447_lociStitched	chr1	143912225	143917069	1	4845	11313.162	1758.8564	212	SRGAP2P2,FAM72D		SRGAP2P2	SRGAP2P2	0.05630000000000002	212	1
1_MACS_peak_15771_lociStitched	chr2	111874339	111882353	1	8015	11004.8248	1462.555	213	ACOXL,BCL2L11		BCL2L11	BCL2L11	0.189	213	1
3_MACS_peak_20438_lociStitched	chr3	195350795	195363920	3	7019	12723.375	3199.875	214		SDHAP2,APOD	SDHAP2	SDHAP2	0.1288	214	1
2_MACS_peak_1471_lociStitched	chr1	145394610	145401054	2	6343	11576.0016	2062.7244	215		HFE2,TXNIP	HFE2	TXNIP	0.2917	215	1
3_MACS_peak_16353_lociStitched	chr2	201979841	201992672	3	8983	13050.4101	3549.0546	216	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	0.21299999999999997	216	1
2_MACS_peak_3518_lociStitched	chr10	77159242	77169985	2	8301	10826.7954	1334.2806	217	NCRNA00245,ZNF503		NCRNA00245	NCRNA00245	0.5579999999999999	217	1
3_MACS_peak_18271_lociStitched	chr22	24819120	24832079	3	9570	11911.9128	2468.6895	218	ADORA2A,C22orf45		ADORA2A	ADORA2A	0.4278	218	1
5_MACS_peak_14084_lociStitched	chr19	41104111	41120919	5	9810	12653.0624	3243.944	219	LTBP4	SHKBP1	LTBP4	LTBP4	0.2923	219	1
3_MACS_peak_22968_lociStitched	chr5	176726907	176740581	3	9853	12257.3736	2860.6008	220	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	PRELID1	PRELID1	0.6326	220	1
2_MACS_peak_15948_lociStitched	chr2	133024362	133031956	2	7442	15565.4218	6175.4408	221		MIR663B,ANKRD30BL	ANKRD30BL	MIR663B	0.5412	221	1
2_MACS_peak_15314_lociStitched	chr2	65657325	65664839	2	6109	10775.076	1393.0956	222	SPRED2		SPRED2	SPRED2	0.11529999999999999	222	1
1_MACS_peak_2356_lociStitched	chr1	206133845	206139842	1	5998	11218.5879	1881.2589	223	FAM72A		FAM72A	FAM72A	0.3252	223	1
3_MACS_peak_1902_lociStitched	chr1	161144443	161156930	3	9390	13088.8734	3773.5714	224	B4GALT3	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,ADAMTS4,APOA2	B4GALT3	B4GALT3	0.5977999999999999	224	1
1_MACS_peak_27152_lociStitched	chr8	134579409	134585639	1	6231	10800.328	1500.184	225	ST3GAL1		ST3GAL1	ST3GAL1	0.18009999999999998	225	1
5_MACS_peak_17083_lociStitched	chr20	30279433	30298203	5	8958	13810.966	4517.939	226	BCL2L1	TPX2	BCL2L1	BCL2L1	0.3339	226	1
3_MACS_peak_14386_lociStitched	chr19	49369310	49385785	3	9084	12448.51	3173.085	227	PPP1R15A,PLEKHA4,TULP2	NUCB1,HSD17B14	PPP1R15A	PPP1R15A	0.5861000000000001	227	1
1_MACS_peak_1677_lociStitched	chr1	154296736	154302801	1	6066	11161.4195	1888.641	228	AQP10,ATP8B2		ATP8B2	ATP8B2	0.49000000000000005	228	1
2_MACS_peak_11325_lociStitched	chr17	36856550	36863138	2	6482	10716.6996	1467.1476	229	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	MLLT6	0.38339999999999996	229	1
4_MACS_peak_22870_lociStitched	chr5	171601252	171616077	4	10003	12294.3725	3052.4675	230	STK10	EFCAB9	STK10	STK10	0.1169	230	1
1_MACS_peak_11469_lociStitched	chr17	40826886	40835233	1	8348	10972.1315	1740.3495	231	CNTNAP1,PLEKHH3,CCR10	TUBG2	PLEKHH3	PLEKHH3	0.5342	231	1
1_MACS_peak_8881_lociStitched	chr15	70387298	70394699	1	7402	10684.8237	1503.1431	232	TLE3	MIR629	TLE3	TLE3	0.23769999999999997	232	1
2_MACS_peak_22431_lociStitched	chr5	131824377	131837515	2	9868	11981.856	2853.5736	233	IRF1	IL5	IRF1	IRF1	0.3524	233	1
1_MACS_peak_7539_lociStitched	chr13	114829299	114835017	1	5719	10574.8692	1462.6644	234	RASA3		RASA3	RASA3	0.26749999999999996	234	1
2_MACS_peak_1983_lociStitched	chr1	167682334	167692158	2	6225	11727.8912	2633.8144	235	MPZL1		MPZL1	MPZL1	0.01670000000000002	235	1
1_MACS_peak_3902_lociStitched	chr10	112113134	112119013	1	5880	11204.7861	2113.5005	236		SMNDC1	SMNDC1	SMNDC1	0.0339	236	1
5_MACS_peak_18566_lociStitched	chr22	39398331	39421809	5	8758	13056.1158	3965.4342	237	APOBEC3C,APOBEC3D	APOBEC3A,APOBEC3B,APOBEC3F	APOBEC3C	APOBEC3C	0.4205	237	1
6_MACS_peak_5625_lociStitched	chr11	128586090	128605282	6	10253	13307.7328	4227.9976	238	FLI1		FLI1	FLI1	0.14840000000000003	238	1
2_MACS_peak_3828_lociStitched	chr10	104401469	104413231	2	7033	10858.6784	1781.943	239	TRIM8		TRIM8	TRIM8	0.4771	239	1
2_MACS_peak_12919_lociStitched	chr19	505848	514724	2	7719	11647.9748	2592.6796	240	C19orf20	MADCAM1,CDC34,GZMM,SHC2,ODF3L2	C19orf20	C19orf20	0.49749999999999994	240	1
4_MACS_peak_12302_lociStitched	chr17	79817483	79830638	4	8956	11188.3275	2137.6875	241	P4HB,ARHGDIA	ANAPC11,NPB,FAM195B,DYSFIP1,THOC4,PCYT2,SIRT7	ARHGDIA	ARHGDIA	0.47650000000000003	241	1
4_MACS_peak_4899_lociStitched	chr11	65306687	65326846	4	7861	12045.0025	3007.7228	242	LTBP3	MALAT1,SCYL1,SSSCA1,FAM89B,EHBP1L1,KCNK7	LTBP3	MALAT1	0.7288999999999999	242	1
3_MACS_peak_2653_lociStitched	chr1	228288540	228300516	3	6973	11682.588	2656.2768	243	C1orf35,MRPL55	ARF1,MIR3620,GUK1,GJC2	MRPL55	MRPL55	0.6772	243	1
4_MACS_peak_18447_lociStitched	chr22	36772669	36784979	4	8528	11219.334	2205.952	244	MYH9		MYH9	MYH9	0.2412	244	1
3_MACS_peak_3818_lociStitched	chr10	104153334	104164552	3	7265	11078.8968	2086.548	245	NFKB2,PSD	FBXL15,MIR146B,CUEDC2,C10orf95	NFKB2	NFKB2	0.5347	245	1
3_MACS_peak_10876_lociStitched	chr17	8087546	8104702	3	9959	12429.522	3463.7964	246	MIR3676,C17orf59	PFAS,PER1,VAMP2,TMEM107,AURKB,C17orf44,C17orf68	C17orf59	C17orf59	0.5967	246	1
2_MACS_peak_5446_lociStitched	chr11	117877664	117884051	2	5672	10541.1048	1578.8664	247		IL10RA	IL10RA	IL10RA	0.2342	247	1
3_MACS_peak_2222_lociStitched	chr1	200850630	200863323	3	8231	12234.7827	3311.6037	248	C1orf106	GPR25,C1orf106	C1orf106	C1orf106	0.32789999999999997	248	1
3_MACS_peak_10229_lociStitched	chr16	57569104	57579123	3	6541	10748.3832	1832.4751	249	GPR114,CCDC102A	DOK4	GPR114	GPR114	0.17659999999999998	249	1
3_MACS_peak_23048_lociStitched	chr5	180642894	180651727	3	6628	10922.8878	2028.9401	250	TRIM41	TRIM7,SNORD96A,SNORD95,GNB2L1,TRIM52	TRIM41	SNORD95	0.5895999999999999	250	1
4_MACS_peak_13210_lociStitched	chr19	4722523	4735159	4	8163	11263.7304	2388.204	251	DPP9	C19orf30,MIR7-3	DPP9	DPP9	0.2389	251	1
2_MACS_peak_2370_lociStitched	chr1	206728549	206737746	2	9071	12163.0325	3301.723	252	RASSF5	LGTN	RASSF5	RASSF5	0.1854	252	1
3_MACS_peak_9433_lociStitched	chr16	685079	700305	3	7524	10580.5474	1722.0606	253	FAM195A,WDR90,C16orf13	RAB40C,WFIKKN1,RHOT2,RHBDL1,STUB1,JMJD8,WDR24	FAM195A	FAM195A	0.43920000000000003	253	1
5_MACS_peak_16638_lociStitched	chr2	232687398	232714085	5	12087	12580.2518	3768.2044	254		COPS7B,PDE6D,MIR1471	COPS7B	COPS7B	0.054400000000000004	254	1
4_MACS_peak_4766_lociStitched	chr11	62357540	62370485	4	7497	11382.5385	2574.7605	255	TUT1,MTA2,EML3	ROM1,AHNAK,EEF1G,B3GAT3,GANAB	TUT1	B3GAT3	0.39270000000000005	255	1
4_MACS_peak_26190_lociStitched	chr8	2028581	2041163	4	8819	11732.715	2930.3478	256	MYOM2		MYOM2	MYOM2	0.20010000000000003	256	1
2_MACS_peak_22978_lociStitched	chr5	176852299	176859716	2	7364	10498.7635	1727.4193	257	GRK6	SLC34A1,PRR7,PFN3,F12,DBN1	GRK6	GRK6	0.49760000000000004	257	1
3_MACS_peak_4864_lociStitched	chr11	64850751	64864578	3	6838	11144.562	2387.9229	258	ZFPL1,C11orf2,CDCA5	SAC3D1,TM7SF2,MRPL49,NAALADL1,ZNHIT2,FAU,SYVN1	ZFPL1	ZNHIT2	0.6113	258	1
4_MACS_peak_25809_lociStitched	chr7	128162379	128177961	4	9217	11586.7752	2839.0404	259		METTL2B	METTL2B	METTL2B	0.1978	259	1
4_MACS_peak_14235_lociStitched	chr19	45970269	45989616	4	11215	11826.8211	3105.1935	260	FOSB,RTN2	PPM1N,VASP,ERCC1	FOSB	FOSB	0.43600000000000005	260	1
7_MACS_peak_8027_lociStitched	chr14	91829926	91846273	7	13778	11169.9051	2473.3011	261	CCDC88C		CCDC88C	CCDC88C	0.21490000000000004	261	1
2_MACS_peak_13643_lociStitched	chr19	16220957	16231769	2	7122	11028.24	2351.61	262	RAB8A	TPM4,HSH2D	RAB8A	HSH2D	0.6393	262	1
3_MACS_peak_16503_lociStitched	chr2	219260062	219272059	3	6722	10345.0131	1677.1806	263	SLC11A1,CTDSP1,MIR26B	C2orf62,VIL1	CTDSP1	CTDSP1	0.5584	263	1
8_MACS_peak_12943_lociStitched	chr19	850322	880246	8	12134	12693.7608	4033.7552	264	ELANE,CFD,MED16	MIR3187,AZU1,PRTN3,KISS1R,ARID3A,LPPR3,C19orf22	CFD	KISS1R	0.6346999999999999	264	1
1_MACS_peak_22239_lociStitched	chr5	96269749	96272947	1	3199	9373.0182	716.6718	265	LNPEP	LNPEP	LNPEP	LNPEP	0.03430000000000001	265	1
4_MACS_peak_515_lociStitched	chr1	27018327	27029672	4	7590	11078.3925	2440.3095	266	ARID1A		ARID1A	ARID1A	0.1539	266	1
1_MACS_peak_15215_lociStitched	chr2	60776185	60783206	1	7022	9851.1651	1213.2288	267	BCL11A		BCL11A	BCL11A	0.08600000000000001	267	1
4_MACS_peak_24708_lociStitched	chr7	5459929	5476957	4	10201	10853.6472	2230.668	268	TNRC18		TNRC18	TNRC18	0.16429999999999997	268	1
1_MACS_peak_2125_lociStitched	chr1	183439096	183442901	1	3806	10115.5925	1493.4625	269	SMG7		SMG7	SMG7	0.03670000000000001	269	1
4_MACS_peak_18530_lociStitched	chr22	38701405	38715028	4	9862	11162.6862	2550.2256	270	CSNK1E	TMEM184B	CSNK1E	CSNK1E	0.3341	270	1
6_MACS_peak_14907_lociStitched	chr2	27293585	27310653	6	9185	11497.0048	2896.4396	271	EMILIN1,KHK,OST4	TMEM214,AGBL5,ABHD1,CGREF1,PREB	EMILIN1	EMILIN1	0.37710000000000005	271	1
4_MACS_peak_6789_lociStitched	chr12	109161486	109179513	4	8949	11950.0983	3365.6409	272	SSH1	CORO1C,SSH1	CORO1C	SSH1	0.1515	272	1
5_MACS_peak_11993_lociStitched	chr17	70583712	70602113	5	11256	11916.4876	3341.6216	273	LOC100499467,FLJ26484		LOC100499467	LOC100499467	0.0939	273	1
2_MACS_peak_11556_lociStitched	chr17	43223993	43230345	2	5129	9841.7888	1289.456	274	HEXIM1	ACBD4,HEXIM2,PLCD3	HEXIM1	HEXIM1	0.6603	274	1
3_MACS_peak_1660_lociStitched	chr1	153755360	153770654	3	7398	12157.2006	3607.8546	275		SLC27A3	SLC27A3	SLC27A3	0.4243	275	1
2_MACS_peak_13266_lociStitched	chr19	6458620	6465171	2	4548	10032.2014	1485.1117	276	CRB3,SLC25A23	MIR3940,KHSRP,SLC25A41,DENND1C,TUBB4	SLC25A23	SLC25A23	0.35869999999999996	276	1
6_MACS_peak_5834_lociStitched	chr12	7022601	7038652	6	10001	11588.822	3065.741	277	LRRC23,ENO2,ATN1	TPI1,RPL13P5,DSTNP2,C12orf57,PTPN6,MIR200C,MIR141,EMG1,SPSB2,SCARNA12,PHB2	ATN1	PTPN6	0.9156000000000001	277	1
2_MACS_peak_58_lociStitched	chr1	1668671	1679004	2	6668	10356.7659	1836.1741	278	SLC35E2	SLC35E2B,CDK11B,CDK11A,NADK	SLC35E2	SLC35E2	0.41169999999999995	278	1
3_MACS_peak_25307_lociStitched	chr7	74057425	74076290	3	9290	11509.5365	3012.7405	279	GTF2I		GTF2I	GTF2I	0.07650000000000001	279	1
1_MACS_peak_25165_lociStitched	chr7	55599709	55605515	1	5807	10074.5712	1593.747	280	VOPP1		VOPP1	VOPP1	0.2331	280	1
2_MACS_peak_8177_lociStitched	chr14	105946946	105958485	2	7008	9913.1549	1434.2977	281	CRIP1,C14orf80	CRIP2,TMEM121	CRIP1	CRIP1	0.6649	281	1
