GENE_ID	locusLine	bin_1_05_0EWR_0229Kronos_MM1S-KB-3hr-1_H3K18Ac_hs-dm_i07.bam
NM_001013717	chr5(.):131741672-131803059	1.4948
NM_000879	chr5(.):131872135-131884214	0.0811
NM_016480	chr5(.):138672518-138710409	0.1274
NM_194296	chr5(.):138727455-138744776	0.7166
NM_152686	chr5(.):138740891-138780214	0.4578
NM_152685	chr5(.):138697884-138724039	0.2447
NM_001033112	chr5(.):138673133-138710409	0.1271
NM_001161546	chr5(.):138722634-138735885	2.2961
NM_016459	chr5(.):138718256-138730605	2.6521
NM_016463	chr5(.):139023300-139067680	0.5418
NM_000024	chr5(.):148201155-148213197	1.2449
NM_006058	chr5(.):150404505-150465997	0.2955
NM_001155	chr5(.):150475266-150542443	0.4379
NM_001193544	chr5(.):150475266-150526216	0.3497
NM_001171183	chr5(.):171616175-171635458	0.0723
NM_030627	chr5(.):173310330-173392313	0.5211
NM_001031677	chr5(.):176723198-176735744	1.6879
NM_006480	chr5(.):176779843-176804599	0.3233
NM_006816	chr5(.):176753562-176783885	0.288
NM_031300	chr5(.):176729205-176744292	1.4769
NM_001142935	chr5(.):176727500-176744292	1.7098
NM_013237	chr5(.):176725834-176738950	1.7092
NR_031598	chr5(.):179220277-179230346	0.5543
NM_145867	chr5(.):179215985-179228513	0.4518
NM_003900	chr5(.):179242841-179270077	0.7474
NM_016175	chr5(.):179259265-179290840	0.1464
NM_054013	chr5(.):179219597-179234875	0.6544
NM_014275	chr5(.):179219597-179238952	0.5392
NM_001142298	chr5(.):179228387-179270077	0.6142
NM_001142299	chr5(.):179229002-179270077	0.622
NR_027183	chr5(.):180251958-180267726	1.2036
NM_152283	chr5(.):180269610-180293286	0.3496
NR_027908	chr6(.):33548882-33566115	0.4804
NR_028361	chr6(.):33546475-33561803	0.8458
NM_181356	chr6(.):44791469-45350670	0.0856
NM_003599	chr6(.):44792449-45350575	0.0855
NM_012288	chr6(.):52357199-52446862	1.0735
NM_033515	chr6(.):129893239-130036370	0.3167
NM_001195286	chr6(.):386738-416443	0.6435
NM_000904	chr6(.):2995066-3024994	0.2915
NM_001168344	chr6(.):7102829-7257213	0.2913
NM_001003699	chr6(.):7103085-7257213	0.2916
NR_037616	chr6(.):7876482-8069647	0.9236
NM_002114	chr6(.):12007723-12170232	0.2983
NM_001173977	chr6(.):25274655-25625758	0.4644
NM_014641	chr6(.):30662583-30690458	0.8759
NM_001090	chr6(.):30534169-30564309	0.1409
NM_172166	chr6(.):31702724-31735455	0.9023
NM_004348	chr6(.):45384913-45523819	0.2853
NM_001024630	chr6(.):45291053-45523819	0.2263
NM_001123226	chr6(.):74166453-74216179	0.2574
NM_016021	chr6(.):90031343-90067619	0.8417
NM_001455	chr6(.):108877068-109010971	0.9783
NM_201559	chr6(.):108876025-109010971	0.9721
NM_006734	chr6(.):143067603-143271338	0.1979
NM_024630	chr6(.):157797556-158099977	0.1499
NM_020185	chr6(.):287100-356355	2.2283
NR_026855	chr6(.):2983200-2996405	1.092
NM_003804	chr6(.):3072057-3120421	0.0938
NR_033884	chr6(.):3015389-3030005	1.0916
NM_001012983	chr6(.):3040617-3051034	0.0466
NM_001145549	chr6(.):7876482-7915310	3.005
NM_030810	chr6(.):7876482-7916047	2.9764
NR_033910	chr6(.):10407550-10421402	0.9691
NM_001032280	chr6(.):10391915-10417607	0.6494
NM_001042425	chr6(.):10391915-10424797	0.566
NR_027793	chr6(.):10423017-10440055	0.3458
NM_003220	chr6(.):10391915-10420470	0.6402
NM_032744	chr6(.):11708887-11784280	0.5637
NM_005319	chr6(.):26050967-26061699	1.156
NM_003537	chr6(.):26026816-26037288	1.1007
NM_003544	chr6(.):26022123-26032480	0.8324
NM_021062	chr6(.):26038454-26048885	1.0717
NM_003531	chr6(.):26040638-26051097	1.0671
NM_005325	chr6(.):26012259-26023040	0.6337
NM_003538	chr6(.):26016906-26027278	0.9397
NM_003513	chr6(.):26028319-26038796	0.8481
NM_003529	chr6(.):26015717-26026186	0.711
NM_021065	chr6(.):26194011-26204471	1.6335
NM_003530	chr6(.):26192011-26204464	1.3917
NM_138720	chr6(.):26153348-26176576	0.7115
NM_003523	chr6(.):26179023-26189458	0.5267
NM_003539	chr6(.):26183937-26194304	0.6019
NM_003545	chr6(.):26199872-26210249	1.0583
NM_005321	chr6(.):26151558-26162343	0.8187
NM_003522	chr6(.):26194786-26205216	1.9158
NM_003518	chr6(.):26211427-26221872	0.5137
NM_021052	chr6(.):26212147-26222711	0.5162
NM_003543	chr6(.):26280353-26290727	1.0008
NM_003532	chr6(.):26220382-26230844	0.4711
NM_003524	chr6(.):26246878-26257303	1.422
NM_003534	chr6(.):26266145-26276612	1.8808
NM_003547	chr6(.):26241838-26252205	1.3213
NM_003540	chr6(.):26235653-26246021	0.1616
NM_021018	chr6(.):26245369-26255835	1.4175
NM_005320	chr6(.):26229439-26240216	0.7442
NM_003525	chr6(.):26268203-26278640	1.91
NM_001145008	chr6(.):26397464-26420444	0.2558
NM_001197240	chr6(.):26378328-26400100	0.3963
NM_001197247	chr6(.):26360397-26383540	1.3067
NM_001197238	chr6(.):26378323-26400100	0.3963
NM_007047	chr6(.):26360397-26383548	1.3075
NM_001197237	chr6(.):26378438-26400100	0.3952
NM_001197248	chr6(.):26360469-26383540	1.2938
NM_001197246	chr6(.):26363405-26383540	0.6169
NM_021064	chr6(.):27095816-27106314	1.2059
NM_080593	chr6(.):27101071-27119637	0.9785
NM_080596	chr6(.):27109907-27120346	0.8656
NR_036096	chr6(.):27110404-27120467	0.8932
NM_021058	chr6(.):27095094-27105575	1.2169
NM_003495	chr6(.):27102087-27112457	0.6365
NM_021066	chr6(.):27777079-27787518	0.7351
NM_003536	chr6(.):27772841-27783314	1.1405
NM_003509	chr6(.):27770976-27781445	0.8595
NM_003519	chr6(.):27770256-27780709	0.8464
NM_003521	chr6(.):27777821-27788267	0.7052
NM_003535	chr6(.):27853092-27863570	1.7345
NM_003527	chr6(.):27856202-27866669	1.7662
NM_003520	chr6(.):27801439-27811888	1.6671
NM_003511	chr6(.):27828106-27838576	0.6515
NM_003533	chr6(.):27834622-27845099	0.2855
NM_003510	chr6(.):27800657-27811117	1.6653
NM_003541	chr6(.):27793951-27804305	0.503
NM_005322	chr6(.):27829569-27840359	0.6805
NM_033057	chr6(.):27873962-27885174	0.0516
NM_021968	chr6(.):27786902-27797258	0.5352
NM_003514	chr6(.):27855476-27865963	1.7665
NM_003546	chr6(.):27835925-27846289	0.1564
NM_003587	chr6(.):30615895-30645830	0.1056
NM_001031722	chr6(.):30589662-30619598	0.2532
NR_033823	chr6(.):30589612-30619598	0.2529
NM_001161376	chr6(.):30609815-30625987	0.3782
NM_002714	chr6(.):30563181-30590020	0.8182
NM_014046	chr6(.):30580485-30599174	1.1627
NM_133471	chr6(.):30639165-30660672	1.086
NM_001134870	chr6(.):30639165-30660093	1.1136
NM_007243	chr6(.):30650825-30663769	1.2296
NR_030615	chr6(.):30547108-30557194	0.0687
NM_005803	chr6(.):30690510-30715453	0.2747
NM_003897	chr6(.):30705975-30717327	0.3934
NM_178014	chr6(.):30683156-30698195	1.5966
NM_007109	chr6(.):31121302-31136992	0.4193
NM_001173531	chr6(.):31127113-31139615	0.1796
NR_026791	chr6(.):31160536-31176745	1.2399
NM_019052	chr6(.):31105215-31131015	0.2574
NM_001105563	chr6(.):31105215-31130566	0.2613
NR_026816	chr6(.):31136511-31150676	0.1197
NM_002701	chr6(.):31127113-31143451	0.1533
NM_004847	chr6(.):31577993-31589798	0.7176
NM_001623	chr6(.):31578032-31589798	0.72
NM_032955	chr6(.):31578788-31589798	0.7664
NM_080702	chr6(.):31601804-31625477	0.4184
NM_001098534	chr6(.):31601804-31625170	0.4239
NM_021246	chr6(.):31678132-31690581	0.1061
NM_138275	chr6(.):31686160-31697851	0.6844
NR_033488	chr6(.):31649725-31675850	0.2527
NM_001320	chr6(.):31628656-31642843	0.6341
NM_013974	chr6(.):31689816-31703039	0.9472
NM_025262	chr6(.):31639460-31653150	0.1652
NM_001288	chr6(.):31693357-31709341	2.4163
NM_019101	chr6(.):31618670-31630987	0.9147
NM_021184	chr6(.):31621074-31633549	0.7583
NM_001003693	chr6(.):31669683-31683372	0.4316
NM_021221	chr6(.):31633727-31645227	0.1365
NM_021160	chr6(.):31649725-31676137	0.2524
NR_002971	chr6(.):31585855-31595987	0.7141
NR_024541	chr6(.):31674752-31686842	0.1128
NM_080686	chr6(.):31583449-31610554	0.3117
NM_025261	chr6(.):31681424-31694510	0.0916
NM_033177	chr6(.):31624005-31638179	0.7518
NM_001199240	chr6(.):31624005-31638407	0.7421
NM_001199238	chr6(.):31624005-31638639	0.7316
NM_001199237	chr6(.):31624005-31639060	0.7133
NM_001039651	chr6(.):31725772-31737624	0.1053
NM_025258	chr6(.):31728370-31750108	0.4292
NR_002742	chr6(.):31799852-31809916	1.0084
NM_000434	chr6(.):31821828-31835709	0.3229
NM_021177	chr6(.):31760173-31779743	0.7877
NR_002745	chr6(.):31798039-31808103	1.0576
NM_001178045	chr6(.):31825969-31850448	0.2154
NM_001040438	chr6(.):31797692-31812541	0.7499
NM_005345	chr6(.):31778290-31790719	0.7242
NM_005527	chr6(.):31772395-31787835	0.3785
NM_001178044	chr6(.):31825969-31851823	0.2071
NM_006295	chr6(.):31740296-31768712	0.8948
NM_005346	chr6(.):31790511-31803031	1.0285
NM_006120	chr6(.):32911390-32925899	0.2831
NM_002119	chr6(.):32966959-32982389	0.0739
NM_002118	chr6(.):32897405-32913847	0.2744
NM_005104	chr6(.):32931436-32954282	2.2284
NM_001113182	chr6(.):32933664-32954282	2.4606
NM_001199455	chr6(.):32934371-32954282	2.5422
NM_001199456	chr6(.):32935860-32954282	2.6718
NM_001164267	chr6(.):33241879-33262304	0.1776
NM_022551	chr6(.):33234851-33249281	0.5013
NM_172209	chr6(.):33262471-33287164	0.6718
NM_004761	chr6(.):33254430-33272176	0.4851
NM_172208	chr6(.):33266409-33287164	0.7362
NM_003782	chr6(.):33239916-33251602	0.2225
NR_024517	chr6(.):33281334-33295793	1.0627
NM_014260	chr6(.):33252377-33263711	0.2381
NM_005453	chr6(.):33277181-33290512	0.8852
NM_001145338	chr6(.):33277181-33290719	0.922
NM_022553	chr6(.):33213048-33244662	0.398
NM_001185181	chr6(.):33252411-33263709	0.2388
NR_001444	chr6(.):33327513-33339139	0.085
NM_001188	chr6(.):33535322-33553070	0.86
NM_002224	chr6(.):33584155-33669348	0.1753
NM_002648	chr6(.):37132921-37148204	1.1104
NM_000322	chr6(.):42659332-42695358	0.1153
NM_003192	chr6(.):42707233-42718884	0.6559
NR_037141	chr6(.):42690313-42700932	0.1605
NM_015349	chr6(.):42783793-42841296	0.0807
NM_001402	chr6(.):74220472-74235755	1.5397
NM_002043	chr6(.):89962238-90029967	0.2096
NM_182907	chr6(.):106541814-106562811	3.1387
NM_001198	chr6(.):106529194-106562814	3.18
NM_001145207	chr6(.):135351994-135381036	0.2131
NM_006620	chr6(.):135276516-135381036	0.2917
NR_037435	chr6(.):135295475-135305570	0.0818
NM_006290	chr6(.):138183580-138209449	0.9645
NR_037463	chr6(.):157945163-157955232	0.0499
NM_004289	chr7(.):26186846-26231756	0.4115
NM_030796	chr7(.):55533305-55645200	1.3996
NM_012301	chr7(.):77641373-79087890	0.1051
NR_033766	chr7(.):113721364-114338827	0.1343
NM_001145354	chr7(.):130789854-131186398	0.2293
NM_001164459	chr7(.):149939300-150005069	0.0874
NM_001164458	chr7(.):149939300-150025758	0.2881
NM_182762	chr7(.):20169278-20262013	0.4765
NM_002214	chr7(.):20365724-20460382	0.47
NM_002541	chr7(.):44641120-44753669	0.3681
NM_001003941	chr7(.):44641120-44721195	0.4921
NM_022748	chr7(.):47309751-47584199	0.2261
NM_006060	chr7(.):50339377-50477798	0.2466
NM_012395	chr7(.):90333711-90844904	0.1885
NM_017984	chr7(.):99993494-100031302	0.5794
NM_017621	chr7(.):102091666-102110321	0.5072
NM_182931	chr7(.):104649636-104759532	0.4377
NM_022444	chr7(.):122748587-122845025	0.2996
NM_001098627	chr7(.):128575771-128595088	1.188
NM_001098630	chr7(.):128572993-128595088	1.2432
NM_032643	chr7(.):128573270-128595088	1.1895
NM_003344	chr7(.):129467994-129597789	0.2625
NR_015431	chr7(.):130623918-130798562	0.3257
NR_024153	chr7(.):130623918-130796789	0.3268
NM_014149	chr7(.):134863589-134901316	0.1739
NM_016019	chr7(.):139039633-139113200	0.319
NM_001166254	chr7(.):139473046-139725125	0.2936
NR_029394	chr7(.):139523951-139725125	0.2581
NM_152998	chr7(.):148499474-148586414	0.3408
NM_173680	chr7(.):150071405-150100719	2.0551
NM_013321	chr7(.):2286404-2359099	0.0833
NM_003751	chr7(.):2389473-2425377	0.7867
NM_018641	chr7(.):2438258-2479216	0.4055
NR_029597	chr7(.):25984538-25994606	1.7431
NM_031243	chr7(.):26224555-26245413	0.9178
NM_016587	chr7(.):26236323-26257976	0.8624
NM_007276	chr7(.):26236098-26257976	0.8539
NM_019082	chr7(.):44600402-44619137	0.1969
NM_182547	chr7(.):44613761-44626827	0.5308
NM_001123065	chr7(.):47689841-47706246	0.1434
NM_001163636	chr7(.):74067029-74180022	0.1894
NM_013439	chr7(.):99966067-100002722	0.2072
NM_173564	chr7(.):100076549-100097422	0.1624
NM_030935	chr7(.):100059141-100081902	0.227
NM_145030	chr7(.):100027911-100039094	0.4859
NM_019606	chr7(.):100022253-100036749	1.4421
NM_001194992	chr7(.):100021412-100036749	1.3746
NM_001004323	chr7(.):100049237-100066894	0.0736
NM_020979	chr7(.):101923404-101967178	0.8326
NR_036245	chr7(.):101931368-101941453	0.7092
NM_032831	chr7(.):102068995-102102268	1.8565
NM_024653	chr7(.):102031803-102072129	1.25
NM_001146210	chr7(.):101981191-102001889	0.1166
NM_006234	chr7(.):102108547-102124381	0.2679
NM_152892	chr7(.):102100389-102118612	0.3493
NR_027374	chr7(.):104530074-104572092	0.3503
NR_024586	chr7(.):104645988-104659588	2.9476
NM_002649	chr7(.):106500923-106552592	0.7643
NM_001166346	chr7(.):114557208-114568720	1.983
NM_199072	chr7(.):114557208-114664970	0.6436
NM_001024613	chr7(.):121936447-121949565	0.7832
NR_036484	chr7(.):121938711-121955131	1.4821
NM_018396	chr7(.):128111782-128147978	0.5212
NM_199349	chr7(.):128525000-128555773	0.1434
NM_018295	chr7(.):134827765-134855967	1.2035
NR_024185	chr7(.):134845531-134860532	1.5355
NM_197964	chr7(.):139020896-139035541	1.1723
NM_002769	chr7(.):142452318-142465927	0.1572
NM_004445	chr7(.):142547791-142573847	0.1681
NM_002770	chr7(.):142474907-142486378	0.1371
NR_001296	chr7(.):142473756-142487399	0.1344
NM_013400	chr7(.):150060878-150076133	3.8083
NM_014374	chr7(.):150063257-150076133	4.4187
NM_001142928	chr7(.):150015295-150040245	0.7301
NM_002889	chr7(.):150030406-150043763	0.0961
NM_138434	chr7(.):150021937-150034811	0.0835
NR_027237	chr7(.):150097839-150114558	2.8133
NM_175571	chr7(.):150142961-150181483	0.1069
NR_034033	chr7(.):150125741-150150228	0.9477
NM_080838	chr8(.):134198311-134245053	0.5074
NM_003882	chr8(.):134198311-134246571	0.5961
NM_004103	chr8(.):27163998-27321903	0.4906
NM_173176	chr8(.):27178053-27321903	0.5017
NM_172366	chr8(.):28280928-28352784	0.3402
NM_173175	chr8(.):27178080-27321903	0.5018
NM_001386	chr8(.):26430420-26520693	0.2608
NM_001197293	chr8(.):26366708-26520693	0.232
NM_001010906	chr8(.):27874480-27946388	0.3901
NR_033651	chr8(.):72751350-72973547	0.1554
NR_033652	chr8(.):72750357-72973547	0.155
NM_022783	chr8(.):120880899-121068157	0.4169
NM_173685	chr8(.):126099082-126384367	0.2868
NM_003033	chr8(.):134462090-134589183	0.4697
NM_003970	chr8(.):1988157-2098380	0.868
NM_171982	chr8(.):27137403-27173834	0.1846
NM_018091	chr8(.):27945583-28053669	0.0992
NM_017412	chr8(.):28346772-28426961	0.2868
NR_036250	chr8(.):28357632-28367699	0.0662
NM_057158	chr8(.):29188616-29211322	0.8849
NM_001394	chr8(.):29188619-29213185	0.8255
NR_026765	chr8(.):29573775-29610625	0.5189
NM_031415	chr8(.):130755441-130804134	0.4339
NM_014957	chr8(.):142133719-142210900	0.1997
NM_201378	chr8(.):144984320-145052697	0.4929
NM_032789	chr8(.):145046319-145065635	0.5085
NM_000445	chr8(.):144984320-145055913	0.4851
NM_201381	chr8(.):144984320-145023905	0.6161
NM_201382	chr8(.):144984320-145023110	0.6162
NM_201383	chr8(.):144984320-145021692	0.6189
NM_201379	chr8(.):144984320-145033088	0.5784
NM_001009184	chr8(.):145059225-145072583	0.3536
NM_201384	chr8(.):144984320-145018758	0.6635
NR_030383	chr8(.):145014358-145024447	1.0306
NM_201380	chr8(.):144984320-145030044	0.613
NM_002839	chr9(.):8309245-10617723	0.0733
NM_002919	chr9(.):3242036-3530983	0.1207
NM_134428	chr9(.):3219646-3530983	0.1159
NM_022490	chr9(.):37480944-37508693	0.1453
NM_001206	chr9(.):72994512-73034573	0.3001
NM_053016	chr9(.):112537576-112718756	0.259
NM_001037293	chr9(.):112398067-112718756	0.1744
NM_007203	chr9(.):112537576-112939791	0.3134
NM_001004065	chr9(.):112805877-112939791	0.4555
NM_005047	chr9(.):123573331-123610206	0.2313
NM_175039	chr9(.):130665164-130684305	0.9546
NM_013355	chr9(.):131459801-131488199	0.247
NM_015033	chr9(.):132644465-132810473	0.2736
NM_012166	chr9(.):37505888-37581250	0.4169
NR_033912	chr9(.):93820575-93842414	0.106
NM_005384	chr9(.):94166326-94191144	0.7781
NM_006401	chr9(.):100740488-100783224	0.5247
NM_197978	chr9(.):100684072-100705526	0.5912
NM_018437	chr9(.):100684072-100712134	0.4726
NM_001012993	chr9(.):112956845-112975413	0.0992
NM_001136562	chr9(.):112882780-112939791	0.654
NM_000608	chr9(.):117087068-117100536	0.1102
NM_030767	chr9(.):117091432-117161685	0.6016
NM_000607	chr9(.):117080302-117093759	0.1018
NM_005658	chr9(.):123659670-123694173	0.5328
NM_015651	chr9(.):123612930-123644606	0.7358
NM_001190945	chr9(.):123659670-123696451	0.5726
NM_001190947	chr9(.):123659670-123681850	0.4129
NM_001009936	chr9(.):123626852-123644606	1.2513
NR_024408	chr9(.):123600319-123621651	0.3609
NM_013443	chr9(.):130642600-130666871	0.1062
NM_000476	chr9(.):130623758-130645022	0.1144
NM_003863	chr9(.):130692373-130705763	0.3015
NM_203305	chr9(.):130697860-130717993	0.232
NM_001135219	chr9(.):130678807-130698076	0.5545
NM_173492	chr9(.):130678807-130694770	0.6512
NR_024425	chr9(.):130885807-130897913	0.6063
NR_027812	chr9(.):130877971-130895712	0.4444
NM_001006641	chr9(.):130825478-130876524	0.4492
NM_197956	chr9(.):130818511-130834599	0.6484
NM_001006643	chr9(.):130855835-130876524	0.0705
NM_001006642	chr9(.):130849127-130876524	0.0884
NM_052901	chr9(.):130855816-130876524	0.0711
NM_025072	chr9(.):130877971-130895474	0.447
NR_033374	chr9(.):130868449-130886013	0.0936
NM_001122821	chr9(.):131440933-131463675	0.6017
NM_052844	chr9(.):131390939-131424129	0.5438
NM_003011	chr9(.):131446508-131463675	0.599
NM_016520	chr9(.):132584563-132602572	0.288
NM_006676	chr9(.):132592695-132649107	0.2512
NM_001008563	chr9(.):132592756-132649107	0.2512
NM_032728	chr9(.):134160080-134189649	0.0916
NM_033387	chr9(.):134128464-134156906	0.8962
NM_178536	chr9(.):139841767-139854949	0.2607
NM_153200	chr9(.):139752232-139765738	0.2043
NM_000606	chr9(.):139834697-139846426	0.6082
NM_021138	chr9(.):139775964-139826067	0.781
NM_018998	chr9(.):139829886-139844173	0.3395
NM_206920	chr9(.):139741818-139760251	0.3233
NM_014172	chr9(.):139738255-139750490	0.435
NM_001001671	chrX(.):19373175-19538379	0.4711
NM_001123384	chrX(.):39905498-40041582	0.3282
NM_144495	chrX(.):48750194-48765420	0.2756
NM_001167990	chrX(.):48750212-48765420	0.2759
NM_001032384	chrX(.):48750538-48765420	0.2819
NM_001167992	chrX(.):48750774-48765420	0.2865
NM_001104544	chrX(.):119387504-119450391	0.4065
NM_005334	chrX(.):153208007-153241819	0.5865
NM_017745	chrX(.):39905498-39961719	0.1995
NM_001167947	chrX(.):48745729-48760426	0.3628
NM_001042498	chrX(.):48755888-48774235	0.2653
NM_001136158	chrX(.):48774302-48819893	1.1332
NM_001136159	chrX(.):48774302-48820648	1.1154
NM_006875	chrX(.):48765458-48781413	0.7884
NM_004979	chrX(.):48813638-48833251	0.2203
NM_005660	chrX(.):48755458-48773917	0.272
NM_001032289	chrX(.):48755889-48773933	0.2521
NM_003399	chrX(.):128867945-128908525	0.3334
NM_018990	chrX(.):128908891-128934176	0.5694
NM_000054	chrX(.):153165528-153177620	0.076
NM_000425	chrX(.):153121970-153146399	0.0253
NM_003491	chrX(.):153190376-153205468	1.1137
NM_001666	chrX(.):153167829-153196714	0.6102
NM_002910	chrX(.):153195721-153215232	0.1624
NR_027419	chrX(.):153162984-153177620	0.0697
NM_001025243	chrX(.):153270956-153290342	0.4779
NM_003492	chrX(.):153232990-153253646	1.0962
NR_031757	chrX(.):153280370-153290440	0.6786
NR_036175	chrX(.):153241548-153251627	0.4262
NR_036174	chrX(.):153241547-153251628	0.4263
NM_015892	chr10(.):125762181-125856930	0.8966
NM_014863	chr10(.):125774168-125856930	1.0168
NM_001083591	chr10(.):11201992-11383672	0.9824
NM_001025077	chr10(.):11042258-11383672	0.5792
NM_006561	chr10(.):11054892-11383672	0.5992
NM_024948	chr10(.):15815174-15907519	0.4182
NR_033842	chr10(.):45301471-45460137	0.3346
NM_032023	chr10(.):45450218-45495172	0.5793
NM_000698	chr10(.):45864628-45946563	0.6416
NM_032199	chr10(.):63656012-63861707	0.3189
NM_001198798	chr10(.):73851273-73980751	0.1192
NM_001198799	chr10(.):73851273-73981183	0.1188
NM_020338	chr10(.):80823791-81081285	0.2736
NM_145868	chr10(.):81909879-81970328	0.5659
NM_001134363	chr10(.):112399154-112604227	0.2504
NM_007373	chr10(.):112674300-112778425	0.1365
NM_005308	chr10(.):120962196-121220131	0.1683
NR_027653	chr10(.):3813187-3832473	1.4296
NM_025209	chr10(.):32552858-32641113	0.2939
NM_001098207	chr10(.):43876064-43897794	0.5881
NM_004966	chr10(.):43876064-43909656	0.7913
NM_173160	chr10(.):43862091-43876783	0.0622
NM_001098204	chr10(.):43876064-43909696	0.7904
NM_001098208	chr10(.):43876064-43897279	0.5993
NM_001098205	chr10(.):43876064-43909332	0.7981
NM_001098206	chr10(.):43876064-43908299	0.8206
NR_026693	chr10(.):43927573-43983007	0.2838
NM_001123376	chr10(.):45401763-45435642	0.1412
NM_007021	chr10(.):45466708-45479330	0.4682
NM_001039380	chr10(.):45488145-45501470	0.6598
NM_006963	chr10(.):45491272-45505777	0.5792
NM_173473	chr10(.):73970805-74000618	0.2067
NM_019058	chr10(.):74028676-74040797	0.3692
NM_020992	chr10(.):96992329-97055781	0.4496
NM_024326	chr10(.):104174570-104187893	0.4235
NM_002779	chr10(.):104157375-104183901	0.2949
NM_024040	chr10(.):104178001-104197423	0.4855
NM_002502	chr10(.):104150431-104167281	1.1602
NM_001077494	chr10(.):104149338-104167281	1.0923
NM_001077493	chr10(.):104149228-104167281	1.0858
NR_030169	chr10(.):104191268-104201341	0.4178
NM_030912	chr10(.):104399251-104423076	1.052
NM_001083913	chr10(.):104498726-104581021	0.5001
NM_017787	chr10(.):104530887-104581021	0.6664
NR_024552	chr10(.):105201542-105217162	0.355
NM_001129742	chr10(.):105227560-105243997	1.1395
NM_001001412	chr10(.):105208143-105223648	0.4641
NM_004210	chr10(.):105248734-105357309	0.3299
NM_005871	chr10(.):112047797-112069707	0.2403
NM_004419	chr10(.):112252624-112276302	1.0537
NM_145341	chr10(.):112626595-112664764	0.3167
NM_001195307	chr10(.):112653487-112684124	0.3048
NM_001195306	chr10(.):112653487-112683694	0.3083
NR_026932	chr10(.):112623647-112635662	1.6315
NM_207127	chr10(.):135187740-135210198	0.8468
NM_138384	chr10(.):135202620-135239174	0.3966
NM_145202	chr10(.):135155843-135171187	0.0748
NM_001012508	chr10(.):135229169-135243121	0.0357
NM_001098483	chr10(.):135163794-135176529	0.075
NM_004092	chr10(.):135170986-135191908	0.1528
NR_037509	chr10(.):135180059-135190167	0.2267
NM_001111018	chr11(.):19367270-20148147	0.1869
NM_006819	chr11(.):63948586-63977020	0.4962
NM_001098517	chr11(.):115039344-115380241	0.3228
NM_030962	chr11(.):9795213-10320754	0.0749
NM_001143830	chr11(.):22683159-22839547	0.6377
NM_177553	chr11(.):22684653-22839547	0.6403
NM_005256	chr11(.):22691318-22839547	0.3561
NM_004811	chr11(.):58289343-58348390	0.8749
NM_001143995	chr11(.):58289343-58350639	0.8471
NM_206893	chr11(.):60547820-60573778	0.0705
NM_024092	chr11(.):60676370-60695915	0.8414
NM_004265	chr11(.):61590712-61639825	0.104
NM_001077241	chr11(.):65137662-65155142	0.8489
NR_002819	chr11(.):65260232-65278939	2.4713
NM_030930	chr11(.):67753574-67776593	0.8133
NM_006645	chr11(.):72460773-72509750	0.2222
NM_014824	chr11(.):72542789-72858143	0.1695
NM_176796	chr11(.):72970569-73013850	0.7639
NM_176798	chr11(.):72975938-73013850	0.8531
NM_004154	chr11(.):72978246-73014664	0.8686
NM_014488	chr11(.):82687477-82787884	0.6549
NM_032427	chr11(.):95706439-96081344	0.2147
NM_001166	chr11(.):102212965-102254401	0.2146
NM_004397	chr11(.):118613472-118666972	0.4302
NM_024556	chr11(.):126076618-126137879	0.0865
NR_033839	chr11(.):126206611-126230482	0.1576
NM_002017	chr11(.):128558812-128688162	0.6221
NM_001167681	chr11(.):128557388-128688162	0.6164
NM_012239	chr11(.):210029-241362	0.1818
NM_002817	chr11(.):231807-257984	0.209
NM_138329	chr11(.):273569-290304	0.1368
NM_006435	chr11(.):303106-314410	0.1367
NM_025092	chr11(.):284137-300688	0.1363
NM_003641	chr11(.):308990-320272	0.1359
NM_001025295	chr11(.):293202-304526	0.0787
NM_021034	chr11(.):314672-325914	0.0811
NM_182612	chr11(.):762222-782487	0.2394
NM_006755	chr11(.):742431-770024	0.3589
NR_002585	chr11(.):806680-816814	0.7266
NM_001025239	chr11(.):837823-872116	0.2239
NM_001025234	chr11(.):839080-872116	0.2295
NM_145886	chr11(.):794178-810250	0.9896
NM_016564	chr11(.):782109-795126	0.1803
NM_021128	chr11(.):834720-847529	0.4883
NM_139029	chr11(.):827951-843835	0.5358
NM_173584	chr11(.):822584-836991	0.3258
NM_024698	chr11(.):785474-801263	0.3936
NM_001004	chr11(.):804935-817876	0.7729
NM_001025237	chr11(.):839445-872116	0.2317
NM_020376	chr11(.):813900-830571	0.2842
NM_001191060	chr11(.):785474-802995	0.3634
NM_001191061	chr11(.):785474-803269	0.3601
NM_001025235	chr11(.):837940-872116	0.2246
NM_001124	chr11(.):10321641-10333923	2.6042
NM_022725	chr11(.):22639078-22652387	0.6146
NM_000610	chr11(.):35155416-35258949	0.4646
NM_000614	chr11(.):58385145-58398205	0.1627
NR_024091	chr11(.):58341586-58398205	0.8617
NM_053023	chr11(.):58341586-58394023	0.9162
NM_004778	chr11(.):60613397-60628444	0.1025
NM_207341	chr11(.):60630014-60648164	0.7857
NM_024098	chr11(.):60604428-60623561	1.1465
NM_014502	chr11(.):60653019-60679061	0.3774
NM_016582	chr11(.):60699554-60724257	0.1622
NM_178031	chr11(.):60686912-60709631	0.1031
NM_001127392	chr11(.):61515120-61560989	0.4347
NM_013402	chr11(.):61562096-61589529	0.2785
NM_013279	chr11(.):61517860-61560989	0.4564
NM_014206	chr11(.):61551601-61565085	1.3459
