#30_0F2G_0229Kronos_MM1S-KB-24hr-2_H3K27me3_hs-dm_i19_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/30_0F2G_0229Kronos_MM1S-KB-24hr-2_H3K27me3_hs-dm_i19_ROSE/30_0F2G_0229Kronos_MM1S-KB-24hr-2_H3K27me3_hs-dm_i19_peaks_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X30_0F2G_0229Kronos_MM1S.KB.24hr.2_H3K27me3_hs.dm_i19.bam
#Using cutoff of 11762.613 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X30_0F2G_0229Kronos_MM1S.KB.24hr.2_H3K27me3_hs.dm_i19.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	isSuperStretch
3_MACS_peak_2131_lociStitched	chr1	11409034	11412203	3	2687	2657.5234	269.9988	3972	0
4_MACS_peak_29374_lociStitched	chr4	6333873	6336977	4	2657	2897.584	382.4128	3973	0
2_MACS_peak_19473_lociStitched	chr19	17908431	17911057	2	2595	2992.5896	234.2392	3974	0
4_MACS_peak_19101_lociStitched	chr19	15205125	15208178	4	2699	2556.2769	229.2803	3975	0
3_MACS_peak_21037_lociStitched	chr19	46731423	46734970	3	2625	2944.01	311.4266	3976	0
2_MACS_peak_10663_lociStitched	chr14	104568198	104570974	2	2606	2780.7192	76.8952	3977	0
3_MACS_peak_14413_lociStitched	chr17	28893515	28896454	3	2689	2690.9484	332.9887	3978	0
4_MACS_peak_12324_lociStitched	chr16	29197309	29200598	4	2604	3015.6841	310.4816	3979	0
4_MACS_peak_15068_lociStitched	chr17	46818221	46821288	4	2642	2824.0936	271.7362	3980	0
2_MACS_peak_33229_lociStitched	chr7	155142751	155145930	2	2688	2652.8755	300.7334	3981	0
4_MACS_peak_3932_lociStitched	chr1	23156159	23159092	4	2677	2661.4042	266.3164	3982	0
4_MACS_peak_14574_lociStitched	chr17	37764489	37768069	4	2619	2940.97	319.336	3983	0
3_MACS_peak_23230_lociStitched	chr20	30616895	30620001	3	2716	2540.708	342.5918	3984	0
4_MACS_peak_17363_lociStitched	chr19	2895357	2898598	4	2618	2902.9637	277.7537	3985	0
1_MACS_peak_11294_lociStitched	chr15	75984076	75986732	1	2657	2735.4144	269.8496	3986	0
5_MACS_peak_20318_lociStitched	chr19	39291775	39295284	5	2616	2867.2039	236.1557	3987	0
3_MACS_peak_26646_lociStitched	chr22	37071897	37074683	3	2624	2741.7026	154.3444	3988	0
3_MACS_peak_6886_lociStitched	chr10	135030077	135033191	3	2608	2864.2572	223.8966	3989	0
2_MACS_peak_29498_lociStitched	chr4	7095939	7098575	2	2618	2778.6076	190.3192	3990	0
3_MACS_peak_29766_lociStitched	chr4	7636003	7639096	3	2633	2735.7585	214.6542	3991	0
1_MACS_peak_17494_lociStitched	chr19	3141547	3144100	1	2554	3126.9144	310.4448	3992	0
1_MACS_peak_26889_lociStitched	chr22	38119221	38121647	1	2427	3400.2816	185.1038	3993	0
3_MACS_peak_27448_lociStitched	chr22	44929876	44932694	3	2636	2625.5306	146.536	3994	0
3_MACS_peak_265_lociStitched	chr1	2081915	2085078	3	2618	2792.929	241.6532	3995	0
3_MACS_peak_10324_lociStitched	chr13	112825296	112828821	3	2596	3035.3775	399.03	3996	0
4_MACS_peak_23288_lociStitched	chr20	31647530	31650643	4	2664	2595.3081	248.4174	3997	0
3_MACS_peak_22464_lociStitched	chr2	26953033	26956219	3	2634	2806.5474	334.8486	3998	0
4_MACS_peak_33851_lociStitched	chr7	158783494	158786557	4	2680	2645.5131	386.2443	3999	0
4_MACS_peak_4209_lociStitched	chr1	29798561	29801956	4	2561	2978.4335	229.8415	4000	0
5_MACS_peak_7781_lociStitched	chr11	61419409	61422618	5	2614	2819.7483	281.1084	4001	0
3_MACS_peak_31939_lociStitched	chr7	1592896	1595898	3	2579	2892.7272	220.647	4002	0
5_MACS_peak_13104_lociStitched	chr16	87687485	87690631	5	2663	2477.7896	153.5248	4003	0
3_MACS_peak_7360_lociStitched	chr11	2128001	2131081	3	2594	2964.5	352.66	4004	0
3_MACS_peak_32867_lociStitched	chr7	101269257	101272395	3	2568	2921.7918	210.5598	4005	0
3_MACS_peak_18077_lociStitched	chr19	6284066	6286941	3	2685	2590.0875	376.9125	4006	0
3_MACS_peak_2208_lociStitched	chr1	11589705	11592452	3	2629	2630.8019	167.2923	4007	0
3_MACS_peak_24919_lociStitched	chr20	62214044	62216805	3	2679	2452.5963	217.8429	4008	0
3_MACS_peak_1850_lociStitched	chr1	8405841	8409000	3	2680	2522.4615	294.1029	4009	0
5_MACS_peak_26868_lociStitched	chr22	37973870	37977406	5	2673	2558.296	307.632	4010	0
1_MACS_peak_7645_lociStitched	chr11	46299125	46301588	1	2464	3305.5923	256.6446	4011	0
2_MACS_peak_9961_lociStitched	chr12	52788247	52791105	2	2644	2744.8232	364.1092	4012	0
5_MACS_peak_24420_lociStitched	chr20	60097930	60101330	5	2565	2910.74	213.52	4013	0
1_MACS_peak_28689_lociStitched	chr3	50260883	50263513	1	2631	2686.019	256.162	4014	0
1_MACS_peak_36180_lociStitched	chr9	134653581	134656111	1	2531	3014.748	199.87	4015	0
2_MACS_peak_20082_lociStitched	chr19	36051254	36054031	2	2551	2951.6733	209.6635	4016	0
3_MACS_peak_33169_lociStitched	chr7	154698722	154701804	3	2653	2637.2674	308.8164	4017	0
2_MACS_peak_20784_lociStitched	chr19	42816425	42819189	2	2612	2867.9264	365.1244	4018	0
3_MACS_peak_30413_lociStitched	chr5	492682	495515	3	2522	2976.3498	138.817	4019	0
3_MACS_peak_33793_lociStitched	chr7	158235887	158238759	3	2648	2562.1112	229.76	4020	0
5_MACS_peak_25976_lociStitched	chr22	20292741	20295905	5	2643	2521.708	169.9068	4021	0
4_MACS_peak_12168_lociStitched	chr16	5002708	5005507	4	2654	2512.6623	214.9632	4022	0
1_MACS_peak_6286_lociStitched	chr10	102411877	102414437	1	2561	2933.248	261.12	4023	0
4_MACS_peak_4001_lociStitched	chr1	23287057	23290567	4	2599	2871.882	351.702	4024	0
1_MACS_peak_25724_lociStitched	chr21	47398259	47400620	1	2362	3560.1519	249.5577	4025	0
3_MACS_peak_12933_lociStitched	chr16	85504892	85508051	3	2575	2841.2046	231.2388	4026	0
3_MACS_peak_34458_lociStitched	chr8	97159085	97162299	3	2534	2910.5984	147.844	4027	0
5_MACS_peak_20330_lociStitched	chr19	39506263	39509614	5	2683	2366.8113	240.9369	4028	0
3_MACS_peak_10232_lociStitched	chr12	91399634	91402445	3	2669	2531.0244	337.32	4029	0
2_MACS_peak_18370_lociStitched	chr19	8227472	8230505	2	2679	2518.2999	378.5184	4030	0
3_MACS_peak_14731_lociStitched	chr17	41714493	41717445	3	2611	2649.7152	203.0976	4031	0
2_MACS_peak_18430_lociStitched	chr19	8427163	8429726	2	2553	3091.7469	415.4623	4032	0
3_MACS_peak_15836_lociStitched	chr17	72580602	72583723	3	2607	2748.6647	286.1957	4033	0
3_MACS_peak_12205_lociStitched	chr16	5110620	5113780	3	2612	2673.992	246.796	4034	0
1_MACS_peak_28910_lociStitched	chr3	134013372	134015953	1	2582	3092.8123	544.591	4035	0
5_MACS_peak_4321_lociStitched	chr1	30325946	30329141	5	2591	2677.41	184.3515	4036	0
1_MACS_peak_20323_lociStitched	chr19	39437500	39440022	1	2523	2999.6668	246.3994	4037	0
3_MACS_peak_26337_lociStitched	chr22	26708532	26711536	3	2642	2497.2252	236.1144	4038	0
4_MACS_peak_11056_lociStitched	chr15	65684772	65688132	4	2542	2965.872	291.984	4039	0
3_MACS_peak_17627_lociStitched	chr19	3703018	3706042	3	2589	2923.3008	439.6896	4040	0
1_MACS_peak_34908_lociStitched	chr8	143531724	143534232	1	2509	2931.0996	143.9592	4041	0
3_MACS_peak_18656_lociStitched	chr19	11416175	11419007	3	2648	2455.344	235.056	4042	0
1_MACS_peak_28920_lociStitched	chr3	138655352	138657832	1	2481	3114.632	233.12	4043	0
1_MACS_peak_10874_lociStitched	chr14	105941429	105944018	1	2590	2601.1683	131.0034	4044	0
1_MACS_peak_22765_lociStitched	chr2	218084558	218087123	1	2566	2891.0115	324.729	4045	0
1_MACS_peak_8711_lociStitched	chr11	70323601	70326223	1	2623	2512.6626	189.5706	4046	0
1_MACS_peak_36350_lociStitched	chr9	135460794	135463350	1	2557	2784.762	201.924	4047	0
4_MACS_peak_24232_lociStitched	chr20	57893862	57897039	4	2553	2767.8024	169.6518	4048	0
5_MACS_peak_2083_lociStitched	chr1	11017094	11020786	5	2522	3080.974	368.4616	4049	0
2_MACS_peak_21385_lociStitched	chr19	48542430	48545280	2	2578	2750.82	255.075	4050	0
3_MACS_peak_33552_lociStitched	chr7	157364665	157367716	3	2597	2658.9465	243.4698	4051	0
3_MACS_peak_30550_lociStitched	chr5	1850047	1852968	3	2536	2817.3045	164.7444	4052	0
4_MACS_peak_30037_lociStitched	chr4	8275894	8279070	4	2576	2698.9648	222.6376	4053	0
4_MACS_peak_16634_lociStitched	chr17	77850937	77854336	4	2562	2796.6972	269.5407	4054	0
1_MACS_peak_2137_lociStitched	chr1	11415650	11418196	1	2547	2726.766	148.6864	4055	0
2_MACS_peak_18368_lociStitched	chr19	8221840	8224742	2	2567	2855.8582	362.4598	4056	0
1_MACS_peak_11040_lociStitched	chr15	63334332	63336901	1	2570	2747.2886	266.1484	4057	0
3_MACS_peak_17719_lociStitched	chr19	4322366	4324961	3	2565	2793.5175	294.273	4058	0
2_MACS_peak_14984_lociStitched	chr17	44846168	44848671	2	2452	3158.786	249.5491	4059	0
3_MACS_peak_23249_lociStitched	chr20	30670556	30673434	3	2557	2770.075	242.3276	4060	0
1_MACS_peak_37538_lociStitched	chr9	139653906	139656325	1	2420	3208.3197	200.5351	4061	0
3_MACS_peak_21423_lociStitched	chr19	48999080	49001817	3	2582	2619.8564	201.7169	4062	0
1_MACS_peak_9519_lociStitched	chr12	172985	175569	1	2585	2641.6232	237.728	4063	0
1_MACS_peak_17426_lociStitched	chr19	3026409	3029018	1	2610	2565.1688	275.2495	4064	0
3_MACS_peak_3584_lociStitched	chr1	21817395	21820440	3	2440	3189.333	253.6485	4065	0
3_MACS_peak_37076_lociStitched	chr9	137960744	137963660	3	2545	2698.4664	138.51	4066	0
3_MACS_peak_34800_lociStitched	chr8	143110409	143113234	3	2564	2666.8	193.795	4067	0
4_MACS_peak_23551_lociStitched	chr20	44880162	44883020	4	2681	2270.681	354.6778	4068	0
1_MACS_peak_10946_lociStitched	chr15	30114761	30117097	1	2337	3677.0976	441.2704	4069	0
2_MACS_peak_18090_lociStitched	chr19	6311597	6314566	2	2556	3010.8629	517.4967	4070	0
2_MACS_peak_5149_lociStitched	chr1	147486122	147488852	2	2595	2696.148	369.096	4071	0
2_MACS_peak_27291_lociStitched	chr22	44314969	44317558	2	2531	2757.285	170.874	4072	0
2_MACS_peak_33014_lociStitched	chr7	150693764	150696768	2	2545	2921.6904	391.7216	4073	0
2_MACS_peak_22525_lociStitched	chr2	73517736	73520622	2	2402	3317.1684	288.0228	4074	0
3_MACS_peak_25373_lociStitched	chr21	44897634	44900665	3	2617	2588.1709	371.9037	4075	0
5_MACS_peak_4446_lociStitched	chr1	30726949	30730152	5	2563	2791.0942	344.0022	4076	0
3_MACS_peak_29838_lociStitched	chr4	7811088	7814110	3	2573	2633.673	236.3204	4077	0
2_MACS_peak_8951_lociStitched	chr11	71010210	71012882	2	2553	2675.2064	203.3392	4078	0
2_MACS_peak_17827_lociStitched	chr19	5293695	5296571	2	2470	3116.146	336.492	4079	0
3_MACS_peak_28963_lociStitched	chr3	184309624	184312741	3	2593	2614.2279	328.8435	4080	0
4_MACS_peak_32369_lociStitched	chr7	73284115	73286819	4	2587	2566.6368	254.9872	4081	0
1_MACS_peak_34399_lociStitched	chr8	70364209	70364416	1	208	5622.8859	6.8517	4082	0
4_MACS_peak_6563_lociStitched	chr10	126771817	126775192	4	2466	2984.5125	208.2375	4083	0
3_MACS_peak_9243_lociStitched	chr11	117618418	117621048	3	2591	2477.723	196.461	4084	0
3_MACS_peak_36788_lociStitched	chr9	137333000	137335656	3	2612	2451.7536	269.0528	4085	0
4_MACS_peak_21777_lociStitched	chr19	51041048	51043956	4	2602	2446.5004	219.2632	4086	0
2_MACS_peak_32007_lociStitched	chr7	1807306	1809931	2	2607	2446.2375	244.125	4087	0
2_MACS_peak_10978_lociStitched	chr15	40583438	40586071	2	2552	2596.6646	156.4002	4088	0
1_MACS_peak_32194_lociStitched	chr7	5598836	5601328	1	2493	2909.1608	239.4812	4089	0
2_MACS_peak_20010_lociStitched	chr19	35609120	35612080	2	2561	2648.608	250.12	4090	0
3_MACS_peak_6301_lociStitched	chr10	102438741	102441777	3	2582	2609.442	301.4748	4091	0
3_MACS_peak_29770_lociStitched	chr4	7647949	7650670	3	2567	2547.9444	183.1233	4092	0
5_MACS_peak_2888_lociStitched	chr1	18277495	18280130	5	2559	2550.68	155.992	4093	0
3_MACS_peak_33148_lociStitched	chr7	154663376	154666000	3	2515	2796.1344	224.352	4094	0
2_MACS_peak_15900_lociStitched	chr17	72908687	72911532	2	2615	2568.1815	426.4655	4095	0
4_MACS_peak_6242_lociStitched	chr10	98944547	98947605	4	2604	2390.1328	197.241	4096	0
4_MACS_peak_1792_lociStitched	chr1	8266153	8269266	4	2598	2572.2719	354.5707	4097	0
3_MACS_peak_19517_lociStitched	chr19	18025725	18028549	3	2572	2574.9232	244.276	4098	0
3_MACS_peak_34810_lociStitched	chr8	143126013	143128967	3	2558	2594.4982	204.7122	4099	0
2_MACS_peak_14057_lociStitched	chr17	7942318	7944939	2	2488	2977.1939	312.1611	4100	0
2_MACS_peak_6894_lociStitched	chr10	135045418	135047987	2	2541	2666.3651	208.089	4101	0
2_MACS_peak_22166_lociStitched	chr19	55941302	55944302	2	2644	2336.1	356.4	4102	0
1_MACS_peak_22668_lociStitched	chr2	128339757	128342357	1	2601	2424.76	235.04	4103	0
3_MACS_peak_31518_lociStitched	chr6	35458136	35460827	3	2604	2325.8313	165.7656	4104	0
4_MACS_peak_20692_lociStitched	chr19	42304164	42307202	4	2554	2665.2374	283.1416	4105	0
1_MACS_peak_37164_lociStitched	chr9	138142600	138145156	1	2557	2522.5164	153.6156	4106	0
3_MACS_peak_18725_lociStitched	chr19	12971413	12974452	3	2597	2491.3722	309.978	4107	0
4_MACS_peak_18305_lociStitched	chr19	8086876	8089962	4	2565	2671.5502	350.261	4108	0
3_MACS_peak_6486_lociStitched	chr10	124899181	124901958	3	2572	2500.4108	212.7182	4109	0
3_MACS_peak_30747_lociStitched	chr5	172662664	172665529	3	2525	2724.3285	243.2385	4110	0
3_MACS_peak_18949_lociStitched	chr19	14354189	14357205	3	2492	2717.416	109.7824	4111	0
3_MACS_peak_34245_lociStitched	chr8	11558928	11561573	3	2534	2645.2645	204.4585	4112	0
3_MACS_peak_27512_lociStitched	chr22	45015769	45018711	3	2506	2724.8804	172.6954	4113	0
5_MACS_peak_37894_lociStitched	chrX	152888371	152892070	5	2503	2728.7523	179.0316	4114	0
2_MACS_peak_37108_lociStitched	chr9	138018062	138020690	2	2496	2741.004	169.2432	4115	0
3_MACS_peak_37641_lociStitched	chr9	140245387	140248240	3	2410	3077.5311	200.5659	4116	0
4_MACS_peak_11376_lociStitched	chr15	78025286	78028121	4	2583	2386.2195	182.007	4117	0
1_MACS_peak_9034_lociStitched	chr11	72316935	72319495	1	2561	2573.568	274.432	4118	0
3_MACS_peak_28796_lociStitched	chr3	50593110	50596243	3	2575	2450.006	220.2499	4119	0
3_MACS_peak_14805_lociStitched	chr17	41933564	41936170	3	2586	2430.6162	255.9092	4120	0
2_MACS_peak_14356_lociStitched	chr17	21408065	21410778	2	2552	2576.2648	249.8673	4121	0
4_MACS_peak_1329_lociStitched	chr1	6766734	6769662	4	2598	2466.84	351.9456	4122	0
2_MACS_peak_23103_lociStitched	chr20	2774846	2777783	2	2483	2967.5448	368.0061	4123	0
1_MACS_peak_5438_lociStitched	chr1	201317322	201319822	1	2501	2921.25	395.75	4124	0
2_MACS_peak_15022_lociStitched	chr17	45809634	45812198	2	2461	3005.2644	332.8072	4125	0
2_MACS_peak_14811_lociStitched	chr17	42002322	42004909	2	2517	2704.1911	246.7998	4126	0
3_MACS_peak_13063_lociStitched	chr16	87604236	87607052	3	2518	2559.1808	107.8528	4127	0
3_MACS_peak_7160_lociStitched	chr11	1411960	1414675	3	2533	2600.97	213.1275	4128	0
3_MACS_peak_33053_lociStitched	chr7	151134334	151136944	3	2387	3220.74	299.889	4129	0
4_MACS_peak_872_lociStitched	chr1	4132910	4136393	4	2473	2853.9702	231.2712	4130	0
4_MACS_peak_12823_lociStitched	chr16	85294292	85297143	4	2515	2512.3012	55.8796	4131	0
2_MACS_peak_9739_lociStitched	chr12	6803516	6806147	2	2564	2571.5394	328.0857	4132	0
5_MACS_peak_2954_lociStitched	chr1	18478593	18481872	5	2584	2475.3171	330.8511	4133	0
1_MACS_peak_12547_lociStitched	chr16	56382074	56384603	1	2530	2602.8468	217.9998	4134	0
1_MACS_peak_24897_lociStitched	chr20	62119734	62122123	1	2390	3075.8375	177.2638	4135	0
1_MACS_peak_5012_lociStitched	chr1	41827575	41829910	1	2336	3351.659	289.073	4136	0
2_MACS_peak_26895_lociStitched	chr22	38213803	38216578	2	2396	3058.605	186.2025	4137	0
2_MACS_peak_7641_lociStitched	chr11	45944081	45946910	2	2504	2775.249	293.0844	4138	0
1_MACS_peak_9783_lociStitched	chr12	49390481	49392834	1	2354	3297.9648	298.3604	4139	0
1_MACS_peak_2304_lociStitched	chr1	12122775	12125319	1	2545	2573.0016	272.208	4140	0
2_MACS_peak_4099_lociStitched	chr1	29593101	29595696	2	2569	2350.551	160.89	4141	0
3_MACS_peak_9437_lociStitched	chr11	122847645	122850308	3	2550	2516.2687	243.9308	4142	0
3_MACS_peak_6189_lociStitched	chr10	73722328	73725185	3	2482	2801.8599	253.4159	4143	0
3_MACS_peak_35480_lociStitched	chr9	36779167	36781986	3	2545	2528.0792	240.7426	4144	0
4_MACS_peak_3382_lociStitched	chr1	20601781	20604822	4	2489	2793.1585	275.2105	4145	0
1_MACS_peak_30908_lociStitched	chr5	176828585	176831004	1	2420	3135.024	365.0271	4146	0
5_MACS_peak_33275_lociStitched	chr7	155255692	155259291	5	2557	2496.9862	272.4443	4147	0
1_MACS_peak_28958_lociStitched	chr3	184259016	184261584	1	2569	2668.152	500.5032	4148	0
3_MACS_peak_20387_lociStitched	chr19	39758818	39761576	3	2556	2491.0256	277.179	4149	0
2_MACS_peak_33460_lociStitched	chr7	155989447	155992079	2	2560	2523.0352	329	4150	0
3_MACS_peak_16902_lociStitched	chr17	79610594	79613274	3	2568	2356.524	207.164	4151	0
1_MACS_peak_33270_lociStitched	chr7	155242651	155245163	1	2513	2661.9664	270.04	4152	0
5_MACS_peak_34704_lociStitched	chr8	142718095	142721180	5	2462	2823.7005	236.311	4153	0
1_MACS_peak_9254_lociStitched	chr11	117663989	117666505	1	2517	2501.4072	136.1156	4154	0
3_MACS_peak_1597_lociStitched	chr1	7535987	7538694	3	2490	2666.6657	191.3849	4155	0
1_MACS_peak_25846_lociStitched	chr22	19134396	19136891	1	2496	2637.9635	207.3345	4156	0
3_MACS_peak_32798_lociStitched	chr7	101074362	101076888	3	2489	2658.615	200.5644	4157	0
3_MACS_peak_5826_lociStitched	chr10	21786304	21789092	3	2552	2428.0692	244.5076	4158	0
2_MACS_peak_4580_lociStitched	chr1	31121576	31124151	2	2566	2487.45	370.0275	4159	0
3_MACS_peak_9637_lociStitched	chr12	3300670	3303685	3	2463	2787.9705	234.8685	4160	0
4_MACS_peak_33710_lociStitched	chr7	157865110	157867921	4	2506	2644.0266	274.6347	4161	0
4_MACS_peak_18322_lociStitched	chr19	8112480	8115453	4	2569	2450.9412	371.3277	4162	0
2_MACS_peak_30703_lociStitched	chr5	141255402	141257866	2	2440	2954.5824	334.3648	4163	0
2_MACS_peak_29564_lociStitched	chr4	7226162	7228792	2	2463	2698.643	169.372	4164	0
4_MACS_peak_35214_lociStitched	chr8	144367553	144371167	4	2478	2770.4924	302.4918	4165	0
3_MACS_peak_28459_lociStitched	chr3	13738585	13741593	3	2471	2683.4368	190.4064	4166	0
4_MACS_peak_36866_lociStitched	chr9	137482986	137486051	4	2449	2711.299	145.5875	4167	0
2_MACS_peak_16471_lociStitched	chr17	77447682	77450285	2	2433	2769.8523	145.2474	4168	0
4_MACS_peak_20104_lociStitched	chr19	36179415	36182813	4	2485	2670.4882	250.0928	4169	0
2_MACS_peak_9858_lociStitched	chr12	52409190	52411828	2	2385	3007.0562	226.6042	4170	0
1_MACS_peak_4810_lociStitched	chr1	37266500	37269034	1	2535	2502.5784	307.881	4171	0
4_MACS_peak_8313_lociStitched	chr11	68800053	68802893	4	2466	2676.416	192.836	4172	0
3_MACS_peak_27622_lociStitched	chr22	45201758	45204412	3	2461	2683.194	181.5336	4173	0
5_MACS_peak_12866_lociStitched	chr16	85344914	85348702	5	2467	2619.402	141.6712	4174	0
1_MACS_peak_5143_lociStitched	chr1	145944373	145946896	1	2524	2590.1118	355.743	4175	0
2_MACS_peak_28953_lociStitched	chr3	184229550	184232102	2	2523	2895.7544	660.2024	4176	0
3_MACS_peak_13429_lociStitched	chr17	236196	238850	3	2505	2573.053	261.6844	4177	0
2_MACS_peak_16096_lociStitched	chr17	75755020	75757661	2	2514	2533.2472	263.8359	4178	0
3_MACS_peak_2079_lociStitched	chr1	11012441	11015167	3	2499	2505.194	171.4654	4179	0
2_MACS_peak_14959_lociStitched	chr17	43887435	43890200	2	2536	2365.4575	205.9925	4180	0
5_MACS_peak_3167_lociStitched	chr1	18994557	18997756	5	2477	2633.0969	229.6882	4181	0
1_MACS_peak_3863_lociStitched	chr1	23034743	23037160	1	2418	2836.8329	214.6296	4182	0
2_MACS_peak_5352_lociStitched	chr1	159913912	159916827	2	2458	3112.9285	642.466	4183	0
1_MACS_peak_5852_lociStitched	chr10	46998789	47001215	1	2427	2969.9092	381.8524	4184	0
5_MACS_peak_15572_lociStitched	chr17	71875118	71878424	5	2485	2643.8082	284.6466	4185	0
2_MACS_peak_18439_lociStitched	chr19	8581263	8583847	2	2496	2594.5944	283.9816	4186	0
4_MACS_peak_32500_lociStitched	chr7	100191740	100194884	4	2466	2728.992	297.7368	4187	0
1_MACS_peak_19402_lociStitched	chr19	17696349	17698886	1	2538	2315.0125	199.1545	4188	0
1_MACS_peak_14552_lociStitched	chr17	36824773	36827253	1	2481	2566.304	201.872	4189	0
2_MACS_peak_11563_lociStitched	chr15	101860742	101863596	2	2444	2765.8114	257.7162	4190	0
1_MACS_peak_9131_lociStitched	chr11	79148863	79151229	1	2367	3102.0626	318.7002	4191	0
2_MACS_peak_4659_lociStitched	chr1	31659838	31662367	2	2414	2916.6957	300.4452	4192	0
4_MACS_peak_8558_lociStitched	chr11	69813624	69816297	4	2471	2700.7992	305.2566	4193	0
1_MACS_peak_71_lociStitched	chr1	1013828	1016105	1	2278	3211.0254	154.1529	4194	0
3_MACS_peak_2975_lociStitched	chr1	18500640	18503648	3	2438	2764.6528	242.144	4195	0
4_MACS_peak_30784_lociStitched	chr5	176059810	176062998	4	2540	2398.3324	315.2932	4196	0
4_MACS_peak_21395_lociStitched	chr19	48779529	48782371	4	2569	2182.0876	244.9804	4197	0
3_MACS_peak_22384_lociStitched	chr2	23604111	23607233	3	2499	2555.9814	287.224	4198	0
1_MACS_peak_16626_lociStitched	chr17	77838080	77840548	1	2469	2629.1604	238.4088	4199	0
4_MACS_peak_17458_lociStitched	chr19	3084699	3087915	4	2500	2573.7648	316.4544	4200	0
2_MACS_peak_4811_lociStitched	chr1	37269842	37272329	2	2478	2518.3362	168.3699	4201	0
1_MACS_peak_3414_lociStitched	chr1	20649663	20652218	1	2556	2262.9635	269.5525	4202	0
3_MACS_peak_8787_lociStitched	chr11	70507325	70510047	3	2510	2388.555	177.7466	4203	0
2_MACS_peak_15313_lociStitched	chr17	56275301	56277961	2	2447	2895.942	427.728	4204	0
2_MACS_peak_11641_lociStitched	chr16	813866	816686	2	2413	2756.55	160.458	4205	0
1_MACS_peak_20781_lociStitched	chr19	42681338	42683705	1	2368	3167.046	413.5149	4206	0
3_MACS_peak_532_lociStitched	chr1	2933410	2936531	3	2399	2859.7723	222.8394	4207	0
2_MACS_peak_4819_lociStitched	chr1	37295426	37298173	2	2474	2529.1629	198.8828	4208	0
3_MACS_peak_22837_lociStitched	chr2	220287701	220290443	3	2500	2380.8786	164.7942	4209	0
4_MACS_peak_14786_lociStitched	chr17	41826761	41830007	4	2490	2623.4172	364.5258	4210	0
4_MACS_peak_18102_lociStitched	chr19	6331982	6334994	4	2496	2631.5844	403.608	4211	0
3_MACS_peak_26129_lociStitched	chr22	21913280	21916082	3	2568	2292.8766	420.5802	4212	0
2_MACS_peak_888_lociStitched	chr1	4168579	4171113	2	2423	2652.8446	133.035	4213	0
3_MACS_peak_22682_lociStitched	chr2	128430053	128432621	3	2442	2606.7768	162.0408	4214	0
5_MACS_peak_16529_lociStitched	chr17	77604299	77607562	5	2460	2503.0473	131.1726	4215	0
5_MACS_peak_876_lociStitched	chr1	4142425	4145859	5	2411	2737.2414	177.8812	4216	0
2_MACS_peak_11761_lociStitched	chr16	1123247	1125789	2	2433	2658.4236	184.295	4217	0
3_MACS_peak_16340_lociStitched	chr17	76950053	76952855	3	2511	2378.6178	237.0492	4218	0
3_MACS_peak_23938_lociStitched	chr20	56574181	56577243	3	2463	2632.0952	281.704	4219	0
1_MACS_peak_16489_lociStitched	chr17	77481182	77483661	1	2480	2397.193	125.9332	4220	0
3_MACS_peak_4994_lociStitched	chr1	38509248	38511840	3	2258	3176.2368	129.6	4221	0
2_MACS_peak_33783_lociStitched	chr7	158202128	158204784	2	2492	2546.5728	335.984	4222	0
2_MACS_peak_17383_lociStitched	chr19	2943326	2945872	2	2545	2138.1308	186.1126	4223	0
4_MACS_peak_26552_lociStitched	chr22	31217868	31220653	4	2460	2531.008	198.0135	4224	0
1_MACS_peak_9505_lociStitched	chr12	59984	62423	1	2440	2834.8497	420.7275	4225	0
2_MACS_peak_4213_lociStitched	chr1	29802704	29805608	2	2419	2756.7672	262.2312	4226	0
3_MACS_peak_2720_lociStitched	chr1	17911023	17913897	3	2417	2712.4812	217.5618	4227	0
3_MACS_peak_4249_lociStitched	chr1	30049463	30052263	3	2468	2487.24	197.96	4228	0
2_MACS_peak_18661_lociStitched	chr19	11493488	11496241	2	2488	2501.3758	300.9029	4229	0
2_MACS_peak_29475_lociStitched	chr4	6562097	6564815	2	2470	2446.7436	169.6032	4230	0
2_MACS_peak_32984_lociStitched	chr7	142571059	142573730	2	2536	2439.6914	470.6302	4231	0
4_MACS_peak_2970_lociStitched	chr1	18495100	18498057	4	2483	2456.6756	240.1084	4232	0
1_MACS_peak_22080_lociStitched	chr19	55409751	55412204	1	2454	2492.7386	152.8219	4233	0
3_MACS_peak_11301_lociStitched	chr15	76003043	76006040	3	2468	2503.3941	223.5762	4234	0
4_MACS_peak_29179_lociStitched	chr4	3535237	3538167	4	2450	2513.647	163.494	4235	0
2_MACS_peak_6911_lociStitched	chr10	135144160	135146715	2	2450	2672.2745	330.8725	4236	0
3_MACS_peak_19943_lociStitched	chr19	34395181	34397918	3	2453	2577.1592	249.3407	4237	0
3_MACS_peak_28491_lociStitched	chr3	14385569	14388458	3	2548	2106.9477	240.9426	4238	0
3_MACS_peak_2224_lociStitched	chr1	11645789	11648481	3	2450	2539.3636	215.8984	4239	0
