#11_0EWX_0229Kronos_MM1S-No-Treatment-1_H3K27Ac_hs-dm_i20_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/11_0EWX_0229Kronos_MM1S-No-Treatment-1_H3K27Ac_hs-dm_i20_ROSE/11_0EWX_0229Kronos_MM1S-No-Treatment-1_H3K27Ac_hs-dm_i20_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X11_0EWX_0229Kronos_MM1S.No.Treatment.1_H3K27Ac_hs.dm_i20.bam
#Using cutoff of 24861.666 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X11_0EWX_0229Kronos_MM1S.No.Treatment.1_H3K27Ac_hs.dm_i20.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	isSuper
2_MACS_peak_7189_lociStitched	chr12	125397862	125413026	2	10704	50385.4228	2044.1072	260	1
1_MACS_peak_11876_lociStitched	chr17	62195384	62210432	1	15049	51282.0792	3059.2584	261	1
2_MACS_peak_13596_lociStitched	chr19	41801251	41817189	2	10253	51344.267	3286.4156	262	1
4_MACS_peak_8400_lociStitched	chr14	77487747	77508150	4	16248	49962.8664	1930.1238	263	1
5_MACS_peak_9008_lociStitched	chr15	45001846	45029353	5	16319	52659.4008	4629.4281	264	1
1_MACS_peak_16866_lociStitched	chr20	42307503	42312551	1	5049	49365.9064	1342.2632	265	1
1_MACS_peak_2717_lociStitched	chr1	230256244	230261561	1	5318	50041.4772	2088.5176	266	1
4_MACS_peak_5206_lociStitched	chr11	82764843	82790116	4	13413	52871.116	4940.8715	267	1
4_MACS_peak_13203_lociStitched	chr19	13944535	13959265	4	10876	50305.896	2392.152	268	1
1_MACS_peak_19844_lociStitched	chr3	174865903	174871393	1	5491	49648.815	1841.895	269	1
2_MACS_peak_10911_lociStitched	chr17	4267910	4281166	2	9425	50633.9432	2899.0872	270	1
4_MACS_peak_8916_lociStitched	chr15	40834351	40862653	4	17041	53346.4398	5663.2302	271	1
5_MACS_peak_14908_lociStitched	chr2	88898891	88928557	5	19387	53022.0418	5577.208	272	1
1_MACS_peak_2143_lociStitched	chr1	183809130	183815800	1	6671	49681.495	2245.789	273	1
3_MACS_peak_23301_lociStitched	chr6	7134866	7148065	3	12007	50016.2906	2654.3189	274	1
1_MACS_peak_14856_lociStitched	chr2	86261715	86267534	1	5820	48796.3883	1586.8413	275	1
1_MACS_peak_9515_lociStitched	chr15	81584942	81596519	1	11578	50036.9517	2977.6044	276	1
4_MACS_peak_18014_lociStitched	chr22	39909921	39929600	4	14486	51063.0692	4051.9061	277	1
2_MACS_peak_9611_lociStitched	chr15	89163847	89184456	2	15560	51475.0993	4515.4319	278	1
3_MACS_peak_13264_lociStitched	chr19	16545013	16561904	3	11182	49977.0908	3035.3127	279	1
2_MACS_peak_25528_lociStitched	chr7	47512618	47524635	2	11561	49821.2803	2900.9038	280	1
2_MACS_peak_2648_lociStitched	chr1	226308674	226317135	2	6058	49566.2302	2790.4378	281	1
1_MACS_peak_28475_lociStitched	chr9	93952600	93957283	1	4684	47862.1332	1139.3739	282	1
3_MACS_peak_19790_lociStitched	chr3	169656649	169668263	3	9295	50149.252	3436.5826	283	1
1_MACS_peak_28824_lociStitched	chr9	126099811	126103744	1	3934	47941.6968	1282.5513	284	1
2_MACS_peak_18688_lociStitched	chr3	46578236	46589460	2	7080	48934.3952	2385.1	285	1
1_MACS_peak_17154_lociStitched	chr20	60911109	60916845	1	5737	47214.1632	1047.3936	286	1
1_MACS_peak_22836_lociStitched	chr5	148204738	148215940	1	11203	48566.271	2433.0744	287	1
4_MACS_peak_12062_lociStitched	chr17	74476170	74498266	4	12555	49936.96	3857.9616	288	1
2_MACS_peak_17751_lociStitched	chr22	26974839	26992241	2	12861	49052.7576	3128.8796	289	1
3_MACS_peak_16875_lociStitched	chr20	42567942	42585478	3	13588	49141.1328	3426.5344	290	1
7_MACS_peak_8561_lociStitched	chr14	95946114	95986376	7	26030	49421.605	3800.7328	291	1
3_MACS_peak_2131_lociStitched	chr1	183438624	183451323	3	8917	49193.3862	3629.3742	292	1
3_MACS_peak_12214_lociStitched	chr17	80405802	80424064	3	9066	48810.6736	3268.898	293	1
3_MACS_peak_4041_lociStitched	chr10	112611866	112633043	3	15699	49331.8215	3871.1556	294	1
2_MACS_peak_1855_lociStitched	chr1	161007869	161019256	2	7913	48919.6907	3474.1737	295	1
5_MACS_peak_23521_lociStitched	chr6	25365920	25390337	5	17481	49893.6978	4534.2369	296	1
4_MACS_peak_8434_lociStitched	chr14	81930655	81955940	4	18369	47953.0025	2677.6815	297	1
2_MACS_peak_27764_lociStitched	chr8	134576800	134585944	2	8703	47191.2696	2022.6528	298	1
5_MACS_peak_28981_lociStitched	chr9	134126990	134152396	5	15063	49640.7834	4522.268	299	1
4_MACS_peak_3560_lociStitched	chr10	74006775	74024313	4	10891	48439.956	3386.5878	300	1
2_MACS_peak_20122_lociStitched	chr3	195631931	195642411	2	6762	48114.728	3063.304	301	1
1_MACS_peak_9410_lociStitched	chr15	75334395	75341117	1	6723	46592.1986	1880.1434	302	1
2_MACS_peak_26834_lociStitched	chr8	26428249	26437550	2	8042	46964.4694	2275.9547	303	1
2_MACS_peak_20139_lociStitched	chr3	196357938	196371438	2	9577	48311.1	3775.95	304	1
3_MACS_peak_1617_lociStitched	chr1	150582872	150603258	3	11275	50019.0896	5487.9112	305	1
4_MACS_peak_23533_lociStitched	chr6	26017414	26034967	4	12127	47528.2581	3020.8713	306	1
1_MACS_peak_5947_lociStitched	chr12	15101053	15116363	1	15311	47803.944	3388.103	307	1
4_MACS_peak_2145_lociStitched	chr1	183865186	183885845	4	10926	49203.5403	4823.8765	308	1
2_MACS_peak_17105_lociStitched	chr20	55957784	55975516	2	14024	47459.698	3120.832	309	1
1_MACS_peak_25582_lociStitched	chr7	55569660	55586644	1	16985	47701.2624	3474.9264	310	1
1_MACS_peak_2261_lociStitched	chr1	197740001	197748793	1	8793	46687.2784	2614.7408	311	1
2_MACS_peak_10931_lociStitched	chr17	4842159	4854549	2	11949	46436.481	2394.987	312	1
2_MACS_peak_8094_lociStitched	chr14	50465329	50476784	2	8300	45262.1415	1262.341	313	1
1_MACS_peak_27763_lociStitched	chr8	134508253	134515669	1	7417	46053.36	2055.7152	314	1
3_MACS_peak_13248_lociStitched	chr19	16180358	16198230	3	9743	47140.9744	3208.024	315	1
1_MACS_peak_2849_lociStitched	chr1	244996291	245002217	1	5927	45454.1978	1534.2414	316	1
1_MACS_peak_2880_lociStitched	chr1	249111822	249121980	1	10159	47236.7316	3336.903	317	1
2_MACS_peak_23098_lociStitched	chr5	173696592	173709819	2	8927	46752.1542	2867.6136	318	1
3_MACS_peak_13815_lociStitched	chr19	50369490	50382218	3	8159	46505.5664	2628.332	319	1
1_MACS_peak_14273_lociStitched	chr2	33699380	33705493	1	6114	45573.6376	1708.5835	320	1
2_MACS_peak_2073_lociStitched	chr1	178544385	178552066	2	7037	46010.7262	2328.8792	321	1
1_MACS_peak_16055_lociStitched	chr2	217079187	217089128	1	9942	46108.3462	2443.4978	322	1
2_MACS_peak_13534_lociStitched	chr19	39338741	39349078	2	8083	45187.1618	1681.8299	323	1
1_MACS_peak_19355_lociStitched	chr3	124501881	124512436	1	10556	45635.598	2175.3855	324	1
8_MACS_peak_27659_lociStitched	chr8	126285135	126322696	8	19665	50459.4474	7008.8826	325	1
5_MACS_peak_15945_lociStitched	chr2	204548248	204574029	5	13881	48078.9869	4911.2805	326	1
4_MACS_peak_1462_lociStitched	chr1	143442389	143469171	4	14125	53604.173	10461.0492	327	1
3_MACS_peak_23879_lociStitched	chr6	42737760	42752391	3	9433	45749.6739	2627.7276	328	1
1_MACS_peak_5090_lociStitched	chr11	72862502	72869666	1	7165	44711.2404	1692.1368	329	1
6_MACS_peak_566_lociStitched	chr1	36838567	36867794	6	13769	47669.237	4676.32	330	1
1_MACS_peak_28746_lociStitched	chr9	117145359	117151739	1	6381	44341.638	1400.41	331	1
2_MACS_peak_13648_lociStitched	chr19	44257537	44271754	2	8378	45649.3653	2847.6651	332	1
4_MACS_peak_5005_lociStitched	chr11	67644673	67659588	4	9309	45732.373	3008.3555	333	1
1_MACS_peak_27958_lociStitched	chr9	5625665	5630837	1	5173	43829.0796	1146.1152	334	1
1_MACS_peak_24407_lociStitched	chr6	108985725	108999007	1	13283	44921.0522	2324.35	335	1
3_MACS_peak_19786_lociStitched	chr3	169480842	169492599	3	7107	45638.3226	3057.9957	336	1
4_MACS_peak_8731_lociStitched	chr15	23660181	23682759	4	12906	46036.542	3569.5818	337	1
3_MACS_peak_16445_lociStitched	chr20	5570609	5592550	3	20507	46639.9837	4181.9546	338	1
2_MACS_peak_24115_lociStitched	chr6	74220345	74234523	2	11923	45511.38	3070.9548	339	1
1_MACS_peak_13251_lociStitched	chr19	16221472	16231750	1	10279	44433.8496	2296.1052	340	1
3_MACS_peak_10973_lociStitched	chr17	7136621	7156728	3	12445	45689.1361	3583.0674	341	1
4_MACS_peak_3685_lociStitched	chr10	81946378	81966276	4	14127	45681.8284	3619.4462	342	1
3_MACS_peak_11969_lociStitched	chr17	70582371	70601681	3	13510	45617.944	3574.281	343	1
3_MACS_peak_13030_lociStitched	chr19	7400233	7410912	3	7114	44799.4729	2761.5894	344	1
3_MACS_peak_13806_lociStitched	chr19	50166021	50182952	3	10178	44868.8431	2866.4183	345	1
1_MACS_peak_12085_lociStitched	chr17	75203298	75210130	1	6833	43861.44	1878.1168	346	1
2_MACS_peak_16293_lociStitched	chr2	238600011	238613503	2	13370	43384.8752	1444.9932	347	1
1_MACS_peak_11428_lociStitched	chr17	37924829	37938280	1	13452	44807.9712	2887.9297	348	1
3_MACS_peak_17352_lociStitched	chr21	34696087	34712490	3	8637	46259.7406	4369.7592	349	1
3_MACS_peak_19370_lociStitched	chr3	125548487	125560730	3	9193	44739.5949	2870.9835	350	1
2_MACS_peak_20558_lociStitched	chr4	48193461	48206836	2	10414	44712.625	2874.2875	351	1
2_MACS_peak_6869_lociStitched	chr12	104318660	104326017	2	6333	43331.9943	1521.4276	352	1
1_MACS_peak_1723_lociStitched	chr1	154970811	154979802	1	8992	44161.9938	2355.642	353	1
4_MACS_peak_4805_lociStitched	chr11	62308024	62328689	4	14144	45946.561	4157.798	354	1
2_MACS_peak_20831_lociStitched	chr4	84132413	84144236	2	9161	44275.9527	2504.1114	355	1
1_MACS_peak_12133_lociStitched	chr17	76884423	76889402	1	4980	43050.4256	1348.3132	356	1
2_MACS_peak_9769_lociStitched	chr15	101737767	101751494	2	8605	43962.0902	2281.4274	357	1
1_MACS_peak_11767_lociStitched	chr17	55431288	55436535	1	5248	43050.5856	1392.5538	358	1
3_MACS_peak_1844_lociStitched	chr1	160633769	160656135	3	11244	47778.2492	6130.5206	359	1
3_MACS_peak_19735_lociStitched	chr3	160116201	160129643	3	10227	44411.0238	2898.0952	360	1
2_MACS_peak_2298_lociStitched	chr1	200986670	200996777	2	8440	44214.0822	2832.9921	361	1
8_MACS_peak_18664_lociStitched	chr3	46317961	46347319	8	19697	47090.232	5736.5532	362	1
4_MACS_peak_16900_lociStitched	chr20	43583375	43609470	4	15903	46762.24	5451.2455	363	1
1_MACS_peak_24604_lociStitched	chr6	130004005	130010977	1	6973	42720.93	1526.868	364	1
2_MACS_peak_23210_lociStitched	chr6	389106	404016	2	14873	44507.841	3318.966	365	1
1_MACS_peak_3318_lociStitched	chr10	45913670	45918207	1	4538	42061.1659	1053.0377	366	1
3_MACS_peak_18949_lociStitched	chr3	69128363	69155236	3	19983	45340.1256	4361.4879	367	1
4_MACS_peak_29181_lociStitched	chrX	10064991	10091072	4	14632	43325.7572	2469.8707	368	1
5_MACS_peak_2219_lociStitched	chr1	192498553	192520967	5	11307	46623.3614	6022.6418	369	1
3_MACS_peak_20301_lociStitched	chr4	9598968	9610941	3	9402	42768.7533	2191.059	370	1
3_MACS_peak_28681_lociStitched	chr9	112668862	112683245	3	8045	43360.4301	2824.8212	371	1
1_MACS_peak_20090_lociStitched	chr3	193817761	193823085	1	5325	42788.4556	2331.3796	372	1
2_MACS_peak_28909_lociStitched	chr9	130828732	130845784	2	14942	43828.7556	3435.978	373	1
4_MACS_peak_12887_lociStitched	chr19	1846993	1865764	4	11150	44175.6714	3803.0046	374	1
1_MACS_peak_26153_lociStitched	chr7	113723742	113728496	1	4755	41773.8734	1422.3968	375	1
1_MACS_peak_1322_lociStitched	chr1	111172726	111181469	1	8744	41904.3247	1558.0026	376	1
3_MACS_peak_10709_lociStitched	chr16	81841491	81857682	3	11038	42399.3717	2061.1143	377	1
4_MACS_peak_11988_lociStitched	chr17	72733610	72757408	4	18002	44890.1674	4628.711	378	1
1_MACS_peak_2687_lociStitched	chr1	228268925	228279620	1	10696	43462.341	3214.917	379	1
1_MACS_peak_3072_lociStitched	chr10	15826234	15832970	1	6737	41727.4992	1498.0864	380	1
1_MACS_peak_25206_lociStitched	chr7	20254734	20261934	1	7201	42144.48	1954.8	381	1
6_MACS_peak_12897_lociStitched	chr19	2031470	2062876	6	12108	46543.692	6516.745	382	1
3_MACS_peak_2090_lociStitched	chr1	179846253	179853610	3	5580	42078.3615	2192.386	383	1
1_MACS_peak_16945_lociStitched	chr20	45979032	45987228	1	8197	41281.6128	1472.8212	384	1
1_MACS_peak_271_lociStitched	chr1	21615870	21622749	1	6880	41131.6047	1416.3861	385	1
1_MACS_peak_20726_lociStitched	chr4	76023183	76029917	1	6735	41355.5142	1665.9916	386	1
2_MACS_peak_7862_lociStitched	chr13	115039366	115048693	2	9069	41325.1389	1791.7167	387	1
4_MACS_peak_10995_lociStitched	chr17	7736917	7762346	4	12951	43613.2779	4172.8989	388	1
3_MACS_peak_975_lociStitched	chr1	66736683	66750594	3	11233	42310.3065	2889.3147	389	1
1_MACS_peak_11935_lociStitched	chr17	66230168	66236379	1	6212	40782.6682	1375.1154	390	1
3_MACS_peak_19885_lociStitched	chr3	178230229	178241247	3	10398	42453.4558	3059.6986	391	1
1_MACS_peak_38_lociStitched	chr1	1708284	1715112	1	6829	40917.4728	1601.166	392	1
1_MACS_peak_1469_lociStitched	chr1	143741961	143746138	1	4178	40660.1711	1370.8914	393	1
4_MACS_peak_4870_lociStitched	chr11	64611565	64634558	4	9655	43279.7239	3996.1834	394	1
1_MACS_peak_29493_lociStitched	chrX	48767858	48779320	1	11463	40966.3342	1820.1656	395	1
1_MACS_peak_12705_lociStitched	chr18	56806287	56811963	1	5677	40513.0176	1391.7552	396	1
4_MACS_peak_6944_lociStitched	chr12	109161984	109181270	4	9979	42541.0588	3554.4098	397	1
5_MACS_peak_10241_lociStitched	chr16	29815280	29837079	5	14836	42582.1666	3662.232	398	1
3_MACS_peak_30096_lociStitched	chrX	153232565	153252602	3	12603	40633.0323	1837.3929	399	1
2_MACS_peak_2513_lociStitched	chr1	212779676	212788839	2	6173	41505.6411	2710.4154	400	1
1_MACS_peak_2640_lociStitched	chr1	226127702	226133601	1	5900	40811.6416	2024.5368	401	1
2_MACS_peak_229_lociStitched	chr1	17065962	17075584	2	3857	42088.5524	3319.59	402	1
3_MACS_peak_20483_lociStitched	chr4	38307085	38322317	3	11664	41970.2528	3203.2896	403	1
3_MACS_peak_15802_lociStitched	chr2	192530865	192546120	3	9549	41496.651	2736.747	404	1
3_MACS_peak_441_lociStitched	chr1	28558560	28577225	3	10758	42401.2805	3837.524	405	1
2_MACS_peak_28744_lociStitched	chr9	117125722	117137721	2	11626	40994.5835	2430.9974	406	1
3_MACS_peak_25965_lociStitched	chr7	100020534	100034873	3	7374	40523.4479	2106.3991	407	1
2_MACS_peak_2435_lociStitched	chr1	207994947	208006328	2	7778	41968.5756	3554.2863	408	1
2_MACS_peak_11215_lociStitched	chr17	27045982	27056758	2	9452	40706.34	2328.6936	409	1
1_MACS_peak_17528_lociStitched	chr21	45659783	45664983	1	5201	40123.72	1784.64	410	1
4_MACS_peak_18376_lociStitched	chr3	15834942	15851816	4	11509	41118.5632	2809.521	411	1
1_MACS_peak_17113_lociStitched	chr20	56192253	56197256	1	5004	39366.1055	1093.6558	412	1
2_MACS_peak_20776_lociStitched	chr4	78736000	78749567	2	9691	40865.1607	2617.0743	413	1
2_MACS_peak_20758_lociStitched	chr4	77608445	77624866	2	15768	41796.3713	3550.2202	414	1
2_MACS_peak_27573_lociStitched	chr8	118450258	118457552	2	7131	40063.7538	1872.3698	415	1
4_MACS_peak_21971_lociStitched	chr5	55272487	55291923	4	17528	41771.8512	3636.4756	416	1
1_MACS_peak_29062_lociStitched	chr9	139792091	139798328	1	6238	39488.9418	1361.5371	417	1
1_MACS_peak_23553_lociStitched	chr6	26269662	26275672	1	6011	39600.491	1512.116	418	1
1_MACS_peak_24660_lociStitched	chr6	135190487	135195966	1	5480	39480.0303	1403.1719	419	1
3_MACS_peak_20160_lociStitched	chr3	197450305	197464843	3	8713	41968.2984	3961.605	420	1
2_MACS_peak_28327_lociStitched	chr9	73026777	73036524	2	6881	39790.1781	1883.1204	421	1
5_MACS_peak_24902_lociStitched	chr6	157976490	158007213	5	15188	40668.0351	2783.5038	422	1
2_MACS_peak_226_lociStitched	chr1	16984951	16994428	2	3991	41044.887	3165.318	423	1
3_MACS_peak_14442_lociStitched	chr2	46788339	46804751	3	14611	40900.3452	3059.1968	424	1
4_MACS_peak_19124_lociStitched	chr3	101487694	101513251	4	12796	42324.9477	4505.6991	425	1
2_MACS_peak_6323_lociStitched	chr12	51712018	51722197	2	9498	40366.8603	2547.8037	426	1
1_MACS_peak_6723_lociStitched	chr12	92754896	92760384	1	5489	39395.0592	1577.2512	427	1
4_MACS_peak_4777_lociStitched	chr11	60666272	60684114	4	9752	41600.4072	3791.425	428	1
4_MACS_peak_9125_lociStitched	chr15	52950405	52977250	4	14867	42224.5005	4426.7405	429	1
2_MACS_peak_10624_lociStitched	chr16	71841330	71853040	2	6677	39905.338	2110.142	430	1
1_MACS_peak_18110_lociStitched	chr22	44419172	44424057	1	4886	38970.0875	1181.6815	431	1
2_MACS_peak_11683_lociStitched	chr17	47816067	47827856	2	10487	40347.8525	2578.2543	432	1
3_MACS_peak_10878_lociStitched	chr17	2294396	2306167	3	9612	39505.8302	1795.0775	433	1
1_MACS_peak_17114_lociStitched	chr20	56252843	56258956	1	6114	39127.4791	1460.3957	434	1
3_MACS_peak_17753_lociStitched	chr22	27005072	27014952	3	8724	40154.296	2487.784	435	1
3_MACS_peak_17967_lociStitched	chr22	39095792	39105936	3	8335	39797.9552	2154.5856	436	1
1_MACS_peak_26401_lociStitched	chr7	139042694	139046393	1	3700	38762.9307	1132.6338	437	1
2_MACS_peak_11894_lociStitched	chr17	62979888	62986056	2	5719	39079.8312	1469.2176	438	1
1_MACS_peak_2852_lociStitched	chr1	245132338	245136105	1	3768	38664.1113	1069.4513	439	1
1_MACS_peak_18338_lociStitched	chr3	14160862	14168259	1	7398	39382.3677	1864.7837	440	1
4_MACS_peak_15080_lociStitched	chr2	109829443	109843143	4	9782	40549.26	3050.99	441	1
5_MACS_peak_3963_lociStitched	chr10	105249696	105268240	5	12862	41295.6336	3827.4816	442	1
1_MACS_peak_26400_lociStitched	chr7	139024195	139027521	1	3327	38989.035	1554.2398	443	1
1_MACS_peak_20978_lociStitched	chr4	103746183	103751021	1	4839	38714.6436	1378.3462	444	1
1_MACS_peak_3438_lociStitched	chr10	63656449	63665381	1	8933	39301.6932	1965.9332	445	1
1_MACS_peak_15360_lociStitched	chr2	137137840	137142765	1	4926	38503.65	1174.12	446	1
1_MACS_peak_23599_lociStitched	chr6	27774511	27784200	1	9690	39295.6773	2040.5034	447	1
3_MACS_peak_9384_lociStitched	chr15	74827194	74846185	3	11900	40686.3184	3452.5638	448	1
1_MACS_peak_26290_lociStitched	chr7	128144686	128149853	1	5168	38896.6593	1679.7917	449	1
1_MACS_peak_23083_lociStitched	chr5	173168734	173174500	1	5767	38660.4534	1455.3384	450	1
2_MACS_peak_16731_lociStitched	chr20	32988818	33005799	2	12977	40177.046	3044.6933	451	1
4_MACS_peak_26859_lociStitched	chr8	27930167	27951665	4	14058	41265.411	4162.0128	452	1
3_MACS_peak_1756_lociStitched	chr1	155900416	155922430	3	17036	42993.342	5917.3632	453	1
2_MACS_peak_4830_lociStitched	chr11	62598090	62610570	2	7190	39570.336	2503.488	454	1
3_MACS_peak_23542_lociStitched	chr6	26155209	26174076	3	10984	40396.1337	3354.5526	455	1
4_MACS_peak_24661_lociStitched	chr6	135323055	135344165	4	11918	40729.634	3713.249	456	1
1_MACS_peak_17959_lociStitched	chr22	38700498	38714936	1	14439	39742.0388	2744.6638	457	1
5_MACS_peak_29929_lociStitched	chrX	128902180	128921340	5	14816	39099.812	2134.424	458	1
5_MACS_peak_14711_lociStitched	chr2	70334991	70360650	5	10334	41054.4	4123.4013	459	1
1_MACS_peak_4607_lociStitched	chr11	35159799	35169133	1	9335	39735.7714	2835.6692	460	1
2_MACS_peak_17611_lociStitched	chr22	19405748	19421161	2	9752	39936.6243	3062.5631	461	1
5_MACS_peak_12881_lociStitched	chr19	1647822	1672608	5	11662	41739.624	4882.842	462	1
1_MACS_peak_25877_lociStitched	chr7	92436913	92445739	1	8827	38808.8046	1997.3238	463	1
1_MACS_peak_22789_lociStitched	chr5	142774722	142785970	1	11249	38578.3904	1855.92	464	1
1_MACS_peak_13410_lociStitched	chr19	29121060	29126582	1	5523	37775.4498	1167.903	465	1
1_MACS_peak_17450_lociStitched	chr21	41382956	41389836	1	6881	39004.784	2432.08	466	1
3_MACS_peak_17236_lociStitched	chr21	19152043	19168974	3	14271	39967.3186	3435.2999	467	1
1_MACS_peak_13125_lociStitched	chr19	11199259	11208186	1	8928	38427.1642	1913.0561	468	1
1_MACS_peak_20670_lociStitched	chr4	69434530	69443477	1	8948	38215.3211	1727.6657	469	1
2_MACS_peak_5512_lociStitched	chr11	118738509	118744312	2	5666	37630.7141	1210.5058	470	1
4_MACS_peak_6419_lociStitched	chr12	57021762	57040953	4	14437	40414.3269	4020.5145	471	1
3_MACS_peak_11144_lociStitched	chr17	19206102	19221523	3	8749	38942.6513	2550.6334	472	1
4_MACS_peak_4013_lociStitched	chr10	111966926	111986765	4	11353	39902.1807	3539.2776	473	1
4_MACS_peak_13899_lociStitched	chr19	56145484	56168153	4	10935	39863.4365	3511.4281	474	1
1_MACS_peak_27757_lociStitched	chr8	134245129	134248946	1	3818	37381.0261	1036.6972	475	1
3_MACS_peak_5652_lociStitched	chr11	129233677	129249856	3	10608	39709.7376	3376.5573	476	1
2_MACS_peak_26864_lociStitched	chr8	28195113	28207418	2	8695	38936.7115	2607.4295	477	1
1_MACS_peak_5039_lociStitched	chr11	69060892	69066663	1	5772	37559.3993	1314.6338	478	1
3_MACS_peak_20512_lociStitched	chr4	40302591	40319769	3	11337	39648.5418	3442.4712	479	1
3_MACS_peak_23060_lociStitched	chr5	171601136	171616066	3	11622	39227.082	3096.482	480	1
3_MACS_peak_13757_lociStitched	chr19	48824076	48838067	3	10696	39782.0094	3683.8303	481	1
1_MACS_peak_17364_lociStitched	chr21	34913058	34916709	1	3652	37352.6508	1257.0393	482	1
2_MACS_peak_11180_lociStitched	chr17	20936670	20948008	2	8992	38101.349	2006.826	483	1
9_MACS_peak_10665_lociStitched	chr16	78763435	78804985	9	33542	40444.77	4375.215	484	1
3_MACS_peak_5574_lociStitched	chr11	122925935	122942065	3	12597	38684.579	2629.19	485	1
2_MACS_peak_3941_lociStitched	chr10	104401115	104413275	2	11831	37857.728	1849.536	486	1
3_MACS_peak_9707_lociStitched	chr15	93346274	93364531	3	10590	39418.6887	3423.1875	487	1
2_MACS_peak_23605_lociStitched	chr6	27857318	27871768	2	8801	38395.095	2400.145	488	1
1_MACS_peak_11019_lociStitched	chr17	8149370	8153824	1	4455	37138.3428	1145.1234	489	1
4_MACS_peak_23819_lociStitched	chr6	37121865	37144253	4	12303	39749.894	3758.9452	490	1
1_MACS_peak_16192_lociStitched	chr2	231729305	231739417	1	10113	37180.8128	1215.4624	491	1
3_MACS_peak_16682_lociStitched	chr20	31255039	31270461	3	9174	38704.5934	2882.3718	492	1
3_MACS_peak_18556_lociStitched	chr3	39248504	39263625	3	7964	38724.881	2938.0103	493	1
2_MACS_peak_26369_lociStitched	chr7	134843803	134857216	2	7130	39298.7487	3527.619	494	1
1_MACS_peak_11926_lociStitched	chr17	65642577	65648786	1	6210	37093.8078	1350.4575	495	1
3_MACS_peak_13086_lociStitched	chr19	10329539	10347840	3	9682	38662.6926	3006.8543	496	1
2_MACS_peak_19695_lociStitched	chr3	156871771	156879546	2	7433	38289.5425	2661.3825	497	1
3_MACS_peak_28463_lociStitched	chr9	93670878	93688885	3	9286	39129.211	3664.4245	498	1
4_MACS_peak_13761_lociStitched	chr19	48880288	48902304	4	12412	39525.3248	4086.1696	499	1
2_MACS_peak_3752_lociStitched	chr10	90143708	90152862	2	6951	37283.3266	1871.0776	500	1
3_MACS_peak_6425_lociStitched	chr12	57093663	57120252	3	17204	40064.3052	4727.5242	501	1
2_MACS_peak_10288_lociStitched	chr16	30661186	30672957	2	7693	37697.8046	2374.2107	502	1
3_MACS_peak_17512_lociStitched	chr21	45195104	45210758	3	11045	39643.755	4422.255	503	1
3_MACS_peak_28789_lociStitched	chr9	123630331	123641489	3	9202	37529.933	2316.4008	504	1
2_MACS_peak_18825_lociStitched	chr3	52729732	52745826	2	10409	38115.4202	2943.5926	505	1
1_MACS_peak_5662_lociStitched	chr11	129871089	129874554	1	3466	36070.9965	933.471	506	1
1_MACS_peak_23366_lociStitched	chr6	12007669	12014090	1	6422	36230.4925	1130.7381	507	1
1_MACS_peak_16958_lociStitched	chr20	46386364	46392792	1	6429	36566.9636	1564.5752	508	1
2_MACS_peak_1049_lociStitched	chr1	75596079	75612377	2	15650	37390.8716	2397.4358	509	1
2_MACS_peak_625_lociStitched	chr1	40029498	40047928	2	14465	38269.895	3300.813	510	1
2_MACS_peak_12070_lociStitched	chr17	74721487	74734983	2	8964	37516.1808	2553.4432	511	1
3_MACS_peak_28434_lociStitched	chr9	91924613	91935279	3	9172	36970.4892	2058.538	512	1
2_MACS_peak_3933_lociStitched	chr10	104153075	104160017	2	6027	36362.8902	1489.7532	513	1
2_MACS_peak_1792_lociStitched	chr1	156709166	156722713	2	13469	38552.0526	3714.5874	514	1
2_MACS_peak_20095_lociStitched	chr3	194022852	194034030	2	5398	37856.5326	3027.0024	515	1
4_MACS_peak_6563_lociStitched	chr12	69195329	69215758	4	11928	38247.1738	3421.8575	516	1
2_MACS_peak_5686_lociStitched	chr11	132218870	132231573	2	7216	37226.1415	2428.8136	517	1
2_MACS_peak_13163_lociStitched	chr19	12713675	12726046	2	7383	37161.2469	2367.8094	518	1
1_MACS_peak_26049_lociStitched	chr7	104621240	104626290	1	5051	36080.735	1293.81	519	1
1_MACS_peak_13886_lociStitched	chr19	55764135	55772368	1	8234	36677.1917	1929.8152	520	1
6_MACS_peak_13095_lociStitched	chr19	10513300	10539650	6	13870	39290.485	4569.09	521	1
5_MACS_peak_14605_lociStitched	chr2	64430492	64456397	5	11376	39178.722	4525.6035	522	1
1_MACS_peak_2554_lociStitched	chr1	218336078	218339969	1	3892	35726.3838	1099.2075	523	1
4_MACS_peak_23685_lociStitched	chr6	31618995	31634878	4	8878	37215.4573	2590.5173	524	1
1_MACS_peak_13515_lociStitched	chr19	38537030	38541162	1	4133	35721.9664	1159.026	525	1
3_MACS_peak_2696_lociStitched	chr1	228665689	228679007	3	6982	37087.9664	2573.0376	526	1
3_MACS_peak_9655_lociStitched	chr15	90721303	90736271	3	8211	37198.4736	2704.7176	527	1
