REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X11_0EWX_0229Kronos_MM1S.No.Treatment.1_H3K27Ac_hs.dm_i20.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
2_MACS_peak_5613_lociStitched	chr11	126056805	126069189	2	7839	61538.5728	2658.8448	185		FAM118B,RPUSD4	RPUSD4	185	1
2_MACS_peak_17698_lociStitched	chr22	23477644	23488872	2	10348	61612.5272	2755.3512	186	RAB36,RTDR1	BCR	RTDR1	186	1
2_MACS_peak_4027_lociStitched	chr10	112216320	112226016	2	8787	60993.6576	2248.5024	187		DUSP5	DUSP5	187	1
3_MACS_peak_26930_lociStitched	chr8	33410043	33425478	3	11083	60887.988	2642.472	188	RNF122	C8orf41,DUSP26	RNF122	188	1
2_MACS_peak_1697_lociStitched	chr1	154296720	154308021	2	8080	60829.8927	3002.6757	189	AQP10,ATP8B2		ATP8B2	189	1
9_MACS_peak_24716_lociStitched	chr6	138246682	138297584	9	23223	67114.287	9299.7954	190			TNFAIP3	190	1
3_MACS_peak_23600_lociStitched	chr6	27790881	27808105	3	10524	60707.7104	2903.9664	191	HIST1H4J,HIST1H2BN,HIST1H4K,HIST1H2AK	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H2AL,HIST1H2BL,HIST1H2AJ,HIST1H1B,HIST1H3I,HIST1H4L	HIST1H4K	191	1
5_MACS_peak_22267_lociStitched	chr5	87954416	87976686	5	11049	61921.735	4220.165	192	LOC645323,MIR9-2		MIR9-2	192	1
2_MACS_peak_26900_lociStitched	chr8	29622108	29634317	2	6216	60296.5883	2743.3623	193		C8orf75	C8orf75	193	1
2_MACS_peak_19866_lociStitched	chr3	176908465	176921066	2	11779	60980.0193	3457.7144	194	TBL1XR1		TBL1XR1	194	1
2_MACS_peak_6692_lociStitched	chr12	89737990	89749594	2	10998	60237.5244	2885.9148	195	DUSP6		DUSP6	195	1
4_MACS_peak_320_lociStitched	chr1	24512344	24533749	4	13429	61562.9205	4364.4795	196	LOC284632,IL28RA	IL22RA1	LOC284632	196	1
2_MACS_peak_3946_lociStitched	chr10	104531306	104543346	2	11308	60109.7	2919.7	197	C10orf26		C10orf26	197	1
2_MACS_peak_29494_lociStitched	chrX	48790298	48805920	2	13532	59174.5738	2079.2882	198	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	198	1
4_MACS_peak_15828_lociStitched	chr2	197023889	197048603	4	20844	62565.9624	5481.5652	199	STK17B		STK17B	199	1
2_MACS_peak_17772_lociStitched	chr22	29206905	29221456	2	11601	60111.6361	3153.2017	200		CCDC117,XBP1	XBP1	200	1
3_MACS_peak_21983_lociStitched	chr5	55436981	55453725	3	15551	60397.2824	3628.4248	201	ANKRD55		ANKRD55	201	1
2_MACS_peak_1574_lociStitched	chr1	149213956	149225588	2	6326	60562.008	4173.5616	202			LOC388692	202	1
1_MACS_peak_4233_lociStitched	chr11	267156	271073	1	3918	57317.0693	1011.3694	203		PSMD13,NLRP6,ATHL1,IFITM2,IFITM1,SIRT3,IFITM5,IFITM3	NLRP6	203	1
1_MACS_peak_5756_lociStitched	chr12	4377742	4390544	1	12803	58402.724	2664.0962	204	CCND2	C12orf5	CCND2	204	1
1_MACS_peak_2381_lociStitched	chr1	205252178	205258645	1	6468	58022.5707	2716.14	205		NUAK2	NUAK2	205	1
4_MACS_peak_14914_lociStitched	chr2	89043107	89066593	4	10141	59417.2314	4382.4876	206	RPIA,ANKRD36BP2		ANKRD36BP2	206	1
3_MACS_peak_2080_lociStitched	chr1	179048936	179061407	3	9852	58109.8716	3173.8695	207	TOR3A		TOR3A	207	1
1_MACS_peak_3444_lociStitched	chr10	63802966	63814767	1	11802	57206.5276	2423.9254	208	ARID5B		ARID5B	208	1
1_MACS_peak_390_lociStitched	chr1	27018318	27030805	1	12488	57462.6766	2765.8705	209	ARID1A		ARID1A	209	1
1_MACS_peak_1510_lociStitched	chr1	145448718	145457936	1	9219	57825.4358	3218.0038	210	POLR3GL	HFE2,TXNIP,ANKRD34A,LIX1L,RBM8A	TXNIP	210	1
1_MACS_peak_21268_lociStitched	chr4	144272381	144282627	1	10247	56575.3382	2129.1188	211	GAB1		GAB1	211	1
3_MACS_peak_1759_lociStitched	chr1	155937914	155954251	3	15528	58667.8007	4283.5614	212	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	212	1
3_MACS_peak_4977_lociStitched	chr11	67034019	67057860	3	13621	57919.3254	3573.7659	213	ADRBK1,ANKRD13D	SSH3,LOC100130987	ANKRD13D	213	1
5_MACS_peak_10134_lociStitched	chr16	22194947	22219241	5	17477	59374.536	5036.1462	214	EEF2K		EEF2K	214	1
2_MACS_peak_23937_lociStitched	chr6	45386541	45402613	2	11824	57116.6736	2875.2808	215	RUNX2	SUPT3H	RUNX2	215	1
1_MACS_peak_17732_lociStitched	chr22	24822652	24832535	1	9884	56029.6919	2048.7459	216	ADORA2A,C22orf45		ADORA2A	216	1
1_MACS_peak_22701_lociStitched	chr5	138719922	138730560	1	10639	56328.21	2494.611	217	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	217	1
3_MACS_peak_6548_lociStitched	chr12	68752121	68770340	3	9645	57459.0822	3663.8409	218		MDM1	MDM1	218	1
1_MACS_peak_6857_lociStitched	chr12	102870858	102879425	1	8568	55533.8641	1824.771	219	IGF1		IGF1	219	1
4_MACS_peak_14449_lociStitched	chr2	47193751	47215125	4	14456	57237.4346	3699.8394	220	TTC7A	MCFD2	MCFD2	220	1
2_MACS_peak_14311_lociStitched	chr2	37598510	37606577	2	7159	55149.2388	1771.5132	221	QPCT		QPCT	221	1
1_MACS_peak_17492_lociStitched	chr21	44580957	44587434	1	6478	55839.5124	2504.6559	222		CRYAA	CRYAA	222	1
2_MACS_peak_3288_lociStitched	chr10	43890308	43906015	2	12953	56099.1212	2857.1033	223	HNRNPF	FXYD4,ZNF487P	HNRNPF	223	1
2_MACS_peak_10966_lociStitched	chr17	6915080	6926253	2	7035	55357.7458	2265.8844	224	RNASEK,C17orf49,MIR195,MIR497	ALOX12,BCL6B,SLC16A13,SLC16A11	MIR195	224	1
3_MACS_peak_14370_lociStitched	chr2	42323549	42334583	3	10030	55342.1304	2394.378	225		PKDCC	PKDCC	225	1
2_MACS_peak_23561_lociStitched	chr6	26355453	26367611	2	10746	55417.3798	2600.5962	226	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	226	1
3_MACS_peak_14171_lociStitched	chr2	25624072	25645807	3	10915	56908.7505	4149.2115	227	DTNB		DNMT3A	227	1
2_MACS_peak_28693_lociStitched	chr9	112903758	112925357	2	21003	57362.6242	4769.0592	228	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	228	1
1_MACS_peak_29273_lociStitched	chrX	19470044	19470598	1	555	52617.3688	26.5366	229	MAP3K15		MAP3K15	229	1
2_MACS_peak_10425_lociStitched	chr16	56943772	56952834	2	7906	54819.6628	2392.368	230	SLC12A3	HERPUD1,CETP	HERPUD1	230	1
4_MACS_peak_12909_lociStitched	chr19	2254572	2274242	4	14595	56989.891	5074.86	231	OAZ1,JSRP1	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,C19orf35,LINGO3	OAZ1	231	1
2_MACS_peak_10955_lociStitched	chr17	6063555	6071133	2	6859	53718.1686	1805.0796	232			WSCD1	232	1
2_MACS_peak_12161_lociStitched	chr17	78873572	78887043	2	7976	54439.0052	2597.2088	233	RPTOR		CHMP6	233	1
1_MACS_peak_14855_lociStitched	chr2	86220089	86228815	1	8727	53696.3136	2005.2348	234		LOC90784	LOC90784	234	1
1_MACS_peak_15636_lociStitched	chr2	175457121	175464461	1	7341	53394.096	1840.138	235	WIPF1		WIPF1	235	1
5_MACS_peak_23087_lociStitched	chr5	173310181	173344116	5	29227	57475.7095	6104.9065	236	CPEB4		CPEB4	236	1
1_MACS_peak_2453_lociStitched	chr1	209275728	209284583	1	8856	54133.2715	2862.8215	237			LOC642587	237	1
3_MACS_peak_4029_lociStitched	chr10	112256046	112273321	3	11975	55169.44	3905.8775	238	DUSP5		DUSP5	238	1
1_MACS_peak_22602_lociStitched	chr5	131435455	131441454	1	6000	53280.7184	2048.0586	239		IL3,CSF2	CSF2	239	1
4_MACS_peak_5013_lociStitched	chr11	67760499	67781501	4	15015	55327.6688	4257.1054	240	ALDH3B1,UNC93B1	NDUFS8,TCIRG1	UNC93B1	240	1
2_MACS_peak_28963_lociStitched	chr9	132645916	132657874	2	8663	53498.8962	2476.5018	241	FNBP1	USP20,C9orf78	USP20	241	1
2_MACS_peak_1712_lociStitched	chr1	154755767	154766038	2	7417	54278.1266	3276.449	242	KCNN3		KCNN3	242	1
4_MACS_peak_12866_lociStitched	chr19	1258121	1277461	4	10957	56018.31	5020.664	243	MIDN,CIRBP,C19orf24,C19orf23	ATP5D,EFNA2,C19orf26	CIRBP	243	1
2_MACS_peak_11274_lociStitched	chr17	29635215	29650970	2	15423	54268.0975	3374.721	244	NF1,EVI2B,EVI2A	OMG	EVI2B	244	1
4_MACS_peak_5780_lociStitched	chr12	6551980	6572472	4	10310	54666.5084	3793.0692	245	CD27,TAPBPL,LOC678655,VAMP1	NCAPD2,SCARNA10,MRPL51	TAPBPL	245	1
3_MACS_peak_17686_lociStitched	chr22	23189825	23210344	3	17731	53103.172	2232.4672	246		MIR650,IGLL5	IGLL5	246	1
1_MACS_peak_6424_lociStitched	chr12	57076510	57083762	1	7253	52239.0568	1637.5016	247	PTGES3	BAZ2A,SNORD59B,SNORD59A,ATP5B,NACA	PTGES3	247	1
4_MACS_peak_23132_lociStitched	chr5	176717049	176740572	4	16006	54780.3624	4337.6412	248	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	RAB24	248	1
3_MACS_peak_3669_lociStitched	chr10	81001246	81020504	3	15712	54093.7962	3660.9458	249	ZMIZ1		PPIF	249	1
1_MACS_peak_22717_lociStitched	chr5	139046495	139052237	1	5743	51970.2678	1610.0568	250	CXXC5		CXXC5	250	1
1_MACS_peak_12078_lociStitched	chr17	75078776	75093084	1	14309	53561.998	3329.4716	251	C17orf86,SCARNA16	SEC14L1	SCARNA16	251	1
1_MACS_peak_24368_lociStitched	chr6	106609819	106617435	1	7617	52268.608	2199.5008	252			PRDM1	252	1
1_MACS_peak_8671_lociStitched	chr14	106323793	106329585	1	5793	50821.904	891.968	253			KIAA0125	253	1
5_MACS_peak_23584_lociStitched	chr6	27094322	27123511	5	14849	54974.5626	5134.3451	254	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	254	1
2_MACS_peak_2350_lociStitched	chr1	203722244	203736403	2	8046	53189.6994	3637.4471	255	LAX1	SNORA77,ZC3H11A,ZBED6	LAX1	255	1
1_MACS_peak_15465_lociStitched	chr2	158293486	158302351	1	8866	51562.386	2042.496	256	CYTIP		CYTIP	256	1
2_MACS_peak_26154_lociStitched	chr7	114561740	114574061	2	10532	52802.8776	3515.1813	257	MDFIC		MDFIC	257	1
2_MACS_peak_2972_lociStitched	chr10	6961842	6973060	2	6993	51444.6262	2214.4332	258			LOC439949	258	1
2_MACS_peak_21813_lociStitched	chr5	32530318	32543943	2	12532	51580.1625	3024.75	259		SUB1	SUB1	259	1
2_MACS_peak_7189_lociStitched	chr12	125397862	125413026	2	10704	50385.4228	2044.1072	260	UBC	SCARB1	UBC	260	1
1_MACS_peak_11876_lociStitched	chr17	62195384	62210432	1	15049	51282.0792	3059.2584	261	ERN1	SNORD104,SNORA76	ERN1	261	1
2_MACS_peak_13596_lociStitched	chr19	41801251	41817189	2	10253	51344.267	3286.4156	262	HNRNPUL1,CCDC97	TGFB1	CCDC97	262	1
4_MACS_peak_8400_lociStitched	chr14	77487747	77508150	4	16248	49962.8664	1930.1238	263	C14orf4		C14orf4	263	1
5_MACS_peak_9008_lociStitched	chr15	45001846	45029353	5	16319	52659.4008	4629.4281	264	B2M,TRIM69	SPG11,PATL2	B2M	264	1
1_MACS_peak_16866_lociStitched	chr20	42307503	42312551	1	5049	49365.9064	1342.2632	265	MYBL2	GTSF1L	MYBL2	265	1
1_MACS_peak_2717_lociStitched	chr1	230256244	230261561	1	5318	50041.4772	2088.5176	266	GALNT2		GALNT2	266	1
4_MACS_peak_5206_lociStitched	chr11	82764843	82790116	4	13413	52871.116	4940.8715	267	RAB30	SNORA70E	RAB30	267	1
4_MACS_peak_13203_lociStitched	chr19	13944535	13959265	4	10876	50305.896	2392.152	268	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	268	1
1_MACS_peak_19844_lociStitched	chr3	174865903	174871393	1	5491	49648.815	1841.895	269	NAALADL2		NAALADL2	269	1
2_MACS_peak_10911_lociStitched	chr17	4267910	4281166	2	9425	50633.9432	2899.0872	270	UBE2G1		UBE2G1	270	1
4_MACS_peak_8916_lociStitched	chr15	40834351	40862653	4	17041	53346.4398	5663.2302	271	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	271	1
5_MACS_peak_14908_lociStitched	chr2	88898891	88928557	5	19387	53022.0418	5577.208	272	EIF2AK3		EIF2AK3	272	1
1_MACS_peak_2143_lociStitched	chr1	183809130	183815800	1	6671	49681.495	2245.789	273	RGL1		APOBEC4	273	1
3_MACS_peak_23301_lociStitched	chr6	7134866	7148065	3	12007	50016.2906	2654.3189	274	RREB1		RREB1	274	1
1_MACS_peak_14856_lociStitched	chr2	86261715	86267534	1	5820	48796.3883	1586.8413	275	POLR1A	LOC90784	LOC90784	275	1
1_MACS_peak_9515_lociStitched	chr15	81584942	81596519	1	11578	50036.9517	2977.6044	276	IL16	STARD5	IL16	276	1
4_MACS_peak_18014_lociStitched	chr22	39909921	39929600	4	14486	51063.0692	4051.9061	277	SMCR7L,ATF4,RPS19BP1	MGAT3,CACNA1I	ATF4	277	1
2_MACS_peak_9611_lociStitched	chr15	89163847	89184456	2	15560	51475.0993	4515.4319	278	AEN,ISG20	MIR1179,MIR7-2	ISG20	278	1
3_MACS_peak_13264_lociStitched	chr19	16545013	16561904	3	11182	49977.0908	3035.3127	279	EPS15L1	C19orf44,CALR3	EPS15L1	279	1
2_MACS_peak_25528_lociStitched	chr7	47512618	47524635	2	11561	49821.2803	2900.9038	280	TNS3		TNS3	280	1
2_MACS_peak_2648_lociStitched	chr1	226308674	226317135	2	6058	49566.2302	2790.4378	281			ACBD3	281	1
1_MACS_peak_28475_lociStitched	chr9	93952600	93957283	1	4684	47862.1332	1139.3739	282			LOC100129316	282	1
3_MACS_peak_19790_lociStitched	chr3	169656649	169668263	3	9295	50149.252	3436.5826	283	SAMD7,LOC100128164	SEC62	LOC100128164	283	1
1_MACS_peak_28824_lociStitched	chr9	126099811	126103744	1	3934	47941.6968	1282.5513	284		CRB2	CRB2	284	1
2_MACS_peak_18688_lociStitched	chr3	46578236	46589460	2	7080	48934.3952	2385.1	285	LRRC2	RTP3,TDGF1	LRRC2	285	1
1_MACS_peak_17154_lociStitched	chr20	60911109	60916845	1	5737	47214.1632	1047.3936	286	LAMA5	ADRM1,RPS21	LAMA5	286	1
1_MACS_peak_22836_lociStitched	chr5	148204738	148215940	1	11203	48566.271	2433.0744	287	ADRB2		ADRB2	287	1
4_MACS_peak_12062_lociStitched	chr17	74476170	74498266	4	12555	49936.96	3857.9616	288	RHBDF2	AANAT,PRCD,UBE2O,CYGB	RHBDF2	288	1
2_MACS_peak_17751_lociStitched	chr22	26974839	26992241	2	12861	49052.7576	3128.8796	289	TPST2	CRYBA4,MIR548J,TPST2,CRYBB1	TPST2	289	1
3_MACS_peak_16875_lociStitched	chr20	42567942	42585478	3	13588	49141.1328	3426.5344	290	TOX2		TOX2	290	1
7_MACS_peak_8561_lociStitched	chr14	95946114	95986376	7	26030	49421.605	3800.7328	291		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	291	1
3_MACS_peak_2131_lociStitched	chr1	183438624	183451323	3	8917	49193.3862	3629.3742	292	SMG7		SMG7	292	1
3_MACS_peak_12214_lociStitched	chr17	80405802	80424064	3	9066	48810.6736	3268.898	293	NARF,C17orf62	HEXDC,C17orf101	NARF	293	1
3_MACS_peak_4041_lociStitched	chr10	112611866	112633043	3	15699	49331.8215	3871.1556	294	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	294	1
2_MACS_peak_1855_lociStitched	chr1	161007869	161019256	2	7913	48919.6907	3474.1737	295	TSTD1,USF1,ARHGAP30	KLHDC9,F11R,PVRL4	USF1	295	1
5_MACS_peak_23521_lociStitched	chr6	25365920	25390337	5	17481	49893.6978	4534.2369	296	LRRC16A		LRRC16A	296	1
4_MACS_peak_8434_lociStitched	chr14	81930655	81955940	4	18369	47953.0025	2677.6815	297	SEL1L		SEL1L	297	1
2_MACS_peak_27764_lociStitched	chr8	134576800	134585944	2	8703	47191.2696	2022.6528	298	ST3GAL1		ST3GAL1	298	1
5_MACS_peak_28981_lociStitched	chr9	134126990	134152396	5	15063	49640.7834	4522.268	299	FAM78A	PPAPDC3	FAM78A	299	1
4_MACS_peak_3560_lociStitched	chr10	74006775	74024313	4	10891	48439.956	3386.5878	300		ANAPC16,DDIT4,ASCC1	DDIT4	300	1
2_MACS_peak_20122_lociStitched	chr3	195631931	195642411	2	6762	48114.728	3063.304	301	TNK2	TNK2	TNK2	301	1
1_MACS_peak_9410_lociStitched	chr15	75334395	75341117	1	6723	46592.1986	1880.1434	302	PPCDC	SCAMP5	PPCDC	302	1
2_MACS_peak_26834_lociStitched	chr8	26428249	26437550	2	8042	46964.4694	2275.9547	303	DPYSL2		DPYSL2	303	1
2_MACS_peak_20139_lociStitched	chr3	196357938	196371438	2	9577	48311.1	3775.95	304	LRRC33		LRRC33	304	1
3_MACS_peak_1617_lociStitched	chr1	150582872	150603258	3	11275	50019.0896	5487.9112	305	ENSA	MCL1	ENSA	305	1
4_MACS_peak_23533_lociStitched	chr6	26017414	26034967	4	12127	47528.2581	3020.8713	306	HIST1H3A,HIST1H4A,HIST1H1A,HIST1H4B,HIST1H3B,HIST1H2AB	HIST1H3C,HIST1H2BB,HIST1H1C	HIST1H4B	306	1
1_MACS_peak_5947_lociStitched	chr12	15101053	15116363	1	15311	47803.944	3388.103	307	ARHGDIB	PDE6H,ERP27	ARHGDIB	307	1
4_MACS_peak_2145_lociStitched	chr1	183865186	183885845	4	10926	49203.5403	4823.8765	308	RGL1		GLT25D2	308	1
2_MACS_peak_17105_lociStitched	chr20	55957784	55975516	2	14024	47459.698	3120.832	309	RBM38	RAE1,MTRNR2L3	RBM38	309	1
1_MACS_peak_25582_lociStitched	chr7	55569660	55586644	1	16985	47701.2624	3474.9264	310	VOPP1		VOPP1	310	1
1_MACS_peak_2261_lociStitched	chr1	197740001	197748793	1	8793	46687.2784	2614.7408	311	DENND1B		DENND1B	311	1
2_MACS_peak_10931_lociStitched	chr17	4842159	4854549	2	11949	46436.481	2394.987	312	RNF167,ENO3,SLC25A11,PFN1	C17orf107,GP1BA,KIF1C,CHRNE,SPAG7,CAMTA2,INCA1	PFN1	312	1
2_MACS_peak_8094_lociStitched	chr14	50465329	50476784	2	8300	45262.1415	1262.341	313	C14orf182		C14orf182	313	1
1_MACS_peak_27763_lociStitched	chr8	134508253	134515669	1	7417	46053.36	2055.7152	314	ST3GAL1		ST3GAL1	314	1
3_MACS_peak_13248_lociStitched	chr19	16180358	16198230	3	9743	47140.9744	3208.024	315	TPM4	FLJ25328,RAB8A,HSH2D	TPM4	315	1
1_MACS_peak_2849_lociStitched	chr1	244996291	245002217	1	5927	45454.1978	1534.2414	316	FAM36A	NCRNA00201,HNRNPU	FAM36A	316	1
1_MACS_peak_2880_lociStitched	chr1	249111822	249121980	1	10159	47236.7316	3336.903	317	MIR3124,SH3BP5L	ZNF672,ZNF692	SH3BP5L	317	1
2_MACS_peak_23098_lociStitched	chr5	173696592	173709819	2	8927	46752.1542	2867.6136	318			HMP19	318	1
3_MACS_peak_13815_lociStitched	chr19	50369490	50382218	3	8159	46505.5664	2628.332	319	TBC1D17,PNKP,AKT1S1	MED25,PTOV1,ATF5,IL4I1	AKT1S1	319	1
1_MACS_peak_14273_lociStitched	chr2	33699380	33705493	1	6114	45573.6376	1708.5835	320	RASGRP3	RASGRP3	RASGRP3	320	1
2_MACS_peak_2073_lociStitched	chr1	178544385	178552066	2	7037	46010.7262	2328.8792	321		C1orf220	C1orf220	321	1
1_MACS_peak_16055_lociStitched	chr2	217079187	217089128	1	9942	46108.3462	2443.4978	322			XRCC5	322	1
2_MACS_peak_13534_lociStitched	chr19	39338741	39349078	2	8083	45187.1618	1681.8299	323	HNRNPL	NFKBIB,LGALS4,ECH1,RINL,SIRT2	HNRNPL	323	1
1_MACS_peak_19355_lociStitched	chr3	124501881	124512436	1	10556	45635.598	2175.3855	324	ITGB5		UMPS	324	1
8_MACS_peak_27659_lociStitched	chr8	126285135	126322696	8	19665	50459.4474	7008.8826	325	NSMCE2		TRIB1	325	1
5_MACS_peak_15945_lociStitched	chr2	204548248	204574029	5	13881	48078.9869	4911.2805	326	CD28		CD28	326	1
4_MACS_peak_1462_lociStitched	chr1	143442389	143469171	4	14125	53604.173	10461.0492	327			LOC100130000	327	1
3_MACS_peak_23879_lociStitched	chr6	42737760	42752391	3	9433	45749.6739	2627.7276	328		LOC442211,KIAA0240,PRPH2,TBCC	TBCC	328	1
1_MACS_peak_5090_lociStitched	chr11	72862502	72869666	1	7165	44711.2404	1692.1368	329		FCHSD2	FCHSD2	329	1
6_MACS_peak_566_lociStitched	chr1	36838567	36867794	6	13769	47669.237	4676.32	330	STK40,LSM10	FAM176B,OSCP1	STK40	330	1
1_MACS_peak_28746_lociStitched	chr9	117145359	117151739	1	6381	44341.638	1400.41	331	AKNA		AKNA	331	1
2_MACS_peak_13648_lociStitched	chr19	44257537	44271754	2	8378	45649.3653	2847.6651	332	C19orf61,KCNN4	IRGC,LYPD5	C19orf61	332	1
4_MACS_peak_5005_lociStitched	chr11	67644673	67659588	4	9309	45732.373	3008.3555	333			LOC645332	333	1
1_MACS_peak_27958_lociStitched	chr9	5625665	5630837	1	5173	43829.0796	1146.1152	334	KIAA1432	KIAA1432	KIAA1432	334	1
1_MACS_peak_24407_lociStitched	chr6	108985725	108999007	1	13283	44921.0522	2324.35	335	FOXO3		NCRNA00222	335	1
3_MACS_peak_19786_lociStitched	chr3	169480842	169492599	3	7107	45638.3226	3057.9957	336	MYNN,TERC,ARPM1	LRRIQ4,LRRC34	ARPM1	336	1
4_MACS_peak_8731_lociStitched	chr15	23660181	23682759	4	12906	46036.542	3569.5818	337			MKRN3	337	1
3_MACS_peak_16445_lociStitched	chr20	5570609	5592550	3	20507	46639.9837	4181.9546	338	GPCPD1		GPCPD1	338	1
2_MACS_peak_24115_lociStitched	chr6	74220345	74234523	2	11923	45511.38	3070.9548	339	EEF1A1	MTO1	EEF1A1	339	1
1_MACS_peak_13251_lociStitched	chr19	16221472	16231750	1	10279	44433.8496	2296.1052	340	RAB8A	TPM4,HSH2D	RAB8A	340	1
3_MACS_peak_10973_lociStitched	chr17	7136621	7156728	3	12445	45689.1361	3583.0674	341	C17orf81,DVL2,PHF23,GABARAP,CTDNEP1	ACADVL,SLC2A4,DLG4,MIR324,CLDN7,YBX2	GABARAP	341	1
4_MACS_peak_3685_lociStitched	chr10	81946378	81966276	4	14127	45681.8284	3619.4462	342	ANXA11		ANXA11	342	1
3_MACS_peak_11969_lociStitched	chr17	70582371	70601681	3	13510	45617.944	3574.281	343	LOC100499467,FLJ26484		LOC100499467	343	1
3_MACS_peak_13030_lociStitched	chr19	7400233	7410912	3	7114	44799.4729	2761.5894	344		ARHGEF18	ARHGEF18	344	1
3_MACS_peak_13806_lociStitched	chr19	50166021	50182952	3	10178	44868.8431	2866.4183	345	BCL2L12,PRMT1,IRF3	SCAF1,C19orf76,CPT1C,RRAS	IRF3	345	1
1_MACS_peak_12085_lociStitched	chr17	75203298	75210130	1	6833	43861.44	1878.1168	346	SEC14L1		SEC14L1	346	1
2_MACS_peak_16293_lociStitched	chr2	238600011	238613503	2	13370	43384.8752	1444.9932	347	LRRFIP1		LRRFIP1	347	1
1_MACS_peak_11428_lociStitched	chr17	37924829	37938280	1	13452	44807.9712	2887.9297	348	IKZF3	GRB7,C17orf37	GRB7	348	1
3_MACS_peak_17352_lociStitched	chr21	34696087	34712490	3	8637	46259.7406	4369.7592	349	IFNAR1		IFNAR1	349	1
3_MACS_peak_19370_lociStitched	chr3	125548487	125560730	3	9193	44739.5949	2870.9835	350		MIR548I1	MIR548I1	350	1
2_MACS_peak_20558_lociStitched	chr4	48193461	48206836	2	10414	44712.625	2874.2875	351	TEC		TXK	351	1
2_MACS_peak_6869_lociStitched	chr12	104318660	104326017	2	6333	43331.9943	1521.4276	352	HSP90B1,MIR3652,GNN	TDG,C12orf73	GNN	352	1
1_MACS_peak_1723_lociStitched	chr1	154970811	154979802	1	8992	44161.9938	2355.642	353	ZBTB7B	CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2	ZBTB7B	353	1
4_MACS_peak_4805_lociStitched	chr11	62308024	62328689	4	14144	45946.561	4157.798	354	AHNAK,EEF1G	TUT1,MTA2	AHNAK	354	1
2_MACS_peak_20831_lociStitched	chr4	84132413	84144236	2	9161	44275.9527	2504.1114	355			COQ2	355	1
1_MACS_peak_12133_lociStitched	chr17	76884423	76889402	1	4980	43050.4256	1348.3132	356	TIMP2	USP36	TIMP2	356	1
2_MACS_peak_9769_lociStitched	chr15	101737767	101751494	2	8605	43962.0902	2281.4274	357	CHSY1		CHSY1	357	1
1_MACS_peak_11767_lociStitched	chr17	55431288	55436535	1	5248	43050.5856	1392.5538	358	MSI2		MSI2	358	1
3_MACS_peak_1844_lociStitched	chr1	160633769	160656135	3	11244	47778.2492	6130.5206	359	CD48	SLAMF1	SLAMF1	359	1
3_MACS_peak_19735_lociStitched	chr3	160116201	160129643	3	10227	44411.0238	2898.0952	360	SMC4,MIR15B,MIR16-2,IFT80	IFT80,TRIM59	MIR16-2	360	1
2_MACS_peak_2298_lociStitched	chr1	200986670	200996777	2	8440	44214.0822	2832.9921	361	KIF21B		KIF21B	361	1
8_MACS_peak_18664_lociStitched	chr3	46317961	46347319	8	19697	47090.232	5736.5532	362		CCR3,CCR2	CCR3	362	1
4_MACS_peak_16900_lociStitched	chr20	43583375	43609470	4	15903	46762.24	5451.2455	363	STK4,TOMM34	PABPC1L	STK4	363	1
1_MACS_peak_24604_lociStitched	chr6	130004005	130010977	1	6973	42720.93	1526.868	364	ARHGAP18		ARHGAP18	364	1
2_MACS_peak_23210_lociStitched	chr6	389106	404016	2	14873	44507.841	3318.966	365	IRF4		IRF4	365	1
1_MACS_peak_3318_lociStitched	chr10	45913670	45918207	1	4538	42061.1659	1053.0377	366	ALOX5		ALOX5	366	1
3_MACS_peak_18949_lociStitched	chr3	69128363	69155236	3	19983	45340.1256	4361.4879	367	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	367	1
4_MACS_peak_29181_lociStitched	chrX	10064991	10091072	4	14632	43325.7572	2469.8707	368	WWC3	CLCN4	CLCN4	368	1
5_MACS_peak_2219_lociStitched	chr1	192498553	192520967	5	11307	46623.3614	6022.6418	369		RGS1	RGS1	369	1
3_MACS_peak_20301_lociStitched	chr4	9598968	9610941	3	9402	42768.7533	2191.059	370		MIR548I2	MIR548I2	370	1
