REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X32_0EX8_0229Kronos_MM1S.No.Treatment.2_IRF4_hs_i48.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
3_MACS_peak_7172_lociStitched	chr15	75072324	75083254	3	9040	7628.047	2989.355	157	CSK	CYP1A2,LMAN1L,CPLX3	CSK	CSK	0.2095	157	1
4_MACS_peak_18036_lociStitched	chr5	148205116	148214871	4	6912	7360.1475	2737.253	158	ADRB2		ADRB2	ADRB2	0.31820000000000004	158	1
5_MACS_peak_6792_lociStitched	chr15	40388181	40401832	5	7623	8033.6135	3423.6708	159	BMF		BMF	BMF	0.1714	159	1
1_MACS_peak_3423_lociStitched	chr11	267576	270097	1	2522	5472.3347	863.1904	160		PSMD13,NLRP6,ATHL1,IFITM2,IFITM1,SIRT3,IFITM5	NLRP6	IFITM2	0.0441	160	1
1_MACS_peak_1124_lociStitched	chr1	149810916	149815926	1	5011	6289.554	1683.861	161	HIST2H3A,HIST2H2AA4	HIST2H4B,HIST2H2AC,HIST2H2BF,HIST2H3D,HIST2H2BC,HIST2H2BE,HIST2H2AB	HIST2H3A	HIST2H2AC	0.48510000000000003	161	1
2_MACS_peak_19251_lociStitched	chr6	90059711	90068283	2	6956	6890.1736	2287.0096	162	UBE2J1	GABRR2	UBE2J1	UBE2J1	0.1842	162	1
3_MACS_peak_18630_lociStitched	chr6	26020479	26034525	3	7096	7635.4056	3038.1498	163	HIST1H3A,HIST1H4A,HIST1H4B,HIST1H3B,HIST1H2AB	HIST1H3C,HIST1H1A,HIST1H2BB,HIST1H1C	HIST1H4B	HIST1H4B	0.26560000000000006	163	1
3_MACS_peak_9061_lociStitched	chr17	73771227	73782205	3	8109	7239.991	2647.8936	164	UNK,H3F3B	GALK1	H3F3B	H3F3B	0.2643	164	1
2_MACS_peak_4377_lociStitched	chr11	111241410	111250782	2	5946	6962.4588	2372.0532	165	POU2AF1		POU2AF1	POU2AF1	0.15350000000000003	165	1
6_MACS_peak_20481_lociStitched	chr7	78116553	78127981	6	8065	7579.0496	3008.9924	166	MAGI2		RPL13AP17	RPL13AP17	NONE	166	1
2_MACS_peak_1219_lociStitched	chr1	154375164	154381509	2	6315	7173.657	2609.6985	167	IL6R		IL6R	IL6R	0.10040000000000002	167	1
2_MACS_peak_15223_lociStitched	chr3	169754929	169765393	2	5475	7705.6896	3153.8496	168	GPR160		GPR160	GPR160	0.1207	168	1
3_MACS_peak_8937_lociStitched	chr17	62197696	62208519	3	8975	7155.0853	2604.0138	169	ERN1	SNORD104,SNORA76	ERN1	ERN1	0.21559999999999999	169	1
3_MACS_peak_7937_lociStitched	chr16	57570113	57578884	3	4756	6125.6664	1584.0426	170	GPR114,CCDC102A	DOK4	GPR114	GPR114	0.0814	170	1
3_MACS_peak_3222_lociStitched	chr10	105258033	105267966	3	5181	6981.9057	2458.4175	171	NEURL	CALHM2,CALHM1,CALHM3	NEURL	CALHM3	0.07219999999999999	171	1
1_MACS_peak_13380_lociStitched	chr21	41325349	41332120	1	6772	6949.0773	2432.1432	172			PCP4	PCP4	NONE	172	1
2_MACS_peak_21106_lociStitched	chr7	145695816	145700589	2	2270	5587.2738	1078.698	173			CNTNAP2	CNTNAP2	NONE	173	1
2_MACS_peak_12070_lociStitched	chr2	192539417	192545570	2	6100	5921.6472	1413.9594	174	OBFC2A		OBFC2A	OBFC2A	0.22449999999999998	174	1
1_MACS_peak_2045_lociStitched	chr1	221949447	221952529	1	3083	5782.1402	1304.3024	175		DUSP10	DUSP10	DUSP10	0.004500000000000004	175	1
2_MACS_peak_13443_lociStitched	chr21	45572783	45580122	2	4960	6725.4596	2248.6696	176		PWP2,C21orf33	C21orf33	C21orf33	0.17969999999999997	176	1
2_MACS_peak_5647_lociStitched	chr12	108953716	108963766	2	6617	7733.475	3262.23	177	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	0.30650000000000005	177	1
2_MACS_peak_5581_lociStitched	chr12	102871990	102878815	2	5115	5975.97	1513.1025	178	IGF1		IGF1	IGF1	0.0476	178	1
4_MACS_peak_17514_lociStitched	chr5	88175202	88185826	4	8835	6891.7888	2431.8336	179	MEF2C		MEF2C	MEF2C	0.0922	179	1
2_MACS_peak_13403_lociStitched	chr21	43647470	43655716	2	4804	7186.389	2758.287	180	ABCG1		ABCG1	ABCG1	0.0446	180	1
3_MACS_peak_9962_lociStitched	chr19	11199543	11207639	3	6574	6427.4144	2001.3312	181	LDLR		LDLR	LDLR	0.12890000000000001	181	1
1_MACS_peak_2225_lociStitched	chr1	235113495	235115559	1	2065	5430.7968	1005.168	182			SNORA14B	SNORA14B	NONE	182	1
1_MACS_peak_6174_lociStitched	chr13	109814019	109815806	1	1788	4834.1924	410.8313	183	MYO16		MYO16	MYO16	0.0023999999999999994	183	1
3_MACS_peak_5527_lociStitched	chr12	96792102	96802430	3	5350	6358.9496	1962.32	184	CDK17		CDK17	CDK17	0.027899999999999994	184	1
3_MACS_peak_7074_lociStitched	chr15	67373224	67384394	3	3338	6398.176	2011.717	185	SMAD3	SMAD3	SMAD3	SMAD3	0.05630000000000002	185	1
4_MACS_peak_10867_lociStitched	chr2	42323933	42333828	4	6415	6703.8625	2355.9995	186		PKDCC	PKDCC	NONE	NONE	186	1
5_MACS_peak_9149_lociStitched	chr17	76767577	76779381	5	7298	6835.6964	2490.644	187	CYTH1		CYTH1	CYTH1	0.1197	187	1
3_MACS_peak_12866_lociStitched	chr20	37499202	37505355	3	5745	6029.94	1698.228	188	PPP1R16B	FAM83D	FAM83D	FAM83D	0.028399999999999995	188	1
1_MACS_peak_18817_lociStitched	chr6	32934978	32941876	1	6899	6320.6374	1992.1424	189	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	0.22940000000000002	189	1
2_MACS_peak_17850_lociStitched	chr5	131799238	131804082	2	4523	5962.964	1647.4444	190		IRF1	IRF1	IRF1	0.12669999999999998	190	1
2_MACS_peak_20796_lociStitched	chr7	114561859	114572994	2	6592	7414.7965	3102.211	191	MDFIC		MDFIC	MDFIC	0.19909999999999997	191	1
3_MACS_peak_13851_lociStitched	chr22	42928764	42936076	3	4549	6380.4512	2068.5648	192		SERHL,SERHL2,RRP7A,RRP7B	RRP7A	SERHL2	0.06549999999999997	192	1
3_MACS_peak_1938_lociStitched	chr1	209920729	209930864	3	4696	7303.281	2994.8925	193	TRAF3IP3	HSD11B1,C1orf74,IRF6	TRAF3IP3	TRAF3IP3	0.16369999999999998	193	1
4_MACS_peak_991_lociStitched	chr1	118196396	118207635	4	5260	6083.6707	1775.762	194		FAM46C	FAM46C	FAM46C	0.2794	194	1
4_MACS_peak_21998_lociStitched	chr8	126292521	126307804	4	6651	7898.2544	3599.1465	195	NSMCE2		TRIB1	TRIB1	0.31930000000000003	195	1
3_MACS_peak_13280_lociStitched	chr21	34746291	34756627	3	5449	7087.3952	2793.8208	196		IFNAR1,IFNGR2	IFNGR2	IFNAR1	0.09310000000000002	196	1
2_MACS_peak_17855_lociStitched	chr5	131856006	131861752	2	2925	5399.5162	1112.4256	197		RAD50,IRF1,IL5	IL5	IRF1	0.12669999999999998	197	1
1_MACS_peak_1125_lociStitched	chr1	149820954	149825620	1	4667	6126.458	1839.8038	198	HIST2H2AA4,HIST2H3A,HIST2H2BC	HIST2H4B,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AC	0.48510000000000003	198	1
2_MACS_peak_2135_lociStitched	chr1	228269600	228279249	2	6416	7303.3281	3023.0317	199	ARF1	MIR3620,GUK1,C1orf35,MRPL55	ARF1	MRPL55	0.2246	199	1
3_MACS_peak_6968_lociStitched	chr15	56656699	56664663	3	4614	6052.64	1783.1396	200	TEX9		TEX9	TEX9	0.05630000000000002	200	1
2_MACS_peak_21285_lociStitched	chr8	12443888	12450782	2	3566	6598.9368	2343.2706	201			MIR3926-2	MIR3926-2	NONE	201	1
4_MACS_peak_22006_lociStitched	chr8	126441613	126449084	4	6972	5935.7095	1687.6989	202	TRIB1		TRIB1	TRIB1	0.31930000000000003	202	1
2_MACS_peak_10272_lociStitched	chr19	42040862	42047380	2	5008	5662.1866	1422.2276	203		CEACAM21	CEACAM21	CEACAM21	0.005699999999999983	203	1
4_MACS_peak_15013_lociStitched	chr3	141205849	141218410	4	4735	6732.696	2493.3585	204	RASA2		RASA2	RASA2	0.031200000000000006	204	1
3_MACS_peak_11480_lociStitched	chr2	112456070	112464639	3	4712	6754.0858	2537.2809	205			ANAPC1	ANAPC1	NONE	205	1
2_MACS_peak_7916_lociStitched	chr16	56944293	56952455	2	4910	6119.0514	1905.0108	206	SLC12A3	HERPUD1,CETP	HERPUD1	HERPUD1	0.4363	206	1
3_MACS_peak_18490_lociStitched	chr6	11828132	11835977	3	6077	6443.883	2231.118	207		C6orf105	C6orf105	C6orf105	0.026600000000000013	207	1
2_MACS_peak_19024_lociStitched	chr6	52393222	52403025	2	4931	6733.6807	2533.0952	208	TRAM2		TRAM2	TRAM2	0.13990000000000002	208	1
2_MACS_peak_4664_lociStitched	chr12	4378457	4388170	2	8167	6328.0195	2137.8313	209	CCND2	C12orf5	CCND2	CCND2	0.16670000000000001	209	1
2_MACS_peak_12618_lociStitched	chr20	9596192	9599193	2	2811	4879.9261	692.0306	210	PAK7		C20orf103	C20orf103	NONE	210	1
2_MACS_peak_1987_lociStitched	chr1	212779871	212788694	2	5287	6904.8798	2720.1309	211	ATF3	FAM71A	ATF3	ATF3	0.11530000000000001	211	1
2_MACS_peak_1232_lociStitched	chr1	154756894	154765070	2	4297	7010.92	2827.2608	212	KCNN3		KCNN3	KCNN3	0.046999999999999986	212	1
2_MACS_peak_15139_lociStitched	chr3	156872002	156879227	2	4113	6614.4875	2437.715	213	CCNL1	LOC339894	CCNL1	CCNL1	0.23900000000000005	213	1
3_MACS_peak_13597_lociStitched	chr22	27005841	27014412	3	3688	5919.1326	1746.7698	214	CRYBB1	CRYBA4,MIAT,TPST2	CRYBB1	CRYBB1	0.1851	214	1
3_MACS_peak_3204_lociStitched	chr10	104531568	104542295	3	4732	6659.3216	2499.391	215	C10orf26		C10orf26	C10orf26	0.0779	215	1
3_MACS_peak_12913_lociStitched	chr20	43270896	43281984	3	6080	6972.1344	2827.44	216	ADA	LOC79015	ADA	ADA	0.0829	216	1
2_MACS_peak_17415_lociStitched	chr5	76032592	76038027	2	4147	5597.5065	1458.2105	217		NCRUPAR,F2R	F2R	F2R	0.17880000000000001	217	1
1_MACS_peak_10777_lociStitched	chr2	33700268	33705153	1	4886	5626.0545	1486.994	218	RASGRP3	RASGRP3	RASGRP3	RASGRP3	0.06689999999999999	218	1
3_MACS_peak_21391_lociStitched	chr8	26428544	26436326	3	5086	6043.5012	1912.0374	219	DPYSL2		DPYSL2	DPYSL2	0.02650000000000001	219	1
3_MACS_peak_6208_lociStitched	chr13	114557172	114566589	3	8576	6763.2894	2635.8183	220	GAS6	FLJ44054,GAS6	GAS6	GAS6	0.11199999999999999	220	1
1_MACS_peak_3924_lociStitched	chr11	62606444	62610387	1	3944	5508.371	1381.2329	221	WDR74	SLC3A2,TMEM223,NXF1,STX5,SNORD22,SNORD31,SNORD30,SNORD29,SNORD28,SNORD27,SNORD26,SNORD25,SNHG1	WDR74	WDR74	0.28700000000000003	221	1
2_MACS_peak_11107_lociStitched	chr2	65158462	65167425	2	6628	6780.5095	2653.9443	222	LOC400958	SLC1A4	LOC400958	LOC400958	0.1254	222	1
2_MACS_peak_2108_lociStitched	chr1	226308865	226316586	2	4360	6610.7202	2486.9341	223			ACBD3	ACBD3	NONE	223	1
5_MACS_peak_7109_lociStitched	chr15	70042068	70058825	5	5909	7331.1875	3220.6954	224			C15orf50	C15orf50	NONE	224	1
2_MACS_peak_6628_lociStitched	chr15	22460616	22466652	2	3168	5467.4088	1358.7036	225		OR4N3P	OR4N3P	NONE	NONE	225	1
4_MACS_peak_8685_lociStitched	chr17	41437509	41450558	4	5230	6840.2858	2737.6802	226	LOC100130581	ARL4D	LOC100130581	LOC100130581	0.11099999999999999	226	1
2_MACS_peak_8614_lociStitched	chr17	37909849	37915316	2	4951	5687.8668	1590.3503	227		GRB7,C17orf37	GRB7	C17orf37	0.06499999999999999	227	1
2_MACS_peak_1239_lociStitched	chr1	154924139	154935376	2	7621	7675.9947	3580.1082	228	PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B,PMVK	PBXIP1	PBXIP1	0.2995	228	1
2_MACS_peak_4434_lociStitched	chr11	117878362	117883357	2	3642	5201.2935	1112.3865	229		IL10RA	IL10RA	IL10RA	0.10239999999999999	229	1
1_MACS_peak_15496_lociStitched	chr3	193801108	193803009	1	1902	5175.2824	1090.2235	230			HES1	HES1	0.43739999999999996	230	1
2_MACS_peak_19628_lociStitched	chr6	135190947	135195795	2	3247	5394.3696	1315.2624	231			ALDH8A1	ALDH8A1	NONE	231	1
4_MACS_peak_671_lociStitched	chr1	66736610	66748928	4	5754	6988.0014	2910.7434	232	PDE4B	PDE4B	PDE4B	PDE4B	0.016	232	1
1_MACS_peak_21438_lociStitched	chr8	29630437	29633632	1	3196	5159.6055	1099.719	233		C8orf75	C8orf75	C8orf75	0.049500000000000016	233	1
2_MACS_peak_2819_lociStitched	chr10	64216147	64220761	2	1932	4974.8148	915.4176	234	ZNF365		ZNF365	ZNF365	0.023700000000000013	234	1
2_MACS_peak_9988_lociStitched	chr19	12721121	12725802	2	4066	5123.3545	1067.7361	235	ZNF791,ZNF490		ZNF791	ZNF791	0.17520000000000002	235	1
1_MACS_peak_8396_lociStitched	chr17	18964510	18968263	1	3754	5152.1184	1097.7525	236		GRAP	GRAP	GRAP	0.011900000000000022	236	1
3_MACS_peak_17726_lociStitched	chr5	118668137	118678145	3	5484	6454.1592	2400.9192	237	TNFAIP8	TNFAIP8	TNFAIP8	TNFAIP8	0.07039999999999999	237	1
1_MACS_peak_21146_lociStitched	chr7	150101151	150104753	1	3603	5326.2774	1277.6294	238	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	REPIN1	0.3388	238	1
4_MACS_peak_7702_lociStitched	chr16	22195353	22211840	4	6457	7699.429	3661.7627	239		EEF2K	EEF2K	EEF2K	0.01920000000000001	239	1
4_MACS_peak_18330_lociStitched	chr5	180229084	180238445	4	5290	5920.8325	1883.4332	240	MGAT1	LOC729678,ZFP62	MGAT1	MGAT1	0.1312	240	1
2_MACS_peak_13132_lociStitched	chr21	9963843	9969315	2	4165	6601.968	2569.104	241	LOC100132288		LOC100132288	LOC100132288	0.0882	241	1
2_MACS_peak_1049_lociStitched	chr1	144962704	144967597	2	3968	5967.9921	1954.7535	242	PDE4DIP	PDE4DIP	PDE4DIP	PDE4DIP	0.10159999999999997	242	1
2_MACS_peak_1027_lociStitched	chr1	143462257	143469072	2	6502	7058.977	3070.1575	243			LOC100130000	LOC100130000	NONE	243	1
4_MACS_peak_11771_lociStitched	chr2	157188509	157199919	4	6242	5974.276	1989.904	244	NR4A2		NR4A2	NR4A2	0.12369999999999998	244	1
4_MACS_peak_23059_lociStitched	chr9	130830386	130845042	4	6150	6683.136	2699.6352	245	SLC25A25	SLC25A25,LOC389791,NAIF1,LOC100289019,PTGES2	SLC25A25	NAIF1	0.11280000000000001	245	1
2_MACS_peak_3360_lociStitched	chr10	125156956	125162911	2	2814	5369.6235	1400.0205	246			BUB3	BUB3	NONE	246	1
3_MACS_peak_22109_lociStitched	chr8	137189782	137200980	3	4649	6301.1146	2332.5434	247			KHDRBS3	KHDRBS3	NONE	247	1
2_MACS_peak_5457_lociStitched	chr12	92755706	92765242	2	4828	6025.7984	2061.6832	248			CLLU1	CLLU1	0.05349999999999999	248	1
2_MACS_peak_2880_lociStitched	chr10	72335212	72340117	2	4285	5201.262	1256.661	249		PRF1	PRF1	NONE	NONE	249	1
3_MACS_peak_8312_lociStitched	chr17	7475464	7488338	3	5837	6921.0624	2977.7562	250	EIF4A1,SNORA48,SNORD10,SNORA67,CD68,MPDU1	TNFSF12,TNFSF13,SENP3,SHBG,SOX15,FXR2,SAT2	SNORA67	SNORA67	0.2334	250	1
3_MACS_peak_19394_lociStitched	chr6	108929550	108941539	3	5866	6050.8483	2107.6662	251	FOXO3		FOXO3	FOXO3	0.20710000000000003	251	1
3_MACS_peak_10062_lociStitched	chr19	16434791	16442145	3	7058	5426.5166	1484.0372	252	KLF2		KLF2	KLF2	0.3395	252	1
2_MACS_peak_13834_lociStitched	chr22	42142285	42149267	2	3717	5606.546	1667.3016	253	MEI1	CCDC134	MEI1	MEI1	0.0426	253	1
2_MACS_peak_22546_lociStitched	chr9	73028479	73036262	2	4859	5446.5434	1509.1237	254	KLF9		KLF9	KLF9	0.0785	254	1
3_MACS_peak_6645_lociStitched	chr15	23660769	23668853	3	4841	5655.5664	1724.3172	255			MKRN3	MKRN3	NONE	255	1
2_MACS_peak_13416_lociStitched	chr21	44351809	44357956	2	1973	5153.6448	1250.2998	256		NDUFV3,PKNOX1	PKNOX1	NDUFV3	0.03569999999999998	256	1
4_MACS_peak_4790_lociStitched	chr12	13242817	13255457	4	4822	6203.712	2314.384	257	GSG1	KIAA1467	GSG1	GSG1	0.14150000000000001	257	1
2_MACS_peak_1931_lociStitched	chr1	209276055	209282253	2	3943	6111.228	2224.4622	258			LOC642587	LOC642587	NONE	258	1
2_MACS_peak_1269_lociStitched	chr1	155912768	155917071	2	3030	5281.9325	1398.9053	259	ARHGEF2	RXFP4,RIT1,SNORA42,SCARNA4,KIAA0907	RXFP4	RXFP4	0.4236	259	1
2_MACS_peak_18696_lociStitched	chr6	27798290	27807817	2	5303	6325.928	2449.3917	260	HIST1H2BN,HIST1H4K,HIST1H2AK	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H4J,HIST1H2AL,HIST1H2BL,HIST1H2AJ,HIST1H1B,HIST1H3I,HIST1H4L	HIST1H2AK	HIST1H3H	0.2967	260	1
1_MACS_peak_20946_lociStitched	chr7	129588361	129593403	1	5043	5899.14	2025.8756	261	UBE2H		UBE2H	UBE2H	0.02200000000000002	261	1
3_MACS_peak_1356_lociStitched	chr1	160641730	160654345	3	6441	7648.4745	3789.546	262	CD48	SLAMF1	SLAMF1	NONE	NONE	262	1
3_MACS_peak_4660_lociStitched	chr12	4251696	4261616	3	3534	5684.16	1828.256	263			CCND2	CCND2	0.16670000000000001	263	1
2_MACS_peak_1293_lociStitched	chr1	156469814	156476039	2	4364	5991.5625	2149.4925	264	MEF2D		MEF2D	MEF2D	0.1705	264	1
1_MACS_peak_9878_lociStitched	chr19	6576761	6578759	1	1999	4560.8346	721.278	265		TNFSF9,CD70	CD70	TNFSF9	0.12800000000000003	265	1
3_MACS_peak_18767_lociStitched	chr6	31159985	31172603	3	4906	6117.2064	2283.858	266	HCG27	TCF19,CCHCR1,POU5F1,PSORS1C3	HCG27	HCG27	0.2213	266	1
1_MACS_peak_17818_lociStitched	chr5	129659387	129661341	1	1955	4443.5914	613.556	267			CHSY3	CHSY3	NONE	267	1
2_MACS_peak_1031_lociStitched	chr1	143911811	143919030	2	6045	6386.6493	2559.1355	268	SRGAP2P2,FAM72D		SRGAP2P2	SRGAP2P2	0.0464	268	1
1_MACS_peak_1181_lociStitched	chr1	152006727	152011985	1	5259	5690.2076	1866.0642	269	S100A11	S100A10,TCHHL1	S100A11	S100A11	0.23299999999999993	269	1
3_MACS_peak_16831_lociStitched	chr4	185337834	185348937	3	5679	6772.83	2964.501	270	IRF2		IRF2	IRF2	0.1717	270	1
2_MACS_peak_198_lociStitched	chr1	21616842	21622176	2	4085	5228.9202	1437.513	271	ECE1	ECE1	ECE1	ECE1	0.0319	271	1
1_MACS_peak_10175_lociStitched	chr19	35695700	35698715	1	3016	4693.752	906.912	272		FXYD5,LSR,FAM187B	FAM187B	LSR	0.0898	272	1
2_MACS_peak_239_lociStitched	chr1	24645380	24649701	2	3153	5025.7551	1239.6949	273	GRHL3		GRHL3	GRHL3	0.0627	273	1
3_MACS_peak_13117_lociStitched	chr20	62359214	62368898	3	4003	5621.562	1841.8968	274	ZGPAT,LIME1	TNFRSF6B,SLC2A4RG,ARFRP1	LIME1	LIME1	0.1053	274	1
2_MACS_peak_1601_lociStitched	chr1	181097684	181104834	2	3170	5825.82	2049.19	275		IER5	IER5	IER5	0.1677	275	1
2_MACS_peak_1286_lociStitched	chr1	156195048	156199110	2	3283	5216.8266	1443.2286	276	PMF1	SLC25A44,BGLAP,PAQR6	PMF1	PMF1	0.16240000000000002	276	1
2_MACS_peak_13567_lociStitched	chr22	24180718	24191371	2	7012	6605.9253	2832.6327	277	DERL3	SLC2A11,MIF	DERL3	DERL3	0.061	277	1
4_MACS_peak_18233_lociStitched	chr5	171601289	171616192	4	8299	6757.0202	2989.5418	278	STK10	EFCAB9	STK10	STK10	0.0334	278	1
1_MACS_peak_17540_lociStitched	chr5	90675441	90681145	1	5705	5380.0128	1615.3728	279	LOC100129716,ARRDC3		ARRDC3	ARRDC3	0.17830000000000001	279	1
2_MACS_peak_1359_lociStitched	chr1	160676774	160683313	2	5949	6327.1364	2563.9419	280	CD48	SLAMF7	CD48	CD48	0.17169999999999996	280	1
2_MACS_peak_16959_lociStitched	chr5	6479968	6486630	2	5560	5383.5622	1622.8632	281	UBE2QL1		UBE2QL1	UBE2QL1	0.10929999999999998	281	1
1_MACS_peak_9085_lociStitched	chr17	74476513	74479476	1	2964	4600.9464	856.307	282	RHBDF2	AANAT,PRCD,UBE2O	RHBDF2	RHBDF2	0.13959999999999997	282	1
3_MACS_peak_11991_lociStitched	chr2	182169820	182179204	3	4798	6461.8224	2721.36	283			ITGA4	ITGA4	NONE	283	1
3_MACS_peak_15471_lociStitched	chr3	191007833	191019513	3	5773	6812.944	3075.344	284	UTS2D	CCDC50	CCDC50	CCDC50	0.012499999999999983	284	1
2_MACS_peak_20174_lociStitched	chr7	35764276	35770904	2	3842	5266.6088	1535.7076	285		HERPUD2	HERPUD2	HERPUD2	0.018799999999999997	285	1
3_MACS_peak_4084_lociStitched	chr11	71414357	71426429	3	6326	6782.0496	3060.252	286			FAM86C	FAM86C	NONE	286	1
3_MACS_peak_15713_lociStitched	chr4	15779301	15787417	3	3981	5266.4724	1545.2864	287	CD38		CD38	CD38	0.05689999999999999	287	1
2_MACS_peak_8316_lociStitched	chr17	7737834	7748427	2	6211	5975.5113	2256.309	288	KDM6B	TMEM88,CYB5D1,CHD3,LSMD1	KDM6B	KDM6B	0.20199999999999999	288	1
2_MACS_peak_2025_lociStitched	chr1	218629310	218634212	2	2830	5279.454	1566.189	289			TGFB2	TGFB2	NONE	289	1
1_MACS_peak_13382_lociStitched	chr21	41384650	41389331	1	4682	5390.6396	1685.16	290	DSCAM		PCP4	PCP4	NONE	290	1
1_MACS_peak_15558_lociStitched	chr3	197460771	197464922	1	4152	5295.4307	1593.984	291	KIAA0226	FYTTD1	KIAA0226	KIAA0226	0.09290000000000001	291	1
3_MACS_peak_4544_lociStitched	chr11	126173322	126182570	3	4520	5743.008	2044.7328	292	DCPS	FOXRED1,TIRAP,ST3GAL4,SRPR,FLJ39051	DCPS	DCPS	0.08399999999999999	292	1
2_MACS_peak_1055_lociStitched	chr1	145153894	145160467	2	3363	6668.3085	2971.6533	293		NOTCH2NL	NOTCH2NL	NOTCH2NL	0.08250000000000002	293	1
1_MACS_peak_8596_lociStitched	chr17	36856734	36861459	1	4726	4987.2375	1292.76	294		MLLT6,CISD3,PSMB3,C17orf96,PCGF2	MLLT6	MLLT6	0.11730000000000002	294	1
3_MACS_peak_4560_lociStitched	chr11	128588055	128596443	3	5159	6062.8464	2369.61	295	FLI1		FLI1	FLI1	0.08610000000000001	295	1
2_MACS_peak_2262_lociStitched	chr1	240075040	240078916	2	3438	4876.008	1189.1568	296			RPS7P5	RPS7P5	NONE	296	1
2_MACS_peak_10659_lociStitched	chr2	20406514	20414487	2	5027	5889.6551	2202.9399	297	SDC1		SDC1	SDC1	0.1926	297	1
4_MACS_peak_16241_lociStitched	chr4	100865073	100872413	4	5403	5317.096	1632.416	298	LOC256880,DNAJB14,H2AFZ	MAPKSP1	DNAJB14	DNAJB14	0.0533	298	1
3_MACS_peak_10848_lociStitched	chr2	39347849	39356737	3	3912	5580.7752	1900.2544	299		SOS1	SOS1	SOS1	0.0213	299	1
1_MACS_peak_21075_lociStitched	chr7	141436850	141438776	1	1927	4328.4924	656.5734	300	SSBP1,FLJ40852	WEE2,TAS2R3,TAS2R4,KIAA1147	FLJ40852	FLJ40852	0.07800000000000001	300	1
1_MACS_peak_8401_lociStitched	chr17	19090489	19094430	1	3942	4875.017	1211.4634	301		EPN2	EPN2	EPN2	0.02889999999999998	301	1
2_MACS_peak_13307_lociStitched	chr21	36258062	36262913	2	4734	5018.8446	1359.2502	302	RUNX1		RUNX1	RUNX1	0.04669999999999999	302	1
1_MACS_peak_20705_lociStitched	chr7	104651508	104656450	1	4943	5166.3668	1506.8158	303	MLL5,LOC100216545		LOC100216545	LOC100216545	0.31839999999999996	303	1
3_MACS_peak_5107_lociStitched	chr12	51713945	51721702	3	5886	5493.5074	1858.5772	304	BIN2	SMAGP,CELA1	BIN2	BIN2	0.0726	304	1
3_MACS_peak_9504_lociStitched	chr18	46458394	46470031	3	6601	6185.0655	2555.4852	305	SMAD7		SMAD7	SMAD7	0.2211	305	1
4_MACS_peak_10724_lociStitched	chr2	27379680	27393334	4	4993	5983.1828	2360.7766	306		ABHD1,TCF23,C2orf28,CAD,CGREF1,PREB,C2orf53,SLC5A6	TCF23	C2orf28	0.07300000000000001	306	1
1_MACS_peak_22088_lociStitched	chr8	134579390	134585660	1	6271	5147.043	1538.031	307	ST3GAL1		ST3GAL1	ST3GAL1	0.0577	307	1
3_MACS_peak_17645_lociStitched	chr5	109024093	109032726	3	6854	5992.1653	2383.5713	308	MAN2A1		MAN2A1	MAN2A1	0.0383	308	1
1_MACS_peak_9751_lociStitched	chr19	1036911	1041349	1	4439	5426.7864	1824.018	309	CNN2,ABCA7	GRIN3B,HMHA1,C19orf6	ABCA7	ABCA7	0.19399999999999998	309	1
2_MACS_peak_2214_lociStitched	chr1	234652435	234659951	2	3589	5876.7604	2276.5964	310		TARBP1	TARBP1	NONE	NONE	310	1
1_MACS_peak_1637_lociStitched	chr1	183879362	183882249	1	2888	4745.3619	1148.4486	311	RGL1		GLT25D2	GLT25D2	NONE	311	1
2_MACS_peak_1879_lociStitched	chr1	206132405	206139852	2	6471	6043.2405	2447.0842	312	FAM72A		FAM72A	FAM72A	0.091	312	1
2_MACS_peak_3725_lociStitched	chr11	35160163	35168572	2	7870	5971.2309	2387.3151	313	CD44		CD44	CD44	0.0776	313	1
3_MACS_peak_2331_lociStitched	chr1	249112775	249121803	3	5077	6784.542	3204.94	314	MIR3124,SH3BP5L	ZNF672,ZNF692	SH3BP5L	SH3BP5L	0.16279999999999997	314	1
1_MACS_peak_14565_lociStitched	chr3	79065762	79069504	1	3743	4394.2306	815.0076	315	ROBO1		ROBO1	NONE	NONE	315	1
2_MACS_peak_7317_lociStitched	chr15	89177533	89184158	2	4643	5474.9	1898.725	316	ISG20	MIR1179,MIR7-2,AEN	ISG20	ISG20	0.1826	316	1
1_MACS_peak_19267_lociStitched	chr6	90993670	90997162	1	3493	4660.4232	1084.9644	317	BACH2		BACH2	BACH2	0.016100000000000003	317	1
2_MACS_peak_2823_lociStitched	chr10	64412572	64415943	2	2327	4520.511	945.5655	318	ZNF365		ZNF365	ZNF365	0.023700000000000013	318	1
