REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X32_0EX8_0229Kronos_MM1S.No.Treatment.2_IRF4_hs_i48.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
2_MACS_peak_12070_lociStitched	chr2	192539417	192545570	2	6100	5921.6472	1413.9594	157	OBFC2A		OBFC2A	OBFC2A	0.22449999999999998	157	1
2_MACS_peak_1710_lociStitched	chr1	192507110	192515873	2	6095	6235.7508	2814.6756	158		RGS1	RGS1	RGS1	0.35819999999999996	158	1
3_MACS_peak_12913_lociStitched	chr20	43270896	43281984	3	6080	6972.1344	2827.44	159	ADA	LOC79015	ADA	ADA	0.0829	159	1
3_MACS_peak_18490_lociStitched	chr6	11828132	11835977	3	6077	6443.883	2231.118	160		C6orf105	C6orf105	C6orf105	0.026600000000000013	160	1
5_MACS_peak_5620_lociStitched	chr12	106529875	106543885	5	6049	5704.872	2608.662	161	NUAK1		NUAK1	NUAK1	0.02149999999999999	161	1
2_MACS_peak_1031_lociStitched	chr1	143911811	143919030	2	6045	6386.6493	2559.1355	162	SRGAP2P2,FAM72D		SRGAP2P2	SRGAP2P2	0.0464	162	1
2_MACS_peak_7981_lociStitched	chr16	66549864	66559472	2	6028	8568.4144	2662.3768	163	TK2	CKLF,CMTM1	TK2	TK2	0.1515	163	1
5_MACS_peak_3274_lociStitched	chr10	112619327	112631867	5	6020	6291.318	3022.14	164	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	0.20950000000000002	164	1
4_MACS_peak_2972_lociStitched	chr10	81003478	81015741	4	5967	5344.2154	2545.7988	165	ZMIZ1		PPIF	PPIF	NONE	165	1
3_MACS_peak_1307_lociStitched	chr1	157142726	157152914	3	5965	5851.9872	3057.4188	166		CYCSP52,ETV3	ETV3	ETV3	0.14659999999999998	166	1
2_MACS_peak_1571_lociStitched	chr1	179049095	179058898	2	5957	8643.3051	3011.4816	167	TOR3A		TOR3A	TOR3A	0.2351	167	1
4_MACS_peak_10929_lociStitched	chr2	46789072	46802666	4	5957	6212.458	2905.0378	168	RHOQ	CRIPT,ATP6V1E2,PIGF	RHOQ	RHOQ	0.09260000000000002	168	1
3_MACS_peak_20742_lociStitched	chr7	106504770	106513304	3	5954	6461.9448	2941.6698	169	PIK3CG		PIK3CG	PIK3CG	0.08050000000000002	169	1
2_MACS_peak_1359_lociStitched	chr1	160676774	160683313	2	5949	6327.1364	2563.9419	170	CD48	SLAMF7	CD48	CD48	0.17169999999999996	170	1
2_MACS_peak_4377_lociStitched	chr11	111241410	111250782	2	5946	6962.4588	2372.0532	171	POU2AF1		POU2AF1	POU2AF1	0.15350000000000003	171	1
2_MACS_peak_20293_lociStitched	chr7	47514364	47522175	2	5939	5758.2692	2219.1051	172	TNS3		TNS3	TNS3	0.008900000000000019	172	1
4_MACS_peak_2804_lociStitched	chr10	63656530	63665210	4	5922	5285.252	1933.904	173	ARID5B		ARID5B	ARID5B	0.0632	173	1
3_MACS_peak_4570_lociStitched	chr11	129233807	129246994	3	5916	5895.9077	2579.3772	174	BARX2		BARX2	BARX2	0.06939999999999999	174	1
2_MACS_peak_20958_lociStitched	chr7	130790791	130796886	2	5910	5562.297	2002.817	175	MKLN1,FLJ43663		FLJ43663	FLJ43663	0.03240000000000001	175	1
5_MACS_peak_7109_lociStitched	chr15	70042068	70058825	5	5909	7331.1875	3220.6954	176			C15orf50	C15orf50	NONE	176	1
3_MACS_peak_8673_lociStitched	chr17	40827830	40834658	3	5888	4412.9364	1859.9472	177	CNTNAP1,PLEKHH3,CCR10	TUBG2	PLEKHH3	PLEKHH3	0.13470000000000001	177	1
3_MACS_peak_5107_lociStitched	chr12	51713945	51721702	3	5886	5493.5074	1858.5772	178	BIN2	SMAGP,CELA1	BIN2	BIN2	0.0726	178	1
3_MACS_peak_19394_lociStitched	chr6	108929550	108941539	3	5866	6050.8483	2107.6662	179	FOXO3		FOXO3	FOXO3	0.20710000000000003	179	1
3_MACS_peak_8312_lociStitched	chr17	7475464	7488338	3	5837	6921.0624	2977.7562	180	EIF4A1,SNORA48,SNORD10,SNORA67,CD68,MPDU1	TNFSF12,TNFSF13,SENP3,SHBG,SOX15,FXR2,SAT2	SNORA67	SNORA67	0.2334	180	1
3_MACS_peak_8930_lociStitched	chr17	62150515	62160271	3	5823	7374.5604	2529.7308	181	ERN1		ERN1	ERN1	0.21559999999999999	181	1
3_MACS_peak_15471_lociStitched	chr3	191007833	191019513	3	5773	6812.944	3075.344	182	UTS2D	CCDC50	CCDC50	CCDC50	0.012499999999999983	182	1
4_MACS_peak_20125_lociStitched	chr7	30059940	30073220	4	5762	5900.304	2366.496	183	PLEKHA8,FKBP14	SCRN1	FKBP14	FKBP14	0.11569999999999997	183	1
1_MACS_peak_3260_lociStitched	chr10	112113037	112118793	1	5757	8267.9184	1954.7376	184		SMNDC1	SMNDC1	SMNDC1	0.028799999999999992	184	1
4_MACS_peak_671_lociStitched	chr1	66736610	66748928	4	5754	6988.0014	2910.7434	185	PDE4B	PDE4B	PDE4B	PDE4B	0.016	185	1
3_MACS_peak_12866_lociStitched	chr20	37499202	37505355	3	5745	6029.94	1698.228	186	PPP1R16B	FAM83D	FAM83D	FAM83D	0.028399999999999995	186	1
1_MACS_peak_17540_lociStitched	chr5	90675441	90681145	1	5705	5380.0128	1615.3728	187	LOC100129716,ARRDC3		ARRDC3	ARRDC3	0.17830000000000001	187	1
2_MACS_peak_18700_lociStitched	chr6	27857939	27863753	2	5681	5047.7148	1746.5256	188	HIST1H2BO,HIST1H3J,HIST1H2AM	HIST1H2AL,HIST1H1B,HIST1H3I,HIST1H4L,OR2B2	HIST1H2AM	HIST1H2AM	0.3432	188	1
3_MACS_peak_16831_lociStitched	chr4	185337834	185348937	3	5679	6772.83	2964.501	189	IRF2		IRF2	IRF2	0.1717	189	1
1_MACS_peak_16927_lociStitched	chr5	1312290	1317959	1	5670	7267.658	1939.3649	190		TERT,CLPTM1L	TERT	CLPTM1L	0.28259999999999996	190	1
3_MACS_peak_15848_lociStitched	chr4	40303194	40312292	3	5660	7272.0314	2489.2128	191		CHRNA9	CHRNA9	NONE	NONE	191	1
2_MACS_peak_1012_lociStitched	chr1	120833111	120840521	2	5657	4815.759	1898.442	192	FAM72B		FAM72B	FAM72B	0.0799	192	1
2_MACS_peak_14410_lociStitched	chr3	52738180	52745308	2	5652	4916.8944	1633.0248	193	SPCS1,GLT8D1,NEK4	GNL3,SNORD19,SNORD19B,SNORD69,PBRM1,GLT8D1	GLT8D1	GLT8D1	0.1736	193	1
2_MACS_peak_4416_lociStitched	chr11	115367917	115376174	2	5647	4635.4798	1584.5183	194	CADM1		CADM1	CADM1	0.043200000000000016	194	1
1_MACS_peak_1061_lociStitched	chr1	145394884	145400501	1	5618	7085.8455	2209.7278	195		HFE2,TXNIP	HFE2	TXNIP	0.20520000000000005	195	1
2_MACS_peak_15541_lociStitched	chr3	196358569	196368124	2	5593	5972.8305	2500.5435	196	LRRC33		LRRC33	LRRC33	0.07630000000000003	196	1
3_MACS_peak_7250_lociStitched	chr15	81585577	81595531	3	5592	8414.1162	3029.0022	197	IL16	STARD5	IL16	STARD5	0.11939999999999998	197	1
3_MACS_peak_20676_lociStitched	chr7	102064340	102075199	3	5587	6200.489	2852.6593	198	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	0.1695	198	1
2_MACS_peak_16959_lociStitched	chr5	6479968	6486630	2	5560	5383.5622	1622.8632	199	UBE2QL1		UBE2QL1	UBE2QL1	0.10929999999999998	199	1
2_MACS_peak_338_lociStitched	chr1	31216081	31221672	2	5529	4978.7855	1515.161	200	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	0.22010000000000002	200	1
2_MACS_peak_15946_lociStitched	chr4	57840437	57846252	2	5523	3793.706	1465.9615	201	POLR2B,C4orf14		C4orf14	C4orf14	0.11380000000000004	201	1
2_MACS_peak_18755_lociStitched	chr6	30684441	30691040	2	5503	4780.3156	1555.3843	202	TUBB,MDC1	DHX16,KIAA1949,NRM,FLOT1,IER3	TUBB	TUBB	0.24170000000000003	202	1
2_MACS_peak_14948_lociStitched	chr3	133290952	133296709	2	5499	4021.2645	1433.493	203	CDV3		CDV3	CDV3	0.1655	203	1
3_MACS_peak_17726_lociStitched	chr5	118668137	118678145	3	5484	6454.1592	2400.9192	204	TNFAIP8	TNFAIP8	TNFAIP8	TNFAIP8	0.07039999999999999	204	1
4_MACS_peak_3615_lociStitched	chr11	19453642	19464521	4	5479	7418.3901	2757.8265	205	NAV2		FLJ13439	FLJ13439	NONE	205	1
2_MACS_peak_15223_lociStitched	chr3	169754929	169765393	2	5475	7705.6896	3153.8496	206	GPR160		GPR160	GPR160	0.1207	206	1
3_MACS_peak_18674_lociStitched	chr6	27094470	27107512	3	5463	5537.6332	2509.2808	207	HIST1H2AG,HIST1H4I,HIST1H2BJ,HIST1H2BK	HIST1H2AH,MIR3143	HIST1H2AG	HIST1H2AG	0.2041	207	1
3_MACS_peak_13280_lociStitched	chr21	34746291	34756627	3	5449	7087.3952	2793.8208	208		IFNAR1,IFNGR2	IFNGR2	IFNAR1	0.09310000000000002	208	1
3_MACS_peak_18338_lociStitched	chr5	180610843	180619359	3	5437	4981.86	1610.3756	209		OR2V2,TRIM41,TRIM7,SNORD96A	TRIM7	SNORD96A	0.2094	209	1
2_MACS_peak_15443_lociStitched	chr3	187455701	187464094	2	5432	5571.2734	2186.3765	210	BCL6	LOC100131635,RTP2,BCL6	BCL6	BCL6	0.07780000000000001	210	1
3_MACS_peak_23110_lociStitched	chr9	134137417	134151263	3	5417	5653.3218	2608.5864	211	FAM78A	PPAPDC3	FAM78A	FAM78A	0.1741	211	1
3_MACS_peak_21409_lociStitched	chr8	27935133	27942043	3	5415	4570.274	1736.483	212	C8orf80	ELP3	C8orf80	C8orf80	0.07140000000000002	212	1
1_MACS_peak_23098_lociStitched	chr9	132646480	132651887	1	5408	5070.1439	1503.146	213	FNBP1	USP20,C9orf78	USP20	C9orf78	0.05249999999999999	213	1
4_MACS_peak_16241_lociStitched	chr4	100865073	100872413	4	5403	5317.096	1632.416	214	LOC256880,DNAJB14,H2AFZ	MAPKSP1	DNAJB14	DNAJB14	0.0533	214	1
2_MACS_peak_1237_lociStitched	chr1	154908292	154916980	2	5400	9340.4688	3683.712	215	PMVK,PBXIP1	CKS1B,MIR4258,FLAD1,LENEP,PYGO2,SHC1	PMVK	PYGO2	0.284	215	1
3_MACS_peak_20993_lociStitched	chr7	134670411	134681782	3	5389	8108.6601	3349.8966	216	AGBL3		AGBL3	AGBL3	0.013600000000000001	216	1
3_MACS_peak_8251_lociStitched	chr17	4275338	4281092	3	5374	5953.0884	1295.8008	217		UBE2G1	UBE2G1	UBE2G1	0.0039000000000000007	217	1
2_MACS_peak_21010_lociStitched	chr7	136037062	136046872	2	5365	10222.02	3022.461	218			LUZP6	LUZP6	NONE	218	1
3_MACS_peak_5527_lociStitched	chr12	96792102	96802430	3	5350	6358.9496	1962.32	219	CDK17		CDK17	CDK17	0.027899999999999994	219	1
3_MACS_peak_313_lociStitched	chr1	28571005	28576675	3	5348	4206.573	1648.269	220		ATPIF1,SESN2,DNAJC8	ATPIF1	ATPIF1	0.08770000000000003	220	1
2_MACS_peak_1064_lociStitched	chr1	145449868	145457820	2	5328	8448.2048	3273.8384	221	POLR3GL	HFE2,TXNIP,ANKRD34A,LIX1L,RBM8A	TXNIP	TXNIP	0.20520000000000005	221	1
1_MACS_peak_15435_lociStitched	chr3	186779864	186785181	1	5318	5570.0892	2162.9556	222	ST6GAL1		ST6GAL1	ST6GAL1	0.07680000000000001	222	1
3_MACS_peak_19680_lociStitched	chr6	138187390	138193382	3	5313	4039.2072	1486.6152	223	TNFAIP3		TNFAIP3	TNFAIP3	0.14980000000000002	223	1
2_MACS_peak_18696_lociStitched	chr6	27798290	27807817	2	5303	6325.928	2449.3917	224	HIST1H2BN,HIST1H4K,HIST1H2AK	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H4J,HIST1H2AL,HIST1H2BL,HIST1H2AJ,HIST1H1B,HIST1H3I,HIST1H4L	HIST1H2AK	HIST1H3H	0.2967	224	1
4_MACS_peak_18330_lociStitched	chr5	180229084	180238445	4	5290	5920.8325	1883.4332	225	MGAT1	LOC729678,ZFP62	MGAT1	MGAT1	0.1312	225	1
4_MACS_peak_22904_lociStitched	chr9	116163059	116179122	4	5290	6142.4912	2823.8754	226	C9orf43,ALAD,POLE3	RGS3,HDHD3	POLE3	POLE3	0.15500000000000003	226	1
2_MACS_peak_1987_lociStitched	chr1	212779871	212788694	2	5287	6904.8798	2720.1309	227	ATF3	FAM71A	ATF3	ATF3	0.11530000000000001	227	1
3_MACS_peak_10941_lociStitched	chr2	47209108	47214823	3	5280	4468.5585	1801.368	228	TTC7A	MCFD2	MCFD2	MCFD2	0.06989999999999999	228	1
3_MACS_peak_18240_lociStitched	chr5	172191856	172205350	3	5271	7301.6034	2431.6188	229	DUSP1		DUSP1	DUSP1	0.31479999999999997	229	1
3_MACS_peak_17491_lociStitched	chr5	86408719	86418902	3	5268	5454.0148	2087.515	230	MIR4280		MIR4280	MIR4280	0.12309999999999999	230	1
4_MACS_peak_991_lociStitched	chr1	118196396	118207635	4	5260	6083.6707	1775.762	231		FAM46C	FAM46C	FAM46C	0.2794	231	1
1_MACS_peak_1181_lociStitched	chr1	152006727	152011985	1	5259	5690.2076	1866.0642	232	S100A11	S100A10,TCHHL1	S100A11	S100A11	0.23299999999999993	232	1
1_MACS_peak_6218_lociStitched	chr13	114829435	114834690	1	5256	6413.7275	1436.1915	233	RASA3		RASA3	RASA3	0.07150000000000001	233	1
2_MACS_peak_13251_lociStitched	chr21	32926077	32932689	2	5254	4798.3284	1924.7532	234	TIAM1		TIAM1	TIAM1	0.0116	234	1
2_MACS_peak_7098_lociStitched	chr15	69109391	69114733	2	5244	3374.5414	892.6482	235	ANP32A	MIR548H4,MIR4312,C15orf28	ANP32A	ANP32A	0.06130000000000001	235	1
5_MACS_peak_5776_lociStitched	chr12	125398430	125406580	5	5242	4779.975	1240.43	236	UBC	SCARB1	UBC	UBC	0.2587	236	1
3_MACS_peak_14624_lociStitched	chr3	98479756	98490729	3	5230	5780.5764	2483.1899	237	ST3GAL6		ST3GAL6	ST3GAL6	0.1006	237	1
4_MACS_peak_8685_lociStitched	chr17	41437509	41450558	4	5230	6840.2858	2737.6802	238	LOC100130581	ARL4D	LOC100130581	LOC100130581	0.11099999999999999	238	1
2_MACS_peak_19357_lociStitched	chr6	106610634	106616284	2	5220	5407.05	1879.755	239			PRDM1	PRDM1	0.3721	239	1
3_MACS_peak_13594_lociStitched	chr22	26984311	26991705	3	5213	4929.5798	1824.8392	240	TPST2	CRYBA4,MIR548J,TPST2,CRYBB1	TPST2	CRYBB1	0.1851	240	1
3_MACS_peak_20258_lociStitched	chr7	44669160	44679445	3	5207	7380.516	2610.333	241	OGDH	TMED4	OGDH	OGDH	0.055999999999999994	241	1
3_MACS_peak_3495_lociStitched	chr11	8702962	8711196	3	5193	5118.2544	1840.299	242	RPL27A,SNORA3,SNORA45	TRIM66	SNORA45	SNORA45	0.3285	242	1
3_MACS_peak_9606_lociStitched	chr18	56751351	56756922	3	5191	4397.1903	1658.4867	243		LOC390858	LOC390858	NONE	NONE	243	1
3_MACS_peak_3222_lociStitched	chr10	105258033	105267966	3	5181	6981.9057	2458.4175	244	NEURL	CALHM2,CALHM1,CALHM3	NEURL	CALHM3	0.07219999999999999	244	1
2_MACS_peak_1883_lociStitched	chr1	206287131	206292398	2	5175	7677.1792	2322.747	245	C1orf186	CTSE	C1orf186	C1orf186	0.11369999999999997	245	1
2_MACS_peak_2104_lociStitched	chr1	226242863	226252806	2	5166	4611.5634	2230.2149	246	LOC440926,H3F3A		H3F3A	H3F3A	0.1076	246	1
3_MACS_peak_18655_lociStitched	chr6	26358320	26366168	3	5163	6840.3168	1987.8984	247	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	BTN3A2	0.1631	247	1
3_MACS_peak_4560_lociStitched	chr11	128588055	128596443	3	5159	6062.8464	2369.61	248	FLI1		FLI1	FLI1	0.08610000000000001	248	1
2_MACS_peak_15308_lociStitched	chr3	178231055	178238114	2	5116	5636.6115	2427.5901	249		KCNMB2	KCNMB2	NONE	NONE	249	1
2_MACS_peak_5581_lociStitched	chr12	102871990	102878815	2	5115	5975.97	1513.1025	250	IGF1		IGF1	IGF1	0.0476	250	1
2_MACS_peak_9749_lociStitched	chr19	1020217	1028811	2	5115	5639.3828	2408.0388	251	CNN2,C19orf6	WDR18,GRIN3B,ABCA7,HMHA1	CNN2	CNN2	0.2973	251	1
3_MACS_peak_11932_lociStitched	chr2	175457824	175463254	3	5106	4831.071	1479.132	252	WIPF1		WIPF1	WIPF1	0.040200000000000014	252	1
2_MACS_peak_5202_lociStitched	chr12	57076677	57083693	2	5087	4996.0936	1719.6216	253	PTGES3	BAZ2A,SNORD59B,SNORD59A,ATP5B,NACA	PTGES3	ATP5B	0.15349999999999997	253	1
3_MACS_peak_21391_lociStitched	chr8	26428544	26436326	3	5086	6043.5012	1912.0374	254	DPYSL2		DPYSL2	DPYSL2	0.02650000000000001	254	1
3_MACS_peak_2331_lociStitched	chr1	249112775	249121803	3	5077	6784.542	3204.94	255	MIR3124,SH3BP5L	ZNF672,ZNF692	SH3BP5L	SH3BP5L	0.16279999999999997	255	1
2_MACS_peak_15498_lociStitched	chr3	193848410	193855786	2	5073	7238.0688	2139.04	256	HES1		HES1	HES1	0.43739999999999996	256	1
1_MACS_peak_20946_lociStitched	chr7	129588361	129593403	1	5043	5899.14	2025.8756	257	UBE2H		UBE2H	UBE2H	0.02200000000000002	257	1
2_MACS_peak_22782_lociStitched	chr9	102581295	102587353	2	5039	4069.1586	1280.6612	258	NR4A3	NR4A3	NR4A3	NR4A3	0.06040000000000001	258	1
2_MACS_peak_10659_lociStitched	chr2	20406514	20414487	2	5027	5889.6551	2202.9399	259	SDC1		SDC1	SDC1	0.1926	259	1
3_MACS_peak_13555_lociStitched	chr22	23479988	23488076	3	5025	4495.3104	1759.9488	260	RAB36,RTDR1	BCR	RTDR1	RTDR1	0.026499999999999996	260	1
2_MACS_peak_20082_lociStitched	chr7	26003289	26009620	2	5022	6845.0772	1880.307	261		MIR148A	MIR148A	MIR148A	0.231	261	1
3_MACS_peak_19389_lociStitched	chr6	108894473	108907567	3	5022	5919.7974	2546.783	262	FOXO3		FOXO3	FOXO3	0.20710000000000003	262	1
4_MACS_peak_2226_lociStitched	chr1	235140445	235152079	4	5018	9885.4098	3092.3172	263			SNORA14B	SNORA14B	NONE	263	1
1_MACS_peak_1124_lociStitched	chr1	149810916	149815926	1	5011	6289.554	1683.861	264	HIST2H3A,HIST2H2AA4	HIST2H4B,HIST2H2AC,HIST2H2BF,HIST2H3D,HIST2H2BC,HIST2H2BE,HIST2H2AB	HIST2H3A	HIST2H2AC	0.48510000000000003	264	1
1_MACS_peak_1063_lociStitched	chr1	145434574	145439583	1	5010	4098.3638	1978.0541	265	TXNIP	HFE2,ANKRD34A,LIX1L,POLR3GL	TXNIP	POLR3GL	0.2066	265	1
2_MACS_peak_10272_lociStitched	chr19	42040862	42047380	2	5008	5662.1866	1422.2276	266		CEACAM21	CEACAM21	CEACAM21	0.005699999999999983	266	1
4_MACS_peak_10724_lociStitched	chr2	27379680	27393334	4	4993	5983.1828	2360.7766	267		ABHD1,TCF23,C2orf28,CAD,CGREF1,PREB,C2orf53,SLC5A6	TCF23	C2orf28	0.07300000000000001	267	1
2_MACS_peak_9884_lociStitched	chr19	6765751	6773894	2	4984	5507.1109	2231.182	268	VAV1,SH2D3A	TRIP10,C3,GPR108	SH2D3A	GPR108	0.15400000000000003	268	1
2_MACS_peak_17270_lociStitched	chr5	56467525	56472679	2	4981	4140.2082	985.4448	269	GPBP1	GPBP1	GPBP1	GPBP1	0.03599999999999999	269	1
3_MACS_peak_7357_lociStitched	chr15	91472432	91479110	3	4962	3731.6664	1742.958	270	UNC45A,HDDC3	FES,MAN2A2,RCCD1	HDDC3	HDDC3	0.1838	270	1
2_MACS_peak_13443_lociStitched	chr21	45572783	45580122	2	4960	6725.4596	2248.6696	271		PWP2,C21orf33	C21orf33	C21orf33	0.17969999999999997	271	1
2_MACS_peak_8614_lociStitched	chr17	37909849	37915316	2	4951	5687.8668	1590.3503	272		GRB7,C17orf37	GRB7	C17orf37	0.06499999999999999	272	1
1_MACS_peak_20705_lociStitched	chr7	104651508	104656450	1	4943	5166.3668	1506.8158	273	MLL5,LOC100216545		LOC100216545	LOC100216545	0.31839999999999996	273	1
3_MACS_peak_13071_lociStitched	chr20	56047958	56056867	3	4940	4889.2592	2010.7613	274		CTCFL	CTCFL	CTCFL	0.021199999999999997	274	1
2_MACS_peak_19024_lociStitched	chr6	52393222	52403025	2	4931	6733.6807	2533.0952	275	TRAM2		TRAM2	TRAM2	0.13990000000000002	275	1
1_MACS_peak_990_lociStitched	chr1	118172079	118177000	1	4922	3620.3797	923.1796	276		FAM46C	FAM46C	FAM46C	0.2794	276	1
3_MACS_peak_16819_lociStitched	chr4	185185014	185190550	3	4919	4953.6128	1661.9072	277		ENPP6	ENPP6	NONE	NONE	277	1
1_MACS_peak_10274_lociStitched	chr19	42055132	42060046	1	4915	4303.6812	1375.4286	278		CEACAM21	CEACAM21	CEACAM21	0.005699999999999983	278	1
2_MACS_peak_7916_lociStitched	chr16	56944293	56952455	2	4910	6119.0514	1905.0108	279	SLC12A3	HERPUD1,CETP	HERPUD1	HERPUD1	0.4363	279	1
3_MACS_peak_18767_lociStitched	chr6	31159985	31172603	3	4906	6117.2064	2283.858	280	HCG27	TCF19,CCHCR1,POU5F1,PSORS1C3	HCG27	HCG27	0.2213	280	1
3_MACS_peak_17852_lociStitched	chr5	131826086	131835536	3	4904	4539.78	2076.165	281	IRF1	IL5	IRF1	IRF1	0.12669999999999998	281	1
3_MACS_peak_16928_lociStitched	chr5	1335771	1344632	3	4903	5264.3201	1774.8583	282	CLPTM1L	TERT	CLPTM1L	CLPTM1L	0.28259999999999996	282	1
1_MACS_peak_13422_lociStitched	chr21	44581710	44586610	1	4901	5199.88	2017.82	283		CRYAA	CRYAA	CRYAA	0.18789999999999998	283	1
3_MACS_peak_4454_lociStitched	chr11	118796473	118801515	3	4901	6140.6518	1342.1804	284		CXCR5,UPK2,FOXR1,BCL9L	BCL9L	CXCR5	0.017499999999999988	284	1
3_MACS_peak_7597_lociStitched	chr16	11797070	11805700	3	4901	4861.279	1921.901	285	TXNDC11	SNN	TXNDC11	TXNDC11	0.346	285	1
3_MACS_peak_13760_lociStitched	chr22	39096436	39103438	3	4900	4526.793	1764.504	286	GTPBP1,JOSD1	CBY1,TOMM22,LOC646851,SUN2	GTPBP1	SUN2	0.08980000000000002	286	1
2_MACS_peak_20005_lociStitched	chr7	20255954	20261186	2	4890	8664.7152	1416.8256	287	MACC1		MACC1	MACC1	0.10529999999999998	287	1
3_MACS_peak_10573_lociStitched	chr2	10259801	10265101	3	4888	3999.38	1166	288	RRM2	C2orf48,CYS1	RRM2	RRM2	0.2017	288	1
1_MACS_peak_10777_lociStitched	chr2	33700268	33705153	1	4886	5626.0545	1486.994	289	RASGRP3	RASGRP3	RASGRP3	RASGRP3	0.06689999999999999	289	1
2_MACS_peak_10398_lociStitched	chr19	49375179	49380287	2	4882	4294.8064	1205.488	290	PPP1R15A	NUCB1,HSD17B14,PLEKHA4,TULP2	PPP1R15A	PPP1R15A	0.2863	290	1
2_MACS_peak_6710_lociStitched	chr15	31637129	31646305	2	4878	5033.9536	1755.3688	291	KLF13		KLF13	KLF13	0.1499	291	1
3_MACS_peak_14866_lociStitched	chr3	125548935	125560009	3	4878	6039.7596	2562.5236	292		MIR548I1	MIR548I1	NONE	NONE	292	1
3_MACS_peak_21020_lociStitched	chr7	137666056	137673441	3	4872	4860.807	2174.8825	293	CREB3L2		CREB3L2	CREB3L2	0.03319999999999998	293	1
3_MACS_peak_18298_lociStitched	chr5	176726957	176732145	3	4871	4227.1824	1278.842	294	NSD1,PRELID1,RAB24	MXD3,LMAN2	RAB24	RAB24	0.26639999999999997	294	1
3_MACS_peak_19453_lociStitched	chr6	114175491	114180555	3	4865	3793.9488	1033.056	295	MARCKS	FLJ34503	MARCKS	MARCKS	0.1728	295	1
2_MACS_peak_22546_lociStitched	chr9	73028479	73036262	2	4859	5446.5434	1509.1237	296	KLF9		KLF9	KLF9	0.0785	296	1
5_MACS_peak_14305_lociStitched	chr3	46421772	46438295	5	4854	6374.5734	3334.3414	297		CCR2,CCR5,CCRL2	CCR5	CCR2	0.12610000000000002	297	1
2_MACS_peak_3024_lociStitched	chr10	89620753	89625816	2	4851	4427.5935	1185.2483	298	PTEN,KILLIN	CFLP1,ATAD1	PTEN	PTEN	0.027999999999999997	298	1
3_MACS_peak_6645_lociStitched	chr15	23660769	23668853	3	4841	5655.5664	1724.3172	299			MKRN3	MKRN3	NONE	299	1
1_MACS_peak_234_lociStitched	chr1	24513779	24518614	1	4836	4421.6075	1536.563	300		LOC284632,IL22RA1,IL28RA	IL28RA	LOC284632	0.10469999999999999	300	1
3_MACS_peak_3638_lociStitched	chr11	22687779	22697014	3	4832	5485.59	1942.1205	301	GAS2	FANCF	GAS2	FANCF	0.09639999999999999	301	1
2_MACS_peak_5457_lociStitched	chr12	92755706	92765242	2	4828	6025.7984	2061.6832	302			CLLU1	CLLU1	0.05349999999999999	302	1
2_MACS_peak_12630_lociStitched	chr20	10650936	10655796	2	4827	3478.302	977.832	303	JAG1		JAG1	JAG1	0.04890000000000001	303	1
2_MACS_peak_16840_lociStitched	chr4	185454905	185460549	2	4824	4626.3868	1495.0956	304			IRF2	IRF2	0.1717	304	1
4_MACS_peak_6987_lociStitched	chr15	59267365	59280537	4	4824	5475.6004	2367.0084	305	RNF111	SLTM	RNF111	SLTM	0.015200000000000019	305	1
4_MACS_peak_4790_lociStitched	chr12	13242817	13255457	4	4822	6203.712	2314.384	306	GSG1	KIAA1467	GSG1	GSG1	0.14150000000000001	306	1
3_MACS_peak_10216_lociStitched	chr19	39340023	39348735	3	4805	4740.1992	1545.5088	307	HNRNPL	NFKBIB,LGALS4,ECH1,RINL,SIRT2	HNRNPL	HNRNPL	0.1215	307	1
2_MACS_peak_13403_lociStitched	chr21	43647470	43655716	2	4804	7186.389	2758.287	308	ABCG1		ABCG1	ABCG1	0.0446	308	1
4_MACS_peak_4157_lociStitched	chr11	78127568	78139797	4	4801	5411.3325	2382.2092	309	GAB2		GAB2	GAB2	0.007500000000000007	309	1
2_MACS_peak_22029_lociStitched	chr8	128746009	128751204	2	4800	2967.384	1063.4165	310	MYC		MYC	MYC	0.1466	310	1
3_MACS_peak_11991_lociStitched	chr2	182169820	182179204	3	4798	6461.8224	2721.36	311			ITGA4	ITGA4	NONE	311	1
2_MACS_peak_10352_lociStitched	chr19	47287368	47292320	2	4797	3934.8592	1312.28	312	SLC1A5	FKRP,STRN4,SNAR-E	SLC1A5	SLC1A5	0.12499999999999997	312	1
4_MACS_peak_5198_lociStitched	chr12	57022366	57031278	4	4793	5266.1008	1939.2512	313	BAZ2A	SNORD59B,SNORD59A,ATP5B	BAZ2A	ATP5B	0.15349999999999997	313	1
1_MACS_peak_15354_lociStitched	chr3	182430831	182435618	1	4788	4391.5938	1824.3257	314			ATP11B	ATP11B	0.021299999999999986	314	1
