REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X32_0EX8_0229Kronos_MM1S.No.Treatment.2_IRF4_hs_i48.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
1_MACS_peak_1127_lociStitched	chr1	149856118	149860776	1	4659	7107.1764	2131.9666	190	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2AC	190	1
4_MACS_peak_5372_lociStitched	chr12	77453953	77464830	4	4704	7105.9441	2169.9615	191	E2F7		E2F7	191	1
3_MACS_peak_4454_lociStitched	chr11	118796473	118801515	3	4901	6140.6518	1342.1804	192		CXCR5,UPK2,FOXR1,BCL9L	BCL9L	192	1
1_MACS_peak_1825_lociStitched	chr1	203255850	203260585	1	4736	7032.422	2145.902	193		BTG2,LOC730227	LOC730227	193	1
2_MACS_peak_8316_lociStitched	chr17	7737834	7748427	2	6211	5975.5113	2256.309	194	KDM6B	TMEM88,CYB5D1,CHD3,LSMD1	KDM6B	194	1
1_MACS_peak_9820_lociStitched	chr19	2607475	2611795	1	4321	6651.936	1576.368	195	GNG7		GNG7	195	1
1_MACS_peak_22088_lociStitched	chr8	134579390	134585660	1	6271	5147.043	1538.031	196	ST3GAL1		ST3GAL1	196	1
2_MACS_peak_1031_lociStitched	chr1	143911811	143919030	2	6045	6386.6493	2559.1355	197	SRGAP2P2,FAM72D		SRGAP2P2	197	1
3_MACS_peak_3222_lociStitched	chr10	105258033	105267966	3	5181	6981.9057	2458.4175	198	NEURL	CALHM2,CALHM1,CALHM3	NEURL	198	1
3_MACS_peak_5527_lociStitched	chr12	96792102	96802430	3	5350	6358.9496	1962.32	199	CDK17		CDK17	199	1
4_MACS_peak_671_lociStitched	chr1	66736610	66748928	4	5754	6988.0014	2910.7434	200	PDE4B	PDE4B	PDE4B	200	1
1_MACS_peak_1124_lociStitched	chr1	149810916	149815926	1	5011	6289.554	1683.861	201	HIST2H3A,HIST2H2AA4	HIST2H4B,HIST2H2AC,HIST2H2BF,HIST2H3D,HIST2H2BC,HIST2H2BE,HIST2H2AB	HIST2H3A	201	1
3_MACS_peak_13280_lociStitched	chr21	34746291	34756627	3	5449	7087.3952	2793.8208	202		IFNAR1,IFNGR2	IFNGR2	202	1
1_MACS_peak_20344_lociStitched	chr7	55599527	55604084	1	4558	6491.4465	1616.8236	203	VOPP1		VOPP1	203	1
3_MACS_peak_19394_lociStitched	chr6	108929550	108941539	3	5866	6050.8483	2107.6662	204	FOXO3		FOXO3	204	1
3_MACS_peak_8312_lociStitched	chr17	7475464	7488338	3	5837	6921.0624	2977.7562	205	EIF4A1,SNORA48,SNORD10,SNORA67,CD68,MPDU1	TNFSF12,TNFSF13,SENP3,SHBG,SOX15,FXR2,SAT2	SNORA67	205	1
2_MACS_peak_8367_lociStitched	chr17	16871446	16880053	2	6386	5521.3905	2128.5111	206	TNFRSF13B		TNFRSF13B	206	1
2_MACS_peak_9840_lociStitched	chr19	3984506	3990882	2	6361	5641.4848	2243.0768	207	EEF2	PIAS4,MIR637,DAPK3,SNORD37	EEF2	207	1
2_MACS_peak_1271_lociStitched	chr1	155940130	155950544	2	6235	6522.2882	3005.4804	208	ARHGEF2	RXFP4,SCARNA4,KIAA0907,SSR2	ARHGEF2	208	1
4_MACS_peak_13704_lociStitched	chr22	36773202	36784875	4	6260	5946.2262	2459.5011	209	MYH9		MYH9	209	1
2_MACS_peak_5581_lociStitched	chr12	102871990	102878815	2	5115	5975.97	1513.1025	210	IGF1		IGF1	210	1
2_MACS_peak_1359_lociStitched	chr1	160676774	160683313	2	5949	6327.1364	2563.9419	211	CD48	SLAMF7	CD48	211	1
4_MACS_peak_991_lociStitched	chr1	118196396	118207635	4	5260	6083.6707	1775.762	212		FAM46C	FAM46C	212	1
5_MACS_peak_13040_lociStitched	chr20	52546382	52559533	5	6179	5911.3745	2413.2085	213			SUMO1P1	213	1
1_MACS_peak_1030_lociStitched	chr1	143742618	143746028	1	3411	6679.849	1382.073	214	LOC100286793,FLJ39739	PPIAL4G	FLJ39739	214	1
2_MACS_peak_13443_lociStitched	chr21	45572783	45580122	2	4960	6725.4596	2248.6696	215		PWP2,C21orf33	C21orf33	215	1
4_MACS_peak_18970_lociStitched	chr6	45387049	45394589	4	6280	4790.916	1499.706	216	RUNX2	SUPT3H	RUNX2	216	1
3_MACS_peak_17726_lociStitched	chr5	118668137	118678145	3	5484	6454.1592	2400.9192	217	TNFAIP8	TNFAIP8	TNFAIP8	217	1
2_MACS_peak_1987_lociStitched	chr1	212779871	212788694	2	5287	6904.8798	2720.1309	218	ATF3	FAM71A	ATF3	218	1
3_MACS_peak_7937_lociStitched	chr16	57570113	57578884	3	4756	6125.6664	1584.0426	219	GPR114,CCDC102A	DOK4	GPR114	219	1
3_MACS_peak_5107_lociStitched	chr12	51713945	51721702	3	5886	5493.5074	1858.5772	220	BIN2	SMAGP,CELA1	BIN2	220	1
2_MACS_peak_1710_lociStitched	chr1	192507110	192515873	2	6095	6235.7508	2814.6756	221		RGS1	RGS1	221	1
3_MACS_peak_15471_lociStitched	chr3	191007833	191019513	3	5773	6812.944	3075.344	222	UTS2D	CCDC50	CCDC50	222	1
3_MACS_peak_16831_lociStitched	chr4	185337834	185348937	3	5679	6772.83	2964.501	223	IRF2		IRF2	223	1
1_MACS_peak_17540_lociStitched	chr5	90675441	90681145	1	5705	5380.0128	1615.3728	224	LOC100129716,ARRDC3		ARRDC3	224	1
2_MACS_peak_20293_lociStitched	chr7	47514364	47522175	2	5939	5758.2692	2219.1051	225	TNS3		TNS3	225	1
3_MACS_peak_20742_lociStitched	chr7	106504770	106513304	3	5954	6461.9448	2941.6698	226	PIK3CG		PIK3CG	226	1
2_MACS_peak_20958_lociStitched	chr7	130790791	130796886	2	5910	5562.297	2002.817	227	MKLN1,FLJ43663		FLJ43663	227	1
2_MACS_peak_13403_lociStitched	chr21	43647470	43655716	2	4804	7186.389	2758.287	228	ABCG1		ABCG1	228	1
4_MACS_peak_8685_lociStitched	chr17	41437509	41450558	4	5230	6840.2858	2737.6802	229	LOC100130581	ARL4D	LOC100130581	229	1
3_MACS_peak_6802_lociStitched	chr15	40835078	40843537	3	4314	6774.8131	2079.2222	230		RPUSD2,CASC5,MRPL42P5,C15orf57	MRPL42P5	230	1
2_MACS_peak_18454_lociStitched	chr6	7959951	7964440	2	3707	6265.2973	1273.5293	231	MUTED-TXNDC5	PIP5K1P1,TXNDC5	PIP5K1P1	231	1
4_MACS_peak_18330_lociStitched	chr5	180229084	180238445	4	5290	5920.8325	1883.4332	232	MGAT1	LOC729678,ZFP62	MGAT1	232	1
1_MACS_peak_11786_lociStitched	chr2	158295568	158301683	1	6116	5058.328	1801.479	233	CYTIP		CYTIP	233	1
2_MACS_peak_10272_lociStitched	chr19	42040862	42047380	2	5008	5662.1866	1422.2276	234		CEACAM21	CEACAM21	234	1
2_MACS_peak_16959_lociStitched	chr5	6479968	6486630	2	5560	5383.5622	1622.8632	235	UBE2QL1		UBE2QL1	235	1
3_MACS_peak_21391_lociStitched	chr8	26428544	26436326	3	5086	6043.5012	1912.0374	236	DPYSL2		DPYSL2	236	1
5_MACS_peak_3274_lociStitched	chr10	112619327	112631867	5	6020	6291.318	3022.14	237	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	237	1
4_MACS_peak_20125_lociStitched	chr7	30059940	30073220	4	5762	5900.304	2366.496	238	PLEKHA8,FKBP14	SCRN1	FKBP14	238	1
4_MACS_peak_2804_lociStitched	chr10	63656530	63665210	4	5922	5285.252	1933.904	239	ARID5B		ARID5B	239	1
4_MACS_peak_10929_lociStitched	chr2	46789072	46802666	4	5957	6212.458	2905.0378	240	RHOQ	CRIPT,ATP6V1E2,PIGF	RHOQ	240	1
2_MACS_peak_19024_lociStitched	chr6	52393222	52403025	2	4931	6733.6807	2533.0952	241	TRAM2		TRAM2	241	1
2_MACS_peak_7916_lociStitched	chr16	56944293	56952455	2	4910	6119.0514	1905.0108	242	SLC12A3	HERPUD1,CETP	HERPUD1	242	1
2_MACS_peak_16822_lociStitched	chr4	185201638	185210471	2	6199	5698.1683	2679.9322	243			ENPP6	243	1
3_MACS_peak_4570_lociStitched	chr11	129233807	129246994	3	5916	5895.9077	2579.3772	244	BARX2		BARX2	244	1
2_MACS_peak_18696_lociStitched	chr6	27798290	27807817	2	5303	6325.928	2449.3917	245	HIST1H2BN,HIST1H4K,HIST1H2AK	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H4J,HIST1H2AL,HIST1H2BL,HIST1H2AJ,HIST1H1B,HIST1H3I,HIST1H4L	HIST1H2AK	245	1
3_MACS_peak_1938_lociStitched	chr1	209920729	209930864	3	4696	7303.281	2994.8925	246	TRAF3IP3	HSD11B1,C1orf74,IRF6	TRAF3IP3	246	1
5_MACS_peak_5620_lociStitched	chr12	106529875	106543885	5	6049	5704.872	2608.662	248	NUAK1		NUAK1	248	1
2_MACS_peak_8614_lociStitched	chr17	37909849	37915316	2	4951	5687.8668	1590.3503	249		GRB7,C17orf37	GRB7	249	1
1_MACS_peak_10777_lociStitched	chr2	33700268	33705153	1	4886	5626.0545	1486.994	250	RASGRP3	RASGRP3	RASGRP3	250	1
1_MACS_peak_1125_lociStitched	chr1	149820954	149825620	1	4667	6126.458	1839.8038	251	HIST2H2AA4,HIST2H3A,HIST2H2BC	HIST2H4B,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	251	1
4_MACS_peak_15013_lociStitched	chr3	141205849	141218410	4	4735	6732.696	2493.3585	252	RASA2		RASA2	252	1
1_MACS_peak_1181_lociStitched	chr1	152006727	152011985	1	5259	5690.2076	1866.0642	253	S100A11	S100A10,TCHHL1	S100A11	253	1
3_MACS_peak_11480_lociStitched	chr2	112456070	112464639	3	4712	6754.0858	2537.2809	254			ANAPC1	254	1
4_MACS_peak_16241_lociStitched	chr4	100865073	100872413	4	5403	5317.096	1632.416	255	LOC256880,DNAJB14,H2AFZ	MAPKSP1	DNAJB14	255	1
3_MACS_peak_13851_lociStitched	chr22	42928764	42936076	3	4549	6380.4512	2068.5648	256		SERHL,SERHL2,RRP7A,RRP7B	RRP7A	256	1
3_MACS_peak_6968_lociStitched	chr15	56656699	56664663	3	4614	6052.64	1783.1396	258	TEX9		TEX9	258	1
2_MACS_peak_17850_lociStitched	chr5	131799238	131804082	2	4523	5962.964	1647.4444	259		IRF1	IRF1	259	1
2_MACS_peak_15541_lociStitched	chr3	196358569	196368124	2	5593	5972.8305	2500.5435	260	LRRC33		LRRC33	260	1
3_MACS_peak_3204_lociStitched	chr10	104531568	104542295	3	4732	6659.3216	2499.391	261	C10orf26		C10orf26	261	1
2_MACS_peak_7181_lociStitched	chr15	75334832	75340426	2	3512	6409.0458	1580.305	262	PPCDC	SCAMP5	PPCDC	262	1
2_MACS_peak_338_lociStitched	chr1	31216081	31221672	2	5529	4978.7855	1515.161	263	LAPTM5	LOC100129196,MATN1	LAPTM5	263	1
1_MACS_peak_23098_lociStitched	chr9	132646480	132651887	1	5408	5070.1439	1503.146	264	FNBP1	USP20,C9orf78	USP20	264	1
2_MACS_peak_18700_lociStitched	chr6	27857939	27863753	2	5681	5047.7148	1746.5256	265	HIST1H2BO,HIST1H3J,HIST1H2AM	HIST1H2AL,HIST1H1B,HIST1H3I,HIST1H4L,OR2B2	HIST1H2AM	265	1
1_MACS_peak_20946_lociStitched	chr7	129588361	129593403	1	5043	5899.14	2025.8756	266	UBE2H		UBE2H	266	1
2_MACS_peak_4499_lociStitched	chr11	122930718	122941134	2	6162	5073.6336	2348.808	267	HSPA8	LOC341056	HSPA8	267	1
2_MACS_peak_14410_lociStitched	chr3	52738180	52745308	2	5652	4916.8944	1633.0248	268	SPCS1,GLT8D1,NEK4	GNL3,SNORD19,SNORD19B,SNORD69,PBRM1,GLT8D1	GLT8D1	268	1
3_MACS_peak_20676_lociStitched	chr7	102064340	102075199	3	5587	6200.489	2852.6593	269	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	269	1
2_MACS_peak_5457_lociStitched	chr12	92755706	92765242	2	4828	6025.7984	2061.6832	270			CLLU1	270	1
2_MACS_peak_22546_lociStitched	chr9	73028479	73036262	2	4859	5446.5434	1509.1237	271	KLF9		KLF9	271	1
3_MACS_peak_4560_lociStitched	chr11	128588055	128596443	3	5159	6062.8464	2369.61	272	FLI1		FLI1	272	1
3_MACS_peak_6645_lociStitched	chr15	23660769	23668853	3	4841	5655.5664	1724.3172	273			MKRN3	273	1
4_MACS_peak_2972_lociStitched	chr10	81003478	81015741	4	5967	5344.2154	2545.7988	274	ZMIZ1		PPIF	274	1
3_MACS_peak_1307_lociStitched	chr1	157142726	157152914	3	5965	5851.9872	3057.4188	275		CYCSP52,ETV3	ETV3	275	1
2_MACS_peak_15443_lociStitched	chr3	187455701	187464094	2	5432	5571.2734	2186.3765	276	BCL6	LOC100131635,RTP2,BCL6	BCL6	276	1
3_MACS_peak_18767_lociStitched	chr6	31159985	31172603	3	4906	6117.2064	2283.858	277	HCG27	TCF19,CCHCR1,POU5F1,PSORS1C3	HCG27	277	1
3_MACS_peak_18338_lociStitched	chr5	180610843	180619359	3	5437	4981.86	1610.3756	278		OR2V2,TRIM41,TRIM7,SNORD96A	TRIM7	278	1
4_MACS_peak_4790_lociStitched	chr12	13242817	13255457	4	4822	6203.712	2314.384	279	GSG1	KIAA1467	GSG1	279	1
5_MACS_peak_5776_lociStitched	chr12	125398430	125406580	5	5242	4779.975	1240.43	280	UBC	SCARB1	UBC	280	1
2_MACS_peak_19357_lociStitched	chr6	106610634	106616284	2	5220	5407.05	1879.755	281			PRDM1	281	1
2_MACS_peak_10659_lociStitched	chr2	20406514	20414487	2	5027	5889.6551	2202.9399	282	SDC1		SDC1	282	1
3_MACS_peak_22109_lociStitched	chr8	137189782	137200980	3	4649	6301.1146	2332.5434	283			KHDRBS3	283	1
1_MACS_peak_15435_lociStitched	chr3	186779864	186785181	1	5318	5570.0892	2162.9556	284	ST6GAL1		ST6GAL1	284	1
2_MACS_peak_18755_lociStitched	chr6	30684441	30691040	2	5503	4780.3156	1555.3843	285	TUBB,MDC1	DHX16,KIAA1949,NRM,FLOT1,IER3	TUBB	285	1
2_MACS_peak_1232_lociStitched	chr1	154756894	154765070	2	4297	7010.92	2827.2608	286	KCNN3		KCNN3	286	1
2_MACS_peak_4416_lociStitched	chr11	115367917	115376174	2	5647	4635.4798	1584.5183	287	CADM1		CADM1	287	1
2_MACS_peak_2108_lociStitched	chr1	226308865	226316586	2	4360	6610.7202	2486.9341	288			ACBD3	288	1
3_MACS_peak_2331_lociStitched	chr1	249112775	249121803	3	5077	6784.542	3204.94	289	MIR3124,SH3BP5L	ZNF672,ZNF692	SH3BP5L	289	1
4_MACS_peak_10724_lociStitched	chr2	27379680	27393334	4	4993	5983.1828	2360.7766	290		ABHD1,TCF23,C2orf28,CAD,CGREF1,PREB,C2orf53,SLC5A6	TCF23	290	1
1_MACS_peak_20705_lociStitched	chr7	104651508	104656450	1	4943	5166.3668	1506.8158	291	MLL5,LOC100216545		LOC100216545	291	1
3_MACS_peak_17491_lociStitched	chr5	86408719	86418902	3	5268	5454.0148	2087.515	292	MIR4280		MIR4280	292	1
4_MACS_peak_22904_lociStitched	chr9	116163059	116179122	4	5290	6142.4912	2823.8754	293	C9orf43,ALAD,POLE3	RGS3,HDHD3	POLE3	293	1
3_MACS_peak_11991_lociStitched	chr2	182169820	182179204	3	4798	6461.8224	2721.36	294			ITGA4	294	1
2_MACS_peak_1012_lociStitched	chr1	120833111	120840521	2	5657	4815.759	1898.442	295	FAM72B		FAM72B	295	1
2_MACS_peak_15139_lociStitched	chr3	156872002	156879227	2	4113	6614.4875	2437.715	296	CCNL1	LOC339894	CCNL1	296	1
2_MACS_peak_17415_lociStitched	chr5	76032592	76038027	2	4147	5597.5065	1458.2105	297		NCRUPAR,F2R	F2R	297	1
3_MACS_peak_8673_lociStitched	chr17	40827830	40834658	3	5888	4412.9364	1859.9472	298	CNTNAP1,PLEKHH3,CCR10	TUBG2	PLEKHH3	298	1
3_MACS_peak_14624_lociStitched	chr3	98479756	98490729	3	5230	5780.5764	2483.1899	300	ST3GAL6		ST3GAL6	300	1
3_MACS_peak_18674_lociStitched	chr6	27094470	27107512	3	5463	5537.6332	2509.2808	301	HIST1H2AG,HIST1H4I,HIST1H2BJ,HIST1H2BK	HIST1H2AH,MIR3143	HIST1H2AG	301	1
1_MACS_peak_8596_lociStitched	chr17	36856734	36861459	1	4726	4987.2375	1292.76	302		MLLT6,CISD3,PSMB3,C17orf96,PCGF2	MLLT6	302	1
3_MACS_peak_3495_lociStitched	chr11	8702962	8711196	3	5193	5118.2544	1840.299	303	RPL27A,SNORA3,SNORA45	TRIM66	SNORA45	303	1
3_MACS_peak_23110_lociStitched	chr9	134137417	134151263	3	5417	5653.3218	2608.5864	304	FAM78A	PPAPDC3	FAM78A	304	1
1_MACS_peak_13382_lociStitched	chr21	41384650	41389331	1	4682	5390.6396	1685.16	305	DSCAM		PCP4	305	1
3_MACS_peak_11932_lociStitched	chr2	175457824	175463254	3	5106	4831.071	1479.132	306	WIPF1		WIPF1	306	1
2_MACS_peak_13307_lociStitched	chr21	36258062	36262913	2	4734	5018.8446	1359.2502	307	RUNX1		RUNX1	307	1
2_MACS_peak_13132_lociStitched	chr21	9963843	9969315	2	4165	6601.968	2569.104	308	LOC100132288		LOC100132288	308	1
3_MACS_peak_16928_lociStitched	chr5	1335771	1344632	3	4903	5264.3201	1774.8583	309	CLPTM1L	TERT	CLPTM1L	309	1
2_MACS_peak_2880_lociStitched	chr10	72335212	72340117	2	4285	5201.262	1256.661	310		PRF1	PRF1	310	1
3_MACS_peak_3638_lociStitched	chr11	22687779	22697014	3	4832	5485.59	1942.1205	311	GAS2	FANCF	GAS2	311	1
3_MACS_peak_19389_lociStitched	chr6	108894473	108907567	3	5022	5919.7974	2546.783	312	FOXO3		FOXO3	312	1
3_MACS_peak_14866_lociStitched	chr3	125548935	125560009	3	4878	6039.7596	2562.5236	313		MIR548I1	MIR548I1	313	1
2_MACS_peak_9988_lociStitched	chr19	12721121	12725802	2	4066	5123.3545	1067.7361	314	ZNF791,ZNF490		ZNF791	314	1
1_MACS_peak_3924_lociStitched	chr11	62606444	62610387	1	3944	5508.371	1381.2329	315	WDR74	SLC3A2,TMEM223,NXF1,STX5,SNORD22,SNORD31,SNORD30,SNORD29,SNORD28,SNORD27,SNORD26,SNORD25,SNHG1	WDR74	315	1
2_MACS_peak_5202_lociStitched	chr12	57076677	57083693	2	5087	4996.0936	1719.6216	316	PTGES3	BAZ2A,SNORD59B,SNORD59A,ATP5B,NACA	PTGES3	316	1
2_MACS_peak_1293_lociStitched	chr1	156469814	156476039	2	4364	5991.5625	2149.4925	317	MEF2D		MEF2D	317	1
2_MACS_peak_9749_lociStitched	chr19	1020217	1028811	2	5115	5639.3828	2408.0388	318	CNN2,C19orf6	WDR18,GRIN3B,ABCA7,HMHA1	CNN2	318	1
2_MACS_peak_15308_lociStitched	chr3	178231055	178238114	2	5116	5636.6115	2427.5901	319		KCNMB2	KCNMB2	319	1
3_MACS_peak_13594_lociStitched	chr22	26984311	26991705	3	5213	4929.5798	1824.8392	320	TPST2	CRYBA4,MIR548J,TPST2,CRYBB1	TPST2	320	1
3_MACS_peak_4544_lociStitched	chr11	126173322	126182570	3	4520	5743.008	2044.7328	321	DCPS	FOXRED1,TIRAP,ST3GAL4,SRPR,FLJ39051	DCPS	321	1
3_MACS_peak_7074_lociStitched	chr15	67373224	67384394	3	3338	6398.176	2011.717	322	SMAD3	SMAD3	SMAD3	322	1
2_MACS_peak_6025_lociStitched	chr13	77899178	77904907	2	4784	4836.4218	1360.0646	323	MYCBP2		MYCBP2	323	1
2_MACS_peak_21285_lociStitched	chr8	12443888	12450782	2	3566	6598.9368	2343.2706	325			MIR3926-2	325	1
2_MACS_peak_7317_lociStitched	chr15	89177533	89184158	2	4643	5474.9	1898.725	326	ISG20	MIR1179,MIR7-2,AEN	ISG20	326	1
2_MACS_peak_9884_lociStitched	chr19	6765751	6773894	2	4984	5507.1109	2231.182	327	VAV1,SH2D3A	TRIP10,C3,GPR108	SH2D3A	327	1
3_MACS_peak_21409_lociStitched	chr8	27935133	27942043	3	5415	4570.274	1736.483	328	C8orf80	ELP3	C8orf80	328	1
3_MACS_peak_13597_lociStitched	chr22	27005841	27014412	3	3688	5919.1326	1746.7698	329	CRYBB1	CRYBA4,MIAT,TPST2	CRYBB1	329	1
2_MACS_peak_1049_lociStitched	chr1	144962704	144967597	2	3968	5967.9921	1954.7535	330	PDE4DIP	PDE4DIP	PDE4DIP	330	1
3_MACS_peak_16819_lociStitched	chr4	185185014	185190550	3	4919	4953.6128	1661.9072	331		ENPP6	ENPP6	331	1
4_MACS_peak_3511_lociStitched	chr11	9587286	9599875	4	4617	5434.6713	1911.0102	332	WEE1		WEE1	332	1
2_MACS_peak_6710_lociStitched	chr15	31637129	31646305	2	4878	5033.9536	1755.3688	334	KLF13		KLF13	334	1
3_MACS_peak_13617_lociStitched	chr22	29214540	29225894	3	4534	5894.9968	2343.4656	335		CCDC117,XBP1	XBP1	335	1
1_MACS_peak_8396_lociStitched	chr17	18964510	18968263	1	3754	5152.1184	1097.7525	336		GRAP	GRAP	336	1
4_MACS_peak_5198_lociStitched	chr12	57022366	57031278	4	4793	5266.1008	1939.2512	337	BAZ2A	SNORD59B,SNORD59A,ATP5B	BAZ2A	337	1
2_MACS_peak_14948_lociStitched	chr3	133290952	133296709	2	5499	4021.2645	1433.493	338	CDV3		CDV3	338	1
2_MACS_peak_1920_lociStitched	chr1	207995231	208000223	2	4612	5412.3264	1936.3968	339	LOC148696	MIR29C,MIR29B2	LOC148696	339	1
2_MACS_peak_17270_lociStitched	chr5	56467525	56472679	2	4981	4140.2082	985.4448	340	GPBP1	GPBP1	GPBP1	340	1
2_MACS_peak_13251_lociStitched	chr21	32926077	32932689	2	5254	4798.3284	1924.7532	341	TIAM1		TIAM1	341	1
1_MACS_peak_9751_lociStitched	chr19	1036911	1041349	1	4439	5426.7864	1824.018	342	CNN2,ABCA7	GRIN3B,HMHA1,C19orf6	ABCA7	342	1
2_MACS_peak_4434_lociStitched	chr11	117878362	117883357	2	3642	5201.2935	1112.3865	343		IL10RA	IL10RA	343	1
2_MACS_peak_3024_lociStitched	chr10	89620753	89625816	2	4851	4427.5935	1185.2483	344	PTEN,KILLIN	CFLP1,ATAD1	PTEN	344	1
1_MACS_peak_13422_lociStitched	chr21	44581710	44586610	1	4901	5199.88	2017.82	345		CRYAA	CRYAA	345	1
2_MACS_peak_1931_lociStitched	chr1	209276055	209282253	2	3943	6111.228	2224.4622	346			LOC642587	346	1
2_MACS_peak_198_lociStitched	chr1	21616842	21622176	2	4085	5228.9202	1437.513	347	ECE1	ECE1	ECE1	347	1
1_MACS_peak_1058_lociStitched	chr1	145208065	145212535	1	4471	5768.982	2274.336	348	NOTCH2NL		NOTCH2NL	348	1
1_MACS_peak_21146_lociStitched	chr7	150101151	150104753	1	3603	5326.2774	1277.6294	349	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	349	1
3_MACS_peak_10216_lociStitched	chr19	39340023	39348735	3	4805	4740.1992	1545.5088	350	HNRNPL	NFKBIB,LGALS4,ECH1,RINL,SIRT2	HNRNPL	350	1
1_MACS_peak_15558_lociStitched	chr3	197460771	197464922	1	4152	5295.4307	1593.984	351	KIAA0226	FYTTD1	KIAA0226	351	1
3_MACS_peak_13117_lociStitched	chr20	62359214	62368898	3	4003	5621.562	1841.8968	352	ZGPAT,LIME1	TNFRSF6B,SLC2A4RG,ARFRP1	LIME1	352	1
3_MACS_peak_10941_lociStitched	chr2	47209108	47214823	3	5280	4468.5585	1801.368	353	TTC7A	MCFD2	MCFD2	353	1
2_MACS_peak_10398_lociStitched	chr19	49375179	49380287	2	4882	4294.8064	1205.488	354	PPP1R15A	NUCB1,HSD17B14,PLEKHA4,TULP2	PPP1R15A	354	1
2_MACS_peak_13834_lociStitched	chr22	42142285	42149267	2	3717	5606.546	1667.3016	355	MEI1	CCDC134	MEI1	355	1
2_MACS_peak_16840_lociStitched	chr4	185454905	185460549	2	4824	4626.3868	1495.0956	356			IRF2	356	1
3_MACS_peak_313_lociStitched	chr1	28571005	28576675	3	5348	4206.573	1648.269	358		ATPIF1,SESN2,DNAJC8	ATPIF1	358	1
3_MACS_peak_9606_lociStitched	chr18	56751351	56756922	3	5191	4397.1903	1658.4867	359		LOC390858	LOC390858	359	1
4_MACS_peak_6987_lociStitched	chr15	59267365	59280537	4	4824	5475.6004	2367.0084	360	RNF111	SLTM	RNF111	360	1
3_MACS_peak_20679_lociStitched	chr7	102080343	102086610	3	4706	4534.8012	1326.7239	361	ORAI2	PRKRIP1,LRWD1,ALKBH4,POLR2J	ORAI2	361	1
1_MACS_peak_20931_lociStitched	chr7	128577159	128581680	1	4522	4815.3171	1459.3788	362	IRF5	KCP	IRF5	362	1
2_MACS_peak_12211_lociStitched	chr2	204569663	204574227	2	4550	4789.0052	1465.044	364	CD28		CD28	364	1
1_MACS_peak_1634_lociStitched	chr1	183810578	183815104	1	4527	4983.5786	1642.0328	365	RGL1		APOBEC4	365	1
3_MACS_peak_19680_lociStitched	chr6	138187390	138193382	3	5313	4039.2072	1486.6152	366	TNFAIP3		TNFAIP3	366	1
1_MACS_peak_2098_lociStitched	chr1	226128971	226133425	1	4455	5494.009	2097.3886	367	LEFTY2	PYCR2	LEFTY2	367	1
3_MACS_peak_21776_lociStitched	chr8	81050547	81060109	3	4365	5671.2222	2213.603	369	TPD52		TPD52	369	1
5_MACS_peak_14305_lociStitched	chr3	46421772	46438295	5	4854	6374.5734	3334.3414	370		CCR2,CCR5,CCRL2	CCR5	370	1
2_MACS_peak_9785_lociStitched	chr19	1897268	1906196	2	4554	5572.8576	2267.712	371	ADAT3,SCAMP4	CSNK1G2,REXO1,KLF16,FAM108A1,C19orf34	SCAMP4	371	1
3_MACS_peak_15713_lociStitched	chr4	15779301	15787417	3	3981	5266.4724	1545.2864	372	CD38		CD38	372	1
3_MACS_peak_18884_lociStitched	chr6	37136540	37144240	3	4543	4670.05	1359.05	373	PIM1		PIM1	373	1
3_MACS_peak_11166_lociStitched	chr2	70310355	70315768	3	4675	4692.5297	1496.1532	374	PCBP1,LOC400960	LOC100133985	LOC400960	374	1
2_MACS_peak_7574_lociStitched	chr16	10970182	10976170	2	4727	4608.9636	1459.8744	375	CIITA		CIITA	375	1
3_MACS_peak_18079_lociStitched	chr5	151128686	151138694	3	4787	4924.9368	1867.4928	376	ATOX1	G3BP1	ATOX1	376	1
1_MACS_peak_10274_lociStitched	chr19	42055132	42060046	1	4915	4303.6812	1375.4286	377		CEACAM21	CEACAM21	377	1
3_MACS_peak_7597_lociStitched	chr16	11797070	11805700	3	4901	4861.279	1921.901	378	TXNDC11	SNN	TXNDC11	378	1
2_MACS_peak_22782_lociStitched	chr9	102581295	102587353	2	5039	4069.1586	1280.6612	379	NR4A3	NR4A3	NR4A3	379	1
4_MACS_peak_4157_lociStitched	chr11	78127568	78139797	4	4801	5411.3325	2382.2092	380	GAB2		GAB2	380	1
3_MACS_peak_18298_lociStitched	chr5	176726957	176732145	3	4871	4227.1824	1278.842	382	NSD1,PRELID1,RAB24	MXD3,LMAN2	RAB24	382	1
