REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	RPMI8226.jin.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
4_MACS_peak_15634_lociStitched	chr3	53735276	53740187	4	4550	9123.6558	174	1	CACNA1D		CHDH	CHDH	NONE	174	1
4_MACS_peak_3409_lociStitched	chr11	19451496	19456398	4	4548	9248.1132	175	1	NAV2		NAV2	NAV2	0.078	175	1
3_MACS_peak_19113_lociStitched	chr6	108878540	108883607	3	4540	11109.9042	176	1	FOXO3		FOXO3	FOXO3	0.3707	176	1
1_MACS_peak_17119_lociStitched	chr5	1313293	1317809	1	4517	12212.1672	177	1		TERT,CLPTM1L	TERT	CLPTM1L	0.5255	177	1
5_MACS_peak_22404_lociStitched	chr9	132646971	132651725	5	4504	8351.8272	178	1	FNBP1	USP20,C9orf78	USP20	C9orf78	0.3593	178	1
1_MACS_peak_6994_lociStitched	chr15	69109489	69113986	1	4498	21513.1983	179	1	ANP32A	MIR548H4,MIR4312,C15orf28	ANP32A	ANP32A	0.5401	179	1
2_MACS_peak_12321_lociStitched	chr2	87085572	87090092	2	4486	11930.088	180	1	CD8B		CD8B	CD8B	0.8345	180	1
4_MACS_peak_12162_lociStitched	chr2	68514198	68519080	4	4486	10883.9308	181	1	CNRIP1	PPP3R1	CNRIP1	CNRIP1	0.3303	181	1
2_MACS_peak_21374_lociStitched	chr8	103816671	103821433	2	4462	16582.7126	182	1			AZIN1	AZIN1	NONE	182	1
4_MACS_peak_3874_lociStitched	chr11	67413571	67418612	4	4445	11212.6963	183	1	ACY3	NDUFV1,DOC2GP,NUDT8,TBX10,ALDH3B2	ACY3	NUDT8	0.8973	183	1
6_MACS_peak_13111_lociStitched	chr2	201987350	201992568	6	4413	7424.1704	184	1	CFLAR		CFLAR	CFLAR	0.4251	184	1
3_MACS_peak_20553_lociStitched	chr7	130790799	130795452	3	4398	10505.5434	185	1	MKLN1,FLJ43663		FLJ43663	FLJ43663	0.1914	185	1
2_MACS_peak_22903_lociStitched	chrX	48793913	48798333	2	4397	11820.406	186	1	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	PIM2	0.652	186	1
1_MACS_peak_8869_lociStitched	chr17	32695968	32700351	1	4384	10570.0428	187	1		CCL8,CCL13,CCL1	CCL1	CCL1	0.6399	187	1
4_MACS_peak_13506_lociStitched	chr20	4874286	4879083	4	4377	8360.6913	188	1	SLC23A2		RASSF2	RASSF2	NONE	188	1
4_MACS_peak_17180_lociStitched	chr5	14143226	14148045	4	4368	8611.553	189	1	TRIO		TRIO	TRIO	0.2605	189	1
3_MACS_peak_9386_lociStitched	chr17	64940292	64945202	3	4365	11525.243	190	1		CACNG4	CACNG4	CACNG4	0.1177	190	1
2_MACS_peak_16029_lociStitched	chr3	141102341	141106755	2	4357	8091.3034	191	1	ZBTB38		ZBTB38	ZBTB38	0.5763	191	1
2_MACS_peak_7954_lociStitched	chr16	49888913	49893342	2	4349	11205.37	192	1		ZNF423	ZNF423	ZNF423	0.1403	192	1
4_MACS_peak_12736_lociStitched	chr2	122581695	122586390	4	4342	9225.2055	193	1			TSN	TSN	NONE	193	1
3_MACS_peak_14393_lociStitched	chr21	44730216	44734852	3	4340	15306.2176	194	1			SIK1	SIK1	1.1586	194	1
2_MACS_peak_4188_lociStitched	chr11	112481524	112485854	2	4326	10025.682	195	1			NCAM1	NCAM1	0.2012	195	1
1_MACS_peak_14763_lociStitched	chr22	37771790	37776112	1	4323	20673.8548	196	1	ELFN2		ELFN2	ELFN2	0.7296	196	1
1_MACS_peak_1762_lociStitched	chr1	181097441	181101761	1	4321	12014.352	197	1		IER5	IER5	IER5	0.5046	197	1
3_MACS_peak_14591_lociStitched	chr22	24184887	24189481	3	4306	10556.5526	198	1		SLC2A11,MIF,DERL3	DERL3	DERL3	0.7943	198	1
2_MACS_peak_3777_lociStitched	chr11	65624576	65628980	2	4304	17423.5452	199	1	MUS81,CFL1	SNX32,CTSW,CCDC85B,EFEMP2,FIBP,FOSL1	CFL1	CFL1	1.4539	199	1
2_MACS_peak_3221_lociStitched	chr11	1870853	1875194	2	4286	12384.4389	200	1	LSP1	SYT8,TNNI2,LSP1,MIR4298	LSP1	LSP1	0.3526	200	1
2_MACS_peak_14441_lociStitched	chr21	45660217	45664567	2	4286	16245.51	201	1	ICOSLG	AIRE,DNMT3L	ICOSLG	ICOSLG	0.7939	201	1
4_MACS_peak_4715_lociStitched	chr12	46120602	46125598	4	4280	12291.6588	202	1	ARID2,LOC400027		ARID2	ARID2	0.1481	202	1
4_MACS_peak_12612_lociStitched	chr2	112186677	112191281	4	4274	7196.9728	203	1	LOC541471		LOC541471	LOC541471	0.4726	203	1
4_MACS_peak_20253_lociStitched	chr7	92461910	92466489	4	4272	7891.4486	204	1	CDK6		CDK6	CDK6	0.1842	204	1
2_MACS_peak_12608_lociStitched	chr2	111876541	111880892	2	4263	11057.6314	205	1	BCL2L11		BCL2L11	BCL2L11	0.3012	205	1
5_MACS_peak_719_lociStitched	chr1	40848580	40853626	5	4252	8957.1546	206	1	SMAP2	SMAP2	SMAP2	SMAP2	0.3471	206	1
3_MACS_peak_18410_lociStitched	chr6	13523817	13528135	3	4229	11421.11	207	1		SIRT5,C6orf114,GFOD1	GFOD1	SIRT5	0.4366	207	1
5_MACS_peak_12589_lociStitched	chr2	110095353	110100561	5	4225	9906.1368	208	1	SH3RF3		MIR4266	MIR4266	NONE	208	1
2_MACS_peak_13224_lociStitched	chr2	219260898	219265229	2	4224	7939.1561	209	1	SLC11A1,CTDSP1	C2orf62,MIR26B,VIL1	CTDSP1	MIR26B	0.7047	209	1
1_MACS_peak_12183_lociStitched	chr2	70312761	70316981	1	4221	21624.124	210	1	PCBP1,LOC400960	LOC100133985	PCBP1	PCBP1	2.0687	210	1
5_MACS_peak_4948_lociStitched	chr12	57078373	57083004	5	4188	11073.6472	211	1	PTGES3	BAZ2A,SNORD59B,SNORD59A,ATP5B,NACA	PTGES3	PTGES3	0.5085	211	1
3_MACS_peak_2084_lociStitched	chr1	226066897	226071208	3	4182	11824.6419	212	1	TMEM63A	LEFTY1,PYCR2	TMEM63A	LEFTY1	0.8251	212	1
4_MACS_peak_14062_lociStitched	chr20	61339593	61343790	4	4181	7475.6964	213	1	NTSR1	LOC100127888	NTSR1	NTSR1	0.2472	213	1
3_MACS_peak_15443_lociStitched	chr3	46246214	46250517	3	4170	9379.6794	214	1	CCR1	CCR3	CCR1	CCR1	0.7083	214	1
3_MACS_peak_18581_lociStitched	chr6	27858807	27863468	3	4158	11416.6534	215	1	HIST1H2BO,HIST1H2AM	HIST1H2AL,HIST1H1B,HIST1H3I,HIST1H4L,HIST1H3J,OR2B2	HIST1H2BO	HIST1H2BO	1.259	215	1
4_MACS_peak_4839_lociStitched	chr12	53264572	53269202	4	4150	11808.352	216	1		KRT79,KRT78,KRT8	KRT78	KRT8	0.2565	216	1
4_MACS_peak_1189_lociStitched	chr1	118195482	118200140	4	4150	9776.2104	217	1		FAM46C	FAM46C	FAM46C	0.8203	217	1
1_MACS_peak_7842_lociStitched	chr16	30194061	30198207	1	4147	14292.9204	218	1	CORO1A		CORO1A	CORO1A	1.2463	218	1
3_MACS_peak_7646_lociStitched	chr16	12056683	12060878	3	4139	7928.9695	219	1	TNFRSF17	RUNDC2A,GSPT1	TNFRSF17	TNFRSF17	0.9182	219	1
5_MACS_peak_8666_lociStitched	chr17	16881294	16885638	5	4136	11216.6424	220	1		TNFRSF13B	TNFRSF13B	TNFRSF13B	0.2855	220	1
1_MACS_peak_20422_lociStitched	chr7	104652202	104656330	1	4129	22046.8224	221	1	MLL5,LOC100216545		LOC100216545	LOC100216545	1.8044	221	1
5_MACS_peak_13937_lociStitched	chr20	55126552	55130910	5	4129	9941.4696	222	1		C20orf106,C20orf107,GCNT7	C20orf107	C20orf106	0.0925	222	1
4_MACS_peak_17415_lociStitched	chr5	60625400	60629937	4	4129	13502.5657	223	1	ZSWIM6		ZSWIM6	ZSWIM6	0.1636	223	1
1_MACS_peak_10357_lociStitched	chr19	2081797	2085922	1	4126	10133.8875	224	1	MOBKL2A	IZUMO4,MKNK2	MOBKL2A	MOBKL2A	0.8188	224	1
3_MACS_peak_12546_lociStitched	chr2	107102777	107107070	3	4116	8952.1929	225	1		RGPD3	RGPD3	RGPD3	0.0787	225	1
2_MACS_peak_3698_lociStitched	chr11	64616476	64620670	2	4113	11195.883	226	1	EHD1	MAP4K2,MEN1,CDC42BPG,MIR192,MIR194-2	CDC42BPG	MEN1	0.2486	226	1
1_MACS_peak_15062_lociStitched	chr22	50326829	50330934	1	4106	17188.456	227	1		CRELD2,PIM3,ALG12	CRELD2	PIM3	1.3591	227	1
6_MACS_peak_19264_lociStitched	chr6	139643676	139648346	6	4106	8439.624	228	1		TXLNB,CITED2	TXLNB	CITED2	0.6495	228	1
1_MACS_peak_18696_lociStitched	chr6	32935685	32939783	1	4099	23795.4468	229	1	BRD2	BRD2,HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	1.1783	229	1
5_MACS_peak_6628_lociStitched	chr15	31626917	31631830	5	4096	7259.9401	230	1	KLF13		KLF13	KLF13	0.8529	230	1
1_MACS_peak_4164_lociStitched	chr11	111246998	111251091	1	4094	10189.1142	231	1	POU2AF1		POU2AF1	POU2AF1	0.5338	231	1
2_MACS_peak_6521_lociStitched	chr15	20992548	20997073	2	4092	12237.8625	232	1		BCL8	BCL8	BCL8	0.1014	232	1
2_MACS_peak_1925_lociStitched	chr1	205253017	205257386	2	4079	7440.8439	233	1		NUAK2	NUAK2	NUAK2	0.3275	233	1
4_MACS_peak_8456_lociStitched	chr17	977257	981802	4	4076	8215.9965	234	1	ABR		ABR	ABR	0.1582	234	1
4_MACS_peak_6815_lociStitched	chr15	52754616	52759344	4	4073	11278.644	235	1	MYO5A		MYO5A	MYO5A	0.3531	235	1
4_MACS_peak_15921_lociStitched	chr3	127451585	127456496	4	4073	8408.6142	236	1	MGLL		ABTB1	ABTB1	NONE	236	1
5_MACS_peak_19491_lociStitched	chr7	2442640	2446984	5	4066	7504.26	237	1	CHST12	EIF3B	CHST12	EIF3B	0.5309	237	1
3_MACS_peak_10392_lociStitched	chr19	2607204	2611405	3	4064	8142.7983	238	1	GNG7		GNG7	GNG7	0.2504	238	1
4_MACS_peak_11962_lociStitched	chr2	43444861	43449172	4	4064	6993.3042	239	1		LOC100129726,ZFP36L2	ZFP36L2	ZFP36L2	1.6334	239	1
3_MACS_peak_15650_lociStitched	chr3	56949127	56953370	3	4059	9102.9322	240	1	ARHGEF3		ARHGEF3	ARHGEF3	0.1422	240	1
3_MACS_peak_30_lociStitched	chr1	1140314	1144781	3	4058	13132.0866	241	1	TNFRSF18	MIR200B,MIR200A,MIR429,TTLL10,B3GALT6,TNFRSF4,SDF4,FAM132A	TNFRSF18	TNFRSF18	1.2584	241	1
1_MACS_peak_14433_lociStitched	chr21	45562230	45566285	1	4056	18150.18	242	1	C21orf33	PWP2	C21orf33	C21orf33	1.4395	242	1
2_MACS_peak_11773_lociStitched	chr2	20421757	20425826	2	4056	14413.6187	243	1	SDC1		SDC1	SDC1	1.2639	243	1
3_MACS_peak_9499_lociStitched	chr17	73871264	73875478	3	4052	15168.7144	244	1	TRIM47	UNC13D,WBP2,TRIM65,MRPL38	TRIM47	TRIM47	1.362	244	1
5_MACS_peak_5434_lociStitched	chr12	125401240	125406197	5	4052	7528.1959	245	1		UBC	UBC	UBC	0.8592	245	1
2_MACS_peak_6282_lociStitched	chr14	91837572	91841807	2	4051	7440.895	246	1	CCDC88C		CCDC88C	CCDC88C	0.2801	246	1
5_MACS_peak_15238_lociStitched	chr3	15386021	15390709	5	4036	8387.3008	247	1		SH3BP5	SH3BP5	SH3BP5	0.2628	247	1
3_MACS_peak_14960_lociStitched	chr22	44419446	44423574	3	4028	14941.7088	248	1	PARVB		PARVB	PARVB	0.17	248	1
3_MACS_peak_20704_lociStitched	chr7	150064276	150068360	3	4027	24655.9248	249	1	REPIN1	LRRC61,C7orf29,ZNF775,LOC728743,ACTR3C,RARRES2	REPIN1	REPIN1	2.7171	249	1
2_MACS_peak_1474_lociStitched	chr1	154913227	154917344	2	4027	10241.4492	250	1	PBXIP1	CKS1B,MIR4258,FLAD1,LENEP,PMVK,PYGO2,SHC1	PMVK	MIR4258	0.9642	250	1
2_MACS_peak_21754_lociStitched	chr9	5625874	5630006	2	4027	12515.828	251	1	KIAA1432	KIAA1432	KIAA1432	KIAA1432	0.1539	251	1
3_MACS_peak_13119_lociStitched	chr2	202121766	202126005	3	4026	7087.1841	252	1	CASP8		CASP8	CASP8	0.244	252	1
6_MACS_peak_17975_lociStitched	chr5	142544438	142549585	6	4020	7411.1653	253	1	ARHGAP26		NR3C1	NR3C1	0.1932	253	1
2_MACS_peak_13301_lociStitched	chr2	232570923	232575150	2	4012	16325.0967	254	1	PTMA	MIR1244-1	PTMA	PTMA	1.2385	254	1
5_MACS_peak_2970_lociStitched	chr10	111967384	111972118	5	4011	8829.8568	255	1	MXI1	MXI1	MXI1	MXI1	0.1663	255	1
3_MACS_peak_16202_lociStitched	chr3	177074975	177079022	3	4005	16384.6842	256	1			TBL1XR1	TBL1XR1	0.2691	256	1
1_MACS_peak_8417_lociStitched	chr16	89041894	89045895	1	4002	10347.3862	257	1	CBFA2T3	CBFA2T3	CBFA2T3	CBFA2T3	0.1987	257	1
1_MACS_peak_9808_lociStitched	chr18	3447351	3451346	1	3996	11019.009	258	1	TGIF1	TGIF1	TGIF1	TGIF1	0.3352	258	1
3_MACS_peak_12291_lociStitched	chr2	86223458	86227488	3	3993	6963.84	259	1		LOC90784	LOC90784	LOC90784	0.1121	259	1
4_MACS_peak_10715_lociStitched	chr19	13800953	13804993	4	3992	7309.572	260	1			CCDC130	CCDC130	NONE	260	1
2_MACS_peak_22825_lociStitched	chrX	39955001	39959005	2	3991	10717.1064	261	1	BCOR		BCOR	BCOR	0.3639	261	1
3_MACS_peak_1334_lociStitched	chr1	149821271	149825326	3	3989	14481.216	262	1	HIST2H2AA4,HIST2H3A,HIST2H2BC	HIST2H4B,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AC	1.5795	262	1
1_MACS_peak_18427_lociStitched	chr6	14801445	14805431	1	3987	9916.3708	263	1			JARID2	JARID2	NONE	263	1
1_MACS_peak_6160_lociStitched	chr14	69258964	69262939	1	3976	11225.7975	264	1	ZFP36L1,C14orf181		ZFP36L1	ZFP36L1	0.8463	264	1
5_MACS_peak_4444_lociStitched	chr12	5488310	5492813	5	3975	7542.0747	265	1		NTF3	NTF3	NTF3	0.2143	265	1
1_MACS_peak_16528_lociStitched	chr4	15002900	15006871	1	3972	9917.9696	266	1	CPEB2		CPEB2	CPEB2	0.166	266	1
1_MACS_peak_14616_lociStitched	chr22	24822486	24826453	1	3968	14353.3994	267	1	ADORA2A,C22orf45		ADORA2A	ADORA2A	0.8223	267	1
5_MACS_peak_13983_lociStitched	chr20	57463904	57468168	5	3966	8296.4648	268	1	GNAS	GNAS-AS	GNAS	GNAS	0.2275	268	1
3_MACS_peak_19036_lociStitched	chr6	90060706	90064991	3	3959	13605.3035	269	1	UBE2J1	GABRR2	UBE2J1	UBE2J1	0.5409	269	1
3_MACS_peak_22525_lociStitched	chr9	138332033	138336174	3	3956	6604.895	270	1		KIAA0649	KIAA0649	KIAA0649	0.2602	270	1
3_MACS_peak_20867_lociStitched	chr8	11349031	11353158	3	3941	9055.0507	271	1	BLK	FAM167A	BLK	FAM167A	0.6039	271	1
2_MACS_peak_74_lociStitched	chr1	1837421	1841432	2	3938	21394.2729	272	1		CALML6,GNB1,TMEM52	CALML6	CALML6	0.6121	272	1
1_MACS_peak_16200_lociStitched	chr3	176913172	176917106	1	3935	20669.236	273	1	TBL1XR1		TBL1XR1	TBL1XR1	0.2691	273	1
5_MACS_peak_2466_lociStitched	chr10	22970077	22974851	5	3935	8306.76	274	1	PIP4K2A		PIP4K2A	PIP4K2A	0.2324	274	1
3_MACS_peak_21034_lociStitched	chr8	29659826	29663860	3	3933	8027.2566	275	1			C8orf75	C8orf75	0.3232	275	1
2_MACS_peak_1563_lociStitched	chr1	156718043	156722362	2	3930	9957.0226	276	1	HDGF	C1orf66,PRCC,CRABP2,ISG20L2,MRPL24	HDGF	HDGF	0.7697	276	1
4_MACS_peak_3760_lociStitched	chr11	65354072	65358528	4	3929	9813.0032	277	1	EHBP1L1	SSSCA1,FAM89B,PCNXL3,SIPA1,LTBP3,KCNK7,MAP3K11	KCNK7	FAM89B	1.3435	277	1
3_MACS_peak_10991_lociStitched	chr19	29120679	29124825	3	3919	8944.5804	278	1			LOC148145	LOC148145	NONE	278	1
2_MACS_peak_1684_lociStitched	chr1	167596653	167600588	2	3909	10694.1495	279	1	RCSD1		RCSD1	RCSD1	0.2661	279	1
2_MACS_peak_11966_lociStitched	chr2	43451197	43455117	2	3898	13534.584	280	1	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	1.6334	280	1
1_MACS_peak_20388_lociStitched	chr7	102064039	102067934	1	3896	14753.8705	281	1	PRKRIP1	ORAI2,LRWD1,ALKBH4	ORAI2	ORAI2	1.0842	281	1
3_MACS_peak_11766_lociStitched	chr2	20405170	20409158	3	3895	8980.1784	282	1	SDC1		SDC1	SDC1	1.2639	282	1
6_MACS_peak_11794_lociStitched	chr2	23884424	23889467	6	3894	6968.9217	283	1	KLHL29		ATAD2B	ATAD2B	NONE	283	1
2_MACS_peak_17380_lociStitched	chr5	55981220	55985130	2	3889	11284.26	284	1			MAP3K1	MAP3K1	0.3208	284	1
2_MACS_peak_8114_lociStitched	chr16	67594902	67598807	2	3879	17590.0725	285	1	CTCF	FAM65A	CTCF	FAM65A	0.7086	285	1
2_MACS_peak_8281_lociStitched	chr16	79908110	79912303	2	3876	10903.4772	286	1			MAF	MAF	0.9557	286	1
2_MACS_peak_11863_lociStitched	chr2	28612929	28616887	2	3872	10455.4528	287	1	FOSL2		FOSL2	FOSL2	0.4116	287	1
2_MACS_peak_7369_lociStitched	chr15	101738224	101742324	2	3867	11537.4	288	1	CHSY1		CHSY1	CHSY1	0.3464	288	1
4_MACS_peak_11734_lociStitched	chr2	11886752	11891372	4	3864	7511.658	289	1	LPIN1		LPIN1	LPIN1	0.2154	289	1
4_MACS_peak_13499_lociStitched	chr20	4467324	4471815	4	3832	6305.364	290	1			PRNP	PRNP	NONE	290	1
2_MACS_peak_20533_lociStitched	chr7	128577438	128581347	2	3824	6645.3	291	1	IRF5	KCP	IRF5	IRF5	0.6223	291	1
5_MACS_peak_19127_lociStitched	chr6	108992242	108996783	5	3820	6341.9606	292	1	FOXO3		NCRNA00222	NCRNA00222	0.189	292	1
2_MACS_peak_16100_lociStitched	chr3	152877508	152881365	2	3813	16569.2863	293	1	RAP2B		RAP2B	RAP2B	1.1428	293	1
4_MACS_peak_7058_lociStitched	chr15	74675509	74679949	4	3806	9761.34	294	1		CYP11A1,SEMA7A	CYP11A1	SEMA7A	0.4386	294	1
1_MACS_peak_10283_lociStitched	chr19	917085	920881	1	3797	11637.0176	295	1	KISS1R	ARID3A,MED16,C19orf22	KISS1R	KISS1R	1.7116	295	1
2_MACS_peak_3647_lociStitched	chr11	62606227	62610233	2	3797	13358.4076	296	1	WDR74	SLC3A2,TMEM223,NXF1,STX5,SNORD22,SNORD31,SNORD30,SNORD29,SNORD28,SNORD27,SNORD26,SNORD25,SNHG1	WDR74	WDR74	1.3062	296	1
2_MACS_peak_10358_lociStitched	chr19	2086790	2090710	2	3787	9881.144	297	1	MOBKL2A	IZUMO4,MKNK2	MOBKL2A	MOBKL2A	0.8188	297	1
2_MACS_peak_21354_lociStitched	chr8	103540051	103544102	2	3784	9983.6895	298	1		ODF1	ODF1	ODF1	0.1438	298	1
4_MACS_peak_8329_lociStitched	chr16	85586646	85590881	4	3783	7485.3625	299	1			KIAA0182	KIAA0182	0.2017	299	1
2_MACS_peak_17413_lociStitched	chr5	60613868	60617677	2	3780	10594.3526	300	1		ZSWIM6	ZSWIM6	ZSWIM6	0.1636	300	1
6_MACS_peak_10006_lociStitched	chr18	37520694	37525645	6	3770	6713.556	301	1			LOC647946	LOC647946	NONE	301	1
3_MACS_peak_19840_lociStitched	chr7	46042892	46046852	3	3769	11812.284	302	1			IGFBP3	IGFBP3	NONE	302	1
3_MACS_peak_9430_lociStitched	chr17	70598631	70602981	3	3769	7633.38	303	1	FLJ26484	LOC100499467	LOC100499467	LOC100499467	0.1665	303	1
3_MACS_peak_2942_lociStitched	chr10	104402060	104405877	3	3768	8251.2089	304	1	TRIM8		TRIM8	TRIM8	0.4899	304	1
2_MACS_peak_1450_lociStitched	chr1	154297600	154301534	2	3763	9861.3578	305	1	AQP10,ATP8B2		ATP8B2	ATP8B2	0.5801	305	1
3_MACS_peak_1951_lociStitched	chr1	206730081	206734127	3	3760	8306.438	306	1	RASSF5		RASSF5	RASSF5	0.3441	306	1
3_MACS_peak_20793_lociStitched	chr7	156806630	156810803	3	3751	7652.4474	307	1		MNX1	MNX1	MNX1	0.8567	307	1
2_MACS_peak_21655_lociStitched	chr8	145014970	145018710	2	3740	9836.948	308	1	PLEC	GRINA,PLEC,MIR661,PARP10	PLEC	MIR661	1.142	308	1
2_MACS_peak_6529_lociStitched	chr15	21082145	21085926	2	3735	9132.6274	309	1		POTEB,NF1P1	POTEB	POTEB	0.2585	309	1
7_MACS_peak_12365_lociStitched	chr2	89131539	89136498	7	3735	5825.8332	310	1			ANKRD36BP2	ANKRD36BP2	0.1419	310	1
2_MACS_peak_13575_lociStitched	chr20	17852599	17856440	2	3732	6560.0439	311	1			SNORD17	SNORD17	0.4317	311	1
1_MACS_peak_1333_lociStitched	chr1	149811708	149815434	1	3727	13971.3822	312	1	HIST2H3A,HIST2H2AA4	HIST2H4B,HIST2H2AC,HIST2H2BF,HIST2H3D,HIST2H2BC,HIST2H2BE,HIST2H2AB	HIST2H2AA4	HIST2H2AC	1.5795	312	1
2_MACS_peak_2091_lociStitched	chr1	226127692	226131456	2	3717	8168.6328	313	1	LEFTY2	PYCR2	LEFTY2	LEFTY2	0.7794	313	1
2_MACS_peak_4974_lociStitched	chr12	57913243	57917167	2	3717	11227.3488	314	1	MBD6,DDIT3	MARS,KIF5A,ARHGAP9,DCTN2	DDIT3	DDIT3	0.924	314	1
2_MACS_peak_13630_lociStitched	chr20	25289233	25292953	2	3709	12697.104	315	1	ABHD12		PYGB	PYGB	0.7023	315	1
2_MACS_peak_11534_lociStitched	chr19	56151614	56155458	2	3701	9143.3384	316	1	ZNF580,ZNF581	ZNF524,ZNF865,CCDC106,U2AF2,EPN1,FIZ1,ZNF784	ZNF580	CCDC106	1.3267	316	1
3_MACS_peak_12016_lociStitched	chr2	47535476	47539369	3	3698	8208.0012	317	1			EPCAM	EPCAM	NONE	317	1
1_MACS_peak_18229_lociStitched	chr5	179245170	179248865	1	3696	12262.5965	318	1	SQSTM1	LTC4S,MIR1229,MGAT4B,C5orf45	SQSTM1	MGAT4B	0.5003	318	1
3_MACS_peak_18881_lociStitched	chr6	43737482	43741731	3	3696	15719.1755	319	1	VEGFA		VEGFA	VEGFA	0.7044	319	1
2_MACS_peak_16119_lociStitched	chr3	156805054	156808751	2	3694	12611.5761	320	1	LOC100498859,LOC339894		LOC100498859	LOC100498859	1.2022	320	1
2_MACS_peak_1338_lociStitched	chr1	149856696	149860601	2	3692	15141.6375	321	1	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2AC	HIST2H2AC	1.5795	321	1
3_MACS_peak_6808_lociStitched	chr15	52310878	52314790	3	3690	11212.9656	322	1	MAPK6	LEO1	MAPK6	MAPK6	0.3407	322	1
5_MACS_peak_17383_lociStitched	chr5	55991921	55995904	5	3685	6598.6361	323	1			MAP3K1	MAP3K1	0.3208	323	1
2_MACS_peak_8072_lociStitched	chr16	66554965	66558879	2	3681	6984.1416	324	1	TK2	CKLF,CMTM1	TK2	TK2	0.4654	324	1
6_MACS_peak_19363_lociStitched	chr6	158251123	158255619	6	3679	7107.2768	325	1	SNX9		SNX9	SNX9	0.2305	325	1
5_MACS_peak_12345_lociStitched	chr2	87816769	87821064	5	3676	5504.472	326	1	NCRNA00152		NCRNA00152	NCRNA00152	0.6591	326	1
1_MACS_peak_7006_lociStitched	chr15	69958564	69962236	1	3673	8567.8776	327	1			LOC145837	LOC145837	NONE	327	1
3_MACS_peak_18504_lociStitched	chr6	26155709	26159704	3	3673	12621.803	328	1	HIST1H1E,HIST1H2BD	HIST1H2AC,HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H1T,HIST1H2BC,HIST1H4D,HIST1H2AD,HIST1H3D	HIST1H2BD	HIST1H2BF	1.5014	328	1
1_MACS_peak_15182_lociStitched	chr3	13459633	13463301	1	3669	12642.8624	329	1	NUP210		NUP210	NUP210	0.2701	329	1
2_MACS_peak_13955_lociStitched	chr20	55964367	55968212	2	3669	7292.8115	330	1	RBM38	RAE1,MTRNR2L3	RBM38	RBM38	0.506	330	1
5_MACS_peak_13393_lociStitched	chr2	241504745	241508810	5	3661	7128.7905	331	1	RNPEPL1	DUSP28,CAPN10,GPR35,ANKMY1	RNPEPL1	DUSP28	0.893	331	1
3_MACS_peak_9617_lociStitched	chr17	76776054	76779962	3	3658	10654.7712	332	1	CYTH1		CYTH1	CYTH1	0.3491	332	1
1_MACS_peak_17083_lociStitched	chr5	188886	192538	1	3653	12809.39	333	1	PLEKHG4B,LRRC14B	SDHA,CCDC127	LRRC14B	LRRC14B	1.1152	333	1
2_MACS_peak_3969_lociStitched	chr11	72862288	72866011	2	3652	8868.5583	334	1		FCHSD2	FCHSD2	FCHSD2	0.1277	334	1
1_MACS_peak_15003_lociStitched	chr22	46464942	46468590	1	3649	15634.9632	335	1		LOC150381,LOC400931,MIR3619,MIRLET7A3,MIRLET7B,LOC100271722,C22orf26	LOC400931	C22orf26	1.0575	335	1
4_MACS_peak_13401_lociStitched	chr2	241523022	241526845	4	3640	8847.5689	336	1	CAPN10	DUSP28,RNPEPL1,GPR35,ANKMY1	CAPN10	DUSP28	0.893	336	1
2_MACS_peak_1781_lociStitched	chr1	183737592	183741498	2	3640	9282.609	337	1	RGL1		APOBEC4	APOBEC4	NONE	337	1
5_MACS_peak_12717_lociStitched	chr2	121642283	121646371	5	3633	5895.3048	338	1	GLI2		GLI2	GLI2	0.1869	338	1
2_MACS_peak_7821_lociStitched	chr16	29815980	29819752	2	3628	12567.9268	339	1	KIF22,MAZ	ZG16,PRRT2,C16orf53,MVP	MAZ	MAZ	1.1514	339	1
3_MACS_peak_14371_lociStitched	chr21	43651765	43655578	3	3628	12024.6768	340	1	ABCG1		ABCG1	ABCG1	0.3284	340	1
2_MACS_peak_7019_lociStitched	chr15	70549556	70553307	2	3627	7218.0493	341	1			TLE3	TLE3	NONE	341	1
2_MACS_peak_573_lociStitched	chr1	31218239	31221860	2	3622	5892.4533	342	1	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	0.5125	342	1
5_MACS_peak_2561_lociStitched	chr10	44888568	44893093	5	3616	7913.32	343	1		CXCL12	CXCL12	CXCL12	0.2557	343	1
3_MACS_peak_11543_lociStitched	chr19	56340314	56344153	3	3615	8901.8732	344	1	NLRP11	NLRP4	NLRP4	NLRP4	0.2202	344	1
5_MACS_peak_12627_lociStitched	chr2	112220434	112224648	5	3614	7226.5886	345	1	LOC541471		LOC541471	LOC541471	0.4726	345	1
