#RPMI8226 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/RPMI8226.H3K27ac_ROSE/RPMI8226_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by RPMI8226.jin.bam
#Using cutoff of 10610.632 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	RPMI8226.jin.bam	enhancerRank	isSuperStretch
1_MACS_peak_7801_lociStitched	chr16	28833539	28836315	1	2777	11701.9504	671	1
1_MACS_peak_15998_lociStitched	chr3	135913680	135916474	1	2795	10848.2638	672	1
1_MACS_peak_17681_lociStitched	chr5	107716323	107719097	1	2775	11178.9426	675	1
1_MACS_peak_7169_lociStitched	chr15	81292214	81294800	1	2587	16780.0368	676	1
1_MACS_peak_18848_lociStitched	chr6	42749340	42751942	1	2603	15947.1376	688	1
2_MACS_peak_2271_lociStitched	chr1	244996615	244999454	2	2661	13880.7227	696	1
1_MACS_peak_8704_lociStitched	chr17	18085608	18088243	1	2636	12833.2405	729	1
2_MACS_peak_12953_lociStitched	chr2	174828097	174830792	2	2668	11296.6315	738	1
1_MACS_peak_20328_lociStitched	chr7	100025665	100028256	1	2592	13747.5869	741	1
1_MACS_peak_8685_lociStitched	chr17	17584292	17586935	1	2644	11843.5473	747	1
1_MACS_peak_3651_lociStitched	chr11	62648215	62650854	1	2640	11116.7875	758	1
2_MACS_peak_6920_lociStitched	chr15	63795424	63798021	2	2568	12338.8664	787	1
