REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	RPMI8226.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
2_MACS_peak_3647_lociStitched	chr11	62606227	62610233	2	3797	13358.4076	194	1	WDR74	SLC3A2,TMEM223,NXF1,STX5,SNORD22,SNORD31,SNORD30,SNORD29,SNORD28,SNORD27,SNORD26,SNORD25,SNHG1	WDR74	194	1
1_MACS_peak_9705_lociStitched	chr17	79827934	79830433	1	2500	13349.4081	195	1	ARHGDIA	ANAPC11,NPB,FAM195B,DYSFIP1,P4HB,THOC4,PCYT2,SIRT7	ARHGDIA	195	1
5_MACS_peak_13738_lociStitched	chr20	34684128	34691077	5	6336	13302.4707	196	1		EPB41L1,LOC647979	EPB41L1	196	1
1_MACS_peak_18094_lociStitched	chr5	172197119	172200165	1	3047	13279.037	197	1	DUSP1		DUSP1	197	1
3_MACS_peak_21626_lociStitched	chr8	144594959	144599976	3	4693	13273.4769	198	1	ZC3H3	GSDMD	ZC3H3	198	1
4_MACS_peak_3334_lociStitched	chr11	12260943	12268187	4	6718	13249.276	199	1	MICAL2	MICALCL	MICALCL	199	1
2_MACS_peak_7728_lociStitched	chr16	21529374	21532365	2	2946	13231.5858	200	1	SLC7A5P2	LOC100271836	SLC7A5P2	200	1
5_MACS_peak_3166_lociStitched	chr11	267580	272914	5	4827	13221.9192	201	1		PSMD13,NLRP6,ATHL1,IFITM2,IFITM1,SIRT3,IFITM5,IFITM3	NLRP6	201	1
2_MACS_peak_9934_lociStitched	chr18	20713793	20717389	2	3448	13148.0548	202	1	CABLES1	CABLES1	CABLES1	202	1
3_MACS_peak_30_lociStitched	chr1	1140314	1144781	3	4058	13132.0866	203	1	TNFRSF18	MIR200B,MIR200A,MIR429,TTLL10,B3GALT6,TNFRSF4,SDF4,FAM132A	TNFRSF18	203	1
2_MACS_peak_16065_lociStitched	chr3	150263143	150265535	2	2372	13113.6616	204	1	EIF2A,SERP1		SERP1	204	1
1_MACS_peak_2154_lociStitched	chr1	228673977	228676224	1	2248	13112.1438	205	1	RNF187	HIST3H2BB,HIST3H2A	RNF187	205	1
2_MACS_peak_6915_lociStitched	chr15	62744765	62749900	2	5074	13020.306	206	1			MGC15885	206	1
4_MACS_peak_9639_lociStitched	chr17	77782987	77787846	4	4703	13018.7187	207	1		CBX2,CBX8,CBX4	CBX8	207	1
1_MACS_peak_18992_lociStitched	chr6	74362573	74364702	1	2130	13006.4868	208	1	SLC17A5	CD109	SLC17A5	208	1
2_MACS_peak_1885_lociStitched	chr1	203273719	203276578	2	2853	12958.7034	209	1	BTG2,LOC730227	FMOD	BTG2	209	1
2_MACS_peak_22559_lociStitched	chr9	139439327	139442437	2	2950	12937.289	210	1	NOTCH1		NOTCH1	210	1
2_MACS_peak_14919_lociStitched	chr22	42227277	42230394	2	3062	12935.55	211	1	SREBF2	CCDC134	SREBF2	211	1
1_MACS_peak_15953_lociStitched	chr3	129294438	129297674	1	3237	12892.8712	212	1	PLXND1	RHO,H1FOO	PLXND1	212	1
4_MACS_peak_19351_lociStitched	chr6	157980274	157985443	4	4686	12884.2494	213	1	ZDHHC14	MIR3692	MIR3692	213	1
2_MACS_peak_18035_lociStitched	chr5	154133747	154137046	2	3172	12874.0176	214	1	LARP1		LARP1	214	1
1_MACS_peak_8704_lociStitched	chr17	18085608	18088243	1	2636	12833.2405	215	1	ALKBH5	LLGL1	ALKBH5	215	1
1_MACS_peak_17083_lociStitched	chr5	188886	192538	1	3653	12809.39	216	1	PLEKHG4B,LRRC14B	SDHA,CCDC127	LRRC14B	216	1
1_MACS_peak_51_lociStitched	chr1	1509361	1510938	1	1578	12778.7464	217	1	SSU72	MIB2,C1orf70	SSU72	217	1
1_MACS_peak_16073_lociStitched	chr3	150479535	150482297	1	2763	12771.7642	218	1	SIAH2		SIAH2	218	1
2_MACS_peak_19642_lociStitched	chr7	23507706	23511572	2	3510	12755.0938	219	1	IGF2BP3	RPS2P32	IGF2BP3	219	1
2_MACS_peak_22387_lociStitched	chr9	132174799	132176892	2	2077	12746.7886	220	1			C9orf106	220	1
2_MACS_peak_20144_lociStitched	chr7	74071151	74073015	2	1807	12722.3592	221	1	GTF2I		GTF2I	221	1
2_MACS_peak_13630_lociStitched	chr20	25289233	25292953	2	3709	12697.104	222	1	ABHD12		PYGB	222	1
2_MACS_peak_19662_lociStitched	chr7	26239164	26242315	2	3058	12646.8536	223	1	CBX3,HNRNPA2B1	NFE2L3	HNRNPA2B1	223	1
1_MACS_peak_15182_lociStitched	chr3	13459633	13463301	1	3669	12642.8624	224	1	NUP210		NUP210	224	1
3_MACS_peak_18504_lociStitched	chr6	26155709	26159704	3	3673	12621.803	225	1	HIST1H1E,HIST1H2BD	HIST1H2AC,HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H1T,HIST1H2BC,HIST1H4D,HIST1H2AD,HIST1H3D	HIST1H2BD	225	1
2_MACS_peak_16119_lociStitched	chr3	156805054	156808751	2	3694	12611.5761	226	1	LOC100498859,LOC339894		LOC100498859	226	1
4_MACS_peak_18110_lociStitched	chr5	173168253	173173946	4	4940	12572.4212	227	1			BOD1	227	1
2_MACS_peak_7821_lociStitched	chr16	29815980	29819752	2	3628	12567.9268	228	1	KIF22,MAZ	ZG16,PRRT2,C16orf53,MVP	MAZ	228	1
1_MACS_peak_7043_lociStitched	chr15	72766039	72767979	1	1941	12547.92	229	1	ARIH1		ARIH1	229	1
2_MACS_peak_21754_lociStitched	chr9	5625874	5630006	2	4027	12515.828	230	1	KIAA1432	KIAA1432	KIAA1432	230	1
1_MACS_peak_20664_lociStitched	chr7	148395101	148397361	1	2261	12507.744	231	1	CUL1		CUL1	231	1
1_MACS_peak_7234_lociStitched	chr15	89163889	89165624	1	1736	12499.4605	232	1	AEN	MIR1179,MIR7-2,ISG20	AEN	232	1
2_MACS_peak_7872_lociStitched	chr16	30668276	30671611	2	3104	12440.5505	233	1		PRR14,FBRS,SRCAP,ZNF689	FBRS	233	1
4_MACS_peak_12732_lociStitched	chr2	122572559	122578662	4	5893	12438.5243	234	1			TSN	234	1
3_MACS_peak_1554_lociStitched	chr1	156468673	156471741	3	2896	12434.2972	235	1	MEF2D		MEF2D	235	1
10_MACS_peak_12410_lociStitched	chr2	95678368	95687076	10	6445	12423.7036	236	1		MAL	MAL	236	1
2_MACS_peak_21344_lociStitched	chr8	101962982	101965757	2	2774	12421.455	237	1	YWHAZ	YWHAZ	YWHAZ	237	1
2_MACS_peak_16090_lociStitched	chr3	151984467	151988304	2	3463	12416.532	238	1	MBNL1,LOC401093	MBNL1	MBNL1	238	1
2_MACS_peak_18579_lociStitched	chr6	27804279	27807432	2	3031	12391.29	239	1	HIST1H2BN,HIST1H2AK	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H4J,HIST1H2AL,HIST1H2BL,HIST1H2AJ,HIST1H4K,HIST1H1B,HIST1H3I,HIST1H4L	HIST1H2AK	239	1
2_MACS_peak_3221_lociStitched	chr11	1870853	1875194	2	4286	12384.4389	240	1	LSP1	SYT8,TNNI2,LSP1,MIR4298	LSP1	240	1
2_MACS_peak_6392_lociStitched	chr14	103574607	103579682	2	4627	12377.4175	241	1	C14orf73	TNFAIP2	C14orf73	241	1
2_MACS_peak_6920_lociStitched	chr15	63795424	63798021	2	2568	12338.8664	242	1	USP3		USP3	242	1
2_MACS_peak_20442_lociStitched	chr7	106807612	106810325	2	2544	12315.3922	243	1	HBP1		HBP1	243	1
1_MACS_peak_21630_lociStitched	chr8	144607800	144612608	1	4809	12308.9608	244	1	ZC3H3	GSDMD,C8orf73,NAPRT1	ZC3H3	244	1
1_MACS_peak_16064_lociStitched	chr3	150125208	150128747	1	3540	12300.5023	245	1	TSC22D2		TSC22D2	245	1
4_MACS_peak_4715_lociStitched	chr12	46120602	46125598	4	4280	12291.6588	246	1	ARID2,LOC400027		ARID2	246	1
1_MACS_peak_18229_lociStitched	chr5	179245170	179248865	1	3696	12262.5965	247	1	SQSTM1	LTC4S,MIR1229,MGAT4B,C5orf45	SQSTM1	247	1
2_MACS_peak_6521_lociStitched	chr15	20992548	20997073	2	4092	12237.8625	248	1		BCL8	BCL8	248	1
1_MACS_peak_18465_lociStitched	chr6	20402022	20404811	1	2790	12237.8531	249	1	E2F3		E2F3	249	1
1_MACS_peak_17119_lociStitched	chr5	1313293	1317809	1	4517	12212.1672	250	1		TERT,CLPTM1L	TERT	250	1
2_MACS_peak_1763_lociStitched	chr1	181102595	181105126	2	2161	12209.0378	251	1		IER5	IER5	251	1
1_MACS_peak_3594_lociStitched	chr11	61559366	61561084	1	1719	12186.8048	252	1	FEN1,C11orf10,MIR611	C11orf9,FADS2,DKFZP434K028,MIR1908,FADS1	FEN1	252	1
1_MACS_peak_71_lociStitched	chr1	1821245	1823583	1	2339	12179.5772	253	1	GNB1	CALML6,TMEM52	GNB1	253	1
6_MACS_peak_10183_lociStitched	chr18	67284227	67291222	6	6089	12158.0095	254	1	DOK6		DOK6	254	1
1_MACS_peak_10726_lociStitched	chr19	13956635	13959079	1	2445	12143.2584	255	1		MIR181C,MIR181D,NANOS3,LOC284454,MIR24-2,MIR27A,MIR23A	MIR23A	255	1
1_MACS_peak_12976_lociStitched	chr2	178128271	178130421	1	2151	12106.65	256	1	NFE2L2	MIR3128	NFE2L2	256	1
1_MACS_peak_7333_lociStitched	chr15	99190065	99192879	1	2815	12096.8232	257	1	IGF1R		IGF1R	257	1
2_MACS_peak_10868_lociStitched	chr19	18390561	18393697	2	2841	12042.24	258	1	MIR3188,JUND	PDE4C,LOC729966,KIAA1683,LSM4	JUND	258	1
1_MACS_peak_20523_lociStitched	chr7	128170473	128172704	1	2232	12041.3763	259	1			METTL2B	259	1
2_MACS_peak_7401_lociStitched	chr16	638100	640648	2	2378	12036.4972	260	1	RAB40C	MIR3176,C16orf11,NHLRC4,PIGQ,WFIKKN1,C16orf13	RAB40C	260	1
3_MACS_peak_14371_lociStitched	chr21	43651765	43655578	3	3628	12024.6768	261	1	ABCG1		ABCG1	261	1
2_MACS_peak_667_lociStitched	chr1	36850543	36853891	2	3308	12022.3332	262	1	STK40	LSM10	STK40	262	1
1_MACS_peak_1762_lociStitched	chr1	181097441	181101761	1	4321	12014.352	263	1		IER5	IER5	263	1
1_MACS_peak_17529_lociStitched	chr5	75697673	75700766	1	3094	12007.026	264	1	IQGAP2		IQGAP2	264	1
2_MACS_peak_19698_lociStitched	chr7	30323411	30326652	2	2881	11986.1903	265	1	ZNRF2	MIR550A1,MIR550B1	ZNRF2	265	1
3_MACS_peak_788_lociStitched	chr1	44297343	44302304	3	4947	11983.2955	266	1	ST3GAL3		ARTN	266	1
1_MACS_peak_2275_lociStitched	chr1	245132976	245135207	1	2232	11947.6743	267	1	EFCAB2		EFCAB2	267	1
2_MACS_peak_12321_lociStitched	chr2	87085572	87090092	2	4486	11930.088	268	1	CD8B		CD8B	268	1
4_MACS_peak_12703_lociStitched	chr2	121320973	121327291	4	6040	11912.589	269	1			LOC84931	269	1
1_MACS_peak_14762_lociStitched	chr22	37765003	37768191	1	3189	11891.8776	270	1	ELFN2		ELFN2	270	1
1_MACS_peak_8685_lociStitched	chr17	17584292	17586935	1	2644	11843.5473	271	1	RAI1		RAI1	271	1
3_MACS_peak_2084_lociStitched	chr1	226066897	226071208	3	4182	11824.6419	272	1	TMEM63A	LEFTY1,PYCR2	TMEM63A	272	1
2_MACS_peak_22903_lociStitched	chrX	48793913	48798333	2	4397	11820.406	273	1	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	273	1
3_MACS_peak_5890_lociStitched	chr13	114829612	114835221	3	5367	11814.7976	274	1	RASA3		RASA3	274	1
3_MACS_peak_19840_lociStitched	chr7	46042892	46046852	3	3769	11812.284	275	1			IGFBP3	275	1
4_MACS_peak_4839_lociStitched	chr12	53264572	53269202	4	4150	11808.352	276	1		KRT79,KRT78,KRT8	KRT78	276	1
1_MACS_peak_3968_lociStitched	chr11	72851747	72855316	1	3570	11789.1208	277	1	FCHSD2		FCHSD2	277	1
2_MACS_peak_11537_lociStitched	chr19	56164868	56167646	2	2776	11757.3294	278	1	U2AF2	ZNF865,ZNF580,ZNF581,CCDC106,EPN1,ZNF784	U2AF2	278	1
1_MACS_peak_2012_lociStitched	chr1	212780201	212783351	1	3151	11739.42	279	1	ATF3	FAM71A	ATF3	279	1
1_MACS_peak_7801_lociStitched	chr16	28833539	28836315	1	2777	11701.9504	280	1	ATXN2L	SH2B1,TUFM	ATXN2L	280	1
3_MACS_peak_18511_lociStitched	chr6	26195743	26200564	3	4553	11686.5861	281	1	HIST1H2BF,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2BE,HIST1H4E,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H4D,HIST1H2BG,HIST1H1D,HIST1H4G	HIST1H3D	281	1
3_MACS_peak_37_lociStitched	chr1	1240166	1244769	3	4551	11666.7638	282	1	PUSL1,ACAP3	SCNN1D,GLTPD1,TAS1R3,UBE2J2,CPSF3L,DVL1,MXRA8	ACAP3	282	1
1_MACS_peak_10283_lociStitched	chr19	917085	920881	1	3797	11637.0176	283	1	KISS1R	ARID3A,MED16,C19orf22	KISS1R	283	1
1_MACS_peak_6919_lociStitched	chr15	63448564	63450372	1	1809	11582.4096	284	1	RPS27L	LACTB,RAB8B	RPS27L	284	1
2_MACS_peak_18255_lociStitched	chr6	256507	259448	2	2936	11578.717	285	1		DUSP22	DUSP22	285	1
2_MACS_peak_7369_lociStitched	chr15	101738224	101742324	2	3867	11537.4	286	1	CHSY1		CHSY1	286	1
1_MACS_peak_15063_lociStitched	chr22	50353144	50356660	1	3517	11528.6124	287	1	PIM3	CRELD2,ALG12	PIM3	287	1
3_MACS_peak_9386_lociStitched	chr17	64940292	64945202	3	4365	11525.243	288	1		CACNG4	CACNG4	288	1
4_MACS_peak_14414_lociStitched	chr21	45136237	45140251	4	3358	11520.5814	289	1	PDXK		PDXK	289	1
3_MACS_peak_19755_lociStitched	chr7	39988242	39991723	3	3393	11520.3695	290	1	CDK13		CDK13	290	1
2_MACS_peak_7313_lociStitched	chr15	93351240	93354537	2	3274	11508.8379	291	1		ASB9P1	ASB9P1	291	1
3_MACS_peak_14853_lociStitched	chr22	39635750	39640887	3	4929	11490.9553	292	1	PDGFB		PDGFB	292	1
1_MACS_peak_145_lociStitched	chr1	6660605	6663953	1	3349	11485.9836	293	1	KLHL21	TAS1R1,ZBTB48,PHF13,THAP3,NOL9	KLHL21	293	1
4_MACS_peak_21596_lociStitched	chr8	143591434	143597009	4	4994	11459.4125	294	1	BAI1		BAI1	294	1
4_MACS_peak_16002_lociStitched	chr3	136469020	136472313	4	2883	11458.3228	295	1	STAG1		STAG1	295	1
1_MACS_peak_16125_lociStitched	chr3	156877171	156879192	1	2022	11446.1356	296	1	CCNL1	LOC339894	CCNL1	296	1
1_MACS_peak_12461_lociStitched	chr2	97201585	97204494	1	2910	11442.5515	297	1	ARID5A	NEURL3	ARID5A	297	1
2_MACS_peak_9725_lociStitched	chr17	80054642	80057763	2	3100	11441.2739	298	1	FASN	GPS1,RFNG,DUS1L	FASN	298	1
3_MACS_peak_18410_lociStitched	chr6	13523817	13528135	3	4229	11421.11	299	1		SIRT5,C6orf114,GFOD1	GFOD1	299	1
3_MACS_peak_18581_lociStitched	chr6	27858807	27863468	3	4158	11416.6534	300	1	HIST1H2BO,HIST1H2AM	HIST1H2AL,HIST1H1B,HIST1H3I,HIST1H4L,HIST1H3J,OR2B2	HIST1H2BO	300	1
2_MACS_peak_7560_lociStitched	chr16	4320827	4324113	2	3233	11368.9028	301	1	TFAP4	SRL	TFAP4	301	1
1_MACS_peak_933_lociStitched	chr1	62901136	62903604	1	2469	11353.5404	302	1	USP1		USP1	302	1
3_MACS_peak_21356_lociStitched	chr8	103544720	103550214	3	5212	11349.5052	303	1		ODF1	ODF1	303	1
2_MACS_peak_12953_lociStitched	chr2	174828097	174830792	2	2668	11296.6315	304	1	SP3		SP3	304	1
2_MACS_peak_17380_lociStitched	chr5	55981220	55985130	2	3889	11284.26	305	1			MAP3K1	305	1
3_MACS_peak_15119_lociStitched	chr3	5227716	5231233	3	3401	11283.2394	306	1	EDEM1		EDEM1	306	1
4_MACS_peak_6815_lociStitched	chr15	52754616	52759344	4	4073	11278.644	307	1	MYO5A		MYO5A	307	1
3_MACS_peak_7573_lociStitched	chr16	4663889	4667278	3	3028	11253.5134	308	1	FAM100A	MGRN1	FAM100A	308	1
2_MACS_peak_2219_lociStitched	chr1	234859077	234862725	2	3611	11238.3936	309	1			NCRNA00184	309	1
1_MACS_peak_3715_lociStitched	chr11	64901190	64903370	1	2181	11227.436	310	1	SYVN1	ZFPL1,C11orf2,TM7SF2,MRPL49,SPDYC,CAPN1,CDCA5,ZNHIT2,FAU	SYVN1	310	1
2_MACS_peak_4974_lociStitched	chr12	57913243	57917167	2	3717	11227.3488	311	1	MBD6,DDIT3	MARS,KIF5A,ARHGAP9,DCTN2	DDIT3	311	1
1_MACS_peak_6160_lociStitched	chr14	69258964	69262939	1	3976	11225.7975	312	1	ZFP36L1,C14orf181		ZFP36L1	312	1
5_MACS_peak_8666_lociStitched	chr17	16881294	16885638	5	4136	11216.6424	313	1		TNFRSF13B	TNFRSF13B	313	1
3_MACS_peak_6808_lociStitched	chr15	52310878	52314790	3	3690	11212.9656	314	1	MAPK6	LEO1	MAPK6	314	1
4_MACS_peak_3874_lociStitched	chr11	67413571	67418612	4	4445	11212.6963	315	1	ACY3	NDUFV1,DOC2GP,NUDT8,TBX10,ALDH3B2	ACY3	315	1
1_MACS_peak_3888_lociStitched	chr11	67769653	67772155	1	2503	11207.709	316	1	UNC93B1	ALDH3B1,NDUFS8,TCIRG1	UNC93B1	316	1
2_MACS_peak_7954_lociStitched	chr16	49888913	49893342	2	4349	11205.37	317	1		ZNF423	ZNF423	317	1
2_MACS_peak_3698_lociStitched	chr11	64616476	64620670	2	4113	11195.883	318	1	EHD1	MAP4K2,MEN1,CDC42BPG,MIR192,MIR194-2	CDC42BPG	318	1
1_MACS_peak_1500_lociStitched	chr1	155156488	155159576	1	3089	11193.0736	319	1	TRIM46,MUC1	SLC50A1,MIR92B,MTX1,DPM3,KRTCAP2,THBS3,GBAP1	MUC1	319	1
1_MACS_peak_17681_lociStitched	chr5	107716323	107719097	1	2775	11178.9426	320	1	FBXL17		FBXL17	320	1
2_MACS_peak_22230_lociStitched	chr9	123653112	123656694	2	3499	11166.885	321	1		LOC253039,PSMD5,PHF19,TRAF1	PHF19	321	1
3_MACS_peak_10225_lociStitched	chr18	72920194	72924197	3	3599	11127.1391	322	1	TSHZ1,ZADH2		TSHZ1	322	1
1_MACS_peak_3651_lociStitched	chr11	62648215	62650854	1	2640	11116.7875	323	1	SLC3A2	STX5,WDR74,SNORD22,SNORD31,SNORD30,SNORD29,SNORD28,SNORD27,SNORD26,SNORD25,SNHG1,CHRM1	SLC3A2	323	1
3_MACS_peak_19113_lociStitched	chr6	108878540	108883607	3	4540	11109.9042	324	1	FOXO3		FOXO3	324	1
5_MACS_peak_4948_lociStitched	chr12	57078373	57083004	5	4188	11073.6472	325	1	PTGES3	BAZ2A,SNORD59B,SNORD59A,ATP5B,NACA	PTGES3	325	1
2_MACS_peak_8111_lociStitched	chr16	67580687	67584067	2	3380	11066.796	326	1	FAM65A	CTCF	FAM65A	326	1
3_MACS_peak_15468_lociStitched	chr3	46542666	46548150	3	5126	11061.7764	327	1		RTP3,LTF	RTP3	327	1
2_MACS_peak_12608_lociStitched	chr2	111876541	111880892	2	4263	11057.6314	328	1	BCL2L11		BCL2L11	328	1
3_MACS_peak_20286_lociStitched	chr7	98475749	98478654	3	2842	11046.553	329	1	TRRAP	MIR3609,TMEM130	TRRAP	329	1
3_MACS_peak_2325_lociStitched	chr10	3824655	3828438	3	3592	11041.0638	330	1	KLF6		KLF6	330	1
2_MACS_peak_21697_lociStitched	chr8	145732348	145735259	2	2911	11037.0565	331	1	GPT,MFSD3	KIFC2,PPP1R16A,LRRC14,CYHR1,FOXH1,RECQL4,LRRC24,MGC70857	MFSD3	331	1
1_MACS_peak_9808_lociStitched	chr18	3447351	3451346	1	3996	11019.009	332	1	TGIF1	TGIF1	TGIF1	332	1
2_MACS_peak_18740_lociStitched	chr6	34203302	34206810	2	3472	11017.2248	333	1	HMGA1	C6orf1	HMGA1	333	1
1_MACS_peak_15356_lociStitched	chr3	39191886	39195487	1	3602	11013.2984	334	1	CSRNP1	TTC21A,GORASP1,XIRP1	CSRNP1	334	1
5_MACS_peak_6277_lociStitched	chr14	91829248	91835604	5	5286	11009.8632	335	1	CCDC88C		CCDC88C	335	1
1_MACS_peak_13907_lociStitched	chr20	48806946	48809814	1	2869	10989.6024	336	1	CEBPB	TMEM189-UBE2V1	CEBPB	336	1
1_MACS_peak_15940_lociStitched	chr3	128901056	128903430	1	2375	10965.9808	337	1	CNBP	ISY1	CNBP	337	1
2_MACS_peak_3502_lociStitched	chr11	47235538	47238087	2	2530	10954.5824	338	1	DDB2	NR1H3,ARFGAP2,PACSIN3,ACP2	DDB2	338	1
2_MACS_peak_14999_lociStitched	chr22	46447858	46450974	2	3111	10946.1964	339	1	LOC150381,C22orf26	LOC730668,LOC400931,MIR3619,LOC100271722	LOC150381	339	1
2_MACS_peak_8281_lociStitched	chr16	79908110	79912303	2	3876	10903.4772	340	1			MAF	340	1
4_MACS_peak_12162_lociStitched	chr2	68514198	68519080	4	4486	10883.9308	341	1	CNRIP1	PPP3R1	CNRIP1	341	1
2_MACS_peak_11869_lociStitched	chr2	29116847	29118788	2	1871	10881.6342	342	1	WDR43	SNORD92,SNORD53,TRMT61B	WDR43	342	1
8_MACS_peak_10964_lociStitched	chr19	28953121	28960543	8	6739	10859.8704	343	1			LOC148145	343	1
1_MACS_peak_15998_lociStitched	chr3	135913680	135916474	1	2795	10848.2638	344	1	MSL2	MSL2	MSL2	344	1
7_MACS_peak_12059_lociStitched	chr2	60776446	60782954	7	5512	10824.1056	345	1	BCL11A		BCL11A	345	1
2_MACS_peak_22429_lociStitched	chr9	134148405	134153319	2	4883	10822.5936	346	1	FAM78A	PPAPDC3	FAM78A	346	1
2_MACS_peak_8583_lociStitched	chr17	7209944	7212445	2	2323	10788.8138	347	1	EIF5A	SLC2A4,ACAP1,KCTD11,TMEM95,CLDN7,YBX2,GPS2,NEURL4	EIF5A	347	1
2_MACS_peak_21452_lociStitched	chr8	120944292	120947413	2	2976	10784.9276	348	1	DEPDC6		DEPDC6	348	1
1_MACS_peak_15094_lociStitched	chr22	50963193	50965745	1	2553	10735.7536	349	1	NCAPH2,SCO2,TYMP	ADM2,MIOX,KLHDC7B,SBF1,LMF2,ODF3B,C22orf41	SCO2	349	1
7_MACS_peak_17861_lociStitched	chr5	135070478	135077599	7	6013	10728.4986	350	1			LOC340074	350	1
2_MACS_peak_22825_lociStitched	chrX	39955001	39959005	2	3991	10717.1064	351	1	BCOR		BCOR	351	1
2_MACS_peak_1684_lociStitched	chr1	167596653	167600588	2	3909	10694.1495	352	1	RCSD1		RCSD1	352	1
1_MACS_peak_19160_lociStitched	chr6	111803174	111806266	1	3093	10681.0048	353	1	LOC643749,REV3L		LOC643749	353	1
1_MACS_peak_14572_lociStitched	chr22	23283022	23286132	1	3111	10666.989	354	1			IGLL5	354	1
7_MACS_peak_13139_lociStitched	chr2	204569076	204575815	7	5417	10657.7285	355	1	CD28		CD28	355	1
3_MACS_peak_9617_lociStitched	chr17	76776054	76779962	3	3658	10654.7712	356	1	CYTH1		CYTH1	356	1
4_MACS_peak_5214_lociStitched	chr12	109025907	109031418	4	4980	10614.7371	357	1	SELPLG	TMEM119	SELPLG	357	1
1_MACS_peak_13456_lociStitched	chr20	2082022	2084175	1	2154	10614.5053	358	1	STK35		STK35	358	1
