REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	NCI.H929.jin.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
1_MACS_peak_1694_lociStitched	chr1	149855675	149861448	1	5774	69130.5204	167	1	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2AC	HIST2H3A	9.5221	167	1
2_MACS_peak_5664_lociStitched	chr11	120203272	120216662	2	12073	50066.549	168	1	TMEM136,ARHGEF12		ARHGEF12	ARHGEF12	0.4047	168	1
1_MACS_peak_30771_lociStitched	chrX	153231478	153240357	1	8880	61823.5891	169	1	TMEM187,HCFC1	MIR3202-1,ARHGAP4,NAA10,RENBP,MIR3202-2,IRAK1,MIR718	HCFC1	NAA10	4.977	169	1
4_MACS_peak_11069_lociStitched	chr16	81841348	81857501	4	14003	38447.3706	170	1	PLCG2		PLCG2	PLCG2	0.4036	170	1
5_MACS_peak_7111_lociStitched	chr12	123408631	123423786	5	13848	39333.287	171	1	ABCB9	OGFOD2,ARL6IP4,VPS37B	ABCB9	VPS37B	2.5692	171	1
3_MACS_peak_8965_lociStitched	chr15	31546830	31562060	3	10868	54847.799	172	1			KLF13	KLF13	0.9545	172	1
2_MACS_peak_22375_lociStitched	chr5	1311262	1323847	2	9898	58233.312	173	1	CLPTM1L	TERT	TERT	TERT	0.2126	173	1
2_MACS_peak_1900_lociStitched	chr1	156115751	156129609	2	13810	39098.9612	174	1	SEMA4A	LMNA,SLC25A44	SEMA4A	LMNA	1.5926	174	1
5_MACS_peak_19984_lociStitched	chr3	61545586	61562516	5	13663	39800.737	175	1	PTPRG		PTPRG	PTPRG	0.1155	175	1
5_MACS_peak_28469_lociStitched	chr8	145009682	145030247	5	15519	22043.6235	176	1	PLEC,MIR661	GRINA,PARP10	MIR661	MIR661	0.8913	176	1
7_MACS_peak_8969_lociStitched	chr15	31636879	31660304	7	14989	27201.11	177	1	KLF13		KLF13	KLF13	0.9545	177	1
2_MACS_peak_25749_lociStitched	chr7	23506708	23517115	2	10222	55630.6185	178	1	IGF2BP3	RPS2P32	IGF2BP3	IGF2BP3	0.3683	178	1
6_MACS_peak_27185_lociStitched	chr8	11272972	11298369	6	14169	34197.0605	179	1	C8orf12,FAM167A		FAM167A	FAM167A	0.9687	179	1
3_MACS_peak_1884_lociStitched	chr1	155938365	155953773	3	12254	46456.6608	180	1	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	RXFP4	1.9944	180	1
6_MACS_peak_9054_lociStitched	chr15	40336768	40362956	6	13843	36108.0144	181	1		SRP14,BMF	SRP14	BMF	1.8645	181	1
5_MACS_peak_30774_lociStitched	chrX	153266797	153287204	5	13543	37997.834	182	1	IRAK1,MIR718	TMEM187,MIR3202-1,HCFC1,MIR3202-2	IRAK1	TMEM187	4.4951	182	1
6_MACS_peak_12675_lociStitched	chr17	76116530	76140832	6	14721	27721.2914	183	1	TMC8,TMC6	C17orf99,SYNGR2,AFMID,TK1	TMC6	SYNGR2	1.4064	183	1
2_MACS_peak_8476_lociStitched	chr14	91872825	91885864	2	13038	40281.3827	184	1	CCDC88C		CCDC88C	CCDC88C	1.6264	184	1
3_MACS_peak_12628_lociStitched	chr17	74775332	74788941	3	13233	38635.951	185	1	MFSD11	MIR636,SRSF2	MFSD11	MIR636	2.2085	185	1
2_MACS_peak_6244_lociStitched	chr12	48200687	48214840	2	12803	41298.454	186	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	0.961	186	1
4_MACS_peak_23730_lociStitched	chr5	173311327	173327729	4	14448	27520.9158	187	1	CPEB4		CPEB4	CPEB4	0.4924	187	1
1_MACS_peak_16750_lociStitched	chr2	182128575	182141377	1	12803	40301.9762	188	1			ITGA4	ITGA4	0.4407	188	1
2_MACS_peak_8868_lociStitched	chr15	23658637	23670620	2	11070	49366.3651	189	1			MKRN3	MKRN3	NONE	189	1
2_MACS_peak_17856_lociStitched	chr20	43269941	43282280	2	12273	43001.415	190	1	ADA	LOC79015	ADA	ADA	1.1215	190	1
4_MACS_peak_10350_lociStitched	chr16	19115943	19131044	4	12708	39957.246	191	1	ITPRIPL2	COQ7,SYT17	ITPRIPL2	ITPRIPL2	2.0823	191	1
2_MACS_peak_4066_lociStitched	chr10	112112741	112124916	2	8040	58968.395	192	1		SMNDC1	SMNDC1	SMNDC1	0.3354	192	1
5_MACS_peak_3045_lociStitched	chr10	5617730	5632884	5	14338	24996.523	193	1			CALML3	CALML3	NONE	193	1
4_MACS_peak_944_lociStitched	chr1	45264736	45286658	4	11780	44221.0584	194	1	PLK3,BTBD19,TCTEX1D4,PTCH2	RPS8,SNORD55,SNORD46,SNORD38A,SNORD38B,BEST4,PTCH2	BTBD19	BTBD19	1.8819	194	1
3_MACS_peak_512_lociStitched	chr1	25346954	25364599	3	12787	38155.548	195	1			RUNX3	RUNX3	NONE	195	1
3_MACS_peak_5604_lociStitched	chr11	117868192	117884641	3	14304	24668.5653	196	1	IL10RA		IL10RA	IL10RA	1.0972	196	1
2_MACS_peak_14543_lociStitched	chr19	42363536	42377135	2	13476	32322.1032	197	1	RPS19	DMRTC2,CD79A,ARHGEF1,LYPD4	RPS19	RPS19	1.5593	197	1
5_MACS_peak_5746_lociStitched	chr11	126332922	126352970	5	11597	44269.9936	198	1	KIRREL3		ST3GAL4	ST3GAL4	0.5767	198	1
7_MACS_peak_28208_lociStitched	chr8	120930808	120949737	7	13396	32154.6923	199	1	DEPDC6		DEPDC6	DEPDC6	0.3863	199	1
1_MACS_peak_2113_lociStitched	chr1	167596039	167602243	1	6205	61468.6116	200	1	RCSD1		RCSD1	RCSD1	0.9047	200	1
5_MACS_peak_27559_lociStitched	chr8	42741579	42754098	5	11820	41633.1864	201	1	HOOK3,RNF170	THAP1	RNF170	RNF170	1.0249	201	1
1_MACS_peak_24373_lociStitched	chr6	32935391	32941392	1	6002	61500.0483	202	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	2.7653	202	1
1_MACS_peak_30017_lociStitched	chrX	40027999	40037072	1	9074	53271.2122	204	1	BCOR		BCOR	BCOR	0.8977	204	1
1_MACS_peak_9922_lociStitched	chr15	101735425	101745562	1	10138	49190.8062	205	1	CHSY1		CHSY1	CHSY1	1.0138	205	1
1_MACS_peak_6653_lociStitched	chr12	89738122	89749044	1	10923	45686.726	206	1	DUSP6		DUSP6	DUSP6	3.1876	206	1
2_MACS_peak_17797_lociStitched	chr20	39630559	39643101	2	12543	36095.876	207	1		TOP1	TOP1	TOP1	0.2703	207	1
3_MACS_peak_16206_lociStitched	chr2	109826940	109844372	3	12988	32780.876	208	1	SH3RF3		MIR4265	MIR4265	NONE	208	1
3_MACS_peak_10273_lociStitched	chr16	14486532	14503278	3	11641	41273.8662	209	1			MIR365-1	MIR365-1	2.5028	209	1
4_MACS_peak_11383_lociStitched	chr17	4842096	4854675	4	9665	50404.053	210	1	RNF167,ENO3,SLC25A11,PFN1	C17orf107,GP1BA,KIF1C,CHRNE,SPAG7,CAMTA2,INCA1	PFN1	PFN1	3.4036	210	1
2_MACS_peak_12065_lociStitched	chr17	42287359	42299823	2	8155	55406.2192	211	1	UBTF	ASB16,TMUB2,C17orf65,ATXN7L3,SLC4A1	UBTF	UBTF	2.5251	211	1
2_MACS_peak_7024_lociStitched	chr12	120628246	120640337	2	12061	38436.0799	212	1	GCN1L1,RPLP0	PXN	GCN1L1	GCN1L1	0.4284	212	1
2_MACS_peak_13217_lociStitched	chr18	46300019	46314584	2	12407	35920.203	213	1	KIAA0427		SMAD7	SMAD7	1.4427	213	1
2_MACS_peak_26104_lociStitched	chr7	56163907	56179590	2	12309	36499.0459	214	1	CHCHD2	CCT6A,SNORA15,SUMF2,PSPH,PHKG1,LOC389493	CHCHD2	CHCHD2	2.3944	214	1
3_MACS_peak_5633_lociStitched	chr11	118963629	118979554	3	9704	48943.895	216	1	HMBS,C2CD2L,H2AFX,DPAGT1	VPS11,HINFP,ABCG4,HYOU1	DPAGT1	DPAGT1	2.7822	216	1
2_MACS_peak_18975_lociStitched	chr22	38636818	38649041	2	12062	36846.2335	217	1	TMEM184B	MAFF	TMEM184B	TMEM184B	1.2578	217	1
3_MACS_peak_8468_lociStitched	chr14	91781658	91802332	3	13179	28122.8422	218	1	CCDC88C		GPR68	GPR68	NONE	218	1
4_MACS_peak_7211_lociStitched	chr12	131576499	131589949	4	12187	35747.41	219	1	GPR133		LOC116437	LOC116437	NONE	219	1
5_MACS_peak_9913_lociStitched	chr15	101661248	101682012	5	12526	33255.6224	220	1			CHSY1	CHSY1	1.0138	220	1
3_MACS_peak_12640_lociStitched	chr17	75130861	75143707	3	12315	34703.469	221	1	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	1.2219	221	1
3_MACS_peak_23687_lociStitched	chr5	171600601	171615955	3	12268	34948.7748	222	1	STK10	EFCAB9	STK10	STK10	0.3041	222	1
1_MACS_peak_16425_lociStitched	chr2	133022250	133032002	1	9753	48071.5088	223	1		MIR663B,ANKRD30BL	ANKRD30BL	MIR663B	0.7341	223	1
7_MACS_peak_15129_lociStitched	chr2	8650555	8667603	7	13513	23381.332	224	1			ID2	ID2	NONE	224	1
2_MACS_peak_5628_lociStitched	chr11	118886755	118901807	2	11487	39007.258	225	1	TRAPPC4,MIR3656,RPS25,SLC37A4	FOXR1,CCDC84,VPS11,RPL23AP64,HYOU1	MIR3656	MIR3656	2.3993	225	1
5_MACS_peak_22673_lociStitched	chr5	53813352	53828340	5	11463	38986.7856	226	1	SNX18		SNX18	SNX18	1.0579	226	1
5_MACS_peak_5304_lociStitched	chr11	82764660	82784509	5	12665	30426.5321	227	1	RAB30	SNORA70E	RAB30	RAB30	0.4637	227	1
2_MACS_peak_23358_lociStitched	chr5	138720320	138730572	2	8702	50686.9132	228	1	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	MZB1	4.1411	228	1
1_MACS_peak_3725_lociStitched	chr10	81001491	81010882	1	9392	47888.4654	229	1	ZMIZ1		PPIF	PPIF	NONE	229	1
4_MACS_peak_16027_lociStitched	chr2	87808945	87822782	4	13268	22723.1214	230	1	NCRNA00152		NCRNA00152	NCRNA00152	1.1906	230	1
5_MACS_peak_24758_lociStitched	chr6	74220720	74234166	5	11111	39429.0504	231	1	EEF1A1	MTO1	EEF1A1	EEF1A1	2.6007	231	1
3_MACS_peak_17652_lociStitched	chr20	32439889	32453663	3	11833	34962.5442	232	1	CHMP4B		CHMP4B	CHMP4B	0.7694	232	1
4_MACS_peak_11590_lociStitched	chr17	17726150	17744487	4	11802	34466.2252	233	1	SREBF1	SMCR5,MIR33B	SREBF1	SREBF1	1.0688	233	1
2_MACS_peak_26881_lociStitched	chr7	139466481	139478924	2	11831	34225.7158	234	1	TBXAS1,HIPK2		HIPK2	HIPK2	0.2039	234	1
3_MACS_peak_21121_lociStitched	chr4	2787564	2804165	3	12163	31274.6239	235	1	SH3BP2	SH3BP2,ADD1,TNIP2	SH3BP2	SH3BP2	0.6659	235	1
1_MACS_peak_18025_lociStitched	chr20	52267670	52278704	1	11035	38387.286	237	1			ZNF217	ZNF217	1.068	237	1
2_MACS_peak_24335_lociStitched	chr6	31694685	31709230	2	11339	36576.3115	238	1	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	CLIC1	2.3017	238	1
1_MACS_peak_8764_lociStitched	chr14	106324968	106330960	1	5993	56296.0384	239	1			KIAA0125	KIAA0125	1.1791	239	1
2_MACS_peak_24167_lociStitched	chr6	26194843	26207281	2	10100	42571.5426	241	1	HIST1H2BF,HIST1H4E,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2BE,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H4D,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H2BF	HIST1H2BF	3.4237	241	1
4_MACS_peak_17608_lociStitched	chr20	31252334	31270145	4	11938	31667.958	242	1		C20orf203	C20orf203	C20orf203	0.1244	242	1
1_MACS_peak_3265_lociStitched	chr10	22624566	22635241	1	10676	39557.28	243	1	SPAG6	COMMD3,BMI1	SPAG6	COMMD3	3.5755	243	1
5_MACS_peak_4996_lociStitched	chr11	65261652	65278381	5	11075	36586.323	244	1	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	MALAT1	1.9754	244	1
1_MACS_peak_10270_lociStitched	chr16	14394799	14405314	1	10516	39582.666	245	1	MIR193B,MIR365-1		MIR193B	MIR193B	3.3048	245	1
2_MACS_peak_12783_lociStitched	chr17	79477511	79487491	2	9045	45930.954	246	1	ACTG1	FSCN2,C17orf70	ACTG1	ACTG1	3.2909	246	1
2_MACS_peak_17307_lociStitched	chr2	241498465	241509469	2	9713	43015.7364	247	1	DUSP28,RNPEPL1	CAPN10,GPR35,ANKMY1	RNPEPL1	RNPEPL1	1.564	247	1
2_MACS_peak_1736_lociStitched	chr1	150967903	150982000	2	11833	30639.8295	248	1	ANXA9,PRUNE,FAM63A	BNIPL,C1orf56,LASS2	FAM63A	LASS2	1.8654	248	1
4_MACS_peak_15199_lociStitched	chr2	11883411	11895869	4	11705	31293.2502	250	1	LPIN1		LPIN1	LPIN1	0.4152	250	1
7_MACS_peak_5296_lociStitched	chr11	82666347	82683836	7	12134	27819.7523	251	1			C11orf82	C11orf82	NONE	251	1
1_MACS_peak_6845_lociStitched	chr12	109020345	109031641	1	11297	34128.6048	252	1	SELPLG	TMEM119	SELPLG	SELPLG	1.6303	252	1
2_MACS_peak_15832_lociStitched	chr2	70311849	70323183	2	7060	51791.8464	254	1	PCBP1,LOC400960	LOC100133985	PCBP1	PCBP1	4.3532	254	1
4_MACS_peak_12398_lociStitched	chr17	62197206	62209986	4	12307	25488.432	255	1	ERN1	SNORD104,SNORA76	ERN1	SNORD104	1.2115	255	1
1_MACS_peak_20375_lociStitched	chr3	126626539	126637128	1	10590	37702.1345	256	1	CHCHD6		PLXNA1	PLXNA1	NONE	256	1
1_MACS_peak_14832_lociStitched	chr19	50423657	50434346	1	10690	37045.9362	258	1	ATF5,NUP62,IL4I1	TBC1D17,SIGLEC16,AKT1S1,IL4I1,SIGLEC11	ATF5	ATF5	2.0009	258	1
2_MACS_peak_8863_lociStitched	chr15	23608056	23619435	2	11005	34919.8752	259	1			GOLGA8E	GOLGA8E	NONE	259	1
3_MACS_peak_14548_lociStitched	chr19	42438644	42452117	3	9633	42041.1492	260	1		RABAC1,ATP1A3	RABAC1	RABAC1	0.4946	260	1
1_MACS_peak_11689_lociStitched	chr17	21245465	21254397	1	8933	44926.1736	261	1		KCNJ12	KCNJ12	KCNJ12	0.1455	261	1
3_MACS_peak_9538_lociStitched	chr15	75329341	75341727	3	9146	44028.5142	262	1	PPCDC	SCAMP5	PPCDC	PPCDC	1.6193	262	1
5_MACS_peak_17180_lociStitched	chr2	232534993	232552892	5	10428	37904.7123	263	1		PTMA,MIR1244-1	PTMA	PTMA	5.0731	263	1
2_MACS_peak_16264_lociStitched	chr2	112455535	112465827	2	9662	41719.6512	264	1			ANAPC1	ANAPC1	NONE	264	1
5_MACS_peak_25835_lociStitched	chr7	29713120	29726370	5	11607	30159.65	265	1	DPY19L2P3,LOC646762,LOC100271874		LOC646762	LOC646762	0.8572	265	1
2_MACS_peak_11782_lociStitched	chr17	29636581	29648906	2	12262	24202.6025	266	1	NF1,EVI2B,EVI2A	OMG	EVI2B	EVI2B	0.9691	266	1
3_MACS_peak_9516_lociStitched	chr15	75068811	75083212	3	12327	23493.7914	267	1	CSK	CYP1A2,LMAN1L,CPLX3	CSK	CSK	0.7921	267	1
3_MACS_peak_24234_lociStitched	chr6	27791013	27808178	3	9766	40914.494	268	1	HIST1H4J,HIST1H2BN,HIST1H4K,HIST1H2AK	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H2AL,HIST1H2BL,HIST1H2AJ,HIST1H1B,HIST1H3I,HIST1H4L	HIST1H4K	HIST1H3H	1.8207	268	1
3_MACS_peak_11203_lociStitched	chr16	89032407	89046309	3	10461	36925.1022	269	1	CBFA2T3	CBFA2T3	CBFA2T3	CBFA2T3	0.4022	269	1
1_MACS_peak_6455_lociStitched	chr12	57075326	57084287	1	8962	43936.6791	270	1	PTGES3	BAZ2A,SNORD59B,SNORD59A,ATP5B,NACA	PTGES3	PTGES3	1.3439	270	1
1_MACS_peak_5561_lociStitched	chr11	115057918	115066253	1	8336	46324.263	271	1	CADM1		CADM1	CADM1	0.5827	271	1
4_MACS_peak_19045_lociStitched	chr22	39910942	39929084	4	9707	40587.2824	272	1	SMCR7L,ATF4,RPS19BP1	MGAT3,CACNA1I	ATF4	ATF4	2.4247	272	1
3_MACS_peak_29593_lociStitched	chr9	132244317	132260191	3	9915	39497.6868	273	1			C9orf50	C9orf50	NONE	273	1
3_MACS_peak_14177_lociStitched	chr19	19050467	19061783	3	10372	37037.268	274	1	HOMER3	DDX49,GDF1,COPE,HOMER3	HOMER3	HOMER3	0.6428	274	1
3_MACS_peak_24152_lociStitched	chr6	26020597	26035008	3	9684	40321.978	275	1	HIST1H3A,HIST1H4A,HIST1H4B,HIST1H3B,HIST1H2AB	HIST1H3C,HIST1H1A,HIST1H2BB,HIST1H1C	HIST1H4B	HIST1H1C	1.6589	275	1
5_MACS_peak_17921_lociStitched	chr20	46114740	46132169	5	11977	25021.0724	276	1	NCOA3		NCOA3	NCOA3	0.172	276	1
2_MACS_peak_26640_lociStitched	chr7	104576791	104587368	2	9846	39278.7472	277	1		LOC723809	LOC723809	LOC723809	0.2191	277	1
3_MACS_peak_11727_lociStitched	chr17	27043873	27056319	3	10400	35697.6172	280	1	RPL23A,SNORD42B,SNORD4A,SNORD42A,SNORD4B,NEK8,RAB34,TLCD1	TRAF4,PROCA1	SNORD42A	SNORD42A	2.8934	280	1
2_MACS_peak_10250_lociStitched	chr16	12056013	12071273	2	11025	31682.812	281	1	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	2.2884	281	1
6_MACS_peak_18930_lociStitched	chr22	37608261	37627844	6	12012	23427.1429	282	1	SSTR3,RAC2	C1QTNF6	SSTR3	SSTR3	0.4915	282	1
2_MACS_peak_16910_lociStitched	chr2	202115840	202126801	2	10732	33481.4706	283	1	CASP8		CASP8	CASP8	0.7094	283	1
1_MACS_peak_12098_lociStitched	chr17	43298298	43307888	1	9591	39764.935	284	1	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	1.3254	284	1
2_MACS_peak_13584_lociStitched	chr19	2617239	2628466	2	8420	44198.4536	285	1	GNG7		GNG7	GNG7	0.6439	285	1
1_MACS_peak_7163_lociStitched	chr12	125398282	125406607	1	8326	44547.9075	286	1	UBC	SCARB1	UBC	UBC	2.8169	286	1
1_MACS_peak_1718_lociStitched	chr1	150580009	150588051	1	8043	45454.1882	287	1		MCL1,ENSA	ENSA	MCL1	3.0012	287	1
5_MACS_peak_30124_lociStitched	chrX	48768128	48782059	5	11707	24362.5328	288	1	SLC35A2,PIM2,OTUD5	PQBP1,TIMM17B,KCND1	PIM2	PIM2	1.5143	288	1
4_MACS_peak_14805_lociStitched	chr19	49989961	50005203	4	10598	32968.446	289	1	RPL13AP5,RPL13A,SNORD32A,SNORD33,SNORD35A,SNORD34,RPS11,SNORD35B,MIR150	ALDH16A1,FLT3LG,FCGRT,RCN3,SLC17A7,PIH1D1	RPS11	ALDH16A1	1.9946	289	1
3_MACS_peak_14443_lociStitched	chr19	39338808	39348948	3	7234	47700.588	290	1	HNRNPL	NFKBIB,LGALS4,ECH1,RINL,SIRT2	HNRNPL	HNRNPL	1.9259	290	1
2_MACS_peak_17441_lociStitched	chr20	9486547	9497500	2	10653	32337.6372	291	1	C20orf103		C20orf103	C20orf103	0.6168	291	1
3_MACS_peak_18320_lociStitched	chr21	34600895	34612595	3	11319	27198.99	292	1	IFNAR2	IL10RB	IFNAR2	IFNAR2	0.7126	292	1
5_MACS_peak_12496_lociStitched	chr17	70582722	70602642	5	11928	21145.08	293	1	LOC100499467,FLJ26484		LOC100499467	LOC100499467	0.1413	293	1
5_MACS_peak_9841_lociStitched	chr15	93340603	93354706	5	10356	33622.9623	294	1		ASB9P1	ASB9P1	ASB9P1	0.3675	294	1
1_MACS_peak_1845_lociStitched	chr1	154970620	154977550	1	6931	48015.891	295	1	ZBTB7B	CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2	ZBTB7B	PBXIP1	3.9058	295	1
4_MACS_peak_24615_lociStitched	chr6	45643278	45658036	4	11758	22303.7654	296	1			RUNX2	RUNX2	0.6037	296	1
5_MACS_peak_29441_lociStitched	chr9	126079249	126091855	5	11812	21708.7926	297	1		CRB2,STRBP	CRB2	STRBP	0.1334	297	1
6_MACS_peak_22602_lociStitched	chr5	37797006	37813467	6	10951	28484.1144	298	1	GDNF		GDNF	GDNF	1.0036	298	1
2_MACS_peak_7208_lociStitched	chr12	131354827	131366014	2	9248	38656.6785	299	1	RAN	STX2	RAN	RAN	2.7239	299	1
3_MACS_peak_23781_lociStitched	chr5	176726465	176740684	3	10832	28703.8953	301	1	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	PRELID1	PRELID1	1.5406	301	1
3_MACS_peak_23058_lociStitched	chr5	100224893	100240681	3	11533	22388.9628	302	1	ST8SIA4		ST8SIA4	ST8SIA4	0.3353	302	1
2_MACS_peak_7724_lociStitched	chr13	114827957	114835855	2	7734	43826.002	305	1	RASA3		RASA3	RASA3	0.6107	305	1
1_MACS_peak_19418_lociStitched	chr3	13050365	13061540	1	11176	24918.015	306	1	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.262	306	1
2_MACS_peak_12937_lociStitched	chr18	9060468	9074464	2	11224	24171.092	307	1		NDUFV2	NDUFV2	NDUFV2	0.6927	307	1
4_MACS_peak_1407_lociStitched	chr1	110331735	110350175	4	10373	30496.072	308	1		GSTM3,EPS8L3	EPS8L3	EPS8L3	0.0914	308	1
4_MACS_peak_5654_lociStitched	chr11	119551257	119566635	4	10549	29198.2086	309	1	PVRL1		PVRL1	PVRL1	0.7377	309	1
2_MACS_peak_13883_lociStitched	chr19	11198997	11208442	2	9437	35739.88	310	1	LDLR		LDLR	LDLR	0.787	310	1
1_MACS_peak_2863_lociStitched	chr1	234741636	234748776	1	7141	45022.698	311	1	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	3.5395	311	1
1_MACS_peak_459_lociStitched	chr1	23850621	23858962	1	8342	40664.0432	312	1	E2F2	ASAP3,ID3	E2F2	ID3	1.833	312	1
3_MACS_peak_26594_lociStitched	chr7	101921170	101935590	3	11062	24485.16	313	1	CUX1,SH2B2	MIR4285	SH2B2	SH2B2	1.196	313	1
2_MACS_peak_23154_lociStitched	chr5	118668321	118680338	2	11377	21345.7971	314	1	TNFAIP8	TNFAIP8	TNFAIP8	TNFAIP8	0.3712	314	1
2_MACS_peak_1822_lociStitched	chr1	154370452	154381673	2	9092	37235.7664	315	1	IL6R		IL6R	IL6R	0.9219	315	1
1_MACS_peak_26267_lociStitched	chr7	74070743	74077466	1	6724	46119.1077	316	1	GTF2I		GTF2I	GTF2I	0.4648	316	1
2_MACS_peak_17899_lociStitched	chr20	45173080	45185016	2	10659	27011.168	319	1	C20orf123	ZNF334	C20orf123	C20orf123	1.4152	319	1
1_MACS_peak_27430_lociStitched	chr8	29628862	29634789	1	5928	47661.9705	321	1		C8orf75	C8orf75	C8orf75	0.3092	321	1
4_MACS_peak_28023_lociStitched	chr8	101440811	101455846	4	10773	25479.8145	322	1			ANKRD46	ANKRD46	NONE	322	1
1_MACS_peak_13162_lociStitched	chr18	42258023	42264444	1	6422	46089.938	324	1	SETBP1		SETBP1	SETBP1	1.0168	324	1
3_MACS_peak_28071_lociStitched	chr8	103539763	103550453	3	10000	30743.371	325	1		ODF1	ODF1	ODF1	0.2613	325	1
4_MACS_peak_27858_lociStitched	chr8	81072964	81084485	4	11125	21649.1111	326	1	TPD52		TPD52	TPD52	0.6	326	1
3_MACS_peak_23442_lociStitched	chr5	142778083	142785766	3	7292	43249.9119	327	1	NR3C1		NR3C1	NR3C1	0.3706	327	1
5_MACS_peak_18153_lociStitched	chr20	61516238	61532307	5	10286	28131.9983	329	1	DIDO1	DPH3P1,C20orf11,TCFL5	TCFL5	C20orf11	1.2536	329	1
2_MACS_peak_12659_lociStitched	chr17	75432447	75442906	2	8851	36506.0936	330	1	SEPT9	SEPT9,MIR4316	SEPT9	SEPT9	0.4172	330	1
3_MACS_peak_2017_lociStitched	chr1	161121411	161137602	3	8644	37159.9641	331	1	UFC1,USP21,PPOX	NIT1,NDUFS2,FCER1G,PFDN2,DEDD,B4GALT3,ADAMTS4	USP21	B4GALT3	2.8719	331	1
3_MACS_peak_11017_lociStitched	chr16	79629558	79641951	3	9371	33303.7089	333	1	MAF		MAF	MAF	1.9418	333	1
2_MACS_peak_9923_lociStitched	chr15	101782963	101793460	2	9748	31028.0823	334	1	CHSY1	SELS,SNRPA1	CHSY1	CHSY1	1.0138	334	1
4_MACS_peak_23885_lociStitched	chr6	388979	400531	4	10189	27948.9088	335	1	IRF4		IRF4	IRF4	1.0294	335	1
2_MACS_peak_17911_lociStitched	chr20	45980247	45989912	2	8078	39188.6755	337	1	ZMYND8	LOC100131496	ZMYND8	ZMYND8	0.4483	337	1
1_MACS_peak_9790_lociStitched	chr15	90637228	90646622	1	9395	32508.8764	338	1	IDH2		IDH2	IDH2	1.2311	338	1
2_MACS_peak_612_lociStitched	chr1	28195100	28205170	2	8030	39126.985	339	1	C1orf38	PPP1R8,SCARNA1,RPA2	C1orf38	C1orf38	1.9913	339	1
3_MACS_peak_17121_lociStitched	chr2	227655121	227666191	3	9829	29699.703	341	1	IRS1	RHBDD1	IRS1	IRS1	0.6194	341	1
1_MACS_peak_1968_lociStitched	chr1	158978138	158986205	1	8068	38720.7933	342	1	IFI16		IFI16	IFI16	0.7864	342	1
2_MACS_peak_28194_lociStitched	chr8	119573715	119582300	2	8432	37070.03	343	1	SAMD12		SAMD12	SAMD12	0.2571	343	1
4_MACS_peak_27223_lociStitched	chr8	12366200	12382247	4	10484	24455.628	344	1			FAM86B2	FAM86B2	NONE	344	1
3_MACS_peak_14060_lociStitched	chr19	16244426	16261408	3	10700	22497.7536	345	1	RAB8A,HSH2D	FAM32A,AP1M1,CIB3	HSH2D	HSH2D	0.7748	345	1
4_MACS_peak_753_lociStitched	chr1	36608608	36627203	4	9714	29683.1985	346	1	MAP7D1,TRAPPC3	COL8A2	TRAPPC3	TRAPPC3	0.4876	346	1
2_MACS_peak_13778_lociStitched	chr19	7980427	7991355	2	7285	41277.2416	347	1	LOC645781,SNAPC2,CTXN1	LRRC8E,MAP2K7,FLJ22184,LOC388499,TIMM44	SNAPC2	SNAPC2	3.2201	347	1
3_MACS_peak_7726_lociStitched	chr13	114863527	114877440	3	10543	22942.537	348	1	RASA3		RASA3	RASA3	0.6107	348	1
1_MACS_peak_3786_lociStitched	chr10	89620856	89629533	1	8678	35152.2624	349	1	PTEN,KILLIN	CFLP1,ATAD1	PTEN	PTEN	0.3569	349	1
3_MACS_peak_1806_lociStitched	chr1	153929678	153941425	3	7813	38976.546	350	1	CREB3L4,CRTC2,SLC39A1	RPS27,GATAD2B,DENND4B,JTB,RAB13	CRTC2	CRTC2	2.3578	350	1
