REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X13_0EWZ_0229Kronos_MM1S.KB.1hr.1_H3K27Ac_hs.dm_i22.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
3_MACS_peak_20353_lociStitched	chr6	31694529	31709328	3	11950	44826.171	3081.1518	162	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	CLIC1	2.6162	162	1
2_MACS_peak_20834_lociStitched	chr6	90057232	90071217	2	13908	43987.0205	2301.931	163	UBE2J1	GABRR2	UBE2J1	UBE2J1	1.0270000000000001	163	1
1_MACS_peak_7766_lociStitched	chr15	56656325	56666336	1	10012	43592.8995	1926.1164	164	TEX9		TEX9	TEX9	0.44320000000000004	164	1
1_MACS_peak_262_lociStitched	chr1	23850389	23858871	1	8483	43415.117	1893.1824	165	E2F2	ASAP3,ID3	E2F2	E2F2	1.2368000000000001	165	1
2_MACS_peak_10585_lociStitched	chr17	78873603	78886948	2	7533	43180.4165	1702.822	166	RPTOR		CHMP6	CHMP6	NONE	166	1
5_MACS_peak_8180_lociStitched	chr15	89646685	89674994	5	14271	46053.0812	4608.7052	167	ABHD2		ABHD2	ABHD2	0.3704	167	1
2_MACS_peak_6646_lociStitched	chr13	115039552	115048735	2	8222	43137.1425	1753.953	168	UPF3A	CDC16,ZNF828	UPF3A	UPF3A	1.1878	168	1
2_MACS_peak_9444_lociStitched	chr17	6063697	6071202	2	6517	42635.905	1387.6745	169			WSCD1	WSCD1	NONE	169	1
2_MACS_peak_12649_lociStitched	chr2	47526797	47539574	2	7505	43462.2432	2488.9596	170			EPCAM	EPCAM	NONE	170	1
2_MACS_peak_9421_lociStitched	chr17	4842072	4854526	2	10221	43195.4536	2279.082	171	RNF167,ENO3,SLC25A11,PFN1	C17orf107,GP1BA,KIF1C,CHRNE,SPAG7,CAMTA2,INCA1	PFN1	PFN1	2.6018	171	1
2_MACS_peak_11257_lociStitched	chr19	3499562	3507589	2	4423	42695.613	1864.6721	172	FZR1,DOHH	FZR1,C19orf71,C19orf77,C19orf28	DOHH	DOHH	1.7607000000000002	172	1
4_MACS_peak_3703_lociStitched	chr11	10323653	10345072	4	15797	44594.358	3767.6021	173	ADM	SBF2	ADM	ADM	2.5610999999999997	173	1
1_MACS_peak_5524_lociStitched	chr12	62995330	62998363	1	3034	41006.16	656.6445	174	MIRLET7I,C12orf61		C12orf61	C12orf61	3.438	174	1
4_MACS_peak_17111_lociStitched	chr3	156804766	156824441	4	10668	45569.2675	5373.2425	175	LOC100498859,LOC339894		LOC100498859	LOC100498859	1.8715000000000002	175	1
3_MACS_peak_16885_lociStitched	chr3	129026483	129048429	3	14186	43641.8156	3746.1822	176	C3orf47,H1FX	C3orf37	H1FX	H1FX	2.9105	176	1
2_MACS_peak_14869_lociStitched	chr20	56047722	56058254	2	9300	41433.9412	1933.6752	177		CTCFL	CTCFL	CTCFL	0.006199999999999997	177	1
1_MACS_peak_7969_lociStitched	chr15	74674383	74678786	1	4404	40512.4433	1058.0409	178		CYP11A1,SEMA7A	CYP11A1	SEMA7A	0.0529	178	1
3_MACS_peak_7542_lociStitched	chr15	40387779	40408972	3	14654	43343.9236	4113.5613	179	BMF	BUB1B	BMF	BMF	1.3518999999999999	179	1
3_MACS_peak_1493_lociStitched	chr1	155936899	155951932	3	14876	43057.5186	3884.5272	180	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	ARHGEF2	1.2547000000000001	180	1
1_MACS_peak_4341_lociStitched	chr11	72523440	72527389	1	3950	39908.594	816.2583	181	ATG16L2	STARD10	ATG16L2	ATG16L2	1.7883	181	1
1_MACS_peak_20580_lociStitched	chr6	45386711	45395949	1	9239	40607.4766	1551.984	182	RUNX2	SUPT3H	RUNX2	RUNX2	0.1795	182	1
1_MACS_peak_12018_lociStitched	chr19	47613776	47617795	1	4020	39886.9674	897.8446	183	ZC3H4	SAE1	ZC3H4	ZC3H4	0.6442	183	1
1_MACS_peak_20925_lociStitched	chr6	106610212	106617092	1	6881	40554.16	1626.432	184			PRDM1	PRDM1	2.9905999999999997	184	1
5_MACS_peak_4794_lociStitched	chr11	128585504	128609843	5	19505	43299.081	4417.5285	185	FLI1		FLI1	FLI1	0.42879999999999996	185	1
3_MACS_peak_16607_lociStitched	chr3	98479753	98495822	3	14561	41613.8893	2816.8957	186	ST3GAL6		ST3GAL6	ST3GAL6	0.7642	186	1
3_MACS_peak_17381_lociStitched	chr3	186703368	186719704	3	11471	42754.5792	4008.8544	187	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	0.5911	187	1
1_MACS_peak_9862_lociStitched	chr17	36856326	36863551	1	7226	40017.1075	1349.63	188	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	MLLT6	1.1923	188	1
2_MACS_peak_13864_lociStitched	chr2	202116267	202128333	2	9983	41028.0198	2438.5386	189	CASP8		CASP8	CASP8	0.7421	189	1
1_MACS_peak_14722_lociStitched	chr20	44598354	44601858	1	3505	39202.0512	738.6432	190	ZNF335	PCIF1,MMP9,SLC12A5	ZNF335	ZNF335	1.1502	190	1
2_MACS_peak_24717_lociStitched	chr9	132646207	132657804	2	7744	40287.978	2025.9959	191	FNBP1	USP20,C9orf78	USP20	C9orf78	0.3249	191	1
3_MACS_peak_7984_lociStitched	chr15	75065426	75083737	3	16951	41435.9619	3211.7494	192	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	CSK	1.2136999999999998	192	1
5_MACS_peak_11199_lociStitched	chr19	1846894	1865637	5	11248	41440.773	3448.712	193	REXO1,KLF16	LOC100288123,SCAMP4,ADAT3,ATP8B3,MIR1909,FAM108A1	KLF16	KLF16	1.7946	193	1
1_MACS_peak_12986_lociStitched	chr2	86261911	86267286	1	5376	39052.0625	1183.575	194	POLR1A	LOC90784	LOC90784	NONE	NONE	194	1
4_MACS_peak_2018_lociStitched	chr1	206728010	206754312	4	17951	43629.7576	5881.1272	195	RASSF5	LGTN	RASSF5	RASSF5	0.41819999999999996	195	1
2_MACS_peak_2787_lociStitched	chr10	43890646	43905966	2	11955	39874.896	2137.14	196	HNRNPF	FXYD4,ZNF487P	HNRNPF	HNRNPF	0.7398	196	1
2_MACS_peak_22777_lociStitched	chr8	1991089	2000453	2	7022	39499.2248	1889.6552	197	MYOM2		MYOM2	MYOM2	1.819	197	1
2_MACS_peak_21826_lociStitched	chr7	44661740	44680120	2	14644	41003.942	3473.82	198	OGDH	DDX56,TMED4	OGDH	TMED4	0.6834	198	1
4_MACS_peak_12048_lociStitched	chr19	48880260	48902374	4	11053	40592.4584	3308.2544	199	GRIN2D,KDELR1	SYNGR4,GRWD1,TMEM143	KDELR1	KDELR1	1.8558999999999999	199	1
2_MACS_peak_2228_lociStitched	chr1	226308590	226316850	2	5657	39523.274	2435.874	200			ACBD3	ACBD3	NONE	200	1
6_MACS_peak_18553_lociStitched	chr4	185317566	185350027	6	18005	41903.9049	4846.4273	201	IRF2		IRF2	IRF2	1.1955	201	1
2_MACS_peak_16249_lociStitched	chr3	46245943	46257076	2	8729	39174.8004	2185.4079	202	CCR1	CCR3	CCR1	CCR1	1.8283	202	1
4_MACS_peak_15702_lociStitched	chr22	39910181	39929555	4	13027	40774.5204	3799.2414	203	SMCR7L,ATF4,RPS19BP1	MGAT3,CACNA1I	ATF4	ATF4	1.9886	203	1
2_MACS_peak_15154_lociStitched	chr21	41296031	41309042	2	7426	40119.4185	3185.0928	204	PCP4		PCP4	PCP4	0.17930000000000001	204	1
3_MACS_peak_16354_lociStitched	chr3	50357715	50376585	3	8338	39743.994	3187.143	205	HYAL2,TUSC2,RASSF1	C3orf45,CYB561D2,IFRD2,NAT6,HYAL3,HYAL1,ZMYND10,NPRL2,TMEM115	TUSC2	TUSC2	1.8440999999999999	205	1
5_MACS_peak_19156_lociStitched	chr5	87954655	87976781	5	10699	39722.8078	3186.144	206	LOC645323,MIR9-2		MIR9-2	MIR9-2	0.1844	206	1
3_MACS_peak_18796_lociStitched	chr5	32581076	32592508	3	10830	38583	2066.9056	207	SUB1		SUB1	SUB1	1.3001	207	1
1_MACS_peak_1482_lociStitched	chr1	155656795	155659770	1	2976	37579.9025	1151.325	208	DAP3,YY1AP1	YY1AP1	YY1AP1	YY1AP1	0.9064000000000001	208	1
2_MACS_peak_7382_lociStitched	chr15	23660125	23669370	2	7379	38798.4915	2413.8695	209			MKRN3	MKRN3	NONE	209	1
4_MACS_peak_10496_lociStitched	chr17	75079033	75093072	4	12596	39282.5259	2973.4602	210	C17orf86,SCARNA16	SEC14L1	SCARNA16	SCARNA16	2.4766	210	1
4_MACS_peak_21341_lociStitched	chr6	157976669	157999819	4	13318	38301.675	1995.53	211	ZDHHC14	MIR3692	MIR3692	NONE	NONE	211	1
5_MACS_peak_17202_lociStitched	chr3	171802350	171826957	5	16045	42058.2844	5804.7913	212	FNDC3B		FNDC3B	FNDC3B	0.10400000000000004	212	1
1_MACS_peak_2413_lociStitched	chr1	244996354	245001259	1	4906	37611.0495	1449.918	213	FAM36A	NCRNA00201,HNRNPU	FAM36A	FAM36A	1.839	213	1
4_MACS_peak_19864_lociStitched	chr5	176717220	176740598	4	14313	40378.4816	4219.729	214	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	RAB24	RAB24	2.0222	214	1
3_MACS_peak_20526_lociStitched	chr6	42737792	42752255	3	8261	38245.9572	2118.8295	215		LOC442211,KIAA0240,PRPH2,TBCC	TBCC	TBCC	0.7601	215	1
1_MACS_peak_15649_lociStitched	chr22	38900206	38903746	1	3541	36630.504	776.676	216	DDX17	KDELR3,KCNJ4,DDX17	DDX17	DDX17	1.0823999999999998	216	1
1_MACS_peak_10357_lociStitched	chr17	66230163	66236314	1	6152	36968.7402	1164.9994	217		LOC440461,AMZ2,ARSG	AMZ2	AMZ2	0.6714	217	1
2_MACS_peak_10321_lociStitched	chr17	62980062	62986061	2	5636	36932.2436	1138.6102	218		AMZ2P1	AMZ2P1	AMZ2P1	0.7316	218	1
8_MACS_peak_10405_lociStitched	chr17	72733645	72773559	8	22806	41690.173	6027.014	219	RAB37,SLC9A3R1,MIR3615,TMEM104,NAT9	CD300LF	SLC9A3R1	SLC9A3R1	0.8685	219	1
2_MACS_peak_19493_lociStitched	chr5	137666455	137675176	2	3821	36937.7955	1472.1048	220	FAM53C,CDC25C	KDM3B	FAM53C	FAM53C	1.7533999999999998	220	1
1_MACS_peak_8002_lociStitched	chr15	75334341	75340926	1	6586	37193.397	1749.6345	221	PPCDC	SCAMP5	PPCDC	PPCDC	1.2453	221	1
3_MACS_peak_19910_lociStitched	chr5	180228372	180249198	3	14163	38703.0384	3382.1424	222	MGAT1	LOC729678,ZFP62	MGAT1	LOC729678	0.9933	222	1
4_MACS_peak_12637_lociStitched	chr2	47193826	47214988	4	11765	38671.4388	3368.9904	223	TTC7A	MCFD2	MCFD2	MCFD2	0.33909999999999996	223	1
1_MACS_peak_15468_lociStitched	chr22	29662627	29666404	1	3778	35969.8818	725.5617	224	EWSR1,RHBDD3	GAS2L1,RASL10A	EWSR1	EWSR1	0.8320000000000001	224	1
2_MACS_peak_10245_lociStitched	chr17	57695472	57700569	2	4372	35978.7036	778.8216	225	CLTC		CLTC	CLTC	0.39139999999999997	225	1
1_MACS_peak_12530_lociStitched	chr2	37600995	37606322	1	5328	36130.3775	1114.4084	226		QPCT	QPCT	QPCT	2.1113999999999997	226	1
4_MACS_peak_11891_lociStitched	chr19	42037829	42062041	4	16957	38998.2684	3982.874	227		CEACAM21	CEACAM21	NONE	NONE	227	1
1_MACS_peak_9561_lociStitched	chr17	17139316	17141802	1	2487	35510.7698	541.2022	228	FLCN	PLD6,COPS3	FLCN	FLCN	0.9936999999999999	228	1
1_MACS_peak_2416_lociStitched	chr1	245132417	245136299	1	3883	35894.1366	1004.6616	229	EFCAB2		EFCAB2	EFCAB2	0.22629999999999997	229	1
1_MACS_peak_22274_lociStitched	chr7	101946322	101951955	1	5634	35916.5713	1090.5488	230	SH2B2	MIR4285,SPDYE6	MIR4285	MIR4285	0.8763000000000001	230	1
4_MACS_peak_3089_lociStitched	chr10	81001235	81020435	4	13837	37895.04	3100.8	231	ZMIZ1		PPIF	PPIF	NONE	231	1
2_MACS_peak_15461_lociStitched	chr22	29207173	29221444	2	10986	37445.6769	2674.3854	232		CCDC117,XBP1	XBP1	XBP1	4.3994	232	1
3_MACS_peak_21899_lociStitched	chr7	55569592	55585987	3	14485	37498.644	2739.6045	233	VOPP1		VOPP1	VOPP1	1.3365	233	1
1_MACS_peak_11806_lociStitched	chr19	38536998	38541113	1	4116	35642.484	890.486	234	SIPA1L3		SIPA1L3	SIPA1L3	0.1231	234	1
1_MACS_peak_2617_lociStitched	chr10	15826565	15832629	1	6065	35987.4144	1237.6624	235	FAM188A		ITGA8	ITGA8	NONE	235	1
3_MACS_peak_10638_lociStitched	chr17	80405898	80423974	3	8099	37540.2368	2879.5068	236	NARF,C17orf62	HEXDC,C17orf101	NARF	NARF	0.32089999999999996	236	1
3_MACS_peak_10545_lociStitched	chr17	76711063	76733667	3	18418	38476.5288	3835.8988	237	CYTH1		CYTH1	CYTH1	0.5943999999999999	237	1
1_MACS_peak_19190_lociStitched	chr5	90674308	90681056	1	6749	35923.6528	1284.8192	238	LOC100129716,ARRDC3		ARRDC3	ARRDC3	1.4076	238	1
2_MACS_peak_17517_lociStitched	chr4	1712289	1725141	2	8032	36521.5284	1990.7748	239	TACC3,SLBP,TMEM129	FAM53A	TMEM129	TMEM129	2.2419	239	1
2_MACS_peak_11193_lociStitched	chr19	1647490	1654067	2	6531	35696.6675	1189.7793	240	TCF3	UQCR11	TCF3	TCF3	0.8794	240	1
1_MACS_peak_12985_lociStitched	chr2	86220361	86228260	1	7900	36007.5915	1503.9696	241		LOC90784	LOC90784	NONE	NONE	241	1
3_MACS_peak_25142_lociStitched	chrX	48790442	48805700	3	10757	36079.0668	1580.7288	242	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	OTUD5	1.1121999999999999	242	1
2_MACS_peak_8566_lociStitched	chr16	14492083	14501813	2	5219	36113.868	1616.153	243			MIR365-1	MIR365-1	NONE	243	1
1_MACS_peak_5728_lociStitched	chr12	94597061	94603672	1	6612	35760.8823	1340.7108	244	PLXNC1		PLXNC1	PLXNC1	0.4731000000000001	244	1
2_MACS_peak_20225_lociStitched	chr6	26358037	26367294	2	8610	36205.9784	1788.4524	245	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	BTN3A2	1.0714000000000001	245	1
1_MACS_peak_10728_lociStitched	chr18	9132645	9152419	1	19775	38090.6562	3705.6476	246	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.22099999999999997	246	1
3_MACS_peak_5285_lociStitched	chr12	48201012	48218841	3	14008	37362.4524	3014.8839	247	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	0.7666999999999999	247	1
3_MACS_peak_12097_lociStitched	chr19	50369429	50382083	3	7316	36749.7468	2561.1696	248	TBC1D17,PNKP,AKT1S1	MED25,PTOV1,ATF5,IL4I1	AKT1S1	AKT1S1	1.8537000000000001	248	1
1_MACS_peak_20982_lociStitched	chr6	109701857	109705177	1	3321	34974.208	819.376	249	CD164		CD164	CD164	1.2921	249	1
3_MACS_peak_14865_lociStitched	chr20	55957911	55975427	3	13298	37037.582	2890.14	250	RBM38	RAE1,MTRNR2L3	RBM38	RBM38	1.1583	250	1
1_MACS_peak_2292_lociStitched	chr1	230256735	230261480	1	4746	35540.5245	1405.9435	251	GALNT2		GALNT2	GALNT2	0.3277	251	1
2_MACS_peak_9383_lociStitched	chr17	3459579	3466879	2	4742	35461.21	1387	252	TRPV3	TRPV1	TRPV3	TRPV3	0.6119	252	1
1_MACS_peak_5809_lociStitched	chr12	104321054	104325863	1	4810	35072.9988	1040.1867	253	HSP90B1,MIR3652,GNN	TDG,C12orf73	GNN	GNN	0.3872	253	1
3_MACS_peak_25632_lociStitched	chrX	153233107	153252438	3	10620	35592.2372	1594.8075	254	TMEM187,MIR3202-1,HCFC1,MIR3202-2	ARHGAP4,NAA10,RENBP,IRAK1,MIR718	MIR3202-1	NAA10	1.3296	254	1
1_MACS_peak_17459_lociStitched	chr3	195632082	195637459	1	5378	35708.1193	1724.4039	255	TNK2	TNK2	TNK2	TNK2	0.7157	255	1
1_MACS_peak_350_lociStitched	chr1	27018358	27030692	1	12335	36224.958	2276.8564	256	ARID1A		ARID1A	ARID1A	0.4877	256	1
2_MACS_peak_6833_lociStitched	chr14	50465589	50476689	2	7632	35019.39	1074.48	257	C14orf182		C14orf182	C14orf182	0.9358	257	1
2_MACS_peak_15653_lociStitched	chr22	39095581	39103813	2	6797	35484.036	1709.7864	258	GTPBP1,JOSD1	CBY1,TOMM22,LOC646851,SUN2	GTPBP1	SUN2	0.8513000000000001	258	1
1_MACS_peak_20316_lociStitched	chr6	30581988	30587026	1	5039	35203.5288	1441.3718	259	MRPS18B,PPP1R10	ABCF1,MIR877,ATAT1,C6orf136	PPP1R10	PPP1R10	1.2955	259	1
5_MACS_peak_8663_lociStitched	chr16	22195063	22219356	5	14831	38232.3234	4581.6598	260	EEF2K		EEF2K	EEF2K	0.05900000000000001	260	1
1_MACS_peak_17142_lociStitched	chr3	160116055	160123751	1	7697	35511.6528	2023.2784	261	SMC4,MIR15B,MIR16-2,IFT80	IFT80,TRIM59	SMC4	SMC4	0.779	261	1
2_MACS_peak_16819_lociStitched	chr3	124502034	124511783	2	8332	35164.643	1727.5228	262	ITGB5		UMPS	UMPS	NONE	262	1
2_MACS_peak_5397_lociStitched	chr12	53845345	53873423	2	28003	38393.8572	5121.4272	263	PCBP2	AMHR2,PRR13,TARBP2,MAP3K12,NPFF	PCBP2	PCBP2	0.8806999999999999	263	1
3_MACS_peak_842_lociStitched	chr1	66736839	66750273	3	9946	35958.7878	2712.3246	264	PDE4B	PDE4B	PDE4B	PDE4B	0.067	264	1
2_MACS_peak_11563_lociStitched	chr19	16221476	16231698	2	8966	35171.8576	1975.9126	265	RAB8A	TPM4,HSH2D	RAB8A	HSH2D	1.5814	265	1
2_MACS_peak_2524_lociStitched	chr10	6961825	6972474	2	6211	34525.1229	1628.2321	266			LOC439949	LOC439949	NONE	266	1
3_MACS_peak_22981_lociStitched	chr8	27216572	27239155	3	17497	36649.9507	3834.5934	267	PTK2B	TRIM35	PTK2B	PTK2B	0.4346	267	1
2_MACS_peak_15200_lociStitched	chr21	44726080	44734274	2	6407	34562.292	1854.3022	268			SIK1	SIK1	NONE	268	1
4_MACS_peak_5866_lociStitched	chr12	109161825	109181101	4	9469	36402.726	3768.458	269	SSH1	CORO1C,SSH1	CORO1C	SSH1	0.4905999999999999	269	1
2_MACS_peak_13515_lociStitched	chr2	157188346	157200666	2	7614	34107.92	1641.024	270	NR4A2		NR4A2	NR4A2	0.6287	270	1
1_MACS_peak_19509_lociStitched	chr5	138720017	138730458	1	10442	34997.1879	2593.5444	271	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	MZB1	2.6340000000000003	271	1
1_MACS_peak_14668_lociStitched	chr20	42308534	42312336	1	3803	33437.8296	1062.659	272	MYBL2	GTSF1L	MYBL2	MYBL2	0.5978	272	1
1_MACS_peak_8208_lociStitched	chr15	90637765	90646555	1	8791	34096.41	1777.338	273	IDH2		IDH2	IDH2	1.1872	273	1
1_MACS_peak_5462_lociStitched	chr12	57076408	57083701	1	7294	33465.3891	1319.3037	274	PTGES3	BAZ2A,SNORD59B,SNORD59A,ATP5B,NACA	PTGES3	PTGES3	0.9232999999999999	274	1
5_MACS_peak_8763_lociStitched	chr16	29815535	29833707	5	12249	34890.24	2809.3912	275	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	PRRT2	PRRT2	1.3262	275	1
2_MACS_peak_14692_lociStitched	chr20	43270442	43282146	2	11079	34451.8944	2434.432	276	ADA	LOC79015	ADA	ADA	0.7701	276	1
2_MACS_peak_10457_lociStitched	chr17	73868323	73875654	2	6332	33412.4987	1409.0182	277	TRIM47	UNC13D,WBP2,TRIM65,MRPL38	TRIM47	TRIM47	2.2088	277	1
2_MACS_peak_1431_lociStitched	chr1	154296943	154308046	2	6916	34645.8012	2805.7281	278	AQP10,ATP8B2		ATP8B2	ATP8B2	1.4418	278	1
5_MACS_peak_13999_lociStitched	chr2	219743435	219763122	5	12975	35186.5751	3388.1327	279	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	1.3751000000000002	279	1
4_MACS_peak_11177_lociStitched	chr19	1258420	1277494	4	9900	35513.8806	3717.5226	280	MIDN,CIRBP,C19orf24,C19orf23	ATP5D,EFNA2,C19orf26	CIRBP	CIRBP	1.6578	280	1
1_MACS_peak_24586_lociStitched	chr9	126099994	126103640	1	3647	32655.399	879.7798	281		CRB2	CRB2	NONE	NONE	281	1
2_MACS_peak_17473_lociStitched	chr3	196357891	196371241	2	8629	34835.49	3066.495	282	LRRC33		LRRC33	LRRC33	0.565	282	1
2_MACS_peak_11520_lociStitched	chr19	13949172	13959283	2	8083	33058.9256	1363.9739	283		ZSWIM4,MIR181C,MIR181D,NANOS3,LOC284454,MIR24-2,MIR27A,MIR23A	MIR23A	MIR23A	1.1707999999999998	283	1
1_MACS_peak_11879_lociStitched	chr19	41767722	41772410	1	4689	32746.1488	1184.6576	284	HNRNPUL1	AXL,CCDC97	HNRNPUL1	HNRNPUL1	1.1153000000000002	284	1
2_MACS_peak_1580_lociStitched	chr1	161007661	161018177	2	6210	34536.6472	2981.286	285	TSTD1,USF1,ARHGAP30	KLHDC9,F11R,PVRL4	USF1	USF1	1.8959	285	1
1_MACS_peak_14396_lociStitched	chr20	17945958	17952721	1	6764	32805.9604	1473.6577	286	C20orf72,SNX5	SNORD17	SNX5	SNX5	0.8789	286	1
1_MACS_peak_12008_lociStitched	chr19	47103239	47105604	1	2366	31637.7875	425.4635	287	CALM3	PTGIR,GNG8	CALM3	CALM3	1.5746	287	1
1_MACS_peak_14084_lociStitched	chr2	231729314	231739611	1	10298	32171.9468	1127.5215	288	ITM2C		ITM2C	ITM2C	1.2801	288	1
1_MACS_peak_9507_lociStitched	chr17	8149321	8153819	1	4499	31811.2054	810.5396	289	PFAS,C17orf68	RANGRF,AURKB,C17orf44,SLC25A35	C17orf68	C17orf68	1.3353	289	1
1_MACS_peak_4157_lociStitched	chr11	64898607	64903527	1	4921	32406.564	1426.308	290	SYVN1	ZFPL1,C11orf2,TM7SF2,MRPL49,SPDYC,CAPN1,CDCA5,ZNHIT2,FAU	SYVN1	SYVN1	1.9796000000000002	290	1
2_MACS_peak_22974_lociStitched	chr8	26428275	26437509	2	7818	32810.2488	1886.5062	291	DPYSL2		DPYSL2	DPYSL2	0.184	291	1
2_MACS_peak_15376_lociStitched	chr22	23190160	23209826	2	15786	32789.1218	1905.6354	292		MIR650,IGLL5	IGLL5	IGLL5	8.1031	292	1
1_MACS_peak_15083_lociStitched	chr21	34913084	34916843	1	3760	32025.1764	1199.4969	293	SON,GART	DNAJC28,DONSON	GART	GART	0.6234	293	1
1_MACS_peak_19498_lociStitched	chr5	137909617	137912235	1	2619	31362.331	575.1746	294	HSPA9	ETF1,SNORD63	HSPA9	HSPA9	1.0226	294	1
1_MACS_peak_17191_lociStitched	chr3	170072494	170076676	1	4183	31760.199	998.6616	295	SKIL	SKIL	SKIL	SKIL	0.6415	295	1
3_MACS_peak_4271_lociStitched	chr11	67647287	67659715	3	7061	32647.1132	1892.7844	296			LOC645332	LOC645332	NONE	296	1
1_MACS_peak_20177_lociStitched	chr6	24718879	24722509	1	3631	31451.772	765.93	297	C6orf62		C6orf62	C6orf62	1.2404000000000002	297	1
2_MACS_peak_10489_lociStitched	chr17	74721324	74734962	2	8099	32950.7718	2415.2898	298	C17orf95,MFSD11,JMJD6,SRSF2,MIR636	MXRA7	MIR636	MIR636	1.5985	298	1
1_MACS_peak_4057_lociStitched	chr11	61559080	61561711	1	2632	31236.2844	713.001	299	FEN1,C11orf10,MIR611	C11orf9,FADS2,DKFZP434K028,MIR1908,FADS1	FEN1	FEN1	2.0783	299	1
1_MACS_peak_4351_lociStitched	chr11	72980392	72984729	1	4338	31345.2338	877.8088	300	P2RY6	ARHGEF17	P2RY6	P2RY6	0.7972	300	1
1_MACS_peak_19166_lociStitched	chr5	88175087	88186724	1	11638	32429.9916	2003.8914	301	MEF2C		MEF2C	MEF2C	0.3146	301	1
2_MACS_peak_3804_lociStitched	chr11	19451291	19465782	2	11444	33253.9468	2843.1342	302	NAV2		NAV2	NAV2	0.006499999999999992	302	1
1_MACS_peak_22087_lociStitched	chr7	78114289	78128228	1	13940	32739.9232	2331.9947	303	MAGI2		RPL13AP17	RPL13AP17	NONE	303	1
1_MACS_peak_15309_lociStitched	chr22	19464992	19468274	1	3283	31139.9442	738.45	304	CDC45,UFD1L	MRPL40,HIRA,C22orf39,CLDN5	UFD1L	MRPL40	1.2321	304	1
2_MACS_peak_9609_lociStitched	chr17	18964192	18974444	2	5485	31948.3076	1643.3956	305		GRAP	GRAP	GRAP	0.044099999999999986	305	1
3_MACS_peak_11560_lociStitched	chr19	16180409	16198069	3	9324	33006.54	2717.874	306	TPM4	FLJ25328,RAB8A,HSH2D	TPM4	HSH2D	1.5814	306	1
2_MACS_peak_13708_lociStitched	chr2	182168462	182180112	2	11469	32057.305	1901.28	307			ITGA4	ITGA4	NONE	307	1
1_MACS_peak_2743_lociStitched	chr10	32634482	32637139	1	2658	30633.3501	498.7189	308	EPC1		EPC1	EPC1	0.315	308	1
4_MACS_peak_8168_lociStitched	chr15	89163778	89184306	4	14042	33536.5936	3419.9648	309	AEN,ISG20	MIR1179,MIR7-2	ISG20	ISG20	0.742	309	1
1_MACS_peak_14739_lociStitched	chr20	45978901	45987268	1	8368	31720.9704	1613.9943	310	ZMYND8	LOC100131496	ZMYND8	ZMYND8	0.2238	310	1
1_MACS_peak_1232_lociStitched	chr1	143741993	143746101	1	4109	31530.954	1475.1828	311	LOC100286793,FLJ39739	PPIAL4G	FLJ39739	FLJ39739	0.3495	311	1
3_MACS_peak_4599_lociStitched	chr11	111237885	111251256	3	11881	32270.9085	2240.9796	312	POU2AF1		POU2AF1	POU2AF1	0.8446	312	1
1_MACS_peak_17435_lociStitched	chr3	194022842	194026471	1	3630	31076.5786	1107.2079	313	LOC100131551	CPN2	LOC100131551	LOC100131551	1.4469	313	1
2_MACS_peak_1912_lociStitched	chr1	200856760	200863357	2	5377	31683.4119	1736.9901	314	C1orf106	GPR25,C1orf106	C1orf106	C1orf106	0.9118000000000002	314	1
4_MACS_peak_3105_lociStitched	chr10	81946560	81966089	4	12382	33062.597	3196.8973	315	ANXA11		ANXA11	ANXA11	0.515	315	1
1_MACS_peak_8311_lociStitched	chr15	101738001	101744256	1	6256	30994.776	1219.725	316	CHSY1		CHSY1	CHSY1	0.4217	316	1
2_MACS_peak_9280_lociStitched	chr16	89033538	89046089	2	8780	30679.6644	1025.4167	317	CBFA2T3	CBFA2T3	CBFA2T3	CBFA2T3	0.26530000000000004	317	1
1_MACS_peak_22313_lociStitched	chr7	104621840	104625924	1	4085	30651.6452	1018.5496	318		MLL5,LOC100216545	LOC100216545	LOC100216545	4.6125	318	1
1_MACS_peak_1810_lociStitched	chr1	183809860	183815666	1	5807	31319.8864	1759.218	319	RGL1		APOBEC4	APOBEC4	NONE	319	1
