REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	H929_jia.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
3_MACS_peak_16321_lociStitched	chr19	39880515	39904540	3	18802	66472.37	169	1	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	4.1046	169	1
5_MACS_peak_22301_lociStitched	chr3	52718440	52745771	5	18740	44052.1058	170	1	GNL3,SNORD19,SNORD19B,SNORD69,SPCS1,PBRM1,GLT8D1,NEK4	PBRM1	SNORD69	SNORD69	0.7013	170	1
8_MACS_peak_15788_lociStitched	chr19	12885698	12918444	8	18671	61002.5234	171	1	JUNB,RNASEH2A,HOOK2,PRDX2	ASNA1,BEST2,MAST1,C19orf43,RTBDN	JUNB	JUNB	3.4158	171	1
2_MACS_peak_7311_lociStitched	chr12	48195680	48215131	2	18628	86162.0947	172	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	1.8898	172	1
5_MACS_peak_2385_lociStitched	chr1	174165627	174196455	5	18624	36876.4536	173	1	RABGAP1L		RABGAP1L	RABGAP1L	0.1672	173	1
2_MACS_peak_31784_lociStitched	chr8	42738786	42757604	2	18574	61164.1454	174	1	HOOK3,RNF170	THAP1	RNF170	RNF170	1.484	174	1
6_MACS_peak_23106_lociStitched	chr3	133180365	133211752	6	18460	68954.1003	175	1	BFSP2		BFSP2	BFSP2	0.681	175	1
3_MACS_peak_10305_lociStitched	chr15	20969690	20995406	3	18440	31216.6524	176	1		BCL8	BCL8	BCL8	0.0695	176	1
3_MACS_peak_20180_lociStitched	chr20	45171951	45192246	3	18439	39209.94	177	1	C20orf123,SLC13A3	ZNF334	C20orf123	C20orf123	1.4649	177	1
8_MACS_peak_10580_lociStitched	chr15	40328095	40362984	8	18410	49800.5586	178	1	SRP14	BMF	SRP14	BMF	2.6031	178	1
2_MACS_peak_18859_lociStitched	chr2	182128538	182147051	2	18346	35980.0155	179	1			ITGA4	ITGA4	0.4407	179	1
5_MACS_peak_17384_lociStitched	chr2	38870718	38896551	5	18340	44784.0888	180	1	GALM	HNRPLL	GALM	HNRPLL	1.3893	180	1
4_MACS_peak_3716_lociStitched	chr10	24735154	24756561	4	18303	35963.76	181	1	KIAA1217		MIR603	MIR603	NONE	181	1
3_MACS_peak_30430_lociStitched	chr7	92436890	92466931	3	18293	46677.7058	182	1	CDK6		CDK6	CDK6	0.4133	182	1
2_MACS_peak_2052_lociStitched	chr1	155899779	155920480	2	18259	65988.5777	183	1	RXFP4,KIAA0907,ARHGEF2	RIT1,SNORA42,SCARNA4	RXFP4	RXFP4	4.0816	183	1
1_MACS_peak_26379_lociStitched	chr5	100223360	100241612	1	18253	53567.7948	184	1	ST8SIA4		ST8SIA4	ST8SIA4	0.7837	184	1
4_MACS_peak_8294_lociStitched	chr12	122227049	122251740	4	18207	67878.0281	185	1	SETD1B,RHOF,LOC338799	HPD	LOC338799	LOC338799	3.358	185	1
6_MACS_peak_22707_lociStitched	chr3	101393699	101427079	6	18194	32128.25	186	1	LOC100009676,ZBTB11,RPL24	LOC285359,CEP97	RPL24	RPL24	0.9048	186	1
7_MACS_peak_20735_lociStitched	chr21	36577795	36608850	7	18184	27949.5	187	1			RUNX1	RUNX1	0.3467	187	1
5_MACS_peak_34494_lociStitched	chr9	141090494	141121955	5	18165	27647.9268	188	1	FAM157B	TUBBP5	FAM157B	FAM157B	0.3923	188	1
4_MACS_peak_14398_lociStitched	chr17	74474563	74503258	4	18144	58351.2825	189	1	RHBDF2	AANAT,PRCD,UBE2O,CYGB	RHBDF2	RHBDF2	1.5052	189	1
3_MACS_peak_1396_lociStitched	chr1	93408722	93428770	3	18130	30657.4016	190	1	FAM69A		FAM69A	FAM69A	0.326	190	1
4_MACS_peak_24033_lociStitched	chr4	10093088	10120228	4	18109	52838.866	191	1	WDR1	MIR3138	WDR1	WDR1	1.0434	191	1
3_MACS_peak_2176_lociStitched	chr1	160633864	160656721	3	18063	36194.0595	192	1	CD48	SLAMF1	SLAMF1	SLAMF1	0.6437	192	1
3_MACS_peak_27376_lociStitched	chr6	388004	412809	3	18028	58874.6675	193	1	IRF4		IRF4	IRF4	2.0095	193	1
3_MACS_peak_14080_lociStitched	chr17	56405617	56430964	3	18017	92100.8592	194	1	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	4.7959	194	1
3_MACS_peak_4161_lociStitched	chr10	74075271	74097689	3	17962	59253.0158	195	1	DNAJB12	DDIT4	DNAJB12	DDIT4	2.4813	195	1
5_MACS_peak_3500_lociStitched	chr10	7510926	7535653	5	17961	34622.7454	196	1			SFMBT2	SFMBT2	NONE	196	1
6_MACS_peak_13008_lociStitched	chr17	2140071	2172158	6	17879	49407.5626	197	1	SMG6	SRR	SMG6	SMG6	0.3838	197	1
5_MACS_peak_18195_lociStitched	chr2	112219215	112242290	5	17776	28421.4775	198	1	LOC541471		LOC541471	LOC541471	0.6511	198	1
4_MACS_peak_7683_lociStitched	chr12	69195273	69216459	4	17773	37092.4488	199	1	MDM2		MDM2	MDM2	0.839	199	1
3_MACS_peak_13144_lociStitched	chr17	7736622	7762869	3	17662	47360.0868	200	1	DNAH2,KDM6B,TMEM88,CYB5D1,LSMD1	CHD3,SCARNA21	KDM6B	KDM6B	1.8101	200	1
2_MACS_peak_13697_lociStitched	chr17	38466936	38484604	2	17614	43558.6872	201	1	RARA	CDC6,RARA,GJD3	RARA	RARA	0.817	201	1
3_MACS_peak_5822_lociStitched	chr11	65335760	65357917	3	17481	83897.4805	202	1	SSSCA1,FAM89B,EHBP1L1	SCYL1,PCNXL3,SIPA1,LTBP3,KCNK7,MAP3K11	EHBP1L1	EHBP1L1	2.8532	202	1
5_MACS_peak_21534_lociStitched	chr22	45622006	45647749	5	17432	40089.5739	203	1	C22orf9	UPK3A,MIR1249,C22orf9	C22orf9	C22orf9	0.5818	203	1
1_MACS_peak_23317_lociStitched	chr3	151985367	152002782	1	17416	36984.2355	204	1	MBNL1,LOC401093	MBNL1	LOC401093	LOC401093	1.2122	204	1
5_MACS_peak_23367_lociStitched	chr3	156381000	156405461	5	17170	26072.9799	205	1	TIPARP,LOC100287227		LOC100287227	LOC100287227	1.1805	205	1
5_MACS_peak_10088_lociStitched	chr14	95965655	95991866	5	17091	33094.0086	206	1		GLRX5,C14orf49,SCARNA13,SNHG10	SCARNA13	SCARNA13	0.4962	206	1
4_MACS_peak_18776_lociStitched	chr2	175442756	175468323	4	16918	40516.0249	207	1	WIPF1		WIPF1	WIPF1	0.427	207	1
1_MACS_peak_6614_lociStitched	chr11	122925752	122942607	1	16856	71638.8065	208	1	HSPA8	LOC341056	HSPA8	HSPA8	3.7542	208	1
3_MACS_peak_3474_lociStitched	chr10	5929705	5950179	3	16828	46635.6772	209	1	FBXO18,ANKRD16		FBXO18	FBXO18	0.8665	209	1
4_MACS_peak_27242_lociStitched	chr5	173483980	173508784	4	16808	38533.014	210	1	HMP19		HMP19	HMP19	0.6051	210	1
6_MACS_peak_12573_lociStitched	chr16	67998507	68028402	6	16790	29377.8165	211	1	SLC12A4,DPEP3,DPEP2	DUS2L,CTRL,PSMB10,LCAT,SLC12A4,DDX28	DPEP3	PSMB10	0.973	211	1
4_MACS_peak_12172_lociStitched	chr16	29815039	29837710	4	16784	47683.9143	212	1	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	C16orf53	C16orf53	1.3227	212	1
3_MACS_peak_34574_lociStitched	chrX	10064966	10091932	3	16781	37226.563	213	1	WWC3	CLCN4	CLCN4	CLCN4	0.0742	213	1
6_MACS_peak_4974_lociStitched	chr10	135477833	135495958	6	16676	32364	214	1	DUX4L6,DUX4,DUX4L2,DUX2	DUX4L7,FRG2B	DUX4L7	FRG2B	0.0741	214	1
6_MACS_peak_23845_lociStitched	chr3	197863333	197895129	6	16573	23316.0068	215	1	FAM157A		FAM157A	FAM157A	0.3389	215	1
3_MACS_peak_11362_lociStitched	chr15	89158368	89185049	3	16558	35144.2132	216	1	AEN,ISG20	MIR1179,MIR7-2	AEN	AEN	0.9364	216	1
2_MACS_peak_3251_lociStitched	chr1	234729412	234749134	2	16537	58349.5092	217	1	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	3.6389	217	1
2_MACS_peak_17493_lociStitched	chr2	46788557	46805197	2	16478	32131.84	218	1	RHOQ	CRIPT,ATP6V1E2,PIGF	RHOQ	RHOQ	1.0115	218	1
7_MACS_peak_3136_lociStitched	chr1	228659384	228693958	7	16474	54364.1576	219	1	RNF187	HIST3H2BB,HIST3H3,HIST3H2A	RNF187	RNF187	2.202	219	1
4_MACS_peak_25710_lociStitched	chr5	32153587	32175873	4	16434	41556.7042	220	1	GOLPH3		GOLPH3	GOLPH3	0.759	220	1
6_MACS_peak_10362_lociStitched	chr15	23603456	23631966	6	16421	46585.34	221	1			GOLGA8E	GOLGA8E	NONE	221	1
2_MACS_peak_20687_lociStitched	chr21	34599509	34617303	2	16398	54693.4178	222	1	IFNAR2	IL10RB	IFNAR2	IFNAR2	1.3558	222	1
4_MACS_peak_5849_lociStitched	chr11	65811966	65839746	4	16359	43411.806	223	1	SF3B2,PACS1,GAL3ST3	BANF1,CST6,EIF1AD,CATSPER1	SF3B2	SF3B2	1.5897	223	1
1_MACS_peak_2066_lociStitched	chr1	156114184	156130530	1	16347	95861.117	224	1	SEMA4A	LMNA,SLC25A44	SEMA4A	SEMA4A	2.6506	224	1
1_MACS_peak_29630_lociStitched	chr7	23502361	23518688	1	16328	55062.8075	225	1	IGF2BP3	RPS2P32	IGF2BP3	IGF2BP3	0.3571	225	1
4_MACS_peak_29316_lociStitched	chr6	160389236	160410827	4	16285	22739.6412	226	1	IGF2R		IGF2R	IGF2R	0.1865	226	1
6_MACS_peak_5752_lociStitched	chr11	63992473	64020494	6	16261	38666.1779	227	1	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	FKBP2	1.509	227	1
3_MACS_peak_30597_lociStitched	chr7	102063868	102087243	3	16205	66733.2875	228	1	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	1.3369	228	1
2_MACS_peak_3526_lociStitched	chr10	11203886	11224830	2	16183	63841.5008	229	1	CELF2		CELF2	CELF2	0.2934	229	1
7_MACS_peak_5255_lociStitched	chr11	16957028	16995563	7	16151	28165.2315	230	1	PLEKHA7		PLEKHA7	PLEKHA7	0.2425	230	1
2_MACS_peak_20462_lociStitched	chr20	61272674	61291033	2	16122	47610.3947	231	1	SLCO4A1	NTSR1,LOC100127888	SLCO4A1	SLCO4A1	1.2499	231	1
3_MACS_peak_23319_lociStitched	chr3	152037821	152055509	3	16097	37305.7608	232	1	MBNL1	TMEM14E	TMEM14E	TMEM14E	0.7494	232	1
4_MACS_peak_10017_lociStitched	chr14	91782037	91802384	4	16062	29271.1942	233	1	CCDC88C		GPR68	GPR68	NONE	233	1
8_MACS_peak_20867_lociStitched	chr21	45552272	45577944	8	15966	27918.3	234	1	C21orf33	PWP2	C21orf33	C21orf33	0.8064	234	1
5_MACS_peak_14774_lociStitched	chr18	14924550	14950725	5	15896	20133.81	235	1			MIR3156-2	MIR3156-2	NONE	235	1
5_MACS_peak_22902_lociStitched	chr3	121526461	121557997	5	15893	33361.9344	236	1	EAF2,IQCB1		IQCB1	IQCB1	0.7918	236	1
4_MACS_peak_11118_lociStitched	chr15	75063110	75083753	4	15808	49124.1471	237	1	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	CSK	1.5687	237	1
7_MACS_peak_27063_lociStitched	chr5	156333603	156361722	7	15756	27475.0749	238	1	LOC100286948,TIMD4		LOC100286948	LOC100286948	0.3338	238	1
3_MACS_peak_22406_lociStitched	chr3	61545604	61563159	3	15754	46325.8895	239	1	PTPRG		PTPRG	PTPRG	0.1413	239	1
5_MACS_peak_21414_lociStitched	chr22	39823152	39847600	5	15753	38398.0288	240	1	TAB1	MGAT3	MGAT3	MGAT3	0.1046	240	1
6_MACS_peak_28036_lociStitched	chr6	36081143	36116280	6	15691	48035.7927	241	1	MAPK13	BRPF3	MAPK13	MAPK13	2.2057	241	1
4_MACS_peak_1530_lociStitched	chr1	110331260	110350602	4	15605	50153.806	242	1		GSTM3,EPS8L3	EPS8L3	GSTM3	0.0583	242	1
1_MACS_peak_19070_lociStitched	chr2	201979249	201994849	1	15601	79020.24	243	1	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	1.4405	243	1
4_MACS_peak_1973_lociStitched	chr1	153928228	153951884	4	15592	73357.256	244	1	CREB3L4,CRTC2,SLC39A1,JTB	RPS27,GATAD2B,DENND4B,RAB13	SLC39A1	SLC39A1	2.9633	244	1
1_MACS_peak_9689_lociStitched	chr14	63936413	63951994	1	15582	25711.7662	245	1	PPP2R5E		PPP2R5E	PPP2R5E	0.2157	245	1
2_MACS_peak_19072_lociStitched	chr2	202040755	202061639	2	15562	41928.8068	246	1	CASP10	CASP8	CASP10	CASP10	1.2798	246	1
6_MACS_peak_13745_lociStitched	chr17	40705928	40740290	6	15539	36337.815	247	1	HSD17B1,COASY,MLX,PSMC3IP,FAM134C	NAGLU,TUBG1	MLX	TUBG1	1.8885	247	1
3_MACS_peak_1885_lociStitched	chr1	150580797	150603482	3	15501	59033.1755	248	1	ENSA	MCL1	ENSA	MCL1	3.7485	248	1
5_MACS_peak_11850_lociStitched	chr16	11761616	11784548	5	15418	14389.83	249	1	SNN,TXNDC11		SNN	SNN	0.5112	249	1
1_MACS_peak_535_lociStitched	chr1	27018306	27033704	1	15399	54487.3628	250	1	ARID1A		ARID1A	ARID1A	0.9857	250	1
2_MACS_peak_10813_lociStitched	chr15	55567938	55583472	2	15397	42699.8592	251	1	RAB27A	PIGB,RAB27A	RAB27A	RAB27A	0.5329	251	1
3_MACS_peak_28318_lociStitched	chr6	56621254	56638598	3	15295	25525.1648	252	1			DST	DST	NONE	252	1
4_MACS_peak_13983_lociStitched	chr17	48223371	48249184	4	15261	49367.3625	253	1	SGCA,PPP1R9B,HILS1	SAMD14,COL1A1	SGCA	SGCA	0.2375	253	1
4_MACS_peak_491_lociStitched	chr1	25869408	25889701	4	15246	39729.6354	254	1	LDLRAP1		LDLRAP1	LDLRAP1	1.1597	254	1
3_MACS_peak_13293_lociStitched	chr17	17722338	17744801	3	15240	32171.5086	255	1	SREBF1	SMCR5,MIR33B	SREBF1	SREBF1	1.0221	255	1
4_MACS_peak_21631_lociStitched	chr22	50962220	50984713	4	15217	48827.8044	256	1	NCAPH2,SCO2,TYMP,ODF3B	ADM2,MIOX,KLHDC7B,LOC100144603,SBF1,LMF2,C22orf41,CPT1B,CHKB	ODF3B	ODF3B	2.6272	256	1
1_MACS_peak_7544_lociStitched	chr12	57105148	57120281	1	15134	82184.2964	257	1	NACA	HSD17B6,PTGES3,PRIM1	NACA	NACA	3.6427	257	1
6_MACS_peak_12030_lociStitched	chr16	22195001	22219614	6	15119	27630.5538	258	1	EEF2K		EEF2K	EEF2K	0.1101	258	1
6_MACS_peak_10606_lociStitched	chr15	40834078	40863005	6	15111	20208.4022	259	1	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	C15orf57	0.6947	259	1
2_MACS_peak_27194_lociStitched	chr5	171599905	171616308	2	15095	55035.3456	260	1	STK10	EFCAB9	STK10	STK10	0.4358	260	1
3_MACS_peak_25372_lociStitched	chr4	185328378	185350020	3	15070	35001.6066	261	1	IRF2		IRF2	IRF2	0.9866	261	1
1_MACS_peak_22737_lociStitched	chr3	104228133	104243190	1	15058	36773.7111	262	1			MIR548A3	MIR548A3	NONE	262	1
1_MACS_peak_13498_lociStitched	chr17	29634456	29649500	1	15045	43319.198	263	1	NF1,EVI2B,EVI2A	OMG	EVI2B	EVI2B	1.6704	263	1
4_MACS_peak_6540_lociStitched	chr11	118954903	118980525	4	15033	55194.9124	264	1	HMBS,C2CD2L,H2AFX,DPAGT1	VPS11,HINFP,ABCG4,HYOU1	H2AFX	H2AFX	1.6817	264	1
4_MACS_peak_6805_lociStitched	chr12	1097713	1117661	4	15031	38172.4928	265	1	ERC1	RAD52	ERC1	RAD52	0.1378	265	1
3_MACS_peak_15413_lociStitched	chr19	2081586	2097874	3	15022	71444.0544	266	1	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	2.0809	266	1
6_MACS_peak_15407_lociStitched	chr19	2031843	2062880	6	15011	43262.4743	267	1	MKNK2	IZUMO4,BTBD2,MOBKL2A	MKNK2	MOBKL2A	2.0809	267	1
1_MACS_peak_7452_lociStitched	chr12	53856081	53871067	1	14987	15417.5968	268	1	PCBP2	AMHR2,PRR13,TARBP2,MAP3K12,NPFF	PCBP2	TARBP2	0.6521	268	1
4_MACS_peak_19075_lociStitched	chr2	202084395	202102226	4	14980	31789.1068	269	1	CASP10,CASP8	CASP8	CASP8	CASP8	0.8835	269	1
4_MACS_peak_17511_lociStitched	chr2	47713004	47737410	4	14950	26168.1132	270	1			KCNK12	KCNK12	0.5552	270	1
3_MACS_peak_33270_lociStitched	chr9	33444437	33462874	3	14885	56822.834	271	1	AQP3,NOL6	AQP7,SUGT1P1	AQP3	AQP3	0.825	271	1
2_MACS_peak_20494_lociStitched	chr20	62357407	62372457	2	14836	76931.085	272	1	ZGPAT,LIME1,SLC2A4RG	TNFRSF6B,ARFRP1	LIME1	LIME1	3.4404	272	1
4_MACS_peak_17572_lociStitched	chr2	54784422	54808368	4	14814	30286.9008	273	1	SPTBN1	RPL23AP32	SPTBN1	SPTBN1	0.2307	273	1
4_MACS_peak_17016_lociStitched	chr2	8651000	8666862	4	14787	27155.744	274	1			ID2	ID2	0.8158	274	1
4_MACS_peak_5085_lociStitched	chr11	3874122	3893304	4	14741	39278.9814	275	1	STIM1	PGAP2,RHOG	STIM1	RHOG	0.3538	275	1
1_MACS_peak_6993_lociStitched	chr12	12865963	12880702	1	14740	44441.0328	276	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	2.9587	276	1
4_MACS_peak_12548_lociStitched	chr16	67259883	67283999	4	14705	35858.0804	277	1	TMEM208,SLC9A5,LRRC29,FHOD1	E2F4,ELMO3,PLEKHG4,KIAA0895L,EXOC3L,MIR328	FHOD1	FHOD1	1.2905	277	1
1_MACS_peak_25728_lociStitched	chr5	32529864	32544536	1	14673	58707.0736	278	1		SUB1	SUB1	SUB1	2.3433	278	1
1_MACS_peak_2093_lociStitched	chr1	156708900	156723451	1	14552	97183.2188	279	1	MRPL24,HDGF	C1orf66,PRCC,CRABP2,ISG20L2	MRPL24	C1orf66	2.2713	279	1
2_MACS_peak_21092_lociStitched	chr22	24176492	24192289	2	14549	51780.9863	280	1	SMARCB1,DERL3	SLC2A11,MIF	DERL3	DERL3	1.0524	280	1
3_MACS_peak_16604_lociStitched	chr19	48822905	48838328	3	14520	41762.3994	281	1	EMP3,CCDC114,TMEM143	ZNF114,SYNGR4	EMP3	EMP3	2.7359	281	1
4_MACS_peak_27713_lociStitched	chr6	26183983	26207457	4	14503	39269.6546	282	1	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	HIST1H3D	2.0426	282	1
2_MACS_peak_6666_lociStitched	chr11	126172954	126189685	2	14495	60449.103	283	1	DCPS	FOXRED1,TIRAP,ST3GAL4,SRPR,FLJ39051	DCPS	DCPS	1.2804	283	1
4_MACS_peak_4694_lociStitched	chr10	112201541	112226806	4	14420	41816.1015	284	1		DUSP5	DUSP5	DUSP5	1.6681	284	1
5_MACS_peak_5894_lociStitched	chr11	66862129	66889924	5	14419	41028.1995	285	1	KDM2A	RHOD	KDM2A	KDM2A	0.2843	285	1
2_MACS_peak_34781_lociStitched	chrX	39952990	39969694	2	14391	36438.1056	286	1	BCOR		BCOR	BCOR	0.543	286	1
2_MACS_peak_21363_lociStitched	chr22	38782765	38797487	2	14358	19752.5074	287	1	LOC400927	KCNJ4	LOC400927	LOC400927	0.3477	287	1
2_MACS_peak_32512_lociStitched	chr8	107668561	107683286	2	14335	45385.395	288	1	OXR1		OXR1	OXR1	0.2435	288	1
4_MACS_peak_23055_lociStitched	chr3	129026692	129048580	4	14334	25762.176	289	1	C3orf47,H1FX	C3orf37	H1FX	H1FX	1.7197	289	1
3_MACS_peak_14407_lociStitched	chr17	74774652	74790491	3	14322	38398.4877	290	1	MFSD11	MIR636,SRSF2	MFSD11	MIR636	2.0543	290	1
3_MACS_peak_444_lociStitched	chr1	24511870	24531650	3	14320	39229.674	291	1	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	0.4637	291	1
2_MACS_peak_15040_lociStitched	chr18	47832786	47849222	2	14310	50611.3748	292	1		CCDC11,MBD1,CXXC1	CXXC1	CXXC1	1.1372	292	1
3_MACS_peak_537_lociStitched	chr1	27058416	27075148	3	14297	21579.2604	293	1	ARID1A	PIGV	ARID1A	PIGV	1.0739	293	1
3_MACS_peak_19079_lociStitched	chr2	202116380	202133334	3	14282	35462.6818	294	1	CASP8		CASP8	CASP8	0.8835	294	1
1_MACS_peak_21108_lociStitched	chr22	24819312	24833582	1	14271	61572.196	295	1	ADORA2A,C22orf45		ADORA2A	ADORA2A	2.5384	295	1
2_MACS_peak_6749_lociStitched	chr11	132214548	132232622	2	14247	50795.1696	296	1			NTM	NTM	NONE	296	1
6_MACS_peak_10979_lociStitched	chr15	67366182	67395385	6	14221	16578.5431	297	1	SMAD3	SMAD3	SMAD3	SMAD3	0.2404	297	1
5_MACS_peak_18118_lociStitched	chr2	106404220	106430230	5	14203	37891.368	298	1	NCK2	NCK2	NCK2	NCK2	0.3256	298	1
2_MACS_peak_4698_lociStitched	chr10	112252651	112272801	2	14185	39115.18	299	1	DUSP5		DUSP5	DUSP5	1.6681	299	1
2_MACS_peak_11867_lociStitched	chr16	12055510	12072507	2	14166	54206.8324	300	1	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	3.8642	300	1
4_MACS_peak_12783_lociStitched	chr16	81841151	81857557	4	14143	30895.7792	301	1	PLCG2		PLCG2	PLCG2	0.3029	301	1
3_MACS_peak_1892_lociStitched	chr1	150846491	150863914	3	14126	44317.1428	302	1	ARNT	SETDB1	ARNT	ARNT	0.3873	302	1
5_MACS_peak_27229_lociStitched	chr5	173205015	173226394	5	14118	30366.7316	303	1			CPEB4	CPEB4	1.0092	303	1
2_MACS_peak_27340_lociStitched	chr5	180226617	180244586	2	14107	39199.3735	304	1	MGAT1	LOC729678,ZFP62	MGAT1	MGAT1	1.1022	304	1
1_MACS_peak_19685_lociStitched	chr20	9486447	9500537	1	14091	40949.767	305	1	C20orf103		C20orf103	C20orf103	1.1208	305	1
1_MACS_peak_12903_lociStitched	chr16	89032202	89046263	1	14062	66422.7579	306	1	CBFA2T3	CBFA2T3	CBFA2T3	CBFA2T3	0.6489	306	1
2_MACS_peak_20113_lociStitched	chr20	42569395	42586198	2	14048	38510.7957	307	1	TOX2		TOX2	TOX2	0.5858	307	1
4_MACS_peak_27869_lociStitched	chr6	30639901	30660127	4	14039	44559.9006	308	1	DHX16,KIAA1949,NRM	ATAT1,C6orf136,TUBB,MDC1	KIAA1949	KIAA1949	2.135	308	1
4_MACS_peak_31596_lociStitched	chr8	27929718	27951783	4	14014	45297.2385	309	1	ELP3,C8orf80		C8orf80	C8orf80	0.5953	309	1
5_MACS_peak_14382_lociStitched	chr17	74168719	74190676	5	13993	19734.9516	310	1	RNF157	FOXJ1	FOXJ1	FOXJ1	0.2439	310	1
4_MACS_peak_25151_lociStitched	chr4	153554201	153573028	4	13987	22942.5822	311	1	TMEM154		TMEM154	TMEM154	0.6594	311	1
6_MACS_peak_12448_lociStitched	chr16	57823826	57851095	6	13975	29074.2078	312	1	KIFC3		KIFC3	KIFC3	0.4462	312	1
2_MACS_peak_8333_lociStitched	chr12	123409247	123423417	2	13936	47425.573	313	1	ABCB9	OGFOD2,ARL6IP4,VPS37B	ABCB9	VPS37B	3.3443	313	1
3_MACS_peak_6460_lociStitched	chr11	114029464	114046708	3	13896	28762.992	314	1	ZBTB16		ZBTB16	ZBTB16	0.3538	314	1
6_MACS_peak_34154_lociStitched	chr9	126959468	126986257	6	13845	26004.0823	315	1		NEK6	NEK6	NEK6	0.2171	315	1
3_MACS_peak_13072_lociStitched	chr17	4836965	4855625	3	13834	49217.616	316	1	GP1BA,RNF167,ENO3,SLC25A11,PFN1	C17orf107,KIF1C,CHRNE,SPAG7,CAMTA2,INCA1	RNF167	RNF167	2.7025	316	1
2_MACS_peak_35619_lociStitched	chrX	150036445	150050356	2	13824	24956.334	317	1	CD99L2		CD99L2	CD99L2	0.2773	317	1
1_MACS_peak_18671_lociStitched	chr2	166047116	166060922	1	13807	31133.9106	318	1	SCN3A	SCN2A	SCN3A	SCN3A	0.3695	318	1
3_MACS_peak_18865_lociStitched	chr2	182319607	182338299	3	13781	34096.0772	319	1	ITGA4		ITGA4	ITGA4	0.4407	319	1
3_MACS_peak_35672_lociStitched	chrX	153232131	153253061	3	13707	53053.364	320	1	TMEM187,MIR3202-1,HCFC1,MIR3202-2	ARHGAP4,NAA10,RENBP,IRAK1,MIR718	MIR3202-1	NAA10	2.252	320	1
3_MACS_peak_32912_lociStitched	chr8	145009350	145028231	3	13682	27653.1126	321	1	PLEC,MIR661	GRINA,PARP10	PLEC	PARP10	0.7192	321	1
6_MACS_peak_7173_lociStitched	chr12	33037344	33060642	6	13673	16611.474	322	1	PKP2		PKP2	PKP2	0.2136	322	1
3_MACS_peak_33743_lociStitched	chr9	94180181	94195888	3	13666	26543.2593	323	1	NFIL3		NFIL3	NFIL3	0.8919	323	1
2_MACS_peak_19930_lociStitched	chr20	32988409	33006300	2	13658	37839.465	324	1	ITCH	MIR644	ITCH	ITCH	0.4729	324	1
5_MACS_peak_7539_lociStitched	chr12	57071245	57095015	5	13649	48875.874	325	1	PTGES3	BAZ2A,SNORD59B,SNORD59A,ATP5B,NACA	PTGES3	NACA	3.6427	325	1
3_MACS_peak_17966_lociStitched	chr2	87808809	87822951	3	13610	25264.683	326	1	NCRNA00152		NCRNA00152	NCRNA00152	1.3932	326	1
4_MACS_peak_12874_lociStitched	chr16	87795063	87815338	4	13609	35742.7975	327	1	KLHDC4		KLHDC4	KLHDC4	0.1508	327	1
1_MACS_peak_30352_lociStitched	chr7	83988701	84002288	1	13588	13930.7511	328	1			SEMA3A	SEMA3A	NONE	328	1
1_MACS_peak_3091_lociStitched	chr1	226839165	226852732	1	13568	37843.7898	329	1	ITPKB		ITPKB	ITPKB	0.7293	329	1
1_MACS_peak_16017_lociStitched	chr19	19049227	19062774	1	13548	45615.4584	330	1	HOMER3	DDX49,GDF1,COPE	HOMER3	HOMER3	0.9227	330	1
5_MACS_peak_8789_lociStitched	chr13	49134130	49162084	5	13531	23484.1554	331	1		RCBTB2	RCBTB2	RCBTB2	1.4397	331	1
3_MACS_peak_19961_lociStitched	chr20	34192758	34208231	3	13505	29694.2343	332	1	SPAG4,FER1L4	CPNE1	SPAG4	SPAG4	1.6231	332	1
4_MACS_peak_3029_lociStitched	chr1	223899545	223923154	4	13488	35045.1996	333	1	CAPN2	CAPN8	CAPN2	CAPN2	0.4635	333	1
4_MACS_peak_11887_lociStitched	chr16	14486442	14508493	4	13484	31199.9599	334	1			MIR365-1	MIR365-1	3.8662	334	1
