GENE_ID	locusLine	bin_1_29_0F2F_0229Kronos_MM1S-KB-24hr-1_H3K27me3_hs-dm_i17.bam
NM_005085	chr9(.):133995980-134114091	0.0729
NM_004269	chr9(.):134730498-134960253	0.0697
NM_005312	chr9(.):134447156-134617925	0.0667
NM_000368	chr9(.):135761734-135825020	0.0912
NM_022779	chr9(.):135464675-135550788	0.0596
NM_152572	chr9(.):135595964-135759198	0.6902
NM_012087	chr9(.):135901061-135938890	0.1468
NM_207417	chr9(.):135280610-135453675	0.9474
NM_007101	chr9(.):136523683-136610077	1.313
NM_001134707	chr9(.):136523683-136608479	1.3249
NM_000093	chr9(.):137528651-137741688	0.9914
NM_020822	chr9(.):138589030-138689993	1.3246
NM_144653	chr9(.):138898202-138992131	1.2091
NM_017820	chr9(.):140196347-140322714	0.7907
NM_001173989	chr9(.):139697373-139733794	0.0629
NM_016219	chr9(.):139976416-140008639	0.0935
NM_000718	chr9(.):140767240-141024076	0.7
NM_001161808	chr9(.):127208422-127244379	0.6127
NM_004959	chr9(.):127238514-127274699	1.0709
NM_002316	chr9(.):129371721-129468311	1.4931
NM_014064	chr9(.):132383434-132402879	0.2254
NM_017873	chr9(.):132391882-132409444	0.361
NM_016307	chr9(.):132422919-132489951	1.3812
NM_016520	chr9(.):132584563-132602572	0.0818
NM_000113	chr9(.):132570220-132591441	0.0664
NM_006676	chr9(.):132592695-132649107	0.0566
NM_014506	chr9(.):132560431-132578560	0.1694
NM_001008563	chr9(.):132592756-132649107	0.0563
NM_014286	chr9(.):132929856-133004583	1.3252
NM_001128826	chr9(.):132957871-133004583	1.1955
NM_000050	chr9(.):133315093-133381661	0.6812
NM_003934	chr9(.):133449959-133518739	0.0817
NM_021619	chr9(.):133534980-133563384	1.1078
NR_027440	chr9(.):133447736-133459881	0.243
NM_014285	chr9(.):133564157-133585452	0.1149
NM_198180	chr9(.):133763814-133774225	0.6808
NM_032843	chr9(.):133772824-133819239	1.9055
NM_001145106	chr9(.):133772824-133819455	1.9011
NM_001185095	chr9(.):133966862-134003539	0.9908
NM_032536	chr9(.):135032333-135123220	1.4453
NM_020064	chr9(.):135452992-135470640	0.7623
NM_012204	chr9(.):135540727-135570470	0.0569
NM_001135031	chr9(.):135849097-135872084	1.4442
NM_001042368	chr9(.):135968106-136029588	0.1167
NM_021996	chr9(.):136023339-136044301	0.9541
NM_006266	chr9(.):135968106-136001561	0.0802
NM_020469	chr9(.):136125562-136155630	0.9709
NM_014581	chr9(.):136075665-136089628	1.201
NM_153710	chr9(.):136238283-136276220	0.5146
NM_020385	chr9(.):136266185-136288164	0.1589
NM_033161	chr9(.):136223339-136247970	0.1892
NM_017586	chr9(.):136320086-136340909	0.6311
NM_001145099	chr9(.):136331215-136349276	0.5631
NM_001080515	chr9(.):136438536-136450368	1.4414
NM_001145320	chr9(.):136392285-136445641	1.3122
NM_014694	chr9(.):136394974-136445641	1.2953
NM_001080483	chr9(.):136374707-136395068	1.4139
NM_000787	chr9(.):136496484-136529466	1.3461
NR_037460	chr9(.):137736020-137747490	0.2136
NR_037469	chr9(.):137736970-137747118	0.2106
NM_015837	chr9(.):137767657-137784366	1.099
NM_002003	chr9(.):137796430-137814806	0.9046
NM_006334	chr9(.):137962102-137994952	0.7924
NM_014279	chr9(.):137962088-138018030	0.8712
NM_014811	chr9(.):138366647-138385739	0.2227
NM_001048265	chr9(.):138382025-138396761	0.5442
NM_016034	chr9(.):138387482-138401519	0.4679
NM_002297	chr9(.):138408285-138423378	0.6492
NM_182974	chr9(.):138510501-138536386	0.4994
NM_001001676	chr9(.):138550167-138562755	0.9999
NM_001101677	chr9(.):138580254-138596374	1.3415
NM_016172	chr9(.):138819814-138858226	0.2269
NM_152833	chr9(.):139001426-139015731	0.3506
NM_178138	chr9(.):139083095-139101955	1.0904
NM_181701	chr9(.):139093181-139142687	0.3036
NM_014564	chr9(.):139083095-139100004	1.2008
NM_001145638	chr9(.):139216931-139259057	1.7246
NM_001080849	chr9(.):139251351-139263241	0.5555
NM_052813	chr9(.):139253407-139273133	0.5423
NM_001145639	chr9(.):139242508-139259057	1.1141
NR_026964	chr9(.):139211997-139226779	1.2863
NM_015597	chr9(.):139216931-139241288	2.0929
NM_003086	chr9(.):139265028-139297889	0.1592
NM_017617	chr9(.):139383895-139445238	0.1226
NM_006412	chr9(.):139562594-139586911	1.9606
NM_016215	chr9(.):139552381-139572130	1.9047
NR_029695	chr9(.):139560053-139570138	1.8516
NM_201446	chr9(.):139552376-139572130	1.9045
NM_178469	chr9(.):139643839-139657731	1.4337
NM_032928	chr9(.):139680776-139692769	0.5275
NM_203347	chr9(.):139649085-139663965	1.103
NR_002958	chr9(.):139616198-139626331	0.3102
NR_024542	chr9(.):139614045-139627636	0.3234
NM_152421	chr9(.):139602023-139624170	1.0606
NM_198946	chr9(.):139633468-139647980	1.8114
NM_001001712	chr9(.):139627618-139642411	1.7926
NR_002975	chr9(.):139615555-139625689	0.3088
NM_001039374	chr9(.):139685789-139707193	0.2937
NR_024580	chr9(.):139693378-139708300	0.1774
NR_033913	chr9(.):139635612-139649363	1.7265
NM_004669	chr9(.):139884059-139896024	0.826
NM_015392	chr9(.):139928908-139945676	1.7578
NM_001246	chr9(.):139937552-139953505	1.6393
NM_183241	chr9(.):139881869-139893428	1.0129
NR_027447	chr9(.):139974397-139986269	0.1
NM_207511	chr9(.):139916915-139936234	1.3604
NM_001606	chr9(.):139896685-139927740	1.0713
NM_207309	chr9(.):139966952-139983990	0.1438
NM_207510	chr9(.):139872444-139885210	1.4768
NM_004479	chr9(.):139919625-139932292	1.3914
NM_178448	chr9(.):139951578-139970028	0.3539
NM_212533	chr9(.):139896685-139928374	1.075
NM_001144026	chr9(.):140095118-140118813	0.0982
NM_053045	chr9(.):140093534-140105090	0.0759
NM_000832	chr9(.):140028608-140068214	1.3063
NM_001128228	chr9(.):140081068-140100163	0.0922
NM_003731	chr9(.):140078053-140089822	0.1187
NM_001013653	chr9(.):140058211-140069491	1.9611
NM_013366	chr9(.):140064235-140088057	0.519
NM_031297	chr9(.):140109706-140120775	0.229
NM_013379	chr9(.):139999991-140014195	0.3065
NR_037416	chr9(.):140058637-140068722	2.0632
NM_199001	chr9(.):140114643-140125763	0.9691
NM_001004354	chr9(.):140189082-140201703	1.1065
NM_001178064	chr9(.):140337022-140358786	0.3839
NM_001033113	chr9(.):140323815-140340901	1.5092
NM_006647	chr9(.):140312846-140333858	1.4036
NR_030333	chr9(.):140727870-140737968	0.0934
NM_001001671	chrX(.):19373175-19538379	0.3969
NM_021949	chrX(.):152796579-152853387	0.7752
NM_005629	chrX(.):152948751-152967048	0.2159
NM_001142806	chrX(.):152949965-152967048	0.2084
NM_001711	chrX(.):152755346-152780004	0.7044
NM_001039582	chrX(.):152930187-152944816	0.5279
NM_001395	chrX(.):152902896-152921781	0.7284
NM_152274	chrX(.):152848382-152869632	0.0757
NM_001135740	chrX(.):152930187-152943743	0.5609
NM_022124	chr10(.):73151690-73580704	0.5615
NM_052836	chr10(.):73151690-73412219	0.6664
NM_001171931	chr10(.):73151690-73472264	0.6485
NM_001171930	chr10(.):73151690-73497481	0.6176
NM_001171932	chr10(.):73151690-73382362	0.642
NM_001146274	chr10(.):114705008-114932436	0.329
NM_001083914	chr10(.):126671417-126854624	0.724
NM_001329	chr10(.):126671417-126854103	0.7248
NM_152643	chr10(.):134968970-135044916	0.8968
NM_145306	chr10(.):71385002-71398355	0.218
NM_003987	chr10(.):102500467-102594698	1.0386
NR_029380	chr10(.):102984350-103003616	0.8921
NM_006562	chr10(.):102981732-102993717	1.2448
NM_024326	chr10(.):104174570-104187893	0.5954
NM_002779	chr10(.):104157375-104183901	1.0211
NM_024040	chr10(.):104178001-104197423	0.2368
NM_002502	chr10(.):104150431-104167281	0.2553
NM_001077494	chr10(.):104149338-104167281	0.2494
NM_001077493	chr10(.):104149228-104167281	0.2488
NR_030169	chr10(.):104191268-104201341	0.3451
NM_024886	chr10(.):104204593-104216300	0.0899
NM_024789	chr10(.):104216169-104241802	0.103
NM_022802	chr10(.):126671417-126721453	0.683
NR_036178	chr10(.):126716351-126726439	0.6844
NM_001083909	chr10(.):134896408-134950179	0.6731
NM_014468	chr10(.):135046407-135060433	1.2056
NM_001109	chr10(.):135070919-135095407	0.1888
NM_003577	chr10(.):135038777-135050062	0.9424
NR_030170	chr10(.):135056014-135066124	1.4678
NM_020896	chr11(.):3103345-3191582	0.1402
NM_019009	chr11(.):1290597-1335892	0.1021
NM_003957	chr11(.):1406128-1488328	0.8595
NM_053005	chr11(.):1485684-1790501	0.9272
NM_181798	chr11(.):2477683-2875340	0.0716
NM_000218	chr11(.):2461220-2875340	0.0738
NM_021926	chr11(.):44277277-44336716	0.3791
NM_004200	chr11(.):61277784-61353298	1.2611
NM_006133	chr11(.):61442904-61519474	1.4109
NM_015080	chr11(.):64368645-64495660	1.1576
NM_001104	chr11(.):66309390-66335797	0.9469
NR_030691	chr11(.):69926515-70040652	1.0713
NM_018043	chr11(.):69919407-70040652	1.0532
NM_030792	chr11(.):75140684-75241599	0.5921
NM_178537	chr11(.):364794-387117	1.1115
NM_021805	chr11(.):400715-422397	0.9757
NM_007183	chr11(.):389216-409908	0.8336
NM_001135054	chr11(.):400715-419999	1.037
NM_001012302	chr11(.):412929-447011	0.7577
NR_002585	chr11(.):806680-816814	0.0583
NM_001025239	chr11(.):837823-872116	0.9971
NM_001025234	chr11(.):839080-872116	1.0345
NM_145886	chr11(.):794178-810250	0.0765
NM_021128	chr11(.):834720-847529	0.6139
NM_001142674	chr11(.):862858-915874	0.122
NM_139029	chr11(.):827951-843835	0.5067
NM_173584	chr11(.):822584-836991	0.525
NM_024698	chr11(.):785474-801263	0.0795
NM_001004	chr11(.):804935-817876	0.0669
NM_001025237	chr11(.):839445-872116	1.046
NM_020376	chr11(.):813900-830571	0.2903
NM_001191060	chr11(.):785474-802995	0.076
NM_001191061	chr11(.):785474-803269	0.0753
NM_001025235	chr11(.):837940-872116	1.0004
NM_005961	chr11(.):1007823-1041706	0.7917
NM_002457	chr11(.):1069874-1109417	1.1825
NM_002458	chr11(.):1239294-1288406	1.0245
NR_029409	chr11(.):1325937-1336937	0.2463
NM_001172223	chr11(.):1485684-1512948	0.0754
NM_004420	chr11(.):1570280-1598150	0.6397
NM_001001480	chr11(.):1646032-1657159	1.6897
NM_001004325	chr11(.):1613406-1624524	1.0643
NM_001012709	chr11(.):1637187-1648368	1.2704
NR_021489	chr11(.):1588970-1625414	1.1089
NR_026643	chr11(.):1681828-1694086	1.8443
NM_001012708	chr11(.):1623794-1634693	1.1859
NM_001005922	chr11(.):1600571-1611513	1.18
NM_001909	chr11(.):1768984-1790222	0.4031
NR_026642	chr11(.):1699499-1711859	1.435
NM_001012416	chr11(.):1713424-1723985	1.4307
NM_001170820	chr11(.):1751029-1774349	0.9135
NM_138567	chr11(.):1850673-1863750	1.4057
NM_002339	chr11(.):1869199-1918493	0.4898
NM_001042782	chr11(.):1935798-1964936	1.5892
NM_001145829	chr11(.):1855718-1867910	1.1226
NM_001013253	chr11(.):1884902-1918493	0.5532
NM_001145841	chr11(.):1856431-1867910	1.0568
NM_001013255	chr11(.):1887153-1918493	0.5608
NM_003282	chr11(.):1855232-1867910	1.1721
NM_001013254	chr11(.):1887098-1918493	0.5611
NR_036185	chr11(.):1875693-1885766	0.2926
NR_030533	chr11(.):2012988-2023061	2.1901
NM_021134	chr11(.):1963501-1982839	0.3507
NR_024471	chr11(.):1999438-2016150	2.0333
NR_002196	chr11(.):2011405-2024065	2.1612
NM_001127598	chr11(.):2145346-2167341	1.1288
NM_199292	chr11(.):2180158-2198035	1.2851
NM_001185098	chr11(.):2176008-2187439	1.1808
NR_028044	chr11(.):2156757-2174896	1.3542
NR_003512	chr11(.):2145341-2187439	1.2392
NM_001042376	chr11(.):2162852-2187439	1.3199
NM_001007139	chr11(.):2145346-2175833	1.2535
NM_000612	chr11(.):2145346-2165204	1.0855
NR_030158	chr11(.):2150363-2160439	1.4342
NR_024621	chr11(.):2312506-2328143	1.2538
NM_005170	chr11(.):2284727-2297182	0.7126
NM_139022	chr11(.):2318242-2344430	1.2451
NM_004356	chr11(.):2393546-2423649	0.9557
NM_005706	chr11(.):2418522-2430106	0.7756
NM_014555	chr11(.):2420745-2449275	1.514
NM_002555	chr11(.):2918511-2951476	0.8226
NM_001122631	chr11(.):2899447-2911995	0.5518
NM_003311	chr11(.):2944502-2955650	1.3031
NR_002982	chr11(.):2980000-2990123	0.0508
NR_024627	chr11(.):2886262-2898336	0.3937
NM_007105	chr11(.):2904326-2930175	0.3323
NM_183233	chr11(.):2915950-2951476	0.7852
NR_027138	chr11(.):3234561-3249361	0.7337
NM_001164377	chr11(.):3234173-3245043	0.7758
NM_001039165	chr11(.):3244040-3258616	0.5114
NM_145017	chr11(.):61243584-61263400	0.9522
NM_001145077	chr11(.):61271271-61283490	1.0372
NR_002775	chr11(.):61377507-61411921	1.027
NM_001127392	chr11(.):61515120-61560989	0.8987
NM_013402	chr11(.):61562096-61589529	0.0735
NM_013279	chr11(.):61517860-61560989	0.8729
NM_014206	chr11(.):61551601-61565085	0.0685
NM_004111	chr11(.):61555149-61569710	0.0763
NR_031729	chr11(.):61577632-61587712	0.1034
NR_026882	chr11(.):61516500-61530136	1.4692
NR_030342	chr11(.):61554966-61565033	0.08
NM_032251	chr11(.):64102689-64130006	0.0715
NM_001006944	chr11(.):64121624-64144687	0.1548
NR_031602	chr11(.):64131073-64141175	0.0944
NM_018484	chr11(.):64318097-64343999	1.1635
NM_138734	chr11(.):64368645-64415787	1.0469
NM_144585	chr11(.):64353281-64374820	1.0775
NM_004630	chr11(.):64527075-64551316	0.0909
NM_001164716	chr11(.):64508860-64533187	0.8437
NM_001098671	chr11(.):64489382-64516630	1.5281
NM_001178030	chr11(.):64527075-64550938	0.0917
NM_001178031	chr11(.):64527075-64550232	0.0907
NM_001098670	chr11(.):64489382-64517329	1.5045
NM_153819	chr11(.):64489382-64517928	1.4899
NM_207340	chr11(.):66301734-66318671	0.3276
NM_024649	chr11(.):66273118-66306084	0.0594
NM_005125	chr11(.):66355689-66378490	0.1679
NM_003793	chr11(.):66325934-66341047	1.0641
NM_006328	chr11(.):66379052-66402397	0.0626
NM_018219	chr11(.):66352639-66365554	0.3366
NM_198923	chr11(.):68742489-68753455	0.5803
NM_001098515	chr11(.):68766861-68785850	1.6094
NM_139075	chr11(.):68811349-68863072	0.0865
NM_002007	chr11(.):69582796-69595171	0.9024
NM_005247	chr11(.):69619735-69639192	0.8897
NM_003824	chr11(.):70044268-70058508	0.3003
NM_001005	chr11(.):75105561-75121733	0.1143
NR_000005	chr11(.):75106434-75116582	0.1279
NR_000025	chr11(.):75110464-75120610	0.0851
NM_001039548	chr11(.):75128437-75146674	0.474
NM_001142349	chr11(.):117999091-118021184	0.6149
NM_174934	chr11(.):117999091-118028630	0.9114
NM_004588	chr11(.):118028518-118052337	0.9224
NM_153206	chr11(.):118059441-118089074	0.4193
NM_015232	chr12(.):181541-285494	0.4914
NM_001170738	chr12(.):171048-292625	0.512
NM_172364	chr12(.):1896122-2032870	0.4691
NM_001168320	chr12(.):3181520-3400730	0.9556
NM_014262	chr12(.):6932571-6954018	1.0848
NM_006897	chr12(.):54388876-54402120	1.9195
NM_002332	chr12(.):57517281-57612125	0.9005
NR_026823	chr12(.):142945-154412	0.8578
NM_001163926	chr12(.):1924432-1950918	1.177
NM_014449	chr12(.):6925962-6941583	1.5598
NM_001195017	chr12(.):6893691-6934976	0.3976
NM_000616	chr12(.):6893637-6934976	0.3973
NM_002286	chr12(.):6876669-6892621	0.3476
NR_027483	chr12(.):6972277-6985110	0.0986
NM_001159287	chr12(.):6971583-6985110	0.096
NM_031299	chr12(.):6952971-6965456	0.1186
NM_001146316	chr12(.):6975099-6987449	0.0979
NM_001098536	chr12(.):6956284-6980795	0.0904
NM_000365	chr12(.):6971692-6985110	0.0968
NM_032641	chr12(.):6975099-6987521	0.0986
NM_002075	chr12(.):6944374-6961557	0.2491
NR_002803	chr12(.):6988144-6998768	0.0509
NM_003481	chr12(.):6956290-6980795	0.0904
NM_001143781	chr12(.):49310741-49323664	0.0767
NM_016594	chr12(.):49310741-49324330	0.0749
NM_015086	chr12(.):49383932-49398088	0.6015
NM_002733	chr12(.):49391054-49417592	0.1837
NM_001659	chr12(.):49324991-49356252	0.0838
NM_003394	chr12(.):49354122-49370641	0.7265
NM_005430	chr12(.):49367235-49381396	1.6439
NM_001130015	chr12(.):52276792-52290505	0.1612
NM_001013690	chr12(.):52206675-52221208	0.6886
NM_005556	chr12(.):52621953-52647709	0.5932
NR_027358	chr12(.):52599713-52622597	0.5692
NM_002281	chr12(.):52674696-52690299	0.4358
NM_182507	chr12(.):52557779-52590784	0.8634
NM_002283	chr12(.):52748789-52766309	1.0803
NM_002282	chr12(.):52703084-52720182	1.0265
NM_002284	chr12(.):52690648-52707947	0.8485
NM_014212	chr12(.):54361909-54375203	1.4196
NM_017409	chr12(.):54373945-54389062	1.6159
NR_029617	chr12(.):54380521-54390631	1.5853
NM_173860	chr12(.):54343713-54355350	1.7962
NR_003716	chr12(.):54351095-54367515	1.5262
NM_017410	chr12(.):54327575-54345328	1.1543
NM_153693	chr12(.):54405641-54429607	1.499
NM_018953	chr12(.):54421831-54434144	1.7065
NM_153633	chr12(.):54442660-54454814	0.6618
NR_026658	chr12(.):54467622-54480607	0.2821
NM_004503	chr12(.):54417193-54429607	1.7068
NM_022658	chr12(.):54397889-54411545	1.7958
NR_026655	chr12(.):54447037-54521018	0.3489
NR_003084	chr12(.):54405641-54434144	1.4799
NM_014620	chr12(.):54405641-54454814	1.1645
NR_030753	chr12(.):54422733-54432829	1.7509
NM_001127322	chr12(.):54619730-54658329	0.0544
NM_001127321	chr12(.):54619730-54658370	0.0544
NM_014311	chr12(.):54570251-54587757	0.2566
NM_020142	chr12(.):57623685-57639475	0.8261
NM_001166357	chr12(.):57619142-57633718	0.4675
NR_029416	chr12(.):57618827-57633718	0.5018
NR_029417	chr12(.):57618355-57633718	0.5447
NR_029415	chr12(.):57619110-57633718	0.47
NM_007224	chr12(.):57605577-57625232	1.3183
NM_145064	chr12(.):57632241-57649969	0.61
NR_031597	chr12(.):57583286-57593359	1.5128
NM_001112732	chr13(.):113617756-113757862	1.2454
NM_019616	chr13(.):113755104-113779995	0.7371
NM_024979	chr13(.):113628654-113757862	1.2493
NR_034002	chr13(.):113616797-113627952	1.1963
NM_000504	chr13(.):113772112-113808843	0.7321
NM_024719	chr13(.):113973504-114023463	0.583
NM_138430	chr13(.):114071583-114112839	0.2831
NM_199162	chr13(.):114071259-114108457	0.3241
NM_025055	chr15(.):74523666-74633482	1.053
NM_000057	chr15(.):91255578-91363686	0.0566
NR_036195	chr15(.):42153692-42163749	1.4863
NM_005090	chr15(.):42115282-42145346	0.2212
NM_001114633	chr15(.):42126010-42145346	0.2924
NM_016642	chr15(.):42135343-42191275	0.7974
NM_001130137	chr15(.):74416995-74434143	0.9312
NM_001130138	chr15(.):74417589-74434143	0.9389
NM_001130136	chr15(.):74416714-74434143	0.9255
NR_027073	chr15(.):74413713-74426619	1.017
NM_020851	chr15(.):74417742-74434143	0.9406
NM_001142617	chr15(.):74466807-74506371	1.1526
NM_022369	chr15(.):74466807-74500220	1.2092
NM_001142618	chr15(.):74466807-74500556	1.2133
NM_005545	chr15(.):74461086-74474212	1.0709
NM_201526	chr15(.):74461904-74474212	1.1011
NM_001142620	chr15(.):74481728-74506371	1.0743
NM_001199041	chr15(.):74466807-74505395	1.1665
NM_001199040	chr15(.):74466807-74507046	1.1445
NM_000781	chr15(.):74625102-74665081	0.4117
NM_182791	chr15(.):74605899-74633482	0.9943
NM_001099773	chr15(.):74625102-74663553	0.4203
NR_027024	chr15(.):78201558-78224188	0.439
NM_001126131	chr15(.):89854535-89883026	0.0577
NR_029692	chr15(.):89906247-89916337	1.5405
NR_015411	chr15(.):89916272-89946718	0.3949
NM_022493	chr16(.):774768-795997	0.3506
NM_022773	chr16(.):898634-1025984	1.0494
NR_033645	chr16(.):898634-1036318	1.0703
NM_001193388	chr16(.):1408205-1469705	0.0542
NM_014714	chr16(.):1555427-1667109	0.4312
NM_001009606	chr16(.):1956464-1973231	1.2376
NM_024507	chr16(.):3009216-3023381	0.7009
NM_001089	chr16(.):2320878-2395747	1.0676
NM_020764	chr16(.):2222183-2251465	1.0882
NM_001098514	chr16(.):5089122-5121111	0.5148
NM_032259	chr16(.):729701-745400	0.4263
NM_001031737	chr16(.):767581-781473	0.3126
NM_138418	chr16(.):686848-703474	0.1011
NM_023933	chr16(.):766157-777590	0.4971
NM_032304	chr16(.):772265-784715	0.1819
NM_138769	chr16(.):713132-729171	0.1233
NM_005861	chr16(.):725114-737768	0.1508
NM_003961	chr16(.):721074-733267	0.1544
NM_207112	chr16(.):771957-784715	0.1803
NM_145294	chr16(.):694362-722829	0.073
NM_153350	chr16(.):737499-760825	1.2795
NM_001005920	chr16(.):726666-739439	0.1217
NM_024042	chr16(.):760172-772480	0.8189
NM_005823	chr16(.):805764-823865	1.1371
NM_058192	chr16(.):829973-843383	0.6627
NM_022092	chr16(.):833621-853074	0.3827
NM_016541	chr16(.):843040-855733	0.487
NM_013404	chr16(.):806072-823865	1.1381
NM_001013638	chr16(.):850442-868861	1.0099
NR_030384	chr16(.):815182-825277	1.0873
NM_001025190	chr16(.):814427-837926	1.2316
NM_001177355	chr16(.):805765-823865	1.1372
NR_036442	chr16(.):1020760-1036318	1.2716
NM_014587	chr16(.):1026807-1041979	1.5197
NR_027242	chr16(.):1109081-1133731	1.3065
NM_001053	chr16(.):1123780-1136454	1.1962
NM_207419	chr16(.):1133225-1151244	1.0556
NM_001172560	chr16(.):1117755-1136454	1.1921
NM_021098	chr16(.):1198240-1276772	1.5638
NM_024164	chr16(.):1273335-1285185	1.4653
NM_003294	chr16(.):1285677-1297555	1.525
NM_012467	chr16(.):1266650-1280254	1.9816
NM_012217	chr16(.):1301272-1313494	1.7587
NM_003345	chr16(.):1354637-1380390	0.1128
NM_194261	chr16(.):1354179-1380390	0.1174
NM_023076	chr16(.):1408205-1434684	0.0494
NM_194260	chr16(.):1354360-1380390	0.116
NM_001199097	chr16(.):1378605-1404442	0.8162
NM_003933	chr16(.):1379504-1404442	0.835
NM_001199096	chr16(.):1381197-1404442	0.876
NM_001287	chr16(.):1489934-1530085	0.2084
NM_016111	chr16(.):1538351-1565460	0.2809
NM_001143980	chr16(.):1479388-1499490	1.2678
NM_001010878	chr16(.):1464943-1484345	0.9124
NM_001013658	chr16(.):1530939-1543468	1.2508
NM_024600	chr16(.):1579230-1610243	0.7848
NM_152764	chr16(.):1878988-1927102	0.1638
NM_001163560	chr16(.):1878983-1927179	0.1635
NR_033914	chr16(.):1923285-1939232	0.2645
NM_002952	chr16(.):2007061-2019827	0.2601
NR_002327	chr16(.):2007334-2017467	0.2825
NR_002326	chr16(.):2007973-2018107	0.2464
NM_004548	chr16(.):2004516-2016976	0.4262
NM_016332	chr16(.):1983233-1998294	0.339
NM_005061	chr16(.):1989579-2009679	0.5829
NM_006453	chr16(.):2017063-2033751	0.3999
NR_003142	chr16(.):2009996-2020505	0.1389
NR_003020	chr16(.):2010184-2020311	0.1382
NM_174903	chr16(.):2011874-2023976	0.1384
NM_014353	chr16(.):2193650-2209141	0.3254
NR_002736	chr16(.):2200023-2210106	0.149
NM_000296	chr16(.):2133710-2190899	0.0858
NM_032271	chr16(.):2200798-2233130	0.0897
NR_037467	chr16(.):2180977-2191130	0.1877
NM_022372	chr16(.):2250177-2264418	0.3152
NM_004424	chr16(.):2268566-2290743	0.1658
NM_001374	chr16(.):2281467-2293712	0.2506
NM_182563	chr16(.):2254253-2266069	0.0935
NM_001919	chr16(.):2284872-2306602	0.1774
NR_030636	chr16(.):2316747-2326841	0.3924
NM_001042371	chr16(.):2256602-2269822	0.067
NM_001199174	chr16(.):2250731-2264418	0.2564
NR_037448	chr16(.):2315713-2325773	0.2362
NM_006711	chr16(.):2298099-2322858	0.09
NM_080594	chr16(.):2298099-2323413	0.0921
NR_003574	chr16(.):2385922-2481700	0.1945
NM_007108	chr16(.):2816414-2832297	0.1919
NM_145252	chr16(.):2875172-2887285	1.46
NM_006799	chr16(.):2862163-2876718	1.4914
NM_152891	chr16(.):2828953-2841708	0.9768
NM_001135086	chr16(.):2843485-2860133	0.7007
NM_022119	chr16(.):2897727-2913171	0.9138
NR_026864	chr16(.):2884573-2897752	0.7947
NM_001142499	chr16(.):2928195-2954383	0.1874
NM_001012634	chr16(.):3110638-3124668	0.8178
NM_001012632	chr16(.):3110662-3124668	0.8184
NM_020982	chr16(.):3057456-3069506	1.641
NM_004221	chr16(.):3110312-3124668	0.8244
NM_001142350	chr16(.):3069031-3082756	1.0093
NM_032805	chr16(.):3133894-3147861	0.827
NM_017885	chr16(.):3067625-3079287	0.6873
NM_152341	chr16(.):3014341-3028485	0.2101
NM_001012636	chr16(.):3110784-3124668	0.8202
NM_001012635	chr16(.):3110611-3124668	0.8176
NM_001103175	chr16(.):3072867-3090542	1.4496
NM_016639	chr16(.):3065312-3077383	0.7602
NM_021195	chr16(.):3059712-3073188	1.3243
NM_022468	chr16(.):3091681-3115724	1.179
NR_033861	chr16(.):3034054-3049510	1.6841
NM_004203	chr16(.):3017791-3035540	0.2603
NM_003223	chr16(.):4302186-4328001	0.1018
NM_138440	chr16(.):4416848-4438529	0.0439
NM_016069	chr16(.):4385251-4406300	0.0919
NM_032575	chr16(.):4377224-4394598	0.5282
NM_014692	chr16(.):5003317-5074156	0.765
NM_016256	chr16(.):5069844-5088942	0.4218
NM_019109	chr16(.):5116809-5142380	0.1213
NM_178518	chr17(.):7333761-7345998	0.8707
NM_021962	chr17(.):901758-1088131	0.5909
NM_001159746	chr17(.):901758-1095616	0.6377
NM_025248	chr17(.):36681258-36767183	1.1833
NM_002055	chr17(.):42977992-42997914	0.765
NM_153209	chr17(.):72317350-72356959	1.0687
NM_173628	chr17(.):76414777-76578476	0.9693
NM_020761	chr17(.):78513624-78945173	0.0721
NM_022463	chr17(.):697584-888010	1.2419
NM_001092	chr17(.):901758-1017324	0.0788
NM_001190413	chr17(.):57179-207633	0.7788
NM_015721	chr17(.):642660-660501	0.1088
NM_001105538	chr17(.):4437190-4463681	0.1391
NM_001197216	chr17(.):7071750-7087883	1.0358
NM_153357	chr17(.):6939948-6952242	0.7963
NM_018081	chr17(.):7586666-7611820	0.376
NM_001143991	chr17(.):7585757-7611820	0.3642
NM_020877	chr17(.):7618038-7742058	1.1029
NM_001143990	chr17(.):7584388-7611820	0.3507
NM_012138	chr17(.):35301174-35419171	0.0752
NM_004382	chr17(.):43856645-43918194	1.043
NM_003110	chr17(.):45968515-46011323	0.0521
NM_002507	chr17(.):47567654-47597382	1.4814
NM_003786	chr17(.):48707217-48774063	0.3482
NM_022827	chr17(.):48619561-48638213	0.656
NM_030779	chr17(.):61595694-61628602	0.5322
NM_178128	chr17(.):72868472-72894705	1.1729
NM_181449	chr17(.):72601021-72624897	1.0097
NM_001003716	chr17(.):73639944-73668269	0.0677
NM_004259	chr17(.):73617949-73668265	0.1224
NM_006456	chr17(.):74556460-74587145	0.4334
NM_024419	chr17(.):76369734-76425639	0.1587
NM_001082575	chr17(.):77080426-77483563	1.3584
NM_019020	chr17(.):77908818-78014647	1.3129
NR_029376	chr17(.):78320630-78393968	0.2039
NM_014740	chr17(.):78104012-78125982	0.1411
NM_001009811	chr17(.):79158392-79201751	0.1638
NM_017451	chr17(.):79003946-79096232	2.0005
NM_017450	chr17(.):79003946-79089312	2.049
NM_178520	chr17(.):79280071-79309474	1.476
NM_001080519	chr17(.):79368539-79438358	1.6944
