REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02.bam	35_0EXN_0229Kronos_MM1S-No-Treatment-1_Input_hs_i77.bam
3_MACS_peak_32071_lociStitched	chr8	144817638	144828498	3	9899	13565.226	1069.71
3_MACS_peak_2779_lociStitched	chr1	19375693	19386546	3	10109	16513.9248	1078.7882
5_MACS_peak_32421_lociStitched	chr9	129280066	129290906	5	10032	14142.948	1315.9759999999999
8_MACS_peak_14723_lociStitched	chr17	72439231	72450065	8	9431	11128.684799999999	999.9781999999999
6_MACS_peak_32415_lociStitched	chr9	129267836	129278659	6	9099	12569.8322	1182.9539
3_MACS_peak_4291_lociStitched	chr1	46950160	46960977	3	10575	18082.7789	1074.1281
4_MACS_peak_10972_lociStitched	chr16	2832515	2843302	4	9577	14139.5996	1150.9729
8_MACS_peak_18525_lociStitched	chr19	36467015	36477801	8	9646	10969.362	1033.2988
7_MACS_peak_15711_lociStitched	chr17	81117669	81128450	7	9799	12593.2861	1030.6636
3_MACS_peak_6880_lociStitched	chr11	61393956	61404735	3	10565	12880.905	1198.6247999999998
8_MACS_peak_32478_lociStitched	chr9	130906549	130917321	8	8464	9859.6116	1194.6148
5_MACS_peak_7159_lociStitched	chr11	66058484	66069249	5	9390	14645.782500000001	837.5169999999999
8_MACS_peak_2112_lociStitched	chr1	17517112	17527851	8	8555	10486.6335	890.2631
10_MACS_peak_30199_lociStitched	chr7	155214781	155225518	10	8560	9349.7796	1009.278
6_MACS_peak_29045_lociStitched	chr7	1635136	1645870	6	9375	11693.6196	649.4069999999999
8_MACS_peak_27697_lociStitched	chr5	1411638	1422367	8	7312	9280.585	969.9015999999999
4_MACS_peak_15636_lociStitched	chr17	80265518	80276245	4	9479	14497.5405	1033.0101
4_MACS_peak_3968_lociStitched	chr1	32255904	32266623	4	10138	13766.4117	1322.7246
10_MACS_peak_18758_lociStitched	chr19	41007923	41018642	10	8237	9616.0149	1135.1421
8_MACS_peak_14033_lociStitched	chr17	44846578	44857290	8	9646	12001.7248	1041.2064
7_MACS_peak_33549_lociStitched	chr9	137798972	137809684	7	8785	10649.8704	834.4648
8_MACS_peak_7432_lociStitched	chr11	69276911	69287621	8	8070	9280.215	866.439
6_MACS_peak_16993_lociStitched	chr19	8239123	8249833	6	9218	10482.948	1317.33
6_MACS_peak_10330_lociStitched	chr15	74545041	74555739	6	9666	11529.234600000002	822.6762
5_MACS_peak_3897_lociStitched	chr1	31313513	31324204	5	9837	13465.3145	1232.6723
3_MACS_peak_14617_lociStitched	chr17	72188917	72199605	3	10606	16704.2752	1164.992
6_MACS_peak_7338_lociStitched	chr11	68447902	68458589	6	9872	11843.333400000001	1007.7841
9_MACS_peak_31771_lociStitched	chr8	143552155	143562840	9	8401	9136.7435	757.5665
7_MACS_peak_31788_lociStitched	chr8	143585086	143595768	7	8662	10445.9278	710.3530000000001
5_MACS_peak_13056_lociStitched	chr17	7549529	7560204	5	9629	14308.77	1178.52
7_MACS_peak_4909_lociStitched	chr1	223736090	223746764	7	9032	9103.8546	379.9944
6_MACS_peak_29001_lociStitched	chr7	1441586	1452259	6	8814	11425.4465	692.6777
9_MACS_peak_3747_lociStitched	chr1	30714503	30725173	9	8591	9483.496000000001	927.2230000000001
3_MACS_peak_4500_lociStitched	chr1	156044872	156055534	3	9670	12679.2504	1798.6794
5_MACS_peak_19387_lociStitched	chr19	47153543	47164204	5	9496	13167.401100000001	1183.371
5_MACS_peak_31942_lociStitched	chr8	144206591	144217252	5	9408	11868.8913	808.1038000000001
4_MACS_peak_23751_lociStitched	chr22	21715522	21726174	4	10490	12036.759999999998	590.1208
5_MACS_peak_26331_lociStitched	chr3	197382404	197393038	5	9332	11275.2302	2438.3762
8_MACS_peak_1446_lociStitched	chr1	8268630	8279251	8	7911	9787.2515	758.3394000000001
2_MACS_peak_19915_lociStitched	chr19	50963953	50974568	2	10565	14512.828	1188.88
3_MACS_peak_23484_lociStitched	chr21	47495049	47505664	3	10233	15024.471	1246.201
6_MACS_peak_10998_lociStitched	chr16	3004600	3015214	6	8839	13993.4976	1147.3734
6_MACS_peak_15610_lociStitched	chr17	79698471	79709080	6	9072	12217.3244	1218.9741000000001
5_MACS_peak_13871_lociStitched	chr17	41928666	41939269	5	9707	13388.408099999999	1109.0738
8_MACS_peak_5192_lociStitched	chr10	71328328	71338925	8	9390	10723.1043	893.3271
2_MACS_peak_19132_lociStitched	chr19	45349378	45359973	2	10592	17663.984	1167.569
8_MACS_peak_23271_lociStitched	chr21	46065765	46076359	8	9834	11812.31	1039.2714
6_MACS_peak_7534_lociStitched	chr11	69674209	69684784	6	9005	11280.352499999999	820.62
11_MACS_peak_29174_lociStitched	chr7	4909655	4920220	11	7048	8664.3565	788.149
3_MACS_peak_19425_lociStitched	chr19	47940225	47950786	3	9600	11973.0057	1297.9469
8_MACS_peak_15307_lociStitched	chr17	77611756	77622313	8	7393	7559.8677	469.7865
3_MACS_peak_14330_lociStitched	chr17	58086222	58096765	3	10219	14592.5663	1670.0112000000001
6_MACS_peak_14453_lociStitched	chr17	71376449	71386984	6	8741	10448.613	892.3145
9_MACS_peak_8872_lociStitched	chr12	52572320	52582843	9	8099	9242.3509	1068.0845000000002
2_MACS_peak_15864_lociStitched	chr19	366058	376571	2	10366	15498.2646	1125.9423
2_MACS_peak_19140_lociStitched	chr19	45407878	45418389	2	10171	14492.5668	982.7785
5_MACS_peak_6214_lociStitched	chr11	358538	369047	5	9175	15098.2803	1103.445
6_MACS_peak_15814_lociStitched	chr19	71742	82247	6	9398	8413.4545	1760.638
7_MACS_peak_19235_lociStitched	chr19	46431497	46441999	7	9155	11397.8206	994.5394000000001
4_MACS_peak_34154_lociStitched	chr9	140385838	140396329	4	9646	12083.5338	1027.0689
4_MACS_peak_14045_lociStitched	chr17	44889262	44899752	4	9290	15181.128	1122.43
4_MACS_peak_24813_lociStitched	chr22	44719698	44730184	4	9022	10906.4886	1160.8002000000001
4_MACS_peak_26757_lociStitched	chr4	7121079	7131554	4	10100	11576.97	940.6550000000001
4_MACS_peak_29996_lociStitched	chr7	150968835	150979309	4	9333	14139.900000000001	1597.2849999999999
6_MACS_peak_25100_lociStitched	chr22	45387066	45397538	6	9690	12200.9272	638.792
3_MACS_peak_6523_lociStitched	chr11	2149814	2160282	3	10061	15758.5272	560.038
3_MACS_peak_9294_lociStitched	chr13	100073297	100083751	3	9348	13379.0292	1301.523
6_MACS_peak_10289_lociStitched	chr15	74415488	74425940	6	8538	14905.597199999998	807.9395999999999
4_MACS_peak_19218_lociStitched	chr19	46261459	46271908	4	9046	13289.0382	1006.2387
9_MACS_peak_28486_lociStitched	chr6	33864951	33875400	9	7566	8942.2542	1082.5164
9_MACS_peak_33688_lociStitched	chr9	138070368	138080812	9	8338	9582.369999999999	648.5724
6_MACS_peak_32961_lociStitched	chr9	135295128	135305556	6	8511	10689.742799999998	884.2944
9_MACS_peak_18910_lociStitched	chr19	41755801	41766224	9	7669	9408.8421	1100.6688
7_MACS_peak_5346_lociStitched	chr10	73149995	73160413	7	7625	10905.562399999999	1015.755
5_MACS_peak_24919_lociStitched	chr22	45015884	45026298	5	10196	12694.666000000001	756.0563999999999
4_MACS_peak_13066_lociStitched	chr17	7636195	7646603	4	10272	14644.056	1195.8792
7_MACS_peak_12644_lociStitched	chr17	885800	896205	7	9771	10988.720500000001	1043.6215
9_MACS_peak_2063_lociStitched	chr1	17389519	17399922	9	8771	10062.8219	1175.539
5_MACS_peak_19777_lociStitched	chr19	49892382	49902783	5	9290	10898.167800000001	1022.4182999999999
4_MACS_peak_2943_lociStitched	chr1	20798553	20808950	4	9324	10960.5174	1071.9307
11_MACS_peak_8795_lociStitched	chr12	52208428	52218815	11	8140	9676.529199999999	820.573
6_MACS_peak_14627_lociStitched	chr17	72240380	72250764	6	9011	10476.417599999999	851.488
4_MACS_peak_17903_lociStitched	chr19	17804483	17814864	4	10238	11676.5488	994.4997999999999
4_MACS_peak_12769_lociStitched	chr17	2677092	2687464	4	9963	13478.414	949.038
5_MACS_peak_13378_lociStitched	chr17	21220077	21230447	5	9562	12413.927	2256.5119999999997
4_MACS_peak_33086_lociStitched	chr9	135743286	135753656	4	9589	11765.802	1226.771
9_MACS_peak_5770_lociStitched	chr10	126709151	126719508	9	6594	9047.8752	787.132
6_MACS_peak_6327_lociStitched	chr11	1374344	1384693	6	9026	12324.6241	975.9106999999999
4_MACS_peak_3387_lociStitched	chr1	26363874	26374218	4	8887	13101.7104	1076.8104
6_MACS_peak_5624_lociStitched	chr10	102619314	102629653	6	9655	10058.8131	968.7643
7_MACS_peak_7932_lociStitched	chr11	71095623	71105950	7	8888	10967.274000000001	973.8361
8_MACS_peak_5276_lociStitched	chr10	71648397	71658717	8	8268	10503.696	808.0559999999999
2_MACS_peak_17189_lociStitched	chr19	10620974	10631291	2	10318	16118.2491	1253.5155
7_MACS_peak_3978_lociStitched	chr1	33349390	33359692	7	7431	8963.770199999999	912.7572
2_MACS_peak_2947_lociStitched	chr1	20810158	20820458	2	9950	15263.57	985.7099999999999
10_MACS_peak_835_lociStitched	chr1	4785984	4796282	10	5831	8470.105	644.6548
8_MACS_peak_7014_lociStitched	chr11	64201402	64211691	8	9017	9872.2955	1160.5991999999999
4_MACS_peak_12517_lociStitched	chr17	179778	190053	4	9965	12090.5925	692.535
7_MACS_peak_33073_lociStitched	chr9	135676846	135687110	7	9434	11380.7232	991.5024000000001
8_MACS_peak_4133_lociStitched	chr1	37446117	37456380	8	6604	8793.3384	792.3036000000001
8_MACS_peak_28705_lociStitched	chr6	44249681	44259939	8	7482	9570.714	971.4326000000001
3_MACS_peak_32492_lociStitched	chr9	130979307	130989545	3	8987	13013.521799999999	1198.8698
6_MACS_peak_20551_lociStitched	chr2	26927196	26937426	6	9344	11129.217	856.251
7_MACS_peak_15081_lociStitched	chr17	76340599	76350823	7	8084	10070.64	1130.7744
6_MACS_peak_3904_lociStitched	chr1	31347129	31357342	6	9379	11684.693299999999	924.2764999999999
4_MACS_peak_26262_lociStitched	chr3	184487224	184497435	4	9717	11660.962	1636.8233
2_MACS_peak_14255_lociStitched	chr17	48278137	48288346	2	10104	15188.9502	1143.4080000000001
6_MACS_peak_14945_lociStitched	chr17	74959265	74969474	6	7863	10423.389	1186.2857999999999
5_MACS_peak_22832_lociStitched	chr20	62778883	62789086	5	9100	11819.155200000001	849.9099
5_MACS_peak_24835_lociStitched	chr22	44799571	44809757	5	8760	11240.250999999998	683.4806000000001
4_MACS_peak_31220_lociStitched	chr8	22531228	22541407	4	8964	10810.098	1018.9178999999999
4_MACS_peak_7988_lociStitched	chr11	72320962	72331140	4	9200	12903.6684	1105.3308
1_MACS_peak_29588_lociStitched	chr7	100312528	100322703	1	10176	16605.6	1145.7050000000002
2_MACS_peak_32717_lociStitched	chr9	133062920	133073094	2	10138	12399.0538	768.137
4_MACS_peak_16469_lociStitched	chr19	5259672	5269845	4	9983	12755.9247	1049.8536
8_MACS_peak_15844_lociStitched	chr19	324491	334662	8	8187	8526.3493	1094.3996
5_MACS_peak_25910_lociStitched	chr3	48456130	48466301	5	8191	11048.757300000001	1089.3141
1_MACS_peak_22910_lociStitched	chr21	38071905	38082067	1	10163	16783.5592	1022.2972
7_MACS_peak_5444_lociStitched	chr10	73459077	73469235	7	8561	9851.2284	1021.8947999999999
6_MACS_peak_13050_lociStitched	chr17	7536818	7546971	6	8166	11017.0203	1107.6923
5_MACS_peak_5995_lociStitched	chr10	134749659	134759805	5	8491	10018.1604	718.3368
3_MACS_peak_19435_lociStitched	chr19	47968027	47978168	3	10107	14464.1083	871.1119
11_MACS_peak_2709_lociStitched	chr1	19103784	19113923	11	7189	8647.5531	850.6621
8_MACS_peak_27145_lociStitched	chr4	8107094	8117230	8	8805	10476.5696	661.8808
8_MACS_peak_19888_lociStitched	chr19	50856743	50866861	8	7812	9578.7106	919.7262
7_MACS_peak_3464_lociStitched	chr1	29635688	29645803	7	8402	10382.036	832.4644999999999
6_MACS_peak_17515_lociStitched	chr19	14454805	14464920	6	8581	11664.618	1062.075
6_MACS_peak_24192_lociStitched	chr22	37001464	37011576	6	8430	11219.264	1030.4128
3_MACS_peak_22895_lociStitched	chr21	34391677	34401788	3	9056	19021.8243	1748.1919
7_MACS_peak_10374_lociStitched	chr15	75114016	75124123	7	8728	10645.703099999999	1153.2087
8_MACS_peak_12316_lociStitched	chr16	88477202	88487308	8	9108	11197.448	550.777
6_MACS_peak_15826_lociStitched	chr19	275324	285430	6	8837	10609.2788	1107.6176
5_MACS_peak_7292_lociStitched	chr11	67263232	67273337	5	9198	12343.2575	1011.5105
7_MACS_peak_30703_lociStitched	chr7	158265048	158275123	7	8610	10706.7025	1110.265
7_MACS_peak_12381_lociStitched	chr16	89118520	89128594	7	7712	10063.926	494.6334
8_MACS_peak_12529_lociStitched	chr17	232010	242083	8	7627	9641.875600000001	787.7086
3_MACS_peak_16180_lociStitched	chr19	3163072	3173141	3	10054	12142.2071	1327.0942
3_MACS_peak_13162_lociStitched	chr17	8212614	8222682	3	9779	14722.436399999999	1083.3168
1_MACS_peak_32373_lociStitched	chr9	126130007	126140075	1	10069	19154.370000000003	1128.6228
4_MACS_peak_15008_lociStitched	chr17	75832901	75842964	4	9304	10767.41	1200.5159
5_MACS_peak_27830_lociStitched	chr5	72449315	72459369	5	7624	9469.8626	1382.4250000000002
7_MACS_peak_27940_lociStitched	chr5	172656332	172666381	7	8630	9895.2503	555.7097
8_MACS_peak_10984_lociStitched	chr16	2906701	2916745	8	8960	11208.0996	906.9732
6_MACS_peak_16843_lociStitched	chr19	7629426	7639467	6	8807	10951.7187	1547.3181
3_MACS_peak_15953_lociStitched	chr19	1230580	1240615	3	9666	30032.748	1477.152
3_MACS_peak_16229_lociStitched	chr19	3311224	3321253	3	9782	14193.0408	1088.1465
5_MACS_peak_18079_lociStitched	chr19	19334834	19344861	5	8838	11495.9555	853.2977
1_MACS_peak_10895_lociStitched	chr16	1381910	1391926	1	10017	19966.896	917.4656
5_MACS_peak_22787_lociStitched	chr20	62430100	62440113	5	8767	10305.379599999998	909.1804000000001
4_MACS_peak_14797_lociStitched	chr17	72849424	72859431	4	9528	17132.9847	1089.7622999999999
7_MACS_peak_3111_lociStitched	chr1	22614700	22624690	7	8401	9188.802	1177.8210000000001
6_MACS_peak_14362_lociStitched	chr17	60342649	60352636	6	9308	11817.6171	1588.9316999999999
6_MACS_peak_10183_lociStitched	chr15	65679821	65689806	6	8280	10111.8095	944.581
6_MACS_peak_13384_lociStitched	chr17	21239774	21249753	6	8970	10816.2381	1708.4048
4_MACS_peak_10901_lociStitched	chr16	1531649	1541619	4	9808	15754.594000000001	705.876
5_MACS_peak_22324_lociStitched	chr20	58149556	58159515	5	9156	10811.490399999999	793.7322999999999
9_MACS_peak_32691_lociStitched	chr9	133000200	133010149	9	6669	8866.5488	1192.8851
6_MACS_peak_16723_lociStitched	chr19	6318914	6328857	6	8832	9950.954399999999	1290.6014
4_MACS_peak_32496_lociStitched	chr9	131001350	131011286	4	9174	10974.312	958.8240000000001
10_MACS_peak_10618_lociStitched	chr15	85804088	85814022	10	6978	7548.8466	687.4327999999999
6_MACS_peak_2752_lociStitched	chr1	19174278	19184191	6	7912	9750.426800000001	970.4827
2_MACS_peak_7426_lociStitched	chr11	69247056	69256966	2	9666	11882.09	872.0799999999999
4_MACS_peak_26550_lociStitched	chr4	3771879	3781784	4	9009	10787.5355	664.6255000000001
2_MACS_peak_4657_lociStitched	chr1	197879368	197889259	2	9631	15978.9105	1861.4862
8_MACS_peak_5930_lociStitched	chr10	134332487	134342377	8	7029	8713.09	791.2
5_MACS_peak_10820_lociStitched	chr16	1021159	1031049	5	8602	12472.279	693.289
7_MACS_peak_11320_lociStitched	chr16	29240455	29250328	7	8544	10535.478299999999	815.5098
9_MACS_peak_11956_lociStitched	chr16	85541488	85551361	9	7101	8907.4206	380.1105
1_MACS_peak_32853_lociStitched	chr9	133923451	133933311	1	9861	14058.387999999999	1162.4940000000001
4_MACS_peak_23135_lociStitched	chr21	44688809	44698667	4	9717	10809.297	1291.3980000000001
2_MACS_peak_32217_lociStitched	chr9	34621604	34631459	2	9306	17271.873	1164.861
2_MACS_peak_31854_lociStitched	chr8	143830900	143840752	2	9037	10797.792000000001	668.9508000000001
4_MACS_peak_5582_lociStitched	chr10	102465984	102475831	4	8975	11459.9386	846.842
3_MACS_peak_33931_lociStitched	chr9	138853724	138863571	3	9443	12578.5578	1087.1088
4_MACS_peak_28455_lociStitched	chr6	33713350	33723196	4	9005	11593.664999999999	974.754
7_MACS_peak_33126_lociStitched	chr9	135953753	135963595	7	9443	10156.944	778.5022
9_MACS_peak_4298_lociStitched	chr1	46991209	47001037	9	7557	8816.6988	1173.4632000000001
5_MACS_peak_6458_lociStitched	chr11	1861515	1871335	5	9011	12198.404	802.294
1_MACS_peak_15968_lociStitched	chr19	1445186	1454994	1	9809	33826.811200000004	1527.1056
4_MACS_peak_15905_lociStitched	chr19	520265	530064	4	9078	14171.3138	1394.3977
6_MACS_peak_18719_lociStitched	chr19	39753410	39763209	6	7546	10716.186399999999	816.2567
1_MACS_peak_16394_lociStitched	chr19	4625724	4635516	1	9793	15428.275199999998	1553.9904000000001
3_MACS_peak_4606_lociStitched	chr1	161433316	161443096	3	8750	13149.210000000001	3863.1000000000004
5_MACS_peak_17322_lociStitched	chr19	13179074	13188848	5	8769	10750.422600000002	792.6714000000001
9_MACS_peak_7657_lociStitched	chr11	70071234	70080998	9	7160	8817.8684	876.8072000000001
2_MACS_peak_32558_lociStitched	chr9	132159574	132169336	2	9290	12224.9526	934.2234
5_MACS_peak_13366_lociStitched	chr17	20411615	20421370	5	8483	8688.7785	742.3555
2_MACS_peak_7022_lociStitched	chr11	64216775	64226524	2	9625	12363.6818	1054.8418000000001
7_MACS_peak_22779_lociStitched	chr20	62406635	62416377	7	7854	9839.42	938.1546
10_MACS_peak_28497_lociStitched	chr6	33881386	33891124	10	7030	8255.8764	827.73
1_MACS_peak_9975_lociStitched	chr14	105659248	105668958	1	9711	12940.517	507.83299999999997
5_MACS_peak_8931_lociStitched	chr12	52755848	52765549	5	9282	11207.5653	964.2794
4_MACS_peak_23284_lociStitched	chr21	46100828	46110529	4	8690	11527.6983	914.8042999999999
7_MACS_peak_8242_lociStitched	chr11	119018220	119027893	7	7719	10176.9633	1544.7781
2_MACS_peak_33169_lociStitched	chr9	136108529	136118192	2	9639	11327.934899999998	675.4437
6_MACS_peak_4204_lociStitched	chr1	37790289	37799950	6	6542	7862.1218	906.2017999999999
10_MACS_peak_25058_lociStitched	chr22	45308713	45318357	10	8426	9756.8348	620.1092
7_MACS_peak_12252_lociStitched	chr16	88263295	88272936	7	8234	9253.4318	433.84499999999997
8_MACS_peak_2806_lociStitched	chr1	20509606	20519239	8	8107	9616.6239	877.5663
1_MACS_peak_29858_lociStitched	chr7	102257278	102266901	1	9624	21562.2561	2886.9
6_MACS_peak_33996_lociStitched	chr9	139258632	139268247	6	8438	11680.302000000001	832.659
4_MACS_peak_16650_lociStitched	chr19	6039105	6048718	4	9192	12468.061	1281.4129
4_MACS_peak_16654_lociStitched	chr19	6056249	6065860	4	8274	11234.2979	1378.2174
2_MACS_peak_22632_lociStitched	chr20	61445745	61455354	2	8728	18175.4235	861.9273000000001
5_MACS_peak_21636_lociStitched	chr20	43377832	43387440	5	8176	10311.3056	861.8376000000001
3_MACS_peak_10389_lociStitched	chr15	75577957	75587560	3	9398	11876.0301	1567.2096000000001
6_MACS_peak_21462_lociStitched	chr20	31595258	31604861	6	8746	10096.5942	759.5973
4_MACS_peak_27025_lociStitched	chr4	7733708	7743299	4	9210	10227.8424	689.5929000000001
7_MACS_peak_26841_lociStitched	chr4	7285796	7295358	7	8277	9422.3948	770.6972000000001
6_MACS_peak_1343_lociStitched	chr1	7616754	7626312	6	8554	10694.4462	755.082
10_MACS_peak_1747_lociStitched	chr1	11444319	11453877	10	8329	9026.5752	883.1591999999999
8_MACS_peak_2182_lociStitched	chr1	17661920	17671471	8	7121	9118.3397	900.6592999999999
5_MACS_peak_24434_lociStitched	chr22	39191700	39201241	5	8435	11224.9865	1055.2346
5_MACS_peak_13412_lociStitched	chr17	21299507	21309047	5	8456	10122.894	1381.392
1_MACS_peak_22786_lociStitched	chr20	62418274	62427813	1	9540	11780.665	1220.992
2_MACS_peak_10739_lociStitched	chr16	605941	615478	2	9242	19097.8425	729.5805
8_MACS_peak_17521_lociStitched	chr19	14466760	14476296	8	7416	7728.928	741.9007999999999
3_MACS_peak_11141_lociStitched	chr16	4643902	4653436	3	9198	13810.952400000002	976.2816
5_MACS_peak_26750_lociStitched	chr4	7105030	7114556	5	8365	10648.162799999998	871.629
4_MACS_peak_10284_lociStitched	chr15	74381133	74390658	4	8541	7985.76	1135.38
4_MACS_peak_5407_lociStitched	chr10	73330589	73340109	4	9262	11727.688	792.064
8_MACS_peak_20078_lociStitched	chr19	54902839	54912355	8	6567	8315.0808	817.4244
4_MACS_peak_28075_lociStitched	chr5	176808062	176817576	4	8645	13118.8546	1205.4238
6_MACS_peak_10595_lociStitched	chr15	82908942	82918448	6	7938	8133.3336	544.6938
7_MACS_peak_4319_lociStitched	chr1	47689060	47698547	7	8263	10782.924200000001	962.9305
9_MACS_peak_3807_lociStitched	chr1	30875843	30885328	9	6817	8359.1305	737.933
5_MACS_peak_28942_lociStitched	chr7	1324407	1333892	5	7793	9743.9405	726.551
8_MACS_peak_27998_lociStitched	chr5	176127692	176137169	8	8645	9498.7971	1005.5097
4_MACS_peak_33060_lociStitched	chr9	135623655	135633128	4	8705	11523.904499999999	927.4067
4_MACS_peak_15388_lociStitched	chr17	77857511	77866976	4	8348	11228.3295	776.13
2_MACS_peak_15951_lociStitched	chr19	996068	1005529	2	9412	16050.5865	1439.0181000000002
3_MACS_peak_28418_lociStitched	chr6	32112621	32122081	3	8953	12492.876	892.078
2_MACS_peak_6198_lociStitched	chr11	303177	312634	2	8606	12996.7551	1034.5958
7_MACS_peak_11373_lociStitched	chr16	29906011	29915461	7	8219	10824.975	1041.39
10_MACS_peak_24245_lociStitched	chr22	37101215	37110656	10	6310	8018.241300000001	810.0378000000001
10_MACS_peak_33581_lociStitched	chr9	137879934	137889373	10	7104	8567.7803	705.0933
2_MACS_peak_7179_lociStitched	chr11	66131888	66141318	2	9416	15964.99	1136.315
5_MACS_peak_21314_lociStitched	chr20	3145811	3155228	5	7756	10399.1931	1106.4975
3_MACS_peak_1690_lociStitched	chr1	11001666	11011082	3	8600	11986.568	1128.9784
7_MACS_peak_18802_lociStitched	chr19	41349183	41358586	7	8160	9080.4771	845.3296999999999
4_MACS_peak_9869_lociStitched	chr14	105203793	105213190	4	8560	11072.4851	530.9305
4_MACS_peak_22594_lociStitched	chr20	61074408	61083802	4	9023	10996.6164	883.9754
6_MACS_peak_25628_lociStitched	chr3	10367814	10377197	6	7084	9087.4355	988.0299
4_MACS_peak_5618_lociStitched	chr10	102583643	102593022	4	8922	12927.075700000001	1054.1996
3_MACS_peak_6291_lociStitched	chr11	1108972	1118345	3	8630	11158.556499999999	624.2418
3_MACS_peak_11506_lociStitched	chr16	56664989	56674358	3	9106	16497.8721	1001.5460999999999
5_MACS_peak_5047_lociStitched	chr10	1228148	1237510	5	7397	9208.4632	853.8144
4_MACS_peak_29656_lociStitched	chr7	100651632	100660988	4	7910	9320.4472	1023.5464
4_MACS_peak_33178_lociStitched	chr9	136129608	136138951	4	8449	10316.5406	809.1038
2_MACS_peak_15048_lociStitched	chr17	75944571	75953907	2	8866	11528.092799999999	1219.2816
2_MACS_peak_30932_lociStitched	chr8	1907037	1916373	2	9286	12150.804	808.4975999999999
7_MACS_peak_22146_lociStitched	chr20	57188464	57197799	7	8579	9594.513	783.2065
5_MACS_peak_25834_lociStitched	chr3	14591281	14600612	5	8749	9772.3563	823.9273000000001
6_MACS_peak_32586_lociStitched	chr9	132241323	132250653	6	7440	10666.989	888.216
3_MACS_peak_22705_lociStitched	chr20	61922469	61931796	3	8729	15211.4043	952.2867
3_MACS_peak_14836_lociStitched	chr17	72995857	73005177	3	8309	11915.619999999999	804.316
10_MACS_peak_686_lociStitched	chr1	4143344	4152661	10	5825	7091.1687	598.1514
5_MACS_peak_16765_lociStitched	chr19	6690257	6699566	5	8578	11458.448100000001	1407.5208
6_MACS_peak_33737_lociStitched	chr9	138166378	138175686	6	8881	9698.936	727.8856000000001
1_MACS_peak_14934_lociStitched	chr17	74922257	74931564	1	9308	13888.8361	991.1954999999999
2_MACS_peak_4827_lociStitched	chr1	205009631	205018936	2	9174	15575.6395	1104.5035
3_MACS_peak_16191_lociStitched	chr19	3225474	3234778	3	8583	13144.691200000001	1152.7656
1_MACS_peak_32215_lociStitched	chr9	34584363	34593665	1	9303	14388.3336	1077.1716
4_MACS_peak_2330_lociStitched	chr1	18055175	18064476	4	8777	10071.1228	652.0001
8_MACS_peak_8907_lociStitched	chr12	52694966	52704252	8	7676	9552.5082	966.6726
2_MACS_peak_25514_lociStitched	chr22	50340018	50349302	2	8963	13352.2488	863.412
2_MACS_peak_6544_lociStitched	chr11	2276870	2286144	2	9233	14011.1592	729.8638000000001
4_MACS_peak_19616_lociStitched	chr19	49064730	49074004	4	7951	9721.006800000001	925.5452
1_MACS_peak_29855_lociStitched	chr7	102158296	102167562	1	9267	20585.3456	2874.3131999999996
4_MACS_peak_20089_lociStitched	chr19	54928927	54938188	4	8824	10596.4362	917.7651
6_MACS_peak_18338_lociStitched	chr19	35605655	35614915	6	7945	10066.546	953.78
5_MACS_peak_17540_lociStitched	chr19	14501083	14510339	5	7584	9796.5504	722.8936
4_MACS_peak_29077_lociStitched	chr7	1769129	1778385	4	7784	8783.944	470.2048
4_MACS_peak_29603_lociStitched	chr7	100368641	100377895	4	8094	10192.355599999999	924.4746
5_MACS_peak_18314_lociStitched	chr19	35562946	35572197	5	8373	9579.4105	601.315
8_MACS_peak_31575_lociStitched	chr8	142732538	142741787	8	7413	8956.731600000001	643.7303999999999
3_MACS_peak_20572_lociStitched	chr2	27479638	27488886	3	8055	15341.5072	1141.2032
5_MACS_peak_32486_lociStitched	chr9	130965507	130974743	5	7638	12491.69	890.3504
6_MACS_peak_21251_lociStitched	chr2	242749296	242758526	6	7636	8738.041	342.433
6_MACS_peak_3858_lociStitched	chr1	31130029	31139258	6	8303	9427.4235	810.3062
9_MACS_peak_2917_lociStitched	chr1	20753839	20763061	9	7762	8109.8268	877.9344000000001
4_MACS_peak_19482_lociStitched	chr19	48321132	48330352	4	7645	10237.888	874.0559999999999
3_MACS_peak_29694_lociStitched	chr7	100787652	100796853	3	9197	11459.845500000001	1338.7455
4_MACS_peak_20891_lociStitched	chr2	183896981	183906178	4	8093	9784.6883	1360.2363
4_MACS_peak_19406_lociStitched	chr19	47809435	47818631	4	8119	10364.811599999999	948.1075999999999
11_MACS_peak_26911_lociStitched	chr4	7460544	7469740	11	6817	7869.0172	626.2475999999999
6_MACS_peak_27822_lociStitched	chr5	71485566	71494757	6	7991	10092.6371	1368.5399
5_MACS_peak_29545_lociStitched	chr7	100185272	100194463	5	8316	9779.224	1087.2953
6_MACS_peak_33394_lociStitched	chr9	137345955	137355145	6	8590	10220.199	780.231
4_MACS_peak_29220_lociStitched	chr7	5322941	5332129	4	8543	10711.3704	809.4628
8_MACS_peak_19995_lociStitched	chr19	51321401	51330585	8	3946	6549.1104	663.0848
4_MACS_peak_23417_lociStitched	chr21	47012909	47022092	4	7336	10863.489	1350.8193
5_MACS_peak_18347_lociStitched	chr19	35627318	35636490	5	8166	10721.150800000001	900.6904
