REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X21_0F27_0229Kronos_MM1S.No.Treatment.1_H3K27me3_hs.dm_i02.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
10_MACS_peak_8647_lociStitched	chr12	3367088	3409181	10	39788	55415.4345	3464.2539	139	TSPAN9		TSPAN9	TSPAN9	0.7536	139	1
9_MACS_peak_3940_lociStitched	chr1	32123480	32165285	9	40123	55374.903	4598.55	140	COL16A1	HCRTR1,PEF1	COL16A1	COL16A1	0.9884	140	1
9_MACS_peak_24491_lociStitched	chr22	40068078	40108158	9	38429	56745.264	3386.76	141	CACNA1I		CACNA1I	CACNA1I	1.0412000000000001	141	1
13_MACS_peak_6863_lociStitched	chr11	61335840	61381344	13	39661	54682.1568	4136.3136	142	SYT7	RPLP0P2	SYT7	SYT7	1.2237	142	1
10_MACS_peak_5586_lociStitched	chr10	102482757	102521210	10	33606	63612.7979	3995.2667	143	PAX2		PAX2	PAX2	0.8569	143	1
5_MACS_peak_16352_lociStitched	chr19	4140714	4173717	5	32556	66009.3003	4960.3509	144	CREB3L3	ANKRD24,MAP2K2,SIRT6	CREB3L3	CREB3L3	1.6674	144	1
8_MACS_peak_1654_lociStitched	chr1	10853155	10893255	8	38516	54652.29	3412.51	145	CASZ1		CASZ1	CASZ1	1.5252999999999999	145	1
11_MACS_peak_24365_lociStitched	chr22	37884726	37924128	11	37490	56817.684	3908.6784	146	CARD10	CDC42EP1,MFNG	CARD10	CARD10	1.2604	146	1
27_MACS_peak_27382_lociStitched	chr4	8877541	8923746	27	39549	52073.035	3506.9595	147		LOC650293,HMX1	HMX1	HMX1	0.7375	147	1
3_MACS_peak_21002_lociStitched	chr2	220328583	220362851	3	33832	62093.616	3457.6412	148	SPEG	DES,GMPPA,ACCN4,TMEM198,CHPF	GMPPA	ACCN4	1.3675	148	1
4_MACS_peak_16381_lociStitched	chr19	4510138	4542431	4	31851	66594.6246	5315.4278	149	PLIN4,PLIN5,LRG1	HDGFRP2,SEMA6B	PLIN4	SEMA6B	1.3498	149	1
1_MACS_peak_33992_lociStitched	chr9	139138029	139167013	1	28985	67141.436	2576.6776	150		LHX3,QSOX2	QSOX2	LHX3	1.3688	150	1
11_MACS_peak_21942_lociStitched	chr20	56126455	56168127	11	38788	53573.5232	4604.756	151	PCK1	CTCFL,ZBP1	PCK1	PCK1	1.2303	151	1
8_MACS_peak_9354_lociStitched	chr13	113627658	113665535	8	36291	56936.7064	3230.9081	152	MCF2L	LOC100289410	MCF2L	MCF2L	1.1414000000000002	152	1
10_MACS_peak_12661_lociStitched	chr17	1108480	1148739	10	38514	53568.6254	4194.9878	153		BHLHA9,TUSC5,ABR	ABR	TUSC5	1.237	153	1
2_MACS_peak_16646_lociStitched	chr19	5991020	6027909	2	36617	58365.7758	5426.3719	154	RFX2	RANBP3	RANBP3	NONE	NONE	154	1
10_MACS_peak_24549_lociStitched	chr22	42792684	42832745	10	38023	54058.3134	3777.7523	155	NFAM1		NFAM1	NFAM1	1.0749	155	1
7_MACS_peak_14197_lociStitched	chr17	47554938	47591966	7	36507	57130.5012	4028.6464	156	NGFR		NGFR	NGFR	1.3019	156	1
10_MACS_peak_33962_lociStitched	chr9	138962605	138998540	10	34078	59339.4655	2501.076	157	NACC2	C9orf69	NACC2	NACC2	1.1886999999999999	157	1
10_MACS_peak_23054_lociStitched	chr21	43830343	43870341	10	36626	59333.0332	6835.6582	158	UBASH3A	SLC37A1,TFF1,TMPRSS3,RSPH1	UBASH3A	TFF1	1.6779000000000002	158	1
11_MACS_peak_46_lociStitched	chr1	913468	947400	11	32712	62180.39	3416.9524	159	C1orf170,HES4	KLHL17,PLEKHN1,ISG15,AGRN,NOC2L	HES4	HES4	1.8065	159	1
16_MACS_peak_1871_lociStitched	chr1	11912717	11953775	16	38167	53531.4204	4130.4348	160	NPPB	CLCN6,PLOD1,MTHFR,NPPA,KIAA2013	NPPB	NPPB	0.9057000000000001	160	1
15_MACS_peak_1771_lociStitched	chr1	11486647	11529694	15	38304	52547.4729	3654.6903	161		PTCHD2	PTCHD2	PTCHD2	0.5775	161	1
12_MACS_peak_16898_lociStitched	chr19	7830583	7872434	12	39052	53238.6571	6189.7629	162	CLEC4M,CLEC4GP1	EVI5L,CLEC4G,CD209	CLEC4GP1	CLEC4GP1	1.0192	162	1
2_MACS_peak_28397_lociStitched	chr6	31958443	31985291	2	26817	68368.432	3382.848	163	C4B,C4A,CYP21A2,STK19,TNXA,TNXB	CFB,SKIV2L,STK19,MIR1236,RDBP,DOM3Z	CYP21A2	CYP21A2	2.9245	163	1
6_MACS_peak_16367_lociStitched	chr19	4275228	4310786	6	34656	58741.816	4316.7412	164	SHD,FSD1,TMIGD2	EBI3,CCDC94,MPND,STAP2	TMIGD2	EBI3	1.4952999999999999	164	1
13_MACS_peak_14184_lociStitched	chr17	47512897	47552816	13	37642	52788.8856	4175.5274	165		NGFR,PHB	NGFR	NGFR	1.3019	165	1
3_MACS_peak_26241_lociStitched	chr3	184274376	184306077	3	31652	62381.2278	4786.851	166	EPHB3		EPHB3	EPHB3	1.8525	166	1
17_MACS_peak_12684_lociStitched	chr17	1192881	1234389	17	38212	50191.4736	4549.2768	167	TUSC5	BHLHA9	TUSC5	TUSC5	1.237	167	1
22_MACS_peak_26038_lociStitched	chr3	50518447	50562400	22	37931	50031.6999	4263.441	168	CACNA2D2	HEMK1,C3orf18	CACNA2D2	CACNA2D2	0.9543999999999999	168	1
18_MACS_peak_26007_lociStitched	chr3	50444576	50487703	18	38970	47107.6221	3816.7395	169	CACNA2D2	TMEM115	TMEM115	TMEM115	0.024400000000000005	169	1
10_MACS_peak_13470_lociStitched	chr17	26831259	26867995	10	35306	54990.1184	4213.6192	170	FOXN1	SLC13A2,UNC119,PIGS,ALDOC	FOXN1	FOXN1	1.2818	170	1
12_MACS_peak_29682_lociStitched	chr7	100743247	100781839	12	36967	51354.3744	4025.1456	171	SERPINE1	TRIM56,AP1S1,VGF,C7orf52	SERPINE1	C7orf52	1.4451	171	1
9_MACS_peak_1669_lociStitched	chr1	10914054	10952612	9	36574	51097.0616	3466.3642	172			CASZ1	CASZ1	1.5252999999999999	172	1
23_MACS_peak_16489_lociStitched	chr19	5304884	5346948	23	37670	49458.8512	4690.136	173	PTPRS		PTPRS	PTPRS	0.8885000000000001	173	1
8_MACS_peak_6450_lociStitched	chr11	1823977	1859223	8	33426	56111.632	3721.9776	174	SYT8	TNNI2,LSP1,CTSD,MOB2,MIR4298	SYT8	SYT8	1.5459999999999998	174	1
6_MACS_peak_15171_lociStitched	chr17	77015534	77048925	6	32147	58334.077	4020.2764	175	C1QTNF1	ENGASE,LGALS3BP,CANT1	C1QTNF1	C1QTNF1	1.4065999999999999	175	1
5_MACS_peak_15401_lociStitched	chr17	77898992	77932879	5	33242	55696.6732	3168.4345	176	TBC1D16		TBC1D16	TBC1D16	1.2987	176	1
12_MACS_peak_6551_lociStitched	chr11	2305800	2343685	12	35546	51705.448	3280.841	177	TSPAN32,C11orf21	ASCL2	TSPAN32	TSPAN32	1.2889	177	1
10_MACS_peak_34031_lociStitched	chr9	139627793	139658833	10	29731	60357.28	3045.024	178	LOC100128593,LCN10,LCN6,LCN8,LCN15	FAM69B,TMEM141,KIAA1984,C9orf86,AGPAT2,SNORA43,SNORA17,SNHG7,LOC100131193	LCN6	AGPAT2	2.2412	178	1
20_MACS_peak_2677_lociStitched	chr1	19023858	19067067	20	37660	47020.0338	3512.8917	179	PAX7		PAX7	PAX7	0.9685	179	1
5_MACS_peak_13615_lociStitched	chr17	36715847	36747904	5	30612	59690.134	3654.498	180	SRCIN1		SRCIN1	SRCIN1	1.2738	180	1
5_MACS_peak_32847_lociStitched	chr9	133883128	133917233	5	33045	55151.1955	2895.5145	181	LAMC3		LAMC3	LAMC3	1.2931000000000001	181	1
4_MACS_peak_29992_lociStitched	chr7	150940710	150967740	4	26256	65372.055	4224.789	182	SMARCD3	CHPF2,MIR671,ABCF2	SMARCD3	SMARCD3	1.5863	182	1
8_MACS_peak_33100_lociStitched	chr9	135848488	135884464	8	34671	52470.996	3460.8912	183	GFI1B	GTF3C5,TSC1	GFI1B	GFI1B	1.4592	183	1
18_MACS_peak_12617_lociStitched	chr17	814759	856199	18	37155	47556.544	3596.992	184	NXN	TIMM22	NXN	NXN	1.034	184	1
1_MACS_peak_29956_lociStitched	chr7	149470053	149495871	1	25819	65247.2496	3717.792	185	SSPO,ZNF467	ZNF862	SSPO	SSPO	2.0578000000000003	185	1
6_MACS_peak_19419_lociStitched	chr19	47901577	47936014	6	32437	56521.4481	3946.4802	186	MEIS3,SLC8A2	DHX34	MEIS3	MEIS3	1.653	186	1
18_MACS_peak_13324_lociStitched	chr17	19097424	19140318	18	39702	42224.8536	5078.6496	187		EPN2	EPN2	NONE	NONE	187	1
5_MACS_peak_4543_lociStitched	chr1	156825963	156858744	5	32084	56865.2007	5163.0075	188	NTRK1,INSRR	PEAR1,C1orf92,SH2D2A,MIR765	NTRK1	PEAR1	1.7141	188	1
8_MACS_peak_16397_lociStitched	chr19	4732856	4767598	8	33129	53850.1	5517.0296	189		C19orf30,MIR7-3,FEM1A,DPP9	C19orf30	C19orf30	0.841	189	1
13_MACS_peak_15325_lociStitched	chr17	77636813	77674414	13	35581	46519.9572	3030.6406	190		ENPP7	ENPP7	ENPP7	1.2033	190	1
11_MACS_peak_14088_lociStitched	chr17	45922647	45959566	11	33269	51993.0277	4371.2096	191	SP6	LRRC46,SP2,OSBPL7,MRPL10,SCRN2	SP6	SP6	1.2106	191	1
9_MACS_peak_13138_lociStitched	chr17	7946446	7981380	9	32124	53550.3286	4240.9876	192	ALOX15B,ALOX12B	GUCY2D,MIR4314,ALOXE3,HES7	ALOX15B	MIR4314	1.7215	192	1
14_MACS_peak_32385_lociStitched	chr9	127232768	127269636	14	33350	49779.1736	3107.9724	193	GPR144,NR5A1		NR5A1	NR5A1	1.152	193	1
12_MACS_peak_10301_lociStitched	chr15	74465104	74503637	12	35856	45168.3826	3699.168	194	ISLR,STRA6	ISLR2,CCDC33,LOC283731	STRA6	LOC283731	1.1488	194	1
12_MACS_peak_485_lociStitched	chr1	3029043	3066150	12	34265	46168.5294	2352.5838	195	PRDM16,MIR4251	FLJ42875	MIR4251	MIR4251	1.2256	195	1
17_MACS_peak_32735_lociStitched	chr9	133249538	133287804	17	34293	47048.047	3317.6622	196		ASS1	ASS1	ASS1	0.5805	196	1
12_MACS_peak_33273_lociStitched	chr9	136495758	136532950	12	34516	45854.0168	2651.7896	197	DBH,SARDH		DBH	DBH	1.1706	197	1
12_MACS_peak_19649_lociStitched	chr19	49173842	49209858	12	33813	47789.6304	3612.4048	198	SEC1,FUT2,NTN5	FGF21,DBP,CA11,MAMSTR,RASIP1,IZUMO1,FUT1	FUT2	FUT2	1.0872000000000002	198	1
18_MACS_peak_19562_lociStitched	chr19	48772399	48814766	18	34572	47124.8141	4541.7424	199	ZNF114,CCDC114	EMP3,CARD8	ZNF114	ZNF114	0.8548	199	1
9_MACS_peak_24817_lociStitched	chr22	44732182	44768224	9	34730	45052.5	2818.4844	200		KIAA1644	KIAA1644	KIAA1644	0.8882	200	1
20_MACS_peak_6413_lociStitched	chr11	1725531	1767183	20	35570	43584.6528	3852.81	201	MOB2,LOC402778	FAM99A,KRTAP5-6,FAM99B,CTSD	LOC402778	FAM99A	1.7839	201	1
9_MACS_peak_33531_lociStitched	chr9	137682410	137717339	9	33077	47224.008	2434.5513	202	COL5A1	MIR3689B,MIR3689A	MIR3689B	MIR3689A	0.09799999999999999	202	1
5_MACS_peak_28057_lociStitched	chr5	176266102	176297799	5	31176	50791.2728	2830.5421	203	UNC5A	HK3	HK3	HK3	0.8572000000000001	203	1
11_MACS_peak_24714_lociStitched	chr22	44214029	44250895	11	34637	43771.0018	2680.1582	204	SULT4A1	EFCAB6,PNPLA5	EFCAB6	PNPLA5	0.9591999999999999	204	1
5_MACS_peak_15501_lociStitched	chr17	78430423	78461959	5	30825	50861.2608	2822.472	205	NPTX1	FLJ35220,LOC100294362	NPTX1	NPTX1	1.6795	205	1
16_MACS_peak_19790_lociStitched	chr19	50011556	50049727	16	34325	45805.2	4565.2516	206	FCGRT,RCN3	FLT3LG,RPL13AP5,SNORD32A,SNORD33,SNORD34,SNORD35A,RPS11,SNORD35B,PRRG2,PRR12,MIR150,NOSIP	RCN3	RCN3	1.0053	206	1
8_MACS_peak_15565_lociStitched	chr17	79271884	79301368	8	28215	53938.0296	2591.6436	207	C17orf55,TMEM105	SLC38A10	C17orf55	C17orf55	1.9250999999999998	207	1
6_MACS_peak_19379_lociStitched	chr19	47114947	47147313	6	31000	51384.2616	4434.142	208	PTGIR,GNG8	CALM3,DACT3	PTGIR	PTGIR	1.5576	208	1
10_MACS_peak_18395_lociStitched	chr19	35977365	36011116	10	32584	47609.1606	3618.1072	209	KRTDAP,DMKN	FFAR2,GAPDHS,TMEM147,SBSN,ATP4A	DMKN	DMKN	1.3824	209	1
15_MACS_peak_6305_lociStitched	chr11	1236060	1272445	15	33314	45062.8225	2634.274	210	MUC5B		MUC5B	MUC5B	0.9833000000000001	210	1
5_MACS_peak_20951_lociStitched	chr2	219845324	219874122	5	27695	54819.8728	3124.583	211	FEV,CRYBA2,MIR375,CCDC108	CDK5R2,LOC151300,CCDC108,MIR3131	CRYBA2	CRYBA2	1.7616	211	1
11_MACS_peak_4969_lociStitched	chr1	228744067	228784377	11	38951	44824.72	17954.074	212	DUSP5P		DUSP5P	DUSP5P	0.4033	212	1
10_MACS_peak_579_lociStitched	chr1	3325820	3361220	10	33677	43665.9	2417.82	213	PRDM16	ARHGEF16	ARHGEF16	ARHGEF16	1.3338	213	1
11_MACS_peak_15111_lociStitched	chr17	76477245	76512269	11	32561	45881.44	3089.1168	214	DNAH17		DNAH17	DNAH17	0.8942	214	1
9_MACS_peak_22693_lociStitched	chr20	61779555	61815027	9	32983	44265.5088	2656.8528	215	MIR124-3	HAR1A,HAR1B,YTHDF1	MIR124-3	MIR124-3	1.096	215	1
19_MACS_peak_24675_lociStitched	chr22	43801134	43839343	19	33509	42946.916	3026.1528	216	MPPED1		MPPED1	MPPED1	0.6538999999999999	216	1
9_MACS_peak_17997_lociStitched	chr19	18345357	18379373	9	32065	46350.2016	3615.9008	217	PDE4C,LOC729966,KIAA1683	MPV17L2,MIR3188,RAB3A,PDE4C,JUND	PDE4C	PDE4C	1.1912	217	1
9_MACS_peak_22815_lociStitched	chr20	62726699	62756457	9	27756	52757.9582	3097.8078	218	OPRL1,NPBWR2	TCEA2,MYT1,SOX18,RGS19,C20orf201	NPBWR2	NPBWR2	2.2112	218	1
9_MACS_peak_32206_lociStitched	chr9	34547811	34581645	9	32269	45198.8406	3694.6728	219	LOC415056,CNTFR	ENHO,C9orf23,DCTN3,ARID3C	LOC415056	LOC415056	1.1525	219	1
2_MACS_peak_6594_lociStitched	chr11	2426588	2449432	2	22734	57674.2468	2346.0788	220	TRPM5	CD81,TSSC4,KCNQ1	TRPM5	TRPM5	1.9620999999999997	220	1
11_MACS_peak_20206_lociStitched	chr19	55629828	55663587	11	31885	45021.0024	3271.2471	221	TNNT1,TNNI3	EPS8L1,RDH13,PPP1R12C,C19orf51,SYT5	TNNT1	SYT5	1.2841	221	1
10_MACS_peak_15491_lociStitched	chr17	78395349	78427583	10	30891	46449.194	2872.0494	222	FLJ35220	LOC100294362,NPTX1	LOC100294362	NPTX1	1.6795	222	1
15_MACS_peak_1375_lociStitched	chr1	7715724	7752339	15	32829	42356.232	2823.0165	223	CAMTA1		VAMP3	VAMP3	NONE	223	1
18_MACS_peak_26580_lociStitched	chr4	3853533	3888426	18	31527	44205.9417	3070.584	224			LOC348926	LOC348926	NONE	224	1
4_MACS_peak_4521_lociStitched	chr1	156389299	156414812	4	25492	54942.2455	4765.8284	225	C1orf61,MIR9-1		C1orf61	C1orf61	1.3585	225	1
10_MACS_peak_17979_lociStitched	chr19	18134480	18169275	10	32625	41945.3725	4046.6585	226		ARRDC2,MAST3,IL12RB1	ARRDC2	ARRDC2	1.216	226	1
13_MACS_peak_8535_lociStitched	chr12	1919675	1956388	13	31302	43156.1315	3388.6099	227	LRTM2,CACNA2D4		LRTM2	LRTM2	1.1895	227	1
5_MACS_peak_1859_lociStitched	chr1	11747878	11777551	5	28690	47669.6745	3145.338	228	C1orf187,MAD2L2	FBXO44,FBXO6,AGTRAP,FBXO2,MAD2L2	C1orf187	C1orf187	1.3012	228	1
22_MACS_peak_1291_lociStitched	chr1	7507915	7547303	22	32381	40597.2116	3273.1428	229	CAMTA1		VAMP3	VAMP3	NONE	229	1
15_MACS_peak_7091_lociStitched	chr11	64421065	64456001	15	32019	41231.4672	3521.5488	230	NRXN2	NRXN2	NRXN2	NRXN2	1.0895	230	1
7_MACS_peak_33358_lociStitched	chr9	137103811	137135042	7	30236	43976.3711	2654.635	231			RNU6ATAC	RNU6ATAC	NONE	231	1
5_MACS_peak_19785_lociStitched	chr19	49916329	49946057	5	29015	46128.9376	2922.2624	233	CCDC155,LOC645971,PTH2,SLC17A7	DKKL1,ALDH16A1,FLT3LG,RPL13AP5,SNORD32A,SNORD33,SNORD34,SNORD35A,PIH1D1	LOC645971	LOC645971	1.5379	233	1
8_MACS_peak_29114_lociStitched	chr7	2656073	2686242	8	27925	47434.7187	2579.4495	234	TTYH3	AMZ1	TTYH3	TTYH3	1.333	234	1
23_MACS_peak_369_lociStitched	chr1	2776283	2811872	23	31171	40898.8788	2049.9264	235			ACTRT2	ACTRT2	0.9757999999999999	235	1
9_MACS_peak_14801_lociStitched	chr17	72873039	72905584	9	30872	42809.693	3449.77	236	FADS6	OTOP2,OTOP3,GRIN2C,FDXR,USH1G	FADS6	OTOP2	1.5969	236	1
6_MACS_peak_32451_lociStitched	chr9	129441915	129470103	6	27274	49021.7508	3300.8148	237	LMX1B		LMX1B	LMX1B	1.5169000000000001	237	1
14_MACS_peak_21797_lociStitched	chr20	48881506	48916142	14	31678	40486.0204	3072.2132	238	LOC284751		LOC284751	LOC284751	0.8823	238	1
9_MACS_peak_3175_lociStitched	chr1	22871395	22903407	9	30854	41794.8672	2676.2032	239	EPHA8		EPHA8	EPHA8	1.1153	239	1
20_MACS_peak_25195_lociStitched	chr22	45895325	45930755	20	32310	38175.825	2597.019	240	FBLN1		FBLN1	FBLN1	0.9174	240	1
5_MACS_peak_12726_lociStitched	chr17	1904440	1932795	5	27264	47883.0885	2710.738	241	RTN4RL1	DPH1,OVCA2,HIC1,MIR132,MIR212	RTN4RL1	RTN4RL1	1.4385	241	1
8_MACS_peak_22717_lociStitched	chr20	61985349	62016345	8	28664	44838.8136	2008.5408	242	CHRNA4		CHRNA4	CHRNA4	1.2911	242	1
4_MACS_peak_1968_lociStitched	chr1	16433583	16462527	4	28570	45633.1104	2758.3632	243	EPHA2	FAM131C	EPHA2	EPHA2	1.3692	243	1
2_MACS_peak_4548_lociStitched	chr1	156860686	156885141	2	23704	54001.531	4044.857	244	PEAR1	NTRK1,C1orf92,INSRR,MIR765	PEAR1	PEAR1	1.7141	244	1
3_MACS_peak_33218_lociStitched	chr9	136296549	136324373	3	27598	46780.4912	2623.8032	245	ADAMTS13	C9orf7,REXO4,SLC2A6	C9orf7	C9orf7	0.6113	245	1
4_MACS_peak_3037_lociStitched	chr1	21906654	21933902	4	26167	48733.048	2901.912	246	RAP1GAP		RAP1GAP	RAP1GAP	1.0329000000000002	246	1
5_MACS_peak_24519_lociStitched	chr22	42685729	42717169	5	29974	42154.752	2933.352	247		LOC388906	LOC388906	LOC388906	0.0007999999999999952	247	1
9_MACS_peak_25968_lociStitched	chr3	50182320	50214077	9	28583	44494.7327	3261.4439	248	SEMA3F	GNAT1,SLC38A3	SEMA3F	SLC38A3	1.5913	248	1
6_MACS_peak_17309_lociStitched	chr19	13102321	13128865	6	25222	49289.5536	2795.0832	249	NFIX	RAD23A,DAND5,GADD45GIP1	NFIX	NFIX	0.8301000000000001	249	1
12_MACS_peak_19622_lociStitched	chr19	49078770	49111283	12	29499	42956.1756	3644.7073	250	SULT2B1,SPACA4,FAM83E	SPHK2,SEC1,RPL18,DBP,CA11	SPACA4	SEC1	0.7977000000000001	250	1
6_MACS_peak_18044_lociStitched	chr19	18705797	18732579	6	24294	49375.2952	2287.1828	251	TMEM59L,CRLF1	C19orf50,UBA52,C19orf60,KLHL26	CRLF1	CRLF1	1.2884	251	1
4_MACS_peak_24443_lociStitched	chr22	39220495	39249678	4	27950	44460.3005	3145.9274	252	NPTXR	DNAL4,CBX6	NPTXR	NPTXR	1.2628	252	1
12_MACS_peak_20217_lociStitched	chr19	55668154	55700350	12	29694	41304.2484	3309.7488	253	TNNI3,C19orf51,SYT5,PTPRH	PPP1R12C,TNNT1,TMEM86B	C19orf51	TNNT1	1.1543999999999999	253	1
13_MACS_peak_26650_lociStitched	chr4	6324976	6359691	13	29732	40887.327	3315.2825	254	PPP2R2C		PPP2R2C	PPP2R2C	0.7416	254	1
10_MACS_peak_23437_lociStitched	chr21	47347686	47380334	10	28842	43114.9488	3911.2304	255	PCBP3	COL6A1	COL6A1	COL6A1	1.3535	255	1
7_MACS_peak_23029_lociStitched	chr21	43717241	43745729	7	26077	48386.868	4444.128	256	ABCG1,TFF3	TFF2,TFF1	TFF3	TFF3	2.0089	256	1
8_MACS_peak_31828_lociStitched	chr8	143675513	143707512	8	29620	39550.764	1964.7386	257	ARC	PSCA,JRK	ARC	ARC	1.2004000000000001	257	1
1_MACS_peak_21005_lociStitched	chr2	220374341	220399349	1	25009	47947.8384	2545.8144	258	ACCN4	SPEG,GMPPA,TMEM198,INHA,CHPF,MIR3132,OBSL1	ACCN4	SPEG	1.4025	258	1
5_MACS_peak_12833_lociStitched	chr17	4478886	4505259	5	25870	46408.5681	2463.2382	259	SMTNL2	MYBBP1A,GGT6,ALOX15	SMTNL2	SMTNL2	1.3846	259	1
13_MACS_peak_13295_lociStitched	chr17	18970464	19005231	13	31503	36578.3607	4050.3555	260		GRAPL,GRAP	GRAP	GRAPL	0.35450000000000004	260	1
9_MACS_peak_13038_lociStitched	chr17	7308198	7336210	9	26503	44925.6456	2837.6156	261	NLGN2,SPEM1,C17orf74	TMEM95,TNK1,TMEM102,FGF11,CHRNB1,AMAC1L3,PLSCR3,C17orf61,ZBTB4	SPEM1	SPEM1	1.6986999999999999	261	1
18_MACS_peak_15281_lociStitched	chr17	77510397	77546333	18	29974	37387.8144	1962.1056	262		RBFOX3	RBFOX3	RBFOX3	1.3618	262	1
27_MACS_peak_33460_lociStitched	chr9	137508624	137545703	27	29954	37661.1403	2369.3481	263	COL5A1		COL5A1	COL5A1	0.9057	263	1
16_MACS_peak_15061_lociStitched	chr17	76290921	76323160	16	29123	40405.1387	3462.4686	264		SOCS3	SOCS3	SOCS3	1.3135999999999999	264	1
12_MACS_peak_17211_lociStitched	chr19	11357336	11389648	12	28810	40490.1672	3434.7656	265	DOCK6	LOC55908,TSPAN16,KANK2	DOCK6	LOC55908	1.0231	265	1
12_MACS_peak_13310_lociStitched	chr17	19053270	19087615	12	31499	34241.965	4193.5245	266	GRAPL		GRAPL	GRAPL	0.35450000000000004	266	1
13_MACS_peak_15511_lociStitched	chr17	78478546	78510135	13	28881	38658.6182	2880.9168	267		RPTOR,NPTX1	RPTOR	NPTX1	1.6795	267	1
7_MACS_peak_246_lociStitched	chr1	2129708	2158667	7	27169	41619.8748	2646.8526	268	C1orf86	SKI,LOC100128003,C1orf86	C1orf86	C1orf86	0.8315	268	1
13_MACS_peak_29556_lociStitched	chr7	100210198	100240834	13	28546	39676.6836	3388.3416	269	MOSPD3,TFR2,ACTL6B	FBXO24,PCOLCE,GNB2,SAP25,LRCH4,GIGYF1	TFR2	TFR2	1.2316	269	1
6_MACS_peak_14889_lociStitched	chr17	74514148	74542449	6	26117	43832.5888	3217.8237	270	PRCD,CYGB	SNORD1C,SNORD1B,SNORD1A,RHBDF2,ST6GALNAC2	PRCD	PRCD	1.2806	270	1
3_MACS_peak_21380_lociStitched	chr20	30434744	30461310	3	25854	44197.8542	3227.769	271	TTLL9,DUSP15	MYLK2,FOXS1	DUSP15	DUSP15	1.4175	271	1
8_MACS_peak_24794_lociStitched	chr22	44659603	44690021	8	28338	38308.4292	2056.2568	272	KIAA1644		KIAA1644	KIAA1644	0.8882	272	1
14_MACS_peak_25684_lociStitched	chr3	12902163	12933662	14	28350	39225.7047	3445.9906	273		SNORA7A,RPL32	RPL32	NONE	NONE	273	1
10_MACS_peak_31818_lociStitched	chr8	143644177	143673844	10	28383	37561.3887	2041.0896	274		ARC	ARC	ARC	1.2004000000000001	274	1
7_MACS_peak_28401_lociStitched	chr6	32034413	32060899	7	25051	43974.7058	2902.8656	275	TNXB	ATF6B,FKBPL	TNXB	TNXB	1.5127000000000002	275	1
7_MACS_peak_16860_lociStitched	chr19	7717653	7744794	7	26544	42888.2082	4345.2741	276	RETN,C19orf59	LOC100131801,STXBP2,TRAPPC5,XAB2,PCP2,FCER2	RETN	RETN	1.4203	276	1
4_MACS_peak_33285_lociStitched	chr9	136534723	136561874	4	26029	40338.2407	2131.3535	277	SARDH	DBH	DBH	DBH	1.1706	277	1
6_MACS_peak_15677_lociStitched	chr17	81010934	81037375	6	25044	42342.6174	2464.3012	278		METRNL,B3GNTL1	METRNL	METRNL	0.9652	278	1
5_MACS_peak_24486_lociStitched	chr22	40036504	40065395	5	27167	38063.8925	2585.7445	280	CACNA1I		CACNA1I	CACNA1I	1.0412000000000001	280	1
8_MACS_peak_9108_lociStitched	chr12	54583968	54613426	8	26625	40018.693	3808.9194	281		SMUG1,CBX5	SMUG1	SMUG1	0.1901	281	1
5_MACS_peak_7360_lociStitched	chr11	68758375	68783516	5	24178	42324.8735	2136.985	282	MRGPRF	TPCN2,MRGPRD	MRGPRF	MRGPRF	1.6191	282	1
8_MACS_peak_6509_lociStitched	chr11	2103926	2134115	8	27449	36740.013	2460.4035	283		IGF2AS,MIR483,IGF2,INS	MIR483	MIR483	1.4645000000000001	283	1
13_MACS_peak_29607_lociStitched	chr7	100381965	100412670	13	28089	35323.032	3009.09	284	ZAN,EPHB4	SLC12A9	EPHB4	EPHB4	1.1362	284	1
6_MACS_peak_29721_lociStitched	chr7	100915913	100944748	6	27401	36441.673	2995.9565	285		CLDN15,FIS1,RABL5	RABL5	RABL5	0.15300000000000002	285	1
9_MACS_peak_33373_lociStitched	chr9	137161612	137190287	9	26241	37896.88	2213.71	286		RXRA	RXRA	RXRA	0.08779999999999999	286	1
5_MACS_peak_23633_lociStitched	chr22	20256368	20280979	5	23926	41513.8348	2232.2177	287		MIR1286,RTN4R,DGCR6L	RTN4R	RTN4R	1.1765	287	1
5_MACS_peak_29315_lociStitched	chr7	44257084	44280902	5	22500	43579.7946	2210.3104	288	CAMK2B	YKT6,GCK	YKT6	GCK	0.13720000000000002	288	1
20_MACS_peak_26926_lociStitched	chr4	7478424	7512599	20	27991	33723.89	2282.89	289	SORCS2	MIR4274,PSAPL1	MIR4274	PSAPL1	0.9001	289	1
8_MACS_peak_5659_lociStitched	chr10	102881041	102907875	8	24282	41506.8312	2991.991	290	TLX1,TLX1NB		TLX1	TLX1	1.3253000000000001	290	1
11_MACS_peak_33428_lociStitched	chr9	137423219	137452572	11	27507	34704.0519	2310.0811	291			COL5A1	COL5A1	0.9057	291	1
4_MACS_peak_4699_lociStitched	chr1	201322332	201348024	4	25298	40508.5764	3941.1528	292	TNNT2	LAD1,TNNI1	TNNT2	TNNT2	1.3618	292	1
