#21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02_ROSE/21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02_peaks_1KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X21_0F27_0229Kronos_MM1S.No.Treatment.1_H3K27me3_hs.dm_i02.bam
#Using cutoff of 18823.2984 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X21_0F27_0229Kronos_MM1S.No.Treatment.1_H3K27me3_hs.dm_i02.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	isSuper
4_MACS_peak_8926_lociStitched	chr12	52748060	52752058	4	2348	3624.187	317.0414	3618	0
5_MACS_peak_11917_lociStitched	chr16	85455228	85459132	5	3268	3411.3152	105.408	3619	0
2_MACS_peak_30806_lociStitched	chr8	681904	685092	2	3115	3539.3176	234.6368	3620	0
3_MACS_peak_21192_lociStitched	chr2	241827592	241831655	3	3142	3485.2414	181.6161	3621	0
3_MACS_peak_29300_lociStitched	chr7	27237983	27242436	3	2810	3608.2659	306.8117	3622	0
4_MACS_peak_18769_lociStitched	chr19	41023043	41026910	4	3399	3723.5343	422.2764	3623	0
4_MACS_peak_25028_lociStitched	chr22	45241488	45245638	4	2792	3485.17	187.58	3624	0
4_MACS_peak_12821_lociStitched	chr17	4383156	4387489	4	3932	3723.7802	430.2669	3625	0
5_MACS_peak_13629_lociStitched	chr17	37263729	37267916	5	3905	3597.0517	308.1632	3626	0
3_MACS_peak_13861_lociStitched	chr17	41856881	41861126	3	3272	3728.3835	439.782	3627	0
3_MACS_peak_18272_lociStitched	chr19	34281442	34286139	3	3107	3574.417	286.517	3628	0
5_MACS_peak_9275_lociStitched	chr12	133176571	133180633	5	2614	3440.514	157.6056	3629	0
2_MACS_peak_12967_lociStitched	chr17	7016619	7020080	2	3066	3684.9267	402.1682	3630	0
5_MACS_peak_25361_lociStitched	chr22	47143599	47148397	5	2988	3716.5308	434.6988	3631	0
2_MACS_peak_32434_lociStitched	chr9	129324901	129328838	2	3618	3762.1972	480.7077	3632	0
5_MACS_peak_12421_lociStitched	chr16	89689560	89693957	5	3066	3421.7454	140.2643	3633	0
3_MACS_peak_27956_lociStitched	chr5	175619487	175622758	3	2940	3631.1371	349.6699	3634	0
4_MACS_peak_23973_lociStitched	chr22	27692146	27695910	4	3373	3584.4572	303.002	3635	0
3_MACS_peak_20263_lociStitched	chr19	55960544	55964014	3	3093	3500.883	220.692	3636	0
3_MACS_peak_27668_lociStitched	chr5	1191905	1195499	3	2276	3666.2394	386.355	3637	0
4_MACS_peak_9964_lociStitched	chr14	105635309	105639133	4	2969	3503.9312	224.0864	3638	0
5_MACS_peak_6468_lociStitched	chr11	1892975	1897398	5	3152	3505.2275	225.573	3639	0
4_MACS_peak_18643_lociStitched	chr19	39269346	39273251	4	3707	3671.8715	392.4525	3640	0
3_MACS_peak_28387_lociStitched	chr6	31553808	31558181	3	3465	3975.4943	699.68	3641	0
3_MACS_peak_24993_lociStitched	chr22	45179302	45182905	3	3435	3475.4538	200.3268	3642	0
3_MACS_peak_8216_lociStitched	chr11	118013554	118017423	3	3592	4001.3198	726.2113	3643	0
3_MACS_peak_8858_lociStitched	chr12	52533919	52537362	3	3147	3607.2311	332.5938	3644	0
1_MACS_peak_31928_lociStitched	chr8	144152359	144155549	1	3191	3635.005	362.384	3645	0
3_MACS_peak_30324_lociStitched	chr7	155743495	155747858	3	3093	3739.091	466.841	3646	0
2_MACS_peak_20336_lociStitched	chr19	56537117	56540832	2	2797	3575.6875	303.5155	3647	0
4_MACS_peak_19340_lociStitched	chr19	46958465	46962488	4	3217	3631.5621	359.6562	3648	0
3_MACS_peak_15729_lociStitched	chr18	3601201	3604594	3	3122	3802.1958	531.6831	3649	0
3_MACS_peak_4873_lociStitched	chr1	205648068	205652260	3	3769	3906.944	638.0224	3650	0
2_MACS_peak_15889_lociStitched	chr19	452601	456455	2	3278	3640.8738	372.2964	3651	0
4_MACS_peak_9160_lociStitched	chr12	57857836	57861914	4	3805	3801.1038	532.5868	3652	0
2_MACS_peak_25237_lociStitched	chr22	46008202	46011516	2	3146	3612.5914	351.284	3653	0
4_MACS_peak_1767_lociStitched	chr1	11480522	11484776	4	3101	3683.1132	421.9968	3654	0
4_MACS_peak_11419_lociStitched	chr16	31346197	31350506	4	3390	3772.5295	511.4783	3655	0
4_MACS_peak_18650_lociStitched	chr19	39289941	39294557	4	2766	3719.1112	459.292	3656	0
4_MACS_peak_14698_lociStitched	chr17	72387757	72392541	4	3379	3612.3984	352.5808	3657	0
2_MACS_peak_9883_lociStitched	chr14	105317115	105320490	2	3219	3504.2625	248.4	3658	0
3_MACS_peak_29929_lociStitched	chr7	140088322	140092670	3	3860	4245.822	990.4744	3659	0
6_MACS_peak_7397_lociStitched	chr11	68974856	68979522	6	3266	3698.2716	445.1364	3660	0
3_MACS_peak_28006_lociStitched	chr5	176138875	176142609	3	3530	3545.8064	292.7456	3661	0
1_MACS_peak_26288_lociStitched	chr3	194406677	194408810	1	2134	3703.9545	451.3428	3662	0
3_MACS_peak_5118_lociStitched	chr10	11761260	11764646	3	2974	3735.0966	482.8436	3663	0
2_MACS_peak_3704_lociStitched	chr1	30579853	30583062	2	3069	3489.4666	237.466	3664	0
4_MACS_peak_11434_lociStitched	chr16	31420187	31424331	4	2978	3682.3584	431.3904	3665	0
5_MACS_peak_19883_lociStitched	chr19	50850323	50855392	5	2916	3801.2431	552.0141	3666	0
4_MACS_peak_3540_lociStitched	chr1	29784433	29788385	4	2754	3516.8848	267.9456	3667	0
4_MACS_peak_33319_lociStitched	chr9	136883117	136888125	4	2460	3727.9552	480.768	3668	0
3_MACS_peak_10273_lociStitched	chr15	74265494	74269469	3	3693	3823.95	577.17	3669	0
3_MACS_peak_9670_lociStitched	chr14	103008914	103012598	3	3179	3367.5444	123.414	3670	0
4_MACS_peak_6478_lociStitched	chr11	1907653	1912710	4	2842	3595.527	352.4729	3671	0
3_MACS_peak_28793_lociStitched	chr6	150334186	150338041	3	3498	3465.645	222.819	3672	0
3_MACS_peak_21289_lociStitched	chr20	938977	942459	3	3301	3549.5508	310.2462	3673	0
4_MACS_peak_421_lociStitched	chr1	2875755	2879943	4	2948	3434.9976	198.93	3674	0
4_MACS_peak_1707_lociStitched	chr1	11033363	11037159	4	2979	3530.6596	294.9492	3675	0
3_MACS_peak_13583_lociStitched	chr17	35104184	35108079	3	2299	3603.654	371.9725	3676	0
3_MACS_peak_11278_lociStitched	chr16	28514611	28518456	3	3075	3620.452	389.114	3677	0
2_MACS_peak_31211_lociStitched	chr8	22407694	22410757	2	3062	3536.5398	307.2189	3678	0
4_MACS_peak_9466_lociStitched	chr13	114454312	114458170	4	3060	3633.8502	407.4048	3679	0
4_MACS_peak_13789_lociStitched	chr17	41673211	41677333	4	2553	3631.8942	406.4292	3680	0
5_MACS_peak_25522_lociStitched	chr22	50425773	50430011	5	3284	3659.0892	433.9712	3681	0
2_MACS_peak_31533_lociStitched	chr8	142624136	142628109	2	3046	3535.97	312.2778	3682	0
3_MACS_peak_14308_lociStitched	chr17	56306552	56310088	3	2949	3710.3248	487.2608	3683	0
3_MACS_peak_19105_lociStitched	chr19	45294535	45297638	3	2986	3581.4826	363.051	3684	0
4_MACS_peak_27357_lociStitched	chr4	8831663	8835426	4	3338	3451.0473	232.9297	3685	0
4_MACS_peak_15179_lociStitched	chr17	77053781	77057691	4	2616	3564.747	348.772	3686	0
1_MACS_peak_4698_lociStitched	chr1	201317395	201320662	1	3268	3752.8029	537.0948	3687	0
4_MACS_peak_7233_lociStitched	chr11	66663176	66667413	4	3101	3617.5506	402.9387	3688	0
1_MACS_peak_8293_lociStitched	chr11	119473354	119476416	1	3063	3476.5948	265.7816	3689	0
1_MACS_peak_6716_lociStitched	chr11	43602282	43604948	1	2667	3472.7316	262.3344	3690	0
4_MACS_peak_25492_lociStitched	chr22	50106300	50110372	4	3406	3497.848	293.184	3691	0
5_MACS_peak_30603_lociStitched	chr7	157856710	157861262	5	3062	3730.364	526.2112	3692	0
4_MACS_peak_3706_lociStitched	chr1	30584486	30588485	4	3256	3616.2957	417.8955	3693	0
2_MACS_peak_20516_lociStitched	chr2	26757732	26761344	2	3257	3540.4824	343.5012	3694	0
2_MACS_peak_31507_lociStitched	chr8	142551632	142555396	2	2861	3441.4252	246.1656	3695	0
2_MACS_peak_4013_lociStitched	chr1	36589075	36592090	2	2940	3531.771	337.077	3696	0
5_MACS_peak_22978_lociStitched	chr21	43116309	43120557	5	3220	3747.5856	553.5144	3697	0
1_MACS_peak_22884_lociStitched	chr21	11129238	11133290	1	4053	4590.5108	1398.3452	3698	0
2_MACS_peak_27189_lociStitched	chr4	8194765	8198366	2	3423	3420.2298	230.464	3699	0
5_MACS_peak_12458_lociStitched	chr17	33617	37647	5	3244	3513.757	326.43	3700	0
4_MACS_peak_12296_lociStitched	chr16	88441948	88445569	4	3207	3286.0575	99.2154	3701	0
2_MACS_peak_6541_lociStitched	chr11	2268880	2272471	2	2709	3409.2954	225.1557	3702	0
4_MACS_peak_19186_lociStitched	chr19	45965466	45969296	4	3561	3785.955	603.608	3703	0
3_MACS_peak_20840_lociStitched	chr2	133018746	133020397	3	1499	4833.6327	1651.6604	3704	0
6_MACS_peak_11789_lociStitched	chr16	85259940	85263815	6	3177	3363.5	181.7375	3705	0
3_MACS_peak_10994_lociStitched	chr16	2927270	2930542	3	2962	3566.8072	389.368	3706	0
4_MACS_peak_3017_lociStitched	chr1	21845548	21849787	4	3503	3579.4116	402.705	3707	0
3_MACS_peak_25496_lociStitched	chr22	50111892	50115248	3	2664	3359.356	183.5732	3708	0
3_MACS_peak_8819_lociStitched	chr12	52261860	52265556	3	3517	3487.176	314.16	3709	0
3_MACS_peak_26993_lociStitched	chr4	7655540	7658962	3	3305	3425.0798	253.9124	3710	0
4_MACS_peak_16559_lociStitched	chr19	5470189	5474332	4	3191	3587.4237	416.7858	3711	0
2_MACS_peak_18275_lociStitched	chr19	34287156	34290640	2	3219	3371.1184	200.6784	3712	0
1_MACS_peak_26649_lociStitched	chr4	6318142	6320599	1	2458	3368.547	198.7713	3713	0
2_MACS_peak_12810_lociStitched	chr17	4350203	4353648	2	3308	3455.6795	287.6575	3714	0
6_MACS_peak_10214_lociStitched	chr15	72930486	72936173	6	4402	3793.229	626.7074	3715	0
4_MACS_peak_8729_lociStitched	chr12	25104004	25108472	4	3647	3821.4804	655.4556	3716	0
3_MACS_peak_2435_lociStitched	chr1	18397322	18400784	3	3248	3403.4922	238.1856	3717	0
1_MACS_peak_14346_lociStitched	chr17	58216111	58219162	1	3052	3392.1018	230.6556	3718	0
4_MACS_peak_6973_lociStitched	chr11	63782384	63786662	4	3235	3567.4242	405.9822	3719	0
5_MACS_peak_11673_lociStitched	chr16	84868975	84873107	5	2617	3356.4236	197.0964	3720	0
3_MACS_peak_19896_lociStitched	chr19	50868235	50872019	3	3093	3537.6616	378.4	3721	0
2_MACS_peak_14759_lociStitched	chr17	72571676	72575137	2	3299	3464.461	307.6829	3722	0
4_MACS_peak_2771_lociStitched	chr1	19338782	19342988	4	3415	3522.1044	367.1838	3723	0
2_MACS_peak_32041_lociStitched	chr8	144651880	144655004	2	2634	3632.5872	478.2844	3724	0
3_MACS_peak_25651_lociStitched	chr3	10748349	10752197	3	2475	3375.4656	222.0296	3725	0
2_MACS_peak_4887_lociStitched	chr1	211909492	211912992	2	3431	3889.2	736.05	3726	0
1_MACS_peak_10470_lociStitched	chr15	77987639	77991065	1	3427	3433.1946	280.5894	3727	0
2_MACS_peak_4877_lociStitched	chr1	205910827	205914620	2	3609	3744.0703	592.8459	3728	0
3_MACS_peak_17065_lociStitched	chr19	8621671	8626146	3	3014	3666.3675	518.6525	3729	0
1_MACS_peak_17785_lociStitched	chr19	17147638	17150261	1	2624	3398.8834	252.8572	3730	0
4_MACS_peak_14844_lociStitched	chr17	73094842	73098650	4	3181	3486.6048	341.1968	3731	0
5_MACS_peak_19213_lociStitched	chr19	46245758	46251097	5	2963	3861.1648	717.5616	3732	0
5_MACS_peak_25467_lociStitched	chr22	49726992	49731020	5	2915	3478.178	336.338	3733	0
3_MACS_peak_26337_lociStitched	chr3	197812171	197815764	3	3369	3817.5625	676.2026	3734	0
2_MACS_peak_7595_lociStitched	chr11	69916186	69919716	2	2966	3400.802	260.161	3735	0
3_MACS_peak_13438_lociStitched	chr17	21412706	21416036	3	2959	3452.544	312.354	3736	0
4_MACS_peak_16707_lociStitched	chr19	6283868	6287565	4	3229	3530.635	392.9911	3737	0
3_MACS_peak_22438_lociStitched	chr20	60258562	60262102	3	3421	3353.088	215.586	3738	0
2_MACS_peak_27654_lociStitched	chr5	1143507	1146881	2	3064	3463.7484	326.2658	3739	0
1_MACS_peak_6517_lociStitched	chr11	2135183	2137839	1	2657	3397.8208	260.5536	3740	0
3_MACS_peak_32665_lociStitched	chr9	132904154	132907432	3	2796	3506.4766	371.7252	3741	0
4_MACS_peak_12021_lociStitched	chr16	85971943	85976140	4	2838	3331.5786	198.0984	3742	0
3_MACS_peak_18846_lociStitched	chr19	41593575	41596643	3	2967	3334.6092	201.8744	3743	0
3_MACS_peak_25922_lociStitched	chr3	48598317	48601214	3	2779	3380.799	255.2257	3744	0
6_MACS_peak_13453_lociStitched	chr17	26091442	26096156	6	2892	3500.6164	375.7058	3745	0
4_MACS_peak_7494_lociStitched	chr11	69576522	69580643	4	3265	3379.6321	255.0899	3746	0
3_MACS_peak_26174_lociStitched	chr3	128291720	128295539	3	3097	3499.7316	375.4077	3747	0
5_MACS_peak_18860_lociStitched	chr19	41634280	41639145	5	3428	3537.828	417.417	3748	0
2_MACS_peak_29230_lociStitched	chr7	5584448	5587485	2	2969	3392.6327	272.7226	3749	0
3_MACS_peak_28986_lociStitched	chr7	1409639	1413128	3	2871	3487.9533	368.0895	3750	0
3_MACS_peak_21569_lociStitched	chr20	35019931	35023679	3	2714	3462.4024	343.3168	3751	0
1_MACS_peak_31219_lociStitched	chr8	22453614	22456589	1	2976	3531.92	412.93	3752	0
1_MACS_peak_6540_lociStitched	chr11	2256056	2259138	1	3083	3414.2396	296.1802	3753	0
4_MACS_peak_21151_lociStitched	chr2	241672609	241676338	4	3334	3229.314	111.4971	3754	0
4_MACS_peak_19833_lociStitched	chr19	50245026	50248844	4	3012	3511.7964	395.5448	3755	0
4_MACS_peak_15644_lociStitched	chr17	80918130	80921783	4	3007	3426.8793	312.6968	3756	0
3_MACS_peak_6567_lociStitched	chr11	2349293	2352511	3	2973	3515.3432	402.25	3757	0
5_MACS_peak_20363_lociStitched	chr19	59041384	59045685	5	3019	3505.315	394.8318	3758	0
4_MACS_peak_23462_lociStitched	chr21	47427292	47431262	4	3617	3661.134	552.624	3759	0
5_MACS_peak_11551_lociStitched	chr16	66394764	66398425	5	2799	3311.0084	203.5516	3760	0
1_MACS_peak_7520_lociStitched	chr11	69630543	69633464	1	2922	3286.125	179.6415	3761	0
2_MACS_peak_11221_lociStitched	chr16	21536412	21540419	2	3870	3832.6955	728.4726	3762	0
6_MACS_peak_7758_lociStitched	chr11	70525976	70529920	6	2922	3302.7056	201.5384	3763	0
3_MACS_peak_11611_lociStitched	chr16	75282978	75286299	3	2865	3207.4218	107.2683	3764	0
4_MACS_peak_25860_lociStitched	chr3	28980173	28984844	4	3231	3744.2736	644.598	3765	0
5_MACS_peak_28947_lociStitched	chr7	1338522	1342235	5	3153	3226.597	129.2124	3766	0
2_MACS_peak_23019_lociStitched	chr21	43637196	43640178	2	2961	3581.0838	485.7678	3767	0
4_MACS_peak_17867_lociStitched	chr19	17739445	17744144	4	2613	3427.9205	333.1591	3768	0
2_MACS_peak_24136_lociStitched	chr22	31519464	31522626	2	3045	3397.2528	304.5006	3769	0
3_MACS_peak_33022_lociStitched	chr9	135405545	135409084	3	3246	3323.121	231.4506	3770	0
1_MACS_peak_15146_lociStitched	chr17	76576169	76579045	1	2877	3481.1104	391.7112	3771	0
4_MACS_peak_20437_lociStitched	chr2	9912781	9916682	4	3217	3359.9313	271.1195	3772	0
4_MACS_peak_3920_lociStitched	chr1	31650713	31654254	4	3025	3443.9766	355.8705	3773	0
2_MACS_peak_21825_lociStitched	chr20	48947367	48950719	2	3336	3401.2744	318.44	3774	0
3_MACS_peak_24323_lociStitched	chr22	37514984	37518628	3	3088	3543.79	460.966	3775	0
1_MACS_peak_20589_lociStitched	chr2	45179606	45182065	1	2460	3365.3874	282.785	3776	0
4_MACS_peak_7371_lociStitched	chr11	68800469	68804618	4	2810	3325.8384	247.6953	3777	0
2_MACS_peak_18090_lociStitched	chr19	19372133	19375512	2	3376	3366.8356	289.9182	3778	0
5_MACS_peak_24_lociStitched	chr1	798596	802867	5	3499	3607.2866	532.5937	3779	0
3_MACS_peak_14958_lociStitched	chr17	75031589	75035733	3	3004	3548.0928	473.6592	3780	0
3_MACS_peak_20989_lociStitched	chr2	220287770	220291211	3	3141	3452.0112	377.8218	3781	0
4_MACS_peak_4000_lociStitched	chr1	35256380	35260730	4	2574	3452.16	378.885	3782	0
5_MACS_peak_4126_lociStitched	chr1	37425742	37429681	5	3518	3227.6166	155.5905	3783	0
1_MACS_peak_7993_lociStitched	chr11	72344421	72347434	1	3014	3286.5804	218.1412	3784	0
3_MACS_peak_20795_lociStitched	chr2	121831169	121834476	3	3069	3356.2743	289.3625	3785	0
5_MACS_peak_19758_lociStitched	chr19	49754969	49758854	5	3211	3503.493	437.0625	3786	0
3_MACS_peak_34181_lociStitched	chr9	140849042	140852693	3	2851	3287.7255	221.6157	3787	0
5_MACS_peak_21682_lociStitched	chr20	44786380	44790719	5	2790	3483.7831	420.883	3788	0
4_MACS_peak_22418_lociStitched	chr20	60210338	60214706	4	2072	3361.176	298.7712	3789	0
2_MACS_peak_833_lociStitched	chr1	4770092	4773595	2	2836	3262.6942	200.7219	3790	0
2_MACS_peak_28089_lociStitched	chr5	176924741	176927576	2	2613	3504.3435	442.5435	3791	0
4_MACS_peak_27965_lociStitched	chr5	175992223	175996169	4	2871	3442.885	382.762	3792	0
4_MACS_peak_1412_lociStitched	chr1	7922521	7926752	4	3194	3429.6486	372.7511	3793	0
4_MACS_peak_14123_lociStitched	chr17	46817965	46821612	4	3040	3446.7797	390.229	3794	0
3_MACS_peak_4272_lociStitched	chr1	44871618	44874932	3	2908	3373.652	319.4696	3795	0
4_MACS_peak_32984_lociStitched	chr9	135330075	135333845	4	2802	3367.741	315.172	3796	0
3_MACS_peak_7700_lociStitched	chr11	70330330	70334123	3	2895	3298.3928	246.545	3797	0
5_MACS_peak_6473_lociStitched	chr11	1899355	1904654	5	2824	3479.3234	429.7489	3798	0
3_MACS_peak_4422_lociStitched	chr1	149284339	149288946	3	4537	4327.3551	1281.6674	3799	0
4_MACS_peak_26802_lociStitched	chr4	7227154	7230672	4	3239	3266.1112	223.0412	3800	0
4_MACS_peak_14612_lociStitched	chr17	72181983	72185632	4	2890	3304.5344	261.9982	3801	0
2_MACS_peak_21352_lociStitched	chr20	21081803	21085011	2	2958	3267.9896	226.164	3802	0
5_MACS_peak_20186_lociStitched	chr19	55409201	55413382	5	2991	3368.6317	328.2085	3803	0
3_MACS_peak_27724_lociStitched	chr5	1701986	1705584	3	3424	3313.0384	272.7284	3804	0
5_MACS_peak_717_lociStitched	chr1	4198169	4202410	5	2967	3276.5966	237.0719	3805	0
2_MACS_peak_30161_lociStitched	chr7	155078763	155081840	2	3029	3392.0848	354.4704	3806	0
3_MACS_peak_31323_lociStitched	chr8	86726424	86731431	3	4704	4370.1096	1332.8634	3807	0
4_MACS_peak_16956_lociStitched	chr19	8136515	8140522	4	3421	3467.2571	430.7525	3808	0
5_MACS_peak_7590_lociStitched	chr11	69911360	69915067	5	3156	3333.3344	298.0428	3809	0
2_MACS_peak_13536_lociStitched	chr17	34121290	34124680	2	2479	3485.937	451.548	3810	0
2_MACS_peak_28650_lociStitched	chr6	41488736	41491950	2	3210	3355.7374	325.5782	3811	0
3_MACS_peak_5704_lociStitched	chr10	114711633	114715221	3	2557	3416.1348	386.4276	3812	0
1_MACS_peak_26476_lociStitched	chr4	3534682	3537687	1	3006	3409.473	381.034	3813	0
3_MACS_peak_29481_lociStitched	chr7	75885587	75889251	3	2560	3362.8192	334.5232	3814	0
5_MACS_peak_1246_lociStitched	chr1	7392751	7396858	5	3066	3421.5417	393.8613	3815	0
4_MACS_peak_9731_lociStitched	chr14	104609144	104612912	4	2788	3167.004	140.1696	3816	0
4_MACS_peak_3840_lociStitched	chr1	31076259	31080345	4	2436	3435.1002	408.6	3817	0
3_MACS_peak_2299_lociStitched	chr1	18003159	18006815	3	3083	3345.6056	319.5344	3818	0
2_MACS_peak_15966_lociStitched	chr19	1401553	1405133	2	3414	3637.996	612.538	3819	0
5_MACS_peak_13854_lociStitched	chr17	41824925	41828823	5	3229	3397.107	372.6488	3820	0
4_MACS_peak_33637_lociStitched	chr9	137977796	137981729	4	2775	3228.993	204.9093	3821	0
1_MACS_peak_11505_lociStitched	chr16	56658965	56661619	1	2655	3268.401	245.495	3822	0
1_MACS_peak_18250_lociStitched	chr19	34019570	34022493	1	2924	3251.2529	228.8709	3823	0
3_MACS_peak_18579_lociStitched	chr19	38910500	38913947	3	3225	3293.6085	271.2789	3824	0
5_MACS_peak_33439_lociStitched	chr9	137453891	137458435	5	2242	3392.5504	370.336	3825	0
1_MACS_peak_22894_lociStitched	chr21	33783426	33786098	1	2673	3288.6976	269.0704	3826	0
4_MACS_peak_11767_lociStitched	chr16	85229427	85233503	4	2478	3207.4044	188.7188	3827	0
2_MACS_peak_33382_lociStitched	chr9	137198621	137202140	2	3300	3346.9209	330.4341	3828	0
5_MACS_peak_850_lociStitched	chr1	4832576	4836889	5	2125	3330.9299	315.2803	3829	0
3_MACS_peak_5361_lociStitched	chr10	73210753	73214018	3	3128	3285.5695	274.913	3830	0
3_MACS_peak_11867_lociStitched	chr16	85360748	85364403	3	2167	3164.8645	155.703	3831	0
4_MACS_peak_9925_lociStitched	chr14	105452315	105456217	4	2821	3311.2372	303.9658	3832	0
4_MACS_peak_23050_lociStitched	chr21	43824550	43828312	4	2859	3497.9076	491.6934	3833	0
2_MACS_peak_20430_lociStitched	chr2	8168595	8171996	2	3090	3436.0303	430.2265	3834	0
6_MACS_peak_32598_lociStitched	chr9	132280669	132284847	6	2749	3375.4062	369.753	3835	0
2_MACS_peak_9455_lociStitched	chr13	114075998	114078944	2	2648	3303.3498	299.019	3836	0
2_MACS_peak_10207_lociStitched	chr15	68125758	68128793	2	2931	3577.3545	573.3115	3837	0
4_MACS_peak_6693_lociStitched	chr11	31833677	31837333	4	2724	3287.8408	285.8992	3838	0
3_MACS_peak_27757_lociStitched	chr5	1849173	1852805	3	2972	3229.9376	228.816	3839	0
3_MACS_peak_2643_lociStitched	chr1	18974313	18977682	3	2696	3325.203	324.7716	3840	0
5_MACS_peak_24632_lociStitched	chr22	43645846	43649820	5	2576	3348.8898	350.9042	3841	0
1_MACS_peak_10956_lociStitched	chr16	2374295	2377478	1	3184	3292.1769	296.019	3842	0
4_MACS_peak_30448_lociStitched	chr7	157318296	157322203	4	3135	3373.6945	379.7604	3843	0
5_MACS_peak_7404_lociStitched	chr11	68985504	68989978	5	2735	3284.8108	292.1522	3844	0
2_MACS_peak_26631_lociStitched	chr4	4856286	4858780	2	2240	3148.4256	156.8726	3845	0
4_MACS_peak_22050_lociStitched	chr20	56613391	56616979	4	3049	3280.8672	290.9868	3846	0
1_MACS_peak_5021_lociStitched	chr1	237280781	237281095	1	315	3006.5186	16.642	3847	0
6_MACS_peak_27987_lociStitched	chr5	176105574	176109821	6	3347	3378.9132	391.9981	3848	0
3_MACS_peak_30755_lociStitched	chr7	158792172	158795992	3	3045	3426.158	440.064	3849	0
1_MACS_peak_29870_lociStitched	chr7	108095048	108096995	1	1948	3213.3288	229.5513	3850	0
2_MACS_peak_25301_lociStitched	chr22	46785403	46788375	2	2863	3250.1792	268.0744	3851	0
2_MACS_peak_4326_lociStitched	chr1	48173611	48176017	2	2397	3247.3782	265.863	3852	0
2_MACS_peak_19595_lociStitched	chr19	49019612	49022415	2	2781	3345.1002	365.2309	3853	0
2_MACS_peak_19077_lociStitched	chr19	43964469	43967503	2	2940	3308.2736	329.189	3854	0
5_MACS_peak_27442_lociStitched	chr4	13535506	13539475	5	2966	3301.8111	323.0766	3855	0
4_MACS_peak_17236_lociStitched	chr19	11466988	11470649	4	2695	3298.561	321.0697	3856	0
5_MACS_peak_5254_lociStitched	chr10	71598676	71602710	5	2594	3319.1752	342.4866	3857	0
4_MACS_peak_32967_lociStitched	chr9	135307513	135311667	4	2491	3386.3408	411.6614	3858	0
1_MACS_peak_31322_lociStitched	chr8	86573391	86576437	1	3047	3713.9878	739.5688	3859	0
3_MACS_peak_11101_lociStitched	chr16	4238774	4242397	3	2765	3308.8859	335.8521	3860	0
3_MACS_peak_1029_lociStitched	chr1	5886456	5889750	3	2989	3294	321.165	3861	0
4_MACS_peak_33573_lociStitched	chr9	137858483	137861665	4	3124	3128.2242	156.2362	3862	0
4_MACS_peak_25189_lociStitched	chr22	45885961	45889979	4	2540	3252.571	282.8672	3863	0
4_MACS_peak_13426_lociStitched	chr17	21355863	21359460	4	3134	3299.1684	332.0031	3864	0
3_MACS_peak_30171_lociStitched	chr7	155141837	155145520	3	2998	3331.2735	366.4585	3865	0
4_MACS_peak_29329_lociStitched	chr7	44322242	44326394	4	3392	3421.6632	457.9656	3866	0
2_MACS_peak_7315_lociStitched	chr11	67343461	67346233	2	2712	3334.9932	372.2796	3867	0
4_MACS_peak_31568_lociStitched	chr8	142716640	142720221	4	3159	3221.4676	259.6225	3868	0
3_MACS_peak_2101_lociStitched	chr1	17488526	17491729	3	2726	3248.1623	286.9888	3869	0
3_MACS_peak_30036_lociStitched	chr7	151452807	151456658	3	3012	3476.2977	519.4999	3870	0
2_MACS_peak_8268_lociStitched	chr11	119290757	119294086	2	2772	3312.0221	355.5372	3871	0
8_MACS_peak_9758_lociStitched	chr14	104675053	104680097	8	2768	3120.7228	164.4344	3872	0
5_MACS_peak_30717_lociStitched	chr7	158301719	158305646	5	3091	3364.2609	408.8007	3873	0
1_MACS_peak_17470_lociStitched	chr19	14332156	14335162	1	3007	3219.7266	266.3316	3874	0
2_MACS_peak_16763_lociStitched	chr19	6684164	6687591	2	2843	3607.2602	654.8997	3875	0
3_MACS_peak_11712_lociStitched	chr16	84972146	84975625	3	2638	3120.663	170.1231	3876	0
6_MACS_peak_11108_lociStitched	chr16	4266753	4270701	6	3080	3291.8424	341.502	3877	0
2_MACS_peak_16131_lociStitched	chr19	3062569	3066248	2	3072	3393.5096	445.5269	3878	0
3_MACS_peak_21877_lociStitched	chr20	49247649	49250543	3	2875	3191.5032	243.6748	3879	0
3_MACS_peak_3949_lociStitched	chr1	32166589	32169771	3	2956	3321.0534	373.2486	3880	0
3_MACS_peak_14624_lociStitched	chr17	72235691	72239246	3	2845	3200.5665	254.8935	3881	0
4_MACS_peak_23914_lociStitched	chr22	25601022	25605099	4	3133	3209.4144	263.7819	3882	0
4_MACS_peak_18837_lociStitched	chr19	41529604	41533571	4	2737	3270.3948	325.6907	3883	0
4_MACS_peak_21924_lociStitched	chr20	55839408	55842937	4	3029	3125.2824	180.6848	3884	0
1_MACS_peak_25942_lociStitched	chr3	49592098	49594878	1	2781	3393.268	451.75	3885	0
