GENE_ID	locusLine	bin_1_25_0F2B_0229Kronos_MM1S-KB-3hr-1_H3K27me3_hs-dm_i07.bam
NR_033343	chr8(.):143746725-143769145	0.7979
NM_052963	chr8(.):144386527-144422050	0.1612
NR_026785	chr8(.):144443792-144455805	0.4606
NM_052924	chr8(.):144446024-144471390	0.755
NM_201589	chr8(.):144505229-144517602	1.7246
NM_003313	chr8(.):144689787-144704732	0.1925
NM_001082480	chr8(.):144713372-144740900	0.1234
NM_001100598	chr8(.):144761621-144782555	0.2645
NR_015445	chr8(.):144774284-144785583	0.3953
NM_014789	chr8(.):144726953-144740900	0.1231
NM_001162914	chr8(.):144783863-144795279	0.5038
NM_139021	chr8(.):144793506-144809633	1.011
NM_182706	chr8(.):144868089-144902549	0.0989
NM_031308	chr8(.):144934911-144952434	1.3262
NM_001136033	chr8(.):144893552-144916196	0.1116
NM_178564	chr8(.):144910754-144928146	0.2651
NM_078480	chr8(.):144893546-144916537	0.112
NR_030633	chr8(.):144890126-144900212	0.0622
NM_201378	chr8(.):144984320-145052697	0.1021
NM_032789	chr8(.):145046319-145065635	0.1541
NM_000445	chr8(.):144984320-145055913	0.1009
NM_201381	chr8(.):144984320-145023905	0.0941
NM_201382	chr8(.):144984320-145023110	0.0944
NM_201383	chr8(.):144984320-145021692	0.094
NM_001009184	chr8(.):145059225-145072583	0.1565
NM_201384	chr8(.):144984320-145018758	0.098
NR_030383	chr8(.):145014358-145024447	0.0638
NM_001916	chr8(.):145144959-145157428	0.1278
NM_019037	chr8(.):145128521-145140551	0.1386
NM_030974	chr8(.):145148535-145164140	0.09
NM_032272	chr8(.):145154304-145167515	0.0652
NM_017570	chr8(.):145101166-145120584	1.0894
NR_024207	chr8(.):145157628-145178218	0.1363
NM_003801	chr8(.):145132523-145146119	0.079
NM_005526	chr8(.):145510269-145543385	0.0716
NM_012079	chr8(.):145533246-145555567	0.3391
NR_030635	chr8(.):145614363-145624445	0.0596
NM_031309	chr8(.):145549453-145564943	1.2956
NM_024531	chr8(.):145577224-145589946	0.086
NR_015428	chr8(.):145571885-145583505	0.2987
NM_012162	chr8(.):145574090-145587132	0.1702
NM_174922	chr8(.):145592730-145623453	0.1057
NM_139025	chr9(.):136282119-136329508	1.3818
NR_024514	chr9(.):136274458-136329508	1.1975
NR_024376	chr9(.):115862002-115878957	0.3002
NM_004878	chr9(.):132495614-132520344	1.6345
NM_199350	chr9(.):132369503-132388055	1.1181
NM_006059	chr9(.):133879503-133973446	1.5915
NM_007313	chr9(.):133584267-133768062	0.0657
NM_005085	chr9(.):133995980-134114091	0.07
NM_004269	chr9(.):134730498-134960253	0.0613
NM_005312	chr9(.):134447156-134617925	0.0552
NM_000368	chr9(.):135761734-135825020	0.088
NM_152572	chr9(.):135595964-135759198	0.7178
NM_012087	chr9(.):135901061-135938890	0.1585
NM_207417	chr9(.):135280610-135453675	0.9676
NM_007101	chr9(.):136523683-136610077	1.5424
NM_001134707	chr9(.):136523683-136608479	1.5581
NM_000093	chr9(.):137528651-137741688	1.2046
NM_020822	chr9(.):138589030-138689993	1.6783
NM_144653	chr9(.):138898202-138992131	1.4735
NM_017820	chr9(.):140196347-140322714	0.9014
NM_001173989	chr9(.):139697373-139733794	0.074
NM_016219	chr9(.):139976416-140008639	0.0788
NM_000718	chr9(.):140767240-141024076	0.7696
NR_024369	chr9(.):34563009-34588070	1.2935
NM_147164	chr9(.):34546430-34594722	1.3823
NM_198573	chr9(.):34516039-34528037	0.4515
NM_007234	chr9(.):34608547-34625496	0.376
NM_001017363	chr9(.):34616454-34633011	1.0783
NM_148179	chr9(.):34605491-34617101	0.1682
NM_001101338	chr9(.):115754399-115779472	0.0624
NM_003408	chr9(.):115799173-115823996	0.1352
NR_024366	chr9(.):115870175-115887126	0.3087
NM_001161808	chr9(.):127208422-127244379	0.7784
NM_004959	chr9(.):127238514-127274699	1.4163
NM_002316	chr9(.):129371721-129468311	1.7556
NM_014064	chr9(.):132383434-132402879	0.2198
NM_017873	chr9(.):132391882-132409444	0.4275
NM_016307	chr9(.):132422919-132489951	1.5315
NM_000113	chr9(.):132570220-132591441	0.0676
NM_014506	chr9(.):132560431-132578560	0.2104
NM_014286	chr9(.):132929856-133004583	1.4942
NM_001128826	chr9(.):132957871-133004583	1.3346
NM_000050	chr9(.):133315093-133381661	0.7429
NM_003934	chr9(.):133449959-133518739	0.0883
NM_021619	chr9(.):133534980-133563384	1.3956
NR_027440	chr9(.):133447736-133459881	0.2345
NM_014285	chr9(.):133564157-133585452	0.0938
NM_198180	chr9(.):133763814-133774225	0.7596
NM_032843	chr9(.):133772824-133819239	2.2436
NM_001145106	chr9(.):133772824-133819455	2.2373
NM_001185095	chr9(.):133966862-134003539	1.1487
NM_032536	chr9(.):135032333-135123220	1.6758
NM_020064	chr9(.):135452992-135470640	0.8864
NM_001135031	chr9(.):135849097-135872084	1.6276
NM_001042368	chr9(.):135968106-136029588	0.1218
NM_021996	chr9(.):136023339-136044301	1.0584
NM_020469	chr9(.):136125562-136155630	1.0367
NM_014581	chr9(.):136075665-136089628	1.4991
NM_133640	chr9(.):136202754-136219972	0.0812
NR_002447	chr9(.):136211250-136221325	0.0867
NM_000972	chr9(.):136210068-136223280	0.0744
NM_003172	chr9(.):136213665-136228361	0.0695
NM_153710	chr9(.):136238283-136276220	0.5922
NR_000017	chr9(.):136211948-136222019	0.0909
NM_017503	chr9(.):136218420-136233040	0.0521
NR_000016	chr9(.):136212700-136222767	0.0825
NR_002448	chr9(.):136212310-136222382	0.0881
NM_020385	chr9(.):136266185-136288164	0.1825
NM_006753	chr9(.):136192551-136208047	0.2209
NM_033161	chr9(.):136223339-136247970	0.2068
NM_017586	chr9(.):136320086-136340909	0.7031
NM_001145099	chr9(.):136331215-136349276	0.6306
NM_001080515	chr9(.):136438536-136450368	1.8857
NM_001145320	chr9(.):136392285-136445641	1.6808
NM_014694	chr9(.):136394974-136445641	1.6425
NM_001080483	chr9(.):136374707-136395068	1.7712
NM_000787	chr9(.):136496484-136529466	1.5893
NR_037460	chr9(.):137736020-137747490	0.2159
NR_037469	chr9(.):137736970-137747118	0.2151
NM_015837	chr9(.):137767657-137784366	1.348
NM_002003	chr9(.):137796430-137814806	1.0285
NM_006334	chr9(.):137962102-137994952	0.9454
NM_014279	chr9(.):137962088-138018030	1.0617
NM_014811	chr9(.):138366647-138385739	0.1985
NM_001048265	chr9(.):138382025-138396761	0.561
NM_016034	chr9(.):138387482-138401519	0.4682
NM_002297	chr9(.):138408285-138423378	0.7319
NM_182974	chr9(.):138510501-138536386	0.4743
NM_001001676	chr9(.):138550167-138562755	1.3166
NM_001101677	chr9(.):138580254-138596374	1.6904
NM_016172	chr9(.):138819814-138858226	0.2023
NM_152833	chr9(.):139001426-139015731	0.4414
NM_178138	chr9(.):139083095-139101955	1.5647
NM_181701	chr9(.):139093181-139142687	0.3803
NM_014564	chr9(.):139083095-139100004	1.7387
NM_001145638	chr9(.):139216931-139259057	2.2809
NM_001080849	chr9(.):139251351-139263241	0.7594
NM_052813	chr9(.):139253407-139273133	0.7162
NM_001145639	chr9(.):139242508-139259057	1.5998
NR_026964	chr9(.):139211997-139226779	1.7007
NM_015597	chr9(.):139216931-139241288	2.7002
NM_003086	chr9(.):139265028-139297889	0.2192
NM_017617	chr9(.):139383895-139445238	0.1257
NM_006412	chr9(.):139562594-139586911	2.5688
NM_016215	chr9(.):139552381-139572130	2.7148
NR_029695	chr9(.):139560053-139570138	2.5647
NM_201446	chr9(.):139552376-139572130	2.7144
NM_178469	chr9(.):139643839-139657731	1.7157
NM_032928	chr9(.):139680776-139692769	0.4874
NM_203347	chr9(.):139649085-139663965	1.3119
NR_002958	chr9(.):139616198-139626331	0.2919
NR_024542	chr9(.):139614045-139627636	0.3297
NM_152421	chr9(.):139602023-139624170	1.35
NM_198946	chr9(.):139633468-139647980	2.4843
NM_001001712	chr9(.):139627618-139642411	2.4327
NR_002975	chr9(.):139615555-139625689	0.2956
NM_001039374	chr9(.):139685789-139707193	0.2826
NR_024580	chr9(.):139693378-139708300	0.1587
NR_033913	chr9(.):139635612-139649363	2.3821
NM_178536	chr9(.):139841767-139854949	1.4791
NM_000606	chr9(.):139834697-139846426	0.3761
NM_018998	chr9(.):139829886-139844173	0.217
NM_004669	chr9(.):139884059-139896024	1.0018
NM_015392	chr9(.):139928908-139945676	2.3618
NM_001246	chr9(.):139937552-139953505	2.0957
NM_183241	chr9(.):139881869-139893428	1.1881
NR_027447	chr9(.):139974397-139986269	0.065
NM_207511	chr9(.):139916915-139936234	1.89
NM_000954	chr9(.):139866955-139881194	2.1948
NM_001606	chr9(.):139896685-139927740	1.413
NM_207309	chr9(.):139966952-139983990	0.1483
NM_207510	chr9(.):139872444-139885210	2.0234
NM_004479	chr9(.):139919625-139932292	1.9681
NM_178448	chr9(.):139951578-139970028	0.3913
NM_212533	chr9(.):139896685-139928374	1.4193
NM_001144026	chr9(.):140095118-140118813	0.0994
NM_053045	chr9(.):140093534-140105090	0.0865
NM_000832	chr9(.):140028608-140068214	1.7842
NM_001128228	chr9(.):140081068-140100163	0.0762
NM_003731	chr9(.):140078053-140089822	0.061
NM_001013653	chr9(.):140058211-140069491	2.8266
NM_013366	chr9(.):140064235-140088057	0.6602
NM_031297	chr9(.):140109706-140120775	0.2415
NM_013379	chr9(.):139999991-140014195	0.3392
NR_037416	chr9(.):140058637-140068722	2.9348
NM_017723	chr9(.):140167279-140182093	0.1536
NM_006088	chr9(.):140130710-140143159	0.2637
NM_001004353	chr9(.):140140729-140152934	0.4682
NM_001001710	chr9(.):140133036-140147222	0.396
NM_199001	chr9(.):140114643-140125763	1.3436
NM_015456	chr9(.):140144758-140173000	0.1845
NM_080877	chr9(.):140120384-140136006	1.71
NM_001004354	chr9(.):140189082-140201703	1.3777
NM_001177316	chr9(.):140120208-140136006	1.7029
NM_001190228	chr9(.):140117017-140129090	1.9395
NM_001178064	chr9(.):140337022-140358786	0.3916
NM_001033113	chr9(.):140323815-140340901	1.8944
NM_006647	chr9(.):140312846-140333858	1.8436
NR_030333	chr9(.):140727870-140737968	0.0742
NM_001001671	chrX(.):19373175-19538379	0.3862
NM_021949	chrX(.):152796579-152853387	0.9057
NM_005629	chrX(.):152948751-152967048	0.2644
NM_001142806	chrX(.):152949965-152967048	0.2544
NM_001711	chrX(.):152755346-152780004	0.9549
NM_017518	chrX(.):152708122-152741603	0.1034
NM_080701	chrX(.):152705177-152716945	0.0637
NM_001039582	chrX(.):152930187-152944816	0.6034
NM_001395	chrX(.):152902896-152921781	0.9906
NM_152274	chrX(.):152848382-152869632	0.0779
NM_001135740	chrX(.):152930187-152943743	0.6384
NM_024693	chr10(.):11779355-11811065	0.1807
NM_170744	chr10(.):72967297-73065749	0.812
NM_001146274	chr10(.):114705008-114932436	0.3278
NM_152643	chr10(.):134968970-135044916	1.1201
NM_145306	chr10(.):71385002-71398355	0.1906
NR_033413	chr10(.):73074009-73128147	0.092
NM_003987	chr10(.):102500467-102594698	1.0651
NR_029380	chr10(.):102984350-103003616	0.9786
NM_006562	chr10(.):102981732-102993717	1.4791
NM_024326	chr10(.):104174570-104187893	0.5913
NM_002779	chr10(.):104157375-104183901	1.2
NM_024040	chr10(.):104178001-104197423	0.2694
NM_002502	chr10(.):104150431-104167281	0.2798
NM_001077494	chr10(.):104149338-104167281	0.2672
NM_001077493	chr10(.):104149228-104167281	0.2662
NR_030169	chr10(.):104191268-104201341	0.3931
NM_024886	chr10(.):104204593-104216300	0.0998
NM_024789	chr10(.):104216169-104241802	0.1188
NM_173572	chr10(.):134737688-134761089	1.0686
NM_001083909	chr10(.):134896408-134950179	0.8293
NM_014468	chr10(.):135046407-135060433	1.5761
NM_001109	chr10(.):135070919-135095407	0.1904
NM_145806	chr10(.):135117422-135131666	0.1395
NM_006659	chr10(.):135088137-135127644	0.0751
NM_003577	chr10(.):135038777-135050062	1.281
NR_030170	chr10(.):135056014-135066124	1.7409
NM_020896	chr11(.):3103345-3191582	0.1737
NM_003957	chr11(.):1406128-1488328	1.1713
NM_053005	chr11(.):1485684-1790501	0.9902
NM_181798	chr11(.):2477683-2875340	0.0646
NM_000218	chr11(.):2461220-2875340	0.0692
NM_021926	chr11(.):44277277-44336716	0.4163
NM_004200	chr11(.):61277784-61353298	1.5421
NM_006133	chr11(.):61442904-61519474	1.6393
NM_015080	chr11(.):64368645-64495660	1.322
NM_001104	chr11(.):66309390-66335797	1.0568
NR_030691	chr11(.):69926515-70040652	1.2551
NM_018043	chr11(.):69919407-70040652	1.237
NM_012309	chr11(.):70308960-70940808	0.7013
NM_138329	chr11(.):273569-290304	0.6858
NM_006435	chr11(.):303106-314410	1.1668
NM_025092	chr11(.):284137-300688	0.779
NM_003641	chr11(.):308990-320272	1.4243
NM_178537	chr11(.):364794-387117	1.4831
NM_001025295	chr11(.):293202-304526	0.8663
NM_021034	chr11(.):314672-325914	1.3148
NM_021805	chr11(.):400715-422397	1.2999
NM_007183	chr11(.):389216-409908	1.122
NM_001135054	chr11(.):400715-419999	1.4094
NM_030783	chr11(.):445279-496387	0.1112
NM_001012302	chr11(.):412929-447011	0.9248
NR_002585	chr11(.):806680-816814	0.0686
NM_001025239	chr11(.):837823-872116	1.2812
NM_001025234	chr11(.):839080-872116	1.3286
NM_145886	chr11(.):794178-810250	0.0891
NM_021128	chr11(.):834720-847529	0.7665
NM_001142674	chr11(.):862858-915874	0.1405
NM_139029	chr11(.):827951-843835	0.5444
NM_173584	chr11(.):822584-836991	0.5584
NM_024698	chr11(.):785474-801263	0.0744
NM_001004	chr11(.):804935-817876	0.0694
NM_001025237	chr11(.):839445-872116	1.3432
NM_020376	chr11(.):813900-830571	0.3162
NM_001191060	chr11(.):785474-802995	0.0789
NM_001191061	chr11(.):785474-803269	0.0785
NM_001025235	chr11(.):837940-872116	1.2856
NM_005961	chr11(.):1007823-1041706	0.9855
NM_002457	chr11(.):1069874-1109417	1.4891
NM_002458	chr11(.):1239294-1288406	1.374
NM_001172223	chr11(.):1485684-1512948	0.0484
NM_004420	chr11(.):1570280-1598150	0.8148
NM_001001480	chr11(.):1646032-1657159	1.9134
NM_001004325	chr11(.):1613406-1624524	1.0977
NM_001012709	chr11(.):1637187-1648368	1.4213
NR_021489	chr11(.):1588970-1625414	1.2078
NR_026643	chr11(.):1681828-1694086	1.9333
NM_001012708	chr11(.):1623794-1634693	1.308
NM_001005922	chr11(.):1600571-1611513	1.2776
NM_001909	chr11(.):1768984-1790222	0.4272
NR_026642	chr11(.):1699499-1711859	1.5911
NM_001012416	chr11(.):1713424-1723985	1.5596
NM_001170820	chr11(.):1751029-1774349	0.9792
NM_138567	chr11(.):1850673-1863750	1.8286
NM_002339	chr11(.):1869199-1918493	0.5761
NM_001042782	chr11(.):1935798-1964936	1.9845
NM_001145829	chr11(.):1855718-1867910	1.5352
NM_001013253	chr11(.):1884902-1918493	0.6718
NM_001145841	chr11(.):1856431-1867910	1.4213
NM_001013255	chr11(.):1887153-1918493	0.6599
NM_003282	chr11(.):1855232-1867910	1.5811
NM_001013254	chr11(.):1887098-1918493	0.6605
NR_036185	chr11(.):1875693-1885766	0.3188
NR_030533	chr11(.):2012988-2023061	2.7733
NM_021134	chr11(.):1963501-1982839	0.4409
NR_024471	chr11(.):1999438-2016150	2.9055
NR_002196	chr11(.):2011405-2024065	2.811
NM_001127598	chr11(.):2145346-2167341	1.5221
NM_199292	chr11(.):2180158-2198035	1.694
NM_001185098	chr11(.):2176008-2187439	1.7202
NR_028044	chr11(.):2156757-2174896	1.765
NR_003512	chr11(.):2145341-2187439	1.6763
NM_001042376	chr11(.):2162852-2187439	1.7999
NM_001007139	chr11(.):2145346-2175833	1.6461
NM_000612	chr11(.):2145346-2165204	1.4449
NR_030158	chr11(.):2150363-2160439	1.9496
NR_024621	chr11(.):2312506-2328143	1.4542
NM_005170	chr11(.):2284727-2297182	0.8673
NM_139022	chr11(.):2318242-2344430	1.6384
NM_004356	chr11(.):2393546-2423649	1.2293
NM_005706	chr11(.):2418522-2430106	0.9357
NM_014555	chr11(.):2420745-2449275	2.0843
NM_002555	chr11(.):2918511-2951476	0.9902
NM_001122631	chr11(.):2899447-2911995	0.5901
NM_003311	chr11(.):2944502-2955650	1.653
NR_002982	chr11(.):2980000-2990123	0.0473
NR_024627	chr11(.):2886262-2898336	0.4227
NM_007105	chr11(.):2904326-2930175	0.3498
NM_183233	chr11(.):2915950-2951476	0.9413
NR_027138	chr11(.):3234561-3249361	0.818
NM_001164377	chr11(.):3234173-3245043	0.8965
NM_001039165	chr11(.):3244040-3258616	0.5924
NM_145017	chr11(.):61243584-61263400	1.148
NM_001145077	chr11(.):61271271-61283490	1.2347
NR_002775	chr11(.):61377507-61411921	1.0435
NM_001127392	chr11(.):61515120-61560989	1.0947
NM_013402	chr11(.):61562096-61589529	0.0848
NM_013279	chr11(.):61517860-61560989	1.0735
NM_014206	chr11(.):61551601-61565085	0.0698
NM_004111	chr11(.):61555149-61569710	0.0655
NR_031729	chr11(.):61577632-61587712	0.116
NR_026882	chr11(.):61516500-61530136	1.7455
NR_030342	chr11(.):61554966-61565033	0.0649
NM_004470	chr11(.):64003412-64016607	0.1233
NM_000932	chr11(.):64013994-64041924	0.1769
NM_004322	chr11(.):64032299-64057176	0.088
NM_057092	chr11(.):64004587-64016607	0.1284
NM_012094	chr11(.):64080568-64094283	0.0852
NM_033310	chr11(.):64053792-64072503	1.4166
NM_020155	chr11(.):64048581-64061972	0.7621
NM_001135208	chr11(.):64003603-64016607	0.1219
NM_001039496	chr11(.):64062862-64077239	1.1335
NM_016404	chr11(.):64079164-64090033	0.0678
NM_001170726	chr11(.):64046810-64061972	0.6775
NM_001170881	chr11(.):64047284-64061972	0.6981
NM_001177358	chr11(.):64047282-64061972	0.698
NM_004451	chr11(.):64068043-64089210	0.1639
NM_138689	chr11(.):64006950-64019413	0.2591
NM_032251	chr11(.):64102689-64130006	0.067
NM_018484	chr11(.):64318097-64343999	1.241
NM_138734	chr11(.):64368645-64415787	1.2313
NM_144585	chr11(.):64353281-64374820	1.292
NM_004630	chr11(.):64527075-64551316	0.0695
NM_001164716	chr11(.):64508860-64533187	0.9456
NM_001098671	chr11(.):64489382-64516630	1.6501
NM_001178030	chr11(.):64527075-64550938	0.068
NM_001178031	chr11(.):64527075-64550232	0.0681
NM_001098670	chr11(.):64489382-64517329	1.6339
NM_153819	chr11(.):64489382-64517928	1.6162
NM_207340	chr11(.):66301734-66318671	0.3559
NM_024649	chr11(.):66273118-66306084	0.0546
NM_005125	chr11(.):66355689-66378490	0.1613
NM_003793	chr11(.):66325934-66341047	1.2166
NM_006328	chr11(.):66379052-66402397	0.0749
NM_018219	chr11(.):66352639-66365554	0.3632
NM_198923	chr11(.):68742489-68753455	0.6566
NM_001098515	chr11(.):68766861-68785850	1.9474
NM_139075	chr11(.):68811349-68863072	0.0899
NM_153451	chr11(.):69475331-69495165	0.137
NM_002007	chr11(.):69582796-69595171	1.1029
NM_005117	chr11(.):69508005-69524106	1.2631
NM_005247	chr11(.):69619735-69639192	1.1175
NM_003824	chr11(.):70044268-70058508	0.2443
NR_037437	chr11(.):70713374-70723473	0.6829
NM_015232	chr12(.):181541-285494	0.5547
NM_001170738	chr12(.):171048-292625	0.5593
NM_172364	chr12(.):1896122-2032870	0.534
NM_001168320	chr12(.):3181520-3400730	1.037
NM_014262	chr12(.):6932571-6954018	1.3473
NM_006897	chr12(.):54388876-54402120	2.1008
NM_002332	chr12(.):57517281-57612125	1.0434
NR_026823	chr12(.):142945-154412	0.8485
NM_001163926	chr12(.):1924432-1950918	1.4496
NM_014449	chr12(.):6925962-6941583	2.0016
NM_001195017	chr12(.):6893691-6934976	0.4983
NM_000616	chr12(.):6893637-6934976	0.4977
NM_002286	chr12(.):6876669-6892621	0.3647
NR_027483	chr12(.):6972277-6985110	0.0824
NM_001159287	chr12(.):6971583-6985110	0.0789
NM_031299	chr12(.):6952971-6965456	0.1232
NM_001146316	chr12(.):6975099-6987449	0.0755
NM_001098536	chr12(.):6956284-6980795	0.0791
NM_000365	chr12(.):6971692-6985110	0.0795
NM_032641	chr12(.):6975099-6987521	0.0757
NM_002075	chr12(.):6944374-6961557	0.2043
NR_002803	chr12(.):6988144-6998768	0.0459
NM_003481	chr12(.):6956290-6980795	0.0791
NR_026948	chr12(.):50297665-50310646	0.3127
NM_012306	chr12(.):50255679-50302720	0.5072
NM_001652	chr12(.):50361619-50375922	0.6333
NM_001651	chr12(.):50350278-50364461	1.3726
NM_000486	chr12(.):50339523-50357664	0.8452
NM_001130015	chr12(.):52276792-52290505	0.163
NM_001013690	chr12(.):52206675-52221208	0.8436
NM_181711	chr12(.):52395747-52414671	1.3616
NM_002135	chr12(.):52440190-52458287	0.2581
NM_021934	chr12(.):52458757-52476279	0.175
NM_005556	chr12(.):52621953-52647709	0.7025
NR_027358	chr12(.):52599713-52622597	0.5959
NM_002281	chr12(.):52674696-52690299	0.4741
NM_182507	chr12(.):52557779-52590784	0.9442
NM_002283	chr12(.):52748789-52766309	1.163
NM_002282	chr12(.):52703084-52720182	1.0963
NM_002284	chr12(.):52690648-52707947	0.8976
NM_014212	chr12(.):54361909-54375203	1.6354
NM_017409	chr12(.):54373945-54389062	1.9584
NR_029617	chr12(.):54380521-54390631	1.7399
NM_173860	chr12(.):54343713-54355350	2.0549
NR_003716	chr12(.):54351095-54367515	1.7022
NM_017410	chr12(.):54327575-54345328	1.2325
NM_153693	chr12(.):54405641-54429607	1.5199
NM_018953	chr12(.):54421831-54434144	1.8199
NM_153633	chr12(.):54442660-54454814	0.5907
NR_026658	chr12(.):54467622-54480607	0.2889
NM_004503	chr12(.):54417193-54429607	1.6572
NM_022658	chr12(.):54397889-54411545	1.9399
NR_026655	chr12(.):54447037-54521018	0.357
NR_003084	chr12(.):54405641-54434144	1.5412
NM_014620	chr12(.):54405641-54454814	1.1963
NR_030753	chr12(.):54422733-54432829	1.8377
NM_001127322	chr12(.):54619730-54658329	0.0466
NM_001127321	chr12(.):54619730-54658370	0.0466
NM_014311	chr12(.):54570251-54587757	0.2673
NM_020142	chr12(.):57623685-57639475	0.8925
NM_001166357	chr12(.):57619142-57633718	0.4576
NR_029416	chr12(.):57618827-57633718	0.4708
NR_029417	chr12(.):57618355-57633718	0.5055
NR_029415	chr12(.):57619110-57633718	0.459
NM_007224	chr12(.):57605577-57625232	1.6011
NM_145064	chr12(.):57632241-57649969	0.6739
NR_031597	chr12(.):57583286-57593359	1.6832
NM_001112732	chr13(.):113617756-113757862	1.3962
NM_019616	chr13(.):113755104-113779995	0.8252
NM_024979	chr13(.):113628654-113757862	1.4077
NR_034002	chr13(.):113616797-113627952	1.2729
NM_000504	chr13(.):113772112-113808843	0.7305
NM_024719	chr13(.):113973504-114023463	0.6122
NM_138430	chr13(.):114071583-114112839	0.3424
NM_199162	chr13(.):114071259-114108457	0.3896
NM_020836	chr14(.):100998483-101041131	0.7706
NM_001159531	chr14(.):100998483-101039407	0.7748
NM_025055	chr15(.):74523666-74633482	1.229
NM_000057	chr15(.):91255578-91363686	0.0562
NR_036195	chr15(.):42153692-42163749	1.8568
NM_005090	chr15(.):42115282-42145346	0.2246
NM_001114633	chr15(.):42126010-42145346	0.2912
NM_016642	chr15(.):42135343-42191275	0.9813
NM_001130137	chr15(.):74416995-74434143	1.0788
NM_001130138	chr15(.):74417589-74434143	1.0944
NM_001130136	chr15(.):74416714-74434143	1.0703
NR_027073	chr15(.):74413713-74426619	1.1927
NM_020851	chr15(.):74417742-74434143	1.0981
NM_001142617	chr15(.):74466807-74506371	1.3693
NM_022369	chr15(.):74466807-74500220	1.4542
NM_001142618	chr15(.):74466807-74500556	1.4555
NM_005545	chr15(.):74461086-74474212	1.3816
NM_201526	chr15(.):74461904-74474212	1.4309
NM_001142620	chr15(.):74481728-74506371	1.23
NM_001199041	chr15(.):74466807-74505395	1.39
NM_001199040	chr15(.):74466807-74507046	1.3597
NM_000781	chr15(.):74625102-74665081	0.4655
NM_182791	chr15(.):74605899-74633482	1.1432
NM_001099773	chr15(.):74625102-74663553	0.4739
NM_032808	chr15(.):77900368-77929709	1.0156
NR_027024	chr15(.):78201558-78224188	0.4783
NR_036495	chr15(.):79039378-79050734	0.3165
NM_014272	chr15(.):79046544-79108773	0.7163
NM_001126131	chr15(.):89854535-89883026	0.0597
NR_029692	chr15(.):89906247-89916337	1.9494
NR_015411	chr15(.):89916272-89946718	0.4369
NM_002528	chr16(.):2084815-2102867	0.4636
NM_022493	chr16(.):774768-795997	0.4526
NM_018032	chr16(.):233969-284449	0.0725
NM_022773	chr16(.):898634-1025984	1.1818
NM_001172666	chr16(.):635076-684273	0.0871
NM_021168	chr16(.):635172-684273	0.0871
NM_001172663	chr16(.):634356-684273	0.0876
NM_001172664	chr16(.):634668-684273	0.0874
NR_033645	chr16(.):898634-1036318	1.2301
NM_001193388	chr16(.):1408205-1469705	0.0622
NM_014714	chr16(.):1555427-1667109	0.4789
NM_001009606	chr16(.):1956464-1973231	1.5574
NM_024507	chr16(.):3009216-3023381	0.8093
NM_001089	chr16(.):2320878-2395747	1.2062
NM_020764	chr16(.):2222183-2251465	1.3773
NM_001098514	chr16(.):5089122-5121111	0.5849
NM_173618	chr16(.):30002530-30022112	0.4271
NM_005331	chr16(.):225332-236178	0.7007
NM_001039476	chr16(.):130803-193610	0.0765
NM_000517	chr16(.):217845-228709	1.0622
NM_005332	chr16(.):197853-209504	1.0728
NM_001077350	chr16(.):130803-193672	0.0773
NM_000558	chr16(.):221678-232520	0.8763
NM_001003938	chr16(.):210972-221767	1.3808
NM_183337	chr16(.):313309-330914	1.1589
NM_006849	chr16(.):328117-342209	0.6813
NM_001176	chr16(.):325605-338003	0.979
NM_032039	chr16(.):279800-321119	0.2025
NR_024121	chr16(.):571846-582407	0.0902
NM_004204	chr16(.):615003-639108	0.1443
NM_176677	chr16(.):612031-624495	0.5388
NM_005632	chr16(.):572855-609636	0.3562
NR_036137	chr16(.):588276-598366	0.0483
NM_145270	chr16(.):605421-620528	1.5556
NM_032259	chr16(.):729701-745400	0.5607
NM_001031737	chr16(.):767581-781473	0.3981
NM_138418	chr16(.):686848-703474	0.0974
NM_023933	chr16(.):766157-777590	0.6427
NM_032304	chr16(.):772265-784715	0.2727
NM_138769	chr16(.):713132-729171	0.1519
NM_005861	chr16(.):725114-737768	0.1998
NM_003961	chr16(.):721074-733267	0.1926
NM_207112	chr16(.):771957-784715	0.2732
NM_145294	chr16(.):694362-722829	0.0825
NM_153350	chr16(.):737499-760825	1.6628
NM_001005920	chr16(.):726666-739439	0.177
NM_024042	chr16(.):760172-772480	1.0053
NM_005823	chr16(.):805764-823865	1.5011
NM_058192	chr16(.):829973-843383	0.7575
NM_022092	chr16(.):833621-853074	0.4584
NM_016541	chr16(.):843040-855733	0.6644
NM_013404	chr16(.):806072-823865	1.4932
NM_001013638	chr16(.):850442-868861	1.2212
NR_030384	chr16(.):815182-825277	1.5682
NM_001025190	chr16(.):814427-837926	1.5863
NM_001177355	chr16(.):805765-823865	1.5012
NR_036442	chr16(.):1020760-1036318	1.6371
NM_014587	chr16(.):1026807-1041979	1.9882
NR_027242	chr16(.):1109081-1133731	1.6783
NM_001053	chr16(.):1123780-1136454	1.5513
NM_207419	chr16(.):1133225-1151244	1.2994
NM_001172560	chr16(.):1117755-1136454	1.5233
NM_021098	chr16(.):1198240-1276772	2.1046
NM_024164	chr16(.):1273335-1285185	1.9154
NM_003294	chr16(.):1285677-1297555	1.9223
NM_012467	chr16(.):1266650-1280254	2.6862
NM_012217	chr16(.):1301272-1313494	2.2793
NM_003345	chr16(.):1354637-1380390	0.1112
NM_194261	chr16(.):1354179-1380390	0.1157
