REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X18_0EX4_0229Kronos_MM1S.KB.6hr.2_H3K27Ac_hs.dm_i37.bam	X42_0EXU_0229Kronos_MM1S.KB.6hr.2_Input_hs_i86.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
5_MACS_peak_9078_lociStitched	chr15	68478727	68503739	5	14626	43063.1604	3474.1668	158	PIAS1,CALML4,CLN6		CALML4	CALML4	1.5555	158	1
1_MACS_peak_25222_lociStitched	chr7	78113673	78128277	1	14605	91910.274	2983.5972	159	MAGI2		RPL13AP17	RPL13AP17	NONE	159	1
1_MACS_peak_13855_lociStitched	chr2	11883591	11898192	1	14602	71317.1244	2712.8658	160	LPIN1		LPIN1	LPIN1	0.7464999999999999	160	1
1_MACS_peak_11071_lociStitched	chr17	29635036	29649561	1	14526	64790.215	2836.7325	161	NF1,EVI2B,EVI2A	OMG	EVI2B	EVI2B	2.3781000000000003	161	1
4_MACS_peak_23058_lociStitched	chr6	27094178	27116245	4	14373	58022.9698	3535.1334	162	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	HIST1H4I	1.1573	162	1
4_MACS_peak_8787_lociStitched	chr15	45001774	45029343	4	14356	44885.0889	4766.6801	163	B2M,TRIM69	SPG11,PATL2	B2M	B2M	1.0787	163	1
2_MACS_peak_28211_lociStitched	chr9	130828793	130845810	2	14326	40759.1184	2739.737	164	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	SLC25A25	0.7475	164	1
5_MACS_peak_21329_lociStitched	chr5	32276001	32296787	5	14325	19659.3988	3620.9212	165	MTMR12		MTMR12	MTMR12	0.1898	165	1
2_MACS_peak_5863_lociStitched	chr12	26265728	26280364	2	14255	53601.4228	2660.8248	166	BHLHE41		BHLHE41	BHLHE41	2.7949	166	1
3_MACS_peak_19060_lociStitched	chr3	129026586	129048480	3	14217	39514.2912	3776.715	167	C3orf47,H1FX	C3orf37	H1FX	H1FX	2.6011	167	1
4_MACS_peak_23017_lociStitched	chr6	26183633	26207401	4	14170	64197.368	4116.6176	168	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	HIST1H3D	3.0277999999999996	168	1
3_MACS_peak_19261_lociStitched	chr3	151985489	152002103	3	14150	28885.1004	2988.8586	169	MBNL1,LOC401093	MBNL1	LOC401093	LOC401093	1.1893	169	1
4_MACS_peak_2921_lociStitched	chr10	7511522	7535726	4	14089	72556.3308	3729.8364	170			SFMBT2	SFMBT2	NONE	170	1
2_MACS_peak_20254_lociStitched	chr4	71517599	71535376	2	14087	55089.1453	3102.0865	171	IGJ	ENAM,UTP3,RUFY3	IGJ	IGJ	2.4731	171	1
2_MACS_peak_623_lociStitched	chr1	40030194	40048044	2	14077	27644.295	3232.635	172	PABPC4,SNORA55	PPIEL	PABPC4	PABPC4	0.9295	172	1
5_MACS_peak_14218_lociStitched	chr2	46785669	46804523	5	14059	37230.9938	3344.6996	173	RHOQ	CRIPT,ATP6V1E2,PIGF	RHOQ	RHOQ	0.7377	173	1
3_MACS_peak_22013_lociStitched	chr5	118657719	118678809	3	14054	58838.991	3758.238	174	TNFAIP8	TNFAIP8	TNFAIP8	TNFAIP8	0.48	174	1
2_MACS_peak_11890_lociStitched	chr17	75078871	75093204	2	13973	47966.8178	2687.4375	175	C17orf86,SCARNA16	SEC14L1	SCARNA16	SCARNA16	2.9655	175	1
3_MACS_peak_9778_lociStitched	chr16	12052384	12072214	3	13969	150035.763	3615.009	176	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	10.8367	176	1
3_MACS_peak_16827_lociStitched	chr20	55957954	55975506	3	13967	32097.3424	2789.0128	177	RBM38	RAE1,MTRNR2L3	RBM38	RBM38	0.9238999999999999	177	1
2_MACS_peak_4378_lociStitched	chr11	19449973	19466045	2	13961	103593.6832	3365.4768	178	NAV2		NAV2	NAV2	0.09889999999999999	178	1
3_MACS_peak_11943_lociStitched	chr17	76763382	76779673	3	13953	39961.823	2570.7198	179	CYTH1		CYTH1	CYTH1	0.9248999999999999	179	1
1_MACS_peak_17478_lociStitched	chr22	29185721	29199601	1	13881	73142.048	2816.252	180	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	4.3895	180	1
1_MACS_peak_11233_lociStitched	chr17	37925024	37938840	1	13817	48624.0304	2912.4128	181	IKZF3	GRB7,C17orf37	GRB7	C17orf37	0.3533	181	1
4_MACS_peak_1724_lociStitched	chr1	155902468	155922622	4	13810	31486.5942	4329.0792	182	RXFP4,KIAA0907,ARHGEF2	RIT1,SNORA42,SCARNA4	RXFP4	RXFP4	1.5098	182	1
2_MACS_peak_22289_lociStitched	chr5	142771291	142785926	2	13809	46166.1075	2151.345	183	NR3C1		NR3C1	NR3C1	0.27959999999999996	183	1
1_MACS_peak_11679_lociStitched	chr17	62196772	62210570	1	13799	40349.4914	2541.5916	184	ERN1	SNORD104,SNORA76	ERN1	ERN1	1.5903	184	1
6_MACS_peak_26241_lociStitched	chr8	27930117	27951569	6	13787	35563.1256	3646.84	185	ELP3,C8orf80		C8orf80	C8orf80	0.5089	185	1
4_MACS_peak_17717_lociStitched	chr22	39910342	39929620	4	13671	39583.5174	3527.874	186	SMCR7L,ATF4,RPS19BP1	MGAT3,CACNA1I	ATF4	ATF4	1.7991	186	1
4_MACS_peak_21797_lociStitched	chr5	88595678	88617462	4	13647	89839.3944	4038.7536	187			MEF2C	MEF2C	0.6476999999999999	187	1
4_MACS_peak_5065_lociStitched	chr11	82764830	82790270	4	13618	56331.792	4454.544	188	RAB30	SNORA70E	RAB30	RAB30	0.7573000000000001	188	1
3_MACS_peak_11777_lociStitched	chr17	70582327	70601757	3	13603	50632.637	3318.644	189	LOC100499467,FLJ26484		LOC100499467	LOC100499467	0.3035	189	1
4_MACS_peak_20324_lociStitched	chr4	77117772	77136539	4	13595	43479.3856	3460.6348	190	SCARB2	FAM47E,NUP54	SCARB2	SCARB2	0.5851	190	1
5_MACS_peak_15700_lociStitched	chr2	204548263	204573736	5	13569	54007.8546	4587.6873	191	CD28		CD28	CD28	1.2931	191	1
2_MACS_peak_17459_lociStitched	chr22	26974595	26992452	2	13566	46358.5577	2969.6191	192	TPST2	CRYBA4,MIR548J,TPST2,CRYBB1	TPST2	CRYBB1	1.4041	192	1
2_MACS_peak_28769_lociStitched	chrX	48790286	48805648	2	13564	80426.2148	1703.6458	193	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	OTUD5	2.3048	193	1
5_MACS_peak_29203_lociStitched	chrX	128902391	128921406	5	13514	33989.3125	2106.862	194	XPNPEP2,SASH3		SASH3	SASH3	0.8392999999999999	194	1
4_MACS_peak_3247_lociStitched	chr10	45913560	45933857	4	13496	91326.3515	3460.6385	195	ALOX5		ALOX5	ALOX5	1.0766	195	1
3_MACS_peak_1814_lociStitched	chr1	160633693	160655941	3	13492	83547.9144	5842.3248	196	CD48	SLAMF1	SLAMF1	NONE	NONE	196	1
3_MACS_peak_5642_lociStitched	chr12	7022663	7038491	3	13425	23545.7328	2578.3812	197	LRRC23,ENO2,ATN1	TPI1,RPL13P5,DSTNP2,C12orf57,PTPN6,MIR200C,MIR141,EMG1,SPSB2,SCARNA12,PHB2	ATN1	PTPN6	3.5096000000000003	197	1
5_MACS_peak_16790_lociStitched	chr20	52539105	52566823	5	13399	40326.9182	4523.5776	198	BCAS1	SUMO1P1	SUMO1P1	SUMO1P1	1.4525	198	1
4_MACS_peak_3596_lociStitched	chr10	81946258	81966431	4	13392	39637.9277	3689.6417	199	ANXA11		ANXA11	ANXA11	0.5785	199	1
2_MACS_peak_17417_lociStitched	chr22	24177212	24192494	2	13353	126868.1076	3141.9792	200	DERL3	SMARCB1,SLC2A11,MIF	DERL3	DERL3	1.071	200	1
2_MACS_peak_24973_lociStitched	chr7	50343602	50357785	2	13349	41373.2293	2599.7439	201	IKZF1		IKZF1	IKZF1	0.27	201	1
3_MACS_peak_27801_lociStitched	chr9	94181243	94195819	3	13323	48908.3104	2559.5456	202	NFIL3		NFIL3	NFIL3	1.3852	202	1
4_MACS_peak_14227_lociStitched	chr2	47193690	47215051	4	13323	63726.2713	3522.4289	203	TTC7A	MCFD2	MCFD2	MCFD2	0.477	203	1
5_MACS_peak_12707_lociStitched	chr19	2254458	2274538	5	13322	42149.928	4335.272	204	OAZ1,JSRP1	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,C19orf35,LINGO3	OAZ1	MIR1227	1.8179	204	1
2_MACS_peak_22126_lociStitched	chr5	131822109	131837869	2	13304	47035.72	3134.664	205	IRF1	IL5	IRF1	IRF1	0.8070999999999999	205	1
1_MACS_peak_2434_lociStitched	chr1	211743192	211756385	1	13194	30358.4123	3292.9728	206	SLC30A1		SLC30A1	SLC30A1	1.9715	206	1
2_MACS_peak_22704_lociStitched	chr6	389014	404077	2	13091	34042.38	2574.2667	207	IRF4		IRF4	IRF4	1.0706	207	1
2_MACS_peak_19647_lociStitched	chr3	186703126	186719842	2	13072	88939.1496	4608.6012	208	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	1.0872	208	1
3_MACS_peak_20063_lociStitched	chr4	38306990	38322639	3	13071	69068.4264	3131.3649	209			KLF3	KLF3	0.25730000000000003	209	1
1_MACS_peak_15665_lociStitched	chr2	202116026	202129077	1	13052	85773.7822	2503.1818	210	CASP8		CASP8	CASP8	1.5572	210	1
1_MACS_peak_381_lociStitched	chr1	27018170	27031221	1	13052	49495.9175	2505.792	211	ARID1A		ARID1A	ARID1A	0.6474	211	1
5_MACS_peak_5727_lociStitched	chr12	11901702	11920174	5	13021	39007.3224	3212.2808	212	ETV6		ETV6	ETV6	0.28900000000000003	212	1
4_MACS_peak_5972_lociStitched	chr12	33037736	33060532	4	13018	22046.0116	3768.1788	213	PKP2		PKP2	PKP2	0.1205	213	1
5_MACS_peak_4891_lociStitched	chr11	67760596	67781622	5	13008	36766.0636	3191.7468	214	ALDH3B1,UNC93B1	NDUFS8,TCIRG1	UNC93B1	NDUFS8	1.1512	214	1
5_MACS_peak_2149_lociStitched	chr1	192498652	192521242	5	12956	59949.342	4933.656	215		RGS1	RGS1	RGS1	1.1644999999999999	215	1
3_MACS_peak_23427_lociStitched	chr6	45382922	45402677	3	12919	63611.1	2846.6955	216	RUNX2	SUPT3H	RUNX2	RUNX2	0.2742	216	1
4_MACS_peak_28194_lociStitched	chr9	130531943	130551438	4	12903	34586.0795	3080.21	217	CDK9,MIR2861,SH2D3C	FPGS,TOR2A,SH2D3C	SH2D3C	TOR2A	0.5461	217	1
3_MACS_peak_8285_lociStitched	chr14	91781701	91802261	3	12849	29906.576	1986.096	218	CCDC88C		GPR68	GPR68	NONE	218	1
1_MACS_peak_14172_lociStitched	chr2	43444126	43456957	1	12832	86728.5783	2226.1785	219	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	5.9327000000000005	219	1
4_MACS_peak_16025_lociStitched	chr2	238599780	238613338	4	12809	21185.7308	1216.1526	220	LRRFIP1		LRRFIP1	LRRFIP1	0.1185	220	1
4_MACS_peak_10797_lociStitched	chr17	7736827	7762334	4	12757	26672.6699	3609.2405	221	DNAH2,KDM6B,TMEM88,CYB5D1,LSMD1	CHD3,SCARNA21	KDM6B	KDM6B	0.8831	221	1
6_MACS_peak_10300_lociStitched	chr16	67191522	67218840	6	12748	23127.4188	4015.746	222	FBXL8,HSF4,NOL3,TRADD,KIAA0895L,EXOC3L	C16orf70,E2F4,ELMO3,TMEM208,B3GNT9,MIR328,LRRC29	NOL3	NOL3	0.49529999999999996	222	1
2_MACS_peak_16457_lociStitched	chr20	32988797	33005896	2	12733	41422.3275	3209.4823	223	ITCH	MIR644	ITCH	ITCH	0.28900000000000003	223	1
2_MACS_peak_21338_lociStitched	chr5	32530451	32543952	2	12684	55719.9771	2921.6164	224		SUB1	SUB1	SUB1	1.9993	224	1
4_MACS_peak_23899_lociStitched	chr6	109214133	109228540	4	12683	37152.7716	2607.667	225	ARMC2		ARMC2	ARMC2	0.4747	225	1
5_MACS_peak_1997_lociStitched	chr1	174923052	174942224	5	12682	23654.4136	4685.6368	226	RABGAP1L	CACYBP	CACYBP	CACYBP	1.3526	226	1
4_MACS_peak_13073_lociStitched	chr19	16693819	16717003	4	12652	55024.9056	4101.2496	227	MED26	CHERP,SLC35E1	SLC35E1	CHERP	0.146	227	1
1_MACS_peak_2607_lociStitched	chr1	226839885	226852526	1	12642	74853.6815	3591.3081	228	ITPKB		ITPKB	ITPKB	0.8232999999999999	228	1
3_MACS_peak_26664_lociStitched	chr8	81067913	81084658	3	12580	21858.923	2573.7065	229	TPD52		TPD52	TPD52	0.4901	229	1
3_MACS_peak_23716_lociStitched	chr6	88625731	88640294	3	12532	43690.4563	2688.3298	230			SPACA1	SPACA1	NONE	230	1
1_MACS_peak_22996_lociStitched	chr6	25402871	25415393	1	12523	136453.4862	2748.579	231	LRRC16A		LRRC16A	LRRC16A	0.5182	231	1
5_MACS_peak_9991_lociStitched	chr16	29463745	29487927	5	12504	20266.9342	4754.1812	232	SLX1B,SLX1A-SULT1A3,SULT1A4,SULT1A3,BOLA2B,LOC388242	LOC606724	LOC388242	LOC606724	2.7727	232	1
4_MACS_peak_19322_lociStitched	chr3	156804760	156824391	4	12498	72870.272	5371.0416	233	LOC100498859,LOC339894		LOC100498859	LOC100498859	3.1681999999999997	233	1
1_MACS_peak_21341_lociStitched	chr5	32580867	32593351	1	12485	59302.7452	2684.06	234	SUB1		SUB1	SUB1	1.9993	234	1
6_MACS_peak_14484_lociStitched	chr2	70334955	70360877	6	12474	52144.6952	4144.9278	235	LOC100133985	PCBP1,LOC400960	LOC100133985	PCBP1	6.632	235	1
3_MACS_peak_17212_lociStitched	chr21	45194810	45210654	3	12442	44341.0184	3697.9896	236	RRP1,CSTB	LOC284837	CSTB	CSTB	1.0476	236	1
3_MACS_peak_14159_lociStitched	chr2	42343736	42361151	3	12402	45395.6805	3047.625	237		EML4	EML4	EML4	0.021300000000000013	237	1
2_MACS_peak_23884_lociStitched	chr6	108986047	108998749	2	12382	49375.2144	1937.055	238	FOXO3		NCRNA00222	NCRNA00222	NONE	238	1
5_MACS_peak_18593_lociStitched	chr3	66530618	66551648	5	12355	20800.773	3242.826	239	LRIG1		LRIG1	LRIG1	0.1005	239	1
3_MACS_peak_20281_lociStitched	chr4	74453989	74475610	3	12324	62281.4526	3543.6819	240	RASSF6		RASSF6	RASSF6	1.0457999999999998	240	1
1_MACS_peak_9286_lociStitched	chr15	81584811	81597118	1	12308	55699.0206	3125.978	241	IL16	STARD5	IL16	STARD5	0.8035	241	1
3_MACS_peak_28669_lociStitched	chrX	39953154	39969494	3	12227	30341.746	1070.27	242	BCOR		BCOR	BCOR	0.45420000000000005	242	1
5_MACS_peak_21785_lociStitched	chr5	87954388	87976746	5	12220	69537.8516	3315.6914	243	LOC645323,MIR9-2		MIR9-2	MIR9-2	0.44480000000000003	243	1
4_MACS_peak_24239_lociStitched	chr6	143162822	143180127	4	12210	39055.6545	1721.8475	244	HIVEP2		HIVEP2	HIVEP2	0.2567	244	1
1_MACS_peak_12243_lociStitched	chr18	22928970	22941147	1	12178	25168.6413	1701.1269	245	ZNF521		ZNF521	ZNF521	0.021900000000000003	245	1
2_MACS_peak_23172_lociStitched	chr6	31694566	31709359	2	12178	60241.5339	2862.4455	246	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	CLIC1	3.5907	246	1
1_MACS_peak_15467_lociStitched	chr2	182168242	182180384	1	12143	120515.421	2553.4626	247			ITGA4	ITGA4	NONE	247	1
4_MACS_peak_13994_lociStitched	chr2	27293442	27310843	4	12116	21733.849	2648.4322	248	AGBL5,EMILIN1,KHK,OST4	TMEM214,AGBL5,ABHD1,CGREF1,PREB	EMILIN1	EMILIN1	0.8782000000000001	248	1
2_MACS_peak_10730_lociStitched	chr17	4842004	4855271	2	12098	51112.4442	2468.9887	249	RNF167,ENO3,SLC25A11,PFN1	C17orf107,GP1BA,KIF1C,CHRNE,SPAG7,CAMTA2,INCA1	PFN1	PFN1	3.0957000000000003	249	1
4_MACS_peak_10168_lociStitched	chr16	50714033	50732916	4	12080	29903.1188	2802.2372	250	NOD2,SNX20	CYLD	NOD2	NOD2	0.07460000000000001	250	1
1_MACS_peak_16627_lociStitched	chr20	43270166	43282238	1	12073	51764.736	2322.6528	251	ADA	LOC79015	ADA	ADA	1.166	251	1
2_MACS_peak_17479_lociStitched	chr22	29206771	29221513	2	12070	70721.7966	2778.867	252		CCDC117,XBP1	XBP1	XBP1	4.3895	252	1
4_MACS_peak_24126_lociStitched	chr6	135322811	135344223	4	12035	36704.4504	3310.2952	253	HBS1L	MIR3662,HBS1L	MIR3662	HBS1L	0.3526	253	1
3_MACS_peak_2712_lociStitched	chr1	234734117	234749976	3	12023	71414.6629	3831.5344	254	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	4.375	254	1
2_MACS_peak_1763_lociStitched	chr1	156709394	156722741	2	12016	37649.2176	3088.4958	255	MRPL24,HDGF	C1orf66,PRCC,CRABP2,ISG20L2	MRPL24	MRPL24	0.8055000000000001	255	1
4_MACS_peak_23004_lociStitched	chr6	26017414	26034918	4	12001	39840.8544	3026.4416	256	HIST1H3A,HIST1H4A,HIST1H1A,HIST1H4B,HIST1H3B,HIST1H2AB	HIST1H3C,HIST1H2BB,HIST1H1C	HIST1H4B	HIST1H1C	2.362	256	1
2_MACS_peak_21211_lociStitched	chr5	6475451	6487621	2	11983	98215.551	2455.906	257	UBE2QL1		UBE2QL1	UBE2QL1	1.9116000000000002	257	1
3_MACS_peak_18106_lociStitched	chr3	20080208	20098233	3	11900	27904.5025	2779.455	258	KAT2B	C3orf48	KAT2B	KAT2B	0.16450000000000004	258	1
3_MACS_peak_21170_lociStitched	chr5	1329261	1346268	3	11890	34296.3162	3112.281	259	CLPTM1L	TERT	CLPTM1L	CLPTM1L	4.015499999999999	259	1
4_MACS_peak_12986_lociStitched	chr19	13043125	13057865	4	11881	22133.584	2396.724	260	CALR,RAD23A,FARSA	GCDH,DAND5,NFIX,KLF1,SYCE2,GADD45GIP1	CALR	CALR	1.0982999999999998	260	1
1_MACS_peak_10477_lociStitched	chr16	79628837	79640629	1	11793	29909.2288	1086.0432	261	MAF		MAF	MAF	1.5984	261	1
4_MACS_peak_9287_lociStitched	chr15	81608617	81624524	4	11787	22031.195	2885.5298	262	STARD5	IL16,TMC3	STARD5	STARD5	0.8035	262	1
3_MACS_peak_15657_lociStitched	chr2	202040266	202060156	3	11736	21234.564	3347.487	263	CASP10	CASP8	CASP10	CASP8	1.5572	263	1
2_MACS_peak_3217_lociStitched	chr10	43890445	43906094	2	11723	36268.1224	2654.0704	264	HNRNPF	FXYD4,ZNF487P	HNRNPF	HNRNPF	0.6647000000000001	264	1
1_MACS_peak_7643_lociStitched	chr13	114556345	114568040	1	11696	83873.0315	2529.6285	265	GAS6	FLJ44054,GAS6	GAS6	GAS6	1.565	265	1
4_MACS_peak_16383_lociStitched	chr20	30146978	30162063	4	11684	20945.5225	2353.26	266	HM13	PSIMCT-1,ID1,MIR3193	PSIMCT-1	PSIMCT-1	0.1764	266	1
3_MACS_peak_16877_lociStitched	chr20	61272928	61285141	3	11657	37363.2309	2051.784	267	SLCO4A1	LOC100127888	SLCO4A1	SLCO4A1	0.8857	267	1
4_MACS_peak_2093_lociStitched	chr1	183865173	183885918	4	11633	75385.2555	5043.1095	268	RGL1		GLT25D2	GLT25D2	NONE	268	1
4_MACS_peak_8899_lociStitched	chr15	52959391	52977217	4	11548	30332.7216	2994.768	269	KIAA1370		KIAA1370	KIAA1370	0.2216	269	1
3_MACS_peak_581_lociStitched	chr1	37930835	37946621	3	11522	36727.7076	2756.2356	270	ZC3H12A	MEAF6	ZC3H12A	ZC3H12A	1.5973000000000002	270	1
3_MACS_peak_22797_lociStitched	chr6	7135109	7148100	3	11511	36799.6057	2398.1386	271	RREB1		RREB1	RREB1	0.2852	271	1
3_MACS_peak_14156_lociStitched	chr2	42323210	42334945	3	11502	74121.7805	2430.3185	272		PKDCC	PKDCC	NONE	NONE	272	1
5_MACS_peak_4846_lociStitched	chr11	66861625	66889611	5	11483	22008.1904	3682.9576	273	KDM2A	RHOD	KDM2A	KDM2A	0.1547	273	1
3_MACS_peak_18771_lociStitched	chr3	101495513	101513301	3	11477	34747.0792	2931.4624	274	FAM55C	NFKBIZ	FAM55C	FAM55C	0.6229	274	1
2_MACS_peak_17382_lociStitched	chr22	23087841	23101810	2	11435	35898.9331	2288.1222	275			MIR650	MIR650	2.0618	275	1
1_MACS_peak_8927_lociStitched	chr15	56656209	56667628	1	11420	81753.1886	2219.8536	276	TEX9		TEX9	TEX9	0.8410000000000001	276	1
4_MACS_peak_28472_lociStitched	chrX	10073943	10090999	4	11367	43591.7248	1848.8704	277	WWC3	CLCN4	CLCN4	NONE	NONE	277	1
4_MACS_peak_12663_lociStitched	chr19	1258456	1277508	4	11345	39296.6552	3711.3296	278	MIDN,CIRBP,C19orf24,C19orf23	ATP5D,EFNA2,C19orf26	CIRBP	CIRBP	1.5901	278	1
5_MACS_peak_21216_lociStitched	chr5	6711693	6738200	5	11312	20240.7452	3533.3831	279	PAPD7	PAPD7	PAPD7	PAPD7	0.3024	279	1
4_MACS_peak_16637_lociStitched	chr20	43672583	43693100	4	11303	26723.3925	3155.5146	280	STK4	KCNS1	KCNS1	NONE	NONE	280	1
3_MACS_peak_22560_lociStitched	chr5	171601055	171616221	3	11297	41609.4376	2417.4604	281	STK10	EFCAB9	STK10	STK10	0.25939999999999996	281	1
3_MACS_peak_10510_lociStitched	chr16	81841571	81857829	3	11292	34569.3854	1590.0324	282	PLCG2		PLCG2	PLCG2	0.2027	282	1
3_MACS_peak_5372_lociStitched	chr11	118962820	118980135	3	11286	29418.185	3282.924	283	HMBS,C2CD2L,H2AFX,DPAGT1	VPS11,HINFP,ABCG4,HYOU1	DPAGT1	DPAGT1	1.4709999999999999	283	1
3_MACS_peak_21072_lociStitched	chr4	185366639	185381468	3	11271	32914.4484	2728.536	284	IRF2		IRF2	IRF2	2.7277	284	1
1_MACS_peak_22336_lociStitched	chr5	148204656	148215918	1	11263	47534.6496	2566.6098	285	ADRB2		ADRB2	ADRB2	2.2394	285	1
3_MACS_peak_17689_lociStitched	chr22	39459227	39474280	3	11216	37104.1397	2388.9111	286	APOBEC3G	APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3H	APOBEC3G	APOBEC3C	2.1677999999999997	286	1
1_MACS_peak_28768_lociStitched	chrX	48767986	48779200	1	11215	29964.9294	1390.536	287	SLC35A2,PIM2	PQBP1,TIMM17B,OTUD5,KCND1	PIM2	OTUD5	2.3048	287	1
4_MACS_peak_13699_lociStitched	chr19	56145720	56167901	4	11204	30470.0397	3158.5744	288	ZNF580,ZNF581,CCDC106,U2AF2	ZNF524,ZNF865,EPN1,FIZ1,ZNF784	ZNF581	ZNF524	1.2086000000000001	288	1
2_MACS_peak_6993_lociStitched	chr12	125397021	125412934	2	11187	39736.3523	1478.3177	289	UBC	SCARB1	UBC	UBC	2.3733000000000004	289	1
3_MACS_peak_12646_lociStitched	chr19	1015199	1029577	3	11175	31126.9322	2879.9134	290	CNN2,C19orf6	WDR18,GRIN3B,ABCA7,HMHA1	C19orf6	ABCA7	0.9997000000000001	290	1
1_MACS_peak_6131_lociStitched	chr12	51312081	51323237	1	11157	42378.2972	2351.6848	291	METTL7A	HIGD1C	METTL7A	METTL7A	2.1558	291	1
4_MACS_peak_10790_lociStitched	chr17	7475223	7488650	4	11129	25292.4399	2375.2363	292	SENP3,EIF4A1,SNORA48,SNORD10,SNORA67,CD68,MPDU1	TNFSF12,TNFSF13,SHBG,SOX15,FXR2,SAT2	SNORA67	SNORA67	0.9671	292	1
2_MACS_peak_16775_lociStitched	chr20	52267630	52279301	2	11116	65826.7742	2370.3801	293			ZNF217	ZNF217	1.1924	293	1
3_MACS_peak_4933_lociStitched	chr11	71413756	71426840	3	11107	55206.6296	2873.2464	294			FAM86C	FAM86C	NONE	294	1
3_MACS_peak_23980_lociStitched	chr6	117859023	117877347	3	11100	31788.4752	2832.8904	295	DCBLD1	GOPC	GOPC	GOPC	0.1349	295	1
2_MACS_peak_10284_lociStitched	chr16	66549204	66560633	2	11080	113325.3924	2513.2371	296	TK2	CKLF,CMTM1	TK2	TK2	2.4753	296	1
5_MACS_peak_22436_lociStitched	chr5	156339529	156361493	5	11077	46572.4656	3094.7276	297	LOC100286948,TIMD4		LOC100286948	LOC100286948	0.42000000000000004	297	1
4_MACS_peak_4676_lociStitched	chr11	62307889	62325950	4	11024	20475.7557	3234.7251	298	AHNAK	EEF1G,TUT1,MTA2	AHNAK	MTA2	0.8471	298	1
2_MACS_peak_19504_lociStitched	chr3	178230235	178241494	2	11020	74440.0044	2862.0378	299		KCNMB2	KCNMB2	NONE	NONE	299	1
2_MACS_peak_23032_lociStitched	chr6	26355335	26367576	2	11018	67479.7366	2642.8319	300	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	BTN3A2	2.1736	300	1
3_MACS_peak_16550_lociStitched	chr20	37487016	37505904	3	10995	129475.3512	3299.7336	301	PPP1R16B	FAM83D	FAM83D	FAM83D	0.0642	301	1
2_MACS_peak_1838_lociStitched	chr1	161144153	161157829	2	10974	76567.8212	4314.778	302	B4GALT3	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,ADAMTS4,APOA2	B4GALT3	B4GALT3	2.3373	302	1
5_MACS_peak_386_lociStitched	chr1	27146920	27167374	5	10971	18351.3288	2926.9674	303	ZDHHC18	PIGV,SFN,GPN2	ZDHHC18	SFN	1.7147999999999999	303	1
3_MACS_peak_16605_lociStitched	chr20	42569481	42585501	3	10969	40386.42	2776.266	304	TOX2		TOX2	TOX2	0.5756	304	1
1_MACS_peak_2349_lociStitched	chr1	206727856	206738815	1	10960	63620.2827	3341.3991	305	RASSF5	LGTN	RASSF5	RASSF5	0.6987	305	1
3_MACS_peak_22943_lociStitched	chr6	20201467	20214305	3	10950	25064.9112	2124.689	306	MBOAT1		MBOAT1	MBOAT1	0.14679999999999999	306	1
2_MACS_peak_24945_lociStitched	chr7	47512883	47524398	2	10946	53975.411	2513.7245	307	TNS3		TNS3	TNS3	0.23259999999999997	307	1
4_MACS_peak_12685_lociStitched	chr19	1847266	1865652	4	10940	39116.215	3151.3604	308	REXO1,KLF16	LOC100288123,SCAMP4,ADAT3,ATP8B3,MIR1909,FAM108A1	KLF16	KLF16	1.6871	308	1
4_MACS_peak_10816_lociStitched	chr17	8088407	8104395	4	10911	20488.622	3056.9056	309	MIR3676,C17orf59	PFAS,PER1,VAMP2,TMEM107,AURKB,C17orf44,C17orf68	C17orf59	C17orf59	1.2046	309	1
2_MACS_peak_25279_lociStitched	chr7	90351946	90367684	2	10898	31364.2602	2793.495	310	CDK14		CDK14	CDK14	0.13429999999999997	310	1
3_MACS_peak_1818_lociStitched	chr1	160695173	160715003	3	10895	55805.586	5068.548	311	SLAMF7	CD48	SLAMF7	CD48	2.1293	311	1
2_MACS_peak_8573_lociStitched	chr15	31546378	31561118	2	10838	126647.554	2787.334	312			KLF13	KLF13	1.9608999999999999	312	1
