REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X18_0EX4_0229Kronos_MM1S.KB.6hr.2_H3K27Ac_hs.dm_i37.bam	X42_0EXU_0229Kronos_MM1S.KB.6hr.2_Input_hs_i86.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
2_MACS_peak_16775_lociStitched	chr20	52267630	52279301	2	11116	65826.7742	2370.3801	191			ZNF217	191	1
1_MACS_peak_6666_lociStitched	chr12	102870738	102879574	1	8837	65227.352	1913.8776	192	IGF1		IGF1	192	1
2_MACS_peak_17053_lociStitched	chr21	34600547	34613231	2	10367	66598.6104	3295.3032	193	IFNAR2	IL10RB	IFNAR2	193	1
1_MACS_peak_25003_lociStitched	chr7	55569369	55586435	1	17067	65832.095	2643.5234	194	VOPP1		VOPP1	194	1
5_MACS_peak_10212_lociStitched	chr16	56963187	56985982	5	19824	67468.641	4435.907	195	HERPUD1	CETP,NLRC5	HERPUD1	195	1
2_MACS_peak_10210_lociStitched	chr16	56943655	56952703	2	8324	64409.0928	1892.8416	196	SLC12A3	HERPUD1,CETP	HERPUD1	196	1
4_MACS_peak_22122_lociStitched	chr5	131789720	131815903	4	17388	66703.8108	4506.0943	197	C5orf56	IRF1	IRF1	197	1
1_MACS_peak_6528_lociStitched	chr12	92754779	92760359	1	5581	63579.078	1424.574	198			CLLU1	198	1
1_MACS_peak_27793_lociStitched	chr9	93795326	93799585	1	4260	63014.8863	965.0894	199		LOC100129316	LOC100129316	199	1
4_MACS_peak_17387_lociStitched	chr22	23188594	23210118	4	18826	64348.1504	2331.0492	200		MIR650,IGLL5	IGLL5	200	1
1_MACS_peak_11071_lociStitched	chr17	29635036	29649561	1	14526	64790.215	2836.7325	201	NF1,EVI2B,EVI2A	OMG	EVI2B	201	1
1_MACS_peak_4782_lociStitched	chr11	65263362	65278901	1	15540	65120.8412	3197.9262	202	MALAT1	SCYL1,LTBP3	MALAT1	202	1
3_MACS_peak_22673_lociStitched	chr5	180228204	180249395	3	15047	65516.2147	3672.4003	203	MGAT1	LOC729678,ZFP62	MGAT1	203	1
4_MACS_peak_2943_lociStitched	chr10	11278738	11304763	4	23714	66579.7575	4923.93	204	CELF2		CELF2	204	1
4_MACS_peak_13050_lociStitched	chr19	16243469	16273376	4	23104	66991.68	5359.3344	205	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	205	1
2_MACS_peak_6499_lociStitched	chr12	89738099	89749693	2	10819	63786.7098	2164.5998	206	DUSP6		DUSP6	206	1
2_MACS_peak_16831_lociStitched	chr20	56047490	56058326	2	10307	63091.5264	2087.0136	207		CTCFL	CTCFL	207	1
4_MACS_peak_21503_lociStitched	chr5	55436936	55453762	4	15752	63953.9434	3112.81	208	ANKRD55		ANKRD55	208	1
1_MACS_peak_10877_lociStitched	chr17	16889289	16895521	1	6233	62178.5336	1392.2288	209		TNFRSF13B	TNFRSF13B	209	1
3_MACS_peak_23427_lociStitched	chr6	45382922	45402677	3	12919	63611.1	2846.6955	210	RUNX2	SUPT3H	RUNX2	210	1
1_MACS_peak_1307_lociStitched	chr1	111172683	111181468	1	8786	61539.8035	1141.1715	211		KCNA2,KCNA3	KCNA2	211	1
1_MACS_peak_2349_lociStitched	chr1	206727856	206738815	1	10960	63620.2827	3341.3991	212	RASSF5	LGTN	RASSF5	212	1
4_MACS_peak_14227_lociStitched	chr2	47193690	47215051	4	13323	63726.2713	3522.4289	213	TTC7A	MCFD2	MCFD2	213	1
4_MACS_peak_23017_lociStitched	chr6	26183633	26207401	4	14170	64197.368	4116.6176	214	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	214	1
1_MACS_peak_25470_lociStitched	chr7	104651499	104657953	1	6455	61524.0458	1556.0594	215	MLL5,LOC100216545		MLL5	215	1
1_MACS_peak_22223_lociStitched	chr5	139046626	139052265	1	5640	60666.6176	1083.2519	216	CXXC5		CXXC5	216	1
1_MACS_peak_16678_lociStitched	chr20	45978464	45987247	1	8784	61345.7418	1825.9857	217	ZMYND8	LOC100131496	ZMYND8	217	1
3_MACS_peak_20281_lociStitched	chr4	74453989	74475610	3	12324	62281.4526	3543.6819	218	RASSF6		RASSF6	218	1
2_MACS_peak_10765_lociStitched	chr17	6914924	6926195	2	7516	60719.1312	1992.7128	219	RNASEK,C17orf49,MIR195,MIR497	ALOX12,BCL6B,SLC16A13,SLC16A11	MIR195	219	1
1_MACS_peak_22582_lociStitched	chr5	173168745	173174616	1	5872	59773.2381	1248.7617	220			BOD1	220	1
1_MACS_peak_8452_lociStitched	chr14	106323780	106329598	1	5819	59060.8452	641.7254	221			KIAA0125	221	1
1_MACS_peak_2192_lociStitched	chr1	197740032	197748947	1	8916	60881.4265	2594.265	222	DENND1B		DENND1B	222	1
4_MACS_peak_15583_lociStitched	chr2	197024243	197048775	4	19636	62237.684	4109.11	223	STK17B		STK17B	223	1
5_MACS_peak_22585_lociStitched	chr5	173309956	173344126	5	28694	63768.054	5849.904	224	CPEB4		CPEB4	224	1
2_MACS_peak_23172_lociStitched	chr6	31694566	31709359	2	12178	60241.5339	2862.4455	225	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	225	1
1_MACS_peak_21059_lociStitched	chr4	185184640	185191538	1	6899	58838.5604	1605.1646	226		ENPP6	ENPP6	226	1
1_MACS_peak_11726_lociStitched	chr17	65642419	65648965	1	6547	58540.878	1351.749	227	PITPNC1		NOL11	227	1
2_MACS_peak_13262_lociStitched	chr19	35695295	35706114	2	8159	59032.7916	2080.4937	228		FXYD5,LSR,FAM187B	FAM187B	228	1
1_MACS_peak_21341_lociStitched	chr5	32580867	32593351	1	12485	59302.7452	2684.06	229	SUB1		SUB1	229	1
1_MACS_peak_11205_lociStitched	chr17	36856114	36863643	1	7530	57938.6666	1490.742	230	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	230	1
1_MACS_peak_2590_lociStitched	chr1	226308504	226317207	1	8704	58539.8592	2122.6617	231			ACBD3	231	1
1_MACS_peak_21801_lociStitched	chr5	88635093	88641210	1	6118	57677.8047	1420.3674	232			MEF2C	232	1
5_MACS_peak_10317_lociStitched	chr16	67570908	67601527	5	18929	60270.4396	4556.1072	233	FAM65A,CTCF		CTCF	233	1
2_MACS_peak_17401_lociStitched	chr22	23477753	23488815	2	9708	57676.1618	2019.9212	234	RAB36,RTDR1	BCR	RTDR1	234	1
1_MACS_peak_15926_lociStitched	chr2	231729277	231739866	1	10590	56476.4315	1019.7207	235	ITM2C		ITM2C	235	1
3_MACS_peak_22013_lociStitched	chr5	118657719	118678809	3	14054	58838.991	3758.238	236	TNFAIP8	TNFAIP8	TNFAIP8	236	1
5_MACS_peak_2149_lociStitched	chr1	192498652	192521242	5	12956	59949.342	4933.656	237		RGS1	RGS1	237	1
3_MACS_peak_27785_lociStitched	chr9	93670925	93688641	3	8809	57470.704	2823.9304	238			SYK	238	1
4_MACS_peak_23058_lociStitched	chr6	27094178	27116245	4	14373	58022.9698	3535.1334	239	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	239	1
1_MACS_peak_21796_lociStitched	chr5	88565470	88570108	1	4639	55469.0886	1024.998	240			MEF2C	240	1
1_MACS_peak_15220_lociStitched	chr2	158323830	158328720	1	4891	55062.867	1030.323	241		CYTIP	CYTIP	241	1
1_MACS_peak_16221_lociStitched	chr20	9489841	9499893	1	10053	55646.8668	1778.1988	242	C20orf103		C20orf103	242	1
3_MACS_peak_16948_lociStitched	chr21	19152077	19169316	3	14891	56338.7759	2778.9268	243	C21orf91		C21orf91	243	1
2_MACS_peak_18610_lociStitched	chr3	69128176	69146129	2	17462	56575.2889	3594.1906	244	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	244	1
2_MACS_peak_21338_lociStitched	chr5	32530451	32543952	2	12684	55719.9771	2921.6164	245		SUB1	SUB1	245	1
1_MACS_peak_25845_lociStitched	chr7	142504041	142509307	1	5267	54455.706	1766.2164	246		PRSS1,TRY6,PRSS2,EPHB6	PRSS2	246	1
1_MACS_peak_9286_lociStitched	chr15	81584811	81597118	1	12308	55699.0206	3125.978	247	IL16	STARD5	IL16	247	1
3_MACS_peak_9468_lociStitched	chr15	93346255	93364555	3	10833	55346.52	2937.15	248		ASB9P1	ASB9P1	248	1
1_MACS_peak_2796_lociStitched	chr1	245132405	245136321	1	3917	53389.1776	1017.7684	249	EFCAB2		EFCAB2	249	1
3_MACS_peak_4933_lociStitched	chr11	71413756	71426840	3	11107	55206.6296	2873.2464	250			FAM86C	250	1
2_MACS_peak_10752_lociStitched	chr17	6063396	6071259	2	7457	53655.5394	1413.7674	251			WSCD1	251	1
2_MACS_peak_20254_lociStitched	chr4	71517599	71535376	2	14087	55089.1453	3102.0865	252	IGJ	ENAM,UTP3,RUFY3	IGJ	252	1
1_MACS_peak_13211_lociStitched	chr19	29120607	29126464	1	5858	53131.1898	1191.3138	253			LOC148145	253	1
4_MACS_peak_5065_lociStitched	chr11	82764830	82790270	4	13618	56331.792	4454.544	254	RAB30	SNORA70E	RAB30	254	1
1_MACS_peak_2324_lociStitched	chr1	205252072	205258578	1	6507	53857.3186	2212.04	255		NUAK2	NUAK2	255	1
2_MACS_peak_24945_lociStitched	chr7	47512883	47524398	2	10946	53975.411	2513.7245	256	TNS3		TNS3	256	1
1_MACS_peak_9186_lociStitched	chr15	75334389	75341047	1	6659	53028.9726	1569.9564	257	PPCDC	SCAMP5	PPCDC	257	1
2_MACS_peak_14235_lociStitched	chr2	47526866	47539634	2	7649	53620.4928	2239.5072	258			EPCAM	258	1
6_MACS_peak_14376_lociStitched	chr2	64430336	64456411	6	15332	55737.92	4542.265	259	LOC150992		LOC150992	259	1
1_MACS_peak_2793_lociStitched	chr1	244996227	245001508	1	5282	52478.8813	1331.8682	260	FAM36A	NCRNA00201,HNRNPU	FAM36A	260	1
2_MACS_peak_5863_lociStitched	chr12	26265728	26280364	2	14255	53601.4228	2660.8248	261	BHLHE41		BHLHE41	261	1
4_MACS_peak_13073_lociStitched	chr19	16693819	16717003	4	12652	55024.9056	4101.2496	262	MED26	CHERP,SLC35E1	SLC35E1	262	1
3_MACS_peak_1818_lociStitched	chr1	160695173	160715003	3	10895	55805.586	5068.548	263	SLAMF7	CD48	SLAMF7	263	1
1_MACS_peak_24175_lociStitched	chr6	138186828	138196164	1	9337	52384.296	2043.6504	264	TNFAIP3		TNFAIP3	264	1
1_MACS_peak_4125_lociStitched	chr11	267135	270883	1	3749	51075.1204	1049.0652	265		PSMD13,NLRP6,ATHL1,IFITM2,IFITM1,SIRT3,IFITM5	NLRP6	265	1
1_MACS_peak_15955_lociStitched	chr2	232687001	232714916	1	27916	53627.5065	3746.193	266		COPS7B,PDE6D,MIR1471	COPS7B	266	1
2_MACS_peak_27024_lociStitched	chr8	129664853	129673421	2	8060	51585.3576	1853.2584	267			MIR1208	267	1
1_MACS_peak_16627_lociStitched	chr20	43270166	43282238	1	12073	51764.736	2322.6528	268	ADA	LOC79015	ADA	268	1
5_MACS_peak_15700_lociStitched	chr2	204548263	204573736	5	13569	54007.8546	4587.6873	269	CD28		CD28	269	1
1_MACS_peak_22113_lociStitched	chr5	131435435	131441447	1	6013	51048.4932	1731.456	270		IL3,CSF2	CSF2	270	1
3_MACS_peak_15828_lociStitched	chr2	219743092	219763411	3	16117	52711.5498	3511.1232	271	WNT10A	WNT6,PRKAG3	WNT10A	271	1
1_MACS_peak_8935_lociStitched	chr15	58582329	58591489	1	9161	50987.308	1813.68	272			LIPC	272	1
1_MACS_peak_1564_lociStitched	chr1	149855548	149861365	1	5818	51136.0836	2027.8062	273	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2AC	273	1
2_MACS_peak_3366_lociStitched	chr10	63803124	63814376	2	10563	51539.786	2486.692	274	ARID5B		ARID5B	274	1
1_MACS_peak_1547_lociStitched	chr1	149221941	149225596	1	3656	51360.791	2446.657	275			LOC388692	275	1
2_MACS_peak_222_lociStitched	chr1	16984862	16994554	2	4334	51640.9144	2957.9984	276		MST1P2,NBPF1,CROCCP2	MST1P2	276	1
2_MACS_peak_10730_lociStitched	chr17	4842004	4855271	2	12098	51112.4442	2468.9887	277	RNF167,ENO3,SLC25A11,PFN1	C17orf107,GP1BA,KIF1C,CHRNE,SPAG7,CAMTA2,INCA1	PFN1	277	1
1_MACS_peak_24651_lociStitched	chr7	20254770	20262326	1	7557	50132.5488	1543.6908	278	MACC1		MACC1	278	1
1_MACS_peak_13866_lociStitched	chr2	13661690	13666133	1	4444	49527.0096	973.4613	279			MIR3125	279	1
3_MACS_peak_23077_lociStitched	chr6	27790920	27808165	3	10322	51633.2545	3081.6815	280	HIST1H4J,HIST1H2BN,HIST1H4K,HIST1H2AK	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H2AL,HIST1H2BL,HIST1H2AJ,HIST1H1B,HIST1H3I,HIST1H4L	HIST1H4K	280	1
5_MACS_peak_11797_lociStitched	chr17	72733208	72757475	5	20332	52831.6857	4375.3401	281	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	281	1
1_MACS_peak_6361_lociStitched	chr12	68381027	68387303	1	6277	49539.606	1262.7312	282			IFNG	282	1
1_MACS_peak_224_lociStitched	chr1	17065706	17068722	1	3017	49944.0552	1710.072	283		ESPNP,MST1P9	ESPNP	283	1
2_MACS_peak_20402_lociStitched	chr4	84132662	84144213	2	8948	50310.3805	2190.0696	284			COQ2	284	1
6_MACS_peak_14484_lociStitched	chr2	70334955	70360877	6	12474	52144.6952	4144.9278	285	LOC100133985	PCBP1,LOC400960	LOC100133985	285	1
4_MACS_peak_22992_lociStitched	chr6	25365895	25390353	4	17764	52195.8178	4307.0538	286	LRRC16A		LRRC16A	286	1
6_MACS_peak_10007_lociStitched	chr16	29815073	29837598	6	16673	51084.4475	3236.8425	287	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	C16orf53	287	1
1_MACS_peak_20306_lociStitched	chr4	76023332	76029454	1	6123	49141.294	1294.1908	288			PARM1	288	1
3_MACS_peak_6533_lociStitched	chr12	92854384	92866226	3	9136	49954.2928	2125.639	289		CLLU1,CLLU1OS	CLLU1OS	289	1
2_MACS_peak_21969_lociStitched	chr5	112256053	112266954	2	8566	49813.2096	2058.1088	290	REEP5	DCP2	REEP5	290	1
2_MACS_peak_12728_lociStitched	chr19	2618070	2628861	2	7805	50376.7044	2624.3712	291	GNG7		GNG7	291	1
1_MACS_peak_4957_lociStitched	chr11	72850923	72856103	1	5181	48777.47	1039.108	292	FCHSD2		FCHSD2	292	1
1_MACS_peak_3015_lociStitched	chr10	15826280	15833157	1	6878	48867.962	1303.1915	293	FAM188A		ITGA8	293	1
5_MACS_peak_28284_lociStitched	chr9	134127144	134153604	5	16351	51411.78	3916.08	294	FAM78A	PPAPDC3	FAM78A	294	1
2_MACS_peak_23884_lociStitched	chr6	108986047	108998749	2	12382	49375.2144	1937.055	295	FOXO3		NCRNA00222	295	1
1_MACS_peak_1682_lociStitched	chr1	154830270	154834941	1	4672	48741.885	1363.4649	296	KCNN3		KCNN3	296	1
1_MACS_peak_14413_lociStitched	chr2	65255014	65261247	1	6234	48493.9866	1161.2079	297		SLC1A4,CEP68	CEP68	297	1
3_MACS_peak_11777_lociStitched	chr17	70582327	70601757	3	13603	50632.637	3318.644	298	LOC100499467,FLJ26484		LOC100499467	298	1
1_MACS_peak_2496_lociStitched	chr1	218335936	218340238	1	4303	48373.839	1218.3264	299			RRP15	299	1
1_MACS_peak_14063_lociStitched	chr2	33699675	33705459	1	5785	48436.9512	1340.7312	300	RASGRP3	RASGRP3	RASGRP3	300	1
1_MACS_peak_381_lociStitched	chr1	27018170	27031221	1	13052	49495.9175	2505.792	301	ARID1A		ARID1A	301	1
2_MACS_peak_5459_lociStitched	chr11	126056603	126068960	2	7513	48789.1431	1891.8567	302		FAM118B,RPUSD4	RPUSD4	302	1
1_MACS_peak_28369_lociStitched	chr9	139792129	139798488	1	6360	47995.8243	1282.6103	303	TRAF2	PHPT1,MAMDC4,C8G,LCN12,EDF1,FBXW5	TRAF2	303	1
2_MACS_peak_26275_lociStitched	chr8	29404913	29416159	2	7512	48571.474	1884.8296	304			C8orf75	304	1
2_MACS_peak_1021_lociStitched	chr1	75595719	75612661	2	16769	48894.612	2214.3194	305	LHX8		LHX8	305	1
1_MACS_peak_21792_lociStitched	chr5	88110832	88130892	1	20061	50336.558	3662.956	306	MEF2C		MEF2C	306	1
3_MACS_peak_27801_lociStitched	chr9	94181243	94195819	3	13323	48908.3104	2559.5456	307	NFIL3		NFIL3	307	1
1_MACS_peak_27071_lociStitched	chr8	134245132	134248901	1	3770	46706.2018	826.9186	308		WISP1	WISP1	308	1
1_MACS_peak_11233_lociStitched	chr17	37925024	37938840	1	13817	48624.0304	2912.4128	309	IKZF3	GRB7,C17orf37	GRB7	309	1
2_MACS_peak_25693_lociStitched	chr7	128572547	128582444	2	7089	48391.3815	2727.6132	310	IRF5	KCP	IRF5	310	1
5_MACS_peak_8189_lociStitched	chr14	77487858	77507990	5	14941	47219.606	1785.7084	311	C14orf4		C14orf4	311	1
2_MACS_peak_11890_lociStitched	chr17	75078871	75093204	2	13973	47966.8178	2687.4375	312	C17orf86,SCARNA16	SEC14L1	SCARNA16	312	1
1_MACS_peak_2293_lociStitched	chr1	203732247	203736405	1	4159	46384.1532	1355.0922	313	LAX1	SNORA77,ZC3H11A,ZBED6	LAX1	313	1
1_MACS_peak_17673_lociStitched	chr22	39145750	39153339	1	7590	46396.1104	1407.0006	314	SUN2	GTPBP1,JOSD1,DNAL4	SUN2	314	1
1_MACS_peak_22336_lociStitched	chr5	148204656	148215918	1	11263	47534.6496	2566.6098	315	ADRB2		ADRB2	315	1
1_MACS_peak_9532_lociStitched	chr15	101737903	101744461	1	6559	46269.3132	1397.5098	316	CHSY1		CHSY1	316	1
1_MACS_peak_16613_lociStitched	chr20	42695403	42700442	1	5040	45633.184	849.0715	317	TOX2		JPH2	317	1
2_MACS_peak_27078_lociStitched	chr8	134576875	134585687	2	8207	46480.6564	1776.4992	318	ST3GAL1		ST3GAL1	318	1
2_MACS_peak_10589_lociStitched	chr16	89033345	89046361	2	9829	45649.7152	1188.3608	319	CBFA2T3	CBFA2T3	CBFA2T3	319	1
1_MACS_peak_15800_lociStitched	chr2	217079306	217089009	1	9704	46587.0139	2154.066	320			XRCC5	320	1
1_MACS_peak_18029_lociStitched	chr3	13371287	13377906	1	6620	45681.0285	1430.3659	321	NUP210		NUP210	321	1
2_MACS_peak_17151_lociStitched	chr21	41295686	41309167	2	8093	47996.4043	3776.0281	322	PCP4		PCP4	322	1
1_MACS_peak_16835_lociStitched	chr20	56192024	56197405	1	5382	45436.0878	1265.0731	323	ZBP1		ZBP1	323	1
1_MACS_peak_1817_lociStitched	chr1	160676420	160685249	1	8830	46835.1963	2705.2056	324	CD48	SLAMF7	CD48	324	1
2_MACS_peak_27790_lociStitched	chr9	93732946	93742509	2	5942	45701.577	1585.5454	325			LOC100129316	325	1
2_MACS_peak_2020_lociStitched	chr1	178544412	178551996	2	7026	46157.7408	2043.1296	326		C1orf220	C1orf220	326	1
2_MACS_peak_22289_lociStitched	chr5	142771291	142785926	2	13809	46166.1075	2151.345	327	NR3C1		NR3C1	327	1
1_MACS_peak_20817_lociStitched	chr4	144272762	144282366	1	9605	45938.8132	1964.018	328	GAB1		GAB1	328	1
2_MACS_peak_22126_lociStitched	chr5	131822109	131837869	2	13304	47035.72	3134.664	329	IRF1	IL5	IRF1	329	1
4_MACS_peak_24844_lociStitched	chr7	38383518	38408561	4	19401	48828.8414	4991.0699	330			TARP	330	1
2_MACS_peak_16175_lociStitched	chr20	5570370	5592430	2	19744	47501.798	3920.062	331	GPCPD1		GPCPD1	331	1
5_MACS_peak_22436_lociStitched	chr5	156339529	156361493	5	11077	46572.4656	3094.7276	332	LOC100286948,TIMD4		LOC100286948	332	1
2_MACS_peak_17094_lociStitched	chr21	36236276	36248512	2	6878	46543.2968	3126.298	333	RUNX1		RUNX1	333	1
1_MACS_peak_16553_lociStitched	chr20	37518553	37523601	1	5049	44613.2144	1216.0632	334	PPP1R16B	FAM83D	FAM83D	334	1
2_MACS_peak_17459_lociStitched	chr22	26974595	26992452	2	13566	46358.5577	2969.6191	335	TPST2	CRYBA4,MIR548J,TPST2,CRYBB1	TPST2	335	1
1_MACS_peak_7463_lociStitched	chr13	78688959	78696582	1	7624	44741.6739	1478.0997	336			EDNRB	336	1
1_MACS_peak_11570_lociStitched	chr17	55431285	55436519	1	5235	44171.2962	1015.396	337	MSI2		MSI2	337	1
1_MACS_peak_26906_lociStitched	chr8	118450342	118457673	1	7332	44875.9834	1822.4866	338			MED30	338	1
1_MACS_peak_19357_lociStitched	chr3	160115984	160123646	1	7663	45105.4278	2068.74	339	SMC4,MIR15B,MIR16-2,IFT80	IFT80,TRIM59	SMC4	339	1
4_MACS_peak_22626_lociStitched	chr5	176717167	176740848	4	14867	47151.2391	4115.7578	340	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	RAB24	340	1
1_MACS_peak_14406_lociStitched	chr2	65139917	65147076	1	7160	44685.0462	1733.9098	341	LOC400958		LOC400958	341	1
1_MACS_peak_27788_lociStitched	chr9	93702984	93707420	1	4437	43954.5496	1022.498	342			SYK	342	1
1_MACS_peak_21075_lociStitched	chr4	185392112	185397250	1	5139	43753.1528	1141.1498	343	IRF2		IRF2	343	1
6_MACS_peak_26983_lociStitched	chr8	126285112	126308208	6	15871	46616.9664	4122.636	344	NSMCE2		TRIB1	344	1
1_MACS_peak_25717_lociStitched	chr7	129587840	129593326	1	5487	44067.9408	1638.6682	345	UBE2H		UBE2H	345	1
3_MACS_peak_14159_lociStitched	chr2	42343736	42361151	3	12402	45395.6805	3047.625	346		EML4	EML4	346	1
2_MACS_peak_6140_lociStitched	chr12	51711778	51722120	2	9930	44537.823	2275.24	347	BIN2	SMAGP,CELA1	BIN2	347	1
1_MACS_peak_1476_lociStitched	chr1	145434111	145441234	1	7124	44492.3949	2319.2488	348	TXNIP	HFE2,ANKRD34A,LIX1L,POLR3GL	TXNIP	348	1
1_MACS_peak_12814_lociStitched	chr19	6799091	6803877	1	4787	43638.748	1509.0258	349	VAV1	SH2D3A	VAV1	349	1
3_MACS_peak_3579_lociStitched	chr10	81001226	81020426	3	14733	45233.28	3129.6	350	ZMIZ1		PPIF	350	1
1_MACS_peak_6307_lociStitched	chr12	62995198	62998338	1	3141	42594.414	555.466	351	MIRLET7I,C12orf61		C12orf61	351	1
2_MACS_peak_20139_lociStitched	chr4	48194453	48206571	2	9385	44148.2976	2152.1568	352	TEC		TXK	352	1
5_MACS_peak_23180_lociStitched	chr6	31781489	31805399	5	17742	46186.947	4200.987	353	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,HSPA1L	C6orf27,VARS,LSM2,NEU1,SLC44A4	HSPA1B	353	1
3_MACS_peak_17062_lociStitched	chr21	34696029	34712619	3	9493	45688.86	3916.899	354	IFNAR1		IFNAR1	354	1
4_MACS_peak_28472_lociStitched	chrX	10073943	10090999	4	11367	43591.7248	1848.8704	355	WWC3	CLCN4	CLCN4	355	1
1_MACS_peak_13536_lociStitched	chr19	47613724	47617810	1	4087	42550.3782	958.5756	356	ZC3H4	SAE1	ZC3H4	356	1
6_MACS_peak_8675_lociStitched	chr15	40329828	40358382	6	15319	46097.5776	4585.7724	357	SRP14	BMF	SRP14	357	1
2_MACS_peak_1828_lociStitched	chr1	161007733	161019053	2	7334	44493.26	2986.216	358	TSTD1,USF1,ARHGAP30	KLHDC9,F11R,PVRL4	USF1	358	1
2_MACS_peak_27095_lociStitched	chr8	137189217	137201515	2	10663	43956.7414	2516.1708	359			KHDRBS3	359	1
2_MACS_peak_11487_lociStitched	chr17	47815986	47827802	2	9970	44000.4208	2574.7064	360	FAM117A	MYST2,SLC35B1	FAM117A	360	1
3_MACS_peak_23843_lociStitched	chr6	106585411	106595736	3	8953	43789.3575	2432.57	361		PRDM1	PRDM1	361	1
2_MACS_peak_1788_lociStitched	chr1	159036026	159048388	2	7128	44804.8328	3488.5564	362	AIM2		AIM2	362	1
1_MACS_peak_9920_lociStitched	chr16	23413040	23419366	1	6327	42533.4936	1327.8274	363	COG7		COG7	363	1
1_MACS_peak_12410_lociStitched	chr18	48677503	48681829	1	4327	42199.6974	1087.1238	364		MEX3C	MEX3C	364	1
2_MACS_peak_4412_lociStitched	chr11	26099077	26110779	2	6484	42997.8288	1941.3618	365			ANO3	365	1
1_MACS_peak_3950_lociStitched	chr10	112600190	112604613	1	4424	41992.8466	969.5216	366		PDCD4,LOC282997	LOC282997	366	1
2_MACS_peak_17195_lociStitched	chr21	44725825	44734620	2	7574	42901.1305	1884.7685	367			SIK1	367	1
3_MACS_peak_23716_lociStitched	chr6	88625731	88640294	3	12532	43690.4563	2688.3298	368			SPACA1	368	1
1_MACS_peak_3677_lociStitched	chr10	91645782	91650785	1	5004	42121.7579	1144.6864	369			KIF20B	369	1
1_MACS_peak_4046_lociStitched	chr10	125863226	125867749	1	4524	42033.1436	1076.474	370		CHST15	CHST15	370	1
3_MACS_peak_17212_lociStitched	chr21	45194810	45210654	3	12442	44341.0184	3697.9896	371	RRP1,CSTB	LOC284837	CSTB	371	1
3_MACS_peak_23367_lociStitched	chr6	42737831	42752397	3	9310	42917.2624	2291.2318	372		LOC442211,KIAA0240,PRPH2,TBCC	TBCC	372	1
2_MACS_peak_9526_lociStitched	chr15	101661347	101669477	2	6293	41920.719	1355.271	373			CHSY1	373	1
1_MACS_peak_25562_lociStitched	chr7	113723411	113728647	1	5237	41805.7948	1252.9748	374	FOXP2		FOXP2	374	1
2_MACS_peak_8130_lociStitched	chr14	72980315	72989888	2	8847	41622.4467	1236.8316	375	RGS6		DPF3	375	1
3_MACS_peak_21773_lociStitched	chr5	86408375	86420341	3	9164	42614.5158	2376.4476	376	MIR4280		MIR4280	376	1
1_MACS_peak_15395_lociStitched	chr2	175457414	175464571	1	7158	41673.7796	1467.9007	377	WIPF1		WIPF1	377	1
7_MACS_peak_10028_lociStitched	chr16	30193723	30227563	7	18347	46533.384	6341.616	378	CORO1A,LOC606724,SLX1B,SLX1A-SULT1A3,SULT1A3,SULT1A4,BOLA2B,LOC388242	LOC613037	CORO1A	378	1
4_MACS_peak_8787_lociStitched	chr15	45001774	45029343	4	14356	44885.0889	4766.6801	379	B2M,TRIM69	SPG11,PATL2	B2M	379	1
2_MACS_peak_7291_lociStitched	chr13	46269267	46280952	2	10198	41373.0795	1273.665	380	SPERT		SPERT	380	1
1_MACS_peak_5790_lociStitched	chr12	15100541	15116529	1	15989	43260.3304	3170.4204	381	ARHGDIB	PDE6H,ERP27	ARHGDIB	381	1
1_MACS_peak_6131_lociStitched	chr12	51312081	51323237	1	11157	42378.2972	2351.6848	382	METTL7A	HIGD1C	METTL7A	382	1
4_MACS_peak_20324_lociStitched	chr4	77117772	77136539	4	13595	43479.3856	3460.6348	383	SCARB2	FAM47E,NUP54	SCARB2	383	1
4_MACS_peak_4883_lociStitched	chr11	67644776	67661765	4	9374	42897.225	2911.9146	384			LOC645332	384	1
