REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X09_0EWV_0229Kronos_MM1S.KB.24hr.1_H3K18Ac_hs.dm_i17.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
2_MACS_peak_16759_lociStitched	chr22	24177245	24200900	2	17795	161033.778	4816.158	192	SLC2A11,DERL3	SMARCB1,MIF	DERL3	192	1
2_MACS_peak_26746_lociStitched	chr9	93670667	93690441	2	17761	62288.1	3460.45	193			SYK	193	1
4_MACS_peak_27429_lociStitched	chrX	10064726	10091173	4	17758	45137.0949	2464.8604	194	WWC3	CLCN4	CLCN4	194	1
3_MACS_peak_15941_lociStitched	chr20	37486638	37511809	3	17721	127324.9864	4719.5625	195	PPP1R16B	FAM83D	FAM83D	195	1
2_MACS_peak_16142_lociStitched	chr20	52257659	52280605	2	17451	94351.6574	4245.01	196			ZNF217	196	1
5_MACS_peak_9591_lociStitched	chr16	22194961	22219424	5	17420	36648.0203	5330.4877	197	EEF2K		EEF2K	197	1
2_MACS_peak_8675_lociStitched	chr15	56644649	56667542	2	17377	77181.4602	4386.2988	198	TEX9		TEX9	198	1
2_MACS_peak_17896_lociStitched	chr3	69128319	69146189	2	17346	45959.853	3370.282	199	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	199	1
3_MACS_peak_13569_lociStitched	chr2	33699402	33724865	3	17264	74851.0348	4797.2292	200	RASGRP3	RASGRP3	RASGRP3	200	1
1_MACS_peak_20756_lociStitched	chr5	55436916	55454177	1	17262	58851.3795	3390.0604	201	ANKRD55		ANKRD55	201	1
3_MACS_peak_18817_lociStitched	chr3	181636169	181662128	3	17210	61442.3571	5713.5759	202			SOX2	202	1
5_MACS_peak_15060_lociStitched	chr2	198055915	198083840	5	17203	46542.5975	4833.8175	203	ANKRD44		ANKRD44	203	1
4_MACS_peak_8459_lociStitched	chr15	40833625	40862619	4	17171	28611.2792	4917.3824	204	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	204	1
2_MACS_peak_23396_lociStitched	chr6	143162506	143180464	2	17112	36273.3642	1840.695	205	HIVEP2		HIVEP2	205	1
5_MACS_peak_13948_lociStitched	chr2	68936286	68965648	5	17104	35980.1948	4730.2182	206	ARHGAP25	ARHGAP25	ARHGAP25	206	1
2_MACS_peak_18664_lociStitched	chr3	169647377	169668584	2	16968	87873.3252	5399.3022	207	SAMD7,LOC100128164	SEC62	LOC100128164	207	1
2_MACS_peak_1507_lociStitched	chr1	150532134	150553468	2	16929	115000.927	7313.2952	208	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	208	1
3_MACS_peak_21261_lociStitched	chr5	118657763	118679055	3	16911	51897.1208	4518.1624	209	TNFAIP8	TNFAIP8	TNFAIP8	209	1
4_MACS_peak_1743_lociStitched	chr1	160632838	160655505	4	16892	98046.1085	5843.5526	210	CD48	SLAMF1	SLAMF1	210	1
4_MACS_peak_24856_lociStitched	chr7	137684160	137715824	4	16866	36077.9616	6791.928	211	CREB3L2	AKR1D1	CREB3L2	211	1
4_MACS_peak_16454_lociStitched	chr21	36235580	36263123	4	16816	68675.7162	6469.8507	212	RUNX1		RUNX1	212	1
1_MACS_peak_4683_lociStitched	chr11	65183195	65199958	1	16764	131234.1744	4720.4608	213	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	213	1
3_MACS_peak_960_lociStitched	chr1	75595633	75612658	3	16728	38452.665	2601.42	214	LHX8		LHX8	214	1
3_MACS_peak_18357_lociStitched	chr3	132266604	132290118	3	16701	31071.3996	3374.259	215	ACAD11	CCRL1	CCRL1	215	1
3_MACS_peak_19605_lociStitched	chr4	77602405	77624453	3	16683	30421.8304	3768.0032	216	SHROOM3		ANKRD56	216	1
3_MACS_peak_14177_lociStitched	chr2	89046764	89066975	3	16622	70281.7314	3823.9212	217	RPIA,ANKRD36BP2		ANKRD36BP2	217	1
3_MACS_peak_2236_lociStitched	chr1	205242159	205259702	3	16617	93788.3866	5345.3521	218	TMCC2	NUAK2	NUAK2	218	1
6_MACS_peak_23977_lociStitched	chr7	38383832	38408454	6	16558	24314.225	5367.596	219			TARP	219	1
3_MACS_peak_11439_lociStitched	chr17	74475330	74498613	3	16547	51692.9166	4149.0306	220	RHBDF2	AANAT,PRCD,UBE2O,CYGB	RHBDF2	220	1
1_MACS_peak_10686_lociStitched	chr17	29634737	29651238	1	16502	63009.0685	3362.9038	221	NF1,EVI2B,EVI2A	OMG	EVI2B	221	1
3_MACS_peak_12899_lociStitched	chr19	40645245	40672142	3	16459	40323.9824	3684.889	222		MAP3K10,ZNF780A	MAP3K10	222	1
3_MACS_peak_25211_lociStitched	chr8	19518356	19540892	3	16443	50663.1816	3826.6128	223	CSGALNACT1		CSGALNACT1	223	1
2_MACS_peak_15160_lociStitched	chr2	204661785	204683906	2	16314	40235.8869	3654.3892	224		CTLA4	CTLA4	224	1
3_MACS_peak_13394_lociStitched	chr2	13680158	13702525	3	16283	37549.7196	3569.7732	225			MIR3125	225	1
5_MACS_peak_9021_lociStitched	chr15	81607940	81626686	5	16275	26829.2752	3483.0068	226	STARD5,TMC3	IL16	STARD5	226	1
1_MACS_peak_21043_lociStitched	chr5	88170977	88187241	1	16265	80645.044	4309.96	227	MEF2C		MEF2C	227	1
2_MACS_peak_12259_lociStitched	chr19	2081307	2098533	2	16237	107398.9422	5729.3676	228	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	228	1
3_MACS_peak_15636_lociStitched	chr20	9479357	9499962	3	16210	43703.205	3533.7575	229	C20orf103		C20orf103	229	1
4_MACS_peak_9836_lociStitched	chr16	50713534	50733225	4	16152	41622.8358	3174.1892	230	NOD2,SNX20	CYLD	NOD2	230	1
1_MACS_peak_5634_lociStitched	chr12	12865855	12882003	1	16149	105362.4704	3738.262	231	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	231	1
3_MACS_peak_27064_lociStitched	chr9	123688632	123708104	3	16136	41508.4624	3450.4384	232	TRAF1	PHF19,TRAF1	TRAF1	232	1
2_MACS_peak_5829_lociStitched	chr12	32608101	32625595	2	16084	43537.3178	3164.6646	233		FGD4	FGD4	233	1
3_MACS_peak_21019_lociStitched	chr5	86364929	86381230	3	16068	33560.4988	2733.6777	234		MIR4280	MIR4280	234	1
1_MACS_peak_19329_lociStitched	chr4	38306885	38322940	1	16056	73324.7905	3532.1	235			KLF3	235	1
3_MACS_peak_16042_lociStitched	chr20	45172164	45191773	3	16052	36864.92	3125.6746	236	C20orf123,SLC13A3	ZNF334	C20orf123	236	1
3_MACS_peak_18753_lociStitched	chr3	177056228	177081097	3	16033	71488.4274	6077.9836	237			TBL1XR1	237	1
2_MACS_peak_16314_lociStitched	chr21	19151368	19168956	2	16027	62769.8132	3672.3744	238	C21orf91		C21orf91	238	1
3_MACS_peak_3265_lociStitched	chr10	63797977	63814946	3	16014	43286.2221	3722.9986	239	ARID5B		ARID5B	239	1
3_MACS_peak_21653_lociStitched	chr5	156305107	156322173	3	16003	28384.1712	2928.5256	240		PPP1R2P3,LOC100286948	PPP1R2P3	240	1
4_MACS_peak_13722_lociStitched	chr2	46785496	46804588	4	16000	23164.3236	3425.1048	241	RHOQ	CRIPT,ATP6V1E2,PIGF	RHOQ	241	1
2_MACS_peak_27181_lociStitched	chr9	130828677	130846461	2	15900	38185.8048	3725.748	242	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	242	1
2_MACS_peak_10160_lociStitched	chr16	81841168	81858021	2	15882	43251.5392	1771.2503	243	PLCG2		PLCG2	243	1
1_MACS_peak_5667_lociStitched	chr12	15100683	15116554	1	15872	35560.5626	3605.8912	244	ARHGDIB	PDE6H,ERP27	ARHGDIB	244	1
3_MACS_peak_11351_lociStitched	chr17	70581940	70602294	3	15857	45784.2876	3669.8262	245	LOC100499467,FLJ26484		LOC100499467	245	1
1_MACS_peak_24324_lociStitched	chr7	78112826	78128666	1	15841	83985.264	3784.176	246	MAGI2		RPL13AP17	246	1
3_MACS_peak_13473_lociStitched	chr2	25622750	25646524	3	15838	63514.6184	4412.4544	247	DTNB		DNMT3A	247	1
3_MACS_peak_9103_lociStitched	chr15	89164049	89185528	3	15818	28655.1339	3868.3679	248	AEN,ISG20	MIR1179,MIR7-2	ISG20	248	1
3_MACS_peak_13876_lociStitched	chr2	64486003	64512009	3	15810	51062.781	4384.6116	249			LOC150992	249	1
5_MACS_peak_5595_lociStitched	chr12	10280512	10306739	5	15759	28089.117	4075.6758	250	CLEC7A	C12orf59,CLEC1A,OLR1	CLEC7A	250	1
3_MACS_peak_1917_lociStitched	chr1	174922509	174942472	3	15744	39780.2701	4597.4789	251	RABGAP1L	CACYBP	CACYBP	251	1
2_MACS_peak_24848_lociStitched	chr7	136031548	136048441	2	15703	78386.8986	4520.5668	252			LUZP6	252	1
3_MACS_peak_15118_lociStitched	chr2	202082821	202102338	3	15695	35932.7487	4045.8741	253	CASP10,CASP8	CASP8	CASP8	253	1
3_MACS_peak_4793_lociStitched	chr11	67760464	67782183	3	15663	37999.5624	3950.6861	254	ALDH3B1,UNC93B1	NDUFS8,TCIRG1	UNC93B1	254	1
3_MACS_peak_9484_lociStitched	chr16	12052049	12072318	3	15652	110093.1004	4252.4362	255	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	255	1
1_MACS_peak_4690_lociStitched	chr11	65263123	65278771	1	15649	51481.92	4059.0912	256	MALAT1	SCYL1,LTBP3	MALAT1	256	1
2_MACS_peak_25343_lociStitched	chr8	29404282	29420991	2	15636	65208.5434	3313.3947	257			C8orf75	257	1
4_MACS_peak_16008_lociStitched	chr20	43583222	43609512	4	15581	34061.324	5079.228	258	STK4,TOMM34	PABPC1L	STK4	258	1
3_MACS_peak_3830_lociStitched	chr10	112103421	112128795	3	15574	115263.9324	5074.8	259		SMNDC1	SMNDC1	259	1
3_MACS_peak_21876_lociStitched	chr5	180228543	180249723	3	15522	54815.958	3888.648	260	MGAT1	LOC729678,ZFP62	MGAT1	260	1
3_MACS_peak_18570_lociStitched	chr3	156381117	156405815	3	15507	31200.9834	5959.6274	261	TIPARP,LOC100287227		LOC100287227	261	1
1_MACS_peak_11259_lociStitched	chr17	62195906	62211334	1	15429	38633.2548	3841.572	262	ERN1	SNORD104,SNORA76	ERN1	262	1
5_MACS_peak_14384_lociStitched	chr2	112416283	112437215	5	15403	16044.378	2792.3288	263			LOC541471	263	1
3_MACS_peak_13930_lociStitched	chr2	67686522	67706500	3	15393	49891.0594	3056.634	264			ETAA1	264	1
4_MACS_peak_22200_lociStitched	chr6	26183494	26207398	4	15390	40318.8768	4637.376	265	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	265	1
2_MACS_peak_9610_lociStitched	chr16	23402354	23419525	2	15384	73696.2149	2936.241	266	COG7		COG7	266	1
5_MACS_peak_10983_lociStitched	chr17	43504769	43531718	5	15376	24165.1683	4171.7052	267	SH3D20,PLEKHM1	ARHGAP27,MIR4315-1	SH3D20	267	1
2_MACS_peak_19407_lociStitched	chr4	48190866	48206795	2	15366	48916.3661	3048.8106	268	TEC		TXK	268	1
3_MACS_peak_18918_lociStitched	chr3	186703087	186720738	3	15366	75186.1996	5522.9979	269	ST6GAL1	ST6GAL1	ST6GAL1	269	1
2_MACS_peak_6272_lociStitched	chr12	68751704	68771091	2	15351	65828.5585	3825.0551	270		MDM1	MDM1	270	1
1_MACS_peak_25346_lociStitched	chr8	29463103	29478444	1	15342	36718.6835	2575.7539	271			C8orf75	271	1
3_MACS_peak_6435_lociStitched	chr12	92753358	92770931	3	15338	84512.0716	3602.465	272		CLLU1	CLLU1	272	1
2_MACS_peak_3384_lociStitched	chr10	74006461	74025208	2	15306	47004.3531	3535.6842	273		ANAPC16,DDIT4,ASCC1	DDIT4	273	1
5_MACS_peak_26148_lociStitched	chr8	145002120	145027909	5	15286	33484.4376	3280.3608	274	PLEC,MIR661	GRINA,PARP10	PLEC	274	1
1_MACS_peak_5741_lociStitched	chr12	26265481	26280765	1	15285	41647.3716	3707.8984	275	BHLHE41		BHLHE41	275	1
4_MACS_peak_4451_lociStitched	chr11	45088971	45105657	4	15281	36106.8354	2526.2604	276		PRDM11	PRDM11	276	1
2_MACS_peak_619_lociStitched	chr1	40838930	40858805	2	15226	43502.4	4088.2875	277	SMAP2	SMAP2	SMAP2	277	1
1_MACS_peak_16980_lociStitched	chr22	38782036	38797250	1	15215	33870.9282	2930.2164	278	LOC400927	KCNJ4	LOC400927	278	1
2_MACS_peak_26762_lociStitched	chr9	94180976	94196191	2	15197	48193.5125	3621.17	279	NFIL3		NFIL3	279	1
1_MACS_peak_13380_lociStitched	chr2	11883394	11898587	1	15194	66048.5289	3672.1481	280	LPIN1		LPIN1	280	1
1_MACS_peak_15112_lociStitched	chr2	201979770	201994958	1	15189	97090.8088	3743.842	281	CFLAR	NDUFB3,FAM126B	CFLAR	281	1
2_MACS_peak_3627_lociStitched	chr10	94867865	94886604	2	15181	32238.5756	3101.3045	282		CYP26C1,CYP26A1	CYP26A1	282	1
4_MACS_peak_25312_lociStitched	chr8	27930183	27951563	4	15171	35219.274	4220.412	283	ELP3,C8orf80		C8orf80	283	1
2_MACS_peak_6443_lociStitched	chr12	92851291	92867112	2	15160	90477.1348	3289.1859	284		CLLU1,CLLU1OS	CLLU1OS	284	1
1_MACS_peak_20796_lociStitched	chr5	58851357	58866481	1	15125	47746.468	2673.9232	285	PDE4D		PDE4D	285	1
2_MACS_peak_592_lociStitched	chr1	40029802	40048585	2	15115	20642.517	3360.2787	286	PABPC4,SNORA55	PPIEL	PABPC4	286	1
2_MACS_peak_8337_lociStitched	chr15	31546226	31562950	2	15062	88352.892	3344.8	287			KLF13	287	1
1_MACS_peak_14921_lociStitched	chr2	182166655	182181709	1	15055	125252.2908	3343.4934	288			ITGA4	288	1
1_MACS_peak_22181_lociStitched	chr6	25401507	25416554	1	15048	124662.8903	4038.6148	289	LRRC16A		LRRC16A	289	1
4_MACS_peak_22167_lociStitched	chr6	25162594	25187876	4	15040	28791.1416	4158.889	290		CMAH	CMAH	290	1
1_MACS_peak_10826_lociStitched	chr17	37924153	37939183	1	15031	42483.798	3235.959	291	IKZF3	GRB7,C17orf37	GRB7	291	1
3_MACS_peak_3142_lociStitched	chr10	45453748	45475937	3	15022	38451.3181	4306.8849	292	RASSF4,LOC220980,C10orf10	TMEM72,ZNF22,C10orf25	C10orf10	292	1
2_MACS_peak_24048_lociStitched	chr7	44661480	44680301	2	15008	33723.4678	3854.5408	293	OGDH	DDX56,TMED4	OGDH	293	1
1_MACS_peak_11452_lociStitched	chr17	75078742	75093747	1	15006	37616.0345	3347.6155	294	C17orf86,SCARNA16	SEC14L1	SCARNA16	294	1
5_MACS_peak_27103_lociStitched	chr9	126961351	126982392	5	14900	37524.5194	3511.7429	295		NEK6	NEK6	295	1
3_MACS_peak_15769_lociStitched	chr20	25261276	25282784	3	14874	51335.2944	3303.6288	296	PYGB,ABHD12		PYGB	296	1
1_MACS_peak_20590_lociStitched	chr5	32529745	32544582	1	14838	56423.6273	3474.8254	297		SUB1	SUB1	297	1
4_MACS_peak_23938_lociStitched	chr7	34773328	34799636	4	14810	24745.3048	3562.1032	298	NPSR1,AAA1		AAA1	298	1
3_MACS_peak_6445_lociStitched	chr12	92878733	92900484	3	14806	22688.4681	3393.156	299			CLLU1OS	299	1
4_MACS_peak_14122_lociStitched	chr2	86290058	86308532	4	14791	24568.5726	3218.1708	300	POLR1A	PTCD3,LOC90784	POLR1A	300	1
1_MACS_peak_16806_lociStitched	chr22	29185699	29200433	1	14735	47338.8686	3204.645	301	XBP1	HSCB,CCDC117,CHEK2	XBP1	301	1
2_MACS_peak_27737_lociStitched	chrX	48790335	48805149	2	14694	59958.1836	1633.9842	302	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	302	1
2_MACS_peak_8567_lociStitched	chr15	46994253	47009350	2	14694	35367.7419	2685.7563	303			SEMA6D	303	1
1_MACS_peak_9875_lociStitched	chr16	56961032	56975724	1	14693	53098.3572	3523.1416	304	HERPUD1	CETP,NLRC5	HERPUD1	304	1
2_MACS_peak_23221_lociStitched	chr6	130831724	130848635	2	14666	45020.4642	3192.7968	305			TMEM200A	305	1
1_MACS_peak_12805_lociStitched	chr19	35693754	35708411	1	14658	82768.079	3461.9834	306		FXYD5,LSR,FAM187B	FAM187B	306	1
2_MACS_peak_17541_lociStitched	chr3	39247276	39264685	2	14651	37074.2064	3185.847	307		XIRP1	XIRP1	307	1
1_MACS_peak_21801_lociStitched	chr5	173696066	173710630	1	14565	73532.1796	3110.8704	308			HMP19	308	1
6_MACS_peak_12521_lociStitched	chr19	12885502	12918169	6	14500	27319.4121	5125.4523	309	JUNB,RNASEH2A,HOOK2,PRDX2	ASNA1,BEST2,MAST1,C19orf43,RTBDN	JUNB	309	1
2_MACS_peak_5162_lociStitched	chr11	111279838	111294364	2	14483	30673.1016	2937.1572	310		POU2AF1	POU2AF1	310	1
3_MACS_peak_8076_lociStitched	chr14	93033177	93054405	3	14469	28575.0108	2018.7828	311	RIN3		RIN3	311	1
4_MACS_peak_1603_lociStitched	chr1	154821507	154850583	4	14450	56849.3952	5937.3192	312	KCNN3		KCNN3	312	1
4_MACS_peak_1386_lociStitched	chr1	144962612	144985627	4	14421	41224.468	6985.0525	313	PDE4DIP	PDE4DIP	PDE4DIP	313	1
6_MACS_peak_15396_lociStitched	chr2	232687511	232714031	6	14421	11615.76	3360.084	314		COPS7B,PDE6D,MIR1471	COPS7B	314	1
6_MACS_peak_4638_lociStitched	chr11	63992647	64020293	6	14417	24530.2958	4290.6592	315	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	315	1
5_MACS_peak_13206_lociStitched	chr19	55460000	55486058	5	14406	32251.9866	3233.7978	316	NLRP2	NCR1,NLRP7	NLRP2	316	1
2_MACS_peak_8920_lociStitched	chr15	75352610	75371045	2	14396	62024.5575	3329.361	317		PPCDC	PPCDC	317	1
5_MACS_peak_6144_lociStitched	chr12	57093459	57120206	5	14363	21739.9616	4357.0863	318	NACA	HSD17B6,PTGES3,PRIM1	NACA	318	1
6_MACS_peak_21985_lociStitched	chr6	6798663	6828201	6	14353	22401.6192	4188.4884	319			LY86-AS1	319	1
1_MACS_peak_5645_lociStitched	chr12	13241907	13256228	1	14322	37121.4641	2726.7184	320	GSG1	KIAA1467	GSG1	320	1
2_MACS_peak_21182_lociStitched	chr5	109187996	109202331	2	14269	43718.883	2432.6495	321	MAN2A1	LOC100289673	LOC100289673	321	1
4_MACS_peak_21530_lociStitched	chr5	142952455	142976368	4	14261	33801.0255	3893.0364	322			NR3C1	322	1
2_MACS_peak_684_lociStitched	chr1	44288102	44306151	2	14259	46077.2921	3568.2873	323	ST3GAL3		ARTN	323	1
4_MACS_peak_20276_lociStitched	chr4	173896568	173919602	4	14250	21693.4212	3519.5952	324	GALNTL6		GALNT7	324	1
4_MACS_peak_20400_lociStitched	chr4	187748218	187775486	4	14250	39647.672	3923.8652	325			FAT1	325	1
3_MACS_peak_1767_lociStitched	chr1	161144602	161163798	3	14202	58229.1464	5192.518	326	B4GALT3,ADAMTS4	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,APOA2,NR1I3	B4GALT3	326	1
3_MACS_peak_15465_lociStitched	chr2	238599574	238613842	3	14153	26331.594	1568.0532	327	LRRFIP1		LRRFIP1	327	1
4_MACS_peak_18065_lociStitched	chr3	101486821	101513843	4	14149	34517.9028	4661.295	328	FAM55C	CEP97,NFKBIZ	FAM55C	328	1
3_MACS_peak_11048_lociStitched	chr17	46580540	46596092	3	14123	23677.92	2925.3312	329		HOXB1,HOXB2	HOXB1	329	1
3_MACS_peak_13435_lociStitched	chr2	20615017	20631127	3	14095	28952.892	2767.698	330		RHOB	RHOB	330	1
4_MACS_peak_4971_lociStitched	chr11	82764276	82790059	4	14068	44831.4804	4687.3494	331	RAB30	SNORA70E	RAB30	331	1
1_MACS_peak_2534_lociStitched	chr1	226838794	226852848	1	14055	58005.0742	4112.2004	332	ITPKB		ITPKB	332	1
3_MACS_peak_18517_lociStitched	chr3	151985244	152002071	3	14049	22570.0551	3427.6599	333	MBNL1,LOC401093	MBNL1	LOC401093	333	1
3_MACS_peak_18134_lociStitched	chr3	111837883	111855519	3	14009	21217.8716	3334.9676	334	GCET2	C3orf52,MIR567	GCET2	334	1
1_MACS_peak_18774_lociStitched	chr3	178228071	178242048	1	13978	99426.7872	3845.0727	335		KCNMB2	KCNMB2	335	1
2_MACS_peak_19361_lociStitched	chr4	40301511	40320037	2	13962	59777.8442	4034.9628	336		CHRNA9	CHRNA9	336	1
6_MACS_peak_9690_lociStitched	chr16	29815543	29837200	6	13953	29369.0577	3978.3909	337	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	C16orf53	337	1
2_MACS_peak_17003_lociStitched	chr22	39458577	39474796	2	13950	35195.23	3013.4902	338	APOBEC3G	APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3H	APOBEC3G	338	1
4_MACS_peak_5841_lociStitched	chr12	33037577	33060695	4	13944	18859.6644	3775.1694	339	PKP2		PKP2	339	1
3_MACS_peak_16139_lociStitched	chr20	52224491	52244863	3	13936	64642.3932	3273.7804	340		ZNF217	ZNF217	340	1
2_MACS_peak_14660_lociStitched	chr2	153913607	153929211	2	13929	36411.934	2999.0888	341			ARL6IP6	341	1
1_MACS_peak_13654_lociStitched	chr2	42322848	42336763	1	13916	90390.4485	3620.683	342		PKDCC	PKDCC	342	1
3_MACS_peak_17660_lociStitched	chr3	46577259	46592049	3	13914	79607.175	2734.671	343	LRRC2	RTP3,TDGF1	LRRC2	343	1
4_MACS_peak_5955_lociStitched	chr12	48276277	48299477	4	13907	22420.48	3874.4	344	VDR		VDR	344	1
5_MACS_peak_6516_lociStitched	chr12	96878431	96901827	5	13900	25351.9056	3694.2284	345			CDK17	345	1
5_MACS_peak_9972_lociStitched	chr16	67562340	67587388	5	13898	35493.016	4115.3864	346	FAM65A	CTCF,ATP6V0D1,AGRP	FAM65A	346	1
5_MACS_peak_11410_lociStitched	chr17	73850493	73875780	5	13884	41958.7191	3922.0137	347	WBP2,TRIM47	UNC13D,TRIM65,MRPL38	TRIM47	347	1
2_MACS_peak_4404_lociStitched	chr11	35183164	35197272	2	13859	38472.516	2807.492	348	CD44		CD44	348	1
4_MACS_peak_19591_lociStitched	chr4	77117669	77136611	4	13841	31653.9762	3794.0826	349	SCARB2	FAM47E,NUP54	SCARB2	349	1
1_MACS_peak_24108_lociStitched	chr7	50343642	50357476	1	13835	35982.234	3423.915	350	IKZF1		IKZF1	350	1
3_MACS_peak_15150_lociStitched	chr2	204513881	204530044	3	13830	13465.3953	2293.5297	351		CD28	CD28	351	1
2_MACS_peak_15854_lociStitched	chr20	32988473	33005921	2	13819	40823.0856	3034.2072	352	ITCH	MIR644	ITCH	352	1
2_MACS_peak_4328_lociStitched	chr11	26097686	26113603	2	13810	62747.9974	3092.6731	353			ANO3	353	1
3_MACS_peak_16188_lociStitched	chr20	55958029	55976002	3	13797	27822.204	2956.5585	354	RBM38	RAE1,MTRNR2L3	RBM38	354	1
3_MACS_peak_24643_lociStitched	chr7	114556707	114574611	3	13762	60259.4928	4490.3232	355	MDFIC		MDFIC	355	1
2_MACS_peak_16730_lociStitched	chr22	23087955	23101941	2	13759	39713.247	2144.0538	356			MIR650	356	1
1_MACS_peak_13670_lociStitched	chr2	43443341	43457094	1	13754	72765.7477	3302.0953	357	LOC100129726,ZFP36L2		ZFP36L2	357	1
2_MACS_peak_19325_lociStitched	chr4	38123344	38137231	2	13734	53855.1747	2520.4905	358	TBC1D1		PTTG2	358	1
3_MACS_peak_4592_lociStitched	chr11	62307845	62326033	3	13733	25521.4016	3399.3372	359	AHNAK	EEF1G,TUT1,MTA2	AHNAK	359	1
2_MACS_peak_16512_lociStitched	chr21	41295569	41312112	2	13732	60398.493	4494.7331	360	PCP4		PCP4	360	1
1_MACS_peak_26096_lociStitched	chr8	137188303	137202007	1	13705	56560.5192	3065.5848	361			KHDRBS3	361	1
5_MACS_peak_10841_lociStitched	chr17	38251286	38270529	5	13688	21567.5544	3517.6204	362	NR1D1	THRA,MSL1,CASC3,MED24	NR1D1	362	1
3_MACS_peak_23116_lociStitched	chr6	117858742	117877317	3	13664	30808.495	2944.1375	363	DCBLD1	GOPC	GOPC	363	1
5_MACS_peak_2285_lociStitched	chr1	206987400	207008212	5	13658	20062.768	4643.1572	364	IL19	IL20,IL10	IL19	364	1
5_MACS_peak_15011_lociStitched	chr2	192481441	192504031	5	13646	17288.127	3573.738	365		OBFC2A	OBFC2A	365	1
3_MACS_peak_1748_lociStitched	chr1	160694444	160714987	3	13601	42867.0781	5871.1894	366	SLAMF7	CD48	SLAMF7	366	1
3_MACS_peak_4933_lociStitched	chr11	78127060	78141619	3	13566	25088.0688	2614.7964	367	GAB2		GAB2	367	1
2_MACS_peak_1258_lociStitched	chr1	112134305	112148887	2	13549	35406.5542	1662.348	368	LOC100129269	RAP1A,ADORA3	LOC100129269	368	1
2_MACS_peak_25580_lociStitched	chr8	61811610	61831090	2	13542	33951.692	3440.168	369		LOC100130298	LOC100130298	369	1
1_MACS_peak_15121_lociStitched	chr2	202115607	202129117	1	13511	71612.457	3173.499	370	CASP8		CASP8	370	1
2_MACS_peak_5196_lociStitched	chr11	115089239	115102814	2	13493	65992.1475	2933.5575	371	CADM1		CADM1	371	1
2_MACS_peak_6438_lociStitched	chr12	92784414	92803837	2	13493	34145.634	3274.7178	372		CLLU1,CLLU1OS	CLLU1	372	1
4_MACS_peak_13730_lociStitched	chr2	47193850	47215302	4	13474	35921.374	3824.8916	373	TTC7A	MCFD2	MCFD2	373	1
3_MACS_peak_2290_lociStitched	chr1	207084744	207107251	3	13472	78436.895	5777.5469	374	FAIM3,PIGR	IL20,IL24,FCAMR	FAIM3	374	1
1_MACS_peak_9942_lociStitched	chr16	66548817	66562283	1	13467	125423.6706	3218.374	375	TK2	CKLF,CMTM1	TK2	375	1
5_MACS_peak_12236_lociStitched	chr19	1647591	1672834	5	13418	33752.4153	4692.6737	376	TCF3	UQCR11	TCF3	376	1
4_MACS_peak_3498_lociStitched	chr10	81946281	81966413	4	13413	24283.2184	3692.2088	377	ANXA11		ANXA11	377	1
2_MACS_peak_14390_lociStitched	chr2	112481374	112494777	2	13388	23429.7843	2186.0293	378			ANAPC1	378	1
2_MACS_peak_4829_lociStitched	chr11	71413692	71427528	2	13336	61007.0748	3254.2272	379			FAM86C	379	1
4_MACS_peak_28293_lociStitched	chrX	153232196	153252730	4	13312	26885.1662	1946.6232	380	TMEM187,MIR3202-1,HCFC1,MIR3202-2	ARHGAP4,NAA10,RENBP,IRAK1,MIR718	MIR3202-1	380	1
6_MACS_peak_4915_lociStitched	chr11	77146701	77171470	6	13261	18125.9542	4267.6987	381	PAK1		PAK1	381	1
1_MACS_peak_21023_lociStitched	chr5	86407818	86421058	1	13241	64310.652	3164.36	382	MIR4280		MIR4280	382	1
1_MACS_peak_1796_lociStitched	chr1	161767476	161780705	1	13230	27077.1172	3088.9715	383	ATF6	DUSP12	ATF6	383	1
