REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X04_0EWQ_0229Kronos_MM1S.KB.1hr.2_H3K18Ac_hs.dm_i06.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
5_MACS_peak_10821_lociStitched	chr19	2445654	2480671	5	14743	30065.5962	7038.417	162	GADD45B,LMNB2	TIMM13	LMNB2	TIMM13	0.6992	162	1
6_MACS_peak_8835_lociStitched	chr16	81841875	81871528	6	15114	20525.8066	2837.7921	163	PLCG2		PLCG2	PLCG2	0.09799999999999999	163	1
5_MACS_peak_12565_lociStitched	chr2	87783269	87821917	5	14838	26106.724	5271.5872	164	NCRNA00152		NCRNA00152	NCRNA00152	0.4801000000000001	164	1
4_MACS_peak_20989_lociStitched	chr7	44661805	44680287	4	14252	29373.4426	3319.3672	165	OGDH	DDX56,TMED4	OGDH	TMED4	0.34049999999999997	165	1
4_MACS_peak_2472_lociStitched	chr10	7510832	7535652	4	14908	22434.798	3571.598	167			SFMBT2	SFMBT2	NONE	167	1
2_MACS_peak_7177_lociStitched	chr15	31546609	31561229	2	10816	46715.286	2752.946	168			KLF13	KLF13	0.6295999999999999	168	1
2_MACS_peak_12406_lociStitched	chr2	70310284	70323393	2	8192	54315.8306	2524.7934	169	PCBP1,LOC400960	LOC100133985	PCBP1	PCBP1	4.334	169	1
3_MACS_peak_21069_lociStitched	chr7	55569337	55585859	3	14324	26815.206	2790.5658	170	VOPP1		VOPP1	VOPP1	0.9057	170	1
4_MACS_peak_6861_lociStitched	chr14	81930633	81953068	4	14977	17034.8955	1913.7055	171	SEL1L		SEL1L	SEL1L	0.24050000000000002	171	1
2_MACS_peak_8642_lociStitched	chr16	66549281	66561714	2	11959	40536.5532	2477.8969	172	TK2	CKLF,CMTM1	TK2	TK2	0.9316000000000001	172	1
5_MACS_peak_22846_lociStitched	chr8	145001842	145027991	5	14501	23761.5963	3592.8726	173	PLEC,MIR661	GRINA,PARP10	PLEC	PLEC	0.3331	173	1
3_MACS_peak_14643_lociStitched	chr21	43638575	43658036	3	12334	40031.277	4279.4739	174	ABCG1		ABCG1	ABCG1	0.39350000000000007	174	1
4_MACS_peak_15128_lociStitched	chr22	39823366	39846017	4	13284	33971.9698	4074.9149	175	TAB1	MGAT3	MGAT3	MGAT3	0.11320000000000002	175	1
1_MACS_peak_16812_lociStitched	chr3	193814302	193823294	1	8993	50917.2	2691.3056	176		HES1	HES1	HES1	1.9113999999999998	176	1
3_MACS_peak_14375_lociStitched	chr20	61272936	61291069	3	12590	35359.35	2915.7864	179	SLCO4A1	NTSR1,LOC100127888	SLCO4A1	SLCO4A1	0.8180999999999999	179	1
4_MACS_peak_5210_lociStitched	chr12	48200430	48218787	4	14057	23730.0939	3440.1018	182	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	0.4341999999999999	182	1
5_MACS_peak_23791_lociStitched	chr9	134126998	134153372	5	14429	19313.6802	4309.5116	183	FAM78A	PPAPDC3	FAM78A	FAM78A	0.45890000000000003	183	1
2_MACS_peak_4556_lociStitched	chr11	115089635	115102503	2	10093	44899.0256	2250.6132	184	CADM1		CADM1	CADM1	0.2196	184	1
5_MACS_peak_12408_lociStitched	chr2	70334992	70371235	5	12130	38678.5296	5218.992	185	LOC100133985	PCBP1,LOC400960,C2orf42	LOC100133985	PCBP1	4.334	185	1
3_MACS_peak_23335_lociStitched	chr9	93670958	93690368	3	13590	25927.878	3245.352	186			SYK	SYK	NONE	186	1
6_MACS_peak_24494_lociStitched	chrX	128892928	128921273	6	14054	18095.448	3047.0875	189	XPNPEP2,SASH3		SASH3	SASH3	0.2991	189	1
6_MACS_peak_19508_lociStitched	chr6	27774772	27807802	6	13770	22675.095	5585.373	190	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H4J,HIST1H2BN,HIST1H2BL,HIST1H2AJ,HIST1H4K,HIST1H2AK	HIST1H2AL,HIST1H1B,HIST1H3I,HIST1H4L	HIST1H4J	HIST1H1B	0.17090000000000002	190	1
2_MACS_peak_1814_lociStitched	chr1	192498542	192515841	2	13384	24722.0009	3681.2272	191		RGS1	RGS1	RGS1	0.8792	191	1
2_MACS_peak_864_lociStitched	chr1	66736747	66750435	2	12440	31014.2704	2582.9256	192	PDE4B	PDE4B	PDE4B	PDE4B	0.08760000000000001	192	1
4_MACS_peak_10757_lociStitched	chr19	1015194	1041407	4	13589	24302.0723	5706.5701	193	CNN2,ABCA7,C19orf6	WDR18,GRIN3B,HMHA1	CNN2	CNN2	0.6023000000000001	193	1
3_MACS_peak_15037_lociStitched	chr22	37611215	37628371	3	13198	25924.4316	3455.2184	194	RAC2	C1QTNF6,SSTR3	SSTR3	SSTR3	0.20930000000000004	194	1
5_MACS_peak_8314_lociStitched	chr16	22185790	22219142	5	13295	26794.9968	5439.7112	195	EEF2K		EEF2K	EEF2K	0.032200000000000006	195	1
3_MACS_peak_10081_lociStitched	chr17	75078880	75093069	3	13047	26302.1493	2982.5278	197	C17orf86,SCARNA16	SEC14L1	SCARNA16	SCARNA16	1.5655	197	1
4_MACS_peak_9905_lociStitched	chr17	62961024	62986541	4	11243	38334.1891	4212.8567	199	AMZ2P1	LRRC37A3	AMZ2P1	AMZ2P1	0.609	199	1
3_MACS_peak_12096_lociStitched	chr2	37601628	37622510	3	12443	30794.6854	3861.0818	200		QPCT	QPCT	QPCT	1.3016	200	1
7_MACS_peak_15778_lociStitched	chr3	50357822	50403559	7	12781	32185.1269	7857.6166	201	CYB561D2,HYAL2,TUSC2,RASSF1,ZMYND10,NPRL2,TMEM115,CACNA2D2	C3orf45,IFRD2,NAT6,HYAL3,HYAL1	RASSF1	NAT6	0.40449999999999997	201	1
3_MACS_peak_9972_lociStitched	chr17	70582791	70602008	3	13412	21703.6798	3434.0779	202	LOC100499467,FLJ26484		LOC100499467	LOC100499467	0.11449999999999999	202	1
2_MACS_peak_16813_lociStitched	chr3	193847595	193860505	2	12570	28563.375	3013.194	204	HES1		HES1	HES1	1.9113999999999998	204	1
1_MACS_peak_14100_lociStitched	chr20	37498408	37506035	1	7628	48342.2141	1882.3436	205	PPP1R16B	FAM83D	FAM83D	NONE	NONE	205	1
3_MACS_peak_14827_lociStitched	chr22	23189934	23210010	3	13285	20891.0856	2015.6304	206		MIR650,IGLL5	IGLL5	IGLL5	5.388599999999999	206	1
4_MACS_peak_24625_lociStitched	chrX	153596692	153628157	4	13370	19942.517	2318.9705	207	EMD,RPL10,FLNA	SNORA70,TAZ,ATP6AP1,GDI1,FAM50A,DNASE1L1	EMD	SNORA70	0.6006	207	1
4_MACS_peak_17947_lociStitched	chr4	187749029	187776132	4	12384	30030.124	3948.9071	208			FAT1	FAT1	NONE	208	1
5_MACS_peak_10036_lociStitched	chr17	73850473	73875718	5	12141	31384.584	3804.4215	210	WBP2,TRIM47	UNC13D,TRIM65,MRPL38	TRIM47	TRIM47	1.3024	210	1
1_MACS_peak_12137_lociStitched	chr2	42323428	42334548	1	11121	35750.8	2317.408	211		PKDCC	PKDCC	PKDCC	0.007199999999999998	211	1
3_MACS_peak_11342_lociStitched	chr19	35694512	35708073	3	11201	35730.5228	2748.8147	212		FXYD5,LSR,FAM187B	FAM187B	LSR	0.6469	212	1
3_MACS_peak_4243_lociStitched	chr11	71413784	71427015	3	11028	36180.1695	2804.972	213			FAM86C	FAM86C	NONE	213	1
2_MACS_peak_7788_lociStitched	chr15	81576250	81595943	2	13285	20106.553	3940.5693	214	IL16	STARD5	IL16	STARD5	0.2862	214	1
7_MACS_peak_8658_lociStitched	chr16	67184198	67227240	7	13292	22446.403	6499.342	215	FBXL8,HSF4,NOL3,E2F4,B3GNT9,TRADD,KIAA0895L,EXOC3L	C16orf70,ELMO3,TMEM208,MIR328,LRRC29	NOL3	NOL3	0.2683	215	1
4_MACS_peak_11975_lociStitched	chr2	25623783	25655695	4	12853	25724.2632	5208.0384	216	DTNB		DNMT3A	DNMT3A	NONE	216	1
1_MACS_peak_21072_lociStitched	chr7	55597669	55605196	1	7528	47159.6658	1621.3158	217	VOPP1		VOPP1	VOPP1	0.9057	217	1
2_MACS_peak_19475_lociStitched	chr6	26354644	26367270	2	12531	25423.7136	2106.0168	218	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	BTN3A2	0.6778	218	1
3_MACS_peak_16769_lociStitched	chr3	186703189	186719908	3	12479	27618.1161	4097.8269	219	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	0.3211	219	1
1_MACS_peak_21252_lociStitched	chr7	78115046	78128197	1	13152	19042.648	2304.0552	221	MAGI2		RPL13AP17	RPL13AP17	NONE	221	1
3_MACS_peak_16020_lociStitched	chr3	98479778	98495968	3	12699	23695.684	2786.299	222	ST3GAL6		ST3GAL6	ST3GAL6	0.4282	222	1
4_MACS_peak_393_lociStitched	chr1	28558578	28587338	4	13158	19737.988	4595.848	224	ATPIF1,SESN2,DNAJC8	PTAFR	ATPIF1	ATPIF1	0.3211	224	1
4_MACS_peak_19136_lociStitched	chr5	176717348	176740665	4	12724	24189.0558	4201.7234	225	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	RAB24	RAB24	1.0998	225	1
6_MACS_peak_7078_lociStitched	chr15	20960448	20995849	6	12953	22058.3631	4503.0072	226	BCL8		BCL8	NONE	NONE	226	1
4_MACS_peak_14188_lociStitched	chr20	45172394	45191723	4	13228	17384.5026	3318.7893	227	C20orf123,SLC13A3	ZNF334	C20orf123	C20orf123	0.6152	227	1
6_MACS_peak_10786_lociStitched	chr19	1647728	1672875	6	11574	32914.9083	4403.2397	228	TCF3	UQCR11	TCF3	TCF3	0.5076999999999999	228	1
3_MACS_peak_10323_lociStitched	chr18	9134802	9150554	3	13151	17497.3216	2825.9088	229	ANKRD12	NDUFV2	ANKRD12	NDUFV2	0.8395999999999999	229	1
4_MACS_peak_2945_lociStitched	chr10	74006958	74034948	4	12897	21904.974	4201.299	230	DDIT4	ANAPC16,ASCC1	DDIT4	DDIT4	0.2426	230	1
5_MACS_peak_8228_lociStitched	chr16	14486560	14504481	5	11135	33793.6297	2899.6178	231			MIR365-1	MIR365-1	NONE	231	1
4_MACS_peak_1932_lociStitched	chr1	204474577	204492246	4	11750	30904.8479	4410.1824	232	MDM4	PIK3C2B	MDM4	MDM4	0.44739999999999996	232	1
3_MACS_peak_2950_lociStitched	chr10	74078099	74097222	3	10786	35224.566	3275.7699	233	DNAJB12	DDIT4	DNAJB12	DNAJB12	0.41579999999999995	233	1
1_MACS_peak_9066_lociStitched	chr17	6061945	6072914	1	10970	32902.6124	2127.986	234			WSCD1	WSCD1	NONE	234	1
4_MACS_peak_23715_lociStitched	chr9	130672566	130700724	4	12752	22106.8458	4882.5972	235	ST6GALNAC4,PIP5KL1,DPM2	AK1,ST6GALNAC6,FAM102A	PIP5KL1	PIP5KL1	0.334	235	1
3_MACS_peak_19595_lociStitched	chr6	31694438	31709479	3	11743	28337.244	2929.9868	236	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	CLIC1	1.5927	236	1
2_MACS_peak_355_lociStitched	chr1	27018275	27031307	2	12483	21109.2336	2132.0352	237	ARID1A		ARID1A	ARID1A	0.2251	237	1
2_MACS_peak_4684_lociStitched	chr11	126056691	126068999	2	8525	41662.58	2408.6756	240		FAM118B,RPUSD4	RPUSD4	RPUSD4	0.26449999999999996	240	1
2_MACS_peak_14661_lociStitched	chr21	44580728	44598385	2	10992	32720.1867	4391.2959	241	CRYAA		CRYAA	CRYAA	1.4863000000000002	241	1
2_MACS_peak_3343_lociStitched	chr10	112214971	112225906	2	9855	36390.5865	2311.659	242		DUSP5	DUSP5	DUSP5	0.6511	242	1
3_MACS_peak_17143_lociStitched	chr4	38307111	38322477	3	12406	19398.0384	2344.8516	243			KLF3	KLF3	NONE	243	1
1_MACS_peak_12151_lociStitched	chr2	43444298	43456073	1	11776	24983.0175	2143.05	244	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	1.6125	244	1
1_MACS_peak_4826_lociStitched	chr12	4377360	4387331	1	9972	34951.3463	1811.7307	245	CCND2	C12orf5	CCND2	CCND2	0.7835	245	1
2_MACS_peak_3749_lociStitched	chr11	19450910	19465674	2	12082	22320.2152	2785.9668	246	NAV2		NAV2	NAV2	0.0189	246	1
2_MACS_peak_4518_lociStitched	chr11	111237826	111251524	2	12054	22278.4272	2503.9944	247	POU2AF1		POU2AF1	POU2AF1	0.5576000000000001	247	1
1_MACS_peak_2017_lociStitched	chr1	209274414	209284699	1	10286	33965.184	2666.9005	248			LOC642587	LOC642587	NONE	248	1
3_MACS_peak_1465_lociStitched	chr1	156065250	156086231	3	11990	24579.2415	4554.9751	249	LMNA	ROBLD3,RAB25,SEMA4A,UBQLN4,MEX3A	LMNA	SEMA4A	1.8893999999999997	249	1
4_MACS_peak_15092_lociStitched	chr22	39362178	39385759	4	12165	21331.3726	3164.5702	250	APOBEC3A,APOBEC3B	APOBEC3C,APOBEC3D	APOBEC3B	APOBEC3B	0.7113	250	1
4_MACS_peak_5752_lociStitched	chr12	109161793	109181012	4	11654	26003.307	3372.9345	251	SSH1	CORO1C,SSH1	CORO1C	SSH1	0.2809	251	1
1_MACS_peak_16283_lociStitched	chr3	129026473	129037632	1	11160	28124.0277	2113.5146	252	C3orf47,H1FX	C3orf37	C3orf47	C3orf47	0.8328999999999999	252	1
4_MACS_peak_3051_lociStitched	chr10	81946414	81966293	4	12291	19459.5531	3510.6314	253	ANXA11		ANXA11	ANXA11	0.24820000000000003	253	1
4_MACS_peak_11618_lociStitched	chr19	48879849	48902448	4	11056	29360.6208	3132.2214	254	GRIN2D,KDELR1	SYNGR4,GRWD1,TMEM143	KDELR1	KDELR1	1.2812000000000001	254	1
4_MACS_peak_11592_lociStitched	chr19	47728490	47748472	4	12084	21286.8246	3460.8824	255	MIR3190,BBC3,MIR3191	CCDC9,PRR24	BBC3	BBC3	0.6352	255	1
2_MACS_peak_12715_lociStitched	chr2	109828822	109843057	2	11982	20840.04	2579.382	256	SH3RF3		MIR4265	MIR4265	NONE	256	1
4_MACS_peak_14324_lociStitched	chr20	55958121	55975626	4	11324	26432.55	2977.6005	257	RBM38	RAE1,MTRNR2L3	RBM38	RBM38	0.8156000000000001	257	1
2_MACS_peak_7470_lociStitched	chr15	56648212	56666128	2	11416	24944.4468	2785.938	260	TEX9		TEX9	TEX9	0.21420000000000003	260	1
3_MACS_peak_6296_lociStitched	chr13	78689103	78712596	3	11743	22515.6912	3317.2116	261			EDNRB	EDNRB	NONE	261	1
4_MACS_peak_9074_lociStitched	chr17	6915048	6940140	4	10457	32009.8644	3708.5976	262	RNASEK,C17orf49,BCL6B,SLC16A13,MIR195,MIR497	ALOX12,SLC16A11,CLEC10A	BCL6B	ALOX12	0.863	262	1
1_MACS_peak_1911_lociStitched	chr1	203288213	203298125	1	9913	34751.472	3800.2608	265		BTG2,LOC730227,FMOD	BTG2	LOC730227	1.9583000000000002	265	1
4_MACS_peak_23486_lociStitched	chr9	108004658	108027198	4	11767	21816.466	3313.38	266	SLC44A1		SLC44A1	SLC44A1	0.1244	266	1
5_MACS_peak_23963_lociStitched	chrX	10065343	10091103	5	12100	17024.784	2251.424	267	WWC3	CLCN4	CLCN4	NONE	NONE	267	1
2_MACS_peak_14892_lociStitched	chr22	27003207	27015078	2	11483	23010.7464	2339.7741	268	CRYBB1	CRYBA4,MIAT,TPST2	CRYBB1	CRYBB1	0.8587	268	1
3_MACS_peak_4164_lociStitched	chr11	67033112	67057901	3	10596	30698.6976	3842.295	269	ADRBK1,ANKRD13D	SSH3,LOC100130987	ANKRD13D	ANKRD13D	0.5209999999999999	269	1
5_MACS_peak_7267_lociStitched	chr15	40330151	40358629	5	11969	20210.8366	4590.6536	270	SRP14	BMF	SRP14	BMF	0.7744	270	1
3_MACS_peak_16568_lociStitched	chr3	169755002	169776683	3	11843	21561.7545	4858.7121	271	GPR160		GPR160	GPR160	0.265	271	1
3_MACS_peak_19105_lociStitched	chr5	173696452	173710022	3	11750	19972.326	2348.967	272			HMP19	HMP19	NONE	272	1
4_MACS_peak_20438_lociStitched	chr6	143162958	143179778	4	11991	16184.204	1354.01	273	HIVEP2		HIVEP2	HIVEP2	0.1383	273	1
5_MACS_peak_4905_lociStitched	chr12	9573465	9601755	5	11942	20309.391	4936.605	274	DDX12		DDX12	DDX12	0.3846	274	1
3_MACS_peak_2192_lociStitched	chr1	226297088	226316871	3	10007	34147.4363	4593.6126	275		LOC440926,H3F3A	LOC440926	LOC440926	0.4194	275	1
5_MACS_peak_14894_lociStitched	chr22	27037718	27071126	5	11929	20559.2832	5572.4544	276	MIAT	CRYBA4,CRYBB1	MIAT	CRYBB1	0.8587	276	1
4_MACS_peak_10793_lociStitched	chr19	1847158	1865641	4	10702	28844.5698	3618.9714	279	REXO1,KLF16	LOC100288123,SCAMP4,ADAT3,ATP8B3,MIR1909,FAM108A1	KLF16	KLF16	1.1819	279	1
3_MACS_peak_11102_lociStitched	chr19	13949146	13962147	3	9957	31065.8895	1856.5428	280		ZSWIM4,MIR181C,MIR181D,NANOS3,LOC284454,MIR24-2,MIR27A,MIR23A	MIR23A	MIR23A	0.8788	280	1
4_MACS_peak_19329_lociStitched	chr6	11714049	11735591	4	11748	19366.258	3278.6924	281	C6orf105		C6orf105	C6orf105	0.2629	281	1
5_MACS_peak_7989_lociStitched	chr15	101790294	101818132	5	11608	21554.9634	4017.0234	282	CHSY1,SELS	SNRPA1	CHSY1	SNRPA1	0.3416	282	1
5_MACS_peak_9575_lociStitched	chr17	40705862	40739567	5	11407	25248.4155	5841.0765	283	HSD17B1,COASY,MLX,PSMC3IP,FAM134C	NAGLU,TUBG1	MLX	TUBG1	0.6187	283	1
3_MACS_peak_19824_lociStitched	chr6	45672529	45683903	3	11294	22575.1152	2223.617	284			RUNX2	RUNX2	0.1124	284	1
4_MACS_peak_18692_lociStitched	chr5	131418420	131441804	4	10381	30525.4736	3872.3904	285		IL3,CSF2	CSF2	CSF2	0.1508	285	1
4_MACS_peak_1919_lociStitched	chr1	203706628	203735898	4	11128	27472.822	5921.321	286	ATP2B4,LAX1	SNORA77,ZC3H11A,ZBED6	LAX1	LAX1	0.5829000000000001	286	1
4_MACS_peak_2752_lociStitched	chr10	45913653	45931582	4	10632	27555.0801	2723.4151	288	ALOX5		ALOX5	ALOX5	0.3296	288	1
3_MACS_peak_14140_lociStitched	chr20	42569475	42585482	3	11762	17753.3637	2962.8957	289	TOX2		TOX2	TOX2	0.5166	289	1
3_MACS_peak_24102_lociStitched	chrX	39953209	39969471	3	11778	15611.52	1180.6212	290	BCOR		BCOR	BCOR	0.2268	290	1
6_MACS_peak_4046_lociStitched	chr11	63992814	64019947	6	11717	19701.2713	4628.8898	291	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	FKBP2	0.7785	291	1
2_MACS_peak_14157_lociStitched	chr20	43270360	43282290	2	11151	23034.444	2479.054	292	ADA	LOC79015	ADA	ADA	0.46490000000000004	292	1
4_MACS_peak_20350_lociStitched	chr6	135322985	135343829	4	11428	20249.946	2755.5768	294	HBS1L	MIR3662,HBS1L	MIR3662	HBS1L	0.1729	294	1
2_MACS_peak_20836_lociStitched	chr7	26001699	26011710	2	9578	32283.4728	2392.629	295		MIR148A	MIR148A	MIR148A	1.5296	295	1
2_MACS_peak_21428_lociStitched	chr7	101921972	101935830	2	11392	19575.8108	2368.3322	296	CUX1,SH2B2	MIR4285	SH2B2	SH2B2	0.8846999999999999	296	1
1_MACS_peak_18471_lociStitched	chr5	88175222	88186705	1	11484	18150.0298	2076.1264	297	MEF2C		MEF2C	MEF2C	0.13770000000000002	297	1
2_MACS_peak_13196_lociStitched	chr2	182168517	182179939	2	11381	19039.3318	1909.7584	298			ITGA4	ITGA4	NONE	298	1
5_MACS_peak_19601_lociStitched	chr6	31773851	31804728	5	11589	19619.2458	4934.1446	299	HSPA1A,HSPA1B,C6orf48,SNORD48,LSM2,HSPA1L	C6orf26,SNORD52,C6orf27,VARS,NEU1,SLC44A4	HSPA1A	SNORD52	0.7664	299	1
2_MACS_peak_18703_lociStitched	chr5	131790581	131804218	2	11276	20910.9758	2994.6852	300	C5orf56	IRF1	IRF1	IRF1	0.24350000000000002	300	1
4_MACS_peak_1759_lociStitched	chr1	183865321	183885659	4	11568	19056.706	4427.5826	301	RGL1		GLT25D2	GLT25D2	NONE	301	1
3_MACS_peak_15102_lociStitched	chr22	39459073	39474362	3	11431	18525.6813	2363.6794	302	APOBEC3G	APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3H	APOBEC3G	APOBEC3G	0.5211999999999999	302	1
3_MACS_peak_4100_lociStitched	chr11	65336334	65356974	3	11343	20326.272	3702.816	307	SSSCA1,FAM89B,EHBP1L1	SCYL1,PCNXL3,SIPA1,LTBP3,KCNK7,MAP3K11	EHBP1L1	EHBP1L1	0.5136	307	1
4_MACS_peak_10065_lociStitched	chr17	74476181	74498446	4	10842	24660.714	3671.4985	308	RHBDF2	AANAT,PRCD,UBE2O,CYGB	RHBDF2	RHBDF2	0.5203	308	1
3_MACS_peak_9620_lociStitched	chr17	42275443	42299854	3	11472	18012.8769	3764.1762	309	ATXN7L3,UBTF	ASB16,TMUB2,C17orf65,SLC4A1	UBTF	UBTF	0.5238	309	1
2_MACS_peak_17886_lociStitched	chr4	185201025	185210873	2	8740	34006.1288	1846.5	310			ENPP6	ENPP6	NONE	310	1
2_MACS_peak_1974_lociStitched	chr1	206727996	206739430	2	11296	19325.7468	3632.5818	311	RASSF5	LGTN	RASSF5	RASSF5	0.20310000000000003	311	1
2_MACS_peak_14614_lociStitched	chr21	41295790	41309690	2	9251	33397.53	3668.21	312	PCP4		PCP4	PCP4	0.2107	312	1
5_MACS_peak_8408_lociStitched	chr16	29815576	29833568	5	11094	21117.2104	3494.0464	313	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	PRRT2	PRRT2	0.6578999999999999	313	1
2_MACS_peak_276_lociStitched	chr1	23850312	23867218	2	10065	28305.7158	3012.6492	314	E2F2	ASAP3,ID3	E2F2	E2F2	0.6958	314	1
4_MACS_peak_6841_lociStitched	chr14	77487844	77507615	4	11274	17434.0678	1779.39	315	C14orf4		C14orf4	C14orf4	0.8807	315	1
1_MACS_peak_20052_lociStitched	chr6	90059362	90069969	1	10608	23758.6193	2187.1634	316	UBE2J1	GABRR2	UBE2J1	UBE2J1	0.5274	316	1
2_MACS_peak_13339_lociStitched	chr2	202116240	202128083	2	10475	24605.0168	2144.7673	317	CASP8		CASP8	CASP8	0.40940000000000004	317	1
2_MACS_peak_21549_lociStitched	chr7	114561342	114573953	2	9645	29952.3861	2596.6049	318	MDFIC		MDFIC	MDFIC	0.948	318	1
2_MACS_peak_23351_lociStitched	chr9	94181280	94192606	2	11238	17300.465	1845.0054	319	NFIL3		NFIL3	NFIL3	0.5239	319	1
4_MACS_peak_7887_lociStitched	chr15	90574096	90591839	4	11315	17421.8517	2932.9179	320	ZNF710		ZNF710	ZNF710	0.33890000000000003	320	1
2_MACS_peak_9944_lociStitched	chr17	66230117	66245388	2	9070	32686.0484	2692.2773	321	AMZ2	LOC440461,ARSG,SLC16A6	AMZ2	AMZ2	0.5475	321	1
2_MACS_peak_3436_lociStitched	chr10	125151241	125163834	2	10589	22881.481	1989.694	322			BUB3	BUB3	NONE	322	1
4_MACS_peak_4366_lociStitched	chr11	82764680	82790348	4	10701	24130.4868	4525.2684	324	RAB30	SNORA70E	RAB30	RAB30	0.3179	324	1
2_MACS_peak_1948_lociStitched	chr1	205242459	205258909	2	10358	26762.505	4648.77	325	TMCC2	NUAK2	NUAK2	NUAK2	0.13290000000000002	325	1
3_MACS_peak_20772_lociStitched	chr7	20476421	20490056	3	10845	19912.554	1992.0735	329			ITGB8	ITGB8	NONE	329	1
2_MACS_peak_6447_lociStitched	chr13	115039365	115048765	2	9003	31067	1514.34	330	UPF3A	CDC16,ZNF828	UPF3A	UPF3A	0.8184	330	1
2_MACS_peak_15077_lociStitched	chr22	38782560	38795649	2	11191	16047.114	1959.4233	332	LOC400927	KCNJ4	LOC400927	LOC400927	0.2425	332	1
1_MACS_peak_19631_lociStitched	chr6	32934883	32941784	1	6902	38611.095	1627.2558	333	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	1.5856000000000001	333	1
2_MACS_peak_18778_lociStitched	chr5	138719864	138730546	2	9835	27257.2594	2529.4976	334	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	MZB1	2.0045	334	1
4_MACS_peak_13271_lociStitched	chr2	197033399	197048550	4	10963	18350.8912	2728.6951	335	STK17B		STK17B	STK17B	0.19599999999999998	335	1
5_MACS_peak_10803_lociStitched	chr19	2031641	2062720	5	10781	23629.3637	6340.116	336	MKNK2	IZUMO4,BTBD2,MOBKL2A	MKNK2	MOBKL2A	1.7554	336	1
2_MACS_peak_14329_lociStitched	chr20	56047418	56058001	2	9800	26488.1907	2070.0348	338		CTCFL	CTCFL	CTCFL	0.059800000000000006	338	1
3_MACS_peak_21183_lociStitched	chr7	74057169	74076765	3	10866	18751.4124	2688.5712	340	GTF2I		GTF2I	GTF2I	0.074	340	1
1_MACS_peak_9500_lociStitched	chr17	37909279	37916458	1	7180	37231.7298	1651.17	341		GRB7,C17orf37	GRB7	C17orf37	0.16799999999999998	341	1
1_MACS_peak_12534_lociStitched	chr2	86219525	86229126	1	9602	27250.5183	2091.0978	343		LOC90784	LOC90784	LOC90784	0.0638	343	1
2_MACS_peak_17990_lociStitched	chr5	1335287	1346358	2	8737	31798.1262	2231.9136	344	CLPTM1L	TERT	CLPTM1L	CLPTM1L	3.7568	344	1
2_MACS_peak_7550_lociStitched	chr15	65173776	65189347	2	9465	27965.516	2626.8277	347		PLEKHO2,ANKDD1A	ANKDD1A	PLEKHO2	0.05729999999999999	347	1
3_MACS_peak_18121_lociStitched	chr5	32530719	32544093	3	10793	17886.3876	2666.7756	348		SUB1	SUB1	SUB1	0.8034	348	1
3_MACS_peak_14678_lociStitched	chr21	45194990	45210529	3	10656	20739.9033	4211.069	349	RRP1,CSTB	LOC284837	CSTB	CSTB	0.6979	349	1
2_MACS_peak_15672_lociStitched	chr3	46245838	46257303	2	10034	24286.3095	2654.1475	350	CCR1	CCR3	CCR1	CCR1	1.0703	350	1
1_MACS_peak_3936_lociStitched	chr11	58340120	58347956	1	7837	33793.5336	1481.7876	353	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	LPXN	0.5472	353	1
3_MACS_peak_14447_lociStitched	chr21	19151720	19166771	3	10643	18008.5215	2289.2571	354	C21orf91		C21orf91	C21orf91	0.4586	354	1
2_MACS_peak_16641_lociStitched	chr3	178230343	178241193	2	10532	19143.74	2713.585	355		KCNMB2	KCNMB2	KCNMB2	0.01479999999999998	355	1
4_MACS_peak_5188_lociStitched	chr12	46764510	46785436	4	10640	18331.176	3113.7888	356	SLC38A2		SLC38A2	SLC38A2	0.2462	356	1
3_MACS_peak_19299_lociStitched	chr6	7959750	7978181	3	10274	21061.1037	2753.5914	358	MUTED-TXNDC5	PIP5K1P1,TXNDC5	PIP5K1P1	TXNDC5	3.2074000000000003	358	1
1_MACS_peak_13557_lociStitched	chr2	231729289	231739706	1	10418	17937.0323	1050.0336	359	ITM2C		ITM2C	ITM2C	0.6970000000000001	359	1
