GENE_ID	locusLine	bin_1_02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04.bam
NM_201431	chr4(.):74433861-74491340	0.4567
NM_177532	chr4(.):74433861-74491134	0.4582
NM_020859	chr4(.):77351252-77709405	0.2384
NM_144571	chr4(.):78629540-78745544	0.2259
NM_198281	chr4(.):90160428-90234161	1.0449
NM_001102406	chr4(.):113213498-113368764	0.0743
NM_001034845	chr4(.):172729574-173966558	0.0744
NM_144720	chr4(.):6050481-6207318	0.309
NM_147127	chr4(.):5559145-5715294	0.1459
NM_001166136	chr4(.):5559145-5716275	0.147
NM_001099433	chr4(.):6022925-6207318	0.2932
NM_153717	chr4(.):5707923-5821031	0.1581
NM_016531	chr4(.):38660789-38708129	0.3578
NM_015173	chr4(.):37887719-38145794	0.2571
NR_026804	chr4(.):38609321-38671249	0.2252
NM_004310	chr4(.):40193526-40251281	0.9213
NM_001136570	chr4(.):77167852-77209929	0.1242
NM_005327	chr4(.):108905869-108961331	0.4973
NM_024900	chr4(.):129725778-129790787	0.3684
NM_199320	chr4(.):129725778-129801379	0.326
NM_002039	chr4(.):144252982-144400718	0.4644
NM_020840	chr4(.):159685181-159832954	0.2128
NM_002199	chr4(.):185303875-185400726	1.0579
NM_031953	chr4(.):186126283-186290120	0.4111
NR_031688	chr4(.):9552788-9562937	0.1183
NM_001775	chr4(.):15774930-15855706	0.1951
NM_017581	chr4(.):40332468-40361973	0.0574
NM_001076	chr4(.):69398132-69439240	0.2641
NM_001077	chr4(.):69397902-69439245	0.2627
NM_001076	chr4(.):69507314-69541374	0.1441
NM_031889	chr4(.):71489460-71517536	0.1135
NM_144646	chr4(.):71516257-71537348	0.6576
NM_020368	chr4(.):71549195-71561268	0.3912
NM_014961	chr4(.):71582695-71664274	0.0865
NM_001130709	chr4(.):71565653-71660614	0.1075
NM_017426	chr4(.):77030816-77074655	0.12
NM_005506	chr4(.):77074893-77140035	0.5304
NM_020236	chr4(.):78778804-78878944	0.1673
NM_152545	chr4(.):82343218-82398061	0.4359
NM_014395	chr4(.):100732980-100796346	0.7758
NM_021970	chr4(.):100794494-100820703	0.4005
NM_003998	chr4(.):103417485-103543459	0.3275
NM_025212	chr4(.):105388342-105417467	0.6068
NM_018569	chr4(.):113147894-113196211	0.1902
NM_052864	chr4(.):113191781-113212059	0.5176
NM_018409	chr4(.):186280031-186305152	0.2247
NM_181726	chr4(.):186312839-186326390	0.7026
NM_001104631	chr5(.):58259865-59194621	0.1285
NM_006203	chr5(.):58259865-58887324	0.124
NM_001165899	chr5(.):58259865-59788925	0.0991
NM_001197218	chr5(.):58259865-59069438	0.1385
NM_002372	chr5(.):109020155-109208429	0.3006
NM_014979	chr5(.):75374304-75626416	0.1534
NM_015071	chr5(.):142145291-142613572	0.261
NM_001131005	chr5(.):88009057-88204922	0.4872
NM_002397	chr5(.):88009057-88184283	0.4956
NM_001193349	chr5(.):88009057-88124744	0.3839
NM_001131055	chr5(.):175080039-175118245	0.3645
NM_001040446	chr5(.):32222110-32318114	0.3813
NM_024669	chr5(.):55390506-55534186	0.4458
NR_015436	chr5(.):87831596-87985620	0.2355
NM_152624	chr5(.):112307432-112361667	0.1697
NM_001077654	chr5(.):118599417-118735294	0.3288
NM_005460	chr5(.):121642819-121804794	0.1426
NM_001038702	chr5(.):130594701-130735382	0.2769
NM_003060	chr5(.):131700400-131736306	0.1939
NM_018924	chr5(.):140744961-140897546	0.1415
NM_018922	chr5(.):140724827-140897546	0.1311
NM_018915	chr5(.):140713353-140897546	0.1265
NM_018916	chr5(.):140718600-140897546	0.1285
NM_018912	chr5(.):140705251-140897546	0.1251
NM_003736	chr5(.):140762451-140897546	0.1498
NM_018923	chr5(.):140734702-140897546	0.136
NM_001079812	chr5(.):140889587-141003622	0.2527
NM_018920	chr5(.):140757466-140897546	0.1474
NM_018918	chr5(.):140738897-140897546	0.1377
NM_018917	chr5(.):140729767-140897546	0.1336
NM_018919	chr5(.):140748650-140897546	0.1438
NM_015621	chr5(.):150555612-150608654	0.3523
NM_004045	chr5(.):151117382-151143210	0.6112
NM_198321	chr5(.):153565294-153805543	0.2274
NM_001037332	chr5(.):156688186-156827606	0.2015
NM_001037333	chr5(.):156688090-156827606	0.2015
NM_014376	chr5(.):156691361-156827606	0.2024
NM_005990	chr5(.):171464073-171620346	0.2062
NM_022455	chr5(.):176555832-176732214	0.2057
NM_172349	chr5(.):176555079-176732214	0.2055
NM_002406	chr5(.):180212540-180235048	0.7047
NM_001114619	chr5(.):180212540-180235902	0.7052
NM_001114618	chr5(.):180212540-180241817	0.8559
NM_001114617	chr5(.):180212540-180242137	0.8483
NM_001193376	chr5(.):1248286-1300162	0.1293
NM_030782	chr5(.):1312999-1350002	1.8046
NM_032286	chr5(.):6367038-6383639	0.2685
NM_001145161	chr5(.):6443735-6501834	0.9227
NM_019018	chr5(.):14576890-14621287	0.3753
NM_006713	chr5(.):32580604-32609185	0.9257
NM_002184	chr5(.):55225924-55295821	0.3994
NR_036243	chr5(.):86405695-86415771	0.7378
NR_024384	chr5(.):87955262-87974146	1.4667
NR_024383	chr5(.):87955262-87979262	1.1907
NR_030741	chr5(.):87957670-87967757	0.435
NR_033175	chr5(.):109213882-109226200	0.1517
NM_005669	chr5(.):112207080-112263031	0.3019
NM_014350	chr5(.):118686595-118735294	0.1525
NM_000588	chr5(.):131391346-131403896	0.269
NM_000758	chr5(.):131404484-131416859	0.3991
NR_037500	chr5(.):131696181-131706291	0.2362
NM_002198	chr5(.):131812300-131831465	0.6834
NM_001013717	chr5(.):131741672-131803059	1.8496
NM_000879	chr5(.):131872135-131884214	0.0981
NM_016480	chr5(.):138672518-138710409	0.1632
NM_194296	chr5(.):138727455-138744776	0.939
NM_152686	chr5(.):138740891-138780214	0.6415
NM_152685	chr5(.):138697884-138724039	0.404
NM_001033112	chr5(.):138673133-138710409	0.1647
NM_001161546	chr5(.):138722634-138735885	2.6616
NM_016459	chr5(.):138718256-138730605	3.1415
NM_032088	chr5(.):140766482-140897546	0.153
NM_032406	chr5(.):140859740-140872356	0.0711
NM_032407	chr5(.):140863807-140876444	0.0788
NM_018925	chr5(.):140772694-140897546	0.1581
NM_032092	chr5(.):140795536-140897546	0.1831
NM_003735	chr5(.):140805157-140897546	0.1932
NM_018921	chr5(.):140777519-140897546	0.1633
NM_018929	chr5(.):140863807-140897546	0.4416
NM_018913	chr5(.):140787742-140897546	0.1749
NM_002588	chr5(.):140850568-140897546	0.3404
NM_018926	chr5(.):140782769-140897546	0.1695
NM_018928	chr5(.):140859740-140897546	0.3987
NM_018927	chr5(.):140792281-140897546	0.1809
NM_183401	chr5(.):141343732-141373754	0.3325
NM_005471	chr5(.):141375233-141397620	0.7614
NM_183400	chr5(.):141343621-141373754	0.3319
NM_016580	chr5(.):141319529-141343627	0.3363
NM_183399	chr5(.):141341436-141373754	0.3171
NM_000024	chr5(.):148201155-148213197	1.3561
NM_001025071	chr5(.):149818791-149834319	0.4964
NM_001543	chr5(.):149882673-149942773	0.0804
NM_006058	chr5(.):150404505-150465997	0.2881
NM_001155	chr5(.):150475266-150542443	0.4565
NM_001193544	chr5(.):150475266-150526216	0.3709
NM_000405	chr5(.):150627612-150654953	0.346
NM_005754	chr5(.):151146475-151189915	0.2571
NR_002168	chr5(.):156272548-156284539	0.0812
NR_028472	chr5(.):156346099-156357013	0.5406
NM_001171183	chr5(.):171616175-171635458	0.063
NM_004417	chr5(.):172190092-172203203	1.7064
NM_030627	chr5(.):173310330-173392313	0.4648
NM_022304	chr5(.):175103463-175116558	0.0715
NM_001031677	chr5(.):176723198-176735744	1.4561
NM_006480	chr5(.):176779843-176804599	0.352
NM_006816	chr5(.):176753562-176783885	0.2307
NM_031300	chr5(.):176729205-176744292	1.1241
NM_001142935	chr5(.):176727500-176744292	1.2952
NM_013237	chr5(.):176725834-176738950	1.4282
NM_002082	chr5(.):176848686-176874850	1.0734
NM_203352	chr5(.):176905394-176929602	0.1907
NM_030567	chr5(.):176868795-176888287	0.6802
NM_000505	chr5(.):176824138-176841577	0.7714
NM_080881	chr5(.):176878613-176904871	0.2949
NM_004395	chr5(.):176878613-176905694	0.2931
NM_001174102	chr5(.):176870325-176888283	0.7167
NM_001029886	chr5(.):176822107-176832637	0.4052
NR_027183	chr5(.):180251958-180267726	0.7598
NM_152283	chr5(.):180269610-180293286	0.2433
NR_027908	chr6(.):33548882-33566115	0.3546
NR_028361	chr6(.):33546475-33561803	0.7048
NM_181356	chr6(.):44791469-45350670	0.0941
NM_003599	chr6(.):44792449-45350575	0.0941
NM_012288	chr6(.):52357199-52446862	1.0625
NM_004999	chr6(.):76453908-76634254	0.1744
NM_033515	chr6(.):129893239-130036370	0.4623
NM_000876	chr6(.):160385130-160532583	0.2071
NM_001195286	chr6(.):386738-416443	0.9034
NM_001168344	chr6(.):7102829-7257213	0.3889
NM_001003699	chr6(.):7103085-7257213	0.3894
NR_037616	chr6(.):7876482-8069647	1.0506
NM_002114	chr6(.):12007723-12170232	0.4013
NM_001080480	chr6(.):20095934-20217670	0.186
NM_001173977	chr6(.):25274655-25625758	0.3965
NM_172166	chr6(.):31702724-31735455	0.9655
NM_152735	chr6(.):33417355-33430320	0.1842
NM_145316	chr6(.):37174953-37230413	0.202
NM_001162900	chr6(.):37180417-37230931	0.1992
NM_183078	chr6(.):37316747-37367514	0.0991
NM_001193343	chr6(.):43633933-43660549	0.3119
NM_004348	chr6(.):45384913-45523819	0.3295
NM_001024630	chr6(.):45291053-45523819	0.2431
NM_001172420	chr6(.):52280804-52365583	0.3196
NM_018100	chr6(.):52279993-52365583	0.3197
NM_001123226	chr6(.):74166453-74216179	0.226
NM_016021	chr6(.):90031343-90067619	0.9652
NM_001455	chr6(.):108877068-109010971	1.0906
NM_201559	chr6(.):108876025-109010971	1.0835
NM_032131	chr6(.):109164618-109300352	0.5563
NM_173674	chr6(.):117798819-117896020	0.3214
NM_001130173	chr6(.):135497452-135545311	0.2324
NM_153235	chr6(.):139556198-139618208	0.374
NM_006734	chr6(.):143067603-143271338	0.2939
NM_024630	chr6(.):157797556-158099977	0.1702
NM_020185	chr6(.):287100-356355	2.0525
NR_027712	chr6(.):7981334-7995577	0.3942
NM_001145549	chr6(.):7876482-7915310	3.1314
NM_030810	chr6(.):7876482-7916047	3.1343
NM_032744	chr6(.):11708887-11784280	0.5285
NM_005319	chr6(.):26050967-26061699	1.1208
NM_003537	chr6(.):26026816-26037288	1.2989
NM_003544	chr6(.):26022123-26032480	1.1817
NM_021062	chr6(.):26038454-26048885	1.0908
NM_003531	chr6(.):26040638-26051097	1.0911
NM_005325	chr6(.):26012259-26023040	0.6942
NM_003538	chr6(.):26016906-26027278	1.262
NM_003513	chr6(.):26028319-26038796	0.9844
NM_003529	chr6(.):26015717-26026186	0.8922
NM_021065	chr6(.):26194011-26204471	1.9699
NM_003530	chr6(.):26192011-26204464	1.6895
NM_138720	chr6(.):26153348-26176576	0.8983
NM_003523	chr6(.):26179023-26189458	0.75
NM_003539	chr6(.):26183937-26194304	0.8689
NM_003545	chr6(.):26199872-26210249	1.2802
NM_005321	chr6(.):26151558-26162343	1.2175
NM_003522	chr6(.):26194786-26205216	2.227
NM_003518	chr6(.):26211427-26221872	0.7217
NM_021052	chr6(.):26212147-26222711	0.7079
NM_003532	chr6(.):26220382-26230844	0.4167
NM_003524	chr6(.):26246878-26257303	1.1682
NM_003547	chr6(.):26241838-26252205	1.0131
NM_003540	chr6(.):26235653-26246021	0.257
NM_021018	chr6(.):26245369-26255835	1.1581
NM_005320	chr6(.):26229439-26240216	0.6266
NM_001145008	chr6(.):26397464-26420444	0.2728
NM_001197240	chr6(.):26378328-26400100	0.4812
NM_001197247	chr6(.):26360397-26383540	1.0508
NM_001197238	chr6(.):26378323-26400100	0.4815
NM_007047	chr6(.):26360397-26383548	1.0517
NM_001197237	chr6(.):26378438-26400100	0.4772
NM_001197248	chr6(.):26360469-26383540	1.0398
NM_001197246	chr6(.):26363405-26383540	0.6443
NM_021064	chr6(.):27095816-27106314	1.0271
NM_080593	chr6(.):27101071-27119637	0.9022
NM_080596	chr6(.):27109907-27120346	0.8061
NR_036096	chr6(.):27110404-27120467	0.8303
NM_021058	chr6(.):27095094-27105575	1.0081
NM_003495	chr6(.):27102087-27112457	0.6023
NM_021066	chr6(.):27777079-27787518	1.1383
NM_003536	chr6(.):27772841-27783314	1.5384
NM_003509	chr6(.):27770976-27781445	1.0945
NM_003519	chr6(.):27770256-27780709	1.0435
NM_003521	chr6(.):27777821-27788267	1.1117
NM_003520	chr6(.):27801439-27811888	1.7266
NM_003511	chr6(.):27828106-27838576	0.7043
NM_003533	chr6(.):27834622-27845099	0.3426
NM_003510	chr6(.):27800657-27811117	1.7287
NM_003541	chr6(.):27793951-27804305	0.5874
NM_005322	chr6(.):27829569-27840359	0.7734
NM_021968	chr6(.):27786902-27797258	0.6137
NM_003546	chr6(.):27835925-27846289	0.2436
NM_021246	chr6(.):31678132-31690581	0.1853
NM_138275	chr6(.):31686160-31697851	0.9048
NR_033488	chr6(.):31649725-31675850	0.3072
NM_013974	chr6(.):31689816-31703039	1.1219
NM_025262	chr6(.):31639460-31653150	0.191
NM_001288	chr6(.):31693357-31709341	2.6161
NM_001003693	chr6(.):31669683-31683372	0.5727
NM_021160	chr6(.):31649725-31676137	0.3044
NR_024541	chr6(.):31674752-31686842	0.1563
NM_025261	chr6(.):31681424-31694510	0.2084
NM_001039651	chr6(.):31725772-31737624	0.1595
NM_025258	chr6(.):31728370-31750108	0.5734
NR_002742	chr6(.):31799852-31809916	0.91
NM_000434	chr6(.):31821828-31835709	0.4115
NM_021177	chr6(.):31760173-31779743	0.6371
NR_002745	chr6(.):31798039-31808103	0.9529
NM_001178045	chr6(.):31825969-31850448	0.2859
NM_001040438	chr6(.):31797692-31812541	0.6937
NM_005345	chr6(.):31778290-31790719	0.506
NM_005527	chr6(.):31772395-31787835	0.3542
NM_001178044	chr6(.):31825969-31851823	0.2725
NM_006295	chr6(.):31740296-31768712	0.8977
NM_005346	chr6(.):31790511-31803031	1.0149
NM_006772	chr6(.):33382846-33426466	0.3602
NM_015921	chr6(.):33379318-33391065	0.5781
NR_001444	chr6(.):33327513-33339139	0.0891
NM_002263	chr6(.):33354312-33382699	0.3638
NM_002636	chr6(.):33373772-33389230	0.676
NM_001188	chr6(.):33535322-33553070	0.9795
NM_002224	chr6(.):33584155-33669348	0.1761
NM_020939	chr6(.):36703554-36812220	0.2356
NM_173558	chr6(.):36968422-37001845	0.2627
NM_002648	chr6(.):37132921-37148204	0.8522
NM_017772	chr6(.):37220547-37305746	0.3891
NM_000322	chr6(.):42659332-42695358	0.1506
NM_003192	chr6(.):42707233-42718884	0.6768
NR_037141	chr6(.):42690313-42700932	0.2566
NM_015349	chr6(.):42783793-42841296	0.0677
NM_018426	chr6(.):44090375-44128256	0.1608
NM_007058	chr6(.):44121547-44157139	0.1047
NM_032111	chr6(.):44076372-44100191	0.7664
NM_002388	chr6(.):52123811-52154582	0.2168
NM_052872	chr6(.):52096483-52114298	0.1047
NM_133367	chr6(.):52221925-52277575	0.5502
NM_001402	chr6(.):74220472-74235755	1.4713
NM_002043	chr6(.):89962238-90029967	0.434
NM_021244	chr6(.):90069334-90126995	0.4552
NM_182907	chr6(.):106541814-106562811	1.5367
NM_001198	chr6(.):106529194-106562814	1.7297
NR_033376	chr6(.):109067856-109096145	0.7217
NM_001145207	chr6(.):135351994-135381036	0.2508
NM_006620	chr6(.):135276516-135381036	0.3392
NR_037435	chr6(.):135295475-135305570	0.0604
NM_006079	chr6(.):139688396-139700785	1.3524
NM_001168389	chr6(.):139688396-139700350	1.3949
NM_001168388	chr6(.):139688396-139700499	1.3787
NR_037463	chr6(.):157945163-157955232	0.0761
NM_001259	chr7(.):92229234-92468231	0.3792
NM_001145306	chr7(.):92229234-92470941	0.3759
NM_001029835	chr7(.):45062232-45121069	0.2144
NM_001167935	chr7(.):45034786-45121069	0.3303
NR_030770	chr7(.):45034344-45121069	0.3456
NM_030796	chr7(.):55533305-55645200	1.1044
NM_012301	chr7(.):77641373-79087890	0.09
NM_001135556	chr7(.):95396817-95732736	0.1238
NM_001913	chr7(.):101454291-101932250	0.1333
NM_181500	chr7(.):101454302-101932250	0.1333
NM_032549	chr7(.):110298109-111207347	0.126
NM_001145354	chr7(.):130789854-131186398	0.2504
NM_004717	chr7(.):137069384-137536609	0.1517
NM_022740	chr7(.):139241315-139482693	0.1541
NM_001164458	chr7(.):149939300-150025758	0.2802
NM_001080495	chr7(.):5341422-5468177	0.1624
NM_001136020	chr7(.):8148403-8306780	0.2424
NM_022307	chr7(.):8147814-8306682	0.242
NM_004968	chr7(.):8147814-8307185	0.2417
NM_182762	chr7(.):20169278-20262013	0.4586
NM_014800	chr7(.):36888960-37493511	0.127
NM_002541	chr7(.):44641120-44753669	0.5052
NM_001003941	chr7(.):44641120-44721195	0.6822
NM_022748	chr7(.):47309751-47584199	0.231
NM_006060	chr7(.):50339377-50477798	0.2119
NM_012395	chr7(.):90333711-90844904	0.1647
NM_017621	chr7(.):102091666-102110321	0.3997
NM_182931	chr7(.):104649636-104759532	0.4223
NM_175884	chr7(.):106294148-106306591	0.7578
NM_001099660	chr7(.):110726061-110770509	0.1927
NM_014705	chr7(.):111361163-111851462	0.1796
NM_024913	chr7(.):120623750-120942498	0.1677
NM_001105533	chr7(.):120624444-120906972	0.158
NM_022444	chr7(.):122748587-122845025	0.3128
NM_014149	chr7(.):134863589-134901316	0.2043
NM_178563	chr7(.):134666258-134825530	0.2559
NM_194071	chr7(.):137554724-137691846	0.3577
NM_001166254	chr7(.):139473046-139725125	0.3278
NR_029394	chr7(.):139523951-139725125	0.2744
NM_173680	chr7(.):150071405-150100719	1.6112
NM_053043	chr7(.):155432202-155579179	0.258
NM_207342	chr7(.):22454062-22544901	0.3657
NM_001164460	chr7(.):22473037-22544901	0.4253
NR_029597	chr7(.):25984538-25994606	1.9295
NM_019082	chr7(.):44600402-44619137	0.206
NM_182547	chr7(.):44613761-44626827	0.458
NR_003697	chr7(.):45017626-45031259	0.3841
NR_002952	chr7(.):45019976-45030109	0.4454
NM_033054	chr7(.):44997259-45023704	0.2694
NM_152559	chr7(.):73243920-73261855	0.4005
NM_001305	chr7(.):73240192-73252015	0.1644
NM_182504	chr7(.):73270488-73285223	0.0916
NM_001163636	chr7(.):74067029-74180022	0.1668
NM_020979	chr7(.):101923404-101967178	0.7808
NR_036245	chr7(.):101931368-101941453	0.6994
NM_032831	chr7(.):102068995-102102268	1.2211
NM_024653	chr7(.):102031803-102072129	0.8789
NM_006234	chr7(.):102108547-102124381	0.2869
NM_152892	chr7(.):102100389-102118612	0.3032
NR_027374	chr7(.):104530074-104572092	0.5702
NR_024586	chr7(.):104645988-104659588	2.7301
NM_002649	chr7(.):106500923-106552592	0.5535
NM_001166346	chr7(.):114557208-114568720	1.1966
NM_199072	chr7(.):114557208-114664970	0.478
NM_001172897	chr7(.):116161411-116206239	0.3029
NM_001172896	chr7(.):116161346-116206239	0.3026
NM_001172895	chr7(.):116160062-116206239	0.2989
NM_001753	chr7(.):116159838-116206239	0.2983
NM_019071	chr7(.):120585816-120620711	0.2871
NM_018295	chr7(.):134827765-134855967	1.0795
NR_024185	chr7(.):134845531-134860532	1.1679
NM_005989	chr7(.):137756177-137808050	0.1222
NM_002769	chr7(.):142452318-142465927	0.2349
NM_004445	chr7(.):142547791-142573847	0.1345
NM_002770	chr7(.):142474907-142486378	0.1931
NR_001296	chr7(.):142473756-142487399	0.1861
NM_013400	chr7(.):150060878-150076133	2.8698
NM_014374	chr7(.):150063257-150076133	3.2483
NM_001142928	chr7(.):150015295-150040245	0.6968
NM_002889	chr7(.):150030406-150043763	0.1177
NM_138434	chr7(.):150021937-150034811	0.1114
NR_027237	chr7(.):150097839-150114558	2.3295
NM_175571	chr7(.):150142961-150181483	0.1079
NR_034033	chr7(.):150125741-150150228	0.8293
NM_080838	chr8(.):134198311-134245053	0.5678
NM_003882	chr8(.):134198311-134246571	0.6318
NM_004103	chr8(.):27163998-27321903	0.5466
NM_173176	chr8(.):27178053-27321903	0.5684
NM_173175	chr8(.):27178080-27321903	0.5685
NM_001002814	chr8(.):37711464-37762015	0.8094
NM_021623	chr8(.):38753752-38836430	0.577
NM_018482	chr8(.):131059352-131419217	0.2251
NM_001715	chr8(.):11346520-11427108	0.4389
NM_018371	chr8(.):19256671-19545094	0.2404
NR_024040	chr8(.):19256671-19545261	0.2404
NM_001386	chr8(.):26430420-26520693	0.2856
NM_001197293	chr8(.):26366708-26520693	0.2594
NM_006228	chr8(.):28169648-28205868	0.62
NM_001010906	chr8(.):27874480-27946388	0.5017
NM_024787	chr8(.):33400272-33429643	1.1915
NR_027638	chr8(.):38849504-38967779	0.1049
NM_005079	chr8(.):80942104-81088836	0.5157
NM_001135733	chr8(.):95933199-95966615	0.4467
NM_024094	chr8(.):120841180-120873170	0.1896
NM_022783	chr8(.):120880899-121068157	0.511
NM_001145088	chr8(.):124079919-124169392	0.0945
NM_058229	chr8(.):124510357-124558446	0.3488
NM_148177	chr8(.):124510357-124549383	0.2652
NM_173685	chr8(.):126099082-126384367	0.4028
NM_003235	chr8(.):133874204-134152143	0.162
NM_003970	chr8(.):1988157-2098380	0.8105
NM_171982	chr8(.):27137403-27173834	0.1554
NM_018091	chr8(.):27945583-28053669	0.0933
NM_018660	chr8(.):28198101-28248977	0.3432
NR_026765	chr8(.):29573775-29610625	0.6001
NM_025115	chr8(.):33351235-33375656	0.38
NM_001102401	chr8(.):33351235-33375703	0.3794
NM_024025	chr8(.):33443853-33462439	0.177
NM_018310	chr8(.):37696397-37712431	0.2975
NM_152413	chr8(.):37786799-37802647	0.0864
NM_001024381	chr8(.):38841326-38859041	0.3219
NM_153692	chr8(.):38826667-38851181	0.0766
NM_057749	chr8(.):95887452-95912482	0.2399
NM_148174	chr8(.):103833535-103881397	0.1429
NM_024295	chr8(.):124020567-124059648	0.3937
NM_025195	chr8(.):126437562-126455644	1.2246
NM_014957	chr8(.):142133719-142210900	0.2666
NM_201378	chr8(.):144984320-145052697	0.4846
NM_032789	chr8(.):145046319-145065635	0.6237
NM_000445	chr8(.):144984320-145055913	0.4856
NM_201381	chr8(.):144984320-145023905	0.5573
NM_201382	chr8(.):144984320-145023110	0.5593
NM_201383	chr8(.):144984320-145021692	0.5605
NM_201379	chr8(.):144984320-145033088	0.5446
NM_001009184	chr8(.):145059225-145072583	0.4576
NM_201384	chr8(.):144984320-145018758	0.593
NR_030383	chr8(.):145014358-145024447	1.0587
NM_201380	chr8(.):144984320-145030044	0.5787
NM_138367	chr8(.):145941293-145985970	0.0947
NM_030580	chr8(.):145993500-146017725	0.3735
NM_033301	chr8(.):146010153-146022729	0.7446
NM_001081003	chr8(.):146070550-146083932	0.3131
NM_001081004	chr8(.):146070550-146083451	0.3225
NM_000973	chr8(.):146010153-146022805	0.7429
NM_003416	chr8(.):146047902-146073606	0.1645
NM_213605	chr8(.):146019260-146039529	0.2004
NM_014066	chr8(.):146070550-146083452	0.3225
NM_001135920	chr9(.):5624326-5774454	0.2756
NM_020829	chr9(.):5651582-5781556	0.1754
NM_001497	chr9(.):33105638-33172356	0.3064
NM_001142287	chr9(.):91970705-92099611	0.255
NM_006378	chr9(.):91987151-92099611	0.2781
NM_080546	chr9(.):108001928-108158682	0.3119
NM_053016	chr9(.):112537576-112718756	0.2515
NM_001037293	chr9(.):112398067-112718756	0.1678
NM_007203	chr9(.):112537576-112939791	0.3122
NM_001004065	chr9(.):112805877-112939791	0.4371
NM_017790	chr9(.):116221008-116309371	0.2901
NM_144488	chr9(.):116202010-116365018	0.2775
NM_015404	chr9(.):117159359-117272736	0.5708
NM_001083885	chr9(.):117159359-117270495	0.5785
NM_018249	chr9(.):123146146-123347437	0.1727
NM_005047	chr9(.):123573331-123610206	0.2285
NM_001006618	chr9(.):128278748-128474513	0.2321
NM_001006617	chr9(.):128194672-128474513	0.1922
NM_015033	chr9(.):132644465-132810473	0.3841
NM_198679	chr9(.):134447156-134590229	0.2339
NM_005312	chr9(.):134447156-134617925	0.3161
NM_001170	chr9(.):33379947-33407517	0.1256
NM_139235	chr9(.):33456350-33478941	0.232
NM_004925	chr9(.):33436159-33452590	0.5182
NM_152850	chr9(.):35083687-35101579	0.2717
NM_001040411	chr9(.):35036101-35050988	0.0987
NM_025182	chr9(.):35099117-35120893	0.5419
NM_013442	chr9(.):35094888-35108154	0.6796
NM_004629	chr9(.):35068834-35085013	0.681
NM_001040410	chr9(.):35037222-35050988	0.1029
NM_032634	chr9(.):35083687-35101546	0.2721
NM_007126	chr9(.):35051064-35077739	0.4523
NM_003995	chr9(.):35787405-35814728	0.2654
NM_001042590	chr9(.):35824512-35859844	0.54
NM_032593	chr9(.):35807956-35820042	0.7094
NM_001012446	chr9(.):35812013-35833744	0.5736
NM_001042589	chr9(.):35824228-35859844	0.5365
NM_016446	chr9(.):35824221-35852232	0.6344
NM_001004487	chr9(.):35864459-35875398	0.1176
NM_001039592	chr9(.):35804806-35817259	0.6746
NR_024006	chr9(.):35855270-35870515	0.1295
NM_005893	chr9(.):36164388-36176331	0.1314
NM_022343	chr9(.):36131741-36168903	0.5739
NM_007096	chr9(.):36185852-36217059	0.1813
NR_033912	chr9(.):93820575-93842414	0.1719
NM_005384	chr9(.):94166326-94191144	1.199
NM_015250	chr9(.):95468644-95532083	0.5019
NR_026868	chr9(.):95566892-95605739	0.1154
NM_032310	chr9(.):95853449-95880565	0.4754
NM_145006	chr9(.):95815988-95852415	0.4794
NM_033087	chr9(.):101973706-101989246	0.8376
NM_006808	chr9(.):101979569-101997901	0.8219
NM_001012993	chr9(.):112956845-112975413	0.1462
NM_001136562	chr9(.):112882780-112939791	0.614
NM_130795	chr9(.):116258706-116365018	0.3622
NM_021106	chr9(.):116337939-116365018	0.3422
NM_134427	chr9(.):116322360-116365018	0.3501
NM_000608	chr9(.):117087068-117100536	0.1351
NM_030767	chr9(.):117091432-117161685	0.7454
NM_000607	chr9(.):117080302-117093759	0.1228
NM_004888	chr9(.):117344993-117366152	0.4933
NM_153045	chr9(.):117368705-117413703	0.4058
NM_001244	chr9(.):117660123-117697770	0.4957
NM_005658	chr9(.):123659670-123694173	0.7674
NM_015651	chr9(.):123612930-123644606	0.7688
NM_001190945	chr9(.):123659670-123696451	0.8119
NM_001190947	chr9(.):123659670-123681850	0.6772
NM_001009936	chr9(.):123626852-123644606	1.2878
NR_024408	chr9(.):123600319-123621651	0.357
NM_173689	chr9(.):126113447-126146032	0.1016
NM_001145001	chr9(.):127015195-127119719	0.2409
NM_001166168	chr9(.):127015529-127119719	0.2411
NM_001166167	chr9(.):127014884-127119719	0.2408
NM_001045476	chr9(.):127610754-127625160	0.4794
NM_030978	chr9(.):127626483-127644696	0.7972
NM_007209	chr9(.):127615157-127629240	0.4962
NM_005489	chr9(.):130495595-130538621	0.3167
NM_001142532	chr9(.):130495595-130529697	0.2792
NM_001142533	chr9(.):130495595-130522583	0.3269
NM_001142531	chr9(.):130495595-130529719	0.2791
NM_001142534	chr9(.):130495595-130522561	0.327
NM_170600	chr9(.):130495595-130546048	0.6347
NM_001085347	chr9(.):130488802-130502604	0.5881
NM_001018078	chr9(.):130560507-130581556	0.3225
NM_001261	chr9(.):130543304-130558052	0.7076
NM_004957	chr9(.):130560153-130581556	0.3214
NR_036055	chr9(.):130543196-130553286	0.9527
NM_001035254	chr9(.):130697860-130747812	0.4988
NM_003863	chr9(.):130692373-130705763	0.3461
NM_203305	chr9(.):130697860-130717993	0.2407
NM_001135219	chr9(.):130678807-130698076	0.8377
NM_173492	chr9(.):130678807-130694770	0.986
