GENE_ID	locusLine	bin_1_26_0F2C_0229Kronos_MM1S-KB-3hr-2_H3K27me3_hs-dm_i13.bam
NM_004959	chr9(.):127238514-127274699	1.3503
NM_002316	chr9(.):129371721-129468311	1.6876
NM_014064	chr9(.):132383434-132402879	0.2838
NM_017873	chr9(.):132391882-132409444	0.3605
NM_016307	chr9(.):132422919-132489951	1.5488
NM_016520	chr9(.):132584563-132602572	0.0857
NM_000113	chr9(.):132570220-132591441	0.0736
NM_006676	chr9(.):132592695-132649107	0.0546
NM_014506	chr9(.):132560431-132578560	0.1551
NM_001008563	chr9(.):132592756-132649107	0.0546
NM_014286	chr9(.):132929856-133004583	1.4135
NM_001128826	chr9(.):132957871-133004583	1.2555
NM_000050	chr9(.):133315093-133381661	0.7052
NM_003934	chr9(.):133449959-133518739	0.0896
NM_021619	chr9(.):133534980-133563384	1.253
NR_027440	chr9(.):133447736-133459881	0.2493
NM_014285	chr9(.):133564157-133585452	0.0811
NM_198180	chr9(.):133763814-133774225	0.7556
NM_032843	chr9(.):133772824-133819239	2.0596
NM_001145106	chr9(.):133772824-133819455	2.0563
NM_001185095	chr9(.):133966862-134003539	1.0634
NM_032536	chr9(.):135032333-135123220	1.6157
NM_001135031	chr9(.):135849097-135872084	1.6185
NM_020469	chr9(.):136125562-136155630	1.019
NM_014581	chr9(.):136075665-136089628	1.4308
NM_133640	chr9(.):136202754-136219972	0.1073
NR_002447	chr9(.):136211250-136221325	0.1031
NM_000972	chr9(.):136210068-136223280	0.1072
NM_003172	chr9(.):136213665-136228361	0.0932
NR_000017	chr9(.):136211948-136222019	0.1056
NM_017503	chr9(.):136218420-136233040	0.0639
NR_000016	chr9(.):136212700-136222767	0.1071
NR_002448	chr9(.):136212310-136222382	0.1054
NM_020385	chr9(.):136266185-136288164	0.1973
NM_006753	chr9(.):136192551-136208047	0.2504
NM_017586	chr9(.):136320086-136340909	0.6949
NM_001145099	chr9(.):136331215-136349276	0.6419
NM_001080515	chr9(.):136438536-136450368	1.8807
NM_001145320	chr9(.):136392285-136445641	1.5574
NM_014694	chr9(.):136394974-136445641	1.5371
NM_001080483	chr9(.):136374707-136395068	1.706
NM_000787	chr9(.):136496484-136529466	1.4653
NR_037460	chr9(.):137736020-137747490	0.236
NR_037469	chr9(.):137736970-137747118	0.2374
NM_015837	chr9(.):137767657-137784366	1.1971
NM_002003	chr9(.):137796430-137814806	1.0424
NM_006334	chr9(.):137962102-137994952	0.9152
NM_014279	chr9(.):137962088-138018030	1.0323
NM_014811	chr9(.):138366647-138385739	0.228
NM_001048265	chr9(.):138382025-138396761	0.5415
NM_016034	chr9(.):138387482-138401519	0.4308
NM_002297	chr9(.):138408285-138423378	0.6648
NM_182974	chr9(.):138510501-138536386	0.4968
NM_001001676	chr9(.):138550167-138562755	1.2164
NM_001101677	chr9(.):138580254-138596374	1.5689
NM_016172	chr9(.):138819814-138858226	0.2227
NM_152833	chr9(.):139001426-139015731	0.3957
NM_178138	chr9(.):139083095-139101955	1.3458
NM_181701	chr9(.):139093181-139142687	0.3338
NM_014564	chr9(.):139083095-139100004	1.4907
NM_001145638	chr9(.):139216931-139259057	2.0954
NM_001080849	chr9(.):139251351-139263241	0.6805
NM_052813	chr9(.):139253407-139273133	0.6864
NM_001145639	chr9(.):139242508-139259057	1.4495
NR_026964	chr9(.):139211997-139226779	1.6167
NM_015597	chr9(.):139216931-139241288	2.4878
NM_003086	chr9(.):139265028-139297889	0.2122
NM_017617	chr9(.):139383895-139445238	0.1182
NM_006412	chr9(.):139562594-139586911	2.3365
NM_016215	chr9(.):139552381-139572130	2.3559
NR_029695	chr9(.):139560053-139570138	2.2378
NM_201446	chr9(.):139552376-139572130	2.3556
NM_178469	chr9(.):139643839-139657731	1.7313
NM_032928	chr9(.):139680776-139692769	0.5152
NM_203347	chr9(.):139649085-139663965	1.2699
NR_002958	chr9(.):139616198-139626331	0.3405
NR_024542	chr9(.):139614045-139627636	0.4032
NM_152421	chr9(.):139602023-139624170	1.2771
NM_198946	chr9(.):139633468-139647980	2.2713
NM_001001712	chr9(.):139627618-139642411	2.1635
NR_002975	chr9(.):139615555-139625689	0.3639
NM_001039374	chr9(.):139685789-139707193	0.2903
NR_024580	chr9(.):139693378-139708300	0.1781
NR_033913	chr9(.):139635612-139649363	2.2107
NM_178536	chr9(.):139841767-139854949	1.3783
NM_000606	chr9(.):139834697-139846426	0.4164
NM_018998	chr9(.):139829886-139844173	0.242
NM_004669	chr9(.):139884059-139896024	0.9869
NM_015392	chr9(.):139928908-139945676	2.1898
NM_001246	chr9(.):139937552-139953505	1.9922
NM_183241	chr9(.):139881869-139893428	1.1566
NR_027447	chr9(.):139974397-139986269	0.0958
NM_207511	chr9(.):139916915-139936234	1.7481
NM_000954	chr9(.):139866955-139881194	1.9962
NM_001606	chr9(.):139896685-139927740	1.3303
NM_207309	chr9(.):139966952-139983990	0.1496
NM_207510	chr9(.):139872444-139885210	1.9802
NM_004479	chr9(.):139919625-139932292	1.834
NM_178448	chr9(.):139951578-139970028	0.4015
NM_212533	chr9(.):139896685-139928374	1.3378
NM_001144026	chr9(.):140095118-140118813	0.122
NM_053045	chr9(.):140093534-140105090	0.1036
NM_000832	chr9(.):140028608-140068214	1.597
NM_001128228	chr9(.):140081068-140100163	0.0945
NM_003731	chr9(.):140078053-140089822	0.0958
NM_001013653	chr9(.):140058211-140069491	2.4859
NM_013366	chr9(.):140064235-140088057	0.5888
NM_031297	chr9(.):140109706-140120775	0.2909
NM_013379	chr9(.):139999991-140014195	0.3044
NR_037416	chr9(.):140058637-140068722	2.6117
NM_017723	chr9(.):140167279-140182093	0.1942
NM_001004353	chr9(.):140140729-140152934	0.3467
NM_001001710	chr9(.):140133036-140147222	0.3595
NM_199001	chr9(.):140114643-140125763	1.2261
NM_015456	chr9(.):140144758-140173000	0.1484
NM_001004354	chr9(.):140189082-140201703	1.2732
NM_001178064	chr9(.):140337022-140358786	0.441
NM_001033113	chr9(.):140323815-140340901	1.7911
NM_006647	chr9(.):140312846-140333858	1.6623
NM_021949	chrX(.):152796579-152853387	0.8362
NM_005629	chrX(.):152948751-152967048	0.2508
NM_001142806	chrX(.):152949965-152967048	0.24
NM_001711	chrX(.):152755346-152780004	0.8962
NM_017518	chrX(.):152708122-152741603	0.0949
NM_080701	chrX(.):152705177-152716945	0.0729
NM_001039582	chrX(.):152930187-152944816	0.6046
NM_001395	chrX(.):152902896-152921781	0.8698
NM_152274	chrX(.):152848382-152869632	0.0761
NM_001135740	chrX(.):152930187-152943743	0.6331
NM_022124	chr10(.):73151690-73580704	0.6019
NM_052836	chr10(.):73151690-73412219	0.7069
NM_001171931	chr10(.):73151690-73472264	0.6923
NM_001171930	chr10(.):73151690-73497481	0.6613
NM_170744	chr10(.):72967297-73065749	0.8077
NM_001171932	chr10(.):73151690-73382362	0.6783
NM_001146274	chr10(.):114705008-114932436	0.3454
NM_001083914	chr10(.):126671417-126854624	0.7839
NM_001329	chr10(.):126671417-126854103	0.7842
NM_152643	chr10(.):134968970-135044916	1.0253
NM_145306	chr10(.):71385002-71398355	0.1889
NR_033413	chr10(.):73074009-73128147	0.0965
NM_003987	chr10(.):102500467-102594698	1.0357
NR_029380	chr10(.):102984350-103003616	0.984
NM_006562	chr10(.):102981732-102993717	1.5344
NM_022802	chr10(.):126671417-126721453	0.7966
NR_036178	chr10(.):126716351-126726439	0.7781
NM_173572	chr10(.):134737688-134761089	1.0965
NM_001083909	chr10(.):134896408-134950179	0.7846
NM_014468	chr10(.):135046407-135060433	1.4098
NM_001109	chr10(.):135070919-135095407	0.184
NM_003577	chr10(.):135038777-135050062	1.0678
NR_030170	chr10(.):135056014-135066124	1.7928
NM_020896	chr11(.):3103345-3191582	0.1656
NM_003957	chr11(.):1406128-1488328	1.0259
NM_053005	chr11(.):1485684-1790501	1.0099
NM_181798	chr11(.):2477683-2875340	0.0663
NM_000218	chr11(.):2461220-2875340	0.0696
NM_021926	chr11(.):44277277-44336716	0.4163
NM_004200	chr11(.):61277784-61353298	1.4753
NM_006133	chr11(.):61442904-61519474	1.6382
NM_015080	chr11(.):64368645-64495660	1.288
NR_030691	chr11(.):69926515-70040652	1.2207
NM_018043	chr11(.):69919407-70040652	1.2012
NM_012309	chr11(.):70308960-70940808	0.707
NM_018161	chr11(.):71159216-71217581	0.0567
NM_138329	chr11(.):273569-290304	0.631
NM_006435	chr11(.):303106-314410	1.0913
NM_025092	chr11(.):284137-300688	0.7105
NM_003641	chr11(.):308990-320272	1.3325
NM_178537	chr11(.):364794-387117	1.3548
NM_001025295	chr11(.):293202-304526	0.8467
NM_021034	chr11(.):314672-325914	1.3009
NM_021805	chr11(.):400715-422397	1.1824
NM_007183	chr11(.):389216-409908	1.0044
NM_001135054	chr11(.):400715-419999	1.2574
NM_001012302	chr11(.):412929-447011	0.8597
NR_002585	chr11(.):806680-816814	0.0801
NM_001025239	chr11(.):837823-872116	1.1175
NM_001025234	chr11(.):839080-872116	1.1578
NM_145886	chr11(.):794178-810250	0.0872
NM_021128	chr11(.):834720-847529	0.7274
NM_001142674	chr11(.):862858-915874	0.1304
NM_139029	chr11(.):827951-843835	0.4679
NM_173584	chr11(.):822584-836991	0.5239
NM_024698	chr11(.):785474-801263	0.0961
NM_001004	chr11(.):804935-817876	0.0794
NM_001025237	chr11(.):839445-872116	1.1693
NM_020376	chr11(.):813900-830571	0.3173
NM_001191060	chr11(.):785474-802995	0.0872
NM_001191061	chr11(.):785474-803269	0.087
NM_001025235	chr11(.):837940-872116	1.1212
NM_005961	chr11(.):1007823-1041706	0.8983
NM_002457	chr11(.):1069874-1109417	1.3848
NM_002458	chr11(.):1239294-1288406	1.2461
NM_004420	chr11(.):1570280-1598150	0.7592
NM_001001480	chr11(.):1646032-1657159	1.9086
NM_001004325	chr11(.):1613406-1624524	1.1574
NM_001012709	chr11(.):1637187-1648368	1.5241
NR_021489	chr11(.):1588970-1625414	1.2201
NR_026643	chr11(.):1681828-1694086	1.9776
NM_001012708	chr11(.):1623794-1634693	1.4573
NM_001005922	chr11(.):1600571-1611513	1.2734
NM_001909	chr11(.):1768984-1790222	0.4251
NR_026642	chr11(.):1699499-1711859	1.6185
NM_001012416	chr11(.):1713424-1723985	1.52
NM_001170820	chr11(.):1751029-1774349	0.9984
NM_138567	chr11(.):1850673-1863750	1.6556
NM_002339	chr11(.):1869199-1918493	0.5666
NM_001042782	chr11(.):1935798-1964936	1.7452
NM_001145829	chr11(.):1855718-1867910	1.4251
NM_001013253	chr11(.):1884902-1918493	0.6769
NM_001145841	chr11(.):1856431-1867910	1.3236
NM_001013255	chr11(.):1887153-1918493	0.6744
NM_003282	chr11(.):1855232-1867910	1.4574
NM_001013254	chr11(.):1887098-1918493	0.6745
NR_036185	chr11(.):1875693-1885766	0.2721
NR_030533	chr11(.):2012988-2023061	2.3544
NM_021134	chr11(.):1963501-1982839	0.4019
NR_024471	chr11(.):1999438-2016150	2.6512
NR_002196	chr11(.):2011405-2024065	2.4275
NM_001127598	chr11(.):2145346-2167341	1.4084
NM_199292	chr11(.):2180158-2198035	1.6038
NM_001185098	chr11(.):2176008-2187439	1.4962
NR_028044	chr11(.):2156757-2174896	1.6775
NR_003512	chr11(.):2145341-2187439	1.5257
NM_001042376	chr11(.):2162852-2187439	1.612
NM_001007139	chr11(.):2145346-2175833	1.5233
NM_000612	chr11(.):2145346-2165204	1.357
NR_030158	chr11(.):2150363-2160439	1.8181
NR_024621	chr11(.):2312506-2328143	1.4624
NM_005170	chr11(.):2284727-2297182	0.8337
NM_139022	chr11(.):2318242-2344430	1.5243
NM_004356	chr11(.):2393546-2423649	1.1207
NM_005706	chr11(.):2418522-2430106	0.9058
NM_014555	chr11(.):2420745-2449275	1.9463
NR_027138	chr11(.):3234561-3249361	0.8471
NM_001164377	chr11(.):3234173-3245043	0.8678
NM_001039165	chr11(.):3244040-3258616	0.6314
NM_145017	chr11(.):61243584-61263400	1.0957
NM_001145077	chr11(.):61271271-61283490	1.1693
NR_002775	chr11(.):61377507-61411921	0.9877
NM_001127392	chr11(.):61515120-61560989	0.995
NM_013402	chr11(.):61562096-61589529	0.0815
NM_013279	chr11(.):61517860-61560989	0.9622
NM_014206	chr11(.):61551601-61565085	0.0712
NM_004111	chr11(.):61555149-61569710	0.0733
NR_031729	chr11(.):61577632-61587712	0.1129
NR_026882	chr11(.):61516500-61530136	1.5187
NR_030342	chr11(.):61554966-61565033	0.0724
NM_032251	chr11(.):64102689-64130006	0.0688
NM_001006944	chr11(.):64121624-64144687	0.1348
NR_031602	chr11(.):64131073-64141175	0.0559
NM_018484	chr11(.):64318097-64343999	1.3036
NM_138734	chr11(.):64368645-64415787	1.2329
NM_144585	chr11(.):64353281-64374820	1.2166
NM_004630	chr11(.):64527075-64551316	0.0776
NM_001164716	chr11(.):64508860-64533187	0.9642
NM_001098671	chr11(.):64489382-64516630	1.6979
NM_001178030	chr11(.):64527075-64550938	0.0789
NM_001178031	chr11(.):64527075-64550232	0.0771
NM_001098670	chr11(.):64489382-64517329	1.6779
NM_153819	chr11(.):64489382-64517928	1.6624
NM_198923	chr11(.):68742489-68753455	0.6215
NM_001098515	chr11(.):68766861-68785850	1.8
NM_139075	chr11(.):68811349-68863072	0.0888
NM_153451	chr11(.):69475331-69495165	0.1358
NM_002007	chr11(.):69582796-69595171	1.0325
NM_005117	chr11(.):69508005-69524106	1.1722
NM_005247	chr11(.):69619735-69639192	0.9993
NM_003824	chr11(.):70044268-70058508	0.2951
NR_037437	chr11(.):70713374-70723473	0.7427
NM_001360	chr11(.):71140456-71164477	0.1297
NM_172364	chr12(.):1896122-2032870	0.5246
NM_001168320	chr12(.):3181520-3400730	0.9959
NM_006897	chr12(.):54388876-54402120	2.0343
NM_002332	chr12(.):57517281-57612125	0.981
NM_001163926	chr12(.):1924432-1950918	1.3811
NR_026948	chr12(.):50297665-50310646	0.2098
NM_001652	chr12(.):50361619-50375922	0.5647
NM_001651	chr12(.):50350278-50364461	1.2298
NM_000486	chr12(.):50339523-50357664	0.7885
NM_001130015	chr12(.):52276792-52290505	0.1895
NM_001013690	chr12(.):52206675-52221208	0.7176
NM_181711	chr12(.):52395747-52414671	1.2339
NM_002135	chr12(.):52440190-52458287	0.2595
NM_021934	chr12(.):52458757-52476279	0.1799
NM_005556	chr12(.):52621953-52647709	0.6489
NR_027358	chr12(.):52599713-52622597	0.6213
NM_002281	chr12(.):52674696-52690299	0.4822
NM_182507	chr12(.):52557779-52590784	0.9708
NM_002283	chr12(.):52748789-52766309	1.1301
NM_002282	chr12(.):52703084-52720182	1.136
NM_002284	chr12(.):52690648-52707947	0.9579
NM_014212	chr12(.):54361909-54375203	1.5785
NM_017409	chr12(.):54373945-54389062	1.807
NR_029617	chr12(.):54380521-54390631	1.677
NM_173860	chr12(.):54343713-54355350	2.0296
NR_003716	chr12(.):54351095-54367515	1.6818
NM_017410	chr12(.):54327575-54345328	1.2809
NM_153693	chr12(.):54405641-54429607	1.5258
NM_018953	chr12(.):54421831-54434144	1.737
NM_153633	chr12(.):54442660-54454814	0.6444
NR_026658	chr12(.):54467622-54480607	0.2827
NM_004503	chr12(.):54417193-54429607	1.7407
NM_022658	chr12(.):54397889-54411545	1.9102
NR_026655	chr12(.):54447037-54521018	0.3669
NR_003084	chr12(.):54405641-54434144	1.518
NM_014620	chr12(.):54405641-54454814	1.1878
NR_030753	chr12(.):54422733-54432829	1.8044
NM_001127322	chr12(.):54619730-54658329	0.045
NM_001127321	chr12(.):54619730-54658370	0.0451
NM_014311	chr12(.):54570251-54587757	0.2738
NM_020142	chr12(.):57623685-57639475	0.8551
NM_001166357	chr12(.):57619142-57633718	0.489
NR_029416	chr12(.):57618827-57633718	0.5037
NR_029417	chr12(.):57618355-57633718	0.5432
NR_029415	chr12(.):57619110-57633718	0.49
NM_007224	chr12(.):57605577-57625232	1.5192
NM_145064	chr12(.):57632241-57649969	0.6263
NR_031597	chr12(.):57583286-57593359	1.5758
NM_001112732	chr13(.):113617756-113757862	1.3431
NM_019616	chr13(.):113755104-113779995	0.8614
NM_024979	chr13(.):113628654-113757862	1.3508
NR_034002	chr13(.):113616797-113627952	1.1962
NM_000504	chr13(.):113772112-113808843	0.7855
NM_024719	chr13(.):113973504-114023463	0.598
NM_138430	chr13(.):114071583-114112839	0.3512
NM_199162	chr13(.):114071259-114108457	0.3952
NM_207379	chr14(.):105055419-105076097	0.6302
NM_001008404	chr14(.):105041055-105061183	1.01
NM_025055	chr15(.):74523666-74633482	1.1683
NM_000057	chr15(.):91255578-91363686	0.0566
NR_036195	chr15(.):42153692-42163749	1.7076
NM_005090	chr15(.):42115282-42145346	0.2049
NM_001114633	chr15(.):42126010-42145346	0.2689
NM_016642	chr15(.):42135343-42191275	0.923
NM_001130137	chr15(.):74416995-74434143	1.0539
NM_001130138	chr15(.):74417589-74434143	1.0481
NM_001130136	chr15(.):74416714-74434143	1.0493
NR_027073	chr15(.):74413713-74426619	1.2082
NM_020851	chr15(.):74417742-74434143	1.0501
NM_001142617	chr15(.):74466807-74506371	1.2238
NM_022369	chr15(.):74466807-74500220	1.2778
NM_001142618	chr15(.):74466807-74500556	1.2799
NM_005545	chr15(.):74461086-74474212	1.1341
NM_201526	chr15(.):74461904-74474212	1.1762
NM_001142620	chr15(.):74481728-74506371	1.1446
NM_001199041	chr15(.):74466807-74505395	1.2356
NM_001199040	chr15(.):74466807-74507046	1.2197
NM_000781	chr15(.):74625102-74665081	0.464
NM_182791	chr15(.):74605899-74633482	1.1394
NM_001099773	chr15(.):74625102-74663553	0.4711
NR_027024	chr15(.):78201558-78224188	0.4623
NR_036495	chr15(.):79039378-79050734	0.2437
NM_014272	chr15(.):79046544-79108773	0.6586
NM_001126131	chr15(.):89854535-89883026	0.0528
NR_029692	chr15(.):89906247-89916337	1.8179
NR_015411	chr15(.):89916272-89946718	0.4435
NR_002939	chr16(.):29297540-29390597	0.5079
NM_022493	chr16(.):774768-795997	0.3844
NM_022773	chr16(.):898634-1025984	1.1791
NR_033645	chr16(.):898634-1036318	1.2077
NM_001193388	chr16(.):1408205-1469705	0.056
NM_014714	chr16(.):1555427-1667109	0.4546
NM_001009606	chr16(.):1956464-1973231	1.4728
NM_024507	chr16(.):3009216-3023381	0.845
NM_001089	chr16(.):2320878-2395747	1.141
NM_020764	chr16(.):2222183-2251465	1.2691
NM_001098514	chr16(.):5089122-5121111	0.5465
NM_032259	chr16(.):729701-745400	0.4897
NM_001031737	chr16(.):767581-781473	0.3822
NM_138418	chr16(.):686848-703474	0.0789
NM_023933	chr16(.):766157-777590	0.61
NM_032304	chr16(.):772265-784715	0.2169
NM_138769	chr16(.):713132-729171	0.144
NM_005861	chr16(.):725114-737768	0.1443
NM_003961	chr16(.):721074-733267	0.1606
NM_207112	chr16(.):771957-784715	0.215
NM_145294	chr16(.):694362-722829	0.0591
NM_153350	chr16(.):737499-760825	1.5844
NM_001005920	chr16(.):726666-739439	0.1201
NM_024042	chr16(.):760172-772480	1.0255
NM_005823	chr16(.):805764-823865	1.3383
NM_058192	chr16(.):829973-843383	0.7392
NM_022092	chr16(.):833621-853074	0.4493
NM_016541	chr16(.):843040-855733	0.6209
NM_013404	chr16(.):806072-823865	1.3382
NM_001013638	chr16(.):850442-868861	1.1867
NR_030384	chr16(.):815182-825277	1.557
NM_001025190	chr16(.):814427-837926	1.5565
NM_001177355	chr16(.):805765-823865	1.3379
NR_036442	chr16(.):1020760-1036318	1.5053
NM_014587	chr16(.):1026807-1041979	1.6842
NR_027242	chr16(.):1109081-1133731	1.567
NM_001053	chr16(.):1123780-1136454	1.5102
NM_207419	chr16(.):1133225-1151244	1.3291
NM_001172560	chr16(.):1117755-1136454	1.4702
NM_021098	chr16(.):1198240-1276772	1.9202
NM_024164	chr16(.):1273335-1285185	1.9066
NM_003294	chr16(.):1285677-1297555	1.8491
NM_012467	chr16(.):1266650-1280254	2.4493
NM_012217	chr16(.):1301272-1313494	1.911
NM_003345	chr16(.):1354637-1380390	0.1186
NM_194261	chr16(.):1354179-1380390	0.1231
NM_023076	chr16(.):1408205-1434684	0.0601
NM_194260	chr16(.):1354360-1380390	0.1212
NM_001199097	chr16(.):1378605-1404442	0.8925
NM_003933	chr16(.):1379504-1404442	0.9146
NM_001199096	chr16(.):1381197-1404442	0.9545
NM_001287	chr16(.):1489934-1530085	0.2279
NM_016111	chr16(.):1538351-1565460	0.2583
NM_001143980	chr16(.):1479388-1499490	1.6025
NM_001010878	chr16(.):1464943-1484345	1.1346
NM_001013658	chr16(.):1530939-1543468	1.2984
NM_024600	chr16(.):1579230-1610243	0.795
NM_152764	chr16(.):1878988-1927102	0.167
NM_001163560	chr16(.):1878983-1927179	0.1668
NR_033914	chr16(.):1923285-1939232	0.2238
NM_002952	chr16(.):2007061-2019827	0.2335
NR_002327	chr16(.):2007334-2017467	0.2504
NR_002326	chr16(.):2007973-2018107	0.1999
NM_004548	chr16(.):2004516-2016976	0.4479
NM_016332	chr16(.):1983233-1998294	0.3734
NM_005061	chr16(.):1989579-2009679	0.6886
NM_006453	chr16(.):2017063-2033751	0.4819
NR_003142	chr16(.):2009996-2020505	0.1271
NR_003020	chr16(.):2010184-2020311	0.1317
NM_174903	chr16(.):2011874-2023976	0.124
NM_014353	chr16(.):2193650-2209141	0.3786
NR_002736	chr16(.):2200023-2210106	0.1345
NM_000296	chr16(.):2133710-2190899	0.0766
NM_032271	chr16(.):2200798-2233130	0.1025
NR_037467	chr16(.):2180977-2191130	0.1465
NM_022372	chr16(.):2250177-2264418	0.298
NM_004424	chr16(.):2268566-2290743	0.1942
NM_001374	chr16(.):2281467-2293712	0.2624
NM_182563	chr16(.):2254253-2266069	0.0874
NM_001919	chr16(.):2284872-2306602	0.1702
NR_030636	chr16(.):2316747-2326841	0.4669
NM_001042371	chr16(.):2256602-2269822	0.0744
NM_001199174	chr16(.):2250731-2264418	0.2411
NR_037448	chr16(.):2315713-2325773	0.2703
NM_006711	chr16(.):2298099-2322858	0.0723
NM_080594	chr16(.):2298099-2323413	0.0762
NR_003574	chr16(.):2385922-2481700	0.1998
NM_007108	chr16(.):2816414-2832297	0.2132
NM_145252	chr16(.):2875172-2887285	1.8681
NM_006799	chr16(.):2862163-2876718	1.6709
NM_152891	chr16(.):2828953-2841708	1.2101
NM_001135086	chr16(.):2843485-2860133	0.6745
NM_022119	chr16(.):2897727-2913171	1.0516
NR_026864	chr16(.):2884573-2897752	0.9065
NM_001142499	chr16(.):2928195-2954383	0.2038
NM_001012634	chr16(.):3110638-3124668	0.8885
NM_001012632	chr16(.):3110662-3124668	0.889
NM_020982	chr16(.):3057456-3069506	1.9441
NM_004221	chr16(.):3110312-3124668	0.8917
NM_001142350	chr16(.):3069031-3082756	1.2327
NM_032805	chr16(.):3133894-3147861	0.9005
NM_017885	chr16(.):3067625-3079287	0.7608
NM_152341	chr16(.):3014341-3028485	0.2632
NM_001012636	chr16(.):3110784-3124668	0.8875
NM_001012635	chr16(.):3110611-3124668	0.8885
NM_001103175	chr16(.):3072867-3090542	1.6864
NM_016639	chr16(.):3065312-3077383	0.9257
NM_021195	chr16(.):3059712-3073188	1.6094
NM_022468	chr16(.):3091681-3115724	1.3696
NR_033861	chr16(.):3034054-3049510	2.2315
NM_004203	chr16(.):3017791-3035540	0.2861
NM_014692	chr16(.):5003317-5074156	0.8483
NM_016256	chr16(.):5069844-5088942	0.4831
NM_019109	chr16(.):5116809-5142380	0.1195
NM_052874	chr16(.):30995576-31026829	0.8322
NM_014712	chr16(.):30963614-31000981	0.0569
NM_001142778	chr16(.):30991518-31005473	0.1135
NM_004604	chr16(.):31039902-31056485	0.0996
NM_152288	chr16(.):30955404-30971259	0.0624
NM_001172670	chr16(.):31067163-31081409	0.0754
NM_198491	chr16(.):85126964-85151114	0.6426
NR_033984	chr16(.):85165755-85188049	0.8677
NM_001127464	chr16(.):88488878-88512165	1.2097
NM_153813	chr16(.):88515013-88606574	0.0903
NM_021962	chr17(.):901758-1088131	0.6675
NM_001159746	chr17(.):901758-1095616	0.7137
NM_025248	chr17(.):36681258-36767183	1.3147
NM_002055	chr17(.):42977992-42997914	0.8496
NM_153209	chr17(.):72317350-72356959	1.2296
NM_173628	chr17(.):76414777-76578476	1.0846
NM_020761	chr17(.):78513624-78945173	0.0721
NM_022463	chr17(.):697584-888010	1.2758
NM_001092	chr17(.):901758-1017324	0.0693
NM_001190413	chr17(.):57179-207633	0.8819
NM_015721	chr17(.):642660-660501	0.0841
NM_015085	chr17(.):2694731-2946035	0.3961
NM_001105538	chr17(.):4437190-4463681	0.1187
NM_153357	chr17(.):6939948-6952242	0.9567
NM_018081	chr17(.):7586666-7611820	0.437
NM_001143991	chr17(.):7585757-7611820	0.4246
NM_020877	chr17(.):7618038-7742058	1.1416
NM_001143990	chr17(.):7584388-7611820	0.4074
NM_004382	chr17(.):43856645-43918194	1.2135
NM_003110	chr17(.):45968515-46011323	0.0635
NM_002507	chr17(.):47567654-47597382	1.5458
NM_003786	chr17(.):48707217-48774063	0.3766
NM_022827	chr17(.):48619561-48638213	0.6622
NM_030779	chr17(.):61595694-61628602	0.6007
NM_032646	chr17(.):72204695-72263157	0.7355
NM_178128	chr17(.):72868472-72894705	1.2137
NM_181449	chr17(.):72601021-72624897	1.1486
NM_006456	chr17(.):74556460-74587145	0.4689
NM_024419	chr17(.):76369734-76425639	0.1464
NM_001082575	chr17(.):77080426-77483563	1.5809
NM_019020	chr17(.):77908818-78014647	1.415
NR_029376	chr17(.):78320630-78393968	0.1968
NM_014740	chr17(.):78104012-78125982	0.1197
NM_001009811	chr17(.):79158392-79201751	0.159
NM_017451	chr17(.):79003946-79096232	2.3366
NM_017450	chr17(.):79003946-79089312	2.3868
NM_178520	chr17(.):79280071-79309474	1.7662
NM_001080519	chr17(.):79368539-79438358	2.0778
NM_001009905	chr17(.):80896666-81014686	0.5336
NR_024120	chr17(.):650899-663576	0.1031
NM_016080	chr17(.):657548-690571	0.0702
NM_018146	chr17(.):680512-700741	0.1675
NM_013337	chr17(.):895356-910390	0.1936
NR_036148	chr17(.):920715-930799	0.0383
NM_001164405	chr17(.):1168857-1179565	1.0132
NM_172367	chr17(.):1177956-1209281	1.3394
NM_178568	chr17(.):1832970-1933178	1.5138
NM_001383	chr17(.):1928430-1951725	0.5161
NM_080822	chr17(.):1940276-1951725	0.1326
NM_001098202	chr17(.):1954603-1967981	0.5254
NR_029625	chr17(.):1948564-1958674	0.7766
NM_006497	chr17(.):1953392-1967981	0.5919
NR_029674	chr17(.):1948201-1958302	0.7674
NM_015229	chr17(.):2587679-2619927	0.0555
NR_031654	chr17(.):2646371-2656476	1.0472
NM_001122890	chr17(.):4455221-4468876	0.1145
NM_001140	chr17(.):4529213-4549960	0.8014
NM_001114974	chr17(.):4482833-4516614	1.5208
NM_198501	chr17(.):4482275-4516614	1.5157
NM_182906	chr17(.):6972855-6988600	0.9636
NM_080913	chr17(.):6999640-7023128	1.1392
NM_080914	chr17(.):6999640-7022629	1.1504
NM_001143775	chr17(.):7141905-7159995	0.0724
NM_015982	chr17(.):7186570-7202876	1.6511
NM_001185023	chr17(.):7158221-7171264	0.9393
NM_001185022	chr17(.):7158221-7171512	0.9437
NM_001128827	chr17(.):7088209-7125928	1.1589
NM_000018	chr17(.):7118152-7133585	0.2634
NM_004422	chr17(.):7123660-7142863	0.0607
NM_007278	chr17(.):7138737-7150753	0.0642
NM_024297	chr17(.):7133346-7147825	0.0749
NM_001365	chr17(.):7088209-7128369	1.0921
NM_203415	chr17(.):7150371-7168259	0.5047
NM_015362	chr17(.):7150550-7168259	0.5098
NM_001042	chr17(.):7180053-7196367	1.5631
NM_015343	chr17(.):7141905-7160259	0.0722
