REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X01_0EWN_0229Kronos_MM1S.No.Treatment.1_H3K18Ac_hs.dm_i02.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper
1_MACS_peak_17965_lociStitched	chr20	56046978	56058701	1	11724	35050.5977	2508.722	188		CTCFL	CTCFL	188	1
6_MACS_peak_9808_lociStitched	chr15	74657891	74696744	6	20713	38728.6704	6208.7094	189	CYP11A1	CCDC33,SEMA7A	CYP11A1	189	1
1_MACS_peak_6097_lociStitched	chr12	4377395	4388508	1	11114	34852.5906	2357.0673	190	CCND2	C12orf5	CCND2	190	1
3_MACS_peak_13577_lociStitched	chr19	2254549	2272189	3	13326	36749.412	4591.692	191	OAZ1,JSRP1	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,C19orf35,LINGO3	OAZ1	191	1
2_MACS_peak_15483_lociStitched	chr2	70309917	70323404	2	9668	34977.1858	2861.9414	192	PCBP1,LOC400960	LOC100133985	PCBP1	192	1
4_MACS_peak_14619_lociStitched	chr19	56328877	56352042	4	15899	36197.629	4095.572	193	NLRP4,NLRP11		NLRP4	193	1
2_MACS_peak_12926_lociStitched	chr18	9132525	9157597	2	23700	37023.8224	4931.6624	194	NDUFV2,ANKRD12		ANKRD12	194	1
3_MACS_peak_19629_lociStitched	chr3	46245401	46264316	3	13454	36159.8055	4083.7485	195	CCR1	CCR3	CCR1	195	1
2_MACS_peak_18586_lociStitched	chr22	23470675	23489187	2	12529	35931.792	3859.752	196	RAB36,RTDR1	BCR	RTDR1	196	1
2_MACS_peak_27728_lociStitched	chr7	150100673	150115194	2	11162	35743.4415	3711.5676	197	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	197	1
2_MACS_peak_14449_lociStitched	chr19	47728189	47748963	2	15069	35791.5246	3791.255	198	MIR3190,BBC3,MIR3191	CCDC9,PRR24	BBC3	198	1
1_MACS_peak_22563_lociStitched	chr4	185200354	185211040	1	10687	34440.978	2618.07	199			ENPP6	199	1
7_MACS_peak_10144_lociStitched	chr15	93346128	93389192	7	20079	39033.2096	7234.752	200		ASB9P1,LOC100507217	ASB9P1	200	1
3_MACS_peak_5104_lociStitched	chr11	62308087	62325931	3	16314	35406.0648	3641.9604	201	AHNAK	EEF1G,TUT1,MTA2	AHNAK	201	1
1_MACS_peak_23347_lociStitched	chr5	88170878	88187120	1	16243	35111.9556	3474.1638	202	MEF2C		MEF2C	202	1
3_MACS_peak_2300_lociStitched	chr1	192497531	192521396	3	20718	37816.479	6324.225	203		RGS1	RGS1	203	1
4_MACS_peak_29755_lociStitched	chr9	93907362	93928698	4	17225	35087.052	3684.7272	204			LOC100129316	204	1
3_MACS_peak_18665_lociStitched	chr22	29206996	29225702	3	17640	34982.0906	3638.317	205		CCDC117,XBP1	XBP1	205	1
4_MACS_peak_22571_lociStitched	chr4	185317362	185350264	4	23396	37238.4836	6142.8034	206	IRF2		IRF2	206	1
5_MACS_peak_6125_lociStitched	chr12	6551504	6580945	5	15483	36553.9456	5523.1316	207	CD27,TAPBPL,LOC678655,VAMP1	NCAPD2,SCARNA10,MRPL51	TAPBPL	207	1
3_MACS_peak_3854_lociStitched	chr10	81001043	81020509	3	17683	34715.6644	3692.7002	208	ZMIZ1		PPIF	208	1
3_MACS_peak_342_lociStitched	chr1	24511782	24533970	3	16968	35558.4888	4546.3212	209	LOC284632,IL28RA	IL22RA1	LOC284632	209	1
4_MACS_peak_24656_lociStitched	chr6	26183508	26207532	4	16165	35466.6312	4636.632	210	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	210	1
1_MACS_peak_11952_lociStitched	chr17	36855982	36863441	1	7460	32338.4945	1586.5293	211	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	211	1
1_MACS_peak_12134_lociStitched	chr17	43297980	43308530	1	10551	32908.615	2276.69	212	FMNL1	LOC100133991,C17orf46	FMNL1	212	1
5_MACS_peak_10213_lociStitched	chr15	101660475	101692558	5	22054	36468.7461	5858.3558	213			CHSY1	213	1
4_MACS_peak_3482_lociStitched	chr10	45913544	45932758	4	14710	33722.4914	3277.9084	214	ALOX5		ALOX5	214	1
1_MACS_peak_1030_lociStitched	chr1	66735421	66752819	1	17399	33682.528	3364.7732	215	PDE4B	PDE4B	PDE4B	215	1
4_MACS_peak_2223_lociStitched	chr1	183856340	183886005	4	22629	36671.873	6392.8075	216	RGL1		GLT25D2	216	1
5_MACS_peak_17721_lociStitched	chr20	42564847	42593917	5	22993	35395.632	5122.134	217	TOX2		TOX2	217	1
3_MACS_peak_16634_lociStitched	chr2	197023816	197048757	3	21030	35787.8409	5534.4079	218	STK17B		STK17B	218	1
3_MACS_peak_14911_lociStitched	chr2	25623270	25646117	3	13720	34441.8525	4324.9371	219	DTNB		DNMT3A	219	1
3_MACS_peak_11468_lociStitched	chr17	6059347	6074990	3	13902	33002.0371	2926.8053	220			WSCD1	220	1
4_MACS_peak_22865_lociStitched	chr5	32570893	32592435	4	18099	33816.6316	3797.8546	221	SUB1		SUB1	221	1
1_MACS_peak_23040_lociStitched	chr5	55436357	55454073	1	17717	33786.1836	3769.9648	222	ANKRD55		ANKRD55	222	1
2_MACS_peak_6742_lociStitched	chr12	53845681	53874860	2	29003	35863.9089	6031.2993	223	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	223	1
1_MACS_peak_11977_lociStitched	chr17	37909254	37916331	1	7078	31518.1272	1699.1877	224		GRB7,C17orf37	GRB7	224	1
5_MACS_peak_28077_lociStitched	chr8	27208496	27242184	5	25732	36396.5152	6592.7416	225	PTK2B	TRIM35	PTK2B	225	1
5_MACS_peak_10610_lociStitched	chr16	22194983	22219675	5	19078	34862.6348	5118.6516	226	EEF2K		EEF2K	226	1
3_MACS_peak_6948_lociStitched	chr12	68751879	68771157	3	17138	33572.637	3861.3834	227		MDM1	MDM1	227	1
10_MACS_peak_17915_lociStitched	chr20	52531005	52584491	10	25667	37814.602	8135.2206	228	BCAS1	SUMO1P1	SUMO1P1	228	1
1_MACS_peak_16524_lociStitched	chr2	182168513	182180079	1	11567	32062.1086	2470.4976	229			ITGA4	229	1
2_MACS_peak_17896_lociStitched	chr20	52194749	52216007	2	20744	33287.9022	3711.6468	230	ZNF217		ZNF217	230	1
2_MACS_peak_15646_lociStitched	chr2	86219374	86231074	2	11699	31747.95	2414.88	231		LOC90784	LOC90784	231	1
4_MACS_peak_12467_lociStitched	chr17	62960914	62986598	4	14942	33656.3136	4381.6904	232	AMZ2P1	LRRC37A3	AMZ2P1	232	1
5_MACS_peak_13567_lociStitched	chr19	2031339	2063008	5	14774	35782.8031	6564.9837	233	MKNK2	IZUMO4,BTBD2,MOBKL2A	MKNK2	233	1
7_MACS_peak_12648_lociStitched	chr17	74476183	74512695	7	19010	35150.1024	6002.5728	234	RHBDF2	AANAT,PRCD,SNORD1C,SNORD1B,SNORD1A,UBE2O,CYGB	RHBDF2	234	1
3_MACS_peak_24639_lociStitched	chr6	25365917	25390389	3	19960	33578.0312	4544.4504	235	LRRC16A		LRRC16A	235	1
3_MACS_peak_1894_lociStitched	chr1	159878006	159896475	3	13038	33451.0528	4513.8236	236	TAGLN2	VSIG8,CCDC19,IGSF9,SLAMF9	TAGLN2	236	1
1_MACS_peak_1756_lociStitched	chr1	154753725	154766699	1	12975	32641.2866	3798.7872	237	KCNN3		KCNN3	237	1
4_MACS_peak_19643_lociStitched	chr3	46421227	46460521	4	27352	36028.6686	7257.6018	238	CCRL2	CCR2,CCR5,LTF	CCRL2	238	1
6_MACS_peak_638_lociStitched	chr1	40029802	40072759	6	24731	35993.6703	7229.6631	239	PABPC4,SNORA55	PPIEL,HEYL	PABPC4	239	1
1_MACS_peak_27510_lociStitched	chr7	129587383	129593660	1	6278	30895.394	2166.8204	240	UBE2H		UBE2H	240	1
3_MACS_peak_1541_lociStitched	chr1	145182587	145212839	3	24610	42537.3372	13852.3908	241	NOTCH2NL		NOTCH2NL	241	1
2_MACS_peak_313_lociStitched	chr1	23850284	23867233	2	10483	32009.8814	3344.0377	242	E2F2	ASAP3,ID3	E2F2	242	1
5_MACS_peak_1762_lociStitched	chr1	154829970	154861066	5	17765	36516.0328	7870.3976	243	KCNN3	PMVK	KCNN3	243	1
3_MACS_peak_10480_lociStitched	chr16	12052338	12072044	3	13873	32313.8988	3688.9632	244	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	244	1
3_MACS_peak_28137_lociStitched	chr8	29621870	29637560	3	10176	31811.475	3197.622	245		C8orf75	C8orf75	245	1
4_MACS_peak_5506_lociStitched	chr11	82763373	82790291	4	16829	33846.6932	5275.928	246	RAB30	SNORA70E	RAB30	246	1
2_MACS_peak_9553_lociStitched	chr15	56648097	56666290	2	11861	31703.1218	3194.6908	247	TEX9		TEX9	247	1
3_MACS_peak_9663_lociStitched	chr15	65169222	65190099	3	11989	32192.334	3747.4215	248		PLEKHO2,ANKDD1A	ANKDD1A	248	1
2_MACS_peak_18822_lociStitched	chr22	37610621	37628755	2	15480	32458.0466	4034.815	249	RAC2	CYTH4,C1QTNF6,SSTR3	SSTR3	249	1
1_MACS_peak_8226_lociStitched	chr13	114556493	114568169	1	11677	31388.5908	3015.9108	250	GAS6	FLJ44054,GAS6	GAS6	250	1
3_MACS_peak_24284_lociStitched	chr5	180227328	180249627	3	16914	32594.4483	4256.8791	251	MGAT1	LOC729678,ZFP62	MGAT1	251	1
6_MACS_peak_18905_lociStitched	chr22	39630938	39666079	6	21827	33608.8524	5323.8615	252	PDGFB	SNORD83B,SNORD83A,RNU86,SNORD43,RPL3	PDGFB	252	1
1_MACS_peak_2567_lociStitched	chr1	209274318	209286078	1	11761	31673.208	3457.44	253			LOC642587	253	1
3_MACS_peak_2151_lociStitched	chr1	179048866	179061801	3	10623	31407.4735	3321.708	254	TOR3A		TOR3A	254	1
3_MACS_peak_9120_lociStitched	chr15	23658566	23682786	3	20085	31926.804	3853.402	255			MKRN3	255	1
2_MACS_peak_9955_lociStitched	chr15	81576073	81596259	2	15407	32531.7576	4479.2734	256	IL16	STARD5	IL16	256	1
1_MACS_peak_17746_lociStitched	chr20	43270196	43282438	1	12243	30525.427	2523.0762	257	ADA	LOC79015	ADA	257	1
1_MACS_peak_3614_lociStitched	chr10	63802907	63814958	1	12052	30475.7739	2481.3009	258	ARID5B		ARID5B	258	1
4_MACS_peak_5312_lociStitched	chr11	67760259	67789596	4	19100	33018.7935	5063.5662	259	ALDH3B1,UNC93B1	NDUFS8,TCIRG1	ALDH3B1	259	1
3_MACS_peak_5926_lociStitched	chr11	126056172	126069152	3	11696	30613.33	2690.754	260		FAM118B,RPUSD4	RPUSD4	260	1
1_MACS_peak_408_lociStitched	chr1	27018327	27031518	1	13192	30811.5378	2902.02	261	ARID1A		ARID1A	261	1
4_MACS_peak_11484_lociStitched	chr17	6914856	6940188	4	12294	31994.316	4248.1764	262	RNASEK,C17orf49,BCL6B,SLC16A13,MIR195,MIR497	ALOX12,SLC16A11,CLEC10A	BCL6B	262	1
3_MACS_peak_12554_lociStitched	chr17	70582453	70603720	3	17492	31515.5673	3777.0192	263	LOC100499467,FLJ26484		LOC100499467	263	1
4_MACS_peak_15875_lociStitched	chr2	109822821	109844398	4	20267	31884.3329	4237.7228	264	SH3RF3		MIR4265	264	1
1_MACS_peak_15134_lociStitched	chr2	42323024	42335231	1	12208	30323.4087	2709.954	265		PKDCC	PKDCC	265	1
2_MACS_peak_20056_lociStitched	chr3	98472560	98496574	2	18252	32118.725	4538.646	266	ST3GAL6		ST3GAL6	266	1
5_MACS_peak_9299_lociStitched	chr15	40329773	40358623	5	23552	32874.575	5322.825	267	SRP14	BMF	SRP14	267	1
6_MACS_peak_13779_lociStitched	chr19	10513252	10543104	6	20405	32559.5764	5030.062	268	PDE4A,CDC37,MIR1181	PDE4A,TYK2	PDE4A	268	1
2_MACS_peak_11416_lociStitched	chr17	3813072	3822847	2	9580	29648.5525	2167.1175	269	P2RX1	CAMKK1,ATP2A3	P2RX1	269	1
3_MACS_peak_1812_lociStitched	chr1	155938522	155960347	3	17338	32861.9025	5447.52	270	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	270	1
1_MACS_peak_24672_lociStitched	chr6	26353630	26367875	1	14246	30115.3545	2898.8575	271	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	271	1
2_MACS_peak_4527_lociStitched	chr11	2791950	2805525	2	11614	29552.775	2362.05	272	KCNQ1		KCNQ1OT1	272	1
4_MACS_peak_5166_lociStitched	chr11	64611199	64634686	4	16414	31207.1769	4110.225	273	CDC42BPG,EHD1	MAP4K2,MEN1,MIR192,MIR194-2	CDC42BPG	273	1
5_MACS_peak_25383_lociStitched	chr6	88612540	88640604	5	22973	32082.7648	4989.7792	274			SPACA1	274	1
3_MACS_peak_17784_lociStitched	chr20	45172180	45191942	3	16797	30834.6486	3784.423	275	C20orf123,SLC13A3	ZNF334	C20orf123	275	1
3_MACS_peak_21784_lociStitched	chr4	77117476	77137268	3	14138	31344.5904	4411.6368	276	SCARB2	FAM47E,NUP54	SCARB2	276	1
1_MACS_peak_26688_lociStitched	chr7	47512717	47524818	1	12102	29844.6963	2939.3329	277	TNS3		TNS3	277	1
1_MACS_peak_5027_lociStitched	chr11	58340053	58348120	1	8068	28637.0433	1792.4874	278	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	278	1
2_MACS_peak_18319_lociStitched	chr21	41324295	41344998	2	17174	33178.6278	6347.5398	279			PCP4	279	1
4_MACS_peak_9320_lociStitched	chr15	40833572	40862599	4	18654	32521.8508	5747.346	280	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	280	1
1_MACS_peak_22570_lociStitched	chr4	185300132	185307975	1	7844	28605.7739	1836.0463	281			IRF2	281	1
3_MACS_peak_24413_lociStitched	chr6	7134894	7157795	3	17030	30652.9885	3961.873	282	RREB1		RREB1	282	1
5_MACS_peak_11521_lociStitched	chr17	7736804	7762314	5	14844	30816.08	4163.232	283	DNAH2,KDM6B,TMEM88,CYB5D1,LSMD1	CHD3,SCARNA21	KDM6B	283	1
1_MACS_peak_1743_lociStitched	chr1	154296246	154302548	1	6303	28619.2726	1970.6354	284	AQP10,ATP8B2		ATP8B2	284	1
3_MACS_peak_21142_lociStitched	chr3	195621146	195642735	3	12126	31817.8682	5211.5846	285	TNK2		TNK2	285	1
3_MACS_peak_19625_lociStitched	chr3	46126932	46153746	3	19144	31873.8018	5306.4906	286			XCR1	286	1
1_MACS_peak_3025_lociStitched	chr1	249111222	249122123	1	10902	30100.9313	3549.3656	287	MIR3124,SH3BP5L	ZNF672,ZNF692	SH3BP5L	287	1
9_MACS_peak_9700_lociStitched	chr15	67357099	67409997	9	28682	34992.027	8495.4188	288	SMAD3	SMAD3	SMAD3	288	1
3_MACS_peak_11679_lociStitched	chr17	19204051	19221705	3	14275	29443.3412	2962.3412	289	EPN2	MIR1180,B9D1	MIR1180	289	1
1_MACS_peak_1634_lociStitched	chr1	149854895	149861257	1	6363	28999.9046	2684.1278	290	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2BE	290	1
1_MACS_peak_12666_lociStitched	chr17	75078350	75093891	1	15542	29781.2183	3484.2922	291	C17orf86,SCARNA16	SEC14L1	SCARNA16	291	1
2_MACS_peak_2629_lociStitched	chr1	212778226	212789118	2	9370	29285.3204	3081.3468	292	ATF3	FAM71A	ATF3	292	1
1_MACS_peak_27523_lociStitched	chr7	130789730	130797632	1	7903	28761.6996	2576.052	293	MKLN1,FLJ43663		FLJ43663	293	1
2_MACS_peak_30824_lociStitched	chrX	48790248	48805389	2	14354	28116.837	2010.7248	294	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	294	1
1_MACS_peak_30608_lociStitched	chrX	19469867	19470632	1	766	26117.6355	40.698	295	MAP3K15		MAP3K15	295	1
2_MACS_peak_17959_lociStitched	chr20	55957920	55975839	2	14511	29199.0105	3155.5359	296	RBM38	RAE1,MTRNR2L3	RBM38	296	1
2_MACS_peak_4243_lociStitched	chr10	112251442	112266073	2	12670	29295.6513	3297.8274	297	DUSP5		DUSP5	297	1
1_MACS_peak_18867_lociStitched	chr22	38782059	38795857	1	13799	28367.3082	2439.4864	298	LOC400927	KCNJ4	LOC400927	298	1
1_MACS_peak_23382_lociStitched	chr5	90674369	90681127	1	6759	27529.3888	1605.7008	299	LOC100129716,ARRDC3		ARRDC3	299	1
3_MACS_peak_21714_lociStitched	chr4	71526781	71555437	3	19376	30911.2272	5006.2032	300	UTP3,IGJ	ENAM,RUFY3	IGJ	300	1
4_MACS_peak_24235_lociStitched	chr5	176717067	176740742	4	15699	30242.445	4358.5675	301	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	RAB24	301	1
2_MACS_peak_20879_lociStitched	chr3	176908382	176921788	2	12109	29552.1864	3690.6718	302	TBL1XR1		TBL1XR1	302	1
1_MACS_peak_4474_lociStitched	chr11	267105	271846	1	4742	26970.6008	1154.4335	303		PSMD13,NLRP6,ATHL1,IFITM2,IFITM1,SIRT3,IFITM5,IFITM3	NLRP6	303	1
2_MACS_peak_1617_lociStitched	chr1	149213816	149225895	2	6839	30032.0177	4237.3132	304			LOC388692	304	1
2_MACS_peak_21880_lociStitched	chr4	84129712	84144331	2	14372	28714.6398	2998.3569	305			COQ2	305	1
2_MACS_peak_13955_lociStitched	chr19	16544442	16562319	2	14492	28860.6288	3187.4691	306	EPS15L1	C19orf44,CALR3	EPS15L1	306	1
1_MACS_peak_24200_lociStitched	chr5	173696261	173710389	1	14129	28648.7584	2988.072	307			HMP19	307	1
3_MACS_peak_3737_lociStitched	chr10	74006421	74024895	3	14268	29129.8032	3511.9074	308		ANAPC16,DDIT4,ASCC1	DDIT4	308	1
1_MACS_peak_25078_lociStitched	chr6	45386600	45396284	1	9685	27280.7964	1680.174	309	RUNX2	SUPT3H	RUNX2	309	1
2_MACS_peak_5802_lociStitched	chr11	117870699	117885967	2	13308	28688.572	3126.8864	310	IL10RA		IL10RA	310	1
2_MACS_peak_5073_lociStitched	chr11	60666268	60684599	2	13308	29428.5874	3888.0051	311	TMEM109,PRPF19	ZP1,TMEM132A,GPR44,SLC15A3	PRPF19	311	1
3_MACS_peak_15394_lociStitched	chr2	64862678	64883980	3	13994	29364.807	3883.3546	312	SERTAD2	LOC339807	SERTAD2	312	1
5_MACS_peak_15700_lociStitched	chr2	88898795	88928714	5	22401	31088.8329	5609.8125	313	EIF2AK3		EIF2AK3	313	1
4_MACS_peak_15221_lociStitched	chr2	47193760	47215640	4	13423	29229.492	3769.924	314	TTC7A	MCFD2	MCFD2	314	1
7_MACS_peak_8933_lociStitched	chr14	95945715	95986137	7	22872	29196.8106	3803.7102	315		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	315	1
2_MACS_peak_22863_lociStitched	chr5	32529526	32544244	2	14651	28604.433	3223.242	316		SUB1	SUB1	316	1
1_MACS_peak_3375_lociStitched	chr10	30989378	30996994	1	7617	27184.5504	1843.8336	317			LYZL2	317	1
4_MACS_peak_9407_lociStitched	chr15	45001765	45029470	4	15400	29990.6625	4654.44	318	B2M,TRIM69	SPG11,PATL2	B2M	318	1
2_MACS_peak_29988_lociStitched	chr9	112903974	112925334	2	21174	30059.928	4726.968	319	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	319	1
2_MACS_peak_30294_lociStitched	chr9	132646077	132657948	2	8967	27756.7722	2463.2325	320	FNBP1	USP20,C9orf78	USP20	320	1
5_MACS_peak_26058_lociStitched	chr6	157976656	158007501	5	19255	28065.8655	2797.6415	321	ZDHHC14	MIR3692	MIR3692	321	1
5_MACS_peak_23340_lociStitched	chr5	87954685	87976829	5	11388	29429.376	4200.7168	322	LOC645323,MIR9-2		MIR9-2	322	1
2_MACS_peak_2531_lociStitched	chr1	207092384	207107165	2	10299	29520.6132	4323.4425	323	FAIM3,PIGR	IL24,FCAMR	FAIM3	323	1
4_MACS_peak_30312_lociStitched	chr9	134126921	134153269	4	17262	29833.8404	4658.3264	324	FAM78A	PPAPDC3	FAM78A	324	1
3_MACS_peak_19653_lociStitched	chr3	46577392	46592192	3	13342	28140.72	2980.72	325	LRRC2	RTP3,TDGF1	LRRC2	325	1
2_MACS_peak_11424_lociStitched	chr17	4267919	4281515	2	11118	28138.2816	2982.9624	326	UBE2G1		UBE2G1	326	1
2_MACS_peak_20793_lociStitched	chr3	169654875	169668448	2	13364	28955.2809	3903.5948	327	SAMD7,LOC100128164	SEC62	LOC100128164	327	1
2_MACS_peak_16290_lociStitched	chr2	158293527	158311079	2	11446	28425.464	3385.7808	328	CYTIP		CYTIP	328	1
3_MACS_peak_24710_lociStitched	chr6	27790975	27808094	3	9597	27840.6297	2887.9753	329	HIST1H4J,HIST1H2BN,HIST1H4K,HIST1H2AK	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H2AL,HIST1H2BL,HIST1H2AJ,HIST1H1B,HIST1H3I,HIST1H4L	HIST1H4K	329	1
5_MACS_peak_31232_lociStitched	chrX	128892849	128921384	5	19669	27793.09	2876.328	330	XPNPEP2,SASH3		SASH3	330	1
1_MACS_peak_9842_lociStitched	chr15	75334177	75341871	1	7695	26879.7584	2007.3646	331	PPCDC	SCAMP5	PPCDC	331	1
2_MACS_peak_29040_lociStitched	chr8	142126105	142141078	2	10633	27476.9523	2614.2858	332	DENND3		DENND3	332	1
2_MACS_peak_21161_lociStitched	chr3	196357915	196371593	2	11801	28603.4336	3795.645	333	LRRC33		LRRC33	333	1
2_MACS_peak_3449_lociStitched	chr10	43890605	43906149	2	11514	27629.46	2849.2152	334	HNRNPF	FXYD4,ZNF487P	HNRNPF	334	1
3_MACS_peak_18884_lociStitched	chr22	39361750	39386526	3	14925	29022.6064	4244.1288	335	APOBEC3A,APOBEC3B	APOBEC3C,APOBEC3D	APOBEC3B	335	1
2_MACS_peak_12761_lociStitched	chr17	78873167	78887361	2	11235	27424.2274	2679.8272	336	RPTOR		CHMP6	336	1
2_MACS_peak_7095_lociStitched	chr12	89737949	89749561	2	11092	27552.9536	2875.1312	337	DUSP6		DUSP6	337	1
4_MACS_peak_25748_lociStitched	chr6	129992980	130019724	4	15109	29193.7504	4535.7824	338	ARHGAP18		ARHGAP18	338	1
2_MACS_peak_10055_lociStitched	chr15	89163730	89185162	2	16859	29295.4008	4648.6008	339	AEN,ISG20	MIR1179,MIR7-2	ISG20	339	1
1_MACS_peak_9054_lociStitched	chr14	106323770	106329611	1	5842	25428.2094	891.9207	340			KIAA0125	340	1
2_MACS_peak_12513_lociStitched	chr17	66229832	66245320	2	9623	27517.5296	2984.5376	341	AMZ2	LOC440461,ARSG,SLC16A6	AMZ2	341	1
3_MACS_peak_17023_lociStitched	chr2	232687206	232715057	3	25946	28310.5415	3871.289	342		COPS7B,PDE6D,MIR1471	COPS7B	342	1
1_MACS_peak_22304_lociStitched	chr4	144272625	144283578	1	10954	26738.4636	2363.6574	343	GAB1		GAB1	343	1
2_MACS_peak_1929_lociStitched	chr1	161007660	161019332	2	7957	27885.5752	3512.1048	344	TSTD1,USF1,ARHGAP30	KLHDC9,F11R,PVRL4	USF1	344	1
6_MACS_peak_15485_lociStitched	chr2	70334770	70360854	6	13927	28541.1128	4186.482	345	LOC100133985	PCBP1,LOC400960	LOC100133985	345	1
2_MACS_peak_2144_lociStitched	chr1	178544277	178553113	2	8701	26868.5088	2605.7364	346		C1orf220	C1orf220	346	1
1_MACS_peak_20903_lociStitched	chr3	178228280	178241526	1	13247	27715.9304	3457.206	347		KCNMB2	KCNMB2	347	1
3_MACS_peak_13146_lociStitched	chr18	42287372	42314190	3	24681	28301.0354	4119.2448	348	SETBP1		SETBP1	348	1
4_MACS_peak_7358_lociStitched	chr12	109161652	109181278	4	15917	27815.9298	3648.4734	349	SSH1	CORO1C,SSH1	CORO1C	349	1
2_MACS_peak_14297_lociStitched	chr19	41801343	41817224	2	10483	27372.4916	3295.3075	350	HNRNPUL1,CCDC97	TGFB1	CCDC97	350	1
3_MACS_peak_27340_lociStitched	chr7	114556702	114574716	3	12665	28626.0474	4573.7546	351	MDFIC		MDFIC	351	1
3_MACS_peak_24169_lociStitched	chr5	172191150	172205839	3	11504	27255.4395	3205.1398	352	DUSP1		DUSP1	352	1
2_MACS_peak_5196_lociStitched	chr11	65236057	65246513	2	9824	26164.0488	2115.2488	353		NEAT1,MIR612,MALAT1,SCYL1	MALAT1	353	1
2_MACS_peak_28998_lociStitched	chr8	134576729	134586335	2	9376	26120.6352	2099.8716	354	ST3GAL1		ST3GAL1	354	1
1_MACS_peak_2221_lociStitched	chr1	183807379	183816449	1	9071	26794.594	2783.583	355	RGL1		APOBEC4	355	1
2_MACS_peak_24431_lociStitched	chr6	7958192	7978948	2	15344	27896.064	3887.5988	356	MUTED-TXNDC5	PIP5K1P1,TXNDC5	PIP5K1P1	356	1
4_MACS_peak_24189_lociStitched	chr5	173309948	173344090	4	26052	29983.5044	6114.8322	357	CPEB4		CPEB4	357	1
1_MACS_peak_18070_lociStitched	chr21	9962348	9970644	1	8297	27867.9232	4021.9008	358	LOC100132288		LOC100132288	358	1
2_MACS_peak_18408_lociStitched	chr21	45659371	45667972	2	7874	26122.0971	2288.7261	359	ICOSLG,DNMT3L	AIRE	ICOSLG	359	1
1_MACS_peak_25525_lociStitched	chr6	106607260	106617840	1	10581	26379.114	2676.74	360			PRDM1	360	1
2_MACS_peak_13707_lociStitched	chr19	7398800	7411334	2	10616	26850.3348	3148.5408	361		ARHGEF18	ARHGEF18	361	1
2_MACS_peak_29584_lociStitched	chr9	73026652	73036877	2	7708	25625.895	1925.3675	362	KLF9		KLF9	362	1
1_MACS_peak_28069_lociStitched	chr8	26427886	26437511	1	9626	25986.5375	2322.5125	363	DPYSL2		DPYSL2	363	1
3_MACS_peak_4225_lociStitched	chr10	111966675	111986615	3	13905	27259.974	3603.158	364	MXI1		MXI1	364	1
5_MACS_peak_11111_lociStitched	chr16	70826572	70850565	5	15874	28033.4212	4383.5211	365	VAC14,HYDIN	LOC100130894	VAC14	365	1
2_MACS_peak_21801_lociStitched	chr4	77601972	77625382	2	19301	28054.544	4459.605	366	SHROOM3		ANKRD56	366	1
5_MACS_peak_21848_lociStitched	chr4	82409655	82442072	5	22217	29019.6984	5459.0228	367		RASGEF1B	RASGEF1B	367	1
3_MACS_peak_579_lociStitched	chr1	36613986	36627761	3	10538	26109.135	2553.885	368	MAP7D1,TRAPPC3	COL8A2	MAP7D1	368	1
3_MACS_peak_2819_lociStitched	chr1	228665478	228679294	3	8276	26197.8992	2649.9088	369	RNF187	HIST3H2BB,HIST3H2A	RNF187	369	1
2_MACS_peak_2445_lociStitched	chr1	203722010	203736553	2	9884	27140.1466	3685.1962	370	LAX1	SNORA77,ZC3H11A,ZBED6	LAX1	370	1
1_MACS_peak_7172_lociStitched	chr12	94595813	94603929	1	8117	25292.7024	1844.7668	371	PLXNC1		PLXNC1	371	1
4_MACS_peak_16175_lociStitched	chr2	137132963	137153368	4	11633	27042.7465	3644.333	372			CXCR4	372	1
3_MACS_peak_21602_lociStitched	chr4	48193363	48206924	3	13074	26296.1351	2900.6979	373	TEC		TXK	373	1
