GENE_ID	locusLine	H3k27me3_23_DMSO_compare_signal
MACS_peak_8581	chr12(.):3231361-3232676	0.9104
MACS_peak_8583	chr12(.):3235625-3236600	0.5346
MACS_peak_8583	chr12(.):3235625-3236600	0.5346
MACS_peak_8584	chr12(.):3237142-3238216	0.8859
MACS_peak_8584	chr12(.):3237142-3238216	0.8859
MACS_peak_8585	chr12(.):3238586-3242133	1.4869
MACS_peak_8586	chr12(.):3242990-3247823	1.5001
MACS_peak_8586	chr12(.):3242990-3247823	1.5001
MACS_peak_8587	chr12(.):3247859-3252054	1.3093
MACS_peak_8587	chr12(.):3247859-3252054	1.3093
MACS_peak_8588	chr12(.):3253412-3254158	0.9038
MACS_peak_8589	chr12(.):3254890-3255549	1.0457
MACS_peak_8589	chr12(.):3254890-3255549	1.0457
MACS_peak_8590	chr12(.):3255940-3258620	1.1175
MACS_peak_8590	chr12(.):3255940-3258620	1.1175
MACS_peak_8591	chr12(.):3259590-3259900	0.5983
MACS_peak_8591	chr12(.):3259590-3259900	0.5983
MACS_peak_8592	chr12(.):3259981-3260705	0.8262
MACS_peak_8596	chr12(.):3277720-3278351	0.7344
MACS_peak_8597	chr12(.):3280261-3280566	0.3639
MACS_peak_8598	chr12(.):3280628-3281183	0.7108
MACS_peak_8598	chr12(.):3280628-3281183	0.7108
MACS_peak_8599	chr12(.):3281256-3281840	0.4618
MACS_peak_8600	chr12(.):3281951-3282829	1.1047
MACS_peak_8601	chr12(.):3284055-3284738	0.5665
MACS_peak_8602	chr12(.):3284926-3285834	0.8184
MACS_peak_8602	chr12(.):3284926-3285834	0.8184
MACS_peak_8603	chr12(.):3285854-3286449	0.559
MACS_peak_8604	chr12(.):3286457-3286819	0.7091
MACS_peak_8609	chr12(.):3294721-3295266	0.8069
MACS_peak_8612	chr12(.):3301291-3302278	0.6787
MACS_peak_8612	chr12(.):3301291-3302278	0.6787
MACS_peak_8613	chr12(.):3302367-3303429	0.9106
MACS_peak_8614	chr12(.):3304568-3305502	0.6996
MACS_peak_8616	chr12(.):3308032-3312124	1.1933
MACS_peak_8616	chr12(.):3308032-3312124	1.1933
MACS_peak_8617	chr12(.):3313645-3314167	0.8385
MACS_peak_8618	chr12(.):3314549-3315899	0.9233
MACS_peak_8618	chr12(.):3314549-3315899	0.9233
MACS_peak_8618	chr12(.):3314549-3315899	0.9233
MACS_peak_8619	chr12(.):3315994-3316616	0.5769
MACS_peak_8624	chr12(.):3321753-3325088	1.0341
MACS_peak_8625	chr12(.):3325577-3326185	0.9747
MACS_peak_8626	chr12(.):3326624-3328972	0.9102
MACS_peak_8626	chr12(.):3326624-3328972	0.9102
MACS_peak_8627	chr12(.):3329375-3330647	0.7455
MACS_peak_8628	chr12(.):3331094-3335477	1.1544
MACS_peak_8628	chr12(.):3331094-3335477	1.1544
MACS_peak_8628	chr12(.):3331094-3335477	1.1544
MACS_peak_8628	chr12(.):3331094-3335477	1.1544
MACS_peak_8629	chr12(.):3338241-3339300	1.0105
MACS_peak_8630	chr12(.):3340016-3341273	1.0526
MACS_peak_8631	chr12(.):3342815-3343654	0.6677
MACS_peak_8632	chr12(.):3344650-3345601	0.8468
MACS_peak_8632	chr12(.):3344650-3345601	0.8468
MACS_peak_8633	chr12(.):3346161-3347998	1.1065
MACS_peak_8634	chr12(.):3348137-3348794	0.8858
MACS_peak_8635	chr12(.):3350496-3351170	0.8283
MACS_peak_8636	chr12(.):3351515-3352475	1.0948
MACS_peak_8636	chr12(.):3351515-3352475	1.0948
MACS_peak_8637	chr12(.):3352521-3353262	1.0774
MACS_peak_8640	chr12(.):3355224-3355527	0.6193
MACS_peak_8641	chr12(.):3355574-3356102	1.0496
MACS_peak_8642	chr12(.):3356579-3357104	0.7141
MACS_peak_8643	chr12(.):3358189-3359094	1.1404
MACS_peak_8644	chr12(.):3359682-3363739	0.9079
MACS_peak_8644	chr12(.):3359682-3363739	0.9079
MACS_peak_8644	chr12(.):3359682-3363739	0.9079
MACS_peak_8645	chr12(.):3363844-3364512	0.8655
MACS_peak_8646	chr12(.):3365184-3365980	0.8319
MACS_peak_8649	chr12(.):3368140-3368671	0.8019
MACS_peak_8650	chr12(.):3368816-3369656	0.8659
MACS_peak_8650	chr12(.):3368816-3369656	0.8659
MACS_peak_8651	chr12(.):3369987-3376609	1.1747
MACS_peak_8651	chr12(.):3369987-3376609	1.1747
MACS_peak_8651	chr12(.):3369987-3376609	1.1747
MACS_peak_8651	chr12(.):3369987-3376609	1.1747
MACS_peak_8653	chr12(.):3378621-3384485	1.1831
MACS_peak_8653	chr12(.):3378621-3384485	1.1831
MACS_peak_8653	chr12(.):3378621-3384485	1.1831
MACS_peak_8654	chr12(.):3384607-3396851	1.3714
MACS_peak_8654	chr12(.):3384607-3396851	1.3714
MACS_peak_8654	chr12(.):3384607-3396851	1.3714
MACS_peak_8654	chr12(.):3384607-3396851	1.3714
MACS_peak_8654	chr12(.):3384607-3396851	1.3714
MACS_peak_8654	chr12(.):3384607-3396851	1.3714
MACS_peak_8654	chr12(.):3384607-3396851	1.3714
MACS_peak_8654	chr12(.):3384607-3396851	1.3714
MACS_peak_8655	chr12(.):3397102-3401903	1.0733
MACS_peak_8655	chr12(.):3397102-3401903	1.0733
MACS_peak_8655	chr12(.):3397102-3401903	1.0733
MACS_peak_8655	chr12(.):3397102-3401903	1.0733
MACS_peak_8656	chr12(.):3401914-3409181	1.5254
MACS_peak_8656	chr12(.):3401914-3409181	1.5254
MACS_peak_8658	chr12(.):3412004-3423475	1.5212
MACS_peak_8658	chr12(.):3412004-3423475	1.5212
MACS_peak_8658	chr12(.):3412004-3423475	1.5212
MACS_peak_8658	chr12(.):3412004-3423475	1.5212
MACS_peak_8658	chr12(.):3412004-3423475	1.5212
MACS_peak_8661	chr12(.):3427598-3428779	0.7639
MACS_peak_8662	chr12(.):3428963-3430000	0.7297
MACS_peak_8662	chr12(.):3428963-3430000	0.7297
MACS_peak_8663	chr12(.):3430045-3430588	1.134
MACS_peak_8668	chr12(.):3437604-3437933	0.7105
MACS_peak_8679	chr12(.):3661743-3663505	1.0472
MACS_peak_8679	chr12(.):3661743-3663505	1.0472
MACS_peak_8681	chr12(.):3709441-3710024	1.034
MACS_peak_8682	chr12(.):3710073-3710479	0.7348
MACS_peak_8684	chr12(.):4376751-4378374	0.9669
MACS_peak_8685_1	chr12(.):5017993-5018071	0.4942
MACS_peak_8685_2	chr12(.):5018072-5019379	0.9473
MACS_peak_8686_1	chr12(.):5541304-5541920	0.7116
MACS_peak_8687_1	chr12(.):5542073-5542278	0.5711
MACS_peak_8687_2	chr12(.):5542279-5543009	0.8932
MACS_peak_8692	chr12(.):6300850-6301667	0.5035
MACS_peak_8693	chr12(.):6426171-6427279	0.6328
MACS_peak_8695_1	chr12(.):6492014-6492355	0.5603
MACS_peak_8695_2	chr12(.):6492356-6493200	0.7165
MACS_peak_8696_1	chr12(.):6493387-6493726	0.4963
MACS_peak_8702_1	chr12(.):6804375-6808811	1.0792
MACS_peak_8702_2	chr12(.):6808812-6810811	2.2829
MACS_peak_8702_3	chr12(.):6810812-6814453	1.1654
MACS_peak_8702_1	chr12(.):6804375-6808811	1.0792
MACS_peak_8702_2	chr12(.):6808812-6810811	2.2829
MACS_peak_8702_3	chr12(.):6810812-6814453	1.1654
MACS_peak_8702_1	chr12(.):6804375-6808811	1.0792
MACS_peak_8702_2	chr12(.):6808812-6810811	2.2829
MACS_peak_8702_3	chr12(.):6810812-6814453	1.1654
MACS_peak_8702_1	chr12(.):6804375-6808811	1.0792
MACS_peak_8702_2	chr12(.):6808812-6810811	2.2829
MACS_peak_8702_3	chr12(.):6810812-6814453	1.1654
MACS_peak_8702_1	chr12(.):6804375-6808811	1.0792
MACS_peak_8702_2	chr12(.):6808812-6810811	2.2829
MACS_peak_8702_3	chr12(.):6810812-6814453	1.1654
MACS_peak_8704_1	chr12(.):6873999-6874539	0.4777
MACS_peak_8704_2	chr12(.):6874540-6875138	0.9236
MACS_peak_8705_1	chr12(.):6882103-6882625	1.0559
MACS_peak_8709_1	chr12(.):6928410-6929961	0.8883
MACS_peak_8709_2	chr12(.):6929962-6930625	0.9335
MACS_peak_8709_1	chr12(.):6928410-6929961	0.8883
MACS_peak_8709_2	chr12(.):6929962-6930625	0.9335
MACS_peak_8710_1	chr12(.):6930809-6931961	1.6694
MACS_peak_8710_2	chr12(.):6931962-6936570	2.168
MACS_peak_8710_3	chr12(.):6936571-6937013	2.0468
MACS_peak_8711_1	chr12(.):6937175-6938570	2.8547
MACS_peak_8711_2	chr12(.):6938571-6941993	2.1841
MACS_peak_8712	chr12(.):6942142-6942432	0.5165
MACS_peak_8713	chr12(.):6942450-6943264	0.7089
MACS_peak_8715	chr12(.):8170863-8172017	1.1893
MACS_peak_8717	chr12(.):8374430-8376732	0.6984
MACS_peak_8720_1	chr12(.):8849800-8850351	1.2594
MACS_peak_8722	chr12(.):10515775-10517345	1.0793
MACS_peak_8723	chr12(.):10517849-10519642	1.0744
MACS_peak_8726_1	chr12(.):22486762-22487550	1.0263
MACS_peak_8727_1	chr12(.):25100232-25101392	0.8234
MACS_peak_8728_1	chr12(.):25101444-25102841	1.5967
MACS_peak_8729	chr12(.):25104004-25105244	1.0825
MACS_peak_8729	chr12(.):25104004-25105244	1.0825
MACS_peak_8730	chr12(.):25105377-25106472	0.6194
MACS_peak_8731	chr12(.):25106618-25107104	0.6617
MACS_peak_8736_1	chr12(.):48392418-48397284	1.755
MACS_peak_8736_2	chr12(.):48397285-48399284	2.4563
MACS_peak_8736_3	chr12(.):48399285-48399483	0.56
MACS_peak_8736_1	chr12(.):48392418-48397284	1.755
MACS_peak_8736_2	chr12(.):48397285-48399284	2.4563
MACS_peak_8736_3	chr12(.):48399285-48399483	0.56
MACS_peak_8737_1	chr12(.):48577941-48578364	1.2227
MACS_peak_8737_2	chr12(.):48578365-48578802	0.6489
MACS_peak_8738	chr12(.):48578877-48579577	0.6661
MACS_peak_8739_1	chr12(.):49210572-49211510	0.6476
MACS_peak_8739_2	chr12(.):49211511-49212002	0.7597
MACS_peak_8740	chr12(.):49284655-49285760	0.7412
MACS_peak_8743_1	chr12(.):49363407-49364640	1.23
MACS_peak_8743_2	chr12(.):49364641-49366640	2.5363
MACS_peak_8743_3	chr12(.):49366641-49368403	1.6149
MACS_peak_8745_1	chr12(.):49370064-49371234	0.6779
MACS_peak_8745_2	chr12(.):49371235-49373234	2.8465
MACS_peak_8745_3	chr12(.):49373235-49376652	2.657
MACS_peak_8746	chr12(.):49376732-49377077	0.494
MACS_peak_8747	chr12(.):49377125-49382194	0.9277
MACS_peak_8747	chr12(.):49377125-49382194	0.9277
MACS_peak_8747	chr12(.):49377125-49382194	0.9277
MACS_peak_8748	chr12(.):49382726-49383713	0.7968
MACS_peak_8749_1	chr12(.):49390047-49392087	1.7685
MACS_peak_8749_2	chr12(.):49392088-49392648	1.7515
MACS_peak_8750_1	chr12(.):49482103-49487601	2.3901
MACS_peak_8750_2	chr12(.):49487602-49489086	2.0272
MACS_peak_8751	chr12(.):49677437-49678305	0.7801
MACS_peak_8753	chr12(.):49682985-49683442	0.4472
MACS_peak_8755_1	chr12(.):49685720-49687907	1.0772
MACS_peak_8755_2	chr12(.):49687908-49689907	2.1453
MACS_peak_8755_3	chr12(.):49689908-49693084	1.3988
MACS_peak_8756	chr12(.):49728741-49729133	0.4425
MACS_peak_8757	chr12(.):49729196-49729647	0.9017
MACS_peak_8758_1	chr12(.):49729720-49729970	0.6175
MACS_peak_8758_2	chr12(.):49729971-49731091	0.9223
MACS_peak_8758_1	chr12(.):49729720-49729970	0.6175
MACS_peak_8758_2	chr12(.):49729971-49731091	0.9223
MACS_peak_8759_1	chr12(.):49731461-49731970	0.6459
MACS_peak_8759_2	chr12(.):49731971-49732483	0.6603
MACS_peak_8759_1	chr12(.):49731461-49731970	0.6459
MACS_peak_8759_2	chr12(.):49731971-49732483	0.6603
MACS_peak_8760	chr12(.):49732532-49733289	0.6288
MACS_peak_8761	chr12(.):49734038-49736343	1.0158
MACS_peak_8762_1	chr12(.):49736532-49740039	2.1703
MACS_peak_8762_2	chr12(.):49740040-49741646	2.4485
MACS_peak_8764_1	chr12(.):49930724-49931938	1.337
MACS_peak_8764_2	chr12(.):49931939-49932458	1.4331
MACS_peak_8765_1	chr12(.):49932486-49933938	1.6879
MACS_peak_8765_2	chr12(.):49933939-49934601	1.1416
MACS_peak_8765_1	chr12(.):49932486-49933938	1.6879
MACS_peak_8765_2	chr12(.):49933939-49934601	1.1416
MACS_peak_8766	chr12(.):49940211-49941030	0.5395
MACS_peak_8766	chr12(.):49940211-49941030	0.5395
MACS_peak_8767	chr12(.):49941240-49947354	1.287
MACS_peak_8767	chr12(.):49941240-49947354	1.287
MACS_peak_8770_1	chr12(.):50219773-50221207	0.8915
MACS_peak_8770_2	chr12(.):50221208-50221324	0.5315
MACS_peak_8770_3	chr12(.):50221325-50221632	1.097
MACS_peak_8770_1	chr12(.):50219773-50221207	0.8915
MACS_peak_8770_2	chr12(.):50221208-50221324	0.5315
MACS_peak_8770_3	chr12(.):50221325-50221632	1.097
MACS_peak_8773	chr12(.):50276854-50277303	0.6236
MACS_peak_8774	chr12(.):50277470-50277788	0.975
MACS_peak_8775	chr12(.):50278435-50283382	0.904
MACS_peak_8775	chr12(.):50278435-50283382	0.904
MACS_peak_8775	chr12(.):50278435-50283382	0.904
MACS_peak_8777_1	chr12(.):50296534-50296719	0.409
MACS_peak_8777_2	chr12(.):50296720-50297825	0.9356
MACS_peak_8778_1	chr12(.):50297887-50298719	0.9795
MACS_peak_8778_2	chr12(.):50298720-50298941	0.4257
MACS_peak_8779	chr12(.):50347532-50350087	0.8626
MACS_peak_8780	chr12(.):50350462-50350981	0.7299
MACS_peak_8782	chr12(.):50352080-50352739	0.547
MACS_peak_8783_1	chr12(.):50352829-50354277	0.7689
MACS_peak_8783_2	chr12(.):50354278-50355032	1.1956
MACS_peak_8783_1	chr12(.):50352829-50354277	0.7689
MACS_peak_8783_2	chr12(.):50354278-50355032	1.1956
MACS_peak_8784_1	chr12(.):50355084-50355447	0.7887
MACS_peak_8785_1	chr12(.):50355740-50356277	1.1637
MACS_peak_8785_2	chr12(.):50356278-50361052	1.7144
MACS_peak_8786_1	chr12(.):50361388-50365618	1.2245
MACS_peak_8786_2	chr12(.):50365619-50367618	1.0373
MACS_peak_8786_3	chr12(.):50367619-50367713	0.3224
MACS_peak_8786_1	chr12(.):50361388-50365618	1.2245
MACS_peak_8786_2	chr12(.):50365619-50367618	1.0373
MACS_peak_8786_3	chr12(.):50367619-50367713	0.3224
MACS_peak_8786_1	chr12(.):50361388-50365618	1.2245
MACS_peak_8786_2	chr12(.):50365619-50367618	1.0373
MACS_peak_8786_3	chr12(.):50367619-50367713	0.3224
MACS_peak_8786_1	chr12(.):50361388-50365618	1.2245
MACS_peak_8786_2	chr12(.):50365619-50367618	1.0373
MACS_peak_8786_3	chr12(.):50367619-50367713	0.3224
MACS_peak_8787	chr12(.):50445340-50446982	0.5959
MACS_peak_8788_1	chr12(.):50449767-50450485	1.4046
MACS_peak_8788_2	chr12(.):50450486-50451401	1.6395
MACS_peak_8789_1	chr12(.):50451756-50452485	1.3078
MACS_peak_8789_2	chr12(.):50452486-50452578	0.7317
MACS_peak_8793_1	chr12(.):51664107-51664762	0.7364
MACS_peak_8794_1	chr12(.):51985117-51985736	1.1397
MACS_peak_8795	chr12(.):52208428-52209230	0.6712
MACS_peak_8796	chr12(.):52209314-52209903	0.5796
MACS_peak_8797	chr12(.):52209950-52211082	0.6002
MACS_peak_8800	chr12(.):52213759-52214793	1.326
MACS_peak_8800	chr12(.):52213759-52214793	1.326
MACS_peak_8802_1	chr12(.):52215887-52216531	0.608
MACS_peak_8802_1	chr12(.):52215887-52216531	0.608
MACS_peak_8803_1	chr12(.):52216614-52216956	0.3764
MACS_peak_8806	chr12(.):52222825-52223545	0.7802
MACS_peak_8807	chr12(.):52224306-52225611	0.824
MACS_peak_8807	chr12(.):52224306-52225611	0.824
MACS_peak_8808	chr12(.):52225855-52226654	1.2473
MACS_peak_8809	chr12(.):52227242-52228073	0.9306
MACS_peak_8810	chr12(.):52228092-52242466	1.2832
MACS_peak_8810	chr12(.):52228092-52242466	1.2832
MACS_peak_8810	chr12(.):52228092-52242466	1.2832
MACS_peak_8811	chr12(.):52243302-52245225	1.0581
MACS_peak_8815	chr12(.):52256379-52256682	0.6789
MACS_peak_8817	chr12(.):52257592-52259726	1.3025
MACS_peak_8820	chr12(.):52262362-52264636	1.3756
MACS_peak_8820	chr12(.):52262362-52264636	1.3756
MACS_peak_8822_1	chr12(.):52299721-52300200	0.5776
MACS_peak_8824	chr12(.):52343011-52343471	0.6301
MACS_peak_8825_1	chr12(.):52344602-52345319	1.0552
MACS_peak_8826_1	chr12(.):52397399-52399746	1.2551
MACS_peak_8826_2	chr12(.):52399747-52401746	2.6717
MACS_peak_8826_3	chr12(.):52401747-52404383	1.3606
MACS_peak_8826_1	chr12(.):52397399-52399746	1.2551
MACS_peak_8826_2	chr12(.):52399747-52401746	2.6717
MACS_peak_8826_3	chr12(.):52401747-52404383	1.3606
MACS_peak_8827	chr12(.):52404567-52405086	0.5929
MACS_peak_8828	chr12(.):52405211-52405591	0.6959
MACS_peak_8829	chr12(.):52405767-52406140	0.739
MACS_peak_8831	chr12(.):52407260-52408353	0.796
MACS_peak_8832	chr12(.):52408927-52411829	1.1494
MACS_peak_8832	chr12(.):52408927-52411829	1.1494
MACS_peak_8833	chr12(.):52411853-52413120	0.5718
MACS_peak_8833	chr12(.):52411853-52413120	0.5718
MACS_peak_8834	chr12(.):52413136-52415312	0.8093
MACS_peak_8834	chr12(.):52413136-52415312	0.8093
MACS_peak_8834	chr12(.):52413136-52415312	0.8093
MACS_peak_8835	chr12(.):52415615-52417372	1.2849
MACS_peak_8836	chr12(.):52423525-52424380	0.6137
MACS_peak_8837	chr12(.):52427355-52428070	0.3166
MACS_peak_8838	chr12(.):52428071-52429291	0.5377
MACS_peak_8839	chr12(.):52429455-52430503	0.7847
MACS_peak_8847	chr12(.):52513023-52514030	1.078
MACS_peak_8848	chr12(.):52514055-52518300	1.1976
MACS_peak_8848	chr12(.):52514055-52518300	1.1976
MACS_peak_8848	chr12(.):52514055-52518300	1.1976
MACS_peak_8848	chr12(.):52514055-52518300	1.1976
MACS_peak_8849	chr12(.):52518328-52521570	0.7945
MACS_peak_8849	chr12(.):52518328-52521570	0.7945
MACS_peak_8849	chr12(.):52518328-52521570	0.7945
MACS_peak_8851	chr12(.):52525576-52526373	0.7229
MACS_peak_8851	chr12(.):52525576-52526373	0.7229
MACS_peak_8852	chr12(.):52526596-52527382	0.5618
MACS_peak_8854	chr12(.):52529096-52529878	0.7027
MACS_peak_8854	chr12(.):52529096-52529878	0.7027
MACS_peak_8857	chr12(.):52531434-52532590	0.8868
MACS_peak_8858	chr12(.):52533919-52534250	0.2898
MACS_peak_8859	chr12(.):52534396-52535387	0.6428
MACS_peak_8859	chr12(.):52534396-52535387	0.6428
MACS_peak_8860	chr12(.):52535540-52537362	0.6916
MACS_peak_8860	chr12(.):52535540-52537362	0.6916
MACS_peak_8862	chr12(.):52540127-52540632	0.4578
MACS_peak_8867	chr12(.):52558807-52559461	0.5216
MACS_peak_8868	chr12(.):52564063-52564479	0.9828
MACS_peak_8869	chr12(.):52564481-52568450	1.153
MACS_peak_8869	chr12(.):52564481-52568450	1.153
MACS_peak_8870	chr12(.):52568582-52569501	0.6501
MACS_peak_8871	chr12(.):52569681-52570577	0.9497
MACS_peak_8872	chr12(.):52572320-52573483	0.4438
MACS_peak_8873	chr12(.):52574116-52575166	0.7033
MACS_peak_8873	chr12(.):52574116-52575166	0.7033
MACS_peak_8874	chr12(.):52575172-52577057	0.7832
MACS_peak_8874	chr12(.):52575172-52577057	0.7832
MACS_peak_8874	chr12(.):52575172-52577057	0.7832
MACS_peak_8875	chr12(.):52577270-52577824	0.7494
MACS_peak_8878	chr12(.):52580570-52581128	0.5119
MACS_peak_8879	chr12(.):52581369-52582398	0.7726
MACS_peak_8879	chr12(.):52581369-52582398	0.7726
MACS_peak_8880	chr12(.):52582455-52582843	0.7604
MACS_peak_8881_1	chr12(.):52584154-52584783	0.8503
MACS_peak_8881_2	chr12(.):52584784-52585429	0.8717
MACS_peak_8881_1	chr12(.):52584154-52584783	0.8503
MACS_peak_8881_2	chr12(.):52584784-52585429	0.8717
MACS_peak_8882_1	chr12(.):52585542-52585992	0.5579
MACS_peak_8883_1	chr12(.):52586350-52586783	1.0661
MACS_peak_8883_2	chr12(.):52586784-52587385	0.7237
MACS_peak_8884	chr12(.):52587959-52588897	0.5789
MACS_peak_8884	chr12(.):52587959-52588897	0.5789
MACS_peak_8885	chr12(.):52589979-52590687	0.5861
MACS_peak_8887	chr12(.):52592513-52600516	1.0248
MACS_peak_8887	chr12(.):52592513-52600516	1.0248
MACS_peak_8887	chr12(.):52592513-52600516	1.0248
MACS_peak_8887	chr12(.):52592513-52600516	1.0248
MACS_peak_8887	chr12(.):52592513-52600516	1.0248
MACS_peak_8887	chr12(.):52592513-52600516	1.0248
MACS_peak_8888_1	chr12(.):52600737-52603712	0.9281
MACS_peak_8888_2	chr12(.):52603713-52604778	0.8086
MACS_peak_8888_1	chr12(.):52600737-52603712	0.9281
MACS_peak_8888_2	chr12(.):52603713-52604778	0.8086
MACS_peak_8889_1	chr12(.):52604806-52605163	0.9326
MACS_peak_8890_1	chr12(.):52605450-52605712	0.4128
MACS_peak_8890_2	chr12(.):52605713-52607446	0.9528
MACS_peak_8892	chr12(.):52624457-52625815	0.7432
MACS_peak_8892	chr12(.):52624457-52625815	0.7432
MACS_peak_8893_1	chr12(.):52625851-52625952	0.4668
MACS_peak_8893_2	chr12(.):52625953-52627890	0.9784
MACS_peak_8897	chr12(.):52642760-52644094	0.7122
MACS_peak_8898	chr12(.):52644253-52644617	0.4996
MACS_peak_8906_1	chr12(.):52683133-52684298	0.651
MACS_peak_8906_2	chr12(.):52684299-52685894	0.715
MACS_peak_8906_1	chr12(.):52683133-52684298	0.651
MACS_peak_8906_2	chr12(.):52684299-52685894	0.715
MACS_peak_8908_1	chr12(.):52695318-52696297	1.157
MACS_peak_8909_1	chr12(.):52696566-52696647	0.3512
MACS_peak_8909_2	chr12(.):52696648-52697647	0.7933
MACS_peak_8910	chr12(.):52698308-52699389	0.832
MACS_peak_8911	chr12(.):52699472-52699882	0.5749
MACS_peak_8911	chr12(.):52699472-52699882	0.5749
MACS_peak_8912	chr12(.):52700027-52700575	0.8049
MACS_peak_8913	chr12(.):52700744-52703455	1.5056
MACS_peak_8914	chr12(.):52703657-52704252	0.5379
MACS_peak_8915	chr12(.):52705780-52706718	0.6113
MACS_peak_8915	chr12(.):52705780-52706718	0.6113
MACS_peak_8916	chr12(.):52706881-52708852	1.1168
MACS_peak_8916	chr12(.):52706881-52708852	1.1168
MACS_peak_8917	chr12(.):52709361-52710634	0.7367
MACS_peak_8918	chr12(.):52711596-52712179	0.7714
MACS_peak_8919_1	chr12(.):52712250-52714181	0.9661
MACS_peak_8919_2	chr12(.):52714182-52716181	1.4166
MACS_peak_8919_3	chr12(.):52716182-52716677	0.7845
MACS_peak_8919_1	chr12(.):52712250-52714181	0.9661
MACS_peak_8919_2	chr12(.):52714182-52716181	1.4166
MACS_peak_8919_3	chr12(.):52716182-52716677	0.7845
MACS_peak_8920	chr12(.):52716695-52717371	0.7697
MACS_peak_8920	chr12(.):52716695-52717371	0.7697
MACS_peak_8925	chr12(.):52744742-52745082	0.3964
MACS_peak_8927	chr12(.):52748525-52749084	0.6578
MACS_peak_8928	chr12(.):52749915-52751073	0.7728
MACS_peak_8930	chr12(.):52753881-52754675	0.5852
MACS_peak_8931	chr12(.):52755848-52756356	0.7569
MACS_peak_8932	chr12(.):52756496-52757575	0.9712
MACS_peak_8933	chr12(.):52757675-52759408	1.1727
MACS_peak_8933	chr12(.):52757675-52759408	1.1727
MACS_peak_8934_1	chr12(.):52759434-52760308	0.9784
MACS_peak_8934_2	chr12(.):52760309-52762308	1.2556
MACS_peak_8934_3	chr12(.):52762309-52763370	0.9898
MACS_peak_8934_1	chr12(.):52759434-52760308	0.9784
MACS_peak_8934_2	chr12(.):52760309-52762308	1.2556
MACS_peak_8934_3	chr12(.):52762309-52763370	0.9898
MACS_peak_8934_1	chr12(.):52759434-52760308	0.9784
MACS_peak_8934_2	chr12(.):52760309-52762308	1.2556
MACS_peak_8934_3	chr12(.):52762309-52763370	0.9898
MACS_peak_8934_1	chr12(.):52759434-52760308	0.9784
MACS_peak_8934_2	chr12(.):52760309-52762308	1.2556
MACS_peak_8934_3	chr12(.):52762309-52763370	0.9898
MACS_peak_8935	chr12(.):52763528-52765549	0.8994
MACS_peak_8940	chr12(.):52782675-52783164	0.4327
MACS_peak_8943	chr12(.):52788649-52790039	0.9534
MACS_peak_8946	chr12(.):52795452-52795853	0.4716
MACS_peak_8948_1	chr12(.):52799810-52800396	0.7706
MACS_peak_8953_1	chr12(.):52827181-52828422	1.0433
MACS_peak_8963	chr12(.):52938233-52938839	0.6906
MACS_peak_8964	chr12(.):52939527-52939834	0.3515
MACS_peak_8965	chr12(.):52941265-52942284	0.6543
MACS_peak_8965	chr12(.):52941265-52942284	0.6543
MACS_peak_8967	chr12(.):52943394-52944701	0.8906
MACS_peak_8967	chr12(.):52943394-52944701	0.8906
MACS_peak_8968_1	chr12(.):52944762-52945930	1.0958
MACS_peak_8968_2	chr12(.):52945931-52945993	0.3068
MACS_peak_8968_1	chr12(.):52944762-52945930	1.0958
MACS_peak_8968_2	chr12(.):52945931-52945993	0.3068
MACS_peak_8969_1	chr12(.):52946210-52947374	1.0747
MACS_peak_8969_1	chr12(.):52946210-52947374	1.0747
MACS_peak_8970_1	chr12(.):52947438-52947930	0.6326
MACS_peak_8970_2	chr12(.):52947931-52948240	0.2852
MACS_peak_8973	chr12(.):52960744-52961209	0.7631
MACS_peak_8974	chr12(.):52961245-52962800	0.7577
MACS_peak_8974	chr12(.):52961245-52962800	0.7577
MACS_peak_8975	chr12(.):52963062-52963397	0.9803
MACS_peak_8976	chr12(.):52963492-52965559	0.8575
MACS_peak_8977_1	chr12(.):52965648-52966608	0.943
MACS_peak_8977_2	chr12(.):52966609-52967036	0.1667
MACS_peak_8980	chr12(.):52972966-52973348	0.3714
MACS_peak_8986	chr12(.):53010072-53010535	0.8162
MACS_peak_8987_1	chr12(.):53011282-53011342	0.4831
MACS_peak_8987_2	chr12(.):53011343-53011823	0.8362
MACS_peak_8987_1	chr12(.):53011282-53011342	0.4831
MACS_peak_8987_2	chr12(.):53011343-53011823	0.8362
MACS_peak_8988_1	chr12(.):53011873-53012439	0.8813
MACS_peak_8990	chr12(.):53068985-53069393	0.7261
MACS_peak_8991	chr12(.):53078238-53078779	0.7445
MACS_peak_8994	chr12(.):53084162-53084486	0.5133
MACS_peak_8995	chr12(.):53084573-53086427	0.9727
MACS_peak_8995	chr12(.):53084573-53086427	0.9727
MACS_peak_9000	chr12(.):53107454-53110136	1.1568
MACS_peak_9001	chr12(.):53124772-53125439	0.6943
MACS_peak_9007	chr12(.):53183063-53183383	0.7852
MACS_peak_9008	chr12(.):53183485-53185195	0.9089
MACS_peak_9008	chr12(.):53183485-53185195	0.9089
MACS_peak_9008	chr12(.):53183485-53185195	0.9089
MACS_peak_9010_1	chr12(.):53189561-53189875	0.5667
MACS_peak_9014	chr12(.):53210601-53211369	1.0508
MACS_peak_9016	chr12(.):53216171-53216945	0.5189
MACS_peak_9020_1	chr12(.):53226156-53227076	0.9216
MACS_peak_9020_2	chr12(.):53227077-53229076	1.1554
MACS_peak_9020_3	chr12(.):53229077-53230772	1.1457
